[00:00:00.070 --> 00:00:00.332]  The show.
[01:50:41.288 --> 01:50:45.490]  And supporting good police as a role model is what's going to fix things.
[01:50:46.570 --> 01:50:48.791]  And then we can turn things around, because as I've said,
[01:50:49.764 --> 01:50:50.265]  I studied it.
[01:50:50.725 --> 01:50:53.648]  The police are one of the easiest wake-up groups out there.
[01:50:54.008 --> 01:50:55.550]  They already are concerned.
[01:50:55.570 --> 01:50:56.391]  They're freaked out.
[01:50:56.931 --> 01:50:58.974]  They understand there's a manipulation going on.
[01:50:59.474 --> 01:51:07.863]  And if you just reach out to most of them with the data, they will absolutely wake up instead of being manipulated.
[01:51:10.120 --> 01:51:13.042]  This hour brought to you by InfidelBodyArmor.com.
[01:51:13.102 --> 01:51:16.845]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:16.885 --> 01:51:20.388]  With prices starting at just $374.99 and ships free.
[01:51:20.568 --> 01:51:22.970]  Get yours at InfidelBodyArmor.com.
[01:51:23.070 --> 01:51:24.331]  Just won't quit.
[01:51:25.091 --> 01:51:27.013]  Hi, Ted Anderson with Midas Resources.
[01:51:27.273 --> 01:51:31.796]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:31.976 --> 01:51:33.538]  Get our 10 Reasons book free.
[01:51:33.738 --> 01:51:33.998]  Call 800-686-2237.
[01:51:34.018 --> 01:51:34.218]  That's 800-686-2237.
[01:51:40.842 --> 01:51:42.923]  What's the best way to keep secret for somebody?
[01:51:43.443 --> 01:51:47.365]  Well, you give them something that they want so bad that they don't care what you're hiding.
[01:51:47.705 --> 01:51:52.647]  The year is 2007 and 20% of the state of California is employed in real estate.
[01:51:52.968 --> 01:51:58.110]  We live in a capitalistic nation of kings and prey upon the greed of the selfish pawns.
[01:51:58.610 --> 01:51:59.911]  Based on a true story.
[01:52:00.111 --> 01:52:04.373]  We created the American dream where everybody could qualify for one of these loans.
[01:52:05.213 --> 01:52:08.815]  Americons in select theaters January 23rd.
[01:52:09.335 --> 01:52:14.177]  Did you know by age 50 half of all men have an enlarged prostate?
[01:52:14.657 --> 01:52:20.940]  This means more urges to urinate, longer bathroom trips, waking at night to urinate, or issues with sex.
[01:52:21.500 --> 01:52:23.481]  If this sounds familiar, call us now.
[01:52:23.822 --> 01:52:28.585]  Because we're shipping free bottles of Super Beta Prostate to listeners of this station.
[01:52:28.965 --> 01:52:35.169]  Super Beta Prostate is a non-prescription formula, guaranteed to reduce the symptoms of your enlarged prostate.
[01:52:35.609 --> 01:52:36.690]  It's yours, free!
[01:52:37.030 --> 01:52:38.271]  Pay only shipping and handling.
[01:52:38.911 --> 01:52:40.012]  Just call 1-800-852-1820.
[01:52:40.432 --> 01:52:52.682]  In clinical trials, the ingredient in Super Beta Prostate was shown to reduce urges to urinate, improve bladder emptying, reduce waking at night to urinate, and improve quality of life.
[01:52:53.022 --> 01:52:56.885]  This Super Beta Prostate free offer is for listeners of this station.
[01:52:57.265 --> 01:52:58.366]  But it won't last.
[01:52:58.726 --> 01:52:59.267]  Don't wait.
[01:52:59.647 --> 01:53:00.307]  Just call 1-800-852-1820.
[01:53:00.388 --> 01:53:00.648]  That's 1-800-852-1820.
[01:53:00.688 --> 01:53:00.868]  Call 1-800-852-1820.
[01:53:08.974 --> 01:53:11.556]  Hi folks, Alex Jones here with some important information.
[01:53:11.817 --> 01:53:16.681]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[01:53:16.941 --> 01:53:24.828]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[01:53:25.069 --> 01:53:29.372]  Deciding to take action, a company run by Patriots for Patriots was born.
[01:53:29.593 --> 01:53:33.396]  MyPatriotSupply has never taken a loan or accepted outside funding.
[01:53:33.556 --> 01:53:39.260]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[01:53:39.500 --> 01:53:42.282]  It is rare to find companies who practice what they preach.
[01:53:42.662 --> 01:53:47.886]  And that's why I stock my pantry with high-quality storable foods from MyPatriotSupply.
[01:53:48.026 --> 01:53:56.151]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[01:53:56.211 --> 01:53:56.391]  That's 866-229-0927.
[01:54:03.456 --> 01:54:05.082]  With someone who shares your values.
[01:54:05.363 --> 01:54:08.052]  BuyPatriotsupply.com Slash Alex.
[01:54:16.261 --> 01:54:19.604]  I'll be back this Sunday in studio live.
[01:54:19.624 --> 01:54:20.284]  4 to 6 p.m.
[01:54:20.304 --> 01:54:22.746]  David Knott did a great job last week.
[01:54:22.786 --> 01:54:25.288]  He sits in here and there because I like hearing him myself.
[01:54:25.308 --> 01:54:26.368]  I tune in when he's on.
[01:54:26.388 --> 01:54:27.429]  He just gets better and better.
[01:54:27.449 --> 01:54:28.110]  He's such a great mind.
[01:54:39.958 --> 01:54:42.119]  We've got one of his special reports coming up in the next hour.
[01:54:42.179 --> 01:54:43.039]  It's very powerful.
[01:54:43.479 --> 01:54:44.779]  From last night's nightly news.
[01:54:45.299 --> 01:54:49.060]  I'll go to Harry and Regina and everybody else as soon as we start the next hour.
[01:54:49.080 --> 01:54:51.061]  We're only going to play a minute of this.
[01:54:51.121 --> 01:54:58.203]  The full Fox 2 out of Detroit newscast is on InfoWars.com and PrisonPlanet.com and the featured news area.
[01:54:59.511 --> 01:55:06.715]  And the families forgive this guy for torturing and killing with his accomplice, their two sons, for no reason, but they were white.
[01:55:07.396 --> 01:55:14.380]  And then he says, hey, black lives matter at the end, and I'm sorry for the blacks killed, like Brown and others.
[01:55:14.440 --> 01:55:15.760]  I mean, it's just, it's just crazy.
[01:55:17.061 --> 01:55:21.003]  And it shows the position of dumbing down the system wants us to get into.
[01:55:21.364 --> 01:55:26.887]  When we're all just human beings, and it is the new world order that is destroying our future and attacking us.
[01:55:28.049 --> 01:55:29.290]  Let's go ahead and go to that clip.
[01:55:29.610 --> 01:55:32.293]  And I will carry that with me for the rest of my life here on Earth.
[01:55:32.633 --> 01:55:37.417]  The mothers of the teens expressing the deep, devastating pain and loss left behind.
[01:55:37.818 --> 01:55:42.342]  Yet when Young had his chance to apologize to the families, he did nothing of the sort.
[01:55:42.975 --> 01:55:47.518]  I'd like to say sorry to the families of Ayanna Jones, Michael Brown, Eric Gardner.
[01:55:48.058 --> 01:55:53.221]  And I want to apologize to them for not being able to get justice for their loved ones who was murdered in cold blood.
[01:55:53.442 --> 01:55:57.404]  And in respect for the peaceful protest, I want to say hands up, don't shoot, Black Lives Matter.
[01:55:58.004 --> 01:55:58.665]  That's it, Your Honor.
[01:55:58.825 --> 01:55:59.685]  All right.
[01:56:02.427 --> 01:56:10.751]  People in the courtroom react in disbelief, but still, the message from the families of Jacob Kudla and Jordan Bavish won a forgiveness.
[01:56:11.332 --> 01:56:15.314]  In the end, knowing who Jordan was, I believe he would want me to offer forgiveness.
[01:56:15.914 --> 01:56:20.156]  Although I know I may struggle with that endeavor for the rest of my life, it would be what Jordan would want.
[01:56:20.476 --> 01:56:24.338]  On behalf of Jordan and myself, I will pray for forgiveness for both of you.
[01:56:24.719 --> 01:56:31.042]  No matter what sentence the court imposes today, these defendants will have to answer to God.
[01:56:32.697 --> 01:56:33.398]  God's got this.
[01:56:33.578 --> 01:56:36.060]  Thank you for letting me speak.
[01:56:36.240 --> 01:56:36.500]  Thank you.
[01:56:37.021 --> 01:56:39.042]  Their two sons were trying to buy marijuana.
[01:56:39.803 --> 01:56:41.544]  Two little goofy marijuana guys.
[01:56:42.505 --> 01:56:43.866]  Looked like nice little guys.
[01:56:44.907 --> 01:56:47.489]  But I don't say this to put the moms down.
[01:56:47.509 --> 01:56:56.757]  I'm sorry for their loss, but for everybody listening, mothers and fathers need to tell their kids that, hey, if you're going to get into drugs, don't go to the worst ghetto to get them.
[01:56:58.766 --> 01:57:05.470]  Just the ignorance of white trendies is mind-boggling.
[01:57:06.551 --> 01:57:07.511]  But I guess I was dumb.
[01:57:07.531 --> 01:57:11.354]  I would go into South Dallas to buy liquor when I was, like, 15, 16.
[01:57:12.254 --> 01:57:18.078]  I'd ride along with friends, you know, to have a party when parents were out of town or whatever, you know, have the cheerleaders over.
[01:57:18.938 --> 01:57:24.061]  And we would go to the foreign-owned, usually Pakistani or whatever stores, and they'd sell us Jack Daniels and stuff.
[01:57:24.982 --> 01:57:27.944]  Or we'd get whatever was cheapest, Everclear and, like, Milwaukee's Best.
[01:57:29.120 --> 01:57:32.921]  Um, and uh, I guess I got in fights a few times.
[01:57:33.181 --> 01:57:37.002]  I wouldn't give, I wouldn't, I'd start fighting when people came over and tried to rob me.
[01:57:38.023 --> 01:57:40.743]  Um, and my parents didn't know about it.
[01:57:40.763 --> 01:57:42.384]  So I guess you can't really blame the parents.
[01:57:42.904 --> 01:57:44.044]  Kids are just so stupid.
[01:57:45.145 --> 01:57:46.965]  Uh, so I can't even criticize these guys.
[01:57:46.985 --> 01:57:48.026]  I was just as dumb as they were.
[01:57:48.046 --> 01:57:49.086]  I just wasn't buying marijuana.
[01:57:51.186 --> 01:57:53.008]  But the issue is, this is the same thing.
[01:57:53.048 --> 01:57:59.853]  It's okay for you to torture two yuppie trendies to death who didn't do anything to you and probably have white guilt because they're white.
[01:58:00.474 --> 01:58:03.857]  Or you shoot two cops in the head because they deserve it because they're cops.
[01:58:04.017 --> 01:58:05.278]  This is not the direction to go.
[01:58:05.778 --> 01:58:09.501]  Or the Klan goes out and kills some black people because, you know, black people killed some whites.
[01:58:09.821 --> 01:58:11.062]  This is civil war, folks.
[01:58:11.103 --> 01:58:12.504]  This is what George Soros wants.
[01:58:13.304 --> 01:58:16.626]  Briefly, until the end of the month, we've got free shipping on the water filtration systems.
[01:58:16.946 --> 01:58:18.547]  Now's the time to start purifying your water.
[01:58:18.587 --> 01:58:19.387]  Don't procrastinate.
[01:58:19.627 --> 01:58:21.608]  That's where the glyphosates and the fluorides hit you.
[01:58:21.948 --> 01:58:24.550]  ProPure G2 systems blow away all the competition.
[01:58:24.850 --> 01:58:27.051]  Promo code WATER gets you 10% off.
[01:58:27.591 --> 01:58:31.913]  Then if you add to that, just when you check out, it's free shipping.
[01:58:32.234 --> 01:58:34.114]  Infowarsstore.com.
[01:58:34.475 --> 01:58:36.596]  We've got other great water filtration systems as well.
[01:58:37.961 --> 01:58:43.668]  Infowarsstore.com and by shopping with us for your Nutri-Medicals, you name it at Infowarslife.com.
[01:58:43.968 --> 01:58:45.350]  You find our whole operation.
[01:58:45.670 --> 01:58:49.074]  We've got ancient defense, herbal immune defense, 25% off.
[01:58:49.194 --> 01:58:50.075]  It is selling out.
[01:58:50.095 --> 01:58:50.936]  Thank you for listening.
[01:58:50.956 --> 01:58:52.818]  I want to thank you all for your support.
[01:58:52.838 --> 01:58:53.179]  Stay with us.
[01:58:53.899 --> 01:58:55.101]  Visit GCNlive.com today.
[01:58:59.850 --> 01:59:01.490]  The knowledge of the ancients.
[01:59:01.831 --> 01:59:05.412]  Tried and true, trusted herbs and extracts.
[01:59:05.632 --> 01:59:08.252]  Fused with the latest nutraceutical science.
[01:59:08.572 --> 01:59:11.993]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:59:12.213 --> 01:59:21.236]  Crafted with over 14 key ancient herbs and extracts to supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[01:59:21.656 --> 01:59:32.544]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[01:59:32.664 --> 01:59:40.149]  For the last two years, our team has been working with top doctors, nutritionists, and chemists to develop the ultimate nutraceutical formulation.
[01:59:40.430 --> 01:59:45.073]  Experience the benefits of combining over 14 ancient herbs and extracts
[01:59:45.293 --> 01:59:48.194]  With exciting new advances in nutraceutical science.
[01:59:48.494 --> 01:59:51.976]  For a limited time, get 25% off on this introductory offer.
[01:59:52.076 --> 01:59:54.637]  Visit AncientDefense.com or call 888-253-3139.
[01:59:54.657 --> 01:59:55.177]  AncientDefense.com.
[01:59:55.237 --> 01:59:56.797]  You're listening to the Alex Jones Show!
[02:00:15.939 --> 02:00:16.559]  Big Brother.
[02:00:17.240 --> 02:00:18.260]  Mainstream media.
[02:00:19.001 --> 02:00:20.101]  Government cover-ups.
[02:00:20.762 --> 02:00:21.562]  You want answers?
[02:00:22.342 --> 02:00:23.223]  Well, so does he.
[02:00:23.883 --> 02:00:27.505]  He's Alex Jones on the GCN Radio Network.
[02:00:28.086 --> 02:00:32.128]  And now, live from Austin, Texas, Alex Jones.
[02:00:35.367 --> 02:00:40.910]  Third hour, wide open phones, special reports, breaking news, it's all coming up.
[02:00:40.930 --> 02:00:46.832]  Let's talk to Harry, then Regina, then Jay, then Kelly, Ron and others.
[02:00:46.852 --> 02:00:47.052]  800-259-99231.
[02:00:47.092 --> 02:00:51.895]  Harry, thanks for holding, go ahead.
[02:00:53.215 --> 02:01:00.318]  Yes sir, I'd like to talk about the weaponization of country music the same way that rap and hip-hop was weaponized.
[02:01:00.338 --> 02:01:03.520]  Oh yeah, they're turning it into gangster thug white trashism, absolutely.
[02:01:04.855 --> 02:01:06.316]  It's disgusting.
[02:01:06.576 --> 02:01:19.962]  I grew up listening to country, you know, Hank and Merle and Waylon and they call it new young country and it's specifically targeted at young kids like prepubescent and teenagers.
[02:01:20.202 --> 02:01:23.683]  And it's basically a CIA version of black gangster rap for country.
[02:01:24.904 --> 02:01:31.387]  And it's going in the exact same direction and in a few years you're going to be seeing the same kind of stuff that's going on in that kind of culture.
[02:01:32.048 --> 02:01:38.832]  With young white kids that were into country music, it's really weird how they can do that.
[02:01:39.692 --> 02:01:41.393]  Well, they can't have anybody be moral.
[02:01:41.433 --> 02:01:42.714]  They gotta degenerate you down.
[02:01:42.734 --> 02:01:44.435]  You know, your parents don't spend time with you.
[02:01:44.835 --> 02:01:56.902]  I guarantee you, every time I've studied these thugs that kill people and aren't sorry, they always were just kept in a crib in crap-filled diapers, you know, by welfare moms, and they just hate everybody and just don't feel loved and are just pathetic.
[02:01:59.181 --> 02:02:00.262]  Yeah.
[02:02:00.342 --> 02:02:16.371]  One more thing I wanted to say is that I went and seen American Sniper and at the very end of when he leaves the house after pointing the gun at his wife, you know, like Chris Kyle supposedly pointed a gun at his wife.
[02:02:16.411 --> 02:02:17.251]  That was really stupid.
[02:02:17.291 --> 02:02:23.415]  But at the end of the movie, it says right after this, Chris Kyle was killed by a veteran.
[02:02:24.479 --> 02:02:31.545]  They didn't elaborate on that at all, they just said... That's right, and it's the perfect PSYOP to then the new enemy is the veteran, so it's the cherry on top.
[02:02:32.146 --> 02:02:34.388]  All fitting into the Justice Department propaganda.
[02:02:34.408 --> 02:02:37.710]  And we've looked into it, clearly that was all made up.
[02:02:37.851 --> 02:02:41.193]  They killed Kyle because it would make him even a bigger hero to be dead.
[02:02:41.894 --> 02:02:45.377]  And that should be a warning to everybody that goes along with these PSYOPs.
[02:02:47.691 --> 02:02:48.972]  Yeah, but I was pretty disgusted.
[02:02:49.312 --> 02:02:49.933]  I'm a veteran.
[02:02:49.993 --> 02:02:56.478]  I served in Iraq for 13 months, and I was pretty disgusted about that movie, so... Well, I know this.
[02:02:58.819 --> 02:02:59.380]  I know this.
[02:03:00.981 --> 02:03:05.384]  The Army will not engage, and I'm not saying the Army's perfect, in that type of PR baloney.
[02:03:06.525 --> 02:03:15.452]  I mean, it is just over the top, but the Navy's in competition with the Army, and they want their own Army.
[02:03:16.266 --> 02:03:19.467]  And so they've gone from two SEAL teams to, oh, like, probably 20 now.
[02:03:19.527 --> 02:03:20.287]  They say there's 10.
[02:03:21.407 --> 02:03:24.248]  And they just act like, you know, it's Superman or something.
[02:03:24.408 --> 02:03:34.330]  And the truth is, it is really dangerous jobs, and I think the average SEAL's, you know, really a great patriotic person, but this is all just meant to get kids to join the military.
[02:03:34.770 --> 02:03:36.350]  It's all a giant PR stunt.
[02:03:38.311 --> 02:03:39.671]  I'll say, watching the movie,
[02:03:41.476 --> 02:03:42.777]  You know, I grew up in East Texas.
[02:03:42.977 --> 02:03:44.157]  Northeast Texas and East Texas.
[02:03:44.177 --> 02:03:45.898]  We've got a ranch in Central East Texas.
[02:03:46.798 --> 02:03:53.401]  And I know so many people just like Chris Kyle that will help you change your tire or come help you roof your house.
[02:03:54.102 --> 02:03:57.443]  You can, you know, give them, you know, money to keep for 10 years.
[02:03:57.483 --> 02:03:58.444]  You come back, it'll be there.
[02:04:00.084 --> 02:04:02.966]  They're very honorable people on average, folks like that.
[02:04:03.686 --> 02:04:10.169]  But they're also very gullible and will really buy into propaganda and are killing machines.
[02:04:11.361 --> 02:04:14.483]  And some people have a family in the military.
[02:04:18.044 --> 02:04:40.015]  It's just smart people, but they just are tribal, and they will follow orders, and they'll do whatever they're told, and that's why you have such heavy recruiting for special operations and the CIA out of Texas and places like that, because they take sheepdogs and turn them into wolves, and they don't even ever know they're wolves.
[02:04:40.035 --> 02:04:40.575]  Isn't that sad?
[02:04:41.897 --> 02:04:42.938]  Yeah, it is sad.
[02:04:42.978 --> 02:04:43.958]  It's disgusting.
[02:04:46.480 --> 02:04:47.181]  All right, brother.
[02:04:47.221 --> 02:04:47.861]  Appreciate you.
[02:04:47.901 --> 02:04:48.382]  We'll be back.
[02:04:49.202 --> 02:04:52.304]  Infowars.com, PrisonPlanet.com are the websites.
[02:04:53.025 --> 02:04:58.309]  Regina and Jay and everybody, we're going to come right back to you.
[02:04:58.329 --> 02:04:58.429]  800-259-9231.
[02:04:58.569 --> 02:05:05.774]  I know the State of the Union already happened, but David Knight did an analysis of it for the Nightly News last night that was so powerful.
[02:05:05.794 --> 02:05:08.676]  We're going to play that at the bottom of the next hour or this hour.
[02:05:10.060 --> 02:05:18.745]  Sold out for weeks through the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock.
[02:05:19.046 --> 02:05:29.052]  This ultra-clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[02:05:29.592 --> 02:05:35.636]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[02:05:35.996 --> 02:05:42.140]  Secret 12 is a binary of nutrimedical-grade, bioavailable coenzyme forms of B12.
[02:05:42.400 --> 02:05:50.586]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin, the most bioactive form that has been created with our proprietary process.
[02:05:51.006 --> 02:05:53.808]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[02:05:54.088 --> 02:05:55.249]  No needles, no injections.
[02:05:55.629 --> 02:05:56.870]  Don't take my word for it.
[02:05:57.010 --> 02:05:57.931]  Try it for yourself.
[02:05:58.231 --> 02:05:59.192]  Discover the secret.
[02:05:59.532 --> 02:05:59.872]  Secret 12.
[02:06:00.633 --> 02:06:02.694]  Supplies of Secret 12 are very limited.
[02:06:02.974 --> 02:06:05.376]  Secure yours today at InfoWarsLife.com.
[02:06:05.856 --> 02:06:06.738]  Or by calling toll free 888-253-3139.
[02:06:10.191 --> 02:06:13.413]  When cells become toxic, they die early and aging sets in.
[02:06:13.714 --> 02:06:21.720]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:06:21.960 --> 02:06:26.983]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[02:06:27.364 --> 02:06:29.665]  You want the best that's out there at the lowest price anywhere?
[02:06:29.906 --> 02:06:31.707]  We now have the synergistic solution.
[02:06:32.007 --> 02:06:36.190]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[02:06:40.208 --> 02:06:44.071]  The average person's life is filled with unexpected challenges.
[02:06:44.831 --> 02:06:51.096]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[02:06:51.276 --> 02:07:00.242]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[02:07:00.602 --> 02:07:05.426]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[02:07:09.918 --> 02:07:10.839]  Alex Jones here.
[02:07:10.919 --> 02:07:19.851]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[02:07:20.091 --> 02:07:25.338]  So many other formulations out there contain toxic ingredients, synthetic additives, and even GMOs.
[02:07:25.638 --> 02:07:29.159]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[02:07:29.379 --> 02:07:38.741]  Crafted with over 14 key ancient herbs and extracts to supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[02:07:38.921 --> 02:07:50.104]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[02:07:50.324 --> 02:07:55.105]  Experience the benefits of combining over 14 ancient herbs and extracts
[02:07:55.325 --> 02:07:58.310]  With exciting new advances in nutraceutical science.
[02:07:58.590 --> 02:08:02.055]  For a limited time, get 25% off on this introductory offer.
[02:08:02.235 --> 02:08:04.819]  Visit Infowarslife.com or call 1-888-253-3139.
[02:08:04.839 --> 02:08:06.001]  That's Infowarslife.com.
[02:08:25.503 --> 02:08:31.445]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[02:08:31.706 --> 02:08:34.527]  It's Alex Jones.
[02:08:35.187 --> 02:08:39.629]  We're talking about the state of the world.
[02:08:39.649 --> 02:08:42.590]  They've got the state of the world economic forum going right now.
[02:08:42.610 --> 02:08:44.671]  Lots of globalist propaganda coming out of there.
[02:08:45.091 --> 02:08:46.892]  That's coming up after we take a bunch of phone calls.
[02:08:47.981 --> 02:08:57.183]  We're also going to look at backwards Clintons praise Saudi's king humanitarian efforts what sending Al-Qaeda into Syria.
[02:08:58.503 --> 02:08:59.483]  We're going to be looking at that.
[02:08:59.563 --> 02:09:08.024]  I mean you watch the news and they act like Syria you know never had Saudi Arabia involved or Saudi Arabia is battling ISIS.
[02:09:08.645 --> 02:09:15.886]  It's in mainline news from two years ago and then even last year when they renamed it ISIS or ISIL that Saudi Arabia is funding them.
[02:09:15.946 --> 02:09:16.386]  I mean it's just
[02:09:17.458 --> 02:09:21.100]  You watch this and you'd think that the king of Saudi Arabia was Santa Claus.
[02:09:22.061 --> 02:09:28.345]  But let's go to your phone calls right now, ahead of that other news I'm going to be getting to.
[02:09:28.925 --> 02:09:30.526]  Let's go to Regina in Florida.
[02:09:30.546 --> 02:09:31.527]  Thanks for calling, Regina.
[02:09:31.547 --> 02:09:35.009]  Hi Alex, are you there?
[02:09:35.429 --> 02:09:35.949]  I sure am.
[02:09:35.969 --> 02:09:39.431]  How are you doing today?
[02:09:39.872 --> 02:09:41.453]  I'm just so messed up.
[02:09:43.089 --> 02:09:44.190]  I don't even know where to begin.
[02:09:44.230 --> 02:09:48.213]  I would like to teach your listeners something about a federal code, if I could.
[02:09:48.513 --> 02:09:48.673]  Sure.
[02:09:48.713 --> 02:09:51.895]  We've got totally open phones today on any subject you want to raise.
[02:09:51.915 --> 02:09:52.515]  Just get to it.
[02:09:53.956 --> 02:09:54.157]  All right.
[02:09:54.417 --> 02:09:58.880]  There's a federal code that we were teaching people back when I was like 19.
[02:09:58.960 --> 02:10:00.081]  I'm 43 now.
[02:10:00.961 --> 02:10:03.443]  I've been awake for years and years and years.
[02:10:04.264 --> 02:10:04.924]  It's UCC 1-207.7.
[02:10:11.485 --> 02:10:20.196]  Now, what this code says is that you can take your ID, you can take your insurance, you can take your registrations and your tags, and you can shove them where the sun doesn't shine.
[02:10:21.061 --> 02:10:27.326]  What we would do is Atlanta APD would set up roadblocks, which are unconstitutional and illegal.
[02:10:27.786 --> 02:10:30.388]  So there was this little group of us that knew what was going on.
[02:10:30.868 --> 02:10:41.536]  So we would find out where the roadblock was and purposely have our friend, who had an international driver's license, drive through with her little white beat up old car.
[02:10:41.556 --> 02:10:42.757]  I don't even remember what it was.
[02:10:43.298 --> 02:10:48.322]  No tags, no insurance, no driver's license, and nobody in the car had ID.
[02:10:49.485 --> 02:10:55.350]  We would drive through the roadblock with a big poster that said, GCC 1-207.7.
[02:10:55.410 --> 02:11:01.295]  Yeah, well that's like the illegal aliens are above the law and don't have to have IDs or proper license plates or anything.
[02:11:01.795 --> 02:11:05.919]  And there are a lot of codes out there that deal with the fact of the right to travel.
[02:11:06.419 --> 02:11:07.420]  I appreciate your call.
[02:11:07.480 --> 02:11:08.781]  Let me address this now.
[02:11:09.482 --> 02:11:19.638]  Because there's a lot of brainwashing out there, both patriot mythology on one end that's wrong, I'm not saying you're wrong, I'm saying some people are about their interpretations, and then the mythology the police are taught.
[02:11:20.860 --> 02:11:23.304]  It is not a privilege to drive or travel.
[02:11:25.876 --> 02:11:33.562]  It is a privilege in states to engage in commerce on public right-of-ways that are paid for by taxpayers.
[02:11:34.023 --> 02:11:42.350]  And so they began the driver's license in New Jersey and New York in the late 1920s, early 30s, depending on the area.
[02:11:43.751 --> 02:11:45.432]  They used class warfare.
[02:11:45.472 --> 02:11:48.034]  They said, these trucks are tearing up the new roads.
[02:11:49.073 --> 02:11:53.317]  And they're making money, so we're going to make them pay a fee for the roads.
[02:11:54.077 --> 02:11:55.979]  So that's where the privilege garbage started.
[02:11:56.039 --> 02:12:03.105]  I've got Supreme Court rulings into the 60s saying it's not a privilege to drive.
[02:12:03.165 --> 02:12:14.895]  That's why you still in most states can't stop a tractor or other farm implement as long as they have the safety orange diamond on them.
[02:12:15.696 --> 02:12:16.737]  They don't have to have registration.
[02:12:18.766 --> 02:12:20.808]  And I say this so the cops go, oh, that's right.
[02:12:21.728 --> 02:12:22.649]  He must be telling the truth.
[02:12:22.689 --> 02:12:23.449]  Just go look it up.
[02:12:23.509 --> 02:12:30.354]  I mean, I'm not going to, I don't have time to pull it all up right now and show people, but they're now saying it's a privilege to own guns.
[02:12:30.495 --> 02:12:31.015]  No, it's not.
[02:12:31.956 --> 02:12:32.416]  No, it's not.
[02:12:32.436 --> 02:12:33.797]  And the police know that's not true.
[02:12:34.998 --> 02:12:38.761]  Because there hasn't been 70, 80 years of brainwashing yet, but they're trying.
[02:12:39.431 --> 02:12:41.632]  That the right to self-defense is a privilege.
[02:12:42.112 --> 02:12:43.052]  No, it's an inherent right.
[02:12:43.592 --> 02:12:45.453]  The police have no responsibility to protect you.
[02:12:45.713 --> 02:12:51.554]  They're there to come grab you, to take you to the court, to take you to the jury, the grand jury, once someone's committed a crime.
[02:12:51.594 --> 02:12:55.876]  Now, if they can stop a crime and they see it happening, they should take action.
[02:12:56.176 --> 02:12:58.116]  The same common law goes to citizens.
[02:13:00.137 --> 02:13:03.938]  Just 50 years ago, if you saw your neighbor's house being robbed and you didn't do something, you'd get in trouble.
[02:13:06.338 --> 02:13:08.039]  So you have a responsibility to render aid.
[02:13:09.906 --> 02:13:14.230]  But there's no liability if you don't because you didn't know, basically.
[02:13:15.231 --> 02:13:16.772]  And the police sit on that all day.
[02:13:16.812 --> 02:13:17.473]  Well, that's fine.
[02:13:18.594 --> 02:13:20.756]  I have a right to defend myself and I have a right to travel.
[02:13:23.018 --> 02:13:30.584]  The problem is the police are so ignorant, just like the public, that they really believe you've got to have a license and registration and insurance.
[02:13:30.624 --> 02:13:36.589]  And notice they can just keep raising the insurance now until it's cost prohibitive for most people to have a car, and that's going to be the next phase.
[02:13:37.560 --> 02:13:40.464]  And then taxes by the mile, and all of that's being announced.
[02:13:40.504 --> 02:13:42.426]  I told you 20 years ago, now it's being announced.
[02:13:43.668 --> 02:13:45.971]  I read it in establishment publications back then.
[02:13:47.232 --> 02:13:51.097]  So I've just tried to warn people, I'm not a hero, I just know what I'm talking about.
[02:13:51.979 --> 02:13:52.279]  Okay?
[02:13:52.319 --> 02:13:52.860]  It's not hard.
