[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[01:53:41.564 --> 01:53:44.669]  Well, what the studies have found, because I've done deep research on this, so have you.
[01:53:45.210 --> 01:53:48.235]  We've had scientists and brain doctors, you name it, on.
[01:53:48.876 --> 01:53:50.779]  It stops working after a while.
[01:53:50.979 --> 01:53:51.180]  Right.
[01:53:51.420 --> 01:53:54.245]  That's why you've got to fuse it with exercise.
[01:53:55.171 --> 01:54:01.896]  With having a dark room, with having a fan on or white noise, and something like knockout.
[01:54:01.916 --> 01:54:02.976]  Valerian root extract.
[01:54:03.117 --> 01:54:07.460]  Because we know that, I mean melatonin is excellent, it's a base ingredient.
[01:54:07.480 --> 01:54:07.880]  Gotta have it.
[01:54:08.280 --> 01:54:12.803]  But we knew that we wanted to have a more complete profile on this product, not just melatonin.
[01:54:12.823 --> 01:54:19.428]  I mean you could get melatonin for pretty much the same price, but this has multiple ingredients like valerian root extract, L-Tryptophan, lemon balm leaf extract.
[01:54:19.688 --> 01:54:20.308]  Good dose.
[01:54:20.528 --> 01:54:22.189]  Most of the pills out there are 3 milligrams.
[01:54:22.649 --> 01:54:25.891]  Ours is 3 milligrams of melatonin, L-tryptophan, 15 milligrams.
[01:54:25.911 --> 01:54:26.751]  That's what's in turkey.
[01:54:27.231 --> 01:54:29.352]  That's what a big meat meal makes you sleepy.
[01:54:30.092 --> 01:54:33.014]  Calomel root extract, 18 milligrams.
[01:54:33.714 --> 01:54:35.635]  Lemon balm, 45 milligrams.
[01:54:35.815 --> 01:54:37.736]  Valerian root, 30 milligrams.
[01:54:39.097 --> 01:54:41.859]  L-theanine, 100 milligrams.
[01:54:41.939 --> 01:54:43.520]  I mean, this is a strong dose, folks.
[01:54:43.540 --> 01:54:44.561]  And here's a cool thing, too, though.
[01:54:44.601 --> 01:54:50.646]  Melatonin, we have pure melatonin in it, but then L-tryptophan, what people don't understand, oh, I take it and I get sleepy.
[01:54:50.686 --> 01:54:53.689]  That's because it naturally converts into melatonin, right?
[01:54:53.909 --> 01:54:59.274]  So we have another layer there of L-tryptophan that's going to be converted by your body naturally into the melatonin that you need.
[01:54:59.854 --> 01:55:03.517]  And then the valerian root extract, I mean, that's used as far back as Greece and Rome.
[01:55:04.458 --> 01:55:10.681]  The Greek physician Galen dubbed the Valerian Root as a remedy for sleeplessness and insomnia, so this has been used forever.
[01:55:10.721 --> 01:55:12.643]  We're just taking all the things that are known to work.
[01:55:13.043 --> 01:55:17.225]  And listen, I went to the store, this was about two years ago, and I said, I want to sleep in, I want to sleep in.
[01:55:17.245 --> 01:55:20.987]  I've been to Whole Foods, everything has one ingredient, or maybe two.
[01:55:21.547 --> 01:55:22.588]  Why don't they fuse it all?
[01:55:22.608 --> 01:55:29.171]  Because I was sitting there with my kids some nights, you know, they'd eaten some sugar too late or whatever, give them a couple different pills, and I'm like, I don't want to do that.
[01:55:29.231 --> 01:55:30.072]  I want to give them one thing.
[01:55:30.272 --> 01:55:30.412]  Yeah.
[01:55:30.632 --> 01:55:31.233]  So that's what we did.
[01:55:31.333 --> 01:55:32.154]  It's just one deal.
[01:55:32.594 --> 01:55:34.476]  It's very affordable, very low cost.
[01:55:35.077 --> 01:55:39.262]  A bottle of melatonin is the cost of this, and the melatonin I have at home is three milligrams.
[01:55:39.722 --> 01:55:40.063]  Yeah, I know.
[01:55:40.203 --> 01:55:41.284]  And this has a ton of more stuff.
[01:55:41.324 --> 01:55:45.589]  It's because people don't want to pay the price to make a good product and then sell it and not get that good of a markup.
[01:55:45.729 --> 01:55:46.690]  Tell folks how much it is.
[01:55:46.730 --> 01:55:47.591]  We'll put it up on screen.
[01:55:47.772 --> 01:55:49.253]  It is, I believe...
[01:55:50.134 --> 01:55:54.895]  As of right now, let's pull it up on screen because I want to make sure we give people... 1995!
[01:55:54.935 --> 01:55:55.876]  1995 is the discounted price.
[01:55:56.056 --> 01:55:58.676]  A bottle of Valerian Roof is between $15 and $20.
[01:55:59.157 --> 01:56:01.977]  A bottle of Melatonin between $15 and $20.
[01:56:02.818 --> 01:56:06.118]  I mean, again, this has got everything right there.
[01:56:06.158 --> 01:56:06.899]  You save money.
[01:56:07.439 --> 01:56:15.201]  And the reason I waited for the price is you actually decided to still give them the discounted price even though it just came in and it's been sold out for a month plus.
[01:56:15.741 --> 01:56:17.442]  So you get it right now for $19.95 on Infowarslife.com.
[01:56:19.172 --> 01:56:28.441]  That's right, and the little bit of profit we make, because again, we go to these companies and something's costing us $6, $7, $8 a bottle, they go, we're glad you're doing this, no one else does it.
[01:56:28.801 --> 01:56:31.263]  If something costs $8 a bottle, you sell it for $30 or $40.
[01:56:31.904 --> 01:56:34.667]  Most people sell stuff for $19.95 that costs them $2 a bottle.
[01:56:34.867 --> 01:56:35.567]  Yeah, or less.
[01:56:35.668 --> 01:56:39.811]  Okay, you have to understand, folks, something like Supermel Vitality is costing me $20.
[01:56:40.772 --> 01:56:43.135]  Now there's still markup there, we've got to fund the operation.
[01:56:43.675 --> 01:56:49.601]  But I mean, I want to, you know, have markup, be able to fund things, but really give you the Rolls-Royce, because that's what I want.
[01:56:49.761 --> 01:56:50.762]  I take my own products.
[01:56:51.443 --> 01:56:55.967]  And it's shocking that there really aren't a lot of companies out there that do it.
[01:56:57.287 --> 01:57:00.269]  Groups that do are InfoWarsHealth.com.
[01:57:00.289 --> 01:57:02.210]  The longevity line is excellent.
[01:57:02.531 --> 01:57:10.035]  I haven't taken all their 400 plus products, but I know they have neurotic level safety standards and quality and are a huge company around 19 years now.
[01:57:10.776 --> 01:57:11.857]  And so I'm involved with them.
[01:57:11.897 --> 01:57:13.318]  I promote InfoWarsHealth.com.
[01:57:13.618 --> 01:57:16.240]  When you purchase longevity products there, it helps fund our operation as well.
[01:57:17.200 --> 01:57:21.062]  Our products, we only have 14 of them, are game changers.
[01:57:21.723 --> 01:57:22.403]  Game changers.
[01:57:22.463 --> 01:57:28.687]  Briefly, Anthony, I'll do five more minutes with you to cover this other news before Mr. McAfee joins us.
[01:57:30.694 --> 01:57:33.355]  We also are going to sell out of the liver shield.
[01:57:33.515 --> 01:57:35.795]  Again, very hard to make, very hard to get the herbs.
[01:57:36.076 --> 01:57:37.436]  I don't want to change the formula.
[01:57:37.456 --> 01:57:40.157]  Group was here this week, but we may have to because we just can't get some.
[01:57:40.177 --> 01:57:42.577]  It's going to be out within probably the next few days or at the end of this week.
[01:57:42.958 --> 01:57:43.318]  For sure.
[01:57:43.358 --> 01:57:44.858]  Well, there's only like a thousand bottles left.
[01:57:44.878 --> 01:57:45.978]  It'll be gone today.
[01:57:46.179 --> 01:57:47.299]  I almost don't even want to promote it.
[01:57:47.359 --> 01:57:48.759]  It'll be gone immediately.
[01:57:48.799 --> 01:57:48.939]  Sure.
[01:57:48.979 --> 01:57:50.700]  The point is, that's how good our stuff is.
[01:57:51.080 --> 01:57:52.240]  We'd rather just have it for you.
[01:57:53.221 --> 01:57:54.001]  How long till the
[01:57:54.878 --> 01:57:57.099]  Till the, uh, Cleanze runs out.
[01:57:57.479 --> 01:58:00.020]  Deep Cleanze is selling out probably this week.
[01:58:00.400 --> 01:58:03.742]  And it's funny because, I mean, how many times do we try?
[01:58:03.762 --> 01:58:08.584]  We try and get as much as we can, but we're not going to sacrifice the quality, so it just comes in, it sells out for like two months, then we get more.
[01:58:09.004 --> 01:58:20.308]  We're trying to get more in, but we're just not going to sacrifice the quality, we're not going to go down in the- And I'll be honest, I've talked to three different manufacturers, Group's just one of them, and they said, if you want this quality, sorry, because they want to sell it to us too.
[01:58:20.448 --> 01:58:20.868]  Yeah, they do.
[01:58:20.968 --> 01:58:23.269]  And I'm not trying to cut corners, can we place it with something else?
[01:58:23.329 --> 01:58:24.290]  And we just haven't been able to.
[01:58:24.890 --> 01:58:34.297]  So that's why this stuff sold out almost all our products, because it's hard to get wet herbs that are from organic areas and then have them triple tested as we do.
[01:58:34.417 --> 01:58:39.221]  I mean, most of our products, I think all of them, are above California standards, which other people can't even do.
[01:58:40.161 --> 01:58:41.542]  So, I mean, you've got a commitment from us.
[01:58:41.903 --> 01:58:43.084]  It'd be the highest quality we can.
[01:58:43.284 --> 01:58:45.926]  Plus, we have a lot of enemies, so they help us keep the quality up as well.
[01:58:45.946 --> 01:58:48.007]  888-253-3139 to call.
[01:58:48.047 --> 01:58:49.989]  We can answer all your questions.
[01:58:50.289 --> 01:58:51.670]  We're going to start the third hour.
[01:58:51.690 --> 01:58:52.050]  Stay with us.
[01:58:54.710 --> 01:58:56.905]  Visit GCNlive.com today.
[01:58:59.699 --> 01:59:04.700]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:59:04.840 --> 01:59:10.721]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:59:10.961 --> 01:59:15.542]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:59:15.742 --> 01:59:19.062]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:59:19.302 --> 01:59:20.883]  No needles, no injections.
[01:59:21.283 --> 01:59:26.404]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:59:29.644 --> 01:59:33.827]  Use since before the days of the Roman Empire to support the body's natural systems.
[01:59:34.007 --> 01:59:37.970]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[01:59:38.170 --> 01:59:42.953]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:59:43.113 --> 01:59:47.636]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:59:47.776 --> 01:59:51.099]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:59:51.259 --> 01:59:54.281]  Now available in our limited first run at Infowarslife.com.
[01:59:54.321 --> 01:59:56.522]  That's Infowarslife.com or call 888-253-3139.
[02:00:02.214 --> 02:00:04.844]  You're listening to The Alex Jones Show!
[02:00:15.663 --> 02:00:16.324]  Big Brother.
[02:00:16.984 --> 02:00:18.005]  Mainstream media.
[02:00:18.746 --> 02:00:19.826]  Government cover-ups.
[02:00:20.507 --> 02:00:21.308]  You want answers?
[02:00:22.088 --> 02:00:22.989]  Well, so does he.
[02:00:23.409 --> 02:00:27.293]  He's Alex Jones on the GCN Radio Network.
[02:00:27.833 --> 02:00:31.936]  And now, live from Austin, Texas, Alex Jones.
[02:00:32.917 --> 02:00:35.559]  Well, Rupert Murdoch says Biden will win the nomination.
[02:00:36.140 --> 02:00:36.920]  Be hard to beat.
[02:00:39.082 --> 02:00:40.924]  Hillary Clinton sinking into the mud.
[02:00:40.944 --> 02:00:43.146]  Sinking into her own excrement.
[02:00:45.762 --> 02:00:46.664]  It's all coming up.
[02:00:47.366 --> 02:00:49.391]  Conservative dissents brewing inside the Vatican.
[02:00:49.431 --> 02:00:50.413]  Huge economic news.
[02:00:50.453 --> 02:00:51.356]  Huge NATO news.
[02:00:52.543 --> 02:00:53.324]  It's all coming up.
[02:00:53.784 --> 02:00:55.505]  Anthony Gucciardi is our guest.
[02:00:56.286 --> 02:00:57.006]  All right, Gucci.
[02:00:57.767 --> 02:01:01.849]  Get into some of these other studies and news we have here ahead of Mr. McAfee joining us.
[02:01:01.869 --> 02:01:03.450]  You talk about all the craziness in the world.
[02:01:03.610 --> 02:01:05.151]  Here's a new report from the CDC.
[02:01:05.191 --> 02:01:08.494]  Three out of four Americans' hearts are older than their chronological age.
[02:01:08.614 --> 02:01:09.955]  It's just a little fun to throw in there.
[02:01:10.395 --> 02:01:13.617]  So you may feel young, but really your heart is totally stressed out.
[02:01:13.637 --> 02:01:16.859]  And that's because I think stress levels... Sleep levels are record low.
[02:01:17.139 --> 02:01:18.260]  Sleep levels are terrible.
[02:01:18.320 --> 02:01:19.021]  No one can sleep.
[02:01:19.061 --> 02:01:21.803]  Everyone's stressing out about life and their job and politics.
[02:01:22.623 --> 02:01:22.983]  Horrible.
[02:01:23.023 --> 02:01:24.504]  It's just, it's affecting everybody.
[02:01:24.824 --> 02:01:26.504]  At the same time though, we have some good news.
[02:01:27.244 --> 02:01:28.385]  Kind of good news, I'll explain it.
[02:01:28.865 --> 02:01:33.926]  California's EPA is going to label Monsanto's Roundup as known to cause cancer.
[02:01:33.966 --> 02:01:35.947]  Put it on the label, that it's known to cause cancer.
[02:01:36.467 --> 02:01:37.808]  Now, here's why this is good.
[02:01:37.828 --> 02:01:40.849]  Now they're open to lawsuits for saying you can drink it for 30 years.
[02:01:40.989 --> 02:01:41.469]  Exactly.
[02:01:41.489 --> 02:01:42.889]  It sets a legal precedent.
[02:01:42.909 --> 02:01:49.111]  The problem is that California, as we know, because we have to come up to their standards, thinks that everything causes cancer.
[02:01:49.391 --> 02:01:52.152]  You know, the shoelaces that you have cause cancer.
[02:01:52.592 --> 02:01:58.054]  But, for the first time, they're actually getting it right, because the World Health Organization agrees that Monsanto's Roundup does cause cancer.
[02:01:58.374 --> 02:01:59.134]  So that's big news.
[02:01:59.175 --> 02:02:06.297]  They're setting a legal precedent, and what could happen now is people could start suing over that, and it could lead to GMO labeling or GMO bans.
[02:02:06.997 --> 02:02:09.318]  Another one... But you mean weed killer might not be good for me?
[02:02:09.458 --> 02:02:09.979]  Weed killer?
[02:02:10.019 --> 02:02:11.939]  You know, you should probably drink a glass of it.
[02:02:11.979 --> 02:02:12.820]  It's perfectly safe.
[02:02:13.060 --> 02:02:14.780]  Why not just drink a glass of glyphosate?
[02:02:14.800 --> 02:02:16.181]  I heard you're shooting yourself with a...
[02:02:17.631 --> 02:02:19.512]  Smith & Wesson 500 is good for you too.
[02:02:19.592 --> 02:02:20.733]  It's actually really good for you.
[02:02:21.153 --> 02:02:23.014]  It's not known to cause cancer or anything.
[02:02:23.634 --> 02:02:24.415]  And then here's one.
[02:02:24.455 --> 02:02:29.478]  So in response to that, Monsanto recruits academics for lobbying war over GMOs from the St.
[02:02:29.518 --> 02:02:30.418]  Louis Business Journal.
[02:02:30.598 --> 02:02:30.718]  Aww.
[02:02:31.199 --> 02:02:39.383]  Monsanto and its partners in the ag industry have pushed to recruit academic researchers to add to their authoritative voice in the ongoing debate of the safety of GMOs.
[02:02:39.743 --> 02:02:46.247]  So they're going to colleges and enlisting professors and, you know, future graduates and stuff to join Monsanto
[02:02:46.667 --> 02:02:47.968]  We talked a lot about this.
[02:02:47.988 --> 02:02:48.929]  This is about the fall of civilization.
[02:03:07.447 --> 02:03:11.188]  So, was it like two years ago, I told you about my doctor friend that runs hospitals.
[02:03:11.528 --> 02:03:13.949]  He told me that there's a big issue on the horizon.
[02:03:13.989 --> 02:03:14.849]  We talked about it on air.
[02:03:15.129 --> 02:03:16.010]  I think we did talk about it on air.
[02:03:16.030 --> 02:03:20.471]  They just don't make all the old drugs that work anymore, because big pharma can't make money off of it.
[02:03:20.511 --> 02:03:20.851]  But yeah.
[02:03:20.991 --> 02:03:23.392]  Tell folks, there's no more snake venom, anti-venom.
[02:03:23.672 --> 02:03:37.341]  Yeah, there's no more snakebite venom being made and Doctors Without Borders is freaking out saying they're gonna run out next year and there's nothing they can do about it and people are gonna die and Big Pharma's like, well, it doesn't really matter because it cost them like 70 grand to make it and you know, who's gonna buy it these days?
[02:03:37.381 --> 02:03:41.024]  They just sit at the hospital except in someone, unless someone gets a snakebite.
[02:03:41.044 --> 02:03:44.606]  So they should only make like 10 a year or whatever, but they just decided not to.
[02:03:44.626 --> 02:03:44.886]  Used to.
[02:03:44.906 --> 02:03:52.852]  20 years ago, they sold rattlesnake antivenom at the stores in New Mexico and Arizona when a friend of mine's mother got bit in Austin by a small
[02:03:54.993 --> 02:03:57.516]  I guess it was a mountain rattler or timber rattler.
[02:03:57.596 --> 02:03:58.477]  It was a little shorter one.
[02:03:58.878 --> 02:03:59.799]  The little ones are the bad ones.
[02:04:00.439 --> 02:04:01.901]  They charged her $200,000 for a two-day stay.
[02:04:01.921 --> 02:04:02.822]  She wasn't even that sick.
[02:04:05.678 --> 02:04:09.019]  70%, it was like 150 grand, I forget, it was 140 grand or something.
[02:04:09.039 --> 02:04:14.240]  I ought to get my friend Don, everybody knows who he is, but I'm not going to say the story unless he wants to do it, for the antivenom.
[02:04:14.700 --> 02:04:16.700]  Yeah, it's like 170 grand sometimes.
[02:04:17.100 --> 02:04:18.341]  It was 140 something for her.
[02:04:18.481 --> 02:04:29.243]  My doctor friend had to go to the zoo and get a vial from 1980 that was expired and inject it into this woman because it was her only hope because they didn't have any snake antidote.
[02:04:29.383 --> 02:04:30.344]  And it just shows the difference.
[02:04:30.404 --> 02:04:32.205]  It always costs money to make this stuff.
[02:04:32.385 --> 02:04:34.427]  But they made big batches and then made their money back.
[02:04:34.807 --> 02:04:35.728]  They just don't care.
[02:04:36.088 --> 02:04:36.789]  They don't care.
[02:04:36.849 --> 02:04:38.950]  They don't care if nuclear reactors are leaking now.
[02:04:38.990 --> 02:04:39.611]  They don't care.
[02:04:39.651 --> 02:04:43.994]  It's all just... It is a nihilistic, destroy-everything situation.
[02:04:44.255 --> 02:04:45.556]  It's literally let people die.
[02:04:45.596 --> 02:04:47.477]  Doesn't matter if there's no profit in it, then who cares?
[02:04:47.917 --> 02:04:48.718]  That's what we're looking at.
[02:04:48.758 --> 02:04:50.339]  That's the situation of this world right now.
[02:04:51.080 --> 02:04:52.281]  That's what it all comes down to.
[02:04:52.581 --> 02:04:53.642]  Total insanity.
[02:04:55.745 --> 02:04:58.150]  Well, what happens when some of these elitists get bit by a snake?
[02:04:58.170 --> 02:04:59.111]  Oh, I'm sure they have plenty.
[02:04:59.232 --> 02:05:00.394]  I'm sure they have plenty of snake venom.
[02:05:02.417 --> 02:05:03.900]  They've got all the antidotes they need.
[02:05:04.982 --> 02:05:06.184]  It really is the end of the West.
[02:05:06.285 --> 02:05:07.467]  I mean, it's the end of the Renaissance.
[02:05:07.507 --> 02:05:07.948]  We'll be back.
[02:05:07.968 --> 02:05:08.328]  Stay with us.
[02:05:09.824 --> 02:05:13.405]  ISIS has demanded that Syrian Christians pay an Islam tax.
[02:05:13.785 --> 02:05:16.006]  This is being reported by WorldNetDaily.
[02:05:16.726 --> 02:05:28.589]  ISIS terrorists gathered together dozens of Christian men in Syria and told them either to pay a Sharia-inspired tax and sign onto a list of faith-based restrictions or pay a penalty that could include the loss of life.
[02:05:29.230 --> 02:05:37.272]  Among the restrictions, Christians cannot own guns, build places of worship, show their crosses in public or even ring church bells.
[02:05:37.972 --> 02:05:45.476]  The terrorists put forth their demands to Christians in a town that used to be dominated by the Christian faith, but has been taken over by radical Muslims.
[02:05:46.157 --> 02:05:53.621]  And while many followers of Islam will condemn these actions, numerous people in power continue to fund groups like ISIS and Al-Qaeda.
[02:05:54.341 --> 02:06:03.833]  Whether it's airdropping grenades or leaving behind billions of dollars worth of vehicles that they can use against us, these terrorist groups always seem to find the best equipment somewhere.
[02:06:04.334 --> 02:06:07.878]  You can find more reports on InfoWars.com
[02:06:09.491 --> 02:06:12.713]  When cells become toxic, they die early and aging sets in.
[02:06:12.993 --> 02:06:21.018]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:06:21.238 --> 02:06:26.282]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[02:06:26.682 --> 02:06:28.963]  You want the best that's out there at the lowest price anywhere?
[02:06:29.203 --> 02:06:30.985]  We now have the synergistic solution.
[02:06:31.305 --> 02:06:35.487]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[02:06:39.484 --> 02:06:43.687]  Use since before the days of the Roman Empire to support the body's natural systems.
[02:06:43.867 --> 02:06:47.829]  Introducing the new Infowarslife.com oil of oregano formulation.
[02:06:48.029 --> 02:06:52.792]  We have now procured the most high quality and potent forms of oregano oil on the market.
[02:06:52.952 --> 02:06:57.494]  Extracted directly from the wild herb and sealed in easy to use capsules.
[02:06:57.614 --> 02:07:00.956]  You will no longer need to endure the burning of liquid oregano on the tongue.
[02:07:01.096 --> 02:07:04.378]  Now available in our limited first run at Infowarslife.com.
[02:07:04.558 --> 02:07:06.379]  That's Infowarslife.com or call 888-253-3139.
[02:07:09.441 --> 02:07:15.206]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[02:07:15.547 --> 02:07:19.831]  Introducing the new Infowarslife.com oil of oregano formulation.
[02:07:20.131 --> 02:07:27.838]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[02:07:28.078 --> 02:07:33.279]  We have now procured the most high quality and potent forms of oregano oil on the market.
[02:07:33.599 --> 02:07:39.181]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[02:07:39.541 --> 02:07:44.362]  Extracted directly from the wild herb and sealed in easy to use capsules.
[02:07:44.502 --> 02:07:48.082]  You will no longer need to endure the burning of liquid oregano on the tongue.
[02:07:48.423 --> 02:07:54.664]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[02:07:55.044 --> 02:08:00.029]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[02:08:00.189 --> 02:08:03.733]  Now available in our limited first run at Infowarslife.com.
[02:08:03.913 --> 02:08:05.755]  That's Infowarslife.com or call 888-253-3139.
[02:08:05.775 --> 02:08:07.076]  Rallying patriots worldwide!
[02:08:20.416 --> 02:08:21.016]  In defense.
[02:08:23.257 --> 02:08:27.400]  Defending the republic from enemies foreign and domestic.
[02:08:28.120 --> 02:08:29.621]  It's Alex Jones.
[02:08:34.543 --> 02:08:36.884]  Well everybody knows that I love characters.
[02:08:37.344 --> 02:08:38.425]  I love the real McCoys.
[02:08:39.045 --> 02:08:41.567]  I like Jesse Ventura even though I disagree with some of his politics.
[02:08:41.987 --> 02:08:42.707]  Cause I know him well.
[02:08:42.727 --> 02:08:44.988]  Worked on two seasons of his TV show.
[02:08:45.989 --> 02:08:46.849]  Traveled with him a lot.
[02:08:47.390 --> 02:08:48.010]  He's a real guy.
[02:08:49.665 --> 02:08:52.489]  John McAfee is certainly a character.
[02:08:52.509 --> 02:08:55.133]  Kinda like the real life Captain Morgan.
[02:09:00.473 --> 02:09:02.255]  And John McAfee joins us right now.
[02:09:02.295 --> 02:09:05.277]  He's talking about, or there's been some talk out there, he wants to clarify it.
[02:09:05.297 --> 02:09:08.901]  A little bird told me he might be running for president here in the next few days.
[02:09:09.401 --> 02:09:12.844]  Whoismcafee.com, futuretensecentral.com.
[02:09:13.384 --> 02:09:18.609]  He, of course, worked for NASA in space shuttle studies as an engineer.
[02:09:18.629 --> 02:09:25.115]  Then he founded McAfee Associates, the first big antivirus company, made billions.
[02:09:26.254 --> 02:09:33.881]  And then, of course, he went into the field of bacterial quorum sensing and was also trying to develop nutraceuticals down in Belize, which is a smart business.
[02:09:33.921 --> 02:09:36.283]  That's the business we're in, how we fund our operation.
[02:09:37.524 --> 02:09:38.565]  And they came after him there.
[02:09:38.645 --> 02:09:44.009]  He said that they were producing with the government a chemical weapon.
[02:09:45.168 --> 02:09:47.050]  He named the chemical weapon, Ryacin.
[02:09:47.471 --> 02:09:49.673]  It's a biological system that makes a chemical weapon.
[02:09:49.973 --> 02:09:51.595]  One of the most deadly poisons in the world.
[02:09:52.396 --> 02:09:54.979]  And then sure enough, years later, it came out that indeed was going on.
[02:09:56.180 --> 02:09:58.583]  He says there's attempts on his life, folks have been after him.
[02:10:00.625 --> 02:10:01.767]  A lot's been going on lately.
[02:10:01.787 --> 02:10:03.369]  We'll ask him about some of those events.
[02:10:04.940 --> 02:10:06.361]  But he joins us at the bottom of the hour.
[02:10:06.441 --> 02:10:11.423]  Longer if he wants, but if he does go longer with us, I'm going to have to bring up news stories and get his take on that.
[02:10:11.463 --> 02:10:15.945]  So he's welcome to ride shotgun with us and get into driverless cars and be given part of the road.
[02:10:16.965 --> 02:10:18.846]  The Pope pushing for world government.
[02:10:19.206 --> 02:10:21.527]  NATO chief to make a visit to Ukraine as U.S.
[02:10:21.888 --> 02:10:24.289]  troops and weapons build up for war with Russia.
[02:10:25.109 --> 02:10:25.789]  The numbers are in.
[02:10:25.829 --> 02:10:27.990]  China dumps a record $94 billion in U.S.
[02:10:28.030 --> 02:10:29.031]  Treasuries in one month.
[02:10:29.371 --> 02:10:30.792]  Goldman Sachs says it's probably $115 billion.
[02:10:33.666 --> 02:10:36.267]  Why Obama and Hillary must stop Donald Trump at all costs.
[02:10:36.287 --> 02:10:38.688]  We'll get John McAfee's take on Donald Trump.
[02:10:39.468 --> 02:10:40.669]  All this and more.
[02:10:41.409 --> 02:10:45.291]  But John McAfee, big critic of the NSA, big promoter of liberty.
[02:10:46.796 --> 02:10:50.339]  He's done some tongue-in-cheek videos, music videos with hot girls.
[02:10:50.439 --> 02:10:52.120]  That's some of his humor, folks.
[02:10:53.041 --> 02:10:57.504]  But like him or love him, he certainly is an American phenomenon.
[02:10:58.164 --> 02:11:00.386]  And John McAfee, thank you for coming on with us.
[02:11:00.446 --> 02:11:03.208]  It was great going shooting with you here in Austin with the .50 cal.
[02:11:04.389 --> 02:11:06.791]  You did a lot better hand-held shooting that baby than I did.
[02:11:06.831 --> 02:11:08.733]  You looked like it was part of your body.
[02:11:08.934 --> 02:11:11.796]  Me, I looked like an overweight goblin firing a cannon.
[02:11:11.816 --> 02:11:14.439]  But we'll maybe roll some of that in the background.
[02:11:14.459 --> 02:11:17.322]  You guys can Google John McAvee fires 50 cal.
[02:11:17.982 --> 02:11:21.846]  But John, good to have you here with us via video Skype.
[02:11:22.727 --> 02:11:26.571]  You're talking about running for president, or I've heard people are talking about you running for president.
[02:11:27.011 --> 02:11:28.513]  What's the real scoop, John?
[02:11:30.302 --> 02:11:36.586]  Well, a number of people have been advising me to run, urging me to run.
[02:11:38.067 --> 02:11:41.730]  My team actually filed today formally.
[02:11:41.750 --> 02:11:44.392]  I'm still not convinced.
[02:11:44.412 --> 02:11:45.873]  I would rather someone with more
[02:11:48.281 --> 02:11:52.545]  of intelligence and charisma be the carrier of the banner here.
[02:11:53.186 --> 02:12:00.933]  But I feel that the government has failed us in many ways, Alex, and something has to be done about it.
[02:12:01.874 --> 02:12:03.415]  Whether it's me or whether it's someone else.
[02:12:04.176 --> 02:12:06.538]  Wow, so it sounds like you're 99% there.
[02:12:06.558 --> 02:12:09.421]  Did you just say, I mean, please make a statement now.
[02:12:10.101 --> 02:12:13.725]  You are looking at filing and running for president officially?
[02:12:15.441 --> 02:12:15.981]  Well, no.
[02:12:16.382 --> 02:12:20.623]  I said my advisors and my staff filed formally today.
[02:12:20.643 --> 02:12:26.205]  I think that's a very subtle way of forcing me to do something.
[02:12:29.106 --> 02:12:33.967]  I'm still undecided, Alex, and within the next 48 hours I will make a decision one way or the other.
[02:12:33.987 --> 02:12:34.768]  So there's your headline.
[02:12:34.808 --> 02:12:41.190]  John McAfee has filed for president, but they're kind of like half-pregnant now.
[02:12:41.570 --> 02:12:44.231]  We'll decide in the next 48 hours if indeed that's going to happen.
[02:12:46.438 --> 02:12:48.840]  Well, again, it has been filed.
[02:12:49.380 --> 02:12:50.261]  I have not decided.
[02:12:50.301 --> 02:12:51.061]  That is the truth of it.
[02:12:51.742 --> 02:12:55.625]  Okay, so basically folks are trying to force your hand, but you're undecided.
[02:12:56.705 --> 02:12:57.426]  I am undecided.
[02:12:57.446 --> 02:12:59.127]  Alright.
[02:12:59.147 --> 02:13:00.808]  There are a bunch of reasons, obviously.
[02:13:01.328 --> 02:13:06.472]  I am quite a character in terms of the way the press portrays me.
[02:13:08.393 --> 02:13:10.715]  And yet, I speak what I see as the truth.
[02:13:12.160 --> 02:13:16.425]  I've written a number of articles in the past year criticizing both the U.S.
[02:13:16.465 --> 02:13:25.495]  government and foreign governments for invasions of privacy, for incompetence in terms of understanding the very society in which they're living in.
