[00:00:19.639 --> 00:00:21.280]  Welcome to Namfo Wars Nightly News.
[00:54:30.048 --> 00:54:37.198]  Open borders and so-called open trade, that is all about erasing national sovereignty, just as we pointed out at the beginning of the show.
[00:54:37.759 --> 00:54:41.723]  There really is no difference between the Republicans and the Democrat leadership.
[00:54:41.943 --> 00:54:43.425]  We have an opportunity right now.
[00:54:43.625 --> 00:54:48.710]  If you get involved, you can perhaps get somebody in with the House Freedom Caucus.
[00:54:48.730 --> 00:54:56.818]  They are working together trying to get a real conservative, a real alternative to this kind of leadership that we've seen from both the Republicans and Democrats.
[00:54:56.899 --> 00:55:00.802]  But there really isn't much difference at this point between the leadership of the two parties.
[00:55:01.583 --> 00:55:03.325]  And they're incredibly phony.
[00:55:03.765 --> 00:55:07.268]  You know, there was this article that came out on Rolling Stones just a couple of days ago.
[00:55:07.588 --> 00:55:09.290]  There is no real Hillary Clinton.
[00:55:09.310 --> 00:55:14.434]  And they talked about how she just announced her opposition to the Trans-Pacific Partnership.
[00:55:14.474 --> 00:55:20.840]  And they said, well, you know, she's also said that she opposes it just like she says she opposed NAFTA.
[00:55:21.520 --> 00:55:30.102]  Even though her husband passed it, and she and Barack Obama campaigned against it, and then they proceeded to do nothing at all about it.
[00:55:30.502 --> 00:55:34.363]  She's also said that she opposes the Keystone Pipeline.
[00:55:34.844 --> 00:55:44.066]  And yet, in the Obama administration, her State Department and Hillary Clinton were the only ones on the Democrat side who were championing the Keystone Pipeline.
[00:55:44.346 --> 00:55:55.172]  I oppose it, not on environmental reasons, but because it sets up a transnational corporation, giving them the powers of eminent domain to take the farmlands of people that they're going to run this thing through.
[00:55:55.673 --> 00:56:02.537]  That's the connecting backbone between all this, the common thread that ties all this together.
[00:56:02.597 --> 00:56:07.800]  The fact that she works for the people who want a globalist crony capitalism.
[00:56:08.400 --> 00:56:12.403]  And so they say that Hillary Clinton reinvents herself constantly.
[00:56:12.443 --> 00:56:21.088]  As Rolling Stones put it, to the casual observer, Hillary Clinton has been refit, redesigned, and rolled out as many times as the rumors dogging her for 20 years.
[00:56:21.188 --> 00:56:22.349]  It's absolutely innervating.
[00:56:22.749 --> 00:56:25.771]  People aren't meant to be relaunched as often as phones.
[00:56:26.071 --> 00:56:29.133]  And they say, the more you begin sentences with, to be perfectly honest,
[00:56:29.853 --> 00:56:32.716]  The more it sounds like everything else you're saying is a lie.
[00:56:33.237 --> 00:56:36.120]  Now today on the Drudge Report, they had a picture at the top.
[00:56:36.300 --> 00:56:40.804]  Drudge put a picture of Hillary Clinton and she says, I'm really not even a human being.
[00:56:41.345 --> 00:56:47.271]  And of course, this was a video interview that she had where she was saying, actually, I'm just a robot.
[00:56:47.872 --> 00:56:48.713]  Joking about that.
[00:56:49.173 --> 00:56:51.756]  Trying to sound more human by saying that she's a robot.
[00:56:51.776 --> 00:56:53.697]  You know, she's not artificial intelligence.
[00:56:54.338 --> 00:56:55.459]  She's just artificial.
[00:56:55.739 --> 00:56:58.142]  That's her biggest problem coming up in the debates.
[00:56:58.542 --> 00:57:03.186]  But it looks like she's pretty much rubbed this off on her daughter.
[00:57:03.266 --> 00:57:04.908]  Look at this video yesterday.
[00:57:05.849 --> 00:57:10.213]  Has your mother ever told you that you're the daughter of Webb Hubble and not Bill Clinton?
[00:57:11.514 --> 00:57:13.176]  I'm so proud to be my parents' daughter.
[00:57:14.326 --> 00:57:14.626]  Okay.
[00:57:14.646 --> 00:57:15.266]  Thank you, sir.
[00:57:15.326 --> 00:57:17.547]  One more quick question about this book right here.
[00:57:17.707 --> 00:57:17.967]  Sure.
[00:57:18.687 --> 00:57:21.528]  You say it's targeted towards teenage girls?
[00:57:22.008 --> 00:57:23.688]  It's targeted actually to kids.
[00:57:24.108 --> 00:57:24.929]  Girls and boys.
[00:57:25.569 --> 00:57:30.330]  Would you say that Bill Clinton also targets teenage girls, except for sexual reasons?
[00:57:31.370 --> 00:57:34.231]  I would say my book is really resonating with kids.
[00:57:34.673 --> 00:57:38.494]  So it should be interesting tomorrow night to see if she can come across as a real person.
[00:57:38.534 --> 00:57:41.756]  We know that NBC has been doing their best to try to make her look human.
[00:57:42.176 --> 00:57:48.198]  Saturday Night Live did an extended spot with her trying to humanize Hillary Clinton.
[00:57:48.238 --> 00:57:50.219]  But we'll see what happens tomorrow night in the debates.
[00:57:50.239 --> 00:57:54.581]  And we're going to be covering that, as I mentioned at the beginning of the segment, here on the Nightly News.
[00:57:54.681 --> 00:58:00.063]  Our first half hour will be news, and then we will jump into the debates and cover that for the next two hours with our comments.
[00:58:00.483 --> 00:58:02.704]  Of course, they are desperate for someone else.
[00:58:03.864 --> 00:58:08.907]  Joe Biden will announce during the debates, maybe he'll announce immediately after in order to steal their thunder.
[00:58:08.947 --> 00:58:10.707]  We'll see what happens with that.
[00:58:11.048 --> 00:58:14.569]  Join us again tomorrow night for that debate as well as the nightly news.
[00:58:14.629 --> 00:58:18.771]  And if you're not a supporter of Prison Planet TV, please become a supporter.
[00:58:19.251 --> 00:58:25.394]  Your subscription helps to pay for this operation, helps us to get this out, and you can get the nightly news every night as it happens.
[00:58:25.434 --> 00:58:30.997]  But again, join us tomorrow night and we'll have an extended coverage of the Democrat Party's first debate.
[00:58:48.809 --> 00:58:49.970]  Knockout is back.
[00:58:50.310 --> 00:59:01.414]  If you want a product that has 10 known ingredients that naturally get your body to relax, your brain to relax, so you get deep restful sleep, Knockout's it.
[00:59:01.815 --> 00:59:03.515]  Infowarslife.com.
[00:59:04.015 --> 00:59:13.139]  L-theanine, hops flower extract, lemon balm extract, valerian root extract, chamomile flower extract, L-tryptophan extract, melatonin, and more.
[00:59:13.539 --> 00:59:15.320]  All organic, all the natural sources.
[00:59:15.880 --> 00:59:16.741]  It's the same price
[00:59:17.481 --> 00:59:23.364]  As leading brands of melatonin that are three milligrams a piece, it has three milligram, the standard recommended dose for an adult.
[00:59:23.904 --> 00:59:30.148]  It's got the GABA, so it would probably cost $50 to take all this as separate pills.
[00:59:30.648 --> 00:59:30.768]  It's $19.95.
[00:59:31.488 --> 00:59:33.830]  You take one or two of these,
[00:59:34.930 --> 00:59:38.213]  And it just is really clean restful sleep is what the reviews are.
[00:59:38.554 --> 00:59:42.477]  It's what I've experienced and it just synergistically puts everything in there.
[00:59:42.758 --> 00:59:43.719]  Infowarslife.com.
[00:59:43.779 --> 00:59:47.262]  That's Infowarslife.com or call 888-253-3139.
[00:59:48.703 --> 00:59:52.627]  You are watching the Infowars Nightly News which airs 7 p.m.
[00:59:52.667 --> 00:59:58.733]  Central at Infowarsnews.com and your support is helping us defend liberty worldwide.
