[00:00:00.392 --> 00:00:01.220]  Let's show.
[01:36:29.650 --> 01:36:30.891]  Peter Schiff, Europec.net.
[01:36:32.435 --> 01:36:33.716]  Peter, you've got about seven minutes left.
[01:36:33.736 --> 01:36:34.537]  I know you've got to go.
[01:36:34.557 --> 01:36:35.998]  I appreciate you coming on.
[01:36:36.018 --> 01:36:39.621]  I can sit here and ask my economic questions all day.
[01:36:40.061 --> 01:36:42.003]  The Greece situation, any more on that?
[01:36:42.744 --> 01:36:43.925]  What else are you looking at?
[01:36:44.025 --> 01:36:45.106]  And then what's some good news?
[01:36:46.001 --> 01:36:56.746]  Well, before I even mention Greece, as long as you're talking about McDonald's and restaurant sales, you know, on the retail sales numbers that came out this week, we actually had a drop in restaurant and bar sales by 0.2%.
[01:36:57.486 --> 01:37:00.368]  That's the biggest decline since January of 2014.
[01:37:00.408 --> 01:37:08.072]  And, you know, the problem is, you know, college grads need a vibrant restaurant business because that's where they get their jobs.
[01:37:08.172 --> 01:37:11.413]  You know, you graduate from college and then you can land a job at McDonald's.
[01:37:11.813 --> 01:37:14.935]  And so that's going to be problematic for our, you know, our college grads.
[01:37:15.635 --> 01:37:17.096]  I don't think so.
[01:37:37.085 --> 01:38:05.700]  Payments to Greek voters even if they happen to deliver some bad news and tell you know Greek pensioners and government workers That they're gonna have to take some cuts They would have to take much bigger cuts if they actually left the eurozone But that would actually be a good thing because what we need is less government in Greece and more freedom instead They're gonna agree to higher taxes They're gonna continue to keep people on the dole and ultimately there's gonna be some kind of violent revolution in Greece because this is not going to work
[01:38:06.520 --> 01:38:07.281]  What's going on?
[01:38:09.262 --> 01:38:24.614]  Is this about Western governments and the robber baron class living for the day and just robbing the bank trying to build their armored redoubt you know in some faraway place as they're now doing headed for the exits that there really isn't a big conspiracy they kind of had a big global government
[01:38:25.134 --> 01:38:41.383]  talk to to to act like they had an exit plan but really their exit plan is the collapse of civilization with all the stealing and the socialism and the redistribution because they never back off the socialism or the corporate welfare they seem to only double down and if you study history
[01:38:41.943 --> 01:38:50.191]  I mean, I was reading yesterday in the London Telegraph and also in several other papers, they say Rome is a rotting, festering rat hole now.
[01:38:50.531 --> 01:38:51.932]  Just ten years ago it was nice.
[01:38:52.393 --> 01:38:53.994]  Other mega cities are falling apart.
[01:38:54.534 --> 01:38:55.836]  I was back in New York recently.
[01:38:55.936 --> 01:38:58.178]  It looked like a third world country.
[01:38:58.218 --> 01:38:59.699]  It looked nice ten years ago.
[01:39:00.360 --> 01:39:03.162]  I go to LA, it looks scary, except in certain areas.
[01:39:03.523 --> 01:39:05.624]  I go to Dallas, I grew up there, it looks scary.
[01:39:06.025 --> 01:39:06.966]  What is going on?
[01:39:07.611 --> 01:39:12.637]  Yeah, well, first, you know, it was a mistake for the European countries to have come together in a union.
[01:39:12.677 --> 01:39:17.463]  It was, you know, because of politicians that wanted more power that they sold it to the people.
[01:39:18.023 --> 01:39:23.170]  But it wasn't a good deal, not because it's preventing Greece from printing more money.
[01:39:23.510 --> 01:39:23.690]  Right?
[01:39:24.070 --> 01:39:28.392]  The problem is it's putting all these countries together is just growing the government.
[01:39:28.532 --> 01:39:33.494]  And I know Germany couldn't afford to allow the moral hazard of forgiving the Greek debt.
[01:39:33.734 --> 01:39:38.036]  So they have to keep them in there just so they can send a message to everybody else.
[01:39:38.076 --> 01:39:42.918]  But you know, it was a mistake now looking back for our states to have come together.
[01:39:42.938 --> 01:39:51.782]  You know, the 12 initial colonies, you know, given where we are today, we would be better off had they never formed a central government and had they stayed independent states.
[01:39:52.282 --> 01:40:04.629]  Maybe had we operated under the Articles of Confederation instead of the Constitution, because what the original framers intended was a very small federal government with very little power that would only tax us in times of war.
[01:40:04.749 --> 01:40:06.831]  And it would only deal with disputes between the states.
[01:40:08.018 --> 01:40:10.680]  Yeah, and now we have an all-powerful federal government.
[01:40:11.020 --> 01:40:14.683]  I think most states would be better off seceding from the Union.
[01:40:15.184 --> 01:40:17.906]  The average state would be better off if it wasn't part of the United States.
[01:40:18.126 --> 01:40:24.151]  If it was a separate country, and it can operate with a lot less money, but now we're stuck together in this very imperfect Union.
[01:40:25.712 --> 01:40:35.220]  Well, I agree with you, and you know, I've said we can have the states secede under the Declaration of Independence, and then reform with a real limited federal government.
[01:40:36.115 --> 01:40:38.476]  Yeah, because we saw what happened last time.
[01:40:38.496 --> 01:40:39.117]  They tried that.
[01:40:39.157 --> 01:40:43.759]  There were some southern states that tried that and we had, you know, the Civil War, so it didn't work out so well.
[01:40:44.099 --> 01:40:49.482]  And then as a result of the Civil War, we got paper money, we got the income tax, we got all kinds of other bad things.
[01:40:49.562 --> 01:40:50.642]  But see, you're a smart guy.
[01:40:50.702 --> 01:40:52.043]  You know the real history of that.
[01:40:52.063 --> 01:40:55.205]  It had nothing to do with slavery until the end.
[01:40:55.905 --> 01:40:57.666]  And 2% of the South had slaves.
[01:40:57.726 --> 01:40:58.746]  It's a total red herring.
[01:40:59.006 --> 01:41:03.028]  It was all about Western expansion, all about tariffs in the North on Southern goods.
[01:41:03.448 --> 01:41:06.089]  And then they just tell the public, no, it was about hating black people.
[01:41:06.469 --> 01:41:11.771]  When in truth, that's why Robert E. Lee was the top general in the North, the commandant of West Point.
[01:41:12.091 --> 01:41:13.831]  They wanted him to be the head of the Northern forces.
[01:41:14.212 --> 01:41:17.233]  And he said, I don't want to do this, but this is illegal what you're doing.
[01:41:17.593 --> 01:41:18.793]  I have to go join the South.
[01:41:19.113 --> 01:41:20.774]  And Robert E. Lee hated slavery.
[01:41:21.334 --> 01:41:24.616]  Yeah, I mean, first of all, I mean, slavery was bad, no question about it.
[01:41:24.696 --> 01:41:27.857]  At least the one good thing that came out of the Civil War was that it ended.
[01:41:28.878 --> 01:41:30.579]  It would have ended anyway, eventually.
[01:41:30.839 --> 01:41:34.901]  But, you know, there was more racism in the North than there was in the South, you know.
[01:41:35.061 --> 01:41:36.742]  But the reality was that
[01:41:37.262 --> 01:41:41.065]  Lincoln didn't free the slaves until the Emancipation Proclamation in 1863.
[01:41:41.525 --> 01:41:47.409]  We were two years into the war, and the reason he did that was because France was threatening to come to the aid of the South.
[01:41:47.749 --> 01:41:51.452]  And so Lincoln had to make it about slavery rather than about something else.
[01:41:51.512 --> 01:41:55.755]  So it ended up that we got to free the slaves, but that's not why the war started.
[01:41:57.461 --> 01:42:01.603]  But again, you read books, you read history, which makes you a racist.
[01:42:02.824 --> 01:42:09.627]  I'm being sarcastic, because with the new political correctness, they just trump our facts with just claiming we're racist, we're right-wing, we're hateful.
[01:42:10.307 --> 01:42:11.988]  I mean, I don't think you call yourself right-wing.
[01:42:12.008 --> 01:42:12.828]  What do you call yourself?
[01:42:12.848 --> 01:42:13.749]  Just a free market guy?
[01:42:14.289 --> 01:42:23.176]  Yeah, look, I would have loved it if Thomas Jefferson had had his way and the original Declaration of Independence emancipated the slaves, but we wouldn't have had the document.
[01:42:23.216 --> 01:42:28.940]  They had to cave in, and you know, just because I understand the true history of the Civil War doesn't mean I'm pro-slavery.
[01:42:29.000 --> 01:42:29.521]  No, exactly!
[01:42:29.861 --> 01:42:30.281]  Horrible.
[01:42:30.522 --> 01:42:32.703]  And the fact is, it's bad economics.
[01:42:32.964 --> 01:42:34.845]  That's why it was dying out all over the world.
[01:42:34.885 --> 01:42:39.389]  There's only, I think, maybe one other nation in the world that fought a war to end slavery.
[01:42:39.469 --> 01:42:42.851]  Every place else that had it, you know, it went away on its own.
[01:42:43.192 --> 01:42:44.092]  And it would have gone away.
[01:42:44.132 --> 01:42:45.634]  It might have taken another 20 years.
[01:42:45.954 --> 01:42:47.455]  But, you know, we wouldn't have had Jim Crow.
[01:42:47.475 --> 01:42:53.360]  We wouldn't have had a lot of the problems and the animosity that existed following that Civil War.
[01:42:54.160 --> 01:43:00.603]  And so I think, ultimately, the descendants of slaves would have been much better off had we not fought that war.
[01:43:00.663 --> 01:43:01.704]  They would be free today.
[01:43:02.284 --> 01:43:05.326]  And the nation would have saved millions of lives.
[01:43:05.566 --> 01:43:08.827]  The economic damage that resulted from that war was horrific.
[01:43:09.127 --> 01:43:12.749]  And the government used the war to usurp all sorts of powers.
[01:43:13.049 --> 01:43:16.691]  I mean, I think if we never fought that civil war, we wouldn't have the income tax today.
[01:43:16.831 --> 01:43:18.232]  We might not have the Federal Reserve.
[01:43:18.252 --> 01:43:19.792]  We might still be on a gold standard.
[01:43:20.093 --> 01:43:22.854]  And we wouldn't have any slaves, so we'd all be a lot freer.
[01:43:23.749 --> 01:43:31.042]  Well, plus, if they do the background, most Americans that came here of any color, their ancestors came here after the Civil War.
[01:43:31.423 --> 01:43:33.987]  Most white people have no connection to slavery.
[01:43:34.628 --> 01:43:36.411]  And so it's just asinine.
[01:43:37.042 --> 01:43:37.803]  Well, of course not.
[01:43:37.823 --> 01:43:39.965]  And of course, very few whites owned slaves.
[01:43:40.126 --> 01:43:42.488]  In fact, in fact, there were even some blacks that owned slaves.
[01:43:42.549 --> 01:43:44.931]  So, you know, it wasn't like, you know, it was only whites.
[01:43:44.971 --> 01:43:47.234]  But look, I don't want, look, it was a terrible thing.
[01:43:47.314 --> 01:43:48.315]  Slavery is the worst thing.
[01:43:48.335 --> 01:43:49.337]  No, no, I totally agree.
[01:43:49.457 --> 01:43:57.186]  I mean, the issue is we're here watching the country in deep trouble, and this is still the biggest issue out there that they use as a diversion.
[01:43:57.746 --> 01:44:00.329]  It is a diversion, and you look, look, I'm Jewish.
[01:44:00.449 --> 01:44:07.858]  I mean, you know, there were Jews that were enslaved at one point too, but I'm not, you know, I don't, I'm not owed anything as a result of it.
[01:44:07.898 --> 01:44:10.621]  We have real economic problems, and we have modern slavery.
[01:44:10.641 --> 01:44:13.064]  So the Babylonians and the Egyptians don't owe you anything?
[01:44:13.444 --> 01:44:13.584]  No.
[01:44:13.744 --> 01:44:15.265]  We're all slaves to the U.S.
[01:44:15.325 --> 01:44:15.625]  government.
[01:44:15.645 --> 01:44:22.870]  The way I look at it, this is one big giant plantation, and the government takes half of everything I earn, and then they try to control everything that I do.
[01:44:23.210 --> 01:44:26.572]  You know, the slave owner only got 10% of his slaves' production.
[01:44:26.832 --> 01:44:27.392]  So the U.S.
[01:44:27.432 --> 01:44:31.675]  government gets a lot more from me economically than any plantation owner got out of its slaves.
[01:44:31.695 --> 01:44:31.955]  That's right.
[01:44:32.575 --> 01:44:35.376]  And so, we have to get rid of these chains.
[01:44:35.756 --> 01:44:46.380]  We have to free ourselves, emancipate ourselves from this current system, and we have to go back to what the founders envisioned, not just for us, but for all the people of the United States, black, white, immigrant, whoever it is.
[01:44:46.560 --> 01:44:47.680]  We all need to be free.
[01:44:48.020 --> 01:44:48.320]  I agree.
[01:44:48.361 --> 01:44:51.982]  Peter Schiff, powerful point, in 60 seconds closing.
[01:44:52.882 --> 01:45:06.726]  How do we launch a peaceful global slave revolt worldwide to stand up and say, we're paying 60-70% in France, 80-90% to a bunch of corrupt government bureaucrats that are above the law and tax-exempt in most cases.
[01:45:07.146 --> 01:45:10.287]  That's the most incredible part about it is that we are truly slaves.
[01:45:10.747 --> 01:45:12.848]  How do we become free again, Peter Schiff?
[01:45:13.188 --> 01:45:14.029]  You know, I don't know.
[01:45:14.109 --> 01:45:15.271]  I mean, my dad tried it.
[01:45:15.291 --> 01:45:23.743]  You know, he's 87 years old and he's still in jail because he stood up for the Constitution and wasn't paying... By the way, your dad is in prison for writing a book!
[01:45:24.585 --> 01:45:30.450]  Well, writing books and advocating that people follow the law the way he sees it, and not pay taxes.
[01:45:30.510 --> 01:45:34.774]  So, you can't just stop paying unless you're willing to risk going to jail, like my father.
[01:45:34.814 --> 01:45:35.775]  I mean, look, we can vote.
[01:45:35.975 --> 01:45:37.236]  We can vote for Rand Paul.
[01:45:37.477 --> 01:45:43.362]  You know, we can vote for people who profess to support the Constitution and stand for liberties, but it is very difficult.
[01:45:43.402 --> 01:45:47.766]  And you know, we've got an army of Americans now who are beholden to the federal government.
[01:45:48.006 --> 01:45:50.809]  They divvy up the loot that the government steals.
[01:45:51.189 --> 01:45:52.110]  I think so.
[01:46:06.502 --> 01:46:10.043]  Well, let me show a Forbes article about your dad, Erwin Schiff, who I was pretty good friends with.
[01:46:10.403 --> 01:46:12.123]  Interviewed him in person probably 15 times.
[01:46:12.163 --> 01:46:13.944]  Spoke on the lecture circuit with him.
[01:46:13.984 --> 01:46:14.884]  Really cool guy.
[01:46:15.744 --> 01:46:20.105]  Forbes headline, Ninth Circuit rules 85-year-old tax protester should stay in jail.
[01:46:20.165 --> 01:46:26.947]  I followed your father's case closely, obviously not as much as you, but I remember it being in the Las Vegas Review-Journal with a straight face.
[01:46:26.967 --> 01:46:31.528]  They reported that the judge said, OK, you're not going to go to prison.
[01:46:32.028 --> 01:46:33.789]  Don't put your book out anymore.
[01:46:34.289 --> 01:46:34.469]  Yeah.
[01:46:34.770 --> 01:46:39.116]  And your dad said, no, you put the book out and went to prison and he's been in there how long?
[01:46:39.136 --> 01:46:40.859]  I mean, that he is a political prisoner.
[01:46:40.879 --> 01:46:41.820]  I mean, your dad's a hero.
[01:46:42.421 --> 01:46:46.507]  His book, I think, other than Lolita, it was like the only book that the government's ever banned.
[01:46:46.648 --> 01:46:47.930]  His book, The Federal Mafia.
[01:46:48.070 --> 01:46:50.033]  You know, if you haven't read his economic books,
[01:46:50.293 --> 01:46:51.714]  You know, they really influenced me.
[01:46:51.775 --> 01:46:55.298]  I still have copies, you know, The Biggest Con, Kingman Malls.
[01:46:55.318 --> 01:46:59.242]  I mean, if anyone goes to, you know, my shiftradio.com, I have a bookstore there.
[01:46:59.542 --> 01:47:01.124]  You can order these books.
[01:47:01.144 --> 01:47:04.427]  I don't have that many left, but, you know, I got them in my garage.
[01:47:04.847 --> 01:47:08.491]  But, you know, he really influenced my economic way of thinking.
[01:47:08.551 --> 01:47:10.453]  Wow, I didn't know you were selling these banned books.
[01:47:10.473 --> 01:47:10.873]  How evil.
[01:47:11.874 --> 01:47:13.475]  Let's spend a minute or two on your dad, then I'll let you go.
[01:47:13.735 --> 01:47:15.756]  Because I never want to bring your dad up because I know it's private.
[01:47:15.776 --> 01:47:17.096]  I should have asked you, but you brought him up.
[01:47:17.456 --> 01:47:18.557]  What a cool guy.
[01:47:18.577 --> 01:47:20.317]  How much energy he's got.
[01:47:20.617 --> 01:47:22.818]  How is he doing after a decade in prison?
[01:47:23.579 --> 01:47:24.639]  Look, he's still alive.
[01:47:24.739 --> 01:47:26.080]  Most of his friends aren't.
[01:47:26.280 --> 01:47:27.860]  None of his sisters are still alive.
[01:47:27.880 --> 01:47:30.301]  There's a lot of people that haven't made it to 87.
[01:47:30.781 --> 01:47:31.742]  He's relatively healthy.
[01:47:31.762 --> 01:47:35.803]  I think he'd be in better shape if he was in a real hospital and not a government prison.
[01:47:36.203 --> 01:47:40.025]  But he only has a couple years left in his sentence, so hopefully he'll stay healthy long enough
[01:47:40.365 --> 01:47:40.545]  I don't
[01:48:02.352 --> 01:48:04.274]  That's the one I still sell that he wrote in 1972, 1973.
[01:48:06.496 --> 01:48:07.757]  All this stuff is coming true.
[01:48:07.777 --> 01:48:13.962]  You know, his book was very prescient, but it was obviously very early, because a lot of the things that he forecasts are happening now.
[01:48:14.222 --> 01:48:15.683]  Much of this stuff happened later in the 1970s.
[01:48:15.784 --> 01:48:19.287]  Yeah, your dad battled the Federal Reserve, the New World Order, everything.
[01:48:20.087 --> 01:48:24.630]  And he did it for, gosh, your dad's been around 40 years and longer doing this.
[01:48:25.010 --> 01:48:27.872]  And he's somebody we don't talk about in prison right now.
[01:48:27.892 --> 01:48:28.973]  I remember reading that thing.
[01:48:29.293 --> 01:48:32.895]  Judge sentences him to long term for republishing book.
[01:48:33.015 --> 01:48:37.658]  I mean, that is just, but meanwhile, people can run around at shopping malls with ISIS flags.
[01:48:39.079 --> 01:48:39.479]  Incredible.
[01:48:39.519 --> 01:48:41.120]  Peter Schiff, Europac.net.
[01:48:41.400 --> 01:48:43.361]  Look forward to talking to you again in two weeks, sir.
[01:48:43.401 --> 01:48:44.922]  And say hi to your dad next time you talk to him.
[01:48:45.442 --> 01:48:45.763]  I will.
[01:48:46.463 --> 01:48:47.003]  All right, thank you.
[01:48:47.303 --> 01:48:51.604]  Yeah, I mean, I just forget his dad is a real live political prisoner, ladies and gentlemen.
[01:48:52.084 --> 01:48:55.105]  A real live political prisoner.
[01:48:56.686 --> 01:48:57.726]  I mean, go research it.
[01:48:58.086 --> 01:49:09.629]  They tried to put, he was here in studio two weeks ago, or a week and a half ago, they tried to put Joe Bannister, highly decorated, seven years as a treasury agent, armed treasury agent,
[01:49:10.748 --> 01:49:26.500]  And he heard a radio show, said the Federal Reserve's private, the IRS never got ratified, the income tax, he didn't believe it, he set out to disprove it for two years, found it was true, went to his superiors and they said, he said, I'm gonna have to resign if you can't tell me this isn't true.
[01:49:26.520 --> 01:49:29.202]  And they said, listen, the fact that you even looked into this, resign.
[01:49:31.223 --> 01:49:34.886]  And then now his buddies call him and apologize and now all know it's true.
[01:49:35.246 --> 01:49:40.010]  But they tried to put him in jail, not once, but twice in the last five years.
[01:49:41.598 --> 01:49:45.066]  And he got jury trials, and the juries would go out and tell the news.
[01:49:45.146 --> 01:49:47.612]  It's like they proved his case.
[01:49:48.293 --> 01:49:51.661]  And all he was doing was giving speeches as the CPA.
[01:49:54.335 --> 01:49:57.977]  Look how Lois Lerner's trying to put everybody in prison, and she didn't get in trouble.
[01:49:58.678 --> 01:50:02.100]  I mean, folks, this is Nazi or Soviet level.
[01:50:02.200 --> 01:50:03.922]  I mean, this is chilling.
[01:50:03.942 --> 01:50:05.302]  I just got chills, that's why I'm saying chilling.
[01:50:05.643 --> 01:50:09.645]  I mean, my body just chills, because I know I'm up to bat here.
[01:50:09.665 --> 01:50:10.186]  I don't like it.
[01:50:10.846 --> 01:50:13.848]  I can really feel the wings of the New World Order flapping around me.
[01:50:14.228 --> 01:50:16.110]  It's only because we're so public.
[01:50:16.943 --> 01:50:18.906]  That we're even still here, so please pray for us.
[01:50:19.787 --> 01:50:26.316]  I'm going to go to break and come back and go to Garrett, Sherry, Dion, Steve, Steve and others.
[01:50:26.756 --> 01:50:27.637]  I'm going to go to your calls.
[01:50:27.657 --> 01:50:29.460]  We're going to Chuck Baldwin on at 15 after.
[01:50:29.480 --> 01:50:34.427]  I got the next segment and then two more little segments to get through these callers.
[01:50:36.204 --> 01:50:39.306]  Briefly, I've already done almost another hour of broadcast and have not plugged anything.
[01:50:39.386 --> 01:50:40.786]  We are funded by you.
[01:50:41.287 --> 01:50:43.728]  We have the best products at very low prices.
[01:50:44.948 --> 01:50:49.170]  Cook stoves, high quality, non-GMO, storable foods.
[01:50:50.031 --> 01:50:55.614]  We have amazing nutraceuticals, free shipping the month of July.
[01:50:56.414 --> 01:50:59.258]  And it's your support, it's your purchases that make it all possible.
[01:50:59.638 --> 01:51:01.761]  You want to thank me all the time on the street, it's very humbling.
[01:51:02.082 --> 01:51:02.782]  I want to thank you.
[01:51:02.802 --> 01:51:04.324]  We couldn't have done any of this without you.
[01:51:04.865 --> 01:51:06.868]  So we bring you the best products, the lowest prices.
[01:51:07.128 --> 01:51:09.171]  Shop with the good guys at FullWorthStore.com.
[01:51:11.243 --> 01:51:16.267]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[01:51:16.287 --> 01:51:20.971]  With packages starting at $169.99 and free shipping on every order.
[01:51:21.031 --> 01:51:25.194]  KD offers soft armor and rifle throat rated armor up to level 4.
[01:51:25.275 --> 01:51:29.778]  Go to KDArmor.com and get your body armor today while you still can.
[01:51:29.858 --> 01:51:35.083]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[01:51:35.283 --> 01:51:37.845]  That's KDArmor.com.
[01:51:38.025 --> 01:51:38.906]  Come and take it!
[01:51:39.426 --> 01:51:46.249]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[01:51:46.429 --> 01:51:51.291]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[01:51:51.471 --> 01:51:53.572]  No scare tactics, just common sense.
[01:51:53.692 --> 01:52:00.215]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[01:52:00.375 --> 01:52:04.237]  Learn more at BlockItPocket.com or call 888-315-9618.
[01:52:05.437 --> 01:52:08.679]  BlockItPocket.com, enhancing health and privacy.
[01:52:10.253 --> 01:52:12.295]  The folks at My Patriot Supply get it.
[01:52:12.535 --> 01:52:16.398]  They know the world can be unpredictable, and there are some scary things happening right now.
[01:52:16.899 --> 01:52:24.004]  The only way we can make sure we maintain our independence, despite the situation, is to take control and get prepared.
[01:52:24.505 --> 01:52:28.008]  They've come up with a deal that will help you get prepared for anything.
[01:52:28.688 --> 01:52:31.431]  Right now, you can get a four-week food supply for only $99.
[01:52:31.471 --> 01:52:32.471]  That's almost 50% off the online price.
[01:52:35.774 --> 01:52:41.398]  Call 800-274-3070 to claim yours while supplies last.
[01:52:41.758 --> 01:52:42.919]  Limit two per caller.
[01:52:43.399 --> 01:52:48.822]  This offer isn't available online, so take advantage of this opportunity to get prepared today.
[01:52:48.842 --> 01:52:51.844]  800-274-3070 to get your four-week food supply for the incredible price of only $99.
[01:52:51.884 --> 01:52:52.605]  Call 800-274-3070 right now.
[01:52:52.625 --> 01:52:52.845]  That's 800-274-3070.
[01:53:03.872 --> 01:53:06.993]  3070 to claim yours while supplies last.
[01:53:08.674 --> 01:53:14.595]  At 30dayfoodsupply.com, two of our top priorities are providing quality food at a reasonable price and protecting your security.
[01:53:14.915 --> 01:53:22.878]  When you call 800-700-2184, we will never record your phone call and never ask for your personal information, like how much food you have stored or where you keep it.
[01:53:23.178 --> 01:53:26.899]  We'll also never store your credit card information and email address on a computer.
[01:53:27.199 --> 01:53:29.240]  Your email address will never be shared or sold.
[01:53:29.500 --> 01:53:31.421]  We'll never limit the number of boxes you can purchase.
[01:53:31.641 --> 01:53:35.083]  We'll never use outside packers or use relabeled food from another company.
[01:53:35.504 --> 01:53:43.688]  Our meals are naturally high in fiber, carbs and protein and everything is packed with oxygen absorbers and Mylar pouches under our direct supervision at our plant in Oregon.
[01:53:43.968 --> 01:53:50.569]  Oregon Trail Foods and 30dayfoodsupply.com keep prices low by buying directly from their producers in Oregon and then passing the savings on to you.
[01:53:50.849 --> 01:53:54.210]  Call 800-700-2184 and purchase our 30-day, 90-serving emergency food supply for only $99 and $10 ships your entire order to lower 48.
[01:53:54.310 --> 01:53:56.351]  Visit our website 30dayfoodsupply.com or call 800-700-2184.
[01:53:56.391 --> 01:53:57.251]  That's 30dayfoodsupply.com and 800-700-2184.
[01:54:24.028 --> 01:54:37.899]  It's Jerry Reid.
[01:54:39.481 --> 01:54:41.342]  You know, my dad's dad was named Jerry Jones.
[01:54:41.863 --> 01:54:49.049]  If I have another son, I thought I might name him Jerry Jones, but I think Jerry Jones of the Cowboys has kind of ruined that.
[01:54:52.056 --> 01:54:53.918]  People will be like, you're named after Jerry Jones?
[01:54:54.138 --> 01:54:55.960]  No, not that Jerry Jones.
[01:54:57.661 --> 01:55:01.845]  See, I'm not big on naming sons after myself, but after a grandfather, I think it's pretty cool.
[01:55:01.865 --> 01:55:10.113]  But then I'd have to... I'd have to name a son Clyde, because that was my mom's dad's name.
[01:55:10.133 --> 01:55:13.055]  I don't know if Clyde sounds that modern.
[01:55:15.077 --> 01:55:16.358]  Old Jerry Reed, though.
[01:55:17.165 --> 01:55:18.306]  He just died a few years ago.
[01:55:18.766 --> 01:55:27.733]  You know, I said I'd go to your phone calls, but usually two hours of the show, being so serious, I start looking further afield to psychological distractions.
[01:55:28.714 --> 01:55:35.939]  Coming up, I want to give the United States oath of allegiance that you have to give when you become a citizen.
[01:55:37.400 --> 01:55:39.642]  And a lot of these people attacking us are not citizens.
[01:55:40.323 --> 01:55:41.564]  And it's because they hate this country.
[01:55:42.404 --> 01:55:45.647]  And I don't know why they'd want to come here to be in a liberal country.
[01:55:47.537 --> 01:55:49.018]  And by liberal, I mean just a lot of freedom.
[01:55:49.038 --> 01:55:50.298]  That's what real liberalism is.
[01:55:50.778 --> 01:55:52.119]  And then they want to get angry about it.
[01:55:52.159 --> 01:55:54.580]  Just, you know, I'm sorry, not going to work.
[01:55:55.180 --> 01:55:57.561]  So I want to go to your calls just briefly because I mentioned it.
[01:55:59.722 --> 01:56:02.623]  We do have a lot of specials running right now on InfoWarsTore.com.
[01:56:03.084 --> 01:56:06.805]  25% off the Molon Labe belt buckle products that are almost sold out.
[01:56:06.825 --> 01:56:10.827]  10% off all the t-shirts, Made in America and elsewhere.
[01:56:10.847 --> 01:56:12.548]  We have a whole Made in America division.
[01:56:13.706 --> 01:56:14.346]  I don't think so.
[01:56:31.491 --> 01:56:37.254]  Annex 2 will be sold out, we think by Monday or Tuesday, and then hopefully we'll be able to get more manufactured and get it in.
[01:56:37.274 --> 01:56:43.997]  But if you do want it or want to stockpile it, it's the good halogen, fills up the thyroid and other glands, so the bad halogens can't get in there.
[01:56:44.017 --> 01:56:45.418]  It's been a major life changer.
[01:56:45.438 --> 01:56:51.841]  You can read the rave reviews at mfulworthstore.com or mfulworthlife.com or 888-253-3139.
[01:56:51.881 --> 01:56:56.864]  There's a lot of other great nutraceutical products there as well, so be sure and check them out.
[01:56:56.924 --> 01:56:58.945]  Five-star reviews, unheard of.
[01:56:59.705 --> 01:57:02.007]  And so thank you all for your support in many ways.
[01:57:02.447 --> 01:57:06.070]  Garrett in Texas, you're on the air, go ahead.
[01:57:07.611 --> 01:57:12.255]  Yes, Alex, I actually have a couple of questions for you if you'd like to hit a few points.
[01:57:12.495 --> 01:57:14.697]  I'm going to screen your call, you're on the air right now.
[01:57:15.871 --> 01:57:16.572]  Okay, excellent.
[01:57:16.892 --> 01:57:30.804]  Well, number one, I wanted to talk about the economy, and it seems like the major transition into the more unionized government, it seems like it's going to go with North American first, as we predicted, although we already know that NAFTA's in place, so it's kind of softly in place.
[01:57:31.645 --> 01:57:37.690]  It seems like, to me, the easiest way for it to be done, when I talk to my parents, people in society,
[01:57:38.230 --> 01:57:41.635]  I'm a waiter so I talk to a lot of people from all different kinds of backgrounds.
[01:57:42.196 --> 01:57:53.612]  It seems to me that it's going to be very easy for them to transition over to it and accept it if the dollar devaluates and really all the money in their bank account and all their retirement
[01:57:54.238 --> 01:58:06.627]  Especially old folks who have, you know, have to rely on the government for their retirement and other sources, when all of that's worth nothing, and the answer is, well, switch over to this new currency, and that's the only way you're going to get your money back.
[01:58:06.787 --> 01:58:11.170]  Yeah, that's what they're going to do, crash the global economy in steps, bring in the new global currency.
[01:58:11.190 --> 01:58:14.833]  You'll still have it localized, but it'll be pegged to the new global SDR.
[01:58:15.153 --> 01:58:17.395]  That is one of the main plans they're kicking around.
[01:58:17.695 --> 01:58:23.139]  Not saying that's what's going to happen, but that's openly being debated by some very wicked, cold-blooded scumbags.
[01:58:24.449 --> 01:58:32.114]  Right, and so that seems like the main facet as far as people not actually being able to fight against that, because they've put so much into it already.
[01:58:32.514 --> 01:58:36.177]  Now, I want to tie into the Iran deal real quick, if you'll let me.
[01:58:36.937 --> 01:58:42.741]  It seems to me, and I got this idea actually from one of the guests that were on your show, and I wanted to kind of bring it back.
[01:58:42.781 --> 01:58:49.305]  Hold on, I'll come back to you in 70 seconds, then we'll go to Dion, Steve, Steve Sherry and others, and I'm going to take all these calls before our guest joins us.
[01:58:52.737 --> 01:58:56.706]  This is GCN, the Genesis Communications Radio Network.
[01:59:00.069 --> 01:59:05.091]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:59:05.211 --> 01:59:11.093]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
