[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[02:06:27.541 --> 02:06:30.742]  I'm talking real money, not paper or worthless stocks.
[02:06:30.742 --> 02:06:35.183]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[02:06:35.183 --> 02:06:41.024]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[02:06:41.024 --> 02:06:41.704]  Don't delay.
[02:06:41.704 --> 02:06:48.726]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[02:06:48.726 --> 02:06:53.207]  These are dangerous times and you need to make financial protection a priority.
[02:06:53.507 --> 02:06:56.129]  I personally own these survival packs and you should too.
[02:06:56.129 --> 02:06:57.550]  Pick up the phone and call 844-541-ALEX now.
[02:07:23.867 --> 02:07:28.950]  Number three, we're giving you free shipping on all orders above $50.
[02:07:28.950 --> 02:07:35.053]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:07:35.053 --> 02:07:42.857]  Just go to InfoWarsStore.com, select your favorite product or products, click on AutoShip, and choose how often you want us to send you another order.
[02:07:42.857 --> 02:07:50.061]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[02:07:50.061 --> 02:07:50.861]  10% off on AutoShip.
[02:07:51.021 --> 02:07:53.442]  Win-win-win at Infowarslife.com.
[02:07:53.442 --> 02:07:55.442]  Free shipping on orders above 50 bucks.
[02:07:55.442 --> 02:08:00.664]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[02:08:00.664 --> 02:08:02.845]  The Alex Jones Show.
[02:08:02.845 --> 02:08:04.426]  Because there is a war on.
[02:08:04.426 --> 02:08:05.226]  Or you're mine.
[02:08:29.756 --> 02:08:35.618]  Ladies and gentlemen, for the rest of the hour, Lew Rockwell of LewRockwell.com is our guest.
[02:08:35.618 --> 02:08:41.620]  He's the head of the Von Mise Institute, former head of Ron Paul's Chief of Staff.
[02:08:41.620 --> 02:08:47.022]  A great political mind, a true classical liberal slash libertarian is what I'm calling.
[02:08:47.022 --> 02:08:49.143]  And I read the stuff at Mise.org.
[02:08:49.143 --> 02:08:58.306]  I mean, it's so on target about how ideas are capital and wealth and how, you know, demanding excellence is what rises up humanity and true competition.
[02:08:58.306 --> 02:08:59.026]  You look at the liberals.
[02:08:59.546 --> 02:09:04.851]  Banning Halloween, sending in police to harass people, launching all these wars, trying to control language.
[02:09:04.851 --> 02:09:05.932]  It's crazy.
[02:09:05.932 --> 02:09:09.174]  Now, we've had the biggest event in InfoWars history.
[02:09:09.174 --> 02:09:11.757]  InfoWars has been around 19 years.
[02:09:11.757 --> 02:09:14.359]  I've been on air 21 years.
[02:09:14.359 --> 02:09:23.147]  And we had, about 6 months ago, some dates where we had 10 times our previous records of traffic on InfoWars.com and PrisonPlanet.com.
[02:09:23.147 --> 02:09:24.308]  This was Beth Harris.
[02:09:24.308 --> 02:09:26.569]  We were having high traffic today.
[02:09:26.569 --> 02:09:26.930]  We got
[02:09:28.951 --> 02:09:30.773]  Five times the traffic we've ever had.
[02:09:30.773 --> 02:09:36.678]  Now that's five times, ten times the traffic.
[02:09:36.678 --> 02:09:38.379]  We just had five times that.
[02:09:38.379 --> 02:09:43.383]  It's so exponential that there's over five million people at any one second on InfoWars.com.
[02:09:43.383 --> 02:09:47.387]  It is, there's nothing else like it except for DrudgeReport.com.
[02:09:47.387 --> 02:09:53.872]  And of course that's because DrudgeReport.com has us two red links dead center on Drudge right now.
[02:09:53.872 --> 02:09:56.674]  Because Drudge obviously was listening when we had Bev Harris on.
[02:09:57.719 --> 02:09:59.360]  And Bev Harris's for months wouldn't come on.
[02:09:59.360 --> 02:10:00.500]  She said, I've got the biggest thing ever.
[02:10:00.500 --> 02:10:02.941]  She came on, she gave it to us first, just like Veritas does.
[02:10:02.941 --> 02:10:03.681]  And I'm just blessed.
[02:10:03.681 --> 02:10:04.402]  I'm humbled.
[02:10:04.402 --> 02:10:06.743]  Because they know we won't censor them, it can come out.
[02:10:06.743 --> 02:10:08.503]  This thing is going so viral.
[02:10:08.503 --> 02:10:13.986]  So I want to get into this with Rockwell, who is a patriot slash politico, so he'll know what to do.
[02:10:13.986 --> 02:10:17.047]  We can all put this together and then get into other issues in a few minutes.
[02:10:17.047 --> 02:10:19.848]  But people are tuned in massively right now.
[02:10:19.848 --> 02:10:24.330]  I mean, just millions of extra people tuned in because people are having their votes flipped.
[02:10:25.151 --> 02:10:25.931]  Weird stuff's happening.
[02:10:25.931 --> 02:10:28.993]  The Democrats are saying we're going to win Utah, we're going to win Texas.
[02:10:28.993 --> 02:10:36.537]  Even though polls show that Trump's going to win, they've been adding 9, 10, 15, 20, 30, 40 points into polls.
[02:10:36.537 --> 02:10:37.978]  Oversampled Democrats.
[02:10:37.978 --> 02:10:41.180]  They're doing corrupt things out in the open we've never seen.
[02:10:41.180 --> 02:10:43.041]  Now is it that we know more or they're just more corrupt?
[02:10:43.041 --> 02:10:43.561]  I think it's both.
[02:10:46.550 --> 02:10:54.432]  What we've discovered is the giant enchilada, the motherlode of programs being used nationwide to shave votes.
[02:10:54.432 --> 02:11:03.774]  We have the algorithm, we have everything, and we have them running at the voting places when Bev Harris shows up with the computers out the back.
[02:11:03.774 --> 02:11:06.975]  We have the insiders, we have the whistleblowers, we have the engineers.
[02:11:08.908 --> 02:11:11.710]  It's called Fractal Magic Digital Version.
[02:11:11.710 --> 02:11:14.052]  Now that's the name of the video they released this morning.
[02:11:14.052 --> 02:11:15.454]  She gave it to us as exclusive.
[02:11:15.454 --> 02:11:16.634]  It's powerful.
[02:11:16.634 --> 02:11:22.119]  But what viral was, how America's elections are hacked is missing link discovered.
[02:11:22.119 --> 02:11:27.423]  Now we're going to put out more videos and more articles with the interview we just did with her last hour.
[02:11:27.423 --> 02:11:35.030]  And what we're seeing is massive key to systematic election fraud discovered.
[02:11:36.614 --> 02:11:46.584]  And then I brought up Soros, and she goes, yes, the company he's connected to through his operatives is the one that's already admitted to using this program.
[02:11:46.584 --> 02:11:47.605]  That's not even in their video.
[02:11:47.605 --> 02:11:48.786]  It's like, oh my God!
[02:11:48.786 --> 02:11:50.668]  And then she named where they caught him.
[02:11:50.668 --> 02:11:54.571]  I mean, this is so biblical right now, okay?
[02:11:54.571 --> 02:11:59.216]  And people know, I don't get excited unless... I've never been this blown away, except maybe when Matt Drudge visited or...
[02:12:00.495 --> 02:12:01.796]  I don't know.
[02:12:01.796 --> 02:12:03.137]  I mean, this is crazy.
[02:12:03.137 --> 02:12:04.998]  And all this is coming out on Hillary.
[02:12:04.998 --> 02:12:06.299]  She's in full panic mode.
[02:12:06.299 --> 02:12:16.547]  I want to get a true omnibudsman of the libertarian movement, not the current head of it, who's basically, Trump took over the Republican Party, the globalists took over the libertarian party, in my view.
[02:12:16.547 --> 02:12:21.691]  I'm not trying to bash libertarians, but if that's libertarian, that warmonger vice president he's got, I'm an Easter bunny.
[02:12:21.691 --> 02:12:25.634]  But the point is, Trump's the populist, he's the nationalist, he's got them scared.
[02:12:26.334 --> 02:12:34.882]  This is such a key time for America, and even if they steal it, folks, and Bev Harris said Trump is really going to win the evidence, but Hillary's going to steal it.
[02:12:34.882 --> 02:12:40.307]  She's a big Democrat, folks, and she said, you heard her on air, she basically broke Lavalle, and this was so bad.
[02:12:40.307 --> 02:12:42.068]  She's the one that exposed Bush.
[02:12:42.068 --> 02:12:44.631]  She's got the ultimate credibility.
[02:12:44.631 --> 02:12:47.714]  Lou Rockwell, I am breathless here, my friend.
[02:12:47.714 --> 02:12:51.057]  I'm glad you're here because, I mean, this is just like,
[02:12:53.030 --> 02:12:58.913]  I mean, it's wonderful we're exposing it, so it's just like I just had another child, but it's also like somebody in the family died.
[02:12:58.913 --> 02:13:00.394]  As we learned, it's worse than we thought.
[02:13:00.394 --> 02:13:03.235]  I mean, this is incredible.
[02:13:03.235 --> 02:13:11.659]  Well, Alex, Bev Harris is a heroine, just like you're a hero, and it's great to have this material out there.
[02:13:11.659 --> 02:13:13.860]  I don't know how new this is in American history.
[02:13:13.860 --> 02:13:18.803]  After all, LBJ stole his Senate seat and even killed somebody in the process.
[02:13:19.403 --> 02:13:24.224]  Mayor Daley in Chicago stole the 1960 election for JFK.
[02:13:24.224 --> 02:13:35.427]  I mean, there are many instances in American history of vote stealing, but probably this is, thanks to the money and the evil of George Soros, this is more systematic, more sophisticated.
[02:13:35.427 --> 02:13:36.627]  But I think you're exactly right.
[02:13:36.627 --> 02:13:45.570]  If Trump, quote-unquote, loses, and how right he is to say he's not going to concede until he sees how crooked the thing is, you know, this is...
[02:13:47.330 --> 02:13:48.831]  This is trouble for the regime.
[02:13:48.831 --> 02:13:50.912]  It's trouble for the power elite.
[02:13:50.912 --> 02:13:53.574]  It's trouble for the globalists.
[02:13:53.574 --> 02:13:57.856]  Because the majority of Americans are going to see it stolen.
[02:13:57.856 --> 02:13:59.437]  This could bring about a revolution.
[02:13:59.437 --> 02:14:01.719]  So, who knows?
[02:14:01.719 --> 02:14:06.862]  Who knows whether they will actually carry out the theft if he gets a big enough vote, which I think he's going to get.
[02:14:06.862 --> 02:14:10.604]  I think this is going to be a landslide for Trump, if it's honest.
[02:14:10.604 --> 02:14:10.904]  Yes, sir.
[02:14:10.904 --> 02:14:13.846]  Please continue with your great points.
[02:14:14.806 --> 02:14:16.287]  Because you didn't hear her, let me just be clear.
[02:14:16.287 --> 02:14:19.628]  She said, and she's not a hype-driven person as you know, she's a true heroine.
[02:14:19.628 --> 02:14:22.109]  She said this dwarfs anything she's ever done.
[02:14:22.109 --> 02:14:24.429]  It's the key to everything, like the janitor's key.
[02:14:24.429 --> 02:14:26.070]  They're using it everywhere.
[02:14:26.070 --> 02:14:30.371]  When she says it on video, they crap their pants and start running.
[02:14:30.371 --> 02:14:34.993]  We have discovered, like you said, the systematic Ring of Mordor, basically.
[02:14:34.993 --> 02:14:37.414]  We have discovered the Dark Lord's Ring.
[02:14:37.414 --> 02:14:42.455]  They've had lots of other little corruptions and stealing and murders and ballot stuffing and dead people voting.
[02:14:42.455 --> 02:14:43.336]  This is the
[02:14:44.508 --> 02:14:45.089]  This is it.
[02:14:45.089 --> 02:14:48.391]  I mean, this is the Excalibur of evil when it comes to stealing elections.
[02:14:48.391 --> 02:14:54.417]  And the fact that she saved this until the October surprise or November surprise, this is going to be a game changer, I think.
[02:14:54.417 --> 02:14:57.279]  Because as you said, if they steal it, it only blows up in their face harder.
[02:14:57.279 --> 02:14:57.820]  Please continue.
[02:14:58.715 --> 02:15:03.437]  Well, I also think that there's some very interesting sort of deep state stuff going on.
[02:15:03.437 --> 02:15:10.221]  I think that there are people within the deep state who, for whatever reason, have decided they don't want Hillary.
[02:15:10.221 --> 02:15:15.844]  My guess is the reason is because even these people don't want a nuclear war with Russia.
[02:15:15.844 --> 02:15:20.246]  So I think that's... I think even within the deep state there are factions... I've been told by top generals!
[02:15:20.246 --> 02:15:22.327]  Yeah, there are factions that are pro-Trump.
[02:15:22.327 --> 02:15:25.149]  Only for that reason, not because they like him otherwise.
[02:15:26.112 --> 02:15:33.855]  I'm sorry to interrupt you, I'm just, I'm just, it's just so, absolutely, current generals, former generals, Flynn exposed how the government's running Al Qaeda and running ISIS.
[02:15:33.855 --> 02:15:35.336]  He's a total patriot.
[02:15:35.336 --> 02:15:37.756]  I mean, the good men and women are standing up.
[02:15:37.756 --> 02:15:39.357]  This is an epic battle.
[02:15:39.357 --> 02:15:46.380]  How would you describe, as a historian as well, Lew Rockwell of lewrockwell.com, how would you describe this moment in history, this next seven days?
[02:15:47.162 --> 02:15:50.165]  Well I think we know there's never been an election like this.
[02:15:50.165 --> 02:15:52.808]  I must say there's never been an election this much fun either.
[02:15:52.808 --> 02:15:53.668]  Yes.
[02:15:53.668 --> 02:15:57.112]  It's tremendous fun that helps everybody focus on it.
[02:15:57.112 --> 02:16:00.315]  It's important that everybody focus on exactly what's happening.
[02:16:00.315 --> 02:16:04.359]  We can't count out the Hillary forces for trying something else.
[02:16:04.359 --> 02:16:07.482]  But I think the James Comey statement
[02:16:07.982 --> 02:16:13.184]  Indicates there's important opposition to her, her, to her, even within the regime.
[02:16:13.184 --> 02:16:15.324]  So this is hot.
[02:16:15.324 --> 02:16:17.465]  My guess is Trump is going to win.
[02:16:17.465 --> 02:16:21.487]  But again, if they steal it from him, they don't win.
[02:16:21.487 --> 02:16:25.168]  We, the people, win because there's going to be an uprising.
[02:16:25.168 --> 02:16:31.730]  And I don't mean a violent uprising, but a popular uprising, a mental uprising, an uprising of ideas.
[02:16:32.930 --> 02:16:36.652]  Thanks to people like you, Alex.
[02:16:36.652 --> 02:16:39.253]  I think this is a great time for America.
[02:16:39.253 --> 02:16:43.555]  I think it's going to be thrilling, but we have to watch.
[02:16:43.555 --> 02:16:48.597]  We know all the instances of vote flipping in Texas and all the corruption in other states.
[02:16:48.597 --> 02:16:51.998]  George Soros is also behind all the immigration.
[02:16:51.998 --> 02:16:54.099]  This is another thing that's going for Hillary.
[02:16:54.099 --> 02:16:58.581]  They're wanting to register all the illegals and have them vote the straight Democratic ticket.
[02:16:59.221 --> 02:17:01.262]  To what extent they get away with that?
[02:17:01.262 --> 02:17:01.802]  I don't know.
[02:17:01.802 --> 02:17:03.842]  That's their intention.
[02:17:03.842 --> 02:17:09.124]  Have there been enough illegals brought in so that they win just on those grounds?
[02:17:09.124 --> 02:17:10.665]  We can certainly hope not.
[02:17:10.665 --> 02:17:13.425]  But this is definitely a historic moment.
[02:17:13.425 --> 02:17:14.146]  It's a great moment.
[02:17:14.146 --> 02:17:15.006]  It's a fun moment.
[02:17:15.766 --> 02:17:21.569]  And we just have to all work harder, fight harder, expose these creeps like you do every day.
[02:17:21.569 --> 02:17:24.711]  And that's the most powerful weapon we can have.
[02:17:24.711 --> 02:17:27.072]  We have to take away their legitimacy.
[02:17:27.072 --> 02:17:31.114]  It's why they were so worried when Trump said he would not concede the election.
[02:17:31.114 --> 02:17:33.136]  Because they're a minority.
[02:17:33.136 --> 02:17:35.277]  The people who rule us are a minority.
[02:17:35.277 --> 02:17:37.118]  We the people are the majority.
[02:17:37.118 --> 02:17:38.959]  They have to have our consent.
[02:17:38.959 --> 02:17:40.780]  To the extent that they lose our consent,
[02:17:41.380 --> 02:17:45.346]  They crumble like the statue of Ozymandias in the desert.
[02:17:45.346 --> 02:17:48.251]  So this is what's at stake.
[02:17:48.251 --> 02:17:52.898]  I think they've lost already legitimacy among a huge number of Americans.
[02:17:52.898 --> 02:17:56.384]  If they steal this election, everything is up for grabs.
[02:17:56.944 --> 02:18:07.989]  And I don't think Hillary can actually win, as you pointed out, in the long term, even if she's brought into the White House on a stretcher, however they'll have to do it.
[02:18:07.989 --> 02:18:09.189]  She doesn't win.
[02:18:09.189 --> 02:18:12.511]  Either Trump wins the election, or he wins
[02:18:13.351 --> 02:18:17.275]  The battle for hearts and minds as soon as she's inaugurated.
[02:18:32.308 --> 02:18:48.380]  Uh, being pilloried, being demonized, drew out the rigging, showed how the system's unified, and now it's turned politics into something interesting again because now it's real, like the muck rigging, and now people who were never involved are coming in, and it's scaring the daylights out of the elite.
[02:18:49.429 --> 02:18:51.351]  Alex is exactly right.
[02:18:51.351 --> 02:18:55.575]  In fact, the neocons have always emphasized that they don't quite put it in these terms.
[02:18:55.575 --> 02:19:00.019]  Again, that politics should be boring, that discussion of ideas should be boring.
[02:19:00.019 --> 02:19:02.421]  They're afraid of rousing the people.
[02:19:02.421 --> 02:19:04.683]  You know, they're like a bunch of fleas on a big dog.
[02:19:05.243 --> 02:19:09.226]  And they feel that they're in control, but they're always worried they're going to be scratched off.
[02:19:09.226 --> 02:19:11.648]  Maybe this year they're going to be scratched off.
[02:19:11.648 --> 02:19:13.570]  And it's very exciting.
[02:19:13.570 --> 02:19:14.070]  It's fun.
[02:19:14.070 --> 02:19:22.677]  I think also another great thing that's happened is the vast majority of Americans now realize you can't trust the mainstream media.
[02:19:22.677 --> 02:19:25.219]  They're just the shills for the bad guys.
[02:19:25.219 --> 02:19:26.060]  So that's been it.
[02:19:26.060 --> 02:19:28.722]  I think we're seeing their ratings decline.
[02:19:28.722 --> 02:19:31.164]  We're seeing this belief in them decline.
[02:19:31.164 --> 02:19:34.167]  Alternative media like you, Alex, are zooming upwards.
[02:19:34.767 --> 02:19:35.607]  It's a great thing.
[02:19:35.607 --> 02:19:36.928]  It's a great thing we're seeing.
[02:19:36.928 --> 02:19:37.728]  It's an incredible thing.
[02:19:37.728 --> 02:19:39.869]  It gives me real hope for the future, I must say.
[02:19:39.869 --> 02:19:40.289]  It does.
[02:19:40.289 --> 02:19:42.690]  Real hope for the future because it's always darkest before the dawn.
[02:19:42.690 --> 02:19:43.490]  Blue Rockwell.
[02:19:43.490 --> 02:19:44.670]  BlueRockwell.com is our guest.
[02:19:44.670 --> 02:19:50.412]  We'll talk more about this when we come back and get into his brain about what he sees coming.
[02:19:50.412 --> 02:19:58.695]  But regardless of what he's saying, any way you look at this historical, an amazing renaissance is here if we just take it and if they don't start World War III.
[02:19:58.695 --> 02:19:59.415]  That's the problem.
[02:20:00.325 --> 02:20:05.148]  KatieArmor.com is your one-stop shop for the highest quality body armor, period.
[02:20:05.148 --> 02:20:09.211]  With packages starting at $169.99 and free shipping on every order.
[02:20:09.211 --> 02:20:10.952]  Why would you go anywhere else?
[02:20:10.952 --> 02:20:13.834]  Katie offers rifle-thread rated armor up to level 4.
[02:20:13.834 --> 02:20:15.596]  And now introducing Trauma Pads.
[02:20:15.596 --> 02:20:19.858]  Go to KatieArmor.com and get your body armor today while you still can.
[02:20:19.858 --> 02:20:24.522]  Mention this ad and receive a free water filter for a limited time with any body armor package.
[02:20:24.522 --> 02:20:25.963]  Go to KatieArmor.com.
[02:20:25.963 --> 02:20:28.084]  That's K-A-T-I-Armor.com.
[02:20:28.084 --> 02:20:29.085]  Come and take it.
[02:20:30.370 --> 02:20:34.351]  We use cell phones against our heads every day, but now a landmark U.S.
[02:20:34.351 --> 02:20:39.972]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[02:20:39.972 --> 02:20:42.033]  The time to protect yourself is now.
[02:20:42.033 --> 02:20:43.873]  The solution is DefenderShield.
[02:20:43.873 --> 02:20:50.995]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[02:20:50.995 --> 02:20:52.915]  Buy now at DefenderShield.com.
[02:20:52.915 --> 02:20:55.136]  Use discount code DEFENDER for 10% off.
[02:20:55.136 --> 02:20:56.496]  DefenderShield.com.
[02:20:56.496 --> 02:20:59.057]  The worldwide leader in EMF radiation protection.
[02:20:59.986 --> 02:21:08.071]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[02:21:08.071 --> 02:21:14.335]  Imagine having access to quality affordable health care that allows you the freedom to choose your doctor and hospital.
[02:21:14.335 --> 02:21:19.939]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[02:21:19.939 --> 02:21:24.902]  Find out how you and your family can contain health care costs without giving up your freedom.
[02:21:24.902 --> 02:21:27.123]  Go to LibertyOnCall.org.
[02:21:27.123 --> 02:21:28.624]  That's LibertyOnCall.org.
[02:21:29.685 --> 02:21:30.866]  Charlie Daniels.
[02:21:30.866 --> 02:21:32.627]  He's always defended the Second Amendment.
[02:21:32.627 --> 02:21:35.248]  Let me just read a little thing here from Agenda 21.
[02:21:35.248 --> 02:21:36.448]  Individual rights.
[02:21:36.448 --> 02:21:38.850]  We'll have to take a back seat to the collective.
[02:21:38.850 --> 02:21:40.811]  Well, you know what the next move's gonna be, don't you?
[02:21:40.811 --> 02:21:42.011]  It's gonna be coming after your guns.
[02:21:42.011 --> 02:21:45.553]  When I was a boy, it was okay to be proud of the flag.
[02:21:45.553 --> 02:21:47.734]  And beef was for supper.
[02:21:47.734 --> 02:21:48.515]  Revelation.
[02:21:48.515 --> 02:21:50.456]  Dawn of global government.
[02:21:50.456 --> 02:21:52.116]  Theatrical screenings on demand.
[02:21:52.116 --> 02:21:53.517]  DVDs now available.
[02:21:53.517 --> 02:21:56.959]  Wanna shed some tears over the red, white, and blue?
[02:21:56.959 --> 02:21:57.679]  Revelation.
[02:21:57.679 --> 02:21:58.460]  The movie.
[02:21:58.460 --> 02:21:59.040]  Dot info.
[02:21:59.420 --> 02:22:00.520]  Think about this.
[02:22:00.520 --> 02:22:13.103]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[02:22:13.103 --> 02:22:17.364]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[02:22:17.364 --> 02:22:21.205]  Protect your family's water supply with a trusted Big Berkey Water Filter.
[02:22:21.205 --> 02:22:27.487]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA,
[02:22:27.807 --> 02:22:28.087]  Thank you.
[02:23:02.370 --> 02:23:03.811]  Hello, everybody.
[02:23:03.811 --> 02:23:05.832]  My name is Charley Sayles.
[02:23:05.832 --> 02:23:11.836]  I'm a Vietnam veteran, harmonica player, vocalist, and blues songwriter.
[02:23:11.836 --> 02:23:15.639]  Now, I've been married, been homeless, every which way.
[02:23:15.639 --> 02:23:19.862]  But right now, I'm hooked up with a great record company.
[02:23:19.862 --> 02:23:22.143]  Not just me, a lot of musicians.
[02:23:22.143 --> 02:23:23.444]  You're gonna like this.
[02:23:23.444 --> 02:23:26.846]  This message is brought to you by FetalRecords.com.
[02:23:29.210 --> 02:23:34.813]  From the pages of the Bible comes a terrifying account of an ancient beast that was half-man, half-demon.
[02:23:34.813 --> 02:23:37.554]  It is returned in the best-selling novel, Nephilim, by L.A.
[02:23:37.554 --> 02:23:38.635]  Marzulli.
[02:23:38.635 --> 02:23:45.098]  Indiegogo presents you with an opportunity to get involved in making this supernatural novel into a major motion picture.
[02:23:45.098 --> 02:23:51.522]  Join journalist Mack McKenzie as he travels halfway around the world to uncover the truth about aliens and demons.
[02:23:51.522 --> 02:23:54.884]  Join our Indiegogo campaign to get Nephilim made into a movie.
[02:23:54.884 --> 02:23:57.425]  Go to indiegogo.com, hashtag Nephilim.
[02:24:02.663 --> 02:24:06.346]  This is just a six-minute segment, 18-minute segment coming up with Lou Rockwell.
[02:24:06.346 --> 02:24:13.952]  We've got Rob Dew, who's gonna be hosting the fourth hour because we're sending David Knight up to cover the Danny Williams.
[02:24:13.952 --> 02:24:16.014]  That's the reportedly illegitimate son of Bill Clinton.
[02:24:17.145 --> 02:24:19.107]  Press conference at the National Press Club.
[02:24:19.107 --> 02:24:25.611]  I've been accused by the Clinton-controlled media of running Danny Williams, but I didn't know he was having a press conference tomorrow.
[02:24:25.611 --> 02:24:26.732]  I just learned about it.
[02:24:26.732 --> 02:24:29.234]  You know, Lew Rockwell, that's the thing here.
[02:24:29.234 --> 02:24:45.386]  The controlled left, the controlled right, they think we're all command and control, because the emails show how command and control they are, with Hillary and a few aides running the New York Times, the Washington Post, telling CNN, MSNBC, having their articles
[02:24:46.227 --> 02:24:47.708]  And stories approved?
[02:24:47.708 --> 02:24:51.772]  I'm a guy with 50-something crew members, but only like 30 of them are in media.
[02:24:51.772 --> 02:24:53.073]  I can't sit there and manage them.
[02:24:53.073 --> 02:24:55.075]  I've got to make sure they're just good people I can trust.
[02:24:55.075 --> 02:24:56.336]  I mean, I manage them some.
[02:24:56.336 --> 02:25:02.262]  Can you imagine the job of these control freaks trying to run the government, the media, while stealing billions?
[02:25:03.510 --> 02:25:06.551]  Well, it shows you why the government's as effective as it is.
[02:25:06.551 --> 02:25:15.613]  You know, it looks like to get something done in the Hillary campaign, they had to go through like 11 levels of approval, with all these various people having their own views.
[02:25:15.613 --> 02:25:19.554]  It's just no wonder it takes them so long to respond, for example.
[02:25:19.554 --> 02:25:21.634]  Whereas Trump just says it.
[02:25:21.634 --> 02:25:23.655]  So it's...
[02:25:25.755 --> 02:25:36.358]  It's, it's a fun, it's a, these emails are all, of course they've been just hugely successful and I can't wait for the next ones to come out that Assange has said will put Hillary in jail.
[02:25:36.358 --> 02:25:47.340]  But already we've learned so much and we've learned how they operate, how much they hate the Catholic Church, how much they want to bring immigrants in and make Americans a minority in their own country.
[02:25:47.340 --> 02:25:49.281]  All the rest of the horrible plans that they have.
[02:25:49.281 --> 02:25:52.782]  How they think black people are dumb, how they think poor people are dumb.
[02:25:52.782 --> 02:25:54.202]  Just a really hateful group of people.
[02:25:55.472 --> 02:25:56.232]  They're hate-filled.
[02:25:56.232 --> 02:25:58.174]  They're arrogant elitists.
[02:25:58.174 --> 02:26:00.195]  They hate the guts of the regular Americans.
[02:26:00.195 --> 02:26:01.536]  By the way, you always said that.
[02:26:01.536 --> 02:26:02.596]  That's what you always say.
[02:26:02.596 --> 02:26:03.817]  They hate common people.
[02:26:03.817 --> 02:26:04.798]  They hate workers.
[02:26:04.798 --> 02:26:05.998]  They don't want to make you rich.
[02:26:05.998 --> 02:26:07.399]  And you, I guess you were in Washington.
[02:26:07.399 --> 02:26:13.283]  You knew because everything in WikiLeaks sounds like the refrain of what Lew Rockwell's been warning about for 40 years.
[02:26:14.380 --> 02:26:35.587]  Well, this is the way these people are, and if you visit Washington, where they even walk arrogantly, I mean, the arrogance is, well, a regular person can't believe the arrogance of dealing with anybody, not only in the government, but all the various agencies and companies that hover around the government like flies around a garbage can.
[02:26:35.587 --> 02:26:37.188]  Why is arrogance the ether in which they swim?
[02:26:38.732 --> 02:26:40.533]  Well, I think because they're evil.
[02:26:40.533 --> 02:26:47.695]  And because, of course, first of all, and this is true of everybody in the Washington area, they believe themselves to be the most important people on earth.
[02:26:47.695 --> 02:26:48.835]  The most powerful.
[02:26:48.835 --> 02:26:49.995]  The most significant.
[02:26:49.995 --> 02:26:50.676]  The smartest.
[02:26:50.676 --> 02:26:51.256]  Exceptional.
[02:26:51.256 --> 02:26:55.797]  And they have the right to live, you know, high on the hog off the rest of us.
[02:26:55.797 --> 02:26:57.178]  And that's what Putin was saying.
[02:26:57.178 --> 02:26:59.098]  Stop thinking you're better than everybody.
[02:26:59.098 --> 02:27:00.399]  He wasn't talking about America.
[02:27:00.399 --> 02:27:01.639]  He was talking about our elite.
[02:27:02.793 --> 02:27:17.239]  That's right, and it's the whole, you know, American exceptionalism, that God has blessed America in a special way, that we're, I must say, the Pilgrims had this view, that we're the new Zion, and God is directing, you know, this is just another country.
[02:27:17.239 --> 02:27:23.802]  It's been a very successful country in many ways because of our free markets and limited government.
[02:27:23.802 --> 02:27:24.662]  Those are both the criteria.
[02:27:24.662 --> 02:27:26.783]  And that's what made us great, not having the biggest government.
[02:27:27.426 --> 02:27:30.249]  That's, of course, having the biggest government.
[02:27:30.249 --> 02:27:30.930]  By the way, the U.S.
[02:27:30.930 --> 02:27:35.274]  government is the biggest government in the history of the world by many magnitudes.
[02:27:35.274 --> 02:27:41.040]  And we desperately need to drastically cut taxes, cut regulations.
[02:27:41.040 --> 02:27:41.961]  Let's talk about that.
[02:27:41.961 --> 02:27:46.025]  I mean, as Yvonne Mies Institute head, what do you think of Trump's plan overall?
[02:27:47.125 --> 02:27:51.128]  Well I think it's like Trump himself, it's mixed.
[02:27:51.128 --> 02:28:02.415]  So his basic economic plan to drastically cut taxes, cut regulations, make it better for business people in this country, the lower end is all great stuff.
[02:28:02.415 --> 02:28:08.399]  I think it's very good to get rid of these trade deals which are misnamed as free trade.
[02:28:08.399 --> 02:28:10.941]  I'm not a fan of tariffs.
[02:28:10.941 --> 02:28:13.383]  But he is off on keeping 0% interest rates, right?
[02:28:14.144 --> 02:28:18.448]  Yes, and of course he's also the only one to criticize the Fed, except Ron Paul.
