[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting world-wide, it's Alex Jones.
[58:17.000 --> 58:18.000]  Leading competitors
[58:18.000 --> 58:21.000]  have a procurement level of 3%.
[58:21.000 --> 58:23.000]  From there we've got dozens and dozens
[58:23.000 --> 58:25.000]  and dozens of other game changing products
[58:25.000 --> 58:28.000]  that you and your family will absolutely love
[58:28.000 --> 58:30.000]  and will help support the broadcast.
[58:30.000 --> 58:32.000]  It is critical that you go to
[58:32.000 --> 58:34.000]  infowarstore.com
[58:34.000 --> 58:36.000]  and look at some of those items for yourself
[58:36.000 --> 58:38.000]  whether it's water filtration, air filtration,
[58:38.000 --> 58:40.000]  non-GMO heirloom seeds,
[58:40.000 --> 58:42.000]  X2, it's all there
[58:42.000 --> 58:44.000]  at infowarstore.com
[58:44.000 --> 58:46.000]  crimforslife.com
[59:15.000 --> 59:19.000]  for daily use whenever you feel like you need to stay clean.
[59:19.000 --> 59:21.000]  As a powerful hand purifier
[59:21.000 --> 59:23.000]  or oral cleansing formula
[59:23.000 --> 59:25.000]  just a small spray will help you stay clean
[59:25.000 --> 59:27.000]  when you feel surrounded by toxins.
[59:27.000 --> 59:29.000]  With powerful yet simple ingredients
[59:29.000 --> 59:32.000]  Immune Gargle features Silver Soul Nano Silver
[59:32.000 --> 59:34.000]  for a powerful cleansing alternative.
[59:34.000 --> 59:36.000]  With Super Blue Silver Immune Gargle
[59:36.000 --> 59:39.000]  staying toxin free is easy and affordable.
[59:39.000 --> 59:41.000]  Help stop the spread of toxins
[59:41.000 --> 59:44.000]  and stay healthy with Super Blue Silver Immune Gargle
[59:44.000 --> 59:47.000]  only available at infowarslife.com
[59:47.000 --> 59:50.000]  that's infowarslife.com
[1:00:07.000 --> 1:00:09.000]  The piggy bank that everybody's robbing
[1:00:09.000 --> 1:00:11.000]  and that ends.
[1:00:39.000 --> 1:00:42.000]  At the top of the list was the issue of trade
[1:00:42.000 --> 1:00:44.000]  very important subject
[1:00:44.000 --> 1:00:46.000]  because the United States has been taking advantage of
[1:00:46.000 --> 1:00:48.000]  for decades and decades
[1:00:48.000 --> 1:00:50.000]  and we can't do that anymore.
[1:00:50.000 --> 1:00:53.000]  We had extremely productive discussions
[1:00:53.000 --> 1:00:56.000]  on the need to have fair and reciprocal
[1:00:56.000 --> 1:00:58.000]  meaning the same.
[1:00:58.000 --> 1:01:01.000]  People can't charge us 270%
[1:01:01.000 --> 1:01:03.000]  and we charge them nothing
[1:01:03.000 --> 1:01:05.000]  that doesn't work anymore.
[1:01:05.000 --> 1:01:09.000]  I made a lot of statements
[1:01:09.000 --> 1:01:11.000]  having to do with clarity.
[1:01:11.000 --> 1:01:13.000]  We want and expect other nations
[1:01:13.000 --> 1:01:16.000]  to provide fair market access
[1:01:16.000 --> 1:01:18.000]  to American exports
[1:01:18.000 --> 1:01:20.000]  and that we will take whatever steps
[1:01:20.000 --> 1:01:22.000]  necessary to protect American industry
[1:01:22.000 --> 1:01:25.000]  and workers from unfair foreign trading
[1:01:25.000 --> 1:01:27.000]  practices of which really there are many
[1:01:27.000 --> 1:01:29.000]  but we're getting them straightened out
[1:01:29.000 --> 1:01:31.000]  slowly but surely.
[1:01:31.000 --> 1:01:33.000]  I think they are starting to be committed
[1:01:33.000 --> 1:01:36.000]  to a much more fair trade situation
[1:01:36.000 --> 1:01:38.000]  for the United States
[1:01:38.000 --> 1:01:40.000]  because it has been treated very, very unfairly
[1:01:40.000 --> 1:01:42.000]  and I don't blame other leaders for that.
[1:01:42.000 --> 1:01:45.000]  I blame our past leaders.
[1:01:45.000 --> 1:01:49.000]  There was no reason that this should have happened.
[1:01:49.000 --> 1:01:51.000]  No tariffs.
[1:01:51.000 --> 1:01:53.000]  In other words, let's say Canada
[1:01:53.000 --> 1:01:57.000]  where we have tremendous tariffs
[1:01:57.000 --> 1:02:00.000]  the United States pays tremendous tariffs
[1:02:00.000 --> 1:02:03.000]  and dairy, as an example, 270%
[1:02:03.000 --> 1:02:05.000]  nobody knows that.
[1:02:05.000 --> 1:02:07.000]  We pay nothing. We don't want to pay anything.
[1:02:07.000 --> 1:02:09.000]  Why should we pay?
[1:02:09.000 --> 1:02:12.000]  We have to, ultimately, that's what you want.
[1:02:12.000 --> 1:02:15.000]  You want a tariff free,
[1:02:15.000 --> 1:02:17.000]  you want no barriers
[1:02:17.000 --> 1:02:18.000]  and you want no subsidies
[1:02:18.000 --> 1:02:20.000]  because you have some cases where
[1:02:20.000 --> 1:02:22.000]  countries are subsidizing industries
[1:02:22.000 --> 1:02:24.000]  and that's not fair.
[1:02:24.000 --> 1:02:26.000]  I mean, we have India where some of the tariffs
[1:02:26.000 --> 1:02:28.000]  are 100%
[1:02:28.000 --> 1:02:30.000]  and we charge nothing.
[1:02:30.000 --> 1:02:32.000]  We can't do that
[1:02:32.000 --> 1:02:34.000]  and so we are talking to many countries
[1:02:34.000 --> 1:02:36.000]  we're talking to all countries
[1:02:36.000 --> 1:02:38.000]  and it's going to stop
[1:02:38.000 --> 1:02:40.000]  and I don't blame these people
[1:02:40.000 --> 1:02:42.000]  but I will blame them if they don't act smart
[1:02:42.000 --> 1:02:44.000]  and do what they have to do
[1:02:44.000 --> 1:02:46.000]  because they have no choice.
[1:02:46.000 --> 1:02:48.000]  I'll be honest with you, they have no choice.
[1:02:48.000 --> 1:02:50.000]  They're either going to make the trade fair
[1:02:50.000 --> 1:02:52.000]  because our farmers
[1:02:52.000 --> 1:02:54.000]  have been hurt.
[1:02:54.000 --> 1:02:56.000]  You look at our farmers, for 15 years
[1:02:56.000 --> 1:02:58.000]  the graph is going just like this, down.
[1:02:58.000 --> 1:03:00.000]  Our farmers have been hurt,
[1:03:00.000 --> 1:03:02.000]  our workers have been hurt,
[1:03:02.000 --> 1:03:04.000]  our companies have moved out
[1:03:04.000 --> 1:03:06.000]  and moved to Mexico and other countries
[1:03:06.000 --> 1:03:08.000]  including Canada.
[1:03:08.000 --> 1:03:10.000]  Now, we are going to fix that situation
[1:03:10.000 --> 1:03:12.000]  and if it's not fixed
[1:03:12.000 --> 1:03:14.000]  we're not going to deal with these countries
[1:03:14.000 --> 1:03:16.000]  but the relationship that I've had
[1:03:16.000 --> 1:03:18.000]  is great, so you can tell that
[1:03:18.000 --> 1:03:20.000]  to your fake friends at CNN
[1:03:20.000 --> 1:03:22.000]  the relationship that I've had
[1:03:22.000 --> 1:03:24.000]  with the people
[1:03:24.000 --> 1:03:26.000]  the leaders of these countries
[1:03:26.000 --> 1:03:28.000]  has been, I would really rate it
[1:03:28.000 --> 1:03:30.000]  on a scale of 0 to 10
[1:03:30.000 --> 1:03:32.000]  I would rate it at 10.
[1:03:32.000 --> 1:03:34.000]  As an example, the European Union
[1:03:34.000 --> 1:03:36.000]  is brutal to the United States
[1:03:36.000 --> 1:03:38.000]  they don't take
[1:03:38.000 --> 1:03:40.000]  and they understand that, they know it
[1:03:40.000 --> 1:03:42.000]  when I'm telling them, they're smiling at me
[1:03:42.000 --> 1:03:44.000]  you know, it's like the gig is up
[1:03:44.000 --> 1:03:46.000]  it's like the gig is up
[1:03:46.000 --> 1:03:48.000]  they're not trying to, there's nothing they can say
[1:03:48.000 --> 1:03:50.000]  they can't believe they got away with it
[1:03:50.000 --> 1:03:52.000]  I asked a top person in China
[1:03:52.000 --> 1:03:54.000]  how did it get so bad
[1:03:54.000 --> 1:03:56.000]  he looked at me and said
[1:03:56.000 --> 1:03:58.000]  nobody ever talked to us
[1:03:58.000 --> 1:04:00.000]  President Trump even called
[1:04:00.000 --> 1:04:02.000]  for the re-admittance of Russia to the G7
[1:04:02.000 --> 1:04:04.000]  thus making it the G8
[1:04:04.000 --> 1:04:06.000]  Russia had been suspended from the group
[1:04:06.000 --> 1:04:08.000]  in 2014 due to the annexation
[1:04:08.000 --> 1:04:10.000]  of Crimea from the Ukraine
[1:04:10.000 --> 1:04:12.000]  members were against that idea
[1:04:14.000 --> 1:04:16.000]  I would rather see Russia in
[1:04:16.000 --> 1:04:18.000]  the G8 as opposed to the G7
[1:04:18.000 --> 1:04:20.000]  I would say that the G8
[1:04:20.000 --> 1:04:22.000]  is a more meaningful group
[1:04:22.000 --> 1:04:24.000]  than the G7
[1:04:24.000 --> 1:04:26.000]  President Trump then left the G7
[1:04:26.000 --> 1:04:28.000]  for Singapore on a mission to
[1:04:28.000 --> 1:04:30.000]  negotiate peace with Kim Jong-un
[1:04:30.000 --> 1:04:32.000]  of North Korea
[1:04:32.000 --> 1:04:34.000]  Meanwhile, Russian President
[1:04:34.000 --> 1:04:36.000]  Vladimir Putin has tasked
[1:04:36.000 --> 1:04:38.000]  Austria with the possibility
[1:04:38.000 --> 1:04:40.000]  of being the meeting place between
[1:04:40.000 --> 1:04:42.000]  President Trump and the Russian leader
[1:04:42.000 --> 1:04:44.000]  as Chancellor Merkel's plea
[1:04:44.000 --> 1:04:46.000]  for a new world order
[1:04:46.000 --> 1:04:48.000]  sounds off the globalist panic
[1:04:48.000 --> 1:04:50.000]  to despair
[1:04:50.000 --> 1:04:52.000]  John Bowne reporting for
[1:04:52.000 --> 1:05:20.000]  KTVU
[1:05:20.000 --> 1:05:22.000]  Well, we employed a series of tests
[1:05:22.000 --> 1:05:24.000]  for heavy metals, alkalinity
[1:05:24.000 --> 1:05:26.000]  and pH
[1:05:26.000 --> 1:05:28.000]  What we learned was that there was in fact
[1:05:28.000 --> 1:05:30.000]  unhealthy levels of heavy metals and
[1:05:30.000 --> 1:05:32.000]  acidity in the rainwater
[1:05:32.000 --> 1:05:34.000]  Next, we tested the water from our
[1:05:34.000 --> 1:05:36.000]  Alexa pure gravity filter
[1:05:36.000 --> 1:05:38.000]  and not only were the heavy metal levels
[1:05:38.000 --> 1:05:40.000]  within safe measure
[1:05:40.000 --> 1:05:42.000]  but the pH was also restored
[1:05:42.000 --> 1:05:44.000]  to optimal levels
[1:05:44.000 --> 1:05:46.000]  As it turns out, the filter on the Alexa pure
[1:05:46.000 --> 1:05:48.000]  raises the pH of the water
[1:05:48.000 --> 1:05:50.000]  So what we've learned is that volcanic ash
[1:05:50.000 --> 1:05:52.000]  and acid rain can contaminate
[1:05:52.000 --> 1:05:54.000]  a rainwater supply
[1:05:54.000 --> 1:05:56.000]  But more importantly, a good water filtration
[1:05:56.000 --> 1:05:58.000]  system will purify it
[1:06:02.000 --> 1:06:04.000]  Waging war on corruption
[1:06:04.000 --> 1:06:06.000]  It's Alex Jones
[1:06:06.000 --> 1:06:08.000]  Coming to you live from the
[1:06:08.000 --> 1:06:10.000]  front lines of the Info War
[1:06:10.000 --> 1:06:12.000]  And now, your host
[1:06:12.000 --> 1:06:14.000]  Owen Troyer
[1:06:14.000 --> 1:06:16.000]  Alright ladies and gentlemen
[1:06:16.000 --> 1:06:18.000]  Some of the headlines
[1:06:18.000 --> 1:06:20.000]  today
[1:06:20.000 --> 1:06:22.000]  It's going to be a big week ahead
[1:06:22.000 --> 1:06:24.000]  with
[1:06:24.000 --> 1:06:26.000]  Trump and
[1:06:26.000 --> 1:06:28.000]  Kim Jong Un meeting in Singapore
[1:06:28.000 --> 1:06:30.000]  That's going to be huge
[1:06:30.000 --> 1:06:32.000]  You've got
[1:06:32.000 --> 1:06:34.000]  Soros freaking out right now
[1:06:34.000 --> 1:06:36.000]  That Trump is actually winning
[1:06:36.000 --> 1:06:38.000]  You have John Brennan
[1:06:38.000 --> 1:06:40.000]  saying that Trump
[1:06:40.000 --> 1:06:42.000]  is a temporary aberration
[1:06:42.000 --> 1:06:44.000]  So yes, the people in control
[1:06:44.000 --> 1:06:46.000]  of the country is a temporary aberration
[1:06:46.000 --> 1:06:48.000]  according to John Brennan
[1:06:48.000 --> 1:06:50.000]  No, you and the scum like
[1:06:50.000 --> 1:06:52.000]  you are the temporary aberration
[1:06:52.000 --> 1:06:54.000]  John Brennan
[1:06:54.000 --> 1:06:56.000]  So you've got all of that going on
[1:06:56.000 --> 1:06:58.000]  You know, this is
[1:06:58.000 --> 1:07:00.000]  actually an interesting recipe here
[1:07:00.000 --> 1:07:02.000]  The Democrats are saying in order to run
[1:07:02.000 --> 1:07:04.000]  for president in 2020
[1:07:04.000 --> 1:07:06.000]  you have to be registered to the Democrat Party
[1:07:06.000 --> 1:07:08.000]  So that strikes Bernie Sanders out
[1:07:08.000 --> 1:07:10.000]  So if Bernie Sanders runs as an independent
[1:07:10.000 --> 1:07:12.000]  Trump has the easiest path to victory
[1:07:12.000 --> 1:07:14.000]  of presidential elections
[1:07:14.000 --> 1:07:16.000]  But I'm already expecting that to happen
[1:07:16.000 --> 1:07:18.000]  Folks, we are about to protest Bill Clinton
[1:07:18.000 --> 1:07:20.000]  and it's all possible with your support
[1:07:20.000 --> 1:07:22.000]  at InfowarsStore.com
[1:07:22.000 --> 1:07:24.000]  We've got specials running right now
[1:07:24.000 --> 1:07:26.000]  Store-wide free shipping
[1:07:26.000 --> 1:07:28.000]  50% off top-selling items
[1:07:28.000 --> 1:07:30.000]  like Brainforce Plus, Survival Shield X2
[1:07:30.000 --> 1:07:32.000]  Supermail Vitality
[1:07:32.000 --> 1:07:34.000]  50% off that free shipping
[1:07:34.000 --> 1:07:36.000]  Store-wide, it's all at InfowarsStore.com
[1:07:36.000 --> 1:07:38.000]  And we are about to protest Bill Clinton
[1:07:38.000 --> 1:07:40.000]  outside Bass Concert Hall
[1:07:40.000 --> 1:07:42.000]  on a response to Bill Maher
[1:07:42.000 --> 1:07:44.000]  You want to have a good future
[1:07:44.000 --> 1:07:46.000]  If you want to have a shot at controlling your own destiny
[1:07:46.000 --> 1:07:48.000]  you want to listen to me right now very carefully
[1:07:48.000 --> 1:07:50.000]  Globalism is a form
[1:07:50.000 --> 1:07:52.000]  of modern serfdom
[1:07:52.000 --> 1:07:54.000]  in their own white papers, their own admissions
[1:07:54.000 --> 1:07:56.000]  as even in the WikiLeaks
[1:07:56.000 --> 1:07:58.000]  But Bill Maher and others are now being honest
[1:07:58.000 --> 1:08:00.000]  They're coming out and saying they want to crash
[1:08:00.000 --> 1:08:02.000]  the U.S. economy
[1:08:02.000 --> 1:08:04.000]  to defeat
[1:08:04.000 --> 1:08:06.000]  the operations that Donald Trump is
[1:08:06.000 --> 1:08:08.000]  running right now
[1:08:08.000 --> 1:08:10.000]  Even in their policies before this
[1:08:10.000 --> 1:08:12.000]  is to implode our economy
[1:08:12.000 --> 1:08:14.000]  They want us dependent
[1:08:14.000 --> 1:08:16.000]  They don't want us to be upwardly mobile
[1:08:16.000 --> 1:08:18.000]  because they can't compete with a true capitalist
[1:08:18.000 --> 1:08:20.000]  to open free market society
[1:08:20.000 --> 1:08:22.000]  They want a crony capitalist society
[1:08:22.000 --> 1:08:24.000]  where the ultra-elites decide the winners
[1:08:24.000 --> 1:08:26.000]  That's why all the top billionaires
[1:08:26.000 --> 1:08:28.000]  All the top guys that make like 12 billion a day
[1:08:28.000 --> 1:08:30.000]  like Jeff Bezos
[1:08:30.000 --> 1:08:32.000]  are anti-free market, anti-middle class
[1:08:32.000 --> 1:08:34.000]  anti-family
[1:08:34.000 --> 1:08:36.000]  Bloomberg came out and said
[1:08:36.000 --> 1:08:38.000]  there's no way more taxes
[1:08:38.000 --> 1:08:40.000]  when he escapes 99% of his taxes
[1:08:40.000 --> 1:08:42.000]  in offshore corporations
[1:08:42.000 --> 1:08:44.000]  Look it up
[1:08:44.000 --> 1:08:46.000]  So here is Bill Maher the eugenicist
[1:08:46.000 --> 1:08:48.000]  Bill Maher the globalist
[1:08:48.000 --> 1:08:50.000]  the man of the people saying he wants America
[1:08:50.000 --> 1:08:52.000]  to implode
[1:08:52.000 --> 1:08:54.000]  Can I ask about the economy
[1:08:54.000 --> 1:08:56.000]  because this economy is going pretty well
[1:08:56.000 --> 1:08:58.000]  We have to...what?
[1:08:58.000 --> 1:09:00.000]  Why is that funny?
[1:09:00.000 --> 1:09:02.000]  It is going well for now
[1:09:02.000 --> 1:09:04.000]  For now, right
[1:09:04.000 --> 1:09:06.000]  I feel like the bottom has to fall out
[1:09:06.000 --> 1:09:08.000]  at some point and by the way, I'm hoping for it
[1:09:08.000 --> 1:09:10.000]  because I think one way you get rid of Trump
[1:09:10.000 --> 1:09:12.000]  is a crashing economy
[1:09:12.000 --> 1:09:14.000]  so please bring on the recession
[1:09:14.000 --> 1:09:16.000]  Sorry if that hurts people
[1:09:16.000 --> 1:09:18.000]  but it's either root for a recession
[1:09:18.000 --> 1:09:20.000]  or you lose your democracy
[1:09:20.000 --> 1:09:22.000]  I've told you thousands of times
[1:09:22.000 --> 1:09:24.000]  they want to, quote, crash the economy
[1:09:24.000 --> 1:09:26.000]  and now they say it to your face
[1:09:26.000 --> 1:09:28.000]  as if that's a good thing for you
[1:09:28.000 --> 1:09:30.000]  but then he elaborated in the same program
[1:09:30.000 --> 1:09:32.000]  about to show you some clips
[1:09:32.000 --> 1:09:34.000]  This management of Trump has done this
[1:09:34.000 --> 1:09:36.000]  and it's hurting America's power worldwide
[1:09:36.000 --> 1:09:38.000]  No, that's the stolen power of America
[1:09:38.000 --> 1:09:40.000]  parlayed into the global corporations
[1:09:40.000 --> 1:09:42.000]  that are tax-exempt
[1:09:42.000 --> 1:09:44.000]  and that power is coming to an end
[1:09:44.000 --> 1:09:46.000]  Come with me
[1:09:46.000 --> 1:09:48.000]  What I did not predict
[1:09:48.000 --> 1:09:50.000]  was that the United States
[1:09:50.000 --> 1:09:52.000]  would sort of abdicate leadership
[1:09:52.000 --> 1:09:54.000]  of its position
[1:09:54.000 --> 1:09:56.000]  because I argued the United States would still be incredibly powerful
[1:09:56.000 --> 1:09:58.000]  it would set the agenda
[1:09:58.000 --> 1:10:00.000]  it represented the values
[1:10:00.000 --> 1:10:02.000]  and it had a way of being able to be the leader
[1:10:02.000 --> 1:10:04.000]  and this shift where the United States
[1:10:04.000 --> 1:10:06.000]  has decided to literally
[1:10:06.000 --> 1:10:08.000]  just walk away from its own creation
[1:10:08.000 --> 1:10:10.000]  I mean, people forget
[1:10:10.000 --> 1:10:12.000]  this was the world that FDR and Harry Truman
[1:10:12.000 --> 1:10:14.000]  built after World War II
[1:10:14.000 --> 1:10:16.000]  and to see, you know, the Europeans
[1:10:16.000 --> 1:10:18.000]  they say it's sort of surprised
[1:10:18.000 --> 1:10:20.000]  because they don't quite understand it
[1:10:20.000 --> 1:10:22.000]  they're like, wait, you built this house
[1:10:22.000 --> 1:10:24.000]  and now you want to set it on fire
[1:10:24.000 --> 1:10:26.000]  OC Farid
[1:10:26.000 --> 1:10:28.000]  and the CFR and the media told us
[1:10:28.000 --> 1:10:30.000]  that the country was over
[1:10:30.000 --> 1:10:32.000]  it was the communist-Chinese century
[1:10:32.000 --> 1:10:34.000]  they told us it was over
[1:10:34.000 --> 1:10:36.000]  but see, now it's not over
[1:10:36.000 --> 1:10:38.000]  so they spin that as if it's a bad thing for America
[1:10:38.000 --> 1:10:40.000]  here's the truth
[1:10:40.000 --> 1:10:42.000]  and they admit it in their own economic papers
[1:10:42.000 --> 1:10:44.000]  building first-world economies
[1:10:44.000 --> 1:10:46.000]  pulls up the third world
[1:10:46.000 --> 1:10:48.000]  lowering first-world economies does not pull up the third world
[1:10:48.000 --> 1:10:50.000]  that's the line of globalism
[1:10:50.000 --> 1:10:52.000]  and so having one side of trade deals
[1:10:52.000 --> 1:10:54.000]  destroying the US as a long-term trading partner
[1:10:54.000 --> 1:10:56.000]  to India and China and Mexico
[1:10:56.000 --> 1:10:58.000]  actually then degrades the whole global economy
[1:10:58.000 --> 1:11:00.000]  and that's what the globalists admit
[1:11:00.000 --> 1:11:02.000]  they want a post-industrial
[1:11:02.000 --> 1:11:04.000]  austere world
[1:11:04.000 --> 1:11:06.000]  with poor people worldwide
[1:11:06.000 --> 1:11:08.000]  with a tiny elite tax-exempt
[1:11:08.000 --> 1:11:10.000]  with diplomatic community who've broken away
[1:11:10.000 --> 1:11:12.000]  in a breakaway civilization
[1:11:12.000 --> 1:11:14.000]  and the world is learning the real political system
[1:11:14.000 --> 1:11:16.000]  they're having elections all over the world
[1:11:16.000 --> 1:11:18.000]  throwing the globalist out
[1:11:18.000 --> 1:11:20.000]  throwing the IMF, the World Bank out
[1:11:20.000 --> 1:11:22.000]  these are predators
[1:11:22.000 --> 1:11:24.000]  that want a poor world they control
[1:11:24.000 --> 1:11:26.000]  and they give Nigeria a $1 billion loan
[1:11:26.000 --> 1:11:28.000]  in 1965
[1:11:28.000 --> 1:11:30.000]  Nigeria's now paid almost $100 billion
[1:11:30.000 --> 1:11:32.000]  back for that
[1:11:32.000 --> 1:11:34.000]  and still owes $20-something billion
[1:11:34.000 --> 1:11:36.000]  off the first billion, look it up
[1:11:36.000 --> 1:11:38.000]  is that a good deal for Africa? No
[1:11:38.000 --> 1:11:40.000]  and when somebody like Muammar Gaddafi
[1:11:40.000 --> 1:11:42.000]  comes along and helps Africa
[1:11:42.000 --> 1:11:44.000]  and builds it up and works with the West
[1:11:44.000 --> 1:11:46.000]  for eight years they set him up and killing
[1:11:46.000 --> 1:11:48.000]  but all these so-called liberals
[1:11:48.000 --> 1:11:50.000]  center and after they care about you
[1:11:50.000 --> 1:11:52.000]  they're really political monsters
[1:11:52.000 --> 1:11:54.000]  they're economic hitmen
[1:11:54.000 --> 1:11:56.000]  for the globalists that want to consolidate
[1:11:56.000 --> 1:11:58.000]  the world economy and don't want
[1:11:58.000 --> 1:12:00.000]  a free market to compete with
[1:12:00.000 --> 1:12:02.000]  I'm less surprised that a Trump could
[1:12:02.000 --> 1:12:04.000]  rise, I mean that's happened in countries
[1:12:04.000 --> 1:12:06.000]  where as how quickly
[1:12:06.000 --> 1:12:08.000]  the Republican party
[1:12:08.000 --> 1:12:10.000]  just completely got behind him
[1:12:10.000 --> 1:12:12.000]  it reminds me of
[1:12:12.000 --> 1:12:14.000]  the Neanderthals
[1:12:16.000 --> 1:12:18.000]  really, I love ancient
[1:12:18.000 --> 1:12:20.000]  archaeology and that kind of stuff
[1:12:20.000 --> 1:12:22.000]  you have the humans and the Neanderthals
[1:12:22.000 --> 1:12:24.000]  who are sharing the planet
[1:12:24.000 --> 1:12:26.000]  from about 100,000 BC
[1:12:26.000 --> 1:12:28.000]  to about 40,000 BC
[1:12:28.000 --> 1:12:30.000]  and then suddenly no more Neanderthals
[1:12:30.000 --> 1:12:32.000]  I think because humans
[1:12:32.000 --> 1:12:34.000]  they figured out
[1:12:34.000 --> 1:12:36.000]  the blowgun
[1:12:36.000 --> 1:12:38.000]  so they could kill you from 10 feet away
[1:12:38.000 --> 1:12:40.000]  I'm getting this from the movie quest for fire
[1:12:40.000 --> 1:12:42.000]  but I think
[1:12:42.000 --> 1:12:44.000]  that
[1:12:44.000 --> 1:12:46.000]  but it's like there's Neanderthals
[1:12:46.000 --> 1:12:48.000]  and then suddenly the fossil gone
[1:12:48.000 --> 1:12:50.000]  and that's kind of what happened to the Republicans
[1:12:50.000 --> 1:12:52.000]  I think they were just there
[1:12:52.000 --> 1:12:54.000]  and then they suddenly disappeared
[1:12:54.000 --> 1:12:56.000]  what you just saw is another incredible example
[1:12:56.000 --> 1:12:58.000]  of total spin
[1:12:58.000 --> 1:13:00.000]  it's like last week when Bill Maher said
[1:13:00.000 --> 1:13:02.000]  the FBI wasn't spying on you Trump
[1:13:02.000 --> 1:13:04.000]  they were watching you because you're a Russian trader
[1:13:04.000 --> 1:13:06.000]  well this week he says
[1:13:06.000 --> 1:13:08.000]  oh just like Neanderthal
[1:13:08.000 --> 1:13:10.000]  got extincted by Cro Magnon
[1:13:10.000 --> 1:13:12.000]  the Republican party
[1:13:12.000 --> 1:13:14.000]  is now extinct it's actually exploding
[1:13:14.000 --> 1:13:16.000]  and growing everywhere as the populist
[1:13:16.000 --> 1:13:18.000]  nationalist movement takes it over
[1:13:18.000 --> 1:13:20.000]  as is happening all over the world
[1:13:20.000 --> 1:13:22.000]  as humanity awakens to you guys
[1:13:22.000 --> 1:13:24.000]  and so we're now aware of your globalist game plan
[1:13:24.000 --> 1:13:26.000]  so you are in check mate
[1:13:26.000 --> 1:13:28.000]  that's what's happening
[1:13:28.000 --> 1:13:30.000]  it's globalism, it's the Democratic party
[1:13:30.000 --> 1:13:32.000]  and it's coastal elitism
[1:13:32.000 --> 1:13:34.000]  that people are fleeing
[1:13:34.000 --> 1:13:36.000]  in record numbers from New York, New Jersey, California
[1:13:36.000 --> 1:13:38.000]  you name it to get away
[1:13:38.000 --> 1:13:40.000]  from your draconian out of control policies
[1:13:40.000 --> 1:13:42.000]  it is your systems of collectivism
[1:13:42.000 --> 1:13:44.000]  controlled by crony capitalists
[1:13:44.000 --> 1:13:46.000]  that is coming to an end
[1:13:46.000 --> 1:13:48.000]  the Republican party is having new life
[1:13:48.000 --> 1:13:50.000]  breathed into it because the blue blood scum
[1:13:50.000 --> 1:13:52.000]  that also want to keep America's poor
[1:13:52.000 --> 1:13:54.000]  is being removed
[1:13:54.000 --> 1:13:56.000]  America's return will lead the world
[1:13:56.000 --> 1:13:58.000]  into a new boom
[1:13:58.000 --> 1:14:00.000]  just like we did during the 1950s
[1:14:00.000 --> 1:14:02.000]  America's demise will lead America
[1:14:02.000 --> 1:14:04.000]  and the world into
[1:14:04.000 --> 1:14:06.000]  a new dark age ladies and gentlemen
[1:14:06.000 --> 1:14:08.000]  and we're not going to put up with it
[1:14:08.000 --> 1:14:10.000]  we're on the march, the globalists are on the run
[1:14:10.000 --> 1:14:12.000]  Soros is getting kicked out of Europe
[1:14:12.000 --> 1:14:14.000]  he's voting to throw out the globalist
[1:14:14.000 --> 1:14:16.000]  we're winning and scum like Bill Maher
[1:14:16.000 --> 1:14:18.000]  hope that you're stupid
[1:14:18.000 --> 1:14:20.000]  and hope that they can prey on you and manipulate you
[1:14:20.000 --> 1:14:22.000]  those of you that buy in to his propaganda
[1:14:22.000 --> 1:14:24.000]  are being conned whether you like it or not
[1:14:24.000 --> 1:14:26.000]  and it's time to get past the cognitive distance
[1:14:26.000 --> 1:14:28.000]  and admit that
[1:14:28.000 --> 1:14:30.000]  Trump was able to defeat the globalists
[1:14:30.000 --> 1:14:32.000]  and all their propaganda
[1:14:32.000 --> 1:14:34.000]  Trump's been able to turn the economy around in a year and a half
[1:14:34.000 --> 1:14:36.000]  because he knows what he's doing
[1:14:36.000 --> 1:14:38.000]  and he's advised by very, very smart people
[1:14:38.000 --> 1:14:40.000]  so your claims that things are getting so much better by accident
[1:14:40.000 --> 1:14:42.000]  flies in the face of reality
[1:14:42.000 --> 1:14:44.000]  we are economically
[1:14:44.000 --> 1:14:46.000]  politically, culturally and spiritually
[1:14:46.000 --> 1:14:48.000]  kicking your ass globalist
[1:14:48.000 --> 1:14:50.000]  humanity is now awake
[1:14:50.000 --> 1:14:52.000]  sleeping giant is now in your face
[1:14:52.000 --> 1:14:54.000]  and is no longer sleeping
[1:14:54.000 --> 1:15:10.000]  Alex Jones with newswars.com
[1:15:24.000 --> 1:15:26.000]  and it's time for humanity to stand up
[1:15:26.000 --> 1:15:28.000]  in the info war
[1:15:28.000 --> 1:15:30.000]  and say I don't know what's going to happen at the end of this
[1:15:30.000 --> 1:15:32.000]  but you want to fight
[1:15:32.000 --> 1:15:34.000]  you better believe you got one
[1:15:34.000 --> 1:15:36.000]  from the front lines
[1:15:36.000 --> 1:15:38.000]  of the information war
[1:15:38.000 --> 1:15:58.000]  it's Alex Jones
[1:15:58.000 --> 1:16:00.000]  as the years go by it gets harder and harder
[1:16:00.000 --> 1:16:02.000]  to keep up with your body's nutritional needs
[1:16:02.000 --> 1:16:04.000]  with changes in diet
[1:16:04.000 --> 1:16:06.000]  unnatural ingredients and stress
[1:16:06.000 --> 1:16:08.000]  you may not be able to get all the necessary nutrients
