[00:00:04.375 --> 00:00:05.997]  Here we are.
[02:12:14.334 --> 02:12:16.075]  And he has suffered for it.
[02:12:16.075 --> 02:12:17.896]  He has been punished for it.
[02:12:17.896 --> 02:12:19.957]  He has been vilified for it.
[02:12:19.957 --> 02:12:22.818]  He has been sued relentlessly, as have I.
[02:12:24.119 --> 02:12:25.920]  Why do they want to lock us up?
[02:12:25.920 --> 02:12:28.482]  Why do they want to lock Stone and Jones up?
[02:12:28.482 --> 02:12:30.583]  Because we are threats to them.
[02:12:30.583 --> 02:12:33.245]  Because the truth is always threatening to them.
[02:12:33.245 --> 02:12:35.887]  No one is as hated as the truth teller.
[02:12:35.887 --> 02:12:37.928]  I believe that's what Plato said.
[02:12:37.928 --> 02:12:39.589]  And it is absolutely right.
[02:12:39.589 --> 02:12:43.231]  So, go to stonedefensefund.com, make a contribution.
[02:12:43.231 --> 02:12:46.874]  Go to the InfoWars store right now and buy one of the great products.
[02:12:46.874 --> 02:12:49.455]  And if you're not in the mood for a product, you can make a donation.
[02:12:49.455 --> 02:12:50.716]  There's a donation button.
[02:12:51.425 --> 02:12:53.967]  I'm sick of being called a grifter.
[02:12:53.967 --> 02:13:02.752]  I lost my home, my insurance, my car, my ability to make a living because I was gagged for 18 months.
[02:13:02.752 --> 02:13:06.374]  I put it all on the line, just like the founding fathers.
[02:13:06.374 --> 02:13:12.218]  I was subjected to the most relentless pressure you can imagine to turn my back on Donald Trump.
[02:13:12.218 --> 02:13:13.819]  Get yourself off the hook, kid.
[02:13:15.060 --> 02:13:19.683]  Turn on the president, lie, betray him, and maybe we'll go easy on you.
[02:13:19.683 --> 02:13:21.063]  And I said no.
[02:13:21.063 --> 02:13:23.905]  And I put my fate in the hands of Jesus Christ.
[02:13:23.905 --> 02:13:26.206]  And I fell on my knees and I prayed.
[02:13:26.206 --> 02:13:28.147]  And that's why I'm here today.
[02:13:28.147 --> 02:13:33.590]  And no, for those who say, Stone, you should retire, you should withdraw from the battlefield, you should give up.
[02:13:33.590 --> 02:13:35.391]  That's not happening.
[02:13:36.031 --> 02:13:38.533]  I love America and I'm in the fight.
[02:13:38.533 --> 02:13:40.075]  It doesn't mean I'm going to go out and break the law.
[02:13:40.075 --> 02:13:41.176]  I'm not an idiot.
[02:13:41.176 --> 02:13:43.318]  But that's why they fear us.
[02:13:43.318 --> 02:13:44.739]  I'm not going to give up, Alex.
[02:13:44.739 --> 02:13:47.221]  Wow, Roger, I have never seen you this fired up.
[02:13:47.221 --> 02:13:49.303]  What's going on?
[02:13:49.303 --> 02:13:55.608]  Well, I had a little bout of the Chinese biovirus that they put on me.
[02:13:55.608 --> 02:14:01.353]  And thanks to ivermectin and hydroxychloroquine, I'm 100% back to full health.
[02:14:01.954 --> 02:14:03.956]  Now, we'll probably get banned just because I said that.
[02:14:03.956 --> 02:14:05.657]  Those drugs work, folks.
[02:14:05.657 --> 02:14:09.400]  By the way, another big peer-reviewed study confirmed that these murderers blocked it.
[02:14:09.400 --> 02:14:12.343]  Again, this is just a criminal establishment completely out of its mind.
[02:14:12.343 --> 02:14:18.488]  In closing, Roger, it's beyond a political realignment worldwide against globalism, Hollywood, the New World Order.
[02:14:18.488 --> 02:14:19.949]  Everybody hates it.
[02:14:19.949 --> 02:14:20.869]  Statistics show it.
[02:14:21.650 --> 02:14:21.870]  I think?
[02:14:40.094 --> 02:14:44.919]  We're going to try to provocateur something there, so peace is so incredibly key.
[02:14:44.919 --> 02:14:49.464]  But, Roger, just in a one-minute closing comment, how would you describe the political class right now?
[02:14:49.464 --> 02:14:51.387]  I mean, they're on the ropes.
[02:14:51.387 --> 02:14:53.749]  They're like zombies.
[02:14:53.749 --> 02:14:55.551]  I mean, don't they get how hated they are?
[02:14:55.551 --> 02:15:01.358]  And no amount of martial law, no amount of censorship, no amount of bullying will ever put their New World Order back together again?
[02:15:02.924 --> 02:15:07.068]  That's why they have put so much stock in deplatforming and censoring us.
[02:15:07.068 --> 02:15:08.970]  They are petrified of Donald Trump.
[02:15:08.970 --> 02:15:10.972]  They really are afraid that he's going to come back.
[02:15:10.972 --> 02:15:18.799]  That's why they want to disqualify him now by falsely claiming that he's responsible for the actions of January 6th.
[02:15:18.799 --> 02:15:22.523]  They're still bruised from the beating he gave them in two prior elections.
[02:15:22.523 --> 02:15:25.406]  And he lives in their head rent-free.
[02:15:26.389 --> 02:15:32.092]  I'm not giving up on Donald Trump, and I'm not turning my back on him just because I disagree with him on vaccinations.
[02:15:32.092 --> 02:15:36.834]  He's still the greatest president in my lifetime, and I'm still ready to fight for America.
[02:15:36.834 --> 02:15:40.356]  But the fight now is for the soul of the Republican Party.
[02:15:40.356 --> 02:15:48.920]  Are you with the Stones, and the Loomers, and the Lawmires, and the Patriots, like General Flynn, or are you with the RINOs?
[02:15:48.920 --> 02:15:51.181]  Do you want to go back to the way it was before?
[02:15:51.181 --> 02:15:52.402]  Wow, Roger, amazing.
[02:15:52.662 --> 02:15:53.185]  Woo!
[02:15:53.185 --> 02:15:53.708]  Powerful.
[02:15:53.708 --> 02:15:55.338]  Roger, gotta come back again sooner.
[02:15:55.338 --> 02:15:55.981]  Thank you so much.
[02:15:55.981 --> 02:15:56.504]  We'll be right back.
[02:15:57.619 --> 02:16:25.844]  With all the craziness going on in the world, with the globalists plotting their next big lockdown, or the next phase of the Great Reset being a staged cyber attack, with the deep state pushing a civil war, not just here, but in Europe, and war with Russia, with the massive inflation and all the other garbage that's taking place, like supply chain breakdowns, you need to get prepared now with high quality storable food that is ready to ship.
[02:16:26.304 --> 02:16:34.850]  And it's been four years since My Patriot Supply at preparewithalex.com has offered their storable food at 25% off.
[02:16:34.850 --> 02:16:36.351]  Four years!
[02:16:36.351 --> 02:16:41.255]  But right now, it's 25% off until February 13th, 2022.
[02:16:41.255 --> 02:16:50.522]  A little over two weeks from the time I'm cutting this to get 25% off at preparewithalex.com on the entire catalog of My Patriot Supply.
[02:16:51.043 --> 02:16:51.765]  Act now.
[02:16:51.765 --> 02:16:53.009]  Get prepared now.
[02:16:53.009 --> 02:16:56.420]  This is absolutely essential for everybody that wants to be self-sufficient.
[02:16:57.332 --> 02:17:05.818]  We here at InfoWars are proud to announce the first ever Kava Kava Root Supplement that is now available at InfoWarsStore.com.
[02:17:05.818 --> 02:17:16.344]  Kava is one of the hottest new breakthroughs in the natural health world today, though it has been used for hundreds of years in the Pacific Islands for its relaxation and euphoric effects.
[02:17:16.344 --> 02:17:26.011]  According to ancient Samoan legend, Kava was given as a gift by the sun god Tagaloa, who they considered to be the supreme ruler and creator of the universe.
[02:17:26.331 --> 02:17:32.297]  The Samoan people would drink kava tea during social gatherings and sacred ceremonies to loosen up a little.
[02:17:32.297 --> 02:17:37.141]  Nowadays, kava is used around the world by many who enjoy its serious benefits.
[02:17:37.141 --> 02:17:41.205]  The new Kava Chill by Dr. Jones Naturals contains a full blend of
[02:17:41.445 --> 02:17:49.858]  Not only Cava Cava, but other herbs including, but not limited to, German Chamomile, Organic Skullcap, and Bavarian Root.
[02:17:49.858 --> 02:17:56.187]  We do expect to sell this new product quickly, so be sure to secure yours by visiting InfoWarsStore.com.
[02:17:59.814 --> 02:18:05.218]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[02:18:05.218 --> 02:18:06.319]  The Communists!
[02:18:06.319 --> 02:18:18.949]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee, and yeah, we buy it from the little farmers that, you know, the media calls Communists, but really they're just a commune, and whatever.
[02:18:18.949 --> 02:18:23.673]  The point is, is that it's good coffee, and we've got it, and the farmers don't let the Mexican government take over.
[02:18:23.673 --> 02:18:28.016]  So I actually buy this from the Mexican rebels, and I've been buying it for, what, 14 years, and the price has never gone up.
[02:18:28.677 --> 02:18:34.899]  We sold at Whole Foods under another name for about 50% more per pound, and I just think it's some of the best coffee you're gonna find anywhere.
[02:18:34.899 --> 02:18:39.061]  It's Wake Up America Patriot Blend from the Chiapas Rebels, literally.
[02:18:39.061 --> 02:18:42.162]  Um, in fact, I'm not gonna tell you the whole story.
[02:18:42.162 --> 02:18:46.444]  Um... We had like a... Okay, you wouldn't believe it.
[02:18:46.444 --> 02:18:52.826]  Anyway, so, it's InfoWarsTore.com, and that's how we fund this operation, and if you don't fund us and don't want us here, that's fine.
[02:18:57.822 --> 02:19:05.230]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[02:19:05.230 --> 02:19:12.378]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[02:19:12.378 --> 02:19:14.240]  It's Ultimate Bone Broth Plus.
[02:19:14.901 --> 02:19:23.924]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[02:19:23.924 --> 02:19:27.566]  Then it's got added magnesium and potassium for electrolytes.
[02:19:27.566 --> 02:19:34.088]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[02:19:34.088 --> 02:19:36.029]  It even tastes better than the last formula.
[02:19:36.029 --> 02:19:38.509]  And what it does for your body is simply amazing.
[02:19:38.509 --> 02:19:43.091]  Again, it has that cutting-edge chicken broth protein isolate
[02:19:43.251 --> 02:19:44.052]  We're good to go.
[02:20:14.840 --> 02:20:29.548]  There are a lot of different ways to fight back peacefully and with civil disobedience against this biomedical, tyrannical takeover that's taking place across the world, not just here in the U.S.
[02:20:29.548 --> 02:20:37.272]  Their peaceful fight against this takeover in Canada and places like Australia, places like Germany and Austria and the U.K.
[02:20:37.272 --> 02:20:39.513]  is our fight as well.
[02:20:39.513 --> 02:20:40.514]  It is Klaus Schwab.
[02:20:40.514 --> 02:20:40.874]  It is.
[02:20:42.062 --> 02:20:44.864]  The corporation's taking over our bodies.
[02:20:44.864 --> 02:20:50.748]  And now, from multiple highways, upwards of a million truckers are beginning to descend on Ottawa.
[02:20:50.748 --> 02:20:56.191]  And the corporate press is completely silent and giving an almost no coverage.
[02:20:56.191 --> 02:20:56.712]  And Trudeau
[02:20:57.552 --> 02:21:04.115]  The Bilderberg Group, Davos Group alumni of Klaus Schwab is hiding in his house, literally.
[02:21:04.115 --> 02:21:14.961]  Well, there's other ways to fight and Brian Festa has been recommended to me by a lot of people and I've seen him on national television, but a lot of people I know in the legal department say he's one of the most effective.
[02:21:15.987 --> 02:21:20.390]  We had fighting these illegal mandates and we've seen some Supreme Court rulings.
[02:21:20.390 --> 02:21:24.052]  We've seen OSHA pull back, but you know they're going to try to bring it back.
[02:21:24.052 --> 02:21:34.259]  And so he's involved in a lot of the lawsuits against big companies that are trying to still, despite the government mandate being pulled back, trying to force these experimental Nuremberg violating systems on us.
[02:21:34.259 --> 02:21:37.481]  So WeThePatriotsUSA.org.
[02:21:37.481 --> 02:21:40.643]  WeThePatriotsUSA.org.
[02:21:40.643 --> 02:21:44.686]  He's a civil rights attorney along with business partner Dale Don Joy.
[02:21:45.266 --> 02:21:53.278]  Founded We the Patriots and I'm not going to go over his whole background, but they're great folks and they are exposing what's happening.
[02:21:53.278 --> 02:22:01.449]  Brian is the father of a vaccine-injured child who became involved in medical freedom activism and legal work several years ago after his son was seriously injured by the flu shot.
[02:22:02.335 --> 02:22:05.337]  Yeah, half my family's been almost killed by these things.
[02:22:05.337 --> 02:22:12.922]  Dawn is a Navy veteran, former Pfizer executive level employee, with a personal vaccine injury story of her own.
[02:22:12.922 --> 02:22:21.347]  Dawn was almost two decades of experience in the fight for medical freedom, and I'm not going to go over all the rest of what they're doing, but they're very, very active, and he comes highly recommended.
[02:22:21.347 --> 02:22:24.649]  So, Brian, thank you so much for coming on with us.
[02:22:24.649 --> 02:22:29.913]  You probably need to give people the 35,000 foot view, because you really have got a bird's eye view of what's going on.
[02:22:31.161 --> 02:22:33.283]  Yeah, thank you so much for having me, Alex.
[02:22:33.283 --> 02:22:35.566]  It's absolutely insane what's going on.
[02:22:35.566 --> 02:22:36.827]  You know what's going on.
[02:22:36.827 --> 02:22:37.808]  I know what's going on.
[02:22:37.808 --> 02:22:45.357]  The rest of the world, much of the world has woken up to what's going on and that's what we do at We the Patriots USA.
[02:22:45.357 --> 02:22:52.064]  We fight and we also educate because, as you know, spreading truth is the most important weapon that we have.
[02:22:53.459 --> 02:22:54.019]  Where to start?
[02:22:54.019 --> 02:22:55.160]  I could ask you a million questions.
[02:22:55.160 --> 02:22:56.660]  You're suing a bunch of big companies.
[02:22:56.660 --> 02:22:58.441]  You've already had some big successes.
[02:22:58.441 --> 02:23:00.562]  How about giving us the overview of where the U.S.
[02:23:00.562 --> 02:23:04.143]  is right now with this biomedical takeover?
[02:23:04.143 --> 02:23:09.145]  Well, the United States, obviously, and the world is in a very, very dangerous place.
[02:23:09.145 --> 02:23:13.006]  We are on the precipice of a turning point in
[02:23:14.008 --> 02:23:15.069]  Human civilization.
[02:23:15.069 --> 02:23:17.731]  This isn't just about the United States.
[02:23:17.731 --> 02:23:21.554]  This isn't just about a handful of people in the Biden administration.
[02:23:21.554 --> 02:23:29.720]  I mean, he's nothing more than a puppet, as you know, a shadow puppet, I like to call him, for what's really going on at the globalist elite level.
[02:23:29.720 --> 02:23:31.681]  And this was all part of a plan.
[02:23:31.681 --> 02:23:40.468]  I mean, they instituted this very purposefully, starting with fear to break everybody down, get most people to comply and take these shots.
[02:23:41.221 --> 02:23:49.145]  And then the remaining that wouldn't put them out of work, destroy their livelihoods, so that we couldn't pull together and fight back.
[02:23:49.145 --> 02:23:54.107]  But we're saying we're going to prove them wrong about that, okay?
[02:23:54.107 --> 02:23:55.608]  Because we do still have good people.
[02:23:55.608 --> 02:24:01.091]  I have people contacting me who have lost their jobs recently, completely out of work,
[02:24:01.691 --> 02:24:08.092]  Don't know where to turn but they say I'm still gonna throw you $10 because we're not gonna let these SOBs take us down.
[02:24:08.092 --> 02:24:08.993]  We're gonna fight back.
[02:24:08.993 --> 02:24:15.494]  And so we are creating at We the Patriots USA a litigation machine to take down this tyranny because that is our strategy.
[02:24:15.494 --> 02:24:20.255]  You asked what is sort of the 35,000 foot view.
[02:24:20.255 --> 02:24:26.276]  Our strategy is to file as many of these lawsuits in as many places in this country as many circuit
[02:24:26.676 --> 02:24:32.563]  Courts of this country dozens and dozens of lawsuits because otherwise all you're doing Alex is you're playing whack-a-mole.
[02:24:32.563 --> 02:24:33.684]  You got one here.
[02:24:33.684 --> 02:24:35.025]  You got one there.
[02:24:35.025 --> 02:24:39.290]  Meanwhile, they're coming at you with untold trillions of dollars, right?
[02:24:39.290 --> 02:24:43.034]  They've got we're talking about the gates of the world the sources of the world.
[02:24:43.494 --> 02:24:52.197]  Uh, the federal government, the state governments, the pharmaceutical industry, big tech, they're all in on this together, as you know, and they've got untold trillions of dollars.
[02:24:52.197 --> 02:24:57.498]  But we can pull together patriots, brave men and women listening to this.
[02:24:57.498 --> 02:25:01.880]  And yes, I did say men and women because, uh, that's all we have.
[02:25:01.880 --> 02:25:02.680]  Right.
[02:25:02.680 --> 02:25:08.862]  Um, and I'm not, we're not PC at here, at here, we, the patriots, but we are fighting back.
[02:25:09.580 --> 02:25:12.667]  Everywhere, across the United States, coast to coast and beyond.
[02:25:12.667 --> 02:25:13.869]  I have people calling me from Alaska, Hawaii.
[02:25:13.869 --> 02:25:16.775]  Well that's what I'm told by a bunch of lawyers I know and other people.
[02:25:16.775 --> 02:25:18.058]  They just say, you guys are on fire.
[02:25:19.696 --> 02:25:30.639]  Yeah, I mean, we've been already, one of our cases, the New York health care workers case, because the state of New York, Kathy Hochul, decided that health care workers don't have the right to request a religious exemption.
[02:25:30.639 --> 02:25:32.860]  We've already been to the Supreme Court on that case.
[02:25:32.860 --> 02:25:41.902]  We didn't get the emergency injunction in place, but we do have that case ongoing through the system, and we do believe that we'll be back at the Supreme Court very quickly.
[02:25:41.902 --> 02:25:46.884]  Well, but I just heard this week, if I'm wrong, that right now it is being blocked, though, by another suit, right?
[02:25:48.402 --> 02:25:50.843]  Yeah, well, there's several suits.
[02:25:50.843 --> 02:25:53.004]  This is what happens when they push this tyranny.
[02:25:53.004 --> 02:25:54.084]  They throw us all together.
[02:25:54.084 --> 02:25:55.784]  There's several going on at once.
[02:25:55.784 --> 02:26:04.467]  But yes, temporarily, there has been a block, but we are going to keep fighting so that we get this before the United States Supreme Court.
[02:26:04.467 --> 02:26:06.088]  And there's a precedent on the books that says
[02:26:06.468 --> 02:26:16.792]  This can never happen again in any state that a state government, in violation of the First Amendment of the United States Constitution, can say you are not allowed to have a religious exemption.
[02:26:16.792 --> 02:26:20.014]  We also have a couple of huge lawsuits.
[02:26:20.014 --> 02:26:25.496]  One against the largest brick-and-mortar retailer in the United States and the world, Walmart.
[02:26:25.496 --> 02:26:28.157]  Bill Salyer denied ivermectin.
[02:26:28.587 --> 02:26:28.787]  Okay.
[02:26:51.667 --> 02:26:52.628]  So this is what we do.
[02:26:52.628 --> 02:26:56.431]  We strategically file these lawsuits against the biggest fish out there.
[02:26:56.431 --> 02:27:02.175]  Because if we can take them down, if we can win those lawsuits, that will trickle down to everyone else.
[02:27:02.175 --> 02:27:03.396]  That's our strategy.
[02:27:03.396 --> 02:27:04.977]  WeThePatriotsUSA.org.
[02:27:04.977 --> 02:27:08.259]  The biggest need, like I said, is donations.
[02:27:08.259 --> 02:27:10.761]  And we just need people to pull together.
[02:27:10.761 --> 02:27:11.802]  I know times are tough.
[02:27:12.422 --> 02:27:14.803]  Absolutely.
[02:27:14.803 --> 02:27:29.990]  It takes money to fight a war and that's why I have so many of the real activist groups that the enemy is attacking that are having victories on the show because you have little people and the middle class and even wealthy folks who love to hold onto their money
[02:27:30.490 --> 02:27:34.353]  They don't start spending and it's going to be worthless anyways with all this inflation.
[02:27:34.353 --> 02:27:36.675]  Our bodies are our most important asset.
[02:27:36.675 --> 02:27:38.256]  They are our castle.
[02:27:38.256 --> 02:27:43.040]  And this assault under all law, common law, international law, U.S.
[02:27:43.040 --> 02:27:45.902]  law, federal, state, it's just outrageous.
[02:27:45.902 --> 02:27:47.323]  It really is medical rape.
[02:27:48.832 --> 02:27:50.973]  Absolutely, there's no better term for it.
[02:27:50.973 --> 02:27:53.034]  That's not hyperbole.
[02:27:53.034 --> 02:27:55.435]  People accuse you of hyperbole, but guess what?
[02:27:55.435 --> 02:27:59.017]  What's going on in this country right now is not hyperbole.
[02:27:59.017 --> 02:28:02.419]  It is the destruction of the human race.
[02:28:02.419 --> 02:28:04.020]  They are trying to take us down.
[02:28:04.020 --> 02:28:05.941]  It's a depopulation agenda.
[02:28:05.941 --> 02:28:08.062]  We know that as well as you know that, Alex.
[02:28:08.502 --> 02:28:13.443]  And we intend to stop it, do everything that we can with God at our backs.
[02:28:13.443 --> 02:28:21.586]  We want to tell you, too, if you want more education about this, because that is another part of our mission is education, check out our podcast, Faithful Freedom with Taryn Gregson.
[02:28:21.586 --> 02:28:24.286]  She's a PGA Tour reporter that we are defending.
[02:28:24.286 --> 02:28:26.427]  She was fired for defying the mandate.
[02:28:26.427 --> 02:28:27.127]  She's awesome.
[02:28:27.347 --> 02:28:33.391]  And also check out our telegram channel, We The Patriots USA, as well, because we have a ton of great information.
[02:28:33.391 --> 02:28:36.593]  That's right, and find it all at WeThePatriotsUSA.org.
[02:28:36.593 --> 02:28:38.714]  I love you, Brian, and I love what you're doing.
[02:28:38.714 --> 02:28:51.541]  Let's come back and talk about what the Supreme Court already said, what you expect the dark side to pull now, and so much more as our brothers and sisters are up there peacefully occupying Ottawa right now, the capital of Canada.
[02:28:51.541 --> 02:28:55.524]  We salute them, and tomorrow I'm doing a special live broadcast, 2 p.m.
[02:28:55.524 --> 02:28:55.824]  Central.
[02:28:58.397 --> 02:29:02.560]  Reset Wars has been a great tool.
[02:29:02.560 --> 02:29:04.921]  Amazing and eye-opening.
[02:29:04.921 --> 02:29:16.769]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines but about all of us as a human species coming together.
[02:29:16.769 --> 02:29:18.150]  I'm a combat veteran.
[02:29:18.570 --> 02:29:24.155]  And, uh, I mean, that brought me close to God, but what Alex goes through brought me even closer.
[02:29:24.155 --> 02:29:25.736]  I can feel God in my life now.
[02:29:25.736 --> 02:29:34.343]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and install new.
[02:29:34.343 --> 02:29:38.947]  Reset Wars is a step beyond what you already get in regular InfoWars broadcasts.
[02:29:39.147 --> 02:29:45.453]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
[02:29:45.453 --> 02:29:48.936]  If you're on the fence about Reset Wars, it's time to get off the fence.
[02:29:48.936 --> 02:29:50.677]  Join Reset Wars today.
[02:29:57.948 --> 02:30:00.809]  It's time to protect your privacy.
[02:30:00.809 --> 02:30:11.993]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing all of your data and creating a map
[02:30:12.293 --> 02:30:12.673]  I think so.
[02:30:35.976 --> 02:30:36.556]  We're good to go.
[02:30:58.081 --> 02:31:05.029]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[02:31:05.029 --> 02:31:10.896]  InfoWars has made it easier to make sure you are getting enough in your system with a supplement that contains both.
[02:31:10.896 --> 02:31:17.263]  This InfoWars Life Offering Vitamin C Plus Zinc with Rose Hips should be your next purchase from the InfoWars store.
[02:31:17.583 --> 02:31:24.811]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[02:31:24.811 --> 02:31:35.102]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[02:31:35.502 --> 02:31:44.505]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[02:31:44.505 --> 02:31:51.088]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[02:31:51.088 --> 02:31:57.290]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[02:31:58.772 --> 02:32:06.239]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[02:32:06.239 --> 02:32:13.285]  But if you look at all the different studies and reports about NASA and other governments and other agencies, they all disagree on what's really happening with the climate.
[02:32:14.116 --> 02:32:19.661]  The only constant, the only great truth is change is the only constant.
[02:32:19.661 --> 02:32:22.444]  So yes, climate change is totally real.
[02:32:22.444 --> 02:32:29.450]  But notice first they called it global freezing back in the 70s and 80s and then it's gonna be global warming and that didn't really happen the way they wanted it to.
[02:32:29.450 --> 02:32:31.352]  Okay, now it's just climate change.
[02:32:31.352 --> 02:32:33.354]  But did you know that man-made climate change
[02:32:34.154 --> 02:32:40.736]  ...is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN.
[02:32:40.736 --> 02:32:43.797]  They have weather control treaties from 1979.
[02:32:43.797 --> 02:32:47.178]  Bill Gates has been manipulating the weather for a very long time.
[02:32:47.178 --> 02:32:54.480]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[02:32:54.480 --> 02:32:56.241]  So yes, man-made climate change is real.
[02:32:58.689 --> 02:33:04.596]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[02:33:16.002 --> 02:33:21.206]  Live from the InfoWars.com studios, it's Alex Jones.
[02:33:21.206 --> 02:33:23.948]  Bad news travels like wildfire.
[02:33:23.948 --> 02:33:27.010]  Good news travels slow.
[02:33:27.010 --> 02:33:30.092]  They all call me wildfire.
[02:33:30.092 --> 02:33:35.536]  Everybody knows, hell, I'm bad news.
[02:33:35.536 --> 02:33:40.900]  Everywhere I go, always getting in trouble.
[02:33:42.662 --> 02:33:52.047]  You know, I tell you, I'm sitting here trying to write a headline during the break for this General Flynn interview that we're going to premiere next hour.
[02:33:52.047 --> 02:33:55.949]  And I just can't even come up with something hardcore enough.
[02:33:55.949 --> 02:34:05.755]  General Flynn issues emergency warning of nuclear war imminent, deep state, false flags.
[02:34:05.755 --> 02:34:09.878]  Breaking General Flynn warns of
[02:34:10.845 --> 02:34:12.766]  Nuclear war.
[02:34:12.766 --> 02:34:16.967]  Deep state staging false flag to implement martial law.
[02:34:16.967 --> 02:34:21.849]  General Flynn warns deep state planning false flag to institute martial law.
[02:34:21.849 --> 02:34:23.589]  Nuclear war with Russia.
[02:34:23.589 --> 02:34:25.970]  I mean, that's that.
[02:34:25.970 --> 02:34:29.471]  And the former head of the Defense Intelligence Agency, former chief advisor to Trump.
[02:34:29.471 --> 02:34:30.432]  This is real.
[02:34:30.432 --> 02:34:33.453]  This is the guy that convinced Obama to have the pivot to deal with China.
[02:34:33.453 --> 02:34:39.195]  It's not like he just fell off a turnip truck yesterday.
[02:34:39.195 --> 02:34:39.295]  And
[02:34:40.464 --> 02:34:41.464]  That's what's going on.
[02:34:41.464 --> 02:34:57.352]  They're betting their whole thing on, we're scared of a virus, we'll take a world ID, we'll let them put things in our body, they'll be able to cover up if we get sick, they'll wait 75 years until they tell us what's in the damn shots or what happened when they gave them to people.
[02:34:58.311 --> 02:35:01.453]  You can't make this up, it's on a Monty Python episode.
[02:35:01.453 --> 02:35:10.799]  Brian Fiesta is a very well-known lawyer that heads up WeThePatriotsUSA.org, that's fighting hard to file lawsuits against Walmart and all the rest of these people, trying to enforce inoculations.
[02:35:10.799 --> 02:35:12.860]  And Brian, let me ask you that question.
[02:35:12.860 --> 02:35:21.986]  What do you make of how guilty it is that first they ask the federal court for 55 years, now the court says no, start releasing it, so Pfizer joins the suit and says 75 years.
[02:35:21.986 --> 02:35:23.787]  I mean, what does that tell the public?
[02:35:23.787 --> 02:35:26.268]  We don't want you to know what we did to you for 75 years?
[02:35:26.268 --> 02:35:27.009]  This is incredible.
[02:35:28.429 --> 02:35:29.230]  Exactly.
[02:35:29.230 --> 02:35:33.191]  And if people can't see it by now, Alex, I don't know what to tell them.
[02:35:33.191 --> 02:35:33.591]  All right?
[02:35:33.591 --> 02:35:35.392]  Because it is crystal clear.
[02:35:35.392 --> 02:35:39.634]  It's not even... there's a phrase there, hiding in plain sight, right?
[02:35:39.634 --> 02:35:41.135]  It's not even hiding anymore.
[02:35:41.135 --> 02:35:41.615]  All right?
[02:35:41.615 --> 02:35:42.916]  It's all out there.
[02:35:42.916 --> 02:35:49.158]  Obviously, they are trying to stop the public from knowing the truth.
[02:35:49.158 --> 02:35:51.600]  They don't want the people knowing what they're doing.
[02:35:51.600 --> 02:35:56.782]  That fact alone should be enough automatically for them, the plaintiffs, to win the case.
[02:35:57.811 --> 02:35:58.252]  Unbelievable.
[02:35:58.252 --> 02:35:58.872]  Please continue.
[02:36:09.770 --> 02:36:10.050]  I don't
[02:36:29.916 --> 02:36:31.198]  Virus, okay?
[02:36:49.321 --> 02:36:53.165]  Absolutely ridiculous, and this is what's scary, folks.
[02:36:53.165 --> 02:37:03.334]  When we have a Supreme Court Justice, now luckily she wasn't in the majority, but still, when we have a Supreme Court Justice that states that as fact, these are really, really scary times, alright?
[02:37:03.334 --> 02:37:04.776]  So what we need to do
[02:37:05.556 --> 02:37:07.216]  Absolutely.
[02:37:07.216 --> 02:37:12.738]  Pull together, file as many of these lawsuits as possible because, listen, I know people have lost faith in the justice system.
[02:37:12.738 --> 02:37:13.278]  I haven't.
[02:37:13.278 --> 02:37:15.818]  If I had, I'd leave the profession, okay?
[02:37:15.818 --> 02:37:23.460]  There are still good constitutionalists, liberty-minded judges and justices that will uphold the rule of law.
[02:37:23.460 --> 02:37:24.340]  I still believe that.
[02:37:24.340 --> 02:37:28.841]  If at any day I come to a contrary conclusion, I'll turn in my law license and come on your court.
[02:37:28.841 --> 02:37:30.902]  Well, we saw an example of that with the Kyle Rittenhouse case.
