[00:00.000 --> 00:29.000]  Don't bother, they're here.
[1:50:36.000 --> 1:50:38.000]  And everybody doesn't have the good halogen.
[1:50:38.000 --> 1:50:40.000]  It will use fluoride, chlorine, bromide, you name it.
[1:50:40.000 --> 1:50:42.000]  That's why they bomb you hard with that.
[1:50:42.000 --> 1:50:48.000]  We have the green fiber made up of the green shoots of the all the best types of shoots.
[1:50:48.000 --> 1:50:55.000]  So it has all the amino acids, a bunch of vitamins and minerals, really a high end green fiber from the wheatgrass and so much more.
[1:50:55.000 --> 1:50:56.000]  That's 1995.
[1:50:56.000 --> 1:50:58.000]  It's all at infowarstore.com.
[1:50:58.000 --> 1:51:06.000]  And it takes a lot of money to have your own satellite uplinks, your own shows and your own lawyers and your own infrastructure and your own encoders and all of it.
[1:51:06.000 --> 1:51:09.000]  But thanks to you, you kept us on air and we really appreciate you.
[1:51:09.000 --> 1:51:15.000]  So I would just encourage everybody to go to infowarstore.com and get their winter sound, their X2 while they still can.
[1:51:15.000 --> 1:51:18.000]  And we have a lot of great t-shirts and books and films as well.
[1:51:18.000 --> 1:51:22.000]  We have a new sticker that's going your door saying no contact tracers.
[1:51:22.000 --> 1:51:26.000]  Guess I got to stick that on my door because they say they're coming to our houses in Austin.
[1:51:26.000 --> 1:51:28.000]  We quote, better comply with them.
[1:51:28.000 --> 1:51:31.000]  And of course, their Bill Clinton Foundation runs it.
[1:51:31.000 --> 1:51:35.000]  And Google got the money to control it from our governor.
[1:51:35.000 --> 1:51:38.000]  All right, we'll be right back with our number three.
[1:51:38.000 --> 1:51:40.000]  Stay with us and please tell folks tune in.
[1:51:40.000 --> 1:51:44.000]  You'll want to hear what this doctor has to say.
[1:51:44.000 --> 1:51:48.000]  As we predicted, the globalists are now launching a new lockdown.
[1:51:48.000 --> 1:51:53.000]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death.
[1:51:53.000 --> 1:51:57.000]  And it's caused massive supply chain problems across the western world.
[1:51:57.000 --> 1:52:04.000]  Ladies and gentlemen, now is the time for you to get high quality, storeable food that's ready to ship while you still can at 2020 prices.
[1:52:04.000 --> 1:52:08.000]  We have the biggest, best company in the United States as our supplier.
[1:52:08.000 --> 1:52:16.000]  Their entire catalog is at infowarstore.com, you get an additional 10% off at infowarstore.com, but only for one more week.
[1:52:16.000 --> 1:52:18.000]  They've told us you can extend it one more week, Alex.
[1:52:18.000 --> 1:52:19.000]  But that's it.
[1:52:19.000 --> 1:52:21.000]  They won't do this sale again until November.
[1:52:21.000 --> 1:52:24.000]  And then the food prices go up in 2022.
[1:52:24.000 --> 1:52:26.000]  This is insurance you can eat.
[1:52:26.000 --> 1:52:33.000]  It's the highest quality, hundreds of high quality foods, three months, six months, your supplies all ready for you at infowarstore.com or call toll free.
[1:52:33.000 --> 1:52:36.000]  Triple eight, two, five, three, three, one, three, nine.
[1:52:36.000 --> 1:52:42.000]  Again, infowarstore.com, 10% off on high quality, storeable food, ready to ship, but it ends in just one week.
[1:52:42.000 --> 1:53:07.000]  So take action now while you still can.
[1:53:07.000 --> 1:53:19.000]  This is the Rockefeller Foundation.
[1:53:19.000 --> 1:53:22.000]  They developed this whole plan with Bill Gates.
[1:53:22.000 --> 1:53:23.000]  They're now implementing it.
[1:53:23.000 --> 1:53:27.000]  And now they've announced that U.S. policy is set by the private Rockefeller Foundation.
[1:53:27.000 --> 1:53:31.000]  Of course, the Rockefeller Foundation by the 30s was the main funder of Adolf.
[1:53:31.000 --> 1:53:37.000]  Alois Hitler and the eugenics at Cold Springs Harbor, the train, the Coserville Institute in Germany.
[1:53:37.000 --> 1:53:39.000]  And before wars will continue to set fast, they fight this.
[1:53:39.000 --> 1:53:40.000]  I don't know how long we can.
[1:53:40.000 --> 1:53:42.000]  The enemy's coming for us all now.
[1:53:42.000 --> 1:53:43.000]  God bless and good luck.
[1:53:43.000 --> 1:53:55.000]  I would again get right with God right now.
[1:53:55.000 --> 1:54:06.000]  All right, next segment, we're joined by a very important guest is blowing the whistle since day one, Dr. Andrew Compton about what's really happening with COVID, the vaccines and all that really appreciate him joining us.
[1:54:06.000 --> 1:54:07.000]  That's coming up next segment.
[1:54:07.000 --> 1:54:11.000]  But now the police in France, all of the country have joined the demonstrators.
[1:54:11.000 --> 1:54:13.000]  This report's from five days ago.
[1:54:13.000 --> 1:54:16.000]  Now the police have joined them all over the country saying no to force inoculations.
[1:54:16.000 --> 1:54:17.000]  That's the good news.
[1:54:17.000 --> 1:54:19.000]  So here's what was happening just a few days ago.
[1:54:19.000 --> 1:54:26.000]  Now you know the new developments.
[1:54:26.000 --> 1:54:35.000]  Fragmented global architecture is not fit anymore for purpose in the 21st century.
[1:54:35.000 --> 1:54:39.000]  It's high time for a great reset.
[1:54:39.000 --> 1:54:57.000]  On August 1st, President Emmanuel Macron's France will require a COVID-19 health pass for anyone entering a restaurant or cafe, a shopping center, hospital or taking a long distance train due to the fear mongering surrounding the dreaded Delta variant.
[1:54:57.000 --> 1:55:00.000]  Vaccinations are really about individual freedom.
[1:55:00.000 --> 1:55:01.000]  Everyone can choose.
[1:55:01.000 --> 1:55:03.000]  That's not the theme here today.
[1:55:03.000 --> 1:55:08.000]  The theme is about the absence of freedom that is unfortunately continuing to grow in this country.
[1:55:08.000 --> 1:55:09.000]  That's it.
[1:55:09.000 --> 1:55:12.000]  They're taking away our freedoms little by little.
[1:55:12.000 --> 1:55:14.000]  Vaccinated or not, we are all together.
[1:55:14.000 --> 1:55:27.000]  Beginning July 21st, anyone over the age of 12 will also be required to show the past to visit a movie theater, a museum, a live theater, a theme park or cultural center.
[1:55:27.000 --> 1:55:33.000]  Macron's government also decided to make vaccines compulsory for all health care workers.
[1:55:33.000 --> 1:55:42.000]  We need to strive for having vaccination levels at near 100% across France because that is the only way we will have a sound future.
[1:55:42.000 --> 1:55:58.000]  This is why for those health carers and working in hospitals, clinics, retirement homes, people working in disabled care facilities, anyone who works in a professional capacity or volunteer capacity, working with the elderly or the most fragile people at home,
[1:55:58.000 --> 1:56:04.000]  they will have to be vaccinated without waiting.
[1:56:04.000 --> 1:56:06.000]  It is compulsory for them.
[1:56:06.000 --> 1:56:14.000]  As of the 15th of September, checks will be carried out and fines and sanctions will be handed down for anyone who is not vaccinated.
[1:56:14.000 --> 1:56:23.000]  For all of those people who, for the time being, have had no dose of the vaccine, we have options available for you.
[1:56:23.000 --> 1:56:37.000]  Macron's big stick approach is slightly being walked back, but the penalties under the draconian law mean that people in France who enter a bar or a restaurant without a COVID pass face six months in jail,
[1:56:37.000 --> 1:56:46.000]  while business owners that fail to check their status face a one-year prison sentence and a 45,000 euro fine.
[1:56:46.000 --> 1:56:58.000]  As unofficially as the EU digital COVID certificate, the pass shows whether a person has been vaccinated against COVID-19, tested negative, or recovered from COVID-19.
[1:56:58.000 --> 1:57:03.000]  Meanwhile, the Mockingbird media continues to fuel the tyranny, plaguing humanity.
[1:57:03.000 --> 1:57:15.000]  This Delta variant has me very concerned. As long as there are these clusters of people who have not been vaccinated, I mean, can the Delta variant or another variant eventually penetrate the protection we thought we had from the vaccine?
[1:57:15.000 --> 1:57:28.000]  As long as the virus is alive and proliferating, there is the possibility for mutations, mutations that could potentially evade the immunity of the vaccines that we have.
[1:57:28.000 --> 1:57:34.000]  As protesters in the French provinces of Canada refuse semis hauling vaccines,
[1:57:34.000 --> 1:57:51.000]  but the news people please go live. So we're being asked that a vaccine truck proving that vaccines are important. And yet if we're vaccinated, we aren't allowed to travel. So how are the vaccines important? No backstruck pass this point.
[1:57:51.000 --> 1:58:06.000]  Back in France, the rioting and large scale protests have already reached colossal proportions as the French people grapple with Macron's full blown dictatorship, all in the name of the advancement of a new world order.
[1:58:06.000 --> 1:58:09.000]  John Bown reporting.
[1:58:09.000 --> 1:58:24.000]  Ladies and gentlemen, we're going to go to break here in just about 30 seconds, and we are going to come back with our special guest, Dr. Andrew Cobb. And he's been one of the main people accurately raising the alarm in the last 16 months about what's unfolding.
[1:58:24.000 --> 1:58:37.000]  And so he's the expert. I want to give him the floor when we come back and really have him lay out wherever he wants to start the history of it, where he thinks it's going, the incredible authoritarian nature of this, and so much more.
[1:58:37.000 --> 1:58:47.000]  And in my view and others view, this violates the Nuremberg code, all these attempts at forced injection.
[1:58:47.000 --> 1:58:49.000]  Jacob in Ohio. Welcome. Go ahead.
[1:58:49.000 --> 1:58:50.000]  Hey, how's it going, Alex?
[1:58:50.000 --> 1:58:51.000]  Good, bro.
[1:58:51.000 --> 1:59:03.000]  Great last caller. I just wanted to start with plugging your sleep supplements. It's basically the only way I get sleep anymore with all the gaslighting, the moralization, and absurdity. It's like we're living in a twilight zone.
[1:59:03.000 --> 1:59:06.000]  All right, Eric's in New Hampshire. Eric, thanks for calling. Go ahead.
[1:59:06.000 --> 1:59:17.000]  Hey, Alex, thanks for taking my call. If I could, I just want to throw a quick plug out for the product. The XQ does wonders. They recommend it to everybody. You're on the fence about it. Get off the fence. Get the product. Support the Imp Award.
[1:59:17.000 --> 1:59:20.000]  Tyler in Maine. You're on the year. Thanks for rolling. Go ahead.
[1:59:20.000 --> 1:59:23.000]  Hey, Alex. It's great to be on with you. It's an honor.
[1:59:23.000 --> 1:59:24.000]  Honored to talk to you.
[1:59:24.000 --> 1:59:34.000]  Awesome. So, first thing I wanted to do is say I love the products. Alpha Power, even at 29. If you ask my better half, she loves it. And it helps in the bedroom.
[1:59:34.000 --> 1:59:36.000]  So, just number one for a few of you.
[1:59:36.000 --> 1:59:38.000]  I like that one. It works. Just don't joke.
[1:59:38.000 --> 2:00:07.000]  Absolutely.
[2:00:07.000 --> 2:00:14.000]  All right, Dr. Michael.
[2:00:14.000 --> 2:00:23.000]  We got a bunch of big medical doctors joining us on the show tomorrow. And I've got a big stack of those guys that are going to be joining us.
[2:00:23.000 --> 2:00:40.000]  And I've got this report here. Former Pfizer BP destroys media hit piece, attacks his warnings about COVID injection and calls them a pack of lies at the former Pfizer vice president and chief science officer, Michael Ghidon.
[2:00:40.000 --> 2:00:53.000]  We're working to get him on the show. We have several big medical doctors on the broadcast tomorrow who have filed these lawsuits dealing with the numbers of dead in the vars reporting system and other systems.
[2:00:53.000 --> 2:00:58.000]  So, look for that to be coming out tomorrow. Here's that report right here.
[2:00:58.000 --> 2:01:13.000]  Shock. Dr. warns the majority of vaccinated patients could have permanent heart damage. Some may die within three years and there is a lawsuit being filed over that again. Those guys are going to be joining us on the broadcast tomorrow.
[2:01:13.000 --> 2:01:18.000]  But right now we're going to Dr. Andrew Kaufman. He is a psychiatrist.
[2:01:18.000 --> 2:01:35.000]  He has a BS from MIT and an MD from Medical University of South Carolina. I'm not going to go over his whole background, all the books he's written and the things he's done. But from the very start, he has been criticizing this whole roll out and what has been unfolding.
[2:01:35.000 --> 2:01:44.000]  And so I've got so many questions for him. But the best way to do this is just thank you for coming on and then let him start where he thinks is best. So Dr. Kaufman, thanks for coming on with us.
[2:01:44.000 --> 2:01:51.000]  Well, thank you, Alex. It's really a pleasure to be here and I appreciate the opportunity to speak to your audience.
[2:01:51.000 --> 2:01:55.000]  Where do you want to start? I'm going to try to give you the floor here to break this down.
[2:01:55.000 --> 2:02:10.000]  Well, I really appreciate that. And you know, I like to start at the beginning because what happened is, you know, since the announcement of a pandemic in March of 2020, we have been experiencing a total change in the way our government handles things.
[2:02:10.000 --> 2:02:24.000]  And essentially what they've done is an end run around the legislative process and taken away many of our freedoms. And now, of course, they're putting a lot of pressure on us to take an experimental so called vaccine.
[2:02:24.000 --> 2:02:35.000]  And so when this started occurring, I said, you know, I want to start at the root cause because really everything that has happened has been justified by the virus.
[2:02:35.000 --> 2:02:47.000]  So I thought I'd start at square one and, you know, I come from a scientific and medical background. So I'm able to read the literature and understand what things are what.
[2:02:47.000 --> 2:02:54.000]  And so I started looking at the articles where they say that they've discovered a novel coronavirus.
[2:02:54.000 --> 2:03:16.000]  And what I uncovered is that they put forth this experimental criteria that proves the existence of a virus. But when you take a closer look, it's actually the experiment itself that gives them the proof they need, even if you don't even have any source of a virus in the experiment at all.
[2:03:16.000 --> 2:03:30.000]  And this was actually carried out recently by Dr. Stefan Lanka in Germany, who showed that he got the same proof of a virus by doing the experiment without any source of a virus whatsoever.
[2:03:30.000 --> 2:03:46.000]  And so I learned that they've never actually taken a sick person and pulled a virus out of a sick person directly and got it by itself in a purified isolated form so that they could study it.
[2:03:46.000 --> 2:03:58.000]  Instead, what they've done is essentially use a computer to generate what they call an in silico genome, which is completely computer generated.
[2:03:58.000 --> 2:04:11.000]  And we know this by several ways, one simply just looking at the experiments that they do. You can see that they don't start with an organism with one piece of genetic material.
[2:04:11.000 --> 2:04:15.000]  They start with a big mixture that they don't even know what's in it.
[2:04:15.000 --> 2:04:31.000]  But also, the alleged PCR diagnostic test, which is based on this genome sequence, was actually used before they even had shown the presence of this new virus in any way.
[2:04:31.000 --> 2:04:44.000]  In fact, it was made completely based on the published genome sequence from the SARS virus in 2003, which also, by the way, was an in silico genome.
[2:04:44.000 --> 2:04:51.000]  We've seen other evidence, for example, the pictures that we see allegedly showing this virus.
[2:04:51.000 --> 2:04:58.000]  Now, many of them are just artistic renderings created by a graphic artist and have nothing to do with reality.
[2:04:58.000 --> 2:05:09.000]  But the pictures that are from an electron microscope that are in black and white that show these round particles with the so-called spike dots on the outside,
[2:05:09.000 --> 2:05:22.000]  that those have actually been shown in regular kidney biopsies from as early as 1999, when those people had nothing to do with SARS-CoV-2, obviously, or any virus.
[2:05:22.000 --> 2:05:32.000]  And in the literature, the scientists, the kidney doctors who wrote this paper, they said straight out, these particles are indistinguishable from what they call viruses.
[2:05:32.000 --> 2:05:43.000]  And this would be a point of confusion and should be paid attention to. And even in their article, they alluded to the CDC, which actually published another paper about this issue previously.
[2:05:43.000 --> 2:05:54.000]  And so all of the scientific community is somewhat aware of this confusion, but they never acknowledge it and they just basically pretend that this virus is real.
[2:05:54.000 --> 2:06:07.000]  And why this is so important is because, obviously, if there is not an actual virus that's even been discovered to be real, then you can't have a genome.
[2:06:07.000 --> 2:06:13.000]  It can't cause a disease. It can't spread from person to person or do anything if it doesn't exist.
[2:06:13.000 --> 2:06:24.000]  And once you can understand this based on the evidence that is widely available and published, then it's really easy to understand everything else that's going on.
[2:06:24.000 --> 2:06:32.000]  And of course, all the fears about your health being affected by this invisible boogeyman simply disappear.
[2:06:32.000 --> 2:06:46.000]  All right, well, I'm not a medical doctor of the human brain like you are, but I've interviewed psychiatrists, I've interviewed MDs, I've interviewed brain surgeons, I've interviewed virologists, epidemiologists.
[2:06:46.000 --> 2:06:53.000]  And we just see armies of them everywhere basically agreeing with what you're saying. You've been one of the first to come out early and talk about this.
[2:06:53.000 --> 2:07:01.000]  But most doctors, my family doctor thinks this is all staged and a fraud and it says this new so-called vaccine destroys your immune system.
[2:07:01.000 --> 2:07:04.000]  And then I've got all the British reports from their own government admitting it.
[2:07:04.000 --> 2:07:17.000]  And so this is very Orwellian for me. I've never felt so gaslighted as I do constant research and then they just meet us with this wall of shut up, you're wrong, even though everything they say is not true.
[2:07:17.000 --> 2:07:25.000]  And then Fauci's perjuring himself, okay, did it come out of the lab? So my listeners are like, wait, is it real? Did it come out of the lab, Jones?
[2:07:25.000 --> 2:07:32.000]  Or is it totally a fraud because the PCR test we know is a scam? And as you said, I've read the same reports where they have it, they never isolated it.
[2:07:32.000 --> 2:07:38.000]  They use computers like Theranos did a few years ago to supposedly find cancer. We now know that was a fraud.
[2:07:38.000 --> 2:07:43.000]  So I really see parallels between Theranos and what's currently happening. Can you give us your take on that?
[2:07:43.000 --> 2:08:04.000]  Yeah, well, you know, you make an excellent point. And this is really the reason why they're pushing so hard with the censorship right now because they don't want the voices of these doctors who realize the fraud and the scam that's going on to make those things public because they want everyone to just comply and take this vaccine.
[2:08:04.000 --> 2:08:18.000]  So really, you know, that's kind of what we're facing. But you know, if you actually look at the science and you know, all the science I looked at is either just from peer reviewed studies published in the main literature and from the government websites.
[2:08:18.000 --> 2:08:35.000]  You know, it's all there. But what they do is they just walk these talking heads in front of us, you know, like Dr. Fauci and many others who are really, you know, they're kind of in on it, probably getting paid or they're getting a lot of notoriety from basically
[2:08:35.000 --> 2:08:52.000]  echoing, you know, this tagline that's all over the mainstream media. But the, you know, it's really difficult for many of the doctors because they know that their job is at risk. You know, if they go public with this and you know, just like what's happened to me and many others.
[2:08:52.000 --> 2:09:06.000]  I'm still very impressed by the countless army of prestigious scientists, doctors, former chief scientist at Pfizer. I mean, this is the discoverer of HIV. I mean, all these people basically saying this is a giant fraud.
[2:09:06.000 --> 2:09:16.000]  When we come back, I want to go back to the original numbers that woke you up. We'll talk about those tell folks we're going to look it up for themselves and then ask you, you know, as my studies the brain.
[2:09:16.000 --> 2:09:30.000]  Obviously, they admit this is psychological warfare. The British government admits they're quote brainwashing the public with fear. How do we counter that? Because I've even got family that are smart people have high IQs who still just said, you know, shut up, take the shot.
[2:09:30.000 --> 2:09:40.000]  We'll never be free till we do it. Now they're saying, hey, taking the shot doesn't make us free. So how do we get people out of a mass Stockholm syndrome? I'm not the psychiatrist like you, but I'll ask you that question when we come back.
[2:09:40.000 --> 2:09:47.000]  We come back. Thank you, Doc.
[2:09:47.000 --> 2:10:10.000]  Brandy do right. Brandy do right. Thanks for holding her on the air. Go ahead. Yeah. First of all, let me say I love your products. I am a granny. And for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots or age spots as they're lovingly called. But since taking your x to the last couple of years, my skin is just really gorgeous.
[2:10:10.000 --> 2:10:25.000]  Actually, people think I'm 55 years old. And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do because I just thought it was a hopeless situation. But when I started taking it, I mean, it doesn't happen immediately.
[2:10:25.000 --> 2:10:44.000]  You know, over a period of time, I started noticing, okay, you know, this is a ticket. This is working. This is wonderful. You know, I don't, I don't have to put on derma blend anymore. You know, so anyway, it worked wonderfully and it really has totally cleared up my skin.
[2:10:44.000 --> 2:10:59.000]  Michael Lindell is a man in the arena, a man after Teddy Roosevelt's own heart. People demonize him, they laugh at him, they attack him, but he's been proven right. The audits are coming out and there was total absolute election fraud against President Trump and against the American people.
[2:10:59.000 --> 2:11:17.000]  And Michael Lindell is getting sued by all these big, powerful globalist institutions trying to shut him down. That's why it's so important to support my fellow.com and all the great products he's got and all the thousands of employees he has hired America because he's doing God's work.
[2:11:17.000 --> 2:11:36.000]  And at the same time, he's funding InfoWars. That's right. When you use promo code Alex at checkout, up to 60% off on the best selling sheets and towels and the new beds he's got and the pillows, of course, everything, up to 60% off with promo code Alex at checkout at
[2:11:36.000 --> 2:11:50.000]  my fellow.com, then you fund his rate work and our great work at InfoWars, a 360 win, my fellow.com promo code Alex.
[2:12:06.000 --> 2:12:21.000]  Big brother mainstream media, government cover-ups. You want to stop tyranny? Well, so does he live from the InfoWars.com studios. It's Alex Jones.
[2:12:21.000 --> 2:12:36.000]  All right, Dr. Andrew Kauffman has been trained at MIT and the University of South Carolina. He's an author, researcher, but he's a psychiatrist. He went off the mainline science in Germany, in the U.S. I'm not a trained psychiatrist.
[2:12:36.000 --> 2:12:45.000]  I'm not a trained medical doctor. I've had him on. I've read this. All I know is everything Fauci says is a lie. He says 99% of the deaths are from the unvaccinated.
[2:12:45.000 --> 2:12:55.000]  I go look at the British and U.S. reports. It's the opposite. They admit the PCR test is 94% false positive New York Times. You question that, you get banned on Twitter.
[2:12:55.000 --> 2:13:03.000]  They're censoring congressional hearings. They're definitely covering up what's going on. Big Tex in bed with Big Pharma.
[2:13:03.000 --> 2:13:12.000]  And he's one of the first prominent people to take the medical research that was out there and talk about it over a year ago and say this is a scam.
[2:13:12.000 --> 2:13:19.000]  They haven't even isolated the virus. They're using computers to claim that they find the material from it and then saying it exists.
[2:13:19.000 --> 2:13:29.000]  And so that's my layman way of putting it. Then they say there's these new variants. So we've got to continue the lockdowns and the rest of it, but they never show evidence of that.
[2:13:29.000 --> 2:13:45.000]  That's really not your current. I mean, previously you were just pointing out the whole thing had issues. Now you're basically, unless I'm wrong, you're saying that the variant particularly is really something they have no proof of.
[2:13:45.000 --> 2:13:49.000]  So please quantify that for us, sir, in layman's terms.
[2:13:49.000 --> 2:14:06.000]  Yeah, I'd be happy to. So I described before that they sequenced this entire genome and they did this in a way where they had basically fragments of genetic material from whatever would be in someone's lungs who is sick, which would be a lot of different things.
[2:14:06.000 --> 2:14:22.000]  And there turns out that there's like 56 million individual little fragments of RNA and they sequence those and we don't know where any of those individual fragments are from because we didn't get it from a virus.
[2:14:22.000 --> 2:14:26.000]  Right. And we don't even know that there is a virus because it wasn't even shown.
[2:14:26.000 --> 2:14:44.000]  So basically they put these fragments into a computer and the computer combines them into over 3 million possible genomes and they pick one of those tweak it to make it look like a bat coronavirus, which probably was a predetermined outcome.
[2:14:44.000 --> 2:14:50.000]  And then they put that and they say this is the index genome.
[2:14:50.000 --> 2:15:09.000]  Okay, so then what they do is they put out a set of instructions like a recipe of how anyone around the world can now do this experiment, except what they're going to do is in the end they're going to compare it to that index sequence, which is totally contrived by a computer.
[2:15:09.000 --> 2:15:21.000]  But since they're never going to get an exact match, right, because they're not actually testing a real thing, right, they're just combining all these random sequences together.
[2:15:21.000 --> 2:15:33.000]  So every time they repeat the experiment by this recipe around the world and there's been something like I think someone said 40,000 of these that have been done, not one matches exactly.
[2:15:33.000 --> 2:15:41.000]  They all are a little bit off and this is what happens when you try to repeat an experiment that's invalid is that you don't get the same results.
[2:15:41.000 --> 2:15:58.000]  But of course, all these different results they call variants and this is a very important scheme to not only continue the fear, but to ramp it up and then use this to justify everything but they haven't isolated and characterized any one variant at all and they've
[2:15:58.000 --> 2:16:04.000]  done any studies even where they look at the actual clinical outcomes.
[2:16:04.000 --> 2:16:23.000]  Generally what they do is they do some kind of computer simulation that says this may be more transmissible or more dangerous but it's really probably you know just people sitting around and saying how can we make this scary and how can we fudge the science to make it look like it backs that up.
[2:16:23.000 --> 2:16:40.000]  So is it this the ultimate Salem witch trial 2.0 where it's this nebulous thing you can't see there's no proof of it if you throw somebody in and they they sink and die they're not a witch, but if they float, you know they're which but you still kill them basically.
[2:16:40.000 --> 2:16:44.000]  I mean it just sounds like it lets this medical tyranny take over.
[2:16:44.000 --> 2:16:59.000]  Absolutely and you know from from the scientific establishment perspective it's like in this field and you see very few people are reporting on exactly how this they do this computer genome sequencing because they make it impossible to understand.
[2:16:59.000 --> 2:17:20.000]  It's like three different disciplines like computer science right and which they know nothing about biology you have geneticists which probably know very little about viruses and then virologists and they're trying to come together and it's like the right hand doesn't know what the left is doing so no one fully understands that the whole thing is a sham.
[2:17:20.000 --> 2:17:24.000]  Wow so I guess the emperor's new clothes would be a better allegory.
[2:17:24.000 --> 2:17:26.000]  What's the best allegory of this.
[2:17:26.000 --> 2:17:29.000]  I think that's a good one.
[2:17:29.000 --> 2:17:31.000]  Wow.
[2:17:31.000 --> 2:17:37.000]  Again what do you make of Theranos we know Bill Gates is having involved funding that they claim they have this test to get fine cancer.
[2:17:37.000 --> 2:17:40.000]  It used a bunch of computers and blood tests and other things.
[2:17:40.000 --> 2:17:42.000]  Turn out it was a complete fraud.
[2:17:42.000 --> 2:17:47.000]  I see parallels with Theranos and what's what's happening with this doctor.
[2:17:47.000 --> 2:18:07.000]  You know if you start looking through the literature at technologies that they plan to use for various insidious and evil purposes you find thousands of articles and these include many things like gene therapy which is what we're getting at here.
[2:18:07.000 --> 2:18:22.000]  Also various types of nanotechnology involving magnetic nanoparticles hydrogels graphene machine brain interfaces like there is a whole world and it this technology is not in its infancy.
[2:18:22.000 --> 2:18:28.000]  There are actually many of these devices that have been already used in experiments and shown to work.
[2:18:28.000 --> 2:18:39.000]  I mean for example they they even have nanotechnology that's called it was originally optogenetics and then they've changed it to magnetogenetics.
[2:18:39.000 --> 2:18:49.000]  And they basically put an animal with this thing injected into their body in a magnetic field and they can control and alter the behavior of these animals.
[2:18:49.000 --> 2:19:03.000]  So we're really you know on the precipice of a major paradigm shift towards this kind of transhuman technology that Kurzweil and many others have talked about for decades.
[2:19:03.000 --> 2:19:12.000]  It's incredible I've been spending five six hours a day till I'm totally exhausted reading medical literature that I don't understand most of it then I go and try to find out what they're saying about it.
[2:19:12.000 --> 2:19:21.000]  But they you just mentioned it they call these new life forms they debate are these new species are these new aliens and they go whatever they are we're putting them in you as a revolution.
[2:19:21.000 --> 2:19:23.000]  We're going to see what's going to happen.
[2:19:23.000 --> 2:19:30.000]  So really it's like the medical biotech system is raping humanity in a weird mass experiment of mad scientist.
[2:19:30.000 --> 2:19:33.000]  I think that's the best way I'd quantify a doctor.
[2:19:33.000 --> 2:19:51.000]  Well I totally agree and you know this kind of segues right into the question you were asking before about the Stockholm syndrome because you know certainly we know that fear is a major manipulative force and that you can condition people and manipulate them in all sorts of ways.
[2:19:51.000 --> 2:20:06.000]  And you know many of the techniques that have been used in this marketing campaign through the media and other sources you know come right from Edward Bernays and other people who are instrumental in developing propaganda as a as a discipline.
[2:20:06.000 --> 2:20:26.000]  And then we find out that there were actually psychologists hired by the UK and probably many other governments but there was a whistleblower from the UK and they were hired by their you know health service essentially to come up with strategies to maximize the fear in the population.
[2:20:26.000 --> 2:20:36.000]  And doctors stay there. I'll pull the articles up during the break. We'll get more in the Stockholm syndrome. You're a psychiatrist. You can talk about it. Dr. Andrew Kaufman because what he's mentioning is in the news that quote mind control create maximum fear.
[2:20:36.000 --> 2:20:40.000]  And Yale was also involved not just Oxford and Cambridge.
[2:20:40.000 --> 2:20:57.000]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go what we do. But because they have great cameras and great recording systems and great ways to communicate I still have one because this Trojan horse this
[2:20:57.000 --> 2:21:14.000]  media fire has a lot of power. But when I'm not using it I lock it up in a high quality Faraday cage a privacy pocket at info or store.com. We finally got them back in stock the highest rated that fit almost all types of androids and iPhones at 50% off 1495.
[2:21:14.000 --> 2:21:29.000]  They sell these babies for twenty nine ninety five all day long. We've got a private label with info wars on them for 1495 because I want you to get them and I want you to buy friends and family these systems to educate them about what these
[2:21:29.000 --> 2:21:40.000]  quote smart phones really are. This is a great way to limit your phone time use. It's a great way to spend more time with your family and it's a great way to know you're not being tracked by the criminal global system. They're 50% off right now.
[2:21:40.000 --> 2:21:55.000]  And I'm for store.com. Ladies and gentlemen. Owen Schroyer here the host of the info wars war room and I am very excited about our latest supplement addition to info wars store.com. Now I've been supplementing with greens fibers and vegetable capsules for a long time.
[2:21:55.000 --> 2:22:14.000]  And so I was excited to hear that we were adding our own greens fiber caps to info wars store.com. But then I read the ingredients and I was blown away. Listen to this organic pea fiber organic alfalfa leaf organic wheatgrass leaf organic cilantro leaf organic kale leaf organic flax sprout organic quinoa
[2:22:14.000 --> 2:22:27.000]  sprout. Ladies and gentlemen. All of these things are so incredible for your health. Just one of these ingredients can be a life changing supplement for your health. And we've packed it all in to fiber green caps at info wars store.com.
[2:22:27.000 --> 2:22:47.000]  So I'm excited to add this to my supplement routine every day. I suggest that you do the same thing. And right now it's at an introductory price of 1995. That's 33% off at info wars store.com. You're listening to the Alex Jones show.
[2:22:57.000 --> 2:23:08.000]  My control corruption of your talk destruction of your son my control.
[2:23:08.000 --> 2:23:30.000]  Look, they made a lot of science fiction movies or authoritarian movies where the government uses the fear of a virus to take control. V for Vendetta did that back in 2005 2006, wherever it came out. They're now deleting a video that a report I shot in 2018, reading the Rockefeller lockstep program.
[2:23:30.000 --> 2:23:40.000]  And it got like five, six million views. They took it off Facebook, Instagram, Twitter. It's back up. There were like a million views this morning. I'm sure it's down now. But they're saying it's vaccine disinfo.
[2:23:40.000 --> 2:23:53.000]  So if I had a time machine and I came forward in time, it'd be better. I went back in time. I wasn't talking about this. Currently, I was talking about how governments were saying and foundations were saying they would use this for control.
