[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[2:08:17.920 --> 2:08:23.480]  Nazi the left has gone full Nazi remember that hospital that got caught
[2:08:23.480 --> 2:08:27.520]  faking COVID patients by using mannequins yeah they got caught now
[2:08:27.520 --> 2:08:32.120]  they've admitted it error in judgment CBC Edmonton regrets regrets mannequin
[2:08:32.120 --> 2:08:36.600]  use in COVID-19 news reports yeah nice try you got caught faking it and then
[2:08:36.600 --> 2:08:42.560]  then they got caught lying again Dr. Dina Hinshaw apologizes and says
[2:08:42.560 --> 2:08:47.320]  Albertine didn't actually die from COVID so they lied about a kid dying from
[2:08:47.320 --> 2:08:51.120]  COVID the virtue signal about how bad it is to get you to take a vaccine oh they
[2:08:51.120 --> 2:08:54.080]  lied the family said wait they didn't die from COVID and then they had to come
[2:08:54.080 --> 2:08:57.520]  out say all right we lied the kid didn't die from COVID we just wanted to lie to
[2:08:57.520 --> 2:09:01.600]  you to trick you into taking a vaccine we're sorry by the way Bill Clinton is
[2:09:01.600 --> 2:09:05.840]  in the hospital and they want you to know that it's not from COVID all the
[2:09:05.840 --> 2:09:10.000]  headlines Bill Clinton hospitalized with non-COVID infection former president
[2:09:10.000 --> 2:09:13.480]  Clinton hospitalized with non-COVID infection all in say non-COVID infection
[2:09:13.480 --> 2:09:17.160]  boy it's really weird of course he's fully vaccinated so they wouldn't want
[2:09:17.160 --> 2:09:21.920]  that to get out I could do this all day long with Defiant L's on Twitter it's
[2:09:21.920 --> 2:09:25.240]  just all these leftists all these liberals all these Democrats that were
[2:09:25.240 --> 2:09:28.560]  against the vaccine last year now they tell you you have to take the vaccine
[2:09:28.560 --> 2:09:31.400]  or you don't get any rights this year and so it's just it's just another
[2:09:31.400 --> 2:09:35.240]  example like Chris Vickery all these liberal leftists are lying phony
[2:09:35.240 --> 2:09:39.560]  frauds they're there what would be equivalent to the modern-day Nazi and
[2:09:39.560 --> 2:09:44.000]  everybody knows it and so I could do Defiant L's all day long showing the
[2:09:44.000 --> 2:09:49.080]  lies and the fraud of these people but we're just gonna move on for now and I
[2:09:49.080 --> 2:09:52.440]  found this hilarious this is a new popular Halloween costume being promoted
[2:09:52.440 --> 2:09:57.800]  the sexy vaccine costume what a joke and it's really just a tiny little dress
[2:09:57.800 --> 2:10:01.640]  that makes you look like you're naked and then a headband with a vaccine on it
[2:10:01.640 --> 2:10:10.360]  so just more evidence of the clown world boy oh boy oh boy let's just move on
[2:10:10.360 --> 2:10:15.200]  here now remember that the left was all about the Hatch Act when Trump was in
[2:10:15.200 --> 2:10:18.680]  president oh violations of the Hatch Act violations of the Hatch Act they
[2:10:18.680 --> 2:10:22.440]  wanted to rest well here's Jen Psaki violating the Hatch Act for now the
[2:10:22.440 --> 2:10:28.640]  second time first they were stumping on the press conference room in the White
[2:10:28.640 --> 2:10:34.400]  House for Gavin Newsom now they're stumping for Terry McCullough that is a
[2:10:34.400 --> 2:10:38.860]  blatant violation of the Hatch Act but there will be no punishment the
[2:10:38.860 --> 2:10:43.840]  Democrats are above the law internal police documents reveal what was obvious
[2:10:43.840 --> 2:10:47.800]  shooting of Ashley Babbitt was for no good reason and yet her killer walks
[2:10:47.800 --> 2:10:52.240]  free that's the headline from the Gateway Pundit so even internally the
[2:10:52.240 --> 2:10:56.120]  Capitol Police know that the shooting of Ashley Babbitt was for no good reason
[2:10:56.120 --> 2:11:00.160]  and of course if the skin colors were reversed of Ashley Babbitt and Michael
[2:11:00.160 --> 2:11:04.440]  Byrd cities would be burning to the ground and Black Lives Matter would be up
[2:11:04.440 --> 2:11:07.720]  in arms but that's just because they're controlled by the Democrat Party it's
[2:11:07.720 --> 2:11:10.660]  kind of like there's these headlines now what happened to football players
[2:11:10.660 --> 2:11:14.320]  taking a knee what happened to Black Lives Matter activists in sports well
[2:11:14.320 --> 2:11:19.120]  it's not an election year duh that's all the that's a Democrat front so you're
[2:11:19.120 --> 2:11:23.720]  not gonna see BLM activity on a non-election year come on now former
[2:11:23.720 --> 2:11:27.640]  FBI official Andrew McCabe win-backs full pension in lawsuit settlement after
[2:11:27.640 --> 2:11:32.560]  getting fired for lying to feds under oath he gets his pension unbelievable that
[2:11:32.560 --> 2:11:41.800]  corrupt Fed caught lying to feds gets his pension back wow wow this country is so
[2:11:41.800 --> 2:11:48.080]  corrupt man so corrupt at the top info wars has the story from zero hedge here
[2:11:48.080 --> 2:11:52.540]  is the hidden 150 trillion dollar agenda behind the crusade against climate
[2:11:52.540 --> 2:11:57.600]  change yes just let the government steal your money and make you poor to fight
[2:11:57.600 --> 2:12:03.000]  climate change as they say and then here's some of the dastardly effects
[2:12:03.000 --> 2:12:07.880]  inflation is across the board people need to get used to higher prices as
[2:12:07.880 --> 2:12:13.200]  Kraft Heinz CEO yeah just get used to it just get used to being poor get used to
[2:12:13.200 --> 2:12:16.520]  being an indentured servant get used to being a peasant because that's what you
[2:12:16.520 --> 2:12:21.440]  are as a human and it's funny raw egg nationalist points this out I'm gonna be
[2:12:21.440 --> 2:12:26.640]  interviewing next week despite all of these shelves being empty with all the
[2:12:26.640 --> 2:12:30.240]  produce in the food there's one section that always seems to remain full and
[2:12:30.240 --> 2:12:38.400]  that's the fake meat section somehow the fake meat never seems to sell even when
[2:12:38.400 --> 2:12:42.520]  people are starving and so here's what's going on Pete booted judge and the
[2:12:42.520 --> 2:12:47.880]  supply chain shut down Pete booted judge was told you obviously have
[2:12:47.880 --> 2:12:52.000]  political aspirations so what we're willing to help you where the Democrat
[2:12:52.000 --> 2:12:56.520]  party so we'll give you a position in the Biden administration that'll help
[2:12:56.520 --> 2:13:01.680]  build your political profile all you have to do is nothing that's it all you
[2:13:01.680 --> 2:13:05.560]  have to do is nothing just accept the position and then just go away and we'll
[2:13:05.560 --> 2:13:08.760]  do whatever and just do whatever we tell you to do so he's been he's been
[2:13:08.760 --> 2:13:13.080]  missing in action the headline covering the story on political can Pete booted
[2:13:13.080 --> 2:13:18.520]  judge have it all so he's been MIA for six me weeks he's on paternity leave with
[2:13:18.520 --> 2:13:23.560]  his with his husband and he's been doing nothing because that's what he was
[2:13:23.560 --> 2:13:27.280]  told by the Democrat party now they're trying to prop him back up and say oh
[2:13:27.280 --> 2:13:33.400]  no no no no he's been raising his child he's been breastfeeding his child you
[2:13:33.400 --> 2:13:38.720]  know they've been trying to figure out how you know and so he's been just taking
[2:13:38.720 --> 2:13:43.360]  care of his kid for eight months that's all he's been on paternity leave that's
[2:13:43.360 --> 2:13:47.600]  why he's been doing nothing but then now all the sudden that as the ports are
[2:13:47.600 --> 2:13:51.800]  becoming the big story and the supply chain shut down is becoming a big story
[2:13:51.800 --> 2:13:57.200]  now he's on CNN now he's on MSNBC now all the sudden he's working again yeah
[2:13:57.200 --> 2:14:02.480]  Port of Los Angeles prepares prepares for 24-7 operations to tackle massive
[2:14:02.480 --> 2:14:06.280]  cargo backlog oh now all the sudden they want to get the shipping in now all
[2:14:06.280 --> 2:14:10.800]  the sudden they want to get the cargo in yeah cuz they got caught sabotaging the
[2:14:10.800 --> 2:14:16.800]  US economy intentionally and then Rhonda Santis said Florida ports are open
[2:14:16.800 --> 2:14:19.760]  bring them all here so they all were about to go to Florida and then they
[2:14:19.760 --> 2:14:25.000]  said no wait no wait you can come into California it's okay now come on in it's
[2:14:25.000 --> 2:14:28.000]  kind of like the workers that walked out after they got the vaccine mandate
[2:14:28.000 --> 2:14:31.360]  announced and then they said no wait fine you don't take the vaccine just come
[2:14:31.360 --> 2:14:38.400]  back hundred million dollar border wall discarded in field while Biden still
[2:14:38.400 --> 2:14:41.720]  plays pays contractors not to build it so we spent the money on the supplies
[2:14:41.720 --> 2:14:45.760]  they got wasted we had a contract with the builders of the wall that we're
[2:14:45.760 --> 2:14:50.180]  still paying off to the tunes of hundreds of millions of dollars to do
[2:14:50.180 --> 2:14:53.680]  nothing and we're paying billions of dollars for all the illegal immigrants
[2:14:53.680 --> 2:14:58.800]  that are coming in that we have to feed and clothe and shelter more economic
[2:14:58.800 --> 2:15:04.480]  financial sabotage against this country by the Democrat Party they do it in
[2:15:04.480 --> 2:15:09.400]  elections to Michigan nursing home employee caregiver of legally
[2:15:09.400 --> 2:15:14.960]  incapacitated persons charged with voter fraud that's right folks a Democrat
[2:15:14.960 --> 2:15:19.920]  nursing home employee in Michigan who has taken care of incapacitated elderly
[2:15:19.920 --> 2:15:30.160]  people was voting for them voted for them oh there's no voter fraud there's
[2:15:30.160 --> 2:15:35.400]  nothing to see here except this happens all the time and by the way there were
[2:15:35.400 --> 2:15:39.640]  multiple employees that got charged with this it wasn't just the one so this is
[2:15:39.640 --> 2:15:44.000]  what they do nursing homes where there's elderly people that can't think for
[2:15:44.000 --> 2:15:49.400]  themselves but can vote the Democrats vote for them they've been caught doing
[2:15:49.400 --> 2:15:54.120]  it dozens of times and here's another person charged with voter fraud a
[2:15:54.120 --> 2:15:58.200]  Democrat and but they say it doesn't exist guys if you're concerned about the
[2:15:58.200 --> 2:16:02.760]  power grid and want to generate your own supply of off-grid electricity this will
[2:16:02.760 --> 2:16:07.480]  be the most important message you'll hear this year here's why we now have a
[2:16:07.480 --> 2:16:12.280]  small number of solar generators back in stock these emergency backup systems
[2:16:12.280 --> 2:16:16.440]  provide a life-saving backup power when you need it most and unlike gas
[2:16:16.440 --> 2:16:21.560]  generators solar generators run quietly emit no dangerous fumes and produce an
[2:16:21.560 --> 2:16:26.320]  endless supply of free electricity from the Sun whether it's wildfires dangerous
[2:16:26.320 --> 2:16:30.440]  whether power grid issues or just getting off the grid you'll never have to
[2:16:30.440 --> 2:16:35.120]  suffer through painful power outages again even better all this week radio
[2:16:35.120 --> 2:16:40.360]  listeners get over $700 in free off-the-grid bonuses to go to my solar
[2:16:40.360 --> 2:16:44.880]  backup.com to learn more and check availability that's my solar backup.com
[2:16:44.880 --> 2:16:49.440]  look for the free report crisis cooling how to make absolutely sure your meat
[2:16:49.440 --> 2:16:54.760]  milk and medicines stay safe and cool in any power outage yours free at my
[2:16:54.760 --> 2:17:00.000]  solar backup.com hey everybody if you've ever thought about heirloom beans as a
[2:17:00.000 --> 2:17:04.680]  storable survival food I've got great news in fact I'll be the best news you've
[2:17:04.680 --> 2:17:09.240]  heard in a while here's the thing we just received a fresh batch of gourmet
[2:17:09.240 --> 2:17:14.840]  heirloom beans survival soup beans these beans are gorgeous highly nutritious and
[2:17:14.840 --> 2:17:19.280]  above all with no hesitation whatsoever the best tasting beans in the entire
[2:17:19.280 --> 2:17:24.920]  world the best part we've dropped the price by 33% this week for listeners who
[2:17:24.920 --> 2:17:29.360]  know higher food prices are coming and want an inflation hedge you can actually
[2:17:29.360 --> 2:17:33.840]  eat if you want to gets even better with your permission and with a high regard
[2:17:33.840 --> 2:17:38.320]  for your health and well-being I also want to send you two pounds of what we
[2:17:38.320 --> 2:17:43.320]  think is the single most underrated superfood in the world period go to
[2:17:43.320 --> 2:17:48.240]  soupbeansurvival.com that's soupbeansurvival.com and discover the real
[2:17:48.240 --> 2:17:53.000]  reason we're giving this unusual superfood away at soupbeansurvival.com
[2:17:53.000 --> 2:18:00.520]  that's soupbeansurvival.com a little more than 20 years ago Japanese
[2:18:00.520 --> 2:18:06.160]  scientists discovered we're able to isolate a compound that is naturally in
[2:18:06.160 --> 2:18:11.960]  nature and in foods we eat but in very very low amounts it's called PQQ or
[2:18:11.960 --> 2:18:16.680]  bio PQQ when you have the organic form of it it does amazing things it
[2:18:16.680 --> 2:18:21.000]  actually makes your telomeres last longer doesn't make them grow but makes
[2:18:21.000 --> 2:18:24.880]  them last longer the space of the same thing so it's as close to the fountain
[2:18:24.880 --> 2:18:29.400]  of youth as you're gonna get well DNA Force Plus has been sold out for six
[2:18:29.400 --> 2:18:35.240]  months it's back in stock the highest quality PQQ CoQ10 and so much more this
[2:18:35.240 --> 2:18:39.560]  entire formula is about cleaning out your cells and helping your body last
[2:18:39.560 --> 2:18:44.440]  longer and that is so incredibly important we have it at 40% off despite
[2:18:44.440 --> 2:18:49.120]  the fact it's been sold out for six months at infowarstore.com it's amazing
[2:18:49.120 --> 2:18:52.040]  if you haven't tried DNA Force Plus you really should and for those of you that
[2:18:52.040 --> 2:18:57.200]  love it it's back in stock 40% off exclusively at infowarstore.com DNA
[2:18:57.200 --> 2:19:03.000]  Force Plus the engineers at Bio Pros are very excited to announce a major
[2:19:03.000 --> 2:19:08.520]  expansion of new products into the retail consumer market since their rollout of
[2:19:08.520 --> 2:19:12.360]  their first product almost a year ago they come out with four new products
[2:19:12.360 --> 2:19:21.640]  Bio Drain Pro, Bio RV Pro, Bio Marine Pro and Bio Porta Pro for decades oil
[2:19:21.640 --> 2:19:26.240]  companies and other major chemical corporations have been using patented
[2:19:26.240 --> 2:19:31.440]  naturally occurring specially bred bacteria to eat oil spills and other
[2:19:31.440 --> 2:19:36.200]  toxic waste disasters that's how powerful these naturally occurring
[2:19:36.200 --> 2:19:41.320]  microbes are the Bio Pro system is light years better than traditional enzymes
[2:19:41.320 --> 2:19:46.520]  that only work once these bacteria begin to breed and live in your septic tank
[2:19:46.520 --> 2:19:51.320]  and now it's available for the general public's use for the first time on the
[2:19:51.320 --> 2:20:02.400]  retail market exclusively available at theBiopros.com you're listening to the
[2:20:02.400 --> 2:20:22.600]  Alex Jones show
[2:20:22.600 --> 2:20:28.680]  one of the consequences of having an open border well beyond just the
[2:20:28.680 --> 2:20:34.640]  financial consequences how about some of the dangerous individuals Islamic
[2:20:34.640 --> 2:20:39.840]  terrorists who planned Kalashnikov attack arrived in Spain as illegal boat
[2:20:39.840 --> 2:20:46.480]  migrant and Islamic terrorists with ISIS links who plan to carry out a deadly
[2:20:46.480 --> 2:20:51.840]  attack arrived in Spain as an illegal boat migrant authorities have revealed
[2:20:51.840 --> 2:20:55.920]  that story from Paul Joseph Watson at info wars.com how about in America
[2:20:55.920 --> 2:21:01.040]  another convicted child molester arrested after illegally crossing the US
[2:21:01.040 --> 2:21:06.600]  border another that's right another another rapist crossing the southern
[2:21:06.600 --> 2:21:10.440]  border getting into our country that we're paying for them to be here that
[2:21:10.440 --> 2:21:17.160]  story by Cassandra Fairbanks is at the Gateway pundit now this story is so
[2:21:17.160 --> 2:21:21.560]  shocking and horrifying and disgusting can't even believe I have to cover it
[2:21:21.560 --> 2:21:24.120]  but you know what I forgot to give out the phone number I want to take calls
[2:21:24.120 --> 2:21:26.840]  starting in the next segment I'm gonna be able to get through this news here and
[2:21:26.840 --> 2:21:30.480]  I'll do a couple segments of phone calls before Mike Adams takes over with
[2:21:30.480 --> 2:21:34.920]  breaking exclusive news and then stay tuned to info wars and banned out video
[2:21:34.920 --> 2:21:39.120]  because Alex Jones upon arrival any minute now is gonna be filing special
[2:21:39.120 --> 2:21:47.360]  reports but the number to call in 877-789-2539 877-789-2539 anything I've
[2:21:47.360 --> 2:21:51.200]  covered so far today is fair game I'm just wondering what what is your energy
[2:21:51.200 --> 2:21:54.440]  factor right now what what what is your energy factor how are you feeling about
[2:21:54.440 --> 2:21:57.920]  the current developments are you feeling good are you feeling bad do you think
[2:21:57.920 --> 2:22:02.000]  it's just gonna get worse is there is there a glimmer of hope on the horizon
[2:22:02.000 --> 2:22:10.000]  what are you feeling today as I'm covering all of this insane news 877-789-2539
[2:22:10.000 --> 2:22:13.320]  so you of course you've heard about this we've been covering it in osium but
[2:22:13.320 --> 2:22:17.560]  it just shouldn't be stopped being covered this is unbelievable
[2:22:17.560 --> 2:22:25.960]  Loudon schools did not record multiple alleged sexual assaults rapes over a
[2:22:25.960 --> 2:22:31.400]  period of years despite state law so apparently this has been a problem at
[2:22:31.400 --> 2:22:34.320]  this school for a long time and they haven't been reporting it and then it
[2:22:34.320 --> 2:22:38.600]  came out that they didn't want to report specific instances because it was
[2:22:38.600 --> 2:22:45.640]  involving a a a boy who would dress like a girl go into the female restroom and
[2:22:45.640 --> 2:22:51.880]  rape girls and this happened multiple times but they were trying to pass a
[2:22:51.880 --> 2:22:56.640]  transgender bathroom bill and they were trying to put in or they were trying to
[2:22:56.640 --> 2:23:00.640]  affirm that that transgender individuals could go into whatever bathroom they like
[2:23:00.640 --> 2:23:04.520]  boys or girls so they didn't want the story to go out so they knew that there
[2:23:04.520 --> 2:23:09.280]  had been a rape in their bathroom and instead of filing the report which is
[2:23:09.280 --> 2:23:16.200]  the law and common sense to any good and decent person they decided instead they
[2:23:16.200 --> 2:23:19.400]  were going to cover it up not file a report and they just transferred that
[2:23:19.400 --> 2:23:23.840]  individual to a different high school well then that individual did it to
[2:23:23.840 --> 2:23:28.440]  another girl and then of course the father of one of the girls that got
[2:23:28.440 --> 2:23:33.400]  sexually molested by this cross-dresser in the girls bathroom ended up getting
[2:23:33.400 --> 2:23:37.920]  arrested he's had more punishment from law enforcement than the actual
[2:23:37.920 --> 2:23:44.600]  alleged rapist and they covered it all up Democrats covered it all up so they
[2:23:44.600 --> 2:23:49.040]  could pass a bill to let boys go into the girls bathroom and they knew if there
[2:23:49.040 --> 2:23:52.560]  were stories out there of boys going into the girls bathroom and raping girls
[2:23:52.560 --> 2:23:57.760]  that it wouldn't pass so they covered it up these are sick diabolical people why
[2:23:57.760 --> 2:24:03.680]  would we trust them with anything as drew Hernandez points out the irony the
[2:24:03.680 --> 2:24:07.440]  Loudoun County School District dismissed a teenage boy rape of a ninth grade girl
[2:24:07.440 --> 2:24:11.760]  and simply moved him to a new high school when they found out yet a 16-year-old
[2:24:11.760 --> 2:24:16.640]  girl in Wyoming gets suspended and arrested for not wearing a face mask
[2:24:16.640 --> 2:24:21.480]  there's your clown world ladies and gentlemen Loudoun County family to school
[2:24:21.480 --> 2:24:25.920]  to sue public schools over negligence and daughters alleged restroom rape by
[2:24:25.920 --> 2:24:31.960]  gender fluid predator you know I'm I'm actually fully against I would say
[2:24:31.960 --> 2:24:36.640]  probably 99% of the time nonviolent offenders should not go to jail I don't
[2:24:36.640 --> 2:24:40.000]  like nonviolent offenders going to jail I believe there's other there's other
[2:24:40.000 --> 2:24:45.160]  means and and courses that we can take to deal with this but to me covering up
[2:24:45.160 --> 2:24:50.520]  an alleged rape and then allowing that rapist to go free that ends up raping
[2:24:50.520 --> 2:24:54.040]  another person to me that's not a nonviolent offender that is a violent
[2:24:54.040 --> 2:24:59.400]  offender people need to go to jail for what happened in Loudoun County but it's
[2:24:59.400 --> 2:25:03.000]  not just Virginia doing this folks it's everywhere but thank God here in Texas
[2:25:03.000 --> 2:25:07.480]  we're not gonna have boys raping girls in high school bathrooms and have it
[2:25:07.480 --> 2:25:12.520]  being covered up by Democrats Texas House passes bill banning transgender
[2:25:12.520 --> 2:25:15.840]  athletes from participating in school sports based on their gender identity
[2:25:15.840 --> 2:25:21.080]  now you think imagine that you know what I think boys should compete with boys I
[2:25:21.080 --> 2:25:25.600]  think girls should compete with boys why would you say that's a given why are
[2:25:25.600 --> 2:25:30.280]  you saying that oh not a given anymore now boys get to compete against girls
[2:25:30.280 --> 2:25:35.480]  and just run all over them and set state records in all these other states won't
[2:25:35.480 --> 2:25:39.720]  be happening here in Texas other good things coming out of Texas federal
[2:25:39.720 --> 2:25:43.760]  judge in Texas says United Airlines must pause its vaccine mandate for
[2:25:43.760 --> 2:25:47.280]  employees seeking religious exemption Texas Supreme Court rules against San
[2:25:47.280 --> 2:25:51.160]  Antonio school districts vaccine mandate Texas Supreme Court temporarily
[2:25:51.160 --> 2:25:54.640]  blocks San Antonio school district vaccine mandate so our attorney general
[2:25:54.640 --> 2:26:00.640]  Ken Paxson needs to be protected at all costs the man is a legend fighting for
[2:26:00.640 --> 2:26:06.960]  common sense let alone our rights now you have another disturbing story coming
[2:26:06.960 --> 2:26:12.200]  out of Boeing here's the story headline from the Seattle Times Boeing's former
[2:26:12.200 --> 2:26:18.720]  chief technical pilot on 737 max and died it on fraud charges but it's worse
[2:26:18.720 --> 2:26:24.120]  here's from Mike Baker earlier this year the Fed signed an agreement that let
[2:26:24.120 --> 2:26:29.480]  Boeing executives off the hook for the 737 max catastrophes which killed 346
[2:26:29.480 --> 2:26:33.800]  people so the one guy took the heat the one technical pilot got the brunt of
[2:26:33.800 --> 2:26:38.640]  this the executives got let go you want to know what happened the lead
[2:26:38.640 --> 2:26:43.760]  prosecutor Aaron Neely Cox took a job with the firm that led Boeing's criminal
[2:26:43.760 --> 2:26:49.680]  defense they clearly cut a deal so the executives cut a deal I mean this is so
[2:26:49.680 --> 2:26:56.320]  clear to me they cut a deal with the prosecution hey let us off the hook for
[2:26:56.320 --> 2:27:00.680]  this will give you a fall guy let us off the hook and we'll bring you in to work
[2:27:00.680 --> 2:27:07.080]  for Boeing with a extremely lucrative deal and now that's exactly what has
[2:27:07.080 --> 2:27:11.360]  happened this is why you have to have small government I covered it earlier
[2:27:11.360 --> 2:27:14.880]  all the people that go from the CDC or the FDA or all these other places to
[2:27:14.880 --> 2:27:19.920]  Pfizer and Moderna and Monsanto yeah you want to you want to know why big
[2:27:19.920 --> 2:27:23.400]  corporations never get held responsible and continuing to continue to get away
[2:27:23.400 --> 2:27:29.160]  with mass crimes because they cut deals with the government and we just get let
[2:27:29.160 --> 2:27:35.560]  down every time every time a couple of the headlines here before I take calls
[2:27:35.560 --> 2:27:39.760]  in the next segment nuclear powered France has electricity prices nearly half
[2:27:39.760 --> 2:27:43.960]  of the green powered Germany yeah they don't want that they don't want you to
[2:27:43.960 --> 2:27:46.800]  have cheap energy they don't want you to have any energy actually they want it
[2:27:46.800 --> 2:27:51.520]  all shut down Biden begs OPEC and US oil companies to pump more oil as prices
[2:27:51.520 --> 2:27:54.960]  surge after he cracked down on US production so imagine their policies
[2:27:54.960 --> 2:28:00.640]  destroy the economy their policies destroy the supply chain and then in a
[2:28:00.640 --> 2:28:05.320]  panic they reopen everything back up their policy causes energy prices at
[2:28:05.320 --> 2:28:11.400]  skyrocket and then in a panic they beg the energy sector to cut their prices so
[2:28:11.400 --> 2:28:15.920]  it's like they cause all these problems and then they have to rush to try to
[2:28:15.920 --> 2:28:18.960]  fix them when it's so obvious that that's exactly what was gonna happen and
[2:28:18.960 --> 2:28:25.120]  you know this is how bad it is now yes the IRS wants to spy on every
[2:28:25.120 --> 2:28:28.080]  Americans bank account to hold billionaires accountable that's their
[2:28:28.080 --> 2:28:31.480]  excuse 600 billionaires in the US so let's buy on every US citizen to hold
[2:28:31.480 --> 2:28:37.400]  them accountable what a BS lie but now you can buy pizza and pay over six
[2:28:37.400 --> 2:28:41.680]  weeks I'm not even kidding you they have payment plans for pizza deals with
[2:28:41.680 --> 2:28:47.080]  Uber Eats and others where you can pay out your pizza bill over six weeks boy
[2:28:47.080 --> 2:28:54.000]  when you're putting pizza on layaway clearly there is economic struggle
[2:28:54.000 --> 2:28:58.040]  happening and coming your calls on the other side if you're concerned about the
[2:28:58.040 --> 2:29:02.600]  power grid and want to generate your own supply of off-grid electricity this will
[2:29:02.600 --> 2:29:07.320]  be the most important message you'll hear this year here's why we now have a
[2:29:07.320 --> 2:29:12.120]  small number of solar generators back in stock these emergency backup systems
[2:29:12.120 --> 2:29:16.280]  provide a life-saving backup power when you need it most and unlike gas
[2:29:16.280 --> 2:29:21.440]  generators solar generators run quietly emit no dangerous fumes and produce an
[2:29:21.440 --> 2:29:26.160]  endless supply of free electricity from the Sun whether it's wildfires dangerous
[2:29:26.160 --> 2:29:30.280]  whether power grid issues or just getting off the grid you'll never have to
[2:29:30.280 --> 2:29:34.960]  suffer through painful power outages again even better all this week radio
[2:29:34.960 --> 2:29:40.240]  listeners get over $700 in free off-the-grid bonuses to go to my solar
[2:29:40.240 --> 2:29:44.560]  backup dot com to learn more and check availability that's my solar backup dot
[2:29:44.560 --> 2:29:48.600]  com look for the free report crisis cooling how to make absolutely sure
[2:29:48.600 --> 2:29:54.200]  your meat milk and medicines stay safe and cool in any power outage yours free
[2:29:54.200 --> 2:30:01.000]  at my solar backup dot com you'd have to be hiding under a rock not to know that
[2:30:01.000 --> 2:30:05.560]  vitamin D vitamin C zinc and other essential vitamins and minerals are
[2:30:05.560 --> 2:30:10.480]  essential to our bodies to our immune systems we don't have them long term we
[2:30:10.480 --> 2:30:15.040]  die but what a lot of people don't know is even if you have those compounds the
[2:30:15.040 --> 2:30:20.440]  levels that are recommended if you don't have deep restful clean sleep your
[2:30:20.440 --> 2:30:24.400]  body will fall apart even faster and with so many chemicals in the food and
[2:30:24.400 --> 2:30:28.440]  water and so much agitation in the culture in life it's hard to settle down
[2:30:28.440 --> 2:30:31.640]  it's hard to relax well let me tell you something right now down and out is an
[2:30:31.640 --> 2:30:36.600]  incredibly strong natural compound it's got over eight compounds in it that will
[2:30:36.600 --> 2:30:40.440]  give you deep pure clean sleep and it's it's such a game changer so with all the
[2:30:40.440 --> 2:30:44.400]  vitamins and minerals the last big ingredient is down and out available
[2:30:44.400 --> 2:30:49.280]  again at infowarstore.com for 50% off and you know what I'm gonna keep it if
[2:30:49.280 --> 2:30:52.800]  it percent off until it sells out even though we've already sold out a half of
[2:30:52.800 --> 2:30:56.000]  it in just the last month and we probably gonna have more for about five
[2:30:56.000 --> 2:31:03.560]  months. I want to explain something that is absolutely heat understanding our
[2:31:03.560 --> 2:31:07.800]  world it's very very simple but the most of all don't know the privately owned
[2:31:07.800 --> 2:31:13.040]  central banks of the world are artificially creating thousands of
[2:31:13.040 --> 2:31:17.840]  trillions of dollars and other major currencies and using them to buy up
[2:31:17.840 --> 2:31:24.520]  infrastructure intellectual property energy they're using it to buy people to
[2:31:24.520 --> 2:31:29.120]  buy influence and in the past they created thousands of trillions so that
[2:31:29.120 --> 2:31:32.520]  they could leverage that manipulate markets but they never allowed that
[2:31:32.520 --> 2:31:36.200]  money to get into the general circulation or it would cause massive
[2:31:36.200 --> 2:31:40.560]  inflation. Now they've gone ahead and weaponized it and are flooding every
[2:31:40.560 --> 2:31:44.680]  sector of the world economy buying up everything not to have the companies
[2:31:44.680 --> 2:31:48.720]  operate but to actually shut them down and force the collapse of
[2:31:48.720 --> 2:31:52.640]  civilization making the companies they do fund be the only things left
[2:31:52.640 --> 2:31:56.480]  standing. This is the great reset this is what's happening now war to everyone
[2:31:56.480 --> 2:32:02.680]  it's the only way to stop it. I want to be very clear the fact that Info Wars is
[2:32:02.680 --> 2:32:06.960]  having trouble funding itself is not the fault of our amazing listeners and
[2:32:06.960 --> 2:32:11.000]  supporters it is the fault of the globalists. When we can get enough of
[2:32:11.000 --> 2:32:14.400]  our great supplements other products in we're able to sell enough of it to stay
[2:32:14.400 --> 2:32:18.720]  on air and quite frankly even expand in the face of the new world war but because
[2:32:18.720 --> 2:32:21.960]  of the supply chain breakdowns that were very easy to predict the global
[2:32:21.960 --> 2:32:26.240]  lockdowns are designed to do that we have had real problems getting our best
[2:32:26.240 --> 2:32:29.600]  selling products in some of them take up to 10 months to get in we have to
[2:32:29.600 --> 2:32:33.960]  discontinue some of our products because we just can't get the ingredients
[2:32:33.960 --> 2:32:38.280]  anymore. It's pretty scary stuff so please take advantage of sales we're
[2:32:38.280 --> 2:32:42.520]  running for one week only there's only one week left from October 11th for seven
[2:32:42.520 --> 2:32:47.520]  days kicks off October 11th on things like DNA force plus at 40% off a
[2:32:47.520 --> 2:32:54.120]  winter sun at 50% off ultra 12 at 50% off and more at infowarsstore.com one week
[2:32:54.120 --> 2:32:58.040]  left check out these incredible deals
[2:32:58.040 --> 2:33:18.680]  you're listening to the Alex Jones show
[2:33:18.680 --> 2:33:25.800]  you want to stop tyranny well so does he it's Alex Jones and now your host
[2:33:25.800 --> 2:33:33.120]  Owen Troyer crazy time to be alive is it not you're getting to experience and
[2:33:33.120 --> 2:33:40.960]  live through world government tyranny medical tyranny in a communistic
[2:33:40.960 --> 2:33:45.760]  fascistic fashion you're living it you're experiencing it right now and we
