[00:00:00.149 --> 00:00:01.049]  And so on.
[01:47:28.285 --> 01:47:31.627]  They behaved you if you didn't accept Jesus Christ as your Lord and Savior.
[01:47:31.627 --> 01:47:33.748]  See, this is reality.
[01:47:33.748 --> 01:47:38.651]  Yeah, they're terrorists, but the bottom line is, to them, they are not.
[01:47:38.651 --> 01:47:40.472]  Now, why is that important to understand?
[01:47:40.472 --> 01:47:46.695]  Because they are as committed to their cause and to their way of life as you are yours.
[01:47:46.695 --> 01:47:49.397]  And they see you as being wrong.
[01:47:54.114 --> 01:47:59.316]  When people are passionate about what they believe in, they become a very difficult entity to deal with.
[01:47:59.316 --> 01:48:04.077]  Who was the first terrorist organization in the United States?
[01:48:04.077 --> 01:48:04.497]  Who?
[01:48:04.497 --> 01:48:05.557]  The Founding Fathers.
[01:48:05.557 --> 01:48:06.918]  You mean Thomas Jefferson?
[01:48:06.918 --> 01:48:08.178]  Back it up!
[01:48:08.178 --> 01:48:09.938]  Stop it right there!
[01:48:09.938 --> 01:48:10.718]  Stop it right there!
[01:48:13.493 --> 01:48:14.734]  You notice what Glenn Beck kept saying?
[01:48:14.734 --> 01:48:16.895]  Oh, these crazies, crazy stuff about FEMA camps.
[01:48:16.895 --> 01:48:17.876]  Ooh, they're going to get me.
[01:48:17.876 --> 01:48:18.776]  Making jokes.
[01:48:18.776 --> 01:48:19.997]  Look at this guy.
[01:48:19.997 --> 01:48:23.279]  He's talking about the Founding Fathers and people that are committed.
[01:48:23.279 --> 01:48:24.479]  He's talking about constitutional terrorists.
[01:48:24.479 --> 01:48:28.922]  Before that, we have the FBI training manuals and flyers they give police.
[01:48:28.922 --> 01:48:29.742]  We just showed you.
[01:48:29.742 --> 01:48:30.843]  The cops are so conditioned.
[01:48:30.843 --> 01:48:32.544]  They say, who are the terrorists?
[01:48:32.544 --> 01:48:33.364]  Who were the first terrorists?
[01:48:33.364 --> 01:48:34.125]  The Founding Fathers.
[01:48:34.125 --> 01:48:34.685]  They all know.
[01:48:34.685 --> 01:48:35.786]  They all say Founding Fathers.
[01:48:35.786 --> 01:48:38.848]  They've already been taught this many times.
[01:48:38.848 --> 01:48:39.148]  And then,
[01:48:41.007 --> 01:48:43.448]  He says that's a very difficult enemy to beat.
[01:48:43.448 --> 01:48:48.849]  No, you are the enemy when you become an enemy of the Bill of Rights and Constitution and let foreign bankers take us over.
[01:48:48.849 --> 01:48:49.369]  Play it again.
[01:49:02.304 --> 01:49:04.204]  You mean Thomas Jefferson?
[01:49:04.204 --> 01:49:07.045]  You mean George Washington?
[01:49:07.045 --> 01:49:08.705]  Paul Revere?
[01:49:08.705 --> 01:49:10.245]  These guys right here.
[01:49:10.245 --> 01:49:12.426]  Let me ask you something.
[01:49:12.426 --> 01:49:15.906]  Did they try to scare people?
[01:49:15.906 --> 01:49:17.987]  They tried to intimidate the British.
[01:49:17.987 --> 01:49:20.107]  Did they use acts of violence?
[01:49:20.107 --> 01:49:30.129]  Your founding fathers, my founding fathers, were involved in acts of terrorism against British officials because they systematically had British officials assassinated.
[01:49:30.129 --> 01:49:30.909]  Assassinated.
[01:49:32.532 --> 01:49:55.022]  The guys who we call our founding fathers, George Washington, Mr. Honest, who cut down the cherry tree in Mizzit, is the same guy who signed death orders, if you will, on members of the greatest government, the greatest crown, who they wanted to eliminate because politically they had influence in certain pockets of the United States at that time, the 13 colonies, and they wanted to divide and conquer.
[01:49:55.022 --> 01:49:56.543]  They may have a whole lot of civilians,
[01:49:56.923 --> 01:49:59.766]  And hey, let's- I'm gonna be honest with you, okay?
[01:49:59.766 --> 01:50:07.873]  If they kill 10,000 civilians tomorrow with a biological agent, that's too bad for them.
[01:50:07.873 --> 01:50:10.556]  Yeah, so what if they kill 10,000 civilians?
[01:50:10.556 --> 01:50:12.037]  You know how these patriots are.
[01:50:12.037 --> 01:50:13.398]  They're always killing civilians.
[01:50:13.398 --> 01:50:14.459]  Alright, that's enough.
[01:50:14.459 --> 01:50:15.581]  That's from my film.
[01:50:15.581 --> 01:50:15.741]  Now...
[01:50:19.955 --> 01:50:27.567]  See how he talks about how they assassinated, they were bad, they wanted to divide and conquer, the founders wanted to divide and conquer, they were terrorists.
[01:50:27.567 --> 01:50:31.273]  And then you read the manuals, it says those that make frequent references to the U.S.
[01:50:31.273 --> 01:50:33.838]  Constitution are terrorists.
[01:50:35.037 --> 01:50:37.079]  Gun owners are terrorists.
[01:50:37.079 --> 01:50:38.901]  This is why the police are so brainwashed.
[01:50:38.901 --> 01:50:46.629]  And in this film, I then have the police from their own squad cars pulling over a woman at a warrantless checkpoint searching papers in Virginia.
[01:50:46.629 --> 01:50:50.773]  She's a naval veteran, no criminal record, Abby Newman, married, buying canning supplies in town.
[01:50:50.773 --> 01:50:52.835]  And they want to search her car, and she says no.
[01:50:52.835 --> 01:50:54.396]  They pull her out, slam her against the car.
[01:50:55.057 --> 01:51:02.803]  Charge her with assaulting him, she doesn't touch him, and then they dig out a pocket constitution in one of my videos, and they start getting scared going, she's one of them!
[01:51:02.803 --> 01:51:04.143]  She's one of the extremists!
[01:51:04.143 --> 01:51:05.484]  She's one of the terrorists!
[01:51:05.484 --> 01:51:09.167]  I can't believe we actually found one of them!
[01:51:09.167 --> 01:51:13.070]  It's squad car video, them with their microphones outside the car, freaking out!
[01:51:16.249 --> 01:51:18.431]  Freaking, I mean, police now pull you over with a Patriot sticker.
[01:51:18.431 --> 01:51:20.153]  They just go ahead and taser you in many cases.
[01:51:20.153 --> 01:51:21.915]  Because they're so scared to death.
[01:51:21.915 --> 01:51:25.939]  No, the real terrorists are the people teaching the police that our founding fathers were bad.
[01:51:25.939 --> 01:51:28.182]  Now, folks, I could go on for hour after hour, and I am.
[01:51:28.182 --> 01:51:29.703]  Sometime this week or next week.
[01:51:29.703 --> 01:51:30.865]  I'm gonna do two hours.
[01:51:32.418 --> 01:51:34.459]  Well, we're just going to go through it all.
[01:51:34.459 --> 01:51:37.521]  This is not 10% of the evidence I've got.
[01:51:37.521 --> 01:51:43.405]  Bob Chapman is going to join us for about 10-15 minutes with a quick economic update with the plunging stock market and what's happening then.
[01:51:43.405 --> 01:51:56.073]  For about an hour and a half, we've got Lindsey Williams coming back on with his powerful inside knowledge from former Atlantic Richfield executive about what's happening with this global operation plunging the oil prices to accentuate and accelerate the global depression.
[01:51:56.073 --> 01:51:57.914]  All this documentation is at InfoWars.com.
[01:51:57.914 --> 01:51:58.934]  You've been seeing.
[01:51:58.934 --> 01:51:59.455]  Stay with us.
[01:52:02.634 --> 01:52:06.604]  In these uncertain times, safety and precaution are key.
[01:52:06.604 --> 01:52:08.188]  Don't rely on others for protection.
[01:52:08.635 --> 01:52:12.218]  Protect yourself and your family with products from Pepperspray.com.
[01:52:12.218 --> 01:52:17.582]  Pepperspray.com carries the largest assortment of pepper spray and personal safety devices on the web.
[01:52:17.582 --> 01:52:21.325]  From home safety to nighttime safety we have the products you need.
[01:52:21.325 --> 01:52:31.913]  Order the Discreet Pepper Mace Baton, which relies on a powerful pepper formula that upon direct contact with an attacker's eyes, forces them to slam shut, causing an intense burning sensation.
[01:52:31.913 --> 01:52:35.016]  This refillable unit is designed to be carried as a key ring.
[01:52:35.016 --> 01:52:36.357]  Easily accessible pepper spray
[01:52:36.697 --> 01:52:37.578]  On September 11, 2001, along with
[01:53:04.301 --> 01:53:06.804]  Hundreds of my fellow troops, I went to ground zero.
[01:53:06.804 --> 01:53:08.145]  And we knew what to do.
[01:53:08.145 --> 01:53:10.148]  Or at least we thought we did.
[01:53:10.148 --> 01:53:17.155]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[01:53:17.155 --> 01:53:25.705]  Whitman, EPA director, on the 18th made a statement that the air was safe to breathe.
[01:53:26.075 --> 01:53:33.180]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[01:53:33.180 --> 01:53:36.342]  He had his hand over the radio while he was getting the countdown.
[01:53:36.342 --> 01:53:42.125]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[01:53:42.125 --> 01:53:45.187]  This is an emergency transmission worldwide.
[01:53:45.187 --> 01:53:51.972]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[01:53:54.753 --> 01:53:55.134]  We're good to go.
[01:54:01.320 --> 01:54:07.503]  The new World Order Beast is genetically modifying your food.
[01:54:07.503 --> 01:54:13.925]  Mixing vegetables with animals and now experimenting with viruses.
[01:54:13.925 --> 01:54:19.668]  Without a long-term food solution, you will have just two options.
[01:54:19.668 --> 01:54:22.629]  Starve or surrender.
[01:54:22.629 --> 01:54:26.430]  All canned food supplies will eventually run out.
[01:54:26.430 --> 01:54:27.311]  What then?
[01:54:30.029 --> 01:54:33.111]  Grow your own healthy food and feed your family forever.
[01:54:33.111 --> 01:54:37.454]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[01:54:37.454 --> 01:54:40.315]  And it's owned by a real patriot, Big John Lipscomb.
[01:54:40.315 --> 01:54:47.540]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots, or tomatoes for a little more than a penny each.
[01:54:47.540 --> 01:54:49.441]  SurvivalistSeeds.com.
[01:54:49.441 --> 01:54:54.844]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[01:54:54.844 --> 01:54:57.586]  See his link at SurvivalistSeeds.com.
[01:54:57.586 --> 01:54:58.446]  SurvivalistSeeds.com.
[01:55:01.348 --> 01:55:07.813]  Okay, until about 15 after next hour, we're going to have Bob Chapman with us, InternationalForecaster.com.
[01:55:07.813 --> 01:55:10.755]  My websites are InfoWars.com and PrisonPlanet.com.
[01:55:10.755 --> 01:55:16.359]  In summation, the establishment knows everybody's waking up at the camps.
[01:55:16.359 --> 01:55:17.480]  Everything is exploding.
[01:55:17.480 --> 01:55:18.901]  Our web numbers alone are doubling.
[01:55:21.226 --> 01:55:22.447]  This is the buzz worldwide.
[01:55:22.447 --> 01:55:26.709]  I'm on British radio and they say I saw a huge yellow truck with InfoWars.com driving around today.
[01:55:26.709 --> 01:55:27.709]  Is that you paying for that?
[01:55:27.709 --> 01:55:28.729]  No.
[01:55:28.729 --> 01:55:31.851]  The people worldwide are waking up because we warned them beforehand.
[01:55:31.851 --> 01:55:33.452]  Everything we said came true.
[01:55:33.452 --> 01:55:39.274]  So the establishment comes out and mixes some truth about FEMA camps and things but then makes jokes about it.
[01:55:39.274 --> 01:55:41.395]  Mixing it in with patriots and gun owners are dangerous.
[01:55:41.395 --> 01:55:42.356]  He's currently doing that.
[01:55:43.633 --> 01:55:45.655]  Some of them get fooled by that.
[01:55:45.655 --> 01:55:46.655]  I challenge Glenn Beck.
[01:55:46.655 --> 01:55:49.557]  You claim you've been doing research for weeks on this and you can't sleep.
[01:55:49.557 --> 01:55:50.318]  Okay, buddy.
[01:55:50.318 --> 01:55:51.539]  Everybody's going to email you.
[01:55:52.930 --> 01:56:14.887]  Your radio show and Fox News, the last 45 minute piece we've done, your little staffers can watch that and everything there can be googled, pulled up from government documents, at army.mil and FBI and everywhere else, and then you'll have a clear picture of what's being set up and how they now have to orchestrate an economic collapse to get us to accept this as society breaks down.
[01:56:14.887 --> 01:56:16.889]  And my film, The Obama Deception, covers all of this.
[01:56:17.930 --> 01:56:20.251]  It's now available at InfoWars.com.
[01:56:20.251 --> 01:56:21.851]  And it shatters the left-right paradigm.
[01:56:21.851 --> 01:56:24.032]  President to president, it just continues.
[01:56:24.032 --> 01:56:25.352]  But that's the bottom line.
[01:56:25.352 --> 01:56:26.552]  I want to see all this.
[01:56:26.552 --> 01:56:28.753]  I want to see the civilian inmate labor camp program.
[01:56:28.753 --> 01:56:36.555]  I want to see the fact that the Army's announced they're going to engage the American people, and that NORTHCOM already has the country under effective martial law, and that Congress has been threatened with martial law.
[01:56:36.555 --> 01:56:37.395]  That is martial law.
[01:56:38.317 --> 01:56:44.021]  I want to hear that, Bubba, all together, instead of you making jokes and saying, oh, you know, conspiracy theory.
[01:56:44.021 --> 01:56:44.962]  That's what we want to hear.
[01:56:44.962 --> 01:56:47.584]  This is happening because we're winning, ladies and gentlemen.
[01:56:47.584 --> 01:56:49.405]  They're being forced to cover all this.
[01:56:49.405 --> 01:56:57.851]  Bob Chapman, formerly with Army Intelligence, in the largest financial newsletter on record until he retired, he's come back, and also the largest gold and private silver broker.
[01:56:58.551 --> 01:57:05.455]  Bob Chapman, also, of course, a great patriot, helped fund and finance the publishing of Dundare Call Conspiracy with Gary Allen back in the 70s.
[01:57:05.455 --> 01:57:06.235]  He's been working with J.E.B.
[01:57:06.235 --> 01:57:07.916]  Griffin and others for more than 40 years.
[01:57:07.916 --> 01:57:09.697]  Good to have you here with us.
[01:57:09.697 --> 01:57:25.585]  I want to come back in 15 minutes and cover the latest financial developments, but in a few minutes, sir, I know you've been on hold listening, your take on the fact that they're now admitting world government, push it, but saying it's going to save us, and then vexing, yeah, there's some camps, maybe they're good, maybe they're bad, but then giving no more information.
[01:57:25.585 --> 01:57:26.065]  Bob Chapman.
[01:57:27.375 --> 01:57:31.137]  Well, first of all, I think they've been exposed.
[01:57:31.137 --> 01:57:34.338]  You know, these broadcasts are going all over the world.
[01:57:34.338 --> 01:57:39.160]  There are only a handful of people, but they're making a tremendous difference.
[01:57:39.160 --> 01:57:48.124]  We're getting emails from all over the world from people saying, you know, thank you for being on the programs and enlightening us to what's going on.
[01:57:48.124 --> 01:57:52.026]  And we're getting a lot of foreign subscribers as well.
[01:57:52.026 --> 01:57:54.507]  Just recently, we've got about 10 from Russia.
[01:57:55.454 --> 01:57:57.215]  Plus other places throughout the world.
[01:57:57.215 --> 01:58:01.517]  I'm having troops come up to me on the street and say they're awake and call in and letters.
[01:58:01.517 --> 01:58:02.557]  I mean, police?
[01:58:02.557 --> 01:58:04.298]  Go ahead.
[01:58:04.298 --> 01:58:05.518]  Well, that's great.
[01:58:05.518 --> 01:58:12.121]  And that's the reason I mention that, is that's why the conspiracy is exposing itself.
[01:58:12.121 --> 01:58:13.482]  Because it has to.
[01:58:13.482 --> 01:58:15.823]  It doesn't have any choice at this point.
[01:58:15.823 --> 01:58:17.984]  Too many people know what they're doing now.
[01:58:17.984 --> 01:58:20.725]  And it's going to get greater and greater and greater in the ignorant
[01:58:21.249 --> 01:58:25.070]  And the uneducated are finally going to catch on as well.
[01:58:25.070 --> 01:58:30.011]  So now they're just hiding in plain view going, oh yeah, there's a world government in FEMA camps, but let's have a discussion.
[01:58:30.011 --> 01:58:33.372]  Maybe we need them.
[01:58:33.372 --> 01:58:34.552]  You're right about that.
[01:58:34.552 --> 01:58:48.176]  And I think that the propaganda that's being spewed out, this mixture of 95% truth and 5% propaganda, isn't going to work.
[01:58:48.176 --> 01:58:49.996]  And you've gone through it fairly well.
[01:58:50.815 --> 01:58:55.079]  In a very short period of time, very thoroughly, especially in regard to Glenn Beck.
[01:58:55.079 --> 01:58:58.521]  And we discussed this a couple of weeks ago.
[01:58:58.521 --> 01:59:06.247]  And they just want you to think that the major media is covering this, when in fact they're really not.
[01:59:06.247 --> 01:59:09.830]  It's really misdirection.
[01:59:09.830 --> 01:59:15.234]  But this, I mean, every historical indication shows this means they're desperate and that they're in trouble.
[01:59:15.234 --> 01:59:16.155]  Yeah, absolutely.
[01:59:16.155 --> 01:59:18.677]  And I don't think many people realize this.
[01:59:19.255 --> 01:59:25.017]  I mean, you know, you and some others who are on the air are really drilling this thing.
[01:59:25.017 --> 01:59:34.599]  But I am very, very chagrined, very unhappy that very few newsletter writers have pursued this.
[01:59:34.599 --> 01:59:35.560]  Stay there, Bob.
[01:59:35.560 --> 01:59:36.080]  Got a break.
[01:59:36.080 --> 01:59:37.260]  70-second break.
[01:59:37.260 --> 01:59:39.181]  Third hour, only seconds away.
[01:59:39.181 --> 01:59:43.742]  Thank you for listening to GCN.
[01:59:46.727 --> 01:59:50.991]  Visit GCNlive.com today.
[01:59:50.991 --> 01:59:51.611]  Hello, friends.
[01:59:51.611 --> 01:59:52.672]  This is Alex Jones.
[01:59:52.672 --> 01:59:57.416]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:59:57.416 --> 02:00:00.398]  We need to be independent, and food and water is the key.
[02:00:00.398 --> 02:00:03.441]  You'll never have to stand in a bread line if you have your own bread.
[02:00:03.441 --> 02:00:08.145]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[02:00:08.365 --> 02:00:09.505]  If you simply prepare.
[02:00:09.505 --> 02:00:12.747]  No one is going to take care of your family in the final equation but you.
[02:00:12.747 --> 02:00:19.730]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[02:00:19.730 --> 02:00:23.011]  And they do it at almost half the cost of last year's grocery prices.
[02:00:23.011 --> 02:00:23.271]  Call 1-800-409-5633.
[02:00:25.692 --> 02:00:28.153]  Or on the web, go to eFoodsDirect.com.
[02:00:28.153 --> 02:00:34.415]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[02:00:34.415 --> 02:00:38.176]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[02:00:38.176 --> 02:00:39.456]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[02:00:39.456 --> 02:00:40.156]  Take action today.
[02:00:40.156 --> 02:00:41.977]  The first step is getting storable food.
[02:00:53.777 --> 02:00:56.179]  Waging war on corruption.
[02:00:56.179 --> 02:01:05.444]  Alex Jones on the GCN Radio Network.
[02:01:05.444 --> 02:01:06.765]  Big Brother.
[02:01:06.765 --> 02:01:08.526]  Mainstream media.
[02:01:08.526 --> 02:01:10.287]  Government cover-ups.
[02:01:10.287 --> 02:01:11.848]  You want answers?
[02:01:11.848 --> 02:01:13.429]  Well, so does he.
[02:01:13.429 --> 02:01:17.611]  He's Alex Jones on the GCN Radio Network.
[02:01:17.611 --> 02:01:21.654]  And now, live from Austin, Texas, Alex Jones.
[02:01:24.548 --> 02:01:25.809]  Bob Chapman's our guest.
[02:01:25.809 --> 02:01:30.793]  The mainstream media everywhere is admitting world government is here, but saying it will save us.
[02:01:30.793 --> 02:01:34.296]  A few people like Lou Dobbs are saying it's a bad idea.
[02:01:34.296 --> 02:01:38.299]  He's been credibly doing it for a long time, but conservatively, I believe he's good.
[02:01:38.299 --> 02:01:41.822]  But CNN lets him on to have some credibility, because people now
[02:01:42.222 --> 02:01:43.183]  No, this is going on.
[02:01:43.183 --> 02:01:45.785]  The establishment can't ignore it any longer.
[02:01:45.785 --> 02:01:47.387]  So we're into a conditioning period.
[02:01:47.387 --> 02:01:48.768]  And the establishment's getting scared.
[02:01:48.768 --> 02:01:51.371]  That's why Brzezinski and all of them are on TV going, oh, the evil bankers.
[02:01:51.371 --> 02:01:52.331]  Oh, we've got to do something.
[02:01:52.331 --> 02:01:57.997]  They're going to bait and switch that and shut down smaller tax havens for the general public at the retail level.
[02:01:57.997 --> 02:02:00.479]  So they use our anger and put it into their own operations.
[02:02:00.479 --> 02:02:02.641]  It's very, very sophisticated.
[02:02:02.641 --> 02:02:04.362]  Bob Chapman, let's get into what's happening.
[02:02:05.259 --> 02:02:08.622]  Right, and I think if we were to hold at $4,000 we would be very, very fortunate.
[02:02:08.622 --> 02:02:09.322]  We touched $6,700 yesterday.
[02:02:33.826 --> 02:02:44.449]  In that area, and the news that came out today was so dreadful on employment and other things, and the market's up 127 points.
[02:02:44.449 --> 02:02:50.390]  And that means the United States government's in there trying to hold the market up to keep it from going lower.
[02:02:50.390 --> 02:02:57.932]  I wouldn't be surprised if we didn't get a small rally here back to 7200, which would be normal, and to test that 7268.
[02:02:59.725 --> 02:03:04.428]  Bottom that was set in 1994 and then again in 2002.
[02:03:04.428 --> 02:03:15.394]  And so, over the period of time here, we'll go down into the 6,000, the 6,600 area, probably in the next month or so.
[02:03:15.394 --> 02:03:20.957]  And it'll find some sort of a bottom there, and then it'll rally again and then go lower.
[02:03:20.957 --> 02:03:28.842]  But perhaps this year, in all probability next year, and the timing on this is so hard,
[02:03:29.923 --> 02:03:31.124]  We're going to see 4,000.
[02:03:31.124 --> 02:03:39.869]  And if you want to project what happened during the last depression, and we are in a depression already.
[02:03:39.869 --> 02:03:43.110]  We started at the beginning of February.
[02:03:43.110 --> 02:03:50.894]  If you want to go back and compare it to the 1930s, and I believe we're about five times worse off today than we were then.
[02:03:50.894 --> 02:03:56.497]  I think that we're looking at a duplication of the 89% correction
[02:03:58.399 --> 02:04:08.065]  That took place in 1933, and if that's the case, we're going down to somewhere between 1,260 and 1,450.
[02:04:08.065 --> 02:04:11.928]  And that's a long, long way down.
[02:04:11.928 --> 02:04:14.889]  And we'll eventually get there.
[02:04:14.889 --> 02:04:25.096]  And now the establishment just has to manage the collapse, pose as our saviors, blame a few little made-offs, the other minions, while they carry out the Ponzi scheme that's meant to implode the whole world into their hands.
[02:04:25.096 --> 02:04:26.497]  I don't think they're going to get away with it, Bob.
[02:04:27.435 --> 02:04:28.836]  I don't think so either.
[02:04:28.836 --> 02:04:36.364]  And I think, you know, one of their major problems is going to be right on Wall Street for people who are not directly involved.
[02:04:36.364 --> 02:04:39.927]  People who work there, they have a good idea what's going on.
[02:04:39.927 --> 02:04:51.398]  And I talked to some of them, and they usually live out in Long Island or a little bit upstate or over in New Jersey, and they're all armed and doing the same thing that we're doing, because they know what's coming.
[02:04:51.803 --> 02:04:53.204]  Now that's the issue.
[02:04:53.204 --> 02:04:54.664]  We told the truth for decades.
[02:04:54.664 --> 02:04:58.266]  You told it for 40 plus years as we read the globalist plans.
[02:04:58.266 --> 02:04:59.406]  Now it's all coming true.
[02:04:59.406 --> 02:05:02.988]  We did our work planting the seeds of truth.
[02:05:02.988 --> 02:05:06.329]  Man, this is going to be one hell of a fight though, Bob.
[02:05:06.329 --> 02:05:16.373]  I know it is and they know if they lose, they're going to totally lose power and in some instances via treason, they're probably going to forfeit their lives and fortunes.
[02:05:17.725 --> 02:05:18.145]  That's right.
[02:05:18.145 --> 02:05:22.249]  They are evil, evil people and they are going to have another war and I've been talking about that on this program for some time.
[02:05:36.383 --> 02:05:37.003]  Bob, stay there.
[02:05:37.003 --> 02:05:44.647]  Let's talk more about the economy and how fast the deepening depression is accelerating and how bad it's going to get with Bob Chapman.
[02:05:44.647 --> 02:05:51.530]  Then, scheduled later, we got Lindsey Williams popping in to take your calls and get more into how they're imploding the oil markets by design.
[02:05:51.530 --> 02:05:55.151]  In fact, John, get that clip ready from the Davos thing with George Soros.
[02:05:55.151 --> 02:05:55.952]  We haven't even played that yet.
[02:05:55.952 --> 02:05:57.252]  We've had it for weeks.
[02:05:57.252 --> 02:05:58.313]  Stay with us, ladies and gentlemen.
[02:05:58.313 --> 02:06:02.955]  We'll be right back after this quick break.
[02:06:02.955 --> 02:06:04.916]  It's a new year full of uncertainties.
[02:06:05.529 --> 02:06:08.598]  People are being laid off in record numbers.
[02:06:08.598 --> 02:06:12.770]  The price of food continues to rise and the economy continues to falter.
[02:06:13.536 --> 02:06:15.638]  You know that you need to prepare.
[02:06:15.638 --> 02:06:19.041]  And maybe you've been putting it off, but the time to act is now.
[02:06:19.041 --> 02:06:22.344]  That's why you need to visit OrganicaSeed.com.
[02:06:22.344 --> 02:06:34.134]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[02:06:34.134 --> 02:06:40.560]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[02:06:40.900 --> 02:06:46.941]  With detailed growing guides available to you at no charge, you can maximize your harvest and investment.
[02:06:46.941 --> 02:06:48.001]  And the best part?
[02:06:48.001 --> 02:06:50.702]  All orders ship within 24 hours.
[02:06:50.702 --> 02:06:53.702]  So head over to OrganicaSeed.com.
[02:06:53.702 --> 02:06:58.683]  That's O-R-G-A-N-I-C-A-Seed.com.
[02:06:58.683 --> 02:07:01.464]  OrganicaSeed.com today.
[02:07:01.464 --> 02:07:02.884]  It is a big idea.
[02:07:02.884 --> 02:07:05.704]  A new world order.
[02:07:05.704 --> 02:07:10.045]  In the near future, Earth is dominated by a powerful world government.
[02:07:10.589 --> 02:07:13.411]  It's known as the Bilderberg.
[02:07:13.411 --> 02:07:16.214]  Could their objective be world domination?
[02:07:16.214 --> 02:07:19.397]  For thousands of years, their dark order grew.
[02:07:19.397 --> 02:07:26.723]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[02:07:29.741 --> 02:07:35.185]  For the first time in history, the elite's plan for world government is blown wide open.
[02:07:35.185 --> 02:07:39.047]  You will learn the secret that drives the entire New World Order agenda.
[02:07:39.047 --> 02:07:41.609]  Bill of Rights is making great progress toward a world government.
[02:07:41.609 --> 02:07:42.790]  Most people have no idea.
[02:07:42.790 --> 02:07:43.570]  They're not after money.
[02:07:43.570 --> 02:07:44.851]  They have all the money they need.
[02:07:44.851 --> 02:07:45.832]  They're after power.
[02:07:45.832 --> 02:07:46.973]  That's their aphrodisiac.
[02:07:46.973 --> 02:07:51.736]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[02:07:51.736 --> 02:07:55.678]  Or watch it online right now at PrisonPlanet.tv.
[02:07:55.678 --> 02:07:56.459]  In Game.
[02:07:56.459 --> 02:07:58.520]  Blueprint for global enslavement.
[02:07:58.520 --> 02:07:59.581]  You have been warned.
[02:07:59.701 --> 02:08:00.682]  Yeah.
[02:08:00.682 --> 02:08:01.582]  You worry.
[02:08:01.582 --> 02:08:03.644]  You see the signs and worry about the future.
[02:08:03.644 --> 02:08:06.306]  You worry about economic turmoil and food shortages.
[02:08:06.306 --> 02:08:08.428]  How to be prepared while preserving your sanity?
[02:08:08.428 --> 02:08:10.029]  Your answer may be at hand.
[02:08:10.029 --> 02:08:13.631]  Author Linda Runyon lived off the land, isolated from civilization.
[02:08:13.631 --> 02:08:18.855]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[02:08:18.855 --> 02:08:22.178]  Perhaps the only sane insurance is knowledge of wild edible plants.
[02:08:22.827 --> 02:08:24.508]  The cost of learning is minimal.
[02:08:24.508 --> 02:08:27.408]  Wild food grows everywhere and you will see it everywhere.
[02:08:27.408 --> 02:08:30.869]  It's every bit organic and more nutritious than our modern diets.
[02:08:30.869 --> 02:08:39.512]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[02:08:39.512 --> 02:08:44.334]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[02:08:44.334 --> 02:08:48.355]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[02:08:48.355 --> 02:08:49.215]  Or if you're not online,
[02:08:49.534 --> 02:08:52.260]  Call her 24-hour, toll-free order line at 888-51-EAT-FREE.
[02:08:52.260 --> 02:08:53.743]  That number again, 888-51-EAT-FREE.
[02:08:53.743 --> 02:08:55.486]  A little knowledge makes starvation impossible.
[02:09:05.862 --> 02:09:07.163]  Big Brother.
[02:09:07.163 --> 02:09:08.945]  Mainstream media.
[02:09:08.945 --> 02:09:10.706]  Government cover-ups.
[02:09:10.706 --> 02:09:12.288]  You want answers?
[02:09:12.288 --> 02:09:13.209]  Well, so does he.
[02:09:13.209 --> 02:09:18.033]  He's Alex Jones on the GCN Radio Network.
[02:09:18.033 --> 02:09:22.077]  And now, live from Austin, Texas, Alex Jones.
[02:09:24.731 --> 02:09:28.476]  The websites are InfoWars.com and PrisonPlanet.com.
[02:09:28.476 --> 02:09:36.685]  Don't forget, March 15th, the Obama deception drops at PrisonPlanet.tv and SuperhighQuality, an information warfare weapon.
[02:09:36.685 --> 02:09:39.468]  Who the bankers are, how they control things, how Obama's their puppet.
