[00:00.000 --> 00:01.200]  We'll protect voting rights.
[01:34:40.000 --> 01:34:45.680]  kairi behave come to our facility be brainwashed and we'll get that suspension off for you kairi's
[01:34:45.680 --> 01:34:50.480]  already lost of course you got another big contract back a hundred million dollars for saying i'm not
[01:34:50.480 --> 01:34:54.400]  going to take your poison shot and instead of being vindicated
[01:35:00.480 --> 01:35:04.320]  oh he's a bad guy too he's got to be shut down let's go to your phone calls
[01:35:04.320 --> 01:35:09.600]  nithaniel in alabama you're on the air go ahead hey alex how's it going all right brother good
[01:35:09.600 --> 01:35:16.720]  to talk to you so i called about um obviously the listeners are speaking the truth and i wanted
[01:35:16.720 --> 01:35:22.080]  to talk about uh the catholic church a little bit so just like you like they they attack you
[01:35:22.080 --> 01:35:26.880]  because you're the truth and what if you think about it what other denomination has received
[01:35:26.880 --> 01:35:35.280]  as much attack as the catholic church pretty like on no no doubt they've received the most
[01:35:35.840 --> 01:35:41.200]  sorry i'm a little bit nervous and been working um well there's no doubt the pedophiles tried to
[01:35:41.200 --> 01:35:45.120]  infiltrate it and there's been a big battle to take it over and i would say the current pubs
[01:35:45.120 --> 01:35:49.760]  and on board with those guys but yeah there's definitely been a big plan i mean until a few
[01:35:49.760 --> 01:35:54.000]  years ago the catholic church was attacked by hollywood now hollywood loves the catholic church
[01:35:54.000 --> 01:35:59.120]  because i think they've kind of captured it not the church itself but i would say the hierarchy
[01:36:00.160 --> 01:36:04.400]  absolutely alex you're absolutely right it's on record that the communists infiltrate
[01:36:04.400 --> 01:36:10.000]  infiltrated the catholic church and uh just going a little bit on the satanic inversion
[01:36:10.000 --> 01:36:16.640]  the satanists they don't have black praise and worship they have black mass and it's a
[01:36:16.640 --> 01:36:21.040]  the satanic inversion of the truth just like everything else they do so i just thought i'd
[01:36:21.040 --> 01:36:27.280]  plant that seed for everyone listening and um also they have a an organization called paterna
[01:36:27.840 --> 01:36:34.720]  which is basically where they just teach men how to be true virtuous and moral men um and
[01:36:34.720 --> 01:36:41.760]  it's children are invited to come as well and uh just show them how to grow up and be be a true man
[01:36:43.040 --> 01:36:46.560]  well i know there's a lot of great people on other catholics fight the new world order
[01:36:46.560 --> 01:36:50.400]  we saw the coveted and kids under attack it's it's it's they're they're mad at
[01:36:50.400 --> 01:36:55.680]  conservative catholic groups they love the leftist ones thank you nathaniel let's go to ice nine
[01:36:56.320 --> 01:37:03.920]  in england you're on the air sir go ahead or man whoever it is alex jones man i love you man i
[01:37:03.920 --> 01:37:09.440]  love what you're doing you guys are amazing if you open my eyes and um i hope you give me a quick
[01:37:09.440 --> 01:37:13.600]  second to just say a few things before you cut me off because i'm going to say some stuff that's
[01:37:13.600 --> 01:37:18.400]  quite shocking but true and i've already been censored a few times when i got you're not being
[01:37:18.400 --> 01:37:22.880]  censored but you are you are on the clock i gotta get to everybody you got two minutes go
[01:37:23.840 --> 01:37:29.840]  yes first of all you could find me on bit shoot it's maybe messiah or you could check me out by
[01:37:29.840 --> 01:37:36.800]  finding my content with the hashtag jesus name challenge which proves that the name lord jesus
[01:37:36.800 --> 01:37:43.440]  is a direct translation from bal and isus or hasus which are both names of satan
[01:37:44.080 --> 01:37:49.840]  and uh the definition of an antichrist is a person office or group recognizes for filling
[01:37:49.840 --> 01:37:56.880]  the biblical prophecies of one who will substitute christ jesus is a satanic substitute for the name
[01:37:56.880 --> 01:38:04.160]  of yashua which means yaway is salvation yashua preached the old testament of yaway he prayed to
[01:38:04.160 --> 01:38:10.560]  yaway he um his name means yaway is salvation all the biblical prophets names testified to the name
[01:38:10.560 --> 01:38:17.120]  of yaway hallelujah means praise yaway but they've given everyone a satanic substitute and everything
[01:38:17.120 --> 01:38:23.360]  you're doing alex is going to be completely in vain unless you realize that the name jesus is false
[01:38:23.360 --> 01:38:33.680]  and satanic well i mean you know what you're saying sounds a little bit ferocitical uh judging me and
[01:38:33.680 --> 01:38:38.480]  saying what i do is in vain we're exposing the satanic new world order our our fruits are amazing
[01:38:39.040 --> 01:38:46.560]  and i know there's big debates about johova uh or jesus or yaway uh but when we talk about yaway
[01:38:46.560 --> 01:38:51.200]  or we talk about johova we talk about jesus we talk about the man of god the son of god
[01:38:51.200 --> 01:38:56.720]  the new testament that came here to to get the keys of hell and death and and and god is going
[01:38:56.720 --> 01:39:01.920]  to judge the heart not ferocitical definitions i appreciate your call uh but hey you're superior
[01:39:02.880 --> 01:39:07.360]  and i get that you've got to sleep well at night knowing that you've got all the keys and all the
[01:39:07.360 --> 01:39:12.320]  answers and everything else so i would just bear some fruit brother i would go out and fight abortion
[01:39:12.320 --> 01:39:17.920]  fight new world order fight the fentanyl fight fight for freedom because you know faith without
[01:39:17.920 --> 01:39:27.600]  works is dead show us how you are like yashua i love yashua grab i i want to go back to what
[01:39:27.600 --> 01:39:31.760]  that last caller brought up and very first he gave out his website and a bunch of stuff and said
[01:39:31.760 --> 01:39:35.040]  oh i don't want to be censored as if we're censoring people we're giving callers a couple
[01:39:35.040 --> 01:39:40.720]  minutes moving on the next person but if you don't understand history or the bible Pharisees
[01:39:40.720 --> 01:39:45.200]  were all about the laws and all the little rules they made and not about a relationship with god
[01:39:45.200 --> 01:39:54.480]  directly and so god knows who god is whether it's yashua or johova or jesus or hazus the god of the
[01:39:54.480 --> 01:39:59.360]  bible the god of the truth the god of the ten commandments the god of the gospel the god of
[01:39:59.360 --> 01:40:06.080]  jesus and so if you believe the name jesus is the son of god and you're following what jesus
[01:40:06.080 --> 01:40:14.000]  said in the gospels then you're following it you know god's not stupid god knows your heart god
[01:40:14.000 --> 01:40:19.600]  judges the heart look at king david who did some bad things but the end of the day love god and
[01:40:19.600 --> 01:40:27.120]  wanted to do good so god said you're a man after my own heart and so i see all the rules and all
[01:40:27.120 --> 01:40:31.360]  their names and all their things look at the mainstream churches they don't want to say the
[01:40:31.360 --> 01:40:38.960]  name of jesus and and these big mainline preachers don't say that so if the world hates the name
[01:40:38.960 --> 01:40:46.160]  jesus so much well then why are you thinking it's a bad name but yashua i mean look there's greek
[01:40:46.160 --> 01:40:53.520]  there's hebrou there's aramaic there's spanish there's german there's french there's russian
[01:40:53.520 --> 01:41:01.680]  there's japanese there's swahili there's hundreds of languages and people get caught up in the name
[01:41:02.720 --> 01:41:08.000]  are you saying the books of the bible aren't real are you saying that's what you follow that's the
[01:41:08.000 --> 01:41:22.480]  information take the take the situation we deal with today how they're openly trying to set up
[01:41:22.480 --> 01:41:27.840]  the state as god and all the fruits of it world government market the beast the bible being
[01:41:27.840 --> 01:41:36.160]  fulfilled so that helps that caller just get past it when you get to the name of the son of god just
[01:41:36.160 --> 01:41:42.480]  have a blank there but it's still about what the bible tells us is going to happen and what's going
[01:41:42.480 --> 01:41:50.720]  to unfold and so getting back to this the bible calls the spirit that comes to you the energy the
[01:41:50.720 --> 01:41:57.360]  wavelength of the transmission the message we're transceivers for it we receive and transmit we
[01:41:57.360 --> 01:42:07.120]  receive we also worship so worship is is transmitting back from the the reception this is spiritual
[01:42:08.800 --> 01:42:12.320]  this is this is interdimensional this is real and so
[01:42:14.960 --> 01:42:20.480]  why don't i say the holy ghost the holy spirit are we going to deny that let's just say we want
[01:42:20.480 --> 01:42:25.280]  the holy spirit we want god to come knock on our door show us your real god come into our lives
[01:42:25.280 --> 01:42:29.760]  make us new make us better how about that how about focusing on coming together
[01:42:31.760 --> 01:42:37.200]  it is a tool of the devil with all these denominations and all these false leaders
[01:42:37.200 --> 01:42:41.840]  fighting with each other over who's the priesthood that you've got to follow their rules to get to
[01:42:41.840 --> 01:42:50.480]  god god is the judge god is the arbiter and you'll know if somebody is of god or of the
[01:42:50.480 --> 01:42:56.480]  devil on whether the system is coming after them or not so that caller got what he wanted
[01:42:59.600 --> 01:43:07.440]  he got to tell me that nothing i've done means anything unless i say yaway
[01:43:09.200 --> 01:43:16.880]  and it's about him enforcing his will on us for the name when a name is just a human term for
[01:43:16.880 --> 01:43:22.240]  something we know satanism we've seen the fruits of it with a new world order we know god we've
[01:43:22.240 --> 01:43:29.280]  seen the fruits of that so i love the god that created us the god of genesis the god of christ
[01:43:29.840 --> 01:43:38.880]  yaway yashua jahova jesus said i came to fulfill the old testament not destroy the law
[01:43:40.480 --> 01:43:46.320]  and you've got groups fighting over oh jahova was a different god of the jews versus this god no
[01:43:46.320 --> 01:43:53.360]  it's the same god and anybody that has any connection to god knows that and i'll assure you
[01:43:53.360 --> 01:43:58.880]  god isn't sitting there thinking about what name in a human language you've got for god
[01:43:58.880 --> 01:44:04.640]  we know who god is the god that created us and the god that wants success for us i'm done talking
[01:44:04.640 --> 01:44:10.320]  about it tell you calls or the receive bart thanks for holding from massachusetts you're on the air go
[01:44:10.320 --> 01:44:20.720]  ahead alex shalom baruch hasham bless god you know you're a very wise man and i'm honored to have
[01:44:20.720 --> 01:44:29.680]  this moment with you i think that your point about the many layers of the onion and separation red
[01:44:29.680 --> 01:44:38.000]  versus blue black versus white the polarities i think that's the deception so are we anointed in
[01:44:38.000 --> 01:44:47.440]  christ and renewed god willing right but what i'm calling about is what you said earlier and i finally
[01:44:48.320 --> 01:44:57.760]  finally back to this conversation so calling from massachusetts very blue um red right i hate
[01:44:57.760 --> 01:45:07.760]  these labels maybe in purple i'm also a patriot jew and so it's a very tricky time to navigate
[01:45:08.640 --> 01:45:15.600]  and i'm sure there's many of them out there listening and that support you and it's it's
[01:45:16.320 --> 01:45:22.000]  unfortunately now we have to dance around the conversation but you know we'll get into you
[01:45:22.000 --> 01:45:29.440]  don't know about the yay and the whole juice i op yeah that's exactly where i was going with this
[01:45:29.440 --> 01:45:35.920]  and then you brought up israel two years ago i had heard a dream a voice say he's at the height
[01:45:35.920 --> 01:45:45.520]  of his power and obviously i took that to mean our enemy right and so it's very tricky how do we
[01:45:45.520 --> 01:45:55.760]  talk about this without all those layers of the onion because you're immediately labeled a racist
[01:45:56.720 --> 01:46:04.080]  but you know he will reveal things to us on our own time and how they're meant to unfold and
[01:46:04.080 --> 01:46:14.560]  i worry about the other israelites who are not pushing medicine at the top of the
[01:46:16.240 --> 01:46:24.080]  pharmaceutical structure down and not imposing there are those of us who are killing the earth
[01:46:24.080 --> 01:46:31.600]  and planting the seed who have seen that there is a father a son and the holy spirit all together
[01:46:31.600 --> 01:46:42.960]  so for your listeners i i beg that you open your hearts and look past labels there are
[01:46:43.520 --> 01:46:50.240]  ebrews there are israelites who are not absolutely there are good people of god in every group
[01:46:50.800 --> 01:46:54.320]  and there there is an obsession with the devil with israel and what's had to happen there
[01:46:54.800 --> 01:46:59.840]  and look at how israel is being bombarded the most of any western country with poison shots
[01:46:59.840 --> 01:47:03.680]  if they're supposedly evil masterminds that are in charge why are they locked down why are they
[01:47:03.680 --> 01:47:09.600]  being injected because they're being targeted and it's a sophisticated operation i appreciate your
[01:47:09.600 --> 01:47:14.880]  call all right listen i'm going to go into the next hour as long as we need to jade iris gray he
[01:47:14.880 --> 01:47:21.280]  knows i take over sometimes i'm going to get to every one of your callers so al killer and kathleen
[01:47:21.840 --> 01:47:26.800]  and everybody else thumper we're going to cut a break and we're going to come right back and go
[01:47:26.800 --> 01:47:31.040]  directly to your calls bam bam bam i didn't mean to get off at some argument about god's name and
[01:47:31.040 --> 01:47:37.680]  all the rest of those just say god the living god the god that wants you always got to have a magic
[01:47:37.680 --> 01:47:43.760]  name as priest tells you in your you can do it right you're going to hell that's Pharisees and
[01:47:43.760 --> 01:47:48.080]  the history is full of those and jesus rebuked the Pharisees and i'm not saying the caller that called
[01:47:48.080 --> 01:47:54.080]  in as a Pharisee i just they obsess over stuff like that instead of getting out and waking people up
[01:47:54.080 --> 01:47:58.160]  and standing up against evil whatever name you want to give it buddy you better start fighting satan
[01:47:59.200 --> 01:48:04.160]  but he told us your work's nothing unless you do what i say use the names i say they're right back
[01:48:04.880 --> 01:48:09.760]  all right we're taking your phone calls on this live friday edition dr peter mccullough is flying
[01:48:09.760 --> 01:48:14.320]  to austin tomorrow morning we're going to take a two hour in-depth interview totally vindicated
[01:48:14.320 --> 01:48:18.400]  latest intel on the shots the mass deaths how they're trying to take his medical license
[01:48:18.400 --> 01:48:21.200]  we got a bunch of special guests tomorrow i would say they'll probably air about
[01:48:21.200 --> 01:48:26.000]  about three p.m. or four p.m. we'll put up the archive this shows live but the saturday show
[01:48:26.000 --> 01:48:30.800]  usually tape and the sunday shows live as well sunday four to six p.m. i had a sunday live six
[01:48:30.800 --> 01:48:35.040]  to eight p.m. with Owen shroyer but right now let's take your phone calls just please don't forget
[01:48:37.440 --> 01:48:44.080]  the sales always build towards christmas but they peak in november with black friday comes early
[01:48:44.640 --> 01:48:49.040]  and then it's basically the same super sale right through christmas but a bunch of stuff sells out
[01:48:49.040 --> 01:48:55.200]  so this is the good of the deals get up to 60 off promo code 1776 vitamin mineral fusion are great
[01:48:55.200 --> 01:49:02.720]  organic multivitamins back in stock 50 off with promo code it's even higher 1776 is the promo code
[01:49:02.720 --> 01:49:13.200]  infowarstore.com x3 dna force plus brain force ultra all of it infowarstore.com i want to thank
[01:49:13.200 --> 01:49:19.760]  you all for incredible support owl killer is on the air welcome owl killer from virginia
[01:49:21.440 --> 01:49:26.880]  well i you know it just so happens i'm calling in when j dire's gonna be on your show what a
[01:49:26.880 --> 01:49:31.520]  mind that guy has and i'm so glad that you guys got in touch because i've been listening to him
[01:49:31.520 --> 01:49:36.240]  for years and you know ever since he's been doing the fourth hour we just never happened to cross
[01:49:36.880 --> 01:49:41.680]  path i mean he just goes off their own statements it's like it's it's phd level understanding
[01:49:41.680 --> 01:49:47.360]  yeah he he's phenomenal he's on a whole nother level and the way that he is spraying things
[01:49:47.360 --> 01:49:54.080]  breaks things down for everybody um i want to touch on uh kanya west and elon musk but have
[01:49:54.080 --> 01:49:59.760]  we confirmed run to phantas is skull and bones because that worries me no i'm not confirmed
[01:49:59.760 --> 01:50:05.520]  that i've looked up roger stone says he is he went to Yale but i'm not guys search it again
[01:50:05.520 --> 01:50:10.800]  i'm not confirmed that he's skull and bones alumni but i mean that is a big problem yes i i was very
[01:50:10.800 --> 01:50:15.840]  surprised to hear that and you know because bush wasn't a bad governor in texas not great
[01:50:16.560 --> 01:50:22.400]  and granted i'm even super bad as president exactly that that's what scared that's what really
[01:50:22.400 --> 01:50:29.760]  worries me with him but um let me uh touch on elon musk and kanya west so your uh friend greg
[01:50:29.760 --> 01:50:37.360]  riz was on your other friend uh eddie bravo show and everything he all his um um complaints about
[01:50:37.360 --> 01:50:44.640]  elon musk they're all true everything he said is true he did fake the fact that he came from money
[01:50:44.640 --> 01:50:49.840]  he did fake that he was selling emeralds in uh new york city he did say that he received a scott um
[01:50:49.840 --> 01:50:55.040]  he was getting student loans when his dad paid for him to go to college so why make those things up
[01:50:55.600 --> 01:51:01.760]  now with i i think him taken over twitter and kanya west laid this outburst are
[01:51:01.760 --> 01:51:09.600]  are just perfect timing i think they're working together that that's my opinion on it and i i don't
[01:51:09.600 --> 01:51:14.960]  think we can trust either one of them until they they prove a little more to us um because at the
[01:51:14.960 --> 01:51:19.520]  end of the day what is elon musk say all free speech is good it's like jordan peterson pointing
[01:51:19.520 --> 01:51:24.400]  out obvious stuff that we learned like kindergarten cop boys have a penis girls have a vagina that is
[01:51:25.280 --> 01:51:31.360]  that's supposed to be groundbreaking um type of information that they're presenting to us they're
[01:51:31.360 --> 01:51:37.600]  i mean obviously free speech is good but what has he done so far his fruit hasn't proven anything to
[01:51:37.600 --> 01:51:42.480]  i hear you i i think look i've looked it up that he's not officially in skull and bones
[01:51:42.480 --> 01:51:46.720]  they admit who's members of skull and bones so it looks like he's not members of skull and bones
[01:51:46.720 --> 01:51:52.320]  but i'm asking rob dew and darry mcgreen are the great researchers look into what fraternity he was
[01:51:52.320 --> 01:51:58.320]  at if he wasn't at skull and bones because they've got a bunch of scrolling key and snake and whatever
[01:51:58.320 --> 01:52:05.120]  it's all about the same crap we need to dig into that definitely look at it well that's on that
[01:52:05.120 --> 01:52:10.240]  end but i'm i'm what i'm trying to get in with the elon musk situation i listen i told people
[01:52:10.880 --> 01:52:15.680]  i'm going to give you my real take on elon musk tomorrow uh during this special broadcast we're
[01:52:15.680 --> 01:52:20.400]  going to do and i think he's trying to be everything full spectrum dominance but we're
[01:52:20.400 --> 01:52:28.080]  definitely look at it what do you think again you know when i look at his you know the whole
[01:52:28.080 --> 01:52:34.400]  thing with the warner von bran book where he he predicts a man named elon or that's the title
[01:52:34.400 --> 01:52:40.640]  of yeah we'll become the yeah become the king of mars i mean are are they just throwing things
[01:52:40.640 --> 01:52:46.640]  in her face at a certain level and i again like like you said of course he's not running paypal
[01:52:46.640 --> 01:52:51.920]  stuff like that now but what has he i mean i hear you i hear you we should investigate elon musk
[01:52:51.920 --> 01:52:55.920]  i appreciate your call i know all the big money's pulling their money out of twitter right now i'm
[01:52:55.920 --> 01:53:01.680]  just saying it's really a paradox it's a conundrum i i don't know yet uh so he without said the cast
[01:53:01.680 --> 01:53:07.120]  first don't i'm investigating elon we're gonna do it in depth tomorrow thank you uh thumper in
[01:53:07.120 --> 01:53:14.880]  michigan you're on the air go ahead hi alex i wanted to call in and just uh push everybody to
[01:53:14.880 --> 01:53:21.360]  stay on topic for this weekend we got a big vote coming up and i really think that uh
[01:53:21.360 --> 01:53:29.120]  siden lost all his um independent voters when he brought up nuclear armageddon and we need to
[01:53:29.120 --> 01:53:34.880]  stay on that topic now you're right that really turned a lot of people against him that's right
[01:53:34.880 --> 01:53:40.720]  he said it and it scared the bejesus out of all the women and they all swung towards the right
[01:53:40.720 --> 01:53:46.480]  and we need to keep pushing that he said nuclear armageddon and another topic that nobody ever
[01:53:46.480 --> 01:53:56.000]  brings up is russia has 400 000 tons of depleted uranium so does the us we are the only two major
[01:53:56.000 --> 01:54:05.120]  powers that have that much depleted uranium and what the un wants is a big major war to scare
[01:54:05.120 --> 01:54:11.600]  everybody into agreeing to what the un wants so they'll use that depleted uranium to create such
[01:54:11.600 --> 01:54:19.920]  hideous optics that people beg the un to to make all this stuff stop and another thing i came across
[01:54:19.920 --> 01:54:28.160]  is depleted uranium the number one effect of depleted uranium um is even if it doesn't get in
[01:54:28.160 --> 01:54:34.960]  the soil it gets in people's bodies infertility cardio no it's myocarditis all right do you
[01:54:34.960 --> 01:54:41.920]  super bad thomper anything else um no just keep an eye on that let's stay on that topic and keep
[01:54:41.920 --> 01:54:49.280]  these people going in on uh you know when they go to vote that nuclear armageddon oh in michigan
[01:54:49.280 --> 01:54:55.920]  they've got a proposal off that to trick people into voting for term limits uh it doesn't it makes
[01:54:55.920 --> 01:55:02.480]  it so uh in their chambers they can stay in longer so vote no on one all right thank you so much thomper
[01:55:02.480 --> 01:55:09.200]  all right kathryn in massachusetts thanks for holding on i know you're not for the mockish but you and
[01:55:09.200 --> 01:55:15.040]  um silenco changed my life so thank you um i want to ask you a question about is there anybody like
[01:55:15.040 --> 01:55:21.120]  white hat or anybody that you think is fighting for us like you know i know everything that goes
[01:55:21.120 --> 01:55:25.520]  on as far as the bad people and i'm not talking about musk or anybody like that as far as good
[01:55:25.520 --> 01:55:31.200]  people because i don't trust him but universities businesses are full of good people it's the global
[01:55:31.200 --> 01:55:35.600]  asset agendas is the problem but yeah there's more good people than bad people actually out there
[01:55:35.600 --> 01:55:41.600]  they're just isolated we've got to come together i don't mean just americans i mean people in power
[01:55:41.600 --> 01:55:45.600]  like govern in the government is there anybody balsun aros good they're just trying to sell the
[01:55:45.600 --> 01:55:51.680]  election from him um there are the swedish leaders are good the new italian leader looks pretty good
[01:55:51.680 --> 01:55:57.760]  yeah there's a big big movement towards patriotism towards common sense okay well then can you touch
[01:55:57.760 --> 01:56:04.320]  on one of the things um if you don't mind the um when you were talking about offworld um i offworld
[01:56:04.320 --> 01:56:08.480]  entities can you just explain that a little bit more you said there was something in a vortex
[01:56:08.480 --> 01:56:13.840]  a creature and i wasn't sure if you were talking about that being satan or satan's trying to free
[01:56:13.840 --> 01:56:19.280]  that do you remember that when you were talking about that no i do i mean the globalist worship
[01:56:19.920 --> 01:56:24.800]  what they believe are interdimensional and the science shows it's their creatures they're getting
[01:56:24.800 --> 01:56:30.400]  their own not divine but satanic influence from those and they're trying with cern to break that wall
[01:56:30.960 --> 01:56:37.120]  and yeah satan is kind of an art type for what this is and it's obviously got a leader but yeah
[01:56:37.120 --> 01:56:43.520]  i know satan's very real yes okay thanks alec thank you now when i talk about these things it's not
[01:56:43.520 --> 01:56:51.920]  metaphorical that they're we're on a planet in space and we only see one tiny little percentage
[01:56:51.920 --> 01:56:58.320]  of the electromagnetic wavelength and that's only one spectrum so we are basically blind
[01:56:58.880 --> 01:57:04.000]  and all around us are all these other energies all these other systems and the globalists know
[01:57:04.000 --> 01:57:09.520]  that and they're dialed into very twisted very satanic forces like lord rothschild with the
[01:57:09.520 --> 01:57:15.200]  alliser crowley witch they're on screen uh hanging out uh there at the london museum
[01:57:15.200 --> 01:57:23.520]  all right we'll be right back with more calls chris ray carlos pink sweater sky your calls
[01:57:23.520 --> 01:57:28.640]  are all coming up straight ahead the order they are received but what you can promote
[01:57:28.640 --> 01:57:35.440]  is info wars dot com and bandot video have you shared those links today it's a live edition
[01:57:35.440 --> 01:57:42.400]  of the old alex jones show tomorrow doing a big special saturday report then sunday sunday live
[01:57:42.400 --> 01:57:48.720]  live chris in arizona thanks for holding her on the air
[01:57:52.800 --> 01:57:59.120]  about biden's speech and i think that people really in the media in our side of the media
[01:57:59.120 --> 01:58:06.000]  really need to stress that he's talking about preserving democracy which is a word for them
[01:58:06.000 --> 01:58:12.080]  it's preserving the people in power they didn't talk about liberty our freedoms at all he's talking
[01:58:12.080 --> 01:58:19.920]  about preserving their their government and uh people like chris hayes and biden they're talking
[01:58:19.920 --> 01:58:30.480]  about uh a a democratic vote that if the people vote for the wrong people that's gonna kill democracy
[01:58:30.480 --> 01:58:37.760]  just think that's such an ironic blatantly corrupt statement it's totally it's totally
[01:58:37.760 --> 01:58:45.280]  false it's it's exactly it's a total fraud and uh i think people need to really uh the people in
[01:58:45.280 --> 01:58:51.040]  the media in our side of the media really need to stress that i mean they're coming out and telling
[01:58:51.040 --> 01:58:56.720]  us what they're what they're working for and it's not and they're saying we're about to be violent
[01:58:56.720 --> 01:59:02.880]  imminently which sounds like pre-programming for a false flag to me yeah i mean in the general
[01:59:02.880 --> 01:59:08.160]  january sixth thing you know some bad stuff happened there you don't want to defend defend
[01:59:08.160 --> 01:59:14.000]  the people that were going in there and being violent but you know it's really understandable
[01:59:14.000 --> 01:59:19.440]  when you when you allow that stuff for eight months the eight months prior when people see
[01:59:19.440 --> 01:59:24.640]  that's the only thing that burning building shooting random people and then a few dozen people
[01:59:24.640 --> 01:59:28.720]  are violent and they blame millions you're absolutely right thank you so much chris gray
[01:59:28.720 --> 01:59:36.640]  points ray in indiana you're on the air go ahead allow me to uh share my claim to fame
[01:59:37.760 --> 01:59:41.760]  i had an austin access show back in the 90s i actually met you back in the 90s
[01:59:41.760 --> 01:59:47.040]  it uh i had that eighties show on sunday mornings what was the show
[01:59:48.240 --> 01:59:53.120]  it's got the eighties experience it was on sunday mornings well it's good to talk to you brother
[01:59:53.120 --> 02:00:02.160]  okay and uh congratulations of all the success uh yeah i i i was surprised how young you were
[02:00:02.160 --> 02:00:09.760]  when we met i didn't realize how young you were back there's that little kid down this crazy old
[02:00:09.760 --> 02:00:16.800]  guy out there on the db right now but uh yeah you got your message has stayed the same forever
[02:00:16.800 --> 02:00:21.600]  since then so congratulations on all the x's well that's the big takeaway with alex's war
[02:00:21.600 --> 02:00:26.880]  that's been a hit movie we have the dbd is them for our store is that i mean i've been saying the
[02:00:26.880 --> 02:00:30.960]  same story for 28 years because it's the truth we haven't changed anything we're just warning
[02:00:30.960 --> 02:00:37.680]  what's coming and now it's here and then uh and what it's called about paul polosi that intruder
[02:00:37.680 --> 02:00:43.440]  is never going to go to court because paul polosi is on probation right he's on three years probation
[02:00:44.160 --> 02:00:50.240]  he will not want is that guy going to court because then everything's going to come out
[02:00:50.240 --> 02:00:56.320]  we don't know the truth the truth is never going to come out and there's intruders if he if he's
[02:00:57.280 --> 02:01:06.160]  arise in another year he'll be deported and be gone and try to be uh all you know forgotten
[02:01:06.160 --> 02:01:10.480]  about and all that no i totally agree with you brother well good to talk to you and it's good
[02:01:10.480 --> 02:01:15.600]  to talk to you again uh let's talk to carlos in canada the pink sweater and sky carlos thanks
[02:01:15.600 --> 02:01:22.400]  for holding on thank you alex i appreciate your call um listen free speech when you speak about
[02:01:22.400 --> 02:01:28.960]  the first uh um amendment in the united states it's in the constitution but the founding fathers
[02:01:28.960 --> 02:01:36.160]  were very wise because free speech relates to democracy you see there are two sides to free
[02:01:36.160 --> 02:01:42.560]  speech it's not just the right to say oh it's a gray sky or a blue sky no it's the right to be heard
[02:01:42.560 --> 02:01:48.880]  that means that there's somebody that has a right to hear and if i have a right to hear i have a right
[02:01:48.880 --> 02:01:55.840]  to have an informed decision when i go to vote i go to the polls i go to the i read the candidates
[02:01:55.840 --> 02:02:03.360]  what they say but i have the right to hear and it's the right to hear that protects democracy
[02:02:03.360 --> 02:02:09.040]  the fact that somebody goes in the soapbox in london somewhere to speak about anything and is
[02:02:09.040 --> 02:02:15.600]  protected by law okay is the right to be heard but the right to hear is what is being deprived
[02:02:15.600 --> 02:02:21.920]  and it's all about controlling the democratic process i called your program once to tell you
[02:02:21.920 --> 02:02:28.400]  democracy has three components the right to be heard which means the right to hear the right
[02:02:28.400 --> 02:02:34.720]  for an informed decision which is what democracy is about the second thing of course is the one
[02:02:34.720 --> 02:02:40.160]  person one vote if you cannot vote then you cannot have democracy and the third thing is that once
[02:02:40.160 --> 02:02:47.200]  the majority has voted the minority does not have the right to subvert violently or otherwise
[02:02:47.200 --> 02:02:53.600]  that which the majority has decided and that makes democracy the most powerful tool against
[02:02:53.600 --> 02:03:02.480]  the globalists now i have a question that i hope robert barns can answer for me because once i met
[02:03:02.480 --> 02:03:07.760]  with one of the people uh john humphries who wrote the uh... the charter of rights and
[02:03:07.760 --> 02:03:13.920]  freedoms for the united nations with uh... a renaissance and was uh... the gold lawyer
[02:03:13.920 --> 02:03:19.680]  and when they wrote this i asked what about the united nations and all the treaties with america
[02:03:19.680 --> 02:03:26.000]  and the the one thing that was clear was that america can only sign treaties according to the
[02:03:26.000 --> 02:03:32.800]  constitution with individual nations not become glomerates or not that's right exactly they only
[02:03:32.800 --> 02:03:38.400]  claim treaties over the constitution not true well then the united nations is totally out of line
[02:03:38.400 --> 02:03:43.200]  because they shouldn't be telling me that i should eat bugs because they make an association
[02:03:43.200 --> 02:03:50.400]  with the global world global groups or whatever it doesn't matter we have right now a leader in
[02:03:50.400 --> 02:03:57.920]  canada in in in daniel smith who clearly said who are these people we don't have we don't answer to
[02:03:57.920 --> 02:04:01.680]  them in that beautiful he's like who are these globalists something else what to do it's so
[02:04:02.320 --> 02:04:07.680]  simple it's so powerful and so true and once you expose what's some multinational group
[02:04:07.680 --> 02:04:12.000]  putting in politicians and leading us once the public gets that it's game over beautiful points
[02:04:12.000 --> 02:04:19.040]  thank you carlos pink sweater which means bill gates uh calling from the usa you're on the
[02:04:19.040 --> 02:04:27.520]  here go ahead uh hey alex um i i use a moniker pink sweater because it's very obvious what um
[02:04:28.160 --> 02:04:34.560]  the solution would be to a lot of the things i'm going to discuss right now uh and of course
[02:04:34.560 --> 02:04:42.640]  you know that i would never call for any kind of violence because i'm in a pink sweater um but uh
[02:04:42.640 --> 02:04:51.360]  in 2016 you know the left harped very hard about um you know trump colluding with the russians
[02:04:52.160 --> 02:04:57.600]  and you know joy bayhard and and whoopi goldberg are on the view talking about how you know head
[02:04:57.600 --> 02:05:07.120]  crews that anytime that uh a republican wins its election fraud and when a democrat wins it's a
