[00:00:05.875 --> 00:00:10.418]  July 4th!
[01:34:13.393 --> 01:34:14.213]  Why is that?
[01:34:14.213 --> 01:34:15.334]  We should study that!
[01:34:15.334 --> 01:34:16.134]  We should look at that!
[01:34:19.713 --> 01:34:28.858]  I'm going to ask David that question in a moment and expand out what this new phase means, but some days I'm totally calm, some days I'm screaming for an hour.
[01:34:28.858 --> 01:34:31.139]  Not as much as I used to.
[01:34:31.139 --> 01:34:34.521]  But I'm not in my comfort zone with what's going on.
[01:34:34.521 --> 01:34:37.763]  Our government publicly changing the name to Al-Qaeda.
[01:34:37.763 --> 01:34:43.966]  You can hear them in PR boardrooms coming up with this new thing, like Coca-Cola, a new name, ISIS.
[01:34:43.966 --> 01:34:44.987]  That makes it sound really cool.
[01:34:46.527 --> 01:34:50.630]  They're committing all these crimes, and it lets me know what they want to do to me.
[01:34:50.630 --> 01:34:59.837]  Wherever Christians are, not big establishment Christians, but old communities of Christians worldwide, the globalists want to go in and exterminate them.
[01:34:59.837 --> 01:35:02.439]  I want to get David Icke's take on that, because I have the wrong numbers.
[01:35:02.439 --> 01:35:06.282]  The UN even admits that's happening, and I'm getting a lot of other issues with David Icke.
[01:35:08.726 --> 01:35:12.849]  We have some amazing supplements and I didn't even bug anything last hour.
[01:35:12.849 --> 01:35:13.989]  Skip breaks earlier.
[01:35:13.989 --> 01:35:15.891]  This is also how we fund our operation.
[01:35:15.891 --> 01:35:17.992]  So buy your war bonds in the InfoWar.
[01:35:17.992 --> 01:35:19.973]  Get a PrisonPlanet.tv membership.
[01:35:19.973 --> 01:35:21.294]  11 people can use it.
[01:35:21.294 --> 01:35:22.334]  Share it with friends and family.
[01:35:22.334 --> 01:35:23.955]  It's only $5.95 a month.
[01:35:23.955 --> 01:35:27.137]  That helps pay for the bandwidth, the crew, the cameras, the reporters.
[01:35:27.137 --> 01:35:30.860]  You see how we've been expanding thanks to your support and your help.
[01:35:30.860 --> 01:35:32.561]  Get a PrisonPlanet.tv membership.
[01:35:34.019 --> 01:35:38.842]  See all my films in HD, The Nightly News, a lot of other documentaries and so much more.
[01:35:38.842 --> 01:35:40.643]  PrisonPlanet.TV.
[01:35:40.643 --> 01:35:44.505]  We're fighting the prison planet with PrisonPlanet.TV.
[01:35:44.505 --> 01:35:46.206]  I want to thank those of you that are members.
[01:35:46.206 --> 01:35:48.187]  Go to Infowarslife.com.
[01:35:48.187 --> 01:35:52.569]  We're running a detox special with the Fluoride Shield Chelating Detox.
[01:35:52.569 --> 01:35:59.293]  Discounted massively with the new Survival Shield X2 Nacin Iodine, the only deep earth crystal
[01:35:59.893 --> 01:36:01.434]  form that we know of existing.
[01:36:01.434 --> 01:36:02.755]  Believe me, we tried to find it.
[01:36:02.755 --> 01:36:03.716]  It was hard.
[01:36:03.716 --> 01:36:06.918]  And it just has such an amazing effect on me and my family.
[01:36:06.918 --> 01:36:18.227]  You can see videos on the website with Dr. Groot breaking down the effects of this and why they put all the bad halogens in the food and the water that take the iodine out.
[01:36:18.227 --> 01:36:20.168]  And when there is iodine, it's the bound type.
[01:36:20.168 --> 01:36:23.971]  This is the true nascent iodine.
[01:36:23.971 --> 01:36:25.312]  Turns into a purple gas.
[01:36:25.312 --> 01:36:27.333]  We tested other iodines before manufacture.
[01:36:27.333 --> 01:36:27.814]  They don't do that.
[01:36:29.454 --> 01:36:31.516]  This is the real deal, ladies and gentlemen.
[01:36:31.516 --> 01:36:34.458]  Research iodine science and you'll find out what we're talking about.
[01:36:34.458 --> 01:36:39.181]  Infowarslife.com to see the still shots, the videos, and more.
[01:36:39.181 --> 01:36:43.225]  The super detox special's more than 30% off when you get both bottles together.
[01:36:43.225 --> 01:36:44.385]  A lot of other specials.
[01:36:44.385 --> 01:36:46.867]  We're gonna sell out this week of the Lung Cleanse.
[01:36:46.867 --> 01:36:48.609]  It'll be under a month till more of that comes in.
[01:36:48.609 --> 01:36:51.831]  There's a lot of great products at Infowarslife.com.
[01:36:54.861 --> 01:37:05.548]  And then, of course, at InfowarStore.com, hundreds of books and films made in America, pro-liberty apparel to meet like-minded people and to promote freedom and to support the broadcast.
[01:37:05.548 --> 01:37:13.713]  Everything we do has to benefit the Infowar, raising human awareness and consciousness to what's happening.
[01:37:13.713 --> 01:37:16.375]  Support you, be high quality, and support us.
[01:37:17.585 --> 01:37:19.607]  I only believe in win-win-wins.
[01:37:19.607 --> 01:37:21.548]  I only, I'm obsessed with it.
[01:37:21.548 --> 01:37:23.530]  And I notice my whole life I've done that.
[01:37:23.530 --> 01:37:26.152]  That's why I've been successful and I sleep well at night.
[01:37:26.152 --> 01:37:29.515]  But now, I'm more and more become totally obsessed with it.
[01:37:29.515 --> 01:37:31.476]  I mean, it's gotta be a win-win-win-win-win.
[01:37:31.476 --> 01:37:42.145]  And everything at Infowars.com, at PrisonPlanet.com, at InfowarsStore.com, at InfowarsHealth.com, at InfowarsLife.com is a win-win-win-win-win.
[01:37:42.145 --> 01:37:43.286]  That is my philosophy.
[01:37:43.286 --> 01:37:44.146]  With the globalist,
[01:37:45.051 --> 01:37:50.213]  They'll go 100 miles out of their way to make sure you don't get anything from them.
[01:37:50.213 --> 01:38:00.516]  We've all run into people that don't like making you dinner, don't like making you feel good, don't have hospitality.
[01:38:00.516 --> 01:38:05.078]  The type of people that really enjoy thinking they get something, you get nothing.
[01:38:05.819 --> 01:38:13.062]  And that's the New World Order predatory philosophy, and there's a battle for the future of this planet.
[01:38:13.062 --> 01:38:15.102]  DavidIke.com is his website.
[01:38:15.102 --> 01:38:16.403]  We're very honored to have him on with us today.
[01:38:16.403 --> 01:38:23.445]  I'm going to try to give him the floor now and let him break down all the questions I've thrown out about what is this next level the elite are moving into.
[01:38:23.445 --> 01:38:31.148]  In the football game analogy, we are seeing a big awakening, but where does he expect all this to go, David Ike?
[01:38:33.576 --> 01:38:41.757]  Well, it's been a progression, clearly, along a road going way back.
[01:38:41.757 --> 01:38:55.440]  You know, people like George Orwell and Aldous Huxley with 1984 and Brave New World, they weren't coming from their imagination entirely, or even much of it.
[01:38:55.440 --> 01:38:59.260]  They were coming from a point of view of having access to the projected agenda.
[01:38:59.260 --> 01:39:00.081]  And they both said that.
[01:39:00.081 --> 01:39:01.681]  They both said that in public white papers.
[01:39:04.326 --> 01:39:14.451]  In my last couple of books, I quoted a man called Dr. Richard Day, who was a Rockefeller insider.
[01:39:14.451 --> 01:39:18.473]  He was an executive of Planned Parenthood.
[01:39:18.473 --> 01:39:18.773]  In 1969, he
[01:39:22.495 --> 01:39:29.579]  He was addressing a meeting of pediatricians in Pittsburgh, Pennsylvania.
[01:39:29.579 --> 01:39:41.066]  And for some reason, only he knows, he asked people to not take notes and not record anything because he was going to tell them how the world was going to change.
[01:39:41.066 --> 01:39:42.427]  And what he then did was
[01:39:44.531 --> 01:40:03.145]  Tell them what was coming and why and one of the paediatricians did take notes and later did some some interviews before he died explaining what this Richard Day said and what Richard Day described and remember 1969 you know it's it's what 20 years after Orwell um and
[01:40:07.842 --> 01:40:15.344]  He was describing the world we're living in today, or moving more and more in today, in all aspects of society.
[01:40:15.344 --> 01:40:22.746]  This is a plan that is projected forward in great detail.
[01:40:22.746 --> 01:40:30.907]  Therefore, what's coming is what they plan to come, and that will be upping the ante.
[01:40:30.907 --> 01:40:32.708]  It will be increasing the pressure.
[01:40:32.708 --> 01:40:36.969]  It will be moving further along the road in all these different areas, everything from
[01:40:37.999 --> 01:40:44.446]  GMO and food, to additives like that, to the radiation agenda, which is phenomenal.
[01:40:44.446 --> 01:40:48.369]  You mentioned iodine a few minutes ago, Alex.
[01:40:48.369 --> 01:41:00.741]  Millions and millions and millions of times more radiation, technologically generated, than there was 50 years ago, that we're now kind of living in, like this sea of technological radiation.
[01:41:00.741 --> 01:41:02.023]  And given that
[01:41:03.147 --> 01:41:23.765]  We have an electromagnetic field, an electromagnetic level, that is going to impact and does impact upon us and if the electromagnetic level, the electromagnetic field, which some people call the auric field, is disrupted by technological radiation, that plays through into the body as a distortion and a disruption and we call that mental or emotional or physical dis-ease.
[01:41:23.765 --> 01:41:24.885]  So it's
[01:41:25.726 --> 01:41:48.662]  Progressing just as we can we can look back and see how it's progressed but of course there are certain points where it progresses very fast because of events that are orchestrated and of course the best example of that is 9-11 where the agenda moved forward more in the ten years after 9-11 than it had in a lot longer time before that.
[01:41:48.662 --> 01:41:50.203]  When Cheney's talking about
[01:41:51.764 --> 01:41:52.025]  I think?
[01:42:21.644 --> 01:42:24.785]  British politician who's simply an agent of Israel.
[01:42:24.785 --> 01:42:25.405]  That's all he is.
[01:42:25.405 --> 01:42:27.646]  He's an agent of Israel.
[01:42:27.646 --> 01:42:34.108]  And he has come out today and said we need to have more surveillance, etc.
[01:42:34.108 --> 01:42:39.910]  More Big Brother, in effect, to meet the challenge from jihadists coming back to Britain.
[01:42:40.390 --> 01:42:52.798]  So we are facing this fork in the road between the freethinkers and between those that just accept the agenda and download it, you know, bar, bar, bar.
[01:42:52.798 --> 01:43:00.284]  And the number that go that way or that way will decide where we go as a human race, because we've shown
[01:43:01.289 --> 01:43:12.857]  When they wanted to move the Syrian invasion, which is what it is in fact, they wanted to move that along because it was behind the timeline.
[01:43:12.857 --> 01:43:22.984]  People opposing that stopped that bombardment and affected the agenda because, you know, people like you and me and all the others that do this,
[01:43:24.285 --> 01:43:32.490]  The idea is not to be proved right, it's for what the agenda is not to happen.
[01:43:32.490 --> 01:43:37.012]  It's about using that information to head off what's happening.
[01:43:37.012 --> 01:43:42.315]  And so it's not just about, you know, watching your own prison being built.
[01:43:42.315 --> 01:43:44.136]  Oh look, oh yeah, oh they're putting the roof on now.
[01:43:44.136 --> 01:43:44.716]  Look, you see that?
[01:43:44.716 --> 01:43:46.157]  I told you they'd do that, didn't I?
[01:43:46.397 --> 01:43:48.961]  We need to stop the roof going on.
[01:43:48.961 --> 01:43:56.813]  And one of the things that is fundamental to that is that we put down the fault lines of divide and rule.
[01:43:56.813 --> 01:43:57.073]  Because
[01:43:58.217 --> 01:44:02.761]  What's happening in the Muslim world in the Middle East is just classic divide and rule.
[01:44:02.761 --> 01:44:13.769]  We have different factions of politics, we have religions played off against each other, we have scientific belief systems played off against religious belief systems.
[01:44:13.769 --> 01:44:24.978]  We need to put that down and say, hold on a second, there's a common theme here and that's that we're all the target for this unfolding global fascist agenda and therefore, you know,
[01:44:25.758 --> 01:44:45.110]  If we don't come together now and put down our differences and focus on what should unite us all and that's what is going to affect us all and is affecting us all, then when we're in some concentration camp eventually, if we get that far, then we can have a lovely discussion over who's got the best religion and who's got the best politics and who's got the best whatever.
[01:44:45.110 --> 01:44:47.171]  But by then it will be too late.
[01:44:47.171 --> 01:44:51.454]  And what they want, if you're targeting a vast population
[01:44:52.094 --> 01:44:59.337]  And there's comparatively few of you, and my goodness it's so few at the core, in the shadows, in the centre.
[01:44:59.337 --> 01:45:04.799]  Then you have to divide and rule the target population, and we allow it to happen so easily.
[01:45:04.799 --> 01:45:07.440]  I mean, look at the Middle East.
[01:45:07.440 --> 01:45:11.482]  I mean, we have people at war with each other.
[01:45:12.600 --> 01:45:19.686]  Over some arguments, centuries ago, over who should be the natural or the right replacement for Mohammed.
[01:45:19.686 --> 01:45:23.268]  I mean, are we children?
[01:45:23.268 --> 01:45:27.532]  Are we mature adults, or are we children?
[01:45:27.532 --> 01:45:34.277]  And I'm sorry, in some cases, like what's happening in the Middle East, I apologise to children for using that analogy.
[01:45:34.277 --> 01:45:39.040]  But this is happening all over the place, where people are played off against each other.
[01:45:39.040 --> 01:45:41.983]  And while we're divided and ruled, we will be one thing.
[01:45:42.483 --> 01:45:47.124]  David, when I raise this point, it's not for us to talk about how great we are.
[01:45:47.124 --> 01:45:48.685]  More and more I realize
[01:46:02.782 --> 01:46:11.267]  The fact that I've been so successful, you've been so successful, Ron Paul and others have been so successful, because I get the calls, I talk to folks on the street, I even talk to my detractors.
[01:46:11.267 --> 01:46:15.229]  They go, yeah, I don't like you, but you woke me up.
[01:46:15.229 --> 01:46:20.472]  Why have we been so successful at getting people to realize that the Federal Reserve is not federal?
[01:46:20.472 --> 01:46:23.794]  I mean, remember when it was so hard to just get people to realize that
[01:46:24.628 --> 01:46:31.031]  Private banks controlled the Bank of England, that private banks ran the Federal Reserve, that there was a plan for a New World Order.
[01:46:31.031 --> 01:46:38.655]  Now all that's admitted is that there was a plan to put satellite tracker boxes and taxation boxes on all the cars.
[01:46:38.655 --> 01:46:39.215]  Now it's here.
[01:46:40.436 --> 01:46:47.538]  People now are listening to us and realizing they may not agree with our in-game analysis, but this is going on.
[01:46:47.538 --> 01:46:49.858]  But they say, well, what are we going to do anyways?
[01:46:49.858 --> 01:46:53.139]  Well, what are we going to do if the rest of it comes into fruition?
[01:46:53.139 --> 01:46:56.260]  Because we can see the globalists want to turn off the resources.
[01:46:56.260 --> 01:46:58.340]  The globalists want us sick and dead.
[01:46:58.340 --> 01:47:05.882]  The globalists believe they're going to merge with machines and become gods, which is what the elite have been told by the spider at the center, whatever that is.
[01:47:06.682 --> 01:47:19.831]  We're living in a science fiction horror movie, but simultaneously there is the beauty of my children and playing with my dogs and sunsets and friends and honorableness.
[01:47:19.831 --> 01:47:21.452]  There's so much more good in the world.
[01:47:22.393 --> 01:47:25.296]  It's a very delicate balance I'm trying to get at.
[01:47:25.296 --> 01:47:29.200]  Some people ignore the New World Order and say, I'm just going to live a great life, that's how I beat them.
[01:47:29.200 --> 01:47:31.122]  But then you allow their evil to grow.
[01:47:31.122 --> 01:47:39.951]  But if you just focus on their evil and fight it, you become so pessimistic that then they defeat you because you're focused on them.
[01:47:39.951 --> 01:47:41.373]  That's almost like a form of worship.
[01:47:41.833 --> 01:47:44.275]  So where is the balance in that?
[01:47:44.275 --> 01:47:57.286]  Because I feel in my gut, and I intellectually see, we are entering the most incredible time in human development ever, that will decide our fate, not just here, but on a trillion star systems, literally.
[01:47:57.286 --> 01:48:08.514]  This is a great test, and we're about to go into this zone, we've entered the edge of it, the jump point, the flash point, the critical mass point, and I just want to somehow
[01:48:09.355 --> 01:48:23.067]  I just constantly feel like I should be doing better as I enter this key point because it's just so humbling to be at this point and to see the understanding, my understanding, accelerating.
[01:48:23.067 --> 01:48:25.309]  Stuff I won't even get into on air, it's so incredible.
[01:48:25.309 --> 01:48:29.233]  You've talked about it, but I keep a lot of my own views private because they're just too incredible.
[01:48:30.894 --> 01:48:33.777]  I just feel sorry for the people that serve the system now.
[01:48:33.777 --> 01:48:37.381]  I realize they, as you've said, don't even know what's going on.
[01:48:37.381 --> 01:48:39.543]  General Petraeus doesn't even know.
[01:48:39.543 --> 01:48:43.047]  I mean, I'm beginning to understand it's so compartmentalized is what I'm getting at.
[01:48:44.858 --> 01:49:00.675]  Yeah, it's incredibly compartmentalised, and if it was not, it couldn't work, because you have to keep people right up, really close to the spider, really, in ignorance of the full magnitude of what's going on.
[01:49:03.378 --> 01:49:20.068]  If you concentrate only, and I'm not saying people shouldn't, I do this, we need to know this, but if you concentrate only on the level of banking scams and manipulated wars, you're still just walking around the outer rim of the rabbit hole, really.
[01:49:20.068 --> 01:49:23.530]  You've only just started to enter it, it's so deep.
[01:49:23.530 --> 01:49:31.374]  And it's understanding the nature of reality is fundamental to understanding what's actually going on.
[01:49:31.374 --> 01:49:31.855]  And because
[01:49:33.180 --> 01:49:49.384]  The daily experience of people and what they've been taught in the education system and by mainstream science is that, you know, this world that they're living in is real and it's somehow solid, although quantum physics has proved of course that it can't be.
[01:49:49.384 --> 01:49:53.385]  I mean, you talk about atoms making up a solid world.
[01:49:53.385 --> 01:49:54.706]  Atoms have no solidity.
[01:49:54.706 --> 01:49:55.546]  How can they?
[01:49:55.546 --> 01:49:56.966]  It's an illusion.
[01:49:56.966 --> 01:50:02.008]  And once you realize it's illusory, once you realize it's information decoding information, it's like
[01:50:03.175 --> 01:50:10.721]  The wireless internet, and you look around, I've not got the wireless internet here, but if I had, you wouldn't be able to see it.
[01:50:10.721 --> 01:50:20.309]  It's an information field within the unseen to the tiny, tiny frequency range visible light that we can actually see and experience.
[01:50:20.309 --> 01:50:27.075]  It's ridiculous how narrow visible light is, our visual world that we think is... We're basically blind.
[01:50:27.535 --> 01:50:30.477]  Yeah, we are, in that sense.
[01:50:30.477 --> 01:50:48.729]  And so, if you only focus on what you can see and you try to get your sense of reality and what's going on in the world only from that tiny sliver of frequency of information, of happenings, of events, you're never going to do it.
[01:50:48.729 --> 01:50:49.330]  That's right.
[01:50:49.330 --> 01:50:49.730]  Stay there.
[01:50:49.730 --> 01:50:56.414]  Give us your take on how to break people out of the trance straight ahead with David Icke of DavidIcke.com.
[01:50:56.414 --> 01:50:57.215]  I'm Alex Jones.
[01:51:00.077 --> 01:51:03.040]  This hour brought to you by InfidelBodyArmor.com.
[01:51:03.040 --> 01:51:06.824]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:06.824 --> 01:51:10.527]  With prices starting at just $374.99 and ships free.
[01:51:10.527 --> 01:51:13.030]  Get yours at InfidelBodyArmor.com.
[01:51:13.030 --> 01:51:14.191]  Just won't quit.
[01:51:14.898 --> 01:51:17.239]  Hi, Ted Anderson with Midas Resources.
[01:51:17.239 --> 01:51:21.920]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:21.920 --> 01:51:23.681]  Get our 10 Reasons book free.
[01:51:23.681 --> 01:51:24.001]  Call 800-686-2237.
[01:51:24.001 --> 01:51:24.181]  That's 800-686-2237.
[01:51:30.253 --> 01:51:31.053]  This is Dan Pilla.
[01:51:31.053 --> 01:51:32.874]  Do you owe the IRS money you can't pay?
[01:51:32.874 --> 01:51:34.514]  Are tax debts crippling you?
[01:51:34.514 --> 01:51:37.335]  I've defended people from the IRS for over 30 years.
[01:51:37.335 --> 01:51:39.636]  I've helped thousands and I can help you too.
[01:51:39.636 --> 01:51:44.137]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[01:51:44.137 --> 01:51:48.078]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:51:48.078 --> 01:51:51.859]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:51:51.859 --> 01:51:52.299]  Call 800-34-NO-TAX.
[01:51:52.299 --> 01:51:53.920]  That's 800-34-NO-TAX or my website, danpilla.com.
[01:51:59.366 --> 01:52:02.207]  Hi folks, Alex Jones here with some important information.
[01:52:02.207 --> 01:52:07.309]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[01:52:07.309 --> 01:52:15.431]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[01:52:15.431 --> 01:52:19.953]  Deciding to take action, a company run by Patriots for Patriots was born.
[01:52:19.953 --> 01:52:23.774]  MyPatriotSupply has never taken a loan or accepted outside funding.
[01:52:23.934 --> 01:52:29.881]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[01:52:29.881 --> 01:52:33.044]  It is rare to find companies who practice what they preach.
[01:52:33.044 --> 01:52:38.190]  And that's why I stock my pantry with high-quality storable foods from my Patriot Supply.
[01:52:38.831 --> 01:52:46.236]  BuyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[01:52:46.236 --> 01:52:46.576]  That's 866-229-0927.
[01:52:46.576 --> 01:52:49.098]  Do business with someone who shares your values.
[01:52:49.098 --> 01:52:50.239]  BuyPatriotSupply.com slash Alex.
[01:52:59.165 --> 01:53:01.306]  The human body is extraordinary.
[01:53:01.306 --> 01:53:05.487]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[01:53:05.487 --> 01:53:10.788]  Thousands upon thousands of people rely upon hardened body extract to help their body stay balanced.
[01:53:10.788 --> 01:53:19.990]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[01:53:20.490 --> 01:53:28.253]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[01:53:28.253 --> 01:53:34.275]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[01:53:34.275 --> 01:53:37.616]  It's extremely effective and it starts working in just days.
[01:53:37.616 --> 01:53:43.158]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[01:53:43.158 --> 01:53:45.499]  And we've never increased our price in over 10 years.
[01:53:45.899 --> 01:53:50.884]  That makes Heart and Body Extract as great a value now as it was the first day we sold it.
[01:53:50.884 --> 01:53:52.705]  A healthy heart is a happy heart.
[01:53:52.705 --> 01:53:53.886]  Call 866-295-5305 or go to HBextract.com.
[01:54:00.220 --> 01:54:03.762]  I have the headline right here, out of National Review.
[01:54:03.762 --> 01:54:06.204]  This is what an open border looks like.
[01:54:25.814 --> 01:54:28.195]  And you can just walk back and forth however you want.
[01:54:28.195 --> 01:54:29.335]  It's totally wide open.
[01:54:29.335 --> 01:54:30.475]  They've ordered to stand down.
[01:54:30.475 --> 01:54:32.456]  We've documented that.
[01:54:32.456 --> 01:54:40.658]  Meanwhile, they now have the Army and National Guard and State Guard at public events all over Texas, at marathons, at kite festivals.
[01:54:40.658 --> 01:54:45.799]  You show up and the Army... Now remember, you pull up in a green field.
[01:54:45.799 --> 01:54:49.319]  There isn't even an entrance at Zilker Park.
[01:54:49.319 --> 01:54:51.440]  But they're there just searching people.
[01:54:52.363 --> 01:54:55.669]  And again, I'm not against the troops from Camp Mabry.
[01:54:55.669 --> 01:54:57.772]  The media will say, he's against troops.
[01:54:57.772 --> 01:55:00.056]  That's the mind control.
[01:55:00.056 --> 01:55:03.342]  A suicide bomber would just go bomb the checkpoint.
[01:55:03.342 --> 01:55:04.844]  That just happened in Pakistan last week.
[01:55:06.069 --> 01:55:12.353]  But the whole issue is, is that the government's running and financing them with the airlift of evil, everything David was talking about.
[01:55:12.353 --> 01:55:25.441]  He's graciously said he'll stay with us 20 minutes into the next hour to get deeper into the rabbit hole, to talk about solutions, to talk about all the pedophile scandals that he first talked about, that he said BBC is basically run by pedophiles, he worked there, now it just keeps coming out.
[01:55:26.181 --> 01:55:32.183]  There's so many movies like Under the Skin that parallel what David Icke says is at the center of the spider web.
[01:55:32.183 --> 01:55:36.264]  And he hasn't seen it yet, but he said, oh, I want to talk about this.
[01:55:36.264 --> 01:55:38.985]  So David, in this segment we've got left is five minutes.
[01:55:38.985 --> 01:55:52.729]  Talk about why, whether it's the X-Men or the Superman or all these movies now are like from our perspective admitting that there's false flag, Captain America, Winter Soldier.
[01:55:52.729 --> 01:55:53.789]  Why are they doing this?
[01:55:55.376 --> 01:56:12.632]  Well, in the nature of reality and the way we interact with reality and the way that thought manifests as what we experience, I have this phrase, what we believe we perceive and what we perceive we experience.
[01:56:14.088 --> 01:56:21.574]  What we, if you can program someone to believe something, then that will become their reality.
[01:56:21.574 --> 01:56:27.899]  And if you can get people to take it on collectively, that will become the collective reality.
[01:56:27.899 --> 01:56:30.381]  It's very much like the stage hypnotist.
[01:56:30.981 --> 01:56:32.002]  We're good.
[01:56:51.355 --> 01:57:16.042]  Manifest as their experienced reality and you know I've been watching this for years now Alex you know way way back and it's it's it's virtually a tidal wave in filming terms of movies that are portraying one after the other the world that they want to create the the the world that the
[01:57:17.482 --> 01:57:21.603]  The New World Order, as it's been called, is ultimately leading to.
[01:57:21.603 --> 01:57:28.285]  And what it's doing, it's downloading that, on one level, that belief.
[01:57:28.285 --> 01:57:30.706]  It's putting it in the subconscious.
[01:57:30.706 --> 01:57:35.468]  And that makes it much more likely to collectively manifest, because
[01:57:36.568 --> 01:57:41.470]  Of what I'm talking about, what you believe you perceive, what you perceive you experience.
[01:57:41.470 --> 01:57:55.577]  And if we take on this subconscious belief, it doesn't have to be conscious, in this unfolding Orwellian state, then we will collectively manifest that while thinking it's happening externally.
[01:57:55.577 --> 01:58:00.039]  And another level of it is it's making it familiar to us.
[01:58:00.039 --> 01:58:05.362]  It's making it, if you like, as it literally comes in, they're making it less
[01:58:06.082 --> 01:58:26.815]  I'm telling you what is happening in terms of, you know, all this transhumanism stuff, is that preparation is happening through things like Google Glass, where you are interacting with the internet through glasses.
[01:58:26.815 --> 01:58:28.796]  Glasses, that's part of you.
[01:58:28.796 --> 01:58:31.337]  These things that people go around in their ears.
[01:58:31.337 --> 01:58:32.398]  Getting you ready for the brain
[01:58:32.498 --> 01:58:37.181]  Stay there back in 70 seconds with David Icke and what comes next.
[01:58:37.181 --> 01:58:42.584]  Stay with us.
[01:58:42.584 --> 01:58:46.566]  This is GCN, the Genesis Communications Radio Network.
[01:58:49.881 --> 01:58:57.046]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:58:57.046 --> 01:58:59.388]  But it's not just the air outside that's toxic.
[01:58:59.388 --> 01:59:04.671]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:59:04.671 --> 01:59:09.655]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:59:09.835 --> 01:59:13.158]  There are more than 42 million smokers in the United States.
[01:59:13.158 --> 01:59:17.242]  Well over a thousand types of mold and mildew linked to numerous conditions.
[01:59:17.242 --> 01:59:21.565]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[01:59:21.565 --> 01:59:31.794]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:59:31.794 --> 01:59:35.998]  Made with organic and wild cultivated herbs and manufactured in the USA.
[01:59:36.178 --> 01:59:42.700]  The new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:59:42.700 --> 01:59:48.361]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[01:59:48.361 --> 01:59:55.283]  Waging war on corruption.
[01:59:55.283 --> 01:59:58.044]  Alex Jones on the GCM Radio Network.
[02:00:06.175 --> 02:00:07.476]  Big Brother.
[02:00:07.476 --> 02:00:09.237]  Mainstream media.
[02:00:09.237 --> 02:00:10.998]  Government cover-ups.
[02:00:10.998 --> 02:00:12.579]  You want answers?
[02:00:12.579 --> 02:00:14.140]  Well, so does he.
[02:00:14.140 --> 02:00:18.323]  He's Alex Jones on the GCN Radio Network.
[02:00:18.323 --> 02:00:23.407]  And now, live from Austin, Texas, Alex Jones.
[02:00:23.407 --> 02:00:24.707]  This is a five-minute segment.
[02:00:24.707 --> 02:00:26.609]  We'll have a 12-minute segment with David Icke.
[02:00:26.609 --> 02:00:29.491]  Then our reporters from the border with breaking news.
[02:00:29.491 --> 02:00:31.792]  Live video, audio feeds coming up.
[02:00:31.792 --> 02:00:33.473]  David, you got cut off by the break.
[02:00:33.473 --> 02:00:34.074]  Continue.
[02:00:35.626 --> 02:00:41.392]  Getting into how this programming works, which you can read mainline psychology books, they admit, but the public isn't aware of it.
[02:00:41.392 --> 02:00:54.987]  Then I'm going to come back from break and talk about all the latest scandals, your new book, and what their world will look like if they get what they want, versus the fairy tale happy transhumanism they're selling.
[02:00:57.559 --> 02:01:10.151]  The transhumanism agenda is absolutely fundamental because they want to introduce technology to the human body because what we are, what we are is consciousness.
[02:01:10.151 --> 02:01:11.152]  That's our true state.
[02:01:13.553 --> 02:01:18.015]  Not form, that's just an experience of various kinds.
[02:01:18.015 --> 02:01:19.596]  We are consciousness.
[02:01:19.596 --> 02:01:37.624]  When people have near-death experiences and they leave the body and they can still see and suddenly they can understand realities and perceive realities over multiple realities at the same time, so many endless people have had near-death experiences, I've told this same story.
[02:01:37.624 --> 02:01:39.865]  And when you come back in the body, if you like,
[02:01:40.385 --> 02:01:48.112]  What the body does is it locks you into this tiny frequency band called visible light.
[02:01:48.112 --> 02:02:01.543]  So when you leave the body, you leave that limitation that the body concentrates our reality, our attention, into this narrow band of frequencies.
