[00:00.000 --> 00:26.000]  Infowars, the most banned network in the world.
[2:11:45.000 --> 2:11:51.000]  One of the things we've seen across the entire portrayal of the pandemic
[2:11:51.000 --> 2:11:57.000]  is a woeful blindness to treatment of acutely ill patients with this infection.
[2:11:57.000 --> 2:11:59.000]  It's not in the business plan.
[2:11:59.000 --> 2:12:02.000]  I mean, treatment is not part of the opportunity.
[2:12:02.000 --> 2:12:05.000]  So, Alex, your listeners can look at it themselves.
[2:12:05.000 --> 2:12:12.000]  It's CEPI, the Preliminary Business Plan 2017.
[2:12:12.000 --> 2:12:14.000]  Google it, it's right there, they can read it themselves.
[2:12:14.000 --> 2:12:17.000]  Absolutely, we've covered it, but it's important to bring it back up
[2:12:17.000 --> 2:12:21.000]  because you're the famous criminologist, you know, historian best-selling author, True Crime.
[2:12:21.000 --> 2:12:25.000]  I just as a layperson looking at it, when it's all organized, it's all centralized,
[2:12:25.000 --> 2:12:29.000]  they stand again, their fingerprints are all over making it, controlling it,
[2:12:29.000 --> 2:12:34.000]  blocking therapeutics, silencing anybody that speaks up about it, or tries to help people.
[2:12:34.000 --> 2:12:37.000]  I mean, there's the open public conspiracy right there,
[2:12:37.000 --> 2:12:40.000]  and everything they said five years ago and three years ago and two years ago,
[2:12:40.000 --> 2:12:42.000]  they're following exactly as a blueprint.
[2:12:42.000 --> 2:12:45.000]  I mean, this is horrifying.
[2:12:45.000 --> 2:12:54.000]  So, in March, on March the 16th, 2020, the NIAID, Anthony Fauci's outfit at the NIH,
[2:12:54.000 --> 2:13:04.000]  they published a press release saying Moderna and the NIAID has a new messenger RNA vaccine in development.
[2:13:04.000 --> 2:13:09.000]  We've just started our human trials, and you get about halfway down the press release,
[2:13:09.000 --> 2:13:14.000]  and it says, you know, manufactured courtesy of CEPI.
[2:13:14.000 --> 2:13:18.000]  So, the business plan was activated immediately.
[2:13:18.000 --> 2:13:22.000]  It's like, here it is, we knew it was coming, we predicted it was coming, it's upon us,
[2:13:22.000 --> 2:13:25.000]  the opportunity the game is on, let's go for it.
[2:13:25.000 --> 2:13:30.000]  And again, they're building the business plan years before describing exactly what would unfold.
[2:13:30.000 --> 2:13:31.000]  That's pretty open and shut.
[2:13:31.000 --> 2:13:36.000]  I mean, if I call the fire department and said, I think this house is going to burn down tomorrow,
[2:13:36.000 --> 2:13:40.000]  and then it did, I'd be the chief suspect from the fire inspector and the police.
[2:13:40.000 --> 2:13:45.000]  Well, here they are predicting everything, and other than, again, with mouse pox or monkey pox,
[2:13:45.000 --> 2:13:46.000]  it just seems pretty ridiculous.
[2:13:46.000 --> 2:13:49.000]  So, I'm glad that you used the fire metaphor.
[2:13:49.000 --> 2:13:51.000]  We have a chapter in our book.
[2:13:51.000 --> 2:13:59.000]  It's taking a leaf from the play in 1953 play called Biedermann and the Arsonist,
[2:13:59.000 --> 2:14:03.000]  and it's about just this, that there's an arsonist who's a foot in this town,
[2:14:03.000 --> 2:14:07.000]  he's burning everything down, but it's so obvious, he's out in the open.
[2:14:07.000 --> 2:14:12.000]  He looks very, they're two of them, they look very normal, they're sort of charming,
[2:14:12.000 --> 2:14:13.000]  they're sort of funny.
[2:14:13.000 --> 2:14:19.000]  So, even though everyone knows that there are arsonists foot, they still manage to do this.
[2:14:19.000 --> 2:14:23.000]  And there's some psychology that seems to affect all of us.
[2:14:23.000 --> 2:14:29.000]  If it's out in the open, it's like people don't see it, it's hiding in plain sight.
[2:14:29.000 --> 2:14:34.000]  I think people maybe assume that an elaborate conspiracy is clandestine.
[2:14:34.000 --> 2:14:38.000]  The most dangerous ones are hiding in plain view, and that's why they do it.
[2:14:38.000 --> 2:14:39.000]  That's it.
[2:14:39.000 --> 2:14:45.000]  So, that's the behavioral psychology, which we know they had Yale and Harvard and Princeton
[2:14:45.000 --> 2:14:49.000]  and a bunch of other psychology departments test before COVID and after how to make the
[2:14:49.000 --> 2:14:52.000]  public shut up, how to make them stay in place, how to make them take shots.
[2:14:52.000 --> 2:14:53.000]  So, this has all been war game.
[2:14:53.000 --> 2:15:02.000]  And how to harness, manipulate and use social media to drive this campaign of mass vaccination
[2:15:02.000 --> 2:15:06.000]  with no attention to safety or efficacy.
[2:15:06.000 --> 2:15:08.000]  We're going to break, what are we going to cover when we come back?
[2:15:08.000 --> 2:15:10.000]  Because that was already riveting information.
[2:15:10.000 --> 2:15:17.000]  Propaganda, I think the public needs to understand just how much the public mind is being shaped
[2:15:17.000 --> 2:15:20.000]  by propaganda, I think.
[2:15:20.000 --> 2:15:25.000]  I totally agree because what you said earlier is so profound that when they hide it in plain
[2:15:25.000 --> 2:15:27.000]  view, we kind of buy into it because it couldn't be real.
[2:15:27.000 --> 2:15:28.000]  It doesn't look scary.
[2:15:28.000 --> 2:15:30.000]  It's a smiling guy, you know, on TV.
[2:15:30.000 --> 2:15:34.000]  But when you pull back, people are caught in it only by becoming aware of that.
[2:15:34.000 --> 2:15:35.000]  Can you shift out of it?
[2:15:35.000 --> 2:15:36.000]  Correct.
[2:15:36.000 --> 2:15:37.000]  Correct.
[2:15:37.000 --> 2:15:38.000]  Wow.
[2:15:38.000 --> 2:15:41.000]  Okay, we're going to break the courage to face COVID.
[2:15:41.000 --> 2:15:43.000]  The website's courage to face COVID.com.
[2:15:43.000 --> 2:15:45.000]  Get the book now, folks.
[2:15:45.000 --> 2:15:46.000]  They're not advertising me.
[2:15:46.000 --> 2:15:47.000]  I want to get this book out.
[2:15:47.000 --> 2:15:48.000]  I'm going to buy a bunch of the book.
[2:15:48.000 --> 2:15:50.000]  I'm going to buy like 10,000 of them today.
[2:15:50.000 --> 2:15:51.000]  But everybody needs to get this book.
[2:15:51.000 --> 2:15:52.000]  We'll be right back.
[2:15:52.000 --> 2:15:53.000]  Stay with us.
[2:15:53.000 --> 2:16:00.000]  I want to thank all of you over the years who have supported InfoWars financially with
[2:16:00.000 --> 2:16:02.000]  word of mouth and prayer.
[2:16:02.000 --> 2:16:06.000]  All the success that we've had together against the globalists and the fact that we're not
[2:16:06.000 --> 2:16:10.000]  caught flat-footed during their major takeover is because of you.
[2:16:10.000 --> 2:16:12.000]  Humanity has a real fighting chance.
[2:16:12.000 --> 2:16:18.000]  That's what I want to thank you all for buying products like books and supplements and water
[2:16:18.000 --> 2:16:20.000]  filtration, air filtration, so much more.
[2:16:20.000 --> 2:16:23.000]  But for those of you that want to actually give us a straight donation so we get almost
[2:16:23.000 --> 2:16:29.000]  100% of the money to fund our operation during this critical time, go to infowarstore.com
[2:16:29.000 --> 2:16:34.000]  and right at the top, you'll see a link to make a straight donation, a one-time donation
[2:16:34.000 --> 2:16:39.000]  of $5, $10, $50, or a recurring donation you can cancel anytime.
[2:16:39.000 --> 2:16:42.000]  I want to thank all of you that have donated, I want to encourage those of you out there
[2:16:42.000 --> 2:16:47.000]  that want to support freedom to take action now and be part of the global awakening, the
[2:16:47.000 --> 2:16:52.000]  new renaissance that's countering the great reset by going to infowarstore.com and clicking
[2:16:52.000 --> 2:16:54.000]  on the donate button and giving today.
[2:16:54.000 --> 2:16:55.000]  Thank you so much for your support.
[2:16:55.000 --> 2:17:10.000]  Please take action.
[2:17:25.000 --> 2:17:51.000]  Thank you.
[2:17:51.000 --> 2:18:17.000]  Thank you.
[2:18:17.000 --> 2:18:43.000]  Thank you.
[2:18:43.000 --> 2:19:10.000]  Thank you.
[2:19:10.000 --> 2:19:37.000]  Thank you.
[2:19:37.000 --> 2:20:06.000]  Thank you.
[2:20:08.000 --> 2:20:13.000]  Waging war on corruption.
[2:20:13.000 --> 2:20:22.000]  It's Alex Jones coming to you live from the front lines of the infowar.
[2:20:22.000 --> 2:20:28.000]  You had two vaccinations and then two booster shots, is that right?
[2:20:28.000 --> 2:20:29.000]  That's right.
[2:20:29.000 --> 2:20:37.000]  And for people over 50 or 60, they'll probably have to be boosted every six months until
[2:20:37.000 --> 2:20:39.000]  we get even better vaccines.
[2:20:39.000 --> 2:20:41.000]  So, I've been trying to figure this out for myself.
[2:20:41.000 --> 2:20:47.000]  I assume you know the answer to this, so I'll just ask you, when do you get boosted again?
[2:20:47.000 --> 2:20:50.000]  Now that you've had it, I've had it around the same time.
[2:20:50.000 --> 2:20:54.000]  I've only gotten three shots total, only been boosted once.
[2:20:54.000 --> 2:21:00.000]  I guess we have immunity for a little while, but when do you decide to get boosted again?
[2:21:00.000 --> 2:21:08.000]  Yeah, so an infection where you'll get a high viral load would be like vaccination.
[2:21:08.000 --> 2:21:12.000]  But you know, to be safe every six months, you're probably going to be vaccinated.
[2:21:12.000 --> 2:21:17.000]  As we get more data, they might even make that shorter for people who are, you know,
[2:21:17.000 --> 2:21:24.000]  say 60 or over 70, where the duration seems to be a bit lower.
[2:21:24.000 --> 2:21:29.000]  So we're in for ongoing vaccination to stay absolutely safe.
[2:21:29.000 --> 2:21:31.000]  So one shot will make you absolutely safe.
[2:21:31.000 --> 2:21:33.000]  Two years ago now, we just got to keep doing it.
[2:21:33.000 --> 2:21:34.000]  He sells it to you.
[2:21:34.000 --> 2:21:35.000]  He's such a philanthropist.
[2:21:35.000 --> 2:21:39.000]  You brought that clip up and the crew was able to grab it during the break, Dr. McCullough.
[2:21:39.000 --> 2:21:42.000]  The vaccines have completely failed.
[2:21:42.000 --> 2:21:47.000]  Natural immunity is infinitely more powerful and protective than vaccine immunity.
[2:21:47.000 --> 2:21:49.000]  Gates is not a doctor.
[2:21:49.000 --> 2:21:50.000]  He's wrong.
[2:21:50.000 --> 2:21:54.000]  He's pushing every six months vaccinations forever.
[2:21:54.000 --> 2:21:57.000]  And John Leak, during the break, you had a great way of putting it.
[2:21:57.000 --> 2:22:03.000]  Yeah, Cooper and Gates are acting out Einstein's definition of insanity.
[2:22:03.000 --> 2:22:09.000]  Continue to do the same thing that doesn't work while expecting a different result.
[2:22:09.000 --> 2:22:12.000]  How did they think they could do this and get away with it?
[2:22:12.000 --> 2:22:13.000]  Because the studies were there.
[2:22:13.000 --> 2:22:17.000]  You were talking about two years ago that they would stop working, that it wouldn't work,
[2:22:17.000 --> 2:22:20.000]  that if you gave people these shots, it would make the viruses mutate worse.
[2:22:20.000 --> 2:22:22.000]  And that's exactly what's happened.
[2:22:22.000 --> 2:22:25.000]  They've both, Anderson's had three shots.
[2:22:25.000 --> 2:22:27.000]  Gates has had four shots.
[2:22:27.000 --> 2:22:30.000]  They've just had SARS-CoV-2 COVID-19 infection.
[2:22:30.000 --> 2:22:35.000]  The idea that they're going to continue to load their body with messenger RNA
[2:22:35.000 --> 2:22:41.000]  continued deposition of spike protein, they are basically leading themselves
[2:22:41.000 --> 2:22:43.000]  into chronic disease and misery.
[2:22:43.000 --> 2:22:46.000]  Well, I was just going to say that assumes they're being sincere.
[2:22:46.000 --> 2:22:50.000]  I mean, the point is that these guys committed to this.
[2:22:50.000 --> 2:22:53.000]  I mean, I like military history.
[2:22:53.000 --> 2:22:58.000]  I think there's an analog here with, for example, the First World War.
[2:22:58.000 --> 2:23:01.000]  After the Franco-Prussian War, there was this prediction,
[2:23:01.000 --> 2:23:05.000]  it's going to come to blows between Germany and France again, it's just a matter of when.
[2:23:05.000 --> 2:23:07.000]  It's probably going to happen in Belgium.
[2:23:07.000 --> 2:23:12.000]  The railroad guys, the finance guys, the weapons manufacturing,
[2:23:12.000 --> 2:23:17.000]  the bond guys that were going to do the financing, they all agreed this is going to happen.
[2:23:17.000 --> 2:23:19.000]  It's just a matter of when.
[2:23:19.000 --> 2:23:23.000]  And then the Archduke Franz Ferdinand is assassinated in Sarajevo.
[2:23:23.000 --> 2:23:25.000]  That sets the train out of the station.
[2:23:25.000 --> 2:23:30.000]  And once the train has left the station and gained a big head of steam,
[2:23:30.000 --> 2:23:33.000]  they're not going to then throw on the brakes and say, you know,
[2:23:33.000 --> 2:23:35.000]  something, this was a bad idea.
[2:23:35.000 --> 2:23:39.000]  It's like a massive thing that these people have committed to.
[2:23:39.000 --> 2:23:42.000]  They've got their own mass psychosis.
[2:23:42.000 --> 2:23:47.000]  Well, I mean, how do you then say, you know, we spent a gazillion dollars
[2:23:47.000 --> 2:23:51.000]  we've been planning on this, we've been talking about how effective this is going to be.
[2:23:51.000 --> 2:23:52.000]  We're going to be the same years.
[2:23:52.000 --> 2:23:53.000]  Right.
[2:23:53.000 --> 2:23:56.000]  And then to say, oh, you know, something, it didn't work so well.
[2:23:56.000 --> 2:23:59.000]  I don't think there will ever be an admission of that.
[2:23:59.000 --> 2:24:03.000]  And on the contrary, they're going to keep saying, let's just keep doing it.
[2:24:03.000 --> 2:24:05.000]  It's like the vaccines.
[2:24:05.000 --> 2:24:07.000]  You take two and then you get a triple.
[2:24:07.000 --> 2:24:09.000]  So you're tripled down quadrupled down.
[2:24:09.000 --> 2:24:14.000]  It's going to keep going just like doubling down and tripling down on an opinion.
[2:24:14.000 --> 2:24:19.000]  Once people dig themselves in and they're wrong, they rarely,
[2:24:19.000 --> 2:24:21.000]  rarely capitulate and say.
[2:24:21.000 --> 2:24:24.000]  And that's what they were betting on with the public is now we see, oh,
[2:24:24.000 --> 2:24:26.000]  the unvaccinated, you're the reason we're sick.
[2:24:26.000 --> 2:24:29.000]  Well, with a real inoculation, if you have it, you're protected.
[2:24:29.000 --> 2:24:31.000]  It doesn't matter what I do.
[2:24:31.000 --> 2:24:32.000]  It's true.
[2:24:32.000 --> 2:24:37.000]  You know, health security in Scotland in the UK show the unvaccinated have the
[2:24:37.000 --> 2:24:41.000]  greatest freedom from serious COVID-19 outcomes largely because they've already
[2:24:41.000 --> 2:24:43.000]  had the respiratory illness.
[2:24:43.000 --> 2:24:47.000]  It's those who are vaccinated who end up in the hospital or worse.
[2:24:47.000 --> 2:24:51.000]  By the way, these, these images that you're showing of people sort of,
[2:24:51.000 --> 2:24:55.000]  you know, celebrating their, their injections, it's very,
[2:24:55.000 --> 2:25:02.000]  it's very reminds me very much of documentaries you see of Mao's cultural
[2:25:02.000 --> 2:25:04.000]  revolution in China.
[2:25:04.000 --> 2:25:05.000]  Get on.
[2:25:05.000 --> 2:25:13.000]  There's this kind of crazy neurotic lunacy that is then being celebrated in a mass,
[2:25:13.000 --> 2:25:15.000]  almost quasi-religious way.
[2:25:15.000 --> 2:25:16.000]  That's what I was going to say.
[2:25:16.000 --> 2:25:17.000]  It's a cult.
[2:25:17.000 --> 2:25:18.000]  Yeah.
[2:25:18.000 --> 2:25:19.000]  The cultural revolution.
[2:25:19.000 --> 2:25:23.000]  And then, you know, what's fascinating about the cultural revolution is we now
[2:25:23.000 --> 2:25:28.000]  have documents of people who participate in it in a very fervent way,
[2:25:28.000 --> 2:25:34.000]  who then kind of snapped out of the trance and have now come forward with,
[2:25:34.000 --> 2:25:36.000]  with the testimonial.
[2:25:36.000 --> 2:25:39.000]  I don't understand why I participated in it.
[2:25:39.000 --> 2:25:43.000]  And then there's those like Xi Xi Ping who helped round up his own family and
[2:25:43.000 --> 2:25:46.000]  let them kill his sister and help publicly shame his father.
[2:25:46.000 --> 2:25:52.000]  And he just went ahead and adapted by becoming the predator himself.
[2:25:52.000 --> 2:25:53.000]  Yeah.
[2:25:53.000 --> 2:25:58.000]  If, if you, if you could, well, precisely, well, well put.
[2:25:58.000 --> 2:25:59.000]  Yeah.
[2:25:59.000 --> 2:26:01.000]  So how do we counter this?
[2:26:01.000 --> 2:26:06.000]  I mean, I think it starts with being aware that you're swimming in this sea of
[2:26:06.000 --> 2:26:07.000]  propaganda.
[2:26:07.000 --> 2:26:12.000]  I mean, that, you know, this may seem like normalcy because of the messaging has
[2:26:12.000 --> 2:26:13.000]  been so relentless.
[2:26:13.000 --> 2:26:19.000]  But once you realize a normal is being created when you turn on the television,
[2:26:19.000 --> 2:26:26.000]  quit, quit accepting that that television is an accurate representation of reality.
[2:26:26.000 --> 2:26:30.000]  You need to start, you need to start listening to Alex Jones.
[2:26:30.000 --> 2:26:33.000]  And I mean, all I say is they should question everything we're saying.
[2:26:33.000 --> 2:26:35.000]  We try to give articles and documents.
[2:26:35.000 --> 2:26:36.000]  I make mistakes.
[2:26:36.000 --> 2:26:38.000]  I'm not perfect, but I'm not trying to lie.
[2:26:38.000 --> 2:26:40.000]  But what is the corporate meeting going to do?
[2:26:40.000 --> 2:26:44.000]  Because the polls show all time, no support, Biden, all time, no support,
[2:26:44.000 --> 2:26:48.000]  all time, low support for just vaccines in general, even real ones that work.
[2:26:48.000 --> 2:26:51.000]  This is discrediting the entire medical system.
[2:26:51.000 --> 2:26:55.000]  I remember a year and a half ago, the British Ministry of Health warned,
[2:26:55.000 --> 2:26:59.000]  if this hurts people, this is going to set back vaccines a hundred years.
[2:26:59.000 --> 2:27:01.000]  No one's going to believe us.
[2:27:01.000 --> 2:27:04.000]  Well, what they've done is really discredit themselves in my view.
[2:27:04.000 --> 2:27:05.000]  It certainly is true.
[2:27:05.000 --> 2:27:09.000]  And one of the things that we've done, we've presented so much information, Alex,
[2:27:09.000 --> 2:27:11.000]  you and I together in so many different ways.
[2:27:11.000 --> 2:27:16.000]  One of the things we've done that's unique in this book is that we've told a story.
[2:27:16.000 --> 2:27:20.000]  We've actually told it in a narrative format where there's a beginning,
[2:27:20.000 --> 2:27:22.000]  there's a middle, and the end.
[2:27:22.000 --> 2:27:27.000]  And as John will tell you, that's how the human mind understands complex realities.
[2:27:27.000 --> 2:27:33.000]  Yeah, well, I think we're accustomed to seeing figures of public authority,
[2:27:33.000 --> 2:27:39.000]  and they're sort of talking in these somber academic tones about the data.
[2:27:39.000 --> 2:27:44.000]  What our book shows, I think when I ask readers for their feedback,
[2:27:44.000 --> 2:27:50.000]  they really like the chapters about ordinary guys and their families who get sick.
[2:27:50.000 --> 2:27:55.000]  And some of the stories we tell are the success stories.
[2:27:55.000 --> 2:28:00.000]  They found doctors like McCullough and his colleagues who were very proactive in treating.
[2:28:00.000 --> 2:28:04.000]  And a lot of these people were really pulled back from a terrible emergency.
[2:28:04.000 --> 2:28:11.000]  Then I tell the other side, the tragic side, where in spite of the desperate pleadings
[2:28:11.000 --> 2:28:16.000]  of their family members, treatment is denied to the end.
[2:28:16.000 --> 2:28:18.000]  And this isn't fiction. This really happened.
[2:28:18.000 --> 2:28:20.000]  It really happened.
[2:28:20.000 --> 2:28:25.000]  And what a lot of people, including attorneys with whom I've spoken,
[2:28:25.000 --> 2:28:29.000]  advocates for families, is that even seasoned attorneys,
[2:28:29.000 --> 2:28:37.000]  there is a lady named Beth Parlato who was a criminal court judge in New York State.
[2:28:37.000 --> 2:28:42.000]  She said, you know, as a matter of fact and law, it's impenetrable to me
[2:28:42.000 --> 2:28:47.000]  that some of these treatment modalities that seem to work,
[2:28:47.000 --> 2:28:50.000]  that the hospitals have fought tooth and nail.
[2:28:50.000 --> 2:28:57.000]  Finish that story when we come back. The break's stuck up on us. Stay there.
[2:28:57.000 --> 2:29:01.000]  Ladies and gentlemen, there are a lot of natural compounds out there
[2:29:01.000 --> 2:29:06.000]  that turbocharge and boost our stamina, our energy, our libido
[2:29:06.000 --> 2:29:08.000]  are also amazing pre or post workouts.
[2:29:08.000 --> 2:29:11.000]  And we went out and looked at the top brands, the top reviews,
[2:29:11.000 --> 2:29:13.000]  and came out with alpha power.
[2:29:13.000 --> 2:29:17.000]  Now, it's so hard to source good, clean herbs like we have in this
[2:29:17.000 --> 2:29:20.000]  that it's been sold out for more than six months,
[2:29:20.000 --> 2:29:25.000]  but now alpha power is back in stock at infowarstore.com at 40% off.
[2:29:25.000 --> 2:29:30.000]  Go to infowarstore.com and read about these compounds and ingredients for yourself
[2:29:30.000 --> 2:29:31.000]  and then try it for yourself.
[2:29:31.000 --> 2:29:36.000]  Now, the formula is made for men, but it does amazing things for women as well.
[2:29:36.000 --> 2:29:41.000]  Find out what just one of the ingredients does, LJ100, and then go on from there.
[2:29:41.000 --> 2:29:47.000]  Alpha power, exclusively available right now, 40% off at infowarstore.com
[2:29:47.000 --> 2:29:50.000]  and it funds the info war. You are really missing out.
[2:29:50.000 --> 2:29:54.000]  If you don't experience what alpha power does, it has improved my life
[2:29:54.000 --> 2:29:57.000]  and so many others, just incredible levels.
[2:29:57.000 --> 2:30:02.000]  You see this? It's an info wars republic defense card with original info wars art
[2:30:02.000 --> 2:30:06.000]  designed by yours truly with a little gold bar implanted in it
[2:30:06.000 --> 2:30:08.000]  and on the back it's got a hologram.
[2:30:08.000 --> 2:30:13.000]  There are only 25,000 of these in existence and they'll never be made again.
[2:30:13.000 --> 2:30:17.000]  The bank that owns the mint that has started putting these out the last few years
[2:30:17.000 --> 2:30:23.000]  just sold out of 300,000 of a similar offering that was 40% more than what we're selling these for.
[2:30:23.000 --> 2:30:28.000]  And when you get three or more, you can get these at 50% off and they fund the info war.
[2:30:28.000 --> 2:30:33.000]  Please visit infowarstore.com and check out this amazing new art slash gold product.
[2:30:33.000 --> 2:30:37.000]  It's a collector's item and you'll know you helped fund the Second American Revolution
[2:30:37.000 --> 2:30:39.000]  against the globalist at such a critical point.
[2:30:39.000 --> 2:30:43.000]  Get your gold bars and so much more exclusively at infowarstore.com
[2:30:43.000 --> 2:30:47.000]  and I want to thank you for your support over the years because without you,
[2:30:47.000 --> 2:30:50.000]  all of the great success we have had together would not have happened.
[2:30:50.000 --> 2:30:53.000]  We are the tip of the spear, you are the tip of the spear and I salute you and thank you.
[2:30:53.000 --> 2:31:22.000]  Visit infowarstore.com today.
[2:31:23.000 --> 2:31:27.000]  For the top quality made America product line exclusively available private label by us
[2:31:27.000 --> 2:31:31.000]  known as Redux at infowarstore.com.
[2:31:31.000 --> 2:31:35.000]  So go to infowarstore.com and check out Redux.
[2:31:35.000 --> 2:31:37.000]  It's our first big run.
[2:31:37.000 --> 2:31:42.000]  We've made a major investment to have this produced and ready and it's now exclusively available to you
[2:31:42.000 --> 2:31:46.000]  at a very low price at infowarstore.com.
[2:31:46.000 --> 2:31:49.000]  Protect your privacy from government, the UN, globalist contact tracers,
[2:31:49.000 --> 2:31:51.240]  contact tracers, hackers, criminals, you name it,
[2:31:51.240 --> 2:31:55.600]  with Redux exclusively available at infowarstore.com.
[2:31:57.280 --> 2:32:00.480]  There is very little contemporary study
[2:32:00.480 --> 2:32:04.200]  in the world of the planet's ruling class.
[2:32:04.200 --> 2:32:07.280]  Not in communist China, not in Mexico,
[2:32:07.280 --> 2:32:09.880]  not in the United States, not anywhere.
[2:32:09.880 --> 2:32:13.440]  Is there a real study of the planet's ruling class?
[2:32:13.440 --> 2:32:15.320]  And that's done by design.
[2:32:15.320 --> 2:32:18.280]  The large central banks that basically control the planet
[2:32:18.280 --> 2:32:21.400]  will penalize and target any academics
[2:32:21.400 --> 2:32:24.560]  that look into, say, the Anglo-American establishment
[2:32:24.560 --> 2:32:25.760]  that founded the Bilderberg Group,
[2:32:25.760 --> 2:32:27.960]  the Trilateral Commission of the United Nations,
[2:32:27.960 --> 2:32:31.200]  a whole project of the Rothschilds and the Rockefellers.
[2:32:31.200 --> 2:32:33.640]  Until 10 years ago, the media said
[2:32:33.640 --> 2:32:35.440]  the control corporate media of the Bilderberg Group
[2:32:35.440 --> 2:32:37.000]  didn't exist.
[2:32:37.000 --> 2:32:38.680]  Well, now the Bilderberg Group is public,
[2:32:38.680 --> 2:32:41.760]  its former head, still on the steering committee,
[2:32:41.760 --> 2:32:43.960]  is Klaus Schwab, and he has set up
[2:32:43.960 --> 2:32:45.960]  the great reset in global government.
[2:32:45.960 --> 2:32:48.400]  If, as a liberty movement worldwide,
[2:32:48.400 --> 2:32:50.760]  we don't address the globalist head on
[2:32:50.760 --> 2:32:52.200]  about the fact that they are a worldwide
[2:32:52.200 --> 2:32:54.040]  authoritarian corporate takeover,
[2:32:54.040 --> 2:32:54.880]  we don't have a shot.
[2:32:54.880 --> 2:32:57.040]  If you expose them, we can beat them easily.
[2:32:59.320 --> 2:33:02.160]  Leading a frontal assault on the lies
[2:33:02.160 --> 2:33:05.720]  of the New World Order, it's Alex Jones.
[2:33:09.880 --> 2:33:14.880]  Live, raw, and unfiltered by globalist propaganda.
[2:33:14.880 --> 2:33:17.320]  It's Alex Jones.
[2:33:18.320 --> 2:33:20.720]  And Dr. Peter McCullough and John Leake,
[2:33:20.720 --> 2:33:23.280]  he's a best-selling true crime author
[2:33:23.280 --> 2:33:26.600]  that has reverse engineered their operations
[2:33:26.600 --> 2:33:28.160]  and that you guys are knocking out of the park
[2:33:28.160 --> 2:33:29.920]  describing what really went on.
[2:33:29.920 --> 2:33:31.400]  You want to get more into the propaganda,
[2:33:31.400 --> 2:33:33.080]  we're also gonna talk some about Bill Gates
[2:33:33.080 --> 2:33:36.960]  predicting the smallpox, monkeypox, and so much more.
[2:33:37.880 --> 2:33:40.040]  You know, I can tell you that we've never had
[2:33:40.040 --> 2:33:43.440]  so much news regarding microbial threats
[2:33:43.440 --> 2:33:47.040]  to the human population and one can only
[2:33:47.040 --> 2:33:50.480]  surmise that so much of this is contrived.
[2:33:50.480 --> 2:33:53.680]  There's a lot of hype, and as you said earlier, John,
[2:33:53.680 --> 2:33:55.880]  it's a PR sales campaign, so when you see
[2:33:55.880 --> 2:33:58.200]  a PR sales campaign for like the new Mustang,
[2:33:58.200 --> 2:34:00.440]  you know the new Mustang's coming out or the new Tesla,
[2:34:00.440 --> 2:34:02.000]  and they're just telling you the new thing's coming,
[2:34:02.000 --> 2:34:04.240]  we're gonna take all your rides, we're gonna save you.
[2:34:04.240 --> 2:34:07.840]  Yeah, you know, they call it a funny friend of ours
[2:34:07.840 --> 2:34:11.240]  out in Utah, said the other day,
[2:34:11.240 --> 2:34:13.920]  they call it Operation Warp Speed,
[2:34:13.920 --> 2:34:18.200]  it's actually Operation Warp Spend, it's Warp Spend.
[2:34:18.200 --> 2:34:23.200]  So public health crisis, mass fear, everybody's terrified,
[2:34:25.360 --> 2:34:27.520]  oh my goodness, you know, we'll do anything we can
[2:34:27.520 --> 2:34:31.000]  to, you know, any kind of, no matter how much it costs,
[2:34:31.000 --> 2:34:33.400]  get out the checkbook, start printing.
[2:34:33.400 --> 2:34:37.520]  So it triggers, like the financial crisis in OA,
[2:34:37.520 --> 2:34:41.720]  it triggers a flood of money purportedly
[2:34:41.720 --> 2:34:45.080]  to deal with the emergencies, so that what happens,
[2:34:45.080 --> 2:34:45.920]  is it because-
[2:34:45.920 --> 2:34:47.000]  How many trillions extra got issued
[2:34:47.000 --> 2:34:48.480]  by the major governments?
[2:34:48.480 --> 2:34:50.360]  Has anybody, if you quantify, I haven't done it.
[2:34:50.360 --> 2:34:51.920]  How many trillions got issued worldwide
[2:34:51.920 --> 2:34:53.040]  by different governments?
[2:34:53.040 --> 2:34:58.040]  So the CARES Act of March 26, 2020 created,
[2:34:58.680 --> 2:35:03.680]  overnight, 10% of the US GDP, just like that.
[2:35:04.440 --> 2:35:05.680]  Just with a click of a-
[2:35:05.680 --> 2:35:07.480]  I wonder why we have inflation.
[2:35:07.480 --> 2:35:10.320]  Right, and then so, but just think of the bonanza, though.
[2:35:10.320 --> 2:35:13.680]  If you are positioned, as these guys were,
[2:35:13.680 --> 2:35:18.240]  because they'd been working on the planning of this,
[2:35:18.240 --> 2:35:20.200]  publishing their prospectus-
[2:35:20.200 --> 2:35:22.680]  They're in control of the World Medical Response.
[2:35:22.680 --> 2:35:25.120]  Correct, so all of this money,
[2:35:25.120 --> 2:35:28.080]  you have then positioned your nets,
[2:35:28.080 --> 2:35:30.800]  you're like a fisherman who's ready for the school
[2:35:30.800 --> 2:35:32.280]  to swim right in your nets.
[2:35:32.280 --> 2:35:34.840]  So they got away with this,
[2:35:34.840 --> 2:35:37.920]  and here we have the same guys,
[2:35:37.920 --> 2:35:42.840]  the usual suspects, they're at it again with monkeypox.
[2:35:42.840 --> 2:35:46.120]  Here we go, the news just popped.
[2:35:46.120 --> 2:35:49.600]  Monkeypox, an orthopox virus
