[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[02:14:15.000 --> 02:14:17.000]  There's nothing there.
[02:14:17.000 --> 02:14:22.000]  Well, let me ask you this, Stephanie, the time we have left, you also had a comment on Ford and her believability.
[02:14:22.000 --> 02:14:39.000]  Okay, so reading people is my thing. I am telling you the baby voice, the, I sat there with an open mind watching it. And by the time that he spoke and he got to come back the next day or whenever it was, I cried, I cry over nothing.
[02:14:39.000 --> 02:14:55.000]  I'm a strong woman. I'm 49. And I cried because I can read his body language, his tone, his everything. And with research I've done from people that do body language reading, their, their, their thing is exactly what I say.
[02:14:55.000 --> 02:15:04.000]  She's lying. She's manipulating. When I, it happened to me, you know, several times at one time at work, it was pretty severe and weird and creepy.
[02:15:04.000 --> 02:15:16.000]  If somebody's attracted to me, that's great. And you hit on me, but I'm not interested. That's one thing. But when it's creepy guy, you know, rubbing himself up against you and holding you down against your will, which is what happened to me at work.
[02:15:16.000 --> 02:15:30.000]  I immediately told, I quit, you know, but I was so shocked. Within the first six months, I cannot tell the owner of the company. And I had a meeting with the owner of the company five minutes after this happened to me because it was already scheduled.
[02:15:30.000 --> 02:15:45.000]  So this is an 80 year old Asian man. I, at 32, did not have the guts to write that minute, speak for myself and say, oh my God, your number one man from corporate just rubbed himself all over me and held me down in the back.
[02:15:45.000 --> 02:15:51.000]  I couldn't do it. But six months. And I told other people at work so they would be aware. I'd already known about his.
[02:15:51.000 --> 02:15:54.000]  Hold on. I want to hear about, I want to hear your final point as we come back.
[02:15:54.000 --> 02:16:06.000]  It's a no brainer. A big Berkey water filter is the one you need, period. You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[02:16:06.000 --> 02:16:12.000]  And does it all at only two cents per gallon. Get the original, most trusted name in gravity, water filtration, Big Berkey.
[02:16:12.000 --> 02:16:25.000]  And now GCN listeners receive 5% off ceramic filter systems using code GCN. Call or click 1-877-99-Berkey or bigberkeywaterfilters.com. That's 1-877-99-B-E-R-K-E-Y.
[02:16:25.000 --> 02:16:35.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place. And what they don't steal will be destroyed.
[02:16:35.000 --> 02:16:46.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[02:16:46.000 --> 02:17:06.000]  Security is a mindset and fake TV should be part of your security solution. Be vigilant, but not fearful. FakeTV.com.
[02:17:16.000 --> 02:17:25.000]  That's 866-295-5305. HBXTrack.com. Don't risk it when you can take charge of it.
[02:17:46.000 --> 02:18:13.000]  I want to plow into all of this. I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from m4store.com,
[02:18:13.000 --> 02:18:22.000]  you are funding the revolution. I mean, I cannot say it any clearer. And so it is essential that you purchase the products at m4store.com.
[02:18:22.000 --> 02:18:29.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[02:18:29.000 --> 02:18:36.000]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones. That's my dad with colloidal silver and iodine as well.
[02:18:36.000 --> 02:18:48.000]  infowarslife.com or AAA-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[02:18:48.000 --> 02:19:06.000]  And that's who they are, and they know we know who they are, and they're coming back against us so we need your support.
[02:19:19.000 --> 02:19:26.000]  To fight back against the chemicals in the food and water, to fight back against the modern-day lifestyle with the screen time and the extended hours,
[02:19:26.000 --> 02:19:36.000]  to still have the stamina and endurance, energy and drive, to get to the gym, get to the park, and get exercise that you need for your health.
[02:19:36.000 --> 02:19:49.000]  So go to infowarstore.com and get SuperMailVitality before it's gone. This is actually our last run of SuperMailVitality, so I want you to experience SuperMailVitality before it's too late.
[02:19:49.000 --> 02:20:07.000]  Unleash the SuperMail in you with SuperMailVitality from infowarstore.com.
[02:20:19.000 --> 02:20:28.000]  Okay, so Stephanie, I'm looking up here on the calling board and it says, holding. Final point on assaults. You're saying you've been sexually assaulted twice before.
[02:20:28.000 --> 02:20:40.000]  I don't want to get any details, but I've had family that's been sexually assaulted one time back in college. Somebody came in with a knife and actually, you know, a-raped someone that I know.
[02:20:40.000 --> 02:20:45.000]  I'll just leave it at that. So I know this goes on. I have three daughters. It horrifies me.
[02:20:45.000 --> 02:20:52.000]  But America, statistically, has pretty low levels of this compared to third-world countries, Asia, Latin America.
[02:20:52.000 --> 02:20:57.000]  All these other countries, they kill gay people. And I'm always thinking about how we're so mean to everybody here.
[02:20:57.000 --> 02:21:00.000]  And I'm just sick of all these special interests bullying everybody.
[02:21:00.000 --> 02:21:11.000]  And then 36 years later, with no witnesses and no cooperation, and then her whole family's CIA and she's in a mind-control program herself and writes papers.
[02:21:11.000 --> 02:21:17.000]  I'm not kidding, folks, we just tuned in. Storiesoninfullwars.com about how to implant false memories.
[02:21:17.000 --> 02:21:23.000]  I mean, just the craziest stuff and just none of it has credibility. How they waited the 11th hour, all of it.
[02:21:23.000 --> 02:21:38.000]  But getting back to you, give us the juxtaposition, how this ties into cabin on, why it's said on the board that you didn't believe Ms. Ford, Dr. Ford, yourself being a victim of this, why it wasn't congruent for you.
[02:21:38.000 --> 02:21:54.000]  Because if she is truly a person with psychological training, she would have known that to heal herself, she sort of screamed from the highest rooftop 10 years ago, 15 years ago, something other than now.
[02:21:54.000 --> 02:22:08.000]  But also when she was saying, didn't have answers, nothing was fluid, her posing became different, she became pretty posed, cute and small, and baby voice.
[02:22:08.000 --> 02:22:18.000]  When I'm telling someone that I want you to know that I'm telling you the truth, I look you straight in the eye, I speak with an adult voice and I tell you the truth.
[02:22:18.000 --> 02:22:26.000]  The thing is that she acted real baby-ish at points that would act all nice and giggly at others. I mean, to me, the whole thing came off very contrived.
[02:22:26.000 --> 02:22:40.000]  Yeah, and some of the words, the wording that she used was very juvenile and she would use some of the diction that young girls use, like I can't remember exact words, but it was, the words were not, they were very baby.
[02:22:40.000 --> 02:22:55.000]  They were very young, we are 15 again, they are boys, the boys came in, bullshit. But anyway, here's my thing, there should be a statute of limitations for children, victims of abuse, they should be maybe 30, I think I've heard somebody say that before.
[02:22:55.000 --> 02:23:07.000]  But when you are an adult, you need to, what I did was I woke up, four months later I found out that the man at my job that assaulted me and I left a very good job because of it.
[02:23:07.000 --> 02:23:20.000]  Because he was always creepy making me feel creepy and then finally he did his thing. But the thing is, I called the owner's nephew who I had worked closely with and I said, let me explain something to you.
[02:23:20.000 --> 02:23:30.000]  I want nothing, I'm asking for nothing, I need nothing except for you to know that this happened and I need you to tell the owner of the company, your uncle.
[02:23:30.000 --> 02:23:38.000]  And I sat there, he let me talk for an hour and a half and rant about the particulars of exactly what he did to me, what day it was, what I was doing.
[02:23:38.000 --> 02:23:40.000]  Sure, what happened?
[02:23:40.000 --> 02:23:51.000]  Well, they took him out of store, this was retail. They took him out of stores and they made him start, he was not allowed to go in stores anymore to this day, he still has his job.
[02:23:51.000 --> 02:23:57.000]  But my point is, I let all the other women know in the pathway that we're still working there when I left.
[02:23:57.000 --> 02:24:03.000]  Sure, so you did the right thing, you protected people from it. Thank you so much for the call. I would just get rid of somebody that did that.
[02:24:03.000 --> 02:24:12.000]  But it shows that these Catholic priests, the last little kids, they then sent them to another parish. It's like under the rug, under the rug, and I think that's what angers a lot of people.
[02:24:12.000 --> 02:24:16.000]  And then the left prays upon that to basically rub salt on the women, thanks for the call.
[02:24:16.000 --> 02:24:22.000]  Okay, Cynthia in Washington DC, you're on the air, welcome to the airwaves, go ahead.
[02:24:22.000 --> 02:24:28.000]  Hello, Alex. I'm Cynthia Farhat, I'm an Egyptian immigrant to the US.
[02:24:28.000 --> 02:24:33.000]  And I want to tell you that I'm extremely sorry for your persecution.
[02:24:33.000 --> 02:24:50.000]  And what happened to you, although I wasn't following in full wars before your banning and censorship, it awakened a very, very dark part of my life when I was in Egypt and I founded the political party that was standing for individual freedom and separation of
[02:24:50.000 --> 02:24:58.000]  Moscow state. And I was starting to write in newspapers and mainstream ones and my articles were getting popular.
[02:24:58.000 --> 02:25:09.000]  And I got banned and the Egyptian government even said that my name was not allowed to be mentioned, even to criticize me. I was completely unpersoned.
[02:25:09.000 --> 02:25:15.000]  Oh, yeah. And that's not happening to me where they say don't even say his name and Americans are like, yes, we won't.
[02:25:15.000 --> 02:25:17.000]  Just getting in line very, very quickly.
[02:25:17.000 --> 02:25:31.000]  It's horrific. It's horrific, Alex. And then I co-authored a book criticizing Egyptian blasphemy laws, and it was banned by the Islamic al-Aqsa University in Cairo.
[02:25:31.000 --> 02:25:36.000]  And I was completely unpersoned. I was getting 10 to 50 death threats a day.
[02:25:36.000 --> 02:25:49.000]  And then this happened and then I came to America and in 2015 the tide turned and it remains through Egyptian newspapers told me you want you to write on ways to counter Islamic terrorism.
[02:25:49.000 --> 02:26:00.000]  And now my columns, I get zero censorship. They don't even edit my typos. They publish everything that I write exactly the way I wrote it.
[02:26:00.000 --> 02:26:02.000]  Cynthia, I think I've heard of you.
[02:26:02.000 --> 02:26:03.000]  Right.
[02:26:03.000 --> 02:26:05.000]  What's your full name? You should come on as a guest.
[02:26:05.000 --> 02:26:11.000]  Cynthia Farahat. I'm specializing in Islamic terrorism and the Muslim Brotherhood.
[02:26:11.000 --> 02:26:21.000]  No, I remember. And then you got banned and had to leave because of Obama and the Arab Spring, but then after those terrorists were taken out that they brought free speech back. That's good news.
[02:26:21.000 --> 02:26:29.000]  They brought it back. Zero censorship because you know why, Alex? Because you are, this will happen to you too because you're a patriot.
[02:26:29.000 --> 02:26:39.000]  I might disagree with things that you say, but at the end of the day, you're a patriot. You are on the right side of history because you are for individual freedom for live and live.
[02:26:39.000 --> 02:26:46.000]  Oh yeah, they just put your picture up. I've seen you all over national TV. You're also a very beautiful, not just a great writer.
[02:26:46.000 --> 02:26:58.000]  Thank you, sir. But that's what I wanted to tell you that after they did this to you, I downloaded your app and I said I got to check out what Mr. Jones is saying because we are, we're now fellow travelers.
[02:26:58.000 --> 02:27:11.000]  So I downloaded your app and ever since your event, I'd never missed a show of yours because now this is a fight for freedom and a fight for truth and you have supporters across the globe.
[02:27:11.000 --> 02:27:25.000]  Well, you're really a famous lady. I mean, you've been all over the news when they banned you and all you were doing was warning about the radical Islamic takeover because Egypt had been one of the more tolerant areas of the Middle East and then Obama obviously backed that violent overthrow.
[02:27:25.000 --> 02:27:28.000]  Why do you think Obama did that?
[02:27:28.000 --> 02:27:39.000]  It's, I think it's very, very mysterious. I don't think we'll ever know his exact motivations or reasons, but it's definitely an incredibly shady. It can't be good.
[02:27:39.000 --> 02:27:52.000]  Obama destroyed our country completely and he was backing the Muslim Brotherhood and terrorists and Mrs. Hillary Clinton was also supporting the Muslim Brotherhood and she was aware.
[02:27:52.000 --> 02:28:05.000]  One of her emails, and nobody ever talked about that, by the way, in WikiLeaks, she was aware of a conspiracy between the military and the Brotherhood to mass murder Christians in a specific event.
[02:28:05.000 --> 02:28:12.000]  In fact, I knew that. I remember, stay right there. I want to come back Cynthia. You're, you're amazing. And we'll give you our full name as we come back a few more minutes later.
[02:28:12.000 --> 02:28:18.000]  Wow. How cool is it? Open the phones up and have people like this journalist who they have. I remember you barely made it out of the country alive. Didn't you?
[02:28:18.000 --> 02:28:21.000]  Yes, I almost got killed.
[02:28:21.000 --> 02:28:30.000]  So folks, we talk about Tommy Robinson being a hero or Cynthia being heroes. We haven't gone to that level yet. We don't want to go to that level, but it's getting into that danger zone.
[02:28:30.000 --> 02:28:39.000]  That's why America is in so much trouble when they tell people don't even say Alex Jones's name now on Google and things unless it's negative. It's very, very dangerous.
[02:28:39.000 --> 02:28:46.000]  We're going to come back with Cynthia here in just a moment from Washington, DC. And then we'll go to all the other callers. Yeah, there she is on Fox News right there.
[02:28:46.000 --> 02:28:51.000]  We'll be right back.
[02:29:16.000 --> 02:29:24.000]  Neighbor Helping Neighbor. Learn more now by going to libertyoncall.org. That's libertyoncall.org.
[02:29:46.000 --> 02:30:05.000]  We are kept afloat only by your loyal patronage. And that's why we need you to go to the site now. If you're not in the market for one of our greatest
[02:30:05.000 --> 02:30:25.000]  nutraceuticals, please consider a contribution. 25, 50, 100, 250 or even $500 would be a godsend to our important work here to beat back the globalists and to destroy their campaign of censorship in which they want to strangle our first amendment rights.
[02:30:25.000 --> 02:30:40.000]  Hey, how would you like to take info wars with you wherever you go? Well, now you could do just that with the new official info wars. And here's the best part. It is absolutely free at the Apple store and Google Play.
[02:30:40.000 --> 02:30:56.000]  You can join the info war today. Check it out right now at info wars.com forward slash app app. It's the info wars official app taken on the globalist at point blank range. And with your help spreading it and with your help downloading it, we are unstoppable.
[02:30:56.000 --> 02:31:10.000]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs. With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[02:31:10.000 --> 02:31:27.000]  That's why info wars life created the powerful vitamin mineral fusion formula, the new platinum standard of advanced multivitamin formulation. Vitamin mineral fusion uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[02:31:27.000 --> 02:31:45.000]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients. Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[02:31:45.000 --> 02:31:57.000]  You can start supporting your body's needs in a great tasting natural and affordable drink mix with vitamin mineral fusion today available at info wars store.com.
[02:31:57.000 --> 02:32:06.000]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients, ultimate bone broth.
[02:32:06.000 --> 02:32:21.000]  Info wars life is proud to bring you a powerhouse bone broth formula to help push you to your limits. This incredible formula will help you get the most out of your workout with the power of ultra high quality bone broth, one of the most popular health trends on the planet.
[02:32:21.000 --> 02:32:33.000]  Built with more than seven different superfoods and crucial compounds, ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[02:32:33.000 --> 02:32:45.000]  This incredible chicken bone broth formula contains time tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[02:32:45.000 --> 02:32:59.000]  It's time to experience what ultimate bone broth can do for you. Get a bottle of the all new version of a fan favorite product today at info wars store.com.
[02:32:59.000 --> 02:33:06.000]  You're listening to the Alex Jones show.
[02:33:06.000 --> 02:33:25.000]  Waging war on corruption. It's Alex Jones.
[02:33:25.000 --> 02:33:35.000]  You know, I don't want to go on air and say that Christine Wasi Ford is a CIA mind control operative.
[02:33:35.000 --> 02:33:45.000]  But she works in a DARPA program and publishes articles on brainwashing on planning false memories on creating classical Manchurian candidates.
[02:33:45.000 --> 02:33:56.000]  It's not just like she's in some program that's connected to that. And it's like really and the whole family CIA and the brother-in-law and the grandpa and the daddy and the brother.
[02:33:56.000 --> 02:34:00.000]  And it's like it never ends with these people.
[02:34:00.000 --> 02:34:09.000]  It's all these idiots go, I bet Jones is in some intelligence agents here or something. I would be embarrassed to be in some intelligence agency at this point.
[02:34:09.000 --> 02:34:17.000]  I've had family that was in the military and was assigned to stuff like that. And they said the New World Order, the World Government's evil.
[02:34:17.000 --> 02:34:24.000]  It's anti family. It's anti God. It's anti Christian stand against it.
[02:34:24.000 --> 02:34:30.000]  That's what I grew up hearing.
[02:34:30.000 --> 02:34:34.000]  So it's just insane. We're going to go back to Cynthia.
[02:34:34.000 --> 02:34:41.000]  Farat is a very famous journalist who called in. We're honored to have her. I want to get her on as an official guest via Skype or in studio.
[02:34:41.000 --> 02:34:47.000]  Very soon as I remember admiring her work, she's been proven totally right about the Islamists and the Arab Spring and Obama funding out of Kenya.
[02:34:47.000 --> 02:34:51.000]  Now that's all come out. She had to leave the country. They tried to kill her. We'll talk to her in just a minute.
[02:34:51.000 --> 02:34:59.000]  But this is Senator Cornyn just minutes ago during the break. I was watching this live saying that they're not extending in another seven days.
[02:34:59.000 --> 02:35:01.000]  It's all a big plot. Here it is.
[02:35:01.000 --> 02:35:08.000]  It was for seven days, up to seven days for additional supplemental background investigation by the FBI.
[02:35:08.000 --> 02:35:12.000]  And as the Georgia leader has said, we will get that.
[02:35:12.000 --> 02:35:23.000]  But now you're starting to hear new arguments being made since they realized that everything the witnesses had previously told the Judiciary Committee under oath under penalty of felony,
[02:35:23.000 --> 02:35:28.000]  they are likely to tell the FBI the same thing. It would make sense to me.
[02:35:28.000 --> 02:35:34.000]  But now they want to focus on Judge Kavanaugh's high school yearbook.
[02:35:34.000 --> 02:35:48.000]  Give me a break. It just shows the sort of desperation that the other side has to not only deny the nominee a fair and dignified confirmation process,
[02:35:48.000 --> 02:35:51.000]  but to turn this into a three ring circus.
[02:35:51.000 --> 02:36:00.000]  And now we're talking about throwing ice on somebody when you're in college as disqualifying you from a seat on the United States Supreme Court.
[02:36:00.000 --> 02:36:05.000]  This has not been a search for the truth. This has been about search and destroy.
[02:36:05.000 --> 02:36:17.000]  In the process setting up precedent, we will regret for the rest of our lives where an unproven accusation is enough to deny somebody a confirmation in the United States Senate.
[02:36:17.000 --> 02:36:29.000]  And in fact, as Rachel Mitchell pointed out, the confirmation was all in favor of Judge Kavanaugh's position that what was alleged never happened.
[02:36:29.000 --> 02:36:38.000]  So this is about whether we're going to continue to have a presumption of innocence, due process of law, fairness, listen to both sides.
[02:36:38.000 --> 02:36:54.000]  And that's what's happened so far, but in a way that should never have turned out into the spectacle that it has, primarily because the ranking member sat on the accusation of July 30th creating the circumstance we have now.
[02:36:54.000 --> 02:36:58.000]  But what we're seeing is just one excuse after another to continue delay.
[02:36:58.000 --> 02:37:07.000]  And that's key right there. They sat on it to then run the clock at the end and then try to delay delay saying there wasn't time.
[02:37:07.000 --> 02:37:16.000]  So that's what they've done. Cynthia Farhat has called him or get her on as an official guest. She's a famous journalist, Cynthia Farhat.com.
[02:37:16.000 --> 02:37:33.000]  And that's F-A-R-A-H-A-T. She's a famous female reporter who almost got killed reporting on the radical Islamists taking over Egypt and they blew up hundreds of churches and she was getting into the Secretary of State at the time and CNN was promoting it.
[02:37:33.000 --> 02:37:37.000]  All of them. How great this was, the Arab Spring. Google helped push it.
[02:37:37.000 --> 02:37:45.000]  So in hindsight, we know it's 2020. I read your articles on there at the time. You were getting into Hillary and the targeting of Christians. What's the master plan?
[02:37:45.000 --> 02:37:55.000]  Why would you diabolically overthrow some of our longest allies who were being open free societies compared to the Muslim Brotherhood and letting Jews, Christians and women have some basic rights?
[02:37:55.000 --> 02:38:01.000]  Why in the world would they do that? And why were they trying to silence you?
[02:38:01.000 --> 02:38:22.000]  There's a lot of money involved in promoting terrorism. I was offered a job that would give me close to $700,000 a year just to modify what I'm saying, not even radically change what I'm saying, just to modify it.
[02:38:22.000 --> 02:38:35.000]  That's very tempting, almost a million dollars a year. And I would get some powerful. I was offered tons of bribes and some people don't have the moral courage to say no to something like that.
[02:38:35.000 --> 02:38:44.000]  It can be done for ideological reasons. And I believe former President Barack Obama did it for ideological reasons. I have no evidence and that's why it's only a theory.
[02:38:44.000 --> 02:38:55.000]  So I believe he supports the Muslim Brotherhood because he is very radical and he does not believe in the American Constitution and the American values.
[02:38:55.000 --> 02:39:08.000]  And unfortunately, this has become very popular right now to hate the Constitution, to hate free speech, to hate individual freedom, to hate patriots and to demonize them and to spread rumors about them and attack them and harass them.
[02:39:08.000 --> 02:39:22.000]  So that's why what happened to you gave me nightmares because it brought back all this. They abducted my brother and they made me listen to him getting tortured for me to compromise and I still do not compromise and I will never compromise.
[02:39:22.000 --> 02:39:43.000]  And then he was saved only because I refused to negotiate because I did not negotiate with terrorists. They thought I must be very powerful to be able to do that and they released him and he was home although they hurt him badly and he had three surgeries in his jaws but still he got back home.
[02:39:43.000 --> 02:39:56.000]  Well, I remember following your story at the time and to see Obama and Hillary, I mean get into the targeting of Christians because I remember that. How many churches, I don't know if the hundreds got blown up and our media was just celebrating how great it was?
[02:39:56.000 --> 02:40:08.000]  Yes, the most conservative number was 72 churches that were attacked and actually I was going to get killed on October 9, 2011 during a protest for religious freedom and I was going with friends of mine.
[02:40:08.000 --> 02:40:19.000]  I got a fever that day that ended up saving my life because one of my friends was killed their execution style because he was protesting peacefully for religious freedom. That's it.
[02:40:19.000 --> 02:40:25.000]  It was not a single violent, personal violent value we ever advocated for.
[02:40:25.000 --> 02:40:29.000]  Sure, and was it true that Christians were getting crucified?
[02:40:29.000 --> 02:40:46.000]  No, we did not have any cases of Christians getting crucified but we had Christians death on fire, we had Christians getting killed and Miss Quentin knew that there was a conspiracy to kill Christians in her email, to kill Catholic Christians.
[02:40:46.000 --> 02:40:52.000]  And then after she got that email, she got the email and she read it and she forwarded it to one of her aides.
[02:40:52.000 --> 02:41:03.000]  After she got that brief from Mr. Sidney Blumenthal, she still supported the Muslim Brotherhood fully knowing that they were involved in a genocide against the Christian Christians.
[02:41:03.000 --> 02:41:08.000]  Wow. Well, let me get your info, Cynthia. I'd love to get you on as a guest. Thank you so much for calling in.
[02:41:08.000 --> 02:41:10.000]  Thank you, sir, for having me.
[02:41:10.000 --> 02:41:18.000]  God bless. You know, that's the thing. We had a huge audience of high quality people of every stripe, every color, every religion, every region before.
[02:41:18.000 --> 02:41:26.000]  But now that they banned us off the social media, it's harder to reach new people.
[02:41:26.000 --> 02:41:34.000]  But we've gotten a lot of new radio stations and TV stations and the quality of the listeners went from amazing to stratospheric.
[02:41:34.000 --> 02:41:40.000]  We already have Congress listing, we already have foreign governments listing and intelligence agencies listing because they know we're covering real issues here.
[02:41:40.000 --> 02:41:49.000]  But man, I mean, the people listing now, I told you, who listens and who calls me and it's all off record.
[02:41:49.000 --> 02:41:59.000]  But, you know, world leaders, Top Fox News host, a lot of members of Congress, we had a lot before, but this is like Fight Club now.
[02:41:59.000 --> 02:42:06.000]  So you can tell people, your friends and family, hey, Alex Jones are trying to shut him down for a reason. It's the guest, it's the callers, it's the information.
[02:42:06.000 --> 02:42:13.000]  Learn why the system wants infowars.com shut down. Learn what scares them so much.
[02:42:13.000 --> 02:42:20.000]  The truth. I'll play clips of Soros on 60 Minutes saying the best time of his life was serving Hitler and he made happy time.
[02:42:20.000 --> 02:42:25.000]  That's a quote. And then I show the news saying I'm a liar, he never served Hitler.
[02:42:25.000 --> 02:42:31.000]  I mean, a lot of it's not that fancy. It's just we're willing to tell it like it is.
[02:42:31.000 --> 02:42:40.000]  So infowars.com, newswars.com, prisonplanet.com, just tell friends and family, hey, don't have to agree with it.
[02:42:40.000 --> 02:42:45.000]  Listen, just see what all the hubbub's about. Newswars.com.
[02:42:45.000 --> 02:42:48.000]  All right, we're going to come back. I'm going to race through calls, I promise.
[02:42:48.000 --> 02:42:55.000]  A whole bunch of them, each caller gets about a minute and a half. We just had so many amazing callers today.
[02:42:55.000 --> 02:43:03.000]  InfoWars Life is launching its newest product. We're really, really proud of it. It's a best source prebiotic fiber.
[02:43:03.000 --> 02:43:15.000]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[02:43:15.000 --> 02:43:24.000]  And it synergistically works with our 50 billion live active culture for a life as well as MycoZX that targets the yeast, the mold, and the funguses in the gut.
[02:43:24.000 --> 02:43:30.000]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[02:43:30.000 --> 02:43:35.000]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[02:43:35.000 --> 02:43:38.000]  And I'm doing this to introduce these products to you.
[02:43:38.000 --> 02:43:44.000]  Bodies sold out in a month. Strongest concentrated turmeric formula we can come up with.
[02:43:44.000 --> 02:43:49.000]  It's sold out for another month and a half. We sold it at 50% off till it's sold out.
[02:43:49.000 --> 02:43:55.000]  And I think it's going to be the same way with this fiber. Get yours today InfoWarsLife.com.
[02:43:55.000 --> 02:44:02.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by InfoWarsLife.
[02:44:02.000 --> 02:44:10.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber.
[02:44:10.000 --> 02:44:15.000]  A mixture of clinically studied and organic acacia, fruit, and flax fiber.
[02:44:15.000 --> 02:44:21.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[02:44:21.000 --> 02:44:26.000]  which helps you digest food, absorb nutrients, and even support your immune system.
[02:44:26.000 --> 02:44:33.000]  InfoWarsLife's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[02:44:33.000 --> 02:44:38.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[02:44:38.000 --> 02:44:48.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[02:44:48.000 --> 02:45:09.000]  Head to InfoWarsLife.com or call 1-888-253-3139.
[02:45:19.000 --> 02:45:30.000]  We're working on trying to get other suppliers right now, but I bought a huge amount of it, ordered it six months ago,
[02:45:30.000 --> 02:45:34.000]  so I get the price down and I said, if you don't lower it, I'm done, I'm breaking the contract.
[02:45:34.000 --> 02:45:39.000]  Well, I broke the contract last week, and so this is potentially the last run.
[02:45:39.000 --> 02:45:44.000]  In fact, right now it is the last run of survival shield X2, and we've got a good supply of it.
[02:45:44.000 --> 02:45:49.000]  It'll be gone in a couple of months. X2, if you haven't experienced it, InfoWarsLife.com.
[02:45:49.000 --> 02:45:52.000]  If you have experienced it, you know how great it is, I suggest you stop up on it.
[02:45:52.000 --> 02:46:15.000]  It's available right now at InfoWarsLife.com right now.
[02:46:22.000 --> 02:46:29.000]  Now, because of their intensifying censorship, it's more important than ever that everyone go to InfoWars.com forward slash newsletter
[02:46:29.000 --> 02:46:37.000]  and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[02:46:37.000 --> 02:46:45.000]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[02:46:45.000 --> 02:46:52.000]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[02:46:52.000 --> 02:47:21.000]  We are the Renaissance, and we are winning.
[02:47:21.000 --> 02:47:28.000]  You know, I love taking calls because the callers bring up things I forgot about or things I didn't know about.
[02:47:28.000 --> 02:47:36.000]  Adam, we're going to go to him in a moment, says, Antifa, Obama's million man army, are they one and the same question mark?
[02:47:36.000 --> 02:47:40.000]  We're going to him second because I want to pull that video in, we haven't played in probably two years.
[02:47:40.000 --> 02:47:46.000]  Remember when he was candidate Obama? He said, we need a domestic military, just as big, just as strong as our military.
[02:47:46.000 --> 02:47:52.000]  And then it shows the little kids training to be paramilitary fighters against patriots in Chicago.
[02:47:52.000 --> 02:48:01.000]  And yes, the answer is, that's the weatherman race-based race war model that Kanye West and others are fighting against.
[02:48:01.000 --> 02:48:04.000]  And it's being run by the globalists and it's absolutely dastardly.
[02:48:04.000 --> 02:48:07.000]  So we're going to be talking about that.
[02:48:07.000 --> 02:48:09.000]  And people go, oh, Antifa, they're a bunch of idiots.
[02:48:09.000 --> 02:48:14.000]  They'll be used as the cover patties, as the decoys for the real hit tapes.
[02:48:14.000 --> 02:48:20.000]  And you see them in the news and all these professors and the top hashtag yesterday, kill Kavanaugh.
[02:48:20.000 --> 02:48:26.000]  And top professors saying they're going to murder him and cut his testicles off and murder his supporters.
[02:48:26.000 --> 02:48:32.000]  It's because we've let these people act like this and engage in criminal activity, they're out of control.
[02:48:32.000 --> 02:48:35.000]  We're talking about that in a moment.
[02:48:35.000 --> 02:48:42.000]  But first, we are ending the 40% off on Brain Force Plus, the amazing Neutropic tomorrow.
[02:48:42.000 --> 02:48:51.000]  We are ending the 40% off on Secret 12, the highest quality organic vitamin B12 you take under the tongue tomorrow.
