[00:00:06.172 --> 00:00:07.074]  That's a hit.
[01:36:50.720 --> 01:36:52.641]  He said victory or death a month ago.
[01:36:54.349 --> 01:37:00.915]  He said, we're either going to save this country, defeat the global communist, or I'm going to die trying.
[01:37:00.915 --> 01:37:03.958]  And that's the spirit that founded Texas.
[01:37:03.958 --> 01:37:06.600]  That's the spirit that founded America.
[01:37:06.600 --> 01:37:10.303]  By the way, grab the clip for next hour or after that.
[01:37:10.303 --> 01:37:12.005]  It was on Owen's show yesterday.
[01:37:12.005 --> 01:37:18.471]  They have these weird goon police now at the Texas Alamo, and they turned it into a politically correct Texas bashing facility.
[01:37:19.640 --> 01:37:25.525]  And they make you wear a mask when you're on the property or go into it and are really rude.
[01:37:25.525 --> 01:37:28.307]  So we need the governor to enforce that over the Alamo.
[01:37:28.307 --> 01:37:32.290]  They're violating his executive order and we need these idiots thrown off there.
[01:37:32.290 --> 01:37:34.832]  They need to move to North Korea.
[01:37:34.832 --> 01:37:36.494]  Yeah, there's the footage.
[01:37:36.494 --> 01:37:40.097]  Bolsonaro just came out and said, Brazilians must not be sissies.
[01:37:41.323 --> 01:37:41.763]  I don't know.
[01:38:11.158 --> 01:38:13.319]  Dammit!
[01:38:13.319 --> 01:38:17.041]  And there's more reports just came out on Ivermectin.
[01:38:17.041 --> 01:38:22.523]  Ivermectin, South African medics and doctors using unproven drug, BBC, to treat it.
[01:38:22.523 --> 01:38:28.066]  Really, it's used all over Africa, it's used all over Asia, the Japanese government has endorsed it.
[01:38:28.066 --> 01:38:34.269]  I just showed you all these studies, but BBC, the same folks tell you pedophilia is good, they tell you don't do it.
[01:38:34.269 --> 01:38:36.970]  Those bad Africans.
[01:38:36.970 --> 01:38:38.551]  Another huge study, The Guardian.
[01:38:41.428 --> 01:38:42.910]  The Guardian told the truth.
[01:38:42.910 --> 01:38:45.152]  Wow, that's bizarre.
[01:38:45.152 --> 01:38:51.359]  Huge study supporting ivermectin as COVID treatment withdrawal over clinical concerns.
[01:38:51.359 --> 01:38:53.981]  Yeah, the UK saying you can't have it.
[01:38:53.981 --> 01:38:55.343]  Israel says you can't have it.
[01:38:55.343 --> 01:38:57.325]  Countries that have ivermectin, we've shown you the graphs.
[01:38:57.325 --> 01:38:59.848]  In fact, I sent that to you the other day and I forgot to show it.
[01:38:59.848 --> 01:39:00.949]  Show the African graph.
[01:39:02.230 --> 01:39:06.232]  Of countries that use Ivermectin, they have basically no COVID.
[01:39:06.232 --> 01:39:08.074]  Those that don't, huge COVID.
[01:39:08.074 --> 01:39:09.995]  And it shows the graphs, it shows Africa.
[01:39:09.995 --> 01:39:11.215]  It's the same thing with Israel.
[01:39:11.215 --> 01:39:12.776]  So all you get is a deadly vaccine.
[01:39:12.776 --> 01:39:16.038]  Look at Israel and death and disease.
[01:39:16.038 --> 01:39:19.420]  They just started a booster shot there, so you can see that spike even more.
[01:39:19.420 --> 01:39:20.301]  What happened everywhere else?
[01:39:20.301 --> 01:39:22.102]  Oh, Sweden doesn't take shots.
[01:39:22.102 --> 01:39:27.465]  Sweden doesn't, you know, Sweden got learned immunity even with a bioweapon and they're fine.
[01:39:27.465 --> 01:39:28.006]  Oh, here's another one.
[01:39:28.871 --> 01:39:36.018]  Despite 95% vaccination rate at Cornell University, today has five times more COVID cases than it did this time last year.
[01:39:36.018 --> 01:39:41.204]  The country has three to four times, but they have five times, because they took the shot.
[01:39:41.204 --> 01:39:45.929]  And it lowers your regular immune system, and then the new variant, well, you know what happens.
[01:39:47.992 --> 01:39:51.394]  And it goes on and on and on.
[01:39:51.394 --> 01:39:58.738]  Only a few months ago, the Ministry of Health claimed that Pfizer vaccine was 99% effective preventing COVID mortality.
[01:39:58.738 --> 01:40:08.403]  Today, that claim was dangerous misinformation, they said, using the mortality rate we now know and hypothesize how really effective all these vaccines are.
[01:40:08.403 --> 01:40:10.484]  You can see the mortality rate off the chart.
[01:40:10.484 --> 01:40:13.566]  Looks like they actually cause you to die and create negative protection.
[01:40:17.193 --> 01:40:26.061]  But oh, here it is, the vaccine-resistant new variant spreads to 49 states as delta-driven summer wave peaks.
[01:40:26.061 --> 01:40:27.463]  No, it's not delta-driven.
[01:40:27.463 --> 01:40:31.687]  It's vaccine virus mutation-driven.
[01:40:31.687 --> 01:40:32.427]  That's a fact.
[01:40:32.427 --> 01:40:33.949]  That's virology.
[01:40:33.949 --> 01:40:39.894]  So you wear your little diaper mask, and you take your little shots, while the top story
[01:40:40.976 --> 01:40:50.062]  As Fauci in 2012, in video, admitted they did gain of function to create a super flu that would be known as a doomsday flu.
[01:40:50.062 --> 01:40:53.665]  That if it got in the lungs of lab animals, killed 95% of them.
[01:40:53.665 --> 01:40:56.046]  Oh, but that's okay.
[01:40:56.046 --> 01:40:58.348]  There's all the other articles about him admitting gain of function.
[01:40:58.348 --> 01:41:02.951]  We'll play some of that next hour, when Dr. Francis Boyle, the author of the U.S.
[01:41:02.951 --> 01:41:05.332]  Bioweapons Law, former top U.N.
[01:41:05.332 --> 01:41:08.635]  war crimes prosecutor and expert on the Nuremberg Code and U.S.
[01:41:08.635 --> 01:41:10.236]  law, joins us to talk about
[01:41:11.158 --> 01:41:22.907]  The documents that came out yesterday, the 900 pages, where Fauci specifically orders the gain of function and the creation of COVID-19, and I've got all those documents.
[01:41:22.907 --> 01:41:33.735]  Guys, I had it at home, but when you go to the Zero Hedge article, or our article that had Zero Hedge, with the two links, and don't print all 900 pages, but print me a bunch, where it says print here and here, the two document droves.
[01:41:33.735 --> 01:41:34.235]  You know what?
[01:41:34.235 --> 01:41:34.695]  Screw it.
[01:41:34.695 --> 01:41:36.477]  Print, we got a big industrial printer.
[01:41:36.477 --> 01:41:38.778]  Print me 900 pages.
[01:41:38.778 --> 01:41:39.159]  Print it all.
[01:41:40.216 --> 01:41:40.596]  Print it all.
[01:41:40.596 --> 01:41:42.157]  That'll be easier for me to read than on a screen.
[01:41:42.157 --> 01:41:45.820]  I've been trying to read it at home, and I scanned over 500 pages last night.
[01:41:45.820 --> 01:41:47.361]  So print that sucker.
[01:41:47.361 --> 01:41:50.503]  All 900 pages for me, please.
[01:41:50.503 --> 01:41:51.764]  Okay, we're going to break.
[01:41:51.764 --> 01:41:54.786]  I want listeners to know we have got the Cavalry has arrived.
[01:41:54.786 --> 01:41:58.469]  This is a new super product that is so strong and so amazing.
[01:41:58.469 --> 01:42:06.175]  Be very careful, and I'd take the half recommended dose at first, you know, because it's got double the natural caffeine that Brain Force Plus has.
[01:42:07.344 --> 01:42:11.925]  It's got a whole bunch of herbs and known compounds that just turbocharge the body.
[01:42:11.925 --> 01:42:23.969]  Guarara Seed, Alpha GPC, Green Coffee Bean, Alethra Root, Yerba Mate, Corsetan, Green Tea Leaves, Ginkgo Leaf, Ashwagandha Root, and so much more.
[01:42:23.969 --> 01:42:27.050]  It is Brain Force Ultra.
[01:42:28.092 --> 01:42:29.292]  A limited supply came in.
[01:42:29.292 --> 01:42:32.193]  It's going to sell out in five, six days at current sales rate, which is a bummer.
[01:42:32.193 --> 01:42:37.495]  We just did a small order because we're low on funds, but we're going to put a big order now.
[01:42:37.495 --> 01:42:39.776]  But get it while you can at InfoWarsTore.com.
[01:42:39.776 --> 01:42:44.217]  Rainforest Ultra, discounted out of the gates right now at InfoWarsTore.com.
[01:42:46.306 --> 01:42:53.672]  Even more than Trump, Mike Lindell has been out there exposing the fact that the 2020 election was stolen.
[01:42:53.672 --> 01:42:55.894]  And his symposium was amazing.
[01:42:55.894 --> 01:43:00.218]  90 plus percent of the information was accurate and was damning and was groundbreaking.
[01:43:00.218 --> 01:43:06.083]  A few poisoned pills, a few pieces of disinfo were slipped in to try to discredit the whole thing.
[01:43:06.083 --> 01:43:08.425]  Folks, I'm surprised the conference even happened.
[01:43:09.185 --> 01:43:15.728]  They had infiltrators and others that really disrupted it and tried to shut it down because Mike Lindell is over the target.
[01:43:15.728 --> 01:43:24.893]  And you're over the target when you support his important investigation that is every American's right to do to contest an election if you think that there was issues.
[01:43:24.893 --> 01:43:26.694]  Look what the Democrats have done over the years.
[01:43:26.694 --> 01:43:37.219]  And he's continuing his investigations and continuing his work so it's more important than ever to support what he's doing at MyPillow.com and to support InfoWars at the same time with promo code Alex.
[01:43:38.539 --> 01:43:51.046]  I've been fighting as hard as I can for almost 28 years against the globalists.
[01:43:51.046 --> 01:43:53.087]  I wanted to stop their agenda.
[01:43:53.087 --> 01:43:58.570]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[01:43:58.570 --> 01:43:59.670]  But we failed.
[01:43:59.670 --> 01:44:01.331]  Yes, a lot of people are awake.
[01:44:01.331 --> 01:44:03.192]  Yes, we're not getting caught flat-footed.
[01:44:03.192 --> 01:44:04.873]  But they are going ahead
[01:44:05.253 --> 01:44:09.175]  With their full operational de-industrialization, Great Reset.
[01:44:09.175 --> 01:44:18.080]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:44:18.080 --> 01:44:23.263]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[01:44:23.263 --> 01:44:26.185]  And one of the number one things to do is high-quality, storable food.
[01:44:26.185 --> 01:44:30.948]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[01:44:30.948 --> 01:44:34.470]  So whether it's a month, or a six-month, or a year supply, or specialty diets,
[01:44:34.750 --> 01:44:36.491]  It's ready to ship right now.
[01:44:36.491 --> 01:44:43.735]  Lock your orders in before food prices go up and before there are long lines and waits, because believe me, serious times are coming.
[01:44:43.735 --> 01:44:47.517]  Get ready at InfowarsStore.com.
[01:44:47.517 --> 01:44:51.079]  So when I first started taking Survival Shield, basically I was 275 pounds.
[01:44:51.079 --> 01:44:52.499]  I was overweight.
[01:44:52.499 --> 01:44:54.841]  I had brain fog like you wouldn't believe.
[01:44:54.841 --> 01:44:56.782]  I was barely holding on to a job.
[01:44:56.782 --> 01:44:59.243]  And I heard Dr. Grip on your show and I listened to it.
[01:44:59.243 --> 01:45:03.065]  So the first one I got was the original Survival Shield, the X1, and it worked pretty
[01:45:03.285 --> 01:45:03.925]  We're good to go.
[01:45:19.753 --> 01:45:25.734]  So the course of the next couple of years, I got my health back and I religiously take basically all of your supplements.
[01:45:25.734 --> 01:45:28.115]  They're all absolutely amazing supplements.
[01:45:28.115 --> 01:45:29.995]  The one I like recently is Knockout.
[01:45:29.995 --> 01:45:32.235]  It'll literally, like if you want to sleep, just take it.
[01:45:32.235 --> 01:45:32.976]  It's amazing.
[01:45:32.976 --> 01:45:33.496]  It works.
[01:45:33.496 --> 01:45:36.036]  But anyway, so the point is we have to get ourselves clean.
[01:45:36.036 --> 01:45:38.557]  We have to break free of the globalist system.
[01:45:38.557 --> 01:45:42.217]  And the only way to do that is to take our own health into our own hands.
[01:45:42.217 --> 01:45:43.478]  Beautifully said, brother.
[01:45:43.478 --> 01:45:45.418]  I thank you so much for your call and Godspeed.
[01:45:47.073 --> 01:45:55.001]  There are a lot of energy drinks and energy pills on the market and of course most of them work because if something doesn't work, people aren't going to reorder it.
[01:45:55.001 --> 01:46:05.251]  But they have side effects, they have chemicals, they have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[01:46:05.891 --> 01:46:17.900]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[01:46:17.900 --> 01:46:22.244]  Well now, we are introducing something that is at the next level.
[01:46:22.244 --> 01:46:23.785]  Multiple years in development.
[01:46:24.265 --> 01:46:26.866]  You're listening to the Alex Jones Show!
[01:47:27.880 --> 01:47:29.434]  Very superstitious.
[01:47:42.216 --> 01:47:44.197]  Monday through Friday from 11 a.m.
[01:47:44.197 --> 01:47:44.758]  to 3 p.m.
[01:47:44.758 --> 01:47:58.367]  we're here and remember the way we get out to new people and pass the internet blockade by big tech and big pharma is trying to kill everybody and trying to suppress treatments and the truth is you telling friends neighbors family perfect strangers
[01:48:00.167 --> 01:48:02.308]  Hey, you've heard about the demonized Alex Jones?
[01:48:02.308 --> 01:48:21.781]  Well, here's the URL, right on the back of a napkin, on the back of a piece of paper, on the back of your business card, freeworldnews.tv, because that's the current URL we've had for like five months that isn't banned by Twitter and Facebook, and we're able to share the links via that, but you can share any of the links on your private email, your text messages, your word of mouth.
[01:48:21.781 --> 01:48:25.644]  That's king, and that's why they don't want you protesting, they don't want you in the street.
[01:48:25.644 --> 01:48:28.186]  They've had in Australia, New Zealand, and Canada, and the UK.
[01:48:29.653 --> 01:48:37.796]  Government leaders, criminals, say, we don't want to allow demonstrations in the lockdown because people will talk and they'll get disinformation.
[01:48:37.796 --> 01:48:41.898]  You mean we'll organize against your martial law takeover.
[01:48:41.898 --> 01:48:48.060]  This is all being done, ladies and gentlemen.
[01:48:48.060 --> 01:48:53.603]  This is all being carried out.
[01:48:53.603 --> 01:48:59.245]  Because you have this criminal, out of control, psychotic and sociopathic elite.
[01:49:00.734 --> 01:49:30.216]  That are in control of the major corporations that are in control of the banks and their Ponzi scheme of thousands of trillions of fake dollars and other currencies is coming down and they need a global Great Reset to convince you it's your fault and that you're going to have nothing and own nothing and there's going to be a new global currency and digital system tied to your phone, tied to your medical credit app that will then be based on carbon taxes that will track and trace and control everything you do and everywhere you
[01:49:30.396 --> 01:49:32.458]  Go.
[01:49:32.458 --> 01:49:36.722]  And that's their admissions, and that's being rolled out all over the British Empire.
[01:49:36.722 --> 01:49:43.849]  This isn't a British conspiracy, but the British Empire was the most powerful system in the world until the end of World War II.
[01:49:43.849 --> 01:49:52.638]  It then merged with the United States, and we became the global empire of this system.
[01:49:53.878 --> 01:49:56.759]  And we've had our energy and our wealth transferred out.
[01:49:56.759 --> 01:49:58.020]  We had over half the wealth in 1950.
[01:49:58.020 --> 01:50:00.321]  Now we've got like 20% of it.
[01:50:00.321 --> 01:50:05.543]  To not empower the world, but to put the globalists in charge.
[01:50:05.543 --> 01:50:11.565]  And so now, they've been caught corrupting people with money, with drugs, with payoffs, with pedophilia.
[01:50:11.565 --> 01:50:16.967]  To get in the globalist club, you've got to engage in the pedophilia, even if you don't like it, so they quote, can trust you.
[01:50:18.373 --> 01:50:20.474]  And that's what Jeffrey Epstein did.
[01:50:20.474 --> 01:50:21.855]  That's what these other groups did.
[01:50:21.855 --> 01:50:25.038]  And it's come out in the British intelligence does this.
[01:50:25.038 --> 01:50:26.799]  Elements of the CIA do this.
[01:50:26.799 --> 01:50:29.581]  It's all been declassified.
[01:50:29.581 --> 01:50:37.766]  They put pedophiles in charge all over Afghanistan because that was groups and organizations that, again, they controlled.
[01:50:40.711 --> 01:50:42.012]  Here's an article out today.
[01:50:42.012 --> 01:50:46.317]  Hollywood actresses, the top trending story, puts Hillary Clinton on notice.
[01:50:46.317 --> 01:50:49.420]  You represent no flag, no country, no soul.
[01:50:49.420 --> 01:50:50.221]  You eat hope.
[01:50:50.221 --> 01:50:51.602]  That's a great way of saying it.
[01:50:51.602 --> 01:50:53.564]  You twist minds.
[01:50:53.564 --> 01:50:58.569]  I have been in a hotel room with you and your husband, and here comes the bomb.
[01:50:58.569 --> 01:51:02.653]  So, Rose McGowan brought down Harvey Weinstein.
[01:51:02.653 --> 01:51:04.395]  Well, it's well known that Oprah Winfrey
[01:51:05.475 --> 01:51:11.422]  Would, from our sources that have been dead on, it's come out now, have sex with these women.
[01:51:11.422 --> 01:51:13.965]  Oprah was admittedly a prostitute when she was 12 years old.
[01:51:13.965 --> 01:51:16.608]  When you're abused as a child, you tend to abuse others.
[01:51:16.608 --> 01:51:18.610]  She's had men as beards.
[01:51:18.610 --> 01:51:20.111]  I don't hate her because she's a lesbian.
[01:51:20.632 --> 01:51:33.117]  But I do dislike her because she's a eugenicist, she wants world government, she runs weird cults with John of God and weird cults in Africa, and it's just bringing in the poisons and the vaccines and all of it.
[01:51:33.117 --> 01:51:34.538]  She's the black face of the New World Order.
[01:51:34.538 --> 01:51:44.922]  She's the only black person allowed in these UN Bill Gates depopulation meetings that have been in the New York Times, Wall Street Journal, what heroes they are, and the Good Club, forming a world government to depopulate.
[01:51:46.238 --> 01:51:48.922]  Rose McGowan goes on and says you're a monster Oprah.
[01:51:48.922 --> 01:51:49.723]  I know what you've done.
[01:51:49.723 --> 01:51:51.045]  I'm going to expose you.
[01:51:51.045 --> 01:51:52.768]  I've been in a hotel room with the Clintons.
[01:51:52.768 --> 01:51:54.110]  I'm going to expose you.
[01:51:54.110 --> 01:51:54.811]  You're going down.
[01:51:54.811 --> 01:51:56.213]  You helped your husband rape women.
[01:51:58.083 --> 01:52:11.647]  She tells Hillary Clinton, unfortunately for Hillary, she is Rose McGowan's next target and the Me Too activist and former charmed actress may be the one person who has the courage to take on the mob boss of the Clinton crime family.
[01:52:11.647 --> 01:52:13.827]  You are the enemy of what's good, right and moral.
[01:52:13.827 --> 01:52:16.548]  You represent no flag, no country, no soul.
[01:52:16.548 --> 01:52:17.828]  You eat hope.
[01:52:17.828 --> 01:52:19.449]  You twist minds, she tweeted.
[01:52:20.129 --> 01:52:34.752]  And then she landed an ominous warning for women who, for decades, have stood idly by, allowing her husband to prey on women, knowing full well that her sexual predator husband was the ticket to her ultimate dream of becoming President of the United States.
[01:52:34.752 --> 01:52:41.034]  McGowan concluded her message by saying to Hillary, I've been in a hotel room with you and your husband, and here comes the bomb.
[01:52:42.858 --> 01:52:45.219]  Full article is at infowares.com.
[01:52:45.219 --> 01:52:46.519]  Now let's run quick through this stack.
[01:52:46.519 --> 01:52:49.780]  I'm going to do a special report probably this weekend just on this stack.
[01:52:49.780 --> 01:52:52.241]  But let me just tell you what's in it.
[01:52:52.241 --> 01:52:54.202]  Here's the week publication.
[01:52:54.202 --> 01:52:56.842]  The Jeffrey Epstein case is why people believe Pizzagate.
[01:52:56.842 --> 01:53:04.705]  They created Pizzagate and had the Wall Street Journal, New York Times, CNN say it was a pizza place using 4chan to divert to the pizza place.
[01:53:05.802 --> 01:53:15.488]  Instead of the WikiLeaks that had all the admissions of Weiner and Epstein and all of them doing Aleister Crowley rituals, sex rings, kids in hot tubs, all of it.
[01:53:15.488 --> 01:53:16.069]  Okay?
[01:53:16.069 --> 01:53:19.211]  So yeah, but then they use that to divert off of it again.
[01:53:19.211 --> 01:53:20.231]  And again, look at Newsom.
[01:53:20.231 --> 01:53:22.013]  He's into all this stuff from our intel.
[01:53:22.013 --> 01:53:25.014]  Women are smarter in politics, smarter in civics.
[01:53:25.014 --> 01:53:26.375]  They're smarter in economics.
[01:53:26.375 --> 01:53:27.156]  Women rule.
[01:53:27.156 --> 01:53:28.537]  That's just pandering to women.
[01:53:28.537 --> 01:53:30.038]  They totally exploit and control women.
[01:53:31.038 --> 01:53:36.621]  Trudeau, you need to do the counter-she-cession and turn it into a she-covery.
[01:53:36.621 --> 01:53:38.322]  Other parties don't talk about feminism.
[01:53:38.322 --> 01:53:40.503]  They don't talk about the impact of women on this crisis.
[01:53:40.503 --> 01:53:43.265]  It's just all sophistry.
[01:53:43.265 --> 01:53:44.166]  It's all manipulation.
[01:53:44.166 --> 01:53:45.406]  It's all pandering.
[01:53:45.406 --> 01:53:53.091]  Yeah, Ghislaine Maxwell's prosecutors ordered to disclose names of her alleged sex abuse co-conspirators.
[01:53:53.091 --> 01:53:55.312]  And it goes on from there.
[01:53:57.250 --> 01:54:01.452]  And the judge is ordering all of those names released by the FBI.
[01:54:01.452 --> 01:54:05.193]  Of course, that may be because the FBI is just going to remove the names off of there.
[01:54:05.193 --> 01:54:07.914]  But that's how all these blackmail rings work.
[01:54:07.914 --> 01:54:12.696]  Just look at the pathetic scum these people are.
[01:54:12.696 --> 01:54:13.216]  There's another one.
[01:54:13.216 --> 01:54:17.878]  Leftists look to Satanists as last best hope to save abortion in Texas.
[01:54:17.878 --> 01:54:23.840]  The Satanists file cases saying killing babies is their sacrament, which it is.
[01:54:23.840 --> 01:54:24.821]  The Democrats now say,
[01:54:26.192 --> 01:54:28.213]  Satanists are our last great hope.
[01:54:28.213 --> 01:54:30.374]  Oh my gosh, they're our party, they're our people.
[01:54:30.374 --> 01:54:31.875]  Yes, they're really nice.
[01:54:31.875 --> 01:54:37.918]  Satanists challenge Texas abortion law, argue religious freedom to kill babies.
[01:54:37.918 --> 01:54:39.639]  Actually, oh, now it's a baby.
[01:54:39.639 --> 01:54:43.000]  Satan works mysterious ways.
[01:54:43.000 --> 01:54:43.981]  And then it just goes on.
[01:54:47.079 --> 01:54:53.860]  Now, let's move into the larger issues here of what's really going on.
[01:54:53.860 --> 01:54:58.421]  Great Reset, UN orders 10 year old deadline.
[01:54:58.421 --> 01:55:06.063]  So the UN comes out and orders 10 year deadline for Australia to shut down entire coal industry to fight climate change.
[01:55:06.063 --> 01:55:09.424]  They're now trying to put us under that agreement as well and they're over our medicine.
[01:55:09.424 --> 01:55:11.524]  And again, who runs the UN?
[01:55:11.524 --> 01:55:14.965]  These same Satanists, these same pedophiles, these same control freaks.
[01:55:16.411 --> 01:55:18.292]  They can turn off your energy, they can turn off everything.
[01:55:18.292 --> 01:55:19.832]  China says they're not going to follow it.
[01:55:19.832 --> 01:55:21.333]  Neither is India.
[01:55:21.333 --> 01:55:25.995]  Local news station refuses to retract Ivermectin fake news.
[01:55:25.995 --> 01:55:27.975]  Don't know how that got in the pile.
[01:55:27.975 --> 01:55:28.776]  Now this is key.
[01:55:28.776 --> 01:55:32.177]  Personal carbon allowances revisited.
[01:55:33.393 --> 01:55:36.998]  That's out of Nature's Journal of Sustainability.
[01:55:36.998 --> 01:55:48.211]  And it says, on your phone, using the new COVID trackers, tax everybody by the mile, tell them when they can leave their house, where they can go, what they can do with the carbon credit system.
[01:55:48.211 --> 01:55:51.956]  And again, that's being proposed all over the place.
[01:55:52.737 --> 01:55:55.238]  That's how they lay this out.
[01:55:55.238 --> 01:55:57.478]  Then we shift gears into these articles.
[01:55:57.478 --> 01:56:03.400]  Pentagon document lays out plans to battle against zombies.
[01:56:03.400 --> 01:56:05.561]  CNN, 2014.
[01:56:05.561 --> 01:56:06.781]  Here's another one.
[01:56:06.781 --> 01:56:07.902]  Foreign policy.
[01:56:07.902 --> 01:56:09.742]  The Pentagon has a plan to stop zombies.
[01:56:09.742 --> 01:56:10.302]  Apocalypse.
[01:56:10.302 --> 01:56:11.123]  Seriously.
[01:56:11.123 --> 01:56:17.745]  Then Amazon has a zombie apocalypse collapse in its Terms of Service, its Act of God section.
[01:56:17.745 --> 01:56:18.265]  Why is that?
[01:56:19.246 --> 01:56:23.027]  Because the Pentagon doesn't train to mow down millions of starving Americans.
[01:56:23.027 --> 01:56:25.648]  Within 10 days, people become like zombies.
[01:56:25.648 --> 01:56:28.228]  They're not literally zombies, but they act like them.
[01:56:28.228 --> 01:56:30.389]  Unless they're extremely moral people.
[01:56:30.389 --> 01:56:32.769]  Then they usually commit suicide en masse.
[01:56:32.769 --> 01:56:35.530]  But that's what the Japanese would do, and I want to say that's a good thing.
[01:56:35.530 --> 01:56:37.690]  But here, it'll be a time bomb.
[01:56:37.690 --> 01:56:40.351]  Like army ants going out, like the movie The Road.
[01:56:40.351 --> 01:56:48.133]  And so, to cover up their training to use helicopters to nerve gas us and machine gun us, once they turn the food and infrastructure off, once it collapses,
[01:56:49.400 --> 01:57:07.657]  The Pentagon again calls it a zombie apocalypse, but that's really the Agenda 2030 collapse after the virus they're going to release, and other viruses they release, cause the breakdown of hospitals, the breakdown of society, after the globals turn off the pipelines, turn off the nuclear reactors, turn everything off, it then will slowly degrade into a giant depopulation event.
[01:57:07.657 --> 01:57:11.941]  And here's the official CDC plan preparing us for a zombie apocalypse.
[01:57:13.220 --> 01:57:14.741]  And that's just some of the stack.
[01:57:14.741 --> 01:57:17.804]  I'll get more to that when we come back.
[01:57:17.804 --> 01:57:22.689]  But I think you're starting to get a very good idea about what's going on here.
[01:57:22.689 --> 01:57:29.415]  They're preparing for mass death and they're triggering the system that is going to bring that into place.
[01:57:29.415 --> 01:57:33.539]  All right, more straight ahead with the smoking gun documents on Fauci.
[01:57:34.904 --> 01:57:36.485]  Gerald of South Carolina.
[01:57:36.485 --> 01:57:37.266]  Go ahead, you're on the air.
[01:57:37.266 --> 01:57:37.986]  Trying to move quicker.
[01:57:37.986 --> 01:57:38.807]  Hey, Alex.
[01:57:38.807 --> 01:57:39.247]  Welcome.
[01:57:39.247 --> 01:57:44.391]  Would like to say, first off, thanks for being the voice of reason in amongst all this stupidity.
[01:57:44.391 --> 01:57:47.754]  Wanted to warn people, I've been trying to get a hold of you for a year, okay?
[01:57:47.754 --> 01:57:54.219]  I'm a double amputee and I have bacteria infection on my lung that'll never go away.
[01:57:54.219 --> 01:57:55.840]  Living Defense saved my life.
[01:57:55.840 --> 01:58:00.003]  They had me on antibiotics for two years that almost killed me.
[01:58:00.003 --> 01:58:01.424]  Living Defense brought me back.
[01:58:01.704 --> 01:58:07.208]  I wanted to just quote from the Bible Jesus is saying as to where we are right now.
[01:58:07.208 --> 01:58:09.610]  This is Matthew 24 verse 9.
[01:58:09.610 --> 01:58:18.876]  Then they shall deliver you up to be afflicted and shall kill you and ye shall be hated of all nations for my name's sake.
[01:58:18.876 --> 01:58:24.340]  And then shall many be offended and shall betray one another and shall hate one another.
[01:58:24.340 --> 01:58:25.821]  That's right where we're at, brother.
[01:58:26.041 --> 01:58:30.468]  And that's because God's name is on the founding of this country, no matter what they say.
[01:58:30.468 --> 01:58:33.554]  And that's why the enemy hates it, because God created this country.
[01:58:36.095 --> 01:58:40.960]  I've been fighting as hard as I can for almost 28 years against the globalists.
[01:58:40.960 --> 01:58:43.001]  I wanted to stop their agenda.
[01:58:43.001 --> 01:58:48.486]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[01:58:48.486 --> 01:58:49.587]  But we failed.
[01:58:49.587 --> 01:58:51.229]  Yes, a lot of people are awake.
[01:58:51.229 --> 01:58:53.111]  Yes, we're not getting caught flat-footed.
[01:58:53.111 --> 01:58:58.235]  But they are going ahead with their full operational deindustrialization Great Reset.
[01:58:59.036 --> 01:59:07.944]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:59:07.944 --> 01:59:13.088]  So we've got to information warfare the enemy and try to stop their agenda, and we've also got to get personally prepared.
[01:59:13.088 --> 01:59:16.011]  And one of the number one things to do is high-quality, storable food.
[01:59:16.011 --> 01:59:20.755]  We've got the best food ready to ship at very affordable prices at infowarrestore.com.
[01:59:20.755 --> 01:59:25.920]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[01:59:26.300 --> 01:59:31.204]  Lock your orders in before food prices go up and before there are long lines in wait.
[01:59:31.204 --> 01:59:33.546]  Because believe me, serious times are coming.
[01:59:33.546 --> 01:59:38.531]  Get ready at InfoWarsTore.com.
[01:59:38.531 --> 01:59:41.213]  You're listening to the Alex Jones Show.
[01:59:58.629 --> 02:00:26.665]  You know, I've got a pretty thick skin, but reading 500 pages last night, I scanned over 500 pages of the 900, and seeing Fauci describing how to build COVID-19, and building it, and then how to cover it up, and just knowing that if we don't do something, he's gonna get away with it, is surreal to know we've got criminals that are in control of all of the law enforcement agencies at the top,
[02:00:28.288 --> 02:00:35.951]  And that they're bringing in a system that will destroy them, but they don't care because they're such cowards, is just mind-blowing.
[02:00:35.951 --> 02:00:39.913]  But Dr. Francis Boyle is joining us here in a moment.
[02:00:39.913 --> 02:00:42.274]  We're going to cover it all.
[02:00:42.274 --> 02:00:45.215]  I want to make a very important announcement to all the listeners, though.
[02:00:46.903 --> 02:01:00.354]  I want to make a very important announcement to all the great listeners that are tuned into the broadcast today, and it's that I want to thank you for your support in keeping us on air, despite all the attacks, all the demonization, all the death threats, and all the behind-the-scenes dirty tricks.
