[00:00.000 --> 00:08.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:06:52.320 --> 01:06:58.960]  We're also going to have two-hour special coverage tonight at InfoWarsNightlyNews.com
[01:06:58.960 --> 01:07:01.240]  with our great reporter team.
[01:07:01.240 --> 01:07:03.440]  We have reporters out on the street last night.
[01:07:03.440 --> 01:07:07.120]  It was pretty amazing that we're getting to the level now where we are going to be able
[01:07:07.120 --> 01:07:12.400]  to challenge the establishment outfits like MSNBC.
[01:07:12.400 --> 01:07:15.360]  Governor Ventura has not been doing interviews last month except with us but he will be on
[01:07:15.360 --> 01:07:17.240]  Pierce Morgan tonight.
[01:07:17.240 --> 01:07:21.360]  We've got some breaking news on that front but first off with former Minnesota Governor
[01:07:21.360 --> 01:07:27.000]  Jesse Ventura, author Jesse Ventura with his demo Crips and Republicans book that's
[01:07:27.000 --> 01:07:28.640]  a bestseller.
[01:07:28.640 --> 01:07:32.440]  Let's talk about the election and your take on it because I talked to you during the break
[01:07:32.440 --> 01:07:33.440]  gov.
[01:07:33.440 --> 01:07:38.040]  You said that you did watch much of the election returns last night.
[01:07:38.040 --> 01:07:40.600]  You've got some comments also on some of the propositions.
[01:07:40.600 --> 01:07:42.560]  I watched because I was interested.
[01:07:42.560 --> 01:07:48.240]  I actually what I hoped for didn't happen but it almost did and that was this.
[01:07:48.240 --> 01:07:55.560]  If you go back to 2000, if you remember, Al Gore won the popular vote by half a million
[01:07:55.560 --> 01:08:01.240]  but George Bush won the presidency because of the electoral college and for a long time
[01:08:01.240 --> 01:08:05.560]  last night it looked like those two were going to reverse itself.
[01:08:05.560 --> 01:08:09.880]  It looked like President Obama was going to win the electoral college and for a great
[01:08:09.880 --> 01:08:14.800]  deal of a night it looked like Mitt Romney was going to win the popular vote which is
[01:08:14.800 --> 01:08:18.360]  what I was hoping would happen and it did fall short.
[01:08:18.360 --> 01:08:24.480]  The president ended up winning the popular vote by a very slim margin and then of course
[01:08:24.480 --> 01:08:29.920]  won the electoral by a much wider margin and the reason I wanted that to happen was because
[01:08:29.920 --> 01:08:35.240]  I wanted to shoe on the other foot within a decade almost because I'm an advocate to
[01:08:35.240 --> 01:08:38.760]  abolish the electoral college and I always have been.
[01:08:38.760 --> 01:08:41.400]  I don't understand its purpose anymore.
[01:08:41.400 --> 01:08:43.160]  It's outdated.
[01:08:43.160 --> 01:08:49.080]  It was put into play back when they had to go to Washington on horseback so it was the
[01:08:49.080 --> 01:08:51.720]  only way they could determine a president.
[01:08:51.720 --> 01:08:57.720]  Well, we live in an electronic age now where they can look into your backyard from a satellite.
[01:08:57.720 --> 01:09:01.560]  What the hell do we need with the electoral college?
[01:09:01.560 --> 01:09:07.160]  The presidency is the only election in this country that is decided by not the most popular
[01:09:07.160 --> 01:09:08.160]  vote.
[01:09:08.160 --> 01:09:09.160]  Why?
[01:09:09.160 --> 01:09:15.400]  Sure, I think the argument is the states need to maintain their integral sovereignty
[01:09:15.400 --> 01:09:21.600]  within the union and so you do have a popular vote within the state and the popular vote
[01:09:21.600 --> 01:09:28.600]  renders up that particular number so that the states are still in control of it kind
[01:09:28.600 --> 01:09:32.440]  of like until they came along with the 17th amendment as you know in 1913 governor.
[01:09:32.440 --> 01:09:37.280]  The senators were elected by the legislature and were creatures of the state so that you
[01:09:37.280 --> 01:09:42.640]  had popular elected House members but senators sent by the legislature so that you as a governor
[01:09:42.640 --> 01:09:46.360]  could go to the legislature and say I don't like what that U.S. senator is doing, recall
[01:09:46.360 --> 01:09:47.360]  them.
[01:09:47.360 --> 01:09:49.680]  Yeah, and I disagree with that too.
[01:09:49.680 --> 01:09:54.460]  You know, I just don't buy the electoral college.
[01:09:54.460 --> 01:09:59.700]  To me, how can you get the most votes and lose that makes no sense to me?
[01:09:59.700 --> 01:10:05.420]  That you know we're one country, we're one nation and whoever gets the most votes it
[01:10:05.420 --> 01:10:09.680]  would have no bearing on this current election because Obama ended up winning the popular
[01:10:09.680 --> 01:10:10.680]  vote.
[01:10:10.680 --> 01:10:16.220]  No, no governor, I forget that to abolish the electoral college I don't agree with it.
[01:10:16.220 --> 01:10:22.180]  They sit and tell you well if you don't have the Electoral College, uh, candidates won't
[01:10:22.180 --> 01:10:27.580]  go to the little states, they'll only focus on the major metropolitan areas.
[01:10:27.580 --> 01:10:32.820]  I got news for you, even with the Electoral College, that's all they do.
[01:10:32.820 --> 01:10:38.180]  That's a hollow statement when they say that, because if I were running for president, I
[01:10:38.180 --> 01:10:43.580]  would have the opportunity to go speak in Montana or California with the Electoral
[01:10:43.580 --> 01:10:44.580]  College.
[01:10:44.580 --> 01:10:45.580]  Where am I gonna go?
[01:10:45.580 --> 01:10:49.020]  I'm gonna go where the electoral votes are.
[01:10:49.020 --> 01:10:53.020]  So it's irrelevant, it doesn't make any sense when they use that argument.
[01:10:53.020 --> 01:10:59.020]  Naturally, a candidate is gonna go where the most masses of people can be reached.
[01:10:59.020 --> 01:11:04.300]  Well I agree with you, and that's a great standpoint to see that, but that's one thing
[01:11:04.300 --> 01:11:07.660]  that, you know, Obama, another one of the lies he told the night before the election,
[01:11:07.660 --> 01:11:11.020]  he said, look, I always tell the truth, I don't lie, we've played that clip over and
[01:11:11.020 --> 01:11:15.220]  over again, and he's, I mean, think of all the lies, Governor, what lies can you think
[01:11:15.220 --> 01:11:18.820]  of, you know, that now we're looking at Obama so we can move past Romney.
[01:11:18.820 --> 01:11:23.260]  Four more years of Obama, the reason I'm really concerned about that, he can launch wars,
[01:11:23.260 --> 01:11:28.380]  but because he's the Peace Prize winner, they're not wars in Libya and Syria, he can continue
[01:11:28.380 --> 01:11:29.380]  war on the spine.
[01:11:29.380 --> 01:11:33.940]  Chris Hedges, the Pulitzer Prize-winning big liberal, he says Obama is far worse than
[01:11:33.940 --> 01:11:34.940]  Bush on many fronts.
[01:11:34.940 --> 01:11:39.060]  I mean, are you concerned about what Obama can do now, not facing-
[01:11:39.060 --> 01:11:45.220]  I'm not concerned about what Obama personally can do, I'm concerned about what started with
[01:11:45.220 --> 01:11:47.260]  George Bush and was allowed to happen.
[01:11:47.260 --> 01:11:52.260]  Let's remember, this stuff wasn't created by Barack Obama, this stuff went into effect
[01:11:52.260 --> 01:11:53.260]  under George Bush.
[01:11:53.260 --> 01:11:55.260]  Okay, well then we should pressure him to get rid of it.
[01:11:55.260 --> 01:11:59.380]  He criticized Barack Obama, Barack Obama has expanded it.
[01:11:59.380 --> 01:12:00.380]  Exactly.
[01:12:00.380 --> 01:12:04.660]  So he's just doing what was started a decade ago.
[01:12:04.660 --> 01:12:07.020]  Now we need to stop that.
[01:12:07.020 --> 01:12:11.620]  We need to speak out loudly and we as citizens need to stand up and we can start with the
[01:12:11.620 --> 01:12:12.620]  drugs.
[01:12:12.620 --> 01:12:18.660]  Washington and Colorado are two great places, but the people of those states, which I believe
[01:12:18.660 --> 01:12:23.820]  states should determine what drugs are illegal or not legal, should be up to the state.
[01:12:23.820 --> 01:12:29.780]  And if the federal now comes down hard on Colorado and Washington for this, we as the
[01:12:29.780 --> 01:12:34.340]  rest of the country need to step forward and say, hey, wait a minute, instead of sitting
[01:12:34.340 --> 01:12:36.340]  on our asses out there doing nothing.
[01:12:36.340 --> 01:12:39.540]  Well, I agree with you and look, you know, 10th Amendment, you as a governor know it
[01:12:39.540 --> 01:12:40.780]  better than anybody.
[01:12:40.780 --> 01:12:42.980]  This is the key and why we have states.
[01:12:42.980 --> 01:12:47.300]  It's time for the states to say, hey, we're going to do what our constitution and our
[01:12:47.300 --> 01:12:52.020]  people say, we're not going to have the distant federal government run by a bunch of foreign
[01:12:52.020 --> 01:12:54.180]  banks telling us what to do.
[01:12:54.180 --> 01:13:00.180]  And again, even though I'm not somebody that uses marijuana as a recreational thing, my
[01:13:00.180 --> 01:13:04.420]  issue is I know it's a red herring fraud, I know reefer madness is a fraud, I know it's
[01:13:04.420 --> 01:13:08.900]  got a lot of medical uses, and I know that the feds have no business.
[01:13:08.900 --> 01:13:13.660]  As Obama said it four years ago, he was going to stop enforcing federal stuff on recreational
[01:13:13.660 --> 01:13:15.620]  bigger issue than that Alex.
[01:13:15.620 --> 01:13:24.940]  The issue is this in the supposed free society, which we claim that we are, how can you commit
[01:13:24.940 --> 01:13:26.660]  a crime against yourself?
[01:13:26.660 --> 01:13:27.660]  Yeah, follow me.
[01:13:27.660 --> 01:13:30.500]  That's what drug usage is.
[01:13:30.500 --> 01:13:36.620]  If you don't harm anybody else, and you simply ingest a drug, how can they arrest you for
[01:13:36.620 --> 01:13:42.140]  that in a supposed free society when you're only committing a crime against yourself?
[01:13:42.140 --> 01:13:48.540]  It's, it's unconscionable to me, the concept that you can commit a crime against yourself.
[01:13:48.540 --> 01:13:49.540]  No, I agree.
[01:13:49.540 --> 01:13:52.780]  I'm just saying the mechanism of the state is there.
[01:13:52.780 --> 01:13:57.380]  That's why we have it to be a check and balance against out of control federal behavior, right?
[01:13:57.380 --> 01:13:58.380]  Right.
[01:13:58.380 --> 01:14:03.260]  But the big point is that whether you agree with marijuana or not is irrelevant.
[01:14:03.260 --> 01:14:08.380]  It is the point of the matter of committing a crime against yourself in a supposed free
[01:14:08.380 --> 01:14:09.380]  society.
[01:14:09.380 --> 01:14:10.380]  No, no, I agree with you.
[01:14:10.380 --> 01:14:12.380]  You shouldn't be able to do that.
[01:14:12.380 --> 01:14:16.740]  I'm just saying even the marijuana phobics out there need to understand this model of
[01:14:16.740 --> 01:14:22.700]  nullification and using the states to block the feds when they're out of control and in
[01:14:22.700 --> 01:14:25.580]  the tyranny department is something that's really working.
[01:14:25.580 --> 01:14:26.580]  Yeah.
[01:14:26.580 --> 01:14:31.980]  And that's why people should get on board and support what Colorado and Washington did.
[01:14:31.980 --> 01:14:37.220]  But the people of those states determined on their own that they were going to now want
[01:14:37.220 --> 01:14:42.740]  to tax marijuana, they want to treat it the same as alcohol, they want the revenues from
[01:14:42.740 --> 01:14:46.540]  it, and they don't want people putting jail over it.
[01:14:46.540 --> 01:14:52.860]  And that's the right way to go because again, it's a step forward in a free society of abolishing
[01:14:52.860 --> 01:14:56.940]  the ability of committing a crime against yourself.
[01:14:56.940 --> 01:15:03.060]  Now if somebody smokes pot and goes out and robs the bank, we'll find and prosecute them.
[01:15:03.060 --> 01:15:05.780]  Oh man, well nobody's robbing banks that smoke and pot.
[01:15:05.780 --> 01:15:07.780]  People drinking are doing it and using cocaine.
[01:15:07.780 --> 01:15:10.620]  But listen, expanding on that, we're about to go to break, but you bring up a really
[01:15:10.620 --> 01:15:13.260]  interesting point there.
[01:15:13.260 --> 01:15:15.380]  Government as you know, and you've written about in your books, has been caught shipping
[01:15:15.380 --> 01:15:16.900]  the drugs in to begin with.
[01:15:16.900 --> 01:15:23.060]  Well, certain facets of government, rogue facets of the CIA and things so that they
[01:15:23.060 --> 01:15:29.060]  can finance their stuff because if an element in the government has to do something and
[01:15:29.060 --> 01:15:33.500]  they get their money from Congress, well then they have to account for that money and they
[01:15:33.500 --> 01:15:37.020]  have to give reports to Congress and then it gets above board.
[01:15:37.020 --> 01:15:42.180]  Well, if they want to operate clandestinely and don't want anybody to know about what
[01:15:42.180 --> 01:15:46.420]  they're doing, then they're forced to get an outside revenue source.
[01:15:46.420 --> 01:15:48.780]  And that's what unfortunately drugs has been.
[01:15:48.780 --> 01:15:49.780]  Yes.
[01:15:49.780 --> 01:15:53.940]  We've created that as a revenue source where they can make tons of money and that way they
[01:15:53.940 --> 01:15:56.300]  can apply that money to any operating...
[01:15:56.300 --> 01:16:01.540]  Yes, Governor Romero, we'll be back.
[01:16:01.540 --> 01:16:06.060]  We just had a terrible storm in the east, but we are all still in the eye of the perfect
[01:16:06.060 --> 01:16:07.060]  storm.
[01:16:07.060 --> 01:16:10.740]  We have the most devastating economic conditions since the Great Depression.
[01:16:10.740 --> 01:16:15.420]  America's worst drought and agricultural history and what about the presidential election?
[01:16:15.420 --> 01:16:19.500]  This perfect storm is a huge threat to everyone's food supply.
[01:16:19.500 --> 01:16:23.460]  E-Foods Direct is preparing for the shortages and you had better do the same.
[01:16:23.460 --> 01:16:25.980]  I can warn you, but I can't feed you.
[01:16:25.980 --> 01:16:29.620]  You know that E-Foods is the best tasting and safest food on the planet.
[01:16:29.620 --> 01:16:33.180]  We all need a bunch of storable and usable food from E-Foods Direct.
[01:16:33.180 --> 01:16:37.540]  None of us wants to be standing in a bread line trading our freedom for food.
[01:16:37.540 --> 01:16:41.940]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
[01:16:41.940 --> 01:16:48.020]  Call 800-409-5633 or E-FoodsDirect.com slash Alex.
[01:16:48.020 --> 01:16:49.660]  How will you bet your life?
[01:16:49.660 --> 01:16:55.540]  Call 800-409-5633 or E-FoodsDirect.com slash Alex.
[01:16:55.540 --> 01:17:00.180]  Would you rather prepare six months too early or one day too late?
[01:17:00.180 --> 01:17:03.940]  Have you ever wanted to generate your own supply of electrical power, even save money
[01:17:03.940 --> 01:17:05.140]  on your electric bill?
[01:17:05.140 --> 01:17:08.660]  If so, this is going to be the most important message you will ever hear.
[01:17:08.660 --> 01:17:11.020]  Solar power generators are now available.
[01:17:11.020 --> 01:17:15.700]  These emergency backup systems provide life-saving electrical power when you need it most.
[01:17:15.700 --> 01:17:21.100]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity
[01:17:21.100 --> 01:17:22.100]  from the sun.
[01:17:22.100 --> 01:17:25.660]  It's like having an electric power plant running quietly in your own home.
[01:17:25.660 --> 01:17:29.740]  Run some pumps, shortwave radios, computers, and even keep your food from spoiling.
[01:17:29.740 --> 01:17:33.180]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through
[01:17:33.180 --> 01:17:35.020]  painful power outages again.
[01:17:35.020 --> 01:17:39.460]  And here's the best news, a remarkable fall truckload sale going on right now that gets
[01:17:39.460 --> 01:17:43.860]  you $1,700 in bonuses when you buy a solar generator.
[01:17:43.860 --> 01:17:49.060]  To find out why solar generators are the best generators and get $1,700 for doing so, go
[01:17:49.060 --> 01:17:53.220]  to falltruckloadsale.com, that's falltruckloadsale.com.
[01:17:53.220 --> 01:18:00.420]  Generate your own supply of electricity, go to falltruckloadsale.com, that's falltruckloadsale.com.
[01:18:00.420 --> 01:18:06.300]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless
[01:18:06.300 --> 01:18:11.100]  colloidal and ionic silver solutions right from the convenience of your home.
[01:18:11.100 --> 01:18:16.100]  With recent regulations threatening the sale of silver-based supplements, now you can secure
[01:18:16.100 --> 01:18:22.220]  yourself and your family by producing your own silver solutions anywhere, anytime.
[01:18:22.220 --> 01:18:27.580]  You can have the peace of mind knowing that you can create endless supply of silver anytime,
[01:18:27.580 --> 01:18:29.740]  anywhere for any application.
[01:18:29.740 --> 01:18:34.980]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement
[01:18:34.980 --> 01:18:37.020]  parts for the life of the unit.
[01:18:37.020 --> 01:18:41.740]  This product was designed to be an invaluable part of your vital preparations.
[01:18:41.740 --> 01:18:46.700]  For a detailed report on the differences between ionic silver, colloidal silver and what most
[01:18:46.700 --> 01:18:53.580]  silver solution manufacturers are producing, please visit our website at www.silverlungs.com
[01:18:53.580 --> 01:18:57.820]  for more information on why you should be producing your own silver solutions right
[01:18:57.820 --> 01:19:00.420]  from your home forever.
[01:19:00.420 --> 01:19:05.580]  That relocation is a systematic way to think strategically in the future about how do I
[01:19:05.580 --> 01:19:06.580]  safeguard.
[01:19:06.580 --> 01:19:09.140]  Renowned author and expert Joel Scowzen.
[01:19:09.140 --> 01:19:13.300]  The U.S. isn't building huge underground bases and bunkers because of some terrorist
[01:19:13.300 --> 01:19:14.300]  threat.
[01:19:14.300 --> 01:19:16.740]  They know that a massive nuclear attack is coming.
[01:19:16.740 --> 01:19:18.180]  They want that attack to come.
[01:19:18.180 --> 01:19:23.220]  Joel Scowzen is renowned as one of the world's foremost experts in strategic relocation and
[01:19:23.220 --> 01:19:24.860]  the securing of your home.
[01:19:24.860 --> 01:19:27.500]  What I tell people is that you do have time.
[01:19:27.500 --> 01:19:29.420]  We talk about natural disasters.
[01:19:29.420 --> 01:19:30.420]  The health environment.
[01:19:30.420 --> 01:19:31.420]  We talk about pollution.
[01:19:31.420 --> 01:19:32.420]  The water quality.
[01:19:32.420 --> 01:19:36.260]  My personal experience about being in every one of these states, most people wanting to
[01:19:36.260 --> 01:19:40.260]  be ready won't be able to get out of town because there will be absolute panic.
[01:19:40.260 --> 01:19:43.020]  There is no preparedness without strategy.
[01:19:43.020 --> 01:19:46.540]  This Christmas, give the gift of preparedness.
[01:19:46.540 --> 01:19:50.460]  Strategic relocation film with Joel Scowzen and Alex Jones.
[01:19:50.460 --> 01:20:15.460]  Available only at infowarshop.com or by calling 888-253-3139.
[01:20:15.460 --> 01:20:22.540]  Devastating globalist lies, exposing the mainstream media's propaganda machine.
[01:20:22.540 --> 01:20:29.140]  Tiredlessly waging war on corruption, from deep in the heart of FEMA Region 6 in Austin,
[01:20:29.140 --> 01:20:34.420]  Texas, transmitting worldwide, it's Alex Jones.
[01:20:34.420 --> 01:20:55.380]  If you are receiving this transmission, you are the resistance.
[01:20:55.380 --> 01:20:58.620]  Here's my issue, and I'm glad we're talking about this here, just because I'm always right
[01:20:58.620 --> 01:21:01.620]  up front with everybody, and I called David Eichel, but I said, hey, I think you ought
[01:21:01.620 --> 01:21:05.140]  to be in this show, because we were having these discussions, and like, yeah, maybe we're
[01:21:05.140 --> 01:21:10.060]  going to go look at it, and then I find out it's all a big blow-up, and so I just, that's
[01:21:10.060 --> 01:21:13.220]  why I'm just bummed out, because it sounds like, hey, go be part of this, and then I'm
[01:21:13.220 --> 01:21:14.220]  like-
[01:21:14.220 --> 01:21:18.380]  The only reason it was a blow-up is David Eichel won't answer a simple question.
[01:21:18.380 --> 01:21:20.380]  Watch the show and judge for yourself.
[01:21:20.380 --> 01:21:21.380]  No, no, I mean, I just-
[01:21:21.380 --> 01:21:28.860]  I was asking simple questions, and apparently I'm too stupid, and because I desire a simple
[01:21:28.860 --> 01:21:29.860]  answer.
[01:21:29.860 --> 01:21:30.860]  Yeah.
[01:21:30.860 --> 01:21:37.860]  And he tries to make it seem like there is no simple answer, and I don't buy into that.
[01:21:37.860 --> 01:21:38.860]  Sure.
[01:21:38.860 --> 01:21:39.860]  You can answer things yes or no.
[01:21:39.860 --> 01:21:40.860]  Sure.
[01:21:40.860 --> 01:21:43.620]  Well, I mean, we can stop talking about this, because we have some other issues to cover,
[01:21:43.620 --> 01:21:46.660]  but just the interest of time was this video, you know, that we've got live going out in
[01:21:46.660 --> 01:21:47.660]  this audio.
[01:21:47.660 --> 01:21:50.460]  Obviously, millions are probably going to end up watching it, you know, just wanting
[01:21:50.460 --> 01:21:54.220]  to know about this, especially once it airs tonight.
[01:21:54.220 --> 01:21:57.900]  It's just that I want people to know, Jesse Ventura did go into this, because I talked
[01:21:57.900 --> 01:22:01.620]  to him privately, we had this same discussion you just heard, and I'm like, yeah, David,
[01:22:01.620 --> 01:22:05.460]  there, they know all about that stuff, they just want to get it answered.
[01:22:05.460 --> 01:22:10.300]  And then David's the type where he said he was sitting there for like an hour, and he's
[01:22:10.300 --> 01:22:11.300]  a real nice guy.
[01:22:11.300 --> 01:22:12.300]  He's like, I want to go meet Jesse.
[01:22:12.300 --> 01:22:13.780]  They're like, no, no, you can't meet him.
[01:22:13.780 --> 01:22:18.260]  He thought it was a rudeness, because I guess TV's changed since he was at the BBC 20 years
[01:22:18.260 --> 01:22:19.260]  ago.
[01:22:19.260 --> 01:22:21.140]  He was thinking he wasn't getting to meet you.
[01:22:21.140 --> 01:22:24.580]  He didn't know that this is reality TV.
[01:22:24.580 --> 01:22:26.780]  They want you really meeting for the first time.
[01:22:26.780 --> 01:22:31.300]  So while they were fiddling with lights for an hour and a half, he got angry, you'd been
[01:22:31.300 --> 01:22:37.100]  angry on the train, I know, and all the crud you had to deal with, not flying, and a bunch
[01:22:37.100 --> 01:22:38.100]  of stuff.
[01:22:38.100 --> 01:22:41.460]  So it's just like kind of two sports guys kind of got at it in the room, I think.
[01:22:41.460 --> 01:22:43.100]  No, I don't think so.
[01:22:43.100 --> 01:22:44.780]  You watch it and judge for yourself.
[01:22:44.780 --> 01:22:45.780]  I haven't seen it.
[01:22:45.780 --> 01:22:51.060]  So you don't need to build it up that we both had bad days, and so therefore the interview
[01:22:51.060 --> 01:22:52.060]  went bad.
[01:22:52.060 --> 01:22:58.740]  Again, I leave it up to the viewer, watch the interview, listen to the questions that
[01:22:58.740 --> 01:23:04.220]  I ask David, and listen to his responses and see if you respond the same way I did.
[01:23:04.220 --> 01:23:05.220]  I can't wait.
[01:23:05.220 --> 01:23:06.220]  You're going to give me Alex.
[01:23:06.220 --> 01:23:07.220]  It's this simple.
[01:23:07.220 --> 01:23:13.740]  He beat around the bush and didn't give me answers, which I asked questions for.
[01:23:13.740 --> 01:23:19.700]  That is the only thing I got irritated over, was that I traveled a long way and I couldn't
[01:23:19.700 --> 01:23:22.780]  get an answer, plus he was very condescending towards me.
[01:23:22.780 --> 01:23:26.060]  Sure, I just talked to the crew afterwards and Tyrell called me right after it happened,
[01:23:26.060 --> 01:23:28.860]  and then I talked to David and kind of got the same story.
[01:23:28.860 --> 01:23:29.860]  I just like both heavy.
[01:23:29.860 --> 01:23:31.860]  I don't like seeing my front people I like fighting.
[01:23:31.860 --> 01:23:33.860]  Well, you know, we're not fighting.
[01:23:33.860 --> 01:23:34.860]  No, no.
[01:23:34.860 --> 01:23:35.860]  Bikes and I are not fighting.
[01:23:35.860 --> 01:23:36.860]  If there's a fight, it's on his end.
[01:23:36.860 --> 01:23:37.860]  I'm not.
[01:23:37.860 --> 01:23:38.860]  I did a TV show.
[01:23:38.860 --> 01:23:39.860]  It's over.
[01:23:39.860 --> 01:23:40.860]  It's broader under the bridge.
[01:23:40.860 --> 01:23:45.860]  I don't look at him any differently today than I did before.
[01:23:45.860 --> 01:23:47.940]  No, no, I hear you.
[01:23:47.940 --> 01:23:48.940]  I hear you.
[01:23:48.940 --> 01:23:51.060]  I just know it's going to become a controversy.
[01:23:51.060 --> 01:23:54.940]  Alex, you're too panic-stricken, relax, good to have a beer.
[01:23:54.940 --> 01:23:55.940]  Oh, man.
[01:23:55.940 --> 01:23:57.940]  Hey, we don't have beers.
[01:23:57.940 --> 01:23:59.620]  We have cigars, Jesse.
[01:23:59.620 --> 01:24:00.620]  You don't drink.
[01:24:00.620 --> 01:24:02.620]  Well, I'm telling you to have a beer.
[01:24:02.620 --> 01:24:03.620]  Please don't tell me that.
[01:24:03.620 --> 01:24:04.620]  I don't need one.
[01:24:04.620 --> 01:24:05.620]  I have one of them, buddy.
[01:24:05.620 --> 01:24:07.900]  You're the one that's all wired up over this episode.
[01:24:07.900 --> 01:24:08.900]  Relax.
[01:24:08.900 --> 01:24:09.900]  It ain't that big a deal.
[01:24:09.900 --> 01:24:10.900]  No, I know.
[01:24:10.900 --> 01:24:11.900]  I know.
[01:24:11.900 --> 01:24:12.900]  It's just I'm always wired up.
[01:24:12.900 --> 01:24:15.860]  And it's only one little portion of the show.
[01:24:15.860 --> 01:24:21.260]  We go down, I meet with the Apache Indians, it's much more intriguing than just simply
[01:24:21.260 --> 01:24:23.380]  my little showdown with David Eich.
[01:24:23.380 --> 01:24:24.380]  No, I know.
[01:24:24.380 --> 01:24:25.380]  I know.
[01:24:25.380 --> 01:24:26.380]  I am making a mountain of them all.
[01:24:26.380 --> 01:24:27.380]  It doesn't matter.
[01:24:27.380 --> 01:24:32.740]  Let's just move on here to what is your favorite episode if you have to say or like, what are
[01:24:32.740 --> 01:24:33.860]  two or three that are coming up?
[01:24:33.860 --> 01:24:34.860]  Give us a little idea.
[01:24:34.860 --> 01:24:35.860]  Oh, of course.
[01:24:35.860 --> 01:24:41.460]  I love the Death Ray one because it's so intriguing to me, the scientifics of it and
[01:24:41.460 --> 01:24:45.980]  the like Tesla and all of that stuff, I've been into that now for a little while.
[01:24:45.980 --> 01:24:48.500]  So I find that one very interesting.
[01:24:48.500 --> 01:24:51.780]  The bizarre one is time travel.
[01:24:51.780 --> 01:24:53.020]  You know, is it real?
[01:24:53.020 --> 01:24:54.220]  Is it not real?
[01:24:54.220 --> 01:24:56.020]  You know, dimensional things like that.
[01:24:56.020 --> 01:24:57.020]  You got a little upset.
[01:24:57.020 --> 01:24:58.020]  It's pretty heavy.
[01:24:58.020 --> 01:24:59.020]  Yeah.
[01:24:59.020 --> 01:25:00.020]  Yeah.
[01:25:00.020 --> 01:25:01.020]  Pretty scientific.
[01:25:01.020 --> 01:25:03.020]  This trip around on a couple of the episodes.
[01:25:03.020 --> 01:25:08.540]  Well, I guess the bottom line is this and I'll put this out there.
[01:25:08.540 --> 01:25:14.700]  The bottom line is this when you do conspiracy theory, you're not allowed to ask the government
[01:25:14.700 --> 01:25:19.340]  a question today on anything and expect to get an answer.
[01:25:19.340 --> 01:25:20.340]  It's that simple.
[01:25:20.340 --> 01:25:25.980]  And that's the most disturbing thing about doing conspiracy theory is that when I don't
[01:25:25.980 --> 01:25:33.260]  question any government entity over any subject, you literally get the door slammed in your
[01:25:33.260 --> 01:25:37.260]  face and you're told it's none of your business.
[01:25:37.260 --> 01:25:38.260]  That's right.
[01:25:38.260 --> 01:25:40.980]  That's the part that's disturbing.
[01:25:40.980 --> 01:25:47.660]  And that's what people should take from conspiracy theory on a real level is that today you are
[01:25:47.660 --> 01:25:53.580]  not allowed to ask your government a question and that's outrageous because we paid the
[01:25:53.580 --> 01:25:54.580]  government.
[01:25:54.580 --> 01:25:56.660]  They're supposed to work for us.
[01:25:56.660 --> 01:25:59.860]  It's not supposed to be the reverse.
[01:25:59.860 --> 01:26:01.780]  We don't work for them.
[01:26:01.780 --> 01:26:03.700]  They're supposed to work for us.
[01:26:03.700 --> 01:26:10.660]  And I think that when we come to the government with a legitimate question on any topic, some
[01:26:10.660 --> 01:26:15.500]  mechanism should be provided to attempt to give a citizen an answer.
[01:26:15.500 --> 01:26:19.300]  Well, they're becoming more and more unaccountable.
[01:26:19.300 --> 01:26:22.820]  Shifting gears back into Obama briefly and I hope you have time to tell one of your why
[01:26:22.820 --> 01:26:25.700]  you love golf so much because I find that interesting.
[01:26:25.700 --> 01:26:31.380]  Do you think they'll try to impeach Obama over Fast and Furious and some of the things
[01:26:31.380 --> 01:26:32.380]  they're doing?
[01:26:32.380 --> 01:26:37.220]  Hillary, it was in the news two days ago, saying we need to invade physically Syria
[01:26:37.220 --> 01:26:41.460]  because Al Qaeda is there when it's our government and NATO that put him there.
[01:26:41.460 --> 01:26:43.980]  No, they're not going to impeach Obama.
[01:26:43.980 --> 01:26:48.140]  He's doing everything he's supposed to do for him.
[01:26:48.140 --> 01:26:50.140]  Why would they impeach him?
[01:26:50.140 --> 01:26:51.140]  Sure.
[01:26:51.140 --> 01:26:57.220]  You know, no, I don't see any impeachment on the horizon for anything whatsoever.
[01:26:57.220 --> 01:27:03.500]  It's just the red flag BS from the, you know, that's going to fly around always like with
[01:27:03.500 --> 01:27:09.420]  every president, it seems it gets in there, put it this way, they all have dirty laundry
[01:27:09.420 --> 01:27:15.060]  when they get there or they will get dirty laundry while they're there.
[01:27:15.060 --> 01:27:16.060]  That's a given.
[01:27:16.060 --> 01:27:21.060]  Just like today, one of the reasons I don't think I can be president, Alex, you got to
[01:27:21.060 --> 01:27:24.140]  be able to lie.
[01:27:24.140 --> 01:27:25.220]  I believe that.
[01:27:25.220 --> 01:27:31.380]  I believe the president has to be able to sit up there, keep a straight face and lie
[01:27:31.380 --> 01:27:34.380]  because they've all lied at one time or another.
[01:27:34.380 --> 01:27:35.380]  Sure.
