[00:00.000 --> 00:01.400]  We've got it, Douga.
[57:40.800 --> 57:48.800]  But what did you think all the government's going to do is take your guns and put you in a slave camp? You got that, Jack?
[57:48.800 --> 57:58.800]  Cold and flu season is upon us. Protect yourself with supernatural silver, a revolutionary new broad spectrum antibacterial.
[57:58.800 --> 58:09.800]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold and food poisoning, as well as help improve wound healing.
[58:09.800 --> 58:22.800]  Silver salt technology is safe enough to consume every day while powerful enough to destroy the causes of many serious diseases like strep throat, staph, pneumonia, colds, flus and other harmful pathogens.
[58:22.800 --> 58:35.800]  This new technology is much more effective than colloidal or ionic silvers and has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of older solutions.
[58:35.800 --> 58:47.800]  Supernatural silver is what you need for any emergency. Go to supernaturalsilver.com today and use the promo code ALEKSES for twenty percent off and like us on Facebook.
[59:05.800 --> 59:16.800]  It is forcing farmers and ranchers out of business, blowing up your food prices. The only strategy to counter this is to freeze your food costs at today's prices by getting your own supply of foods from eFoods direct now.
[59:16.800 --> 59:22.800]  As the price of raw ingredients increases, eFoods will have to raise prices too. Now is the time to get your supply.
[59:22.800 --> 59:29.800]  I recently increased my supply from eFoods direct because we have all known this was coming. You know about their delicious long-term storable foods.
[59:29.800 --> 59:36.800]  The fact is you can eat at any time to save money today and because it's stored for twenty five years, you're locking in today's prices and avoiding the rising food costs.
[59:36.800 --> 59:59.800]  Don't wait. Call 800-409-5633 or go to eFoodsdirect.com forward slash alex. Call 800-409-5633 or eFoodsdirect.com forward slash alex. You can bet your life on eFoods direct.
[59:59.800 --> 01:00:11.800]  From his Central Texas Command Center, deep behind enemy lines, the information war continues. It's Alex Jones and the GCN Radio Network.
[01:00:11.800 --> 01:00:20.800]  If you just joined us, I'm marveling at thousands more tweets. I was talking to Watson today. There's just thousands more out there going to kill Romney, close quote.
[01:00:20.800 --> 01:00:30.800]  Kill him and hey, he's going to be in this area. Let's go kill him, close quote. Secret Service does almost nothing. I've seen a few arrested people where they were like in the town, a mile from him.
[01:00:30.800 --> 01:00:45.800]  And hey, let's get our rifle and go get him. The rest of that guy. I just marvel that I've had the FBI call my office and ask about the Obama deception and then show up about something else but ask about the Obama deception.
[01:00:45.800 --> 01:01:03.800]  A film that says Obama's a puppet and then meanwhile these people can do all this. Listen, I'm not intimidated. If you think you're intimidating me, you better check yourself a little bit because it's not having an effect.
[01:01:03.800 --> 01:01:14.800]  I am absolutely sick and tired of the New World Order. I am sick and tired of dumbed down people, black, white, you name it, playing into it.
[01:01:14.800 --> 01:01:24.800]  And I want to stop. You know, I've got a big stack of news here where government cannot deliver and cannot help people because government doesn't know how to do that.
[01:01:24.800 --> 01:01:41.800]  You know, I was on the hiking back trail, hiking with my wife today. And while she was taking the dog in the creek where there was some water to take a drink, I was hanging back and I was listening in the woods to city workers in plain clothes having a little secret meeting.
[01:01:41.800 --> 01:01:50.800]  And they saw me and scurried off. They were talking about how to raise more revenue, what they were going to do at the city council. I don't know who they were. They were government people because the city's in all this trouble for secret meetings.
[01:01:50.800 --> 01:02:01.800]  And the county attorney has said, though, just don't break the law anymore with all your secret meetings. So I'm down here. I just cannot go anywhere. I didn't even have my cell phone on me or I had to try to videotape it.
[01:02:01.800 --> 01:02:11.800]  And these folks are going, well, we've got to raise the revenue this way. We can do this. We can bring this to the council. Yes. And all of a sudden they see me listening.
[01:02:11.800 --> 01:02:21.800]  Oh, and like, like, like, like ring race, the three of them drift back down the woods. So I'm doing my job if the bureaucrats have to go hide in the woods to have meetings.
[01:02:21.800 --> 01:02:32.800]  And then what's the chances, CJ, that I would be down there because this went on for a couple of minutes. I mean, I was like creeping up. I was only like 10 feet away by the end by a tree listening down on the Barton Creek Greenbelt.
[01:02:32.800 --> 01:02:37.800]  Pretty darn amazing. But that's a side issue.
[01:02:37.800 --> 01:02:46.800]  When we come back, I'm going to give the number out. David Ortiz interviewed Gary Johnson a couple of days ago. We're going to premiere this here on the radio coming up.
[01:02:46.800 --> 01:02:52.800]  We premiered it on TV first Friday night. We're going to premiere it here for the radio broadcast. This is the next service, the 30 minute interview.
[01:02:52.800 --> 01:03:03.800]  I'm talking about Bilderberg, New World Order and more. It's pretty darn powerful. And I covered this some on Thursday and Friday, the Supreme Court's now hearing, hey, can they just have a police dog come up to your house without a warrant?
[01:03:03.800 --> 01:03:15.800]  And if it says it smells something, we're going to come in without a warrant. I mean, come on, folks. We had a family experience just Friday night.
[01:03:15.800 --> 01:03:31.800]  Saturday morning, opening day of deer season. That is so unbelievable that I'm not even going to talk about it on on air until it's been dealt with.
[01:03:31.800 --> 01:03:52.800]  But this country's far gone. There's a reason I didn't go out to East Texas to our old ancestral family ranch because of the craziness I've seen in those areas. But what happened on the opening day of deer season was so beyond bizarre that we're all pinching ourselves.
[01:03:52.800 --> 01:04:02.800]  Government is now showing up declaring their own people's land, having delusions like the like the TSA stripping down naked and being their chest and saying, I have power. I have power. It's stuff like that.
[01:04:02.800 --> 01:04:12.800]  And it's going to get worse because people are now disconnected from reality. And those of us that are still somewhat connected doesn't mean we're perfect, but we at least have some tenuous connection to it.
[01:04:12.800 --> 01:04:28.800]  We're going to be the bad guys. So there is just a lot of insanity taking place around the world. We're going to go to break and come back and get into what the latest poll numbers.
[01:04:28.800 --> 01:04:43.800]  And what's really happening with the election. And then we're going to get into what really happened quickly with Sandy and the big aftermath there and the talk of postponing the election, keeping early voting going with the whole Bloomberg crime syndicate up there.
[01:04:43.800 --> 01:04:53.800]  And what they're up to is unbelievable. This whole thing stinks to I have. And then we're going to go to your phone calls and two special reports with David Knight and David Ortiz.
[01:04:53.800 --> 01:05:06.800]  So it is all coming up info wars dot com prison blended on TV. Strategic relocation is a systematic way to think strategically in the future about how do I safeguard renowned author and expert Joel Scowzen.
[01:05:06.800 --> 01:05:15.800]  The U.S. isn't building huge underground bases and bunkers because of some terrorist threat. They know that a massive nuclear attack is coming. They want that attack to come.
[01:05:15.800 --> 01:05:27.800]  Joel Scowzen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home. What I tell people is that you do have time. We talk about natural disasters, the health environment.
[01:05:27.800 --> 01:05:37.800]  We talk about pollution, the water quality, my personal experience about being in every one of these states. Most people want to be ready and won't be able to get out of town because there'll be absolute panic.
[01:05:37.800 --> 01:05:55.800]  There is no preparedness without strategy. This Christmas give the gift of preparedness. Strategic relocation, the film with Joel Scowzen and Alex Jones available only at info wars shop dot com or by calling 888-253-3139.
[01:06:07.800 --> 01:06:20.800]  Alex Jones.
[01:06:20.800 --> 01:06:36.800]  Monday through Friday, 12 noon at 3 p.m. Eastern. We're here back Sundays live, 4 to 6 central, 5 to 7 Eastern. That's 2 to 4. Pacific 3 to 5 mountain, Montana. As in Tony Montana.
[01:06:36.800 --> 01:06:49.800]  Alright, here's the deal. If you've just tuned in, we've got Michael Moore. There's like 5 videos I've seen. We've just aired one because we only don't have time to bleep all the cuss words out of the others. I'll be honest.
[01:06:49.800 --> 01:06:54.800]  In fact, tomorrow, let's get the rest of Michael Moore's and have the sound crew bleep out all the cussing.
[01:06:54.800 --> 01:07:09.800]  Saying, physically rip the genitals off of Mitt Romney if he wins and burn down US cities. Quote, we will burn down US cities if Obama's unelected and they cut to a guy in Spanish saying, yes, we can.
[01:07:09.800 --> 01:07:20.800]  What's the translation of that? Si se puede, I mess it all up. Si se puede? Did I finally get it right? Yes, we can.
[01:07:20.800 --> 01:07:36.800]  The point is, I played it like twice. I'm not going to play it again. It's up at infowars.com. We played it like a week ago because there's now a new Bill Maher clip where he says, hey, white folks, vote for Obama or black people are going to hunt you down.
[01:07:36.800 --> 01:07:52.800]  And again, it's always white liberals who aren't liberals or limousine pimps who always support abortion, which 50 plus percent blacks get aborted. Oh yeah, you didn't know that? Always pushing how great and how wonderful it is to attack white people.
[01:07:52.800 --> 01:08:08.800]  And then we've done big reports all over the country, racial attacks being goaded by the media that it's a good thing to just haul white people out of their cars in Pennsylvania, Ohio, California, New York and beat them up.
[01:08:08.800 --> 01:08:24.800]  And let me tell you, people, if they got on the news and told whites to go beat up black people, they'd probably do it. I mean, people are easily influenced by the media. And the globalists want racial politics.
[01:08:24.800 --> 01:08:42.800]  And you've got all these people that feel dependent on government and they don't know how to make it without government. And they are so angry thinking that Mitt Romney wants to take their goodies. When all I saw Mitt Romney do was brag how much he was going to increase social security, Medicare, Medicaid and all the goodies and how much he loved them.
[01:08:42.800 --> 01:08:54.800]  Those poor people don't understand they worked their whole lives. They'd probably get on average, what, double triple? Some studies show the money. But by some, some show three times, four times, most show double the money.
[01:08:54.800 --> 01:09:05.800]  If you invested that in a guaranteed 4% return. But they steal your money. And listen, once the political class has enough people on the dole, they're just going to vote to take everything we've got.
[01:09:05.800 --> 01:09:19.800]  Our guns, our children, our lives, the Democrats are promoting a national draft wrangle and others. They're monsters. And again, the Democrats are absolute monsters. The Republicans are horrible globalists as well.
[01:09:19.800 --> 01:09:29.800]  It's just that the Democrats are so much worse. So you're like, well, then we vote for Republicans. Well, no, because there is our damnation. The Republicans of today are like Democrats 25 years ago.
[01:09:29.800 --> 01:09:39.800]  The Democrats have taken us so far on the Overton window and learned helplessness and the normalcy bias towards absolute tyranny.
[01:09:39.800 --> 01:09:45.800]  And they always have the moral high ground. You don't like government run healthcare. You're a racist. How many times have you heard that?
[01:09:45.800 --> 01:09:50.800]  And meanwhile, the Democratic leaders are on there saying we're going to burn down cities if Obama doesn't get elected.
[01:09:50.800 --> 01:09:57.800]  And you know what? The Democrats are happy if folks in inner cities burn down their neighborhoods. That only makes them more dependent on government, doesn't it?
[01:09:57.800 --> 01:10:04.800]  That's why they admit they came out with a great society and said, we'll pay you not to have a man in the house so we can break up your family and put your man in prison.
[01:10:04.800 --> 01:10:12.800]  Because that creates illegitimacy. That creates poverty. That creates crime. They've destroyed the black community. 90 plus percent illegitimacy.
[01:10:12.800 --> 01:10:21.800]  Did you know I've looked at the numbers you can pull these up? Just type in black illegitimacy, lower than white illegitimacy in 1950.
[01:10:21.800 --> 01:10:35.800]  I was all for ending segregation, ending stuff like that. But the system they brought in was even worse because you had thriving black communities, Christian communities that were rising.
[01:10:35.800 --> 01:10:44.800]  And the system didn't like that. The big monopolies didn't like it. And they went in and they destroyed it. And now look at it. It's a wreck.
[01:10:44.800 --> 01:10:52.800]  And they took the gangster culture, they projected into that as cool, where the only way you could make money was in crime, and they projected it into all our communities.
[01:10:52.800 --> 01:10:57.800]  It doesn't matter what quote community you're in. They bombard you with this garbage.
[01:10:57.800 --> 01:11:07.800]  Now let's talk about government here. Before I get more into the election, your calls, here is the toll-free number on any of these issues for first-time callers on this Sunday edition.
[01:11:07.800 --> 01:11:14.800]  877-8789 Alex, different number on Sunday. So everything's produced out of here at weekdays inside of Minnesota.
[01:11:14.800 --> 01:11:21.800]  Even though I'm here in Austin, they do the phones up there. 877-7789 Alex, 877-7789-2539.
[01:11:21.800 --> 01:11:27.800]  877-7789-2539. And we'll get you up and on the air. We've got two special reports coming up.
[01:11:27.800 --> 01:11:35.800]  Breaking news with Gary Johnson that we talked to on Friday. Libertarian presidential candidate talks about the New World Order and more.
[01:11:35.800 --> 01:11:39.800]  But let's just go through these headlines here.
[01:11:39.800 --> 01:11:44.800]  New York Times. In New York's public housing, fear creeps in with the dark.
[01:11:44.800 --> 01:11:47.800]  Yeah, because you've disarmed everybody, broke up the families.
[01:11:47.800 --> 01:11:51.800]  It doesn't matter when the power goes off in places like Texas. Let me tell you something.
[01:11:51.800 --> 01:11:58.800]  We've got more weapons than the Pentagon. They're totally looting around here.
[01:11:58.800 --> 01:12:05.800]  But oh, poor New York. Great city. Great people. I've been there many times. Chicago. Great city. Great people.
[01:12:05.800 --> 01:12:10.800]  But run by crime bosses. Highest crime rates in the country. Chicago. Highest crime rate in the world.
[01:12:10.800 --> 01:12:17.800]  They've got Mexico City beat up there. And our great 1530 listeners are up there listening to us every day and they agree.
[01:12:17.800 --> 01:12:28.800]  Continuing daily mail. Misery for 2.5 million still without power after six days as lawlessness and fear take over New York's outer boroughs.
[01:12:28.800 --> 01:12:32.800]  What did I tell you last Sunday and Monday? Myself and Paul Watson wrote articles.
[01:12:32.800 --> 01:12:37.800]  How the looters were planning racial attacks and looting. And we got video of people being racially attacked.
[01:12:37.800 --> 01:12:45.800]  You name it, the media won't even cover it. It's in little local news blurbs, but not a national story.
[01:12:45.800 --> 01:12:55.800]  Continuing here. Batman. Run looters. People fighting them with bats.
[01:12:55.800 --> 01:12:59.800]  Look at this photo right here. Look at this amazing photo of your prison planet on TV viewer.
[01:12:59.800 --> 01:13:06.800]  People are fighting off looters with bows and arrows because you're not allowed to have guns, but you're allowed to have them bow and arrow.
[01:13:06.800 --> 01:13:09.800]  Don't worry, Bloomberg will have that ban now that you notice that happened.
[01:13:09.800 --> 01:13:15.800]  Mafia Kings only want, you know, globalist New World Order telling you what you can drink and eat.
[01:13:15.800 --> 01:13:19.800]  Telling you you can't have guns. I mean, that's tyranny. That's government crime.
[01:13:19.800 --> 01:13:27.800]  Queens residents armed themselves with post storm blackout from looters. Government isn't there.
[01:13:27.800 --> 01:13:33.800]  Can't protect you. Basically police standing down. Where's document cam? I'll put it there for people right here.
[01:13:33.800 --> 01:13:43.800]  I mean, look, look right here. I mean, this is amazing. Look at this hurricane Sandy leaves frenzy for gas, though help on the way.
[01:13:43.800 --> 01:13:50.800]  Chaos range is free gas fiasco. Government said, don't worry, we're going to deliver you all this free gas.
[01:13:50.800 --> 01:13:57.800]  And then everybody showed up and there were traffic jams. There wasn't enough gas for even 1% of the people government can't and won't deliver to you.
[01:13:57.800 --> 01:14:03.800]  But I've got articles here where they go on to admit people are defending themselves with baseball bats and bows.
[01:14:03.800 --> 01:14:13.800]  And now government six and a half days into this is saying, OK, we'll now pay private contractors to bring in food, water and other things.
[01:14:13.800 --> 01:14:20.800]  And now New Yorkers have an article here in the stack are demanding concealed carry. Let us protect ourselves, man.
[01:14:20.800 --> 01:14:37.800]  The criminals have guns. New York faces massive housing problem after Sandy governor says CNN devastated Rockways residents last shot at Bloomberg during unannounced visit.
[01:14:37.800 --> 01:14:46.800]  Lights in lower Manhattan, misery and outer regions. The lights are awful. They're turning the lights off in Europe saying it's for carbon taxes because the extra money gets paid more for energy.
[01:14:46.800 --> 01:14:52.800]  To pay to Al Gore and others in their Rockefeller Rock Rothschild own carbon scam.
[01:14:52.800 --> 01:14:58.800]  But all the lights are off for other folks in New York. Oh, isn't that too bad? But the financial districts being protected.
[01:14:58.800 --> 01:15:10.800]  Get used to all the lights being off in the new dark age because everything they're going to take all your money and make you pay giant property taxes on a giant tyranny, a little cracker box home.
[01:15:10.800 --> 01:15:20.800]  This is a 21. And it goes on and on and on how they're having to get private private groups in their private contractors in there.
[01:15:20.800 --> 01:15:28.800]  Look at Katrina where they did have guns. The government came and took them. Oh, you're high and dry. You got a generator. We see your lights are on up against the wall.
[01:15:28.800 --> 01:15:35.800]  We're taking your guns. You saw it. All the guns will be taken. No one will be allowed to be armed ready to play those clips again.
[01:15:35.800 --> 01:15:43.800]  Now coming up, we are going to get into the latest election news, the real polls and what they show.
[01:15:43.800 --> 01:15:52.800]  And then your phone calls as well as libertarian presidential candidate, Gary Johnson, we're going to premiere him talking about the New World Order.
[01:15:52.800 --> 01:15:56.800]  I'm Alex Jones and we are The Resistance.
[01:15:56.800 --> 01:16:07.800]  If you want an American company with American products made by Americans, here is the Calben soap company.
[01:16:07.800 --> 01:16:11.800]  Alex and his staff have used these pure soap products for years.
[01:16:11.800 --> 01:16:18.800]  These all natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe.
[01:16:18.800 --> 01:16:27.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:16:27.800 --> 01:16:33.800]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[01:16:33.800 --> 01:16:38.800]  Or save big with a one to two year supply of soaps for all your cleaning needs.
[01:16:38.800 --> 01:16:45.800]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[01:16:45.800 --> 01:16:53.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:17:16.800 --> 01:17:25.800]  Silver salt technology is safe enough to consume every day while powerful enough to destroy the causes of many serious diseases
[01:17:25.800 --> 01:17:30.800]  like strep throat, staph, pneumonia, colds, flus and other harmful pathogens.
[01:17:30.800 --> 01:17:35.800]  This new technology is much more effective than colloidal or ionic silvers
[01:17:35.800 --> 01:17:43.800]  and has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of older solutions.
[01:17:43.800 --> 01:17:47.800]  Supernatural Silver is what you need for any emergency.
[01:17:47.800 --> 01:18:16.800]  Go to supernaturalsilver.com today and use the promo code ALEKSES for 20% off and like us on Facebook.
[01:18:17.800 --> 01:18:24.800]  The strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from e-foods direct now.
[01:18:24.800 --> 01:18:28.800]  As the price of raw ingredients increases, e-foods will have to raise prices too.
[01:18:28.800 --> 01:18:30.800]  Now is the time to get your supply.
[01:18:30.800 --> 01:18:34.800]  I recently increased my supply from e-foods direct because we have all known this was coming.
[01:18:34.800 --> 01:18:37.800]  You know about their delicious long term storeable foods.
[01:18:37.800 --> 01:18:41.800]  The fact is you can eat it anytime to save money today and because it stores for 25 years,
[01:18:41.800 --> 01:18:44.800]  you're locking in today's prices and avoiding the rising food cost.
[01:18:44.800 --> 01:18:50.800]  Don't wait. Call 800-409-5633 or go to e-foodsdirect.com forward slash alex.
[01:18:50.800 --> 01:18:54.800]  Call 800-409-5633 or e-foodsdirect.com forward slash alex.
[01:18:54.800 --> 01:18:57.800]  You can bet your life on e-foods direct.
[01:18:57.800 --> 01:19:04.800]  If you want an American company with American products made by Americans,
[01:19:04.800 --> 01:19:07.800]  here is the Calben Soap Company.
[01:19:07.800 --> 01:19:14.800]  Alex and his staff have used these pure soap products for years. These all natural soaps are made from the highest quality
[01:19:14.800 --> 01:19:18.800]  vegetable and coconut oils that are earth friendly and safe.
[01:19:18.800 --> 01:19:26.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:19:26.800 --> 01:19:32.800]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[01:19:32.800 --> 01:19:37.800]  Or save big with a one to two year supply of soaps for all your cleaning needs.
[01:19:37.800 --> 01:19:39.800]  This is an amazing deal.
[01:19:39.800 --> 01:19:44.800]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:19:44.800 --> 01:19:53.800]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:19:53.800 --> 01:19:58.800]  Coast to coast, direct from Austin.
[01:19:58.800 --> 01:20:03.800]  You're listening to the Alex Jones Broadcasting Network.
[01:20:09.800 --> 01:20:15.800]  He aligns himself with the truth and it's time for you to choose a side.
[01:20:15.800 --> 01:20:18.800]  You're listening to Alex Jones.
[01:20:18.800 --> 01:20:23.800]  Okay, I want to go to your phone calls.
[01:20:23.800 --> 01:20:27.800]  We have two special reports that are short but very important coming up.
[01:20:27.800 --> 01:20:31.800]  Kneeling with the end of the fourth amendment or the expansion of that move.
[01:20:31.800 --> 01:20:36.800]  And also Gary Johnson, Libertarian Presidential Candidate, his take on the New World Order.
[01:20:36.800 --> 01:20:40.800]  Pretty important stuff with our own David Ortiz and David Knight both reporting.
[01:20:40.800 --> 01:20:45.800]  First, I want to go to some of your calls after I hit this news as quickly as possible.
[01:20:45.800 --> 01:20:50.800]  If you've just tuned in, I'm seeing stuff that's just, well, quite criminal.
[01:20:50.800 --> 01:20:53.800]  And it means they've been given authorization to do it.
[01:20:53.800 --> 01:20:59.800]  I will assure you, Home Box Office, HBO, moveon.org and others, they would not be saying,
[01:20:59.800 --> 01:21:05.800]  riot, burn down cities, attack white people if Obama is not elected.
[01:21:05.800 --> 01:21:09.800]  Unless this was some type of plan.
[01:21:09.800 --> 01:21:15.800]  And you would not have thousands of people on Twitter calling for violence and burning down cities.
[01:21:15.800 --> 01:21:18.800]  Not getting in trouble or almost not getting in trouble in all cases.
[01:21:18.800 --> 01:21:22.800]  If they weren't being given protection by the Justice Department.
[01:21:22.800 --> 01:21:28.800]  The same people that ship guns into Mexico on record to blame the second amendment.
[01:21:28.800 --> 01:21:30.800]  The same people that have been involved.
[01:21:30.800 --> 01:21:34.800]  And well, just so many crimes, it makes my head ache.
[01:21:34.800 --> 01:21:39.800]  We're moving into this phase now in America where the globalists have committed so many crimes
[01:21:39.800 --> 01:21:44.800]  with the banker bailouts, the insider sweetheart, crony deals,
[01:21:44.800 --> 01:21:46.800]  that they want to just go ahead and take over.
[01:21:46.800 --> 01:21:50.800]  Because they know that if the American people, black, white, Hispanic, Asian,
[01:21:50.800 --> 01:21:55.800]  ever together who love liberty, ever come together and get our country back and realize
[01:21:55.800 --> 01:21:57.800]  that big government is not the way to prosperity.
[01:21:57.800 --> 01:21:59.800]  It's the way to bondage and tyranny.
[01:21:59.800 --> 01:22:04.800]  If we ever come together, they know they're all going to jail.
[01:22:04.800 --> 01:22:09.800]  And so we're at a crossroads here and it doesn't mean that Mitt Romney is going to save us.
[01:22:09.800 --> 01:22:15.800]  It's just that if Obama gets elected, he will not be facing re-election and he will go hog wild.
[01:22:15.800 --> 01:22:18.800]  He will have the power of the executive order unbridled.
[01:22:18.800 --> 01:22:21.800]  He will have the power of the pardon.
[01:22:21.800 --> 01:22:23.800]  And I see the power structure.
[01:22:23.800 --> 01:22:29.800]  Right now, I'm trying to rig this. Again, I've seen articles out of England,
[01:22:29.800 --> 01:22:35.800]  articles out of Europe, articles out of Las Vegas, articles out of Ireland.
[01:22:35.800 --> 01:22:36.800]  Here's one of them.
[01:22:36.800 --> 01:22:42.800]  Irish betting site calls race early, pays out Obama victory bets two days early.
[01:22:42.800 --> 01:22:47.800]  So selling the idea that, oh, the famously seedy gambling industry, they say,
[01:22:47.800 --> 01:22:53.800]  Jim Kramer, Obama is going to obliterate Romney in an historic landslide,
[01:22:53.800 --> 01:22:56.800]  despite the fact that all the polls show the opposite.
[01:22:56.800 --> 01:22:59.800]  They're getting you ready for a stolen election.
[01:22:59.800 --> 01:23:03.800]  Nat Silver, Obama's odds of winning have now hit 85%.
[01:23:03.800 --> 01:23:07.800]  With two days to go, Obama's odds of winning re-election have reached their highest level ever.
[01:23:07.800 --> 01:23:09.800]  Really, I thought there was a surge by Romney.
[01:23:09.800 --> 01:23:14.800]  Again, I'm just reporting that they're telling you something here that's butt backwards.
[01:23:14.800 --> 01:23:17.800]  According to New York Times polling guru Nat Silver,
[01:23:17.800 --> 01:23:20.800]  I mean, the New York Times, they told us about WMDs in Iraq.
[01:23:20.800 --> 01:23:24.800]  They've had their own people quit and go public that they're ordered to lie.
[01:23:24.800 --> 01:23:27.800]  A total cost of election, New York Times reports, could be $6 billion.
[01:23:27.800 --> 01:23:30.800]  It's already over $4 billion.
[01:23:30.800 --> 01:23:34.800]  Gee, do you think there could be some chicanery going on if they'll spend billions of dollars on this?
[01:23:34.800 --> 01:23:37.800]  All these interests, including foreign governments?
[01:23:37.800 --> 01:23:43.800]  Gee, you think they might be manipulating the betting houses to pay out their debts?
[01:23:43.800 --> 01:23:47.800]  Pay out early even if they have to pay out to others later?
[01:23:47.800 --> 01:23:50.800]  It won't be in the news, then everybody will forget.
[01:23:50.800 --> 01:23:54.800]  Gallup poll, Romney holding five-point lead among right-leaf voters.
[01:23:54.800 --> 01:23:57.800]  The Hill, but so what if Gallup says that?
[01:23:57.800 --> 01:23:59.800]  Here's the University of Colorado Boulder.
[01:23:59.800 --> 01:24:02.800]  Analysis of election factors points to Romney Wynn.
[01:24:02.800 --> 01:24:04.800]  The University of Colorado study shows.
[01:24:04.800 --> 01:24:09.800]  Doesn't matter they've been right in the last five elections since 1980.
[01:24:09.800 --> 01:24:15.800]  Let's just ignore scientific reports because, hey, the gambling houses, they say it's Obama.
[01:24:15.800 --> 01:24:18.800]  And by the way, he's a Peace Prize winner even though he's launched more wars than Bush.
[01:24:18.800 --> 01:24:23.800]  Gallup, Romney up 52 to 45 among early voters.
[01:24:23.800 --> 01:24:31.800]  That just came out a couple days ago, but let's just ignore all that because, well, you know.
[01:24:31.800 --> 01:24:37.800]  I mean, we all heard Kramer, who's told us to invest in so many things that are not going the opposite direction.
[01:24:37.800 --> 01:24:39.800]  He made a mistake.
[01:24:39.800 --> 01:24:41.800]  It's not like he was pumping and dumping.
[01:24:41.800 --> 01:24:44.800]  He wouldn't do that even though he's on video admitting he's pumped and dumped.
[01:24:44.800 --> 01:24:47.800]  Just type in Kramer admits he's committed crimes.
[01:24:47.800 --> 01:24:50.800]  Kramer admits he's pumped and dumped and you'll see him bragging about it.
[01:24:50.800 --> 01:24:55.800]  Romney gains ground in latest poll of swing states.
[01:24:55.800 --> 01:24:57.800]  Of course, nowadays you don't go to jail when you pump and dump.
[01:24:57.800 --> 01:25:00.800]  Look at Facebook.
[01:25:00.800 --> 01:25:01.800]  We told you that was a pump and dump.
[01:25:01.800 --> 01:25:03.800]  At least happens value in a week.
[01:25:03.800 --> 01:25:09.800]  Romney gains ground in latest poll of swing states maintains lead nationally.
[01:25:09.800 --> 01:25:13.800]  Isn't that funny?
[01:25:13.800 --> 01:25:16.800]  That's what are the Associated Press.
[01:25:16.800 --> 01:25:21.800]  Momentum Romney increases lead in national swing state poll show.
[01:25:21.800 --> 01:25:22.800]  Here's another one.
[01:25:22.800 --> 01:25:27.800]  CBS News National and swing stakes Romney Obama in neck and neck.
[01:25:27.800 --> 01:25:33.800]  Even CBS that's pro-democrat has to admit it's, quote, neck and neck,
[01:25:33.800 --> 01:25:35.800]  which isn't even really the case.
[01:25:35.800 --> 01:25:36.800]  Let me show you some more.
[01:25:36.800 --> 01:25:38.800]  Let me show you some more of these headlines.
[01:25:38.800 --> 01:25:42.800]  Dead heat for Romney and Obama in latest Michigan poll.
[01:25:42.800 --> 01:25:45.800]  Yeah, they're showing the onwards of dead heat in most show Romney winning.
[01:25:45.800 --> 01:25:49.800]  Trib poll shows presidential race in Pennsylvania remains too close to call.
[01:25:49.800 --> 01:25:52.800]  Romney was 10 points behind a few months ago.
[01:25:52.800 --> 01:25:54.800]  Our choice for America's future.
[01:25:54.800 --> 01:25:56.800]  The Daily News endorses Mitt Romney.
[01:25:56.800 --> 01:25:59.800]  It doesn't matter.
[01:25:59.800 --> 01:26:00.800]  Freudian slip.
[01:26:00.800 --> 01:26:02.800]  Candy Crowley calls him president Romney.
[01:26:02.800 --> 01:26:05.800]  Daily presidential tracking poll Rasmussen.
[01:26:05.800 --> 01:26:08.800]  Again shows Romney continuing to be in the lead.
[01:26:08.800 --> 01:26:12.800]  And it goes on and on and on.
[01:26:12.800 --> 01:26:18.800]  Let's continue here, but that doesn't matter because there's going to be extra
[01:26:18.800 --> 01:26:25.800]  polls held open longer in the big rotten Bloomberg run Apple where he tells you
[01:26:25.800 --> 01:26:26.800]  what you can eat.
[01:26:26.800 --> 01:26:30.800]  He tells you you can't have a gun where he had checkpoints set up with people
[01:26:30.800 --> 01:26:32.800]  trying to get in to get their families.
[01:26:32.800 --> 01:26:34.800]  You got to have three or four people in a car to come in here.
[01:26:34.800 --> 01:26:36.800]  Turn around.
[01:26:36.800 --> 01:26:38.800]  Sir, my wife got stuck in the city.
[01:26:38.800 --> 01:26:41.800]  She didn't even turn around or club your head in.
[01:26:41.800 --> 01:26:42.800]  I got a reporter.
[01:26:42.800 --> 01:26:46.800]  I don't have time to get to the TSA is now wearing uniforms that look military.
[01:26:46.800 --> 01:26:50.800]  This happened to a Lou Rockwell writer screaming at everyone.
[01:26:50.800 --> 01:26:52.800]  You're like, well, that's outrageous.
[01:26:52.800 --> 01:26:54.800]  They want to get you used to it.
