[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[01:52:38.265 --> 01:52:39.225]  Infowarstore.com.
[01:52:40.493 --> 01:52:41.556]  It's very simple.
[01:52:41.556 --> 01:52:48.494]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[01:52:49.252 --> 01:52:55.095]  But so many of the big brands are synthetics that are not even absorbed, in fact, in many cases are toxic.
[01:52:55.095 --> 01:53:05.701]  But Vitamin Mineral Fusion, in stock right now, 40% off at InfoWarsTore.com, has high-grade vitamins and minerals that are all essential with key amino acids so your body can upload.
[01:53:05.701 --> 01:53:11.104]  And it's all at InfoWarsTore.com, ready to ship to you right now.
[01:53:11.104 --> 01:53:11.664]  So go there
[01:53:11.684 --> 01:53:12.144]  I think so.
[01:53:41.051 --> 01:53:42.973]  Again, I don't like to lecture people.
[01:53:42.973 --> 01:53:54.021]  I'm a very private person, but because of the globalists and their attack on humanity, I've been forced the last 27 years to be a public figure, and we've given the globalists one hell of a run for their money because of God.
[01:53:54.021 --> 01:53:58.004]  And I know some of our listeners get mad when I talk about God all day, but just give me a break.
[01:53:58.004 --> 01:53:59.446]  The Satanism's out in the open.
[01:53:59.446 --> 01:54:04.510]  I've always been a Christian, but now the fact that it's a fight between good and evil is so clear.
[01:54:04.510 --> 01:54:04.910]  And I get it.
[01:54:04.910 --> 01:54:06.671]  A lot of you have been turned off by big churches.
[01:54:06.671 --> 01:54:08.813]  A lot of you have been turned off by the corrupt.
[01:54:09.745 --> 01:54:10.746]  We're good to go.
[01:54:25.161 --> 01:54:27.023]  And so that's what InfoWars is really all about.
[01:54:27.023 --> 01:54:28.705]  So thank you all for your word of mouth.
[01:54:28.705 --> 01:54:34.870]  Thank you for spreading the word about InfoWars and thank you for supporting us to keep us on air by visiting InfoWarsStore.com.
[01:54:34.870 --> 01:54:38.514]  Because without your daily and weekly and monthly purchases, we'll be taken off the air.
[01:54:38.514 --> 01:54:39.495]  So thank you for the support.
[01:54:39.495 --> 01:54:44.639]  InfoWarsStore.com.
[01:54:44.639 --> 01:54:47.262]  You're listening to the Alex Jones Show.
[01:54:54.244 --> 01:54:55.645]  All right, it's hour number three.
[01:54:55.645 --> 01:54:59.827]  I want to get back into the engineered race war and how to stop it in the next segment.
[01:54:59.827 --> 01:55:01.948]  But I mentioned this last hour, so I'm going to get to it now.
[01:55:01.948 --> 01:55:03.568]  Jordan Peterson is a smart professor.
[01:55:03.568 --> 01:55:07.010]  He does study human psychology.
[01:55:07.010 --> 01:55:10.431]  I think overall, I think about 98% of what he says is dead on accurate.
[01:55:12.395 --> 01:55:14.896]  I've been critical of some things, you know, that he said and done.
[01:55:14.896 --> 01:55:19.038]  But when he talks about Hitler and the authoritarian mind, it's dead on.
[01:55:19.038 --> 01:55:25.200]  And that's why the globalists in their studies knew that infectious disease would be the way to bring in tyranny.
[01:55:25.200 --> 01:55:27.301]  And that's what they've done with COVID-19.
[01:55:27.301 --> 01:55:33.983]  So here's a lecture he did four years ago in 2017 on why Hitler bathed so much.
[01:55:33.983 --> 01:55:35.124]  And again, it was because
[01:55:36.151 --> 01:55:38.232]  It was a control freak thing, and I'm all for bathings.
[01:55:38.232 --> 01:55:40.693]  I feel fresh and good when I do it.
[01:55:40.693 --> 01:55:41.794]  Humans are almost re-entrants.
[01:55:41.794 --> 01:55:42.714]  We love water.
[01:55:42.714 --> 01:55:44.735]  But with Hitler, it was a little different.
[01:55:44.735 --> 01:55:46.336]  And here's Jordan Peterson laying it out.
[01:55:47.859 --> 01:55:52.022]  You think about a totalitarian state, you think about the Nazis and their goose-stepping.
[01:55:52.022 --> 01:55:57.785]  What's happening is that every single person in the military becomes an identical unit, right?
[01:55:57.785 --> 01:55:59.186]  They're all uniform.
[01:55:59.186 --> 01:56:05.670]  And they're all, in some sense, imitating the dictator in an absolutely perfect way.
[01:56:05.670 --> 01:56:10.313]  And so, the dictator wants to impose strict uniformity on the entire population.
[01:56:10.313 --> 01:56:12.014]  That's order.
[01:56:12.014 --> 01:56:12.955]  Order.
[01:56:12.955 --> 01:56:16.617]  And one of the things we've discovered that's really interesting is that
[01:56:18.476 --> 01:56:22.459]  Disgust sensitivity is associated with orderliness.
[01:56:22.459 --> 01:56:24.280]  And that's associated with conscientiousness.
[01:56:24.280 --> 01:56:28.203]  And one of the things about Hitler was that he was very disgust sensitive.
[01:56:28.203 --> 01:56:30.925]  And a lot of his hatred for non-Aryans.
[01:56:30.925 --> 01:56:33.747]  So imagine inside the Aryan box it was all uniform.
[01:56:33.747 --> 01:56:35.608]  Outside it was all parasites and predators.
[01:56:36.374 --> 01:56:40.157]  And that was a manifestation of disgust, not of fear.
[01:56:40.157 --> 01:56:41.719]  It's a whole different thing.
[01:56:41.719 --> 01:56:56.071]  And if you read Hitler's Table Talk, which is a collection of his spontaneous dinner speeches from 1939 to 1942, it's a very interesting book, you see that his metaphor for the Aryan race was a body, a pure body.
[01:56:56.813 --> 01:57:03.439]  Unassaulted by parasites or predators, and that he was trying to erect a border around it to keep all of that away.
[01:57:03.439 --> 01:57:06.941]  So it's an immunological disgust-like metaphor.
[01:57:06.941 --> 01:57:25.957]  And there's some recent work that was published in PLOS ONE about three years ago, showing that brilliant study, should have got much more attention, showing that if you went around and sampled political attitudes in different countries, or even within the same country, what you found was that the higher the prevalence of infectious diseases,
[01:57:27.085 --> 01:57:31.648]  The higher the probability of totalitarian political attitudes at the local level.
[01:57:31.648 --> 01:57:36.852]  And you can imagine, well, what happens if there's infectious diseases is you want to put borders around everything.
[01:57:36.852 --> 01:57:41.275]  You don't want free movement between ideas or people, because that's partly how the disease spreads.
[01:57:41.275 --> 01:57:49.321]  You're going to have much more strict sexual rules, for example, because that's a great way for diseases to be transmitted.
[01:57:49.321 --> 01:57:54.345]  And before Hitler went on his rampage against the non-Aryans, he cleaned up all the factories.
[01:57:55.234 --> 01:57:56.775]  Like, he went in there and fumigated them.
[01:57:56.775 --> 01:57:57.855]  It was part of the law.
[01:57:57.855 --> 01:58:03.978]  He went on a public health campaign to get rid of tuberculosis, and he got rid of the bugs in the factories as well.
[01:58:03.978 --> 01:58:10.201]  He used Zyklon B. That's an insecticide, and that's the gas that he used in the gas chambers eventually.
[01:58:10.201 --> 01:58:14.903]  So first it was the bugs and the rats, and then it was people who were... Then it was euthanasia.
[01:58:14.903 --> 01:58:16.384]  That was the next move.
[01:58:16.384 --> 01:58:18.705]  And forced euthanasia.
[01:58:18.705 --> 01:58:23.227]  And the rationale for that was compassion, by the way, just so you all know.
[01:58:23.923 --> 01:58:33.067]  It's merciful to put these people who are burdensome to themselves and their families and the state, who are living second-rate lives.
[01:58:33.067 --> 01:58:35.628]  It's merciful to euthanize them.
[01:58:35.628 --> 01:58:37.289]  And that was a huge campaign in Germany.
[01:58:37.289 --> 01:58:43.752]  It was after that that the more racial purifications began.
[01:58:43.752 --> 01:58:45.933]  And so, that's the disgust thing.
[01:58:45.933 --> 01:58:50.035]  That's unbelievably important.
[01:58:50.035 --> 01:58:53.216]  Because lots of times people think that conservatives are more anxiety-sensitive.
[01:58:53.880 --> 01:59:01.107]  That is dead on what he just said, because I've actually read Hitler's writings, I don't believe mainstream media, I haven't actually looked, and it's disgusting.
[01:59:01.107 --> 01:59:09.055]  And now the bioethics boards, they decide if an old person's worth living, or a baby, and that's why they say, oh, we resuscitate it, they decide to let it live.
[01:59:09.055 --> 01:59:10.156]  It's already alive.
[01:59:10.156 --> 01:59:11.417]  That means it's worth it.
[01:59:11.417 --> 01:59:12.538]  That's the new term.
[01:59:12.538 --> 01:59:17.103]  And then, if baby's comfortable, mama don't want it, we keep her comfortable, then they take the organs.
[01:59:18.138 --> 01:59:22.459]  They keep it alive a few weeks while the organs come in, but they say we did not resuscitate.
[01:59:22.459 --> 01:59:29.622]  We say it's not a human, now it's just a creature in a crib we take care of, we keep comfortable before we take its organs.
[01:59:29.622 --> 01:59:30.942]  And it's all going on.
[01:59:30.942 --> 01:59:32.603]  The bottom fell out.
[01:59:32.603 --> 01:59:34.563]  We're going to post this to Bandot Video.
[01:59:34.563 --> 01:59:39.385]  We'll put the rest of the lecture, tell whoever uploads this to put the rest of the lecture on the end of that.
[01:59:39.385 --> 01:59:41.586]  We'll put it on Bandot Video so it's all congruent.
[01:59:41.586 --> 01:59:42.246]  Jordan Peterson.
[01:59:42.246 --> 01:59:43.206]  All right, we'll be right back.
[01:59:43.206 --> 01:59:44.967]  Stay with us with some new vaccine news.
[01:59:45.719 --> 01:59:46.162]  It's 2 a.m.
[01:59:46.162 --> 01:59:47.872]  and the figure is gone.
[01:59:49.497 --> 01:59:52.039]  The globalists are purposely collapsing our world.
[01:59:52.039 --> 01:59:55.741]  They are creating insecurity, crime, war, and famine.
[01:59:55.741 --> 02:00:02.925]  All of us should do everything we can to get prepared and get ready for ourselves and our families' sakes, but also our community.
[02:00:02.925 --> 02:00:09.849]  And citizenstronghold.com is the best place to go to get high-quality body armor at the lowest price you're going to find.
[02:00:09.849 --> 02:00:13.632]  Again, this is high-quality body armor at the lowest price you're going to find.
[02:00:13.632 --> 02:00:17.294]  We've worked with them for years, but they can never supply enough to our audience.
[02:00:17.294 --> 02:00:19.075]  They have massively expanded their factories.
[02:00:19.395 --> 02:00:23.437]  It's made right here in America and they're ready to ship it to you right now.
[02:00:23.437 --> 02:00:25.279]  CitizenStronghold.com.
[02:00:25.279 --> 02:00:29.161]  When you go there, put in promo code ALEX and get 10% off on your purchases.
[02:00:29.161 --> 02:00:32.003]  They have it for children, they have it for women, they have it for men.
[02:00:32.003 --> 02:00:35.905]  They have backpacks that then unfold and are full top body armor.
[02:00:35.905 --> 02:00:39.387]  They've got it all right now ready to ship to you, 10% off.
[02:00:39.387 --> 02:00:43.289]  And the globalists are coming to try to stop the sale of it soon.
[02:00:43.289 --> 02:00:46.011]  That's why you need to get it now at CitizenStronghold.com.
[02:00:46.011 --> 02:00:47.292]  Promo code ALEX and get 10% off.
[02:00:54.034 --> 02:00:59.096]  Rallying patriots worldwide in defense of human liberty.
[02:00:59.096 --> 02:01:06.980]  It's Alex Jones.
[02:01:06.980 --> 02:01:09.861]  I've studied how the globalists roll out psychology.
[02:01:09.861 --> 02:01:14.823]  I don't really study any particular version or school of psychology.
[02:01:14.823 --> 02:01:19.965]  I study the real politica of it, how they apply it, how it's rawly done.
[02:01:20.902 --> 02:01:23.703]  The gaslighting, the manipulation, the overloading.
[02:01:23.703 --> 02:01:27.485]  I mean, I've got all my terms for what they do.
[02:01:27.485 --> 02:01:36.929]  But what they talk about is normalizing mass deaths from vaccines where it just becomes background noise.
[02:01:36.929 --> 02:01:38.189]  OK, your neighbor died.
[02:01:38.189 --> 02:01:39.049]  OK, your friend died.
[02:01:39.049 --> 02:01:40.190]  I mean, I know a lot of people.
[02:01:43.180 --> 02:01:55.483]  Who've taken the COVID vaccines, doesn't matter if it's J&J, the viral vector is super deadly, doesn't matter if it's the AstraZeneca, doesn't matter what it is, the Pfizer, the Moderna, they all get deathly ill.
[02:01:55.483 --> 02:01:56.843]  Everybody gets deathly ill.
[02:01:56.843 --> 02:02:09.146]  I was talking to my personal trainer this morning, and his cousin is a big liberal, and he got super sick, got a viral infection, had to go to the hospital for three days, almost killed him.
[02:02:09.781 --> 02:02:13.042]  They even said it's a bad vaccine reaction, maybe you shouldn't take it.
[02:02:13.042 --> 02:02:17.303]  The next one, he went and did it, and got even sicker.
[02:02:17.303 --> 02:02:21.144]  He'll take 10 shots a year when they say it!
[02:02:21.144 --> 02:02:22.665]  Because he's gay.
[02:02:22.665 --> 02:02:27.506]  He said, I'm gay, and I care about the community, and you people don't know science.
[02:02:27.506 --> 02:02:29.466]  Tim Cook runs death camps, but he's gay!
[02:02:29.466 --> 02:02:31.927]  It's like a, dun-dun-dun, I'm gay!
[02:02:31.927 --> 02:02:32.827]  Dun-dun-dun!
[02:02:32.827 --> 02:02:34.568]  It's like, oh my god, you're gay!
[02:02:34.568 --> 02:02:36.869]  It's like you have 50 diplomas or something!
[02:02:36.869 --> 02:02:38.409]  My lord, incredible!
[02:02:40.504 --> 02:02:45.568]  The only cooler is we have a son who's transgender, he's a girl, we cut his genitals off.
[02:02:45.568 --> 02:02:48.150]  See how it all works?
[02:02:48.150 --> 02:02:57.797]  So, CNN is now shaming Fox News for not holding up their vaccine identity cards and showing their heroes.
[02:02:57.797 --> 02:02:59.058]  Maybe they'll get the ADL involved.
[02:02:59.955 --> 02:03:08.237]  How about you take photos about how you're normal and how you're eating stuff that's high in vitamin D3 or zinc or taking supplements and showing studies about it?
[02:03:08.237 --> 02:03:15.059]  Oh, sorry, only the UN is allowed to tell you there's no hope, only vaccines.
[02:03:15.059 --> 02:03:18.480]  There's no hope.
[02:03:18.480 --> 02:03:24.321]  You can't leave the volcano eruption unless you've had your vaccine.
[02:03:24.321 --> 02:03:26.022]  In St.
[02:03:26.022 --> 02:03:26.322]  Vincent.
[02:03:27.515 --> 02:03:38.062]  Or if you're in Chile, hey, sorry, you're 85, you can't, I'm sorry, you don't have a smartphone, you don't have a COVID passport, no food for you, old lady.
[02:03:38.062 --> 02:03:39.763]  Plus, your life's not worth it anymore.
[02:03:39.763 --> 02:03:41.365]  Just go home and starve.
[02:03:41.365 --> 02:03:44.907]  We're so liberal, we've decided your life doesn't have any value.
[02:03:44.907 --> 02:03:48.189]  We're the Bioethics Board.
[02:03:48.189 --> 02:03:51.892]  We're virtue signals, and while we commit our crimes, our faces are covered.
[02:03:51.892 --> 02:03:56.375]  It's all esoteric, right out of the mind of Satan!
[02:04:00.561 --> 02:04:01.722]  And now there's this.
[02:04:01.722 --> 02:04:09.150]  Oh, and surprise, surprise, just like DMX, who I actually did like, good rapper.
[02:04:09.150 --> 02:04:15.557]  People say it was a big joke online saying I'm a white DMX, because I guess we kind of have the same kind of gravelly voice, or did.
[02:04:15.557 --> 02:04:16.478]  I'm three years younger than him.
[02:04:17.290 --> 02:04:18.451]  By the way, the family got pissed.
[02:04:18.451 --> 02:04:19.472]  I went and actually tracked it down.
[02:04:19.472 --> 02:04:23.515]  The media's like, oh, it's just some black website, hip-hop group.
[02:04:23.515 --> 02:04:35.344]  It's not the New York Times saying that he hadn't been on drugs in over five years and he was all healthy and that he took the shot and died from it because it was available to under 50 or whatever then.
[02:04:35.344 --> 02:04:38.206]  So I tracked it down just like Robert Kennedy Jr.
[02:04:38.206 --> 02:04:40.988]  tracked it down, that Hank Aaron and Dean did take the shot.
[02:04:40.988 --> 02:04:42.109]  They didn't do an autopsy.
[02:04:42.109 --> 02:04:44.971]  Family thought he died of the shot, took the second shot, was dead a day later.
[02:04:48.749 --> 02:04:55.932]  Marvis Marvin Hagler, his family, his boxing buddies that were there when he died, said he took the second shot and was dead a day later.
[02:04:55.932 --> 02:04:58.713]  He was in the hospital and dead a day and a half later.
[02:04:58.713 --> 02:05:00.474]  Well, lookie here, right here!
[02:05:00.474 --> 02:05:03.235]  And yes, we do have anecdotal evidence.
[02:05:03.235 --> 02:05:04.896]  We have proof the vaccine kills people.
[02:05:04.896 --> 02:05:05.837]  It's not a vaccine.
[02:05:05.837 --> 02:05:07.617]  We have proof it killed all the ferrets they tested it on.
[02:05:07.617 --> 02:05:09.458]  That's why they said, oh, no, animal testing was done.
[02:05:09.458 --> 02:05:10.539]  That's why we're like, what's going on?
[02:05:10.539 --> 02:05:13.620]  Top scientists go, wait a minute.
[02:05:13.620 --> 02:05:14.760]  This is going to hurt people.
[02:05:14.760 --> 02:05:15.401]  Of course it is.
[02:05:15.401 --> 02:05:15.881]  That's the plan.
[02:05:17.319 --> 02:05:21.601]  And the ferrets, it killed him in about two weeks to a month.
[02:05:21.601 --> 02:05:24.963]  Well, see a ferret only lives, what, six, seven, eight years?
[02:05:24.963 --> 02:05:26.384]  Dog lives about 12, 13.
[02:05:26.384 --> 02:05:30.646]  A cat lives about 15.
[02:05:30.646 --> 02:05:35.689]  So they've done the actuaries and looked at it and they said, this is going to start killing humans in six months to two years.
[02:05:35.689 --> 02:05:38.310]  And it is already.
[02:05:38.310 --> 02:05:42.112]  If you're old, it's going to kill you maybe right away.
[02:05:43.621 --> 02:05:50.364]  And we've had doctors on that said, yeah, I had 22 patients die in the last month at the nursing homes I visit.
[02:05:50.364 --> 02:05:55.926]  And then we have the real numbers showing that.
[02:05:55.926 --> 02:05:56.986]  We have that in the news.
[02:05:56.986 --> 02:05:57.787]  It's even there.
[02:05:57.787 --> 02:05:58.927]  They're just getting used to it.
[02:05:58.927 --> 02:06:01.428]  But look at this.
[02:06:01.428 --> 02:06:08.231]  27-year-old resident doctor dies months after receiving COVID-19 vaccine.
[02:06:08.231 --> 02:06:09.711]  It's up on InfoWars.com.
[02:06:09.711 --> 02:06:10.852]  Oh, and look, he's black.
[02:06:12.637 --> 02:06:22.359]  So we have all the scientific proof that this thing in the vaccine is killing people, but I've anecdotally noticed that a lot of black people are dying from it, including people I went to high school with.
[02:06:22.359 --> 02:06:24.819]  This guy and his wife, he went on to be a UT football player.
[02:06:24.819 --> 02:06:29.320]  They went and got the shot, and they're deader than a hammer.
[02:06:29.320 --> 02:06:31.020]  But that's okay.
[02:06:31.020 --> 02:06:32.661]  It's a liberal.
[02:06:32.661 --> 02:06:34.921]  So, let's continue here.
[02:06:34.921 --> 02:06:38.582]  27-year-old resident doctor dies months after receiving COVID-19 vaccine.
[02:06:38.582 --> 02:06:39.102]  27-year-old man!
[02:06:42.068 --> 02:06:44.810]  Not like all these other people have been dying.
[02:06:44.810 --> 02:06:52.077]  He was administering COVID vaccines in Chicago, suddenly died just months after he took his second dose of Pfizer shot.
[02:06:52.077 --> 02:07:08.911]  Josh Meir Henry, resident doctor working for PGY1 program pharmacy in Humboldt Park Health, Chicago, Illinois, was honored to be part of administering the second dose of the Pfizer vaccine to the first five recipients in Chicago.
[02:07:08.911 --> 02:07:10.292]  He was even a star of the whole thing.
[02:07:11.932 --> 02:07:15.714]  Well, I understand the hesitancy of many regarding receiving the vaccine.
[02:07:15.714 --> 02:07:19.035]  I'd like to encourage all those who qualify to be vaccinated.
[02:07:19.035 --> 02:07:24.597]  Initially, I was also hesitant, but was reassured by some research clarifying my thought reading.
[02:07:24.597 --> 02:07:29.980]  Henry wrote in a January Facebook post, kind of like that woman complained on Facebook.
[02:07:29.980 --> 02:07:31.220]  She said, I took it.
[02:07:31.220 --> 02:07:31.901]  I can't breathe.
[02:07:31.901 --> 02:07:32.401]  I'm dying.
[02:07:32.401 --> 02:07:33.521]  And she did die.
[02:07:33.521 --> 02:07:39.604]  And Facebook checked her ass and said, lady, it's been tested and is 100% safe, which is a damn lie.
[02:07:40.603 --> 02:07:57.721]  But it doesn't matter because I got the Chronicle here last week saying we're going to the black poor neighborhood to help them with a couple cans of beans and a little sign saying COVID shots are free and they're 100% safe and you need them.
[02:07:57.721 --> 02:08:00.444]  Here, let's look at that right here.
[02:08:00.444 --> 02:08:02.186]  COVID-19 vaccines are safe.
[02:08:03.624 --> 02:08:18.189]  And then Hollywood puts out all these movies about kill white people, and a bunch of young black people, led by Southern Poverty Law Center and ADL types, go out and start killing and burning, and then whites become a bunch of racists against you, and that destroys any future of us working together, because they really love you.
[02:08:18.189 --> 02:08:22.710]  They love you to give you that shot, and they love you to be a thug, and they love you to die.
[02:08:22.710 --> 02:08:29.833]  If they can't abort you before you're born, they're going to abort you after you're born, and they want to get everybody.
[02:08:29.833 --> 02:08:32.974]  But they've got a special love for black people, a special hate.
[02:08:34.744 --> 02:08:36.606]  So there you go.
[02:08:36.606 --> 02:08:45.595]  But I mean, all this is okay, because Silicon Valley, they've got long hair, they wear different color socks, they're liberal, it's all camouflage.
[02:08:45.595 --> 02:08:46.515]  Just like the pink sweaters.
[02:08:46.515 --> 02:08:50.359]  Imagine if Freddy Krueger wore a pink sweater.
[02:08:50.359 --> 02:08:52.341]  They'd be like, oh, go ahead and kill me, Freddy, you're wearing a pink sweater.
[02:08:52.341 --> 02:08:53.702]  Or Jason wore one.
[02:08:53.702 --> 02:08:54.743]  See, it's the same deal.
[02:08:54.743 --> 02:08:56.285]  Like, oh, Jason, you're wearing a pink sweater.
[02:08:56.285 --> 02:08:58.307]  I mean, you're not about to kill me or anything with a machete.
[02:09:04.269 --> 02:09:06.090]  I mean, it's so obvious.
[02:09:06.090 --> 02:09:06.990]  It's so ridiculous.
[02:09:06.990 --> 02:09:08.170]  And they're attacking everybody.
[02:09:08.170 --> 02:09:09.610]  We're all supposed to kill each other.
[02:09:09.610 --> 02:09:15.152]  Guys, can you pull up from Rushing With Love, the opening scene, with the Siamese fighting fish?
[02:09:15.152 --> 02:09:18.112]  And he goes, ah, notice the fish.
[02:09:18.112 --> 02:09:19.433]  The two fish fight each other.
[02:09:19.433 --> 02:09:21.113]  One dies, the other gets sick and weak.
[02:09:21.113 --> 02:09:24.314]  And then the other one swoops in to kill the other.
[02:09:25.316 --> 02:09:26.618]  And that's divide and conquer.
[02:09:26.618 --> 02:09:32.485]  And we just sit here like morons, banging our head into a wall, like total idiots, and letting this win.
[02:09:32.485 --> 02:09:34.608]  Just bang, bang, bang.
[02:09:34.608 --> 02:09:38.593]  Or we could just wake up with a new world order, read what the enemy's doing, say no to them and stop them.
[02:09:38.593 --> 02:09:40.956]  Oh, but we don't want to admit we're under attack.
[02:09:40.956 --> 02:09:42.738]  We don't want to admit we're being scammed.
[02:09:42.738 --> 02:09:44.180]  It's too much fun to be morons.
[02:09:46.034 --> 02:09:50.638]  Oh my gosh, I got so much more to get to, but I just, there's all this breaking news here.
[02:09:50.638 --> 02:10:03.307]  I want to get into the whole race rioting, I want to get into the war with Russia thing next, and the Nezerov event, on the just completely dystopic nightmare footage of hundreds of riot police pushing people out and attacking people for being an outdoor church service now.
[02:10:03.307 --> 02:10:07.690]  I mean, it is just, it's insane.
[02:10:07.690 --> 02:10:11.132]  And please remember, we put it all on the film in-game, and I've always got the meter running.
[02:10:11.132 --> 02:10:13.414]  This place is going to shut down if you don't find us.
[02:10:13.414 --> 02:10:14.555]  Plus, this is a video you need.
[02:10:16.255 --> 02:10:19.617]  Back in stock, Endgame, Blue River Global Enslavement, the film that exposed it all.
[02:10:19.617 --> 02:10:22.759]  We've launched Operation Endgame, Stop the Great Reset.
[02:10:22.759 --> 02:10:24.780]  One copy for $14.95.
[02:10:24.780 --> 02:10:26.901]  Two copies for $9.95 each.
[02:10:26.901 --> 02:10:32.404]  And then it just goes down to $3.95 each when you get ten of the films.
[02:10:32.404 --> 02:10:34.005]  And it's also zero country codes.
[02:10:34.005 --> 02:10:35.205]  Everybody can copy this.
[02:10:35.205 --> 02:10:35.866]  Burn copies.
[02:10:35.866 --> 02:10:37.406]  Tell people, hey, it's the forbidden info.
[02:10:37.406 --> 02:10:38.627]  It's the film that predicted it all.
[02:10:38.627 --> 02:10:39.888]  Burn the truth with Endgame.
[02:10:39.888 --> 02:10:41.008]  You're not supposed to see it.
[02:10:41.008 --> 02:10:41.569]  They'll watch it.
[02:10:41.569 --> 02:10:42.089]  They'll wake up.
[02:10:42.089 --> 02:10:43.910]  They'll make copies and pay it forward.
[02:10:43.910 --> 02:10:44.991]  Infowarsstore.com.
[02:10:44.991 --> 02:10:45.651]  Get Endgame today.
[02:10:47.956 --> 02:10:56.080]  Epic is one of only a handful of domain registrars that promote free speech and freedom of association.
[02:10:56.080 --> 02:11:03.943]  And they know that big tech is buying up almost all the other major companies and engaging in massive censorship and organized crime racketeering.
[02:11:03.943 --> 02:11:07.024]  That's why they've been massively expanding their services.
[02:11:07.024 --> 02:11:15.128]  So whether you have domains or want to register a domain or want help building a website or want servers or any other major service, they've got it all and they're expanding
[02:11:15.128 --> 02:11:15.548]  I think?
[02:11:33.626 --> 02:11:40.448]  So it's a win-win as we build a true, open, free internet again, because the globalists are destroying what was open and what was free.
[02:11:40.448 --> 02:11:44.890]  So, InfoWarsDomains.com, the revolution starts there.
[02:11:44.890 --> 02:11:47.931]  InfoWarsDomains.com, take action now!
[02:11:47.931 --> 02:11:50.332]  It's hard to believe that we're already in the middle of April.
[02:11:51.394 --> 02:12:07.242]  And our border's collapsing, and world government's being announced, and Joe Biden's coming after our guns, and trying to start a war with Russia, but told China they can take over Hong Kong and Taiwan, so China's done a blockade around Taiwan and is threatening to invade Hong Kong.
[02:12:07.242 --> 02:12:09.223]  They already sent troops into Hong Kong.
[02:12:09.223 --> 02:12:10.444]  This is madness.
[02:12:10.444 --> 02:12:14.726]  And our government's been hijacked now by these globalists, and they're trying to shut us down.
[02:12:15.894 --> 02:12:18.515]  They took our sponsors away a long time ago.
[02:12:18.515 --> 02:12:21.277]  But you sponsor us by buying products direct.
[02:12:21.277 --> 02:12:23.198]  So these are already great products you need.
[02:12:23.198 --> 02:12:31.242]  Whether it's Vitamineral Fusion back in stock, or whether it's Winter Sun, or whether it's Lung Cleanse, they're all 40% off individually, 50% off when you order them in combos or together.
[02:12:32.058 --> 02:12:34.261]  You're listening to the Alex Jones Show!
[02:13:12.470 --> 02:13:14.611]  So, China is the golden child.
[02:13:14.611 --> 02:13:23.875]  China is where the Rockefellers and the New World War and the Rothschilds set up the deals where they have all the industry, all the jobs, all the weapons, all our secrets.
[02:13:23.875 --> 02:13:26.916]  Russia has its own authoritarian problems, but it has been
[02:13:28.553 --> 02:13:32.996]  Isolated and dominated and controlled because they kicked the globalists out in 1991.
[02:13:32.996 --> 02:13:36.118]  They've had their own human problems, their own corruption.
[02:13:36.118 --> 02:13:39.140]  And I'm not saying Russia hasn't tried to spy on us or infiltrate us.
[02:13:39.140 --> 02:13:48.046]  Just compared to the New World Order, you know, Russia just is not even on the scale of active anti-human evil.
[02:13:48.046 --> 02:13:52.248]  And they've been reversing the anti-family programs, the transgenderism, all of it.
[02:13:52.248 --> 02:13:56.231]  And the whole Hollywood system that had Russia where they wanted it is super pissed.
[02:13:57.828 --> 02:14:09.237]  And so, on record, Ukraine, since George Soros bragged on Fareed Zakaria seven years ago, six years ago, launched major military attacks on the police, caused race riots again.
[02:14:09.237 --> 02:14:10.518]  You say, well, what's the race?
[02:14:10.518 --> 02:14:11.138]  They're all white.
[02:14:11.138 --> 02:14:12.600]  Well, Catholic versus...
[02:14:14.210 --> 02:14:19.092]  Orthodox, vice versa, so it's religious, ethnic, because they still see it as an ethnic deal.
[02:14:19.092 --> 02:14:35.477]  One side is Russian, the Orthodox, the other side is more in line with the Germans and the Poles, historically, and they're Catholic, and so a lot of wars have started there, but 80% of Eastern Ukraine is Russian, and their big gas pipelines come in to supply Europe with gas and oil.
[02:14:35.477 --> 02:14:36.657]  That's all Russia's really got.
[02:14:37.570 --> 02:14:40.091]  And so they will defend their strategic interest.
[02:14:40.091 --> 02:14:52.173]  And so now Biden says it was an uncharacteristic Sunday emergency meeting of what to do and the Secretary of State, you know, said after being slapped around by the Chinese, you know, Russia better watch out.
[02:14:52.173 --> 02:14:53.653]  We'll have military action.
[02:14:53.653 --> 02:14:56.434]  We'll have strong response.
[02:14:56.434 --> 02:15:03.935]  And when he did that, the Russians even put more troops on the border and put their nuclear forces on alert and everything because there are
[02:15:05.103 --> 02:15:10.524]  Ukrainian troops on record sniping, shooting, bombing, and firing artillery.
[02:15:10.524 --> 02:15:12.625]  This is on even German-nish.
[02:15:12.625 --> 02:15:14.665]  This is in Polish-nish.
[02:15:14.665 --> 02:15:15.665]  But not on U.S.
[02:15:15.665 --> 02:15:15.905]  news.
[02:15:15.905 --> 02:15:30.489]  You're like, yeah, I mean, the Russians for no reason are massing troops and you've got the Ukrainian president up there in combat gear going, oh, we need help, the Russians are about to attack.
[02:15:30.489 --> 02:15:31.069]  So it's all 8-8.
[02:15:32.842 --> 02:15:38.505]  2008, on the 8th, remember when the whole Olympics started?
