[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[58:49.680 --> 58:53.840]  You deserve a deep restful sleep with knockout by info wars life
[58:53.840 --> 59:02.080]  Our organic formula is made from high quality natural ingredients such as valerian root extract l tryptophan
[59:02.480 --> 59:04.960]  lemon balm leaf extract and melatonin
[59:05.760 --> 59:10.160]  Knockout packs a powerful punch to get you through the night and achieve proper sleep
[59:10.560 --> 59:14.400]  Millions of people around the world experience daytime drowsiness
[59:14.640 --> 59:18.560]  But with the rapid speed of life we need to be able to keep up the pace
[59:18.560 --> 59:26.320]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need
[59:26.640 --> 59:32.480]  Wake up refreshed and take on the day info wars life wants to bring you a sleep support formula
[59:32.560 --> 59:36.560]  That goes above and beyond other leading brands at an affordable price
[59:37.040 --> 59:44.720]  Get the sleep you deserve and experience the power of knockout head on over to info wars life.com and say goodbye to fatigue
[59:44.720 --> 59:48.720]  That's info wars life.com
[59:50.880 --> 59:53.520]  You're listening to the alex jones show
[59:59.120 --> 01:00:03.120]  Seems like time's speeding up we know technology is
[01:00:05.680 --> 01:00:09.520]  This is our land and then I think about people like stand out
[01:00:09.520 --> 01:00:14.240]  These are our people. We've been listening to for 20 years. The workers
[01:00:15.520 --> 01:00:17.520]  The strike
[01:00:18.080 --> 01:00:21.360]  A year ago by before he's back on I think it was like yesterday
[01:00:22.640 --> 01:00:24.640]  It's like a thousand years ago
[01:00:25.520 --> 01:00:28.960]  And that's why we've got a big board in there now. We write all these great guest names on
[01:00:29.520 --> 01:00:33.280]  So that we think about them. I also get this guy on every week not every year
[01:00:33.280 --> 01:00:38.160]  We'll be back after this intro and let him have some final comments
[01:00:49.840 --> 01:00:51.840]  I've met so many amazing people
[01:00:51.920 --> 01:00:56.720]  He could pull his name up. He was a famous british economist in the top of the government back in the 80s and stuff
[01:00:56.720 --> 01:01:03.200]  And I ran into him covering Bilderberg in Canada. They didn't even know how famous he was and he just said the answer to 1984
[01:01:03.280 --> 01:01:05.600]  Alex is 1776 and he was a mathematician
[01:01:06.160 --> 01:01:13.760]  Anybody said that's a social term like 1776 will override 1984 the tyranny stand. Please come back this week with us and then
[01:01:14.400 --> 01:01:17.440]  Try to come on at least once a week once a month. I'm launching all these new shows
[01:01:17.600 --> 01:01:22.880]  I'd love to get you on a couple days a week just to comment take cover or whatever you want long form without me interrupting
[01:01:22.880 --> 01:01:26.960]  Uh, which you know, uh, because you're such a nice guy. We only got like four minutes left
[01:01:27.600 --> 01:01:32.960]  Your points things you want to add things that are going on things that are happening things you want to impart to people
[01:01:34.000 --> 01:01:37.520]  Well, the main thing in relation to the weather is hurricanes have
[01:01:37.920 --> 01:01:42.000]  They're a low pressure area and when they move over land they start to slow down
[01:01:42.080 --> 01:01:46.640]  But if they move over a known fault line that is already stressed and ready to release
[01:01:46.960 --> 01:01:51.120]  It has been documented that the earthquake will occur as the low pressure area
[01:01:51.120 --> 01:01:55.040]  Causes a heave in the surface and have earthquake
[01:01:55.520 --> 01:01:58.960]  This one, uh, he's going to peter out over
[01:01:59.760 --> 01:02:03.200]  Uh, Tennessee near the new madrid zone
[01:02:03.760 --> 01:02:06.720]  Uh, I don't see a fault line listed there by usgs
[01:02:06.800 --> 01:02:11.600]  But i'm watching that area for lubrication from the rain and from the lifting of the surface
[01:02:11.600 --> 01:02:14.960]  What about cotton that the hurricane was right over where the mexican quake happened?
[01:02:15.680 --> 01:02:17.680]  interesting wasn't it
[01:02:17.680 --> 01:02:21.600]  I think I think that the two actually if you look at the same thing you're looking at there that uh,
[01:02:21.840 --> 01:02:25.680]  No wind map and you plug in the thermal temperature
[01:02:25.760 --> 01:02:31.600]  You know the sea temperatures over the globe and the wind you'll see that from Mexico where that the earthquake
[01:02:32.000 --> 01:02:35.280]  occurred and where the tornado or the hurricane occurred all the way up to florida
[01:02:36.000 --> 01:02:38.640]  Is bright purple which is extreme heat
[01:02:39.440 --> 01:02:45.200]  And the same kind of pattern exists on the west side of the pacific over in japan where they've just now had another earthquake
[01:02:45.200 --> 01:02:47.200]  See that
[01:02:48.080 --> 01:02:50.080]  And I do it's incredible. So it's all interconnected
[01:02:51.200 --> 01:02:52.640]  yes
[01:02:52.640 --> 01:02:56.640]  Wow, uh, just politically. What would you call the state the world's in right now?
[01:02:58.080 --> 01:02:59.520]  well, uh
[01:02:59.520 --> 01:03:06.400]  Politically and biblically, I'd say we're approaching the the tribulation period that the the prophets speak of in the bible because
[01:03:06.960 --> 01:03:11.200]  Of the threat to our economy, you know, global collapse economy
[01:03:11.200 --> 01:03:16.240]  Uh, geophysical events in the weather uh earthquakes, uh threatened
[01:03:16.880 --> 01:03:22.320]  asteroid impact and by the way on the 12th of october this year you can see it on my show images page
[01:03:22.720 --> 01:03:29.120]  I've got a plot there telling you about an asteroid. It's going to come within the orbits of
[01:03:30.320 --> 01:03:38.800]  250 of our geosynchronous satellites that control gps and communications and by the way drudge report tweeted that from nasa and twitter blocked it
[01:03:38.800 --> 01:03:43.600]  You're joking. No. No promise me. You'll come back for an hour this week
[01:03:44.320 --> 01:03:47.520]  Okay, done deal. Just tell me when well, I want you to get into all this
[01:03:47.920 --> 01:03:50.400]  I'm not gonna ask the questions because you're so smart. I'm serious
[01:03:51.120 --> 01:03:54.320]  Because you're nice and sit back like the good, you know, good guy and let me ask questions
[01:03:54.480 --> 01:03:57.760]  I want you to go wherever standale wants to on the asteroids the earth changes
[01:03:58.720 --> 01:04:03.760]  I mean regardless if the bible isn't true the globalists are sure using it as a handbook to take over
[01:04:03.920 --> 01:04:08.320]  The mark of the beast the persecution of christians kicking them off amazon kicking them off google
[01:04:08.320 --> 01:04:10.320]  I mean, it's mainline
[01:04:10.800 --> 01:04:13.840]  Focus on the family and stuff getting attacked. I mean they're really coming after people
[01:04:14.400 --> 01:04:17.920]  Can you believe we're actually seeing this? I mean it just came on so suddenly
[01:04:18.720 --> 01:04:23.760]  That you know, even though we expect it from biblical prophecy. I mean, I must found it. They're just hating us
[01:04:24.240 --> 01:04:29.200]  Well, trump sped it up and I want to ask you this week when you come on. Who is trump in biblical prophecy?
[01:04:30.640 --> 01:04:35.680]  Good question. We'll think about that. All right standale.com standale. Thank you. Wow
[01:04:35.680 --> 01:04:42.320]  Why is that guy? I just think like these guests are so good and like a year goes by since he's been on
[01:04:42.800 --> 01:04:46.160]  You're gonna start hearing more of him. I promise. That's why we're going 20 hours live
[01:04:46.400 --> 01:04:52.160]  We're up to 10 hours live in the last two months. I got promised. We're going up to 20 hours live in the next six months
[01:04:52.240 --> 01:04:54.240]  stay with us
[01:04:55.040 --> 01:04:59.760]  Protect your skin with spf 30 sunscreen lotion by emricks essentials
[01:04:59.760 --> 01:05:07.280]  Perfect for face and body this natural unscented sunscreen can be worn at all times of the day whenever you need sun protection
[01:05:07.360 --> 01:05:13.040]  We source ingredients from nature producing a product free of harmful chemicals and toxins
[01:05:13.280 --> 01:05:16.800]  This natural lotion contains 21 zinc oxide
[01:05:16.880 --> 01:05:21.200]  Which is the largest particle size used and we do not use nano particles
[01:05:21.600 --> 01:05:24.560]  The larger the particle the safer it is for your body
[01:05:24.560 --> 01:05:33.440]  The organic oils help hydrate the skin leaving it nice and smooth the truly natural fragrance free sunscreen for the most sensitive skin
[01:05:33.680 --> 01:05:39.360]  Emricks essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life
[01:05:39.920 --> 01:05:44.880]  Naturally protect your skin with spf 30 sunscreen lotion by emricks essentials
[01:05:44.880 --> 01:05:53.760]  Stop exposing yourself and your family to toxic ingredients visit info wars store.com and learn more about the new spf 30 sunscreen lotion
[01:06:00.320 --> 01:06:05.920]  We now take you live to the central texas command center and the heart of the resistance
[01:06:05.920 --> 01:06:15.920]  You're listening to the alex jones show
[01:06:15.920 --> 01:06:44.240]  We normally do the sunday show four to six p.m. Weekdays my broadcast 11 a.m. To 3 p.m. Central but just the last month we've gone 10 hours a day live with
[01:06:44.240 --> 01:06:50.160]  The great day but night 8 a.m. To 11 a.m. Before I come on weekdays with info wars live
[01:06:50.480 --> 01:06:53.840]  Here's truly alex jones then after that own chore for three hours
[01:06:54.560 --> 01:06:59.440]  With the war room it's a big round table discussion and I intend to go 20 hours a day live
[01:06:59.920 --> 01:07:02.640]  By the middle of next year, but we may even do it sooner
[01:07:02.640 --> 01:07:06.320]  But we're lining up all the talent all the people because info wars has got to do more
[01:07:06.400 --> 01:07:13.200]  We're really affecting things global leaders are listening big corporations are listening. We're decompartmentalizing things
[01:07:13.200 --> 01:07:15.440]  You had of course the big
[01:07:16.640 --> 01:07:18.640]  Manhattan project
[01:07:18.640 --> 01:07:23.600]  Back in the early 1940s. They kept it secret hundreds of thousands of people directly involved
[01:07:24.400 --> 01:07:30.720]  2 million involved supporting it and they kept the whole thing secret until they dropped a bombs on hereshima and nakasaki
[01:07:31.200 --> 01:07:35.680]  Well weather modification globally has been kept secret the same way
[01:07:35.680 --> 01:07:43.680]  And there's other programs of human animal hybrids genetic engineering pharmacological crops. It's actually in the mit literature
[01:07:44.720 --> 01:07:46.880]  But not given attention now
[01:07:47.520 --> 01:07:52.880]  Our next guest who I've interviewed many many years ago set probably 50 times
[01:07:53.840 --> 01:07:55.120]  Dane
[01:07:55.120 --> 01:08:00.080]  Wiggington is an amazing researcher geo engineering watch.org an engineer
[01:08:00.080 --> 01:08:04.000]  I'm not gonna get all the big things he's been involved in but when he learned about this over a decade ago
[01:08:04.000 --> 01:08:08.800]  He dedicated himself despite the fact he was running big solar farms around the country and very successful guy
[01:08:09.360 --> 01:08:13.440]  Because he realized it was so big and now he's gotten closer to the bottom
[01:08:14.000 --> 01:08:18.560]  Of the rabbit hole than probably anybody out there, but more and more they they admit
[01:08:18.960 --> 01:08:24.160]  Oh, the military is doing chemical cleanup and mosquito spraying and helping with the storms
[01:08:24.720 --> 01:08:28.160]  cloud seeding and oh, there's some drills going on and we have the
[01:08:28.160 --> 01:08:35.920]  Secretary of Defense William Cohen back in 1997 in a press briefing back then it was only text the pentagon
[01:08:35.920 --> 01:08:39.920]  Here it is on screen for radio listeners. You can just go to the u.s. Department of Defense type in
[01:08:40.800 --> 01:08:43.520]  DoD news briefing secretary defense William s Cohen
[01:08:44.160 --> 01:08:46.160]  presenter secretary defense William s Cohen
[01:08:46.720 --> 01:08:50.480]  april 28th 1997 here's the cia
[01:08:51.680 --> 01:08:53.840]  Breakdown as well admitting last year
[01:08:53.840 --> 01:09:01.920]  Uh, weather modification programs. There's the Atlantic monthly. There's the central intelligence agency admitting their expanded covert weather control
[01:09:02.480 --> 01:09:04.480]  council on farm relations
[01:09:04.560 --> 01:09:12.480]  Uh, I developing an international framework for geo engineering, but we have the 1978 treaty that began in 1972 and negotiations with Russia
[01:09:12.880 --> 01:09:14.880]  So we're talking about something real
[01:09:15.600 --> 01:09:19.520]  But they want to keep it academic while they do it calling all that testing
[01:09:19.520 --> 01:09:24.720]  They don't want to have a real debate a real discussion about what they're really doing
[01:09:25.360 --> 01:09:26.720]  but
[01:09:26.720 --> 01:09:31.600]  the incredible scientists researchers at geoengineeringwatch.org which is the number one
[01:09:32.160 --> 01:09:37.360]  Compendium of research you could get lost. I tried to make a film called dark skies before they ever had a movie called that
[01:09:37.600 --> 01:09:40.080]  And I just fell down a rabbit hole. It was all so admitted
[01:09:40.400 --> 01:09:42.800]  But all academic that I couldn't even believe
[01:09:43.600 --> 01:09:45.600]  How to respond and I realized what
[01:09:46.080 --> 01:09:47.360]  Dane was saying
[01:09:47.360 --> 01:09:49.360]  Wiggington is right
[01:09:49.760 --> 01:09:54.400]  That don't use the term chem trail that just came out of the public noticing it go to the Nobel prizes
[01:09:54.480 --> 01:09:59.200]  Go to the admissions go to the geoengineering go to the high altitude aerosol spring go to these
[01:09:59.680 --> 01:10:06.480]  Admitted programs. So we've got him for this segment the next to condense this down. I really appreciate him coming on. Let's go over it
[01:10:08.640 --> 01:10:11.680]  Could you have to could be back Alex and you know as you correctly stated
[01:10:11.680 --> 01:10:17.600]  In our portion this morning that the climate engineering particulates are trapping more heat than they deflect
[01:10:18.080 --> 01:10:21.520]  In our goal at geoengineeringwatch.org is to present solid data and Alex
[01:10:21.520 --> 01:10:25.920]  I hope that we can unite the tribes if you will in regard to certain common
[01:10:26.480 --> 01:10:30.240]  Mantras that there can't be again as I stated earlier in the first segment this morning
[01:10:30.560 --> 01:10:34.880]  Can't be any legitimate discussion about the state of the climate without including the climate engineering issue
[01:10:34.880 --> 01:10:36.880]  So we have the entire
[01:10:36.880 --> 01:10:42.800]  Analyst community the climate science community omitting the single greatest disrupting factor of all not the only
[01:10:43.120 --> 01:10:49.840]  Disrupting factor but the single greatest so if if we could unite the tribes if you will in the common mantra that none of us on any side
[01:10:49.840 --> 01:10:56.480]  Of the fence no one can have a legitimate discussion about the state of the climate without first and foremost including climate engineering
[01:10:58.160 --> 01:11:04.320]  Absolutely because Russia and China and Dubai they all admit. They've got antenna arrays doing it
[01:11:04.320 --> 01:11:09.520]  I mean they've got they've got chemical systems spraying and it's all public in their countries here
[01:11:09.520 --> 01:11:12.640]  They just say it's not going on but it turns out we pioneered it all
[01:11:14.480 --> 01:11:16.800]  That's exactly right and if people want to see just how
[01:11:17.680 --> 01:11:19.680]  documented this is we have a
[01:11:20.240 --> 01:11:26.000]  A report to senate report on geoengineeringwatch.org. It's a 750 page congressional document from 1978
[01:11:26.080 --> 01:11:30.320]  You can look at the document in its entirety research massive senate document geoengineering
[01:11:30.320 --> 01:11:35.280]  And on that document it states clearly that normally opposing
[01:11:35.840 --> 01:11:42.880]  Or adversarial governments will cooperate on the climate engineering issue because of the cross-border ramifications
[01:11:42.880 --> 01:11:46.800]  So there you have conclusive proof that all the major powers whatever their
[01:11:47.600 --> 01:11:56.400]  External conflicts appear to be that's publicized. They are absolutely colluding and cooperating on the climate engineering issue because obviously it affects the entire climate system
[01:11:56.400 --> 01:11:58.400]  so we have a
[01:11:58.400 --> 01:11:59.680]  quite a
[01:11:59.680 --> 01:12:04.160]  Global cabal and that's what's amazing under the congressional report that then becomes the UN treaty
[01:12:04.640 --> 01:12:09.280]  Is that they admit? Hey, we all want to do this. So we all agree. We're going to work with each other on
[01:12:10.560 --> 01:12:16.560]  Exactly. They all have their own agendas and objectives with these programs, but they're absolutely all including so how advanced is it?
[01:12:16.560 --> 01:12:22.640]  I mean, I know you you go to the the geoengineering summits, you know where they are there, you know, but a lot of it's classified
[01:12:22.720 --> 01:12:24.720]  I mean how far along is it?
[01:12:24.720 --> 01:12:30.880]  Well, last international conference I went to and confronted the most recognized geoengineer on the planet David Keith
[01:12:31.360 --> 01:12:33.040]  And your listeners can look at this conversation
[01:12:33.040 --> 01:12:36.000]  I think they would find it quite valuable if they search dain wiggins and David Keith
[01:12:36.000 --> 01:12:40.560]  They'll see me confronting David Keith after listening to a three and a half hour symposium of him
[01:12:42.000 --> 01:12:48.080]  Proposing the annual objective of dumping 20 million tons of aluminum nano particulates into the atmosphere
[01:12:48.080 --> 01:12:54.880]  My question to dr. Keith was had any studies been done whatsoever the toxicological effects human health effects
[01:12:55.280 --> 01:12:59.520]  And after him trying to dodge the question by stating that there's a lot of aerosols in the atmosphere already if
[01:13:00.240 --> 01:13:01.520]  A bit more won't make a difference
[01:13:01.520 --> 01:13:07.200]  But I reconfronted him that those aerosols aren't aluminum had he studied aluminum and he stated on the record that
[01:13:07.360 --> 01:13:10.640]  He had done no studies of the human toxicological effects and he said quote
[01:13:10.720 --> 01:13:13.280]  I'm quoting he said terrible things happen tomorrow. We don't know
[01:13:13.280 --> 01:13:18.080]  What kind of a statement is that from a quote unquote scientist that I was banned from the subsequent
[01:13:18.480 --> 01:13:23.120]  Conferences after that ground must be clear. I hadn't seen that video in years. I'm glad you reminded me of that
[01:13:23.120 --> 01:13:27.280]  I'm on your side. I see the text of it. Well, how do we search youtube or whatever to find that video?
[01:13:27.280 --> 01:13:31.920]  I want to play that clip when we come back because that's so powerful that then because you actually went
[01:13:31.920 --> 01:13:36.640]  Hey aluminum causes brain damage and he just he couldn't he said all there's already lots of toxic waste
[01:13:36.640 --> 01:13:41.280]  It's like saying, you know five guys already raped your wife. So how about a hundred or you know, we already shot you
[01:13:41.280 --> 01:13:43.280]  Want it's about three more bullets
[01:13:43.440 --> 01:13:46.160]  Yeah, that's that's the right line of thought for him
[01:13:46.320 --> 01:13:51.920]  If you search dain wiginton david keith geoengineering watch, you'll find that short clip. No question
[01:13:53.360 --> 01:13:58.720]  So continue because people pay attention during a hurricane. They want to make it about carbon taxes pay world government
[01:13:59.040 --> 01:14:02.800]  You know to fix this it's not going to fix it to shut down our plants and move into mexico
[01:14:02.960 --> 01:14:06.080]  I know we're affecting the climate the point is there's a bunch of secret programs
[01:14:06.080 --> 01:14:11.200]  So how do I make real decisions for my family when I don't know when it's all hidden under a national security state?
[01:14:12.000 --> 01:14:16.240]  Well, first again, if we can unite the tribes on every side of the fence with this common
[01:14:16.880 --> 01:14:20.640]  Understanding that you can't discuss the climate without discussing climate engineering
[01:14:20.640 --> 01:14:24.560]  So again, whatever person's point of view that has to be the front line of the conversation
[01:14:24.560 --> 01:14:30.800]  So let's look at Irma that just came from so far away and they knew the trajectory seven days ahead of time
[01:14:30.800 --> 01:14:37.680]  How did they know and interesting that cuba got annihilated and the relationship between us and cuba has deteriorated rapidly
[01:14:37.680 --> 01:14:40.400]  So cuba just got the full brunt of a parallel
[01:14:40.960 --> 01:14:44.160]  Track right along the shoreline did maximum damage to cuba
[01:14:44.480 --> 01:14:48.160]  Why did the hurricane then do a 90 degree turn and the high pressure zone?
[01:14:48.320 --> 01:14:52.160]  There's there's several ways of maneuvering the cyclones with radio frequency microwave transmissions
[01:14:52.160 --> 01:14:55.200]  You have the large transmitters like harp alex. I know you know what that is
[01:14:55.200 --> 01:15:01.760]  You have several dozen large ground base facilities like harp around the globe and they can create and do create high pressure domes
[01:15:01.760 --> 01:15:06.000]  Just like the ridiculously resilient ridge. It's frying us west right now alex
[01:15:06.000 --> 01:15:12.320]  That's what happened over the Gulf of Mexico that forced Irma to make a right hand turn and move up along the
[01:15:12.800 --> 01:15:14.640]  western side of Florida
[01:15:14.640 --> 01:15:20.400]  On the ground you have transmitters and we'll publish an article on this probably tomorrow a video that shows the transmissions of the ground
[01:15:20.400 --> 01:15:26.160]  Base transmitters that then take over can help to steer the hurricane from the ground. So the bottom line is this historical data proves
[01:15:26.160 --> 01:15:29.120]  We have 70 years 70 years of climate intervention
[01:15:29.920 --> 01:15:31.920]  You know what's going on
[01:15:31.920 --> 01:15:39.040]  All right, stay there and I've got main lines that reports cloud ionization electric rain making and laser guided weather modification
[01:15:39.280 --> 01:15:44.160]  This is even in mainstream newspapers that the arab countries don't hide this. They're proud of it
[01:15:44.320 --> 01:15:47.200]  They're turning the desert green with antennas
[01:15:47.200 --> 01:15:54.560]  That are ionizing and creating particulate for rain. I want to explain how that happens as most of you already know
[01:15:54.720 --> 01:16:01.280]  I am a voracious consumer of news and information and in the last four or five years doing more and more research
[01:16:01.440 --> 01:16:07.760]  I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors
[01:16:07.920 --> 01:16:14.080]  In many cases had much better nutrition than we do today and our ancient ancestors sought out the bones
[01:16:14.080 --> 01:16:20.400]  Of the animals that they were hunting killing and then processing and so I set out to develop caveman
[01:16:20.400 --> 01:16:23.920]  But to not just have concentrated bone broth from chicken
[01:16:24.000 --> 01:16:31.440]  But seven other superfood ingredients known for cleansing and supercharging the body at the same time
[01:16:31.840 --> 01:16:34.160]  Info wars isn't just fighting the globalist
[01:16:34.240 --> 01:16:41.760]  We're getting results and we're expanding in the face of the complete media assault and winning because of your support
[01:16:41.760 --> 01:16:45.200]  Caveman is back in stock people absolutely love it
[01:16:45.280 --> 01:16:52.720]  So please secure your caveman today at info wars life dot com or by calling toll free triple a two five three three one three nine
[01:16:54.240 --> 01:16:58.320]  You deserve a deep rest. We'll sleep with knockout by info wars life
[01:16:58.880 --> 01:17:06.560]  Our organic formula is made from high quality natural ingredients such as valerian root extract l tryptophan
[01:17:06.960 --> 01:17:09.440]  lemon balm leaf extract and melatonin
[01:17:09.440 --> 01:17:14.640]  Knockout packs a powerful punch to get you through the night and achieve proper sleep
[01:17:15.040 --> 01:17:18.880]  Millions of people around the world experience daytime drowsiness
[01:17:19.120 --> 01:17:21.120]  But with the rapid speed of life
[01:17:21.120 --> 01:17:23.120]  We need to be able to keep up the pace
[01:17:23.360 --> 01:17:29.120]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[01:17:29.440 --> 01:17:33.200]  And get the sleep you need wake up refreshed and take on the day
[01:17:33.200 --> 01:17:41.120]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price
[01:17:41.520 --> 01:17:49.200]  Get the sleep you deserve and experience the power of knockout head on over to info wars life dot com and say goodbye to fatigue
[01:17:49.520 --> 01:17:51.840]  That's info wars life dot com
[01:17:54.720 --> 01:17:58.800]  Vitamin mineral fusion visit info wars life dot com to secure your chemister
[01:17:58.800 --> 01:18:06.240]  We have worked for years with our chemists and scientists to create the most powerful and affordable great tasting multivitamin formula available
[01:18:06.400 --> 01:18:15.600]  Vitamin mineral fusion drink mix at info wars life dot com is loaded with a full month supply of essential vitamins minerals and amino acids that your body
[01:18:15.680 --> 01:18:18.640]  Absolutely needs in the history of info wars life
[01:18:18.720 --> 01:18:22.400]  We've brought out a lot of amazing products like survival shield x2
[01:18:22.640 --> 01:18:27.200]  Super metal vitality and so many others with its unique delivery system and proprietary
[01:18:27.200 --> 01:18:34.800]  Manufacturing process designed for maximized effects. This formula is the platinum standard of multivitamin mineral products
[01:18:35.040 --> 01:18:43.680]  And this part is most important the ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[01:18:43.920 --> 01:18:47.280]  That means it's clean. That means it's pure and rest secured
[01:18:47.360 --> 01:18:53.920]  You're finding the tip of the spear in the info war that's info wars life dot com and vitamin mineral fusion take action now before we sell out
[01:18:53.920 --> 01:19:03.440]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[01:19:03.520 --> 01:19:09.040]  That's right. Now's the time to build your own food storage with harvest rights freeze dryers
[01:19:09.280 --> 01:19:14.480]  Go to info wars store dot com to learn more and check out this innovative and smart technology
[01:19:14.640 --> 01:19:16.800]  That's easy to use and let me tell you something
[01:19:16.880 --> 01:19:23.280]  It is perfect for freeze drying fruits vegetables meats dairy products desserts and entire meals
[01:19:23.280 --> 01:19:29.680]  Whoo, that's what I'm talking about and when compared to traditional methods of preservation like canning or dehydrating
[01:19:29.760 --> 01:19:35.520]  You know, like what you get at the grocery store. There is no comparison harvest right freeze dryers retain
[01:19:36.240 --> 01:19:42.800]  97% of the food's taste color and nutritional value and have a shelf life of up to 25 years
[01:19:43.120 --> 01:19:50.560]  Now that's what I call the miracle of food preservation harvest right is truly the world's best most affordable freeze dryer
[01:19:50.560 --> 01:19:54.400]  So what are you waiting for? Check it out right now at info wars store dot com
[01:19:57.920 --> 01:20:00.640]  You're listening to the alex jones show
[01:20:00.640 --> 01:20:16.720]  We now take you live to the central texas command center
[01:20:17.760 --> 01:20:23.040]  In the heart of the resistance rallying patriots worldwide
[01:20:23.040 --> 01:20:29.920]  You're listening to the alex jones show
[01:20:33.280 --> 01:20:39.200]  So here's what's happening. I'm just a lay researcher that reads government documents public stuff and they admit global
[01:20:40.160 --> 01:20:41.760]  weather treaties
[01:20:41.760 --> 01:20:43.760]  plans to reduce world population
[01:20:44.320 --> 01:20:49.120]  Post-industrial world race specific bio weapons. I've got department of defense
[01:20:49.120 --> 01:20:55.120]  press briefings admitting it from 1997. I've got un treaties. They're all on info wars dot com
[01:20:56.320 --> 01:20:58.320]  And then I talked to all the scientists
[01:20:58.880 --> 01:21:05.040]  astrophysicists meteorologists and say listen the geoengineering that's going on is what you do to fry the planet
[01:21:05.520 --> 01:21:09.040]  poison the soil the soil and kill people so what is
[01:21:10.320 --> 01:21:16.800]  Omnicide what is planetary death and what's the evidence showing that that's the direction they're going in?
[01:21:16.800 --> 01:21:23.600]  Again, we've got dain wiggington of geoengineering watch.org an amazing researcher. I've known for over 10 years
[01:21:24.080 --> 01:21:28.880]  Clearly this is happening the evidence shows it. What is it? What's behind it? We've got 10 minutes left
[01:21:29.120 --> 01:21:33.360]  Just spill your guts. Tell folks what they need to know about this. Omnicide
[01:21:34.480 --> 01:21:36.800]  On the side would express the
[01:21:37.520 --> 01:21:43.040]  disintegration of the entire web of life on the planet and that is absolutely the track we're on we can debate all the various causes
[01:21:43.040 --> 01:21:48.160]  But if we look at this mathematically speaking the single greatest assault against the web of life today is
[01:21:48.160 --> 01:21:51.040]  Climate engineering now, if I could plug this into something you said earlier
[01:21:51.600 --> 01:21:57.520]  And our again our first statement about the climate engineering particulates trapping more heat than they deflect which is exactly correct
[01:21:57.760 --> 01:22:00.400]  So if if we look at the
[01:22:00.720 --> 01:22:07.760]  Stated purpose of climate engineering primary stated purpose solar radiation management to block some of the sun's incoming thermal radiation
[01:22:07.760 --> 01:22:11.760]  When all available data makes clear that they are actually fueling
[01:22:12.240 --> 01:22:17.200]  The disintegration of the climate and the warming at the same time by trapping more heat than they deflect destroying the ozone layer
[01:22:17.200 --> 01:22:21.680]  Disrupting the hydrological cycle single greatest factor with the massive forest burn downs
[01:22:22.080 --> 01:22:25.120]  Contrary to what the environmental groups would tell us
[01:22:25.680 --> 01:22:27.680]  is not just
[01:22:27.840 --> 01:22:32.880]  Anthropogenic factors as a whole it's climate engineering because climate engineering poisons of soils
[01:22:32.880 --> 01:22:38.880]  Shredzio's own layer more UV exposure more dry lightning. We have an incendiary dust on the foliage
[01:22:38.880 --> 01:22:44.240]  I could go on and on so we have major factors that are most directly related related to climate engineering
[01:22:44.560 --> 01:22:50.400]  And that all fuels the feedback mechanisms that are disintegrating climate system which feeds into the omniside that's occurring right now
[01:22:50.400 --> 01:22:52.400]  So Alex, let's look at the logic behind this
[01:22:53.120 --> 01:23:00.080]  Solar radiation management to give the earth a higher albedo a higher reflectivity. Let's take Venus in comparison if this was the only
[01:23:00.080 --> 01:23:04.640]  Way to or this was a method by which you could actually cool the planet if that's their goal
[01:23:04.960 --> 01:23:09.360]  Let's look at Venus. Venus's albedo is two and a half times that of planet earth
[01:23:09.520 --> 01:23:12.880]  I was about to say Al Gore told us 20 years ago. We're going to become Venus
[01:23:12.880 --> 01:23:15.360]  Then the scientists are doing just what you do to turn us into that
[01:23:16.000 --> 01:23:21.040]  Well, it's it's feeding Venus syndrome. Geo engineering is fueling Venus syndrome. We have articles in geo engineering watch
[01:23:21.360 --> 01:23:26.560]  Anybody who wants to search geo gerrym watch dot org and then plug in whatever title you want to find they should fight an article about it
[01:23:26.560 --> 01:23:32.960]  So back to Venus. Venus is two and a half times more reflective than earth and it's 900 degrees on the ground
[01:23:33.200 --> 01:23:39.040]  Obviously, it's not just a reflective atmosphere that keeps the planet in a mode where it supports life
[01:23:39.600 --> 01:23:42.720]  And Venus all things being equal and many people don't know this Alex
[01:23:42.720 --> 01:23:45.600]  Venus would be 20 to 25 degrees warmer than earth
[01:23:45.920 --> 01:23:50.880]  Not 900 degrees at under winter runaway greenhouse and that reflective atmosphere didn't help much
[01:23:50.880 --> 01:23:52.880]  So back we're back to climate engineering
[01:23:52.880 --> 01:23:59.280]  Uniting the tribes on all sides of the fence. Climate engineering will be the biggest nail in our collective coffins if it continues
[01:23:59.280 --> 01:24:01.440]  So I'm not even a scientist
[01:24:01.440 --> 01:24:06.160]  But they admit that what they're doing unless you engineering causes the light to go through
[01:24:06.480 --> 01:24:13.600]  But stay and not bounce back out and we're it's actually causing this and the soils are full of aluminum and all this is happening
