[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[01:35:56.950 --> 01:36:00.910]  But they keep everybody else out and in the dark.
[01:36:00.910 --> 01:36:02.870]  And that's how the gaslighting structure works.
[01:36:02.870 --> 01:36:03.870]  And that's how the system works.
[01:36:03.870 --> 01:36:05.110]  And that's how this game works.
[01:36:05.110 --> 01:36:06.950]  But all you have to do is track and trace.
[01:36:06.950 --> 01:36:12.430]  It's no coincidence that the lead, quote unquote, whistleblower in the impeachment of President
[01:36:12.430 --> 01:36:14.710]  Trump, the first one, was a Yale grad.
[01:36:14.710 --> 01:36:16.310]  He was a Yale man.
[01:36:16.310 --> 01:36:20.390]  That meant really he was likely a CIA spook, just undercover at another agency.
[01:36:20.390 --> 01:36:22.590]  That's what that means nine times out of 10.
[01:36:22.590 --> 01:36:25.470]  But it's not a coincidence that he was a Yale man.
[01:36:25.470 --> 01:36:28.950]  They have a group of people who identify in a certain way, look at the world in a certain
[01:36:28.950 --> 01:36:29.950]  way.
[01:36:29.950 --> 01:36:30.950]  They help shape that.
[01:36:30.950 --> 01:36:31.950]  They help curate that.
[01:36:31.950 --> 01:36:33.790]  They help create that.
[01:36:33.790 --> 01:36:36.790]  And they buy off potential sources of dissent.
[01:36:36.790 --> 01:36:37.790]  And anyone that-
[01:36:37.790 --> 01:36:38.790]  That's right.
[01:36:38.790 --> 01:36:39.790]  And I didn't mean to make you digress.
[01:36:39.790 --> 01:36:42.790]  Get back into the plandemic and the scam and how you think their operation is going.
[01:36:42.790 --> 01:36:46.230]  Is it first their Milgram experiment is doing well, but how do we defeat it?
[01:36:46.230 --> 01:36:48.150]  Because now they're announcing permanent lockdown.
[01:36:48.150 --> 01:36:49.390]  We got to get out of this.
[01:36:49.390 --> 01:36:50.630]  And we knew it was coming a year ago.
[01:36:50.630 --> 01:36:51.630]  You were right.
[01:36:51.630 --> 01:36:52.630]  But here we are.
[01:36:52.630 --> 01:36:54.750]  Well, it's worked too well.
[01:36:54.750 --> 01:36:55.750]  That's the scary thing.
[01:36:55.750 --> 01:36:58.370]  In other words, so many people have complied.
[01:36:58.370 --> 01:37:02.790]  So many people have been unable to effectively resist that they were able to achieve things
[01:37:02.790 --> 01:37:04.530]  they probably didn't even think they could achieve.
[01:37:04.530 --> 01:37:09.090]  Not only widespread consent to extraordinary things, I mean, they get parents to not send
[01:37:09.090 --> 01:37:10.370]  their kids to school.
[01:37:10.370 --> 01:37:14.550]  They get their parents to isolate their own kids from themselves.
[01:37:14.550 --> 01:37:15.930]  They get the people to give up their life.
[01:37:15.930 --> 01:37:17.350]  Can't go see old folks.
[01:37:17.350 --> 01:37:19.850]  They can put people in the nursing homes to kill them.
[01:37:19.850 --> 01:37:22.570]  They can deny health care to everybody and not resuscitate.
[01:37:22.570 --> 01:37:24.930]  I mean, this has just been terrible.
[01:37:24.930 --> 01:37:25.930]  Oh, yeah.
[01:37:25.930 --> 01:37:30.570]  I mean, they got people to completely disconnect from their own family, not affiliate and associate
[01:37:30.610 --> 01:37:35.690]  with other people, not go to political events, not publicly associate, not publicly protest,
[01:37:35.690 --> 01:37:39.370]  not even run their own businesses or go to their own schools or go to church.
[01:37:39.370 --> 01:37:40.570]  I mean, that's the degree of it.
[01:37:40.570 --> 01:37:43.650]  I mean, they achieved something they never thought they could achieve.
[01:37:43.650 --> 01:37:49.090]  And then on top of that, the big tech giants got fabulously rich, not just China, but the
[01:37:49.090 --> 01:37:53.070]  big tech giant, because they were able to replace overnight, they were able to do what
[01:37:53.070 --> 01:37:55.330]  Walmart's been trying to do for 30 years.
[01:37:55.330 --> 01:37:59.930]  They did in one year, which was wipe out millions of America's businesses forever, wipe out
[01:37:59.930 --> 01:38:04.430]  businesses that have been around for over 100 years in some cases, four or five generations
[01:38:04.430 --> 01:38:05.650]  in some cases.
[01:38:05.650 --> 01:38:11.050]  So the scary power they've been able to accumulate because the courts have been deferential and
[01:38:11.050 --> 01:38:16.530]  docile and because so large swaths of the publication of the public have bought into
[01:38:16.530 --> 01:38:22.530]  the nonsense that it's only, but what I find encouraging is two things, more and more and
[01:38:22.530 --> 01:38:26.490]  more people are pushing back and recognizing that this is nonsense.
[01:38:26.490 --> 01:38:27.770]  That's the number one thing.
[01:38:27.770 --> 01:38:32.330]  The court of public opinion keeps shifting more and more and more against the lockdown.
[01:38:32.330 --> 01:38:35.890]  I was about to say the bigger something looks like it's successful at front shows the bigger
[01:38:35.890 --> 01:38:38.170]  the backlash in Newtonian physics.
[01:38:38.170 --> 01:38:39.170]  Speak to what you're saying.
[01:38:39.170 --> 01:38:42.770]  Look, and we're now starting to see it cross party.
[01:38:42.770 --> 01:38:49.210]  So you see Bobby Kennedy Jr. now be an increasing advocate, not only against compelled vaccines,
[01:38:49.210 --> 01:38:53.890]  but also against mask mandates and against lockdown, says it's one of the greatest violations
[01:38:53.890 --> 01:38:57.110]  of civil rights and civil liberties in American history.
[01:38:57.110 --> 01:39:02.070]  So as we start to get crossover political support from the left and the right, that
[01:39:02.070 --> 01:39:06.950]  means the whole edifice will crumble and you have Cuomo in trouble in New York, Whitmer
[01:39:06.950 --> 01:39:09.910]  in trouble in Michigan, Newsom in trouble in California.
[01:39:09.910 --> 01:39:15.390]  So that the face of the lockdowns are increasingly the face of death, demise and destruction.
[01:39:15.390 --> 01:39:19.450]  And that's increasingly recognized by the broader populace and public.
[01:39:19.450 --> 01:39:24.070]  And as the court of public opinion starts to assert itself more collectively, then that
[01:39:24.070 --> 01:39:28.110]  will be the best restraint on this excess of government and state power.
[01:39:28.110 --> 01:39:29.110]  But it's that's right.
[01:39:29.110 --> 01:39:32.750]  This has all been a giant technocracy test in Bill Gates's own words.
[01:39:32.750 --> 01:39:35.030]  And we said it before they said it, but they've admitted.
[01:39:35.030 --> 01:39:37.630]  Why do you think they admit so much of it in their own programs?
[01:39:37.630 --> 01:39:41.170]  I think it's to look confident in front of their own minions that have carried out the
[01:39:41.170 --> 01:39:45.550]  crime to make it look like all this is completely normal.
[01:39:45.550 --> 01:39:48.030]  Well, you see, Bill Gates, basically, this was Bill.
[01:39:48.030 --> 01:39:53.350]  This was much more of a Bill Gates architected plan than a George Soros architected plan.
[01:39:53.350 --> 01:39:54.470]  This was like his ultimate dream.
[01:39:54.470 --> 01:39:58.550]  It turns out, buying off all the public health authorities pretty much around the world
[01:39:58.550 --> 01:40:00.230]  worked wonders.
[01:40:00.230 --> 01:40:01.230]  Explain that.
[01:40:01.230 --> 01:40:05.590]  The Soros CIA plan would be racism, burning cities, hantifa.
[01:40:05.590 --> 01:40:09.350]  But this is the scientists saying, step aside, we'll show you how to do it.
[01:40:09.350 --> 01:40:10.830]  This is the scientific elite.
[01:40:10.830 --> 01:40:13.670]  This was the real A-gamers coming in, wasn't it?
[01:40:13.670 --> 01:40:14.670]  Absolutely.
[01:40:14.670 --> 01:40:15.830]  It's the ultimate control.
[01:40:15.830 --> 01:40:16.930]  It's ultimate control.
[01:40:16.930 --> 01:40:18.230]  That's what Gates is obsessed with.
[01:40:18.230 --> 01:40:20.350]  I mean, frankly, that's what Microsoft is really is.
[01:40:20.350 --> 01:40:22.390]  He wants monopolized control.
[01:40:22.430 --> 01:40:26.070]  I mean, that's why he's been developing all these patents of quantum tattoos and little
[01:40:26.070 --> 01:40:27.070]  chips-
[01:40:27.070 --> 01:40:28.070]  Weather control.
[01:40:28.070 --> 01:40:29.070]  Exactly.
[01:40:29.070 --> 01:40:30.070]  All of it.
[01:40:30.070 --> 01:40:32.910]  I mean, he has remote control chips.
[01:40:32.910 --> 01:40:36.950]  Why do you need a remote control chip in somebody else's body unless you're up to something
[01:40:36.950 --> 01:40:38.110]  that's not good?
[01:40:38.110 --> 01:40:40.150]  But this has been his in the population control.
[01:40:40.150 --> 01:40:43.890]  And it goes back to that conversation to tie it together I had at Yale with the Planned
[01:40:43.890 --> 01:40:44.890]  Parenthood guy.
[01:40:44.890 --> 01:40:48.390]  I mean, it was the same basic plan, and that's where Gates comes from.
[01:40:48.390 --> 01:40:50.630]  It's all about control, control.
[01:40:50.630 --> 01:40:51.630]  They're power freaks.
[01:40:51.630 --> 01:40:52.830]  They're control freaks.
[01:40:52.830 --> 01:40:57.310]  They care more about that than they do money, than they do status, than they do prestige.
[01:40:57.310 --> 01:40:59.150]  They want control, control.
[01:40:59.150 --> 01:41:00.190]  And that's been Gates.
[01:41:00.190 --> 01:41:02.670]  And Gates has achieved that to an incredible degree.
[01:41:02.670 --> 01:41:06.350]  I mean, I'm just waiting for some city to say, in order to prevent the virus, you need
[01:41:06.350 --> 01:41:11.190]  to walk to work by hopping on one foot and barking like a dog and see how many people
[01:41:11.190 --> 01:41:12.470]  actually go out and do it.
[01:41:12.470 --> 01:41:13.710]  Oh, they do it.
[01:41:13.710 --> 01:41:15.470]  They do it.
[01:41:15.470 --> 01:41:16.510]  That's the terrifying thing.
[01:41:16.510 --> 01:41:21.350]  But so for Gates, this has been his ultimate dream and his ultimate agenda and his ultimate
[01:41:21.350 --> 01:41:25.390]  objective, but he's getting increasingly, increasingly exposed.
[01:41:25.390 --> 01:41:30.570]  People who did not know who he was, who did not know what he was up to, now increasingly
[01:41:30.570 --> 01:41:31.570]  do.
[01:41:31.570 --> 01:41:35.550]  And that's where I think there's effective pushback that, you know, just as Infowars
[01:41:35.550 --> 01:41:40.190]  has been the spear of the resistance, the tip of the spear, that the rest of the resistance
[01:41:40.190 --> 01:41:41.610]  has started to follow.
[01:41:41.610 --> 01:41:45.430]  You're seeing people on both the left and the right increasingly question what's going
[01:41:45.430 --> 01:41:49.270]  on, who's behind this, and how is this really in our interest?
[01:41:50.190 --> 01:41:55.150]  When it's the small lefty cafe that's having to close, the small liberal bookstore that's
[01:41:55.150 --> 01:41:59.190]  having to close, the small liberal-owned comic store that's having to close, and they're
[01:41:59.190 --> 01:42:04.030]  telling you, oh, just go to Amazon, everything will be fine, more and more people are waking
[01:42:04.030 --> 01:42:08.590]  up and more and more people are getting red-pilled, and the effect of that will be more effective
[01:42:08.590 --> 01:42:13.510]  resistance against this Bill Gates matrix-driven society that he's tried to institute.
[01:42:13.510 --> 01:42:14.510]  Well, exactly.
[01:42:14.510 --> 01:42:19.270]  It was about a year and a half ago that some filmmakers that worked with Tommy Robinson
[01:42:19.270 --> 01:42:20.910]  had done a good job of an add-on.
[01:42:20.910 --> 01:42:27.630]  We later learned they worked with Hope Not Hate and basically the equivalent of the ADL,
[01:42:27.630 --> 01:42:32.030]  and they came and interviewed me, and they falsely said that I made fun of my listeners
[01:42:32.030 --> 01:42:37.150]  and falsely said that I made an amount of money that we don't make, but they did show
[01:42:37.150 --> 01:42:40.430]  a video the Southern Department of the Law Center put out a month ago that was real.
[01:42:40.430 --> 01:42:42.590]  They just cut the front and the end off of it.
[01:42:42.670 --> 01:42:48.630]  I'm in a studio with lights in a director's chair being interviewed, and I said, devil's
[01:42:48.630 --> 01:42:52.750]  advocate, if I just cared about myself, I'd say I hate Trump, worst thing in my life,
[01:42:52.750 --> 01:42:57.550]  I'm so effing sick of Trump, but I did this because it's for my children in the future.
[01:42:57.550 --> 01:43:02.770]  Well, it's actually on the DVD, what I said, the film, and I think it's powerful, but they
[01:43:02.770 --> 01:43:06.990]  took it out of context to try to say to my listeners, oh, look, he doesn't support Trump.
[01:43:06.990 --> 01:43:11.990]  Well, no, I've said plenty of where I don't support Trump, how he got hoodwinked at first
[01:43:11.990 --> 01:43:15.910]  into supporting the vaccines, how he didn't fight the censorship when he should have,
[01:43:15.910 --> 01:43:19.510]  but I believe he's a good man, the globalist hate, and certainly you see what we've got
[01:43:19.510 --> 01:43:26.630]  now with Biden, but speaking to that, because hindsight's 20-20, but it's also important
[01:43:26.630 --> 01:43:32.350]  to understand history so we don't repeat it, where did Trump go wrong on vaccines?
[01:43:32.350 --> 01:43:36.430]  You have a lot of contacts, you worked with the president, I know.
[01:43:36.430 --> 01:43:38.110]  How did he get manipulated into this?
[01:43:38.110 --> 01:43:40.790]  Why has he doubled down and said, oh, yeah, the vaccines are great?
[01:43:40.790 --> 01:43:46.150]  Is it because he signed on to it, or is he ignorant, or maybe he thinks if he endorses
[01:43:46.150 --> 01:43:47.150]  it, liberals won't take it?
[01:43:47.150 --> 01:43:52.510]  I mean, I don't know, and then why didn't he do something about the censorship when
[01:43:52.510 --> 01:43:54.870]  now it's only getting worse, including him?
[01:43:54.870 --> 01:43:59.150]  I mean, he's in purgatory, he admits he's trying to get out from under this, so how
[01:43:59.150 --> 01:44:00.150]  did this happen?
[01:44:00.150 --> 01:44:05.870]  Well, you can't be a successful rebel general and hire a bunch of establishment insiders
[01:44:05.870 --> 01:44:10.750]  to be all of your colonels and lieutenants, and that's the long and short answer of Trump.
[01:44:10.750 --> 01:44:13.270]  That he put a lot of establishment insiders around him.
[01:44:13.270 --> 01:44:17.710]  He thought he could convince them to go along with his ideas when all they did was use it
[01:44:17.710 --> 01:44:22.310]  to undermine and sabotage his agenda all the way through, gave him bad information and
[01:44:22.310 --> 01:44:23.310]  bad advice.
[01:44:23.310 --> 01:44:27.830]  I mean, it's now come out that they lied to him, the Pentagon repeatedly lied to him about
[01:44:27.830 --> 01:44:31.930]  Syria, repeatedly lied to him about Afghanistan, repeatedly lied to him about a wide range
[01:44:31.930 --> 01:44:36.350]  of subjects, but particularly about troop levels, troop withdrawals, troop movements.
[01:44:36.350 --> 01:44:41.350]  They were lying to the commander in chief on a daily basis for four years, and there
[01:44:41.350 --> 01:44:47.470]  were some of us trying to get that message to him, and unfortunately he conceded himself
[01:44:47.470 --> 01:44:53.150]  with these establishment types such that he was being constantly undermined and sabotaged,
[01:44:53.150 --> 01:44:54.910]  and frankly, it's still going on.
[01:44:54.910 --> 01:44:58.790]  He has people around him that are determining who he's going to endorse that are two of
[01:44:58.790 --> 01:45:02.470]  the most incompetent, corrupt people from the campaign, and he's put them in charge
[01:45:02.470 --> 01:45:03.470]  of it.
[01:45:03.590 --> 01:45:07.950]  That's why we've seen hits and misses with Trump post-presidency, so he's got to get
[01:45:07.950 --> 01:45:12.310]  to a point where it's a natural, it's his strength and his weakness.
[01:45:12.310 --> 01:45:19.110]  He's not from politics, so he doesn't fully understand the inside game, and consequently,
[01:45:19.110 --> 01:45:22.270]  that's where he makes all his mistakes, where he's unfamiliar with something, where he's
[01:45:22.270 --> 01:45:26.670]  not an expert in something, where he doesn't have life history in something is where he
[01:45:26.670 --> 01:45:32.270]  gets misguided, and that's still the case, and it was the case the entire administration.
[01:45:32.270 --> 01:45:33.910]  There was so much promise.
[01:45:33.910 --> 01:45:36.990]  The great failure of Trump was the undelivered promise.
[01:45:36.990 --> 01:45:42.390]  The great success of Trump was where he was able to deliver, but he came up short because
[01:45:42.390 --> 01:45:48.670]  he entrusted too many establishment hacks, too many corrupt insiders to deliver, and
[01:45:48.670 --> 01:45:53.030]  then when he would get concerned with them, he would go with people that were so far outside
[01:45:53.030 --> 01:45:54.830]  they weren't effective.
[01:45:54.830 --> 01:45:59.190]  There were plenty of people that were in that sweet spot, but as soon as he let the system
[01:45:59.470 --> 01:46:04.950]  take out Flynn, then he communicated to the system they could remove anybody who was a
[01:46:04.950 --> 01:46:05.950]  real threat.
[01:46:05.950 --> 01:46:07.390]  You're right, and that's what scared them was they knew he was a good guy that meant
[01:46:07.390 --> 01:46:10.910]  well, and they knew any moment he could get good advice and act on it.
[01:46:10.910 --> 01:46:15.950]  That's why they were so incredibly panicked, but now look at the crisis of who they put
[01:46:15.950 --> 01:46:16.950]  in.
[01:46:16.950 --> 01:46:17.950]  What do you think happened with Biden?
[01:46:17.950 --> 01:46:21.990]  They knew he was old, controllable, corrupt, under Chinese control, but he obviously, once
[01:46:21.990 --> 01:46:27.830]  he was already in, had more minor aneurysms, had some more strokes, completely gone now.
[01:46:27.830 --> 01:46:29.270]  He's like milk that went bad a month ago.
[01:46:29.270 --> 01:46:30.950]  I mean, it gets worse by the minute.
[01:46:30.950 --> 01:46:35.110]  How do you see them extricating themselves from that crisis?
[01:46:35.110 --> 01:46:39.230]  They see Biden as perfect, as long as the world cannot know that it's weekend at Bernie's
[01:46:39.230 --> 01:46:44.830]  and he's functionally, cognitively dead as a policy man.
[01:46:44.830 --> 01:46:50.430]  What it is, basically you have an empty 1600 Pennsylvania Avenue, and that's perfect for
[01:46:50.430 --> 01:46:51.430]  the deep state.
[01:46:51.430 --> 01:46:55.190]  That means they just get to run the show, and all they've got to do is blow a leaf across
[01:46:55.190 --> 01:46:57.710]  Biden's desk and he'll sign it.
[01:46:57.710 --> 01:47:04.010]  There's no clue in Biden, no pushback in Biden, probably less pushback than any president
[01:47:04.010 --> 01:47:07.190]  in deep state post-World War II history.
[01:47:07.190 --> 01:47:09.190]  This is a literal rubber stamp.
[01:47:09.190 --> 01:47:14.650]  Absolutely, and that's why they love him, and they just have to dodge and survive him
[01:47:14.650 --> 01:47:18.030]  staying up past one o'clock in the afternoon and talking to somebody.
[01:47:18.030 --> 01:47:22.830]  Because he will then be blamed in history for what the globalists have done.
[01:47:22.830 --> 01:47:25.450]  This is a national security crisis.
[01:47:25.450 --> 01:47:27.390]  No doubt about it.
[01:47:27.390 --> 01:47:31.710]  While they have confidence, and Kamala Harris was the deep state candidate, they don't think
[01:47:31.710 --> 01:47:33.670]  Kamala is well-liked.
[01:47:33.670 --> 01:47:37.270]  That's why they're going to leave Biden in as the figurehead as long as they possibly
[01:47:37.270 --> 01:47:38.270]  can.
[01:47:38.270 --> 01:47:39.270]  They just need him.
[01:47:39.270 --> 01:47:41.310]  That's why they don't let him talk to any foreign policy leaders.
[01:47:41.310 --> 01:47:42.870]  That's why there's only very controlled-
[01:47:42.870 --> 01:47:45.590]  And they're in the bubble where as long as the Washington Post and New York Times say
[01:47:45.590 --> 01:47:49.630]  he's the smartest, greatest guy ever, has the body of an 18-year-old, they're believing
[01:47:49.630 --> 01:47:51.190]  their own BS.
[01:47:51.190 --> 01:47:54.170]  Completely, and they've convinced themselves of it.
[01:47:54.210 --> 01:47:57.930]  That's what was shocking about what happened in Anchorage, is it showed the disconnect.
[01:47:57.930 --> 01:48:01.650]  The American establishment political elite really buy their own BS.
[01:48:01.650 --> 01:48:05.650]  They've sold themselves an ad, and they actually believe their own imbubbled world, and they
[01:48:05.650 --> 01:48:09.290]  don't realize the rest of the world has not been successfully gaslit.
[01:48:09.290 --> 01:48:15.130]  That's why Putin made the joke, I wish Biden very good health, making it obvious the guy's
[01:48:15.130 --> 01:48:17.230]  derelict and he's a dementia candidate.
[01:48:17.230 --> 01:48:20.450]  Why am I going to worry about what some dementia guy thinks?
[01:48:20.450 --> 01:48:24.650]  He's an embarrassment of America to the rest of the world, but he's perfect for the deep
[01:48:24.650 --> 01:48:25.650]  state.
[01:48:25.650 --> 01:48:30.130]  As long as they can keep the American populace in the dark, enough of them, then that will
[01:48:30.130 --> 01:48:32.210]  be the path they keep going down.
[01:48:32.210 --> 01:48:36.370]  Barnes, you have blown me away in the last 15 minutes.
[01:48:36.370 --> 01:48:40.530]  Tell people where they can find you, some of the other shows you host, and then just
[01:48:40.530 --> 01:48:44.250]  spend five minutes as I've been asking questions on anything else on your radar that you think
[01:48:44.250 --> 01:48:46.530]  we should be aware of.
[01:48:46.530 --> 01:48:47.690]  Sure.
[01:48:48.650 --> 01:48:51.410]  I created a backup site for me and another lawyer.
[01:48:51.410 --> 01:48:57.210]  We do various TV shows and podcasts at Dave Rubin's Locals to create an independent, separate
[01:48:57.210 --> 01:49:03.530]  space that's subscriber-driven, that has a very low $5 fee, that's designed to get rid
[01:49:03.530 --> 01:49:09.770]  of the trolls, but also bring in people for curated conversation that's free of censorship.
[01:49:09.770 --> 01:49:11.490]  I own the information on there.
[01:49:11.490 --> 01:49:14.210]  I own all the content I create, et cetera.
[01:49:14.210 --> 01:49:20.130]  You can find that at vivabarneslaw.locals.com, and that's where if anybody wants to look
[01:49:20.130 --> 01:49:22.690]  up other additional information, they can.
[01:49:22.690 --> 01:49:26.330]  We're going to move forward across the board at the political resistance.
[01:49:26.330 --> 01:49:30.170]  I brought suits on behalf of people who've been discriminated against based on their
[01:49:30.170 --> 01:49:35.450]  disability under these mask mandates that violate discrimination laws and disability
[01:49:35.450 --> 01:49:40.010]  discrimination laws, and we've already brought several, and we're bringing more.
[01:49:40.010 --> 01:49:43.690]  We're bringing cases that challenge various aspects of the lockdown.
[01:49:43.690 --> 01:49:46.930]  We're going to bring cases that challenge the Fed.
[01:49:46.930 --> 01:49:51.010]  In order to audit the Fed, we got to sue the Fed first and use the Freedom of Information
[01:49:51.010 --> 01:49:54.930]  Act to do it, doing so with George Gammon.
[01:49:54.930 --> 01:49:58.850]  We're going to do what we can in the legal arena and the political court of public opinion,
[01:49:58.850 --> 01:50:02.490]  the courts of law, the courts of judges and juries to try to make as much difference as
[01:50:02.490 --> 01:50:05.690]  we can, but it's going to be up to ordinary, everyday people.
[01:50:05.690 --> 01:50:09.810]  Part of the way they do this, clearly, the tip of the spear throughout, go back and look
[01:50:09.810 --> 01:50:16.050]  at who was on it in March about the risk of lockdowns, who was leading the then protest
[01:50:16.050 --> 01:50:22.610]  against these lockdowns, explaining Bill Gates' essential role going all the way back to November
[01:50:22.610 --> 01:50:27.910]  of 2019 in terms of what he was planning and plotting.
[01:50:27.910 --> 01:50:31.770]  That has always been Infowars, and that is why the continued support of this audience,
[01:50:31.770 --> 01:50:37.350]  making sure this independent platform survive big tech censorship, survive big tech algorithmic
[01:50:37.350 --> 01:50:44.150]  suppression, survive big media attack, survive organized corporatized lawfare, survive all
[01:50:44.150 --> 01:50:48.590]  of this, survive the true ... Before there was Parler, there was Infowars.
[01:50:48.590 --> 01:50:53.910]  That was the biggest tech attack on any independent media platform anywhere in the world, and
[01:50:53.910 --> 01:50:59.770]  yet Infowars survive to get out and thrive, to get out these critical messages because
[01:50:59.770 --> 01:51:04.070]  of the Infowars audience, and the way that happens is by supporting Infowars.
[01:51:05.070 --> 01:51:10.710]  You can get healthier, wealthier, and wiser by going to InfowarsStore.com and buying products
[01:51:10.710 --> 01:51:12.910]  that I buy and use every day.
[01:51:12.910 --> 01:51:17.950]  When I start my day, I get fresh orange juice, I put in winter sun, I put in the Ultra 12,
[01:51:17.950 --> 01:51:22.030]  I put in some turmeric, and that's how I start my day, and then I use Brain Force early on
[01:51:22.030 --> 01:51:24.950]  in the day, and then use Knockout to help go to sleep.
[01:51:24.950 --> 01:51:26.030]  All these things are good for you.
[01:51:26.030 --> 01:51:27.030]  They're healthy.
[01:51:27.030 --> 01:51:28.030]  They make you healthier.
[01:51:28.030 --> 01:51:31.390]  They make you wealthier because they're more affordable than the competition, but at the
[01:51:31.390 --> 01:51:35.790]  same time, they make you and the rest of the world wiser, and that's why it's the Infowars
[01:51:35.790 --> 01:51:41.830]  audience that has kept freedom of press alive during this extraordinary time period, and
[01:51:41.830 --> 01:51:46.390]  it's going to be up to that audience to continue to do so, to share the links, to share the
[01:51:46.390 --> 01:51:51.470]  information, to educate the rest of the world so that we're able to maintain a meaningful
[01:51:51.470 --> 01:51:57.790]  resistance against this form, this true oppressive oligarchy of the Bill Gates types that would
[01:51:57.790 --> 01:51:58.790]  like to rule us.
[01:51:58.790 --> 01:51:59.790]  Absolutely.
[01:51:59.790 --> 01:52:00.790]  We all called it.
[01:52:01.190 --> 01:52:02.190]  And you're absolutely right.
[01:52:02.190 --> 01:52:04.990]  They have The Wall Street Journal, New York Times, Washington Post, calling hundreds of
[01:52:04.990 --> 01:52:07.390]  people trying to say, how are they still on air?
[01:52:07.390 --> 01:52:08.390]  Shut them down.
[01:52:08.390 --> 01:52:09.390]  Shut them down.
[01:52:09.390 --> 01:52:10.390]  The answer is simple.
[01:52:10.390 --> 01:52:13.590]  A great audience that cares and understands that they are literally supporting us to get
[01:52:13.590 --> 01:52:17.590]  information they're already aware of out to others because we're willing to tell the
[01:52:17.590 --> 01:52:19.030]  truth and never back down.
[01:52:19.030 --> 01:52:21.270]  Robert Barnes, thank you so much for all the time.
[01:52:21.270 --> 01:52:23.790]  Look forward to speaking to you very, very soon, my friend.
[01:52:23.790 --> 01:52:24.790]  Absolutely.
[01:52:24.790 --> 01:52:25.790]  Thanks, Alex.
[01:52:25.790 --> 01:52:26.790]  Wow.
[01:52:26.790 --> 01:52:27.790]  Really appreciate him coming on.
[01:52:27.790 --> 01:52:28.950]  I got on air late today.
[01:52:28.950 --> 01:52:32.390]  I appreciate him staying late and moving some appointments to get on with us.
[01:52:32.390 --> 01:52:34.390]  That was very, very important.
[01:52:34.390 --> 01:52:39.390]  These Saturday shows, I call them commercial-free, but we got to take some breaks so I can reset
[01:52:39.390 --> 01:52:42.030]  here and get ready to cover the big issue.
[01:52:42.030 --> 01:52:43.590]  Why have I had volcanoes on screen today?
[01:52:43.590 --> 01:52:44.590]  Well, it's big on the news.
[01:52:44.590 --> 01:52:49.190]  It's very interesting, but it's also a metaphor for where we are as a society and where we
[01:52:49.190 --> 01:52:50.190]  are as a world.
[01:52:50.190 --> 01:52:54.670]  So I'm going to come back and break that down in a final statement, and then we're going
[01:52:54.670 --> 01:52:58.230]  to premiere the 50-minute interview.
[01:52:58.230 --> 01:53:03.190]  I did two weeks ago, but we haven't aired this yet because we dolled it up, had a lot
[01:53:03.190 --> 01:53:06.150]  of interesting information with Roger Stone.
[01:53:06.150 --> 01:53:08.590]  So we'll end with Roger Stone, his path to victory.
[01:53:08.590 --> 01:53:11.030]  Oh, and that's the thing I forgot to ask Barnes.
[01:53:11.030 --> 01:53:13.310]  I'll get him on this week coming up.
[01:53:13.310 --> 01:53:18.230]  I was going to tell him we've got this Roger Stone path to victory video coming up and
[01:53:18.230 --> 01:53:22.410]  that somebody's got to develop a plan and I want to get your plan for victory because
[01:53:22.690 --> 01:53:28.450]  I've been meeting with a lot of high-powered Republicans, the top names, and they're all
[01:53:28.450 --> 01:53:31.090]  trying to create a plan to save the country.
[01:53:31.090 --> 01:53:32.090]  It's about saving Republicans.
[01:53:32.090 --> 01:53:33.730]  It's not about any of that.
[01:53:33.730 --> 01:53:35.690]  We can all instantly sell out to the globalists today.
[01:53:35.690 --> 01:53:37.170]  They're always like, why don't you sell out?
[01:53:37.170 --> 01:53:38.170]  Why don't you sell out?
[01:53:38.170 --> 01:53:39.170]  Sell out to Satanism?
[01:53:39.170 --> 01:53:40.530]  Sell out to your cronies?
[01:53:40.530 --> 01:53:44.970]  Sell out to your stupid Yale and Harvard clubs and the CFR and the Trilateral Commission
[01:53:44.970 --> 01:53:46.930]  and all your pervert, pedophile crap?
[01:53:46.930 --> 01:53:47.930]  No.
[01:53:47.930 --> 01:53:48.930]  I'm sorry, man.
[01:53:48.930 --> 01:53:49.930]  I've seen the globalists.
[01:53:49.930 --> 01:53:50.930]  They look like demons.
[01:53:50.930 --> 01:53:51.930]  They look like they're in hell.
[01:53:52.450 --> 01:53:55.690]  I'm going to be part of that, but I cannot be on air without your support.
[01:53:55.690 --> 01:53:57.050]  So the special ends this Wednesday.
[01:53:57.050 --> 01:53:58.050]  It's got to end.
[01:53:58.050 --> 01:54:03.810]  Free shipping on all those items, all the Emmerich Essentials, all the iodine, X2, X3,
[01:54:03.810 --> 01:54:10.690]  all of those products, the eucalyptus and the peppermint and of course the other organic
[01:54:10.690 --> 01:54:14.170]  hand sanitizers are all there.
[01:54:14.170 --> 01:54:19.890]  Brain Force Plus, the great nootropic, Cabochil, regular extra strength, Libing Defense, it's
[01:54:19.890 --> 01:54:26.650]  all 50% off with free shipping, the big blowout sale, and it ends by Thursday morning at InfowarStore.com.
[01:54:26.650 --> 01:54:31.810]  So I'm glad that Martin's brought that up because I've just done over two hours and
[01:54:31.810 --> 01:54:33.970]  not talked about that.
[01:54:33.970 --> 01:54:40.330]  So we're going to take a quick break and we are going to come back.
