[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[2:14:39.920 --> 2:14:42.920]  It would destroy farming, destroy agriculture.
[2:14:42.920 --> 2:14:44.920]  The food supply would collapse.
[2:14:44.920 --> 2:14:48.920]  It would destroy the economy as we know it today.
[2:14:48.920 --> 2:14:50.920]  No wonder Democrats love this plan.
[2:14:50.920 --> 2:14:53.920]  No wonder that they are rooting for it.
[2:14:53.920 --> 2:14:55.920]  It would bankrupt the economy,
[2:14:55.920 --> 2:14:57.920]  and it would guarantee government jobs for everyone, by the way.
[2:14:57.920 --> 2:14:58.920]  Oh, really?
[2:14:58.920 --> 2:15:00.920]  Just what we need.
[2:15:00.920 --> 2:15:02.920]  Half the country working for the government.
[2:15:02.920 --> 2:15:03.920]  Doing what?
[2:15:03.920 --> 2:15:07.920]  Oh, fudging more climate change science studies
[2:15:07.920 --> 2:15:09.920]  that are rooted in total nonsense.
[2:15:09.920 --> 2:15:12.920]  I mean, what jobs would they even give people?
[2:15:12.920 --> 2:15:15.920]  Do we need bigger government in this country?
[2:15:15.920 --> 2:15:18.920]  Do we need to collapse the fuel economy?
[2:15:18.920 --> 2:15:21.920]  Do we need fossil fuels gone to the point
[2:15:21.920 --> 2:15:24.920]  where no one can run agriculture anymore?
[2:15:24.920 --> 2:15:26.920]  That's what Democrats want.
[2:15:26.920 --> 2:15:30.920]  It's just to give you an idea of how dangerous these socialists really are.
[2:15:30.920 --> 2:15:33.920]  Their ideas are the worst ideas in the world.
[2:15:33.920 --> 2:15:35.920]  They are the dumbest people in the world.
[2:15:35.920 --> 2:15:37.920]  They are dangerous to this country,
[2:15:37.920 --> 2:15:40.920]  and they hate America and want to overrun our borders,
[2:15:40.920 --> 2:15:43.920]  collapse everything that's working today.
[2:15:43.920 --> 2:15:45.920]  They are destroyers of worlds,
[2:15:45.920 --> 2:15:48.920]  and they want to destroy the United States of America next.
[2:15:48.920 --> 2:15:52.920]  Infowars is one of the very few outlets telling the truth about this.
[2:15:52.920 --> 2:15:54.920]  Stay with us. Much more straight ahead.
[2:15:54.920 --> 2:15:57.920]  Silver has always been nature's very own antibiotic,
[2:15:57.920 --> 2:15:59.920]  and only one system allows you to produce
[2:15:59.920 --> 2:16:01.920]  an endless supply of nano-sized silver solutions
[2:16:01.920 --> 2:16:03.920]  right from the convenience of your home.
[2:16:03.920 --> 2:16:04.920]  Silver Lungs.
[2:16:04.920 --> 2:16:06.920]  With the addition of our unique lung delivery system,
[2:16:06.920 --> 2:16:08.920]  respiratory infections are targeted directly,
[2:16:08.920 --> 2:16:11.920]  where traditional oral administration simply cannot reach.
[2:16:11.920 --> 2:16:14.920]  This pioneering method also preserves the original particle sizes
[2:16:14.920 --> 2:16:17.920]  and delivers your silver solution directly into the bloodstream.
[2:16:17.920 --> 2:16:21.920]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com.
[2:16:21.920 --> 2:16:45.920]  That's SilverLungs.com.
[2:16:52.920 --> 2:16:57.920]  Most of you know that heart disease is the number one silent killer in the U.S.
[2:16:57.920 --> 2:17:00.920]  What if I told you for just $54.95 a month
[2:17:00.920 --> 2:17:02.920]  you could fight against heart disease naturally?
[2:17:02.920 --> 2:17:04.920]  At Heart and Body Extract,
[2:17:04.920 --> 2:17:07.920]  we've been helping thousands of people get back to a healthier heart.
[2:17:07.920 --> 2:17:09.920]  Don't just take my word for it.
[2:17:09.920 --> 2:17:12.920]  Check out all of the success stories at HBXTrack.com
[2:17:12.920 --> 2:17:16.920]  or to order call 866-295-5305.
[2:17:16.920 --> 2:17:19.920]  That's 866-295-5305.
[2:17:19.920 --> 2:17:21.920]  HBXTrack.com
[2:17:21.920 --> 2:17:50.920]  Don't risk it when you can take charge of it.
[2:17:51.920 --> 2:17:54.920]  HBXTrack.com
[2:18:21.920 --> 2:18:23.920]  HBXTrack.com
[2:18:51.920 --> 2:18:54.920]  HBXTrack.com
[2:19:21.920 --> 2:19:23.920]  HBXTrack.com
[2:19:51.920 --> 2:19:54.920]  HBXTrack.com
[2:20:21.920 --> 2:20:27.320]  You know, Trump signed the Farm Bill into law, it takes effect January 1st.
[2:20:27.320 --> 2:20:33.520]  And hemp, industrial hemp, has been legalized from a federal level all across America.
[2:20:33.520 --> 2:20:34.520]  This is a huge victory.
[2:20:34.520 --> 2:20:43.640]  This is the ending of the prohibition of growing cannabis in the form of low THC hemp.
[2:20:43.640 --> 2:20:47.800]  By the way, thanks for joining me, Mike Adams here, filling in for Alex Jones on this third
[2:20:47.800 --> 2:20:48.800]  hour today.
[2:20:48.800 --> 2:20:53.680]  I'm going to give you some details about this hemp legalization move and why it is such
[2:20:53.680 --> 2:20:55.000]  a huge deal.
[2:20:55.000 --> 2:21:00.200]  But let me preface it by saying, first of all, I believe it is wrong for any government
[2:21:00.200 --> 2:21:04.680]  to claim that a natural plant like that is illegal in the first place.
[2:21:04.680 --> 2:21:11.200]  So as much as we celebrate the ending of prohibition, we should all be condemning the prohibition
[2:21:11.200 --> 2:21:14.800]  that has been in place for decades.
[2:21:14.800 --> 2:21:18.680]  How does a government have the right to criminalize a plant that grows like a weed?
[2:21:18.680 --> 2:21:24.720]  It literally is a weed in farms all across America, it grows on its own.
[2:21:24.720 --> 2:21:30.200]  And by the way, the nutrients, the molecules that it produces, the cannabinoids are not
[2:21:30.200 --> 2:21:36.920]  only compatible with human physiology, they are molecules that your body creates itself
[2:21:36.920 --> 2:21:37.920]  to some extent.
[2:21:37.920 --> 2:21:42.920]  Did you know that if you eat omega-3 fatty acids, which are the healthy oils from fish
[2:21:42.920 --> 2:21:49.160]  oils or chia seeds or flax seeds and so on, your body actually generates a certain amount
[2:21:49.160 --> 2:21:51.800]  of cannabidiol itself.
[2:21:51.800 --> 2:21:56.680]  So your body makes this chemical, and yet the government has criminalized a plant that
[2:21:56.680 --> 2:21:58.920]  also makes it out in the wild.
[2:21:58.920 --> 2:22:00.680]  See, that's wrong to begin with.
[2:22:00.680 --> 2:22:06.880]  So yeah, we celebrate the decriminalization or the ending of prohibition of this plant
[2:22:06.880 --> 2:22:09.000]  for agricultural use.
[2:22:09.000 --> 2:22:17.400]  But we have to remember, we are still suffering as food slaves under a tyrannical big government
[2:22:17.400 --> 2:22:20.440]  regime that never should have had that power in the first place.
[2:22:20.440 --> 2:22:22.160]  So always keep that in mind.
[2:22:22.160 --> 2:22:26.160]  The DEA is unconstitutional, the FDA is unconstitutional.
[2:22:26.160 --> 2:22:29.960]  All these government agencies are unconstitutional, they have way too much power.
[2:22:29.960 --> 2:22:32.920]  They need all the power and needs to be stripped from them.
[2:22:32.920 --> 2:22:36.440]  How can they write their own law without it being approved by Congress?
[2:22:36.440 --> 2:22:37.940]  That's the problem.
[2:22:37.940 --> 2:22:43.680]  And that needs to be corrected, by the way, I mean, from ATF to the CDC, you name it.
[2:22:43.680 --> 2:22:49.240]  These government regulatory agencies, EPA, the Environmental Pollution Agency, they
[2:22:49.240 --> 2:22:51.040]  have way too much power.
[2:22:51.040 --> 2:22:57.200]  But getting to the specifics of the hemp legalization, Farm Bill Law was pushed by Senator
[2:22:57.200 --> 2:23:02.400]  Mitch McConnell, which is interesting given that he's the senator of Kentucky, I believe,
[2:23:02.400 --> 2:23:07.000]  and Kentucky happens to be a place to grow a lot of cannabis, doesn't it?
[2:23:07.000 --> 2:23:13.880]  I mean, that whole region grew hemp for, you know, hundreds of years before it was outlawed
[2:23:13.880 --> 2:23:16.120]  and it can grow it again.
[2:23:16.120 --> 2:23:19.280]  So he's also up for reelection in 2020.
[2:23:19.280 --> 2:23:25.040]  So he did this, I believe, as a political move to help get votes so that he can stay
[2:23:25.040 --> 2:23:29.480]  in the Senate and, you know, to get the people at home to vote for him because now they could
[2:23:29.480 --> 2:23:31.240]  grow industrial hemp.
[2:23:31.240 --> 2:23:36.040]  But here's what the law actually says, and here's what you need to know.
[2:23:36.040 --> 2:23:39.600]  You can't just grow hemp anywhere in the country.
[2:23:39.600 --> 2:23:43.060]  You have to still be licensed by the USDA now.
[2:23:43.060 --> 2:23:47.760]  So they've taken industrial hemp, which by the way, let me back up, industrial hemp
[2:23:47.760 --> 2:23:48.760]  is cannabis.
[2:23:48.760 --> 2:23:51.520]  It's just cannabis with a low THC level.
[2:23:51.520 --> 2:23:55.320]  The federal government defines that as less than 0.3 percent THC.
[2:23:55.320 --> 2:24:01.720]  So you can have high CBD, which is non-psychoactive and low THC.
[2:24:01.720 --> 2:24:04.640]  That's defined as hemp, even though it's still cannabis.
[2:24:04.640 --> 2:24:08.360]  It's just a different variety of cannabis that has a different chemical composition.
[2:24:08.360 --> 2:24:10.800]  But you can't just go out and start growing it everywhere.
[2:24:10.800 --> 2:24:14.760]  The government still wants to license it, but the licensing has been moved away from
[2:24:14.760 --> 2:24:18.800]  the DEA and it's now under the USDA.
[2:24:18.800 --> 2:24:22.640]  So it's an agricultural crop starting January 1st.
[2:24:22.640 --> 2:24:27.220]  Importantly, it also means that farmers can grow this industrial hemp and they can get
[2:24:27.220 --> 2:24:32.060]  crop insurance because it's treated as a normal crop, just like growing soybeans or corn
[2:24:32.060 --> 2:24:33.800]  or wheat.
[2:24:33.800 --> 2:24:39.080]  Importantly, you don't have to spray hemp with glyphosate, by the way, so it will be
[2:24:39.080 --> 2:24:41.480]  glyphosate free.
[2:24:41.480 --> 2:24:46.800]  Whatever you get out of that crop, hemp seeds, hemp oils, the hemp extracts, hemp fiber,
[2:24:46.800 --> 2:24:50.400]  it will all be glyphosate free because you don't spray it.
[2:24:50.400 --> 2:24:53.680]  You would kill it if you sprayed it with glyphosate.
[2:24:53.680 --> 2:25:00.880]  Also importantly, the FDA still asserts that it has the right to criminalize CBD that comes
[2:25:00.880 --> 2:25:04.920]  from this hemp even if you grow it in a way that's licensed by the USDA.
[2:25:04.920 --> 2:25:07.920]  Now, I'm going to repeat that because this could be confusing.
[2:25:07.920 --> 2:25:11.640]  I know CBD is a very popular product and it should be.
[2:25:11.640 --> 2:25:14.560]  CBD is, it's amazing.
[2:25:14.560 --> 2:25:20.840]  In the things that it helps your body do, CBD is, it's truly a miracle molecule if there
[2:25:20.840 --> 2:25:22.400]  ever was one.
[2:25:22.400 --> 2:25:27.840]  It has so many uses throughout your body and people who take CBD supplements report extraordinary
[2:25:27.840 --> 2:25:28.840]  effects.
[2:25:28.840 --> 2:25:31.680]  The thing is, the FDA doesn't like that to exist.
[2:25:31.680 --> 2:25:34.680]  So the FDA has invoked a rule.
[2:25:34.680 --> 2:25:38.720]  And listen to this for a second because it's so insane, you won't even believe this.
[2:25:38.720 --> 2:25:46.200]  The FDA says that CBD is illegal to sell as a supplement because there's a small pharmaceutical
[2:25:46.200 --> 2:25:51.760]  company somewhere that's studying CBD for possible approval as a prescription drug at
[2:25:51.760 --> 2:25:53.880]  some future date.
[2:25:53.880 --> 2:25:57.920]  And that, according to the FDA, makes CBD supplements illegal.
[2:25:57.920 --> 2:26:02.680]  Now, I almost got to say that again, because you hear that and you're going, what?
[2:26:02.680 --> 2:26:04.160]  What are you talking about?
[2:26:04.160 --> 2:26:05.160]  Yeah.
[2:26:05.160 --> 2:26:09.840]  The FDA says that even if there's a natural molecule, if there's some drug company studying
[2:26:09.840 --> 2:26:15.400]  that molecule for a possible prescription drug in the future, that that molecule becomes
[2:26:15.400 --> 2:26:20.160]  illegal even if it's existed throughout all of human history.
[2:26:20.160 --> 2:26:25.480]  In other words, by the same logic, the FDA could say, well, vitamin C is now illegal
[2:26:25.480 --> 2:26:30.480]  because there's some drug company that's studying vitamin C as a drug, like an anti-cancer
[2:26:30.480 --> 2:26:35.520]  drug or something because vitamin C does so many amazing things in your body as well.
[2:26:35.520 --> 2:26:37.380]  This is the FDA's logic.
[2:26:37.380 --> 2:26:39.920]  This has never been approved by Congress.
[2:26:39.920 --> 2:26:42.000]  This is not approved by the Trump administration.
[2:26:42.000 --> 2:26:47.840]  This insanity by the FDA, but the FDA is asserting this under its own rule saying that it can
[2:26:47.840 --> 2:26:53.960]  block the sales of CBD supplements, that it can criminalize them, that it can attack and
[2:26:53.960 --> 2:27:01.040]  shut down companies that advertise CBD supplements, and that's why companies that are selling
[2:27:01.040 --> 2:27:06.640]  CBD products are now switching to saying that they are hemp extracts.
[2:27:06.640 --> 2:27:08.160]  They don't advertise the CBD.
[2:27:08.160 --> 2:27:15.480]  They are naturally high levels of CBD and other cannabinoids.
[2:27:15.480 --> 2:27:18.800]  That's simply part of what the plant is.
[2:27:18.800 --> 2:27:22.600]  That's the language that you're seeing now in the supplements market to try to evade
[2:27:22.600 --> 2:27:26.200]  or avoid the FDA insanity.
[2:27:26.200 --> 2:27:33.680]  Now, hopefully, hopefully, this new farm bill law signed by Trump will allow more industrial
[2:27:33.680 --> 2:27:37.640]  hemp to be grown nationwide, and it will become so popular that the FDA will have to
[2:27:37.640 --> 2:27:45.480]  back off of its position and eventually allow CBD supplements to be advertised as CBD supplements.
[2:27:45.480 --> 2:27:47.720]  This comes back to the big government issue.
[2:27:47.720 --> 2:27:50.120]  Why does the FDA have this power?
[2:27:50.120 --> 2:27:55.520]  Why can the FDA criminalize a molecule that your body makes and that is found out in the
[2:27:55.520 --> 2:27:56.520]  wild?
[2:27:56.520 --> 2:28:06.000]  Why does the FDA have this dictatorial power to destroy your life and your company just
[2:28:06.000 --> 2:28:12.680]  because you are using a molecule that, frankly, God blessed us with all across this planet?
[2:28:12.680 --> 2:28:17.720]  This molecule is like medicine from heaven, and it's supposed to be free.
[2:28:17.720 --> 2:28:20.160]  It's supposed to grow everywhere like weeds.
[2:28:20.160 --> 2:28:24.800]  It's supposed to be so common, so commonplace that everybody could just go out in their
[2:28:24.800 --> 2:28:28.360]  backyard and have some natural medicine.
[2:28:28.360 --> 2:28:32.680]  That's what cannabis is supposed to be, but the government doesn't want you to be able
[2:28:32.680 --> 2:28:39.320]  to take advantage of that medicine because they want you to buy pharmaceuticals and chemotherapy.
[2:28:39.320 --> 2:28:44.360]  They want you to be licensed and controlled and silenced so that you don't tell the truth
[2:28:44.360 --> 2:28:47.840]  about natural medicine that grows everywhere across the country.
[2:28:47.840 --> 2:28:51.400]  There's the truth about cannabis that you won't hear from the left wing media.
[2:28:51.400 --> 2:29:21.240]  Much more straight ahead, Mike Adams here on the Alex Jones Show.
[2:29:21.240 --> 2:29:51.080]  I'm Mike Adams and I'll see you in the next one.
[2:29:51.080 --> 2:30:19.800]  I'm Mike Adams and I'll see you in the next one.
[2:30:19.800 --> 2:30:49.640]  I'm Mike Adams and I'll see you in the next one.
[2:30:49.640 --> 2:31:18.480]  I'm Mike Adams and I'll see you in the next one.
[2:31:18.480 --> 2:31:48.320]  I'm Mike Adams and I'll see you in the next one.
[2:31:48.320 --> 2:32:18.160]  I'm Mike Adams and I'll see you in the next one.
[2:32:18.160 --> 2:32:48.000]  I'm Mike Adams and I'll see you in the next one.
[2:32:48.000 --> 2:33:01.840]  I'm Mike Adams and I'll see you in the next one.
[2:33:18.000 --> 2:33:25.120]  Alright, one of the best New Year's gifts you can give yourself is to manufacture your
[2:33:25.120 --> 2:33:31.240]  own legal firearm at home and that's one of the things that I did over the Christmas holiday.
[2:33:31.240 --> 2:33:37.360]  You can see here there's a lower that is, the reason it's shiny in the center there
[2:33:37.360 --> 2:33:41.600]  might be slightly out of focus is because it was drilled out.
[2:33:41.600 --> 2:33:47.160]  It was, I used a ghost gunner and I built this myself and of course it's perfectly
[2:33:47.160 --> 2:33:49.080]  legal to do so.
[2:33:49.080 --> 2:33:54.120]  My disclaimer for this entire segment is I always encourage you to follow the laws.
[2:33:54.120 --> 2:33:57.720]  Don't want you to do anything illegal or get yourself in trouble that way.
[2:33:57.720 --> 2:34:01.960]  But I live in Texas and under federal law and Texas law it is legal to manufacture your
[2:34:01.960 --> 2:34:09.080]  own firearms and so I purchased a ghost gunner from Defense Distributed and it works perfectly
[2:34:09.080 --> 2:34:10.080]  fine.
[2:34:10.080 --> 2:34:13.720]  You might even be wondering like how does it work on this because this isn't the bare
[2:34:13.720 --> 2:34:20.880]  aluminum well it turns out you can just kind of dremel away six contact areas on this lower
[2:34:20.880 --> 2:34:28.120]  and that's where the router bit touches this for conductivity and if you sort of dremel
[2:34:28.120 --> 2:34:34.600]  away the coating on those six areas then it'll absolutely work even if you've got different
[2:34:34.600 --> 2:34:39.120]  kinds of coatings on it such as serocote or whatever you're using.
[2:34:39.120 --> 2:34:43.800]  So this is the segment, this is what's important.
[2:34:43.800 --> 2:34:50.680]  We are entering a realm now where Democrats are trying to push these red flag gun laws
[2:34:50.680 --> 2:34:56.960]  where they say that anybody who is reported secretly to a judge can be raided and have
[2:34:56.960 --> 2:35:01.160]  their firearms confiscated without any due process, no rule of law, nothing.
[2:35:01.160 --> 2:35:03.400]  You have no right to defend yourself.
[2:35:03.400 --> 2:35:05.960]  You have no right to argue in your defense.
[2:35:05.960 --> 2:35:09.920]  You have no right to even present evidence in your defense.
[2:35:09.920 --> 2:35:10.920]  You have no rights at all.
[2:35:10.920 --> 2:35:16.040]  This is a total violation of the Second Amendment but just as importantly what Democrats believe
[2:35:16.040 --> 2:35:22.040]  qualifies you for a red flag gun law is simply wanting to own a firearm.
[2:35:22.040 --> 2:35:27.000]  So according to the definition of the Democrats wanting to own a firearm makes you crazy or
[2:35:27.000 --> 2:35:30.000]  makes you dangerous and that's enough to have your guns confiscated.
[2:35:30.000 --> 2:35:33.280]  You see the catch 22 here it's all it's a catch 22.
[2:35:33.280 --> 2:35:37.760]  It's like if you want to own guns you shouldn't be allowed to own guns.
[2:35:37.760 --> 2:35:41.040]  The only people that should be allowed to own guns are people who don't want guns because
[2:35:41.040 --> 2:35:43.600]  they're the only sane people according to Democrats.
[2:35:43.600 --> 2:35:45.920]  It's kind of like the way they censor conservative speech.
[2:35:45.920 --> 2:35:50.880]  They say well all conservative speech is hate speech and we have to make our communities
[2:35:50.880 --> 2:35:53.400]  safe places against hate speech.
[2:35:53.400 --> 2:35:55.600]  That's the Zuckerberg talk right there.
[2:35:55.600 --> 2:35:58.320]  Have to be safe spaces against hate speech.
[2:35:58.320 --> 2:35:59.800]  Well what is hate speech?
[2:35:59.800 --> 2:36:02.520]  Well hate speech is anything that we disagree with.
[2:36:02.520 --> 2:36:05.080]  Hate speech is anything that a conservative says.
[2:36:05.080 --> 2:36:08.520]  Hate speech is anything that a Trump supporter might utter.
[2:36:08.520 --> 2:36:12.320]  Hate speech is speech that says that people should make their own guns.
[2:36:12.320 --> 2:36:14.640]  That's hate speech according to the left.
[2:36:14.640 --> 2:36:19.480]  But I'm here to tell you that manufacturing your own firearm is a great American tradition
[2:36:19.480 --> 2:36:24.320]  and it is currently legal under most states but I always encourage you to check your state
[2:36:24.320 --> 2:36:31.040]  laws because I believe in New Jersey and perhaps elsewhere it is now illegal to own a ghost
[2:36:31.040 --> 2:36:32.720]  gunner machine.
[2:36:32.720 --> 2:36:35.400]  Now a ghost gunner is not a 3D printer.
[2:36:35.400 --> 2:36:36.520]  These are not 3D printed.
[2:36:36.520 --> 2:36:42.720]  These are milled out aluminum blocks and a ghost gunner is a milling machine, a CNC
[2:36:42.720 --> 2:36:43.720]  milling machine.
[2:36:43.720 --> 2:36:44.720]  It removes material.
[2:36:44.720 --> 2:36:51.000]  The 3D printers add material and by the way if you ever tried to 3D print an AR-15 lower
[2:36:51.000 --> 2:36:54.400]  and fire it, it would explode in your face probably.
[2:36:54.400 --> 2:36:58.920]  So don't try that because the materials aren't strong enough to handle that.
[2:36:58.920 --> 2:37:01.680]  So you mill it out with aluminum.
[2:37:01.680 --> 2:37:07.960]  And then you of course add the upper with the barrel and the bolt carrier group and
[2:37:07.960 --> 2:37:14.200]  the charging handle and you finish the rifle, the buffer spring, all that stuff.
[2:37:14.200 --> 2:37:17.640]  And then you go out and test it, make sure it's working well.
[2:37:17.640 --> 2:37:22.000]  Now a lot of people wonder do you have to put a serial number on that firearm?
[2:37:22.000 --> 2:37:27.720]  Opinion varies and I'm not a lawyer so again follow and research your local laws but I've
[2:37:27.720 --> 2:37:33.080]  researched local laws in Texas and federal laws and it is my opinion after that research
[2:37:33.080 --> 2:37:38.600]  that there is no current federal or state requirement in my area to put a serial number
[2:37:38.600 --> 2:37:41.360]  on a self-manufactured firearm.
[2:37:41.360 --> 2:37:47.320]  But if you sell it to somebody or you give it to somebody according to the law, yes it
[2:37:47.320 --> 2:37:49.880]  has to be serialized at that time.
[2:37:49.880 --> 2:37:51.200]  Why does this matter?
[2:37:51.200 --> 2:37:58.560]  Well if you don't serialize a firearm then if you manufacture more than one it's hard
[2:37:58.560 --> 2:38:03.680]  for government confiscation tyrants to know how many you have.
[2:38:03.680 --> 2:38:08.400]  If you're making your own firearms and you serialize them and you have one through ten
[2:38:08.400 --> 2:38:13.760]  and they find a gun that is number ten, they're going to ask you where are the other nine?
[2:38:13.760 --> 2:38:18.800]  So I say as long as it's legal, don't serialize them.
[2:38:18.800 --> 2:38:24.440]  Why put on your gun a quantity number of how many you own or if you want to serialize it
[2:38:24.440 --> 2:38:28.400]  make up some big long number, one million six hundred twenty nine thousand seven hundred
[2:38:28.400 --> 2:38:29.400]  and forty two.
[2:38:29.400 --> 2:38:31.120]  There you go, that's the serial number.
[2:38:31.120 --> 2:38:36.800]  Let them deal with that, let them ask really you have another one million guns that you
[2:38:36.800 --> 2:38:37.800]  made?
[2:38:37.800 --> 2:38:43.080]  Yeah, sure in this closet, they're right there, all million of them because the gun confiscation
[2:38:43.080 --> 2:38:47.040]  tyrants are so stupid they don't even know what numbers mean.
[2:38:47.040 --> 2:38:52.680]  But the point is when gun confiscation kicks in and believe me the democrats are going
[2:38:52.680 --> 2:38:57.420]  to push for it, they're going to have more shootings, make no mistake there are more
[2:38:57.420 --> 2:39:01.960]  shootings being planned right now for the purpose of calling for gun confiscation just
[2:39:01.960 --> 2:39:07.080]  like Operation Fast and Furious under Barack Obama and Eric Holder.
[2:39:07.080 --> 2:39:12.280]  That was a false flag operation to try to ban guns by letting guns get into the hands
[2:39:12.280 --> 2:39:15.680]  of violent drug dealers and Mexican drug cartels.
[2:39:15.680 --> 2:39:20.400]  That was the whole plan and isn't it amazing that Eric Holder has never been charged for
[2:39:20.400 --> 2:39:24.600]  gun running and that Barack Obama has never been charged for that anyway, that happened
[2:39:24.600 --> 2:39:32.360]  that's true but when they come to confiscate your guns they're going to go by the records.
[2:39:32.360 --> 2:39:37.080]  So if you purchase the firearm and you went through the FBI background NICS system the
[2:39:37.080 --> 2:39:41.440]  background check system there is a federal record of your purchase.
[2:39:41.440 --> 2:39:44.560]  Those records will be used to confiscate your guns.
[2:39:44.560 --> 2:39:48.360]  This is what happened in Venezuela the people were told by the government there hey there's
[2:39:48.360 --> 2:39:53.360]  too much crime and violence in society we need to have a peaceful society everybody
[2:39:53.360 --> 2:39:56.880]  should give up their guns and the Venezuelan people said yeah that sounds like an awesome
[2:39:56.880 --> 2:39:59.320]  idea let's give up our guns.
[2:39:59.320 --> 2:40:03.880]  So they give up all their guns and the government for those who didn't give them up the government
[2:40:03.880 --> 2:40:09.440]  just went door to door based on the records they had and they took the guns and they confiscated
[2:40:09.440 --> 2:40:13.280]  hundreds of thousands of weapons and they arrested thousands of people.
[2:40:13.280 --> 2:40:17.440]  And then Venezuela had no guns in the hands of citizens but all the guns in the hands
[2:40:17.440 --> 2:40:23.800]  of the government shortly after that the government decided to declare war on the citizens.
[2:40:23.800 --> 2:40:27.000]  The government said oh we're going to steal all your money we're going to hyperinflate
[2:40:27.000 --> 2:40:30.440]  the currency we're going to make it a crime to criticize the government we're going to
[2:40:30.440 --> 2:40:36.320]  arrest you and basically assassinate you if you criticize the regime and you don't have
[2:40:36.320 --> 2:40:38.640]  any guns to defend yourself with.
[2:40:38.640 --> 2:40:44.360]  So the Venezuelan people are now starving to death and the women are selling their bodies
[2:40:44.360 --> 2:40:50.320]  for you know meals and people are desperate people are eating zoo animals and their neighbors
[2:40:50.320 --> 2:40:55.240]  pets if any are even remaining at this point they're dumpster diving for food the government
[2:40:55.240 --> 2:41:01.000]  is a dictatorial tyrannical regime and the citizens have no way to defend themselves
[2:41:01.000 --> 2:41:05.840]  because they gave up their guns they allow the government to confiscate the guns and
[2:41:05.840 --> 2:41:09.840]  the government was able to do that efficiently because they had the records of who owned
[2:41:09.840 --> 2:41:15.240]  the firearms this is why you need to have and I say this again with the disclaimer always
[2:41:15.240 --> 2:41:23.320]  follow your local but you need to have in my opinion at least one firearm that the government
[2:41:23.320 --> 2:41:28.280]  doesn't have a record of through and again you need to accomplish through a legal means
[2:41:28.280 --> 2:41:32.960]  such as we're legal manufacturing your own firearm and it's absolutely important to
[2:41:32.960 --> 2:41:33.960]  do this.
[2:41:33.960 --> 2:41:38.880]  You can also have a concealed carry permit in many states you do you go purchase a firearm
[2:41:38.880 --> 2:41:43.720]  and it doesn't check with the FBI for that firearm there's only a record on a piece
[2:41:43.720 --> 2:41:51.160]  of paper at your firearms dealer and that is a relatively good situation compared to
[2:41:51.160 --> 2:41:54.680]  having a federal database of your farms.
[2:41:54.680 --> 2:42:01.840]  So government even a government that today is let's say friendly to you may not be friendly
[2:42:01.840 --> 2:42:09.640]  in the future that government may be taken over by a dictator a socialist a fascist at
[2:42:09.640 --> 2:42:15.000]  some point in the future and if that happens your life may be threatened by that tutorial
[2:42:15.000 --> 2:42:22.000]  regime you and other Americans need to have the ability to defend yourself against tyranny
[2:42:22.000 --> 2:42:27.760]  that is the entire point of the second amendment that's why the founding fathers wrote that
[2:42:27.760 --> 2:42:32.640]  into the Bill of Rights so that you could have that right you could have that power
[2:42:32.640 --> 2:42:38.120]  and if you're not exercising that power to manufacture your own firearms where legal
[2:42:38.120 --> 2:42:43.880]  then you may be subjected to exactly the same kind of tyranny that is currently destroying
[2:42:43.880 --> 2:42:44.880]  Venezuela.
[2:42:44.880 --> 2:42:50.600]  Those are my thoughts on firearms stay with me we'll be back after this break with much
[2:42:50.600 --> 2:42:58.840]  more the globalists are trying to set up a private corporate world government that's
[2:42:58.840 --> 2:43:05.200]  above the law if there's any opposition if there's any independent media they can call
[2:43:05.200 --> 2:43:10.760]  the fact that the emperor has no clothes they can call BS it's game over but if you look
[2:43:10.760 --> 2:43:15.000]  at everybody else like Michael Savage and Rush Limbaugh and Tucker Carlson and Sean
[2:43:15.000 --> 2:43:20.840]  Hannity they are all beholded to the networks they're on that can be targeted there's only
[2:43:20.840 --> 2:43:26.160]  two groups in the U.S. Info Wars and Matt Drudge of Drudge Report.com that are truly
[2:43:26.160 --> 2:43:30.680]  independent and of course there are two of the dominant media forces in the world it
[2:43:30.680 --> 2:43:36.040]  really is amazing that's why as we close out 2018 I want to just remind the listeners of
[2:43:36.040 --> 2:43:39.600]  the amazing fight we're all in and how far we've come together just remind you that you
[2:43:39.600 --> 2:43:45.560]  are the power you're the strength you're the will of Info Wars so please spread the links
[2:43:45.560 --> 2:43:50.080]  info wars.com news wars.com chrisenpana.com because if you don't spread the articles
[2:43:50.080 --> 2:43:54.360]  the video is no one else will we're all in each other's hands God bless you all and
[2:43:54.360 --> 2:43:55.360]  thank you.
[2:43:55.360 --> 2:44:01.800]  So as we prepare to close out 2018 just remember this life is a test and those of you that
[2:44:01.800 --> 2:44:06.040]  have been listening and watching and taking action the victories of populism and nationalism
[2:44:06.040 --> 2:44:10.600]  and Christianity coming back from the dead and recognizing as being persecuted that's
[2:44:10.600 --> 2:44:15.560]  all because you are the core listening to Info Wars around the world the eyes and ears
[2:44:15.560 --> 2:44:23.320]  of liberty that were immune or at least resistant to the globalist programming.
[2:44:23.320 --> 2:44:28.720]  Everybody knows who studies this that it's Christians real Christians who tend to be
[2:44:28.720 --> 2:44:32.760]  immune to the globalist brainwashing and who tend to see it and that's why they're
