[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[57:04.000 --> 57:09.000]  That's the top Texas Democrat who also flew maskless up on the
[57:09.000 --> 57:14.000]  private jet with all the alcohol up to DC while they fill a
[57:14.000 --> 57:16.000]  bus or what's happening down here.
[57:16.000 --> 57:18.000]  And then Kamala Harris will not quarantine after meeting
[57:18.000 --> 57:20.000]  Texas Democrats infected with coronavirus.
[57:20.000 --> 57:23.000]  Only you quarantine.
[57:23.000 --> 57:24.000]  Not her.
[57:24.000 --> 57:27.000]  Because it's all a fraud and they know it.
[57:27.000 --> 57:31.000]  Meanwhile, the DHS training program prepares for rural
[57:31.000 --> 57:33.000]  lockdowns, mass public quarantines against the vaccinated
[57:33.000 --> 57:36.000]  Janet Yellen, the Federal Reserve on Thursday in a written
[57:36.000 --> 57:38.000]  statement said they're preparing for new lockdowns this fall
[57:38.000 --> 57:39.000]  and winter.
[57:39.000 --> 57:42.000]  And if you put this lockdown, it will be permanent forever.
[57:42.000 --> 57:45.000]  Martial law, the end of America, China and the globalist
[57:45.000 --> 57:46.000]  win.
[57:46.000 --> 57:49.000]  Hour number two straight ahead.
[57:49.000 --> 57:51.000]  Gerald in South Carolina.
[57:51.000 --> 57:52.000]  Go ahead.
[57:52.000 --> 57:53.000]  You're on the air trying to move quicker.
[57:53.000 --> 57:54.000]  Hey, Alex.
[57:54.000 --> 57:55.000]  Welcome.
[57:55.000 --> 57:58.000]  First off, thanks for being the voice of reason and amongst all
[57:58.000 --> 58:00.000]  this stupidity wanted to warn people.
[58:00.000 --> 58:02.000]  I've been trying to get a hold of you for a year.
[58:02.000 --> 58:03.000]  Okay.
[58:03.000 --> 58:07.000]  I'm a double amputee and I have bacteria infection on my lung
[58:07.000 --> 58:09.000]  that'll never go away.
[58:09.000 --> 58:11.000]  Living defense saved my life.
[58:11.000 --> 58:15.000]  They had me on antibiotics for two years that almost killed me.
[58:15.000 --> 58:17.000]  Living defense brought me back.
[58:17.000 --> 58:19.000]  I wanted to just quote from the Bible.
[58:19.000 --> 58:22.000]  Jesus is saying as to where we are right now.
[58:22.000 --> 58:25.000]  This is Matthew 24, verse nine.
[58:25.000 --> 58:30.000]  Then they shall deliver you up to be afflicted and shall kill you
[58:30.000 --> 58:34.000]  and ye shall be hated of all nations for my name's sake.
[58:34.000 --> 58:38.000]  And then shall many be offended and shall betray one another
[58:38.000 --> 58:40.000]  and shall hate one another.
[58:40.000 --> 58:41.000]  That's right where we're at, brother.
[58:41.000 --> 58:44.000]  And that's because God's name is on the founding of this country
[58:44.000 --> 58:45.000]  no matter what they say.
[58:45.000 --> 58:50.000]  And that's why the enemy hates it because God created this country.
[58:50.000 --> 58:54.000]  X2 has been our number one bestseller over the years.
[58:54.000 --> 58:57.000]  Deep earth crystal iodine, the good halogen.
[58:57.000 --> 59:00.000]  It is essential for all actions in the body.
[59:00.000 --> 59:01.000]  You must have it to live.
[59:01.000 --> 59:04.000]  The UN estimates two billion plus people have cognitive disabilities
[59:04.000 --> 59:05.000]  because they don't have enough iodine.
[59:05.000 --> 59:07.000]  We have X2 at two different bottles.
[59:07.000 --> 59:08.000]  The same amount in each bottle.
[59:08.000 --> 59:11.000]  But one has a spray top, one has a dropper top.
[59:11.000 --> 59:15.000]  60% off on the spray top, 40% off on the dropper top
[59:15.000 --> 59:18.000]  for a limited time because they're both selling out.
[59:18.000 --> 59:21.000]  I want to thank all of the supporters that have gotten me some of the years.
[59:21.000 --> 59:22.000]  They're amazing.
[59:22.000 --> 59:24.000]  So that's a great deal for you to stock up on it.
[59:24.000 --> 59:27.000]  But this deal is really for folks that have been on the fence
[59:27.000 --> 59:29.000]  and haven't experienced the good halogen for yourself.
[59:29.000 --> 59:32.000]  So X2 and the dropper bottle and the spray bottle,
[59:32.000 --> 59:36.000]  60 and 40% off for a limited time because it's selling out right now
[59:36.000 --> 59:37.000]  at infowarstore.com.
[59:37.000 --> 59:39.000]  But we're going to keep this cell going until it sells out.
[59:39.000 --> 59:41.000]  It'll probably take about two weeks.
[59:41.000 --> 59:42.000]  Don't procrastinate.
[59:42.000 --> 59:45.000]  Take advantage of this special right now at infowarstore.com
[59:45.000 --> 59:48.000]  and check out the new products we just got in as well.
[1:00:15.000 --> 1:00:29.000]  Four years ago, we got secret documents that are now mainstream news
[1:00:29.000 --> 1:00:34.000]  that confirm to be real where they're training now over 50,000 creatures
[1:00:34.000 --> 1:00:38.000]  for gun confiscation to tell their flocks to go to the relocation centers
[1:00:38.000 --> 1:00:43.000]  to take a force inoculations to do whatever the government tells them.
[1:00:43.000 --> 1:00:45.000]  They're called clergy response team.
[1:00:45.000 --> 1:00:49.000]  The infregard hiring private citizens to spy on their neighbors
[1:00:49.000 --> 1:00:51.000]  with shoot to kill orders.
[1:00:51.000 --> 1:00:54.000]  The John Warner Defense Authorization Act,
[1:00:54.000 --> 1:00:57.000]  the different executive orders, all for martial law.
[1:00:57.000 --> 1:01:00.000]  The gun confiscation drills, you've seen all of it.
[1:01:00.000 --> 1:01:03.000]  During the Model States Health Emergency Powers Act,
[1:01:03.000 --> 1:01:06.000]  number 2002, they wanted to have forced inoculation nationwide
[1:01:06.000 --> 1:01:07.000]  for smallpox.
[1:01:07.000 --> 1:01:11.000]  And it came out in news articles that, oh yeah,
[1:01:11.000 --> 1:01:15.000]  the feds are going to use sports stadiums and postal offices
[1:01:15.000 --> 1:01:19.000]  as the centers where if you refuse to be inoculated,
[1:01:19.000 --> 1:01:23.000]  you'll be taken and beheld, but will also forcibly inoculate
[1:01:23.000 --> 1:01:26.000]  if we're given the orders at these injection facilities.
[1:01:26.000 --> 1:01:28.000]  You have to be able to track people.
[1:01:28.000 --> 1:01:31.000]  So they have to have a tracking technology in place.
[1:01:31.000 --> 1:01:35.000]  Now, whether that's an RFID chip, which they're calling now electronic tattoos
[1:01:35.000 --> 1:01:38.000]  or whether that is a vaccine bracelet
[1:01:38.000 --> 1:01:41.000]  or some kind of paperwork that you have to carry around,
[1:01:41.000 --> 1:01:44.000]  I'm not sure yet, but that's step one.
[1:01:44.000 --> 1:01:46.000]  So they got to have a vaccine tracking technology.
[1:01:46.000 --> 1:01:50.000]  I think that's where some of the military defense contractors are coming into play.
[1:01:50.000 --> 1:01:53.000]  But then secondly, you got to look at the quarantines.
[1:01:53.000 --> 1:01:57.000]  If they mandate vaccines, those who refuse to be vaccinated
[1:01:57.000 --> 1:01:59.000]  are very likely to be quarantined,
[1:01:59.000 --> 1:02:03.000]  which means perhaps the CDC would be leasing camps
[1:02:03.000 --> 1:02:08.000]  or facilities like FEMA camps from FEMA, just as an example.
[1:02:08.000 --> 1:02:11.000]  And then making those quarantine camps
[1:02:11.000 --> 1:02:15.000]  where they throw you in with all the other people who have refused the vaccines.
[1:02:15.000 --> 1:02:17.000]  Well, I mean, they're preparing mass graves,
[1:02:17.000 --> 1:02:19.000]  they're preparing forced inoculations,
[1:02:19.000 --> 1:02:21.000]  they're preparing under infra-guard lockdowns,
[1:02:21.000 --> 1:02:22.000]  under clergy response teams.
[1:02:22.000 --> 1:02:24.000]  The church is saying, take your inoculations,
[1:02:24.000 --> 1:02:25.000]  go to the campus of the Lord,
[1:02:25.000 --> 1:02:29.000]  show the coronavirus that's been patented
[1:02:29.000 --> 1:02:33.000]  by the Bella Melinda Gates Foundation sub-directive
[1:02:33.000 --> 1:02:35.000]  and the Real Life Umbrella Corporation.
[1:02:35.000 --> 1:02:40.000]  Had a drill three months ago where 16 plus million people die
[1:02:40.000 --> 1:02:43.000]  when a corona-like virus gets out
[1:02:43.000 --> 1:02:45.000]  and spreads destruction around the world.
[1:02:45.000 --> 1:02:48.000]  But don't worry, in the drill,
[1:02:48.000 --> 1:02:53.000]  out of it comes the understanding of planetary government
[1:02:53.000 --> 1:02:58.000]  and world forced inoculation programs.
[1:02:58.000 --> 1:03:02.000]  Because the PSI-OPS, the PSI-OPS has been launched.
[1:03:02.000 --> 1:03:04.000]  It's now official.
[1:03:04.000 --> 1:03:06.000]  The United Nations has released guidelines
[1:03:06.000 --> 1:03:09.000]  written by the Bella Melinda Gates Foundation
[1:03:09.000 --> 1:03:11.000]  that no one will be allowed to leave their homes
[1:03:11.000 --> 1:03:16.000]  or go back to work under the new worldwide martial law
[1:03:16.000 --> 1:03:19.000]  until you've been forcibly inoculated.
[1:03:19.000 --> 1:03:22.000]  We warned you it was coming.
[1:03:22.000 --> 1:03:25.000]  And of course, all these major forced vaccines
[1:03:25.000 --> 1:03:28.000]  have been linked directly to sterilization.
[1:03:28.000 --> 1:03:30.000]  Eight, nine weeks ago, nine weeks ago now,
[1:03:30.000 --> 1:03:33.000]  we told you that they'll go off the China model.
[1:03:33.000 --> 1:03:34.000]  They'll be drones watching you.
[1:03:34.000 --> 1:03:36.000]  They'll say you have to have apps on your phones.
[1:03:36.000 --> 1:03:39.000]  They'll force inoculation to go back to work and have jobs.
[1:03:39.000 --> 1:03:41.000]  They'll say it's a two-week spring break you're going to have.
[1:03:41.000 --> 1:03:43.000]  It'll really be months and months and months.
[1:03:43.000 --> 1:03:45.000]  It's designed to destroy the economy, consolidate power,
[1:03:45.000 --> 1:03:47.000]  bring in a medical tyranny.
[1:03:47.000 --> 1:03:50.000]  And it's the World Health Organization, you notice,
[1:03:50.000 --> 1:03:52.000]  that when Trump says something, they go,
[1:03:52.000 --> 1:03:55.000]  oh, we're fact-checking the president. We're blocking him on Google.
[1:03:55.000 --> 1:03:57.000]  We're blocking the president of Brazil.
[1:03:57.000 --> 1:04:00.000]  The World Health Organization says that's not true.
[1:04:00.000 --> 1:04:02.000]  The UN is the authority.
[1:04:02.000 --> 1:04:05.000]  And the UN came out and said a week and a half ago,
[1:04:05.000 --> 1:04:09.000]  we want forced inoculations or the antibodies for COVID-19
[1:04:09.000 --> 1:04:11.000]  before you can travel or have a job.
[1:04:11.000 --> 1:04:15.000]  And then they're going to roll out the apps and the blood test
[1:04:15.000 --> 1:04:17.000]  for you to prove you can leave your house
[1:04:17.000 --> 1:04:19.000]  that you have the COVID-19 antibody.
[1:04:19.000 --> 1:04:22.000]  Martial law forever, medical tyranny,
[1:04:22.000 --> 1:04:25.000]  and fellow multigates have officially announced.
[1:04:25.000 --> 1:04:28.000]  Forced inoculations, breaking, breaking.
[1:04:28.000 --> 1:04:32.000]  Forced inoculations to buy and sell and to leave your home.
[1:04:32.000 --> 1:04:56.000]  We'll be back.
[1:05:02.000 --> 1:05:09.000]  We'll be back.
[1:05:32.000 --> 1:05:54.000]  We'll be back.
[1:06:02.000 --> 1:06:18.000]  We'll be back.
[1:06:18.000 --> 1:06:23.000]  I'm going to give David Rockefeller and Savicky Brzezinski
[1:06:23.000 --> 1:06:27.000]  and their protégé Bill Gates a bone right now.
[1:06:27.000 --> 1:06:31.000]  I don't say this in a way to compliment them for what they've done,
[1:06:31.000 --> 1:06:35.000]  but I do want to compliment the elegance of it
[1:06:35.000 --> 1:06:39.000]  because I can see how it worked on the establishment
[1:06:39.000 --> 1:06:41.000]  because I'm going to go along with it.
[1:06:41.000 --> 1:06:43.000]  Welcome back to the Alan Jones Show.
[1:06:43.000 --> 1:06:50.000]  Old wars would kill our best and brightest men.
[1:06:50.000 --> 1:06:54.000]  And so the Carnegie Endowment set up a plan for world government
[1:06:54.000 --> 1:06:59.000]  after World War I, the League of Nations of the UN,
[1:06:59.000 --> 1:07:02.000]  to quote, end war by ending humans and the family as we know it
[1:07:02.000 --> 1:07:05.000]  and quote, ending men.
[1:07:05.000 --> 1:07:11.000]  Blaming the process of mammalian ritual battle to prove the fittest
[1:07:11.000 --> 1:07:13.000]  and instead create a system more sophisticated
[1:07:13.000 --> 1:07:16.000]  where it wasn't about whether you could physically kill somebody
[1:07:16.000 --> 1:07:20.000]  but whether you could outsmart them.
[1:07:20.000 --> 1:07:22.000]  And that's how this whole system is.
[1:07:22.000 --> 1:07:25.000]  If you buy into the system, if you're lazy,
[1:07:25.000 --> 1:07:28.000]  if you want something free, you're going to die.
[1:07:28.000 --> 1:07:31.000]  If you're not scientific, if you're irrational,
[1:07:31.000 --> 1:07:33.000]  if you believe the vaccine is going to save you
[1:07:33.000 --> 1:07:37.000]  when it's not even the vaccine, you're going to die.
[1:07:37.000 --> 1:07:40.000]  Now, it doesn't mean because I have knowledge
[1:07:40.000 --> 1:07:44.000]  of how their thought processes work that I agree with it
[1:07:44.000 --> 1:07:51.000]  because I have a conscience which I know is ingrained in me
[1:07:51.000 --> 1:07:54.000]  and I know these people are playing God
[1:07:54.000 --> 1:07:56.000]  and I know that they've already damaged the planet
[1:07:56.000 --> 1:07:58.000]  and I know they've done people down on purpose
[1:07:58.000 --> 1:08:01.000]  so they're more easily manageable.
[1:08:01.000 --> 1:08:09.000]  It's not their job to play God, but I see what they're doing.
[1:08:09.000 --> 1:08:13.000]  We just played a clip if you just joined us earlier
[1:08:13.000 --> 1:08:18.000]  from 10 years ago and 11 years ago respectively
[1:08:18.000 --> 1:08:23.000]  with myself and Mike Adams in this very building
[1:08:23.000 --> 1:08:26.000]  talking about the plan to release a virus, create fear,
[1:08:26.000 --> 1:08:30.000]  have global lockdowns and then push force inoculations
[1:08:30.000 --> 1:08:33.000]  starting with corporations demanding employees
[1:08:33.000 --> 1:08:36.000]  where arm bands, whether they've been inoculated or not,
[1:08:36.000 --> 1:08:39.000]  to then stigmatize and isolate people
[1:08:39.000 --> 1:08:44.000]  to then push for persecution and internment of those
[1:08:44.000 --> 1:08:50.000]  that do not allow the government to put things in our bodies.
[1:08:50.000 --> 1:08:56.000]  And now today, you notice what that's happened.
[1:08:56.000 --> 1:08:59.000]  The NFL is saying they're going to make players wear
[1:08:59.000 --> 1:09:00.000]  while they're on the field.
[1:09:00.000 --> 1:09:05.000]  Everyone sees it on TV, Pavlovian.
[1:09:05.000 --> 1:09:07.000]  Monkey see, monkey do.
[1:09:07.000 --> 1:09:10.000]  They're training us what we see we do
[1:09:10.000 --> 1:09:12.000]  so that when you're wearing that band,
[1:09:12.000 --> 1:09:16.000]  oh, you're vaccinated or you're not vaccinated.
[1:09:16.000 --> 1:09:19.000]  NFL recommends teams use color-coded wrist points
[1:09:19.000 --> 1:09:21.000]  to identify vaccinated players and employees.
[1:09:21.000 --> 1:09:22.000]  What does that even mean?
[1:09:22.000 --> 1:09:24.000]  It's persecution.
[1:09:24.000 --> 1:09:26.000]  And they admit the vaccine doesn't even work.
[1:09:26.000 --> 1:09:28.000]  We had scientists on a year and a half ago.
[1:09:28.000 --> 1:09:31.000]  You cannot create a vaccine for the cold virus.
[1:09:31.000 --> 1:09:35.000]  There's thousands of them.
[1:09:35.000 --> 1:09:40.000]  But you can make somebody allergic to their own body.
[1:09:40.000 --> 1:09:42.000]  So here's what's frustrating about this.
[1:09:42.000 --> 1:09:46.000]  This is a no-brainer that it was cooked up at the lab,
[1:09:46.000 --> 1:09:48.000]  released, it's synthetic.
[1:09:48.000 --> 1:09:51.000]  They will want why it didn't more deadly then.
[1:09:51.000 --> 1:09:53.000]  They want to own it.
[1:09:53.000 --> 1:09:55.000]  They want to have new variants.
[1:09:55.000 --> 1:09:57.000]  In fact, have the archivist that found all these clips
[1:09:57.000 --> 1:09:59.000]  we just played that are blowing people away.
[1:09:59.000 --> 1:10:00.000]  We're predicting all this.
[1:10:00.000 --> 1:10:03.000]  And have us a year and a half ago,
[1:10:03.000 --> 1:10:07.000]  16 months ago, 18 months ago, 14 months ago, 10 months ago.
[1:10:07.000 --> 1:10:11.000]  How about all the clips you all saw me say it?
[1:10:11.000 --> 1:10:15.000]  Where we explained that they're going to say
[1:10:15.000 --> 1:10:19.000]  new variants are out, so you've got to have new shots.
[1:10:19.000 --> 1:10:22.000]  When all the real literature said it would cause new variants
[1:10:22.000 --> 1:10:24.000]  with these inoculations.
[1:10:24.000 --> 1:10:27.000]  Because this doesn't program your body how to know,
[1:10:27.000 --> 1:10:33.000]  how to defeat a virus.
[1:10:33.000 --> 1:10:37.000]  This makes your body attack a protein that's already in itself.
[1:10:37.000 --> 1:10:39.000]  And I've already said that probably 25 times
[1:10:39.000 --> 1:10:42.000]  in the last hour and a half or the last hour and 10 minutes.
[1:10:42.000 --> 1:10:48.000]  But the reason I've done that is this is all very scientific.
[1:10:48.000 --> 1:10:51.000]  And they know the public isn't scientific on average.
[1:10:51.000 --> 1:10:53.000]  So when they say trust the science,
[1:10:53.000 --> 1:10:55.000]  well, I have trusted the science.
[1:10:55.000 --> 1:10:58.000]  And almost all the mainline scientists that have looked at this say
[1:10:58.000 --> 1:11:05.000]  this is a sterilization, depopulation, weapon system in mass.
[1:11:05.000 --> 1:11:09.000]  And now we've got all the new literature on that confirming.
[1:11:09.000 --> 1:11:15.000]  So as I said at the beginning of the broadcast,
[1:11:15.000 --> 1:11:19.000]  now there it is, MPR, February of this year.
[1:11:19.000 --> 1:11:27.000]  Vaccines could drive the evolution of more COVID-19 mutants.
[1:11:27.000 --> 1:11:31.000]  You've got, again, the most respected scientists in the world
[1:11:31.000 --> 1:11:34.000]  coming out and saying that and they're being banned in their
[1:11:34.000 --> 1:11:40.000]  Senate hearings, congressional hearings, house hearings,
[1:11:40.000 --> 1:11:44.000]  gubernatorial hearings, legislative hearings.
[1:11:44.000 --> 1:11:46.000]  Think about that.
[1:11:46.000 --> 1:11:48.000]  They're out there trying to warn you.
[1:11:48.000 --> 1:11:50.000]  In fact, I feel good about the scientific community.
[1:11:50.000 --> 1:11:53.000]  Almost everybody says this is BS.
[1:11:53.000 --> 1:11:56.000]  Almost every doctor, every nurse, every epidemiologist,
[1:11:56.000 --> 1:12:01.000]  every scientist, but instead we've got the surgeon general
[1:12:01.000 --> 1:12:05.000]  who's got this little space commander outfit.
[1:12:05.000 --> 1:12:09.000]  And you've got Fauci who's the eugenicist, Bill Gates frontman,
[1:12:09.000 --> 1:12:16.000]  and the chai comms out there telling us the opposite.
[1:12:16.000 --> 1:12:20.000]  And they're saying they want all these people banned.
[1:12:20.000 --> 1:12:22.000]  And they put out this big report.
[1:12:22.000 --> 1:12:27.000]  But you know what's incredible about their report?
[1:12:27.000 --> 1:12:30.000]  Saki, I did a whole Saturday show on this.
[1:12:30.000 --> 1:12:32.000]  It's the Saturday emergency broadcast.
[1:12:32.000 --> 1:12:33.000]  It's a banned out video.
[1:12:33.000 --> 1:12:34.000]  You should go watch it.
[1:12:34.000 --> 1:12:37.000]  I did a whole 30-minute report just on this yesterday.
[1:12:37.000 --> 1:12:40.000]  She gets up and she goes, oh, it's not like there's a list
[1:12:40.000 --> 1:12:42.000]  of people who are persecuting them.
[1:12:42.000 --> 1:12:45.000]  Meanwhile, the Rockefeller Foundation came up with
[1:12:45.000 --> 1:12:48.000]  the disinformation dozen, a group they want shut down.
[1:12:48.000 --> 1:12:49.000]  Who are they?
[1:12:49.000 --> 1:12:53.000]  Robert Kennedy, Jr., always other people who told you
[1:12:53.000 --> 1:12:55.000]  a year and a half ago what was going to happen,
[1:12:55.000 --> 1:12:57.000]  and now it's happened, and they want them silenced
[1:12:57.000 --> 1:13:01.000]  because they're exposing the criminal activities
[1:13:01.000 --> 1:13:03.000]  that she's involved with.
[1:13:03.000 --> 1:13:05.000]  And to have the government working with big foundations
[1:13:05.000 --> 1:13:08.000]  to silence Americans and read our text messages
[1:13:08.000 --> 1:13:10.000]  and persecute people is so dangerous,
[1:13:10.000 --> 1:13:13.000]  she then lies in the press conference and says,
[1:13:13.000 --> 1:13:20.000]  we're not putting reports out on anybody.
[1:13:20.000 --> 1:13:23.000]  This woman could be selling snow cones in the Sahara Desert.
[1:13:23.000 --> 1:13:26.000]  If she was a liar, I knew she was a liar,
[1:13:26.000 --> 1:13:29.000]  but I wouldn't take one because I think it was poison.
[1:13:29.000 --> 1:13:32.000]  These are known liars that have been caught lying
[1:13:32.000 --> 1:13:35.000]  over and over and over and over again,
[1:13:35.000 --> 1:13:37.000]  and they're murdering us and they're killing us,
[1:13:37.000 --> 1:13:43.000]  but see, they've committed a crime so big,
[1:13:43.000 --> 1:13:45.000]  and they've gotten so many billions of people
[1:13:45.000 --> 1:13:50.000]  to sign onto it, they think it's a crime too big to fail.
[1:13:50.000 --> 1:13:52.000]  But we come back, I'm going to get into this
[1:13:52.000 --> 1:13:56.000]  because you've got the new Surgeon General up there
[1:13:56.000 --> 1:13:58.000]  announcing the Rockefeller Foundation
[1:13:58.000 --> 1:14:00.000]  is going to run everything, and I thought
[1:14:00.000 --> 1:14:03.000]  I'd actually show you the Rockefeller Foundation document
[1:14:03.000 --> 1:14:05.000]  from 10 years ago, 11 years ago,
[1:14:05.000 --> 1:14:07.000]  that lays all of this out,
[1:14:07.000 --> 1:14:08.000]  Operation Lockstep.
[1:14:08.000 --> 1:14:11.000]  That's but an authoritarian, their words.
[1:14:11.000 --> 1:14:14.000]  World government, permanent lockdowns,
[1:14:14.000 --> 1:14:17.000]  masks, forced inoculations,
[1:14:17.000 --> 1:14:22.000]  off of a novel virus released from China.
[1:14:22.000 --> 1:14:27.000]  They have the whole thing scripted out.
[1:14:27.000 --> 1:14:28.000]  And then he announces,
[1:14:28.000 --> 1:14:31.000]  we're working with the Rockefeller Foundation
[1:14:31.000 --> 1:14:34.000]  who wrote the whole battle plan for Bill Gates
[1:14:34.000 --> 1:14:38.000]  to stop the American people and all these scientists
[1:14:38.000 --> 1:14:40.000]  and all these doctors that are exposing him.
[1:14:40.000 --> 1:14:45.000]  How incredible is that?
[1:14:45.000 --> 1:14:47.000]  And I'm going to show you some of the reports.
[1:14:47.000 --> 1:14:49.000]  Here's one again by Wolfgang Wudarg,
[1:14:49.000 --> 1:14:52.000]  head advisor to the EU Commission,
[1:14:52.000 --> 1:14:56.000]  and Dr. Yidon, the former head scientist at Pfizer,
[1:14:56.000 --> 1:14:58.000]  laying out all the infertility, all the cancer,
[1:14:58.000 --> 1:15:02.000]  all the heart attacks, all the deaths in December
[1:15:02.000 --> 1:15:05.000]  of last year before one person was inoculated.
[1:15:05.000 --> 1:15:06.000]  And then what happened?
[1:15:06.000 --> 1:15:12.000]  Infertility, heart attacks, cancer, death, strokes.
[1:15:12.000 --> 1:15:13.000]  And you read the report,
[1:15:13.000 --> 1:15:16.000]  I actually read the whole report and I spent days
[1:15:16.000 --> 1:15:18.000]  trying to read all the studies that's linked to it.
[1:15:18.000 --> 1:15:19.000]  I couldn't do it.
[1:15:19.000 --> 1:15:20.000]  I spent days.
[1:15:20.000 --> 1:15:22.000]  I read hundreds and hundreds of pages
[1:15:22.000 --> 1:15:25.000]  of scientific reports and studies and all that right here.
[1:15:25.000 --> 1:15:27.000]  I mean, it's all right here.
[1:15:27.000 --> 1:15:30.000]  Oh, but see, Saki thinks you're stupid.
[1:15:30.000 --> 1:15:32.000]  She thinks you're going to go watch Netflix tonight
[1:15:32.000 --> 1:15:34.000]  and not read what they've done to you and your family.
[1:15:34.000 --> 1:15:37.000]  She thinks, oh, as long as we soft tell them,
[1:15:37.000 --> 1:15:38.000]  as long as we do it quietly,
[1:15:38.000 --> 1:15:39.000]  as long as they die in a couple of years,
[1:15:39.000 --> 1:15:41.000]  they'll never know what we did to them.
[1:15:41.000 --> 1:15:45.000]  Oh, no, we know what you did, Bill Gates.
[1:15:45.000 --> 1:15:47.000]  We know what you did, Saki.
[1:15:47.000 --> 1:15:49.000]  And you're never going to get away with it.
[1:15:49.000 --> 1:15:52.000]  And record numbers of people know what you've done.
[1:15:52.000 --> 1:15:57.000]  They're going to make sure you pay.
[1:15:57.000 --> 1:15:59.000]  So we have free shipping, double patriot points
[1:15:59.000 --> 1:16:00.000]  through this weekend.
[1:16:00.000 --> 1:16:04.000]  And our big loss leader is X2 in the dropper
[1:16:04.000 --> 1:16:08.000]  and in the spray bottle for 40% and 60% off
[1:16:08.000 --> 1:16:10.000]  and your purchase funds the M4.
[1:16:10.000 --> 1:16:12.000]  Seriously, the UN admits two plus billion people
[1:16:12.000 --> 1:16:15.000]  have cognitive disabilities because of lack of iodine.
[1:16:15.000 --> 1:16:17.000]  You need to experience it for yourself.
[1:16:17.000 --> 1:16:19.000]  It takes two weeks to a month to kick in.
[1:16:19.000 --> 1:16:20.000]  Try it and tell me what you think.
[1:16:20.000 --> 1:16:22.000]  You can't lose your fund in the M4.
[1:16:22.000 --> 1:16:24.000]  And again, I can harp on this all day,
[1:16:24.000 --> 1:16:28.000]  but just like our information is dead on from research,
[1:16:28.000 --> 1:16:31.000]  I'm telling you, I couldn't do what I do
[1:16:31.000 --> 1:16:35.000]  without deep-growth crystal iodine and X2.
[1:16:35.000 --> 1:16:38.000]  Just in the stamina and mental focus area, it's incredible.
[1:16:38.000 --> 1:16:40.000]  What it did for libido is incredible.
[1:16:40.000 --> 1:16:42.000]  When I don't take it, I feel the difference.
[1:16:42.000 --> 1:16:44.000]  When I do take it, I'm so empowered.
[1:16:44.000 --> 1:16:47.000]  Get your X2 today, discounted the spray bottle
[1:16:47.000 --> 1:16:50.000]  and in the eyedropper bottle to take it under your tongue
[1:16:50.000 --> 1:16:51.000]  at infowarstore.com.
[1:16:51.000 --> 1:16:53.000]  The globalist hope you don't explore
[1:16:53.000 --> 1:16:56.000]  how incredibly powerful deep-growth crystal iodine is.
[1:16:59.000 --> 1:17:01.000]  The globalists are having their revolution,
[1:17:01.000 --> 1:17:04.000]  but free humanity has to have its revolution.
[1:17:04.000 --> 1:17:08.000]  We have to first recognize this anti-human takeovers,
[1:17:08.000 --> 1:17:14.000]  trying to enslave the entire biological processes of humans
[1:17:14.000 --> 1:17:21.000]  and turn us into these artificial corporate controlled slaves.
[1:17:21.000 --> 1:17:26.000]  Orson slaves, just property from cradle to grave of the system,
[1:17:26.000 --> 1:17:30.000]  rendered down to be servile minions of the system
[1:17:30.000 --> 1:17:34.000]  and a ritual of dominance and safety and control.
[1:17:34.000 --> 1:17:37.000]  We have to recognize the great reset post-industrial world
[1:17:37.000 --> 1:17:39.000]  that realizes a nightmare dystopia
[1:17:39.000 --> 1:17:41.000]  and we have to promote liberty and freedom
[1:17:41.000 --> 1:17:44.000]  that is the opposite of the dystopia.
[1:17:44.000 --> 1:17:46.000]  It's that choice, it's that realization
[1:17:46.000 --> 1:17:48.000]  that's going to change the world.
[1:17:48.000 --> 1:17:50.000]  And it's the only choice we've got,
[1:17:50.000 --> 1:17:52.000]  freedom or slavery, go to evil.
[1:17:52.000 --> 1:17:54.000]  It is a spiritual battle and info wars
[1:17:54.000 --> 1:18:01.000]  at the tip of the spear fighting it.
[1:18:01.000 --> 1:18:03.000]  Jacob in Ohio, welcome, go ahead.
[1:18:03.000 --> 1:18:04.000]  Hey, how's it going, Alex?
[1:18:04.000 --> 1:18:05.000]  Good, bro.
[1:18:05.000 --> 1:18:06.000]  Great last caller.
[1:18:06.000 --> 1:18:09.000]  I just wanted to start with plugging your sleep supplement.
[1:18:09.000 --> 1:18:11.000]  It's basically the only way I can sleep anymore
[1:18:11.000 --> 1:18:14.000]  with all the gaslighting, the moralization and absurdity.
[1:18:14.000 --> 1:18:16.000]  It's like we're living in a twilight zone.
[1:18:16.000 --> 1:18:18.000]  All right, Eric's in New Hampshire.
[1:18:18.000 --> 1:18:20.000]  Eric, thanks for calling, go ahead.
[1:18:20.000 --> 1:18:21.000]  Hey, Alex, thanks for taking my call.
[1:18:21.000 --> 1:18:23.000]  If I could, I just want to throw a quick plug out
[1:18:23.000 --> 1:18:24.000]  for one of the product.
[1:18:24.000 --> 1:18:26.000]  The X2 group does wonders.
[1:18:26.000 --> 1:18:28.000]  They recommend it to everybody here on the fence about it.
[1:18:28.000 --> 1:18:31.000]  Get off the fence, get the product, support the info wars.
[1:18:31.000 --> 1:18:33.000]  Tyler in Maine, you're on the year.
[1:18:33.000 --> 1:18:34.000]  Thanks for rolling, go ahead.
