[00:00:00.000 --> 00:00:25.000]  Music
[00:46:02.860 --> 00:46:05.660]  right you know handing it handling another grid so yeah now they're
[00:46:05.660 --> 00:46:08.780]  basically going to consolidate everything and make it and there's armed
[00:46:08.780 --> 00:46:12.420]  guards and black ski mask and you there's no receipt you ask questions you
[00:46:12.420 --> 00:46:17.460]  get arrested Al Qaeda is trying to undermine our election process yeah this
[00:46:17.460 --> 00:46:21.700]  is the new america folks giant prisons armored vehicles face scanning cameras
[00:46:21.700 --> 00:46:26.340]  total information awareness network hell on earth the destruction of you and
[00:46:26.340 --> 00:46:30.500]  your family in your face and they're gonna vote to take your guns and say
[00:46:30.500 --> 00:46:37.700]  you voted for it we're on the march the Empire's on the run Alex Jones and the
[00:46:37.700 --> 00:46:41.260]  GCN radio network
[00:46:43.300 --> 00:46:57.300]  Don't worry, this show is documented. Alex Jones on the GCN radio network.
[00:46:57.300 --> 00:47:03.300]  I fell into a burning ring of fire. I went down, down, down.
[00:47:03.300 --> 00:47:16.300]  Welcome back folks, Alex Jones here. I'm looking at this Ron Paul speech called Neocon and I guess if they get their electronic touch screens in, he'll be out of office.
[00:47:16.300 --> 00:47:26.300]  Of course they're going to have a problem though because polls will show Ron Paul is very popular and then if they try to remove him, how are they going to claim that he loses campaigns?
[00:47:26.300 --> 00:47:32.300]  Of course Bush publicly targets Senator Bob Smith because he had a real conservative voting record in New Hampshire.
[00:47:32.300 --> 00:47:40.300]  The White House is publicly targeting other conservatives. They said that they want to defeat Tom Tancredo in the next election.
[00:47:40.300 --> 00:47:47.300]  Even if a Democrat has to get in because Tom Tancredo has pointed out that Bush is really a liberal and wants to open borders.
[00:47:48.300 --> 00:48:08.300]  This is the reality but Ron Paul's Neocon speech, you've got to go to Infowars.com and read it because he talks about how Trotskyites founded the Neocons and how in their writings even in the 90s they called for terrorist attacks to get America behind a new world order.
[00:48:08.300 --> 00:48:27.300]  How they support Machiavellian politics, that they say evil is good. Ron Paul is saying this about the Republicans we have in office who are really just Democrat clones and bringing you this new world order and then they just have phony fights with each other to give you the illusion of a choice.
[00:48:28.300 --> 00:48:39.300]  I'm going to start reading this and I guess try to read the whole thing. It took Ron Paul 45 plus minutes to read this on the floor of the House.
[00:48:39.300 --> 00:48:52.300]  We have 46 minutes of broadcast time on each hour but this has got to be read on air because I know a lot of you aren't going to go to the website and you're not going to read it for yourself and you're not going to make copies of it and give it to people.
[00:48:52.300 --> 00:49:02.300]  What about the election fraud? It's right in your face people, it's happening. 9-1-1 is right in your face how they carried it out.
[00:49:02.300 --> 00:49:17.300]  They're counting on you to think you're a member of the establishment, to think it's not your place to get involved, it's your place to go to the baseball game and suck your thumb like a juvenile delinquent as your children's future is flushed down the toilet.
[00:49:18.300 --> 00:49:24.300]  People care so much about sports they could care less about losing voting in this country.
[00:49:24.300 --> 00:49:34.300]  Or DARPA saying they're going to watch everything Americans do violating the Fourth Amendment or secret arrest of citizens for no reasons.
[00:49:34.300 --> 00:49:40.300]  Let's take two more calls and I'll get a few final news stories I haven't gotten to and then I'll get into Paul's speech.
[00:49:40.300 --> 00:49:45.300]  Let's talk to Lou in Colorado. Go ahead Lou, you're on the air.
[00:49:45.300 --> 00:49:52.300]  Hi Alex, like I said, get your film. I did send some out to Illinois and to some people here in Colorado where I'm at.
[00:49:52.300 --> 00:49:54.300]  I appreciate you getting the videos.
[00:49:54.300 --> 00:50:01.300]  Oh yeah, believe me. I do much more than that too because I put in a little bit of law so people can't be turned around.
[00:50:01.300 --> 00:50:11.300]  In other words, the General Welfare Clause, the Implied Power Clause and the UN Treaty of the Treaties Clause are important to explain to people so they can't be turned around by lawyers giving them a BS line.
[00:50:12.300 --> 00:50:15.300]  Are you finding that folks are waking up when they see the videos?
[00:50:15.300 --> 00:50:21.300]  One guy told me he could sleep at night after he saw it, but I said if you have any questions you talk to me.
[00:50:21.300 --> 00:50:27.300]  I'm pretty versed. I feel that I'm pretty versed after 30 years being in this and I can respond to questions that people have on it.
[00:50:27.300 --> 00:50:38.300]  Yeah, if people have trouble sleeping after they hear this radio show, when you see the videos, when you see the globalists doing it to you, this is all out in the open.
[00:50:38.300 --> 00:50:41.300]  This is all hidden in plain view, folks.
[00:50:41.300 --> 00:50:46.300]  I have one quick question and it's something I've probably been a little bit confused on.
[00:50:46.300 --> 00:50:56.300]  When you talk about the military industrial complex, is that different from the CIA, from the FBI, from the NSA?
[00:50:56.300 --> 00:50:59.300]  What is the military industrial complex exactly?
[00:50:59.300 --> 00:51:00.300]  Let me break this down.
[00:51:00.300 --> 00:51:02.300]  And what's the pecking order?
[00:51:02.300 --> 00:51:03.300]  Let me break this down.
[00:51:03.300 --> 00:51:10.300]  The pecking order is the royal families of Europe that own the tabloids, by and large, that own the tabloids.
[00:51:10.300 --> 00:51:11.300]  This is admitted.
[00:51:11.300 --> 00:51:16.300]  Track the owners of the big tabloids back and it's owned by the royal family.
[00:51:16.300 --> 00:51:20.300]  They create this illusion that they don't have any power, they don't have any money.
[00:51:20.300 --> 00:51:24.300]  Really rich people don't want you knowing how much power they have.
[00:51:24.300 --> 00:51:25.300]  I understand that.
[00:51:25.300 --> 00:51:33.300]  So it goes to the royal families, 50-50 basically, with the Rothschilds, Crumps and other big industrialist families
[00:51:33.300 --> 00:51:39.300]  and banking families that own the private central banks that own the printing presses that print the money.
[00:51:39.300 --> 00:51:43.300]  So the really rich people print the money, issue the credit, control the banks.
[00:51:43.300 --> 00:51:52.300]  Now, out of them comes the military industrial complex and that's the companies whose shares are owned by the banks.
[00:51:52.300 --> 00:52:02.300]  That's the Lockheed Martin's, the GE's that own the ABC's and the NBC's that own the MTV's and the Paramount Pictures
[00:52:02.300 --> 00:52:10.300]  and all the rest of it that then propagandize us that then want war to not make money because they print the money
[00:52:10.300 --> 00:52:14.300]  but to consolidate and grow their power and steal natural resources.
[00:52:14.300 --> 00:52:25.300]  So the military industrial complex is the armored force, the weapons producing, military owning and policy writing force
[00:52:25.300 --> 00:52:31.300]  for the tiny cabal of no more than 20 families that own and run the New World Order.
[00:52:31.300 --> 00:52:38.300]  I see. Okay. Now, does the NSA or these things are like subsidiaries?
[00:52:38.300 --> 00:52:45.300]  If one has more power, for instance, the CIA or the NSA, how is that share divided?
[00:52:45.300 --> 00:52:50.300]  There are over 40 secret intelligence agencies that we know of in the U.S. government.
[00:52:50.300 --> 00:52:56.300]  If you talked about the NSA 10 years ago, they'd say if you're a kook it doesn't exist.
[00:52:56.300 --> 00:53:01.300]  You talk about actual law and the government can't listen to us, that violates the Fourth Amendment.
[00:53:01.300 --> 00:53:05.300]  Now they announce it. Yeah, we've been listening to you forever. Shut up. This is freedom.
[00:53:06.300 --> 00:53:17.300]  But to break it down, NSA, FBI and its hostage rescue teams, CIA, defense intelligence, naval intelligence,
[00:53:17.300 --> 00:53:28.300]  it goes on and on and on, all these different groups, but at the director level it's all a rotating revolving door.
