[00:00.000 --> 00:04.740]  Gavin McInnes is back with his all-new online network, FreeSpeech.tv.
[1:09:34.740 --> 1:09:38.740]  I've had some private phone conversations asking him for his assessment of things,
[1:09:38.740 --> 1:09:39.740]  and he's been spot on.
[1:09:39.740 --> 1:09:43.740]  So he joins us today for his analysis of Civil War possibilities
[1:09:43.740 --> 1:09:44.740]  and what it means for America.
[1:09:44.740 --> 1:09:46.740]  I'll also ask him about California.
[1:09:46.740 --> 1:09:49.740]  Mr. Griswold, thank you for joining me today.
[1:09:49.740 --> 1:09:51.740]  It's a pleasure to be here, Mike.
[1:09:51.740 --> 1:09:55.740]  Thank you for inviting me, and I look forward to see what the hour brings.
[1:09:55.740 --> 1:09:58.740]  Well, you have a wealth of information to share with people,
[1:09:58.740 --> 1:09:59.740]  so let's get right into it.
[1:09:59.740 --> 1:10:02.740]  You see what's happening with the Deep State coup.
[1:10:02.740 --> 1:10:05.740]  You've seen similar things happen in other countries.
[1:10:05.740 --> 1:10:11.740]  In fact, you're well aware, as all of us are, that the Deep State has run coups in other countries.
[1:10:11.740 --> 1:10:17.740]  What typically happens if this goes to a hot phase where the people no longer know
[1:10:17.740 --> 1:10:21.740]  sort of which version of the government is the quote, legitimate version?
[1:10:21.740 --> 1:10:24.740]  What tends to happen that you've seen in other countries?
[1:10:24.740 --> 1:10:27.740]  Well, you can have a breakdown of all civil service.
[1:10:27.740 --> 1:10:33.740]  Your electrical power grid, your water, your food, what they call supply chain.
[1:10:33.740 --> 1:10:37.740]  That means everything that brings supplies into your area.
[1:10:37.740 --> 1:10:46.740]  Gasoline, heating oil, propane, food, possibly even water or electricity if it's coming from out of state.
[1:10:46.740 --> 1:10:52.740]  So you're going to see some very dire things happen because the Democratic Party,
[1:10:52.740 --> 1:10:55.740]  in my opinion, has become the Chinese Trojan horse.
[1:10:55.740 --> 1:11:01.740]  They now are acting as a government for Beijing, as the representatives of Beijing in this country.
[1:11:01.740 --> 1:11:09.740]  I mean, we see so many Chinese agents inside, you know, like Pelosi or Feinstein's offices.
[1:11:09.740 --> 1:11:13.740]  So there is an active coup going on.
[1:11:13.740 --> 1:11:17.740]  We do have two governments operating right now within this country.
[1:11:17.740 --> 1:11:22.740]  We have the legitimate government that represents a constitutional representative of republic.
[1:11:22.740 --> 1:11:28.740]  And then we have this Deep State that is trying to subvert the will of the people.
[1:11:28.740 --> 1:11:32.740]  And that is, by definition, treason and a civil war.
[1:11:32.740 --> 1:11:37.740]  Now, this Deep State coup, these treasonous actors, they control the media.
[1:11:37.740 --> 1:11:39.740]  They tell CNN what to report.
[1:11:39.740 --> 1:11:43.740]  They control culture in many ways.
[1:11:43.740 --> 1:11:44.740]  They control Hollywood.
[1:11:44.740 --> 1:11:47.740]  They tell Hollywood what to script into the movies and films, right?
[1:11:47.740 --> 1:11:49.740]  They control the tech giants.
[1:11:49.740 --> 1:11:55.740]  They now control our speech online, at least in the tech giant gatekeepers.
[1:11:55.740 --> 1:12:02.740]  How on earth do we expose these people and ultimately arrest them and take them down, defeat them?
[1:12:02.740 --> 1:12:06.740]  How does that happen when they have so much control?
[1:12:06.740 --> 1:12:12.740]  Well, I think the first thing that has to be a transformation of the way people use social media.
[1:12:12.740 --> 1:12:24.740]  You and I both use it and largely even patriot type people, Christian people or people that are just wanting to see the values of our republic upheld.
[1:12:24.740 --> 1:12:29.740]  You know, many of these people use social media just for personal use.
[1:12:29.740 --> 1:12:32.740]  We really need to take social media to the next step.
[1:12:32.740 --> 1:12:34.740]  The left has done this very successfully.
[1:12:34.740 --> 1:12:37.740]  And as you said, you know, they use the media.
[1:12:37.740 --> 1:12:43.740]  They use all sources of news outlet to keep putting out their propaganda.
[1:12:43.740 --> 1:12:52.740]  And they've been very successful in influencing, you know, three generations of children to where now we have a lot of children that actually want that form of government.
[1:12:52.740 --> 1:12:55.740]  They have no historical recollection of what that government has brought.
[1:12:55.740 --> 1:12:57.740]  I mean, look at Nazi Germany, socialist.
[1:12:57.740 --> 1:12:59.740]  They killed six or seven million of their own people.
[1:12:59.740 --> 1:13:01.740]  Russia, 22 million of their own people.
[1:13:01.740 --> 1:13:04.740]  In China, about 55 to 60 million of their own people.
[1:13:04.740 --> 1:13:05.740]  So they have no idea.
[1:13:05.740 --> 1:13:07.740]  But we really need to ramp it up.
[1:13:07.740 --> 1:13:21.740]  Not just you, Mike, not just, you know, Alex Jones, but we all need to take to social media and stop using it so much for just, you know, sending pictures of what we had for dinner last night and using it to expose these people.
[1:13:21.740 --> 1:13:23.740]  Because that's the thing they do not want.
[1:13:23.740 --> 1:13:34.740]  We all, everybody gets banned because, of course, the tech giants are controlled by the deep state, the tech giants, the platform and demonetize and silence every voice that is pro-Trump.
[1:13:34.740 --> 1:13:38.740]  So, you know, something much more profound has to change.
[1:13:38.740 --> 1:13:46.740]  Does the president have to somehow order the tech giants to stop violating the First Amendment rights of the American people?
[1:13:46.740 --> 1:13:51.740]  Or does the FCC have to jump in and regulate those platforms as public venues?
[1:13:51.740 --> 1:13:52.740]  You know, something else has got to change.
[1:13:52.740 --> 1:13:54.740]  Everybody goes out and does what you say.
[1:13:54.740 --> 1:13:56.740]  They're just going to get banned right now.
[1:13:56.740 --> 1:14:02.740]  Yeah, you know, the more people that do it, the harder it becomes to ban everyone.
[1:14:02.740 --> 1:14:07.740]  So I think, first of all, I mean, maybe 10% of people use it for that purpose.
[1:14:07.740 --> 1:14:13.740]  90% of the other people that would say they believe in a constitutional republic do not use it for that purpose.
[1:14:13.740 --> 1:14:15.740]  And that's a fundamental change.
[1:14:15.740 --> 1:14:26.740]  You know, if we could overwhelm the system, granted, they might shut it all down and then it becomes so obvious to people that what they've done, even though it is right now, you know, we use that system.
[1:14:26.740 --> 1:14:29.740]  And again, it is a multifaceted thing.
[1:14:29.740 --> 1:14:32.740]  President Trump has to step up to the plate and do this.
[1:14:32.740 --> 1:14:38.740]  The Supreme Court has to come to terms with the fact that this is the restriction of free speech.
[1:14:38.740 --> 1:14:40.740]  It's not people on advocating violence.
[1:14:40.740 --> 1:14:42.740]  They're not advocating criminal activity.
[1:14:42.740 --> 1:14:47.740]  They're just advocating an alternate viewpoint and they're being banned for it, which is highly un-American.
[1:14:47.740 --> 1:14:50.740]  I mean, this is the implementation of red flag laws.
[1:14:50.740 --> 1:14:58.740]  And we need to, everyone that has a love for freedom need to stand up against this because this is the civil war that we've all feared.
[1:14:58.740 --> 1:15:00.740]  This is the beginning of it.
[1:15:00.740 --> 1:15:03.740]  This is the opening firing shots.
[1:15:03.740 --> 1:15:04.740]  You're exactly right.
[1:15:04.740 --> 1:15:14.740]  But the thing is, so when the deep state is desperate to take Trump out right now in the next few weeks or a couple of months before the IG report comes out,
[1:15:14.740 --> 1:15:24.740]  before William Barr can issue, you know, arrest warrants for some of these deep state traders, when that happens, any of this stuff, the left is going to take to the streets.
[1:15:24.740 --> 1:15:28.740]  So I want to ask you specifically, we're about to go to break when we come back.
[1:15:28.740 --> 1:15:32.740]  I want to talk to you about what these skirmishes will look like.
[1:15:32.740 --> 1:15:42.740]  How radical leftist, anti-fra-terrorist groups and so on will take to the streets, cause violence, try to cause mass chaos that could end up in a revolution?
[1:15:42.740 --> 1:15:50.740]  And are there international threats that might be coordinated with that at the same time to take advantage of America in its vulnerable state?
[1:15:50.740 --> 1:16:00.740]  So Bob Griswold from Readymade Resources will be with us as we return to talk about civil war, what it looks like on the streets of America if it comes to that and we pray it doesn't.
[1:16:00.740 --> 1:16:01.740]  We'll be right back.
[1:16:01.740 --> 1:16:03.740]  This is the Alex Jones Show. Stay with us.
[1:16:32.740 --> 1:16:39.740]  So now you know why I'm so upset, now you know why I'm so angry.
[1:16:39.740 --> 1:16:43.740]  I saw the producers of South Park on TV, they're totally pissing angry.
[1:16:43.740 --> 1:16:45.740]  People are like, why are they angry?
[1:16:45.740 --> 1:16:50.740]  Because they see all of their freedom, their American freedom, hard fought, taken away.
[1:16:50.740 --> 1:16:52.740]  Are you going to get upset?
[1:16:52.740 --> 1:16:54.740]  Well, you're a listener, you obviously are upset.
[1:16:54.740 --> 1:16:58.740]  But you've got to ring the alarm everywhere until others, they've got to get upset.
[1:16:58.740 --> 1:17:05.740]  And then take action and let Congress, everybody else know that we're not backing down and we're not going to sell America out to the chicoms.
[1:17:28.740 --> 1:17:35.740]  It's evil Americans whose Silicon Valley is teaching to shut up like China do.
[1:17:37.740 --> 1:17:44.740]  Hey, I told you don't go to ban that video, I'm watching you.
[1:17:44.740 --> 1:17:47.740]  Our system has been adopted worldwide.
[1:17:47.740 --> 1:17:53.740]  Soon we will kill you if you don't do what we say.
[1:17:53.740 --> 1:18:03.740]  Oh, Mark Zuckerberg and others angry at you, do what CNN says and do not visit ban that video or I have to hurt you.
[1:18:07.740 --> 1:18:11.740]  I know most of you realize this, but I'm going to say it again very, very clearly.
[1:18:11.740 --> 1:18:15.740]  You are just as important as I am or the rest of the crew at Info Wars.
[1:18:15.740 --> 1:18:21.740]  And we are the individuals that have done the research to understand the global spattle plan and we know how to take them down.
[1:18:21.740 --> 1:18:23.740]  That's why they're so upset.
[1:18:23.740 --> 1:18:25.740]  Think how far we've come together.
[1:18:25.740 --> 1:18:35.740]  You know, even if we were losing, we'd all still keep fighting on because it's the right thing to do against the truly satanic forces of the New World Order who've really taken the mask off.
[1:18:35.740 --> 1:18:37.740]  The lines in the sand for everybody now.
[1:18:37.740 --> 1:18:42.740]  But you'd already chosen to fight the corruption and to stand with God and to stand with the unborn.
[1:18:42.740 --> 1:18:48.740]  So I just want to take time out again to salute the audience because you are truly activist in the arena.
[1:18:48.740 --> 1:18:52.740]  And without you and your prayers and your word of mouth and your financial support,
[1:18:52.740 --> 1:18:56.740]  this operation that you built, that your operation would not be here.
[1:18:56.740 --> 1:18:59.740]  We've got some giant specials running right now at infowarstore.com.
[1:18:59.740 --> 1:19:01.740]  A lot of items are pretty percent off.
[1:19:01.740 --> 1:19:06.740]  Please take advantage of it at infowarstore.com to help us fight even harder into the future.
[1:19:06.740 --> 1:19:12.740]  The globalists have been planning to make their move on America for decades and decades.
[1:19:12.740 --> 1:19:16.740]  Hillary was supposed to get in and complete the takeover, the censorship, all of it.
[1:19:16.740 --> 1:19:20.740]  That's why they took me off the air first and banned me across the internet
[1:19:20.740 --> 1:19:25.740]  because they knew that what we were saying was dead on and they didn't want us raising the alarm.
[1:19:25.740 --> 1:19:29.740]  Well, guess what? Thanks to you spreading the word instead of fastly supporting info wars,
[1:19:29.740 --> 1:19:32.740]  we're still on the air and we're still fighting.
[1:19:32.740 --> 1:19:35.740]  So please keep spreading the word and keep buying the great products.
[1:19:35.740 --> 1:19:37.740]  We're running a massive sale right now.
[1:19:37.740 --> 1:19:41.740]  Storewide free shipping, double patriot points, 40 to 70 percent off.
[1:19:41.740 --> 1:19:44.740]  It's called the everything must go special.
[1:19:44.740 --> 1:19:46.740]  We're selling out of everything.
[1:19:46.740 --> 1:19:49.740]  Who knows, we'll even be here in six months.
[1:19:49.740 --> 1:19:50.740]  Hopefully we will.
[1:19:50.740 --> 1:19:52.740]  Who knows the country will be here in six months.
[1:19:52.740 --> 1:19:55.740]  I just gut level know we need all the funds to go into the future.
[1:19:55.740 --> 1:19:57.740]  So we're selling everything out right now.
[1:19:57.740 --> 1:19:59.740]  Everything must go sale infowarstore.com.
[1:19:59.740 --> 1:20:01.740]  Please visit the store today.
[1:20:01.740 --> 1:20:15.740]  Again, it's the everything must go sale at infowarstore.com.
[1:20:32.740 --> 1:20:38.740]  I was talking to the crew here during the break and we all agree that the Deep State absolutely will not stop
[1:20:38.740 --> 1:20:44.740]  until they are forced to stop by the president himself or the, you know, the rule of law.
[1:20:44.740 --> 1:20:48.740]  Perhaps military police, who knows, maybe the invocation of the insurrection act,
[1:20:48.740 --> 1:20:52.740]  but it's clear that the Deep State, they've gone all in.
[1:20:52.740 --> 1:21:00.740]  They either, they either rule this country or they all go to prison and that's that's the bet that they're making.
[1:21:00.740 --> 1:21:04.740]  So they're, they're going all out, which means that there's nothing they won't do.
[1:21:04.740 --> 1:21:09.740]  There's no amount of violence that they won't commit if it achieves their political goals.
[1:21:09.740 --> 1:21:16.740]  And here to help us analyze what that might mean for you on the streets and in your communities across America is Bob Griswold
[1:21:16.740 --> 1:21:18.740]  from Readymade Resources.
[1:21:18.740 --> 1:21:20.740]  He joins us continuing with our analysis.
[1:21:20.740 --> 1:21:24.740]  Bob, what do you think is the most likely?
[1:21:24.740 --> 1:21:26.740]  Well, let me ask you this way.
[1:21:26.740 --> 1:21:28.740]  I think there are two scenarios here.
[1:21:28.740 --> 1:21:33.740]  One is when, when the reports come out, the IG report and so on.
[1:21:33.740 --> 1:21:37.740]  And, and perhaps when there are criminal indictments against these deep staters,
[1:21:37.740 --> 1:21:40.740]  I can see a massive uprising coordinated by the left.
[1:21:40.740 --> 1:21:47.740]  And the other scenario is in the 2020 election, if Trump wins that election, I think the left goes insane.
[1:21:47.740 --> 1:21:49.740]  What's your take on either of these scenarios?
[1:21:49.740 --> 1:21:51.740]  Do you agree with my assessment or disagree?
[1:21:51.740 --> 1:21:53.740]  What do you think might happen?
[1:21:53.740 --> 1:21:56.740]  I think we need to get a historical perspective when I said earlier.
[1:21:56.740 --> 1:22:03.740]  The Soviet Union with socialism, this is the same philosophy that's ruling these people today,
[1:22:03.740 --> 1:22:06.740]  murdered 20 million of their own people.
[1:22:06.740 --> 1:22:11.740]  China murdered 55 million of their own people.
[1:22:11.740 --> 1:22:15.740]  Nazi Germany, six, seven million of their own people.
[1:22:15.740 --> 1:22:18.740]  These people are lawless.
[1:22:18.740 --> 1:22:26.740]  We have to remind that they do not operate by any perceived value or law on the book.
[1:22:26.740 --> 1:22:29.740]  They do what is in their own self interest.
[1:22:29.740 --> 1:22:38.740]  And so if they are setting us up right now for, for them to take us over and they're doing that by several different means.
[1:22:38.740 --> 1:22:40.740]  First of all, we just look in California.
[1:22:40.740 --> 1:22:45.740]  We have the most restrictive firearms laws that have just gone on the books.
[1:22:45.740 --> 1:22:50.740]  We also see that they have shut down ham radio operators.
[1:22:50.740 --> 1:22:54.740]  You know, this is the thing we have to understand and you ask us what we can do.
[1:22:54.740 --> 1:22:59.740]  You know, the military operates command, command and communication.
[1:22:59.740 --> 1:23:05.740]  You know, if they shut down our communication, people's ability to network is greatly limited.
[1:23:05.740 --> 1:23:07.740]  They will seek to do that.
[1:23:07.740 --> 1:23:08.740]  Mark my words.
[1:23:08.740 --> 1:23:14.740]  They will seek to shut down any form of communication we have so that we can network together to overcome them.
[1:23:14.740 --> 1:23:19.740]  Is this California thing then a dry run just to see if they can get away with it?
[1:23:19.740 --> 1:23:20.740]  They cut your power.
[1:23:20.740 --> 1:23:22.740]  They take your ham radio repeaters.
[1:23:22.740 --> 1:23:24.740]  They take, they try to take your guns and ammo.
[1:23:24.740 --> 1:23:28.740]  Is this, is there a lot more to this than just the wind?
[1:23:28.740 --> 1:23:29.740]  Absolutely.
[1:23:29.740 --> 1:23:31.740]  You know, the intelligence world is called peeling the onion.
[1:23:31.740 --> 1:23:34.740]  The outer layers might not even be that important.
[1:23:34.740 --> 1:23:37.740]  What you're looking for is to try to get to the inner layers of the onion.
[1:23:37.740 --> 1:23:38.740]  So you start peeling away things.
[1:23:38.740 --> 1:23:42.740]  You know, intelligence comes from us from many different avenues.
[1:23:42.740 --> 1:23:45.740]  And that's what I was talking to you about before the program.
[1:23:45.740 --> 1:23:49.740]  It's something that an Air Force Colonel came up with called OODA.
[1:23:49.740 --> 1:23:52.740]  And it just means observe, orient, decide and act.
[1:23:52.740 --> 1:24:01.740]  What we have to do is if the first two of those things, the orient and observe are intelligence gathering apparatus.
[1:24:01.740 --> 1:24:02.740]  You can see.
[1:24:02.740 --> 1:24:05.740]  So you observe and then you orient to it.
[1:24:05.740 --> 1:24:15.740]  You know, if we fail to see and understand how they will go about their coup and how they are going about their coup, they will be successful in their coup.
[1:24:15.740 --> 1:24:25.740]  That's why, you know, what they want to do is take those levels of intelligence away from us and have us deciding and acting without any value of information that we have.
[1:24:25.740 --> 1:24:35.740]  So the stripping away, I'm sorry to interrupt, you're kind of breaking up there a little bit too, but the stripping away people's ability to charge their cell phones,
[1:24:35.740 --> 1:24:46.740]  ability to even run ham radios, which run on electricity, of course, or the ability to use the ham radio repeaters, the ability to charge their electric vehicles or even to run gas station pumps that run on electricity.
[1:24:46.740 --> 1:24:55.740]  They're taking all of this away and the average California citizen is completely swallowing that lie that is, oh, it's because of high wind.
[1:24:55.740 --> 1:25:04.740]  It's as if suddenly we're being told that wind and electricity are not compatible when that's never been the case in human history.
[1:25:04.740 --> 1:25:05.740]  There's wind all over the world.
[1:25:05.740 --> 1:25:08.740]  They don't shut down the power grid everywhere that there's a little bit of wind.
[1:25:08.740 --> 1:25:11.740]  But why are people even buying this?
[1:25:11.740 --> 1:25:19.740]  Well, we've been indoctrinated, you have three generations of children that have gone through the Marxist public school system that have been taught to believe the government.
[1:25:19.740 --> 1:25:21.740]  And they think the government's there to serve them.
[1:25:21.740 --> 1:25:25.740]  In fact, a lot of these people are on the dole of the government.
[1:25:25.740 --> 1:25:29.740]  So they have a vested interest in listening and doing what the government says.
[1:25:29.740 --> 1:25:31.740]  This is the enemy we face.
[1:25:31.740 --> 1:25:32.740]  It's formidable.
[1:25:32.740 --> 1:25:40.740]  And I get very agitated at people that say, oh, they see these snowflake people and they think, well, the civil war is going to last three or four minutes and then it's going to be over with.
[1:25:40.740 --> 1:25:46.740]  As you pointed out in the beginning of the program, the deep state, it has the news media, banking, information.
[1:25:46.740 --> 1:25:49.740]  All these systems are on their side.
[1:25:49.740 --> 1:25:53.740]  So the communication part to me is extremely important.
[1:25:53.740 --> 1:25:58.740]  There is no reason whatsoever to turn those communication repeaters off.
[1:25:58.740 --> 1:25:59.740]  The only reason.
[1:25:59.740 --> 1:26:00.740]  Go ahead.
[1:26:00.740 --> 1:26:08.740]  Well, I'm sorry, but I want to get back to what you mentioned about the violence that when we say that if the Democrats gain authoritarian control over a country,
[1:26:08.740 --> 1:26:12.740]  that they will mass murder conservatives, Christians and Trump supporters.
[1:26:12.740 --> 1:26:14.740]  As you said, that's no exaggeration.
[1:26:14.740 --> 1:26:16.740]  That's what they intend.
[1:26:16.740 --> 1:26:19.740]  Yeah, and it will not be done in a humane manner.
[1:26:19.740 --> 1:26:26.740]  If we've ever seen any of those videos of people working at slaughterhouses, eventually just killing us will not be good enough.
[1:26:26.740 --> 1:26:28.740]  They have to absolutely butcher us.
[1:26:28.740 --> 1:26:29.740]  And that's what they will do.
[1:26:29.740 --> 1:26:31.740]  You look at what the Soviets did.
[1:26:31.740 --> 1:26:32.740]  You look at what the North Koreans do.
[1:26:32.740 --> 1:26:33.740]  You look at what the Chinese do.
[1:26:33.740 --> 1:26:37.740]  They, I mean, they organ harvest without sedation.
[1:26:37.740 --> 1:26:40.740]  I mean, this is the butchery they plan on doing.
[1:26:40.740 --> 1:26:42.740]  And the NBA condones it apparently.
[1:26:42.740 --> 1:26:43.740]  Yes.
[1:26:43.740 --> 1:26:50.740]  I mean, Nike and Adidas and all these tennis shoe companies, they don't have any problem with China's violations of human rights.
[1:26:50.740 --> 1:27:02.740]  No, you might, if I can take a baby that comes out of the womb, cut its head off, break its skull open to sell its brain, you tell me what I won't do.
[1:27:02.740 --> 1:27:06.740]  Well, you could be the director of Planned Parenthood, then if you could do all that.
[1:27:06.740 --> 1:27:08.740]  Well, you'd get a promotion.
[1:27:08.740 --> 1:27:11.740]  They give you bonuses like brain bonuses.
[1:27:11.740 --> 1:27:14.740]  I mean, there's nothing they will not do.
[1:27:14.740 --> 1:27:20.740]  So we need to be planning and making plans effectively to be able to offset what they do.
[1:27:20.740 --> 1:27:22.740]  Because again, social media can be turned off.
[1:27:22.740 --> 1:27:24.740]  Your cell phone can be turned off.
[1:27:24.740 --> 1:27:27.740]  Even locally, ham radio can be turned off, but it's difficult.
[1:27:27.740 --> 1:27:30.740]  There are ways you can speak globally with ham radio.
[1:27:30.740 --> 1:27:33.740]  There's ways that you can speak locally with ham radio.
[1:27:33.740 --> 1:27:37.740]  And for local communication, that's what's called your area of operation.
[1:27:37.740 --> 1:27:42.740]  You know, I live 90% of my life on about 20 miles of where my home is at.
[1:27:42.740 --> 1:27:45.740]  You probably do also, most people in America do.
[1:27:45.740 --> 1:27:54.740]  And so knowing that area, because all politics is local, becoming familiar with your area, knowing what the infrastructure of your area is.
[1:27:54.740 --> 1:28:02.740]  Because mark my words, one of the things they will do is come into your infrastructure, your electrical, your water, your power, your sewer, and make sure it is broken.
[1:28:02.740 --> 1:28:04.740]  They will break it.
[1:28:04.740 --> 1:28:12.740]  The liberals in their cities who are most vulnerable to power disruptions because they're the most dependent on all the things that power brings to a city.
[1:28:12.740 --> 1:28:18.740]  In other words, rural America could do much better without power than city folks, right?
[1:28:18.740 --> 1:28:20.740]  Just generally speaking.
[1:28:20.740 --> 1:28:26.740]  Absolutely. But you look at Donald Trump, they did not expect to have a fighter come at him the way he has come at them.
[1:28:26.740 --> 1:28:30.740]  And they don't expect people to do the same thing to them that they're doing to other people.
[1:28:30.740 --> 1:28:38.740]  I mean, you know, you just look at the Minneapolis rally when those people were throwing urine and spitting and all kinds of vile things they were doing to the people coming out of there.
[1:28:38.740 --> 1:28:40.740]  They don't expect it turned on them.
[1:28:40.740 --> 1:28:45.740]  And the day that it does turn on them, then, you know, they get a dose of their own medicine.
[1:28:45.740 --> 1:28:53.740]  Well, then they'll scream bloody murder then because, yeah, they can't stand fair play, I guess, or just anything turning against them.
[1:28:53.740 --> 1:28:56.740]  We're talking with Bob Griswold here on the Alex Jones show.
[1:28:56.740 --> 1:29:00.740]  We'll be back after this break with more analysis. Stay with us, Bob. I know you've got a lot more to say.
[1:29:00.740 --> 1:29:29.740]  I've got more to ask you. Much more coming up. Stay tuned.
[1:29:30.740 --> 1:29:46.740]  We're at that same point and we're all Paul Revere's who need to be out there warning everyone about what's unfolding because this is the critical fight.
[1:29:46.740 --> 1:29:54.740]  And thank God America and the world is waking up at the 11th hour, 58 minute, but will it be too little too late?
[1:29:54.740 --> 1:29:57.740]  That's up to you. This battle's hot. It's real.
[1:29:57.740 --> 1:30:01.740]  So spread the word and support InfoWars today at InfoWarsStore.com.
[1:30:01.740 --> 1:30:06.740]  But whatever you do, spread the word about the live transmission.
[1:30:06.740 --> 1:30:24.740]  My friends, I've seen a lot of Donald Trump just like you have. And my goodness, yesterday's press conference, when they came in on him with all their garbage, the foreign reporters, the U.S. reporters, these little political sellouts, these whores, he just tore them to bits.
[1:30:24.740 --> 1:30:36.740]  And it's one thing to hear it if you're a radio listener. It's powerful. But if you see it, it's all at band.video. You've got the full press conference. We've got my boil down of how epic it is. It's all at band.video.
[1:30:36.740 --> 1:30:44.740]  And I just, you've got to share this with people because Trump was hitting on all 45 cylinders. This was amazing. And he turned the nitrous oxide on top of it.
[1:30:44.740 --> 1:30:54.740]  So InfoWars, America, Trump, all of us, incredible things are happening. And we're sharing the ideas that are going to defeat the tyrants at band.video.
[1:30:54.740 --> 1:31:00.740]  And I got to tell you, we've done great video work. We've done great films. We've done so much. But websites are not our thing.
[1:31:00.740 --> 1:31:15.740]  Well, now they are. I'm so proud of band.video, folks. Check it out. There's a lot of new features band.video.
[1:31:30.740 --> 1:31:49.740]  Let's go super sale, ladies and gentlemen. This sale on some items on the site is the biggest sale we've ever offered 40 to 70% off store-wide. Many of these are at cost or below because we're offering free shipping on every order and double
[1:31:49.740 --> 1:32:02.740]  patriot points. Take advantage of the everything must go sale and the funds that come in allow us to fund ourselves in the next year and order new product for next year at infowarstore.com.
[1:32:02.740 --> 1:32:07.740]  That's infowarstore.com and thank you for your support.
[1:32:07.740 --> 1:32:24.740]  There are few things in this universe that are assured of that. But I'm here to tell you the products that infowarstore.com are. We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us to mother nature.
[1:32:24.740 --> 1:32:34.740]  And then we make it even stronger, even better and lower the price. Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system.
[1:32:34.740 --> 1:32:47.740]  So many things. It sells itself. But normal turmeric only has 3 to 5% curcuminoid, the active enzyme or system in the plant. Originally, obviously from India.
[1:32:47.740 --> 1:32:59.740]  Well, body's ultimate turmeric formula has a 95% curcuminoid level that's got other natural things that help boost it, help your body absorb it and that's why people absolutely love it.
[1:32:59.740 --> 1:33:06.740]  I'm doing this offer for people that haven't tried it yet. 50% off on bodies at infowarslife.com.
[1:33:29.740 --> 1:33:48.740]  We are joined by Bob Griswold in this segment and it has become apparent to all of us who are paying attention that the deep state now, these dark intelligence operatives, the Adam Schiff's, James Comey's,
[1:33:48.740 --> 1:34:01.740]  even the Robert Mueller's and Andrew McCabe's, John Brennan's, it's all collusion of treason against America. It's become apparent that they absolutely will not stop until they are forced to do so.
[1:34:01.740 --> 1:34:14.740]  But attempting to expose them or stop them makes them desperate. And then they come out and push for all kinds of insanity because they'd rather see America torn down and destroyed than to lose power themselves.
[1:34:14.740 --> 1:34:24.740]  In other words, they'd rather America lose than Trump win. And so anything is possible at this point. And joining us here is Bob Griswold for his analysis.
[1:34:24.740 --> 1:34:36.740]  I want to ask you about when the powers that be, when they fall into such desperation, Bob, what are they capable of that you've seen maybe elsewhere around the world?
[1:34:36.740 --> 1:34:42.740]  What are they capable of doing? I mean, you already talked about the mass executions that they would carry out against conservatives and Christians.
[1:34:42.740 --> 1:34:47.740]  But I mean, give it to us viscerally, just physically. What are they going to do?
[1:34:47.740 --> 1:35:02.740]  Absolutely. Further than what goes on into this country. I think, again, the butchery that is done every day to young babies in this country, the sexual exploitation of children, that's just, it is not just using them for sex purposes.
[1:35:02.740 --> 1:35:13.740]  It's using them for satanic ritual abuse. It's using them for just the adrenic chrome in their blood. It is beyond anything you and I can imagine.
[1:35:13.740 --> 1:35:21.740]  I mean, I won't even say things that I've talked with people that are in the know that do. But I will say this.
[1:35:21.740 --> 1:35:37.740]  I was told by a federal law enforcement official that if the entire resources of that agency were used to investigate pre-pubescent sex crimes in America, they wouldn't even make a dent in it.
[1:35:37.740 --> 1:35:45.740]  So you ask what people will do and they're not even desperate yet. You let the government cut off the supply chain.
[1:35:45.740 --> 1:36:00.740]  You let these people interrupt the supply chain, their food, your water, your TV, your beer, whatever it is. And so, and then you add on top of that, you know, one in five Americans is probably on an opiate, a benzoid or some other drug that's mind altering.
[1:36:00.740 --> 1:36:16.740]  You have a society that is filled with violence to begin with. It filled with, you know, I won't go into too much of it, but it filled with a lot of, you know, sexual ex, just sexual, you know, pornography on the internet, grossest of gross.
[1:36:16.740 --> 1:36:28.740]  And you have people that view this and watch this all the time and you have all that together. Those people are not going to take up knitting when they have the interruption of what they are doing.
[1:36:28.740 --> 1:36:38.740]  They are going to act out the most horrible things we can imagine. So the question, what advantages can we create for ourselves against our adversities and adversities? Excuse me.
[1:36:38.740 --> 1:36:53.740]  And how can we exploit those? Because the first and foremost thing we're going to need to do is communicate. Networking is going to be crucial for the survival of good people in what is coming here because they will, like you said, they'll bring the country down.
[1:36:53.740 --> 1:37:09.740]  They'll turn your cell phone off. They'll turn your IP address off. If you have a sat phone, they can turn that off. You know, Jesus Christ had what I call concentric circles of friends, Peter, James and John, the 12, the 70 and the masses.
[1:37:09.740 --> 1:37:22.740]  We really need to start developing amongst people we trust and know those concentric circles of communication and trust. That way, when things come, we can network together to offset what they have planned for us.
[1:37:22.740 --> 1:37:31.740]  We know what they have planned for us. And that's the concentration camp, the detainment camp where you will be, either if you're a young person, you'll be blood matched.
[1:37:31.740 --> 1:37:45.740]  And if you have some value as far as your organs, you'll be used there. If you can be used for slave labor, you'll be used there. All you have to do is look through history, what happens to women and these types of things when they're putting occupation camps.
