[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[2:15:05.240 --> 2:15:06.040]  um
[2:15:06.040 --> 2:15:12.920]  Stop the vaccine and say listen. Let's just wait six months. Let's see what's happening. I told my mother the same thing
[2:15:13.240 --> 2:15:15.240]  She was indoctrinated by the msn
[2:15:15.880 --> 2:15:21.640]  She said I need to get the vaccine so I can visit my grandkids. I said wait six months just wait
[2:15:22.200 --> 2:15:24.200]  And that's what we needed trump to do
[2:15:24.520 --> 2:15:29.800]  Be a leader and he wasn't and he failed us and I was a big trump supporter
[2:15:29.800 --> 2:15:31.800]  No, I hear you and I appreciate your call
[2:15:32.520 --> 2:15:38.680]  And you're absolutely right. The point is they're now openly setting him up. And so then bill gates and fouchy get off
[2:15:40.200 --> 2:15:43.560]  Somebody wants to like say get rid of trump or defend trump forget trump
[2:15:43.880 --> 2:15:46.200]  We need him to like go after the real people that did it
[2:15:47.320 --> 2:15:50.360]  Because I know he didn't mastermind this that's all I'm talking about
[2:15:51.240 --> 2:15:53.560]  All right, we'll be right back with mtg
[2:15:53.560 --> 2:15:59.240]  sold out for seven months
[2:16:00.120 --> 2:16:03.560]  Body's ultimate turmeric formula is back in stock
[2:16:04.120 --> 2:16:08.520]  turmeric's been known for thousands of years to do amazing things for your joints
[2:16:09.240 --> 2:16:15.480]  Stamina your immune system for your libido and look the average level of the shelves is five six seven percent
[2:16:15.800 --> 2:16:21.000]  Pure cumanoid we have the strongest brand on earth. There's nobody else decided to do it
[2:16:21.000 --> 2:16:24.920]  It's 95 percent cumanoid at infowarstore.com
[2:16:25.480 --> 2:16:27.480]  body's ultimate turmeric formula
[2:16:28.120 --> 2:16:32.280]  95 percent cumanoid it is incredible and
[2:16:32.760 --> 2:16:35.640]  What's even more incredible is it funds the info war?
[2:16:36.200 --> 2:16:39.240]  So the only way you fail is not taking action today
[2:16:39.800 --> 2:16:45.320]  And ordering body's ultimate turmeric formula at infowarstore.com. It is simply amazing
[2:16:45.320 --> 2:16:55.080]  Discover the power of your cumanoids at 95 percent at infowarstore.com today with body's ultimate turmeric formula
[2:16:57.560 --> 2:17:03.720]  I don't care if you work in a cafeteria or pump gas or whether you're a farmer a rancher a doctor a lawyer or a millionaire
[2:17:04.120 --> 2:17:10.440]  Fortune and money magazine have all done these profiles. You see it every year 30 different tax returns 30 different answers
[2:17:10.840 --> 2:17:12.840]  50 different tax returns 50 different answers
[2:17:12.840 --> 2:17:18.760]  And almost all of them just screw you over especially the big firms and and the big tax groups
[2:17:19.080 --> 2:17:21.800]  Because they're part of the system and they don't want the general public
[2:17:22.200 --> 2:17:28.520]  Understanding this and knowing this so it's a very important situation with inflation and all the things out there hurting everybody
[2:17:29.320 --> 2:17:31.080]  To be able to
[2:17:31.080 --> 2:17:34.840]  Do things tax wise. It's legal and lawful that allows you to keep more your money
[2:17:34.840 --> 2:17:39.160]  We wouldn't even be here if I hadn't gotten great tax advice in the last few years
[2:17:39.160 --> 2:17:47.240]  The only way you fail is not writing down the url jonestaxrelief.com one word jonestaxrelief.com
[2:17:47.880 --> 2:17:53.880]  or call 833-904-285 833-904-285
[2:17:58.200 --> 2:18:03.320]  The great reset in the war for the world is the book that the government doesn't want you to read that
[2:18:03.320 --> 2:18:10.680]  Most of the big powerful companies trying to control your life the big tech companies. They don't want you to read this book
[2:18:10.760 --> 2:18:14.360]  They want to control what you think what you do what you read
[2:18:14.520 --> 2:18:19.560]  But you don't want that and alex jones doesn't want that and this book shows you what's happening
[2:18:19.800 --> 2:18:24.840]  And gives you the sort of playbook for how to fight against it and so by buying this book
[2:18:24.920 --> 2:18:29.560]  You're going to prove that censorship doesn't work that freedom is alive in this country
[2:18:29.560 --> 2:18:36.280]  This is a central reading and you know, I would go right now and buy it before the censorship kicks in
[2:18:36.600 --> 2:18:41.000]  It's not going to be available in bookstores. It's not going to be available in libraries
[2:18:41.080 --> 2:18:46.200]  They're going to try to take it down from every platform that they can but they're not going to be able to do it
[2:18:46.360 --> 2:18:50.600]  Prove that censorship doesn't work by the great reset. Thank you alex jones
[2:18:50.680 --> 2:18:56.120]  I really appreciate you having me on and I appreciate you writing this book and getting the information out there
[2:18:56.120 --> 2:19:00.840]  If you're like myself and so many other people on this planet, especially as you get older
[2:19:01.160 --> 2:19:03.160]  You gain weight even if you eat a lot less
[2:19:03.560 --> 2:19:08.360]  I gotta tell you info wars is only about bringing you amazing products that really work
[2:19:08.840 --> 2:19:12.680]  So we looked at the supplement market that we fund a lot of our operations with and we said
[2:19:13.640 --> 2:19:19.240]  What are the best-selling natural healthy anti-fat weight loss products that are out there?
[2:19:19.560 --> 2:19:25.240]  We went looked at the top 10 and they all had the same ingredients in common that is in this product
[2:19:25.240 --> 2:19:28.680]  But with our new product from x7 diet force
[2:19:29.720 --> 2:19:31.720]  We got the very best concentrates
[2:19:32.200 --> 2:19:34.200]  of these known
[2:19:34.200 --> 2:19:40.120]  Natural essences that's two amazing things for your body. And so I've lost almost 40 pounds
[2:19:40.120 --> 2:19:46.120]  I'm so a little bit overweight in the last three months and I've been doing it using diet force and also exercise
[2:19:46.440 --> 2:19:51.080]  Well now diet force is exclusively available right now at info wars store.com
[2:19:51.080 --> 2:19:57.240]  40% off info wars store.com diet force. You need to take this product. It really works
[2:19:57.240 --> 2:20:23.240]  Next, leading a frontal assault on the lies of the new world order. It's alex jones
[2:20:28.440 --> 2:20:32.440]  Well, we've got the exclusive response with marjorie taylor green
[2:20:34.440 --> 2:20:41.960]  The most influential patriot in congress fearless smart and amazing. That's why the enemy attacks her. That's why we
[2:20:42.840 --> 2:20:46.680]  Celebrate her. She is breaking the heart of the new world order
[2:20:48.040 --> 2:20:52.040]  And she joins us for two short segments. She got swat teamed last night
[2:20:52.040 --> 2:20:57.240]  We've had it happen steve annan said it happened, but now they're going to hurt and the person took credit
[2:20:57.800 --> 2:20:59.800]  national losers reporting because
[2:21:00.440 --> 2:21:03.720]  mtg doesn't want to sterilize little girls and little boys
[2:21:03.960 --> 2:21:08.600]  So to give us the exclusive breakdown is mtg. God bless you congresswoman. Tell us what happened
[2:21:09.960 --> 2:21:11.960]  Alex, thanks so much for having me on
[2:21:12.280 --> 2:21:18.840]  I got swatted last night because of the legislation that I introduced protect children's innocence act
[2:21:18.840 --> 2:21:23.480]  And whoever this person is they are going to hunt him down and find him
[2:21:23.960 --> 2:21:28.760]  They called the 911 center and reported that someone had been shot in my home
[2:21:29.160 --> 2:21:31.160]  And that there were children in my home
[2:21:31.240 --> 2:21:36.360]  And created a scenario that there was still an active shooter in my home police, of course
[2:21:36.440 --> 2:21:41.560]  Our great local law enforcement here in rome came to my house as fast as possible
[2:21:41.560 --> 2:21:50.280]  But prepared for an unknown situation and swatting is extremely dangerous. The intent of it is to get someone killed
[2:21:50.760 --> 2:21:54.600]  I is sitting member of congress was their target
[2:21:54.920 --> 2:21:57.720]  They wanted to get me killed and that's why they called the police
[2:21:58.120 --> 2:22:03.000]  But alex, I want to tell you um our our local police here are they're the good guys
[2:22:03.400 --> 2:22:08.680]  They really are the good guys and and they handled everything really well, but it really scared me
[2:22:08.680 --> 2:22:15.320]  Um, and I can go into detail about how that played out. Lay that out and then let's talk about the scumbag and took credit for this
[2:22:16.440 --> 2:22:20.440]  Absolutely, it was just after one o'clock in the morning. I was sound asleep
[2:22:21.000 --> 2:22:23.560]  In in my bed in my home here in rome georgia
[2:22:24.040 --> 2:22:29.960]  Heard knock on the door heard a doorbell heard people outside my house. I could hear them outside my windows
[2:22:30.520 --> 2:22:37.720]  And um, I got it quickly. I got dressed. I I saw a few lights outside, but it wasn't police lights going
[2:22:37.720 --> 2:22:40.680]  I could just tell there were cars out there where they shouldn't be
[2:22:41.160 --> 2:22:44.600]  Um, and and I actually before I left my bedroom
[2:22:44.680 --> 2:22:52.200]  I picked up my gun as I always do to answer the door. Um, and I was well, yeah, you're a you're a major target
[2:22:53.720 --> 2:22:56.760]  Yeah, yeah, you're gonna come to my house and I don't know you're coming
[2:22:56.760 --> 2:22:59.160]  I will answer the door with my firearm
[2:22:59.800 --> 2:23:06.760]  And and that's what people should do, but I I had this really strange gut feeling alex that that something was wrong
[2:23:06.760 --> 2:23:11.560]  So I put my gun down and it's odd for me to do that. That's not normal
[2:23:12.040 --> 2:23:20.280]  Uh went down the hallway went into my foyer and saw police out on my front porch and they looked extremely serious and very concerned
[2:23:20.760 --> 2:23:25.560]  Opened the front door and they immediately asked me is everything okay, ma'am. Are you okay?
[2:23:26.040 --> 2:23:29.000]  And of course I was shocked and I I didn't know what I was
[2:23:29.000 --> 2:23:36.520]  Getting into I didn't know if they were bringing me bad news or or or you know come for for whatever reason
[2:23:37.080 --> 2:23:41.160]  And um, I said I said, yeah, I was I was sound asleep. I'm okay
[2:23:41.720 --> 2:23:46.200]  You know what's happening and that's when they informed me about the call that had come in
[2:23:46.760 --> 2:23:50.040]  Um, and I of course said I was like, please come in my house
[2:23:50.200 --> 2:23:52.360]  Please check my house and make sure everything's okay
[2:23:52.920 --> 2:23:58.280]  My my daughter woke up and she came out and of course she was scared too. We both were
[2:23:58.280 --> 2:24:05.480]  Uh, because it's really terrifying to to have um, you know, please come to your home in the middle of the night
[2:24:05.800 --> 2:24:13.000]  With a story like that and to know, uh, that you're being swatted and the police knew it too. They said, yeah, you're being swatted
[2:24:13.480 --> 2:24:16.360]  And alex here's that here's the issue that makes me so angry
[2:24:16.920 --> 2:24:20.520]  Not only does it put my life in danger and my family's life in danger
[2:24:20.760 --> 2:24:25.720]  It also puts the police officers lives in danger and and that makes me very angry
[2:24:25.720 --> 2:24:31.400]  But I have to tell you our our police here. They are amazing. They did a really good job
[2:24:31.480 --> 2:24:36.600]  They they understood the situation took it very seriously made sure my home was safe
[2:24:36.680 --> 2:24:42.680]  Um, they're continuing to watch it and and I was about to say my experience being swatted over and over again
[2:24:42.920 --> 2:24:45.720]  We have talked a lot about it as the police start watching your house more
[2:24:46.120 --> 2:24:49.720]  And and start protecting you even more because they realize you're being targeted
[2:24:49.720 --> 2:24:54.600]  Yes, they do and they're wonderful. I mean
[2:24:55.320 --> 2:25:00.600]  Alex our local law enforcement. These are the good guys. They keep they get the crime off of our streets
[2:25:00.680 --> 2:25:03.080]  They they they protect children
[2:25:03.400 --> 2:25:07.880]  They you know, they go after the real criminals and drug dealers and all the problems we have
[2:25:08.280 --> 2:25:14.120]  But they are are lacking resources and they're lacking manpower. Well, that's right while they were your house
[2:25:14.200 --> 2:25:16.760]  There was car wrecks and robberies they could have been dealing with
[2:25:16.760 --> 2:25:21.480]  Exactly exactly and it's it's it's such a waste of resources
[2:25:22.040 --> 2:25:24.520]  Um, and that's you know, here's what it is. So in my situation
[2:25:25.080 --> 2:25:30.760]  Considering the fact that this this sicko wanted to have me killed by police at my own home
[2:25:31.080 --> 2:25:37.240]  And was willing to use the police to do that to me. Uh, it's really it's really political terrorism, Alex
[2:25:37.320 --> 2:25:39.320]  That's what this is political terrorism
[2:25:39.560 --> 2:25:45.160]  Because they think that they're going to scare me and intimidate me into into not pushing
[2:25:45.160 --> 2:25:49.240]  Not pushing my legislation and protecting kids, but I'm going to tell you Alex
[2:25:49.400 --> 2:25:54.920]  I am I am more committed to it than ever before if they want to declare war on me like this
[2:25:55.320 --> 2:25:59.000]  Then they don't understand who I am if I do anything at the end of the day
[2:25:59.320 --> 2:26:03.720]  The only one thing I care about is protecting our kids and the left's disgusting
[2:26:04.760 --> 2:26:10.040]  perverted radical evil agenda to force kids into these these horrific
[2:26:10.040 --> 2:26:16.040]  Uh mutilation general mutilation surgeries is something that I'll go all the way for
[2:26:16.280 --> 2:26:20.520]  And they've got a problem even bill mars turned against them even mainline democrats
[2:26:21.000 --> 2:26:25.960]  States are passing all these laws people are really waking up to this pedophile agenda
[2:26:25.960 --> 2:26:32.600]  That's what it is not just rape a child but steal their identity and then take away parental rights and have them sterilized
[2:26:33.160 --> 2:26:36.200]  Or or mutilated. I mean this couldn't be a bigger issue
[2:26:36.200 --> 2:26:43.560]  I totally agree and Alex to me. It's like this. It's like the line in the sand for the republican party
[2:26:43.960 --> 2:26:49.400]  If republicans can't get on board and stop this then what what are republicans even worth?
[2:26:49.560 --> 2:26:51.560]  I can't imagine a more important
[2:26:52.120 --> 2:26:56.840]  Um, uh issue to to create a federal law to protect kids from this
[2:26:57.640 --> 2:27:01.640]  Disgusting like you said it is it is like pedophilia. It is child abuse
[2:27:01.640 --> 2:27:07.560]  And we have federal laws that protect kids from child abuse sex child abuse trafficking all of these things
[2:27:07.800 --> 2:27:09.800]  We need to protect our kids
[2:27:09.800 --> 2:27:14.200]  That are under 18 and stop stop this industry the profit
[2:27:15.320 --> 2:27:18.280]  Um, and we need well what's worse than raping a little girl or a boy
[2:27:18.920 --> 2:27:26.040]  Tricking them into signing up to have their genitals cut off. I mean this this is beyond pedophilia. This is literally a
[2:27:26.680 --> 2:27:27.800]  demonic
[2:27:27.800 --> 2:27:29.800]  child abuse cult
[2:27:29.800 --> 2:27:37.000]  Yes, it is it is a it is a sick cult that is right child abuse cult and they're making a fortune off of it
[2:27:37.320 --> 2:27:42.440]  And it's an industry that will only grow and they want to use federal tax dollars to fund it
[2:27:42.600 --> 2:27:49.160]  That's another thing that is absolutely discussing and then you know, there's an issue of some some of my colleagues are arguing with me
[2:27:49.160 --> 2:27:54.600]  Saying, you know, this is really a state rights issue. No, it's not it's not a state's right issue
[2:27:54.600 --> 2:27:57.240]  I'm a big believer in state rights. I believe in state rights
[2:27:57.240 --> 2:28:00.680]  I believe in state rights, but if states want to legalize slavery again, they can't do it
[2:28:00.680 --> 2:28:05.000]  We already had a civil war that they want to legalize chopping children's genitals off. We're gonna have another war
[2:28:06.680 --> 2:28:11.800]  Yeah, people are not going to stand for this especially alex if you think about states like california
[2:28:12.120 --> 2:28:17.720]  Where they want to take away parents rights to protect their children from this discussing agenda
[2:28:17.960 --> 2:28:23.480]  So kids aren't safe in california. That's why this is not a this is not a states rights issue
[2:28:23.480 --> 2:28:27.960]  This is a federal issue and it is our duty 100%
[2:28:29.800 --> 2:28:33.720]  You're a hundred percent right. I mean, it's it's a federal issue when there's child abuse happening
[2:28:35.000 --> 2:28:39.880]  Yeah, but you know what else alex? I mean, you've been a victim of swatting. I've been a victim of swatting
[2:28:40.520 --> 2:28:46.120]  It this needs to end it these people that do this they need to be held to a higher standard
[2:28:46.600 --> 2:28:50.840]  Um, they they there needs to be an as you know, swatting's got a lot of people killed
[2:28:50.840 --> 2:28:54.120]  They need to be charged with attempted murder. We'll be right back with mcg. Stay with us
[2:28:57.080 --> 2:29:01.960]  People say alex jones crazy. He's a conspiracy theory guys a nutcase. You got these rants and all that
[2:29:03.560 --> 2:29:05.160]  What they miss
[2:29:05.160 --> 2:29:11.800]  Is that this guy's a head of the curve on so many different topics of signal not noise if you look at the signal
[2:29:12.520 --> 2:29:14.520]  and you compare that
[2:29:14.520 --> 2:29:18.920]  To pbs and npr and bbc and we'll do what alex jones put out there
[2:29:18.920 --> 2:29:22.120]  Versus what your collective body has put out there
[2:29:22.680 --> 2:29:27.320]  And if you're a sent in a human being and just watching it you say well god alex jones is the head of this not only that
[2:29:27.320 --> 2:29:31.000]  He kind of explained it. You are one of the great thinkers of this
[2:29:31.560 --> 2:29:35.000]  That is very rare. You got to go back almost to the revolutionary generation
[2:29:35.560 --> 2:29:40.280]  And see that in this new book. I got to tell you when tony lion's first approach me. I read this thing
[2:29:40.280 --> 2:29:44.920]  I go, this is it. This is no beetry. You're not going to be flipping pages here
[2:29:44.920 --> 2:29:47.240]  You're going to be having a pin out and you're going to be underlying stuff
[2:29:47.240 --> 2:29:55.240]  The great research by alex jones order your copy now at amazon or info or store dot com
[2:29:56.520 --> 2:30:03.160]  The number one selling category in supplements worldwide is fat burners is weight loss formulas
[2:30:03.400 --> 2:30:06.120]  And listen, there are hundreds of them out there that work
[2:30:06.760 --> 2:30:09.640]  But most of them do it in a toxic way
[2:30:10.280 --> 2:30:13.320]  Ladies and gentlemen, we went out and did deep research on the safest
[2:30:13.320 --> 2:30:18.520]  Healthiest ways to take your overall body's metabolic system
[2:30:19.160 --> 2:30:25.720]  And your metabolism and turn that clock back by turning up your metabolism
[2:30:26.280 --> 2:30:30.200]  Ladies and gentlemen diet does it in a clean healthy way. It's amazing
[2:30:30.200 --> 2:30:34.680]  I've almost lost 40 pounds the last three months just using the samples of it
[2:30:34.840 --> 2:30:38.920]  But now it's come into the info or store and is ready for sale to you and your family
[2:30:39.400 --> 2:30:41.400]  exclusively at info or short.com
[2:30:41.400 --> 2:30:49.480]  Diet force from x7 exclusively available at info war store dot com for 40% off
[2:30:49.720 --> 2:30:54.200]  I want you to experience diet force for yourself. I can't wait for the reviews. Just work great for me
[2:30:56.200 --> 2:30:58.200]  We are now living in the void
[2:30:58.680 --> 2:31:04.280]  Sliding towards collapse in the strange space between what we've known and what's to come
[2:31:04.760 --> 2:31:08.200]  And right now the most important thing to remember is
[2:31:08.200 --> 2:31:17.240]  Don't panic stay calm because now is the time that we must get our bearings and steer the ship onto a safe sound course
[2:31:17.480 --> 2:31:21.640]  There is nothing stopping we the people from making our own rules
[2:31:22.200 --> 2:31:27.720]  And building our own society all we got to do is survive the crash and right now
[2:31:27.880 --> 2:31:33.880]  We still have time to prepare the world fiat currency system is racing towards zero
[2:31:33.880 --> 2:31:41.560]  It's time to convert it into hard assets now including food water and survival gear to keep us strong
[2:31:41.800 --> 2:31:46.680]  And at the ready go to prepare today dot com for the essentials
[2:31:47.320 --> 2:31:54.840]  Storeable foods water filtration first aid power and more at prepare today dot com
[2:31:56.120 --> 2:32:00.360]  Several years ago. I approached one of the top companies in the u.s.
[2:32:00.360 --> 2:32:07.240]  That supplies the highest quality signature reducing fairy day cages the pentagon and other u.s. government agencies
[2:32:07.560 --> 2:32:11.560]  And now they have produced specifically for us this made in america
[2:32:11.960 --> 2:32:17.720]  onion line at a very affordable price whether it's small pouches that protect your cell phone
[2:32:18.040 --> 2:32:24.760]  Are big pouches that protect laptops and iPads or big bags that promote whatever electronics you want to put in it
[2:32:24.760 --> 2:32:32.440]  Like desktop computers. It is all exclusively available at info wars store dot com under the redux name
[2:32:32.920 --> 2:32:39.160]  Redux is info wars taking the highest quality products and bringing them directly to you at info wars store dot com
[2:32:39.400 --> 2:32:40.920]  In this insane world
[2:32:40.920 --> 2:32:46.200]  You are crazy if you don't protect your signature your identity from identity theft
[2:32:46.680 --> 2:32:51.720]  Hackers criminals corporations governments. This is one of the hottest items out there today
[2:32:51.720 --> 2:32:54.680]  That's exclusively available at info wars store dot com
[2:32:58.360 --> 2:33:04.360]  Leading a frontal assault on the lies of the new world order it's alex jones
[2:33:12.040 --> 2:33:17.000]  The answer to 1984 is 1776
[2:33:17.720 --> 2:33:19.720]  live from austin texas
[2:33:19.720 --> 2:33:21.720]  Broadcasting worldwide
[2:33:22.360 --> 2:33:24.360]  It's alex jones
[2:33:25.000 --> 2:33:31.560]  So last night after this individual called in a fake report of a shooting with children at margaret telegreens
[2:33:32.200 --> 2:33:34.200]  home in georgia
[2:33:34.760 --> 2:33:36.760]  It came out that
[2:33:37.560 --> 2:33:41.080]  The roam floyd 911 says the person called because they're mad at her
[2:33:41.640 --> 2:33:44.680]  For her transgender legislation to ban sterilizing
[2:33:45.240 --> 2:33:48.920]  Children, which is just eugenics by another name. That's why they swat teamed her
[2:33:48.920 --> 2:33:50.920]  But i wanted to show you
[2:33:51.480 --> 2:33:54.600]  Just a couple of the current things in the news of how sick this is
[2:33:55.240 --> 2:33:57.240]  This is mainstream news
[2:33:57.640 --> 2:34:01.880]  They're doing this to kids boston children's hospital says a link to the news
[2:34:02.440 --> 2:34:05.320]  Cut off flesh from a girl's forearm and thigh
[2:34:07.320 --> 2:34:10.760]  And remake that into a non-functioning penis
[2:34:10.760 --> 2:34:21.080]  This is just mutilating children. This is like hellraiser stuff sex change clinics sponsored conference that pushes child transgenderism
[2:34:23.320 --> 2:34:26.120]  World's youngest transgender model to trans parents
[2:34:27.880 --> 2:34:29.880]  That's just some of this so margaret telegreen
[2:34:30.360 --> 2:34:35.880]  You had more to say about this in your legislation to ban this garbage and why the left is so incredibly angry at you
[2:34:35.880 --> 2:34:41.880]  Yeah, so, you know, they think they're intimidating me with their political terrorism. I'm going to tell you something right now
[2:34:42.120 --> 2:34:47.160]  Alex, uh, they can't intimidate me as a matter of fact, they've made me dug it big and even harder
[2:34:47.480 --> 2:34:50.600]  So my bill is to protect children's innocence act
[2:34:51.000 --> 2:34:56.360]  Um anyone watching this what you can do is you can call your your representative in the house of representatives
[2:34:56.600 --> 2:35:00.280]  And tell them to cosponsor my bill. We need every single republican on it
[2:35:00.280 --> 2:35:07.400]  Uh, because we have to start the push right now so that when we take back the majority in january
[2:35:07.720 --> 2:35:12.520]  This is a bill that we can get passed and I believe we can do it, especially if we're in charge in the house
[2:35:12.920 --> 2:35:18.920]  So it's the protect children's innocence act make sure that your your representative knows about it
[2:35:19.320 --> 2:35:23.720]  And we also need we need a bill in the senate too. We need a republican in the senate to step up and do it
[2:35:24.280 --> 2:35:28.280]  Um, I've already talked to blake masters in arizona. He says if he's elected he'll introduce it
[2:35:28.280 --> 2:35:31.880]  Um, so we have brave senate candidates that are willing to do it
[2:35:31.880 --> 2:35:35.400]  And I want to see I would love to see some of our current senators, uh,
[2:35:35.640 --> 2:35:36.360]  Introduce it as well
[2:35:36.360 --> 2:35:41.320]  But we need every single republican on this bill and it needs to be promoted. It needs to be passed
[2:35:41.480 --> 2:35:46.760]  We need a federal law to stop this child abuse and protect children from those horrific images
[2:35:46.760 --> 2:35:51.400]  You just showed us because it is truly it. It truly is a sick and evil
[2:35:52.040 --> 2:35:55.880]  Um attempt to destroy children and and radically change that
[2:35:55.880 --> 2:36:00.280]  Into something they they never want to become. Uh, so it's so important
[2:36:00.280 --> 2:36:04.120]  Well, if I came into a hospital as a full grown adult and said, I want you to cut my left
[2:36:04.600 --> 2:36:07.960]  Arm off they put me in a mental institution or I said, I want you to cut my finger off
[2:36:07.960 --> 2:36:13.880]  But oh cut a little girl's arm off and then make it into a fake genitals. I mean, it's just it's it's it doesn't even make
[2:36:13.880 --> 2:36:16.840]  It's insane and they're just doing it and it's incredible
[2:36:17.400 --> 2:36:21.160]  And it's time to start saying no and that's happening. You're leading the charge. We're so proud of you
[2:36:21.160 --> 2:36:25.320]  Uh, you wanted to talk about the difference. We talked during the break between federal and local law enforcement
[2:36:26.200 --> 2:36:30.200]  Yes, there is a difference now the left has the defund the police movement
[2:36:30.600 --> 2:36:37.160]  Which we know is causing lawlessness all over america and the crime the crime rates are the proof
[2:36:37.160 --> 2:36:43.560]  This is exactly what they want. They want lawlessness. The democrats the left are the party of lawlessness
[2:36:44.200 --> 2:36:47.800]  Um, because they thrive on chaos now. I had recently said
[2:36:47.800 --> 2:36:55.800]  Defund the fbi after they raided marlago now what I'm talking about with defund the fbi is we have got to gut these federal
[2:36:55.800 --> 2:37:01.560]  Agencies of these unelected bureaucrats that abuse their positions of power
[2:37:02.200 --> 2:37:08.760]  To target politically target their enemies and this is something that our federal government should never become should never be
[2:37:09.240 --> 2:37:11.800]  As a matter of fact, this is exactly what our founders
[2:37:11.800 --> 2:37:17.560]  Learned us against. Uh, but what we have to do alex's republicans is we can't just talk about it
[2:37:18.200 --> 2:37:22.760]  Um and say it on the news. We can't just hold uh committee hearings and investigations
[2:37:23.320 --> 2:37:27.160]  So that republican members of congress can pump out their five minute c-span clips
[2:37:27.800 --> 2:37:29.800]  We need real action and accountability
[2:37:30.360 --> 2:37:35.320]  Following what we find out and what we expose because otherwise what is the point?
[2:37:35.560 --> 2:37:38.360]  What is the point of having the majority?
[2:37:38.360 --> 2:37:41.480]  And actually controlling and having power if we
[2:37:42.360 --> 2:37:46.360]  Use and stop the weaponization of the federal government
[2:37:46.680 --> 2:37:51.960]  Against their enemies and against the innocent american people. It has to end and we have to do something about it
[2:37:52.360 --> 2:37:54.360]  Well, that's why they're so scared of you
[2:37:54.360 --> 2:37:58.680]  Shifting gears fouchy leaving berks admitting the shots didn't work
[2:37:59.480 --> 2:38:04.280]  Uh, the willensky the current head of the cdc saying, okay, we lied to you
[2:38:04.280 --> 2:38:07.720]  It was the democrats tried forced inoculation the democrats that pushed lockdown
[2:38:08.040 --> 2:38:09.480]  Trump just said if you want to take it take it
[2:38:09.480 --> 2:38:13.560]  But I really want to see trump now that the rats are leaving the sinking ship come out and point out
[2:38:13.560 --> 2:38:17.400]  It was bill gates and fouchy of them. I see the thing hurting trump more than anything
[2:38:17.400 --> 2:38:19.400]  Which I don't want to happen is that he hasn't
[2:38:19.960 --> 2:38:24.760]  Come out and admitted that he was lied to just big picture. What do you make a fouchy leaving?
[2:38:25.800 --> 2:38:29.080]  Well, what I make a fouchy leaving is I see it coming out of the fouchy
[2:38:29.080 --> 2:38:34.840]  Make a fouchy leaving. Well, what I make a fouchy leaving is I see it completely different
[2:38:34.920 --> 2:38:39.880]  I don't I don't think fouchy gets to just decide he's done it gets to go home and enjoy retirement
[2:38:40.120 --> 2:38:44.520]  No, I don't think so. This is the man that lied to us on television every single day
[2:38:44.760 --> 2:38:49.160]  He lied under oath to congress and in congressional hearings in the house in the senate
[2:38:49.400 --> 2:38:52.280]  He has lied and lied and he was completely
[2:38:52.840 --> 2:38:55.720]  Involved in a in a total part of our tax dollars
[2:38:55.720 --> 2:39:02.600]  Going towards this gain of function research creating the covid-19 virus which was created in the wuhan lab
[2:39:02.920 --> 2:39:07.720]  The the the virus gets unleashed all over the world. It has killed millions of people
[2:39:08.120 --> 2:39:14.760]  I mean you think about the the elderly elderly our grand our parents and grandparents that died in nursing homes alone
[2:39:15.080 --> 2:39:17.480]  People that died in hospitals alone
[2:39:18.200 --> 2:39:23.720]  People that were forced to take this vaccine that dr. Fauci promoted and promoted and promoted and alex now
[2:39:23.720 --> 2:39:29.000]  We're seeing the vaccine does nothing for them and the people that are vaccinated quadruple vaccinated
[2:39:29.240 --> 2:39:34.280]  They're the ones getting covid over and over again. It's not us. I'm not vaccinated
[2:39:34.360 --> 2:39:41.240]  I've had covid one time and I have not had it sent and we don't know what it's doing to people's bodies the mRNA
[2:39:42.040 --> 2:39:48.600]  Vaccine technology and we've seen doctors and many medical experts come out and warn against it
[2:39:48.600 --> 2:39:54.520]  And then they're canceled by big tech. We have the the VAERS system. Let's talk about that for a second alex
[2:39:54.520 --> 2:39:56.120]  I also have a bill
[2:39:56.120 --> 2:40:04.040]  To to justice for vaccine victims act what it does is it investigates all of the reports of vaccine injuries and death
[2:40:04.520 --> 2:40:09.960]  Deaths on VAERS and there's so many these people are being silenced and ignored while
[2:40:10.200 --> 2:40:15.080]  Pfizer has the liability protection and gets to just make a fortune
[2:40:15.080 --> 2:40:20.280]  And so much money off of these vaccines that were mandated and forced on
[2:40:20.680 --> 2:40:24.520]  On countless numbers of americans and that should have never happened
[2:40:24.840 --> 2:40:32.360]  So when I when it comes to dr. Fauci and and anyone in the cdc and anyone in our government agencies and our federal government
[2:40:32.680 --> 2:40:37.960]  You know what they should be held accountable. Fauci doesn't get to go home. He should be put in jail
[2:40:38.280 --> 2:40:42.600]  That is exactly where that man belongs and other people that were involved in that
[2:40:42.600 --> 2:40:48.440]  They should go to jail because millions of people died and millions of people were forced to take a vaccine
[2:40:48.440 --> 2:40:54.600]  They didn't want to take and have suffered. Um, they suffered miscarriages. They have suffered myocarditis
[2:40:55.160 --> 2:41:01.080]  They have suffered neurological problems. The list goes on and on and on and then there's people that have died and know when it's
[2:41:01.160 --> 2:41:07.000]  You're not allowed to talk about that. Oh, no, you can't talk about it because if you talk about it, then oh, you're spreading
