[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[02:05:05.000 --> 02:05:07.000]  It just gets old, man.
[02:05:07.000 --> 02:05:09.000]  I'm going to shut you down right now, okay?
[02:05:09.000 --> 02:05:16.000]  We're taking calls about your nomination. Do you understand they're having congressional hearings trying to shut us down?
[02:05:16.000 --> 02:05:21.000]  Do you understand I'm ringing the alarm? If that was happening to anybody else, I'd be freaked out.
[02:05:21.000 --> 02:05:25.000]  I mean, what's it going to take? Us being shut down? Is that what you want, Frank?
[02:05:25.000 --> 02:05:26.000]  You know what, Alex?
[02:05:26.000 --> 02:05:34.000]  Hey, I put him on pause again. Hey, Frank, do you understand it's not bragging to say we are the tip of the spear, we're under attack, we need your help.
[02:05:34.000 --> 02:05:39.000]  As much begging as I do, we can barely pay the bills and grow in the face of this.
[02:05:39.000 --> 02:05:46.000]  I'm not going to just stop growth and let them start pushing us backwards. You understand? I need your help, Frank. I need your help, Frank.
[02:05:46.000 --> 02:05:52.000]  Go to InfowarsStore.com right now and help fund the Infowars.
[02:05:52.000 --> 02:05:57.000]  Do you understand I need your help, Frank? Free press needs your help, Frank.
[02:05:57.000 --> 02:05:59.000]  We've got it, we've got it, got it.
[02:05:59.000 --> 02:06:01.000]  The trespassers are coming now.
[02:06:04.000 --> 02:06:07.000]  Waging war on corruption.
[02:06:07.000 --> 02:06:09.000]  All right, you have gold.
[02:06:09.000 --> 02:06:16.000]  It's Alex Jones coming to you live from the front lines of the Infowars.
[02:06:16.000 --> 02:06:32.000]  We've got it, we've got it, we've got it.
[02:06:32.000 --> 02:06:44.000]  Andrei Afanasyev is going to be joining us, a top TV host, one of the top TV hosts in Russia, also a political scientist.
[02:06:44.000 --> 02:06:52.000]  He's going to be getting into the latest attempts to overthrow Russia and attempts to get President Trump to be tricked into war with Russia.
[02:06:52.000 --> 02:07:03.000]  And we're going to meet the Playboy model running against Putin for president, whose father died mysteriously when he was pro-Putin.
[02:07:03.000 --> 02:07:07.000]  I tell you, the Stockholm syndrome isn't just in Stockholm, Sweden, my friends.
[02:07:07.000 --> 02:07:10.000]  So that is coming up, ladies and gentlemen.
[02:07:10.000 --> 02:07:21.000]  This poor lady is being funded by Soros and others, but we're going to look at all of this with a top political analyst on the other side.
[02:07:21.000 --> 02:07:23.000]  But aren't the Russian ladies pretty, though?
[02:07:23.000 --> 02:07:26.000]  I mean, that's quite a nice export when they move over here.
[02:07:26.000 --> 02:07:33.000]  Why are we at war with Russia now that they're Christian and conservative and have twice the resources of African continent?
[02:07:33.000 --> 02:07:37.000]  That's why Trump is a capitalist and he's licking his lips.
[02:07:37.000 --> 02:07:44.000]  I tell you how you get to Russia, you go in there with free market and it's over.
[02:07:44.000 --> 02:07:49.000]  And it'll be like a man and woman climbing in bed together that babies are happily ever married.
[02:07:49.000 --> 02:07:58.000]  That's why the globalist hunchbacks up there on DC are crapping their little breaches because we're on the same parallels.
[02:07:58.000 --> 02:08:00.000]  We're lined up the same geography.
[02:08:00.000 --> 02:08:06.000]  It's Russia helped both times in the founding of our country.
[02:08:06.000 --> 02:08:12.000]  And then our own globalist liberals went and colonized Russia in 1917 and crapped all over it.
[02:08:12.000 --> 02:08:16.000]  And then had their greedy little globalist hands around their necks for 80-something years.
[02:08:16.000 --> 02:08:20.000]  And then now Russia helped us after 9-11, they helped us take out ISIS.
[02:08:20.000 --> 02:08:24.000]  And now Trump's moving trips on the border and sending heavy weapons to Ukraine.
[02:08:24.000 --> 02:08:27.000]  It is a real, real shame.
[02:08:27.000 --> 02:08:30.000]  And, you know, I know why Trump's doing it.
[02:08:30.000 --> 02:08:32.000]  He's very hawkish. He respects the military.
[02:08:32.000 --> 02:08:35.000]  And you can see kind of a globalist view of Russia's got nukes. They're an adversary.
[02:08:35.000 --> 02:08:38.000]  You've got to be strong. You've got to encircle that threat.
[02:08:38.000 --> 02:08:42.000]  You know, don't just think you can make deals with them and then hope they won't use that to the advantage against this.
[02:08:42.000 --> 02:08:50.000]  Russia has signaled for 15 years plus they want economic development and they'll kill the weapons.
[02:08:50.000 --> 02:08:57.000]  But, see, Hollywood on the left and the globalist, they've said they don't like having babies being Christian.
[02:08:57.000 --> 02:09:04.000]  They don't like that. They want, just like MSNBC said at the State of the Union, they said,
[02:09:04.000 --> 02:09:12.000]  you don't talk about churches and you don't talk about families. That's a bygone era. You don't get that anymore.
[02:09:12.000 --> 02:09:18.000]  That was put out. I'm not going to play it again. We've already covered it probably 20 times since last Tuesday night.
[02:09:18.000 --> 02:09:21.000]  But that's the attitude.
[02:09:21.000 --> 02:09:24.000]  We're going to take everything you've got.
[02:09:24.000 --> 02:09:26.000]  And that's what globalists do. They make you poor.
[02:09:26.000 --> 02:09:28.000]  And they're in a race to make you poor.
[02:09:28.000 --> 02:09:31.000]  And Trump is in a race to get wealth into the country.
[02:09:31.000 --> 02:09:36.000]  And he's expanding a very dangerous bubble to do it. But he's like somebody's already dying.
[02:09:36.000 --> 02:09:40.000]  One of my good friends died. He was 33.
[02:09:40.000 --> 02:09:48.000]  He was like an angel once he was dead. He was fighting for his life organ failure from an infected bacteria he got from a small surgery.
[02:09:48.000 --> 02:09:55.000]  And Ryan Baxter, he was sitting there fighting for his life. I was there when he died.
[02:09:55.000 --> 02:10:01.000]  And he was his dad was driving down from Dallas racing to see him. And they came in and they said, look, he's gone already.
[02:10:01.000 --> 02:10:05.000]  They said, we can give him this adrenaline all the rest of it to make kill him right now.
[02:10:05.000 --> 02:10:08.000]  But he'll bring it back up for maybe 20, 30 minutes.
[02:10:08.000 --> 02:10:11.000]  So you guys can say, Baxter, he was gone coma.
[02:10:11.000 --> 02:10:14.000]  We said, hit him with it because his dad was pulling up right as they spoke.
[02:10:14.000 --> 02:10:17.000]  Hit him with that. His eyes came back. He said he was ventilated.
[02:10:17.000 --> 02:10:20.000]  But he was saying, I don't want to die. He was there.
[02:10:20.000 --> 02:10:25.000]  And then all of a sudden, he passed out again before his dad came in.
[02:10:25.000 --> 02:10:28.000]  And I sat there with him fighting for his life sitting there like that.
[02:10:28.000 --> 02:10:34.000]  And that's what Trump's doing, man. He's just injecting adrenaline, just hitting the school.
[02:10:34.000 --> 02:10:36.000]  Trying to get our heart going.
[02:10:36.000 --> 02:10:40.000]  And all the Democrats and all were trying to pull his hands off and they're fighting him.
[02:10:40.000 --> 02:10:44.000]  But we've got a chance to get the engine going again and a bunch of black smoke comes out.
[02:10:44.000 --> 02:10:48.000]  But we can get going down the road. We're not as far gone as my friend was.
[02:10:48.000 --> 02:10:51.000]  And Trump hadn't used all the adrenaline yet.
[02:10:51.000 --> 02:10:55.000]  We're starting to come back and the little gremlins are in there trying to suck our blood and bring us down.
[02:10:55.000 --> 02:10:59.000]  And Trump is loading up the big syringe, man.
[02:10:59.000 --> 02:11:02.000]  And it's like, what are we going to do?
[02:11:02.000 --> 02:11:04.000]  Because it may make us have a giant heart attack.
[02:11:04.000 --> 02:11:06.000]  It may blow the whole economy the other way.
[02:11:06.000 --> 02:11:09.000]  I know exactly what Trump's doing.
[02:11:09.000 --> 02:11:14.000]  And he just wants to bring America back and prove it.
[02:11:14.000 --> 02:11:20.000]  So he's like, fine, you want Russia? Move the troops in. Send in the weapons. Attack them.
[02:11:20.000 --> 02:11:24.000]  That's still not enough, is it?
[02:11:24.000 --> 02:11:27.000]  But we have nuclear war with Russia that won't be in America anyways.
[02:11:27.000 --> 02:11:31.000]  So I know exactly what Trump's doing.
[02:11:31.000 --> 02:11:36.000]  He's got U.S. advisors in their help with the Ukrainians in street battles with the Russians,
[02:11:36.000 --> 02:11:39.000]  right up against the border with Russia in eastern Ukraine.
[02:11:39.000 --> 02:11:42.000]  Right now to prove he's not a Russian agent.
[02:11:42.000 --> 02:11:47.000]  When you got Hillary Clinton and all these dirt bags are the ones that were on the Russian payroll
[02:11:47.000 --> 02:11:50.000]  because they will come by you off to get your uranium.
[02:11:50.000 --> 02:11:54.000]  What do you think the U.S. does? Every government does this.
[02:11:54.000 --> 02:11:58.000]  The difference is the communist Chinese are the real threat and they're the ones derailing the trains.
[02:11:58.000 --> 02:12:04.000]  I've got that from multiple sources. They're the ones EMPing and shutting down the ships.
[02:12:04.000 --> 02:12:10.000]  And they got freighters nearby that then ram them that are under communist party,
[02:12:10.000 --> 02:12:19.000]  Chinese party military flags. They don't even hide it.
[02:12:19.000 --> 02:12:22.000]  So we're at war with China right now.
[02:12:22.000 --> 02:12:28.000]  And China owns Hollywood and it's just, just, I mean, that's why last year, not this year,
[02:12:28.000 --> 02:12:34.000]  but last year, Davos, they sent the Chinese president, never been there.
[02:12:34.000 --> 02:12:38.000]  And he said, I will defeat Trump. I will defeat America.
[02:12:38.000 --> 02:12:41.000]  We will bring in world government. These are quotes.
[02:12:41.000 --> 02:12:46.000]  And Junker, the heir to the Nazi fortune, his dad was the right-hand man of Hitler,
[02:12:46.000 --> 02:12:49.000]  the actual power behind the throne that funded the whole deal.
[02:12:49.000 --> 02:12:52.000]  That and the Mingolas were involved as well.
[02:12:52.000 --> 02:12:55.000]  They just let Mingola go for no reason. He was German royalty.
[02:12:55.000 --> 02:12:59.000]  And so is Junker. He's related to the Queen of England, all of them.
[02:12:59.000 --> 02:13:05.000]  And they shook hands and pledged and then Junker after the meeting said, we'll stop Trump.
[02:13:05.000 --> 02:13:08.000]  Remember, it's in January, right after he got sworn in.
[02:13:08.000 --> 02:13:10.000]  He goes, we will defeat America with China's help.
[02:13:10.000 --> 02:13:15.000]  I mean, do you think the Nazi air with the Nazi collaborator, Soros,
[02:13:15.000 --> 02:13:20.000]  with the communist Chinese dictator that sells political dissidents organs,
[02:13:20.000 --> 02:13:24.000]  are on TV saying we will defeat America.
[02:13:24.000 --> 02:13:28.000]  America's done the Chinese centuries here.
[02:13:28.000 --> 02:13:32.000]  And Europe's done. We're bringing in Muslims.
[02:13:32.000 --> 02:13:37.000]  You'd think every American would turn aside from their dumb politics and say that's wrong,
[02:13:37.000 --> 02:13:43.000]  but no, because nobody's telling them but us.
[02:13:43.000 --> 02:13:46.000]  And they know if the word gets out, finally it is.
[02:13:46.000 --> 02:13:51.000]  Even in Bezos's Washington Post, they're catching communist Chinese government intelligence agencies.
[02:13:51.000 --> 02:13:55.000]  They caught them basically running the University of Texas engineering department.
[02:13:55.000 --> 02:13:57.000]  What do you, that's DARPA over there.
[02:13:57.000 --> 02:14:00.000]  Oh yeah, they caught them running the DARPA facility underground.
[02:14:00.000 --> 02:14:05.000]  They got nuclear reactors, they got, I might even get into what I've been told they got over there.
[02:14:05.000 --> 02:14:07.000]  And I've confirmed it as well. They got it all.
[02:14:07.000 --> 02:14:10.000]  And it's all funny to them.
[02:14:10.000 --> 02:14:14.000]  And so, we're totally penetrated.
[02:14:14.000 --> 02:14:16.000]  We got the communist Chinese on our backs.
[02:14:16.000 --> 02:14:17.000]  They're on their own people's backs.
[02:14:17.000 --> 02:14:20.000]  We got Hollywood, Democratic Party scum, cowardly blue bloods.
[02:14:20.000 --> 02:14:22.000]  They're in the Republican Party, they only care about themselves.
[02:14:22.000 --> 02:14:28.000]  But here comes Nunez and a few other people that are willing to fight.
[02:14:28.000 --> 02:14:32.000]  And President Trump and the tide turns just like that.
[02:14:32.000 --> 02:14:36.000]  And then we've got all these other articles here.
[02:14:36.000 --> 02:14:39.000]  There's a Kit Daniels article up on infowars.com,
[02:14:39.000 --> 02:14:41.000]  study reveals science behind soy boys,
[02:14:41.000 --> 02:14:46.000]  gender-bending chemicals found in 86% of teenagers in Europe and the United States,
[02:14:46.000 --> 02:14:51.000]  turning men feminine, turning women hyper feminine, and accelerating breast cancer.
[02:14:51.000 --> 02:14:53.000]  Yep, there's your source up.
[02:14:53.000 --> 02:14:58.000]  Women would think, oh, a bunch of extra estrogen and stuff, I'm going to be super feminine.
[02:14:58.000 --> 02:15:02.000]  No, it accelerates your aging and gives you cyst on your ovaries,
[02:15:02.000 --> 02:15:04.000]  gives you accelerated endometriosis.
[02:15:04.000 --> 02:15:06.000]  I mean, they're talking like I've told you in studies,
[02:15:06.000 --> 02:15:11.000]  a 40-year-old woman in the U.S. on average has got like a 80-year-old woman's ears
[02:15:11.000 --> 02:15:14.000]  and her breasts are like a 100-year-old woman's.
[02:15:14.000 --> 02:15:16.000]  You're like, well, it'll look like it.
[02:15:16.000 --> 02:15:19.000]  No, the cellular mutations are.
[02:15:19.000 --> 02:15:24.000]  Because you're drinking liposate, sweetheart, and it's going to turn your man into a woman,
[02:15:24.000 --> 02:15:27.000]  and it's going to turn you into dead.
[02:15:27.000 --> 02:15:29.000]  You understand?
[02:15:29.000 --> 02:15:32.000]  It's going to turn your man into a woman,
[02:15:32.000 --> 02:15:34.000]  and it's going to turn you into six feet under.
[02:15:34.000 --> 02:15:36.000]  And that's all mainstream news.
[02:15:36.000 --> 02:15:39.000]  AP Reuters Daily Mail, you name it today.
[02:15:39.000 --> 02:15:43.000]  Next year's news today, next decade's news today.
[02:15:43.000 --> 02:15:45.000]  And I'm not proud of that fact.
[02:15:45.000 --> 02:15:48.000]  We're just stating the facts here and fighting for humanity.
[02:15:48.000 --> 02:15:51.000]  Because you know I don't want my three girls to die like this.
[02:15:51.000 --> 02:16:20.000]  We're just stating the facts here and fighting for humanity.
[02:16:21.000 --> 02:16:50.000]  We're just stating the facts here and fighting for humanity.
[02:16:51.000 --> 02:16:55.000]  We're calling 1-800-340-7091 for a catalog.
[02:17:22.000 --> 02:17:28.000]  The answer to being in control of your own health care is
[02:17:28.000 --> 02:17:30.000]  Freedom from Insurance.
[02:17:30.000 --> 02:17:36.000]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[02:17:36.000 --> 02:17:41.000]  Individual share amounts begin at $107 a month and $347 for families.
[02:17:41.000 --> 02:17:43.000]  Choose from three health sharing programs.
[02:17:43.000 --> 02:17:45.000]  Holistic treatments may be eligible for sharing.
[02:17:45.000 --> 02:17:46.000]  See guidelines.
[02:17:46.000 --> 02:17:49.000]  Discount programs available for dental, vision, and pharmacy.
[02:17:49.000 --> 02:17:51.000]  Go to libertyoncall.org.
[02:17:51.000 --> 02:18:20.000]  That's libertyoncall.org.
[02:18:21.000 --> 02:18:44.000]  That's libertyoncall.org.
[02:18:44.000 --> 02:18:51.000]  Secret 12 is an easy way to increase your vitamin D12 intake.
[02:18:51.000 --> 02:18:54.000]  Head to infowarslife.com and support optimal brain and body function with Secret 12.
[02:18:54.000 --> 02:19:23.000]  That's infowarslife.com.
[02:19:24.000 --> 02:19:29.000]  That's the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine.
[02:19:29.000 --> 02:19:32.000]  You cannot beat that for children and adults.
[02:19:32.000 --> 02:19:34.000]  We've got the best mouthwash designed by Dr. Jones.
[02:19:34.000 --> 02:19:37.000]  That's my dad with colloidal silver and iodine as well.
[02:19:37.000 --> 02:19:41.000]  infowarslife.com or triple-A-253-3139.
[02:19:41.000 --> 02:19:44.000]  And your purchase of the products stands with us.
[02:19:44.000 --> 02:19:45.000]  Stands with America.
[02:19:45.000 --> 02:19:46.000]  Stands with Trump.
[02:19:46.000 --> 02:19:49.000]  Stands against the globalists and their satanic pedophile armies.
[02:19:49.000 --> 02:19:50.000]  And that's who they are.
[02:19:50.000 --> 02:19:51.000]  And they know we know who they are.
[02:19:51.000 --> 02:19:59.000]  And they're coming back against us so we need your support.
[02:19:59.000 --> 02:20:07.000]  You're listening to the Alex Jones Show.
[02:20:07.000 --> 02:20:25.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:20:25.000 --> 02:20:29.000]  Andre Apa Nasyev is our guest for the next 45 minutes.
[02:20:29.000 --> 02:20:32.000]  And I don't watch a lot of Russian television.
[02:20:32.000 --> 02:20:34.000]  I don't watch a lot of British television or German TV.
[02:20:34.000 --> 02:20:36.000]  But I recognize this guy.
[02:20:36.000 --> 02:20:38.000]  He's all over national television.
[02:20:38.000 --> 02:20:42.000]  He's a journalist, TV host, and head of political department
[02:20:42.000 --> 02:20:45.000]  at Russia's first independent pro-Christian conservative
[02:20:45.000 --> 02:20:46.000]  political TV channel.
[02:20:46.000 --> 02:20:49.000]  Previously worked for RT and currently authors and hosts
[02:20:49.000 --> 02:20:54.000]  the show Russian Answer, a daily digest and analysis
[02:20:54.000 --> 02:20:56.000]  of the most important political news.
[02:20:56.000 --> 02:20:59.000]  As political scientist, his interest in European,
[02:20:59.000 --> 02:21:01.000]  U.S. and Middle East policies and studies.
[02:21:01.000 --> 02:21:04.000]  He specializes in European regionalism and populism.
[02:21:04.000 --> 02:21:08.000]  He's a guest speaker at political shows including BBC,
[02:21:08.000 --> 02:21:11.000]  TRT in Turkey, M6 France, as well as Russian
[02:21:11.000 --> 02:21:13.000]  International Affairs Council.
[02:21:13.000 --> 02:21:16.000]  He regularly lectures on geopolitics, media warfare,
[02:21:16.000 --> 02:21:17.000]  and political philosophy.
[02:21:17.000 --> 02:21:19.000]  And before I go to it, let me say this.
[02:21:19.000 --> 02:21:22.000]  They have said, because I've been on RT,
[02:21:22.000 --> 02:21:25.000]  that I must be a Russian agent in Congress.
[02:21:25.000 --> 02:21:28.000]  Adam Schiff has said that in a report they put out.
[02:21:28.000 --> 02:21:30.000]  I was in there that I've been on Russian TV.
[02:21:30.000 --> 02:21:32.000]  Schiff's been on RT more than I have.
[02:21:32.000 --> 02:21:34.000]  We played clips of it earlier.
[02:21:34.000 --> 02:21:37.000]  So this idea is keep us apart, don't be diplomatic,
[02:21:37.000 --> 02:21:38.000]  don't talk to each other.
[02:21:38.000 --> 02:21:41.000]  That's what causes wars and that's what cults do.
[02:21:41.000 --> 02:21:47.000]  But then expanding on that, Trump's big failure,
[02:21:47.000 --> 02:21:49.000]  even though I'm admiring, he's a nationalist,
[02:21:49.000 --> 02:21:53.000]  he's a patriot, he has been pushed into weapons to Ukraine
[02:21:53.000 --> 02:21:56.000]  even though his platform at the RNC said he wouldn't.
[02:21:56.000 --> 02:21:58.000]  And circling Russia and not giving Russia credit
[02:21:58.000 --> 02:22:02.000]  for being 90% of the takeout of ISIS.
[02:22:02.000 --> 02:22:06.000]  And that's the one area Trump who normally can't be bullied
[02:22:06.000 --> 02:22:08.000]  is being bullied and it's because it's the neocons,
[02:22:08.000 --> 02:22:11.000]  the military industrial complex, not just Hollywood and the media.
[02:22:11.000 --> 02:22:13.000]  It's that combination that's doing it.
[02:22:13.000 --> 02:22:17.000]  And it's endangering our world while China has hundreds of times
[02:22:17.000 --> 02:22:20.000]  of influence that's admitted domestically in Hollywood
[02:22:20.000 --> 02:22:22.000]  and media universities.
[02:22:22.000 --> 02:22:25.000]  The Washington Post admits every major state funding university
[02:22:25.000 --> 02:22:28.000]  has been penetrated by the Chinese intelligence bureaus
[02:22:28.000 --> 02:22:30.000]  and I'm not looking to start a fight with them.
[02:22:30.000 --> 02:22:32.000]  The point is, is that they're the main ones
[02:22:32.000 --> 02:22:35.000]  putting the propaganda out so that, you know,
[02:22:35.000 --> 02:22:37.000]  that's using, I guess, art of war stuff.
[02:22:37.000 --> 02:22:39.000]  While we're busy fighting with Russia,
[02:22:39.000 --> 02:22:41.000]  they're taking over the entire planet.
[02:22:41.000 --> 02:22:44.000]  But enough intro by me, that's where I stand on this.
[02:22:44.000 --> 02:22:47.000]  I see Russia becoming Christian, conservative,
[02:22:47.000 --> 02:22:49.000]  cutting taxes, coming back from the dead
[02:22:49.000 --> 02:22:52.000]  under the same globalist liberal brainwashing
[02:22:52.000 --> 02:22:54.000]  exported from New York and London in 1917.
[02:22:54.000 --> 02:22:56.000]  That's what I see as someone who's never been to Russia,
[02:22:56.000 --> 02:22:57.000]  but studied history.
[02:22:57.000 --> 02:22:59.000]  And I see them coming back from the dead
[02:22:59.000 --> 02:23:01.000]  as we hopefully will come back from the dead
[02:23:01.000 --> 02:23:04.000]  without having to go through the nightmares
[02:23:04.000 --> 02:23:06.000]  that Chuck E. Schumer and others would put us under.
[02:23:06.000 --> 02:23:09.000]  So I'm going to try to shut up and let Andre,
[02:23:09.000 --> 02:23:13.000]  from his own perspective, big picture where Russia is,
[02:23:13.000 --> 02:23:17.000]  who they really are, versus what we hear about in the media.
[02:23:17.000 --> 02:23:20.000]  Because, again, I see from studying the real Putin,
[02:23:20.000 --> 02:23:23.000]  trying to stabilize the country, trying to stabilize families.
[02:23:23.000 --> 02:23:26.000]  The opposite of Hollywood, and a lot of big Hollywood people said,
[02:23:26.000 --> 02:23:30.000]  Hollywood hates Russia because it's Christian now,
[02:23:30.000 --> 02:23:33.000]  and not like their little plaything when Bernie Sanders went there
[02:23:33.000 --> 02:23:36.000]  in the 70s for his honeymoon in the middle of Moscow,
[02:23:36.000 --> 02:23:39.000]  but you couldn't go there if you weren't a godless atheist,
[02:23:39.000 --> 02:23:40.000]  you know, whatever.
[02:23:40.000 --> 02:23:42.000]  So, again, the left wants to persecute Americans
[02:23:42.000 --> 02:23:44.000]  like they did in Russia.
[02:23:44.000 --> 02:23:46.000]  They want to persecute Christians.
[02:23:46.000 --> 02:23:47.000]  That's my view.
[02:23:47.000 --> 02:23:50.000]  Am I wrong, Andre Afanasyev?
[02:23:50.000 --> 02:23:52.000]  Is that correct or is that wrong?
[02:23:52.000 --> 02:23:55.000]  I'll just stand on the big picture.
[02:23:55.000 --> 02:23:56.000]  Alex, thank you so much.
[02:23:56.000 --> 02:23:58.000]  Yes, my name is Andre Afanasyev,
[02:23:58.000 --> 02:24:01.000]  and I'm really happy to be with you and with your viewers,
[02:24:01.000 --> 02:24:03.000]  the Infowars team.
[02:24:03.000 --> 02:24:05.000]  So, of course, you're right,
[02:24:05.000 --> 02:24:09.000]  and we've been covering the U.S. policies for very long.
[02:24:09.000 --> 02:24:13.000]  I've myself been an international journalist for almost 10 years already.
[02:24:13.000 --> 02:24:18.000]  And I can tell you that we know really more about U.S. here in Russia
[02:24:18.000 --> 02:24:21.000]  than you know about us, and that's a big problem.
[02:24:21.000 --> 02:24:26.000]  And I can tell you that judging by the events of the last couple of years,
[02:24:26.000 --> 02:24:33.000]  I can tell you that U.S. now is in a state where Russia was in 1917.
[02:24:33.000 --> 02:24:37.000]  You know that in 1917 was a terrible revolution,
[02:24:37.000 --> 02:24:44.000]  and our people was technically conquered by a group of radicals called Bolsheviks.
[02:24:44.000 --> 02:24:48.000]  They were fanatics, ultra-leftists,
[02:24:48.000 --> 02:24:53.000]  and for more than 70 years we've been suffering from this.
[02:24:53.000 --> 02:25:00.000]  And what we see now with that U.S. and Trump is trying to fight the very same issue.
[02:25:00.000 --> 02:25:06.000]  U.S., to my mind, is on the verge of this happening really, really seriously.
[02:25:06.000 --> 02:25:11.000]  I'm not talking about that all the population of the United States is under control,
[02:25:11.000 --> 02:25:16.000]  but definitely, as you said, the main infrastructure, the propaganda instruments,
[02:25:16.000 --> 02:25:21.000]  the financial instruments, of course, are definitely not in hands of American people.
[02:25:21.000 --> 02:25:30.000]  And the thing is that for more than 70 years, for the period of Soviet Union,
[02:25:30.000 --> 02:25:34.000]  Russia was not defending its national interests.
[02:25:34.000 --> 02:25:35.000]  It's very important.
[02:25:35.000 --> 02:25:41.000]  The Soviet Russia was working and defending for the globalist ideology of Bolshevism.
[02:25:41.000 --> 02:25:50.000]  And our people and the whole, the old peoples of Soviet Russia, the 300 million people were working for that,
[02:25:50.000 --> 02:25:54.000]  were some kind of an owner of a parasite.
[02:25:54.000 --> 02:25:59.000]  And we managed to get rid of it in 1991.
[02:25:59.000 --> 02:26:03.000]  We also suffered a lot of turmoil, the collapse of the Soviet Union,
[02:26:03.000 --> 02:26:07.000]  we lost a lot of territories, but still we managed to preserve ourselves, our sovereignty.
[02:26:07.000 --> 02:26:14.000]  And I can tell you that U.S. seems to me like in the process of also spitting out this parasite.
[02:26:14.000 --> 02:26:20.000]  At least a lot of people have woken up, as I can see now, judging by media,
[02:26:20.000 --> 02:26:23.000]  especially independent and fair media like yours.
[02:26:23.000 --> 02:26:31.000]  And I can see that also with the victory of Donald Trump in late 2016,
[02:26:31.000 --> 02:26:39.000]  we see this process of fighting against this parasite, against inside American society.
[02:26:39.000 --> 02:26:43.000]  And it seems to me that it's a tough fight.
[02:26:43.000 --> 02:26:47.000]  And by now, here from Moscow, we cannot tell who will win.
[02:26:47.000 --> 02:26:54.000]  We hope that the real people, the real Americans, the traditionals, the Christians will win.
[02:26:54.000 --> 02:27:02.000]  But the events of 2017 say that it's a real tough fight, but we support you.
[02:27:02.000 --> 02:27:07.000]  Wow. Again, I've just read Sultanetsen's writings, but also a lot of mainline writings and studies.
[02:27:07.000 --> 02:27:11.000]  And it's very clear, it's mainline history that a bunch of liberal, ulcerative communists
[02:27:11.000 --> 02:27:15.000]  couldn't overthrow Germany, they couldn't overthrow England or the U.S.
[02:27:15.000 --> 02:27:18.000]  So they got together with big financing by J.P. Morgan and others,
[02:27:18.000 --> 02:27:24.000]  and went over through Moscow only, kind of like Antifa, got control of that,
[02:27:24.000 --> 02:27:27.000]  and then expanded out for decades before they got full control,
[02:27:27.000 --> 02:27:32.000]  then used the might of Russia, its resources and people, to then persecute Poland, Ukraine,
[02:27:32.000 --> 02:27:39.000]  expand all over, expand into Cuba and do all this while being directed by groups in London and the U.S.
[02:27:39.000 --> 02:27:44.000]  And even George Arwell went public before he died and said this and apologized and said,
[02:27:44.000 --> 02:27:49.000]  this is horrible, we've got to stop this, but this big secret has been kept from the people.
[02:27:49.000 --> 02:27:55.000]  And so what you're saying is, and it's true, the U.S. is trying to pull out of Bolshevism
[02:27:55.000 --> 02:28:03.000]  before we fully go into it, and the nightmare ride that you and your Russian ancestors had to endure.
[02:28:03.000 --> 02:28:09.000]  Yes, definitely. And we must understand, as I say to my students,
[02:28:09.000 --> 02:28:15.000]  that the world now is in state of, as I call it, global civil war.
[02:28:15.000 --> 02:28:23.000]  It means that technically all the world now, with the technology and with the globalized informational infrastructure,
[02:28:23.000 --> 02:28:35.000]  is a battlefield of ideas. And it's a fight between globalists that support the idea of global government controlled by financial elites
[02:28:35.000 --> 02:28:40.000]  and traditionalists and conservatives, Christians, who you can call us whatever,
[02:28:40.000 --> 02:28:48.000]  people who want to preserve their national identity, people who want to live according to the rules.
[02:28:48.000 --> 02:28:52.000]  Hold on, stay there, this is so powerful. And you're hearing what is on national Russian TV.
[02:28:52.000 --> 02:29:06.000]  That's why they're so scared of Russia, folks, they're awake.
[02:29:23.000 --> 02:29:29.000]  One out of four people listening to my voice right now could die from heart disease.
[02:29:29.000 --> 02:29:34.000]  This could be your last year, and you don't even know it because you don't know the early warning signs.
[02:29:34.000 --> 02:29:37.000]  If you think you're safe because your cholesterol levels are normal, think again,
[02:29:37.000 --> 02:29:42.000]  because studies show that 75% of heart attack patients also had normal cholesterol levels.
[02:29:42.000 --> 02:29:47.000]  Let me introduce you to Strauss Heart Drops, a world famous heart and brain formula made in Canada.
[02:29:47.000 --> 02:29:51.000]  It's time tested and will give you clinical results in 90 days or your money back.
[02:29:51.000 --> 02:29:57.000]  Learn more at scienceofheartdisease.com. They are shipping free this month.
[02:29:57.000 --> 02:30:00.000]  InfoWarsLive is bringing you a breakthrough in modern medicine.
[02:30:00.000 --> 02:30:05.000]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms,
[02:30:05.000 --> 02:30:12.000]  including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[02:30:12.000 --> 02:30:18.000]  This is pollen block. In the 1960s, researchers in France noticed that people who ate certain quail eggs
[02:30:18.000 --> 02:30:26.000]  from specific farms experienced less seasonal distress symptoms, like runny nose, itchy watery eyes, and excessive mucus production.
[02:30:26.000 --> 02:30:30.000]  They began studying the effects in their public trials.
