[00:00:04.735 --> 00:00:06.256]  It is Wednesday.
[02:02:19.154 --> 02:02:21.576]  And there were 10 men on the plane.
[02:02:21.576 --> 02:02:22.997]  Tom was the oldest.
[02:02:22.997 --> 02:02:25.459]  He was 23 years old.
[02:02:25.459 --> 02:02:27.560]  And he flew 35 missions over Germany.
[02:02:27.560 --> 02:02:30.903]  That qualifies him for the Lucky Bastards Club.
[02:02:30.903 --> 02:02:32.144]  That's way over Catch-22.
[02:02:32.144 --> 02:02:34.846]  So did he volunteer to go past the 22?
[02:02:34.846 --> 02:02:36.687]  I don't think they had a choice.
[02:02:36.687 --> 02:02:38.749]  That's my understanding of it.
[02:02:40.137 --> 02:02:55.090]  You know, as Audie Murphy says, I'm Audie Murphy, Ronald Reagan and John Wayne spent the war in Hollywood, and guys like Audie Murphy and those that didn't come back fought to buy the freedom that the rest of us cherish and abuse.
[02:02:56.786 --> 02:03:01.549]  Well, you know, I'm not big on the Texas Worship Club, but I am proud of our state.
[02:03:01.549 --> 02:03:03.571]  And look at Audie Murphy from Texas.
[02:03:03.571 --> 02:03:04.251]  So many other people.
[02:03:04.251 --> 02:03:07.533]  I've talked to a lot of old veterans from the Army Marine Corps.
[02:03:07.533 --> 02:03:09.995]  They say that the best soldiers come from Texas.
[02:03:09.995 --> 02:03:13.657]  Yeah, I've been reading a lot about Audie, and that appears to be true.
[02:03:13.657 --> 02:03:17.100]  And you know, Audie was rejected by every branch of the service.
[02:03:17.100 --> 02:03:18.521]  He was too small.
[02:03:18.521 --> 02:03:23.424]  He was 5 foot 5 and weighed 110 pounds and so forth.
[02:03:23.424 --> 02:03:25.946]  But it didn't take long to see what he was really made of.
[02:03:26.906 --> 02:03:55.825]  and uh... there's a great story we should have told this I'll do it quickly, but when Audie was uh... uh... fighting in France and he woke up one night in the forest and his hair was frozen to the ground and they told him you're in charge, the officer's been killed he only had eighteen men to man the front lines and he gets up there, it's outside of a little village in France and there's two hundred and fifty snow-caped clad Germans with six tanks rounded the corner and Audie told all his men to go into the forest
[02:03:56.989 --> 02:03:58.334]  And he fought them off himself.
[02:03:58.334 --> 02:04:01.766]  He jumped on top of the only tank destroyer that he had, which was on fire.
[02:04:02.705 --> 02:04:09.791]  And held them all off, and he was on the phone calling an artillery, and they said, uh, Audie, how close are the Krauts?
[02:04:09.791 --> 02:04:13.313]  And he says, uh, hold on a minute, I'll let one of the bastards speak to you.
[02:04:13.313 --> 02:04:16.236]  They're 10 yards away.
[02:04:16.236 --> 02:04:21.780]  Anyway, he killed like 100, 150 of them, and for that he won the Medal of Honor.
[02:04:21.780 --> 02:04:23.321]  Well, that's certainly a fighting spirit.
[02:04:23.321 --> 02:04:25.643]  He not only had a lot of courage, he also was charmed.
[02:04:25.643 --> 02:04:30.667]  Yeah, he was very lucky, but he represents just a...
[02:04:32.484 --> 02:04:42.909]  Greatness in this country that and I'm sure Audie would say that the young generation has it that you know there that if the chips were really down they would deliver too.
[02:04:42.909 --> 02:04:45.831]  Absolutely or it's my like Chuck Yeager from West Virginia.
[02:04:45.831 --> 02:04:54.575]  We'll be right back with a true Texas original Kinky Friedman and we will get into his run for governor and a lot more coming up.
[02:04:54.575 --> 02:04:55.676]  Stay with us ladies and gentlemen.
[02:05:00.819 --> 02:05:06.684]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[02:05:06.684 --> 02:05:07.986]  Inner Health Botanicals.
[02:05:07.986 --> 02:05:11.869]  This company produces the highest quality superfood around called Inner Food.
[02:05:12.250 --> 02:05:14.111]  My wife just loves the stuff.
[02:05:14.111 --> 02:05:21.173]  And now, the Health Ranger, Mike Adams, has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[02:05:21.173 --> 02:05:24.434]  InnerFood is loaded with 20 great organic ingredients.
[02:05:24.434 --> 02:05:26.154]  No fillers, no sweeteners.
[02:05:26.154 --> 02:05:30.875]  It would be impossible to blend this up for a better price, and their formula really works.
[02:05:30.875 --> 02:05:33.696]  This is the real thing for the great health you need.
[02:05:33.696 --> 02:05:39.598]  Try the NutriCafe, their great organic coffee infused with polysaccharides that boosts the immune system.
[02:05:39.958 --> 02:05:42.361]  A truly healthy coffee that tastes great.
[02:05:42.361 --> 02:05:44.843]  And take it from me, folks, it really does taste great.
[02:05:44.843 --> 02:05:46.925]  Don't forget to try their other great products.
[02:05:46.925 --> 02:05:52.631]  Go to www.enerfood.com.
[02:05:52.631 --> 02:05:57.276]  That's www.enerfood.com.
[02:05:57.276 --> 02:06:00.199]  Or just click on their banner on infowars.com for special pricing.
[02:06:01.445 --> 02:06:06.669]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[02:06:06.669 --> 02:06:10.692]  Number one, new climate legislation could easily double or triple your electric bill.
[02:06:10.692 --> 02:06:16.597]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[02:06:16.597 --> 02:06:17.237]  It's true.
[02:06:17.237 --> 02:06:21.661]  Total government control of electricity in the name of smart grid technology is coming.
[02:06:21.661 --> 02:06:28.206]  Number three, in some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[02:06:28.206 --> 02:06:28.646]  Number four,
[02:06:28.866 --> 02:06:31.771]  The hurricane and dangerous summer storm season is here again.
[02:06:31.771 --> 02:06:35.055]  Every year, thousands of families lose their power from weather-related outages.
[02:06:35.055 --> 02:06:39.162]  Folks, I really believe in the solar power generators offered by Solutions From Science.
[02:06:44.309 --> 02:06:45.850]  A long time sponsor of ours.
[02:06:45.850 --> 02:06:50.552]  You can get more information at www.mysolarbackup.com.
[02:06:50.552 --> 02:06:52.333]  That's mysolarbackup.com.
[02:06:52.333 --> 02:06:54.894]  Remember, the government doesn't own the sun yet.
[02:06:54.894 --> 02:06:58.476]  So go to mysolarbackup.com or call toll free 877-327-0365.
[02:06:58.476 --> 02:07:03.678]  Hello friends, this is Alex Jones.
[02:07:03.678 --> 02:07:07.500]  I've told you for a long time it's important to be self-sufficient and today that's more
[02:07:14.497 --> 02:07:18.009]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[02:07:19.955 --> 02:07:20.896]  We're good to go.
[02:07:45.413 --> 02:07:51.755]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[02:07:51.755 --> 02:07:56.756]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[02:07:56.756 --> 02:07:57.896]  Take action today.
[02:07:57.896 --> 02:08:02.577]  The first step is getting storable food.
[02:08:02.577 --> 02:08:09.199]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:08:09.199 --> 02:08:12.180]  It's Alex Jones and the GCN Radio Network.
[02:08:13.752 --> 02:08:22.696]  You know, I like Kinky Friedman, and his dad and my grandpa were in the war together, so I gotta be nice to him anyways, but he's plying me with cigars during the breaks.
[02:08:22.696 --> 02:08:32.520]  Listen, now I wish I had a cigar, an official cigar just made for Alex Jones with me on it, but Kinky actually has that, and in fact, he even sells them.
[02:08:32.520 --> 02:08:37.042]  Tell folks about your love of cigars and your website, and then we'll get into the serious issues.
[02:08:37.042 --> 02:08:38.323]  Well, I think cigars are good.
[02:08:38.323 --> 02:08:41.264]  I always say, cigarettes bad, cigar good.
[02:08:41.264 --> 02:08:42.625]  That's my message to young people.
[02:08:43.504 --> 02:08:45.926]  And, uh, cigars are good for you and they help you live longer.
[02:08:45.926 --> 02:08:48.748]  And if there's any research done on it, you'll see that.
[02:08:48.748 --> 02:08:52.931]  That the people that smoke cigars, like Winston Churchill, lived to be 90.
[02:08:52.931 --> 02:08:55.913]  You know, uh, Mark Twain, uh, Thomas Edison.
[02:08:55.913 --> 02:08:56.693]  George Burns!
[02:08:56.693 --> 02:08:57.634]  George Burns.
[02:08:57.634 --> 02:08:58.875]  There's lots of examples of it.
[02:08:58.875 --> 02:09:06.640]  But, um, basically, I've been against, uh, these, uh, smoking bans and, and I just don't think it's, it's un-American, for one thing.
[02:09:06.640 --> 02:09:07.401]  And for another, um,
[02:09:09.122 --> 02:09:12.724]  They're always saying, you know, they are a bunch of hall monitors, Alex.
[02:09:12.724 --> 02:09:13.544]  They're hall monitors.
[02:09:13.544 --> 02:09:14.265]  Control freaks!
[02:09:14.265 --> 02:09:15.125]  That's all they are.
[02:09:15.125 --> 02:09:17.086]  And they're saying, we're doing it for your health, Kinky.
[02:09:17.086 --> 02:09:18.507]  We're doing it for your health.
[02:09:18.507 --> 02:09:29.992]  And the truth is, there are six countries in this world, I'll name them, Israel, Japan, Spain, Portugal, Italy, and France.
[02:09:29.992 --> 02:09:37.616]  All of them have higher smoking per capita than the United States of America, and all of them have longer life expectancy.
[02:09:38.423 --> 02:09:42.110]  Yeah, I've seen those statistics.
[02:09:42.110 --> 02:09:44.575]  How do the French drink and smoke and everything?
[02:09:44.575 --> 02:09:45.577]  Here's what I conclude.
[02:09:45.577 --> 02:09:47.020]  Speaking English is killing us.
[02:09:50.087 --> 02:09:51.128]  Oh, my God.
[02:09:51.128 --> 02:09:53.190]  So, I mean, really... I think TV's killing us.
[02:09:53.190 --> 02:09:57.453]  I'll tell you, America should be the Alex Jones restaurant, no smoking.
[02:09:57.453 --> 02:10:00.776]  Right next door, Kinky's Cafe, smoking allowed.
[02:10:00.776 --> 02:10:02.617]  That's the way America ought to be.
[02:10:02.617 --> 02:10:05.620]  That would be the easy, you know, American way to go.
[02:10:05.620 --> 02:10:06.160]  But we don't do it.
[02:10:06.160 --> 02:10:08.342]  But, you know, it's killed these restaurants and bars.
[02:10:08.342 --> 02:10:10.203]  It's killed every mom-and-pop place, Alex.
[02:10:10.203 --> 02:10:10.704]  Yes, it has.
[02:10:11.184 --> 02:10:22.471]  Because people stay home and smoke, you know, smoke their cigars or whatever instead of going to some bar and now they have the cops coming in hotel bars when people are staying there, businessmen, and arresting them for three beers?
[02:10:22.471 --> 02:10:24.553]  What would happen if you were governor?
[02:10:24.553 --> 02:10:25.433]  That would not happen.
[02:10:25.433 --> 02:10:26.734]  We'd have to kill all that officers.
[02:10:26.734 --> 02:10:28.555]  That would not happen, yeah.
[02:10:28.555 --> 02:10:30.136]  That was a low point.
[02:10:30.136 --> 02:10:31.617]  That really was bad.
[02:10:31.617 --> 02:10:40.603]  It's a terrible use of law enforcement to tell a little old lady that she's got to move from this park bench to this park bench if she's going to smoke her cigarette.
[02:10:40.939 --> 02:10:42.440]  And law enforcement knows this.
[02:10:42.440 --> 02:10:44.823]  I mean, you know, they don't want to do that.
[02:10:44.823 --> 02:10:49.267]  But they have to investigate some wingnut that reports you're smoking on the show here.
[02:10:49.267 --> 02:10:52.049]  You've got a guest smoking on the show.
[02:10:52.049 --> 02:10:54.631]  And they've got to send somebody out here to check it out.
[02:10:54.631 --> 02:10:58.655]  And that, too, is just a... You want to break the Austin ordinance on air and smoking here?
[02:10:58.655 --> 02:10:59.736]  We certainly could.
[02:10:59.736 --> 02:11:01.638]  Wouldn't bother me.
[02:11:01.638 --> 02:11:02.719]  I mean, what would happen, really?
[02:11:02.719 --> 02:11:03.820]  I don't think anything will happen.
[02:11:04.577 --> 02:11:05.678]  Swat teams might come.
[02:11:05.678 --> 02:11:06.398]  Try it or not.
[02:11:06.398 --> 02:11:06.939]  Go ahead, sure.
[02:11:06.939 --> 02:11:07.840]  Alright, we'll give it a shot.
[02:11:07.840 --> 02:11:10.522]  Oh, now we're being really rebellious in Land of the Free and Home of the Brave.
[02:11:10.522 --> 02:11:13.544]  God, I'll tell you, Alex, we're risk takers.
[02:11:13.544 --> 02:11:16.266]  Just thank God it's not a Cuban he's firing off here.
[02:11:16.266 --> 02:11:17.067]  We'd really be arrested.
[02:11:17.067 --> 02:11:18.488]  Well, this is a Cuban.
[02:11:18.488 --> 02:11:19.449]  That's the inside joke.
[02:11:19.449 --> 02:11:24.212]  Yeah, but... It's a gift.
[02:11:24.212 --> 02:11:25.974]  Cuban was a gift.
[02:11:25.974 --> 02:11:28.135]  Alex, I want to give you these.
[02:11:28.135 --> 02:11:28.916]  This is brand new.
[02:11:28.916 --> 02:11:30.597]  Teachers for Kinky Bumper Stickers.
[02:11:30.597 --> 02:11:31.078]  Oh, great.
[02:11:31.078 --> 02:11:32.319]  Because you are a teacher
[02:11:33.166 --> 02:11:47.430]  And I'll tell you what you've taught, and I don't want to put you up on a pedestal here or anything, I just, you have taught people not to trust their government as much as they blindly have been doing for the past few decades, and people are getting the message.
[02:11:47.430 --> 02:11:59.334]  And I'll tell you, Barbara Jordan, who's a personal hero of mine, Barbara Jordan's grandfather, you know, she was a congressman from Texas, as close to a statesman as Texas has had in modern days.
[02:12:00.165 --> 02:12:07.673]  Her grandfather owned a junkyard in Houston, and he told Barbara when she was five years old, love humanity, but don't trust them.
[02:12:07.673 --> 02:12:10.136]  That is the true message of Jesus.
[02:12:10.136 --> 02:12:14.481]  That's what he said, and getting into politics, I see exactly what he's talking about.
[02:12:14.481 --> 02:12:16.823]  That, you know, Socrates lost the election, you know?
[02:12:16.823 --> 02:12:18.445]  Jesus lost the election.
[02:12:18.445 --> 02:12:20.387]  The crowd said, free Barabbas!
[02:12:20.387 --> 02:12:20.988]  Kill Jesus!
[02:12:22.108 --> 02:12:23.309]  Well, that's what my mother said to me.
[02:12:23.309 --> 02:12:32.719]  She came down and visited when we were down at the beach this weekend for my daughter's birthday, and she pointed out, she said, it's taken me this many years to figure out not everybody's nice.
[02:12:32.719 --> 02:12:35.523]  Not everybody had a nice upbringing or nice parents.
[02:12:35.523 --> 02:12:37.164]  There are just a lot of bad people out there.
[02:12:37.164 --> 02:12:43.872]  There's also a lot of good people, but good people are always gullible and don't realize they've got to stand up and fight or the bad guys are going to win.
[02:12:44.619 --> 02:12:48.541]  That's absolutely true, and a great example of that is the Democrats of Texas.
[02:12:48.541 --> 02:13:01.467]  I mean, I'm running in the Democratic primary, but I would say that if the Democrats nominate their usual establishment candidate that they always do, a generic establishment candidate, it will be just another loss.
[02:13:01.467 --> 02:13:04.229]  They will continue the 18-year losing streak.
[02:13:05.208 --> 02:13:08.569]  Of not having one statewide race going Democratic.
[02:13:08.569 --> 02:13:11.730]  And I'm saying all they need is common sense.
[02:13:11.730 --> 02:13:16.271]  They need an old school guy like me that has common sense that is practical.
[02:13:16.271 --> 02:13:18.732]  I don't want to fall on my sword just to make a point.
[02:13:18.732 --> 02:13:20.192]  I want to win.
[02:13:20.192 --> 02:13:23.773]  So we're showing the Democrats, we're offering an option, a new model.
[02:13:24.293 --> 02:13:29.754]  For the Democratic Party, which includes Libertarians, Independents, and many, many Republicans.
[02:13:29.754 --> 02:13:31.494]  Welcoming them all over.
[02:13:31.494 --> 02:13:33.395]  Now you ran as an Independent last time.
[02:13:33.395 --> 02:13:34.215]  That's right.
[02:13:34.215 --> 02:13:39.076]  And you're running as a Democrat because I guess having the machine will help you somehow?
[02:13:39.076 --> 02:13:49.918]  Yeah, you know Alex, I listened to your pal Jesse Ventura, who I admire very much, and I listened to the people that ran Jesse's campaign, and they told me what works in Minnesota will work in Texas.
[02:13:49.918 --> 02:13:51.538]  Human nature.
[02:13:51.538 --> 02:13:52.178]  And the truth is,
[02:13:53.454 --> 02:13:54.935]  We're not in Minnesota, Toto.
[02:13:54.935 --> 02:13:55.916]  That's the truth.
[02:13:55.916 --> 02:13:57.337]  Texas is very different.
[02:13:57.337 --> 02:13:59.138]  There's more people in Houston than there are in Minnesota.
[02:13:59.138 --> 02:14:00.559]  Well, this was eight years later.
[02:14:00.559 --> 02:14:02.660]  He had the CIA two weeks into office.
[02:14:02.660 --> 02:14:05.382]  Twenty-three of them visiting to find out how he won.
[02:14:05.382 --> 02:14:08.484]  And the system's done a lot to try to stop independence since then.
[02:14:08.484 --> 02:14:10.045]  Oh, there's no question.
[02:14:10.045 --> 02:14:14.648]  We did the spiritually correct thing because I felt that the Democrats were getting too close to the Republicans.
[02:14:14.648 --> 02:14:16.890]  There wasn't much difference between the two.
[02:14:16.890 --> 02:14:22.874]  And the truth is, what has made the Democrats great over the past century is populism, is they stood up for the people.
[02:14:23.734 --> 02:14:38.184]  Well, I understand that we didn't even have parties at first in this country, and they are always interchanging Republican, Democrat, what it means.
[02:14:38.184 --> 02:14:40.305]  You are for controlling the borders.
[02:14:40.305 --> 02:14:42.046]  How is that going to fit into the Democratic Party?
[02:14:42.046 --> 02:14:46.469]  I mean, we know with Democrats that's actually popular, but the party leadership won't do anything about it.
[02:14:47.298 --> 02:14:50.720]  Well, I would say that a lot of my views are libertarian.
[02:14:50.720 --> 02:14:51.161]  Yeah.
[02:14:51.161 --> 02:14:54.843]  I mean, one of them is the border, another is toll roads.
[02:14:54.843 --> 02:14:59.847]  I want to roll back all toll roads, get rid of all of them, and pay for them with casino gambling.
[02:14:59.847 --> 02:15:02.109]  That has never been tried in any state.
[02:15:02.109 --> 02:15:03.790]  That would work.
[02:15:03.790 --> 02:15:06.612]  The lottery, boy, the more I read about the lottery, we are getting
[02:15:07.233 --> 02:15:09.715]  We're getting hosed so bad on the Texas Lottery.
[02:15:09.715 --> 02:15:15.219]  I was in the Austin Airport two weeks ago and this guy, Larry Throm, came up to me and gave me his card.
[02:15:15.219 --> 02:15:15.940]  Very nice guy.
[02:15:15.940 --> 02:15:19.603]  He's the executive CFO of the Dallas Independent School District.
[02:15:19.603 --> 02:15:23.446]  Before that, he was the CFO of the Austin Independent School District.
[02:15:23.446 --> 02:15:28.930]  So I asked Larry, Larry, is there any evidence that this money going to the lottery is coming to education as it's supposed to?
[02:15:29.701 --> 02:15:30.782]  Do you see any evidence of that?
[02:15:30.782 --> 02:15:33.443]  He says, no, I don't see any because there isn't any.
[02:15:33.443 --> 02:15:36.345]  What about all the weird scandals with the lottery?
[02:15:36.345 --> 02:15:36.945]  Well, there you go.
[02:15:36.945 --> 02:15:42.489]  They fired the last three directors, you know, and paid them off big bucks in rapid succession.
[02:15:42.489 --> 02:15:45.391]  The problem with the lottery is it's owned by an Italian corporation.
[02:15:45.891 --> 02:15:47.052]  And we go through GTEC.
[02:15:47.052 --> 02:15:48.712]  That's the way we do this thing.
[02:15:48.712 --> 02:15:51.654]  And the Georgia Lottery is owned by the state of Georgia.
[02:15:51.654 --> 02:15:58.297]  And that's why the Georgia Lottery sends every kid with a B average in high school to college free for four years in Georgia.
[02:15:58.297 --> 02:16:03.139]  And this year, for the first time, Georgia University, University of Georgia, has two Rhodes Scholars.
[02:16:03.139 --> 02:16:05.020]  No other institution in the country has them.
[02:16:05.717 --> 02:16:09.101]  They're from the HOPE Scholarship, which comes right out of the Georgia Lottery.
[02:16:09.101 --> 02:16:13.266]  Georgia, I think, is number 18 or 19 in education in the whole time.
[02:16:13.266 --> 02:16:14.447]  Well, how did that scam work?
[02:16:14.447 --> 02:16:16.450]  How does the lottery money not get to education?
[02:16:16.450 --> 02:16:17.210]  Well, here's how it happens.
[02:16:17.210 --> 02:16:18.732]  I guess because Don Carley only runs the lottery.
[02:16:18.732 --> 02:16:19.633]  No, no, here's how it happens.
[02:16:19.633 --> 02:16:24.118]  Rick Perry and the powers that be put it right into the Education Fund, General Fund.
[02:16:24.972 --> 02:16:28.134]  And then they take it out when they need it for highways or for other things.
[02:16:28.134 --> 02:16:29.814]  They can always get money.
[02:16:29.814 --> 02:16:37.738]  And this fund, as Alex Jones would tell you, if you really trust the government and you think they're totally honest, great.
[02:16:37.738 --> 02:16:38.699]  Most people no longer do.
[02:16:39.486 --> 02:16:41.328]  Uh, they're taking this money, they're fleecing it.
[02:16:41.328 --> 02:16:55.560]  Lobbyists and politicians are taking that money and using it for their own cause, and it never, never, never gets to... Well, I want to talk more about your policies and also your, uh, your gubernatorial campaign site, but what about Rick Perry?
[02:16:55.560 --> 02:16:58.782]  Did you see in the newspaper where he was the first U.S.
[02:16:58.782 --> 02:17:01.545]  statesman ever, first high-level politician?
[02:17:02.492 --> 02:17:04.493]  To admit he went to the Bilderberg Group meeting.
[02:17:04.493 --> 02:17:06.253]  It was on the Dallas Morning News.
[02:17:06.253 --> 02:17:08.054]  Which, by the way, is a violation of the Logan Act.
[02:17:08.054 --> 02:17:11.714]  You can't go to a private meeting to discuss policy, which they admit they do there.
[02:17:11.714 --> 02:17:17.076]  And he's so arrogant, he admitted that he did that.
[02:17:17.076 --> 02:17:21.197]  I mean, as governor, would you call for an investigation of that?
[02:17:21.197 --> 02:17:21.877]  Or try to stop that?
[02:17:25.976 --> 02:17:28.758]  Look, he's a guy who's great at jumping in front of parades.
[02:17:28.758 --> 02:17:35.081]  Alex, you know very well we've never heard a whimper from Rick about states' rights or about libertarianism or anything.
[02:17:35.081 --> 02:17:36.362]  Until it got popular, yeah.
[02:17:36.362 --> 02:17:39.183]  Then he jumped in front of the teabag parade, yes.
[02:17:39.183 --> 02:17:46.107]  And he is better friends with the German government, with the European governments, and with the Mexican government, than he is with the people of Texas.
[02:17:46.747 --> 02:17:49.248]  And he likes being governor, and that's where the story ends.
[02:17:49.248 --> 02:17:54.590]  He and Kay Bailey have been in the hands of big, big... Well, she is on the Bilderberg steering committee.
[02:17:54.590 --> 02:17:59.812]  You talk about big, evil offshore banks that are raping this country with $14.8 trillion.
[02:17:59.812 --> 02:18:05.194]  She is on the steering committee, and then now she reportedly brought him in.
[02:18:05.194 --> 02:18:06.114]  What are those two doing?
[02:18:06.114 --> 02:18:09.875]  Are they staging something to split up vote to stop you or something?
[02:18:09.875 --> 02:18:11.276]  I mean, what's going on there?
[02:18:11.276 --> 02:18:13.116]  Because we know these two are working together.
[02:18:13.116 --> 02:18:14.657]  And they act like they're fighting on the surface.
[02:18:15.253 --> 02:18:17.655]  Let's get those Barbies out of here is what I say, you know.
[02:18:17.655 --> 02:18:20.877]  They're both former cheerleaders, you knew that, didn't you?
[02:18:20.877 --> 02:18:23.058]  Yeah, we don't need any more cheerleader leaders.
[02:18:23.058 --> 02:18:24.819]  Did you know there were hall monitors?
[02:18:24.819 --> 02:18:26.400]  Yes.
[02:18:26.400 --> 02:18:27.941]  So these are little tattletales.
[02:18:27.941 --> 02:18:28.622]  Yeah, they are.
[02:18:28.622 --> 02:18:33.505]  And I think the state's tired of them, and I think you've got a huge amount of disgruntled Republicans.
[02:18:34.185 --> 02:18:40.551]  For all I know, you might be one of those folks, but people who at one time believed in either Rick or Kay, and now they don't.
[02:18:40.551 --> 02:18:50.761]  And I'll tell you what, when Rick and Kay turn around after this bloodbath that's coming, this two locomotives colliding, you know, they're going to find all the Ron Paul people are going to be gone.
[02:18:50.761 --> 02:18:52.163]  They're all going to be kinky Democrats.
[02:18:53.274 --> 02:18:54.614]  Well, I know this, Kinky.
[02:18:54.614 --> 02:18:59.675]  I agree with you on about 80% of the stuff you do, and that's as much as I agree with my wife.
[02:18:59.675 --> 02:19:04.216]  So, I mean, that's, you know, not bad, but at the same time, I know you're better than these establishment candidates.
[02:19:04.216 --> 02:19:18.818]  Kinky Friedman, a million times better than Kay Bailey Hutchinson, the cheerleader, Bilderberg Group's steering committee member, I mean, top globalist, top corrupt New World Order, and then Rick Perry, the toady of the group.
[02:19:18.818 --> 02:19:21.019]  I certainly hope you kick their butts.
[02:19:21.019 --> 02:19:21.559]  We intend to.
[02:19:22.486 --> 02:19:24.888]  What's the battle plan to get that done?
[02:19:24.888 --> 02:19:28.791]  Well, for one thing, we're just ending the exploratory phase.
[02:19:28.791 --> 02:19:32.495]  We're very soon going to jump full into this thing, pull the trigger.
[02:19:32.495 --> 02:19:39.480]  And part of that is going to be going out on a listening tour where I can sharpen my listening skills, Alex, which do need some sharpening.
[02:19:39.480 --> 02:19:46.947]  And meet the teachers, meet the county chairs, meet the people in places where Democrats fear to tread.
[02:19:48.215 --> 02:19:50.718]  Uh, that's the Obama strategy, actually.
[02:19:50.718 --> 02:19:52.440]  He was going on a 50-state strategy.
[02:19:52.440 --> 02:19:55.964]  Everybody told him you can't win Virginia, you can't... Alright, stay there, gotta break.
[02:19:55.964 --> 02:20:01.269]  Let's come back and hear more about your strategy, more about the websites, KinkyFreedman.com, linked up on InfoWars.com.
[02:20:05.113 --> 02:20:05.653]  We're good to go!
[02:20:28.081 --> 02:20:33.684]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[02:20:33.684 --> 02:20:38.746]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[02:20:38.746 --> 02:20:46.689]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[02:20:46.689 --> 02:20:53.252]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[02:20:53.252 --> 02:20:54.373]  For more information, call 1-800-686-2237.
[02:20:57.116 --> 02:20:59.438]  That's 1-800-686-2237.
[02:20:59.438 --> 02:21:12.072]  The New World Order Beast is genetically modifying your food, mixing vegetables with animals, and now experimenting with viruses.
[02:21:13.027 --> 02:21:19.011]  Without a long-term food solution, you will have just two options.
[02:21:19.011 --> 02:21:22.474]  Starve or surrender.
[02:21:22.474 --> 02:21:27.257]  All canned food supplies will eventually run out.
[02:21:27.833 --> 02:21:28.413]  What then?
[02:22:00.915 --> 02:22:06.718]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:22:06.718 --> 02:22:13.722]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:22:14.295 --> 02:22:20.878]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:22:20.878 --> 02:22:22.859]  Well, Obama's already fudging.
[02:22:22.859 --> 02:22:25.360]  He's fudged since day one in this election.
[02:22:25.360 --> 02:22:36.305]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:22:36.940 --> 02:22:38.601]  It's not about left or right.
[02:22:38.601 --> 02:22:40.462]  It's about a one world government.
[02:22:40.462 --> 02:22:47.364]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:22:47.364 --> 02:22:55.628]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:22:55.628 --> 02:22:57.208]  The Obama Deception.
[02:22:57.208 --> 02:22:58.389]  The people strike back.
[02:23:00.242 --> 02:23:02.603]  This is Alex Jones for American Tax Settlement.
[02:23:02.603 --> 02:23:12.109]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[02:23:12.109 --> 02:23:20.114]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[02:23:20.114 --> 02:23:26.058]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[02:23:26.918 --> 02:23:27.499]  We're good to go.
[02:23:55.857 --> 02:23:56.157]  That's 1-800-506-5904.
[02:23:56.157 --> 02:23:56.377]  Call today.
[02:24:15.958 --> 02:24:18.260]  Well, he is a Texas original, as I said earlier.
[02:24:18.260 --> 02:24:21.862]  Kinky Friedman is our guest in Studio Runnin' for Governor.
[02:24:21.862 --> 02:24:28.025]  And he's the only chance you've got to not have Kay Bailey Hutchinson or Rick Perry, the two cheerleaders.
[02:24:28.025 --> 02:24:31.647]  And the only question is which one of them is more Nelly than the other.
[02:24:31.647 --> 02:24:33.028]  But, you know, that's fine.
[02:24:33.028 --> 02:24:40.913]  You know, the issue is that Kinky Friedman is the real deal and his daddy was up there in the airplanes with my granddaddy over Europe in World War II.
[02:24:40.913 --> 02:24:41.793]  That's a small world.
[02:24:41.793 --> 02:24:44.195]  I keep going back to when my dad called and said, yeah, you know,
[02:24:45.115 --> 02:24:47.276]  They were in some of the same squadrons and things in Europe.
[02:24:47.276 --> 02:24:49.418]  That was really wild, small world.
[02:24:49.418 --> 02:24:54.180]  He learned that from your dad when he was at UT as my dad's professor.
[02:24:54.180 --> 02:24:56.682]  But again, Teachers for Kinky is one of the bumper stickers.
