[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[54:18.000 --> 54:19.000]  And the president just said.
[54:19.000 --> 54:24.000]  But the idea that Facebook or Google or Twitter could remove things without our knowledge,
[54:24.000 --> 54:25.000]  shouldn't that get us up in arms?
[54:25.000 --> 54:26.000]  Yeah, absolutely.
[54:26.000 --> 54:27.000]  I'm a libertarian.
[54:27.000 --> 54:31.000]  And I think we need to let the market decide what is worthwhile and what is not.
[54:31.000 --> 54:35.000]  The actual fake news sites, they will lose credibility and eventually their audience.
[54:35.000 --> 54:36.000]  When?
[54:36.000 --> 54:37.000]  When will Alex Jones lose credibility?
[54:37.000 --> 54:38.000]  Well, there's an audience.
[54:38.000 --> 54:40.000]  There's an audience for Alex Jones.
[54:40.000 --> 54:43.000]  I mean, look, we need to let everything get posted.
[54:43.000 --> 54:47.000]  Otherwise, it's going to be up to Facebook or some other institution or worse, the government,
[54:47.000 --> 54:49.000]  to decide what fake news is.
[54:49.000 --> 54:54.000]  The problem, Tucker, is that it's a very slippery slope to define fake news.
[54:54.000 --> 54:58.000]  For example, is a climate change denier promoting fake news?
[54:58.000 --> 55:01.000]  They say a rescue of you denied carbon taxes.
[55:01.000 --> 55:06.000]  The really juicy clip is on Info Wars because she's like, China's doing good.
[55:06.000 --> 55:08.000]  It wants the good news.
[55:08.000 --> 55:11.000]  Are you saying China shouldn't stop fake news?
[55:11.000 --> 55:13.000]  I mean, that's not even the strongest part.
[55:13.000 --> 55:15.000]  In fact, I'm going to play it in the next segment.
[55:15.000 --> 55:16.000]  We ought to find the whole six minute clip.
[55:16.000 --> 55:19.000]  Do we have the whole six minute clip?
[55:19.000 --> 55:23.000]  I'm tempted to play the whole stinkin' thing because, I mean, you're actually seeing her
[55:23.000 --> 55:25.000]  and Carlson's like, it's dangerous to do that.
[55:25.000 --> 55:30.000]  She's like, Alex Jones, okay, he's right back.
[55:30.000 --> 55:34.000]  Meanwhile, we have China, because he mentions he goes, well, China wants us to censor these
[55:34.000 --> 55:35.000]  American websites.
[55:35.000 --> 55:38.000]  He's like, well, that's the good job.
[55:38.000 --> 55:43.000]  You've got a Democrat on TV saying, do what China says.
[55:43.000 --> 55:45.000]  Shout out to Alex Jones.
[55:45.000 --> 55:48.000]  I'm a Democrat strategist.
[55:48.000 --> 55:50.000]  What a frit ball.
[55:50.000 --> 55:53.000]  We're going to take your calls as well, get to a bunch of clips, why they're trying to
[55:53.000 --> 55:57.000]  stir up race war, why they want to kill the free market, how we defeat them, the return
[55:57.000 --> 56:01.000]  of America, the rebirth of the republic, it's all coming up.
[56:01.000 --> 56:07.000]  Now, well, Sunday Transmission is a different broadcast than the weekday that is still
[56:07.000 --> 56:09.000]  syndicated through GCN.
[56:09.000 --> 56:12.000]  I take phone calls from up there via the satellite.
[56:12.000 --> 56:15.000]  This is our own in-house deal, so it's a different phone number.
[56:15.000 --> 56:17.000]  They've asked me to say that because it kills their phone bill.
[56:17.000 --> 56:20.000]  We get 20 something thousand calls when I get the number out in an hour.
[56:20.000 --> 56:23.000]  We have a computerized system, 23,000 is our record.
[56:23.000 --> 56:25.000]  So let me just give you the number here.
[56:25.000 --> 56:27.000]  I feel sorry for the network.
[56:27.000 --> 56:28.000]  People call the wrong number.
[56:28.000 --> 56:35.000]  It's 877-789-Alex, 877-789-2539, 877-789-2539.
[56:35.000 --> 56:39.000]  And by the way, if you disagree with me, tell folks you'll go to the head of the line.
[56:39.000 --> 56:41.000]  You're calling from a foreign country on your own dime.
[56:41.000 --> 56:42.000]  Same deal.
[56:42.000 --> 56:43.000]  Just let us know.
[56:43.000 --> 56:45.000]  We don't screen your calls, but have a good phone.
[56:45.000 --> 56:46.000]  Be able to talk.
[56:46.000 --> 56:47.000]  Don't be too drunk.
[56:47.000 --> 56:52.000]  877-789-Alex, 877-789-2539er.
[56:52.000 --> 56:54.000]  Briefly.
[56:54.000 --> 57:01.000]  We have the new incredible, new tropic brain boaster with the organic known super enzymes,
[57:01.000 --> 57:02.000]  chemicals that are all healthy.
[57:02.000 --> 57:03.000]  You name it.
[57:03.000 --> 57:04.000]  Brain force.
[57:04.000 --> 57:05.000]  Everything we do is game changing.
[57:05.000 --> 57:06.000]  Everything we do is over the top.
[57:06.000 --> 57:10.000]  It's now 20% more each bottle and even stronger formulation.
[57:10.000 --> 57:16.000]  Not 20% more caplets, powdered caplets, big old jumbo pills, but also a new formulation,
[57:16.000 --> 57:17.000]  even stronger.
[57:17.000 --> 57:18.000]  It's amazing.
[57:18.000 --> 57:20.000]  Frankly, I don't eat it myself most of the time.
[57:20.000 --> 57:25.000]  I take selenium with it, and it's to the man without a rocket, or to bio true selenium,
[57:25.000 --> 57:26.000]  infowarslive.com.
[57:26.000 --> 57:28.000]  And be part of fighting the very tip of the spear.
[57:28.000 --> 57:30.000]  I mean, look, we're just wreaking havoc.
[57:30.000 --> 57:31.000]  It's so legendary.
[57:31.000 --> 57:32.000]  I can't even believe it.
[57:32.000 --> 57:34.000]  It brightened me up out of this matrix dream.
[57:34.000 --> 57:35.000]  I mean, it's kind of hard to believe.
[57:35.000 --> 57:39.000]  I cast myself as a superhero in an alternate dimension.
[57:39.000 --> 57:45.000]  So, 8825-33139 is the number to call and ask about all the different specials, seven days
[57:45.000 --> 57:48.000]  a week, 365 days a year.
[57:48.000 --> 57:53.000]  More than two years ago, infowars first told you about our research into what has been
[57:53.000 --> 57:54.000]  called the iodine conspiracy.
[57:54.000 --> 57:59.000]  I've told you about how scientists have known for decades that iodine deficiencies can devastate
[57:59.000 --> 58:04.000]  IQ and how the government knowingly started taking iodine out of the food and adding fluoride,
[58:04.000 --> 58:07.000]  the bad member of the halogen family, into the water.
[58:07.000 --> 58:11.000]  They took the good halogen out and put the deadly halogen in.
[58:11.000 --> 58:16.000]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling
[58:16.000 --> 58:18.000]  how to prepare yourself and your family.
[58:18.000 --> 58:24.000]  Now, in 2016, even more information has been revealed concerning the connection between
[58:24.000 --> 58:29.000]  iodine and the gut, which many experts are now saying could be the biggest revelation
[58:29.000 --> 58:31.000]  ever concerning iodine.
[58:31.000 --> 58:33.000]  You can pull these studies up for yourself.
[58:33.000 --> 58:37.000]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to
[58:37.000 --> 58:39.000]  any optimum health regimen.
[58:39.000 --> 58:48.000]  Stock up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[58:48.000 --> 58:53.000]  Introducing Vitamin Mineral Fusion from infowarslife.com.
[58:53.000 --> 58:57.000]  We have worked for years with our chemists and scientists to create the most powerful
[58:57.000 --> 59:00.000]  and affordable, great-tasting multivitamin formula available.
[59:00.000 --> 59:06.000]  The all-new Vitamin Mineral Fusion drink mix at infowarslife.com is loaded with a full month
[59:06.000 --> 59:11.000]  supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[59:11.000 --> 59:16.000]  In the history of infowarslife, we've brought out a lot of amazing products like Survival
[59:16.000 --> 59:19.000]  Shield X2, Super Metal Vitality, and so many others.
[59:19.000 --> 59:24.000]  But I am most proud of the product we're now launching today, with its unique delivery
[59:24.000 --> 59:29.000]  system and proprietary manufacturing process designed for maximized effects.
[59:29.000 --> 59:33.000]  This formula is the platinum standard of multivitamin mineral products.
[59:33.000 --> 59:40.000]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[59:40.000 --> 59:43.000]  That means it's clean, that means it's pure.
[59:43.000 --> 59:46.000]  At infowarslife.com and Vitamin Mineral Fusion.
[59:46.000 --> 59:48.000]  Take action now before we sell out.
[59:48.000 --> 01:00:00.000]  You're listening to the Alex Jones Show.
[01:00:03.000 --> 01:00:04.000]  We are on the march.
[01:00:04.000 --> 01:00:05.000]  We are on the march.
[01:00:05.000 --> 01:00:08.000]  The empire is on the run.
[01:00:08.000 --> 01:00:13.000]  Alex Jones and the GCN radio network.
[01:00:13.000 --> 01:00:18.000]  I see the phone system loading up at 877-8789 Alex.
[01:00:18.000 --> 01:00:19.000]  Look, I get fired up.
[01:00:19.000 --> 01:00:21.000]  I get excited because I'm not in the trance.
[01:00:21.000 --> 01:00:22.000]  I'm trying to get you out of your trance.
[01:00:22.000 --> 01:00:24.000]  A lot of you are out of it.
[01:00:24.000 --> 01:00:29.000]  The reason we're reaching so many people, but we are far from out of the woods yet.
[01:00:29.000 --> 01:00:32.000]  But I got to tell you, very positive things are happening.
[01:00:32.000 --> 01:00:38.000]  I was in Lockhart outside Austin, Texas, one of the barbecue capitals of the world.
[01:00:38.000 --> 01:00:43.000]  It was mobbed by black, Hispanic, and white people in the multi-racial town.
[01:00:43.000 --> 01:00:45.000]  Everybody just loves each other.
[01:00:45.000 --> 01:00:47.000]  My whole life growing up, everybody just loves each other.
[01:00:47.000 --> 01:00:48.000]  Except in Dallas.
[01:00:48.000 --> 01:00:50.000]  There was a lot of racist crap there.
[01:00:50.000 --> 01:00:52.000]  But everywhere else in Texas has been great.
[01:00:52.000 --> 01:00:54.000]  A few places in these Texas got problems too.
[01:00:54.000 --> 01:00:56.000]  It was just 90%.
[01:00:56.000 --> 01:00:57.000]  And it was just so great to be there.
[01:00:57.000 --> 01:00:59.000]  It was so great to be around all these wonderful people
[01:00:59.000 --> 01:01:03.000]  eating the best barbecue in Texas there at Smithies.
[01:01:03.000 --> 01:01:06.000]  But then I just think about the globalists and how divorced from reality they are
[01:01:06.000 --> 01:01:11.000]  and how they could be on TV with the Communist Chinese calling for me to be shut down,
[01:01:11.000 --> 01:01:12.000]  others to be shut down.
[01:01:12.000 --> 01:01:17.000]  And they have Democratic pundits on TV saying, yes, time to shut down the fake news
[01:01:17.000 --> 01:01:20.000]  when they're the known fake news kings of the world.
[01:01:20.000 --> 01:01:22.000]  Here's a clip of that I was mentioning, a larger clip.
[01:01:22.000 --> 01:01:24.000]  We're going to come back, take your phone calls.
[01:01:24.000 --> 01:01:26.000]  Well, here's something new.
[01:01:26.000 --> 01:01:29.000]  In the past 24 hours, many on the left have stepped up demands
[01:01:29.000 --> 01:01:34.000]  that companies like Facebook, Google, and Twitter, the companies through which almost all of your news flows,
[01:01:34.000 --> 01:01:36.000]  censor so-called fake news.
[01:01:36.000 --> 01:01:40.000]  That is stories that some believe helped Donald Trump defeat Hillary Clinton.
[01:01:40.000 --> 01:01:42.000]  By the way, hit pause for a minute.
[01:01:42.000 --> 01:01:43.000]  I can't help it.
[01:01:43.000 --> 01:01:45.000]  I did make the big point.
[01:01:45.000 --> 01:01:50.000]  You understand they did this after the Communist Chinese called for it with the Democratic Party.
[01:01:50.000 --> 01:01:53.000]  The Democratic Party are such frickin' Communist Chinese agents.
[01:01:53.000 --> 01:01:56.000]  They take public orders from them.
[01:01:56.000 --> 01:02:00.000]  It just hit me that I haven't been upset about this properly.
[01:02:00.000 --> 01:02:02.000]  They got to be arrested, folks.
[01:02:02.000 --> 01:02:04.000]  The damn commie Chinese are in the news, saying,
[01:02:04.000 --> 01:02:05.000]  shut us down.
[01:02:05.000 --> 01:02:08.000]  And then they go on TV and say it and mention it.
[01:02:08.000 --> 01:02:10.000]  I mean, I don't...
[01:02:10.000 --> 01:02:11.000]  What is it going to take here?
[01:02:11.000 --> 01:02:12.000]  Let's go back to the clip.
[01:02:12.000 --> 01:02:13.000]  Sorry.
[01:02:13.000 --> 01:02:17.000]  Allowed, they argue, a point that the Chinese authorities have been making for many years.
[01:02:17.000 --> 01:02:19.000]  President Obama weighed in on the controversy today
[01:02:19.000 --> 01:02:22.000]  during a trip abroad to Germany, clearly siding with the censors.
[01:02:22.000 --> 01:02:23.000]  Watch this.
[01:02:23.000 --> 01:02:30.000]  If we are not serious about facts
[01:02:30.000 --> 01:02:35.000]  and what's true and what's not
[01:02:35.000 --> 01:02:38.000]  and particularly in the age of social media
[01:02:38.000 --> 01:02:44.000]  where so many people are getting their information in sound bites and snippets off their phones.
[01:02:44.000 --> 01:02:46.000]  Not from liars like you.
[01:02:46.000 --> 01:02:48.000]  If we can't discriminate.
[01:02:48.000 --> 01:02:50.000]  Oh, discriminate? That's racist.
[01:02:50.000 --> 01:02:52.000]  Between serious arguments and propaganda.
[01:02:52.000 --> 01:02:54.000]  You are a sack of filth.
[01:02:54.000 --> 01:02:55.000]  Then we have problems.
[01:02:55.000 --> 01:02:56.000]  Puss bucket.
[01:02:56.000 --> 01:02:57.000]  That's right.
[01:02:57.000 --> 01:02:59.000]  The politician in chief lecturing us about propaganda.
[01:02:59.000 --> 01:03:02.000]  Should the government and media giants begin clamping down on information
[01:03:02.000 --> 01:03:04.000]  they think might hurt the Democratic cause?
[01:03:04.000 --> 01:03:05.000]  Yeah, he's got the Hilda's.
[01:03:05.000 --> 01:03:07.000]  He's got the guitar law of a Democratic strategist
[01:03:07.000 --> 01:03:08.000]  and Kristen Tate, a contributor at the Hill
[01:03:08.000 --> 01:03:10.000]  and it is great to see you both.
[01:03:10.000 --> 01:03:11.000]  Ms. Tarloff, I will start with you.
[01:03:11.000 --> 01:03:12.000]  Shocking.
[01:03:12.000 --> 01:03:16.000]  So, one person is making news on a person's news
[01:03:16.000 --> 01:03:20.000]  and the idea that these media giants who really have more control over the information
[01:03:20.000 --> 01:03:22.000]  we receive than anybody's ever had in history.
[01:03:22.000 --> 01:03:23.000]  Way more than William Randolph first ever had.
[01:03:23.000 --> 01:03:26.000]  She just wants to mount white males' ding-dings on the wall.
[01:03:26.000 --> 01:03:27.000]  She doesn't even want to.
[01:03:27.000 --> 01:03:28.000]  She just hates America.
[01:03:28.000 --> 01:03:29.000]  They are all of us, shouldn't they?
[01:03:29.000 --> 01:03:32.000]  Well, I think that censorship is obviously something we need to take seriously.
[01:03:32.000 --> 01:03:33.000]  Oh, yeah.
[01:03:33.000 --> 01:03:34.000]  Especially as we welcome Donald Trump.
[01:03:34.000 --> 01:03:36.000]  I take seriously that we should be against it.
[01:03:36.000 --> 01:03:37.000]  But China does, doesn't it?
[01:03:37.000 --> 01:03:38.000]  Yes, I do believe that.
[01:03:38.000 --> 01:03:43.000]  But I do think that we do need to make a concerted effort to make sure that we are getting good,
[01:03:43.000 --> 01:03:44.000]  real news.
[01:03:44.000 --> 01:03:45.000]  I mean, this is...
[01:03:45.000 --> 01:03:46.000]  Who's we?
[01:03:46.000 --> 01:03:47.000]  The American populace.
[01:03:47.000 --> 01:03:48.000]  The world populace.
[01:03:48.000 --> 01:03:51.000]  Latinos in China deserve good news.
[01:03:51.000 --> 01:03:52.000]  That's not right.
[01:03:52.000 --> 01:03:53.000]  And I think what President Obama's talking about,
[01:03:53.000 --> 01:03:54.000]  first of all, he's frustrated.
[01:03:54.000 --> 01:03:55.000]  Right?
[01:03:55.000 --> 01:03:57.000]  And he's been frustrated throughout the campaign because he's felt like it's been a fact.
[01:03:57.000 --> 01:04:02.000]  You know, vortex that Donald Trump has created where he said things off the cuff and gotten
[01:04:02.000 --> 01:04:03.000]  away with it.
[01:04:03.000 --> 01:04:06.000]  Whereas Hillary Clinton has kind of gotten slammed for all of this.
[01:04:06.000 --> 01:04:08.000]  And we've debated this over and over again.
[01:04:08.000 --> 01:04:10.000]  Oh, the media was all for Trump.
[01:04:10.000 --> 01:04:11.000]  Do you hear that load of BS?
[01:04:11.000 --> 01:04:13.000]  I believe his name is Pete Horner, this guy.
[01:04:13.000 --> 01:04:14.000]  Miss, fake news.
[01:04:14.000 --> 01:04:15.000]  Listen to this, idiot.
[01:04:15.000 --> 01:04:16.000]  That he put out through the election.
[01:04:16.000 --> 01:04:18.000]  Everything she says is a load of BS.
[01:04:18.000 --> 01:04:22.000]  There were protestors paid $3,500 to go to Trump rallies.
[01:04:22.000 --> 01:04:24.000]  She was a porta potty in another life.
[01:04:24.000 --> 01:04:29.000]  It's abcnews.co.
[01:04:29.000 --> 01:04:32.000]  And if people aren't being smart about the news that they're consuming,
[01:04:32.000 --> 01:04:34.000]  I do think we have a problem.
[01:04:34.000 --> 01:04:36.000]  I mean, I guess there are two tracks here, Christian.
[01:04:36.000 --> 01:04:39.000]  One is the idea that people didn't vote for Hillary because they just didn't know enough
[01:04:39.000 --> 01:04:40.000]  because they're dumb.
[01:04:40.000 --> 01:04:41.000]  And that's the implication.
[01:04:41.000 --> 01:04:47.000]  You had a fricking cult of an evil hag, a collapsing, drooling psycho hag,
[01:04:47.000 --> 01:04:50.000]  and you're so fricking delusional and hate humanity so much,
[01:04:50.000 --> 01:04:56.000]  you thought you could force feed us this turdurkin and shove Hillary up our ass.
[01:04:56.000 --> 01:05:25.000]  It didn't work.
[01:05:27.000 --> 01:05:31.000]  Trump has also created a short list of possible appointees for other key spots,
[01:05:31.000 --> 01:05:33.000]  including a new Supreme Court justice.
[01:05:33.000 --> 01:05:38.000]  Rumors are swirling that there may be a position for his campaign manager Kellyanne Conway,
[01:05:38.000 --> 01:05:40.000]  former mayor of New York, Rudy Giuliani,
[01:05:40.000 --> 01:05:45.000]  and even detractor Mitt Romney is being tossed around as a possible secretary of state,
[01:05:45.000 --> 01:05:50.000]  while former House Speaker, Newt Gingrich, has said he will not be in a Trump administration.
[01:05:50.000 --> 01:05:57.000]  I'm Owen Schreuer. For more, go to Infowars.com.
[01:06:21.000 --> 01:06:24.000]  You take my life, but I'll take yours too.
[01:06:24.000 --> 01:06:27.000]  You fire, Musket, but I'll run you through.
[01:06:27.000 --> 01:06:32.000]  So when you're waiting for the next attack, you better stand. There's no turning back.
[01:06:32.000 --> 01:06:35.000]  The bugle sounds, the charge begins.
[01:06:35.000 --> 01:06:38.000]  You'll take my life, but I'll take yours too.
[01:06:38.000 --> 01:06:41.000]  You fire, Musket, but I'll run you through.
[01:06:41.000 --> 01:06:42.000]  When you're waiting.
[01:06:42.000 --> 01:06:44.000]  So when you're waiting for the next attack.
[01:06:44.000 --> 01:06:46.000]  You better stand. There's no turning back.
[01:06:46.000 --> 01:06:50.000]  You better stand, you little cowardly jackasses.
[01:06:50.000 --> 01:06:52.000]  You want to fight the Republic?
[01:06:52.000 --> 01:06:55.000]  You think as you pissed all over us and rubbed it in, we were cowards?
[01:06:55.000 --> 01:06:57.000]  You took our restraint as weakness?
[01:06:57.000 --> 01:06:59.000]  Now the Republic is rising.
[01:06:59.000 --> 01:07:02.000]  Now the world will see.
[01:07:02.000 --> 01:07:12.000]  Now you will face the fire-breathing power of 1776 and all the Providence that flows through it.
[01:07:12.000 --> 01:07:16.000]  The goodwill towards men. Peace on Earth.
[01:07:16.000 --> 01:07:19.000]  We will not stand for your slavery ever.
[01:07:19.000 --> 01:07:25.000]  The return of the Republic is upon us.
[01:07:25.000 --> 01:07:28.000]  It's a great song. Turn it up for me.
[01:07:28.000 --> 01:07:30.000]  It's a good poetry.
[01:07:30.000 --> 01:07:34.000]  A couple of these guys aren't major big listeners. I hung out with them before.
[01:07:34.000 --> 01:07:36.000]  Not name dropping. It's just everybody's a patriot.
[01:07:36.000 --> 01:07:58.000]  All right, let me go to your phone calls. There's a lot of news I want to cover as well.
[01:07:58.000 --> 01:08:01.000]  And I'm going to get this later after I take some calls.
[01:08:01.000 --> 01:08:08.000]  A lot got made of the Vice President-elect Pence, Governor Pence, Vice President Pence,
[01:08:08.000 --> 01:08:18.000]  nicely went to pretty much the all-black cast of this play, Hamilton.
[01:08:18.000 --> 01:08:21.000]  And they booed him and they got in his face and said he was a racist.
[01:08:21.000 --> 01:08:24.000]  They're the moral high ground. They're the God. They're above you.
[01:08:24.000 --> 01:08:29.000]  They have the class of elitism. You're bad inherently because you're white.
[01:08:29.000 --> 01:08:32.000]  And I was remembering six months ago when this play started,
[01:08:32.000 --> 01:08:36.000]  that they put ads out saying whites need not apply.
[01:08:36.000 --> 01:08:39.000]  Now that's fine to have an all-black play. Fine.
[01:08:39.000 --> 01:08:45.000]  Then Pence goes to your play and you piss on him.
[01:08:45.000 --> 01:08:49.000]  And then he comes out and says,
[01:08:49.000 --> 01:08:54.000]  I wasn't offended by what was said and takes the high road. Very classy.
[01:08:54.000 --> 01:08:57.000]  I got to tell you, I'm very impressed with Pence.
[01:08:57.000 --> 01:09:01.000]  I don't like some of his pro-war stuff, but he is pro-life. He is pro-gun.
[01:09:01.000 --> 01:09:04.000]  And he just comes off as a very real guy.
[01:09:04.000 --> 01:09:07.000]  He'll make a news issue out of this, but he's reached out to the show
[01:09:07.000 --> 01:09:09.000]  and says he appreciates the work we're doing.
[01:09:09.000 --> 01:09:12.000]  All I want is him to cut our taxes, secure our borders,
[01:09:12.000 --> 01:09:16.000]  not start a bunch of wars with Russia, not bring jihadis into the country,
[01:09:16.000 --> 01:09:18.000]  and just bring the country together.
[01:09:18.000 --> 01:09:23.000]  I mean, when you watch how ridiculously racist the mainstream media is
[01:09:23.000 --> 01:09:26.000]  and the name of fighting racism, it's just insane.
[01:09:26.000 --> 01:09:33.000]  It's very sad because I legitimately care about everybody.
[01:09:33.000 --> 01:09:38.000]  I don't just say that so you like me. I say what I really think.
[01:09:38.000 --> 01:09:43.000]  And I know that free market capitalism is the way to go for everybody.
[01:09:43.000 --> 01:09:46.000]  I know it creates the science. It creates the life extension.
[01:09:46.000 --> 01:09:51.000]  It creates the civilization. It creates the wealth. It creates the choices.
[01:09:51.000 --> 01:09:56.000]  The problem is it creates so much wealth in a few generations we become spoiled rotten jackasses
[01:09:56.000 --> 01:09:59.000]  that don't appreciate all the incredible things we've got.
[01:09:59.000 --> 01:10:04.000]  Our poorest people are doing better than most people in this world.
[01:10:04.000 --> 01:10:08.000]  I was horrified by America becoming a police state and doing bad things
[01:10:08.000 --> 01:10:12.000]  because I loved her so much, not because I hated her.
[01:10:12.000 --> 01:10:15.000]  The people that pointed out America's wrongs only wanted control
[01:10:15.000 --> 01:10:20.000]  to get control and do stuff five times worse and then say it was all okay.
[01:10:20.000 --> 01:10:25.000]  I'm rarely wrong but I'm such a bleeding heart dumbass
[01:10:25.000 --> 01:10:30.000]  that I tacitly stood by and didn't oppose Obama in 2008.
[01:10:30.000 --> 01:10:34.000]  I quickly learned how wrong I was but I mean he was running against McCain who's so evil.
[01:10:34.000 --> 01:10:36.000]  I mean I can see how I did that.
[01:10:36.000 --> 01:10:40.000]  What a deceiver. What a liar. What a race baiter.
[01:10:40.000 --> 01:10:45.000]  And now the Communist Chinese come out in a statement I read earlier
[01:10:45.000 --> 01:10:49.000]  New York Times, Wall Street Journal, Associated Press, Reuters.
[01:10:49.000 --> 01:10:53.000]  I can't even believe they did it and said censor your nationalists,
[01:10:53.000 --> 01:10:58.000]  censor your Trump supporters, Zuckerberg, censor them now, we own your debt.
[01:10:58.000 --> 01:11:01.000]  You shut them down, you shut them down now.
[01:11:01.000 --> 01:11:08.000]  That makes me at a genetic level want to open a can of kick-ass.
[01:11:08.000 --> 01:11:12.000]  I mean you talk about rubbing it in.
[01:11:12.000 --> 01:11:16.000]  Can you imagine if our media told China crack down your people?
[01:11:16.000 --> 01:11:19.000]  Our media doesn't complain when they crack down their people.
[01:11:19.000 --> 01:11:24.000]  It's the opposite as they oppress their people.
[01:11:24.000 --> 01:11:27.000]  And the leftist, everything's racism.
[01:11:27.000 --> 01:11:30.000]  They never oppose any real corruption.
[01:11:30.000 --> 01:11:32.000]  I've had New York Times call me.
[01:11:32.000 --> 01:11:34.000]  I've had CNN call me in the last two years and they say,
[01:11:34.000 --> 01:11:36.000]  it happened 10 years ago, 15 years ago too.
[01:11:36.000 --> 01:11:38.000]  CNN, I've been on CNN repealing them.
[01:11:38.000 --> 01:11:41.000]  They'll ask me when I'm criticizing China, they go, are you anti-Asian?
[01:11:41.000 --> 01:11:45.000]  And I never even play the card and go, no my sister is Asian, adopted.
[01:11:45.000 --> 01:11:48.000]  I was brought up in a family that was colorblind.
[01:11:48.000 --> 01:11:50.000]  It was used against me, of course.
[01:11:50.000 --> 01:11:52.000]  But I just go, no.
[01:11:52.000 --> 01:11:55.000]  I'm talking about the people that oppress China and control China
[01:11:55.000 --> 01:11:58.000]  and are using their people, you know, Tiananmen Square.
[01:11:58.000 --> 01:12:00.000]  Those are good people.
[01:12:00.000 --> 01:12:02.000]  They're under communist control.
[01:12:02.000 --> 01:12:03.000]  Like, are you against Russia?
[01:12:03.000 --> 01:12:09.000]  It's no, I'm against the Soviet system they had.
[01:12:09.000 --> 01:12:14.000]  I'm going to go to break and come back and take calls, but it's just frustrating
[01:12:14.000 --> 01:12:16.000]  that I know I'm right.
[01:12:16.000 --> 01:12:18.000]  I know the actuaries.
[01:12:18.000 --> 01:12:19.000]  They have the algorithms.
[01:12:19.000 --> 01:12:26.000]  They know that taxing people under $40,000 a year doesn't even pay the coffers
[01:12:26.000 --> 01:12:30.000]  and creates family breakdowns, societal breakdown, crime.
[01:12:30.000 --> 01:12:33.000]  No one under $50,000 should be paying.
[01:12:33.000 --> 01:12:37.000]  It ought to be Trump saying under $40,000, no taxes.
[01:12:37.000 --> 01:12:39.000]  That's on his plan.
[01:12:39.000 --> 01:12:45.000]  Makeamericagrateagain.gov, but no one else even knows it.
[01:12:45.000 --> 01:12:49.000]  Do you know what $10,000 or $12,000 a year will do for working families
[01:12:49.000 --> 01:12:51.000]  making $40,000 a year?
[01:12:51.000 --> 01:12:54.000]  Do you have any idea?
[01:12:54.000 --> 01:13:00.000]  Do you know what cut in middle class tax is about 30% is going to do?
[01:13:00.000 --> 01:13:02.000]  They think you're so dumb.
[01:13:02.000 --> 01:13:05.000]  I just keep harping on the same stuff.
[01:13:05.000 --> 01:13:09.000]  They think he wants to cut corporate tax because he's overseas.
[01:13:09.000 --> 01:13:13.000]  He already admits he uses the corrupt system to pay no tax overseas.
[01:13:13.000 --> 01:13:16.000]  Donald Trump's giving you a system where he'll have to pay taxes,
[01:13:16.000 --> 01:13:18.000]  but he wants there to be jobs industry.
[01:13:18.000 --> 01:13:22.000]  Like Bannon said, we got to have some jobs, we got to have something here,
[01:13:22.000 --> 01:13:25.000]  or there's nowhere to spend the damn money.
[01:13:25.000 --> 01:13:27.000]  But the globalist want to have a pissing contest.
[01:13:27.000 --> 01:13:29.000]  I go back to that.
[01:13:29.000 --> 01:13:33.000]  It's all about dominating us where we don't have anything where they can dictate
[01:13:33.000 --> 01:13:40.000]  the terms of our settlement, our defeat, our Versailles Treaty.
[01:13:40.000 --> 01:13:42.000]  We're not going that route anymore.
[01:13:42.000 --> 01:13:47.000]  We're done.
[01:13:47.000 --> 01:13:49.000]  Trump isn't out to get us.
[01:13:49.000 --> 01:13:51.000]  That's why the globalists are pissed.
[01:13:51.000 --> 01:13:55.000]  You imagine being the managers over America that just conquered the world.
[01:13:55.000 --> 01:13:57.000]  You've merged the British Empire.
[01:13:57.000 --> 01:14:02.000]  It's the 1950s and the United States is 80% of global production.
[01:14:02.000 --> 01:14:04.000]  Americans back then were like 60% of the wealth.
[01:14:04.000 --> 01:14:05.000]  It was 50 by the 90s.
[01:14:05.000 --> 01:14:09.000]  Now we're 30 some.
[01:14:09.000 --> 01:14:12.000]  And you make a decision to carve it all up and give it to elite families
[01:14:12.000 --> 01:14:15.000]  and robber barons to shell industries and not even allow them
[01:14:15.000 --> 01:14:18.000]  via regulations in the United States or Europe and move them.
[01:14:18.000 --> 01:14:21.000]  Can you imagine the power these people got?
[01:14:21.000 --> 01:14:23.000]  It's what Bannon said in this interview with the Hollywood Reporter.
[01:14:23.000 --> 01:14:27.000]  He goes, there's a whole bunch of corporations that are five, six, seven, eight, nine,
[01:14:27.000 --> 01:14:32.000]  10, 15, 20 billion dollars.
[01:14:32.000 --> 01:14:34.000]  And they've got nine employees.
[01:14:34.000 --> 01:14:36.000]  How the hell do you have a...
[01:14:36.000 --> 01:14:38.000]  Let me read the exact quote.
[01:14:38.000 --> 01:14:44.000]  I don't want to paraphrase it here for you.
