[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[55:57.000 --> 55:59.000]  Remember, that's what Fauci said.
[55:59.000 --> 56:00.000]  Well, now they've admitted it.
[56:00.000 --> 56:05.000]  Now they've admitted, yes, it is mRNA experimental technology,
[56:05.000 --> 56:07.000]  but it's a miracle.
[56:07.000 --> 56:09.000]  It can save you from anything.
[56:09.000 --> 56:11.000]  It can fight any disease.
[56:11.000 --> 56:13.000]  It's the wonder drug.
[56:13.000 --> 56:15.000]  It'll make you immortal.
[56:15.000 --> 56:17.000]  Just take it.
[56:17.000 --> 56:20.000]  And so here's just one of the examples of the headlines,
[56:20.000 --> 56:22.000]  but there's not the best example.
[56:22.000 --> 56:25.000]  It's just the one I had on my desk, but there's hundreds of these.
[56:25.000 --> 56:30.000]  People vaccinated against COVID-19, less likely to die of other causes.
[56:30.000 --> 56:35.000]  Oh, those who received the Pfizer vaccine, Moderna vaccine,
[56:35.000 --> 56:38.000]  or Johnson & Johnson vaccine, the mRNA vaccines,
[56:38.000 --> 56:42.000]  are less likely to die from non-COVID related causes.
[56:42.000 --> 56:45.000]  A CDC study found.
[56:45.000 --> 56:48.000]  Really? Really?
[56:48.000 --> 56:53.000]  So now the vaccine, well, it was never meant for COVID.
[56:53.000 --> 56:56.000]  It was always meant for this.
[56:56.000 --> 56:58.000]  And it'll make you immortal.
[56:58.000 --> 57:00.000]  Of course, that's bull crap.
[57:00.000 --> 57:04.000]  But see what they're doing is they're giving you a little vision
[57:04.000 --> 57:08.000]  into their future of this technology, which is they're hoping
[57:08.000 --> 57:11.000]  that the mRNA technology that they're putting on this
[57:11.000 --> 57:17.000]  will actually be some sort of cure-all with replacement synthetic DNA
[57:17.000 --> 57:21.000]  where they can basically identify things and then put this vaccine in you,
[57:21.000 --> 57:25.000]  and it'll be like smart technology, smart nanotechnology,
[57:25.000 --> 57:27.000]  that'll know where to go or what disease to fight
[57:27.000 --> 57:29.000]  or what cancer to fight or anything.
[57:29.000 --> 57:34.000]  But see, they don't have it yet, and they're just testing it on you right now.
[57:34.000 --> 57:39.000]  So tens of thousands, maybe hundreds of thousands, maybe millions will die.
[57:39.000 --> 57:41.000]  But oh, they'll sell you now.
[57:41.000 --> 57:43.000]  They're coming out with their next phase saying,
[57:43.000 --> 57:44.000]  well, it was never about COVID.
[57:44.000 --> 57:48.000]  It's mRNA vaccines that'll make you immortal. Yeah.
[57:48.000 --> 57:53.000]  We've all heard about the pastor and his famous statement
[57:53.000 --> 57:56.000]  from inside a concentration camp in World War II
[57:56.000 --> 57:59.000]  that when they came for one group, he wasn't part of that group
[57:59.000 --> 58:00.000]  so he didn't stand up.
[58:00.000 --> 58:03.000]  And then when they came for another group, he wasn't part of that group
[58:03.000 --> 58:04.000]  so he didn't stand up.
[58:04.000 --> 58:08.000]  And finally, when they came for him, there was nobody else to stand up.
[58:08.000 --> 58:10.000]  Well, the global social credit score that China's putting in,
[58:10.000 --> 58:13.000]  it's banning people to three hours of video games a week.
[58:13.000 --> 58:16.000]  And if you criticize the government, you can never buy or sell again.
[58:16.000 --> 58:19.000]  Well, that's being brought here and all over the world
[58:19.000 --> 58:22.000]  under the guise of COVID vaccine passports.
[58:22.000 --> 58:23.000]  They even admit it.
[58:23.000 --> 58:25.000]  Now they're saying it's going to be a carbon tax attached to it.
[58:25.000 --> 58:27.000]  They're going to track where you go and what you do
[58:27.000 --> 58:30.000]  and decide where you can go and what you can do.
[58:30.000 --> 58:32.000]  That's what the lockdowns are about.
[58:32.000 --> 58:34.000]  You'll accept that. You'll accept anything.
[58:34.000 --> 58:38.000]  So again, the left is having fun right now with all the censorship and tyranny
[58:38.000 --> 58:40.000]  pretending like they're part of the power structure.
[58:40.000 --> 58:43.000]  But they're all going to be targeted by this nightmare as well.
[58:43.000 --> 58:46.000]  Maybe to get back to basic human rights and promote them,
[58:46.000 --> 59:15.000]  this will be enslaved by this horrible technocracy run by the globalists.
[59:16.000 --> 59:18.000]  It is also human and animal safe.
[59:18.000 --> 59:22.000]  Get up to 20 treatments with the scoop for easy applications.
[59:22.000 --> 59:24.000]  Just pour and flush. It's that simple.
[59:24.000 --> 59:28.000]  Say goodbye to septic problems, gas buildup, and odor.
[59:28.000 --> 59:30.000]  Guaranteed.
[59:30.000 --> 59:50.000]  Visit theBioProse.com and see for yourself.
[1:00:00.000 --> 1:00:21.000]  We're in the second hour of this edition of the Alex Jones show.
[1:00:21.000 --> 1:00:26.000]  Owen Schreuer in studio for Alex who's been working like a busy beaver
[1:00:26.000 --> 1:00:29.000]  on some other projects that you'll know about soon enough.
[1:00:29.000 --> 1:00:34.000]  And I'm joined on the phone now by Dr. Bartlett who wants to get into
[1:00:34.000 --> 1:00:36.000]  what I think is long overdue.
[1:00:36.000 --> 1:00:39.000]  And I'm curious why they're talking about studying ivermectin now
[1:00:39.000 --> 1:00:41.000]  a year and a half later.
[1:00:41.000 --> 1:00:44.000]  Almost unreal that I'm even doing this interview a year and a half later.
[1:00:44.000 --> 1:00:45.000]  It should have been going on years ago.
[1:00:45.000 --> 1:00:49.000]  But first, I have to ask Dr. Bartlett what's going on with this story
[1:00:49.000 --> 1:00:54.000]  where he has been issued a criminal trespassing warning by Medical Center Hospital.
[1:00:54.000 --> 1:00:59.000]  So I'm guessing Dr. Bartlett that they didn't like you calling out the fact
[1:00:59.000 --> 1:01:03.000]  that they were putting human beings in plastic bags,
[1:01:03.000 --> 1:01:07.000]  which is a number one choking hazard that everybody knows about
[1:01:07.000 --> 1:01:10.000]  and yet they're doing this to their patients.
[1:01:10.000 --> 1:01:14.000]  So what's going on with this mistreatment of you, Dr. Bartlett?
[1:01:14.000 --> 1:01:19.000]  You know, I've had people ask me, do you think that this might be
[1:01:19.000 --> 1:01:26.000]  retaliation for helping a whistleblower get her story out about a teenage daughter
[1:01:26.000 --> 1:01:29.000]  who had low oxygen, oxygen saturation of 85%.
[1:01:29.000 --> 1:01:34.000]  She was in distress with COVID and she had a plastic bag placed over her head
[1:01:34.000 --> 1:01:39.000]  and she had no supplemental oxygen during that 30 minutes that she was under the bag.
[1:01:39.000 --> 1:01:44.000]  And so people are asking me, you know, is this possibly retaliation?
[1:01:44.000 --> 1:01:52.000]  But I can say that, you know, I haven't been able to give a statement
[1:01:52.000 --> 1:01:56.000]  and so I'm giving it to you right now about this whole thing.
[1:01:56.000 --> 1:02:01.000]  You know, I was invited into the hospital by an employee that I met outside the hospital.
[1:02:01.000 --> 1:02:05.000]  I had no intention of going in and no one ever asked me to leave.
[1:02:05.000 --> 1:02:12.000]  And I asked the employee outside, have you seen any of these plastic bags
[1:02:12.000 --> 1:02:14.000]  that they were putting over people's heads?
[1:02:14.000 --> 1:02:17.000]  And he said, no, but you know, I know someone that would know.
[1:02:17.000 --> 1:02:23.000]  So he approached me in and I'm greeted with fist bumps and handshakes and smiles
[1:02:23.000 --> 1:02:25.000]  and in an administrative office.
[1:02:25.000 --> 1:02:28.000]  There were no patients that are allowed in that area.
[1:02:28.000 --> 1:02:34.000]  And when I pulled my camera out, I saw these equipment bags that were over
[1:02:34.000 --> 1:02:36.000]  equipment of all things.
[1:02:36.000 --> 1:02:39.000]  And I thought, are those the bags?
[1:02:39.000 --> 1:02:42.000]  And he said, yeah, but we're modifying and I said, really?
[1:02:42.000 --> 1:02:43.000]  And so I had my phone.
[1:02:43.000 --> 1:02:47.000]  I took a picture of these plastic equipment bags over equipment
[1:02:47.000 --> 1:02:50.000]  and that seems to have triggered them.
[1:02:50.000 --> 1:02:55.000]  And that gentleman seemed nervous all of a sudden went into another room
[1:02:55.000 --> 1:03:00.000]  and started texting and I didn't feel the welcomeness anymore.
[1:03:00.000 --> 1:03:02.000]  So I walked out of the hospital.
[1:03:02.000 --> 1:03:04.000]  It was an administrative office.
[1:03:04.000 --> 1:03:06.000]  It was an area where no patients are allowed.
[1:03:06.000 --> 1:03:12.000]  And anyways, this is the hospital that is right now actively being investigated
[1:03:12.000 --> 1:03:17.000]  by the state for this practice of putting plastic bags over patients heads.
[1:03:17.000 --> 1:03:22.000]  And I, you know, initially there was a press conference where it seemed like
[1:03:22.000 --> 1:03:26.000]  the CEO was implying that this was just a one-time experience
[1:03:26.000 --> 1:03:29.000]  because there was one picture that surfaced on social media
[1:03:29.000 --> 1:03:32.000]  of this teenage girl with a bag over her head.
[1:03:32.000 --> 1:03:35.000]  But to my shock and to the shock of many people,
[1:03:35.000 --> 1:03:39.000]  this was something that seems to have been a hospital protocol for up to a year
[1:03:39.000 --> 1:03:43.000]  and they could have stopped the practice any time during that year.
[1:03:43.000 --> 1:03:47.000]  But the initial response of the CEO was almost like, you know,
[1:03:47.000 --> 1:03:49.000]  we're doing this under certain conditions.
[1:03:49.000 --> 1:03:50.000]  It's totally appropriate.
[1:03:50.000 --> 1:03:54.000]  Other hospitals are doing this and justifying it
[1:03:54.000 --> 1:03:56.000]  because if someone doesn't want to wear a mask
[1:03:56.000 --> 1:03:59.000]  or he gave criteria for putting an equipment bag,
[1:03:59.000 --> 1:04:03.000]  a plastic equipment bag over people's heads down to their waist.
[1:04:03.000 --> 1:04:06.000]  And he had criteria that he gave.
[1:04:06.000 --> 1:04:10.000]  But I've never heard what hospitals are doing that.
[1:04:10.000 --> 1:04:14.000]  Johns Hopkins University, Baylor, Scott and White, M.D. Anderson,
[1:04:14.000 --> 1:04:17.000]  he never suggested any other hospitals that are doing it.
[1:04:17.000 --> 1:04:23.000]  And it wasn't until a day before the Texas Department of State Health Services
[1:04:23.000 --> 1:04:27.000]  investigator arrived at the hospital that all of a sudden
[1:04:27.000 --> 1:04:32.000]  they dropped the bagging of patients that were short of breath.
[1:04:32.000 --> 1:04:35.000]  And they could have changed it any time in the year before.
[1:04:35.000 --> 1:04:41.000]  But, you know, I ordered a roll of those bags so you can see how they fit.
[1:04:41.000 --> 1:04:49.000]  And I opened that today and I was shocked that it really was not a thick plastic.
[1:04:49.000 --> 1:04:52.000]  We got to go to a break doctor, hold that statement right there
[1:04:52.000 --> 1:04:55.000]  and we will be back live in 60 seconds.
[1:04:55.000 --> 1:05:00.000]  I'm sitting.
[1:05:04.000 --> 1:05:05.000]  Granny Do Right.
[1:05:05.000 --> 1:05:06.000]  Granny Do Right.
[1:05:06.000 --> 1:05:07.000]  Thanks for holding her on the air. Go ahead.
[1:05:07.000 --> 1:05:10.000]  Yeah, and first of all, let me say I love your products.
[1:05:10.000 --> 1:05:14.000]  I am a granny and for all the senior citizens out there
[1:05:14.000 --> 1:05:17.000]  that may have spent a lifetime in the sun like me,
[1:05:17.000 --> 1:05:21.000]  I was loaded up with sunspots or age spots as they're lovingly called.
[1:05:21.000 --> 1:05:25.000]  But since taking your X2 for the last couple of years,
[1:05:25.000 --> 1:05:27.000]  my skin is just really gorgeous, actually.
[1:05:27.000 --> 1:05:30.000]  People think I'm 55 years old.
[1:05:30.000 --> 1:05:33.000]  And I was already taking your other supplements,
[1:05:33.000 --> 1:05:36.000]  but I thought, you know, well, maybe that's what I need to do
[1:05:36.000 --> 1:05:38.000]  because I just thought it was a hopeless situation.
[1:05:38.000 --> 1:05:41.000]  But when I started taking it, I mean, it doesn't happen immediately.
[1:05:41.000 --> 1:05:45.000]  But, you know, over a period of time, I started noticing,
[1:05:45.000 --> 1:05:47.000]  okay, you know, this is the ticket.
[1:05:47.000 --> 1:05:49.000]  This is working. This is wonderful.
[1:05:49.000 --> 1:05:53.000]  You know, I don't have to put on derma blend anymore.
[1:05:53.000 --> 1:05:56.000]  You know, so anyway, it worked wonderfully
[1:05:56.000 --> 1:06:25.000]  and it really has totally cleared up my skin.
[1:06:25.000 --> 1:06:28.000]  And here, I can't even keep track of the days,
[1:06:28.000 --> 1:06:30.000]  but probably a few weeks ago,
[1:06:30.000 --> 1:06:36.000]  how they were using plastic bags as some sort of medical barrier
[1:06:36.000 --> 1:06:41.000]  for COVID patients and they were literally putting plastic bags
[1:06:41.000 --> 1:06:46.000]  over people's heads and bodies down to their torsos in hospitals.
[1:06:46.000 --> 1:06:48.000]  Now, you hear this for the first time
[1:06:48.000 --> 1:06:51.000]  and you think that this is completely insane.
[1:06:51.000 --> 1:06:56.000]  This is, of course, a safety hazard that everybody knows about for kids.
[1:06:56.000 --> 1:07:00.000]  You put on plastic bags. Don't let children use them.
[1:07:00.000 --> 1:07:02.000]  They could choke. It's a choking hazard.
[1:07:02.000 --> 1:07:05.000]  It's a breathing hazard. You know, not to put a plastic bag over your head.
[1:07:05.000 --> 1:07:08.000]  I mean, again, it's like you don't run with scissors.
[1:07:08.000 --> 1:07:11.000]  But somehow they're doing this in hospitals.
[1:07:11.000 --> 1:07:15.000]  So a whistleblower came out and Dr. Bartlett hopped on the story
[1:07:15.000 --> 1:07:18.000]  to figure out what was going on and then they responded,
[1:07:18.000 --> 1:07:22.000]  oh, but this is just procedure. This is just our normal procedure.
[1:07:22.000 --> 1:07:26.000]  We've been doing this. Whether they lied about that or not is still unclear.
[1:07:26.000 --> 1:07:30.000]  So Dr. Bartlett went to find out exactly what was going on.
[1:07:30.000 --> 1:07:33.000]  He went to that hospital. He was welcomed in, shook hands, said,
[1:07:33.000 --> 1:07:37.000]  hey, you know, what's going on? What's this procedure I hear about with the plastic bags?
[1:07:37.000 --> 1:07:41.000]  Well, then he starts asking some questions, finds the bags they're using,
[1:07:41.000 --> 1:07:43.000]  and all of a sudden they become standoffish.
[1:07:43.000 --> 1:07:47.000]  And now that there's an investigation going on to the use of the plastic bags,
[1:07:47.000 --> 1:07:51.000]  all of a sudden the hospital has supposedly changed what was their protocol
[1:07:51.000 --> 1:07:56.000]  from putting plastic bags over people's heads to not putting plastic bags over people's heads.
[1:07:56.000 --> 1:07:59.000]  This all sounds clown world and I understand because it is.
[1:07:59.000 --> 1:08:05.000]  Dr. Bartlett, did I recap all of that right? And where does it stand now?
[1:08:05.000 --> 1:08:10.000]  So Medical Center Hospital is the hospital in Odessa. It's a hospital with over 400 beds.
[1:08:10.000 --> 1:08:13.000]  So it's a large hospital for the area.
[1:08:13.000 --> 1:08:17.000]  And you know, there's 800 hospitals approximately in Texas,
[1:08:17.000 --> 1:08:21.000]  but the Department of State Health Services, the State of Texas,
[1:08:21.000 --> 1:08:27.000]  was concerned enough that we right now have an active investigation of this particular hospital
[1:08:27.000 --> 1:08:32.000]  where they sent a seasoned investigator from Austin, from the Capitol, to check into this
[1:08:32.000 --> 1:08:39.000]  because it is that concerning to the state to put plastic bags that are made for equipment,
[1:08:39.000 --> 1:08:43.000]  not made for human use, over people's heads and make that a protocol.
[1:08:43.000 --> 1:08:47.000]  That wasn't a one-off. That wasn't once or twice.
[1:08:47.000 --> 1:08:53.000]  My understanding is that they may have had this policy for a year, although they haven't been very transparent.
[1:08:53.000 --> 1:08:57.000]  And that was their original response because it was so outrageous when people found out
[1:08:57.000 --> 1:09:00.000]  that they put a plastic bag over that woman's head.
[1:09:00.000 --> 1:09:04.000]  So it may have just been a clinical, just kind of like emergency response like,
[1:09:04.000 --> 1:09:09.000]  oh, yeah, that's just protocol. That's just protocol. Maybe it was. Maybe it wasn't. If it was,
[1:09:09.000 --> 1:09:13.000]  we're talking about something even worse than just one person being treated like this.
[1:09:13.000 --> 1:09:16.000]  Right. Well, absolutely. It's more than several people.
[1:09:16.000 --> 1:09:20.000]  And it sounds like it's been a policy for a year of a busy hospital.
[1:09:20.000 --> 1:09:26.000]  And so my understanding is that they were doing this for any COVID patient transferred anywhere in the hospital.
[1:09:26.000 --> 1:09:30.000]  I just spoke to a wife whose husband had came home from the ICU there.
[1:09:30.000 --> 1:09:36.000]  And she said that to her horror when she saw that picture of the child with the bag of her head,
[1:09:36.000 --> 1:09:41.000]  she asked her husband who's still recovering. And he said, yes, they put that over me several times.
[1:09:41.000 --> 1:09:45.000]  And so, you know, over the last 30 years, I've been a fierce patient advocate.
[1:09:45.000 --> 1:09:53.000]  And I've been very public about holding everyone accountable in healthcare to be transparent and to be accountable.
[1:09:53.000 --> 1:10:00.000]  And so, you know, apparently this hospital and their hospital minutes refers to what's known as the eye care values,
[1:10:00.000 --> 1:10:05.000]  integrity, compassion, accountability, respect, excellence.
[1:10:05.000 --> 1:10:13.000]  I don't know how this applies to putting a plastic bag over someone's head that might be fighting for breath.
[1:10:13.000 --> 1:10:19.000]  And so bottom line, we have to stand up for those. They can't only stand up for themselves.
[1:10:19.000 --> 1:10:26.000]  They don't even have the breath to speak possibly. And so those that are in positions of responsibility
[1:10:26.000 --> 1:10:30.000]  need to stand up for those that can't stand up for themselves.
[1:10:30.000 --> 1:10:37.000]  But you know, what about if you came to visit your grandmother at the nursing home
[1:10:37.000 --> 1:10:44.000]  and you saw this fragile elderly person with a bag over her head sitting in the corner in a wheelchair?
[1:10:44.000 --> 1:10:50.000]  Or let's say just to put this in a different realm, let's say you go to the daycare
[1:10:50.000 --> 1:10:54.000]  where you leave your kid every day and they're running around with scissors.
[1:10:54.000 --> 1:10:58.000]  Or hell, they're putting plastic bags over their head and nobody's taking them off.
[1:10:58.000 --> 1:11:01.000]  I mean, it's the same thing. It's like you would never do that.
[1:11:01.000 --> 1:11:04.000]  And if you saw that, you would either have somebody investigate them
[1:11:04.000 --> 1:11:06.000]  or you would never send your kid to that daycare again.
[1:11:06.000 --> 1:11:12.000]  I guarantee that nursing home would be shut down if they were putting plastic bags over an older person's head
[1:11:12.000 --> 1:11:17.000]  that was low on oxygen, literally documented to have an oxygen saturation of 85.
[1:11:17.000 --> 1:11:20.000]  Instead of putting supplemental oxygen, put a bag over them.
[1:11:20.000 --> 1:11:25.000]  If that hospital got caught doing that, one nursing home got caught doing that one time,
[1:11:25.000 --> 1:11:28.000]  that nursing home would be shut down and you're exactly right.
[1:11:28.000 --> 1:11:33.000]  It's unhealthy whether you're a child in a daycare or whether you're an elderly person in a nursing home.
[1:11:33.000 --> 1:11:36.000]  You wouldn't want grandma to have a bag over her head.
[1:11:36.000 --> 1:11:42.000]  But, you know, to have this as policy, even if the nursing home says that's our protocol,
[1:11:42.000 --> 1:11:48.000]  well, that would not fly to say that and to think that everybody should put up with that.
[1:11:48.000 --> 1:11:52.000]  But, you know, I've been invited over the last year and a half,
[1:11:52.000 --> 1:11:57.000]  I've been doing interviews, been sought out to give my advice about dealing with COVID.
[1:11:57.000 --> 1:12:01.000]  This is literally part of a COVID protocol.
[1:12:01.000 --> 1:12:06.000]  You know, how about early outpatient treatment that's been effective?
[1:12:06.000 --> 1:12:09.000]  I've talked about Udess and I that was confirmed by Oxford University,
[1:12:09.000 --> 1:12:11.000]  the oldest university in the English-speaking world.
[1:12:11.000 --> 1:12:13.000]  How about monoclonal antibodies?
[1:12:13.000 --> 1:12:19.000]  I was part of the first three weeks of starting a monoclonal antibody infusion center in Odessa
[1:12:19.000 --> 1:12:24.000]  across the street from that hospital where I was six days a week for 11-hour days
[1:12:24.000 --> 1:12:31.000]  with universal precautions, sweating underneath all that white equipment, only surrounded by COVID patients.
[1:12:31.000 --> 1:12:38.000]  But I did it for a reason because at least 70% decrease in hospitalization and death with monoclonal antibodies.
[1:12:38.000 --> 1:12:39.000]  And you know what?
[1:12:39.000 --> 1:12:44.000]  Oh, since we started that infusion center, the COVID census at that hospital across the street
[1:12:44.000 --> 1:12:52.000]  that was putting bags on people dropped from 107 COVID patients down to now 33 was the last number I heard.
[1:12:52.000 --> 1:12:54.000]  And so I consider that effective.
[1:12:54.000 --> 1:12:58.000]  That's effective COVID protocols.
[1:12:58.000 --> 1:13:04.000]  Let's get back to that in the next segment because I know that there's some tests that they're doing now
[1:13:04.000 --> 1:13:07.000]  and I guess they're finally admitting ivermectin works a year and a half later.
[1:13:07.000 --> 1:13:15.000]  But let's put a bow on this story here because I mean, imagine if you walk into somebody's room
[1:13:15.000 --> 1:13:18.000]  and they're getting smothered with a pillow and you're saying,
[1:13:18.000 --> 1:13:23.000]  hey, what are you doing? You're getting smothered that patient with a pillow and they say, oh, this is just our protocol.
[1:13:23.000 --> 1:13:26.000]  Well, you'd immediately think the worst of that person.
[1:13:26.000 --> 1:13:38.000]  So Dr. Barlett, I mean, let's look at the evidence that we have and say it's pretty likely that the protocols was to put plastic bags over people's heads.
[1:13:38.000 --> 1:13:39.000]  I can't believe I'm saying it.
[1:13:39.000 --> 1:13:45.000]  But I mean, circumstantial evidence, I think you have enough to say that it's pretty sure that they were putting plastic bags over people's heads with protocol.
[1:13:45.000 --> 1:13:51.000]  So where does that lead? What conclusions do you reach as bad as they may be?
[1:13:51.000 --> 1:13:56.000]  What conclusions do you reach about a hospital that would do that, that would make that protocol?
[1:13:56.000 --> 1:14:03.000]  Whereas anybody else would look at that as something that is not just against all common sense but an attack on somebody.
[1:14:03.000 --> 1:14:09.000]  Oh, and I can't understand why no nurse, no doctor, no respiratory therapist said this is wrong.
[1:14:09.000 --> 1:14:20.000]  It's bad medicine. When someone's low on oxygen, you give them oxygen, you don't put a plastic bag over their head that could decrease their supply of oxygen when they're in distress, possibly.
[1:14:20.000 --> 1:14:24.000]  That's why they're in the hospital. But why didn't anybody report this?
[1:14:24.000 --> 1:14:31.000]  Or at least, and for them to, you know, I'm an ATLS instructor, Advanced Trauma Life Support.
[1:14:31.000 --> 1:14:35.000]  We taught the ABCs, Airway Breathing Circulation, Stabilize the Breathing.
[1:14:35.000 --> 1:14:40.000]  When I teach doctors that to work in the ER, we never had a plastic equipment bag there.
[1:14:40.000 --> 1:14:51.000]  We would talk about the endotracheal tube. We'd talk about putting a face mask with oxygen, supplying oxygen, giving them oxygenation.
[1:14:51.000 --> 1:14:57.000]  We never talked about depriving or doing a plastic bag. This is totally foreign to me.
[1:14:57.000 --> 1:15:02.000]  It should be foreign to every seasoned healthcare provider that loves people.
[1:15:02.000 --> 1:15:12.000]  And so the bottom line is, you know, if you stand up for those that can't stand up for themselves and they can't speak up for themselves, you might get swung at.
[1:15:12.000 --> 1:15:17.000]  But you know what? It's the right thing to do to stand up for others. We've got to help other people.
[1:15:17.000 --> 1:15:24.000]  And I just want to say these plastic bags are designed to cover equipment, medical equipment, not people.
[1:15:24.000 --> 1:15:33.000]  Yet the hospital has admitted to covering patients' heads with them. The community should be concerned that they don't want me there.
[1:15:33.000 --> 1:15:41.000]  Yeah, they're more outraged that you, a medical doctor, went there to ask about a protocol than they are about a potentially deadly protocol.
[1:15:41.000 --> 1:15:45.000]  I mean, people die. People literally die from putting plastic bags over their heads.
[1:15:45.000 --> 1:15:50.000]  That's why they put on these bags. Don't give to children, you know, under five years old or whatever.
[1:15:50.000 --> 1:15:56.000]  So, I mean, folks, imagine the mindset of a doctor or somebody putting a plastic bag over someone's head that's already low on oxygen.
[1:15:56.000 --> 1:15:58.000]  I mean, I can't even believe it.
[1:16:01.000 --> 1:16:03.000]  Jacob in Ohio. Welcome. Go ahead.
[1:16:03.000 --> 1:16:04.000]  Hey, how's it going, Alex?
[1:16:04.000 --> 1:16:05.000]  Good.
[1:16:05.000 --> 1:16:09.000]  Great last caller. I just wanted to start with plugging your sleep supplement.
[1:16:09.000 --> 1:16:15.000]  It's basically the only way I get sleep anymore with all the gaslighting, moralization, and absurdity.
[1:16:15.000 --> 1:16:17.000]  It's like we're living in a twilight zone.
[1:16:17.000 --> 1:16:20.000]  All right. Eric in New Hampshire. Eric, thanks for calling. Go ahead.
[1:16:20.000 --> 1:16:22.000]  Hey, Alex. Thanks for taking my call.
[1:16:22.000 --> 1:16:25.000]  If I could, I just want to throw a quick plug out for the owner of the product.
[1:16:25.000 --> 1:16:28.000]  The X2 does wonders. They recommend it to everybody.
[1:16:28.000 --> 1:16:32.000]  You're on the fence about it. Get off the fence. Get the product. Support the info ward.
[1:16:32.000 --> 1:16:35.000]  Tyler in Maine. You're on the air. Thanks for holding. Go ahead.
[1:16:35.000 --> 1:16:37.000]  Hey, Alex. It's great to be on with you. It's an honor.
[1:16:37.000 --> 1:16:38.000]  Honored to talk to you.
[1:16:38.000 --> 1:16:39.000]  Awesome.
[1:16:39.000 --> 1:16:45.000]  So, firstly, I wanted to do was say I love the products, alpha power, even at 29.
[1:16:45.000 --> 1:16:49.000]  She asked my better half. She loves it and it helps with the bedroom.
[1:16:49.000 --> 1:16:51.000]  So, just number one for a few of you.
[1:16:51.000 --> 1:16:53.000]  That only works. It's not a joke.
[1:16:53.000 --> 1:16:54.000]  Absolutely.
[1:16:58.000 --> 1:17:03.000]  By now, you've heard me talk about the Bio Pros and how they're creating amazing products.
[1:17:03.000 --> 1:17:08.000]  They've done it again and have just released an entire suite of bio remediation products
[1:17:08.000 --> 1:17:12.000]  bringing industrial level technology to the everyday consumer.
[1:17:12.000 --> 1:17:16.000]  They're really changing the industry with a revolutionary patented delivery system.
[1:17:16.000 --> 1:17:22.000]  The Bio Pros are excited to release Bio RV Pro, a product specifically designed to establish healthy
[1:17:22.000 --> 1:17:24.000]  black and or gray water holding tanks.
[1:17:24.000 --> 1:17:30.000]  Bio RV Pro digests grease, fats, oils, sludge, paper, and organic matter with ease.
[1:17:30.000 --> 1:17:32.000]  It is also human and animal safe.
[1:17:32.000 --> 1:17:36.000]  Get up to 20 treatments, coupled with an easy application scoop.
[1:17:36.000 --> 1:17:38.000]  Just pour and flush. It's that simple.
[1:17:38.000 --> 1:17:44.000]  It contains no chemicals, no GMOs, and is safe for black, gray holding tanks, sewer hoses, and plumbing.
[1:17:44.000 --> 1:17:48.000]  Say goodbye to holding tank problems, gas buildup, and odor.
[1:17:48.000 --> 1:17:54.000]  Guaranteed. Stick it to the stinky, slinky with Bio RV Pro.
[1:17:54.000 --> 1:18:20.000]  Visit thebiopros.com and see for yourself.
[1:18:24.000 --> 1:18:50.000]  Visit thebiopros.com and see for yourself.
[1:18:50.000 --> 1:18:54.040]  percent off at m4warstore.com. That's going to end up selling out by Monday as well at
[1:18:54.040 --> 1:18:58.840]  current sales rates. So get great products to support the M4 at m4warstore.com. I am
[1:18:58.840 --> 1:19:05.160]  taping this update on the morning of Friday, October 22, 2021. Listeners who've already
[1:19:05.160 --> 1:19:11.160]  tried and really seen the powerful effects of Rainforest Ultra should be excited to know
[1:19:11.160 --> 1:19:16.360]  that we've got a limited supply of it in stock, but it'll be sold out at current sales rates
[1:19:16.360 --> 1:19:21.960]  by Monday morning. Despite that fact, we're still offering a major discount of 25 percent
[1:19:21.960 --> 1:19:26.280]  off. It is an amazing, new tropic. I went to one of the top labs in the country and I said
[1:19:26.280 --> 1:19:32.320]  I want very powerful, quick acting, extremely clean, new tropic that wears off quick because
[1:19:32.320 --> 1:19:36.480]  I want to be able to take it if I've got to work till 10 at night, take it at 7 and for
[1:19:36.480 --> 1:19:42.240]  it to wear off by 10. And that's exactly what they did with Rainforest Ultra. Now we have
[1:19:42.240 --> 1:19:45.680]  other great products like TurboForce that last for 10 hours. It's a different formula.
[1:19:45.680 --> 1:19:48.920]  It's over the top powerful. So strong. I can't even take it. By the way, it's sold out right
[1:19:48.920 --> 1:19:54.360]  now. The Rainforest Ultra is really something special. It's 25 percent off limited supply.
[1:19:54.360 --> 1:20:21.360]  We'll sell out early next week in FullWareStore.com.
[1:20:21.360 --> 1:20:27.680]  We've got Dr. Richard Bartlett with us. I want to move on to this other story now where
[1:20:27.680 --> 1:20:33.840]  I guess we're allowed to talk about ivermectin now. Here are some headlines. Controversial
[1:20:33.840 --> 1:20:38.960]  drug or controversial? Yes, you must have that. You must have that addendum that it's
[1:20:38.960 --> 1:20:44.400]  controversial even though it's Nobel Prize winning. Controversial drug, ivermectin to
[1:20:44.400 --> 1:20:48.120]  be clinically tested in El Paso. Yes, it's controversial. They just label it controversial
[1:20:48.120 --> 1:20:53.320]  because they want it to be controversial because they are run by big pharma. NIH awards Texas
[1:20:53.320 --> 1:20:59.240]  Hospital 1.7 million grant to study efficacy of four drugs at treating COVID systems, including
