[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[01:44:31.000 --> 01:44:40.000]  Yeah, it's 30 something here in Texas. When chill values could reach 15 to minus 20 according to the advisory.
[01:44:40.000 --> 01:44:48.000]  Speaking of earthquakes probably fracking mysterious quakes rattling coral gables homes outside Miami.
[01:44:48.000 --> 01:44:50.000]  CBS Miami.
[01:44:50.000 --> 01:44:58.000]  Here's some good news. Virginia measure could put PETA out of the animal shelter business the Washington Post.
[01:44:58.000 --> 01:45:05.000]  PETA on record kills about 90% of the animals that are brought to their bizarro shelters.
[01:45:05.000 --> 01:45:13.000]  And I know people that have worked for PETA in Virginia at their headquarters and they pressure the employees to go adopt animals.
[01:45:13.000 --> 01:45:19.000]  And then this is what I was told and I didn't believe it at the time and later it came out on the news.
[01:45:19.000 --> 01:45:23.000]  They sit there literally getting crazy looks in their eyes while they inject them.
[01:45:23.000 --> 01:45:29.000]  It's not a weirdo freak cult folks. And because they don't believe you should have a domesticated animal.
[01:45:29.000 --> 01:45:32.000]  It's really just a transhumanist death cult.
[01:45:32.000 --> 01:45:39.000]  So there you go. But some good news on that front. These are not really top stories. They're just they're just interesting.
[01:45:39.000 --> 01:45:43.000]  Here's the toll free number. I'm going to open the phones up right now.
[01:45:43.000 --> 01:45:48.000]  We're going to reset the phone system so that it's operable up there at the network.
[01:45:48.000 --> 01:45:57.000]  We're going to open the phones up. The toll free number to join us is 800-259-9231.
[01:45:57.000 --> 01:46:06.000]  I want to open the phones up for first time callers today on any issue you'd like to cover on any topic you'd like to go over.
[01:46:06.000 --> 01:46:13.000]  It's a total free for all the attack on the Internet. The fact that the globalists are now moving in high gear on every front.
[01:46:13.000 --> 01:46:21.000]  On from open borders to web censorship to forced inoculations. I mean the hammer is dropping. That's really the big topic.
[01:46:21.000 --> 01:46:26.000]  Why do you think the hammer is dropping? Why are they accelerating their globalist takeover program?
[01:46:26.000 --> 01:46:29.000]  Why are they just thrilling in everybody's face?
[01:46:29.000 --> 01:46:38.000]  800-259-9231. 800-259-9231.
[01:46:38.000 --> 01:46:42.000]  We're going to go to break. Come back and start taking your phone calls.
[01:46:42.000 --> 01:46:51.000]  Briefly, I wanted to tell listeners, because I've been an hour and 47 minutes of news and a guest had not plugged any of our products.
[01:46:51.000 --> 01:46:57.000]  If you notice, most talk shows have plugged products' responses every segment.
[01:46:57.000 --> 01:47:03.000]  I should do that because then our funding issues would be over, but I just get so obsessed with the news I don't tend to do it enough.
[01:47:03.000 --> 01:47:14.000]  We have life changing, in my view, products like DNA force, the Rolls-Royce of known compounds that are incredibly hard to get and incredibly expensive.
[01:47:14.000 --> 01:47:19.000]  One of the organic products in here cost us $12,000 a kilo.
[01:47:19.000 --> 01:47:34.000]  It's a Rolls-Royce nutraceutical. It's got QQ10. It's got a whole bunch of other really amazing things in it that are unprecedented.
[01:47:34.000 --> 01:47:41.000]  Stragulus root, bio-enhanced, NAR, bioptic acid, P40, palm-granted extract, Tibetan extracts.
[01:47:41.000 --> 01:47:43.000]  It's got a whole bunch of other incredible stuff.
[01:47:43.000 --> 01:47:52.000]  Bio-PQQ, that's what's really expensive, and a whole bunch of other things that have supercharged my health, my mind, my body.
[01:47:52.000 --> 01:47:57.000]  It is the Rolls-Royce product at an incredibly affordable price.
[01:47:57.000 --> 01:48:01.000]  Comparable formulas are three to six times more.
[01:48:01.000 --> 01:48:05.000]  Comparable formulas are $600.
[01:48:05.000 --> 01:48:13.000]  And I know why. In the industry, things are marked up seven times on average in the supplement industry.
[01:48:13.000 --> 01:48:17.000]  They put crap in it, and then they do marketing. We don't do that.
[01:48:17.000 --> 01:48:23.000]  We put the most expensive, high-quality products we can, and then sell them at the very lowest prices we can.
[01:48:23.000 --> 01:48:33.000]  So we've got some products that cost $14.95, like the ancient defense known, easily obtainable, high-quality organic herbs.
[01:48:33.000 --> 01:48:37.000]  And then it costs us $6, $7 a bottle, and we sell it for $14.95.
[01:48:37.000 --> 01:48:42.000]  In the industry, you do that, and you sell it for $30, or $40.
[01:48:42.000 --> 01:48:52.000]  DNA Force is like $150, but it's got stuff patented and confirmed to repair telomeres.
[01:48:52.000 --> 01:49:01.000]  I mean, you name it. This is it. Comparable stuff, $300 to $600. This is $150, and it's still marked up double.
[01:49:01.000 --> 01:49:06.000]  And your purchase funds our operation. It takes a lot of money to run this operation.
[01:49:06.000 --> 01:49:12.000]  The poor man's DNA Force is Occupower. The stuff in our Occupower eye formula is not just for the eyes.
[01:49:12.000 --> 01:49:17.000]  And I take it every day as well. DNA Force, though, and we have people on about this.
[01:49:17.000 --> 01:49:22.000]  If you've had nerve damage, like in your back, your hand, or whatever, where my finger was cut off,
[01:49:22.000 --> 01:49:26.000]  it was still a little bit sore, even though it happened 10 years ago.
[01:49:26.000 --> 01:49:34.000]  It's not sore, and it's not numb anymore. But first, it got real numb as the nerve was growing back.
[01:49:34.000 --> 01:49:39.000]  Now, that's what this stuff's patented and known to do, but I mean, it's no joke.
[01:49:39.000 --> 01:49:41.000]  I'm not saying it'll do that for you. Consult your physician.
[01:49:41.000 --> 01:49:45.000]  But this is stuff we can actually make claims about because it's patented.
[01:49:45.000 --> 01:49:47.000]  But that's why it's so expensive. This is the real deal.
[01:49:47.000 --> 01:49:52.000]  DNA Force, your purchase supports the broadcast, infowarslife.com.
[01:49:52.000 --> 01:50:00.000]  Or we've got oil of oregano in the caplets, the best organic sourced from the Mediterranean,
[01:50:00.000 --> 01:50:03.000]  the highest quality at an extremely low price.
[01:50:03.000 --> 01:50:09.000]  We've got our colloidal silver at $10 less than what it sold for at Whole Foods.
[01:50:09.000 --> 01:50:13.000]  We private label the same stuff they private label from the highest quality lab in the country,
[01:50:13.000 --> 01:50:17.000]  and we sell it for $5 to $10 less, depending on what special we're running.
[01:50:17.000 --> 01:50:22.000]  Now, it's $10 less than Whole Foods, two ounce bottle of silver bullet colloidal silver.
[01:50:22.000 --> 01:50:25.000]  Topical, it could also be ingested. Consult your physician.
[01:50:25.000 --> 01:50:33.000]  We've got 20% off on DNA, 20% off on super male and super female vitality.
[01:50:33.000 --> 01:50:36.000]  We're tele-proper free here. That's going to end in just a couple days.
[01:50:36.000 --> 01:50:43.000]  That was a special for this month. We've got 20% off on super male and super female vitality at infowarslife.com.
[01:50:43.000 --> 01:50:45.000]  Stay with us.
[01:50:45.000 --> 01:50:48.000]  This hour brought to you by infidelbodyarmor.com.
[01:50:48.000 --> 01:50:52.000]  When it hits the fan, don't be left without the body armor that will save your life.
[01:50:52.000 --> 01:50:58.000]  With prices starting at just $374.99 and ships free, get yours at infidelbodyarmor.com.
[01:50:58.000 --> 01:51:16.000]  Just won't quit.
[01:51:29.000 --> 01:51:33.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:51:33.000 --> 01:51:37.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:51:37.000 --> 01:51:59.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[01:52:08.000 --> 01:52:12.000]  Infowars is striking back in the month of February with Human Empowerment Month.
[01:52:12.000 --> 01:52:17.000]  How we can come together and win the human race and celebrate the kickoff of Human Empowerment Month.
[01:52:17.000 --> 01:52:23.000]  We're slashing prices on infowarslife.com products like super male and super female vitality.
[01:52:23.000 --> 01:52:29.000]  The sale is only running for the month, 20% off, and there's a lot of other powerful specials at infowarslife.com.
[01:52:29.000 --> 01:52:34.000]  Infowarslife.com celebrating human potential in the month of February.
[01:52:34.000 --> 01:52:38.000]  Visit infowarslife.com to find this special and many others in the month of February.
[01:52:38.000 --> 01:53:05.000]  Again, infowarslife.com or 888-253-3139.
[01:53:08.000 --> 01:53:13.000]  Visit infowarslife.com to find this special and many others in the month of February.
[01:53:38.000 --> 01:53:43.000]  Visit infowarslife.com to find this special and many others in the month of February.
[01:54:08.000 --> 01:54:11.000]  I'll start going to your phone calls and going over other news we haven't hit yet.
[01:54:11.000 --> 01:54:17.000]  You can get DNA force that is the Rolls Royce at a Mercedes price.
[01:54:17.000 --> 01:54:23.000]  So it's about three or four times cheaper than the leading competitor for the best of the same thing.
[01:54:23.000 --> 01:54:31.000]  You get super male vitality at about half what the leading competitor puts out as a testosterone booster.
[01:54:31.000 --> 01:54:36.000]  And we don't advertise it as that. That's not really exactly what it even does. It just gets your glands going.
[01:54:36.000 --> 01:54:40.000]  If you want to see dramatic effect, you've heard the rave reviews from listeners.
[01:54:40.000 --> 01:54:45.000]  This is not a game. This is concentrated, cold pressed, extremely expensive product.
[01:54:45.000 --> 01:54:49.000]  Give you an example. It cost me $18 a bottle.
[01:54:49.000 --> 01:54:54.000]  And then we mark it up. We got to fund this operation and the reporters and all the bills and the rest of it.
[01:54:54.000 --> 01:55:04.000]  But other people we happen to know put like $2 in other formulas of just some really strong herb that just does one thing but has side effects.
[01:55:04.000 --> 01:55:10.000]  And they sell it for a hundred. But they'll have like movie stars out there promoting it and all the money goes into the marketing.
[01:55:10.000 --> 01:55:13.000]  We don't do that. And that's how we fund our operation.
[01:55:13.000 --> 01:55:20.000]  So super male and super female vitality, 20% off already discounted a great time to start.
[01:55:20.000 --> 01:55:27.000]  And quite frankly, women have an even bigger on average effect with super female than we see with super male.
[01:55:27.000 --> 01:55:30.000]  And it's about energy. It's about stamina. It's about libido.
[01:55:30.000 --> 01:55:37.000]  We've all been artificially suppressed and it's amazing what cold pressed organic herbs can do.
[01:55:37.000 --> 01:55:40.000]  So this special will end when February ends.
[01:55:40.000 --> 01:55:44.000]  We customarily go a few extra days afterwards to give stragglers a chance.
[01:55:44.000 --> 01:55:50.000]  But there's a bunch of specials, the free bottle of ancient defense for the X2, nascent iodine.
[01:55:50.000 --> 01:55:52.000]  That's going to be ending next week.
[01:55:52.000 --> 01:56:03.000]  Take infowarslife.com or infowarsstore.com or call toll-free 888-253-3139.
[01:56:03.000 --> 01:56:09.000]  And a lot of guys I know like the super female rather than the super male.
[01:56:09.000 --> 01:56:18.000]  Because without going into detail, there are two ingredients in the super female that are not in the super male.
[01:56:18.000 --> 01:56:24.000]  One of them has a very obnoxious folk name. It's something goatweed.
[01:56:24.000 --> 01:56:27.000]  And it works on men and women.
[01:56:27.000 --> 01:56:32.000]  But I didn't come out with this as a herbal viagra.
[01:56:32.000 --> 01:56:36.000]  And I know folks that take viagra and they say this does a better job than viagra or Cialis.
[01:56:36.000 --> 01:56:40.000]  If I'm not comparing it to a drug, that's just what they personally tell me.
[01:56:40.000 --> 01:56:43.000]  We don't sell it as that. That's a side effect.
[01:56:43.000 --> 01:56:48.000]  It's overall increased stamina in the gym, you name it, is what I personally have experienced.
[01:56:48.000 --> 01:56:51.000]  But regardless, try it out and what do you have to lose?
[01:56:51.000 --> 01:56:55.000]  If it doesn't work for you, we haven't found anybody yet. You've heard the callers.
[01:56:55.000 --> 01:56:59.000]  Literally no emails, no nothing. The few complaints are my bottle was broken.
[01:56:59.000 --> 01:57:02.000]  Will you send me another one? Well, of course we will.
[01:57:02.000 --> 01:57:06.000]  The customer service folks are standing by. We want to serve you.
[01:57:06.000 --> 01:57:10.000]  A, it's the right thing to do. B, we want repeat customers.
[01:57:10.000 --> 01:57:13.000]  And I had terrible customer service 10 years ago because I was a very small operation.
[01:57:13.000 --> 01:57:15.000]  It's tip top right now.
[01:57:15.000 --> 01:57:20.000]  We answer the phones until about six at night, seven days a week, right here in our offices.
[01:57:20.000 --> 01:57:23.000]  Then it goes to an answering service that are great folks as well.
[01:57:23.000 --> 01:57:27.000]  But obviously can't do as thorough a job as actual folks that have worked here for years.
[01:57:27.000 --> 01:57:34.000]  We've got some customer service people that have worked here eight years, like Michelle over there,
[01:57:34.000 --> 01:57:37.000]  who's just been doing a fabulous job. I don't know what to say her last name.
[01:57:37.000 --> 01:57:42.000]  Probably didn't want me to. The point is, it is your purchasing of the products that makes all this possible.
[01:57:42.000 --> 01:57:46.000]  You can also call toll free and talk to the great customer service people or order via the phone.
[01:57:46.000 --> 01:57:50.000]  888-253-3139.
[01:57:50.000 --> 01:57:54.000]  And when I kind of do an elaborate plug like this, when I forget to plug for an hour and 40-something minutes,
[01:57:54.000 --> 01:57:58.000]  to pay the bills, we call it midair refueling.
[01:57:58.000 --> 01:58:03.000]  Support those local AM and FM affiliates. Tell your friends and family to tune into the show.
[01:58:03.000 --> 01:58:07.000]  Support those local sponsors or become a sponsor today.
[01:58:07.000 --> 01:58:11.000]  We're doing everything we can. In fact, I got a stack of liners I'm supposed to cut for affiliates.
[01:58:11.000 --> 01:58:14.000]  I need to do that at two o'clock today before I go to all these other meetings.
[01:58:14.000 --> 01:58:18.000]  A lot of big things happening here, and it's all because of your support and your prayers.
[01:58:18.000 --> 01:58:22.000]  I salute you and want to thank you. We'll be right back, ladies and gentlemen,
[01:58:22.000 --> 01:58:25.000]  with a third hour of your phone calls and a ton of news.
[01:58:25.000 --> 01:58:29.000]  Thank you for listening to GCN.
[01:58:29.000 --> 01:58:34.000]  Visit GCNLive.com today.
[01:59:00.000 --> 01:59:04.000]  A popular conspiracy theory talk show called Info Wars.
[01:59:04.000 --> 01:59:06.000]  Alex Jones is now in an Austin Jail.
[01:59:06.000 --> 01:59:08.000]  These people are assaulting us.
[01:59:08.000 --> 01:59:10.000]  Targeting of patriots engaged.
[01:59:10.000 --> 01:59:16.000]  They are never going to stop. They're never going to deviate from their program until we stop them.
[01:59:16.000 --> 01:59:20.000]  Block free iPhone app at infowars.com.
[01:59:20.000 --> 01:59:23.000]  Block free podcast and video feed.
[01:59:23.000 --> 01:59:26.000]  Imperatives, Detroit, Britain, and its TV.
[01:59:26.000 --> 01:59:30.000]  Shut your eye on the enemy. Not worry about what propaganda they put out.
[01:59:30.000 --> 01:59:59.000]  Get electorally, it's for God you can fail it.
[02:00:00.000 --> 02:00:04.000]  Alex Jones on the GCN Radio Network.
[02:00:04.000 --> 02:00:11.000]  And now, live from Austin, Texas, Alex Jones.
[02:00:11.000 --> 02:00:16.000]  We're now into hour number three, open phones coming up in the next segment.
[02:00:16.000 --> 02:00:21.000]  75% of air and rain samples contained on Santos Roundup.
[02:00:21.000 --> 02:00:23.000]  That's the bad news.
[02:00:23.000 --> 02:00:30.000]  Here's another article with the good news.
[02:00:30.000 --> 02:00:37.000]  Record US, record number of US farmers switching to non-GMO crops in 2015.
[02:00:37.000 --> 02:00:38.000]  Here's another one.
[02:00:38.000 --> 02:00:40.000]  The fall of Al Sharpton is coming close.
[02:00:40.000 --> 02:00:42.000]  Lawsuit accuses Comcast.
[02:00:42.000 --> 02:00:46.000]  Al Sharpton are discriminating against black-owned media.
[02:00:46.000 --> 02:00:49.000]  That's what all these gangster black leaders are about.
[02:00:49.000 --> 02:00:57.000]  Al Sharpton is running rough shot over the black community and basically pimping them out to the Democratic and Republican Party.
[02:00:57.000 --> 02:01:03.000]  Al Sharpton doesn't just shake down regular media that's owned by black-white, you name it.
[02:01:03.000 --> 02:01:04.000]  He shakes everybody down.
[02:01:04.000 --> 02:01:06.000]  The guy's a thug gangster.
[02:01:06.000 --> 02:01:07.000]  So that's all coming up as well.
[02:01:07.000 --> 02:01:09.000]  Another report here.
[02:01:09.000 --> 02:01:12.000]  The spy cables are glimpsed into the world of espionage.
[02:01:12.000 --> 02:01:15.000]  Al Jazeera is set to release a bunch of international spy cables.
[02:01:15.000 --> 02:01:20.000]  I imagine those will be carefully selected and act like it's a leak to put out the image they want to put out.
[02:01:20.000 --> 02:01:22.000]  But we'll see what happens.
[02:01:22.000 --> 02:01:24.000]  But right now, let's go to your phone calls.
[02:01:24.000 --> 02:01:28.000]  We've got to Amy, Charlie, Michael, Rick, Thurman and others.
[02:01:28.000 --> 02:01:29.000]  Charlie, thanks for holding.
[02:01:29.000 --> 02:01:31.000]  You're on the air.
[02:01:31.000 --> 02:01:32.000]  Hello, Alan.
[02:01:32.000 --> 02:01:33.000]  How are you doing?
[02:01:33.000 --> 02:01:36.000]  Pretty good, my friend.
[02:01:36.000 --> 02:01:40.000]  Brother, I just want to say it's an honor to be speaking with you today, a true patriot.
[02:01:40.000 --> 02:01:43.000]  And I'm really proud to be an American.
[02:01:43.000 --> 02:01:47.000]  And I just want to ask you a question and then make a brief comment.
[02:01:47.000 --> 02:01:53.000]  I'm going to go, please, wake up in the morning as men and women, those who have reported that terrible cause.
[02:01:53.000 --> 02:02:01.000]  How can they wake up and face the day in the morning and then set about the job of destroying the American dream like they're doing?
[02:02:01.000 --> 02:02:03.000]  I just don't understand it.
[02:02:03.000 --> 02:02:09.000]  Well, it's the same way that people can sell each other into slavery.
[02:02:09.000 --> 02:02:13.000]  Who was it? Joshua's family sold him into slavery.
[02:02:13.000 --> 02:02:18.000]  It's the same reason that we've done all these evil things where we abort our babies.
[02:02:18.000 --> 02:02:20.000]  They just dehumanize us.
[02:02:20.000 --> 02:02:26.000]  They see themselves as the ruling class and they don't want to have an economy based on freedom anymore.
[02:02:26.000 --> 02:02:31.000]  They have the rationale that it's bad for the earth for us to be wealthy, which they could argue.
[02:02:31.000 --> 02:02:33.000]  But they should just argue for cleaner technologies instead.
[02:02:33.000 --> 02:02:35.000]  They just want to control us.
[02:02:35.000 --> 02:02:38.000]  The elite just don't want a large population anymore.
[02:02:38.000 --> 02:02:42.000]  And so they're busy dumbing us down, preparing us for the culling.
[02:02:42.000 --> 02:02:52.000]  But the globalist, I don't care if they're African elite, Chinese elite, Asian elite, European elite, Latin American elite.
[02:02:52.000 --> 02:02:55.000]  They all pretty much act and dress the same.
[02:02:55.000 --> 02:03:00.000]  They all have the same hobbies and they all get off on dumbing people down and controlling them.
[02:03:00.000 --> 02:03:08.000]  And they tend to be psychopaths and sociopaths who just enjoy screwing people over.
[02:03:08.000 --> 02:03:13.000]  Whereas a normal person likes having people over and cooking dinner for them.
[02:03:13.000 --> 02:03:16.000]  Globalists hate hospitality.
[02:03:16.000 --> 02:03:21.000]  They hate, you know, I mean, they're just parasites.
[02:03:21.000 --> 02:03:24.000]  And they know how to manipulate people.
[02:03:24.000 --> 02:03:27.000]  Good people don't sit around thinking about how to be manipulative.
[02:03:27.000 --> 02:03:31.000]  Well, these globalists do. And so we're basically blind to them.
[02:03:31.000 --> 02:03:35.000]  And we've got a blind spot that they can then take advantage of.
[02:03:35.000 --> 02:03:37.000]  I mean, that's what I think. What do you think?
[02:03:37.000 --> 02:03:42.000]  Well, I think the same way, Alex. And it just baffles me, man.
[02:03:42.000 --> 02:03:48.000]  I tell you, if people would look closely at what the American dream is saying,
[02:03:48.000 --> 02:03:53.000]  it eliminates any kind of racism that they promote racism.
[02:03:53.000 --> 02:03:59.000]  And like you say, in order to keep us separated, so we can't live up to what God created us to be.
[02:03:59.000 --> 02:04:06.000]  And it's a shame, but I really believe that God will bless the patriots of America,
[02:04:06.000 --> 02:04:11.000]  the patriots of the world when we stand up against them and we will overcome them.
[02:04:11.000 --> 02:04:14.000]  But I just want to make a quick comment.
[02:04:14.000 --> 02:04:19.000]  A couple of weeks ago, you mentioned you were going to sponsor an anonymous contest.
[02:04:19.000 --> 02:04:24.000]  Do you still plan to do that if you do? Stay there. I'm going to come back to you.
[02:04:24.000 --> 02:04:26.000]  Don't hang up, Charlie, because you're a great caller.
[02:04:26.000 --> 02:04:31.000]  I want you to be able to elaborate on your question and make other comments.
[02:04:31.000 --> 02:04:35.000]  Here's my problem. I sit up there and have these ideas and then I have a limited crew.
[02:04:35.000 --> 02:04:40.000]  And then I call for things that my crew can't cash.
[02:04:40.000 --> 02:04:43.000]  It's like my mouth writes checks that, you know, my body can't cash.
[02:04:43.000 --> 02:04:50.000]  But we're going to talk about when we come back.
[02:05:14.000 --> 02:05:19.000]  The Average Person's Life is filled with unexpected challenges.
[02:05:19.000 --> 02:05:26.000]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality,
[02:05:26.000 --> 02:05:31.000]  specifically designed to assist the body in regulating proper hormone balance
[02:05:31.000 --> 02:05:35.000]  to create superior vitality in males and females.
[02:05:35.000 --> 02:05:38.000]  Supercharge and conquer your world.
[02:05:38.000 --> 02:05:45.000]  Call at n4slife.com or call 188-253-3139.
[02:06:09.000 --> 02:06:14.000]  To supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[02:06:14.000 --> 02:06:20.000]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful
[02:06:20.000 --> 02:06:26.000]  and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[02:06:26.000 --> 02:06:34.000]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[02:06:34.000 --> 02:06:38.000]  Now is the time to secure ancient defense for you and your family.
[02:06:38.000 --> 02:06:43.000]  Visit n4slife.com or call 188-253-3139.
[02:06:43.000 --> 02:06:45.000]  That's n4slife.com.
[02:06:45.000 --> 02:06:52.000]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[02:06:52.000 --> 02:06:59.000]  At n4slife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver
[02:06:59.000 --> 02:07:02.000]  on the market today for the lowest price available.
[02:07:02.000 --> 02:07:08.000]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America
[02:07:08.000 --> 02:07:10.000]  when it comes to you and your family's health.
[02:07:10.000 --> 02:07:17.000]  n4slife.com is very excited to announce our biggest run yet of silver bullet colloidal silver
[02:07:17.000 --> 02:07:20.000]  exclusively available at n4slife.com.
[02:07:20.000 --> 02:07:27.000]  Now n4slife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial antigens.
[02:07:27.000 --> 02:07:32.000]  Now more than ever, it's important to stock up on high-quality silver bullet from n4slife.com.
[02:07:32.000 --> 02:07:35.000]  No survival chest is complete without silver bullet.
[02:07:35.000 --> 02:07:43.000]  Secure your silver bullet today at n4slife.com or by calling toll-free 888-253-3139.
[02:07:43.000 --> 02:07:44.000]  Silver bullet.
[02:07:44.000 --> 02:08:00.000]  The Alex Jones Show because there is a war on for your mind.
[02:08:00.000 --> 02:08:10.000]  Coming up, lawsuit for $20 billion against Al Sharpton.
[02:08:10.000 --> 02:08:15.000]  We've got some good news on record numbers of farmers planting non-GMO crops.
[02:08:15.000 --> 02:08:25.000]  We're going to get into just a ton of news I haven't hit yet, but if you just joined us, record low temperatures across the entire United States,
[02:08:25.000 --> 02:08:31.000]  but also record low temperatures in Alaska and Hawaii.
[02:08:31.000 --> 02:08:36.000]  So all 50 are record cold, but snow on the ground in 48 states.
[02:08:36.000 --> 02:08:39.000]  The weather channel is reporting.
[02:08:39.000 --> 02:08:47.000]  The paper in Detroit reporting that Ann Arbor breaks record low temperatures set in 1900.
[02:08:47.000 --> 02:08:52.000]  Meanwhile, the Wall Street Journal has the headline from internet to obama net,
[02:08:52.000 --> 02:08:56.000]  and they report that it will slow down the internet and basically kill freedom of the web.
[02:08:56.000 --> 02:09:03.000]  As we know it, the former FCC head says that it is extremely draconian and extremely dangerous.
[02:09:03.000 --> 02:09:10.000]  Obama's regs will make internet slow as in Europe or in FCC, FCC commissioners.
[02:09:10.000 --> 02:09:13.000]  But this is what Congress and others are going ahead with.
[02:09:13.000 --> 02:09:22.000]  Republican FCC commissioner asked Wheeler to delay net neutrality vote release proposal, which is still secret,
[02:09:22.000 --> 02:09:25.000]  and we have articles detailing all that at infowars.com.
[02:09:25.000 --> 02:09:31.000]  But I want to drill into these articles and some other news I haven't hit yet, but first, let's take a bunch of calls here.
[02:09:31.000 --> 02:09:44.000]  Charlie, we're running a contest for people to send in their art for Alex Jones billboards, just the art.
[02:09:44.000 --> 02:09:49.000]  But then part of that contest is to shoot video of either putting up a billboard or putting it up on the side of your barn
[02:09:49.000 --> 02:09:54.000]  or handing out hand bills of the image and then putting that to YouTube.
[02:09:54.000 --> 02:10:01.000]  I just kind of came up with the contest and just said handle it and I haven't seen any of the entries.
[02:10:01.000 --> 02:10:03.000]  I don't know what's going on with it.
[02:10:03.000 --> 02:10:09.000]  And that's the problem. I'll come up with these contests and then I don't follow up on them.
[02:10:09.000 --> 02:10:16.000]  And then we've had film contests where we get a thousand entries, 500 of them plus were good.
[02:10:16.000 --> 02:10:20.000]  And then it took my whole crew, took up all our time to try to judge them.
[02:10:20.000 --> 02:10:27.000]  It was obviously very effective and the contest, some of the videos got millions of views and the aggregate tens of millions of views.
[02:10:27.000 --> 02:10:30.000]  And a lot of major filmmakers got involved.
[02:10:30.000 --> 02:10:34.000]  I had one contest was for $100,000 for the first price.
[02:10:34.000 --> 02:10:38.000]  That's as big as the Doritos contest.
[02:10:38.000 --> 02:10:43.000]  I couldn't do that anymore. We had some excess funds then, so we did that.
[02:10:43.000 --> 02:10:47.000]  Usually we don't have excess funds, so most contests are like $5,000.
[02:10:47.000 --> 02:10:54.000]  We had one $5,000 contest to hang up flyers in legal and lawful areas with vaccine info about the adverse reactions.
[02:10:54.000 --> 02:10:59.000]  And we probably had 20 or more TV stations around the country covered it.
[02:10:59.000 --> 02:11:02.000]  Newspapers covered it. It was big.
[02:11:02.000 --> 02:11:04.000]  So these contests have all been successful.
[02:11:04.000 --> 02:11:07.000]  It's just that a lot of them aren't as successful as they would be because I don't follow up.
[02:11:07.000 --> 02:11:10.000]  I know this. I said I'd put up two billboards at least.
[02:11:10.000 --> 02:11:19.000]  We were putting one up at the Y. It goes up next week in South Austin and one is up off South IH 35 down off Slaughter.
[02:11:19.000 --> 02:11:30.000]  So the two billboards are going in in Austin just to kind of match in spirit the fellow that put up dozens on the east coast that have had such a big effect.
[02:11:30.000 --> 02:11:37.000]  And it was just the idea of what if listeners put infoworks.com on their car, whether it was a bumper sticker or a big sign.
[02:11:37.000 --> 02:11:42.000]  What if you started your own website and put it on your car? What if you put it on the side of your barn?
[02:11:42.000 --> 02:11:45.000]  A lot of people have been doing this.
[02:11:45.000 --> 02:11:50.000]  So we thank you because it's certainly getting the word out and they're trying to censor us on so many fronts.
[02:11:50.000 --> 02:11:59.000]  That's the reason we should double and triple down and up what we're doing so that people that have never heard the truth come to infoworks.com.
[02:11:59.000 --> 02:12:01.000]  Click on the free video feed.
[02:12:01.000 --> 02:12:07.000]  In fact, it just hit me down at the bottom of infoworks.com and prisonpana.com.
[02:12:07.000 --> 02:12:13.000]  We always have one or two of our most recent YouTube videos posted.
[02:12:13.000 --> 02:12:28.000]  What we should do is get a video player like CNN has where it just says live video and that's pretty much up in the middle or at the top so that people can click it and watch the free video feed that we have right now at infoworks.com
[02:12:28.000 --> 02:12:31.000]  and then have a link or a little window that opens.
[02:12:31.000 --> 02:12:35.000]  We should have a pop-up window. People don't like pop-ups. I've never had them. I don't like them either.
[02:12:35.000 --> 02:12:43.000]  But what about a pop-up window with a nice display with the video feed and then the podcast link and the audio links under it to really push that?
[02:12:43.000 --> 02:12:46.000]  I mean, every other talk show host does that. Why haven't I?
[02:12:46.000 --> 02:12:50.000]  So you kind of bring these issues up. I start a brainstorm on air.
[02:12:50.000 --> 02:13:04.000]  You just don't have the crew to get all these things implemented. I should be a better administrator and focus on what's key, like getting us on satellite, getting us on all these cable systems and TV stations that are ready, willing and able.
[02:13:04.000 --> 02:13:09.000]  That's paramount. Redesign info wars. That's next.
[02:13:09.000 --> 02:13:27.000]  Get a couple more reporters and writers. But I'm always so busy trying to comply with all the government garbage and all the regulations and all the employee stuff and trying to make money to put coal in the engine to get this engine and this train over the mountain.
[02:13:27.000 --> 02:13:32.000]  But here's the deal.
[02:13:32.000 --> 02:13:39.000]  I'm pretty much info wars is up at the top of the mountain right now and I'm looking down the hill now.
[02:13:39.000 --> 02:13:43.000]  And I'm thinking, what's it going to be like when we start rolling down the hill?
[02:13:43.000 --> 02:13:49.000]  I've kind of climbed the mountain with you and my crew and I'm now up here on top of the mountain.
[02:13:49.000 --> 02:13:52.000]  And I see an even bigger mountain.
