[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[01:34:09.000 --> 01:34:12.000]  He's becoming just a routine contributor here. We've interviewed him many times over the years.
[01:34:13.000 --> 01:34:15.000]  He was on last week with us while I was out of town with Bob Dacey.
[01:34:16.000 --> 01:34:21.000]  I'm honored to have him just pop in for 20 minutes or so today because of an incredible story he's written.
[01:34:21.000 --> 01:34:26.000]  The empire turns its guns on the citizenry and also to get his take on the latest developments with the build-up
[01:34:27.000 --> 01:34:28.000]  and the carriers threatening Iran openly.
[01:34:29.000 --> 01:34:32.000]  But I promised to get to your call, so he's holding folks. He said this is okay.
[01:34:33.000 --> 01:34:35.000]  I want to hurry through a few of the callers that have been holding the longest.
[01:34:36.000 --> 01:34:38.000]  So quickly, Nathan and then Manuel and Greg and then I'll get to others later.
[01:34:39.000 --> 01:34:40.000]  Nathan, you're on the air from Texas. Go ahead.
[01:34:41.000 --> 01:34:42.000]  Good afternoon, Mr. Jones.
[01:34:43.000 --> 01:34:44.000]  Hi, go ahead.
[01:34:45.000 --> 01:34:46.000]  I was just wondering if Mr. Russo had sought alternative cancer treatment.
[01:34:47.000 --> 01:34:50.000]  George Gordon or somebody said they have nine cures for cancer right now.
[01:34:51.000 --> 01:34:53.000]  Well, I'm not going to try to get into a debate about cancer.
[01:34:54.000 --> 01:34:57.000]  There are treatments, alternative treatments, but none of them are 100%.
[01:34:58.000 --> 01:35:02.000]  And yes, Aaron Russo has been fighting cancer and had a whole bunch of surgeries.
[01:35:03.000 --> 01:35:04.000]  He's having another one now, today or tomorrow.
[01:35:05.000 --> 01:35:07.000]  He's tried a bunch of alternative stuff.
[01:35:08.000 --> 01:35:11.000]  He's been fighting it for four years. They said he wouldn't last that long.
[01:35:12.000 --> 01:35:14.000]  He made America freedom to fascism while he was sick.
[01:35:15.000 --> 01:35:19.000]  And so anytime somebody, I don't agree with the statement that there are absolute cures.
[01:35:19.000 --> 01:35:20.000]  We're going to die.
[01:35:21.000 --> 01:35:23.000]  We're designed to break down and die to make room for the next group.
[01:35:24.000 --> 01:35:25.000]  And there's things you can do to put a long life.
[01:35:26.000 --> 01:35:28.000]  And he may live and he's been fighting it for four years.
[01:35:29.000 --> 01:35:31.000]  But that's basically it.
[01:35:33.000 --> 01:35:35.000]  Well, I was just curious.
[01:35:36.000 --> 01:35:38.000]  One of the reasons I've sounded like an idiot on air instead of an idiot.
[01:35:39.000 --> 01:35:41.000]  The idiot savant I am is I was under MD's care for insomnia.
[01:35:42.000 --> 01:35:46.000]  And after Ambien and Lemaster did work, they started giving me horse doses of an antidepressant.
[01:35:46.000 --> 01:35:48.000]  It had the wonderful side effects causing sleepiness.
[01:35:49.000 --> 01:35:50.000]  Are you still on it?
[01:35:51.000 --> 01:35:52.000]  Nope. Nope.
[01:35:53.000 --> 01:35:54.000]  Got off of that. Wasn't doing me any good.
[01:35:55.000 --> 01:35:56.000]  It's causing more problems than helping.
[01:35:57.000 --> 01:35:58.000]  Well, good. Thank you for the call.
[01:35:59.000 --> 01:36:01.000]  We were going to get Aaron Russo on tomorrow, but he's in the hospital, folks.
[01:36:02.000 --> 01:36:05.000]  Real fast. Manuel in Pennsylvania. Go ahead.
[01:36:06.000 --> 01:36:07.000]  Hey, Alex. I called about the podcast.
[01:36:08.000 --> 01:36:10.000]  I've been having a little bit of problems with that.
[01:36:11.000 --> 01:36:12.000]  But since you got us down the track...
[01:36:13.000 --> 01:36:14.000]  Okay, well, I can't really do.
[01:36:14.000 --> 01:36:17.000]  It's a free podcast, so there's not a lot of customer service involved with it.
[01:36:18.000 --> 01:36:20.000]  You can get the whole three hours of the show every day at the end of the show.
[01:36:21.000 --> 01:36:23.000]  It downloads, and there's different applications.
[01:36:24.000 --> 01:36:26.000]  If you have an iPod, there's one thing you click on.
[01:36:27.000 --> 01:36:28.000]  If you have an other MP3, there's another you click on.
[01:36:29.000 --> 01:36:30.000]  What, you're just unable to get it? Explain to me your problem.
[01:36:31.000 --> 01:36:33.000]  Yeah, my brother's the one that's on the computer, and he knows his way around that stuff.
[01:36:34.000 --> 01:36:36.000]  Sometimes he says it's missing, and we rely on it sometimes.
[01:36:37.000 --> 01:36:39.000]  I look at it today, I barely had time to call, and you know what I mean?
[01:36:40.000 --> 01:36:41.000]  Okay, well, how often does the podcast work?
[01:36:41.000 --> 01:36:45.000]  Ninety-five percent of the time, which is phenomenal, but you know how it goes.
[01:36:46.000 --> 01:36:50.000]  Sir, I've only got ten employees. I can barely pay them.
[01:36:51.000 --> 01:36:52.000]  We're totally fighting here.
[01:36:53.000 --> 01:36:54.000]  We're writing articles, making films, doing interviews.
[01:36:55.000 --> 01:36:59.000]  It's free, so I just really don't know what I can do for you.
[01:37:00.000 --> 01:37:01.000]  Even a criticism. We love what you're doing.
[01:37:02.000 --> 01:37:04.000]  We definitely appreciate it, but you know how that goes.
[01:37:05.000 --> 01:37:07.000]  Yeah, I've got to go to my guest. What else is going on?
[01:37:08.000 --> 01:37:09.000]  Well, it was Jabari from College Hill.
[01:37:09.000 --> 01:37:11.000]  On TV, it's an instruction module. You talked about the Mammy.
[01:37:12.000 --> 01:37:16.000]  Now Mammy is television. If Kim from Texas, she was right when she said the Willie Lynch theory.
[01:37:17.000 --> 01:37:18.000]  My friend brings it up all the time around here.
[01:37:19.000 --> 01:37:22.000]  But Jabari from College Hill, the only well-spoken, disciplined one, sort of eclectic.
[01:37:23.000 --> 01:37:27.000]  It was a reality show. They followed the college kids, and they put them up, and they beat them down on that television show.
[01:37:28.000 --> 01:37:29.000]  That's all.
[01:37:30.000 --> 01:37:35.000]  Well, all images, basically, of men now on TV are of weak, bad people, and this is the system.
[01:37:36.000 --> 01:37:36.000]  I appreciate your call.
[01:37:36.000 --> 01:37:41.000]  I appreciate your call. I'm going to go to Dr. Roberts now, because I said I'd get to some calls, but I just can't have him sit there.
[01:37:42.000 --> 01:37:44.000]  Dr. Paul Craig Roberts, thank you for coming on with us, sir.
[01:37:45.000 --> 01:37:46.000]  Hey, Alex. How are you?
[01:37:47.000 --> 01:37:49.000]  Oh, I'm pretty good. Just so much is happening.
[01:37:50.000 --> 01:37:54.000]  Let's get into Iran first. They've got a bunch of different task force groups there.
[01:37:55.000 --> 01:37:58.000]  Four different task force groups, two mainline carriers, another one going there.
[01:37:59.000 --> 01:38:02.000]  They're openly saying they may strike them. Israel's saying it.
[01:38:03.000 --> 01:38:05.000]  You've been talking about this now for over a year.
[01:38:06.000 --> 01:38:07.000]  What's on that front?
[01:38:08.000 --> 01:38:11.000]  Well, yes, they intend to attack Iran.
[01:38:12.000 --> 01:38:26.000]  The so-called surge, it only has one purpose, Alex, and that's to prevent a withdrawal of our troops from Iraq before Bush can initiate war with Iran.
[01:38:27.000 --> 01:38:30.000]  Let me comment on that, and I want to see if you agree on what I've said.
[01:38:30.000 --> 01:38:36.000]  It's to give the Democrats shelter, because they're all a bunch of pro-war scum too, pro-New World Order, pro-empire.
[01:38:37.000 --> 01:38:44.000]  And so everybody in their constituency wanted them to force a pullout, so Bush puts in an extra 21,600 troops.
[01:38:45.000 --> 01:38:51.000]  Now the debate can be about the increase, instead of having a debate about the reduction, basically a bait to switch.
[01:38:52.000 --> 01:38:58.000]  Well, yes, you can say that. I think it's even worse. I think it's a red herring, a distraction.
[01:38:58.000 --> 01:39:04.000]  Because it makes a non-issue the issue. The real issue is...
[01:39:05.000 --> 01:39:06.000]  That's what I said, yeah.
[01:39:07.000 --> 01:39:18.000]  If the issue is to pull the troops out, and the pressure from Congress and the military and the public forces them to pull the troops out, then the whole adventure in the Middle East would be over.
[01:39:19.000 --> 01:39:21.000]  So he has to get a bigger war going fast.
[01:39:22.000 --> 01:39:30.000]  And so the whole purpose of the surge is to distract everybody while they put in place the means to attack Iran.
[01:39:31.000 --> 01:39:39.000]  And yes, Iran will be attacked. I have said that the only thing that could stop it would be if the leadership of both parties, of both houses of Congress,
[01:39:40.000 --> 01:39:46.000]  went to the White House and told them he would be impeached before the week was out if he widened the war.
[01:39:46.000 --> 01:39:58.000]  But they won't do that because they really don't believe that Bush would have such audacity to initiate a wider war.
[01:39:59.000 --> 01:40:02.000]  Well, he had the audacity to have his Black Ops blow up those buildings on 9-11.
[01:40:03.000 --> 01:40:04.000]  They wouldn't. I said what they think.
[01:40:05.000 --> 01:40:06.000]  No, I agree, yeah.
[01:40:06.000 --> 01:40:17.000]  They think. And I wouldn't put anything past whoever is pulling his strings, whether it's him or Cheney or the Neocons or whoever it is.
[01:40:18.000 --> 01:40:27.000]  But I think that the Democrats are going to be surprised when they find that they're in a wider war, that they have to support in order to protect Israel.
[01:40:27.000 --> 01:40:36.000]  Well, I agree with you. And the entire House of Cards is going to collapse if they don't do this. People are on to them.
[01:40:37.000 --> 01:40:40.000]  So, really, it's a Ponzi scheme. They've just got to pump it up that much faster.
[01:40:41.000 --> 01:40:46.000]  Do you think, though, they're going to need a prelude to it, maybe a stage terror event or a provocateur event,
[01:40:47.000 --> 01:40:51.000]  either in Israel or the U.S. or Europe that's so massive that then it can be blamed on Iran?
[01:40:51.000 --> 01:40:59.000]  Well, they'll certainly use that if they need to. I think they're doing everything they can to provoke Iran.
[01:41:00.000 --> 01:41:06.000]  You know, they broke into that liaison office and arrested Iranian officials in Iraq.
[01:41:07.000 --> 01:41:12.000]  And we have these teams inside Iraq causing trouble. I mean, Iran.
[01:41:12.000 --> 01:41:19.000]  And I'm sure that they're capable of staging an incident or having a carrier attack and blaming the Iranians.
[01:41:20.000 --> 01:41:24.000]  There's anything they can do. They won't have any trouble starting a war.
[01:41:25.000 --> 01:41:32.000]  And let's be clear. This could lead to World War III. In fact, last week, the Korean Times reported on the big think tank speech given a week ago
[01:41:33.000 --> 01:41:39.000]  in D.C. with a former high-level strategist and analyst at the State Department saying from 2005, saying,
[01:41:39.000 --> 01:41:46.000]  oh, they plan to attack hundreds of targets, blow up their entire navy, attack their ground forces, attack their military bases,
[01:41:47.000 --> 01:41:54.000]  attack even their military factories. I mean, the report is this is going to be a giant bombardment.
[01:41:55.000 --> 01:42:02.000]  Well, Alex, I don't know what they'll do. I think that what the neocons believe is that the only way they can prevail
[01:42:03.000 --> 01:42:13.000]  against the Muslims and exercise American Israeli hegemony in the Middle East is now to intimidate them with nuclear weapons.
[01:42:14.000 --> 01:42:18.000]  That's right. They've openly said they may go ahead and nuke them. Just open nuclear attack.
[01:42:19.000 --> 01:42:25.000]  Yeah. So they've understood that they can't occupy them and they can't defeat them with conventional forces.
[01:42:25.000 --> 01:42:32.000]  So I think the notion is that they use tactical nukes. It will make the Muslims realize that they don't have any recourse
[01:42:33.000 --> 01:42:36.000]  but to submit to the U.S. Israeli hegemony.
[01:42:37.000 --> 01:42:42.000]  But every major analyst, even people like Oliver North and others or even neocons are saying this is going to do the opposite.
[01:42:43.000 --> 01:42:48.000]  It's going to cause the whole Middle East to explode. Everybody's going to go absolutely ape, which is really what the neocons want,
[01:42:49.000 --> 01:42:53.000]  to then widen the crisis so big we've got to go into the draft and total escalation.
[01:42:54.000 --> 01:43:01.000]  Well, I don't know what the effect would be. I suspect what the effect would be more anger among Muslims
[01:43:02.000 --> 01:43:07.000]  and that we may see our puppets in Pakistan and Egypt, for example, overthrown.
[01:43:08.000 --> 01:43:12.000]  And of course Pakistan has nukes. Well, I guess then we'll have to go in there.
[01:43:13.000 --> 01:43:19.000]  I don't think there's any prospect of us going in with troops anymore in the Middle East.
[01:43:19.000 --> 01:43:23.000]  I understand. So the neocons would nuke Pakistan?
[01:43:24.000 --> 01:43:32.000]  The neocons have written several times that what's the form of having nuke weapons if you can't use them.
[01:43:33.000 --> 01:43:35.000]  Oh, yeah, that's completely sane.
[01:43:36.000 --> 01:43:44.000]  Yeah. So I think that they are prepared to use them and what Karl Rove I think has figured out is that
[01:43:44.000 --> 01:43:53.000]  they don't really need to go so gung ho in Iran. If they just strike and hit some things,
[01:43:54.000 --> 01:43:58.000]  they can then announce that they've taken out Iran's nuclear weapons program.
[01:43:59.000 --> 01:44:00.000]  And that'll be a victory.
[01:44:01.000 --> 01:44:03.000]  And that this will be the victory that buries the defeat in Iraq.
[01:44:04.000 --> 01:44:09.000]  And all the Americans will say, oh, Bush saved us from Iranian nuclear weapons and his polls will go back up
[01:44:10.000 --> 01:44:12.000]  and he can finish out in good order.
[01:44:12.000 --> 01:44:17.000]  Now that is another option. That may also be the one that's in play.
[01:44:18.000 --> 01:44:22.000]  So it might not be the big horrendous strike that we hear about.
[01:44:23.000 --> 01:44:26.000]  It might simply be an orchestrated victory.
[01:44:27.000 --> 01:44:32.000]  They'll strike something but not enough to produce the kinds of disasters that would lead to more war
[01:44:33.000 --> 01:44:34.000]  and they'll declare victory.
[01:44:35.000 --> 01:44:36.000]  So do you think...
[01:44:37.000 --> 01:44:38.000]  I don't know what they're going to do.
[01:44:39.000 --> 01:44:40.000]  Do you think they'll go massive?
[01:44:41.000 --> 01:44:44.000]  So do you think it'll be the pinprick or the go massive? You don't know.
[01:44:45.000 --> 01:44:48.000]  I don't know. I just don't know. They may not know themselves.
[01:44:49.000 --> 01:44:54.000]  They're trying to see what they can get away with, what the opinion is, what the well's doing, what Congress does.
[01:44:55.000 --> 01:44:59.000]  They are hesitating a bit, aren't they? Because the battle plan was from inside was to hit them around Christmas.
[01:45:00.000 --> 01:45:01.000]  Why do you think they're hesitating?
[01:45:04.000 --> 01:45:08.000]  Well, I think they're hesitating because there's not any support for the current war.
[01:45:08.000 --> 01:45:10.000]  So to widen it is risky.
[01:45:11.000 --> 01:45:15.000]  And so they have to do it in a way that works for them.
[01:45:16.000 --> 01:45:17.000]  So interstate terror?
[01:45:18.000 --> 01:45:23.000]  Yeah. If they're going to do it, they've got to do it in a way that works for them.
[01:45:24.000 --> 01:45:26.000]  And maybe they just haven't figured out all the details of that.
[01:45:27.000 --> 01:45:32.000]  But I do think they intend to hit Iran one way or the other.
[01:45:33.000 --> 01:45:35.000]  Well, they're already hitting them with sanctions.
[01:45:35.000 --> 01:45:39.000]  Yes, that's true. But I mean, militarily with weapons.
[01:45:40.000 --> 01:45:49.000]  I was just reading yesterday that they're having the carriers come in closer and closer to Iranian territorial waters, just begging for something to happen.
[01:45:50.000 --> 01:45:56.000]  They would love a new Pearl Harbor. They got a Pearl Harbor with 9-11. They'd love one in the Persian Gulf.
[01:45:56.000 --> 01:46:08.000]  I think the neocons would be very happy if both aircraft carriers sunk because that would rally the Americans again to an all-out war with Iran.
[01:46:09.000 --> 01:46:13.000]  And they do the same thing over and over again with Tonkin, Maine, Lusitania.
[01:46:14.000 --> 01:46:19.000]  I mean, they just love to blow up ships. I guess that's because it's hard to get caught doing that out in the middle of the ocean.
[01:46:19.000 --> 01:46:26.000]  Well, look, even if you get caught, you just deny it. And most people are going to believe the government.
[01:46:27.000 --> 01:46:39.000]  I mean, look, despite everything you've done about 9-11, still only 40 percent doubt the 9-11 Commission reports conclusions.
[01:46:39.000 --> 01:46:50.000]  So, you've got a majority of Americans still believe that Saddam Hussein or Osama bin Laden or somebody attacked the World Trade Center and the Pentagon.
[01:46:51.000 --> 01:47:03.000]  So, you can always look. The Israelis hit the USS Liberty in 1967. The Johnson administration buried it.
[01:47:03.000 --> 01:47:19.000]  You have to go on the website run by the Liberty crew to find out that it was the Israelis who attacked the plane, killed 34 American Navy men and wounded 130-something.
[01:47:19.000 --> 01:47:29.000]  And the United States government all pretends that it didn't happen or it was some kind of mistake.
[01:47:30.000 --> 01:47:44.000]  So, they can deny, whatever, just like they deny the Gulf of Tonkin. That's still not set. People still aren't even aware of that incident.
[01:47:44.000 --> 01:47:51.000]  That's right. The government, the CIA and NSA history department admit it was staged, but a lot of people still think it was real.
[01:47:52.000 --> 01:47:59.000]  Yeah. Yeah. So, they can get away with a lot. Like you said, they always have.
[01:48:00.000 --> 01:48:06.000]  Now, let's shift gears into the new story you've written. The empire turns its guns on the citizenry. Tell us about that.
[01:48:06.000 --> 01:48:16.000]  Okay. This really, Alex, is a review of a report put out by the Cato Institute about the rise of paramilitary police raids in America.
[01:48:17.000 --> 01:48:21.000]  It's about the militarization of your local police. It's an amazing thing.
[01:48:21.000 --> 01:48:37.000]  It turns out that there are now 17,000 local American police forces that are armed with rocket launchers, bazookas, heavy machine guns, all kinds of chemical sprays.
[01:48:38.000 --> 01:48:48.000]  In fact, some of them have tanks. You have now local police departments that are equipped beyond the standard of American heavy imagery.
[01:48:48.000 --> 01:48:58.000]  What do they use these for? For example, in recent years, there have been 40,000 or more call-outs of SWAT teams annually.
[01:48:59.000 --> 01:49:07.000]  So, that would be 110 times a day. Now, have you read about 110 hostage or terrorist events every day last year?
[01:49:08.000 --> 01:49:08.000]  No.
[01:49:08.000 --> 01:49:18.000]  No. No. So, what are they doing? They're serving routine warrants to people who pose no danger to the police or to the public.
[01:49:19.000 --> 01:49:24.000]  Mainly they're used to serve warrants on drug users.
[01:49:25.000 --> 01:49:32.000]  Well, what happens is they break into homes and apartments in the middle of the night with people asleep.
[01:49:33.000 --> 01:49:37.000]  They use stun grenades. They cause all kinds of chaos and confusion.
[01:49:37.000 --> 01:49:57.000]  And the result is a tremendous number of innocent people are murdered in their beds, brutalized, traumatized, because in a very high percentage of these cases, the SWAT teams have wrong addresses. They've got the wrong people.
[01:49:58.000 --> 01:50:04.000]  Or they throw a flashbang into a baby's crib, or they shoot an old lady in the back, or they shoot one of their own officers and go nuts and kill everybody in the house.
[01:50:04.000 --> 01:50:19.000]  Right. Exactly. There you have it. It's a far greater source of terror for Americans than Muslim terrorists, because these things are happening 110 times every day.
[01:50:20.000 --> 01:50:32.000]  But that's the whole point of it. And now they're going to bring troops back. We've been running similar raids in Iraq thousands of times to expand the paramilitary force, and they admit the black mask, all of it, is about intimidation.
[01:50:32.000 --> 01:50:37.000]  This is going to be the paramilitary Nazi force that comes for our guns.
[01:50:38.000 --> 01:50:49.000]  That's part of the case. And you may know that part of the militarization of local police is that they give preference now to military veterans.
[01:50:50.000 --> 01:51:03.000]  And military veterans are, you know, the military is totally different from police. The police are supposed to be community related, and it's not supposed to have in its head the idea that you take out the suspect.
[01:51:04.000 --> 01:51:09.000]  Police are guardians, they're servants, they're defenders. The military kills people and breaks things and fights an enemy.
[01:51:10.000 --> 01:51:15.000]  So if you have every town with a militarized military police, they're there to fight an enemy. Who's the enemy? That's us.
[01:51:15.000 --> 01:51:21.000]  That's right. That's right. The suspect is the enemy, wherever he comes from.
[01:51:22.000 --> 01:51:31.000]  Meanwhile, the border is wide open. Dr. Roberts, stay there. Final segment. Let's continue with your analysis of this report. On the other side, I'm Alex Jones, InfoWars.com.
[01:51:31.000 --> 01:51:42.000]  For years, you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[01:51:43.000 --> 01:51:49.000]  But how can they continue to hold that title for years on end? The answer is high quality and huge selection.
[01:51:50.000 --> 01:51:57.000]  Just visit HerbalHealer.com and shop online or request a free catalog. You're bound to find the alternative you're looking for.
[01:51:57.000 --> 01:52:03.000]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[01:52:04.000 --> 01:52:09.000]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:52:10.000 --> 01:52:17.000]  And don't forget your pets. Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[01:52:18.000 --> 01:52:24.000]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[01:52:24.000 --> 01:52:34.000]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter. HerbalHealer.com, working with the power of nature.
[01:52:35.000 --> 01:52:43.000]  It's here, after a year in production and traveling to distant lands, my new film, Terror Storm, is complete.
[01:52:44.000 --> 01:52:52.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:52:52.000 --> 01:52:59.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:53:00.000 --> 01:53:11.000]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information and much, much more.
[01:53:11.000 --> 01:53:17.000]  Terror Storm is the definitive guide to the history of government sponsored terrors. It's an anthology of government crimes.
[01:53:18.000 --> 01:53:22.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:53:23.000 --> 01:53:34.000]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll free 1-888-2533139 or watch it right now online at PrisonPlanet.tv.
[01:53:35.000 --> 01:53:42.000]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger, your source for free solar electricity.
[01:53:43.000 --> 01:53:49.000]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag or glove compartment.
[01:53:50.000 --> 01:54:01.000]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps as well as other applications such as mobile phones, radios, digital cameras and PDAs when electricity is not available.
[01:54:01.000 --> 01:54:09.000]  Its multi-voltage capabilities, multiple adapters and rechargeable batteries provide for flexible source of auxiliary backup power.
[01:54:10.000 --> 01:54:14.000]  Simply place the Berkey Solar Charger in the sun, plug in your application and you have power.
[01:54:15.000 --> 01:54:19.000]  Disconnect your application and the system automatically begins charging its own rechargeable batteries.
[01:54:20.000 --> 01:54:30.000]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[01:54:31.000 --> 01:54:35.000]  Call toll free 888-803-4438.
[01:54:35.000 --> 01:54:59.000]  Music
[01:55:00.000 --> 01:55:03.000]  We're talking to Dr. Craig Roberts, Dr. Paul Craig Roberts.
[01:55:04.000 --> 01:55:09.000]  Go through some of the other details you found in this big report that came out about the SWAT team, sir.
[01:55:10.000 --> 01:55:18.000]  Okay, it turns out that the source of information for most SWAT team raids are snitches.
[01:55:19.000 --> 01:55:24.000]  Snitches are criminals who make a living by being police informers.
[01:55:24.000 --> 01:55:39.000]  Many snitches are themselves drug dealers and they use their informant role in order to knock off the competition and in order to avoid arrest.
[01:55:40.000 --> 01:55:51.000]  So what you have is many of these people that find a SWAT team in the middle of their home in the middle of the night shooting up the place.
[01:55:51.000 --> 01:55:59.000]  They may be recreational drug users that a snitch sold a small amount of marijuana to that evening and went in front of the police.
[01:56:00.000 --> 01:56:02.000]  And a lot of police are on the take, too, from the mid-level drug dealers.
[01:56:03.000 --> 01:56:04.000]  They're only going to bust small people.
[01:56:05.000 --> 01:56:05.000]  They like snacks.
[01:56:06.000 --> 01:56:07.000]  They need to create the illusion.
[01:56:08.000 --> 01:56:09.000]  You know, they're all on Royds and they're snorting coke.
[01:56:10.000 --> 01:56:17.000]  The reason is that there's a federal program that gives money for drug enforcement to the state.
[01:56:17.000 --> 01:56:21.000]  And the feds, let me add this, the feds lobbied it 10 years ago and got it passed in almost every state.
[01:56:22.000 --> 01:56:26.000]  State laws where if the state gets the money, the police only get about 10 percent.
[01:56:27.000 --> 01:56:31.000]  But if the cops give it to the feds, they get about 70 percent back.
[01:56:32.000 --> 01:56:41.000]  Well, the way it works is the state doles out the federal money to the police forces based on the number of drug arrests.
[01:56:41.000 --> 01:56:48.000]  So then you get the police forces out hiring drug dealers to sell drugs to people and tell the police.
[01:56:49.000 --> 01:56:55.000]  And the drug dealers, of course, use this role to keep themselves from being arrested, but they turn in all their competitors.
[01:56:56.000 --> 01:56:57.000]  That's it.
[01:56:58.000 --> 01:57:03.000]  And it's the same reason with family violence that if the neighbor hears people arguing, the cops come, no one's hurt, nothing's broken,
[01:57:04.000 --> 01:57:08.000]  they still arrest someone because just the arrest gets them a bounty for that, too.
[01:57:09.000 --> 01:57:10.000]  Right. That's exactly it.
[01:57:11.000 --> 01:57:12.000]  And that's the reason.
[01:57:13.000 --> 01:57:19.000]  So the SWAT teams were created, the first ones were in Los Angeles in the 60s.
[01:57:20.000 --> 01:57:25.000]  They got a big boost from Ed Meese's war on drugs during the Reagan administration.
[01:57:26.000 --> 01:57:30.000]  And they first called them special weapons attack teams, not special weapons and tactics.
[01:57:31.000 --> 01:57:33.000]  That's right. The assault teams, I think they called them.
[01:57:34.000 --> 01:57:39.000]  And the military started giving military equipment.
[01:57:39.000 --> 01:57:40.000]  And training.
[01:57:41.000 --> 01:57:51.000]  And training. And Congress passed a law in favor of that so that you now have these police forces so heavily armored that it's ridiculous.
[01:57:52.000 --> 01:57:54.000]  And they don't have any use for these SWAT teams.
[01:57:55.000 --> 01:58:04.000]  Well, we know it was all a cynical way to create paramilitary federally controlled, many of them have been deputized federally in the MJTF, multi-jurisdictional task forces.
[01:58:04.000 --> 01:58:09.000]  This is really just a paramilitary group of killers in every town to enforce.
[01:58:10.000 --> 01:58:14.000]  You're right. They can be used in that way.
[01:58:15.000 --> 01:58:22.000]  In the meantime, since there's no real use for them, there are not many hostage situations every day or terrorist situations.
[01:58:23.000 --> 01:58:24.000]  And they're expensive.
[01:58:25.000 --> 01:58:28.000]  They use them to serve warrants on people who are no threat.
[01:58:28.000 --> 01:58:33.000]  Well, Dr. Roberts, you've got an expert report on this, but let me add the caveat from Austin, Texas to New York City now.
[01:58:34.000 --> 01:58:38.000]  They put them out at checkpoints on the side of the road and now guys in mass come and search you there.
[01:58:39.000 --> 01:58:40.000]  I see.
[01:58:41.000 --> 01:58:45.000]  Well, I would imagine it will get worse, Alex. I don't know what's to stop it.
[01:58:46.000 --> 01:58:50.000]  A lot of people believe in law and order and they think that police are on their side.
[01:58:51.000 --> 01:58:54.000]  We've got a one minute break. I want to hold you for just three or four minutes on the other side.
[01:58:54.000 --> 01:59:08.000]  I want to ask you about Newt Gingrich, Hillary, all of them calling for free speech restrictions and the Lobbying Reform Act with Section 220 to imprison bloggers if they don't register as lobbyists.
[01:59:09.000 --> 01:59:14.000]  So stay there, Dr. Roberts. I've got one more question for you. This is powerful info.
[01:59:15.000 --> 01:59:22.000]  Order a copy of this show for your friends and family at GCNLive.com or call 877-300-7645.
[01:59:22.000 --> 01:59:30.000]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[01:59:31.000 --> 01:59:38.000]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[01:59:39.000 --> 01:59:47.000]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident, radioactive poisoning.
[01:59:47.000 --> 01:59:53.000]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[01:59:54.000 --> 02:00:05.000]  This simple radioactive potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[02:00:06.000 --> 02:00:15.000]  Order the official potassium iodate for only $24 and save $5 by calling New Millennium at 888-803-4438.
[02:00:15.000 --> 02:00:21.000]  Call now and get free shipping. That's 888-803-4438.
[02:00:45.000 --> 02:00:54.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[02:00:55.000 --> 02:01:04.000]  Even PBS has reported in the late 1960s, the Defense Department and the CIA approached Los Angeles about setting up special weapons attack teams.
[02:01:05.000 --> 02:01:16.000]  This was a federal program and plan to introduce it, popularize it. Then the federal government funded and helped with script writing for the show SWAT to then popularize it.
[02:01:17.000 --> 02:01:33.000]  And now special weapons and tactics is becoming the norm, with even normal beat cops carrying fully automatic weapons, the larger cities getting full bore tanks, rocket launchers, and it is to suppress the American people, as you saw in New Orleans coming in and confiscating guns.
[02:01:34.000 --> 02:01:41.000]  And Dr. Paul Craig Roberts, I was interrupting because on this subject I just started frothing. I've been studying it for so many years. As you know, I made three police state films, folks.
[02:01:42.000 --> 02:01:49.000]  The Empire turns its guns on its citizenry. He brings out a lot of stuff that I didn't even bring up in my rants. Anything else on this, Dr. Roberts?
