[00:00:13.618 --> 00:00:16.899]  Texas, broadcasting worldwide.
[00:48:30.606 --> 00:48:31.226]  Thanks for watching!
[00:48:51.544 --> 00:48:52.065]  We're good to go.
[00:49:16.738 --> 00:49:17.058]  Heather W.
[00:49:46.938 --> 00:49:55.023]  We're sitting here looking at this, and it is, again, beyond critical to understand that we're in an information war and that we've had major victories.
[00:49:55.023 --> 00:49:57.005]  We've got major beachheads, but now is the time.
[00:49:57.005 --> 00:49:59.686]  So go to InfoWars.com.
[00:49:59.686 --> 00:50:02.328]  Under the live show feed, there's a link to Amazon.com.
[00:50:02.328 --> 00:50:04.670]  Get The Great Awakening, my new book.
[00:50:04.670 --> 00:50:05.670]  The book, I would say, is, what, 80% done?
[00:50:05.670 --> 00:50:05.750]  Yep.
[00:50:07.219 --> 00:50:08.861]  And we're going to be working to more today, tomorrow.
[00:50:08.861 --> 00:50:09.602]  We're working over the phone.
[00:50:09.602 --> 00:50:10.983]  We talk all the time.
[00:50:10.983 --> 00:50:13.126]  And it's been so collaborative.
[00:50:13.126 --> 00:50:15.108]  And he takes what I say to him.
[00:50:15.108 --> 00:50:16.249]  He records interviews.
[00:50:16.249 --> 00:50:17.491]  He goes and vets it and checks it.
[00:50:17.491 --> 00:50:24.479]  And I'm not bragging, but I think you said like 95%, 98% of what I've told you, you found word for words when accurate.
[00:50:24.479 --> 00:50:27.983]  Sometimes I kind of conflate things, but you're helping me get it right.
[00:50:28.323 --> 00:50:31.448]  Yeah, I call myself the Alex Jones bird dog.
[00:50:31.448 --> 00:50:38.998]  You shoot the thing, and I run into the tall grass to see if I can find it, and 95-98% of the time it's there.
[00:50:38.998 --> 00:50:41.401]  What are some of the things you couldn't find, and I'll guarantee I can dig them out?
[00:50:43.886 --> 00:50:46.007]  Uh, the flea story.
[00:50:46.007 --> 00:50:49.889]  Well, that one I said to you, no one's sure if this is accurate, but it's a good allegory.
[00:50:49.889 --> 00:50:51.810]  It's a great allegory.
[00:50:51.810 --> 00:50:54.191]  So, that was it.
[00:50:54.191 --> 00:51:08.679]  When you were talking about chickens and hawks flying over and them never having seen a hawk before and they get scared, I was able to find research about that on ducks, but not on chickens.
[00:51:08.679 --> 00:51:11.020]  So, very minor differences.
[00:51:11.560 --> 00:51:13.441]  And I forget the rat study.
[00:51:13.441 --> 00:51:14.162]  What's the famous rat study?
[00:51:14.162 --> 00:51:15.102]  Oh, the mouse utopia.
[00:51:15.102 --> 00:51:16.643]  The mouse utopia is awesome.
[00:51:16.643 --> 00:51:17.444]  And that's in there?
[00:51:17.444 --> 00:51:18.264]  Oh yeah, 100%.
[00:51:18.264 --> 00:51:21.406]  Because the globalists, that's their model for us.
[00:51:21.406 --> 00:51:22.747]  That is terrifying.
[00:51:22.747 --> 00:51:23.087]  Explain it.
[00:51:23.087 --> 00:51:26.950]  They create the artificial utopia, and then what, four or five generations, we all extinct each other.
[00:51:27.310 --> 00:51:33.772]  Well, in the mouse utopia, what they do is they basically remove any stresses from the mice.
[00:51:33.772 --> 00:51:40.235]  So there's no predation going on, but there's overcrowding.
[00:51:40.235 --> 00:51:45.537]  And the overcrowding seems to drive some of the mice to become hermits.
[00:51:47.958 --> 00:51:58.891]  What will happen is usually in a regular rat colony there are alpha males, and so the alpha males then have access to their breeding harem.
[00:51:58.891 --> 00:52:07.821]  But because everybody's together, what happens is those who fail to mate keep fighting with the alpha.
[00:52:08.041 --> 00:52:11.202]  Because in a usual colony, those who lose will leave.
[00:52:11.202 --> 00:52:13.943]  So, the alpha males are too stressed out.
[00:52:13.943 --> 00:52:16.083]  They don't breed with the females.
[00:52:16.083 --> 00:52:18.624]  So, the colony starts to die.
[00:52:18.624 --> 00:52:23.845]  You have some of these really strange, and I'm trying to think of exactly the expression they use.
[00:52:23.845 --> 00:52:24.666]  Pedophilia?
[00:52:24.666 --> 00:52:25.826]  Transgenderism?
[00:52:25.826 --> 00:52:26.926]  It all happens.
[00:52:26.926 --> 00:52:32.928]  Well, they've got these mice who are constantly preening themselves and looking beautiful.
[00:52:33.508 --> 00:52:37.771]  And then the females come up to him, but these males don't want to breed.
[00:52:37.771 --> 00:52:41.614]  And so you find yourself saying, well, what the hell is going on?
[00:52:41.614 --> 00:52:51.421]  So much of what we see in society, I mean, with the transgenderism and so many of these other things, and, you know, the young people not getting married, not having kids.
[00:52:51.421 --> 00:52:52.682]  Not wanting to learn how to drive a car.
[00:52:52.682 --> 00:52:53.622]  That's just sitting there.
[00:52:53.622 --> 00:52:54.643]  Not having sex.
[00:52:54.643 --> 00:52:56.424]  You know, I'm sorry, you know.
[00:52:58.225 --> 00:53:05.872]  Something's going on, and it's questionable whether our society is actually heading towards species collapse.
[00:53:05.872 --> 00:53:15.180]  And for folks who don't know, you say you're a big science writer and a best-selling author and a science teacher, and I call that a scientific mind.
[00:53:15.180 --> 00:53:24.048]  You say I'm not a scientist, but looking at this, from the science I've read, and I'm not a scientist either, but I've read a lot about it, rats medically, if they give us drugs, give them our more accurate
[00:53:24.668 --> 00:53:25.069]  We're good to go.
[00:53:47.679 --> 00:53:54.701]  The new book, The Great Awakening, you can find it at Amazon.com, and normally I, you know, whatever, Jeff Bezos doesn't matter.
[00:53:54.701 --> 00:53:57.142]  The point is, it's the real New York Times bestseller list.
[00:53:57.142 --> 00:54:04.705]  So yes, the book that I co-wrote with Kent Hecken-Lively, The Great Reset and The War for the World, did go to number one for about two weeks on the New York Times.
[00:54:04.705 --> 00:54:06.806]  But they said, we choose not even list it.
[00:54:06.806 --> 00:54:10.787]  If they would have listed it, it would have got picked up more places and sold more, but that's okay, it was still a bestseller.
[00:54:11.267 --> 00:54:13.269]  And it was in the top of the charts for six months.
[00:54:13.269 --> 00:54:16.852]  You can still get a copy of it or sign copy of it at InfoWareStore.com.
[00:54:16.852 --> 00:54:21.336]  But the only place to get this in pre-order right now is Amazon.com.
[00:54:21.336 --> 00:54:22.377]  We'll put it back on screen.
[00:54:22.377 --> 00:54:24.679]  It is the Great Awakening, ladies and gentlemen.
[00:54:24.679 --> 00:54:25.720]  You need to get it.
[00:54:25.720 --> 00:54:29.823]  The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:54:29.823 --> 00:54:31.905]  And you better believe once this goes to number one again,
[00:54:32.225 --> 00:54:41.347]  There'll be 20 other titles of the same name, which I want, because The Great Awakening belongs to everyone that wants to have a free, open, powerful, pro-human society.
[00:54:41.347 --> 00:54:43.267]  But Kent, you were excited about the last book.
[00:54:43.267 --> 00:54:45.108]  You are really excited about this one.
[00:54:45.108 --> 00:54:49.809]  We were already past 300 pages weeks ago, and we've decided, how long is this baby going to be?
[00:54:49.809 --> 00:54:50.609]  Because we're adding pages every day.
[00:54:50.609 --> 00:54:51.869]  Yeah, so I think it's going to be 275, 300 pages.
[00:54:51.869 --> 00:54:52.429]  We're already at 300.
[00:54:52.429 --> 00:54:53.150]  Are you going to cut some out?
[00:55:00.191 --> 00:55:01.752]  Is the publisher giving us trouble?
[00:55:01.752 --> 00:55:03.693]  The publisher's not giving us trouble.
[00:55:03.693 --> 00:55:04.993]  I don't think we'll have any trouble with that.
[00:55:04.993 --> 00:55:05.513]  I think we should.
[00:55:05.513 --> 00:55:06.494]  We were at 300 a week or so ago.
[00:55:06.494 --> 00:55:06.674]  240, probably.
[00:55:12.622 --> 00:55:16.966]  Well, I guess you're telling me on the phone it's going to be longer because I've given you so many recordings.
[00:55:16.966 --> 00:55:19.888]  Yeah, so the first book was 55,000 words.
[00:55:19.888 --> 00:55:21.229]  I'm at 75,000 right now.
[00:55:21.229 --> 00:55:22.490]  I'm expecting it to go probably 80,000.
[00:55:22.490 --> 00:55:23.211]  Okay, so it is bigger.
[00:55:30.606 --> 00:55:32.807]  There's so much to add though.
[00:55:32.807 --> 00:55:37.369]  What is so amazing about this book is it feels like it's writing itself.
[00:55:37.369 --> 00:55:49.373]  In going to see The Great Awakening, Mickey Willis' film, here I have been in this world for 15 years and I'm learning things that I did not learn.
[00:55:49.373 --> 00:55:57.977]  And so every day as I'm working on this book I am learning new things and I think it's just going to be great for people to read and
[00:55:58.817 --> 00:56:03.102]  You know, I think reading is a different experience than a show or a video.
[00:56:03.102 --> 00:56:12.313]  And so I'm really hoping that, you know, I heard this joke the other day that, you know, people saying, don't do your own research.
[00:56:12.313 --> 00:56:15.356]  And this comedian said, didn't that used to be called reading?
[00:56:16.737 --> 00:56:23.422]  That was the New York Times and a bunch of the publications said, do not, that was, what's that guy's name, Charlie Worzel.
[00:56:23.422 --> 00:56:26.205]  He wrote an article saying, do not do your own research, it's bad and dangerous.
[00:56:26.205 --> 00:56:33.650]  I mean, folks, you're in a cult when somebody says, don't question, don't go outside the building, and don't look up at the stars, you know, don't read a book.
[00:56:33.650 --> 00:56:35.091]  I mean, you're in a freaking cult, man.
[00:56:35.091 --> 00:56:39.335]  Yeah, and so the comedian was saying something like, so if you go to buy a car,
[00:56:40.293 --> 00:56:41.755]  Are you going to do some research on it?
[00:56:41.755 --> 00:56:45.019]  Or is your buddy going to say, hey, don't do research on the car?
[00:56:45.019 --> 00:56:47.923]  And then you'll go, well, how do I find out about the car?
[00:56:47.923 --> 00:56:51.408]  And he says, well, ask the salesman, because he's the expert.
[00:56:51.408 --> 00:56:54.652]  And that's what Neil deGrasse Tyson said.
[00:56:54.652 --> 00:56:56.815]  And so what I'm really hoping with
[00:56:57.896 --> 00:57:00.037]  Hold on, hold on.
[00:57:00.037 --> 00:57:04.619]  Listen, we're going to go into the next hour, Judy, Mike, your favorite person is going to be in here, one of my favorites.
[00:57:04.619 --> 00:57:06.179]  We're going to talk about everything.
[00:57:06.179 --> 00:57:07.680]  We'll talk about that coming up.
[00:57:07.680 --> 00:57:10.061]  But I'm going to get in trouble if I don't fund InfoWars.
[00:57:10.061 --> 00:57:11.141]  InfoWarsStore.com.
[00:57:11.141 --> 00:57:13.162]  I got chewed out just a few days ago.
[00:57:13.162 --> 00:57:14.042]  I wasn't bringing enough money in.
[00:57:14.042 --> 00:57:15.263]  Plus, it's a great product.
[00:57:15.263 --> 00:57:16.323]  You wanted to plug Rainforce.
[00:57:16.323 --> 00:57:17.023]  Do you like Rainforce?
[00:57:20.664 --> 00:57:22.065]  My name is Ken Heckenladly.
[00:57:22.065 --> 00:57:24.326]  How do I write all the books that I do?
[00:57:24.326 --> 00:57:30.628]  Four books with Dr. Judy Majkiewicz, four books with Project Veritas Whistleblowers, and now two books with Alex Jones?
[00:57:30.628 --> 00:57:34.230]  That's because I use Brain Force every day.
[00:57:34.230 --> 00:57:39.712]  I take this, and I'm good to go for the next five or six hours fighting the deep state.
[00:57:39.712 --> 00:57:40.372]  All right, we love you.
[00:57:40.372 --> 00:57:40.972]  We'll be right back.
[00:57:40.972 --> 00:57:46.034]  Get your Brain Force Plus, Brain Force Ultra, and Turbo Force at InfoWarsTore.com.
[00:57:46.034 --> 00:57:47.095]  We'll be right back with hour number two.
[00:57:50.410 --> 00:57:53.553]  I talk a lot about the great successes InfoWars has had.
[00:57:53.553 --> 00:57:55.854]  I don't think anybody can deny it.
[00:57:55.854 --> 00:57:59.797]  And it is because of listeners and viewers supporting us.
[00:57:59.797 --> 00:58:03.721]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers...
[00:58:05.179 --> 00:58:08.702]  They really have been the MVPs in this fight.
[00:58:08.702 --> 00:58:17.531]  And when you look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[00:58:17.531 --> 00:58:21.175]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:58:21.175 --> 00:58:26.139]  And I want to encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:58:26.960 --> 00:58:27.901]  I know you spread the word.
[00:58:27.901 --> 00:58:28.821]  I know you pray for us.
[00:58:28.821 --> 00:58:29.422]  That's wonderful.
[00:58:29.422 --> 00:58:29.982]  Keep doing it.
[00:58:29.982 --> 00:58:37.066]  But most viewers and listeners never go to infowarestore.com and you never buy great products that enrich and empower your life.
[00:58:37.066 --> 00:58:38.928]  All at the same time, keep us on air.
[00:58:38.928 --> 00:58:42.510]  I know that less than 1% of our listeners actually go buy products at infowarestore.com.
[00:58:43.230 --> 00:58:48.172]  If just 1% more of you took action and went to m4s4.com, our funding problems will be over.
[00:58:48.172 --> 00:58:49.192]  Please take action now.
[00:58:49.192 --> 00:58:51.793]  Please give me one minute of your time.
[00:58:51.793 --> 00:58:54.053]  Please write this down and please go look this up.
[00:58:54.053 --> 00:58:56.034]  It will change your life.
[00:58:56.034 --> 00:59:04.797]  The UN admits, and the Lansing Medical Journal admits, that upwards of 2 billion people have mental disabilities and declining cognitive abilities.
[00:59:04.797 --> 00:59:10.118]  The term they use is intellectual disability because of lack of iodine.
[00:59:10.118 --> 00:59:11.599]  Most iodine in the environment
[00:59:12.299 --> 00:59:15.843]  is bound to other elements so your body can't absorb it.
[00:59:15.843 --> 00:59:20.308]  Only pure iodine can really be absorbed right into the cells.
[00:59:20.308 --> 00:59:27.395]  And InfoWarStore.com has the only iodine out there that actually has this type of full effect.
[00:59:27.395 --> 00:59:33.401]  Ladies and gentlemen, X3's been sold out for six months, it's very hard to produce, and it's finally back in stock.
[00:59:33.962 --> 00:59:36.323]  I was just taking some before I shot this ad.
[00:59:36.323 --> 00:59:38.584]  This, ladies and gentlemen, is powerful.
[00:59:38.584 --> 00:59:40.385]  You and your family need it.
[00:59:40.385 --> 00:59:42.126]  It's 25% off back in stock.
[00:59:42.126 --> 00:59:46.348]  X3 Tri-Iodine, exclusively at Infowarshore.com.
[00:59:46.348 --> 00:59:52.431]  Take action now, but regardless, research is info.
[00:59:52.431 --> 00:59:56.393]  If you are receiving this transmission, you are the resistance.
[01:00:02.503 --> 01:00:05.169]  Waging war on corruption.
[01:00:05.169 --> 01:00:10.301]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:00:13.606 --> 01:00:27.330]  I'm trying to convince him to change his flight from tomorrow morning to tomorrow evening back to the beautiful place he lives there in California wine country, but I have been unable to get him to do that.
[01:00:27.330 --> 01:00:28.170]  We'll see.
[01:00:28.170 --> 01:00:29.570]  He's told me an incredible story behind the scenes.
[01:00:29.570 --> 01:00:38.273]  I understand why he probably has to go, but you're welcome to stay and come on for an hour tomorrow, and I'm sure you can get on Owen's show and on Harrison Smith's show, but you did a great plug for Brain Force.
[01:00:38.933 --> 01:00:40.254]  Yeah, so I've published 12 books.
[01:00:40.254 --> 01:00:42.095]  I've got four in press now coming out in the next year.
[01:00:42.095 --> 01:00:45.216]  And what I always need is I always need some sort of boost in the morning.
[01:00:45.216 --> 01:00:47.778]  And so, you know, I try to exercise, eat well.
[01:01:04.506 --> 01:01:05.247]  Take good vitamins.
[01:01:05.247 --> 01:01:10.832]  But the one thing that I have really found that makes a difference is brain force.
[01:01:10.832 --> 01:01:18.540]  I'll take brain force in the morning right before I go to my computer and I'm good for the next four or five hours writing a whole lot of stuff.
[01:01:18.540 --> 01:01:25.587]  So, you know, it really is true that brain force is something I use every day and it helps me with my writing.
[01:01:26.587 --> 01:01:32.491]  Well, it's just a good stable base for energy that won't conflict with coffee or tea or other things.
[01:01:32.491 --> 01:01:34.673]  It won't conflict with people's medications in most cases.
[01:01:34.673 --> 01:01:40.437]  It's a good, safe, natural, nootropic with other key vitamins and minerals and amino acids that are known to boost thought.
[01:01:40.437 --> 01:01:41.578]  Then we've got brain force.
[01:01:42.551 --> 01:01:43.032]  I don't know.
[01:01:59.314 --> 01:02:06.656]  And then there's turbo force that's ten hours of clean energy, five different natural stimulants that time release and a bunch of amino acids and other compounds.
[01:02:06.656 --> 01:02:10.897]  So it's like the flame-breathing dragon, you know, crazy time deal.
[01:02:10.897 --> 01:02:15.238]  If you've got to put on, say, a five-hour rock concert, you've got to get ready for five hours before.
[01:02:15.238 --> 01:02:22.360]  But then brain force plus is just the base, and then brain force alters that literal special thing that has
[01:02:23.430 --> 01:02:26.192]  I mean, I see it as almost like a psychotropic.
[01:02:26.192 --> 01:02:28.813]  It doesn't make you get high or anything, but it's amazing.
[01:02:28.813 --> 01:02:35.817]  So get them all at InfoWarsTore.com or call toll-free, 888-253-3139.
[01:02:35.817 --> 01:02:37.338]  People say, why do you have three nootropics?
[01:02:37.338 --> 01:02:39.519]  Well, because there's different genres.
[01:02:41.714 --> 01:02:46.637]  There's the hydrogen bomb, there's the sniper rifle, and you know, then there's the sword.
[01:02:46.637 --> 01:02:49.278]  But there are a lot of different things, different ways.
[01:02:49.278 --> 01:02:50.919]  We take them together, look out.
[01:02:50.919 --> 01:02:55.042]  Available, InfoWarsTore.com or 888-253-3139.
[01:02:55.042 --> 01:03:03.007]  Now, Kent, we're in this little no-man's land before we go to break and bring in Judy Michalowicz, who's just such a patriot, such a hero.
[01:03:03.007 --> 01:03:09.231]  Spend a minute and a half or so, because we're going to run this as well, explain to people what this new book
[01:03:09.831 --> 01:03:16.194]  That I'm riding with you is going to break down the Great Awakening, defeating the globalists, and launching the next great renaissance.
[01:03:16.194 --> 01:03:20.976]  Well, you know, Alex, I think that what people really need is some hope.
[01:03:20.976 --> 01:03:27.759]  They need to understand what's going on with the world, but then they want to read something positive.
[01:03:27.759 --> 01:03:34.362]  And time and time again, in every chapter that I'm working on, I find the hand of God
[01:03:35.774 --> 01:03:39.795]  Moving our world in a positive direction.
[01:03:39.795 --> 01:03:43.357]  I mean, I look at what's happening in the political world.
[01:03:43.357 --> 01:03:47.478]  I mean, you have Trump staying strong against the other rhinos.
[01:03:47.478 --> 01:03:49.319]  You have RFK Jr.
[01:03:49.319 --> 01:03:56.441]  rescuing the Democratic Party and returning it to the honor of people like Harry Truman and John F. Kennedy.
[01:03:57.021 --> 01:04:04.024]  And then you've got the new generation, Vivek Ramaswamy, showing that the American Dream is still alive.
[01:04:04.024 --> 01:04:12.608]  And in every aspect of when I think I'm going into a chapter and I'm wondering if it's going to be dark, I find this incredible light.
[01:04:12.608 --> 01:04:18.191]  Like when I was going into the fact that Yuval Noah Harari talks about
[01:04:19.051 --> 01:04:20.992]  Useless eaters, okay?
[01:04:20.992 --> 01:04:26.276]  And I hear the dog whistle of genocide when he says- That's a Hitler statement!
[01:04:26.276 --> 01:04:27.817]  Yeah, yeah.
[01:04:27.817 --> 01:04:30.178]  The useless eaters.
[01:04:30.178 --> 01:04:37.963]  And, you know, the way he's selling it is he's selling it as, well, what we're going to have to do with people is we're going to have to give them drugs and computer games.
[01:04:38.323 --> 01:04:41.186]  So, Mark Zuckerberg comes around with meta.
[01:04:41.186 --> 01:04:42.267]  Well, what does he do?
[01:04:42.267 --> 01:04:44.509]  He loses billions on it!
[01:04:44.509 --> 01:04:45.891]  People totally reject it.
[01:04:45.891 --> 01:04:57.763]  If you go back to Why the Future Didn't Need Us, a big article in Wire Magazine by the head of Sun Microsystems, 23 years ago, they met at a big computer meeting and decided to give us computer games and drugs instead of killing us.
[01:05:05.126 --> 01:05:06.528]  I want to say brain force is great.
[01:05:06.528 --> 01:05:08.451]  I want to say turbo force is amazing.
[01:05:08.451 --> 01:05:09.052]  It is!
[01:05:09.052 --> 01:05:10.595]  But if you took it with bish oil...
[01:05:11.896 --> 01:05:13.918]  It's like the fish oil is it.
[01:05:13.918 --> 01:05:15.259]  The fish oil's better than that.
[01:05:15.259 --> 01:05:17.081]  And that's an example of what I'm talking about.
[01:05:17.081 --> 01:05:19.583]  Fish oil is liquid energy.
[01:05:19.583 --> 01:05:21.204]  Brain, body, heart.
[01:05:21.204 --> 01:05:22.686]  The cleanest, the best out there.
[01:05:22.686 --> 01:05:24.167]  Krill oils is the best.
[01:05:24.167 --> 01:05:25.528]  And it'll give you the damn burps.
[01:05:25.528 --> 01:05:26.269]  And I'm sorry.
[01:05:26.269 --> 01:05:27.370]  You want something like this?
[01:05:27.370 --> 01:05:28.330]  You don't get stuff for free.
[01:05:28.330 --> 01:05:30.272]  The krill is hallucinogenic.
[01:05:30.272 --> 01:05:30.873]  It's so good.
[01:05:30.873 --> 01:05:31.493]  In my view.
[01:05:31.493 --> 01:05:33.815]  I'm not making a medical statement here, but let me tell you something.
[01:05:33.815 --> 01:05:36.537]  I eat five capulets of krill oil before I go to bed.
[01:05:36.537 --> 01:05:38.119]  I'm seeing Santa Claus that night.
[01:05:39.884 --> 01:05:47.389]  So, your brain is made, basically, out of what fish oil is.
[01:05:47.389 --> 01:05:49.470]  So, we don't make a big profit off of it.
[01:05:49.470 --> 01:05:53.452]  You know, I just obsess, because whatever the best is we've got, I just can't lie to you.
[01:05:53.452 --> 01:06:00.837]  I just can't do it!
[01:06:00.837 --> 01:06:05.920]  From the front lines of the information war, it's Alex Jones.
[01:06:21.738 --> 01:06:25.100]  Breaking news, the president declaring a national emergency.
[01:06:25.100 --> 01:06:27.281]  A new stay at home order.
[01:06:27.281 --> 01:06:28.402]  We will shut you down.
[01:06:28.402 --> 01:06:30.883]  Don't think you can get on a plane or a train.
[01:06:30.883 --> 01:06:33.745]  This is a pandemic of the unvaccinated.
[01:06:33.745 --> 01:06:35.586]  And we will take you to jail.
[01:06:35.586 --> 01:06:38.668]  We've got to get them vaccinated.
[01:06:38.668 --> 01:06:41.869]  Or we will keep you in a facility longer.
[01:06:41.869 --> 01:06:49.714]  As the world was descending into synchronized tyranny, I began to ask myself, how did they get everyone to go along with this?
[01:06:50.722 --> 01:06:52.003]  Oh, it feels so good.
[01:06:52.003 --> 01:06:53.785]  I know.
[01:06:53.785 --> 01:07:01.551]  Obsessed with finding the answer, I began studying every moment in recorded history where masses of people acted against their own self-interest.
[01:07:03.408 --> 01:07:10.213]  The only mechanism that could explain what was happening in society... Screw your freedom, you schmuck!
[01:07:10.213 --> 01:07:12.975]  ...was what is usually referred to as mass formation.
[01:07:12.975 --> 01:07:16.918]  Where are we now with an economy in crisis, but with an incredible opportunity?
[01:07:16.918 --> 01:07:18.419]  Unprecedented opportunity.
[01:07:18.419 --> 01:07:19.440]  For a reset.
[01:07:19.440 --> 01:07:25.105]  Your Royal Highnesses, distinguished heads of state and government, the future is built by us.
[01:07:25.105 --> 01:07:28.167]  We need a great reset.
[01:07:28.167 --> 01:07:30.328]  When they say, you'll be happy,
[01:07:31.485 --> 01:07:35.129]  What they mean is, you'll be enslaved.
[01:07:35.129 --> 01:07:40.535]  Today, we have the technology to hack human beings on a massive scale.
[01:07:40.535 --> 01:07:46.000]  Who masters those technologies, will be the master of the world.
[01:07:46.000 --> 01:07:53.068]  Those who control the data, control the future, not just of humanity, but the future of life itself.
[01:07:55.433 --> 01:08:00.875]  Every aspect of our life has been infiltrated by people that do not have our best interests at heart.
[01:08:00.875 --> 01:08:05.176]  There are forces using fear and isolation to induce mass psychosis.
[01:08:05.176 --> 01:08:06.517]  I don't want you to be hopeful.
[01:08:06.517 --> 01:08:07.797]  Climate will build fires.
[01:08:07.797 --> 01:08:08.657]  I want you to panic.
[01:08:08.657 --> 01:08:10.298]  Storms will kill your children.
[01:08:10.298 --> 01:08:12.899]  I want you to feel the fear I feel every day.
[01:08:12.899 --> 01:08:14.179]  People are starting to wake up.
[01:08:14.179 --> 01:08:16.120]  They're starting to wake off the world.
[01:08:19.136 --> 01:08:24.920]  I'm seeing people come together from all walks of life, finally saying enough is enough.
[01:08:24.920 --> 01:08:26.281]  We didn't come here for no reason.
[01:08:26.281 --> 01:08:27.022]  We have a voice.
[01:08:27.022 --> 01:08:27.902]  We're here to share it.
[01:08:27.902 --> 01:08:29.103]  We have to be the solution.
[01:08:29.103 --> 01:08:33.186]  We cannot rely on the media, the president, or whoever to fix these problems.
[01:08:33.186 --> 01:08:38.630]  I would rather pick up cans on the side of the highway than to live out of alignment with my truth.
[01:08:38.630 --> 01:08:40.692]  We're all being driven back to the dream.
[01:08:41.804 --> 01:08:52.246]  As you see in the audience, Democrats, Republicans, white, black, everyone all in between, this is the example that they do not want to see, but they have no choice.
[01:08:52.246 --> 01:08:56.648]  The masses of humanity have been slapped awake.
[01:08:56.648 --> 01:08:58.028]  Open your eyes.
[01:08:58.028 --> 01:09:04.389]  It's time to wake up.
[01:09:04.389 --> 01:09:06.630]  This is the Great Awakening.
[01:09:09.045 --> 01:09:13.195]  People cannot go back into the Matrix now.
[01:09:13.195 --> 01:09:15.782]  A lot of people are trying to.
[01:09:15.782 --> 01:09:16.203]  They can't.
[01:09:38.687 --> 01:09:45.196]  Well, we're now into hour number two of this live Sunday worldwide broadcast at the establishment's battle to keep off the air.
[01:09:45.196 --> 01:09:47.459]  But evil's not the only force in the universe.
[01:09:47.459 --> 01:09:50.003]  Good is there because of you, the viewers and listeners.
[01:09:50.003 --> 01:09:54.930]  Because of your support, your word of mouth, and prayers, we're still here in many ways stronger than ever, though scarred.
[01:09:54.930 --> 01:09:55.050]  But
[01:09:56.044 --> 01:09:57.585]  Certainly stronger than ever.
[01:09:57.585 --> 01:10:00.007]  Dr. Judy Mikovits is here with us.
[01:10:00.007 --> 01:10:01.968]  She's got an incredible bio.
[01:10:01.968 --> 01:10:07.572]  She's a former political prisoner, put in prison by Fauci for exposing his plans.
[01:10:07.572 --> 01:10:09.994]  The real DrJudy.com.
[01:10:09.994 --> 01:10:17.860]  And it was Kent who's here and was her co-author at Heckin Lively that helped get the first, what became best-selling book out.
[01:10:19.292 --> 01:10:19.612]  I think so.
[01:10:32.575 --> 01:10:33.675]  Is incredible.
[01:10:33.675 --> 01:10:36.436]  So Dr. Judy Mikovits, I really appreciate you.
[01:10:36.436 --> 01:10:37.637]  It was amazing last night.
[01:10:37.637 --> 01:10:41.818]  You feel like we're winning and we've turned the corner even though the enemy's planning new attacks.
[01:10:41.818 --> 01:10:44.779]  Give us your take on the film and why it's so important.
[01:10:44.779 --> 01:10:47.120]  The last film's been seen by hundreds of millions of people.
[01:10:47.120 --> 01:10:50.061]  This one is destined to reach tens of millions bare minimum.
[01:10:51.155 --> 01:10:52.296]  Probably more.
[01:10:52.296 --> 01:10:55.999]  You seem very, very upbeat right now that the enemy's in a lot of trouble.
[01:10:55.999 --> 01:10:58.301]  And we see evidence of this all over the news.
[01:10:58.301 --> 01:11:03.786]  Even MSNBC and CNBC reporting that, okay, Jamie Foxx took the shot that might kill him.
[01:11:03.786 --> 01:11:05.708]  I mean, the dam has broken.
[01:11:05.708 --> 01:11:06.749]  Where do you see this going?
[01:11:06.749 --> 01:11:07.610]  Where are we in history?
[01:11:08.641 --> 01:11:10.782]  Well, we are at that renaissance.
[01:11:10.782 --> 01:11:12.664]  We are at that great awakening.
[01:11:12.664 --> 01:11:16.286]  And I did just buy the book, by the way, while I was sitting in the green room.
[01:11:16.286 --> 01:11:21.849]  We are at that renaissance and at that great awakening that we have won this.
[01:11:21.849 --> 01:11:23.510]  It's not we're winning.
[01:11:23.510 --> 01:11:26.332]  It's when we can talk to each other and see the perspective.
[01:11:26.332 --> 01:11:30.815]  And what was really interesting, why I am so upbeat about the film last night,
[01:11:31.255 --> 01:11:38.779]  Was how Mickey did it in the rough cut formats and then listened to the audience and looked at the audience perspective.
[01:11:38.779 --> 01:11:48.303]  So he was panning the audience as they were watching real time what G. Edward Griffin was telling us in the 1960s, 70s, 80s.
[01:11:48.303 --> 01:11:54.586]  So it goes back to HIV AIDS and it shows you COVID and it shows you same playbook.
[01:11:54.586 --> 01:11:56.007]  And they killed the director's brother.
[01:11:56.007 --> 01:11:59.389]  I mean, you start getting, it starts coming home how bad they've hurt us.
[01:11:59.989 --> 01:12:00.349]  Yeah.
[01:12:00.349 --> 01:12:04.811]  My grandmother paralyzed her daughter, told her, from the polio oral.
[01:12:04.811 --> 01:12:15.254]  But what we showed was, even through the injury, even through the sensor, if we keep talking to each other and we keep looking at the perspective, you said right there and then.
[01:12:15.254 --> 01:12:16.995]  Mickey Willis, you know, his brother died.
[01:12:18.076 --> 01:12:19.517]  I don't know.
