[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[47:01.040 --> 47:04.560]  IonicZone has a wealth of information on ozone therapy.
[47:04.560 --> 47:08.920]  Ozone therapy is used, among other things, to raise the body's oxygen level, which study
[47:08.920 --> 47:11.200]  suggests boosts the immune system.
[47:11.200 --> 47:17.400]  You can learn more about ozone therapy or IonicZone ozone generators by going to IonicZone.com
[47:17.400 --> 47:21.080]  or calling 800-549-9535.
[47:21.080 --> 47:28.080]  That's I-O-N-I-C-Zone.com or toll free, 800-549-9535.
[47:28.080 --> 47:29.080]  IonicZone.
[47:29.080 --> 47:39.080]  You're listening to GCN, the Genesis Communications Radio Network.
[47:39.080 --> 47:51.040]  Yeah, Barack Obama wants to bring in to place with Bill Clinton and George Bush.
[47:51.040 --> 47:54.040]  Both have called for National Compulsory Service.
[47:54.040 --> 47:58.560]  They've got bills introduced for that to make you join the military.
[47:58.560 --> 48:04.920]  The new chief of staff wants to make you join the military for one year and, of course,
[48:04.920 --> 48:07.120]  be a slave, the slave master Obama.
[48:07.120 --> 48:10.760]  But because I don't want to be his slave, I mean, you can't have a black guy who's
[48:10.760 --> 48:11.760]  for slavery.
[48:11.760 --> 48:14.520]  Funny, it was black selling blacks on all the slave ships.
[48:14.520 --> 48:18.320]  We've got slavery worldwide over and over again by every group, slaving.
[48:18.320 --> 48:21.200]  I mean, Rome enslaved mainly white people.
[48:21.200 --> 48:22.640]  See, folks don't know that.
[48:22.640 --> 48:27.200]  They think, well, you know, if Obama says the government's going to own me, that's great.
[48:27.200 --> 48:30.120]  You got all these people saying, well, I don't have to worry about my bills anymore if you
[48:30.120 --> 48:31.120]  heard these clips.
[48:31.120 --> 48:32.880]  I don't have to worry about my taxes anymore.
[48:32.880 --> 48:35.680]  My whole future's solved with Obama.
[48:35.680 --> 48:39.520]  Meanwhile, with the bailout, he's just giving all the money to foreign banks and laughing
[48:39.520 --> 48:40.720]  at you.
[48:40.720 --> 48:46.120]  And he's keeping all the bankers on from the Bush takeover plan with his policy.
[48:46.120 --> 48:47.760]  But just get ready.
[48:47.760 --> 48:48.760]  Find out for yourself.
[48:48.760 --> 48:52.360]  And then when they, when you finally wake up that Obama's bad, they'll give you a Republican
[48:52.360 --> 48:56.360]  and then you'll get fooled by that again and take a few years to figure that out.
[48:56.360 --> 48:57.920]  It's the new world order.
[48:57.920 --> 49:03.680]  They own both the parties and until we turn that around, you know, all these smiley corporate
[49:03.680 --> 49:05.760]  faces are going to keep fooling us.
[49:05.760 --> 49:08.200]  I mean, look at that insincere.
[49:08.200 --> 49:09.200]  I'm holding up time.
[49:09.200 --> 49:13.840]  This is Newsweek with Barack Obama, President 44 on there.
[49:13.840 --> 49:14.840]  Just totally insincere.
[49:14.840 --> 49:19.560]  But it doesn't matter, you got to find out and as long as you feel good about yourself
[49:19.560 --> 49:20.560]  while you're being screwed.
[49:20.560 --> 49:27.160]  So what, you know, land of the delusional Prozac heads, no longer land of the freedom
[49:27.160 --> 49:33.400]  of the brain, which is land of the delusional land of the lied to land of the PR addicted.
[49:33.400 --> 49:35.600]  Let's go ahead and talk to Steve in DC.
[49:35.600 --> 49:36.600]  You're on the air, Steve.
[49:36.600 --> 49:37.600]  Go ahead.
[49:37.600 --> 49:44.280]  Hey, Alex, um, I'm black myself and to be quite honest, Obama is a piece of trash.
[49:44.280 --> 49:50.360]  I mean, I have a friend from Nigeria and he doesn't support Obama because he's seen this
[49:50.360 --> 49:53.040]  back there and it's nothing new.
[49:53.040 --> 50:00.440]  But I did want to ask you, have you seen, um, Obama's Jesus statue in Chicago and supposedly
[50:00.440 --> 50:07.880]  his hands are in the same position as a baffle met is it's, uh, as above so below.
[50:07.880 --> 50:13.480]  And also if you know that's the same one that the famous George Washington, um, statue
[50:13.480 --> 50:15.720]  were one hands above one hands below.
[50:15.720 --> 50:16.720]  Yeah.
[50:16.720 --> 50:17.720]  Yeah.
[50:17.720 --> 50:21.320]  I know I haven't seen the Obama statue saying he's Jesus, but I've seen all these headlines
[50:21.320 --> 50:25.920]  and articles in the mainstream corporate press that told us that Iraq had aluminum tubes
[50:25.920 --> 50:30.520]  and uranium and WMDs and carried out 9 11 and the same corporate press that told us
[50:30.520 --> 50:34.720]  George Bush was a great guy is now calling him the one.
[50:34.720 --> 50:39.600]  And I feel so sorry for all these folks, not just black folks, but I mean white folks think
[50:39.600 --> 50:45.280]  everybody thinks I mean, you know, 30 40% of the population thinks that literally God
[50:45.280 --> 50:48.280]  has arrived and I got news for you folks.
[50:48.280 --> 50:53.080]  He's just got a different paint job than George Bush and people better get ready because it's
[50:53.080 --> 50:57.520]  the same thing under the hood and people better get ready for the new world order.
[50:57.520 --> 51:05.600]  I mean, Barack Obama out of the gates is going to have carbon taxes, youth brigades handing
[51:05.600 --> 51:08.160]  everything over to the bankers, more wars.
[51:08.160 --> 51:10.480]  He's announcing is going to go into other countries.
[51:10.480 --> 51:12.840]  I mean, I don't know how people think this has changed.
[51:12.840 --> 51:14.600]  That's what I'm asking Steve.
[51:14.600 --> 51:15.600]  Yeah.
[51:15.600 --> 51:19.040]  My last statement is Obama has his true squad.
[51:19.040 --> 51:24.080]  Why isn't he denouncing all the calls for him to be this Messiah or Jesus?
[51:24.080 --> 51:28.560]  Supposedly, they're supposed to catch these things that aren't true, but he's not addressing
[51:28.560 --> 51:29.560]  these issues.
[51:29.560 --> 51:32.200]  So I guess he is accepting his Godhood.
[51:32.200 --> 51:38.000]  Well, I mean, if you go to his websites, they talk about him being the one, the answer.
[51:38.000 --> 51:41.760]  He ran TV ads where they're, I mean, get ready folks.
[51:41.760 --> 51:47.800]  I've never seen the media so behind somebody and again, they're not liberal.
[51:47.800 --> 51:48.800]  They're not conservative.
[51:48.800 --> 51:49.800]  All the liberal media.
[51:49.800 --> 51:50.800]  What do you expect?
[51:50.800 --> 51:51.800]  It's not liberal.
[51:51.800 --> 51:53.480]  They're owned by the military industrial complex.
[51:53.480 --> 51:56.000]  Well, sir, I am so sad.
[51:56.000 --> 52:01.560]  I wish because, I mean, on the surface, frankly, I'm tired of racism and classism and infighting.
[52:01.560 --> 52:04.560]  Man, I would love it if we had a black president who was anti-new world order.
[52:04.560 --> 52:06.000]  I love it if the guy had green skin.
[52:06.000 --> 52:07.000]  I don't care.
[52:07.000 --> 52:11.920]  And, but, but now I think it's going to increase all the race fighting and all this because
[52:11.920 --> 52:16.440]  now it's going to all be about, oh, you just don't like him because he's black or, well,
[52:16.440 --> 52:21.880]  no, look, he is bad because he's black and then it's just going to, I mean, every angle
[52:21.880 --> 52:26.280]  I look at this, instead of it being about the issues or about who's funding him or
[52:26.280 --> 52:30.240]  who's behind him, it's all going to be about what color he is.
[52:30.240 --> 52:33.640]  And that's why the new world order loves it so much because it's the perfect distraction.
[52:33.640 --> 52:34.640]  Perfect distraction, Steve.
[52:34.640 --> 52:37.080]  I mean, what are other folks saying in D.C.?
[52:37.080 --> 52:40.840]  Oh, well, basically, my coworkers asked me, um, was I voting?
[52:40.840 --> 52:41.840]  I told them no.
[52:41.840 --> 52:46.800]  I really wanted to vote, but I just was just so down about the whole issue.
[52:46.800 --> 52:52.600]  When I told them I wasn't voting, they looked like I, I committed a blasphemy myself and
[52:52.600 --> 52:57.520]  I told them I wasn't supporting Barack Obama because he was the same as he is the same
[52:57.520 --> 52:58.520]  as Bush.
[52:58.520 --> 53:04.880]  I voted for Lock and Step, voted for Patriot Act, uh, funding of the war in Iraq, different
[53:04.880 --> 53:05.880]  issues.
[53:05.880 --> 53:08.600]  And basically I've gotten the silent treatment at work.
[53:08.600 --> 53:13.440]  So I've learned it's best not to blaspheme against Obama, I suppose.
[53:13.440 --> 53:14.440]  Well that's it.
[53:14.440 --> 53:17.200]  You know, maybe you should just slowly educate them and explain, hey, I'm not for George
[53:17.200 --> 53:18.200]  Bush.
[53:18.200 --> 53:20.320]  Do you know what corporate PR is?
[53:20.320 --> 53:25.920]  Like a car commercial or a, or a, or a soft drink ad, you know, this is corporate PR like
[53:25.920 --> 53:28.240]  diamonds forever, the beers.
[53:28.240 --> 53:32.760]  You know, I mean, again, the American people aren't aware they're being showered.
[53:32.760 --> 53:36.840]  They're being bombarded with propaganda.
[53:36.840 --> 53:40.800]  And then they're convinced propaganda doesn't exist instead of looking at what somebody
[53:40.800 --> 53:41.800]  actually does.
[53:41.800 --> 53:46.160]  But bottom line, again, they love Obama because he makes it look like we're going to have
[53:46.160 --> 53:47.160]  change.
[53:47.160 --> 53:51.960]  Meanwhile, the whole new order agenda continues and I appreciate your call, sir.
[53:51.960 --> 53:59.000]  And you know what, oh man, I mean, any way you cut this, we're in trouble.
[53:59.000 --> 54:00.680]  People say, well, why didn't you vote for McCain?
[54:00.680 --> 54:06.840]  Because I can't endorse eight years of George Bush and lying and warmongering.
[54:06.840 --> 54:10.800]  I can't go along with all of this.
[54:10.800 --> 54:12.800]  I didn't vote for Obama either.
[54:12.800 --> 54:18.000]  I'm not going to be part of this anymore to understand folks that the police are still
[54:18.000 --> 54:19.640]  going to stage riots.
[54:19.640 --> 54:22.840]  The government's still going to ship heroin and cocaine in, they're still going to arrest
[54:22.840 --> 54:26.320]  people and secretly torture them to death and torture them for confessions.
[54:26.320 --> 54:29.320]  They're still going to hand trillions of dollars of the foreign private banks.
[54:29.320 --> 54:33.520]  It's just now, instead of people not trusting George Bush, knowing he's a lion's scumbag,
[54:33.520 --> 54:37.840]  after eight years to figure it out, the new old orders put on a new set of tires.
[54:37.840 --> 54:40.160]  They've put on a new birdcage liner.
[54:40.160 --> 54:41.480]  They have put out another distraction.
[54:41.480 --> 54:43.120]  It's so simple.
[54:43.120 --> 54:44.720]  And our caller from DC gets it.
[54:44.720 --> 54:45.720]  Other people don't.
[54:45.720 --> 54:47.720]  JD in Mississippi, you're on the air, JD.
[54:47.720 --> 54:50.800]  The truth is stranger than fiction, my friend.
[54:50.800 --> 54:51.800]  It is.
[54:51.800 --> 54:55.480]  I just wanted to run past you a few things.
[54:55.480 --> 55:02.160]  First, on November 22nd, there's going to be a in the fed national protest.
[55:02.160 --> 55:06.800]  It's going to be all over the Federal Reserve, places around the United States.
[55:06.800 --> 55:07.800]  That's right.
[55:07.800 --> 55:09.720]  It's got 12 regional banks and Gary French.
[55:09.720 --> 55:10.720]  He's heading that up.
[55:10.720 --> 55:15.480]  People should go out and protest the private Federal Reserve.
[55:15.480 --> 55:16.760]  That's the real government.
[55:16.760 --> 55:18.400]  Not Barack Obama, folks.
[55:18.400 --> 55:21.920]  Under the banker takeover bill, they were given governmental power.
[55:21.920 --> 55:22.920]  Exactly.
[55:22.920 --> 55:27.840]  And where I'm me being here in North Mississippi, we're going to be up in Memphis.
[55:27.840 --> 55:31.840]  It just got me a Gadsden flag to take up.
[55:31.840 --> 55:32.840]  Take up there.
[55:32.840 --> 55:33.840]  This is don't tread on me.
[55:33.840 --> 55:36.040]  It's got the coil snake on it.
[55:36.040 --> 55:38.800]  We're going to be up there filming it, trying to bullhorn them.
[55:38.800 --> 55:41.680]  There's going to be a Nashville all over.
[55:41.680 --> 55:44.280]  I'd like to see it international.
[55:44.280 --> 55:47.840]  Well it is going to be international because they have the same private families that
[55:47.840 --> 55:51.640]  on the Federal Reserve, on the Bank of England and the Bundesbank in Germany and others,
[55:51.640 --> 55:52.640]  it is the same.
[55:52.640 --> 55:56.120]  By the way, they're the ones openly announcing world government run by the bankers.
[55:56.120 --> 56:00.600]  They engineer the crisis and say, the answer is setting up a world government we run.
[56:00.600 --> 56:03.360]  We're going to give you a carbon tax on everything you do.
[56:03.360 --> 56:06.600]  They have all these idiot school kids go out and, yeah, ban carbon.
[56:06.600 --> 56:10.320]  There's nothing to do with hurting the environment, put plants, breathe.
[56:10.320 --> 56:13.600]  By the way, the earth is getting cooler now because the sun just cooled off.
[56:13.600 --> 56:15.320]  It's a normal to have climate change.
[56:15.320 --> 56:17.840]  Now they're not saying we've got to stop global warming.
[56:17.840 --> 56:19.800]  Now it's climate change.
[56:19.800 --> 56:22.240]  Pretty soon, it's a conspiracy theory.
[56:22.240 --> 56:24.200]  There are no seasons.
[56:24.200 --> 56:29.240]  The old timers claim that once the earth temperatures change, but not anymore.
[56:29.240 --> 56:31.880]  That's a lie of al-Qaeda.
[56:31.880 --> 56:33.040]  Al-Qaeda tells you there are seasons.
[56:33.040 --> 56:36.600]  Al-Qaeda tells you some decades are cold, some are hot.
[56:36.600 --> 56:38.600]  Some winters cold, some not.
[56:38.600 --> 56:39.600]  Some moderate.
[56:39.600 --> 56:40.600]  That's a lie of al-Qaeda.
[56:40.600 --> 56:47.520]  If you question that, the great lawgiver, Lord Obama, sends you to the love camp.
[56:47.520 --> 56:49.880]  Let's go ahead and take another call here.
[56:49.880 --> 56:52.360]  Let's go ahead and talk to Jeremy in Tennessee.
[56:52.360 --> 56:54.320]  Jeremy, you're on the air.
[56:54.320 --> 56:55.320]  Welcome.
[56:55.320 --> 56:56.320]  How are you doing, Alex?
[56:56.320 --> 56:57.720]  Got a bit of a cold, but I'm good.
[56:57.720 --> 56:58.720]  Go ahead.
[56:58.720 --> 56:59.720]  That's why I sound a bit different.
[56:59.720 --> 57:00.720]  Hey, Alex.
[57:00.720 --> 57:01.720]  I'm a soldier.
[57:01.720 --> 57:06.080]  I've been calling you on your show for about two years.
[57:06.080 --> 57:10.560]  I think honestly, even though Obama won, and I don't agree with him at all, but the
[57:10.560 --> 57:15.480]  best thing I think could have happened to our movement is that, because there are so
[57:15.480 --> 57:19.840]  many conservatives that used to snicker at me and laugh at me at work, you know, I'm
[57:19.840 --> 57:20.840]  around a lot.
[57:20.840 --> 57:24.200]  I'm in a special operations unit, and I don't support Bush.
[57:24.200 --> 57:25.200]  I don't support McCain.
[57:25.200 --> 57:29.200]  And now suddenly they're worried about FEMA, and they're worried about youth brigades.
[57:29.200 --> 57:35.360]  I had a female captain come up to me on Friday at the gym, come up going, you know, we're
[57:35.360 --> 57:36.920]  all going to die now.
[57:36.920 --> 57:38.440]  And I'm like, yeah, welcome to my nightmare.
[57:38.440 --> 57:42.080]  I've been telling you about Obama for a year, you know.
[57:42.080 --> 57:46.720]  So I had a story, it's kind of positive about something I learned from you.
[57:46.720 --> 57:50.600]  I'm an NCO in the Army, and there's a lot of good people.
[57:50.600 --> 57:52.320]  Listen, can you stay there through the news?
[57:52.320 --> 57:53.320]  Yes, sir.
[57:53.320 --> 57:54.320]  I can.
[57:54.320 --> 57:55.320]  I promise we'll go to you.
[57:55.320 --> 57:56.840]  I mean, it's so childish.
[57:56.840 --> 58:01.040]  Frankly, I don't even feel like being here most days, because why do I have to explain
[58:01.040 --> 58:05.400]  to the audience, not my listeners, but other people, you know, on AM and FM listening,
[58:05.400 --> 58:07.520]  that it isn't about George Bush or Obama.
[58:07.520 --> 58:11.080]  Honestly, guys don't run anything.
[58:11.080 --> 58:12.240]  They're cutouts, folks.
[58:12.240 --> 58:13.740]  They're fronts.
[58:13.740 --> 58:18.520]  We're talking about what's going on in the back room, the big boys, the bankers.
[58:18.520 --> 58:19.520]  Stay with me.
[58:19.520 --> 58:20.800]  We can save the Republic together.
[58:20.800 --> 58:25.120]  It's no secret that Genesis Communications Network depends on listeners like you.
[58:25.120 --> 58:28.160]  Now you can do even more to hear Genesis shows in your area.
[58:28.160 --> 58:32.600]  Simply call your local radio stations and tell them about your favorite GCN programs.
[58:32.600 --> 58:33.600]  It's easy.
[58:33.600 --> 58:39.920]  If you want to, go on to GCNLive.com or call us toll free 877-807-4048.
[58:39.920 --> 58:40.920]  Make a difference.
[58:40.920 --> 58:46.120]  Call your local stations and contact us through affiliate relations at GCNLive.com or call
[58:46.120 --> 58:49.440]  877-807-4048.
[58:49.440 --> 58:51.880]  Call today.
[58:51.880 --> 58:52.880]  Looking for profit?
[58:52.880 --> 58:54.400]  Looking for safety and security?
[58:54.400 --> 58:57.800]  The $10 Olympic member of Goldcoin offers both.
[58:57.800 --> 59:04.200]  This low-mintage collector coin, with a total-series-mintage under $600,000, has sold at four times
[59:04.200 --> 59:05.360]  its current price.
[59:05.360 --> 59:09.360]  Falling dollar values and inflation make this likely to happen again.
[59:09.360 --> 59:11.000]  Secure your position today.
[59:11.000 --> 59:15.680]  Call Mitus Resources at 1-800-686-2237.
[59:15.680 --> 59:21.400]  That's 1-800-686-2237.
[59:21.400 --> 59:26.000]  SurvivalProperty.com Longtime survivalist author Ragnar Benson wrote,
[59:26.000 --> 59:29.600]  A survival retreat is a place you go to live, not die.
[59:29.600 --> 59:33.680]  It is a place out of the mainstream of events that contains the means to survive without
[59:33.680 --> 59:34.920]  outside support.
[59:34.920 --> 59:40.800]  A place where you find shelter, protection, food, water, medicine and warmth you prepared
[59:40.800 --> 59:42.000]  for yourself.
[59:42.000 --> 59:46.440]  It is defensible and is put together with a realistic understanding of what the dangers
[59:46.440 --> 59:47.440]  will be.
[59:47.440 --> 59:50.520]  Ragnar Benson also said, Why retreat?
[59:50.520 --> 59:55.000]  This is a question that 90% of our population cannot and will not answer.
[59:55.000 --> 59:59.720]  If they could, that same 90% would have to admit that things may not continue on as they
[59:59.720 --> 1:00:00.800]  are now.
[1:00:00.800 --> 1:00:05.120]  They would also have to admit that they will need a retreat, something completely impossible
[1:00:05.120 --> 1:00:07.400]  for the average American to do.
[1:00:07.400 --> 1:00:09.280]  Act now before it's too late.
[1:00:09.280 --> 1:00:15.880]  In order to find your new, high-security, self-sufficient, off-grid, beautiful retreat property, visit
[1:00:15.880 --> 1:00:17.880]  survivalproperty.com.
[1:00:17.880 --> 1:00:20.720]  That's survivalproperty.com.
[1:00:20.720 --> 1:00:28.400]  For Houston officials, visit Austin to offer thanks.
[1:00:28.400 --> 1:00:30.320]  J, Austin, Texas.
[1:00:30.320 --> 1:00:31.320]  Check your watch.
[1:00:31.320 --> 1:00:32.320]  It is fun.
[1:00:32.320 --> 1:00:38.000]  Hi, all in USA Radio News, I'm Jody Jordan.
[1:00:38.000 --> 1:00:42.640]  President-elect Obama's transition chief suggests the incoming administration may take a page
[1:00:42.640 --> 1:00:45.680]  from the outgoing one to get some things done faster.
[1:00:45.680 --> 1:00:50.800]  John Podesta tells Fox News Sunday a review is underway of executive orders on stem-cell
[1:00:50.800 --> 1:00:53.760]  research, oil and gas drilling, and other matters.
[1:00:53.760 --> 1:00:58.840]  He also says the current administration must work on new legislation to aid the economy.
[1:00:58.840 --> 1:01:05.760]  The job is up to President Bush to move that legislation forward and try to keep economic
[1:01:05.760 --> 1:01:06.760]  recovery moving.
[1:01:06.760 --> 1:01:11.720]  Obama's chief of staff, Rahm Emanuel, says the ailing auto industry will need to be revived
[1:01:11.720 --> 1:01:13.320]  to keep the economy going.
[1:01:13.320 --> 1:01:17.560]  President-elect Obama has asked his economic team to look at different options of what
[1:01:17.560 --> 1:01:23.520]  it takes to help bridge the auto industry so they're a part of not only a revived economy,
[1:01:23.520 --> 1:01:27.720]  but part of an energy policy going forward where America is less dependent on foreign
[1:01:27.720 --> 1:01:28.720]  oil.
[1:01:28.720 --> 1:01:31.320]  This is IRN, USA Radio News.
[1:01:31.320 --> 1:01:35.200]  When I first enrolled in the program, getting all those collection calls and letters, I'd
[1:01:35.200 --> 1:01:36.200]  get overwhelmed.
[1:01:36.200 --> 1:01:38.880]  And a couple of times, I called Panicky.
[1:01:38.880 --> 1:01:42.560]  Everyone at that professional of America just called me right down.
[1:01:42.560 --> 1:01:46.640]  How would you like to wipe out 30 to 60 percent of your credit card debt?
[1:01:46.640 --> 1:01:50.400]  There are secret programs most credit card companies won't tell you about that can allow
[1:01:50.400 --> 1:01:53.000]  a portion of your debt to be forgiven.
[1:01:53.000 --> 1:01:57.520]  Debt professionals of America can help you avoid bankruptcy, save thousands, and get
[1:01:57.520 --> 1:01:59.800]  more cash back in your pocket every month.
[1:01:59.800 --> 1:02:02.240]  Call for a free, no obligation consultation.
[1:02:02.240 --> 1:02:05.920]  Debt professionals will give you the steps to eliminating a large percentage of your
[1:02:05.920 --> 1:02:09.480]  credit card bills, medical bills, or department store debt.
[1:02:09.480 --> 1:02:13.760]  If you have over $10,000 in unsecured debt, you could automatically qualify.
[1:02:13.760 --> 1:02:16.240]  Individual results vary, and it's not available in all states.
[1:02:16.240 --> 1:02:31.480]  Call for your free information now at 800-568-5385, 800-568-5385, 800-568-5385, that's 800-568-5385.
[1:02:31.480 --> 1:02:35.200]  Israel and the Palestinians vowed to press on for peace.
[1:02:35.200 --> 1:02:39.880]  Enacted by international mediators, the two sides today pledged to continue talks that
[1:02:39.880 --> 1:02:45.600]  President Bush launched even though a possible deal won't happen until Bush's term ends.
[1:02:45.600 --> 1:02:48.600]  Condoleezza Rice has been part of the negotiations.
[1:02:48.600 --> 1:02:53.960]  I believe that the Annapolis process is now the international community's answer and the
[1:02:53.960 --> 1:02:59.640]  party's answer to how do we finally end the conflict between Palestinians and Israelis.
[1:02:59.640 --> 1:03:03.760]  Fighting in Congo has resumed, and that has doctors concerned about a cholera epidemic
[1:03:03.760 --> 1:03:06.880]  if infected patients scatter to escape.
[1:03:06.880 --> 1:03:11.440]  Doctors are trying to contain the outbreak in a sprawling refugee camp near Thongos Eastern
[1:03:11.440 --> 1:03:16.880]  Provincial Capital of Goma, and there's evidence even people not normally thought to be at
[1:03:16.880 --> 1:03:22.200]  major risk can reduce their chances of a heart attack using a cholesterol drug.
[1:03:22.200 --> 1:03:25.800]  A large study finds taking Crestor can help.
[1:03:25.800 --> 1:03:31.200]  For more news and analysis, log on to IRNNews.com.
[1:03:31.200 --> 1:03:33.720]  Do you suffer from cold sores?
[1:03:33.720 --> 1:03:38.800]  Relief one day cold sore symptom treatment is out to prove how fast it really works.
[1:03:38.800 --> 1:03:44.080]  If you suffer from those nasty sores, try relief and find out for yourself if relief
[1:03:44.080 --> 1:03:46.560]  works really fast for you.
[1:03:46.560 --> 1:03:49.520]  Relief is spelled R-E-L-E-E-V.
[1:03:49.520 --> 1:03:54.640]  It's easy to find and is in all major drug stores, so if you get cold sores, remember
[1:03:54.640 --> 1:04:01.600]  to get relief now and keep it ready to use the moment of cold sore attacks.
[1:04:01.600 --> 1:04:07.760]  The owner of a club school in Haiti is in custody as a desperate search for survivors continues.
[1:04:07.760 --> 1:04:08.760]  Here's Jonathan Katz.
[1:04:08.760 --> 1:04:13.880]  Somewhere in the Middle East, 88 people dead and about 150 seriously wounded.
[1:04:13.880 --> 1:04:15.280]  Many are still missing.
[1:04:15.280 --> 1:04:19.120]  The school owner is charged with involuntary manslaughter.
[1:04:19.120 --> 1:04:24.600]  There's been a suicide bombing in Fallujah, a tiny town just 40 miles from Baghdad.
[1:04:24.600 --> 1:04:25.600]  Here's Ryan Lucas.
[1:04:25.600 --> 1:04:31.680]  A female suicide bomber blew herself up at a hospital near Fallujah in Anbar province.
[1:04:31.680 --> 1:04:35.120]  There were three people killed in the attack, five people wounded, among the killed there
[1:04:35.120 --> 1:04:39.920]  were two women and a 10-year-old girl and among the wounded there was a doctor at the
[1:04:39.920 --> 1:04:41.480]  hospital and her husband.
[1:04:41.480 --> 1:04:46.080]  Cuba's coast is flooded and hundreds of thousands of people have been evacuated due to hurricane
[1:04:46.080 --> 1:04:47.960]  Paloma strike today.
[1:04:47.960 --> 1:04:52.960]  The ferocious storm hit is a category four hurricane but quickly weakened to a tropical
[1:04:52.960 --> 1:04:53.960]  storm.
[1:04:53.960 --> 1:04:56.840]  Richard Posh is with the National Hurricane Center.
[1:04:56.840 --> 1:05:00.800]  Very strong westerly winds in the upper low of the atmosphere have literally blown the
[1:05:00.800 --> 1:05:07.720]  top of it off and so we expect this to dwindle down to just a weak area of low pressure in
[1:05:07.720 --> 1:05:09.960]  a couple of days.
[1:05:09.960 --> 1:05:17.280]  To coincide with 11 a.m., which marked the end of World War I at 11 a.m. on November
[1:05:17.280 --> 1:05:23.320]  11th, 1918, the chimes of London's Big Bend marks the beginning of the Remembrance Day
[1:05:23.320 --> 1:05:26.600]  ceremony for Britain's war debt.
[1:05:26.600 --> 1:05:30.320]  I'm Jody Jordan for IRNUSA Radio News.
[1:05:30.320 --> 1:05:31.320]  Question.
[1:05:31.320 --> 1:05:35.320]  Is the world getting better or vastly worse?
[1:05:35.320 --> 1:05:36.320]  Worse.
[1:05:36.320 --> 1:05:41.360]  A world economic collapse could come any day.
[1:05:41.360 --> 1:05:42.360]  Question.
[1:05:42.360 --> 1:05:46.320]  Are you prepared or are you ignoring the signs?
[1:05:46.320 --> 1:05:47.320]  Question.
[1:05:47.320 --> 1:05:54.320]  Do you have seven years of healthy food for your family?
[1:05:54.320 --> 1:05:55.320]  Answer.
[1:05:55.320 --> 1:05:56.320]  Answer.
[1:05:56.320 --> 1:06:00.120]  Go to survivalistseeds.com now.
[1:06:00.120 --> 1:06:05.320]  12,000 seeds giving you 5,000 pounds of food for just four pennies a pound.
[1:06:05.320 --> 1:06:09.320]  Without a long-term food solution, your choices are limited.
[1:06:09.320 --> 1:06:14.320]  Visit survivalistseeds.com and check out our Doomsday Water Filter System.
[1:06:14.320 --> 1:06:16.120]  Without water, you die.
[1:06:16.120 --> 1:06:19.120]  It's all online at survivalistseeds.com.
[1:06:19.120 --> 1:06:20.840]  Are you prepared?
[1:06:20.840 --> 1:06:25.160]  At survivalistseeds.com, go to survivalistseeds.com.
[1:06:25.160 --> 1:06:33.640]  Do it now or become property of the New World Order.
[1:06:33.640 --> 1:06:38.360]  Prepare your soul.
[1:06:38.360 --> 1:06:40.680]  Prepare your soul.
[1:06:40.680 --> 1:06:41.760]  Prepare your soul.
[1:06:41.760 --> 1:06:42.760]  Prepare your soul.
[1:06:42.760 --> 1:06:43.760]  Prepare your soul.
[1:06:43.760 --> 1:06:44.760]  Prepare your soul.
[1:06:44.760 --> 1:06:45.760]  Prepare your soul.
[1:06:45.760 --> 1:07:01.480]  he stands for what's right this is the Alex Jones show call Alex now toll free at 877-590-5525
[1:07:01.480 --> 1:07:12.400]  now live from Austin Texas here Alex Jones alright it's the second final hour I haven't
[1:07:12.400 --> 1:07:17.680]  even gotten into all my documentation clips of Obama Obama pulling it down off his site
[1:07:17.680 --> 1:07:25.800]  national compulsory service youth brigades gun confiscation brigades domestic spy teams
[1:07:25.800 --> 1:07:30.340]  I mean this is going to make Nazi Germany and Russia under the Soviets look like child's
[1:07:30.340 --> 1:07:35.640]  play they pulled this off as presidential website but we have it all right here I've
[1:07:35.640 --> 1:07:41.520]  got a bunch of economic news too and mainstream media is admitting that the chemicals in the
[1:07:41.520 --> 1:07:50.160]  one plastic age that became universal is sterilizing men all over the western world
[1:07:50.160 --> 1:07:54.320]  so I want to warn folks about that coming up to but let's just go to your calls right
[1:07:54.320 --> 1:07:58.640]  now Jeremy in Tennessee says he's with special operations group in a special operations group
[1:07:58.640 --> 1:08:02.200]  and they couldn't wake up to the new world order he tried to warn them try to talk to
[1:08:02.200 --> 1:08:06.720]  them but that's impossible George Bush is a good Christian conservative but now because
[1:08:06.720 --> 1:08:11.200]  Obama's in office suddenly they're all worried and concerned and yes it's true cops and
[1:08:11.200 --> 1:08:17.200]  military generally when Democrats get in and kind of go with the left step see these are
[1:08:17.200 --> 1:08:21.360]  legs on the new world order they take a step of the left take a step of the right step
[1:08:21.360 --> 1:08:26.320]  of the left step of the right right now it's a left step and a big step of Barack Obama
[1:08:26.320 --> 1:08:30.560]  but I've never seen and my mother you know been a liberal but a Democrat but you know
[1:08:30.560 --> 1:08:35.000]  woken up in the last few decades that doesn't mean becoming a conservative the point is she's
[1:08:35.000 --> 1:08:40.160]  woken up with a bigger paradigm she says I'm scared I'm concerned she said that I've never
[1:08:40.160 --> 1:08:44.960]  seen them call somebody a Messiah the one the leader folks that's not what a free country
[1:08:44.960 --> 1:08:49.600]  does with the president but but anyways I digress the corporate system is doing that
