[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[1:02:14.000 --> 1:02:16.000]  Not harassing people.
[1:02:16.000 --> 1:02:18.000]  Not harassing folks.
[1:02:18.000 --> 1:02:21.000]  Now this is Hillary Clinton.
[1:02:21.000 --> 1:02:22.000]  Whoa!
[1:02:22.000 --> 1:02:24.000]  By the way, let's pause real quick.
[1:02:24.000 --> 1:02:28.000]  These women are all deranged and seem to have like motor issue problems.
[1:02:28.000 --> 1:02:31.000]  And again, I'm not attacking people that have neurological disorders.
[1:02:31.000 --> 1:02:35.000]  Lord knows most of us that end up having them or have fellow members that have them.
[1:02:35.000 --> 1:02:36.000]  Okay?
[1:02:36.000 --> 1:02:39.000]  But I mean, you see, it's like Frankenstein.
[1:02:43.000 --> 1:02:45.000]  We're going to show Chicken Man coming up.
[1:02:45.000 --> 1:02:48.000]  Yes, I'm not kidding. A man and a chicken suit attacks.
[1:02:48.000 --> 1:02:50.000]  But let's continue.
[1:02:50.000 --> 1:02:51.000]  Private property.
[1:02:51.000 --> 1:02:54.000]  No, this is private property.
[1:02:54.000 --> 1:02:56.000]  Can we do it on the sidewalk though?
[1:02:56.000 --> 1:02:57.000]  Just off property?
[1:02:57.000 --> 1:02:59.000]  So they go to the sidewalk and then he comes back.
[1:02:59.000 --> 1:03:00.000]  It's fine.
[1:03:00.000 --> 1:03:02.000]  This is great, you guys.
[1:03:02.000 --> 1:03:04.000]  I mean, you're really showing weird cult lines.
[1:03:04.000 --> 1:03:06.000]  Is that Kim Jong-un?
[1:03:06.000 --> 1:03:08.000]  With like a glued on beard?
[1:03:08.000 --> 1:03:11.000]  I'll bring you out here today.
[1:03:11.000 --> 1:03:15.000]  And look, Robert Mazzotti keeps bumping into her.
[1:03:15.000 --> 1:03:17.000]  She knows how to tell the truth.
[1:03:17.000 --> 1:03:19.000]  Have you always told the truth?
[1:03:19.000 --> 1:03:22.000]  I've always tried to. Always. Always.
[1:03:22.000 --> 1:03:24.000]  Did you read her book? What happened?
[1:03:24.000 --> 1:03:26.000]  That's how we're here. We're getting the book.
[1:03:26.000 --> 1:03:28.000]  You're getting the book.
[1:03:28.000 --> 1:03:29.000]  Okay, so you haven't read it yet.
[1:03:29.000 --> 1:03:30.000]  Watch your body.
[1:03:30.000 --> 1:03:34.000]  If you're going to push your body into my elbow, then that's your fault.
[1:03:34.000 --> 1:03:37.000]  We're trying to be cordial, so just no physical contact, okay?
[1:03:37.000 --> 1:03:42.000]  Um, excuse me, but when I'm standing here and he's pushing into me,
[1:03:42.000 --> 1:03:46.000]  pushing into my elbow, saying watch my elbow, he needs to watch his body,
[1:03:46.000 --> 1:03:49.000]  okay, and not be assaulting me.
[1:03:49.000 --> 1:03:50.000]  Don't be assaulting me.
[1:03:50.000 --> 1:03:53.000]  I'm invading your space, and when you wake up in the morning,
[1:03:53.000 --> 1:03:55.000]  all you'll see is this face.
[1:03:55.000 --> 1:03:58.000]  What do you think about Bill Clinton having sexually assaulted women?
[1:03:58.000 --> 1:04:01.000]  He did not sexually assault women, considering that for sexual assault,
[1:04:01.000 --> 1:04:03.000]  you need consent.
[1:04:03.000 --> 1:04:04.000]  You need to not have consent.
[1:04:04.000 --> 1:04:06.000]  That guy can actually talk.
[1:04:06.000 --> 1:04:08.000]  So they try to stop him from talking.
[1:04:08.000 --> 1:04:10.000]  Excuse me, do not touch me, sir.
[1:04:10.000 --> 1:04:14.000]  I will file an assault charge on you. You do not touch me.
[1:04:14.000 --> 1:04:17.000]  I don't know. Your private security, you do not have the right to touch me.
[1:04:17.000 --> 1:04:19.000]  Well, she went and did something.
[1:04:19.000 --> 1:04:21.000]  And he's engaging in willful dialogue.
[1:04:21.000 --> 1:04:24.000]  You don't have the right to touch me and push up on me, sir.
[1:04:24.000 --> 1:04:25.000]  I do not want you to touch me.
[1:04:25.000 --> 1:04:26.000]  He was.
[1:04:26.000 --> 1:04:31.000]  So, okay, you're saying that consent is the issue here, right?
[1:04:31.000 --> 1:04:34.000]  And are you referencing Monica Lewinsky?
[1:04:34.000 --> 1:04:36.000]  I am intact.
[1:04:36.000 --> 1:04:37.000]  Yes.
[1:04:37.000 --> 1:04:38.000]  There's other women.
[1:04:38.000 --> 1:04:41.000]  Man, I just saw your t-shirt. I don't think we're going to chat.
[1:04:41.000 --> 1:04:43.000]  All right, stay with us.
[1:04:43.000 --> 1:04:47.000]  We'll be back when Aquaman summons three giant whales
[1:04:47.000 --> 1:04:52.000]  and the Intrepid Info Wars crew battles of vicious psychotic chicken.
[1:04:52.000 --> 1:04:53.000]  This is not fake news.
[1:04:53.000 --> 1:04:58.000]  Well, the Aquaman part is a joke.
[1:04:58.000 --> 1:05:02.000]  After years of research working with top developers here in the United States
[1:05:02.000 --> 1:05:04.000]  with the latest cutting edge science,
[1:05:04.000 --> 1:05:09.000]  we are rolling out three new digestive gut aids.
[1:05:09.000 --> 1:05:13.000]  One of them is a powerful pro digestive enzyme carnivore
[1:05:13.000 --> 1:05:17.000]  for being able to break down meat and other proteins better.
[1:05:17.000 --> 1:05:22.000]  And then the other two is a powerful 50 billion live probiotic culture
[1:05:22.000 --> 1:05:27.000]  of the very best strains in fluorolive advanced restoration.
[1:05:27.000 --> 1:05:32.000]  And we also have an everyday extremely affordable fluorolive everyday maintenance.
[1:05:32.000 --> 1:05:38.000]  But all of these are the very cutting edge top of the line probiotics
[1:05:38.000 --> 1:05:42.000]  and digestive enzymes at an extremely affordable price.
[1:05:42.000 --> 1:05:48.000]  That is my goal here is to bring you the very best at the lowest price.
[1:05:48.000 --> 1:05:53.000]  When you purchase it and then for store.com, you know, you are also financing
[1:05:53.000 --> 1:06:22.000]  the attack on the globalist and the defense of our republic and freedom worldwide.
[1:06:23.000 --> 1:06:41.000]  Well, I'm here with Owen Shroyer on your host Alex Jones.
[1:06:41.000 --> 1:06:44.000]  Owen is working seven days a week and has never been happier.
[1:06:44.000 --> 1:06:47.000]  I was up at midnight last night.
[1:06:47.000 --> 1:06:49.000]  Harrison Smith came over to my house.
[1:06:49.000 --> 1:06:52.000]  I just had a dinner party and people were leaving like, you know,
[1:06:52.000 --> 1:06:56.000]  10, 30, 11 at night and we're shooting 40 minute videos because Google
[1:06:56.000 --> 1:06:59.000]  officially has merged with Soros and have the news articles right here
[1:06:59.000 --> 1:07:01.000]  and is censoring info wars.
[1:07:01.000 --> 1:07:05.000]  But like mainline churches and Christian groups, they have fact checking saying,
[1:07:05.000 --> 1:07:07.000]  well, Jesus didn't exist.
[1:07:07.000 --> 1:07:13.000]  And our impartial fact checking group is the atheist association.
[1:07:13.000 --> 1:07:17.000]  They have just built an army of every bureaucracy.
[1:07:17.000 --> 1:07:19.000]  The atheists are over the Christians.
[1:07:19.000 --> 1:07:22.000]  The atheists are over the people warning about Muslims. They love them.
[1:07:22.000 --> 1:07:27.000]  The power grabbing environmental groups are all now policing people that say
[1:07:27.000 --> 1:07:30.000]  man made global warming isn't real or that coal is good.
[1:07:30.000 --> 1:07:36.000]  And they've just put snopes and Soros funding hundreds of groups and political fact.
[1:07:36.000 --> 1:07:38.000]  Who said that, you know, that Trump was caught with the Russians.
[1:07:38.000 --> 1:07:40.000]  All 14 agencies said so.
[1:07:40.000 --> 1:07:41.000]  That wasn't true.
[1:07:41.000 --> 1:07:43.000]  They said that Hillary had a 97% chance of winning.
[1:07:43.000 --> 1:07:44.000]  That wasn't true.
[1:07:44.000 --> 1:07:45.000]  They said WikiLeaks wasn't real.
[1:07:45.000 --> 1:07:46.000]  That wasn't true.
[1:07:46.000 --> 1:07:51.000]  They just lie, lie, lie. And now suddenly, have you seen this on Google?
[1:07:51.000 --> 1:07:54.000]  Where snopes is the only one that doesn't get fact checked.
[1:07:54.000 --> 1:07:57.000]  And the other fact checkers, if you get into the fact checkers,
[1:07:57.000 --> 1:08:02.000]  you're above the New York Times, the Washington Post, the Drudge Report, everyone.
[1:08:02.000 --> 1:08:07.000]  You know, the Japanese media, the Mexican media, there's just like snopes.
[1:08:07.000 --> 1:08:13.000]  It's like, oh, like in Monty Python, like God, like, oh, the kind of steps on your brunt.
[1:08:13.000 --> 1:08:18.000]  I mean, they are a guy and his cat and his wife, who I guess it came out in the news,
[1:08:18.000 --> 1:08:22.000]  spent money on some interesting extracurricular activities, tax-free.
[1:08:22.000 --> 1:08:24.000]  They now are literally the Oracle of all truth.
[1:08:24.000 --> 1:08:25.000]  Did you know that?
[1:08:25.000 --> 1:08:34.000]  Well, I think this is the sign that the establishment is only looking to reach the mentally deranged,
[1:08:34.000 --> 1:08:35.000]  mentally defective people.
[1:08:35.000 --> 1:08:36.000]  I agree.
[1:08:36.000 --> 1:08:38.000]  They are losing snopes on us.
[1:08:38.000 --> 1:08:39.000]  Dun, dun, dun.
[1:08:39.000 --> 1:08:43.000]  Imagine Google, Snopes and Soros had a baby.
[1:08:43.000 --> 1:08:47.000]  The average individual is going to look at snopes and critically analyze it and say,
[1:08:47.000 --> 1:08:53.000]  mm, okay, I'm not really going to rely on anything from the organization.
[1:08:53.000 --> 1:08:54.000]  But that's what I'm saying.
[1:08:54.000 --> 1:08:55.000]  They're not targeting that person.
[1:08:55.000 --> 1:08:56.000]  Well, they don't care.
[1:08:56.000 --> 1:08:58.000]  They're going to label, label, label till we're banned.
[1:08:58.000 --> 1:08:59.000]  That's the mission.
[1:08:59.000 --> 1:09:03.000]  Well, I think that you were keying on something when you were talking to the crew,
[1:09:03.000 --> 1:09:08.000]  it's that they want us to even not speak about these things even in a comedic sense.
[1:09:08.000 --> 1:09:11.000]  They don't want you to even reference these topics.
[1:09:11.000 --> 1:09:13.000]  They don't want you to reference anything.
[1:09:13.000 --> 1:09:15.000]  But snopes did have prostitutes with their honeymoon.
[1:09:15.000 --> 1:09:16.000]  At least they're partying.
[1:09:16.000 --> 1:09:20.000]  It'll reach a point, Alex, where you'll say, well, look at Hillary Clinton and you'll
[1:09:20.000 --> 1:09:24.000]  make some joke about Hillary Clinton falling over and we'll make a funny meme or graphic.
[1:09:24.000 --> 1:09:27.000]  And they'll say, insensitive, you're being rude to old people.
[1:09:27.000 --> 1:09:30.000]  Meanwhile, the left's like, we're going to murder you and your family.
[1:09:30.000 --> 1:09:32.000]  And you're like, oh, promote this.
[1:09:32.000 --> 1:09:33.000]  It's so liberal.
[1:09:33.000 --> 1:09:34.000]  Here's a decapitated Trump head.
[1:09:34.000 --> 1:09:35.000]  It's liberal, though.
[1:09:35.000 --> 1:09:37.000]  It's loving because Trump is the devil.
[1:09:37.000 --> 1:09:40.000]  Hillary, Hillary God, angel, Trump devil.
[1:09:40.000 --> 1:09:42.000]  And that's the reality.
[1:09:42.000 --> 1:09:46.000]  Meanwhile, I'm like, hey, we got a tranny coming on later who's a libertarian.
[1:09:46.000 --> 1:09:47.000]  They're like, banned.
[1:09:47.000 --> 1:09:48.000]  You can't use that word.
[1:09:48.000 --> 1:09:50.000]  I go, since when is it a bad word?
[1:09:50.000 --> 1:09:51.000]  Trannies came up with it.
[1:09:51.000 --> 1:09:53.000]  They go, Facebook decided last month.
[1:09:53.000 --> 1:09:57.000]  And that's in the news where they're sending police now to radio stations and say it.
[1:09:57.000 --> 1:09:58.000]  It's not even illegal.
[1:09:58.000 --> 1:10:00.000]  It's not even an insult word.
[1:10:00.000 --> 1:10:01.000]  There's the article.
[1:10:01.000 --> 1:10:04.000]  College calls police on students who said tranny on radio.
[1:10:04.000 --> 1:10:06.000]  I mean, what planet am I living on?
[1:10:06.000 --> 1:10:09.000]  That's actually shocking to me because that's their word.
[1:10:09.000 --> 1:10:11.000]  And I'm not even against them.
[1:10:11.000 --> 1:10:15.000]  But I am against people telling me I can't use a word.
[1:10:15.000 --> 1:10:16.000]  It's like, they're like God.
[1:10:16.000 --> 1:10:19.000]  It's like, I will decide what word you use.
[1:10:19.000 --> 1:10:22.000]  Meanwhile, like you said, their constituents can't talk.
[1:10:22.000 --> 1:10:24.000]  Did you see Millie's videos and your videos?
[1:10:24.000 --> 1:10:25.000]  You were there.
[1:10:25.000 --> 1:10:26.000]  What was it like?
[1:10:26.000 --> 1:10:28.000]  It's honest.
[1:10:28.000 --> 1:10:30.000]  It's a part of it's sad.
[1:10:30.000 --> 1:10:32.000]  Tell people what happened this weekend.
[1:10:32.000 --> 1:10:34.000]  Because you know that these people have really been brainwashed.
[1:10:34.000 --> 1:10:38.000]  They've been physically poisoned with chemicals in the food and water.
[1:10:38.000 --> 1:10:40.000]  And you saw Millie's video.
[1:10:40.000 --> 1:10:45.000]  We'll play the highlight from this weekend here yesterday in Austin, Texas.
[1:10:45.000 --> 1:10:48.000]  So we saw a man show up at the November 4th protest.
[1:10:48.000 --> 1:10:49.000]  There he is.
[1:10:49.000 --> 1:10:50.000]  There's the unicorn.
[1:10:50.000 --> 1:10:53.000]  He became famous for showing up at the November 4th protest.
[1:10:53.000 --> 1:10:56.000]  Well, now he brings out his friend in a chicken suit.
[1:10:56.000 --> 1:10:59.000]  What the hell is that, Alex?
[1:10:59.000 --> 1:11:03.000]  Who goes around in public wearing a chicken suit and a unicorn suit?
[1:11:03.000 --> 1:11:04.000]  A grown man.
[1:11:04.000 --> 1:11:06.000]  Well, it shows they're all part of like make believe.
[1:11:06.000 --> 1:11:07.000]  It's like they're three years old.
[1:11:07.000 --> 1:11:11.000]  By the way, why can't the advocate and all these other publications say tranny?
[1:11:11.000 --> 1:11:14.000]  But I've been told by Facebook and meetings we recorded a week and a half ago.
[1:11:14.000 --> 1:11:15.000]  We haven't released.
[1:11:15.000 --> 1:11:17.000]  You do not use it, period, period.
[1:11:17.000 --> 1:11:21.000]  And then I have court cases in Canada where professors use it in debate.
[1:11:21.000 --> 1:11:25.000]  They can't even say it in the court case saying it's such an evil word.
[1:11:25.000 --> 1:11:27.000]  So you probably, these are just people training you to go,
[1:11:27.000 --> 1:11:30.000]  this word is the most evil thing on earth, but I can use it, but you can't.
[1:11:30.000 --> 1:11:32.000]  It's a new royalty.
[1:11:32.000 --> 1:11:35.000]  So I guess you can't say homo either then or hetero.
[1:11:35.000 --> 1:11:36.000]  Is that where this is going?
[1:11:36.000 --> 1:11:37.000]  I mean, that's, that's how it started.
[1:11:37.000 --> 1:11:38.000]  Yeah.
[1:11:38.000 --> 1:11:39.000]  Anyways, I'm sorry.
[1:11:39.000 --> 1:11:41.000]  I'll get back to the man in the chicken suit.
[1:11:41.000 --> 1:11:42.000]  That's coming up after the break.
[1:11:42.000 --> 1:11:45.000]  Well, this is what it comes down to.
[1:11:45.000 --> 1:11:48.000]  I don't want to target mentally ill people.
[1:11:48.000 --> 1:11:49.000]  That's not our goal here.
[1:11:49.000 --> 1:11:55.000]  Our goal is to not find mentally ill people and to try to exploit them or anything.
[1:11:55.000 --> 1:11:58.000]  What we're illustrating now, this is not, this is everywhere we go.
[1:11:58.000 --> 1:12:03.000]  Clinton supporters, globalist supporters are literally like escapees from the lunatic asylum.
[1:12:03.000 --> 1:12:04.000]  Yeah.
[1:12:04.000 --> 1:12:05.000]  We don't create that reality.
[1:12:05.000 --> 1:12:08.000]  We're just going in and showing the world what's actually happening here.
[1:12:08.000 --> 1:12:13.000]  So I don't know what kind of person dresses up as a unicorn and brings out a battle axe
[1:12:13.000 --> 1:12:15.000]  and dresses up as a chicken.
[1:12:15.000 --> 1:12:16.000]  What if they identify as a chicken?
[1:12:16.000 --> 1:12:18.000]  Well, don't even say the word chicken now.
[1:12:18.000 --> 1:12:20.000]  Now you might be, now you might be onto something.
[1:12:20.000 --> 1:12:23.000]  Now, see now we can't be talking about the chicken man because we're being insensitive
[1:12:23.000 --> 1:12:25.000]  because he's identifying as a chicken.
[1:12:25.000 --> 1:12:26.000]  Or a unicorn.
[1:12:26.000 --> 1:12:28.000]  Or a unicorn.
[1:12:28.000 --> 1:12:29.000]  Whatever you want to be.
[1:12:29.000 --> 1:12:30.000]  Unigine.
[1:12:30.000 --> 1:12:31.000]  G-unicorn.
[1:12:31.000 --> 1:12:32.000]  Yeah, I don't know.
[1:12:32.000 --> 1:12:33.000]  So they'll make it.
[1:12:33.000 --> 1:12:36.000]  It's like you have the flu and you're hallucinating.
[1:12:36.000 --> 1:12:37.000]  It's like what?
[1:12:37.000 --> 1:12:39.000]  Alex, think about it like this though.
[1:12:39.000 --> 1:12:45.000]  These same people that we're talking about, they believe in the quote unquote science of climate change, right?
[1:12:45.000 --> 1:12:49.000]  They believe in that quote unquote science, but they don't believe in the science of genders.
[1:12:49.000 --> 1:12:51.000]  How do you, how do you create environment?
[1:12:51.000 --> 1:12:54.000]  They are firing professors that go, I'm sorry.
[1:12:54.000 --> 1:12:56.000]  They're a male and female chromosomes.
[1:12:56.000 --> 1:12:58.000]  And they're like, you hate me.
[1:12:58.000 --> 1:12:59.000]  You're evil.
[1:12:59.000 --> 1:13:00.000]  You're horrible.
[1:13:00.000 --> 1:13:01.000]  Science is real.
[1:13:01.000 --> 1:13:03.000]  And they're like, I know it's real.
[1:13:03.000 --> 1:13:04.000]  Dude, come on.
[1:13:04.000 --> 1:13:06.000]  I mean, literally it's crazy.
[1:13:06.000 --> 1:13:09.000]  How do we get hijacked?
[1:13:09.000 --> 1:13:11.000]  RuPaul, we can't use the t-word anymore.
[1:13:11.000 --> 1:13:13.000]  So I'm saying granny.
[1:13:13.000 --> 1:13:15.000]  Now you've got the most famous tranny there is.
[1:13:15.000 --> 1:13:17.000]  Can't use it because they were told to.
[1:13:17.000 --> 1:13:18.000]  Why?
[1:13:18.000 --> 1:13:19.000]  Use whatever word you want.
[1:13:19.000 --> 1:13:20.000]  Good.
[1:13:20.000 --> 1:13:21.000]  Yeah, I don't know.
[1:13:21.000 --> 1:13:22.000]  It is.
[1:13:22.000 --> 1:13:25.000]  It's like when you're on your iPhone and won't you type certain words?
[1:13:25.000 --> 1:13:30.000]  Well, they won't directly come after the second main, first amendment, excuse me, legislatively,
[1:13:30.000 --> 1:13:31.000]  because they know that that would fail.
[1:13:31.000 --> 1:13:33.000]  So what they do is they bully you.
[1:13:33.000 --> 1:13:34.000]  They bully you.
[1:13:34.000 --> 1:13:35.000]  They make you afraid of your free speech.
[1:13:35.000 --> 1:13:40.000]  They make you think about, oh, who might I offend, you know, before I say this?
[1:13:40.000 --> 1:13:42.000]  And of course you want to think before you act.
[1:13:42.000 --> 1:13:46.000]  But it's not about, oh, you know, I need to analyze everyone in this room.
[1:13:46.000 --> 1:13:47.000]  We're calling the police.
[1:13:47.000 --> 1:13:50.000]  We saw you at a Halloween party and somebody was dressed as a Native American.
[1:13:50.000 --> 1:13:53.000]  I saw you make a joke about a tranny.
[1:13:53.000 --> 1:13:54.000]  Uh-oh.
[1:13:54.000 --> 1:13:56.000]  We probably just got censored off 30 stations because of ma'am.
[1:13:56.000 --> 1:13:57.000]  No, no, no.
[1:13:57.000 --> 1:14:00.000]  The radio stations aren't mentally ill yet and they know it's not real and it's a fraud.
[1:14:00.000 --> 1:14:02.000]  That was a college radio station.
[1:14:02.000 --> 1:14:05.000]  They did it as a stunt to create the hype that is illegal.
[1:14:05.000 --> 1:14:06.000]  They're just playing a game.
[1:14:06.000 --> 1:14:11.000]  But I'm sure you, I mean, you know, they're saying don't say mother or father on elementary
[1:14:11.000 --> 1:14:12.000]  entrance exams nationwide.
[1:14:12.000 --> 1:14:14.000]  Next, that's the word you can't say.
[1:14:14.000 --> 1:14:16.000]  Mother, father, mother, father.
[1:14:16.000 --> 1:14:17.000]  They don't like Jesus Christ.
[1:14:17.000 --> 1:14:19.000]  They say never say that in a prayer.
[1:14:19.000 --> 1:14:20.000]  I love Jesus Christ.
[1:14:20.000 --> 1:14:22.000]  Jesus Christ is my Lord and Savior.
[1:14:22.000 --> 1:14:23.000]  Say I'm saying more.
[1:14:23.000 --> 1:14:25.000]  These are the new FCC banned words.
[1:14:25.000 --> 1:14:26.000]  Right.
[1:14:26.000 --> 1:14:27.000]  Mother, father.
[1:14:27.000 --> 1:14:29.000]  It's not about what's red, white, and blue.
[1:14:29.000 --> 1:14:34.000]  Ninth Circuit ruled three years ago you can't wear American flags in, in, in seven states.
[1:14:34.000 --> 1:14:36.000]  Oh, the crew could look it up right now.
[1:14:36.000 --> 1:14:39.000]  They're banning American flag apparel on college campuses, on high school campuses.
[1:14:39.000 --> 1:14:41.000]  Pocket constitutions are banned.
[1:14:41.000 --> 1:14:42.000]  Yeah.
[1:14:42.000 --> 1:14:44.000]  On Constitution Day, you can't hand out.
[1:14:44.000 --> 1:14:46.000]  And then people come in and they go, don't we have Play-Doh?
[1:14:46.000 --> 1:14:47.000]  Come play.
[1:14:47.000 --> 1:14:48.000]  We have eliminated.
[1:14:48.000 --> 1:14:51.000]  They saw the Constitution and go, we're sorry.
[1:14:51.000 --> 1:14:54.000]  This actually happens.
[1:14:54.000 --> 1:14:55.000]  This actually happens though.
[1:14:55.000 --> 1:14:56.000]  But that's what I'm saying.
[1:14:56.000 --> 1:15:00.000]  So when we go to these events, these are the people we're actually seeing in the flesh.
[1:15:00.000 --> 1:15:03.000]  You can actually see them in the flesh when we go to these events.
[1:15:03.000 --> 1:15:08.000]  Now the good news is they're fewer and far between the more the events happen.
[1:15:08.000 --> 1:15:11.000]  We've gone from 500 in Austin down to 16.
[1:15:11.000 --> 1:15:12.000]  Yeah.
[1:15:12.000 --> 1:15:14.000]  In New York it's gone from 20,000 down to a couple hundred.
[1:15:14.000 --> 1:15:17.000]  Now the media, the local paper reported the thousands came out.
[1:15:17.000 --> 1:15:18.000]  They're all there.
[1:15:18.000 --> 1:15:19.000]  All of them.
[1:15:19.000 --> 1:15:20.000]  And they all just...
[1:15:20.000 --> 1:15:22.000]  And we're the majority here that stands against Trump?
[1:15:22.000 --> 1:15:23.000]  No.
[1:15:23.000 --> 1:15:24.000]  No, you're really not...
[1:15:24.000 --> 1:15:27.000]  And then meanwhile they'd see our reporter, Billy Weaver, and run over screaming.
[1:15:27.000 --> 1:15:29.000]  Like zombies.
[1:15:29.000 --> 1:15:32.000]  All you got to do is show up, man, and you'll see.
[1:15:32.000 --> 1:15:33.000]  That's it.
[1:15:33.000 --> 1:15:34.000]  You don't even have to say anything.
[1:15:34.000 --> 1:15:35.000]  All right, stay there.
[1:15:35.000 --> 1:15:36.000]  Let's come back.
[1:15:36.000 --> 1:15:41.000]  We've got highlights of the George Soros Antifa demonstration.
[1:15:41.000 --> 1:15:45.000]  And literally a gibbering lunatic, in my opinion.
[1:15:45.000 --> 1:15:47.000]  That's what he sounds like, one.
[1:15:47.000 --> 1:15:48.000]  I mean, all the...
[1:15:48.000 --> 1:15:50.000]  I thought he had like a voice changer under his thing.
[1:15:50.000 --> 1:15:51.000]  He didn't.
[1:15:51.000 --> 1:16:16.000]  Maybe he's a time traveler, got his brain swiped by aliens when it's coming up.
[1:16:21.000 --> 1:16:47.000]  That's it.
[1:16:47.000 --> 1:17:13.000]  That's it.
[1:17:13.000 --> 1:17:39.000]  That's it.
[1:17:39.000 --> 1:18:05.000]  That's it.
[1:18:05.000 --> 1:18:31.000]  That's it.
[1:18:31.000 --> 1:18:57.000]  That's it.
[1:18:57.000 --> 1:19:23.000]  That's it.
[1:19:23.000 --> 1:19:49.000]  That's it.
[1:19:49.000 --> 1:20:15.000]  That's it.
[1:20:15.000 --> 1:20:30.000]  That's it.
[1:20:30.000 --> 1:20:31.000]  Okay, getting serious though.
[1:20:31.000 --> 1:20:38.000]  Oh, and you were a famous guy for debating going back two years.
[1:20:38.000 --> 1:20:43.000]  Carl the Cuck, you know, other famous AIDS critics, folks that, even though offered them
[1:20:43.000 --> 1:20:46.000]  $10,000 to come on the show, they wouldn't come on the show.
[1:20:46.000 --> 1:20:48.000]  You went to his house, found out where he lived.
[1:20:48.000 --> 1:20:49.000]  He was scared.
[1:20:49.000 --> 1:20:50.000]  Yep.
[1:20:50.000 --> 1:20:55.000]  And then now you've been in Austin a year and you were describing what it's like for
[1:20:55.000 --> 1:20:57.000]  you to have these new friends.
[1:20:57.000 --> 1:21:00.000]  You go out to have beers with a unicorn and an insane chicken.
[1:21:00.000 --> 1:21:01.000]  Yeah.
[1:21:01.000 --> 1:21:04.000]  I mean, you're thinking about joining Antifa and the Democrats right now.
[1:21:04.000 --> 1:21:06.000]  It was a struggle for me.
[1:21:06.000 --> 1:21:08.000]  And then I went down there yesterday.
[1:21:08.000 --> 1:21:12.000]  I was already on the fence, you know, Alex says these crazy things like Hillary's sick
[1:21:12.000 --> 1:21:15.000]  over Trump's going to win the, the, the polls are fake.
[1:21:15.000 --> 1:21:16.000]  And then he does.
[1:21:16.000 --> 1:21:18.000]  And, but I, you know, I was still on the fence.
[1:21:18.000 --> 1:21:21.000]  And so I went to the event yesterday, kind of on the fence.
[1:21:21.000 --> 1:21:25.000]  And then I saw some mentally deranged people banging pots and pans in the streets.
[1:21:25.000 --> 1:21:28.000]  I saw my unicorn friend for the second time.
[1:21:28.000 --> 1:21:31.000]  This time he added a battle rifle to his arsenal.
[1:21:31.000 --> 1:21:35.000]  He has a battle axe and a battle rifle now, probably from a different dimension.
[1:21:35.000 --> 1:21:38.000]  And then he also brought his chicken man friend.
[1:21:38.000 --> 1:21:40.000]  But seriously, I love your new listener.
[1:21:40.000 --> 1:21:42.000]  We have HD video of this. We're not joking.
[1:21:42.000 --> 1:21:44.000]  And we can, we can go to the B roll now.
[1:21:44.000 --> 1:21:49.000]  But, but this is, I mean, Alex, what do we do with these people?
[1:21:49.000 --> 1:21:50.000]  I mean, that's the question.
[1:21:50.000 --> 1:21:52.000]  How do you, how do you help these people?
[1:21:52.000 --> 1:21:54.000]  Do we just kind of let them go?
[1:21:54.000 --> 1:21:55.000]  Do we just kind of, you know what I'm saying?
[1:21:55.000 --> 1:21:57.000]  And look, the printout is the Soros group.
[1:21:57.000 --> 1:22:00.000]  The same font from the November fourth deal.
[1:22:00.000 --> 1:22:01.000]  Yeah.
[1:22:01.000 --> 1:22:02.000]  This is all Soros.
[1:22:02.000 --> 1:22:03.000]  He admits it.
[1:22:03.000 --> 1:22:05.000]  I mean, it's like all Soros.
[1:22:05.000 --> 1:22:09.000]  Like this is what his 18 billion buys is people in chicken suits.
[1:22:09.000 --> 1:22:12.000]  Well, you reported on Friday, Alex Soros met with Nancy Pelosi,
[1:22:12.000 --> 1:22:16.000]  other members of the Democrat party in California.
[1:22:16.000 --> 1:22:20.000]  I think Soros, maybe on his last legs of life.
[1:22:20.000 --> 1:22:23.000]  I mean, literally, like he might even be close to biting the dust.
[1:22:23.000 --> 1:22:25.000]  So they bring him out to California.
[1:22:25.000 --> 1:22:26.000]  They have this meeting.
[1:22:26.000 --> 1:22:28.000]  He puts his 18 billion dollars in.
[1:22:28.000 --> 1:22:31.000]  You can already kind of see Alex Soros taking over the old door.
[1:22:31.000 --> 1:22:34.000]  Soros social movement meeting with these politicians.
[1:22:34.000 --> 1:22:39.000]  Suddenly a son who isn't total moron.
[1:22:39.000 --> 1:22:40.000]  I think that this is really it, Alex.
[1:22:40.000 --> 1:22:42.000]  This is really their final push.
[1:22:42.000 --> 1:22:43.000]  That's what people don't realize.
[1:22:43.000 --> 1:22:48.000]  Trump is our last stand and everything against Trump is their last stand.
[1:22:48.000 --> 1:22:50.000]  It really is.
[1:22:50.000 --> 1:22:51.000]  Exactly.
[1:22:51.000 --> 1:22:54.000]  It's way beyond Trump or inforrs or Soros, but we're the figureheads
[1:22:54.000 --> 1:22:56.000]  and that's what everything's shooting at.
[1:22:56.000 --> 1:22:59.000]  I just can't believe we're in this position because they're coming after us.
[1:22:59.000 --> 1:23:01.000]  I make jokes about it, but it's crazy.
[1:23:01.000 --> 1:23:03.000]  Where else can you go that's going to report it like this?
[1:23:03.000 --> 1:23:04.000]  You can't go.
[1:23:04.000 --> 1:23:07.000]  No one else is telling you that we're literally in the battle for the future right now.
