[00:00.000 --> 00:15.000]  Another world, another time, in the age of wonder.
[2:00:34.120 --> 2:00:37.320]  i'm either going to shoot this live on air tomorrow or i'm going to take time and do it
[2:00:37.320 --> 2:00:42.440]  like a powerpoint presentation up here tonight tell them and see my children some this afternoon
[2:00:42.440 --> 2:00:48.120]  come back tonight because they're talking about arresting people that don't vaccinate now and
[2:00:48.120 --> 2:00:53.160]  they're lying saying there is no bad reactions that's i mean this is really dangerous and it's
[2:00:53.160 --> 2:00:57.320]  about secret experimentation on the population so i have all these folders all these documents all
[2:00:57.320 --> 2:01:03.800]  these admissions big article up on info wars dot com never trump or rick wilson says put any
[2:01:03.800 --> 2:01:09.320]  vaxxers in concentration camps for reeducation take their children and their property so they're
[2:01:09.320 --> 2:01:13.960]  coming to put something in your body that has liability protection its own inserts they can kill
[2:01:13.960 --> 2:01:20.120]  you and they're now not letting inserts be online they don't want you to read an insert
[2:01:20.680 --> 2:01:24.280]  used to that give them to you we went down to uh wall greens today to get fresh ones
[2:01:25.080 --> 2:01:28.440]  they tried to not give them to us because they know
[2:01:28.440 --> 2:01:34.600]  no because i've got a bunch of them that i already highlighted years ago but i thought i'd get the
[2:01:34.600 --> 2:01:38.920]  new ones from different makers and highlight these for you too you got to get a magnifying
[2:01:38.920 --> 2:01:43.480]  glass out on them though because they've made the print even smaller you can have 2015 vision you
[2:01:43.480 --> 2:01:49.320]  still can't read it uh so look for that this is a real public service announcement that you wonder
[2:01:49.320 --> 2:01:52.520]  why the IQ is going down you wonder why the life expectancy is plummeting straight down
[2:01:53.240 --> 2:01:56.760]  they're they're they're doing it it's a chemical lobotomy i would destroy your finishing up my
[2:01:56.760 --> 2:02:00.840]  friend you're there in dc you're going to hershey pennsylvania for the big trump rally tomorrow night
[2:02:01.720 --> 2:02:08.040]  um i i mean i got to tell you reading bar statement and others here uh this is uh no
[2:02:08.040 --> 2:02:12.040]  action this is the deep state protecting itself and that's why they're so arrogant why they're
[2:02:12.040 --> 2:02:17.800]  all still trying to remove the president right now this is very dangerous here's what the president
[2:02:17.800 --> 2:02:26.840]  needs to realize alex if he wants to be successful in his mission he can't rely on on bar or Durham
[2:02:26.840 --> 2:02:33.800]  or Horowitz or quite frankly anybody from dc anybody from the political class the only people
[2:02:33.800 --> 2:02:40.600]  that trump can rely on is his voters the only people that trump can rely on is his base and the
[2:02:40.600 --> 2:02:46.440]  american citizens and you know i don't know trump personally i've never talked to trump so it's hard
[2:02:46.440 --> 2:02:51.480]  for me to get a gauge as far as his character and his psyche is concerned um but i wonder if he's
[2:02:51.480 --> 2:03:02.520]  realized that yet and i wonder i want to make some really great points but um start over your
[2:03:02.520 --> 2:03:08.520]  skype was best you said you wonder well i just wonder if the president or or when the president
[2:03:08.520 --> 2:03:12.760]  is going to cross the threshold and realize he can't rely on anybody from the swamp it doesn't
[2:03:12.760 --> 2:03:20.120]  matter what they think that's going to be uh uh in early november in about 329 days when he loses
[2:03:20.120 --> 2:03:27.640]  the election well and that's a whole separate issue that with the democrat election fraud
[2:03:27.640 --> 2:03:31.880]  that's going on right now that yeah i guess if he doesn't want to address that and he's his own
[2:03:31.880 --> 2:03:37.880]  worst enemy but you know maybe we'll get a gauge out alex and i don't i don't want to take too much
[2:03:37.880 --> 2:03:43.880]  stake into what trump says at his rallies because he says a lot but maybe tomorrow at the rally we
[2:03:43.880 --> 2:03:49.880]  can get a gauge on where president trump is at as far as dealing with this because let me tell you
[2:03:49.880 --> 2:03:59.960]  alex while trumps voting base is obviously loyal while his base is obviously loyal skype problems
[2:03:59.960 --> 2:04:05.000]  again elwin's really making some great points right now while his base is loyal they're not
[2:04:05.000 --> 2:04:09.720]  going to put up with lack of action like this and it's just it's just frightening to see the power
[2:04:09.720 --> 2:04:13.400]  of the swamp but it wasn't going to be easy you're saying his his base is loyal elwin but
[2:04:15.960 --> 2:04:20.040]  but i think that even his base is going to reach a point where they're so fed up and
[2:04:22.360 --> 2:04:26.440]  attack and the base getting attacked and attack attack the censorship and everything where
[2:04:27.080 --> 2:04:32.440]  they're either i don't know if they'll turn their back on trump per se but that energy to get out
[2:04:32.440 --> 2:04:38.200]  vote for trump might not be there again and so that's the big measurement right there now
[2:04:38.200 --> 2:04:43.320]  again does it matter if they're committing blatant election rigging with electron voting
[2:04:43.320 --> 2:04:48.680]  machines and illegal voting and then you know no voter ID yeah action has to be taken on we'll
[2:04:48.680 --> 2:04:52.920]  check in with you more you'll be covering that live event tomorrow evening from the armored vehicle
[2:04:53.560 --> 2:05:01.320]  stay with us the 12 days of christmas super sale has come to info wars with free shipping
[2:05:01.320 --> 2:05:06.760]  store-wide and double patriot points finish your christmas shopping with one click and
[2:05:06.760 --> 2:05:13.320]  support the info war for the 12 days of christmas we're adding a new special every day plus free
[2:05:13.320 --> 2:05:18.600]  shipping double patriot points and extra stickers in every package to be good little elves and
[2:05:18.600 --> 2:05:25.320]  spread the info war triggering libtards check in every day to find the new deals secure a bottle
[2:05:25.320 --> 2:05:34.120]  of the good halogen x3 at cost at 2995 and get a free bottle of bio true selenium buy real red
[2:05:34.120 --> 2:05:39.880]  pill plus and real red pill at 65 percent off and get a free bottle of selenium as well silver
[2:05:39.880 --> 2:05:47.720]  bullet is only 995 ultimate female force and super female vitality combo are at cost at 2995
[2:05:47.720 --> 2:05:53.800]  eight pack power stack is also at cost at 2995 with free shipping and over 100 others at info
[2:05:53.800 --> 2:06:04.520]  war store dot com and support the info war rallying patriots worldwide in defense of human liberty
[2:06:04.520 --> 2:06:14.680]  it's alex jones here is how the committee will proceed for this hearing i will make an opening
[2:06:14.680 --> 2:06:19.880]  statement and then i will recognize the ranking member for an opening statement after that we
[2:06:19.880 --> 2:06:26.200]  will hear two sets of presentations we will hear 30 minute briefs opening arguments from councils
[2:06:26.200 --> 2:06:39.560]  for the majority and the minority of this jerry madler and the democrat party are committing
[2:06:39.560 --> 2:06:44.920]  treason against this country and you can kick me out but he's the one committing crimes you are
[2:06:44.920 --> 2:06:50.440]  jerry madler you're the one committing treason america's done with this america's sent to the
[2:06:50.440 --> 2:06:54.920]  treason committed by democrat party they're not from the city and they want you running
[2:06:54.920 --> 2:07:00.440]  the treason and remove our vote we voted for donald trump and they're simply removing this
[2:07:00.440 --> 2:07:04.840]  because they don't like it america's are sent to your defense channel they're sick of the
[2:07:04.840 --> 2:07:16.040]  democrat treason we don't mean to crime and it wasn't trump trump is innocent
[2:07:16.040 --> 2:07:21.640]  the committee will come to order obviously i shouldn't have to remind everyone present
[2:07:21.640 --> 2:07:29.000]  that the audience is here uh to observe but not to demonstrate not to indicate agreement or
[2:07:29.000 --> 2:07:34.760]  disagreement with any witness or with any member of the committee yeah i'm oh insurer from info wars
[2:07:34.760 --> 2:07:41.240]  dot com yeah what's your name oh insurer i think it's ironic i'm being holed out of here when the
[2:07:41.240 --> 2:07:49.880]  democrats of the ones committing crimes okay so i'm being arrested right now for disrupting
[2:07:49.880 --> 2:08:05.800]  tundish i'm a criminal for my first amendment roster see it right here folks
[2:08:20.360 --> 2:08:26.920]  i know one thing with the inspector general report coming out and stating exactly what we
[2:08:26.920 --> 2:08:33.000]  knew it would saying oh it was a legal investigation of the candidate trump in his campaign and then
[2:08:33.000 --> 2:08:37.640]  once he was president sure we lied to congress and sure people under us said it was an insurance
[2:08:37.640 --> 2:08:42.200]  policy but that's all okay a few agents didn't follow all the rules didn't dot a few eyes cross
[2:08:42.200 --> 2:08:48.600]  few t's but everybody's done a great job and then jerry nadler can move forward with his fake
[2:08:48.600 --> 2:08:53.960]  illegal impeachment cooked up by the intelligence agencies in the bowels of the capital and then
[2:08:53.960 --> 2:08:59.480]  can send that on to the senate so the senate can be blackmailed and threatened by the deep
[2:08:59.480 --> 2:09:04.600]  state to vote against trump because trump signaling weakness in all of this by not being able to get
[2:09:04.600 --> 2:09:10.600]  the justice department to prosecute clear crimes by its own agency but here's the good news we got
[2:09:10.600 --> 2:09:16.440]  trump elected this audience got trump elected we're the american people and we know the swamp's bag
[2:09:16.440 --> 2:09:21.000]  and we forced the swamp out in the open and they're not going to be easy to defeat but the process
[2:09:21.000 --> 2:09:25.320]  of exposing them and how they're against the country's very existence and how their criminals
[2:09:25.320 --> 2:09:31.240]  is happening they are being incredibly damaged right now and their attempts to remove trump
[2:09:31.240 --> 2:09:35.400]  and to censor and bully the american people and that's the good news but i'll tell you it's going
[2:09:35.400 --> 2:09:41.800]  to take money to hang in there do your christmas shopping at info war store dot com get products
[2:09:41.800 --> 2:09:51.720]  you need get books films air filtration water filtration high quality supplements
[2:09:51.720 --> 2:09:56.840]  patriot apparel and so much more the 12 days of christmas are here free shipping double patriot
[2:09:56.840 --> 2:10:01.640]  points some of these things are at 75 off at cost like the eight pack power stack do your
[2:10:01.640 --> 2:10:07.000]  shopping at infowarstore.com get great products and fund the revolution against the tyrants
[2:10:07.000 --> 2:10:12.360]  without you will not be on air with your support and your help we won't just stay on the air we'll
[2:10:12.360 --> 2:10:17.480]  continue to fight and take action like oh and shroyer just did get in the face of nadler in that
[2:10:17.480 --> 2:10:22.680]  fake committee illegal hearing we're fighting now harder than ever thank you for keeping us on the
[2:10:22.680 --> 2:10:27.880]  field and provisioning us in this fight you've got our commitment to bust our ass for our family
[2:10:27.880 --> 2:10:32.600]  and your families because we're all in this together so again redouble your efforts now
[2:10:32.600 --> 2:10:41.560]  we're gonna win you expect the swamp and the global assess pool to be where we get our redemption
[2:10:42.840 --> 2:10:49.800]  no my friends redemption comes from god and us working with god's spirit and us do the right thing
[2:10:50.600 --> 2:10:54.840]  that's why the enemy knows their whole pedophilic religions coming out that's why in the u.s and
[2:10:54.840 --> 2:10:59.480]  europe they're teaching five-year-old children to write love letters to the same sex and telling
[2:10:59.480 --> 2:11:04.440]  them hey would you like to be another sex so that they can be taken from the parents their rights
[2:11:04.440 --> 2:11:09.880]  can be taken from the parents and the child can be set on a course to have their testicles cut off
[2:11:09.880 --> 2:11:15.640]  and little girls can be set on course to take male hormones this is the blasphemy this is the
[2:11:15.640 --> 2:11:21.160]  evil this is the open sexualization of your children and it's only gonna get worse one month
[2:11:21.160 --> 2:11:25.880]  ago in austin they said children as young as five in the public schools will be taught how to have
[2:11:25.880 --> 2:11:31.320]  anal sex and will be taught that they're another sex and then once your child gets confused the
[2:11:31.320 --> 2:11:37.160]  social workers come in and the process of taking your children from you they'll still live with you
[2:11:37.160 --> 2:11:42.680]  but they will now be attacked with the chemical warfare by the cult members of quote diversity
[2:11:42.680 --> 2:11:48.920]  that are really carrying out a eugenics sterilization program so again keep them for us on the year
[2:11:48.920 --> 2:11:53.000]  we'll continue to expose these people i've been told by the globalists don't talk about the trans
[2:11:53.000 --> 2:11:58.600]  agenda don't talk about islam and don't talk about the pedophilia because that's everything
[2:11:58.600 --> 2:12:03.560]  they're into and who they are and i'm gonna talk about it a lot and i'm never selling out i'm never
[2:12:03.560 --> 2:12:08.120]  backing down but we could give out the only way we're on air and then we stay on air is you keep
[2:12:08.120 --> 2:12:12.760]  us on air by spreading the word by supporting those local am and f m affiliates and by buying
[2:12:12.760 --> 2:12:19.160]  products at infowarstore.com and finally your prayers take action now okay i want to go to your phone
[2:12:19.160 --> 2:12:27.480]  calls i've got the attorney general statement here he's like yeah it's bad what they did politically
[2:12:27.480 --> 2:12:31.320]  and it shouldn't happen everybody should be worried and the current directors worried about it
[2:12:31.320 --> 2:12:36.360]  but nobody's getting in trouble so they're just going to keep doing it and be more encouraged to
[2:12:36.360 --> 2:12:40.840]  be more aggressive and more out of control because why would a bureaucracy take power from itself
[2:12:40.840 --> 2:12:45.400]  when it's already presided over the evil you see systematically being carried out everywhere
[2:12:45.400 --> 2:12:51.480]  the only question is will people just still sit there going oh i heard online everything's handled
[2:12:52.520 --> 2:12:55.800]  and there's a hundred thousand secret indictments they're all going to guantanamo
[2:12:57.080 --> 2:13:01.560]  you know i didn't get where i am fighting the globalists because i live in la la land i don't
[2:13:01.560 --> 2:13:08.360]  buy lottery tickets i don't sign on the nigerian email scams and you know i'm not knocking folks
[2:13:08.360 --> 2:13:13.320]  that like lottery tickets if you got the money to buy them knock yourself out but i know scams
[2:13:13.320 --> 2:13:19.240]  when i see them ladies and gentlemen and this whole thing of trust the plan is a scam you could
[2:13:19.240 --> 2:13:26.680]  trust me i've been around 25 years on there my dad went and gave speeches when he was in
[2:13:26.680 --> 2:13:29.720]  high school against the communist party around the united states
[2:13:32.840 --> 2:13:37.720]  i'm an american i'm a patriot i'm from texas i've got a track record i fight hard
[2:13:37.720 --> 2:13:41.160]  and
[2:13:43.960 --> 2:13:48.440]  we're steering you straight but you don't need to be steered by anybody you already know what's
[2:13:48.440 --> 2:13:53.720]  going on and we've gotten a lot done in a beachhead that's president trump but if you think
[2:13:53.720 --> 2:13:58.360]  he's got it all handled when he's totally surrounded and you think you can just sit there
[2:13:58.360 --> 2:14:03.480]  everything's gonna be okay that's a damn lie we're gonna go to break we're gonna come back right out
[2:14:03.480 --> 2:14:08.040]  out of the break with jay and mike and michael and alex and logon and christian and jason and
[2:14:08.040 --> 2:14:15.400]  josh and so many others and we got a guest popping in towards the end of the hour i'll host a little
[2:14:15.400 --> 2:14:19.480]  bit in the next hour let's fill in tano i'm grabbing 15 minutes the first hour to continue with calls
[2:14:21.000 --> 2:14:27.640]  and i didn't get to this today because look at it look at the vaccine inserts just off three
[2:14:27.640 --> 2:14:31.240]  vaccines are giving your kids right now this says it can give them neurological disorders
[2:14:31.240 --> 2:14:36.200]  narcolepsy kill them give them cancer type one diabetes but they tell you on the news this is
[2:14:36.200 --> 2:14:40.520]  this comes with the shots this isn't the fact sheet it's fake this is in the shot by law
[2:14:42.360 --> 2:14:46.920]  and i've got all the powerpoint presentations look at the stack i've got a little bit water please
[2:14:47.560 --> 2:14:51.240]  look at this stack on vaccine news even mainline news admitting it kills people
[2:14:51.240 --> 2:14:55.720]  the powerpoint then i've got these three inserts alone look at all that
[2:14:55.720 --> 2:15:01.640]  and the fact that they're trying to shut anybody down that that speaks out against it and they want
[2:15:01.640 --> 2:15:07.080]  you arrested now and they're putting that on the nightly news these people are a house of cards
[2:15:07.080 --> 2:15:11.400]  coming down they know damn well they're adding stuff to the vaccines on purpose to lower your
[2:15:11.400 --> 2:15:17.800]  fertility and to dumb you down they admit it Gardasil's meant to cause brain damage and infertility
[2:15:17.800 --> 2:15:22.520]  it's got to be strong enough to fry a little girl's ovaries what do you think it does to the rest of
[2:15:22.520 --> 2:15:28.520]  her neurological system and her body we're going to show you all that they knew Gardasil was killing
[2:15:28.520 --> 2:15:31.800]  and maiming large numbers of people in the damn trials 15 years ago
[2:15:33.240 --> 2:15:36.760]  and then now when little girls take it and have convulsions and die they try to cover it up well
[2:15:36.760 --> 2:15:43.240]  guess what you're not going to cover it up it's a soft kill weapon on purpose and the nurses all
[2:15:43.240 --> 2:15:48.360]  know it the doctors all know it now but they get fired if they tell you well you know what we're
[2:15:48.360 --> 2:15:56.760]  going to tell you and the people pulling all this off one day are going to hang maybe not today
[2:15:56.760 --> 2:16:03.320]  maybe not tomorrow but soon you'll need a plan and place to survive forget bunkers you're not a
[2:16:03.320 --> 2:16:08.680]  live underground gopher you need survivalist camps the ultimate fully functional off-the-grid
[2:16:08.680 --> 2:16:14.200]  mobile survival bug outhouse that's well equipped and custom built to outlast any other RV or trailer
[2:16:14.200 --> 2:16:20.920]  bold statement you bit see him now at survivalist camps dot com that's survivalist camps dot com
[2:16:20.920 --> 2:16:24.120]  trust your family survival to survivalist camps dot com
[2:16:25.080 --> 2:16:30.680]  hunters anglers campers and survivalists get back to nature expand your horizons with the highest
[2:16:30.680 --> 2:16:35.880]  quality most versatile unique sling shots and sling bows on the market at sling bow dot com
[2:16:35.880 --> 2:16:41.480]  sling bow products are compact and models start from just 1798 they're perfect for your bug out bag
[2:16:41.480 --> 2:16:45.960]  or storing in your vehicle give yourself and your loved ones the excitement and tradition
[2:16:45.960 --> 2:16:51.400]  of sling bow a new frontier in archery and truly modern twist on this primitive survival tool
[2:16:51.400 --> 2:16:57.640]  feel the thrill only at sling bow dot com finally there's a way for you to get into the blockchain
[2:16:57.640 --> 2:17:03.560]  the hottest financial sector without all the speculation no enjoy a 27% annualized payment
[2:17:03.560 --> 2:17:08.360]  each month without the ups and downs of bitcoin seen on programs broadcast on fox business news
[2:17:08.360 --> 2:17:12.680]  blockchain data centers offer an equipment leasing program in the explosive digital asset
[2:17:12.680 --> 2:17:17.400]  marketplace inspired by entrepreneurs who sold picks and shovels during the gold rush the money
[2:17:17.400 --> 2:17:22.360]  is in the mining equipment used to manufacture dozens of critical digital assets not a security
[2:17:22.360 --> 2:17:27.640]  ipo or note blockchain data centers have proven turnkey equipment sale leaseback program with a
[2:17:27.640 --> 2:17:33.960]  27% annualized lease payment deposited into your bank account each month don't miss this one stake
[2:17:33.960 --> 2:17:43.000]  your claim today call 800-600-3388 that's 800-600-3388 these valuable lease contracts won't last long
[2:17:43.000 --> 2:17:50.280]  call now 800-600-3388 800-600-3388 equipment offer poses a financial risk to owners consult with
[2:17:50.280 --> 2:17:53.400]  financial professionals before purchasing not an offer to buy or sell the security which requires
[2:17:53.400 --> 2:18:01.720]  an offering document i don't have to tell you that america is in a war for its actual survival
[2:18:01.720 --> 2:18:07.000]  and we're a war against a group that's trying to conquer our very spirit our very essence that's
[2:18:07.000 --> 2:18:11.960]  trying to break our will trying to destroy our families trying to literally poison us physically
[2:18:12.520 --> 2:18:17.400]  and psychically at a spiritual level well info wars is fighting back but it takes money
[2:18:17.400 --> 2:18:21.800]  to stand against the globalist onslaught and to be able to put the reporters on the ground
[2:18:21.800 --> 2:18:26.840]  and build the infrastructure to tell the truth in the face of their lives that's why we're running
[2:18:26.840 --> 2:18:33.320]  giant cyber week specials the biggest of the year the biggest of our history don't do your
[2:18:33.320 --> 2:18:37.640]  shopping with the big globalist box stores that hate your guts and are financing gun control and
[2:18:37.640 --> 2:18:43.160]  all the rest of it don't do your shopping with the new world order amazon do it with info war
[2:18:43.160 --> 2:18:47.960]  store get high quality supplements get high quality air filtration water filtration patriot
[2:18:47.960 --> 2:18:53.080]  apparel and so much more in every order gets a whole bunch of free info wars bumper stickers
[2:18:53.080 --> 2:18:59.080]  to spread the word take action folks you want to break some globalist ribs you want to crush
[2:18:59.080 --> 2:19:04.120]  some skulls politically you want to drive ice picks through their eyeballs spiritually there's
[2:19:04.120 --> 2:19:10.680]  nowhere you can spend money there's nowhere you can place your bet in a fight where it's gonna
[2:19:10.680 --> 2:19:17.560]  have more power per dollar your bang for your buck here gets you great products at great prices
[2:19:17.560 --> 2:19:23.560]  that literally fund the system where the spirit of resistance lives to drive it home to the enemy
[2:19:23.560 --> 2:19:28.680]  and so it's very simple if you don't want to be slaves and you want to see the fight taken to
[2:19:28.680 --> 2:19:34.760]  the enemy which god wants to see you see we have to make the effort 110 god will finish the move
[2:19:34.760 --> 2:19:39.800]  and i know i need to stay in the fight in the attack attack attack i want to attack i want to
[2:19:39.800 --> 2:19:43.560]  go after the globalist and just believe me ladies and gentlemen that if you want somebody to commit
[2:19:43.560 --> 2:19:47.640]  to you and your family to fight for all of our futures together you've got to guarantee you keep me
[2:19:47.640 --> 2:19:52.520]  in the game i'm going to bust my ass with everything i got for us for myself and my family for your
[2:19:52.520 --> 2:19:55.720]  family because we're in this together info war store dot com
[2:19:55.720 --> 2:20:11.640]  you're listening to the alex jones show
[2:20:21.320 --> 2:20:25.240]  welcome back i'm alex jones your host taking your phone calls the it report came out about an
[2:20:25.240 --> 2:20:33.080]  hour ago and it is beyond a dud there's little typos and things where it doesn't say comey it
[2:20:33.080 --> 2:20:42.520]  says carney this that means like a carnival bar hero sideshow conman and bar has undermined his
[2:20:42.520 --> 2:20:47.080]  own doj ig report which we set was going to come he'll say oh that's not enough it didn't do enough
[2:20:47.960 --> 2:20:51.240]  and then that's supposedly the other side of the equation but there's no teeth behind it there's no
[2:20:51.240 --> 2:20:59.240]  power behind it so i didn't get suckered by this and i know our audience in general didn't get
[2:20:59.240 --> 2:21:03.640]  suckered by it and i'm not depressed about it globalism is being discredited nationalism is
[2:21:03.640 --> 2:21:08.360]  rising christians now know they're under attack people understand what's going on people are
[2:21:08.360 --> 2:21:12.040]  guarding their children more from the state and the corrupt system and we're withdrawing our
[2:21:12.040 --> 2:21:17.400]  support from hollywood and all these systems but tens of millions of children are still captured
[2:21:17.400 --> 2:21:23.880]  in the system and need to be saved a lot of us know what's going on that gives us limited protection
[2:21:23.880 --> 2:21:29.720]  but a lot of folks don't know so the information war is person to person at point blank range like
[2:21:29.720 --> 2:21:36.600]  it always is at the grassroots and we're grassroots we're not globalist astro turf so without further
[2:21:36.600 --> 2:21:45.160]  ado let's take some phone calls let's go ahead and go to jay in wisconsin you're on the air jay
[2:21:45.160 --> 2:21:51.720]  hi alex before i jump right into it i want to say i appreciate you more than just about anyone
[2:21:51.720 --> 2:21:57.400]  else in the world i think that you are a super patriot and i do have a couple of things that
[2:21:57.400 --> 2:22:03.000]  i'd like to say that i think would help info wars when it comes to getting the word out and funding
[2:22:03.000 --> 2:22:09.560]  the operation when it comes to donations to info wars i think that you should give a choice that
[2:22:09.560 --> 2:22:14.920]  allows for a custom amount currently they're all preset amounts i have about four suggestions here
[2:22:14.920 --> 2:22:19.800]  as part of the shopping cart i think maybe if you were to allow customers to round up their payment
[2:22:19.800 --> 2:22:25.560]  amount in order to spur potential donations that would be helpful i think you should give people
[2:22:25.560 --> 2:22:30.920]  the option to forego the free shipping in order to make further contribution to the info wars bottom
[2:22:30.920 --> 2:22:36.920]  line and the last thing i would say is when you plug i think you should also suggest people who
[2:22:36.920 --> 2:22:41.080]  may feel they don't need product that you would greatly appreciate they're just making a direct
[2:22:41.080 --> 2:22:46.680]  donation all they need to do is a google search with the words info wars donations to find the
[2:22:46.680 --> 2:22:53.800]  donation choices and in that case 100 of such contributions go to the battle well you're absolutely
[2:22:53.800 --> 2:23:01.960]  right because i've been calling for this i've been working on this and maybe maybe maybe now's the
[2:23:01.960 --> 2:23:07.240]  time to do it i don't know um you know i don't feel sorry for myself just a certain point i get
[2:23:07.240 --> 2:23:10.760]  tired telling people what to do around here you know i mean but i'm gonna try to get that done i really
[2:23:10.760 --> 2:23:14.920]  appreciate i've actually made all these recommendations and i i don't know why it hasn't happened but
[2:23:14.920 --> 2:23:19.960]  we'll work on it right now keep going all right and and again to everybody that's listening listening
[2:23:19.960 --> 2:23:26.120]  right now or listening to a podcast later on or whatever just google info wars donations and go
[2:23:26.120 --> 2:23:33.640]  and make a direct donation info wars is key to us being able to set back the globalist to get rid of
[2:23:33.640 --> 2:23:38.840]  the uh well exactly and you know my son wants to have a podcast show called i'm not bragging as
[2:23:38.840 --> 2:23:43.640]  i said i'm not bragging they have hearings all the time in intelligence committees and the house
[2:23:44.280 --> 2:23:48.840]  arms services committee saying we're the enemy of america and shut us down that's the globalist
[2:23:48.840 --> 2:23:53.320]  of hijack the government saying we're the main enemy because we know who they are and they do
[2:23:53.320 --> 2:23:57.560]  want to software folks i'm not trying to act all fancy pants here we really are the damn tip of
[2:23:57.560 --> 2:24:05.320]  the spear and boy rag tag we are let me tell you oh it's all projection too everything they do is is
[2:24:05.320 --> 2:24:12.680]  is a salvo it's a preemptive strike basically is what it comes down to these things they've done
[2:24:12.680 --> 2:24:18.760]  that are frozen trump in so many ways it's all projection and and because of the doj not being
[2:24:19.400 --> 2:24:23.640]  sufficiently under trump's control well i guess that's kind of the segue to what i really wanted
[2:24:23.640 --> 2:24:29.400]  to say all of us who are constitutionalists want to see these coup plotters charged and prosecuted
[2:24:29.400 --> 2:24:34.360]  in order to keep this kind of garbage from ever happening again effective prosecutions are the
[2:24:34.360 --> 2:24:39.480]  only possible deterrent and maybe the reason trump isn't directly acting to have these deep
[2:24:39.480 --> 2:24:44.760]  staters and coup plotters removed by legal process is because he knows the doj is still
[2:24:44.760 --> 2:24:50.280]  largely an enemy hand and he fears that prosecutions will be quietly handed off to rogue elements
[2:24:50.280 --> 2:24:56.360]  for fake prosecutions so in other words mere show trials with combi-like exonerations as the end
[2:24:56.360 --> 2:25:01.240]  result you know like when a combi exonerated hillary basically this you're right i mean the deep
[2:25:01.240 --> 2:25:08.440]  state has got a hundred benches deep they can rig trials they can let people go look at the senator
[2:25:08.440 --> 2:25:12.200]  you know in the caribbean with all the 14-year-old girls and they had him dead to rights didn't get
[2:25:12.200 --> 2:25:19.080]  in trouble for that so somehow trump needs to gain the proper control over the doj i mean he's been
[2:25:19.080 --> 2:25:25.560]  so poorly advised since the start i mean right previous stacked him with so many all day these
[2:25:25.560 --> 2:25:31.320]  lawyers will lie to your face in ways you can't even imagine i've experienced it and uh it's it's
[2:25:31.320 --> 2:25:36.840]  just this country is just at the at the professional level is just full of a bunch of scum and the
[2:25:36.840 --> 2:25:41.320]  average good hard-working person out there just doesn't want power and so they haven't been involved
[2:25:41.320 --> 2:25:46.520]  and my god you start plowing into the swamp you just the people you find and i mean i'm talking
[2:25:46.520 --> 2:25:51.800]  half of them are pedophiles i mean they have they have really promoted pedophilia recruited people
[2:25:51.800 --> 2:25:57.400]  and made it to where if very soon it should be the new national symbol is a man raping a baby
[2:25:57.400 --> 2:26:01.560]  and i'm not kidding i mean the new american flag should be like a two-year-old baby with a man with
[2:26:01.560 --> 2:26:06.760]  a bunch of men raping it and that should be our new symbol alex alex i have one last thing to say
[2:26:06.760 --> 2:26:11.880]  and that's i need to talk with you or one of your very top lieutenants about a huge funding
[2:26:11.880 --> 2:26:17.480]  source that dovetails with what you're doing in so many ways i have fought some of these same battles
[2:26:17.480 --> 2:26:22.680]  back in the early 2000s so i hear you let me put you on hold and then guys give me his name and number
[2:26:22.680 --> 2:26:27.000]  myself on a piece of paper and then i'll do that because believe me i'm up here 18 hours a day a
[2:26:27.000 --> 2:26:31.000]  lot of days now we just have to push the boulder up the hill i have to innovate i have to find out
[2:26:31.000 --> 2:26:35.080]  what's going on i have to just i'm digging into everything around here i'm involved in the satellite
[2:26:35.080 --> 2:26:40.440]  contracts i'm involved in the trash pickup i'm involved in the just everything now i mean i take
[2:26:40.440 --> 2:26:45.160]  the trash out of the refrigerators i clean the toilets man because it has to be done by somebody
[2:26:45.160 --> 2:26:50.600]  and uh god bless you i appreciate your call don't don't hang up on jay get his name and number for
[2:26:50.600 --> 2:26:56.200]  me please thank you uh let's go ahead and talk to steven illinois steve you're on the air hey alex how
[2:26:56.200 --> 2:27:02.040]  you doing i'm just you know i knew this was coming yeah i hear you hey something i haven't really
[2:27:02.040 --> 2:27:06.920]  heard a whole lot of people say and i mean i'm all for trump and what he's doing doing a great job
[2:27:06.920 --> 2:27:13.640]  for the country but could he possibly be like the guy at the fall guy like he could be in on this
[2:27:13.640 --> 2:27:20.440]  like he needs like to take you back and on what the last scholar said like we all say he needs to
[2:27:20.440 --> 2:27:25.960]  do more doesn't seem like he's really well i mean where he has the power he's made the right he's
[2:27:25.960 --> 2:27:30.840]  trying to end these wars he's trying to do peace deals he's trying to bring troops back he's he is
[2:27:30.840 --> 2:27:35.160]  going after the petafall rings he's trying to secure the border he's trying to cut the taxes
[2:27:35.160 --> 2:27:39.880]  he's trying to uh to stand up to china and one side of trade deals i mean he's done a fabulous job
[2:27:39.880 --> 2:27:44.600]  the problem is the deep states going after the american people and taking our liberty away to
[2:27:44.600 --> 2:27:48.840]  undermine him and getting ready to take him out with election fraud that's why we're so pissed at
[2:27:48.840 --> 2:27:55.000]  trump yeah no i get it but man like there's no way they should be getting away with what they get
[2:27:55.000 --> 2:27:59.800]  away with like you said he was gonna get rid all those people like this is like bar why didn't he
[2:27:59.800 --> 2:28:05.080]  get rid of him get his own guy in there well bar came to him and told him sir we'll get the swamp
