[00:00.000 --> 00:01.500]  We've got it, Tata.
[43:33.000 --> 43:35.000]  every $235 worth of food
[43:35.000 --> 43:37.000]  ordered, we give away
[43:37.000 --> 43:39.000]  $149
[43:39.000 --> 43:41.000]  Patriot Pack free.
[43:41.000 --> 43:43.000]  To order the best food on the planet, call
[43:43.000 --> 43:45.000]  800-409-5633
[43:45.000 --> 43:47.000]  or go to
[43:47.000 --> 43:49.000]  efoodsdirect.com
[43:49.000 --> 43:51.000]  slash Alex.
[43:51.000 --> 43:53.000]  A free 12-day supply Patriot Pack
[43:53.000 --> 43:55.000]  with every $235 worth of food
[43:55.000 --> 43:57.000]  ordered. Call
[43:57.000 --> 43:59.000]  our efoodsdirect.com
[43:59.000 --> 44:27.000]  or go to
[44:27.000 --> 44:29.000]  mysolarbackup.com.
[44:29.000 --> 44:31.000]  Remember,
[44:31.000 --> 44:33.000]  the government doesn't own the sun,
[44:33.000 --> 44:35.000]  so go to
[44:35.000 --> 44:37.000]  mysolarbackup.com
[44:37.000 --> 44:39.000]  or call
[44:39.000 --> 44:41.000]  1-877-733
[44:41.000 --> 44:43.000]  or call
[44:43.000 --> 44:45.000]  1-877-733
[44:45.000 --> 44:47.000]  or go to
[44:47.000 --> 44:49.000]  mysolarbackup.com
[44:49.000 --> 44:51.000]  or call
[44:51.000 --> 44:53.000]  1-877-733
[44:53.000 --> 44:55.000]  or go to
[44:55.000 --> 44:57.000]  mysolarbackup.com
[44:57.000 --> 44:59.000]  or call
[44:59.000 --> 45:01.000]  1-877-327-0365
[45:01.000 --> 45:03.000]  Hi folks, this is Alex Jones.
[45:03.000 --> 45:05.000]  I'm looking for people that have the wisdom to
[45:05.000 --> 45:07.000]  spot savings, opportunity
[45:07.000 --> 45:09.000]  and recognized risk. Saving means
[45:09.000 --> 45:11.000]  to make money. The Calben Pure Soap Company
[45:11.000 --> 45:13.000]  can save you thousands of dollars
[45:13.000 --> 45:15.000]  and give you good old fashioned real soaps
[45:15.000 --> 45:17.000]  that are triple concentrated
[45:17.000 --> 45:19.000]  and twice as good as what you're using now.
[45:19.000 --> 45:21.000]  Soaps made from vegetable
[45:21.000 --> 45:23.000]  and coconut oils that contain
[45:23.000 --> 45:25.000]  nuts, dyes, perfumes, deodorants
[45:25.000 --> 45:27.000]  or antibacterials. Your risk
[45:27.000 --> 45:29.000]  is the hundreds of hazardous toxic detergents
[45:29.000 --> 45:31.000]  that give you rashes, itching
[45:31.000 --> 45:33.000]  sores, and deteriorating clothing
[45:33.000 --> 45:35.000]  called lint. If you want something
[45:35.000 --> 45:37.000]  better, if you want something you've never had
[45:37.000 --> 45:39.000]  before, you have to do something you've never done
[45:39.000 --> 45:41.000]  before. Getting a free catalog is easy
[45:41.000 --> 45:43.000]  by calling 800-340-7091
[45:43.000 --> 45:45.000]  or see Calben on the web
[45:45.000 --> 45:47.000]  at 5starsoap.com
[45:47.000 --> 45:49.000]  Take charge of your health now
[45:49.000 --> 45:51.000]  by calling 800-340-7091
[45:51.000 --> 45:53.000]  or see Calben on the web
[45:53.000 --> 46:22.000]  at 5starsoap.com
[46:23.000 --> 46:25.000]  This documentary exposes
[46:25.000 --> 46:27.000]  how the continuity of government program
[46:27.000 --> 46:29.000]  has established an old powerful shadow state.
[46:29.000 --> 46:31.000]  Police State 4 chronicles
[46:31.000 --> 46:33.000]  the sickening depths to which our Republic has fallen.
[46:33.000 --> 46:35.000]  Prepare to enter
[46:35.000 --> 46:37.000]  the secretive world of emergency
[46:37.000 --> 46:39.000]  dictatorship. Body scanners,
[46:39.000 --> 46:41.000]  sound cameras, citizen spies
[46:41.000 --> 46:43.000]  staged terror and cameras on every
[46:43.000 --> 46:45.000]  street corner. It's only the beginning
[46:45.000 --> 46:47.000]  of the New World Order's hellish plan.
[46:47.000 --> 46:49.000]  The police state isn't coming.
[46:49.000 --> 46:51.000]  It's here. Secure
[46:51.000 --> 46:53.000]  your copy today at infowars.com
[46:53.000 --> 46:55.000]  or see it online
[46:55.000 --> 46:57.000]  in the highest quality at prismplanet.tv
[47:01.000 --> 47:03.000]  Coast to coast, direct
[47:03.000 --> 47:05.000]  from Austin. You're
[47:05.000 --> 47:07.000]  listening to the Alex Jones Broadcasting
[47:07.000 --> 47:09.000]  Network.
[47:13.000 --> 47:15.000]  Big brother, mainstream
[47:15.000 --> 47:17.000]  media, government
[47:17.000 --> 47:19.000]  coverups. You want answers?
[47:19.000 --> 47:21.000]  Well, so does he.
[47:21.000 --> 47:23.000]  It's Alex Jones
[47:23.000 --> 47:25.000]  on the GCN radio network.
[47:29.000 --> 47:31.000]  Talk to him.
[47:31.000 --> 47:33.000]  Talk to him every day.
[47:33.000 --> 47:35.000]  Alright, we're back live.
[47:35.000 --> 47:37.000]  Dr. Webster Tarpley coming up.
[47:37.000 --> 47:39.000]  He's saying false flag clearly
[47:39.000 --> 47:41.000]  written to detailed treatise
[47:41.000 --> 47:43.000]  up at infowars.com. Doctor of history
[47:43.000 --> 47:45.000]  and of course economics.
[47:45.000 --> 47:47.000]  We're going to be talking
[47:47.000 --> 47:49.000]  about Dr. Tarpley coming up.
[47:49.000 --> 47:51.000]  And we'll open the phones up later in the next hour.
[47:51.000 --> 47:53.000]  But I want to remind you
[47:53.000 --> 47:55.000]  this has the drill
[47:55.000 --> 47:57.000]  two days before, day and a half
[47:57.000 --> 47:59.000]  before. It has the multiple
[47:59.000 --> 48:01.000]  shooters now confirmed.
[48:01.000 --> 48:03.000]  We were left dead on Friday
[48:03.000 --> 48:05.000]  talking about that with our witness
[48:05.000 --> 48:07.000]  accounts.
[48:07.000 --> 48:09.000]  You've got him with these professional
[48:09.000 --> 48:11.000]  publicity photos, clearly
[48:11.000 --> 48:13.000]  professionally taken by a very professional
[48:13.000 --> 48:15.000]  photographer. You've got this
[48:15.000 --> 48:17.000]  300 page treatise.
[48:17.000 --> 48:19.000]  You've got this professionally made video.
[48:19.000 --> 48:21.000]  And what this is meant to do
[48:21.000 --> 48:23.000]  is invoke a clash of civilizations.
[48:23.000 --> 48:25.000]  Christians
[48:25.000 --> 48:27.000]  against Muslims, while the globalist
[48:27.000 --> 48:29.000]  who are
[48:29.000 --> 48:31.000]  atheistic humanist
[48:31.000 --> 48:33.000]  manipulate us. And that's what Albert Pike wrote about
[48:33.000 --> 48:35.000]  in
[48:35.000 --> 48:37.000]  1877.
[48:37.000 --> 48:39.000]  And exactly what we've been predicting.
[48:39.000 --> 48:41.000]  So at the end of the day
[48:41.000 --> 48:43.000]  this plays the groups off against each other.
[48:43.000 --> 48:45.000]  But at the same time then the government
[48:45.000 --> 48:47.000]  can play the part of the referee, the arbiter
[48:47.000 --> 48:49.000]  and go after both groups
[48:49.000 --> 48:51.000]  and say both groups are bad. So they play
[48:51.000 --> 48:53.000]  the Christians and Muslims off against each other.
[48:53.000 --> 48:55.000]  That's the great divide and conquer
[48:55.000 --> 48:57.000]  clash of civilizations,
[48:57.000 --> 48:59.000]  PNAC, Dick Cheney plan,
[48:59.000 --> 49:01.000]  Israeli plan. By the way, and we're going to
[49:01.000 --> 49:03.000]  our guest. This was the
[49:03.000 --> 49:05.000]  anniversary of the King David
[49:05.000 --> 49:07.000]  Hotel bombing. It was an attack carried out.
[49:07.000 --> 49:09.000]  This is from the encyclopedia
[49:09.000 --> 49:11.000]  by the militant right wing Zionist underground
[49:11.000 --> 49:13.000]  organization Ergun.
[49:13.000 --> 49:15.000]  The head of Ergun is
[49:15.000 --> 49:17.000]  the dad of the former White House
[49:17.000 --> 49:19.000]  Chief of Staff, Obama Emmanuel, not Chicago
[49:19.000 --> 49:21.000]  Mayor. On the King David Hotel in
[49:21.000 --> 49:23.000]  Jerusalem, July 22nd
[49:23.000 --> 49:25.000]  1946, 91 people
[49:25.000 --> 49:27.000]  of various nationalities were killed and 46
[49:27.000 --> 49:29.000]  injured. And they carried out
[49:29.000 --> 49:31.000]  the King David Hotel and tried to blame it on Arabs
[49:31.000 --> 49:33.000]  at first. It's an admitted false flag. You might want
[49:33.000 --> 49:35.000]  to run into it and just check
[49:35.000 --> 49:37.000]  it out. Okay, I'll shut up now. Let's go to
[49:37.000 --> 49:39.000]  Robert Jepestul,
[49:39.000 --> 49:41.000]  a survivor of the bombing.
[49:41.000 --> 49:43.000]  You've got the floor, sir. Briefly tell
[49:43.000 --> 49:45.000]  recap what happened to you and then get
[49:45.000 --> 49:47.000]  into the different anomalies
[49:47.000 --> 49:49.000]  and things that have come up. You told us
[49:49.000 --> 49:51.000]  on Friday that there had been a drill
[49:51.000 --> 49:53.000]  days before and that now has been confirmed.
[49:53.000 --> 49:55.000]  So tell us more of what's going on.
[49:55.000 --> 49:57.000]  Yeah, well
[49:57.000 --> 49:59.000]  first, what happened
[49:59.000 --> 50:01.000]  was that I
[50:01.000 --> 50:03.000]  felt the blast.
[50:03.000 --> 50:05.000]  I went
[50:05.000 --> 50:07.000]  towards my office. The bomb exploded.
[50:07.000 --> 50:09.000]  I was going a bit back with windows
[50:09.000 --> 50:11.000]  crushing all around and
[50:11.000 --> 50:13.000]  you know, you could see
[50:13.000 --> 50:15.000]  the mushroom cloud
[50:15.000 --> 50:17.000]  going up in front of the
[50:17.000 --> 50:19.000]  government building.
[50:19.000 --> 50:21.000]  So
[50:21.000 --> 50:23.000]  you know
[50:23.000 --> 50:25.000]  you certainly get
[50:25.000 --> 50:27.000]  shocked at first
[50:27.000 --> 50:29.000]  but I
[50:29.000 --> 50:31.000]  remember one of my first thoughts
[50:31.000 --> 50:33.000]  after the bomb was this is how
[50:33.000 --> 50:35.000]  our future freedoms
[50:35.000 --> 50:37.000]  were lost.
[50:37.000 --> 50:39.000]  I knew what it was because I've been listening
[50:39.000 --> 50:41.000]  to you and the clip you just played
[50:41.000 --> 50:43.000]  I heard it live
[50:43.000 --> 50:45.000]  and I was
[50:45.000 --> 50:47.000]  not surprised.
[50:47.000 --> 50:49.000]  So you're saying you were listening to me on
[50:49.000 --> 50:51.000]  Thursday when I said they're
[50:51.000 --> 50:53.000]  going to attack soft targets and blaming
[50:53.000 --> 50:55.000]  on right wing whites.
[50:55.000 --> 50:57.000]  You've
[50:57.000 --> 50:59.000]  been talking about white al-Qaeda
[50:59.000 --> 51:01.000]  for a long time and I've also
[51:01.000 --> 51:03.000]  seen it coming.
[51:03.000 --> 51:05.000]  I just had a castle civilization.
[51:05.000 --> 51:07.000]  What about him wearing
[51:07.000 --> 51:09.000]  all this Knights Templar regalia
[51:09.000 --> 51:11.000]  and it turns out he's not even a Christian
[51:11.000 --> 51:13.000]  and then he's got all these
[51:13.000 --> 51:15.000]  handlers and people and other shooters.
[51:15.000 --> 51:17.000]  What are folks saying in Norway?
[51:17.000 --> 51:19.000]  You said a lot of your friends you talked to at work
[51:19.000 --> 51:21.000]  they weren't buying it. Are they buying it now?
[51:21.000 --> 51:23.000]  I guess
[51:23.000 --> 51:25.000]  there's just
[51:25.000 --> 51:27.000]  crushing information
[51:27.000 --> 51:29.000]  that they come with
[51:29.000 --> 51:31.000]  so many
[51:31.000 --> 51:33.000]  different experts
[51:33.000 --> 51:35.000]  and analysis.
[51:35.000 --> 51:37.000]  So I just
[51:37.000 --> 51:39.000]  get confused.
[51:39.000 --> 51:41.000]  I totally see that because
[51:41.000 --> 51:43.000]  nobody knows what to believe.
[51:43.000 --> 51:45.000]  What about the police not responding
[51:45.000 --> 51:47.000]  to the shooting
[51:47.000 --> 51:49.000]  for 90 minutes?
[51:49.000 --> 51:51.000]  Now
[51:51.000 --> 51:53.000]  they have on several TV shows
[51:53.000 --> 51:55.000]  tonight. They have gone back
[51:55.000 --> 51:57.000]  and we
[51:57.000 --> 51:59.000]  read the phone log again
[51:59.000 --> 52:01.000]  and we used one hour
[52:01.000 --> 52:03.000]  and one minute
[52:03.000 --> 52:05.000]  but I remember clearly
[52:05.000 --> 52:07.000]  they were reporting shootings on TV
[52:07.000 --> 52:09.000]  90 minutes
[52:09.000 --> 52:11.000]  before.
[52:11.000 --> 52:13.000]  Who do you think, just in your gut from looking at this
[52:13.000 --> 52:15.000]  who stands to gain?
[52:15.000 --> 52:17.000]  Norway announced that they were going to pull out of Libya
[52:17.000 --> 52:19.000]  endorse the Palestinian state
[52:19.000 --> 52:21.000]  two days before
[52:21.000 --> 52:23.000]  this island that got attacked
[52:23.000 --> 52:25.000]  did have a group of
[52:25.000 --> 52:27.000]  Palestinians at it in a meeting
[52:27.000 --> 52:29.000]  the day before.
[52:29.000 --> 52:31.000]  How did this guy know where the prime minister was going to be?
[52:31.000 --> 52:33.000]  He was reportedly going to the island.
[52:33.000 --> 52:35.000]  Your take on that?
[52:35.000 --> 52:37.000]  Yeah, well
[52:37.000 --> 52:39.000]  you know
[52:39.000 --> 52:41.000]  what hasn't been reported
[52:41.000 --> 52:43.000]  I've read your articles
[52:43.000 --> 52:45.000]  Webster Tarpuz article
[52:45.000 --> 52:47.000]  very good. Two hours
[52:47.000 --> 52:49.000]  before the happening
[52:49.000 --> 52:51.000]  on the island
[52:51.000 --> 52:53.000]  is our former prime minister
[52:53.000 --> 52:55.000]  Puhallam Brindam
[52:55.000 --> 52:57.000]  she's also
[52:57.000 --> 52:59.000]  a former leader of the WHO
[52:59.000 --> 53:01.000]  for several years
[53:01.000 --> 53:03.000]  she had a speech on the island
[53:05.000 --> 53:07.000]  and our
[53:07.000 --> 53:09.000]  president PM
[53:09.000 --> 53:11.000]  he has for a long time been a great career in the UN
[53:11.000 --> 53:13.000]  our
[53:13.000 --> 53:15.000]  former PM is now
[53:15.000 --> 53:17.000]  the general secretary
[53:17.000 --> 53:19.000]  of
[53:19.000 --> 53:21.000]  the Parliament in the EU
[53:21.000 --> 53:23.000]  I mean
[53:23.000 --> 53:25.000]  I don't see how
[53:25.000 --> 53:27.000]  they could just
[53:27.000 --> 53:29.000]  attack us and they not know
[53:29.000 --> 53:31.000]  I know the coincidence with them being
[53:31.000 --> 53:33.000]  you know away
[53:33.000 --> 53:35.000]  Look, we know the Russians
[53:35.000 --> 53:37.000]  the Chinese, the US, they've all
[53:37.000 --> 53:39.000]  had attempted coup d'etats
[53:39.000 --> 53:41.000]  where they always grab a patsy
[53:41.000 --> 53:43.000]  and claim it was a lone nut. We know with Kennedy
[53:43.000 --> 53:45.000]  it wasn't just one shooter
[53:45.000 --> 53:47.000]  and 92% of Americans
[53:47.000 --> 53:49.000]  know that the official stories a lie
[53:49.000 --> 53:51.000]  so this fits into that
[53:51.000 --> 53:53.000]  but this have been an attempted coup
[53:53.000 --> 53:55.000]  against the prime minister
[53:55.000 --> 53:57.000]  and now they've just thrown this nut into the mix
[53:57.000 --> 53:59.000]  and have given us this official narrative
[53:59.000 --> 54:01.000]  I mean after all, western governments
[54:01.000 --> 54:03.000]  have been caught issuing fake al-Qaeda videos
[54:03.000 --> 54:05.000]  fake bin Laden videos
[54:05.000 --> 54:07.000]  fake WMD documents
[54:07.000 --> 54:09.000]  so they're not above manufacturing out of
[54:09.000 --> 54:11.000]  whole cloth
[54:11.000 --> 54:13.000]  I mean this is a big deal
[54:13.000 --> 54:15.000]  I mean bottom line, I feel it in my gut
[54:15.000 --> 54:17.000]  I see it intellectually
[54:17.000 --> 54:19.000]  that this is the kickoff of something big
[54:19.000 --> 54:21.000]  I'm not sure exactly what
[54:21.000 --> 54:23.000]  other than the introduction of
[54:23.000 --> 54:25.000]  it isn't just al-Qaeda now
[54:25.000 --> 54:27.000]  no one can be trusted, you can only trust the government
[54:29.000 --> 54:31.000]  Yeah, this is the card of playing
[54:31.000 --> 54:33.000]  also, I mean
[54:33.000 --> 54:35.000]  there's so many things involved
[54:35.000 --> 54:37.000]  in this bombing
[54:37.000 --> 54:39.000]  I mean from what I gather
[54:39.000 --> 54:41.000]  what's happening was brilliant
[54:41.000 --> 54:43.000]  in order to shut down free speech
[54:43.000 --> 54:45.000]  censor and police, the web trample
[54:45.000 --> 54:47.000]  and restrict people wanting to
[54:47.000 --> 54:49.000]  control their own food or even questioning
[54:49.000 --> 54:51.000]  the political status quo
[54:51.000 --> 54:53.000]  in fact, yesterday
[54:53.000 --> 54:55.000]  I heard a broadcast on the radio
[54:55.000 --> 54:57.000]  he had a guest on
[54:57.000 --> 54:59.000]  I guess somebody
[54:59.000 --> 55:01.000]  hired up and he said something like
[55:01.000 --> 55:03.000]  we like the police patrolling
[55:03.000 --> 55:05.000]  our streets to keep us safe
[55:05.000 --> 55:07.000]  why shouldn't they be patrolling the web
[55:07.000 --> 55:09.000]  so they're just
[55:09.000 --> 55:11.000]  they're using it
[55:11.000 --> 55:13.000]  for...
[55:13.000 --> 55:15.000]  Well I'm glad you mentioned that
[55:15.000 --> 55:17.000]  in the Fox News
[55:17.000 --> 55:19.000]  on 590am
[55:19.000 --> 55:21.000]  and also watching TV this morning
[55:21.000 --> 55:23.000]  and it was, oh my gosh, the national intelligence
[55:23.000 --> 55:25.000]  assessment said radicals are using the web to recruit
[55:25.000 --> 55:27.000]  there's radicalism on the web
[55:27.000 --> 55:29.000]  against the New World Order
[55:29.000 --> 55:31.000]  and the big banks
[55:31.000 --> 55:33.000]  and this is going to cause violence
[55:33.000 --> 55:35.000]  we need to shut down this evil speech
[55:35.000 --> 55:37.000]  because people's speech against the New World Order
[55:37.000 --> 55:39.000]  who do you think they're talking about
[55:39.000 --> 55:41.000]  haven't even gotten into the National Post magazine
[55:41.000 --> 55:43.000]  big paper of
[55:43.000 --> 55:45.000]  Canada coming out and attacking yours truly
[55:45.000 --> 55:47.000]  yesterday for dare questioning
[55:47.000 --> 55:49.000]  the official story
[55:49.000 --> 55:51.000]  yes, absolutely
[55:51.000 --> 55:53.000]  it's the free speech
[55:53.000 --> 55:55.000]  Robert that's causing all this
[55:55.000 --> 55:57.000]  but you know, I also
[55:57.000 --> 55:59.000]  want to give you some
[55:59.000 --> 56:01.000]  background because with this incident
[56:01.000 --> 56:03.000]  the government and already
[56:03.000 --> 56:05.000]  I think dangerous leaders
[56:05.000 --> 56:07.000]  have effectively torn down
[56:07.000 --> 56:09.000]  today's political environment
[56:09.000 --> 56:11.000]  and have done free trade
[56:11.000 --> 56:13.000]  in the New World without comparison
[56:13.000 --> 56:15.000]  for a long time, Norway has been
[56:15.000 --> 56:17.000]  testing ground for many of things
[56:17.000 --> 56:19.000]  you talk about, I mean
[56:19.000 --> 56:21.000]  almost every week
[56:21.000 --> 56:23.000]  or every fortnight
[56:23.000 --> 56:25.000]  we have
[56:25.000 --> 56:27.000]  news mirroring subjects
[56:27.000 --> 56:29.000]  local subjects from Texas
[56:29.000 --> 56:31.000]  or anywhere else
[56:31.000 --> 56:33.000]  I mean, it's the same thing
[56:33.000 --> 56:35.000]  well, there's so many facets
[56:35.000 --> 56:37.000]  that I've dropped the ball on
[56:37.000 --> 56:39.000]  and that's why it's so frustrating to communicate
[56:39.000 --> 56:41.000]  with these extremely complex issues
[56:41.000 --> 56:43.000]  and just sound bites, but you brought up
[56:43.000 --> 56:45.000]  what I've just seen in literally
[56:45.000 --> 56:47.000]  more than 10,000 news articles
[56:47.000 --> 56:49.000]  on Google, if you type in right wing
[56:49.000 --> 56:51.000]  there's more than 10,000 articles demonizing
[56:51.000 --> 56:53.000]  anybody who's
[56:53.000 --> 56:55.000]  conservative, Christian, libertarian
[56:55.000 --> 56:57.000]  anti-Muslim
[56:57.000 --> 56:59.000]  and I'm not defending folks that hate Muslims
[56:59.000 --> 57:01.000]  out of hand, but that's their free speech
[57:01.000 --> 57:03.000]  right, I mean
[57:03.000 --> 57:05.000]  it is just a full court press
[57:05.000 --> 57:07.000]  we've got to watch and attack
[57:07.000 --> 57:09.000]  after anybody
[57:09.000 --> 57:11.000]  that doesn't like world government
[57:11.000 --> 57:13.000]  that doesn't like open borders
[57:13.000 --> 57:15.000]  who doesn't like gun control
[57:15.000 --> 57:17.000]  notice he's a guy who legally
[57:17.000 --> 57:19.000]  had a gun, which is very hard to have in Norway
[57:19.000 --> 57:21.000]  he was an organic farmer
[57:21.000 --> 57:23.000]  so he could get the fertilizer
[57:23.000 --> 57:25.000]  I mean, this whole thing
[57:25.000 --> 57:27.000]  is so scripted down
[57:27.000 --> 57:29.000]  to the glamor shots
[57:29.000 --> 57:31.000]  of him in bizarre Illuminati
[57:31.000 --> 57:33.000]  Regalia, that's their little sickening
[57:33.000 --> 57:35.000]  calling card they want
[57:35.000 --> 57:37.000]  to get rid of civilizations
[57:37.000 --> 57:39.000]  between Muslims and Christians at one level
[57:39.000 --> 57:41.000]  and then the government will be the referee
[57:41.000 --> 57:43.000]  attacking both groups
[57:43.000 --> 57:45.000]  when they are the real terrorists, we'll be back
[57:45.000 --> 58:13.000]  in a minute
[58:13.000 --> 58:15.000]  folks, we've had 235 years of freedom in this country
[58:15.000 --> 58:17.000]  so for every 235 dollars
[58:17.000 --> 58:19.000]  for the food ordered
[58:19.000 --> 58:21.000]  we give away a $149
[58:21.000 --> 58:23.000]  Patriot Pack free
[58:23.000 --> 58:25.000]  to order the best food on the planet
[58:25.000 --> 58:27.000]  call 800-409-5633
[58:27.000 --> 58:29.000]  or go to
[58:29.000 --> 58:31.000]  eFoodsDirect.com
[58:31.000 --> 58:33.000]  slash Alex
[58:33.000 --> 58:35.000]  a free 12 day supply
[58:35.000 --> 58:37.000]  Patriot Pack
[58:37.000 --> 58:39.000]  with every 235 dollars
[58:39.000 --> 58:41.000]  worth of food ordered
[58:41.000 --> 58:43.000]  call 800-409-5633
[58:43.000 --> 58:45.000]  or
[58:45.000 --> 58:47.000]  eFoodsDirect.com
[58:47.000 --> 58:49.000]  slash Alex
[58:49.000 --> 58:51.000]  when you're out on the road
[58:51.000 --> 58:53.000]  the last place you want to be
[58:53.000 --> 58:55.000]  is on the road
[58:55.000 --> 58:57.000]  but if the unfortunate happens
[58:57.000 --> 58:59.000]  you'll be glad you were wearing
[58:59.000 --> 59:01.000]  diamond gussets
[59:01.000 --> 59:03.000]  there's a place down in Tennessee
[59:03.000 --> 59:09.000]  where they make blue diamond gusset jeans
[59:09.000 --> 59:13.000]  they so pride in every stitch
[59:13.000 --> 59:17.000]  guarantee you love the way they fit
[59:17.000 --> 59:19.000]  they put a diamond gusset in the crotch
[59:19.000 --> 59:21.000]  where you need it most
[59:21.000 --> 59:23.000]  blue diamond gussets
[59:23.000 --> 59:25.000]  got it
[59:25.000 --> 59:27.000]  others don't
[59:27.000 --> 59:29.000]  we turn jeans inside out
[59:29.000 --> 59:31.000]  diamond gusset jeans
[59:31.000 --> 59:33.000]  made in the USA
[59:33.000 --> 59:35.000]  with unparalleled quality
[59:35.000 --> 59:37.000]  our Defender motorcycle jeans
[59:37.000 --> 59:39.000]  combine gusset comfort with Kevlar protection
[59:39.000 --> 59:41.000]  so you can ride all day with confidence
[59:41.000 --> 59:43.000]  order yours at gusset.com
[59:43.000 --> 59:45.000]  diamond gusset jeans
[59:45.000 --> 59:47.000]  got it
[59:47.000 --> 59:49.000]  others don't
[59:51.000 --> 59:53.000]  coast to coast
[59:53.000 --> 59:55.000]  direct from Austin
[59:55.000 --> 59:57.000]  you're listening to the Alex Jones Broadcasting Network
[59:57.000 --> 59:59.000]  from his Central Texas Command Center
[59:59.000 --> 1:00:01.000]  deep behind enemy lines
[1:00:01.000 --> 1:00:03.000]  the information war continues
[1:00:03.000 --> 1:00:05.000]  it's Alex Jones
[1:00:05.000 --> 1:00:07.000]  and the GCN Radio Network
[1:00:15.000 --> 1:00:17.000]  Robert Jepa Stool is our guest
[1:00:17.000 --> 1:00:19.000]  he'll be riding shotgun with us for one segment
[1:00:19.000 --> 1:00:21.000]  with Webster Ribbon Tartley
[1:00:21.000 --> 1:00:23.000]  coming up looking at this false flag event
[1:00:23.000 --> 1:00:25.000]  and what it signifies
[1:00:25.000 --> 1:00:27.000]  undoubtedly
[1:00:27.000 --> 1:00:29.000]  this was either staged
[1:00:29.000 --> 1:00:31.000]  or the government has a crystal ball
[1:00:33.000 --> 1:00:35.000]  because they have been telling police
[1:00:35.000 --> 1:00:37.000]  the terror attacks are coming
[1:00:37.000 --> 1:00:39.000]  it's going to happen
[1:00:39.000 --> 1:00:41.000]  and in every case we research these events
[1:00:41.000 --> 1:00:43.000]  and they're provocateur
[1:00:43.000 --> 1:00:45.000]  or completely staged
[1:00:45.000 --> 1:00:47.000]  right wing Muslim it doesn't matter
[1:00:47.000 --> 1:00:49.000]  in this case just reeks
[1:00:49.000 --> 1:00:51.000]  of staged
[1:00:51.000 --> 1:00:53.000]  with the treatise and the guy all dressed up
[1:00:53.000 --> 1:00:55.000]  all of it
[1:00:55.000 --> 1:00:57.000]  every stereotype he goes after
[1:00:57.000 --> 1:00:59.000]  designed to demonize people
[1:00:59.000 --> 1:01:01.000]  that don't like world government
[1:01:01.000 --> 1:01:03.000]  and don't like losing their national sovereignty
[1:01:03.000 --> 1:01:05.000]  and their cultures
[1:01:05.000 --> 1:01:07.000]  now Robert a survivor
[1:01:07.000 --> 1:01:09.000]  of the attacks
[1:01:09.000 --> 1:01:11.000]  narrowly survived the bombing
[1:01:11.000 --> 1:01:13.000]  we're very glad this listener did survive
[1:01:13.000 --> 1:01:15.000]  and we're very sad for the others
[1:01:15.000 --> 1:01:17.000]  a short segment left here
[1:01:17.000 --> 1:01:19.000]  but other points you'd like to make
[1:01:19.000 --> 1:01:21.000]  well
[1:01:21.000 --> 1:01:23.000]  how do you
[1:01:23.000 --> 1:01:25.000]  have anything about the manifesto
[1:01:25.000 --> 1:01:27.000]  because the media
[1:01:27.000 --> 1:01:29.000]  have reported on a
[1:01:29.000 --> 1:01:31.000]  1500 page manifesto
[1:01:31.000 --> 1:01:33.000]  called the 2083
[1:01:33.000 --> 1:01:35.000]  describing
[1:01:35.000 --> 1:01:37.000]  ideology and referring to
[1:01:37.000 --> 1:01:39.000]  and quoting philosophers
[1:01:39.000 --> 1:01:41.000]  who refers to himself as a Templar
[1:01:41.000 --> 1:01:43.000]  starting a crusade against Muslims in Europe
[1:01:43.000 --> 1:01:45.000]  he describes
[1:01:45.000 --> 1:01:47.000]  small things like what to wear
[1:01:47.000 --> 1:01:49.000]  the needed equipment to do
[1:01:49.000 --> 1:01:51.000]  to organize
[1:01:51.000 --> 1:01:53.000]  a terror event
[1:01:53.000 --> 1:01:55.000]  and he says the world population
[1:01:55.000 --> 1:01:57.000]  needs to be reduced to 2.5 billion
[1:01:57.000 --> 1:01:59.000]  within the year 2083
[1:01:59.000 --> 1:02:01.000]  Ted Kastinsky
[1:02:01.000 --> 1:02:03.000]  the Unabomber is also copied
[1:02:03.000 --> 1:02:05.000]  in his text
[1:02:05.000 --> 1:02:07.000]  only a few paragraphs are changed
[1:02:07.000 --> 1:02:09.000]  I guess it was leftist
[1:02:09.000 --> 1:02:11.000]  or changed with
[1:02:11.000 --> 1:02:13.000]  modern Marxists
[1:02:13.000 --> 1:02:15.000]  or something like that
[1:02:15.000 --> 1:02:17.000]  the manifesto
[1:02:17.000 --> 1:02:19.000]  is written
[1:02:19.000 --> 1:02:21.000]  in good English language
[1:02:21.000 --> 1:02:23.000]  and they say it was published
[1:02:23.000 --> 1:02:25.000]  from London
[1:02:25.000 --> 1:02:27.000]  I find it strange
[1:02:27.000 --> 1:02:29.000]  considering how he's reportedly
[1:02:29.000 --> 1:02:31.000]  uneducated
[1:02:31.000 --> 1:02:33.000]  I mean
[1:02:33.000 --> 1:02:35.000]  later analysis
[1:02:35.000 --> 1:02:37.000]  said that the whole thing is a copy
[1:02:37.000 --> 1:02:39.000]  and paste document
[1:02:39.000 --> 1:02:41.000]  except the last part where
[1:02:41.000 --> 1:02:43.000]  that's sort of a diary
[1:02:43.000 --> 1:02:45.000]  of his progress and work
[1:02:45.000 --> 1:02:47.000]  the last nine years
[1:02:47.000 --> 1:02:49.000]  towards
