[00:00:00.009 --> 00:00:00.249]  And the U.S.
[00:50:22.631 --> 00:50:26.092]  And by the way, there's a lot of weak-minded people out there going, wait a minute, I never heard about that.
[00:50:26.092 --> 00:50:27.593]  Well, you must be hiding under a rock.
[00:50:27.593 --> 00:50:30.694]  I mean, everybody knows there's been chemical, biological, radiological testing.
[00:50:30.694 --> 00:50:32.695]  Let me ask both the guys running the show.
[00:50:32.695 --> 00:50:45.460]  Before you ever heard of my radio show or ever did stuff, Paul and Trey, did you ever see on the news, I wanna see, or hear them talk about chemical, biological, radiological testing on the U.S.
[00:50:45.460 --> 00:50:46.620]  population?
[00:50:46.620 --> 00:50:47.661]  Tuskegee experiments.
[00:50:48.553 --> 00:50:52.217]  But, I mean, you hadn't heard about the other stuff where they spray biologicals on cities?
[00:50:52.217 --> 00:50:56.823]  I mean, I was just starting with this, the easiest, uh... But, I mean, how much had you heard of before you ever heard of me?
[00:50:56.823 --> 00:50:57.123]  Oh, sure.
[00:50:57.123 --> 00:51:02.690]  I mean, I've talked to people who've, uh, heard of the, you know, all the cloud seeding and chemical spraying they've been doing for years.
[00:51:02.690 --> 00:51:04.812]  I mean, I know people who've heard about it who are twice my age.
[00:51:04.812 --> 00:51:06.134]  What about you, Paul?
[00:51:06.134 --> 00:51:07.215]  What about you?
[00:51:07.215 --> 00:51:08.617]  So, you had never heard, see?
[00:51:09.238 --> 00:51:15.261]  Well, for those that don't know, you can go to the Department of Energy, like I said earlier, and they'll tell you how they murdered thousands of U.S.
[00:51:15.261 --> 00:51:15.882]  children.
[00:51:15.882 --> 00:51:19.463]  They take them from poor families, walk them in, and radiate them to death.
[00:51:19.463 --> 00:51:22.305]  Now, that was really to create cod rays of killers in the government.
[00:51:22.305 --> 00:51:24.026]  It wasn't about testing radiation.
[00:51:24.026 --> 00:51:27.728]  It was about seeing what they could get away with.
[00:51:27.728 --> 00:51:27.888]  Now,
[00:51:30.337 --> 00:51:33.738]  If you don't know about this, listeners, you need to go find out and then understand.
[00:51:33.738 --> 00:51:35.619]  Now you know why they'll do these type of things.
[00:51:35.619 --> 00:51:37.260]  They're totally ruthless.
[00:51:37.260 --> 00:51:39.261]  They believe the end justifies the means.
[00:51:39.261 --> 00:51:45.203]  And now they want to have a million to start with.
[00:51:45.203 --> 00:51:47.724]  Youth running around, spying and tattling on you.
[00:51:47.724 --> 00:51:53.666]  They have felons and illegal aliens filling the police force, filling the military force.
[00:51:53.666 --> 00:51:56.347]  All the mainstream news articles on that, just Google it.
[00:51:57.256 --> 00:51:59.237]  And you'll have just scores of mainstream news.
[00:51:59.237 --> 00:52:05.522]  Just type, police departments hiring, they'll use the politically correct word, immigrants.
[00:52:05.522 --> 00:52:12.286]  Police forces, but one headline, one AP headline in New Mexico did say illegal immigrants.
[00:52:12.286 --> 00:52:14.848]  You can just pull it up for yourself, ladies and gentlemen, right now.
[00:52:14.848 --> 00:52:15.488]  Don't deny.
[00:52:15.488 --> 00:52:22.333]  And if you didn't know history, they hire foreigners and felons because they'll follow illegal, tyrannical orders.
[00:52:22.333 --> 00:52:24.995]  Mao, Hitler, Stalin, they all did it.
[00:52:24.995 --> 00:52:25.255]  Okay?
[00:52:26.826 --> 00:52:31.650]  They also hire Yugen, Young Forces, Mao did it.
[00:52:31.650 --> 00:52:36.134]  You notice that Al Gore, who was just here in town, he's getting 10 million youth brigades.
[00:52:37.011 --> 00:52:43.656]  And they're all over the place, slicing the SUV tires all over the country, egging SUVs.
[00:52:43.656 --> 00:52:47.579]  The police don't investigate it, the news won't report on it, but here and there.
[00:52:47.579 --> 00:52:50.000]  Burning down ski resorts, burning down homes.
[00:52:50.000 --> 00:52:53.563]  That's the type of brigades that Al Gore is recruiting.
[00:52:53.563 --> 00:52:57.726]  Oh yeah, you didn't know about the environmental terrorists out there?
[00:52:57.726 --> 00:52:59.767]  They're to be turned loose against the middle class.
[00:52:59.767 --> 00:53:05.011]  They're all going to be the new officers to regulate and control your carbon footprint.
[00:53:06.226 --> 00:53:08.267]  To control your daily life.
[00:53:08.267 --> 00:53:09.828]  Paul's in there shaking his head.
[00:53:09.828 --> 00:53:11.690]  Paul, I can Google it right now.
[00:53:11.690 --> 00:53:14.311]  I'm serious.
[00:53:14.311 --> 00:53:15.392]  This is what they're doing.
[00:53:15.392 --> 00:53:18.354]  This is who they're hiring.
[00:53:18.354 --> 00:53:21.536]  Now let's go ahead and get into these coffins.
[00:53:21.536 --> 00:53:27.620]  If you go to InfoWars.com right now, you can read this and see all the YouTube videos.
[00:53:27.620 --> 00:53:30.362]  And you can go to the company website that
[00:53:33.061 --> 00:53:45.843]  If it's not the same company, it's this company, or just licensed it from them, because it is the... And we're not saying they're a bad company for selling mass grave coffins.
[00:53:45.843 --> 00:53:48.804]  It's just the fact that we're reporting on that.
[00:53:48.804 --> 00:53:50.224]  So I want to be clear, the company isn't bad.
[00:53:50.224 --> 00:53:53.885]  They're allowed to be in business and sell this to the government.
[00:53:53.885 --> 00:53:59.746]  In the past, we would see articles about one million body bags ordered by FEMA.
[00:54:00.539 --> 00:54:04.800]  Or, 300,000 plastic coffins ordered by Homeland Security.
[00:54:04.800 --> 00:54:10.461]  I mean, we've had all those articles, we just have never... But people don't care about an article or a news story.
[00:54:10.461 --> 00:54:11.801]  They want to see the coffins.
[00:54:11.801 --> 00:54:23.844]  So some folks in Georgia saw one of these facilities, and we've got Google photos of it, and ground photos and video of it, and it is more than 500,000.
[00:54:26.784 --> 00:54:29.545]  of these giant coffins stacked outside.
[00:54:29.545 --> 00:54:35.608]  You'll have big stacks of lids and then stacks of the coffins, one inside the other.
[00:54:35.608 --> 00:54:44.072]  And they also have other systems that you can go read about.
[00:54:44.072 --> 00:54:48.594]  They also have urns for your cremated body.
[00:54:48.594 --> 00:54:49.155]  And this is in
[00:54:52.640 --> 00:54:57.362]  Georgia, the company is PolyGuard Vaults, but they're in Alabama.
[00:54:57.362 --> 00:55:04.824]  This is a separate area, a FEMA leased area, just sitting right out by the side of a highway for the last couple years.
[00:55:04.824 --> 00:55:12.687]  And finally, we've mentioned this before, but finally, this is really getting big news on the web, and big reports being done by Curt Nemo right now.
[00:55:12.687 --> 00:55:16.128]  In fact, it may be up, I know he's working on it, to have it up by the end of the show.
[00:55:17.614 --> 00:55:25.016]  Why are tens of thousands of plastic burial vaults stacked in a field near Madison, Georgia, is the headline.
[00:55:25.016 --> 00:55:44.362]  Polyguard Vaults, and you go to their website, and we also have photos of the truck's giant 18 wheelers, huge 18 wheelers with these extra long flatbeds just totally stacked with the coffins that go one inside the other like plastic Dixie Cups.
[00:55:45.496 --> 00:55:47.437]  And they're just all there.
[00:55:47.437 --> 00:55:49.598]  Now, we know this is FEMA.
[00:55:49.598 --> 00:55:52.899]  We know that these are coffins.
[00:55:52.899 --> 00:56:00.403]  Some people are debating that because we have all the news articles where it says FEMA's ordered coffins and body bags by the millions.
[00:56:00.403 --> 00:56:10.948]  This is just one stockpile just a few miles away from the Atlanta Airport, which is the largest airport in the United States.
[00:56:10.948 --> 00:56:13.429]  So you can go there and look at these.
[00:56:14.520 --> 00:56:21.383]  Now, FEMA and the CDC say that they're... By the way, this is nearby the CDC, Centers for Disease Control.
[00:56:21.383 --> 00:56:26.466]  They say that they're only doing this in case there's a mass biological outbreak.
[00:56:26.466 --> 00:56:42.693]  You've just got to remember that it's the government, the criminals that have hijacked our government, are National Security Act of 47, who fully took over when they killed President Kennedy in 63, and now under PDD 51, openly says that the White House is a dictatorship, and that Congress has no authority.
[00:56:43.722 --> 00:57:06.479]  uh... the chairman of the homeland security department for six seven months it's been going on for eleven months total since one of the people on the on the committee has to see the documents they're not even allowed to see the fully declassified uh... slash classified version but on the cover sheet of PD 51 presidential decision directive 51 it says that the president is a dictator people say well everything will be all right.
[00:57:06.479 --> 00:57:12.183]  Barack Obama will soon be in or John McCain will they're just puppets they run nothing
[00:57:13.405 --> 00:57:15.766]  They're there to carry out their orders.
[00:57:15.766 --> 00:57:24.851]  Understand, it's that executive branch that allows the private corporations that have hijacked our government to have, at least on the surface, the look of government.
[00:57:24.851 --> 00:57:28.952]  But a president declaring himself dictator is totally illegal and illegitimate.
[00:57:28.952 --> 00:57:30.533]  See, that's what you've got to ask yourselves.
[00:57:30.533 --> 00:57:34.515]  Do you stand with the Bill of Rights and Constitution or with the New World Order?
[00:57:34.515 --> 00:57:38.497]  Do you stand with the Republic and the Founding Fathers or the dirtbag globalists?
[00:57:38.497 --> 00:57:42.039]  We'll be right back with the second hour and your calls.
[00:57:42.039 --> 00:57:42.559]  More on the call.
[00:57:43.010 --> 00:57:47.373]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:57:47.373 --> 00:57:50.255]  Now you can do even more to hear Genesis shows in your area.
[00:57:50.255 --> 00:57:54.818]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:57:54.818 --> 00:57:55.539]  It's easy.
[00:57:55.539 --> 00:58:02.144]  Log on to GCNLive.com or call us toll free 877-807-4048.
[00:58:02.144 --> 00:58:02.904]  Make a difference.
[00:58:02.904 --> 00:58:08.288]  Call your local stations and contact us through affiliate relations at GCNLive.com or call 877-807-4048.
[00:58:08.288 --> 00:58:08.648]  Call today.
[00:58:14.025 --> 00:58:15.085]  Looking for profit?
[00:58:15.085 --> 00:58:16.746]  Looking for safety and security?
[00:58:16.746 --> 00:58:20.068]  The $10 Olympic Commemorative Gold Coin offers both.
[00:58:20.068 --> 00:58:27.711]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:58:27.711 --> 00:58:31.453]  Falling dollar values and inflation make this likely to happen again.
[00:58:31.453 --> 00:58:33.273]  Secure your position today.
[00:58:33.273 --> 00:58:34.554]  Call Midas Resources at 1-800-686-2237.
[00:58:34.554 --> 00:58:34.794]  That's 1-800-686-2237.
[00:58:43.326 --> 00:58:45.747]  Oh, what a beautiful day for the beach.
[00:58:45.747 --> 00:58:49.969]  Look, up there in the sky, it's Non-X-Man.
[00:58:49.969 --> 00:58:51.630]  He's in a dive.
[00:58:51.630 --> 00:58:54.151]  He must have found some ugly toenails on the beach.
[00:58:54.151 --> 00:58:55.472]  Let's go look.
[00:58:55.472 --> 00:58:59.273]  I'm Non-X-Man, and your toenails need Non-X nail gel.
[00:58:59.273 --> 00:59:01.134]  Stop hiding them in the sand.
[00:59:01.134 --> 00:59:02.055]  Take them out.
[00:59:02.055 --> 00:59:02.675]  Let's see them.
[00:59:05.072 --> 00:59:07.495]  Oh, I'm so embarrassed.
[00:59:07.495 --> 00:59:08.536]  Don't worry.
[00:59:08.536 --> 00:59:10.379]  Now there's Non-X Nail Gel.
[00:59:10.379 --> 00:59:15.064]  Use it on your toenails regularly, and they'll look fantastic in sandals.
[00:59:15.064 --> 00:59:17.707]  Oh, I will, Non-X Man.
[00:59:17.707 --> 00:59:18.548]  Great.
[00:59:18.548 --> 00:59:21.412]  Well, I'm off to find more ugly toenails.
[00:59:23.646 --> 00:59:26.747]  Don't let Nonox Man find you with unsightly toenails.
[00:59:26.747 --> 00:59:30.748]  Buy diabetic-friendly, money-back-guaranteed Nonox Nail Gel.
[00:59:30.748 --> 00:59:41.932]  It's in the foot care aisle at Supercenters, Walgreens, CVS, Long's, Meijer, Giant Eagle, Car Drug, Snyder's, Duane Reade, Bilo, and Rite Aid.
[00:59:41.932 --> 00:59:50.855]  And some Texans who are facing foreclosure are responding with... You're listening to GCN.
[00:59:50.855 --> 00:59:52.556]  Texas, it's 5 o'clock.
[00:59:56.519 --> 00:59:57.700]  I'm Jody Jordan.
[00:59:57.700 --> 01:00:01.604]  Barack Obama has been meeting today with Afghanistan's president.
[01:00:01.604 --> 01:00:11.293]  An Afghan official says the Democratic presidential candidate pledged steadfast aid to Afghanistan and vowed to pursue the war on terror with vigor if he is elected.
[01:00:11.293 --> 01:00:14.455]  Obama also had breakfast with the troops today in Kabul.
[01:00:14.455 --> 01:00:17.058]  Breakfast with the troops, what's it like?
[01:00:17.058 --> 01:00:19.300]  The food is excellent, but the company's even better.
[01:00:20.513 --> 01:00:27.376]  And tropical storm Cristobal has gained a little strength as it makes its slow way along the North Carolina coast.
[01:00:27.376 --> 01:00:31.718]  It's expected to dump several inches of rain in parts of the drought-stricken state.
[01:00:31.718 --> 01:00:34.999]  Cristobal will likely skirt the outer banks today.
[01:00:34.999 --> 01:00:37.861]  Here's weather bug meteorologist Steve Prinzevalli.
[01:00:37.861 --> 01:00:47.565]  As of 5 a.m., Cristobal was just about 60 miles southwest of Cape Lookout, North Carolina, and about 130 miles southwest of Cape Hatteras, North Carolina.
[01:00:47.565 --> 01:00:49.746]  This is IRN USA Radio News.
[01:00:51.189 --> 01:00:52.110]  Psoriasis.
[01:00:52.110 --> 01:00:57.435]  The itching, flaking, and irritation is painful, but the emotional suffering can be even more devastating.
[01:00:57.435 --> 01:00:58.596]  My body was so sore.
[01:00:58.596 --> 01:00:59.797]  My mind was so worn out.
[01:00:59.797 --> 01:01:01.078]  I could not sleep at night.
[01:01:01.078 --> 01:01:02.119]  I felt self-conscious.
[01:01:02.119 --> 01:01:03.601]  Nobody knows what that flaking is.
[01:01:03.601 --> 01:01:04.662]  And people say, ew.
[01:01:04.662 --> 01:01:06.143]  It just made me feel like you're dirty.
[01:01:06.143 --> 01:01:07.124]  Oh, people know when I have this.
[01:01:07.124 --> 01:01:07.604]  It's embarrassing.
[01:01:07.604 --> 01:01:09.046]  Of course I felt self-conscious.
[01:01:09.046 --> 01:01:10.327]  Not very attractive to look at.
[01:01:10.427 --> 01:01:16.089]  The solution is new and improved SkinZinc Advanced, the number one OTC treatment for psoriasis.
[01:01:16.089 --> 01:01:18.190]  SkinZinc turned out to be the perfect answer.
[01:01:18.190 --> 01:01:20.171]  SkinZinc has changed my life.
[01:01:20.171 --> 01:01:22.892]  The third day, I saw that my psoriasis was disappearing.
[01:01:22.892 --> 01:01:25.813]  In one week, I noticed that the rashes on my arms were going away.
[01:01:25.813 --> 01:01:27.794]  My elbows are completely cleared up.
[01:01:28.234 --> 01:01:29.014]  You have to try it.
[01:01:29.014 --> 01:01:30.815]  SkinZinc will make your psoriasis go away.
[01:01:30.815 --> 01:01:32.916]  I think we're a SkinZinc family for life.
[01:01:32.916 --> 01:01:36.438]  Call right now for your 30-day risk-free trial of SkinZinc with Hydronyze.
[01:01:36.438 --> 01:01:36.558]  1-800-626-5198.
[01:01:36.558 --> 01:01:36.939]  That's 1-800-626-5198.
[01:01:36.939 --> 01:01:38.139]  Eliminate psoriasis symptoms fast.
[01:01:38.139 --> 01:01:38.479]  Call 1-800-626-5198.
[01:01:38.479 --> 01:01:38.699]  Call now.
[01:01:38.699 --> 01:01:39.020]  Get relief.
[01:01:39.020 --> 01:01:39.080]  1-800-626-5198.
[01:01:51.371 --> 01:01:56.272]  The Pentagon's top military officer says he worries about setting a timetable for withdrawing U.S.
[01:01:56.272 --> 01:01:58.073]  combat troops from Iraq.
[01:01:58.073 --> 01:02:04.394]  Admiral Mike Mullen says the consequences could be very dangerous for Iraq's stability if there is a fixed timetable.
[01:02:04.394 --> 01:02:13.256]  But in a broadcast interview today, the Joint Chiefs chairman says if conditions in Iraq keep improving, he believes he will be able to recommend further troop cuts in the fall.
[01:02:14.204 --> 01:02:19.506]  An Iraqi government spokesman says a German magazine did not quote Iraq's Prime Minister accurately.
[01:02:19.506 --> 01:02:23.507]  The article quoted Nouri al-Maliki as giving apparent backing to U.S.
[01:02:23.507 --> 01:02:26.468]  troop withdrawal plans discussed by Barack Obama.
[01:02:26.468 --> 01:02:32.710]  The spokesman says al-Maliki was discussing an Iraq vision of a troop pullout that did not endorse a specific timetable.
[01:02:33.539 --> 01:02:40.821]  And Beijing is launching its drastic pollution control plan in hopes of cleaning smog-choked skies in time for the Olympics.
[01:02:40.821 --> 01:02:45.803]  Chemical plants and power stations must cut emissions by 30% starting today.
[01:02:45.803 --> 01:02:49.324]  For more news and analysis, log on to irnnews.com.
[01:02:51.278 --> 01:02:52.939]  Hi, this is Dale Denton from Maryland.
[01:02:52.939 --> 01:02:56.622]  I came from a real estate background and a downturn put me out of business.
[01:02:56.622 --> 01:03:00.225]  I found myself near 50 and having to start over with no retirement plan.
[01:03:00.225 --> 01:03:03.647]  I've been working the 3-step plan for just over two and a half years.
[01:03:03.647 --> 01:03:07.450]  The minimum investment compared to the return that I got was just awesome.
[01:03:07.450 --> 01:03:09.912]  The 3-step plan has given me my life back.
[01:03:09.912 --> 01:03:11.453]  Hi, this is Andy Willoughby.
[01:03:11.453 --> 01:03:16.397]  To find out how you can make more money working from home, go to 3stepplan.com or call 800-637-6122.
[01:03:21.511 --> 01:03:26.294]  The idea of a gas tax holiday this summer hit the brakes on Capitol Hill.
[01:03:26.294 --> 01:03:27.395]  Here's Bob Eller.
[01:03:27.395 --> 01:03:36.502]  Depriving the 52-year-old highway trust fund of $9 billion at a time when it's heading into the red doomed the notion of a gas tax holiday in Congress.
[01:03:36.502 --> 01:03:40.485]  Three years ago, the trust fund enjoyed a surplus of $10 billion.
[01:03:40.485 --> 01:03:45.088]  Even without a tax freeze, the fund is projected to finish 2009 with a deficit of $3 billion.
[01:03:47.069 --> 01:03:52.753]  That could grow as Americans stung by higher pump prices drive less and buy less gas.
[01:03:52.753 --> 01:04:01.320]  Brett Favre is sticking to the script, declining to address his public rift with the Green Bay Packers in an appearance at Lambeau Field on Saturday.
[01:04:01.320 --> 01:04:09.826]  Favre called Green Bay a special place while praising former teammate Frank Winters in a news conference before the Packers Hall of Fame induction ceremony banquet.
[01:04:10.453 --> 01:04:16.796]  Farve says it was nice to be named Packers MVP for last season and says his teammates deserve a lot of praise.
[01:04:16.796 --> 01:04:26.480]  It was great that I was honored with this award tonight so it gave me a chance to thank William, Marco, Chewie, Gilbert, Santana and Frank.
[01:04:32.142 --> 01:04:34.903]  Rapper DMX has been arrested in Phoenix.
[01:04:34.903 --> 01:04:42.769]  Authorities say they suspect he gave a false name and a social security number to a hospital to get out of paying for medical expenses.
[01:04:42.769 --> 01:04:45.911]  It's his third arrest in the past month.
[01:04:45.911 --> 01:04:49.353]  I'm Jody Jordan and that's news from the Information Radio Network.
[01:04:50.250 --> 01:04:56.935]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming a third world nation.
[01:04:56.935 --> 01:05:02.140]  It's time to jump on the next wave of free energy and radical natural alternative health solutions.
[01:05:02.140 --> 01:05:04.101]  Introducing Organ Products.
[01:05:04.101 --> 01:05:08.885]  Organ is the universal life force, the basic building block of all matter on the material planet.
[01:05:09.065 --> 01:05:13.767]  Oregon Electro Medicine is the wave of the future dating back to the late 1800s.
[01:05:13.767 --> 01:05:20.891]  Wilhelm Reich Oregon used cloud buster technology that can now be applied in your home for dramatic energy savings of up to 25%.
[01:05:20.891 --> 01:05:25.113]  The possible uses for this device are only limited by your imagination.
[01:05:25.113 --> 01:05:30.255]  For less than the cost of a doctor's visit, you can have a device that can lead to the end of all your problems.
[01:05:30.515 --> 01:05:33.117]  Health doesn't need to be expensive or complicated.
[01:05:33.117 --> 01:05:37.141]  Simple technology equals profound results at organproducts.org.
[01:05:37.141 --> 01:05:40.284]  That's O-R-G-O-N-E products dot org.
[01:05:40.284 --> 01:05:43.167]  O-R-G-O-N-E products dot org.
[01:05:43.167 --> 01:05:43.587]  Or call 646-498-5309.
[01:05:43.587 --> 01:05:43.908]  That's 646-498-5309.
[01:06:01.363 --> 01:06:04.124]  He stands for truth.
[01:06:04.124 --> 01:06:07.345]  He stands for justice.
[01:06:07.345 --> 01:06:09.785]  He stands for what's right.
[01:06:09.785 --> 01:06:13.066]  This is the Alex Jones Show.
[01:06:13.066 --> 01:06:16.007]  Call Alex now, toll free at 877-590-5525.
[01:06:16.007 --> 01:06:19.648]  Now live from Austin, Texas, here's Alex Jones.
[01:06:29.176 --> 01:06:33.417]  All right, as I said, wide open phones in the shower.
[01:06:33.417 --> 01:06:36.798]  I covered the fact they bought millions of body bags.
[01:06:36.798 --> 01:06:46.240]  We just identified well over 500,000 big plastic caskets out there by the airport in Georgia.
[01:06:46.240 --> 01:06:49.320]  FEMA admits it's built camps for the American people.
[01:06:49.320 --> 01:06:57.622]  The Rex 84 plan back in the 80s said they would build camps and put illegal aliens in them at first to sell the public on accepting them, but it was really for the general public.
[01:06:58.277 --> 01:07:03.741]  And then, lo and behold, they're doing that all over the nation right now.
[01:07:03.741 --> 01:07:09.624]  The federal government wants to have youth brigades out on the streets, quote, finding the terrorists that are everywhere.
[01:07:09.624 --> 01:07:18.770]  And the biggest news is NBC News and the Chicago Tribune report, the governor is going to put National Guards on the streets going door-to-door confiscating guns in Illinois.
[01:07:18.770 --> 01:07:22.173]  And no one covers it, not the Second Amendment groups, no one.
[01:07:22.173 --> 01:07:22.593]  Kind of like
[01:07:23.243 --> 01:07:29.405]  Nobody, when they were on television, saying, everyone will be disarmed, no one will be allowed to have guns.
[01:07:29.405 --> 01:07:31.805]  I ought to play some of those news clips for people that don't believe it.
[01:07:31.805 --> 01:07:39.747]  They put it on the news, said it was great, went around confiscating people's guns, and then I had to scream for like a month before the NRA said it was bad.
[01:07:39.747 --> 01:07:43.648]  I had blisters calling me, going, you're making it up, when I was playing the clips.
[01:07:43.648 --> 01:07:46.209]  Stop being in denial!
[01:07:46.209 --> 01:07:49.430]  The governor's announced they're going to use the National Guard criminally
[01:07:51.710 --> 01:07:58.372]  You know, Posse Comitatus said they couldn't use them to even quote fight terrorists, but they kind of amended it.
[01:07:58.372 --> 01:08:02.913]  But this even violates the amended version of that.
[01:08:02.913 --> 01:08:04.813]  I've got a bunch of economic news.
[01:08:04.813 --> 01:08:08.874]  I've got a ton of other news I want to go over here.
[01:08:08.874 --> 01:08:11.094]  This is Reuters.
[01:08:11.094 --> 01:08:15.155]  As faith in bank bailouts dims, losses set to deepen.
[01:08:15.155 --> 01:08:16.075]  Another headline, U.S.
[01:08:16.075 --> 01:08:18.096]  financial breaking point soon.
[01:08:19.511 --> 01:08:21.152]  GM's pain hits retirees.
[01:08:21.152 --> 01:08:23.193]  They just say, you don't get any more health care.
[01:08:23.193 --> 01:08:24.333]  We don't care what your pension says.
[01:08:24.333 --> 01:08:25.274]  Zero.
[01:08:25.274 --> 01:08:28.355]  That's a Baltimore Sun.
[01:08:28.355 --> 01:08:32.378]  As I told you he would do, Al Gore proposes global carbon tax.
[01:08:32.378 --> 01:08:35.559]  I had idiots constantly telling me that wasn't the plan.
[01:08:35.559 --> 01:08:36.680]  I just had their own documents.
[01:08:36.680 --> 01:08:39.641]  I mean, this is a big new world order.
[01:08:39.641 --> 01:08:41.622]  People say, well, they wouldn't get away with this.
[01:08:41.622 --> 01:08:42.543]  People would find out.
[01:08:42.543 --> 01:08:44.864]  We do find out.
[01:08:44.864 --> 01:08:49.246]  It's just your mainline news is five, ten years late in reporting it to you.
[01:08:51.718 --> 01:08:54.399]  And most these reporters I talk to aren't bad people.
[01:08:54.399 --> 01:08:57.980]  They're just... They report the press release they're given by government.
[01:08:57.980 --> 01:09:03.702]  And their editor won't let them get outside that box.
[01:09:03.702 --> 01:09:04.162]  It doesn't matter.
[01:09:04.162 --> 01:09:12.004]  I'm gonna get off into how they got rid of muckrakers and real journalists and how an average-sized city like Austin, Texas would have five, six newspapers.
[01:09:12.004 --> 01:09:15.005]  Something like New York would have ten, fifteen daily papers.
[01:09:15.005 --> 01:09:17.986]  All these cities are down to one or two papers now, and it's a bunch of garbage!
[01:09:18.735 --> 01:09:24.018]  The newspapers, and I've seen all the different think tank studies on it, aren't losing their circulation because of the internet.
[01:09:24.018 --> 01:09:25.479]  That's a small part of it.
[01:09:25.479 --> 01:09:28.380]  It's that it's a bunch of bull, and people know it!
[01:09:28.380 --> 01:09:30.001]  We don't want PAP anymore!
[01:09:30.001 --> 01:09:30.981]  You know what PAP is?
[01:09:30.981 --> 01:09:32.322]  It's rice cereal.
[01:09:32.322 --> 01:09:34.923]  It's the first food you feed a baby.
[01:09:34.923 --> 01:09:38.085]  I've got a five-month-old, and we just started giving her PAP.
[01:09:38.085 --> 01:09:39.566]  People don't want PAP.
[01:09:39.566 --> 01:09:40.666]  I'm 34 years old.
[01:09:40.666 --> 01:09:43.048]  I want a big, bone-in ribeye.
[01:09:43.048 --> 01:09:45.349]  I want mashed potatoes.
[01:09:45.349 --> 01:09:47.770]  I want a big blue cheese salad.
[01:09:48.669 --> 01:09:50.390]  Well, that's what this show is, baby!
[01:09:50.390 --> 01:09:55.333]  Big, giant, 25-ounce, prime, bone-in ribeye, baby!
[01:09:55.333 --> 01:09:56.574]  All the juicy fat!
[01:09:56.574 --> 01:09:57.874]  All the juicy beef!
[01:09:57.874 --> 01:09:59.895]  Everything you want!
[01:09:59.895 --> 01:10:07.600]  And we could save this country if you'd get off the diet of rice cereal!
[01:10:07.600 --> 01:10:08.360]  I mean, good Lord!
[01:10:08.360 --> 01:10:10.121]  Alright, I said I'd go to calls.
[01:10:10.121 --> 01:10:11.602]  Let's go to them.
[01:10:11.602 --> 01:10:14.224]  Uh, let's talk to Hamilton in Boulder, Colorado.
[01:10:14.224 --> 01:10:15.364]  Thank you for holding Hamilton.
[01:10:18.867 --> 01:10:23.208]  I'm so used to having the folks on the Daily Show go to the calls for me.
[01:10:23.208 --> 01:10:26.449]  I've got to shift back into the other gear.
[01:10:26.449 --> 01:10:30.349]  Let's go ahead and go to Hamilton.
[01:10:30.349 --> 01:10:32.110]  You're on the air, Hamilton.
[01:10:32.110 --> 01:10:33.050]  Hey, Alex.
[01:10:33.050 --> 01:10:34.650]  Interesting times we're living in.
[01:10:34.650 --> 01:10:35.050]  Yes, sir.
[01:10:35.050 --> 01:10:36.571]  What's on your mind?
[01:10:36.571 --> 01:10:38.451]  Well, it's a computer thing.
[01:10:38.451 --> 01:10:42.492]  I'm sure everyone listening wants their computer to obey them and not someone else.
[01:10:43.686 --> 01:10:49.427]  I want to alert your listeners to something called a TPM chip, which is a Trusted Computing Module.
[01:10:49.427 --> 01:10:50.928]  Have you heard of this, Everett?
[01:10:50.928 --> 01:10:58.670]  I know there's a lot of stuff coming with them, Standard, that tracks and controls and lets Microsoft dial in and download, and it's all loving.
[01:10:58.670 --> 01:11:07.292]  Oh yeah, look, it's developed by an organization called the Trusted Computing Platform Alliance, and it was originally codenamed Palladium by Microsoft.
[01:11:07.995 --> 01:11:14.940]  It's already in many computer motherboards since 2006, and game consoles already use systems like this to prevent running unauthorized games.
[01:11:14.940 --> 01:11:22.786]  Hey, Google announced two years ago, uh, that they're using the cameras on all the new computers to watch you, and I say it and people don't believe me.
[01:11:22.786 --> 01:11:24.427]  You can't make this stuff up!
[01:11:24.427 --> 01:11:26.209]  But I guess that's not my brother.
[01:11:26.209 --> 01:11:27.950]  It's like from science fiction or something.
[01:11:27.950 --> 01:11:30.272]  Well anyway, this is gonna be- Everything's wonderful, the coffins are good, go ahead.
[01:11:30.856 --> 01:11:33.240]  This is going to be marketed as a security feature.
[01:11:33.240 --> 01:11:37.646]  They'll say it's going to keep you safe.
[01:11:37.646 --> 01:11:42.874]  It's like thumb scanning, but Microsoft said eight years ago when the Feds asked them to do it, they wanted to phase it in by 06.
[01:11:42.874 --> 01:11:43.835]  People don't want it.
[01:11:43.835 --> 01:11:46.720]  But notice a lot of the new keyboards have a thumb printer or a finger access.
[01:11:51.541 --> 01:11:54.382]  No, I've got the Homeland Security info right here.
[01:11:54.382 --> 01:12:02.145]  That is actually for the new law they want to pass to make a database where you log on to track everything you do on the web.
[01:12:02.145 --> 01:12:03.005]  For the children.
[01:12:04.022 --> 01:12:06.963]  And Trusted Computing, this thing is called Trusted Computing.
[01:12:06.963 --> 01:12:08.064]  No, it's Trusted.
[01:12:08.064 --> 01:12:09.684]  It's like Homeland Security.
[01:12:09.684 --> 01:12:10.745]  I mean, all these names.
