[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[02:13:52.000 --> 02:13:54.000]  When you write, then you fight.
[02:13:54.000 --> 02:13:55.000]  You challenge it.
[02:13:55.000 --> 02:13:56.000]  You come to the table.
[02:13:56.000 --> 02:13:57.000]  That's right.
[02:13:57.000 --> 02:13:59.000]  I'm not talking about fighting the streets.
[02:13:59.000 --> 02:14:01.000]  I'm not talking about burn down communities.
[02:14:01.000 --> 02:14:03.000]  Come to the table and let's get this right.
[02:14:03.000 --> 02:14:06.000]  And we'll give Mark Zuckerberg the opportunity to get it right.
[02:14:06.000 --> 02:14:07.000]  That's right.
[02:14:07.000 --> 02:14:09.000]  But he got to make sure that it's fair and square.
[02:14:09.000 --> 02:14:15.000]  He has, if you want to claim that Facebook is a private organization, we can't tell him
[02:14:15.000 --> 02:14:17.000]  what to do, but you open to the public.
[02:14:17.000 --> 02:14:18.000]  That's right.
[02:14:18.000 --> 02:14:20.000]  And when you open to the public, you can't discriminate.
[02:14:20.000 --> 02:14:22.000]  You can't be one sided.
[02:14:22.000 --> 02:14:25.000]  You have to be fair and balanced all the way across the board.
[02:14:25.000 --> 02:14:26.000]  That's right.
[02:14:26.000 --> 02:14:28.000]  So we're going to give him the opportunity to do that.
[02:14:28.000 --> 02:14:32.000]  I don't want to run for Facebook because I built my following right there.
[02:14:32.000 --> 02:14:33.000]  That's right.
[02:14:33.000 --> 02:14:37.000]  1.4 million followers right there on Facebook, one person at a time.
[02:14:37.000 --> 02:14:42.000]  So I'm going to stay right there and I'm asking everybody to go like and follow our page.
[02:14:42.000 --> 02:14:44.000]  Facebook is going to get this right.
[02:14:44.000 --> 02:14:45.000]  That's right.
[02:14:45.000 --> 02:14:46.000]  And if they don't, go ahead.
[02:14:46.000 --> 02:14:47.000]  I'm sorry.
[02:14:47.000 --> 02:14:48.000]  Go ahead.
[02:14:48.000 --> 02:14:49.000]  I'm about to go there, but go ahead.
[02:14:49.000 --> 02:14:50.000]  You go ahead.
[02:14:50.000 --> 02:14:53.000]  But if he do not get it right, he will be the face without the book or the book without
[02:14:53.000 --> 02:14:56.000]  the pages, and we're going to continue to call him out.
[02:14:56.000 --> 02:14:57.000]  That's right.
[02:14:57.000 --> 02:14:58.000]  That's right.
[02:14:58.000 --> 02:15:01.000]  So what he need to do is go back and fix all of this.
[02:15:01.000 --> 02:15:02.000]  That's right.
[02:15:02.000 --> 02:15:07.240]  What he can do, since Facebook uses the artificial intelligence to try to silence people like
[02:15:07.240 --> 02:15:12.360]  Diamond and Silk and keep their channel from reaching its full potential, we have to use
[02:15:12.360 --> 02:15:17.000]  our human intelligence and share it, share Diamond and Silk videos, share their Facebook
[02:15:17.000 --> 02:15:18.000]  page.
[02:15:18.000 --> 02:15:21.680]  Tell your friends to subscribe because the artificial intelligence is trying to silence
[02:15:21.680 --> 02:15:22.680]  them.
[02:15:22.680 --> 02:15:27.440]  The only chance that we have is to use our human intelligence to actually get them to
[02:15:27.440 --> 02:15:28.680]  their full potential.
[02:15:28.680 --> 02:15:31.920]  So we've got one more segment with Diamond and Silk on the other side again.
[02:15:31.920 --> 02:15:33.800]  They get censored from Facebook.
[02:15:33.800 --> 02:15:36.240]  They're deemed unsafe for the community.
[02:15:36.240 --> 02:15:37.960]  Why are they unsafe for the community?
[02:15:37.960 --> 02:15:42.920]  Because Facebook is trying to social engineer a community to be brainwashed into liberal
[02:15:42.920 --> 02:15:43.920]  policies.
[02:15:43.920 --> 02:15:48.360]  And if you have Diamond and Silk on Facebook, that's unsafe to the community that they're
[02:15:48.360 --> 02:15:49.600]  trying to socially engineer.
[02:15:49.600 --> 02:15:51.200]  We'll be right back with Diamond and Silk.
[02:15:51.200 --> 02:15:55.360]  Don't go anywhere.
[02:15:55.360 --> 02:15:57.520]  You have been lied to.
[02:15:57.520 --> 02:15:59.120]  My name is Kevin Ship.
[02:15:59.120 --> 02:16:02.240]  I'm a former decorated CIA officer.
[02:16:02.240 --> 02:16:06.000]  Finally someone has come out and written what I think is the best ex-Mose on the shadow
[02:16:06.000 --> 02:16:07.000]  government ever.
[02:16:07.000 --> 02:16:12.600]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[02:16:12.600 --> 02:16:15.880]  We've got to get this out because just because you're awake, folks, doesn't mean other people
[02:16:15.880 --> 02:16:16.880]  are.
[02:16:16.880 --> 02:16:19.720]  This is critical to get, to read, to give them a library, to give them a church, to get
[02:16:19.720 --> 02:16:22.360]  them right now at killingunclesambook.com.
[02:16:22.360 --> 02:16:24.640]  Killingunclesambook.com.
[02:16:24.640 --> 02:16:26.240]  Fully cooked, ready to eat bacon.
[02:16:26.240 --> 02:16:31.080]  I'm talking thick meaty, center cut, presidential bacon, savory and delicious.
[02:16:31.080 --> 02:16:32.080]  I buy some.
[02:16:32.080 --> 02:16:33.080]  I use some.
[02:16:33.080 --> 02:16:34.080]  I store some.
[02:16:34.080 --> 02:16:35.080]  Awesome.
[02:16:35.080 --> 02:16:39.680]  No refrigeration needed with a 10-year shelf life NASA pack technology.
[02:16:39.680 --> 02:16:40.680]  Bacon.
[02:16:40.680 --> 02:16:45.720]  Fully cooked, fully hydrated, ready to eat right from the pack bacon or warm and served.
[02:16:45.720 --> 02:16:47.680]  Life saving, ready to eat bacon.
[02:16:47.680 --> 02:16:49.480]  10-year shelf life bacon.
[02:16:49.480 --> 02:16:52.520]  Ships free at fullycookedbacon.com.
[02:16:52.520 --> 02:16:53.520]  Fullycookedbacon.com.
[02:16:53.520 --> 02:16:56.520]  Hear that?
[02:16:56.520 --> 02:17:01.520]  That's the sound of a house being trashed while a gang of thieves ransacked the place.
[02:17:01.520 --> 02:17:04.480]  And what they don't steal will be destroyed.
[02:17:04.480 --> 02:17:08.000]  This year, resolve not to be the next victim of a break-in.
[02:17:08.000 --> 02:17:13.160]  Go to faketv.com and discover a device that creates the illusion someone inside is watching
[02:17:13.160 --> 02:17:15.920]  TV, even when you're miles away.
[02:17:15.920 --> 02:17:17.120]  Security is a mindset.
[02:17:17.120 --> 02:17:20.120]  And fake TV should be part of your security solution.
[02:17:20.120 --> 02:17:22.640]  Be vigilant, but not fearful.
[02:17:22.640 --> 02:17:24.560]  Go to faketv.com.
[02:17:24.560 --> 02:17:29.280]  Water is the single most important thing your body needs, so you want to be sure it's the
[02:17:29.280 --> 02:17:31.520]  best for you and your family.
[02:17:31.520 --> 02:17:35.640]  Since 2005, thousands have depended on Berkey purified water.
[02:17:35.640 --> 02:17:40.400]  The Berkey guy provides the lowest price filtration systems in every size.
[02:17:40.400 --> 02:17:46.000]  For incredibly delicious water now and in an emergency, get to goberkey.com.
[02:17:46.000 --> 02:17:53.920]  Or call 877-886-3653, 877-886-3653, goberkey.com.
[02:18:16.000 --> 02:18:18.680]  No asses that your body absolutely needs.
[02:18:18.680 --> 02:18:23.120]  In the history of Empower's life, we've brought out a lot of amazing products like Survival
[02:18:23.120 --> 02:18:28.160]  Shield X2, SuperMail Vitality and so many others, with its unique delivery system and
[02:18:28.160 --> 02:18:32.360]  proprietary manufacturing process designed for maximized effects.
[02:18:32.360 --> 02:18:38.800]  This formula is the platinum standard of multivitamin mineral products, and this part is most important.
[02:18:38.800 --> 02:18:44.040]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest
[02:18:44.040 --> 02:18:45.720]  quality lab standard.
[02:18:45.720 --> 02:18:49.720]  That means it's clean, that means it's pure, and res-secured, you're finding the tip of
[02:18:49.720 --> 02:18:50.720]  the spear in the Empower.
[02:18:50.720 --> 02:18:53.960]  That's Empower'sLives.com and vitamin mineral fusion.
[02:18:53.960 --> 02:18:56.120]  Take action now before we sell out.
[02:18:56.120 --> 02:19:00.480]  We've taken thousands of years of known research and put it together with our own four years
[02:19:00.480 --> 02:19:05.200]  of seeking and testing to find the very best systems that God gave us through Mother Nature
[02:19:05.200 --> 02:19:06.720]  to detoxify the body.
[02:19:06.720 --> 02:19:11.600]  That's why I'm introducing Z Shield, Toxic Metal and Chemical Defense Support.
[02:19:11.600 --> 02:19:16.800]  It's made in the USA, it's filled with known compounds from nature that are absolutely
[02:19:16.800 --> 02:19:19.840]  associated with detoxifying the body and it supports the Empower.
[02:19:19.840 --> 02:19:22.120]  It is a classical 360 win.
[02:19:22.120 --> 02:19:26.600]  This is the formula that I personally have been taking for over a year, and now we believe
[02:19:26.600 --> 02:19:31.280]  we have come as close to perfection when it comes to a detoxifier as you can possibly
[02:19:31.280 --> 02:19:32.280]  get.
[02:19:32.280 --> 02:19:35.480]  You owe it to yourself, you owe it to your family, and you owe it to the future of this
[02:19:35.480 --> 02:19:40.520]  country and the world that patriots stay as healthy and as clean and as focused as you
[02:19:40.520 --> 02:19:45.720]  can be because we need you, the remnant of America, to reignite those brush fires the
[02:19:45.720 --> 02:19:49.560]  next level and to be healthy and as focused as you can be thanks to your support and your
[02:19:49.560 --> 02:19:50.560]  prayers together.
[02:19:50.560 --> 02:19:51.560]  We're changing the world.
[02:19:51.560 --> 02:19:59.440]  Now it's time to change our bodies with Z Shield and Empower'sLives.com.
[02:19:59.440 --> 02:20:19.280]  We're listening to the Alex Jones Show.
[02:20:19.280 --> 02:20:20.600]  Welcome back to the Alex Jones Show.
[02:20:20.600 --> 02:20:22.520]  Owen Schreuer sitting in for Alex today.
[02:20:22.520 --> 02:20:28.320]  He returns tomorrow as we launch our 34 hour live emergency broadcast.
[02:20:28.320 --> 02:20:34.400]  And this is, in one aspect, an emergency broadcast dealing with the attack on free speech, which
[02:20:34.400 --> 02:20:37.560]  Diamond and Silk are dealing with firsthand right now.
[02:20:37.560 --> 02:20:42.600]  They were deemed unsafe to the community on Facebook.
[02:20:42.600 --> 02:20:43.600]  Just ridiculous.
[02:20:43.600 --> 02:20:46.560]  I mean, they're unsafe to the community.
[02:20:46.560 --> 02:20:49.680]  Kathie Lee Griffin can depict herself decapitating Trump.
[02:20:49.680 --> 02:20:50.680]  That's cool.
[02:20:50.680 --> 02:20:52.960]  Snoop Dogg can depict himself shooting Trump in the head.
[02:20:52.960 --> 02:20:55.160]  No problem there.
[02:20:55.160 --> 02:20:59.240]  They can threaten Trump with the security agencies and the intelligence agencies.
[02:20:59.240 --> 02:21:00.240]  That's all good.
[02:21:00.240 --> 02:21:04.720]  That's not unsafe to the community, spreading false narratives about chemical attacks in
[02:21:04.720 --> 02:21:06.280]  Syria to lead us to World War III.
[02:21:06.280 --> 02:21:07.840]  That's not unsafe to the community.
[02:21:07.840 --> 02:21:15.240]  But Diamond and Silk just having an opinion and existing is unsafe to the Facebook community.
[02:21:15.240 --> 02:21:18.480]  And then Zuckerberg today says it was an enforcement error.
[02:21:18.480 --> 02:21:20.320]  So guys, I'm just curious.
[02:21:20.320 --> 02:21:26.280]  What is Facebook officially said to you about why you're considered unsafe to the community?
[02:21:26.280 --> 02:21:31.480]  What reasons or quotes or videos or anything did they give to you to say, hey, look, you're
[02:21:31.480 --> 02:21:32.480]  unsafe to the community.
[02:21:32.480 --> 02:21:33.760]  We have to censor you.
[02:21:33.760 --> 02:21:35.960]  Did they give you anything?
[02:21:35.960 --> 02:21:38.320]  They have not communicated with us.
[02:21:38.320 --> 02:21:44.480]  They have been spoken to us by phone about the reasoning that our content and our brand
[02:21:44.480 --> 02:21:45.480]  is unsafe.
[02:21:45.480 --> 02:21:46.480]  That's right.
[02:21:46.480 --> 02:21:47.480]  Period.
[02:21:47.480 --> 02:21:51.320]  It's putting out this statement that they reached out to us directly.
[02:21:51.320 --> 02:21:52.320]  That's a lie.
[02:21:52.320 --> 02:21:53.320]  They have not.
[02:21:53.320 --> 02:22:01.200]  Even before doing this to our page, even before they did it in September 7, 2017, no warning,
[02:22:01.200 --> 02:22:02.200]  no nothing.
[02:22:02.200 --> 02:22:06.800]  They just, we woke up one morning and our page was partially down.
[02:22:06.800 --> 02:22:08.800]  We didn't know what was going on.
[02:22:08.800 --> 02:22:13.200]  We chatted with somebody about eight hours later, our page came back up.
[02:22:13.200 --> 02:22:17.200]  And then after that, everything to reach, everything just went haywire.
[02:22:17.200 --> 02:22:18.200]  Right.
[02:22:18.200 --> 02:22:19.200]  Wait.
[02:22:19.200 --> 02:22:23.880]  So you're telling me that not only has Facebook censored you, but they've also lied about
[02:22:23.880 --> 02:22:24.880]  it?
[02:22:24.880 --> 02:22:25.880]  That's right.
[02:22:25.880 --> 02:22:26.880]  Right.
[02:22:26.880 --> 02:22:31.240]  They keep saying that they've been in communication with Diamond and Silk.
[02:22:31.240 --> 02:22:35.520]  They have not been in communication with Diamond and Silk directly with Diamond and Silk.
[02:22:35.520 --> 02:22:37.880]  We haven't received an email or a phone call.
[02:22:37.880 --> 02:22:39.720]  We haven't talked to these people on the phone.
[02:22:39.720 --> 02:22:41.720]  We had to talk to Mark Zuckerberg.
[02:22:41.720 --> 02:22:42.720]  None of that.
[02:22:42.720 --> 02:22:43.720]  So that, that's not true.
[02:22:43.720 --> 02:22:44.720]  Right.
[02:22:44.720 --> 02:22:48.440]  To me, that tells me, to me, that tells me they don't care about you.
[02:22:48.440 --> 02:22:54.400]  Here you are, millions of audience members on Facebook, huge impact, get wrongly censored
[02:22:54.400 --> 02:22:55.400]  according to himself.
[02:22:55.400 --> 02:22:56.400]  He admits it.
[02:22:56.400 --> 02:22:58.640]  He said today it was an enforcement error.
[02:22:58.640 --> 02:23:00.000]  So he admits it today.
[02:23:00.000 --> 02:23:02.400]  He says we wrongly censored them.
[02:23:02.400 --> 02:23:03.400]  This is not right.
[02:23:03.400 --> 02:23:06.400]  They shouldn't have been deemed unsafe to community, yet they lied about reaching out
[02:23:06.400 --> 02:23:07.400]  to you.
[02:23:07.400 --> 02:23:10.220]  They haven't done anything to return you to your normal status.
[02:23:10.220 --> 02:23:13.320]  To me, that tells me that they don't care about you.
[02:23:13.320 --> 02:23:14.320]  That's right.
[02:23:14.320 --> 02:23:18.800]  They complain from people that can't even like our page, can't follow our page, can't
[02:23:18.800 --> 02:23:23.880]  comment on our page, can't find our page or did not even see their page, our page in
[02:23:23.880 --> 02:23:24.880]  their news feed.
[02:23:24.880 --> 02:23:25.880]  Right.
[02:23:25.880 --> 02:23:29.720]  But you got other people on the left now that's got millions of followers like that, but they
[02:23:29.720 --> 02:23:31.120]  people can reach their pages.
[02:23:31.120 --> 02:23:32.120]  That's right.
[02:23:32.120 --> 02:23:36.280]  So yes, take, remove these algorithms or all of this little bias, these little tactics
[02:23:36.280 --> 02:23:41.080]  off of our page so that our page will be back to where it used to be, where people can
[02:23:41.080 --> 02:23:42.680]  see and view our content.
[02:23:42.680 --> 02:23:43.880]  That's right.
[02:23:43.880 --> 02:23:49.400]  Do you believe Mark Zuckerberg, when he says the censorship against you was an enforcement
[02:23:49.400 --> 02:23:50.400]  error?
[02:23:50.400 --> 02:23:52.400]  No, I do not.
[02:23:52.400 --> 02:23:58.040]  No, no, no, no, no, keep in mind, we've been back and forth with Facebook for six months,
[02:23:58.040 --> 02:24:01.880]  29 days, five hours, 40 minutes and 43 seconds.
[02:24:01.880 --> 02:24:02.880]  Right.
[02:24:02.880 --> 02:24:03.880]  Back and forth.
[02:24:03.880 --> 02:24:04.880]  We have emails.
[02:24:04.880 --> 02:24:05.880]  We have chats.
[02:24:05.880 --> 02:24:09.840]  Well, we've been back and forth about these different issues that's been going on on our
[02:24:09.840 --> 02:24:10.840]  page.
[02:24:10.840 --> 02:24:11.840]  That's right.
[02:24:11.840 --> 02:24:15.800]  We've been pushed to the side, told this, told that, well, we got to deal with the tech
[02:24:15.800 --> 02:24:17.080]  support team.
[02:24:17.080 --> 02:24:20.880]  We don't know where there's been no restrictions on your page.
[02:24:20.880 --> 02:24:23.440]  We don't see anything wrong with your page.
[02:24:23.440 --> 02:24:24.440]  Check your settings.
[02:24:24.440 --> 02:24:30.640]  It's been like that back and forth for almost for almost seven months, right?
[02:24:30.640 --> 02:24:39.440]  Have you heard or had any outreach from the ACLU or the NAACP?
[02:24:39.440 --> 02:24:40.440]  We're Trump supporters.
[02:24:40.440 --> 02:24:41.440]  That's right.
[02:24:41.440 --> 02:24:46.760]  The ACLU, they would prefer to go and make sure the KKK have a voice instead of people
[02:24:46.760 --> 02:24:48.560]  like us.
[02:24:48.560 --> 02:24:51.920]  So nothing from the civil rights attorneys at the ACLU?
[02:24:51.920 --> 02:24:54.920]  No, absolutely nothing.
[02:24:54.920 --> 02:24:55.920]  Absolutely nothing.
[02:24:55.920 --> 02:24:59.120]  See, this is the thing that we're talking about.
[02:24:59.120 --> 02:25:00.560]  Discrimination is wrong.
[02:25:00.560 --> 02:25:02.160]  I don't care where it's coming from.
[02:25:02.160 --> 02:25:03.160]  That's right.
[02:25:03.160 --> 02:25:05.920]  And what I find appalling is this is how the left do things.
[02:25:05.920 --> 02:25:07.840]  They take in everything.
[02:25:07.840 --> 02:25:10.120]  If you are conservative, you're racist.
[02:25:10.120 --> 02:25:11.680]  If you are that, you're discriminated.
[02:25:11.680 --> 02:25:13.720]  If you're Republican, you're discriminating.
[02:25:13.720 --> 02:25:15.000]  This is what they do.
[02:25:15.000 --> 02:25:17.160]  But now let's fit this here.
[02:25:17.160 --> 02:25:21.800]  Now you have two black conservative women who are Republicans who support the president.
[02:25:21.800 --> 02:25:22.800]  That's right.
[02:25:22.800 --> 02:25:29.120]  But you have a white liberal who owns this platform discriminating against two people
[02:25:29.120 --> 02:25:30.120]  of color.
[02:25:30.120 --> 02:25:34.840]  And I want them to see the hypocrisy here about don't point the finger at conservatives
[02:25:34.840 --> 02:25:35.840]  and Republicans.
[02:25:35.840 --> 02:25:37.240]  Let's look at what's happening here.
[02:25:37.240 --> 02:25:38.240]  That's right.
[02:25:38.240 --> 02:25:43.040]  I don't care what nobody say, we were discriminated against when you deem our brand, which is
[02:25:43.040 --> 02:25:46.520]  two women, when you deem us unsafe to the community.
[02:25:46.520 --> 02:25:51.040]  You tarnished and you branded us and you painted us into something because you thought we was
[02:25:51.040 --> 02:25:53.240]  going to go somewhere and sit down.
[02:25:53.240 --> 02:25:57.040]  And Mark Zuckerberg, he's obtained the American dream.
[02:25:57.040 --> 02:26:00.160]  Diamond and silk, we are obtaining the American dream.
[02:26:00.160 --> 02:26:05.360]  But for someone to come and pour the rug from underneath you, tell you to bring yourself
[02:26:05.360 --> 02:26:06.360]  up.
[02:26:06.360 --> 02:26:10.600]  Let this here happen, and then when you start making it happen, they try to kick you back
[02:26:10.600 --> 02:26:13.080]  down and put their foot on your neck.
[02:26:13.080 --> 02:26:14.480]  That's basically what happened.
[02:26:14.480 --> 02:26:20.120]  And not just Facebook, even down to YouTube, demonetizing our videos, saying that it's
[02:26:20.120 --> 02:26:26.040]  not suitable for all advertising and then labeling it as hate speech.
[02:26:26.040 --> 02:26:29.920]  To me, you have an open and shut case of discrimination here.
[02:26:29.920 --> 02:26:34.800]  Facebook has not offered you even a whim of evidence of why they deemed you unsafe to
[02:26:34.800 --> 02:26:35.800]  the community.
[02:26:35.800 --> 02:26:38.440]  They proved that they don't care about you by saying it's an enforcement error, but
[02:26:38.440 --> 02:26:41.520]  yet not reaching out to you and then lying about it.
[02:26:41.520 --> 02:26:47.000]  And you're telling me still with all of this going on, the NAACP has no interest in protecting
[02:26:47.000 --> 02:26:48.520]  your guys' rights.
[02:26:48.520 --> 02:26:50.000]  Absolutely not.
[02:26:50.000 --> 02:26:51.520]  Absolutely not.
[02:26:51.520 --> 02:26:53.520]  But that's okay because we can fight for ourselves.
[02:26:53.520 --> 02:26:54.520]  That's right.
[02:26:54.520 --> 02:26:55.520]  When I'm right, I will fight.
[02:26:55.520 --> 02:26:56.520]  I will challenge it.
[02:26:56.520 --> 02:26:58.080]  You're going to have to explain some things to me.
[02:26:58.080 --> 02:27:01.240]  So Mark Zuckerberg, we're going to have to sit down, he's going to have to explain some
[02:27:01.240 --> 02:27:02.240]  things.
[02:27:02.240 --> 02:27:03.240]  Oh, yes.
[02:27:03.240 --> 02:27:05.280]  He's going to have to explain why do he deem us two black women?
[02:27:05.280 --> 02:27:06.280]  That's right.
[02:27:06.280 --> 02:27:07.880]  Who support our president and love him?
[02:27:07.880 --> 02:27:11.000]  Why do he deem us unsafe to the community?
[02:27:11.000 --> 02:27:12.760]  He's going to have to come to our table.
[02:27:12.760 --> 02:27:13.760]  That's right.
[02:27:13.760 --> 02:27:18.200]  Now, are you guys planning any litigation or legal action against this?
[02:27:18.200 --> 02:27:20.600]  Are you just going to continue to fight it in the media?
[02:27:20.600 --> 02:27:25.560]  I can't, I don't know what's going, I can't focus on what I'm going to do moving forward
[02:27:25.560 --> 02:27:29.320]  because I'm so stuck on us being deemed unsafe.
[02:27:29.320 --> 02:27:33.520]  That is, that's time, that's taking somebody and you just demean them.
[02:27:33.520 --> 02:27:37.520]  Yeah, you, you're going to have to get that right.
[02:27:37.520 --> 02:27:38.520]  That's right.
[02:27:38.520 --> 02:27:40.720]  Mark Zuckerberg is going to have to get it right.
[02:27:40.720 --> 02:27:45.280]  And I hope after these hearings, he go back and he make everything, make this right.
[02:27:45.280 --> 02:27:46.280]  He's going to have to.
[02:27:46.280 --> 02:27:47.280]  Because he's going to have to do it.
[02:27:47.280 --> 02:27:48.280]  He's going to have to do it.
[02:27:48.280 --> 02:27:49.280]  It's around the world and it's even right here now.
[02:27:49.280 --> 02:27:50.280]  In our community.
[02:27:50.280 --> 02:27:51.280]  In our community.
[02:27:51.280 --> 02:27:52.280]  Right.
[02:27:52.280 --> 02:27:53.280]  Back here at our home.
[02:27:53.280 --> 02:27:54.280]  Well, that's it.
[02:27:54.280 --> 02:27:57.480]  I mean, Mark Zuckerberg, he's allowed to get the American dream, make billions of dollars,
[02:27:57.480 --> 02:27:59.040]  sell all your personal information.
[02:27:59.040 --> 02:28:03.480]  But Diamond and Silk, no, they are not allowed to have the American dream.
[02:28:03.480 --> 02:28:06.080]  We need to pull the route, rug out from under them and censor them.
[02:28:06.080 --> 02:28:10.440]  They're a threat to the community and I'm going to, I'm a good white liberal and I'm
[02:28:10.440 --> 02:28:14.760]  going to dehumanize them and say they're unsafe to the community and you get nothing
[02:28:14.760 --> 02:28:18.560]  from the ACLU, nothing from the NAACP, nothing from Facebook.
[02:28:18.560 --> 02:28:20.640]  Ladies, thank you for joining me today.
[02:28:20.640 --> 02:28:23.000]  Final 30 seconds parting words for our audience.
[02:28:23.000 --> 02:28:27.760]  Listen, you are, if you are being censored and if you know you right, then you're going
[02:28:27.760 --> 02:28:28.760]  to have to fight.
[02:28:28.760 --> 02:28:33.200]  And when we stand here and when we're here and we're even fighting for our cause, we're
[02:28:33.200 --> 02:28:34.560]  fighting for you too.
[02:28:34.560 --> 02:28:39.640]  If you are a conservative, they move, their algorithms do need to be removed from your
[02:28:39.640 --> 02:28:42.000]  pages and that's what we're also fighting for.
[02:28:42.000 --> 02:28:43.280]  So we're in this together.
[02:28:43.280 --> 02:28:48.680]  And don't forget to go to diamondandsilk.com and visit our Chit Chat tour leak, go and
[02:28:48.680 --> 02:28:50.920]  see where we're going to be at, check us out.
[02:28:50.920 --> 02:28:52.440]  We want to see your face in the place.
[02:28:52.440 --> 02:28:53.440]  We love you guys.
[02:28:53.440 --> 02:28:54.440]  Hear that?
[02:28:54.440 --> 02:29:02.400]  That's the sound of a house being trashed while a gang of thieves ransacked the place.
[02:29:02.400 --> 02:29:05.360]  And what they don't steal will be destroyed.
[02:29:05.360 --> 02:29:08.880]  This year, resolve not to be the next victim of a break-in.
[02:29:08.880 --> 02:29:14.080]  Go to faketv.com and discover a device that creates the illusion someone inside is watching
[02:29:14.080 --> 02:29:16.800]  TV, even when you're miles away.
[02:29:16.800 --> 02:29:21.000]  Security is a mindset and fake TV should be part of your security solution.
[02:29:21.000 --> 02:29:25.720]  Be vigilant, but not fearful, faketv.com.
[02:29:25.720 --> 02:29:26.720]  Face it.
[02:29:26.720 --> 02:29:29.240]  Today's electric power grid is more vulnerable than ever.
[02:29:29.240 --> 02:29:33.800]  From natural disasters to EMP attacks and hacking, the grid could be crippled for days
[02:29:33.800 --> 02:29:36.640]  or even decades in the most dire scenarios.
[02:29:36.640 --> 02:29:41.640]  Visit quantumharvest.net to see our built-to-last EMP-protected solar power systems.
[02:29:41.640 --> 02:29:46.080]  While millions suffer, you'll have vital power for water pumps, refrigeration, and sanitation.
[02:29:46.080 --> 02:29:51.400]  Now that's peace of mind, EMP-protected solar power systems for every need and budget.
[02:29:51.400 --> 02:29:57.400]  See our full range at quantumharvest.net.
[02:29:57.400 --> 02:30:02.200]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[02:30:02.200 --> 02:30:06.200]  and a gift to the Info War to fight the globalist and limited free society.
[02:30:06.200 --> 02:30:12.520]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated
[02:30:12.520 --> 02:30:18.760]  over-the-top stamina, libido, workout brain formula that is safe.
[02:30:18.760 --> 02:30:22.960]  I know from using this myself the last few months and from seeing my friends and family
[02:30:22.960 --> 02:30:27.240]  use it that this new product is going to end up being the number one best-selling product
[02:30:27.240 --> 02:30:30.080]  at InfoWarsLife.com because it works so well.
[02:30:30.080 --> 02:30:33.560]  This is a gift you want to give yourself and then rest assured you're fighting the Info
[02:30:33.560 --> 02:30:38.320]  War so it's a total absolute sure-win, no-lose equation.
[02:30:38.320 --> 02:30:43.120]  Try alpha power exclusively available at InfoWarsLife.com for yourself.
[02:30:43.120 --> 02:30:44.960]  Ladies and gentlemen, it's non-GMO.
[02:30:44.960 --> 02:30:45.960]  It's for your brain.
[02:30:45.960 --> 02:30:46.960]  It's for sports.
[02:30:46.960 --> 02:30:47.960]  It's for activities.
[02:30:47.960 --> 02:30:48.960]  And it's made in the U.S.
[02:30:48.960 --> 02:30:49.960]  Day.
[02:30:49.960 --> 02:30:52.440]  Get your alpha power today at InfoWarsLife.com.
[02:30:52.440 --> 02:30:56.280]  Everybody needs to try alpha power today.
[02:30:56.280 --> 02:31:01.800]  You know if I tried to sit here and tell you about the 60-plus products, we have it InfoWarsLife.
[02:31:01.800 --> 02:31:02.800]  It'd take hours.
[02:31:02.800 --> 02:31:05.160]  Michael ZX Plus now has a lower price.
[02:31:05.160 --> 02:31:06.320]  It's stronger.
[02:31:06.320 --> 02:31:07.880]  It's the other equation in probiotics.
[02:31:07.880 --> 02:31:11.160]  It knocks out the yeast, the mold, the candida.
[02:31:11.160 --> 02:31:12.160]  It's back in stock.
[02:31:12.160 --> 02:31:15.440]  The real red pill, it's been sold out for months.
[02:31:15.440 --> 02:31:18.880]  It's got the pregluenone that's the precursor to all the natural hormones in your body.
[02:31:18.880 --> 02:31:23.240]  Then it's got all the minerals and the vitamins, the amino acids so you can upload it.
[02:31:23.240 --> 02:31:28.280]  Our latest product that goes great with the super blue colloidal silver and iodine fortified
[02:31:28.280 --> 02:31:33.240]  toothpaste is super blue silver immune gargle that's a spray you do.
[02:31:33.240 --> 02:31:34.640]  You can also swallow it.
[02:31:34.640 --> 02:31:40.120]  It's a supplement with iodine, super high quality silver, and a lot more.
[02:31:40.120 --> 02:31:41.320]  Without you, we couldn't do it.
[02:31:41.320 --> 02:31:47.080]  So thank you all for remembering InfoWarsLife.com and remembering that it's not just you that's
[02:31:47.080 --> 02:31:50.520]  already awake, but it's other people that aren't awake and it's so essential to spread
[02:31:50.520 --> 02:31:51.520]  the word.
[02:31:51.520 --> 02:31:56.120]  So thank you so much for being part of the Second American Revolution.
[02:31:56.120 --> 02:32:01.560]  InfoWarsLife Brainforce Plus is our number one selling product by leaps and bounds and
[02:32:01.560 --> 02:32:02.560]  for a good reason.
[02:32:02.560 --> 02:32:06.360]  Going back about five years ago, we did research on what top selling new tropics were, what
[02:32:06.360 --> 02:32:10.880]  were most popular, what were best, what people liked, and we made it even stronger.
