[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[01:48:00.000 --> 01:48:10.000]  But I want to go to a few of these clips. Like I mentioned, Wyoming GOP offices set on fire less than two days after opening. Police say it was intentional.
[01:48:10.000 --> 01:48:17.000]  And that ties into Secret Service wants to talk with actress Carol Cook over assassination comment.
[01:48:17.000 --> 01:48:30.000]  CNN refuses to report on attempted stabbing attack on Republican candidate by Democrat screaming F Trump over and over again. And the person running for Congress had to fight him off with a yard sign. The police actually witnessed this.
[01:48:30.000 --> 01:48:38.000]  But the media is not reporting on it. The establishment media. And you look at these guys, they always look like they escaped from mental institutions.
[01:48:38.000 --> 01:48:51.000]  They're like, why are liberals when you go to one of their rallies so ugly and so crazy looking? I mean, I'm sorry. Liberals are low IQ and stupid and ugly and on average.
[01:48:51.000 --> 01:49:01.000]  And or they're a uppercast that kind of feeds on the idiots below them. And they've got studies out where they're what? There's a bunch of different studies show different numbers, but they're all similar.
[01:49:01.000 --> 01:49:17.000]  Nine times more likely to steal. Nine times more likely to virtue signal and not give to charity. But they'll tell you nine times more often that they're giving money to people.
[01:49:17.000 --> 01:49:21.000]  They're children. They're mentally ill, in my view. So there you go.
[01:49:21.000 --> 01:49:33.000]  F Trump Farzad Fazili attempts to stab GOP House candidate. So isn't that just precious? Scalise warned some on the left are inciting violence.
[01:49:33.000 --> 01:49:46.000]  You have big putrid blue wave of violence and intimidation. It's getting crazy. And we've got plans for mass shootings and the police trying to find who's threatening to mass shoot at the Trump Tower.
[01:49:46.000 --> 01:50:00.000]  And at the Trump Hotel there in DC, it's getting crazier and crazier. And what are they going to do with 55 days out? What are they going to do as all of this begins to unfold?
[01:50:00.000 --> 01:50:10.000]  How bad is it going to get DC police respond to mass shooting threat at event in Trump Hotel? I mean, who are these people?
[01:50:10.000 --> 01:50:19.000]  Threats of rape and strangling forced DC McAllister into hiding after anti-abortion tweet. People threatened to come to her house and kill her and rape her.
[01:50:19.000 --> 01:50:27.000]  Why? Because their whole reality is running her life. The left are control freaks.
[01:50:27.000 --> 01:50:43.000]  I remember when I was moving out of the house when I was 18 and my mom had bought some Oreo rugs and I've been out of high school about two months. I had a job and I was going to college and I was sitting there telling my mom, I don't like these rugs and I don't like the food you've been getting.
[01:50:43.000 --> 01:50:57.000]  She looked at my dad, she goes, David, get him an apartment now. Get his ass out of here. My mom's real nice, but it was that kick me out of the nest thing. She was also mad because I was bringing my girlfriends into the house and one of them I think hit on my dad in front of her.
[01:50:57.000 --> 01:51:13.000]  I forgot that part. I forgot Cindy. Cindy hit on my dad. She was quite a girl. Anyways, yeah, that was the real reason. That was about a day before. But then I'm telling my mom about the rugs and how she's getting the wrong couches because they moved to a new house.
[01:51:13.000 --> 01:51:28.000]  And I was bitching and I had the smallest bedroom because they were building another house. It was a smaller house. They were renting and she just said, you know, get out. And so that's how the left is, is they want to run everybody's life because they don't know how to do anything.
[01:51:28.000 --> 01:51:41.000]  They're all obsessed with those of us that have lives and are doing things and have children and they want to run our lives. They're like arrested development idiots. And so that's what it comes down to.
[01:51:41.000 --> 01:51:51.000]  This way to get thrown out of your house, have your girlfriend hit on your dad in front of your mom. Okay, anyways, let's continue with this clip.
[01:51:51.000 --> 01:51:58.000]  Castro Valley man accused of switchblade assault on GOP congressional candidate from KPIX 5 of CBS here in San Francisco.
[01:51:58.000 --> 01:52:05.000]  I'll know about the political war of words, but here in the East Bay, it got physical.
[01:52:05.000 --> 01:52:15.000]  He would have stabbed me. I mean, he had it out saying, I'm going to kill you, MF, or I'm going to kill you. And he was, you could see his thumb trying to get the knife out.
[01:52:15.000 --> 01:52:28.000]  Republican Rudy Peters is running for Congress. Over the weekend, he says he was threatened and attacked at his Republican booth at a fall festival in Castro Valley. He says it first started with verbal threats.
[01:52:28.000 --> 01:52:37.000]  He picks up the coffee cup to rear back to throw it at us. And I jump around the table. He throws the coffee cup and misses us. It hits the ground and breaks.
[01:52:37.000 --> 01:52:42.000]  So I come out and grab him and wrestle him and throw him down to the ground.
[01:52:42.000 --> 01:52:47.000]  He says that's when 35 year old Farzad Pazelli of Castro Valley pulled out a knife.
[01:52:47.000 --> 01:52:54.000]  He's screaming, I'll kill you, MF, or I'll kill you. I'll kill you. And he's kind of circling me trying to get the knife out.
[01:52:54.000 --> 01:53:00.000]  Farzad Pazelli are the facts that are quite serious, but this defendant also has a prior conviction for a 242.
[01:53:00.000 --> 01:53:12.000]  Pazelli made his first court appearance today in custody for possession of a switchblade and threatened to commit great bodily injury or death. But Pazelli's mother and attorneys say he is the victim.
[01:53:12.000 --> 01:53:24.000]  The client at this point was afraid for his life, afraid for his health and safety. And I believe that these ledges he pulls out a folded knife. Knife was never opened.
[01:53:24.000 --> 01:53:35.000]  Mr. Peters got physical first. Pazelli's mother was at the festival at a Democratic booth. She says she didn't see what happened, but she says she talked to her son before he was arrested.
[01:53:35.000 --> 01:53:42.000]  And he said that Mr. Peters had taken him by the shoulders and just shoved him down to the ground, and there was blood on him and blood on his shirt.
[01:53:42.000 --> 01:53:51.000]  Peters says when Pazelli took out a knife, he shielded himself by reaching for one of his election signs for protection. He says he never worried about his safety.
[01:53:51.000 --> 01:54:06.000]  Okay, that's good. So the Seahawks says, or Grendel's mother says that he was sweet. Meanwhile, do you know who the Republicans are running against? Swallowwell. Swallowswell is one of the biggest con artists in Congress.
[01:54:06.000 --> 01:54:16.000]  One of the slimyest little dirtbags. He went on Tucker Carlson, remember? And when Tucker said that Russia thing was fake, he said you are a Putin agent.
[01:54:16.000 --> 01:54:24.000]  Now you talk about swallowing lies. Swallowswell is an amazing individual. Speaking of that, an amazing individual who really is amazing.
[01:54:24.000 --> 01:54:30.000]  Congressman Scalise, some of the left are inciting violence. Yes, the sky is blue. Let's play that clip.
[01:54:30.000 --> 01:54:39.000]  And yet you've got some people on the left that just want to, this idea of resist and ignore the fact that he's president and they want to try to interrupt the ability for Congress to do its job.
[01:54:39.000 --> 01:54:46.000]  And then of course, you've gotten to where their death threats and literal attacks on lives and there's no place for it in our politics.
[01:54:46.000 --> 01:54:53.000]  And frankly, what I want to see is the left stand up against this. We were goaded into some of this stuff when Barack Obama was president.
[01:54:53.000 --> 01:55:02.000]  And we stood up against that kind of violence and we didn't resort to it. They are, and in fact some on the left are inciting that kind of violence.
[01:55:02.000 --> 01:55:05.000]  And frankly, they ought to be called out on it.
[01:55:05.000 --> 01:55:12.000]  And they ought to be arrested for it. I mean, this is out of control the way they lie about it. By the way, they attack everybody. It's crazy.
[01:55:12.000 --> 01:55:21.000]  Now that said, Eric Bolin coming up of CRTV and we're going to be covering a ton of news and it should be a heated discussion, a friendly discussion.
[01:55:21.000 --> 01:55:26.000]  Though he said he's going to beat me up on air. I'm joking. He's got the new book out, The Swamp.
[01:55:26.000 --> 01:55:29.000]  All I'm asking listeners to do is this.
[01:55:29.000 --> 01:55:36.000]  Yes, we have record listeners right now since we're totally banned on AM and FM and TV and info wars.com.
[01:55:36.000 --> 01:55:39.000]  But the globalists think it's a dead cat bounce.
[01:55:39.000 --> 01:55:50.000]  They think that after you kind of forget about this and move on, not letting us be on social media and stuff will shut us down.
[01:55:50.000 --> 01:55:53.000]  The problem is we were already 90% banned like other conservatives.
[01:55:53.000 --> 01:55:59.000]  So it already happened and they think we're idiots because Congress doesn't understand what's happening.
[01:55:59.000 --> 01:56:03.000]  So we'll get more into Trump executive action on social media censorship and blocked by insiders.
[01:56:03.000 --> 01:56:07.000]  DOJ said to investigate anti-conservative bias amongst social media giants.
[01:56:07.000 --> 01:56:14.000]  Some actions being taken, people now know it's a problem. We forced this issue out there. One reason I was banned.
[01:56:14.000 --> 01:56:20.000]  But it is a fight. And so that's why spreading the word about local stations you're on.
[01:56:20.000 --> 01:56:26.000]  And even if you're listening on a local station, an info wars is hard to promote on Twitter or Facebook.
[01:56:26.000 --> 01:56:36.000]  You can promote that local stations video feed or audio feed and say, hey, tune in to this lineup at two o'clock for verboten info.
[01:56:36.000 --> 01:56:40.000]  Just follow the link. And then their AI computers look for the name Alex Jones.
[01:56:40.000 --> 01:56:43.000]  They won't see that.
[01:56:43.000 --> 01:56:50.000]  And we've seen folks on Twitter even only just have a few hundred followers that are tweeting out local radio stations.
[01:56:50.000 --> 01:56:56.000]  We're on saying, hey, here is some really interesting information.
[01:56:56.000 --> 01:57:02.000]  Oh, here's some wonderful pro-democrat info. The computers then see that and push it.
[01:57:02.000 --> 01:57:07.000]  So on Twitter and Google say, oh, here's some fabulous blue wave info.
[01:57:07.000 --> 01:57:13.000]  Thank God Trump's about to be gone. And then you just send the link to the local TV radio station.
[01:57:13.000 --> 01:57:16.000]  Because it's AI watching and scanning all that.
[01:57:16.000 --> 01:57:21.000]  Don't forget, I didn't plug this hour. X2, the deeper of the crystal source iodine, the very best out there.
[01:57:21.000 --> 01:57:25.000]  Did I plug this hour? It's amazing. 25% off, even though we can't get it anymore.
[01:57:25.000 --> 01:57:28.000]  Hopefully we will down the rub. This is the last run. The contract's broken.
[01:57:28.000 --> 01:57:37.000]  Or survival show. It's amazing. Discover the good halogen versus the bad halogen. Discover why it's got 6,000 plus positive reviews, 98% review rate.
[01:57:37.000 --> 01:57:38.000]  And get it while you still can.
[01:57:38.000 --> 01:57:40.000]  infowarslife.com.
[01:57:40.000 --> 01:57:45.000]  infowarslife.com. And download the Android app. It hasn't been banned yet.
[01:57:49.000 --> 01:57:50.000]  Travis in Florida.
[01:57:50.000 --> 01:57:51.000]  Hey Alex, how you doing?
[01:57:51.000 --> 01:57:55.000]  You know, I'm really, the country's in deep trouble, but at least for fighting back, I'm getting persecuted hard.
[01:57:55.000 --> 01:58:00.000]  But, you know, it's good to be number two under attack. I'm the president. I'm in good company.
[01:58:00.000 --> 01:58:06.000]  And so I, my bones feel good. I feel close to my ancestors. I feel like I'm delivering.
[01:58:06.000 --> 01:58:08.000]  You're definitely, you're definitely right. There was the Patriot, though.
[01:58:08.000 --> 01:58:11.000]  I guess it is true. Truth is threes in the empire of lies.
[01:58:11.000 --> 01:58:13.000]  I want to thank you personally. I have Hashimoto's thyroiditis.
[01:58:13.000 --> 01:58:15.000]  Anyone who knows, like, a hypothyroidism condition.
[01:58:15.000 --> 01:58:18.000]  I currently, I mean, the product, like in its name.
[01:58:18.000 --> 01:58:25.000]  brain force x2. Plenium. The micro-DX, vitamin, mineral, fission, prostrate, the coffee, the chocolate, mushroom blend. Supermal vitality, alpha male.
[01:58:25.000 --> 01:58:27.000]  Let me tell you, it's given me my life back.
[01:58:27.000 --> 01:58:32.000]  Just taking the thyroid medicine alone is just not enough. Just having these products has made my life just back to normal.
[01:58:32.000 --> 01:58:37.000]  I'm working harder. I'm harder. I feel like I'm just unbelievable. Your products are amazing.
[01:58:37.000 --> 01:58:41.000]  They are the highest quality you're going to get out there. And that's what we will love them.
[01:58:41.000 --> 01:58:48.000]  Thank you for the support. God bless you. InfowarsStore.com. Take care, Travis.
[01:59:11.000 --> 01:59:21.000]  Extract plus peppering from black pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system and so much more.
[01:59:21.000 --> 01:59:26.000]  Regular turmeric root from the store only contains one to five percent of active ingredients.
[01:59:26.000 --> 01:59:31.000]  But our turmeric root extract contains over 95 percent of the active ingredients.
[01:59:31.000 --> 01:59:40.000]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm and thyme to work synergistically for full body support.
[01:59:40.000 --> 01:59:48.000]  Try bodies today at InfowarsLife.com or call us at 1-88-253-3139.
[02:00:11.000 --> 02:00:21.000]  All right. Another one of the political prisoners of the gulag of the mind, Eric Bowling, is going to be in studio with us.
[02:00:21.000 --> 02:00:27.000]  He's now with CRTV and all the great work they're doing over there, ericbowling.com.
[02:00:27.000 --> 02:00:31.000]  He's going to be in studio with us coming up for the rest of the hour.
[02:00:31.000 --> 02:00:37.000]  And we're going to cover the waterfront about where he thinks political correctness is going, the censorship, what should be done to big tech.
[02:00:37.000 --> 02:00:42.000]  There's so much to get into. But EU army to increase ranks seven fold.
[02:00:42.000 --> 02:00:49.000]  I remember 10 years ago saying there's a secret plan for an EU army because it had actually come out in documents.
[02:00:49.000 --> 02:00:52.000]  It actually got in documents from someone inside Bilderberg.
[02:00:52.000 --> 02:00:59.000]  They were discussing an EU army to stop countries from having their own borders.
[02:00:59.000 --> 02:01:04.000]  And they were going to flood Europe with North Africans and Islamists out of the Middle East.
[02:01:04.000 --> 02:01:07.000]  It's all true. It all happened. Of course, it was real documents we got.
[02:01:07.000 --> 02:01:14.000]  Then a guy who worked at the National Archives brought me secret Bilderberg documents the next year confirming it all.
[02:01:14.000 --> 02:01:18.000]  We published them all. I did get death threats.
[02:01:18.000 --> 02:01:22.000]  So that's why they're so scared.
[02:01:22.000 --> 02:01:32.000]  And again, I don't want to say it's a Nazi conspiracy because these were just criminals that were the Nazis.
[02:01:32.000 --> 02:01:34.000]  And so they're criminals now.
[02:01:34.000 --> 02:01:39.000]  But Junker, when you look at the unelected head of the EU, that England didn't vote to enter, but they're in the UK.
[02:01:39.000 --> 02:01:47.000]  He is the grandson. His father was a top Nazi. His grandfather was the richest guy in Germany.
[02:01:47.000 --> 02:01:50.000]  Royalty, the Junker family.
[02:01:50.000 --> 02:01:52.000]  And so I just go back to this.
[02:01:52.000 --> 02:02:01.000]  Literal Nazis left us walk up to me and they go Nazi, Nazi, hate speech, ban you. You're Nazi, you're Nazi.
[02:02:01.000 --> 02:02:04.000]  And then you have an unelected EU that was actually a Hitler plan, the EU.
[02:02:04.000 --> 02:02:06.000]  Look it up. That's even BBC.
[02:02:06.000 --> 02:02:09.000]  Type it into search engine. EU was Nazi plan.
[02:02:09.000 --> 02:02:16.000]  And then you learn about all this and it's just like, who could make this stuff up?
[02:02:16.000 --> 02:02:22.000]  I mean, when Junker's dad was a top Nazi, Soros was helping round up Jews.
[02:02:22.000 --> 02:02:25.000]  But it's like, well, he gets awards because he did that.
[02:02:25.000 --> 02:02:29.000]  You're a Nazi because your grandfather's both almost died five of the Nazis, Alex.
[02:02:29.000 --> 02:02:32.000]  He's good. That's the upside down land.
[02:02:32.000 --> 02:02:35.000]  But this is why they're so mad at Trump, the optimism, the success, the economy coming back.
[02:02:35.000 --> 02:02:39.000]  We'll be back after this promo with Mr. Bowling in studio. Stay with us.
[02:02:44.000 --> 02:02:49.000]  Nobody said it was going to be easy for us, but we will never be stopped.
[02:02:49.000 --> 02:02:54.000]  I will be the greatest jobs president that God ever created.
[02:02:54.000 --> 02:02:59.000]  Record low unemployment and a record high stock market.
[02:02:59.000 --> 02:03:02.000]  The Trump economy is red hot.
[02:03:05.000 --> 02:03:10.000]  Rocket man is on a suicide mission for himself and for his regime.
[02:03:10.000 --> 02:03:15.000]  They will be met with fire and fury like the world has never seen.
[02:03:15.000 --> 02:03:19.000]  Now Kim Jong-un says President Trump will pay dearly for those words.
[02:03:19.000 --> 02:03:23.000]  Getting a good picture of everybody so we have a nice answer.
[02:03:23.000 --> 02:03:25.000]  Beautiful.
[02:03:31.000 --> 02:03:35.000]  North Korea now committing to complete denuclearization.
[02:03:35.000 --> 02:03:39.000]  I mean, it's truly remarkable what he's doing.
[02:03:39.000 --> 02:03:44.000]  He has done more than any president in recent history, certainly in the last half century.
[02:03:44.000 --> 02:03:48.000]  He's not a politician. He's one of us.
[02:03:52.000 --> 02:03:55.000]  Never, ever, ever give up.
[02:03:57.000 --> 02:04:02.000]  Never stop fighting for what you believe in and for the people who care about you.
[02:04:02.000 --> 02:04:05.000]  Carry yourself with dignity and pride.
[02:04:05.000 --> 02:04:10.000]  Relish the opportunity to be an outsider.
[02:04:10.000 --> 02:04:15.000]  Embrace that label because it's the outsiders who change the world
[02:04:15.000 --> 02:04:19.000]  and who make a real and lasting difference.
[02:04:19.000 --> 02:04:25.000]  Treat the word impossible as nothing more than motivation.
[02:04:25.000 --> 02:04:29.000]  Three American hostages are back home.
[02:04:29.000 --> 02:04:32.000]  I am an American host.
[02:04:32.000 --> 02:04:35.000]  Three American hostages are back home.
[02:04:35.000 --> 02:04:40.000]  I am asking all citizens to embrace this renewal of the American spirit.
[02:04:40.000 --> 02:04:44.000]  Seize this moment, believe in yourselves, believe in your future,
[02:04:44.000 --> 02:04:48.000]  and believe once more in America.
[02:04:51.000 --> 02:04:55.000]  I will fight for you with every...
[02:04:56.000 --> 02:05:00.000]  Living in volcano may sound more dramatic than it really is.
[02:05:00.000 --> 02:05:03.000]  The real drama can be found here in Leilani Estates.
[02:05:03.000 --> 02:05:06.000]  But a lot of us on the Big Island rely on rainwater
[02:05:06.000 --> 02:05:09.000]  and we need to be concerned about ash and acid rain.
[02:05:09.000 --> 02:05:13.000]  Volcanic ash may contain heavy metal particles.
[02:05:13.000 --> 02:05:17.000]  And acid rain could lower the pH of the water to unhealthy levels.
[02:05:17.000 --> 02:05:23.000]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[02:05:23.000 --> 02:05:27.000]  What we learned was that there was in fact unhealthy levels of heavy metals
[02:05:27.000 --> 02:05:29.000]  and acidity in the rainwater.
[02:05:29.000 --> 02:05:33.000]  Next, we tested the water from our Alexa pure gravity filter.
[02:05:33.000 --> 02:05:36.000]  And not only were the heavy metal levels within safe measure,
[02:05:36.000 --> 02:05:40.000]  but the pH was also restored to optimal levels.
[02:05:40.000 --> 02:05:45.000]  As it turns out, the filter on the Alexa pure raises the pH of the water.
[02:05:45.000 --> 02:05:51.000]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[02:05:51.000 --> 02:05:56.000]  But more importantly, a good water filtration system will purify it.
[02:05:56.000 --> 02:05:58.000]  We've got it.
[02:05:58.000 --> 02:06:00.000]  The first finger coming down.
[02:06:03.000 --> 02:06:06.000]  Waging war on corruption.
[02:06:06.000 --> 02:06:14.000]  It's Alex Jones coming to you live from the front lines of the Info War.
[02:06:14.000 --> 02:06:18.000]  Well, Eric Bowling is here in studio for our bare knuckles match.
[02:06:18.000 --> 02:06:20.000]  He already beat me up during the break, so he wins.
[02:06:20.000 --> 02:06:23.000]  Now, but seriously, censored, demonized for no reason,
[02:06:23.000 --> 02:06:26.000]  like everybody else that's effective, removed from the airwaves.
[02:06:26.000 --> 02:06:28.000]  We'll talk about what it's like to be out of Fox,
[02:06:28.000 --> 02:06:31.000]  but more importantly, launching something truly free on CRTV
[02:06:31.000 --> 02:06:34.000]  with a politically incorrect name, America.
[02:06:34.000 --> 02:06:44.000]  So I'm all behind CRTV and it's great success and all the great people that are over there from Mr. Levin to, of course, Michelle Malcolm Crowder.
[02:06:44.000 --> 02:06:49.000]  Everybody really exciting what's going on at CRTV and also EricBowling.com,
[02:06:49.000 --> 02:06:51.000]  because I just want to win the culture wars.
[02:06:51.000 --> 02:06:52.000]  I'm not in competition with you guys.
[02:06:52.000 --> 02:06:53.000]  So it's good to have you here.
[02:06:53.000 --> 02:06:54.000]  Thank you, Alex.
[02:06:54.000 --> 02:06:55.000]  Thank you very much.
[02:06:55.000 --> 02:06:56.000]  We ran into each other.
[02:06:56.000 --> 02:07:04.000]  At Trump Hotel.
[02:07:04.000 --> 02:07:05.000]  Correct.
[02:07:05.000 --> 02:07:06.000]  I was leaving.
[02:07:06.000 --> 02:07:07.000]  You were coming back.
[02:07:07.000 --> 02:07:11.000]  I think you were coming back from your little tiff with Marco Rubio if I'm not mistaken.
[02:07:11.000 --> 02:07:16.000]  And I caught you at the bottom of the stairs and I said, hey, Alex Jones, let's talk a little bit.
[02:07:16.000 --> 02:07:20.000]  I refresh your memory that about five years ago, you and I had a Twitter war.
[02:07:20.000 --> 02:07:24.000]  I think we were going to fight on the corner and I said, I'll tell you what, Jones,
[02:07:24.000 --> 02:07:27.000]  I'll meet you on the corner of Park and Lex at four o'clock today.
[02:07:27.000 --> 02:07:29.000]  And you're like, okay, I'll be there.
[02:07:29.000 --> 02:07:30.000]  There's no corner of Park and Lex.
[02:07:30.000 --> 02:07:32.000]  I just want to point that out.
[02:07:32.000 --> 02:07:33.000]  Anyway, make a long story short.
[02:07:33.000 --> 02:07:39.000]  We talked and I said, look, there are a lot of things about you and your theories that I despise.
[02:07:39.000 --> 02:07:40.000]  I can't stand them.
[02:07:40.000 --> 02:07:49.000]  However, we need to have a discussion as to whether or not all is pulling you from the media has gone too far or not.
[02:07:49.000 --> 02:07:50.000]  Maybe it hasn't.
[02:07:50.000 --> 02:07:51.000]  Maybe it hasn't.
[02:07:51.000 --> 02:07:52.000]  Let's have discussion.
[02:07:52.000 --> 02:07:54.000]  And then you said, let's go on each other's show.
[02:07:54.000 --> 02:07:57.000]  And I agreed that we would have a co-interview that I come on your show.
[02:07:57.000 --> 02:08:02.000]  We talk together, co-interview, and you would come on mine and we do the same.
[02:08:02.000 --> 02:08:04.000]  And here we are.
[02:08:04.000 --> 02:08:05.000]  So I came to Austin Tech.
[02:08:05.000 --> 02:08:06.000]  Absolutely.
[02:08:06.000 --> 02:08:08.000]  And I'm glad you want to do that because most people won't come on.
[02:08:08.000 --> 02:08:10.000]  They want to just say, oh, you're too evil to go on.
[02:08:10.000 --> 02:08:12.000]  Well, Charlie Manson did hundreds of interviews.
[02:08:12.000 --> 02:08:16.000]  Everybody interviewed from Mike Wallace to Barbara Walters.
[02:08:16.000 --> 02:08:21.000]  How am I supposedly so evil people can't come on the show because here's the thing.
[02:08:21.000 --> 02:08:23.000]  You say some of the things I say are despicable.
[02:08:23.000 --> 02:08:26.000]  A few things I've said turn out to be wrong and I'll admit my mistakes.
[02:08:26.000 --> 02:08:32.000]  But most of what you brought up when we talked on record and off record in D.C. last week are straw men.
[02:08:32.000 --> 02:08:34.000]  It's misrepresentation.
[02:08:34.000 --> 02:08:36.000]  Just like they say, Trump hates all Mexicans.
[02:08:36.000 --> 02:08:39.000]  No, he said a lot of criminals are coming across the border, rapists and murderers.
[02:08:39.000 --> 02:08:41.000]  He didn't say they were all rapists and murderers.
[02:08:41.000 --> 02:08:45.000]  So again, it's misrepresentations of what they do.
[02:08:45.000 --> 02:08:50.000]  Absolutely true on the Trump argument, but not true on your argument.
[02:08:50.000 --> 02:08:51.000]  I've heard you, Alice.
[02:08:51.000 --> 02:08:55.000]  In fact, the reason why we almost got in that fight or that Twitter fight way back when
[02:08:55.000 --> 02:09:00.000]  was when you were talking about the inside job that 9-11 was.
[02:09:00.000 --> 02:09:03.000]  And I will tell you, I watched the second plane fly into the building.
[02:09:03.000 --> 02:09:07.000]  I lost 16 very close friends in that World Trade Center.
[02:09:07.000 --> 02:09:11.000]  There is no way in the world that I think my government could be part of a conspiracy
[02:09:11.000 --> 02:09:14.000]  that would kill 3,000 Americans, innocent Americans.
[02:09:14.000 --> 02:09:15.000]  It wasn't a wartime.
[02:09:15.000 --> 02:09:17.000]  It wasn't on the battlefield.
[02:09:17.000 --> 02:09:20.000]  These were innocent Americans going to work.
[02:09:20.000 --> 02:09:22.000]  Some of my closest friends died.
[02:09:22.000 --> 02:09:24.000]  And that really bothered me.
[02:09:24.000 --> 02:09:25.000]  But I want to be clear.
[02:09:25.000 --> 02:09:28.000]  I still don't buy this fact that the government looked the other way.
[02:09:28.000 --> 02:09:33.000]  I'm not saying just like there's rogue groups in the White House and rogue groups in the CIA
[02:09:33.000 --> 02:09:36.000]  fighting America and that have been caught working with ISIS in Al Qaeda.
[02:09:36.000 --> 02:09:38.000]  And Trump says Obama and Hillary founded ISIS.
[02:09:38.000 --> 02:09:39.000]  That's true.
[02:09:39.000 --> 02:09:41.000]  John McCain was involved in that.
[02:09:41.000 --> 02:09:42.000]  That's what I'm saying.
[02:09:42.000 --> 02:09:46.000]  I'm not saying because I've been in New York and people say, how dare you say firefighters
[02:09:46.000 --> 02:09:47.000]  blow up the towers.
[02:09:47.000 --> 02:09:48.000]  I never said that.
[02:09:48.000 --> 02:09:52.000]  I agree with Alex Jones that John McCain was there and did meet with some of the leaders
[02:09:52.000 --> 02:09:54.000]  of what would soon become ISIS.
[02:09:54.000 --> 02:09:55.000]  I agree with you.
[02:09:55.000 --> 02:10:00.500]  But explain to me what proof in the world that you have that our government had somehow
[02:10:00.500 --> 02:10:04.000]  information that there was going to be two planes flown into our World Trade Center.
[02:10:04.000 --> 02:10:05.000]  You don't have any else.
[02:10:05.000 --> 02:10:08.000]  I mean, I want to get into the bigger world and where we agree on things, but I'm happy
[02:10:08.000 --> 02:10:09.000]  to debate this.
[02:10:09.000 --> 02:10:12.000]  And it would take hours to actually get into all the details.
[02:10:12.000 --> 02:10:15.000]  Just give me one piece as Trump would say, give me one shred of evidence.
[02:10:15.000 --> 02:10:16.000]  Let me let me get into that.
[02:10:16.000 --> 02:10:20.000]  But what I'm getting at here is I'm not saying the government did it.
[02:10:20.000 --> 02:10:24.000]  I'm not saying I'm not saying they look the other way.
[02:10:24.000 --> 02:10:27.000]  The 28 I've had Senator Paul on.
[02:10:27.000 --> 02:10:29.000]  I've had Congressman Jones on.
[02:10:29.000 --> 02:10:35.000]  They've read the 28 pages and it says it says there was a norad stand down ordered and more
[02:10:35.000 --> 02:10:40.000]  than 20 FBI agents went public and said they were ordered to not stop.
[02:10:40.000 --> 02:10:42.000]  I believe radical Islam exists.
[02:10:42.000 --> 02:10:43.000]  The conspiracy.
[02:10:43.000 --> 02:10:44.000]  I believe radical Islam exists.
[02:10:44.000 --> 02:10:45.000]  So do I.
[02:10:45.000 --> 02:10:47.000]  I'm saying they attacked us.
[02:10:47.000 --> 02:10:51.000]  I'm saying they had been using that argument to make a conspiracy theory that has no lace.
[02:10:51.000 --> 02:10:56.000]  Here's what the 28 pages does say that the United States did not go after what they what
[02:10:56.000 --> 02:11:02.000]  they believed or it turned out to be a link to Saudi Arabia of the of the bombing of the
[02:11:02.000 --> 02:11:03.000]  of the terror attack.
[02:11:03.000 --> 02:11:05.000]  It doesn't say that the government looked the other way.
[02:11:05.000 --> 02:11:08.000]  It said they didn't follow up on what involvement of the Saudi.
[02:11:08.000 --> 02:11:11.000]  Well, here we are 17 years and one day later.
[02:11:11.000 --> 02:11:12.000]  What about building seven?
[02:11:12.000 --> 02:11:13.000]  I was there.
[02:11:13.000 --> 02:11:15.000]  I'll tell you exactly what happened.
[02:11:15.000 --> 02:11:17.000]  I'll tell you exactly what happened building seven.
[02:11:17.000 --> 02:11:20.000]  So when they call the day Tuesday was a Tuesday.
[02:11:20.000 --> 02:11:22.000]  They shut down lower Manhattan from Canal Street down.
[02:11:22.000 --> 02:11:24.000]  You could not get there except for military.
[02:11:24.000 --> 02:11:27.000]  I happen to be an oil trader at the time.
[02:11:27.000 --> 02:11:34.000]  Oil was spiking is going through the roof and in in the US government was very fearful
[02:11:34.000 --> 02:11:37.000]  of an oil price going to five six seven hundred dollars per barrel.
[02:11:37.000 --> 02:11:41.000]  So they brought us in to the oil trading center of the world, which is one block from the
[02:11:41.000 --> 02:11:42.000]  World Trade Center.
[02:11:42.000 --> 02:11:44.000]  It's the World Financial Center.
[02:11:44.000 --> 02:11:48.000]  I'm telling you, Alex, every single day for the next four months when no one else was
[02:11:48.000 --> 02:11:52.000]  in lower Manhattan, we were locked inside a building and I can't tell you how many times
[02:11:52.000 --> 02:11:55.000]  there was an anthrax scare or the ground was unstable.
[02:11:55.000 --> 02:11:58.000]  Remember that whole area was built on landfill.
[02:11:58.000 --> 02:12:00.000]  No, I'm not saying that.
[02:12:00.000 --> 02:12:01.000]  Listen, here's the deal.
[02:12:01.000 --> 02:12:03.000]  Take a study of hard concrete.
[02:12:03.000 --> 02:12:07.000]  There are people iron built on hard concrete and say, well, that applies to a land.
[02:12:07.000 --> 02:12:08.000]  Sure.
[02:12:08.000 --> 02:12:10.000]  There are people that say that I say no planes flew in.
[02:12:10.000 --> 02:12:14.000]  I get blamed for every conspiracy theory that some crazy person made up.
