[00:00:01.511 --> 00:00:02.312]  Welcome to everyone.
[00:48:15.315 --> 00:48:25.685]  The internet has taken us to a place where everything we do is watched, monitored, and processed without us ever realizing it.
[00:48:25.685 --> 00:48:30.349]  Some people think the internet is a bad thing.
[00:48:30.349 --> 00:48:31.130]  What do you think?
[00:48:32.270 --> 00:48:37.373]  So now, Big Brother is going to save us from the Wild West Internet.
[00:48:37.373 --> 00:48:40.095]  Meanwhile, DynCorp is purchasing the little children.
[00:48:40.095 --> 00:48:41.676]  But that's the government, that's okay.
[00:48:41.676 --> 00:48:44.278]  We've got to regulate and shut down the Internet.
[00:48:44.278 --> 00:48:46.359]  I mean, listen to the ominous music.
[00:48:46.359 --> 00:48:47.600]  Michael Rivera?
[00:48:47.600 --> 00:48:55.465]  Well, America Online actually began as a private network, where you had to really work through their system before you could actually reach the Internet itself.
[00:48:56.125 --> 00:49:03.554]  And for those people who've been around long enough to remember the history of how the Internet came to be, it was never intended to be accessible to the public.
[00:49:03.554 --> 00:49:09.201]  It was supposed to be a government-only tool, but it didn't escape out.
[00:49:09.201 --> 00:49:14.627]  And the government's biggest problem right now is how to bring the Internet back under their control and censorship.
[00:49:15.007 --> 00:49:23.952]  And I think ultimately what we're going to see is the big government-friendly companies like America Online and various other providers will become the front doors to the Internet.
[00:49:23.952 --> 00:49:24.892]  Well, that's Internet, too.
[00:49:24.892 --> 00:49:26.333]  That's exactly what they're planning.
[00:49:26.333 --> 00:49:34.397]  Yeah, and web pages will require licensing, and they're going to turn it into basically just another form of a TV network.
[00:49:34.838 --> 00:49:40.643]  Where the government message gets to you and everybody else is just supposed to sit still and passively accept.
[00:49:40.643 --> 00:49:43.966]  I agree with you, and I apologize to Davey and Reuben and everybody else.
[00:49:43.966 --> 00:49:44.987]  We'll have to talk tomorrow.
[00:49:44.987 --> 00:49:46.929]  I'm sorry to the callers, but I agree with you.
[00:49:46.929 --> 00:49:48.110]  But now there's a hunger.
[00:49:48.110 --> 00:49:49.832]  I don't think they're going to get away with it, Michael.
[00:49:49.832 --> 00:49:50.853]  I don't think they will.
[00:49:50.853 --> 00:49:53.215]  I think it's going to be proved to be very difficult to do.
[00:49:53.215 --> 00:49:55.157]  Hey, Michael, we're out of time.
[00:49:55.157 --> 00:49:55.717]  God bless you.
[00:49:55.717 --> 00:49:56.318]  Take care, folks.
