[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[56:29.800 --> 56:35.800]  And infowars.com will continue to be on the front lines of this fight.
[56:35.800 --> 56:43.800]  I am so honored to be associated with other constitutionalists and conservatives and libertarians and patriots and nationalists of every race, color, and creed.
[56:43.800 --> 56:52.800]  I am so proud to be associated with the great folks at DrudgeReport.com and Matt Drudge and the great people at Breitbart.com under the leadership the last few years.
[56:52.800 --> 57:01.800]  It has done amazing things and WorldNet Daily and Daily Caller and everyone else because none of us are perfect, but we're not out to get the American people.
[57:01.800 --> 57:03.800]  And we believe in prosperity.
[57:03.800 --> 57:04.800]  We believe in freedom.
[57:04.800 --> 57:07.800]  And we are brothers and sisters in arms in this fight.
[57:07.800 --> 57:14.800]  And when we're done taking America back, we're going to take the rest of the world back in an initiative I launched 10 years ago.
[57:14.800 --> 57:17.800]  Operation 1776 worldwide.
[57:17.800 --> 57:19.800]  Not American colonialism.
[57:19.800 --> 57:29.800]  Not America taking over countries with armies, but America taking over the world with our original ideas of renaissance, the enlightenment, and freedom.
[57:29.800 --> 57:32.800]  We're on the march, the empire's home.
[57:32.800 --> 57:38.800]  Will America awaken? Will we take back control of our republic from the globalist?
[57:38.800 --> 57:41.800]  There's only 43 days until the general election.
[57:41.800 --> 57:43.800]  This is the InfoWare.
[57:43.800 --> 57:45.800]  We'll be back with the second hour.
[57:45.800 --> 57:48.800]  We've got Leigh-Anne McAdoo, Roger Stone and more.
[57:48.800 --> 57:50.800]  Secret 12, InfoWare's lives.
[57:50.800 --> 57:52.800]  Vitamin B12 formulation.
[57:52.800 --> 57:58.800]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[57:58.800 --> 58:05.800]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[58:05.800 --> 58:14.800]  InfoWare's life.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[58:14.800 --> 58:25.800]  Secret 12 is a binary of nutrimental grade, bioavailable, coenzyme forms of B12, methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[58:25.800 --> 58:29.800]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[58:29.800 --> 58:31.800]  No needles, no injections.
[58:31.800 --> 58:33.800]  Don't take my word for it.
[58:33.800 --> 58:34.800]  Try it for yourself.
[58:34.800 --> 58:35.800]  Discover the secret.
[58:35.800 --> 58:36.800]  Secret 12.
[58:36.800 --> 58:44.800]  Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139.
[58:44.800 --> 58:45.800]  InfoWare's Life.
[58:45.800 --> 58:46.800]  Secret 12.
[58:46.800 --> 58:55.800]  InfoWare's is proud to announce the official InfoWare's Live app, available now for iPhone and Android.
[58:55.800 --> 59:03.800]  InfoWare's Live allows you to watch a live, high definition feed of the Alex Jones show 24-7 and get the latest breaking InfoWare's reports straight to your phone.
[59:03.800 --> 59:06.800]  Want to read the latest exclusives on infowars.com?
[59:06.800 --> 59:08.800]  Or do you want to catch up on world news?
[59:08.800 --> 59:11.800]  Now you can do so with InfoWare's Live anywhere you go.
[59:11.800 --> 59:13.800]  You can browse the news, share content and more.
[59:13.800 --> 59:16.800]  And best of all, it's free to download at infowars.com.
[59:16.800 --> 59:18.800]  The app is brand new.
[59:18.800 --> 59:21.800]  This is the first release, and it was completely built from the ground up.
[59:21.800 --> 59:25.800]  We've seen example after example of cable news networks attempting to deceive you.
[59:25.800 --> 59:34.800]  In short, the major media is being covertly manipulated by well-financed political forces who are trying to sway public opinion in a natural direction that only serves establishment agendas.
[59:34.800 --> 59:39.800]  But InfoWare's Live is the solution to the controlled press that is rapidly losing influence.
[59:39.800 --> 59:47.800]  So download InfoWare's Live today at infowars.com and learn what's really going on instead of being spoon fed lives by the mainstream media.
[01:00:09.800 --> 01:00:12.800]  It's the Alex Jones Show with yours truly, Alex Jones.
[01:00:12.800 --> 01:00:19.800]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:00:22.800 --> 01:00:27.800]  I don't know why I do that. Nobody else does, but I just do stuff different.
[01:00:27.800 --> 01:00:31.800]  Never know what I'm doing when I do it, but it always seems to work.
[01:00:31.800 --> 01:00:33.800]  It's the mystery, isn't it?
[01:00:33.800 --> 01:00:42.800]  Now, I didn't grow up when I was a kid wanting to be a cop.
[01:00:42.800 --> 01:00:45.800]  I didn't grow up worshiping police.
[01:00:45.800 --> 01:00:54.800]  I grew up with family that were pretty highly educated and a lot of them that had been in different areas of the world and seen things that people hadn't seen.
[01:00:54.800 --> 01:00:59.800]  They said, listen, government brings down the drugs.
[01:00:59.800 --> 01:01:06.800]  The police department works for the feds. Here's how the cow ate the cabbage.
[01:01:06.800 --> 01:01:10.800]  But America still, compared to other countries, is a great place to live.
[01:01:10.800 --> 01:01:16.800]  So I set out to try to reform the police and criticize the bad things they do.
[01:01:16.800 --> 01:01:24.800]  That's why I'm pretty much the perfect person to cover this because everybody knows I made four films and wrote books to cover in the police state.
[01:01:24.800 --> 01:01:32.800]  There's a lot in some, you know, you got Anglophiles that worship English and Frankophiles that worship the French and Russophiles that worship the Russians.
[01:01:32.800 --> 01:01:35.800]  And there's Japophiles that love the Japanese.
[01:01:35.800 --> 01:01:37.800]  I just love freedom.
[01:01:39.800 --> 01:01:46.800]  And I see the attempt to put all the sins of government and all the corruption of our elite on the police.
[01:01:46.800 --> 01:01:56.800]  I'm like, the average cop's getting like $40,000 a year, has the highest rates of suicide, they're busting their ass, they got a crap job.
[01:01:56.800 --> 01:01:59.800]  And I'm not buying into this whole thing.
[01:01:59.800 --> 01:02:03.800]  Let me get the emails from Soros how they're planning a big civil war and the rest of it.
[01:02:03.800 --> 01:02:06.800]  Years after I told you it was a civil war, not that I'm a rocket scientist.
[01:02:06.800 --> 01:02:09.800]  I've seen divided and conquer before in history.
[01:02:09.800 --> 01:02:14.800]  But man, I got to tell you MSNBC has reached a level that I don't even know how to respond at this point.
[01:02:14.800 --> 01:02:20.800]  I mean, I watched the footage, I tried to be realistic and I noticed it came from the right to the left.
[01:02:20.800 --> 01:02:24.800]  And we blew the footage up and clearly it's three gloves falling out of the guy's pocket.
[01:02:24.800 --> 01:02:27.800]  The black cop that shot the black guy.
[01:02:27.800 --> 01:02:29.800]  God, God rest his soul.
[01:02:31.800 --> 01:02:33.800]  Keith O'Mont Scott.
[01:02:33.800 --> 01:02:39.800]  And then MSNBC, when I can figure it out, one of our contributors, Mark Dice, can figure it out.
[01:02:39.800 --> 01:02:40.800]  They know what's going on.
[01:02:40.800 --> 01:02:43.800]  They think their viewers are dumb, but on their video, they don't really show it slow.
[01:02:43.800 --> 01:02:46.800]  They say it slowed down, but it's barely slowed down.
[01:02:46.800 --> 01:02:48.800]  You slow it down, it falls out of the cop's pocket.
[01:02:48.800 --> 01:02:49.800]  It's a damn glove.
[01:02:49.800 --> 01:02:55.800]  And I'm just like, man, how do you get that evil where you sit there and try to frame people?
[01:02:55.800 --> 01:02:59.800]  I mean, it's just, it's just, it's, it's, it's not like it's some rogue cop framing somebody.
[01:02:59.800 --> 01:03:00.800]  That's bad enough.
[01:03:00.800 --> 01:03:04.800]  It's some giant media organization with thousands of employees doing this.
[01:03:04.800 --> 01:03:06.800]  It just illustrates who we're dealing with.
[01:03:06.800 --> 01:03:10.800]  So let's go to the clip of Mark Dice breaking down the frame up and then the actual frame up.
[01:03:10.800 --> 01:03:11.800]  Here it is.
[01:03:11.800 --> 01:03:16.800]  Now, countless liberal lunatics are claiming that police planted the gun on Keith Scott
[01:03:16.800 --> 01:03:23.800]  after footage has been released of the incident, which show police ordering him a dozen times to drop the gun.
[01:03:23.800 --> 01:03:31.800]  Let's have a look at this idiotic, insane claim where we can clearly see that what's put on the ground
[01:03:31.800 --> 01:03:34.800]  or dropped on the ground isn't a gun.
[01:03:34.800 --> 01:03:36.800]  It is a glove.
[01:03:36.800 --> 01:03:42.800]  The officer here is clearly putting a glove on and as he pulls out his glove,
[01:03:42.800 --> 01:03:46.800]  you can see that one or two fall out of his pocket.
[01:03:46.800 --> 01:03:54.800]  Later on, he picks up the glove and even if they were to think about planting a gun on him,
[01:03:54.800 --> 01:04:01.800]  they certainly wouldn't do it when there is a woman yelling and screaming at them 25 feet away
[01:04:01.800 --> 01:04:06.800]  where they know that they would be captured on video doing it.
[01:04:06.800 --> 01:04:10.800]  And even if a cop were to plant the gun on a suspect,
[01:04:10.800 --> 01:04:16.800]  getting another cop to go along with such an egregious crime would be almost impossible,
[01:04:16.800 --> 01:04:24.800]  let alone getting a half a dozen police officers to agree to committing the frame job.
[01:04:24.800 --> 01:04:27.800]  Mark Dice is always on fire and I love him.
[01:04:27.800 --> 01:04:31.800]  We already played the clip. If you missed it, just tune in at FullWars.com.
[01:04:31.800 --> 01:04:36.800]  MSNBC pushes narrative that police may have planted a gun on Keith Lamont-Scott.
[01:04:36.800 --> 01:04:39.800]  Our country is being taken over by multinationals.
[01:04:39.800 --> 01:04:42.800]  We're having our whole future destroyed. Our job is to be overseas.
[01:04:42.800 --> 01:04:49.800]  We've got weirdo-nazi collaborator George Soros funding a race war starting with attacking the police,
[01:04:49.800 --> 01:04:53.800]  which will only turn the police into a hit squad murder team.
[01:04:53.800 --> 01:04:58.800]  That which doesn't kill you only makes you stronger. We do not want to do this with the police.
[01:04:58.800 --> 01:05:03.800]  Dr. Grip, you developed living defense for us. It took you over a year to do it. Why is this so good?
[01:05:03.800 --> 01:05:08.800]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:05:08.800 --> 01:05:14.800]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system,
[01:05:14.800 --> 01:05:20.800]  but right now we're dealing with massive parasites, which is anything that's harmful to your body
[01:05:20.800 --> 01:05:25.800]  that lives off a host mechanism right now with all the refugees spreading disease around.
[01:05:25.800 --> 01:05:29.800]  We have biological warfare going on everywhere. These are all parasites.
[01:05:29.800 --> 01:05:32.800]  Tell us about all the stuff that's said. There's so many things that are in it.
[01:05:32.800 --> 01:05:36.800]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[01:05:36.800 --> 01:05:40.800]  I recommend doing a parasite cleanse at least twice a year.
[01:05:40.800 --> 01:05:43.800]  All right. Well, I'm glad we've got some back in because I'm going back on it today.
[01:05:43.800 --> 01:05:46.800]  It just came back in yesterday. Living Defense, infowarslife.com.
[01:05:46.800 --> 01:05:50.800]  And folks, you can't lose. It's full of stuff that's great for your body, period.
[01:05:50.800 --> 01:05:53.800]  And you can support the broadcast, infowarslife.com.
[01:05:53.800 --> 01:05:55.800]  Thank you, Dr. Group, from the Global Healing Center.
[01:05:55.800 --> 01:06:20.800]  Thank you so much for all your work, sir, on this great product.
[01:06:20.800 --> 01:06:26.800]  And Roger Stone, former head of the Trump campaign back in 2000 and again in 2015
[01:06:26.800 --> 01:06:30.800]  when he first announced, is our guest for the next 30 minutes.
[01:06:30.800 --> 01:06:34.800]  And Leigh Ann McAdoo on this Sunday live edition will begin studio with her take on all this.
[01:06:34.800 --> 01:06:36.800]  Roger will be joining us tomorrow night.
[01:06:36.800 --> 01:06:38.800]  We're going to have coverage for an hour before.
[01:06:38.800 --> 01:06:41.800]  We've licensed the feed to carry the full debate for an hour and a half
[01:06:41.800 --> 01:06:43.800]  between Donald Trump and Hillary Rodham Clinton.
[01:06:43.800 --> 01:06:48.800]  And then two hours of phone calls and clips and fact checking.
[01:06:48.800 --> 01:06:51.800]  So four plus hours of analysis kicks off tomorrow night.
[01:06:51.800 --> 01:06:54.800]  Seven o'clock central standard time.
[01:06:54.800 --> 01:06:56.800]  So I'll do four hours tomorrow.
[01:06:56.800 --> 01:07:00.800]  Then I'm going to come in and do four more hours because wild horses couldn't drag me away.
[01:07:00.800 --> 01:07:03.800]  And also tomorrow morning, Roger doesn't know about this yet,
[01:07:03.800 --> 01:07:07.800]  but it ties into some news that's already here in front of us from Breitbart.
[01:07:07.800 --> 01:07:11.800]  I want to get his take on a big breaking story we've got about Hillary
[01:07:11.800 --> 01:07:15.800]  and her war-bongering and working with Al Qaeda, ISIS Islamic State.
[01:07:15.800 --> 01:07:18.800]  Breitbart's kind of got a smell of this early.
[01:07:18.800 --> 01:07:22.800]  Hillary Clinton sponsored Secret of Air and Spring Program at the Stabilized Middle East.
[01:07:22.800 --> 01:07:26.800]  So I'll get Roger's take on this once I can show him the article tomorrow.
[01:07:26.800 --> 01:07:32.800]  It'll be up at 5 a.m. Central Standard Time when Paul Watson, who just finished his day,
[01:07:32.800 --> 01:07:38.800]  posted so much to cover, so much to break down.
[01:07:38.800 --> 01:07:43.800]  Roger, I've got a stack of polls here showing Trump continuing to surge,
[01:07:43.800 --> 01:07:48.800]  but then I've got mainstream articles about dead voters voting in Colorado where he's surging.
[01:07:48.800 --> 01:07:50.800]  We haven't talked in a few days.
[01:07:50.800 --> 01:07:56.800]  I don't know what's front and center for you, the master of the dark art of telling the truth.
[01:07:56.800 --> 01:08:00.800]  I'm a dark art. You're a master of dark art, so I guess I'm your minion.
[01:08:00.800 --> 01:08:03.800]  What are we dealing with here, Dark Lord?
[01:08:03.800 --> 01:08:09.800]  We're conspiracy analysts is what we are, as Gore Vidal used to say.
[01:08:09.800 --> 01:08:13.800]  Alex, I'm in New York City, kind of in the bunker,
[01:08:13.800 --> 01:08:20.800]  bearing some of the grassroots support for Donald Trump at this debate.
[01:08:20.800 --> 01:08:23.800]  And I've got to tell you, I've been put in long hours.
[01:08:23.800 --> 01:08:29.800]  If it was not for a brain force, I really, which really has given me
[01:08:29.800 --> 01:08:32.800]  an enormous amount of clarity and energy.
[01:08:32.800 --> 01:08:34.800]  Now, you paid me to say that.
[01:08:34.800 --> 01:08:38.800]  I didn't tell you I was going to say it's merely a fact.
[01:08:38.800 --> 01:08:42.800]  Well, thank you. I saw you on the road at the RNC with big bottles of it.
[01:08:42.800 --> 01:08:44.800]  It is the best in tropics, the healthiest brain booster out there.
[01:08:44.800 --> 01:08:46.800]  So thanks for the plug, Roger.
[01:08:46.800 --> 01:08:52.800]  Well, I've been into alternative medicine, eastern based medicine for many years.
[01:08:52.800 --> 01:08:57.800]  The Chinese, even the Egyptians knew more about the healing qualities of herbs
[01:08:57.800 --> 01:09:01.800]  and the importance of vitamins.
[01:09:01.800 --> 01:09:06.800]  So I know they try to use it to make us sound like we're odd, but they're the ones.
[01:09:06.800 --> 01:09:09.800]  Hey, hang that albatross around our necks. We love it.
[01:09:09.800 --> 01:09:14.800]  Yeah, I agree. I'm feeling very confident going into this debate
[01:09:14.800 --> 01:09:21.800]  because the Donald Trump that I have known for 40 years is an instinctual fighter.
[01:09:21.800 --> 01:09:25.800]  In fact, I was reading he's not even doing pre the AP reports pre debate.
[01:09:25.800 --> 01:09:27.800]  He is going to rise the occasion.
[01:09:27.800 --> 01:09:34.800]  There are some inside his camp who have tried to press him into these mock debates
[01:09:34.800 --> 01:09:40.800]  where somebody plays Hillary and I would play themselves.
[01:09:40.800 --> 01:09:50.800]  Now, Gerald Posner actually sent me an email offering to put on a size 16 pin suit
[01:09:50.800 --> 01:09:54.800]  and play Hillary if Trump wanted him.
[01:09:54.800 --> 01:09:56.800]  That's not Trump's style.
[01:09:56.800 --> 01:09:58.800]  So you've been offered to play Hillary already.
[01:09:58.800 --> 01:10:08.800]  Well, this gentleman volunteered the famous author of the book Case Closed,
[01:10:08.800 --> 01:10:12.800]  bolstered the war in commission and attorney, a Wiley debater.
[01:10:12.800 --> 01:10:15.800]  He's wrong, of course, at least on that issue.
[01:10:15.800 --> 01:10:21.800]  But Alex, I commend you his books on Saudi influence in the United States politics
[01:10:21.800 --> 01:10:27.800]  and the early dangers of al-Qaeda on which his books are on the money.
[01:10:27.800 --> 01:10:31.800]  Boy, Trump sure destroyed Hillary when he said it was a bombing in New York
[01:10:31.800 --> 01:10:33.800]  and then it was a bombing in New York.
[01:10:33.800 --> 01:10:35.800]  And then for three days, she said it wasn't a bombing.
[01:10:35.800 --> 01:10:38.800]  And then now we've got another Islamist attack out in Seattle.
[01:10:38.800 --> 01:10:41.800]  It seems like the stars are lining up against Hillary.
[01:10:41.800 --> 01:10:45.800]  Well, I think she carries a lot of baggage into the debate.
[01:10:45.800 --> 01:10:50.800]  The point, of course, is that Trump is not going to do the formal kind of mock debating.
[01:10:50.800 --> 01:10:55.800]  Nobody's going to play him, not Gerald Posner, not Laura Ingraham, not anybody.
[01:10:55.800 --> 01:10:58.800]  He has his own way of preparing.
[01:10:58.800 --> 01:11:03.800]  So, yes, people who ask me, is he preparing, yes, in his own way.
[01:11:03.800 --> 01:11:06.800]  He's thinking. He's taking notes.
[01:11:06.800 --> 01:11:09.800]  Once in a while he asks people questions.
[01:11:09.800 --> 01:11:12.800]  He doesn't tell you what he thinks of your answer.
[01:11:12.800 --> 01:11:15.800]  He's got a wide cross-section of very smart friends.
[01:11:15.800 --> 01:11:20.800]  But at the end of the day, there's only one Trump advisor that matters.
[01:11:20.800 --> 01:11:22.800]  That's Donald Trump.
[01:11:22.800 --> 01:11:24.800]  No one can put words in his mouth.
[01:11:24.800 --> 01:11:27.800]  The idea of remembering a zinger.
[01:11:27.800 --> 01:11:29.800]  He just doesn't work that way.
[01:11:29.800 --> 01:11:36.800]  Now, Roger Ailes, who is, to my mind, one of the smartest guys ever in television,
[01:11:36.800 --> 01:11:44.800]  and who's a longtime friend of Donald, who has no formal capacity in the campaign,
[01:11:44.800 --> 01:11:52.800]  did, however, tell Donald advice that he gave Ronald Reagan the same advice I gave Ronald Reagan,
[01:11:52.800 --> 01:11:59.800]  the same advice I would give Mr. Trump, but I don't like to divulge our personal conversations,
[01:11:59.800 --> 01:12:04.800]  that he should be thematic, stick to the big picture.
[01:12:04.800 --> 01:12:09.800]  You don't need to know how many freighters are in our naval force
[01:12:09.800 --> 01:12:16.800]  or the name of every sub-chief of a tribe in Africa.
[01:12:16.800 --> 01:12:20.800]  You just need to stick to the general themes.
[01:12:20.800 --> 01:12:25.800]  You may remember when Reagan debated Mondale,
[01:12:25.800 --> 01:12:30.800]  and he was prepared for his debate by Dick Darman from Harvard,
[01:12:30.800 --> 01:12:34.800]  former Elliott Richardson raid aide, and Jim Baker.
[01:12:34.800 --> 01:12:39.800]  They tried to cram Reagan's head with facts and figures and statistics.
[01:12:39.800 --> 01:12:43.800]  Nancy Reagan later said they brutalized her husband.
[01:12:43.800 --> 01:12:48.800]  It was the only debate in his long, political career that he lost.
[01:12:48.800 --> 01:12:54.800]  So it is with Trump. He will win this debate his way.
[01:12:54.800 --> 01:12:59.800]  Well, obviously, he's somebody that nobody would want to debate on his feet if he's himself.
[01:12:59.800 --> 01:13:03.800]  What about Hillary, though? I mean, she can't be out in public more than 10, 15 minutes.
[01:13:03.800 --> 01:13:08.800]  She's been missing for a week. She's with weird blue screens behind her, coughing and choking on TV.
[01:13:08.800 --> 01:13:11.800]  When she does show up for a few minutes, her eyes are pointing different directions.
[01:13:11.800 --> 01:13:14.800]  I'm not being mean. She looks like a cancer patient.
[01:13:14.800 --> 01:13:18.800]  What is she going to do? I mean, I don't think, quite frankly, I don't think she could show up
[01:13:18.800 --> 01:13:20.800]  and do 90 minutes with no break.
[01:13:20.800 --> 01:13:26.800]  Well, in negotiations, I can tell you, it was Trump who insisted on standing.
[01:13:26.800 --> 01:13:29.800]  Her aides preferred to be seated.
[01:13:29.800 --> 01:13:34.800]  It was Trump who insisted 90 minutes, no long bathroom breaks,
[01:13:34.800 --> 01:13:38.800]  no commercial interruptions.
[01:13:38.800 --> 01:13:44.800]  So it really, Trump has gotten a format that I think is beneficial.
[01:13:44.800 --> 01:13:47.800]  That's not his question. This is a godsend. How did this happen?
[01:13:47.800 --> 01:13:51.800]  Everything's been rigged against him. How suddenly do the gods of manna open up the sky
[01:13:51.800 --> 01:13:54.800]  and he gets exactly what makes sense?
[01:13:54.800 --> 01:13:57.800]  Well, I wouldn't go quite that far.
[01:13:57.800 --> 01:14:02.800]  There's a woman on this moderating list who she doesn't have first debate,
[01:14:02.800 --> 01:14:05.800]  but I believe she has the last.
[01:14:05.800 --> 01:14:08.800]  So they've got some knives and daggers and things hidden.
[01:14:08.800 --> 01:14:12.800]  Bob attended this woman's wedding. She's a good friend of the court.
[01:14:12.800 --> 01:14:15.800]  So I don't know who greeted these set of moderators.
[01:14:15.800 --> 01:14:20.800]  I know that Donald Trump came out the other day and said, no moderators.
[01:14:20.800 --> 01:14:22.800]  Lincoln versus Douglas.
[01:14:22.800 --> 01:14:24.800]  Exactly.
[01:14:24.800 --> 01:14:27.800]  But still, it's a bigger challenge than that so-called, you know,
[01:14:27.800 --> 01:14:30.800]  commander in chief debate a few weeks ago that was just 30 minutes with her,
[01:14:30.800 --> 01:14:32.800]  30 minutes with him.
[01:14:32.800 --> 01:14:36.800]  And which indisputably, she has some kind of earpiece.
[01:14:36.800 --> 01:14:39.800]  Now, I'm not a conspiracy theorist.
[01:14:39.800 --> 01:14:45.800]  However, she just told the FBI recently that she can't remember anything.
[01:14:45.800 --> 01:14:48.800]  And she's got this black secret service agent jumping up saying,
[01:14:48.800 --> 01:14:51.800]  keep going. Just act calling. Everything's fine.
[01:14:51.800 --> 01:14:55.800]  Right. So, you know, I've seen video of her falling off the back of the stage.
[01:14:55.800 --> 01:14:58.800]  I mean, this, she is, she's doing practice.
[01:14:58.800 --> 01:15:01.800]  Roger, we're about to go to break, but let me ask you this. In your gut,
[01:15:01.800 --> 01:15:03.800]  do you think she shows up and if she does,
[01:15:03.800 --> 01:15:07.800]  does she have a coughing fit, or does she collapse?
[01:15:07.800 --> 01:15:09.800]  All right. When we can return.
[01:15:09.800 --> 01:15:12.800]  Again, we want to plug the websites that carry both your books,
[01:15:12.800 --> 01:15:19.800]  the Clinton's War on Women, the Bushcrime Family, infowarstore.com.
[01:15:19.800 --> 01:15:21.800]  Can Hillary Clinton not mean this?
[01:15:21.800 --> 01:15:23.800]  Because quite frankly, I want this to happen tomorrow night.
[01:15:23.800 --> 01:15:25.800]  I want Trump to destroy her.
[01:15:25.800 --> 01:15:28.800]  This is a serial criminal. I just can't wait to see it.
[01:15:28.800 --> 01:15:33.800]  I am absolutely questioning myself right now. You know, will she show up?
[01:15:33.800 --> 01:15:34.800]  I don't think she can.
[01:15:34.800 --> 01:15:36.800]  I mean, she's been gone for a week if she does.
[01:15:36.800 --> 01:15:37.800]  What are the bets?
[01:15:37.800 --> 01:15:39.800]  Coughing fit, 90%.
[01:15:39.800 --> 01:15:41.800]  Falling down, 34%.
[01:15:41.800 --> 01:15:45.800]  I mean, having to hang on the podium, but will that be her victimhood?
[01:15:45.800 --> 01:15:47.800]  In the new America, will it be if she like,
[01:15:47.800 --> 01:15:50.800]  craps her diapers, her adult diapers?
[01:15:50.800 --> 01:15:53.800]  Will that be read by the Democrats as the new tea leaves,
[01:15:53.800 --> 01:15:55.800]  the new portend to worship?
[01:15:55.800 --> 01:15:59.800]  It's not just our water we need to filter.
[01:15:59.800 --> 01:16:01.800]  It's not just our food that needs to be cleaned.
[01:16:01.800 --> 01:16:04.800]  It's the air we're breathing, especially for our children.
[01:16:04.800 --> 01:16:07.800]  The artificial particulates, the chemicals,
[01:16:07.800 --> 01:16:10.800]  is absolutely weighing down our immune systems.
[01:16:10.800 --> 01:16:13.800]  The same team based right here in America that brought you
[01:16:13.800 --> 01:16:16.800]  the Alexa Pure groundbreaking water filtration systems
[01:16:16.800 --> 01:16:19.800]  have now developed Alexa Pure Breeze.
[01:16:19.800 --> 01:16:22.800]  Whether it's your home or office, you owe it to yourself,
[01:16:22.800 --> 01:16:25.800]  your coworkers, your family, your children,
[01:16:25.800 --> 01:16:27.800]  to the best job you can to purify your air.
[01:16:27.800 --> 01:16:30.800]  The elite are masters at poisoning our environment,
[01:16:30.800 --> 01:16:32.800]  while themselves doing things that mitigate
[01:16:32.800 --> 01:16:35.800]  or avoid most of the toxic effects for themselves.
[01:16:35.800 --> 01:16:37.800]  The general public doesn't.
[01:16:37.800 --> 01:16:41.800]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[01:16:41.800 --> 01:16:45.800]  One of these systems can keep 800 square feet incredibly clean.
[01:16:45.800 --> 01:16:47.800]  This is a system I'm personally putting in throughout my house,
[01:16:47.800 --> 01:16:51.800]  replacing older, more expensive filters that didn't do as good a job.
[01:16:51.800 --> 01:16:54.800]  Find out why this system is so revolutionary today
[01:16:54.800 --> 01:17:23.800]  at InfowarsStore.com.
[01:17:25.800 --> 01:17:28.800]  Instead of buying five, six, or even seven different cleansing products,
[01:17:28.800 --> 01:17:31.800]  we use decades old scientific research
[01:17:31.800 --> 01:17:34.800]  that puts together the Rolls Royce of all-in-one cleansing.
[01:17:34.800 --> 01:17:37.800]  Look, there's a reason deep cleanse is the only product on the market
[01:17:37.800 --> 01:17:41.800]  that uses our proprietary SpyJurex herbal processing technique.
[01:17:41.800 --> 01:17:44.800]  We use only the highest quality organic herbs backed by serious research,
[01:17:44.800 --> 01:17:47.800]  and we still bring it to you at the best price out there.
[01:17:47.800 --> 01:17:50.800]  If you wish to find deep cleanse and experience the all-in-one cleansing,
[01:17:50.800 --> 01:17:57.800]  visit InfowarsLife.com. That's InfowarsLife.com, or call 888-253-3139.
[01:18:21.800 --> 01:18:26.800]  And when the Fukushima crisis worsened, as it still is worsening today,
[01:18:26.800 --> 01:18:29.800]  I was there telling you how to prepare yourself and your family.
[01:18:29.800 --> 01:18:33.800]  Now, in 2016, even more information has been revealed
[01:18:33.800 --> 01:18:36.800]  concerning the connection between iodine and the gut,
[01:18:36.800 --> 01:18:42.800]  which many experts are now saying could be the biggest revelation ever concerning iodine.
[01:18:42.800 --> 01:18:44.800]  You can pull these studies up for yourself.
[01:18:44.800 --> 01:18:47.800]  This is the real deal, folks, and the truth is that iodine is essential,
[01:18:47.800 --> 01:18:50.800]  in my view, to any optimum health regimen.
[01:18:50.800 --> 01:18:54.800]  Stock up on Survival Shield X2 today at InfowarsLife.com,
[01:18:54.800 --> 01:19:18.800]  or by calling 888-253-3139.
[01:19:25.800 --> 01:19:27.800]  If you're dealing with a health challenge,
[01:19:27.800 --> 01:19:29.800]  or if you're healthy and want to maintain your vigor and longevity,
[01:19:29.800 --> 01:19:33.800]  and you're looking for a convenient, easy way to incorporate nutritional raw materials
[01:19:33.800 --> 01:19:37.800]  into your day-to-day lives to guarantee that your body is getting the fundamental nutrients,
[01:19:37.800 --> 01:19:42.800]  the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[01:19:42.800 --> 01:19:45.800]  you need to check out InfowarsTeam.com.
[01:19:45.800 --> 01:19:47.800]  Give your body the gift of good nutrition.
[01:19:47.800 --> 01:19:50.800]  Head over to InfowarsTeam.com.
[01:19:50.800 --> 01:19:52.800]  Your body will be very grateful.
[01:19:52.800 --> 01:19:55.800]  Visit our website at InfowarsTeam.com.
[01:19:55.800 --> 01:20:23.800]  You're listening to The Alex Jones Show.
[01:20:23.800 --> 01:20:27.800]  This is the latest corporate crony capitalist in our entire free market
[01:20:27.800 --> 01:20:30.800]  that works with different forms of authoritarianism.
[01:20:30.800 --> 01:20:33.800]  Our guest is going to be with us till 45 after the last segment.
[01:20:33.800 --> 01:20:36.800]  We're going to have Purely to cover News and Liam McAdoo,
[01:20:36.800 --> 01:20:39.800]  but she's here riding shotgun with us right now through this segment and the next.
[01:20:39.800 --> 01:20:41.800]  Pop it anytime, Liam.
[01:20:41.800 --> 01:20:43.800]  We've got two more segments with Roger Stone.
[01:20:43.800 --> 01:20:47.800]  Tomorrow, 11 a.m. to 3 p.m., I'll be live on the air,
[01:20:47.800 --> 01:20:50.800]  and then we've got the coverage of the debate an hour before.
