[00:00:13.112 --> 00:00:19.157]  Ladies and gentlemen,
[02:08:10.360 --> 02:08:11.500]  By the way, just a little footnote.
[02:08:11.500 --> 02:08:12.340]  I didn't cover this Sunday.
[02:08:12.340 --> 02:08:13.421]  I meant to.
[02:08:13.421 --> 02:08:14.401]  The Polish president
[02:08:15.342 --> 02:08:21.883]  Had Germany there apologizing to him for killing six million Poles.
[02:08:21.883 --> 02:08:24.364]  And by the way, they probably killed more than that.
[02:08:24.364 --> 02:08:27.204]  I mean, Nazi Germany just attacked Poland for no reason.
[02:08:27.204 --> 02:08:28.325]  And the president complained.
[02:08:28.325 --> 02:08:33.646]  He said, all we ever hear about is Israel and Jews getting reparations.
[02:08:33.646 --> 02:08:35.186]  We deserve it.
[02:08:35.186 --> 02:08:41.187]  By the way, I think the Jews deserve reparations from Germany, and they've paid them for what they did.
[02:08:41.187 --> 02:08:42.988]  They definitely targeted Hitler and targeted Jews.
[02:08:42.988 --> 02:08:43.488]  That's a fact.
[02:08:44.329 --> 02:08:56.920]  But man, Hitler killed 20 million Russians, 6 plus million Poles, and 22 million Germans died under Hitler.
[02:08:56.920 --> 02:09:01.324]  Hitler was the worst thing ever hit Germany.
[02:09:01.324 --> 02:09:02.706]  He was a megalomaniac.
[02:09:05.401 --> 02:09:10.083]  There's this movement because the media is such liars and so corrupt to then think, oh, Hitler must have been good.
[02:09:10.083 --> 02:09:11.144]  No, folks, not good.
[02:09:11.144 --> 02:09:12.344]  Very bad.
[02:09:12.344 --> 02:09:15.026]  And actually was manipulated by the West to do what he did.
[02:09:16.577 --> 02:09:20.280]  But I was actually watching part of that ceremony after it had happened.
[02:09:20.280 --> 02:09:23.202]  I think it happened on Friday, but I was reading about it on Saturday.
[02:09:23.202 --> 02:09:26.644]  And I've just studied what happened to Poland.
[02:09:26.644 --> 02:09:34.009]  Hitler attacked Poland first by staging a false flag attack on his own military bases in Operation Himmler at Gleiwitz.
[02:09:34.009 --> 02:09:39.973]  And it just shows you how incredible history is and just how out of control things have gotten.
[02:09:39.973 --> 02:09:43.936]  And you see the world lining up again along the same power axes.
[02:09:44.944 --> 02:09:46.525]  It's just an amazing time to be alive.
[02:09:46.525 --> 02:09:55.592]  I want to go to your phone calls on what's been unfolding and the fact that they are coming after our guns.
[02:09:55.592 --> 02:10:07.280]  But speaking of CNN not being enemy of the people, mainstream news, corporate news, is calling to crash the economy, is supporting the private Federal Reserve, trying to block our recovery at China's behest.
[02:10:07.280 --> 02:10:09.221]  This is treason!
[02:10:09.221 --> 02:10:11.623]  And it's so outlandish, people can't even believe it's happening.
[02:10:13.404 --> 02:10:16.808]  But we're winning, and Trump's winning overall, but just barely.
[02:10:16.808 --> 02:10:18.730]  And that's what's so scary.
[02:10:18.730 --> 02:10:27.519]  And now all this Internet censorship's coming in, that's being run by Democrats in government, and even the Rolling Stone magazine quotes them running the censorship!
[02:10:27.519 --> 02:10:31.563]  Big Tech's being told to do this!
[02:10:31.563 --> 02:10:36.028]  And they'll go to one hearing and they'll call for more censorship, and they'll go to another hearing and the Democrats all read off the
[02:10:37.500 --> 02:10:38.580]  Prepared statement.
[02:10:38.580 --> 02:10:39.361]  It's crazy.
[02:10:39.361 --> 02:10:40.761]  Google's never censored anybody.
[02:10:40.761 --> 02:10:41.781]  It's all lies.
[02:10:41.781 --> 02:10:48.483]  And then the very same Democrat will go in another hearing and call for more censorship.
[02:10:48.483 --> 02:10:51.524]  It's just this dual game and anybody could link up those clips.
[02:10:51.524 --> 02:10:53.264]  We should do that.
[02:10:53.264 --> 02:10:57.526]  Where they're saying there's no censorship, another committee hearing calling for it.
[02:10:57.526 --> 02:10:58.726]  So what do we do about this?
[02:10:58.726 --> 02:10:59.626]  What does Trump do about it?
[02:10:59.626 --> 02:11:04.208]  Because if you want to talk about someplace Trump's dropped the ball miserably.
[02:11:04.208 --> 02:11:05.448]  At his own extreme danger.
[02:11:06.476 --> 02:11:13.982]  Let me tell you, they get the big guy, a lot of us are going to have to leave the United States.
[02:11:13.982 --> 02:11:17.084]  The Democrats are going to put everybody in prison, and they've said they are.
[02:11:17.084 --> 02:11:19.806]  In fact, here's a couple clips of them threatening people just recently.
[02:11:21.425 --> 02:11:25.967]  Not that Trump has to lose, but that all his enablers have to lose.
[02:11:25.967 --> 02:11:29.429]  We have to collectively, in essence, burn down the Republican Party.
[02:11:29.429 --> 02:11:36.873]  That sentiment at the core of the coalition cannot be pried loose, and it cannot be negotiated with, and it cannot be appeased.
[02:11:37.153 --> 02:11:38.514]  We have to level them.
[02:11:38.514 --> 02:11:40.556]  Utterly confronted and destroyed.
[02:11:40.556 --> 02:11:43.258]  That is the only way to break the coalition apart.
[02:11:43.258 --> 02:11:48.922]  Because if there are survivors, if there are people who weathered this storm, they will do it again.
[02:11:48.922 --> 02:11:52.425]  You have to go out and beat these folks if they don't agree with you.
[02:11:52.425 --> 02:11:56.748]  What we've got to do is fight in Congress, fight in the courts, fight in the streets.
[02:11:56.748 --> 02:12:03.093]  And if you see anybody from that cabinet in a restaurant, in a department store,
[02:12:15.556 --> 02:12:18.337]  What we should be doing is shunning these people.
[02:12:18.337 --> 02:12:25.699]  Shunning, shaming these people is a statement of moral indignation that these people are not fit for polite society.
[02:12:25.699 --> 02:12:27.039]  They have shamed themselves too much.
[02:12:28.044 --> 02:12:29.905]  The heart of the thing must be ripped out.
[02:12:29.905 --> 02:12:31.585]  The darkness must be banished.
[02:12:31.585 --> 02:12:38.487]  The people who feel moral revulsion at that display we saw last night must collectively mobilize in greater numbers than the chanters.
[02:12:38.487 --> 02:12:41.868]  Up and down the ticket, federal, state, local offices.
[02:12:41.868 --> 02:12:43.508]  The country has to repudiate this.
[02:12:43.508 --> 02:12:47.009]  The press always asks me, don't I wish I were debating him?
[02:12:47.009 --> 02:12:49.510]  No, I wish during high school I could take him behind the gym.
[02:12:49.510 --> 02:12:51.010]  That's what I wish.
[02:12:51.010 --> 02:12:55.111]  If we were in high school, I'd take him behind the gym and beat the hell out of him.
[02:12:58.657 --> 02:13:00.637]  Let me give you one bottom line.
[02:13:00.637 --> 02:13:03.798]  As a former government official, government's gonna kill this guy.
[02:13:03.798 --> 02:13:05.418]  That's so entertaining.
[02:13:05.418 --> 02:13:06.919]  And that's only to scratch the surface.
[02:13:06.919 --> 02:13:10.499]  We could cut in all the people threatening and harassing people at their homes.
[02:13:10.499 --> 02:13:18.621]  I could cut in Wolf Blitzer saying, it's important to note, the man that shot Scalise and tried to kill the other Republicans, he wasn't a monster.
[02:13:18.621 --> 02:13:21.821]  He was upset about what's happening in this country.
[02:13:21.821 --> 02:13:23.382]  Remember that clip?
[02:13:23.382 --> 02:13:23.582]  I mean...
[02:13:26.974 --> 02:13:29.296]  Here's another clip and we'll go to your calls.
[02:13:29.296 --> 02:13:34.521]  This is MSNBC saying Republicans are playing dirty pool with NRA board members.
[02:13:34.521 --> 02:13:35.923]  Go after their businesses!
[02:13:39.690 --> 02:13:50.618]  I think at this point it's up to the advocates on gun safety to really start playing tough, dirty pool with the NRA and start going after their board members.
[02:13:50.618 --> 02:13:52.860]  We've seen it in boycotts on advertising.
[02:13:52.860 --> 02:14:03.208]  I think it's meant to hold every single member of that board accountable in their hometowns and go after them and their businesses and call them out because
[02:14:05.389 --> 02:14:12.792]  Nothing will get changed until basically you're one or two steps removed from someone who's been touched by an act of gun violence.
[02:14:12.792 --> 02:14:18.794]  And we've seen one congressman get there, but unfortunately, I think until it hits a critical mass, we won't see it.
[02:14:18.794 --> 02:14:23.376]  All right, so Donny Deutch over there on MSNBC last week, members, said
[02:14:25.253 --> 02:14:26.513]  It's time to get dirty.
[02:14:26.513 --> 02:14:27.534]  It's time to play dirty.
[02:14:27.534 --> 02:14:30.074]  We know you've been playing dirty forever, bro.
[02:14:30.074 --> 02:14:33.675]  It's why, thank God, dirtbags like you don't have full control of the country.
[02:14:33.675 --> 02:14:39.557]  Every city you've got control of, though, is covered in feces, heroin needles, because the Democrats sell it to them.
[02:14:39.557 --> 02:14:42.477]  The Democrats are a gang.
[02:14:42.477 --> 02:14:44.338]  Whoever will pay them, they will follow the orders.
[02:14:45.646 --> 02:14:48.408]  And America's power was that we were open.
[02:14:48.408 --> 02:14:51.430]  It was also our weakness because they could then infiltrate us.
[02:14:51.430 --> 02:14:54.412]  And this country was on its knees three years ago.
[02:14:54.412 --> 02:14:56.393]  We're now on our feet.
[02:14:56.393 --> 02:14:58.615]  We've got serious wounds.
[02:14:58.615 --> 02:15:00.876]  But we're getting better fast.
[02:15:00.876 --> 02:15:05.480]  And that's why they're pulling out every stop they got because their whole system is going down.
[02:15:05.480 --> 02:15:08.642]  But it takes focus, it takes prayer, it takes commitment, it takes word of mouth.
[02:15:09.790 --> 02:15:11.672]  Don't just think of yourself as a bit player in this.
[02:15:11.672 --> 02:15:17.637]  You are the literal bloodstream, the brain, the eyes, the guts, the sinew, the bone, the will, the spirit.
[02:15:17.637 --> 02:15:19.359]  You are the law.
[02:15:19.359 --> 02:15:20.160]  You are the people.
[02:15:20.160 --> 02:15:20.800]  We are the people.
[02:15:20.800 --> 02:15:22.302]  Remember?
[02:15:22.302 --> 02:15:27.266]  And when you tell people about this live show, about InfoWars.com's live show,
[02:15:28.187 --> 02:15:31.070]  Or newswars.com forward slash show, or band.video.
[02:15:31.070 --> 02:15:33.372]  It's got David Knight's, my videos, all of them.
[02:15:33.372 --> 02:15:34.813]  It's got that much other contributors.
[02:15:34.813 --> 02:15:35.934]  Band.video.
[02:15:35.934 --> 02:15:37.655]  That's a URL that isn't censored yet, so share it.
[02:15:37.655 --> 02:15:38.396]  Band.video.
[02:15:38.396 --> 02:15:42.459]  When you do that, it moves the ball down the field like nothing else.
[02:15:42.459 --> 02:15:45.142]  So, we're in the huddle right now.
[02:15:45.142 --> 02:15:48.905]  Millions listening, but we're still 11 members on this team.
[02:15:48.905 --> 02:15:49.825]  We've got to fight hard.
[02:15:49.825 --> 02:15:50.246]  We're going to win.
[02:15:53.997 --> 02:15:55.258]  Maybe not today.
[02:15:55.258 --> 02:15:56.559]  Maybe not tomorrow.
[02:15:56.559 --> 02:16:00.301]  But soon, you'll need a plan and place to survive.
[02:16:00.301 --> 02:16:01.381]  Forget bunkers.
[02:16:01.381 --> 02:16:03.203]  You're not a live underground gopher.
[02:16:03.203 --> 02:16:04.923]  You need Survivalist Camps.
[02:16:04.923 --> 02:16:12.708]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.708 --> 02:16:13.729]  Bold statement?
[02:16:13.729 --> 02:16:14.709]  You bet.
[02:16:14.709 --> 02:16:17.191]  See them now at survivalistcamps.com.
[02:16:17.191 --> 02:16:19.412]  That's survivalistcamps.com.
[02:16:19.412 --> 02:16:22.193]  Trust your family's survival to survivalistcamps.com.
[02:16:23.752 --> 02:16:24.953]  Hi, I'm Dan Pilla.
[02:16:24.953 --> 02:16:28.875]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:16:28.875 --> 02:16:30.416]  I sued the IRS and won.
[02:16:30.416 --> 02:16:33.378]  I beat the IRS then, and I've been beating them ever since.
[02:16:33.378 --> 02:16:38.942]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:16:38.942 --> 02:16:40.143]  I can help you, too.
[02:16:40.143 --> 02:16:43.085]  If you owe taxes you can't pay, don't wait another day.
[02:16:43.085 --> 02:16:45.306]  There's no such thing as a hopeless tax case.
[02:16:45.306 --> 02:16:49.749]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[02:16:49.749 --> 02:16:52.030]  That's danpilla.com, danpilla.com.
[02:16:53.678 --> 02:16:55.639]  Heart disease is on the rise.
[02:16:55.639 --> 02:17:00.942]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:17:00.942 --> 02:17:02.542]  But the symptoms are there.
[02:17:02.542 --> 02:17:10.886]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:17:10.886 --> 02:17:16.589]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:17:16.749 --> 02:17:18.570]  My blood pressure has normalized.
[02:17:18.570 --> 02:17:20.731]  My diabetes has totally improved.
[02:17:20.731 --> 02:17:25.252]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:17:25.252 --> 02:17:27.433]  I recommend Heart and Body Extract to everyone.
[02:17:27.433 --> 02:17:35.296]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:35.336 --> 02:17:39.501]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[02:17:39.501 --> 02:17:43.386]  That's 8 6 6 2 9 5 5 3 0 5.
[02:17:43.386 --> 02:17:52.297]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[02:17:55.404 --> 02:18:04.989]  There are only a few days left for you to get DNA Force Plus at 50% off and get a free bottle of Carnivore 90 for free.
[02:18:04.989 --> 02:18:14.774]  That's 90 powerful enzyme capsules designed to help you digest and absorb protein and fat and to clean out your guts in a healthy way.
[02:18:15.054 --> 02:18:19.317]  DNA Force Plus is our flagship product and needs no introduction.
[02:18:19.317 --> 02:18:26.121]  But Carnivore is so amazing that I want to offer you a free bottle of it so you can experience how great it is.
[02:18:26.121 --> 02:18:30.984]  We will be out of Carnivore in just the next week or so at current sales levels.
[02:18:30.984 --> 02:18:33.245]  I'm doing this because it's such an important product for
[02:18:33.325 --> 02:18:34.106]  We're good to go!
[02:18:54.983 --> 02:19:01.129]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[02:19:01.129 --> 02:19:09.276]  It is a award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[02:19:09.276 --> 02:19:10.557]  It is cold-pressed.
[02:19:10.557 --> 02:19:17.003]  It takes at least three times the herbs that are wild-crafted and organic to be able to produce this.
[02:19:17.003 --> 02:19:18.184]  It's not boiled.
[02:19:18.184 --> 02:19:18.965]  It's not heated.
[02:19:18.965 --> 02:19:20.146]  It's never been dried.
[02:19:20.146 --> 02:19:21.307]  It's taken from fresh
[02:19:21.827 --> 02:19:22.628]  Herbs.
[02:19:22.628 --> 02:19:25.330]  That's why it's so strong.
[02:19:25.330 --> 02:19:29.112]  That's why it's so effective for libido, stamina, and energy.
[02:19:29.112 --> 02:19:43.082]  And I'm so excited about Super Mel Vitality and Carnivore 30 that I'm offering you with every order of Super Mel Vitality a 25% off a free bottle of Carnivore Digestive Enzyme.
[02:19:43.082 --> 02:19:44.523]  We're going to sell out of this very quickly.
[02:19:44.983 --> 02:19:49.326]  But it's an offer so that you experience how amazing both these products are.
[02:19:49.326 --> 02:19:57.733]  Secure yours at InfoWarsStore.com today or InfoWarsLife.com.
[02:19:57.733 --> 02:20:00.415]  You're listening to the Alex Jones Show!
[02:20:16.175 --> 02:20:23.663]  ...developments in China as huge ships disgorge tens of thousands more troops into Hong Kong.
[02:20:23.663 --> 02:20:28.207]  More bizarre zombie-like attacks where people just start eating the flesh out of other folks.
[02:20:28.207 --> 02:20:33.112]  Used to be a big deal when it first happened in Miami back in 2012, now it's every day.
[02:20:33.112 --> 02:20:37.596]  We've got Islamists just doing mass stabbings everywhere, so many reports I can't even cover them all.
[02:20:38.991 --> 02:20:42.072]  There is just so much to get to, but I want to go to your phone calls right now.
[02:20:42.072 --> 02:20:52.475]  In the last segment of this hour, Hollywood is involved in a revelation of the method, an externalization of the hierarchy, or what you call predictive programming.
[02:20:52.475 --> 02:20:58.337]  Now, this particular piece we're going to air in the final segment, I think was done by people, though, that are on the good side.
[02:20:58.337 --> 02:21:01.097]  There's no way this is preparing you for this.
[02:21:01.097 --> 02:21:03.318]  This is something where they're warning you.
[02:21:03.318 --> 02:21:05.139]  And it ties into Hunter S. Thompson.
[02:21:05.139 --> 02:21:05.879]  I'm going to leave it at that.
[02:21:06.789 --> 02:21:10.971]  This is a particular video that YouTube banned.
[02:21:10.971 --> 02:21:13.192]  Part of this report's new, part of this is old.
[02:21:13.192 --> 02:21:21.016]  YouTube said that it was discriminatory against Satanists.
[02:21:21.016 --> 02:21:21.916]  That's ridiculous.
[02:21:21.916 --> 02:21:25.438]  No, you don't talk about how it's wrong that they like to kill children.
[02:21:26.223 --> 02:21:27.604]  That's a sacrament.
[02:21:27.604 --> 02:21:29.226]  They're the protected group.
[02:21:29.226 --> 02:21:30.647]  You're going to learn.
[02:21:30.647 --> 02:21:34.851]  So that's coming up in the last segment of this hour before Paul Joseph Watson takes over.
[02:21:34.851 --> 02:21:36.653]  You'll want to stay with us.
[02:21:36.653 --> 02:21:37.653]  Let's go to your calls.
[02:21:37.653 --> 02:21:39.055]  The two big questions, if you just joined us.
[02:21:39.055 --> 02:21:45.861]  I'm asking the listeners, what do we do about the Democrats saying, we're going to take all your guns, not just semi-auto, time to repeal the Second Amendment.
[02:21:45.861 --> 02:21:46.942]  They're everywhere.
[02:21:46.942 --> 02:21:49.985]  Time to get violent, time to intimidate us, time to, I mean, this is getting crazy.
[02:21:51.007 --> 02:21:56.210]  As if it's our fault that psychos kill people with a car, or a knife, or a car, or a baseball bat.
[02:21:56.210 --> 02:21:57.971]  It doesn't matter what it is.
[02:21:57.971 --> 02:21:59.492]  It's the bad person.
[02:21:59.492 --> 02:22:03.994]  When Islamists stab people constantly, do we blame butcher knives?
[02:22:03.994 --> 02:22:05.235]  No, of course we don't.
[02:22:05.235 --> 02:22:07.076]  Or, you've got butcher knives in your home.
[02:22:07.076 --> 02:22:08.757]  How long will we put up with this?
[02:22:08.757 --> 02:22:13.300]  That another 10 people got stabbed in France yesterday at one stop, and another 20 other places.
[02:22:13.900 --> 02:22:18.964]  You know, a bunch of deaths and you damn chefs in France that own these big butcher knives.
[02:22:18.964 --> 02:22:22.347]  How much will you put up with your own guilty bloods on your hands?
[02:22:22.347 --> 02:22:26.370]  We had another Islamic run over 50 people or 100 people or 200 people.
[02:22:26.370 --> 02:22:28.592]  Remember that?
[02:22:28.592 --> 02:22:30.133]  On Christmas.
[02:22:30.133 --> 02:22:31.954]  How dare you drive trucks?
[02:22:31.954 --> 02:22:36.138]  It's all your fault, you big, long-haul, 18-wheeler drivers!
[02:22:37.796 --> 02:22:39.196]  We've got to get on the offense.
[02:22:39.196 --> 02:22:40.156]  How do we do that?
[02:22:40.156 --> 02:22:55.240]  And then what do you think about the Democrats admitting they're working with government groups to censor everybody, and then it's government orders to censor, and it's even in Rolling Stone magazine that the Democrats are the ones running the censoring, and it's government ordered, and Trump still won't do anything!
[02:22:55.240 --> 02:23:03.981]  Brandon, Steve, Judy, Chase, Pam, Ken, Jerome, Vlad, Alex, Brad, we're going to everybody before we end this transmission.
[02:23:03.981 --> 02:23:06.842]  Vlad in Washington, you're on the air, thanks for holding.
[02:23:08.464 --> 02:23:10.026]  Yeah, hi, Mr. Jones.
[02:23:10.026 --> 02:23:13.029]  I actually wanted to talk about the illegal actions that the Dems are doing.
[02:23:13.029 --> 02:23:18.716]  But before I get into that, I find it kind of funny that you mentioned the 18-wheel drivers, because I'm actually a long-haul driver myself.
[02:23:18.716 --> 02:23:19.757]  I have been since 2010.
[02:23:19.757 --> 02:23:22.380]  And it's just kind of hilarious, because...
[02:23:22.819 --> 02:23:29.826]  Sometimes in Europe, you know, a Muslim will grab an 18-wheeler, he'll run over a bunch of people, and they'll say, oh, should we ban 18-wheelers?
[02:23:29.826 --> 02:23:34.791]  No, you don't ban something because one individual that's a lunatic did something.
[02:23:34.791 --> 02:23:35.592]  Same thing for the guns.
[02:23:35.592 --> 02:23:38.515]  You don't ban them because some lunatic did something horrible.
[02:23:38.515 --> 02:23:44.260]  And again... What I'm trying to get into... Sure, I mean, even though mass shootings are up, no one can lie,
[02:23:45.041 --> 02:23:48.602]  They didn't exist until Harrison Klebold, basically, and the media hyping it.
[02:23:48.602 --> 02:23:52.364]  Studies show it's triggering crazies to think of it as an option.
[02:23:52.364 --> 02:23:54.784]  The media knows exactly what they're doing.
[02:23:54.784 --> 02:23:56.085]  Sorry.
[02:23:56.085 --> 02:23:59.246]  Well, that's why they keep covering all these mass shootings, because they want copycats.
[02:23:59.246 --> 02:24:05.208]  And they want this to keep happening over and over, so then they can come out and say, we need to ban guns, and they're the ones that are hyping the entire problem.
[02:24:05.208 --> 02:24:05.568]  Exactly.
[02:24:07.076 --> 02:24:09.137]  That's what I'm trying to say.
[02:24:09.137 --> 02:24:12.598]  In my opinion, Trump, he seems to be baiting the Dems all the time.
[02:24:12.598 --> 02:24:18.499]  I mean, as an example, with Millennia running around talking about expanded background checks, Trump's not going to sign it.
[02:24:18.499 --> 02:24:21.420]  He didn't sign a lot of the other anti-gun garbage that's been going around.
[02:24:21.420 --> 02:24:23.981]  I think what he's doing is more of a long game.
[02:24:24.802 --> 02:24:46.811]  In my opinion, this is the Patriots' phase of evidence gathering against YouTube, Facebook, Alphabet, Comey with the entire Kill Republicans agenda with the Kill Trump thing going on all over social media with actual politicians and certain mainstream media even talking about that we need to get rid of Trump, we need to get rid of Republicans, we can never stop, we have to basically plow them down and get rid of them everywhere.
[02:24:46.811 --> 02:24:52.113]  In my opinion, this is basically the Patriots gathering evidence.
[02:24:52.749 --> 02:24:58.313]  Of all these traitors that are committing crimes and committing treason publicly, and they're documenting everything in the background.
[02:24:58.313 --> 02:25:02.555]  You think about the tens of thousands of field indictments that are currently on the books as of right now.
[02:25:02.555 --> 02:25:05.197]  There's tens of thousands of them if you go look at it right now.
[02:25:05.197 --> 02:25:09.460]  I mean, long story short, in my opinion, I think we need to trust Trump.
[02:25:09.460 --> 02:25:14.883]  I don't agree with 100% of everything he does, but the vast majority of it, in my opinion, I just say trust Trump.
[02:25:14.883 --> 02:25:19.706]  Well, Vlad, I run into a lot of people I respect that like the whole Q thing, and so, you know,
[02:25:21.297 --> 02:25:23.399]  I'm not going to sit here and attack the whole Q thing.
[02:25:23.399 --> 02:25:24.520]  I just know this.
[02:25:24.520 --> 02:25:27.283]  I actually have talked to two NRA board members, okay?
[02:25:28.260 --> 02:25:37.864]  And they told me exactly what you just said, that Trump literally said, look, I'll tell them we'll do what you want, then they'll call for total confiscation and get nothing.
[02:25:37.864 --> 02:25:41.825]  I still don't like that type of manipulation, but I get what Trump's doing.
[02:25:41.825 --> 02:25:45.206]  And now I told you that he was going to come out and say, no, we're not doing it.
[02:25:45.206 --> 02:25:46.647]  It doesn't protect anybody.
[02:25:46.647 --> 02:25:47.567]  It wouldn't have saved anybody.
[02:25:47.567 --> 02:25:51.749]  And he did exactly that last week and again this weekend and again yesterday.
[02:25:51.749 --> 02:25:53.049]  So you're absolutely correct.
[02:25:53.049 --> 02:25:53.830]  But that's not from Q.
[02:25:54.850 --> 02:25:57.871]  That is directly from NRA board members.
[02:25:57.871 --> 02:26:00.933]  I mean, you understand that Ted Nugent's on the NRA board, right?
[02:26:00.933 --> 02:26:05.015]  I'm not gonna say he told me that, but I asked Ted on air when he was on a few weeks ago.
[02:26:05.015 --> 02:26:06.355]  I said, is this true?
[02:26:06.355 --> 02:26:07.696]  Have you heard this from other members?
[02:26:07.696 --> 02:26:08.817]  And he said, yes.
[02:26:08.817 --> 02:26:09.617]  I appreciate your call.
[02:26:09.617 --> 02:26:10.798]  God bless you.
[02:26:10.798 --> 02:26:14.339]  Okay, let's go to another ring-a-dingy here.
[02:26:14.339 --> 02:26:19.422]  Let's go ahead and talk to Chase in California.
[02:26:19.422 --> 02:26:20.002]  Thanks for calling.
[02:26:21.328 --> 02:26:23.449]  Hey, Alex, thanks for taking my call so much.
[02:26:23.449 --> 02:26:31.011]  And real quick, with that fluoride report that came out, make sure everybody gets their super blue toothpaste fluoride-free so you can brush your teeth with some freedom.
[02:26:31.011 --> 02:26:34.051]  Hey, you know, there's so many attacks coming out of the Second Amendment.
[02:26:34.051 --> 02:26:35.892]  We got it from the corporate world today.
[02:26:35.892 --> 02:26:40.493]  Walmart just announced that they're going to be banning all handgun ammunition sales.
[02:26:40.493 --> 02:26:42.914]  We also get it from a historical attack.
[02:26:42.914 --> 02:26:47.075]  You realize that they're waving red flags in our faces right now trying to take our guns?
[02:26:47.075 --> 02:26:48.255]  Let's go back in history.
[02:26:48.255 --> 02:26:50.656]  Mao Zedong waved a red flag and took some guns.
[02:26:51.232 --> 02:26:53.676]  Stalin waved the red flag and took some guns.
[02:26:53.676 --> 02:26:58.083]  And now we have these Democrats with Senate Bill 66 trying to ban assault weapons.
[02:26:58.083 --> 02:27:00.187]  But the good news, Alex, is House Bill 38
[02:27:01.209 --> 02:27:04.150]  Trying to get concealed carry reciprocity.
[02:27:04.150 --> 02:27:09.851]  Listen, I want to get to that solution, getting on the offense and getting stuff repealed to properly defend ourselves.
[02:27:09.851 --> 02:27:10.451]  That's the answer.
[02:27:10.451 --> 02:27:11.952]  But you're right.
[02:27:11.952 --> 02:27:18.534]  Every time the red flag of terror comes out under Lennon, under Stalin, under Mao, tens of millions die when they confiscate the guns.
[02:27:18.534 --> 02:27:20.214]  You just made an incredibly good point.
[02:27:20.214 --> 02:27:23.835]  When they took over in 1917, they ordered everybody that had guns to turn them in.
[02:27:23.835 --> 02:27:25.976]  They then killed millions of people.
[02:27:25.976 --> 02:27:26.856]  That is a great point.
[02:27:28.083 --> 02:27:30.686]  So Alex, I don't see how this hasn't been seen before.
[02:27:30.686 --> 02:27:36.274]  I've been trying to make the noise on my side, you know, I go live every night, and I talked about this very topic last night.
[02:27:36.274 --> 02:27:43.904]  It's weird that you're bringing it up today, because yes, the Democrats, if you look on their legislative calendar, they have a number of bills they're trying to go at.
[02:27:44.289 --> 02:27:48.631]  And just historically, I can't believe Americans don't see the red flag as a warning.
[02:27:48.631 --> 02:27:53.532]  They're trying to disarm you, they're trying to murder tens of millions, and now... And I want to be clear, I want to be clear.
[02:27:53.532 --> 02:27:58.934]  The Democrats have said they want violence, they've said they want to attack us, they've said they want to go after Christians.
[02:27:58.934 --> 02:28:00.315]  This is an evil group.
[02:28:00.315 --> 02:28:02.976]  And so absolutely, it's not hyperbole, it's not hype.
[02:28:02.976 --> 02:28:06.257]  They're coming for your guns, they're coming for your children.
[02:28:06.257 --> 02:28:07.757]  They are an evil group.
[02:28:07.757 --> 02:28:09.498]  They are committed to evil.
[02:28:09.498 --> 02:28:11.859]  And the answer is handgun reciprocity nationwide.
[02:28:12.159 --> 02:28:16.180]  The answer is arming good people so that we stop these psychotics instantly.
[02:28:16.180 --> 02:28:22.561]  Whether they're stabbing or using a truck or a gun, the answer is get people off the psychotropics that make them do this.
[02:28:22.561 --> 02:28:24.841]  Outlaw psychotropics now!
[02:28:24.841 --> 02:28:27.182]  Outlaw drugs that make people go psychotic.
[02:28:27.182 --> 02:28:28.902]  Great point, Chase!
[02:28:28.902 --> 02:28:30.502]  That's Chase in California.
[02:28:30.502 --> 02:28:32.202]  I think his handle is chasethepatriot.
[02:28:32.202 --> 02:28:34.243]  I've seen some of his videos, they're excellent.
[02:28:34.243 --> 02:28:40.404]  Alright, Brandon, Steven, Judy, Pam, Ken, Jerome, Mike, Alex, Brad, you're all straight ahead.
[02:28:40.404 --> 02:28:41.344]  But I got one question for you.
[02:28:42.366 --> 02:28:43.647]  We're in a war.
[02:28:43.647 --> 02:28:45.168]  Charity's come to our shores.
[02:28:45.168 --> 02:28:46.189]  It's real.
[02:28:46.189 --> 02:28:48.431]  My job is to get people awake and taking action.
[02:28:48.431 --> 02:28:49.872]  Are you taking action?
[02:28:49.872 --> 02:28:50.592]  Get the word out.
[02:28:50.592 --> 02:28:52.494]  Infowars.com forward slash show.
[02:28:53.647 --> 02:28:58.209]  If you're trying to quit drinking or doing too many drugs, listen to me.
