[00:00.000 --> 00:25.000]  This is our land, these are our people, the workers, the strivers, the builders, these
[54:00.000 --> 54:02.000]  It has the zinc oratate.
[54:02.000 --> 54:04.000]  And you can read about why you need that specifically.
[54:04.000 --> 54:06.000]  This is the once, twice daily, actually.
[54:06.000 --> 54:07.000]  We upped it.
[54:07.000 --> 54:08.000]  It wasn't going to be once.
[54:08.000 --> 54:10.000]  Now it's twice daily foundation for men.
[54:10.000 --> 54:12.000]  And this just gets you back to your baseline.
[54:12.000 --> 54:14.000]  And look, you will feel the difference when you take this.
[54:14.000 --> 54:18.000]  You can read about it on InfowarsLife.com, Anthroplex, the new product.
[54:18.000 --> 54:19.000]  You need to check it out.
[54:19.000 --> 54:23.000]  Especially if you've taken SuperMailVitality, give this a shot as well.
[54:23.000 --> 54:28.000]  If I was to pick the five products that you had to have, I would say X2 and Silver.
[54:28.000 --> 54:30.000]  Those are my first two that I got to have.
[54:30.000 --> 54:35.000]  And then SuperMailVitality, number three, even though that's our biggest seller, it's third on my list.
[54:35.000 --> 54:38.000]  And Secret12, which is amazing, and then Brainforce.
[54:38.000 --> 54:42.000]  But now I got to add Anthroplex and Knockout as well.
[54:42.000 --> 54:53.000]  I mean, that's like seven that I think if you had those, you could use those to maneuver your life into an optimum, you know, an optimum fighting Info Warrior death machine.
[54:53.000 --> 54:57.000]  Well, I'm definitely the ultimate test subject because I'm taking it all in the experimental phases.
[54:57.000 --> 54:59.000]  You know, I'm on a bunch right now that are experimental phases.
[54:59.000 --> 55:01.000]  But I've been taking Anthroplex for a long time.
[55:01.000 --> 55:05.000]  I have a protein shake every single morning where I put everything into it, right?
[55:05.000 --> 55:11.000]  But in the beginning, when I was testing specific things, I didn't want to just dump it all in and say, like, I feel good because of a million things.
[55:11.000 --> 55:12.000]  I was testing different ones.
[55:12.000 --> 55:13.000]  So I would actually phase it out.
[55:13.000 --> 55:14.000]  I would take nothing for two weeks.
[55:14.000 --> 55:17.000]  And then I would try the product for about a week and see the actual effects.
[55:17.000 --> 55:20.000]  And then I would, you know, go off for two weeks and try another product.
[55:20.000 --> 55:23.000]  And my top are Survival Shield X2 and Ace and Idyne.
[55:23.000 --> 55:24.000]  I mean, that's just the flagship.
[55:24.000 --> 55:25.000]  That's the base.
[55:25.000 --> 55:27.000]  That's just the number one period.
[55:27.000 --> 55:28.000]  The first product to everybody for his life.
[55:28.000 --> 55:30.000]  And then you have SuperMailVitality.
[55:30.000 --> 55:32.000]  The Brainforce is amazing.
[55:32.000 --> 55:34.000]  But DNAForce is also kind of a hidden jump.
[55:34.000 --> 55:35.000]  I don't want to give up.
[55:35.000 --> 55:36.000]  I don't want to give up all these.
[55:36.000 --> 55:40.000]  Trianthroplex, mainly, although at InfoWarsLife.com, there's so many good products.
[55:40.000 --> 55:41.000]  I actually am excited about it.
[55:41.000 --> 55:43.000]  You can tell we're excited about it.
[55:43.000 --> 55:45.000]  You can tell we're actually hopped up because we want to help you.
[55:45.000 --> 55:46.000]  Brainforce works.
[55:46.000 --> 55:47.000]  I've used it.
[55:47.000 --> 55:49.000]  I don't know how many times I felt foggy down, whatever.
[55:49.000 --> 55:51.000]  I pulled on all nighter and we did the Farrakhan interview.
[55:51.000 --> 55:52.000]  Brainforce got me through it.
[55:52.000 --> 55:53.000]  I remember that.
[55:53.000 --> 55:54.000]  I took it at 10 p.m. that night.
[55:54.000 --> 55:56.000]  I was going hard to about 4 a.m.
[55:56.000 --> 56:01.000]  Just like I'm editing and looking at all the clips and finding stuff and coming up with
[56:01.000 --> 56:04.000]  new ideas and just, it just turns, it turns on your brain.
[56:04.000 --> 56:08.000]  You told me the next day, you're like, man, that Brainforce really works.
[56:08.000 --> 56:09.000]  It does.
[56:09.000 --> 56:10.000]  And I don't take it every day.
[56:10.000 --> 56:15.000]  But the days I do take it, when I feel like I can't just not feel it, boom.
[56:15.000 --> 56:16.000]  I'll take a Brainforce.
[56:16.000 --> 56:17.000]  I mean, I haven't drank.
[56:17.000 --> 56:18.000]  I don't like coffee.
[56:18.000 --> 56:19.000]  I hate the taste.
[56:19.000 --> 56:20.000]  I drink it about twice a year.
[56:20.000 --> 56:22.000]  Why would I even drink coffee when I can just use Brainforce?
[56:22.000 --> 56:23.000]  Seriously, there's no reason.
[56:23.000 --> 56:24.000]  It's a pill.
[56:24.000 --> 56:25.000]  It's better for you.
[56:25.000 --> 56:28.000]  It actually increases and enhances your brain health.
[56:28.000 --> 56:31.000]  Coffee is like, man, if I don't drink my coffee tomorrow, I'm going to die.
[56:31.000 --> 56:32.000]  I hear people say that.
[56:32.000 --> 56:33.000]  Like, why would you subject yourself?
[56:33.000 --> 56:34.000]  Because it's got electrolytes.
[56:34.000 --> 56:35.000]  It's got what plants need.
[56:35.000 --> 56:37.000]  It's got what plants crave.
[56:37.000 --> 56:38.000]  All right.
[56:38.000 --> 56:39.000]  Anyway, look, we are going to get in.
[56:39.000 --> 56:40.000]  I don't have time to get to the airport.
[56:40.000 --> 56:41.000]  No, we don't have time to get to the airport now.
[56:41.000 --> 56:42.000]  All right.
[56:42.000 --> 56:43.000]  We are going to get to it next.
[56:43.000 --> 56:46.000]  And it is a report on the DHS to protect Super Bowl with F-15 warplanes.
[56:46.000 --> 56:48.000]  To get F-15 airplanes now.
[56:48.000 --> 56:49.000]  Fighter jets in the air.
[56:49.000 --> 56:51.000]  Could they stop 9-11 truthers?
[56:51.000 --> 56:53.000]  Look, the Super Bowl is all that matters, Rob.
[56:53.000 --> 56:54.000]  Nothing could stop 9-11 truthers.
[56:54.000 --> 56:55.000]  It's all that matters, OK?
[56:55.000 --> 56:56.000]  No, we're going to get into that.
[56:56.000 --> 56:57.000]  We've got some more news.
[56:57.000 --> 56:59.000]  We've got whether or not Jeb Bush is over with.
[56:59.000 --> 57:00.000]  We've got so much stuff.
[57:00.000 --> 57:02.000]  Barbara Bush says, I'm sick of Donald Trump.
[57:02.000 --> 57:05.000]  And again, the truth about the Super Bowl.
[57:05.000 --> 57:08.000]  So we'll be back. This is the Alex Junso, the Sunday edition.
[57:08.000 --> 57:11.000]  Remember, Alex is calling, coming up on the program.
[57:11.000 --> 57:15.000]  Alex is calling, giving his take on everything, including the debates last night.
[57:15.000 --> 57:16.000]  Stay tuned.
[57:16.000 --> 57:44.000]  You do not want to miss what is going on.
[57:46.000 --> 57:52.000]  SuperMailVitality is InfowarsLife.com's number one selling product for a good reason.
[57:52.000 --> 57:53.000]  It works.
[57:53.000 --> 57:57.000]  Go to InfowarsLife.com today and read the testimonials for yourself.
[57:57.000 --> 58:04.000]  There are thousands of them with an average voting score at an unprecedented 4.8.
[58:04.000 --> 58:12.000]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes
[58:12.000 --> 58:16.000]  that are blocked by estrogen mimicers and other toxic elements in the food chain.
[58:16.000 --> 58:22.000]  SuperMailVitality from InfowarsLife.com has sold out multiple times in the last three months.
[58:22.000 --> 58:29.000]  To fix that problem, we have now produced the biggest and most concentrated, high quality batch of SuperMailVitality in the product's history.
[58:29.000 --> 58:32.000]  Our new, ultra-strength formula is even stronger.
[58:32.000 --> 58:36.000]  Check out the third party reviews and informational videos at InfowarsLife.com.
[58:36.000 --> 58:39.000]  Now it's time to get your body in balance and fight back.
[58:39.000 --> 58:46.000]  I'm Alex Jones for SuperMailVitality and InfowarsLife.com, and I salute you, our supporters.
[59:10.000 --> 59:13.000]  Orange peel, zeolites, and others.
[59:13.000 --> 59:15.000]  Deep cleanse doesn't hold back.
[59:15.000 --> 59:21.000]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research
[59:21.000 --> 59:24.000]  that puts together the Rolls Royce of all-in-one cleansing.
[59:24.000 --> 59:31.000]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary spike-GRX herbal processing technique.
[59:31.000 --> 59:37.000]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[59:37.000 --> 59:42.000]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfowarsLife.com.
[59:42.000 --> 01:00:08.000]  Or call 888-253-3139.
[01:00:13.000 --> 01:00:17.000]  Welcome back. This is Anthony Gucciardi here with Rob Do.
[01:00:17.000 --> 01:00:20.000]  It's the Alex Jones Show Sunday edition.
[01:00:20.000 --> 01:00:27.000]  And Alex, again, is coming up at the last segment of the show to give you his take on what's happening with the debates,
[01:00:27.000 --> 01:00:29.000]  what's happening with the election, where it's all going.
[01:00:29.000 --> 01:00:33.000]  We had Richard Reeves on the ground in New Hampshire giving us an update of what's happening.
[01:00:33.000 --> 01:00:42.000]  And now we're segwaying a little bit into more news and also the almighty Superball, which begins in 30 minutes, Rob.
[01:00:42.000 --> 01:00:45.000]  It does. And you know, we do have a Leanne McAdder report.
[01:00:45.000 --> 01:00:50.000]  She went out on the street and talked to people in Austin of what they thought it was after the last Democratic debate.
[01:00:50.000 --> 01:00:52.000]  You know, they snuck it up on us.
[01:00:52.000 --> 01:00:55.000]  They said, all of a sudden, now we're going to have all these debates because people actually want to see debates.
[01:00:55.000 --> 01:01:01.000]  Because look at all the people watching the Republican debate, even though the last Democratic debate, I think 4.6 million watched.
[01:01:01.000 --> 01:01:05.000]  So not a lot of people care. I think the Democrats already had their mind made up who they're going to vote for.
[01:01:05.000 --> 01:01:08.000]  But Leanne McAdoo was out on the street. What's the title?
[01:01:08.000 --> 01:01:10.000]  Yeah, actually, that's a great idea. I had that one starred.
[01:01:10.000 --> 01:01:14.000]  Is Hillary Clinton feeling the burn? Leanne went out. It's very timely, actually, so we should play it.
[01:01:14.000 --> 01:01:20.000]  Leanne went out and did a man on the street, which are my favorite type of videos, and asked people about what's going on
[01:01:20.000 --> 01:01:25.000]  if they're actually into Hillary. And it yielded some very interesting results.
[01:01:25.000 --> 01:01:27.000]  If we have that video queued up, let's go ahead and play it.
[01:01:27.000 --> 01:01:31.000]  Hey, who do you guys think won the debate last night?
[01:01:31.000 --> 01:01:32.000]  We didn't see it. I'm sorry.
[01:01:32.000 --> 01:01:34.000]  No? Feeling the burn?
[01:01:34.000 --> 01:01:37.000]  Absolutely. I'm all for Bernie Sanders all day.
[01:01:37.000 --> 01:01:38.000]  Republican or Democrat?
[01:01:38.000 --> 01:01:40.000]  It was Democrat.
[01:01:40.000 --> 01:01:42.000]  Not Hillary, that's for sure.
[01:01:42.000 --> 01:01:43.000]  I like Bernie a lot.
[01:01:43.000 --> 01:01:45.000]  You're feeling the burn?
[01:01:45.000 --> 01:01:47.000]  Not about the burn, but I mean, he's saying a lot of things.
[01:01:47.000 --> 01:01:50.000]  I just don't know that he can get anything done in our political system, you know?
[01:01:50.000 --> 01:01:56.000]  Unfortunately, based on this year's candidates, I'm feeling the desire to move to Canada.
[01:01:56.000 --> 01:02:02.000]  Hillary Clinton or Bernie Sanders, who are you wanting to see in the White House?
[01:02:02.000 --> 01:02:04.000]  The Republican.
[01:02:04.000 --> 01:02:07.000]  Well, how strange do you think it is that he's almost tied with Clinton?
[01:02:07.000 --> 01:02:10.000]  She was like a shoe-in for president.
[01:02:10.000 --> 01:02:15.000]  Well, I don't think it's strange at all when you look at some of the behind-the-scenes campaign work that he's done,
[01:02:15.000 --> 01:02:18.000]  and just the number of individual contributions that he was able to collect.
[01:02:18.000 --> 01:02:24.000]  I think more people are on board with Bernie than the national media wanted us to think, so...
[01:02:24.000 --> 01:02:28.000]  I just don't think they really understand what socialism means,
[01:02:28.000 --> 01:02:32.000]  so I think they're going to be very surprised if he wins.
[01:02:32.000 --> 01:02:35.000]  Well, I think that democratic socialism is just the...
[01:02:35.000 --> 01:02:38.000]  That's the political system that's going to survive in our world today.
[01:02:38.000 --> 01:02:42.000]  I mean, all the countries in Europe that are successful, Scandinavian countries, German countries,
[01:02:42.000 --> 01:02:44.000]  that's what they do, you know?
[01:02:44.000 --> 01:02:47.000]  You get somebody to take care of your entire life, and you pay heavily for it.
[01:02:47.000 --> 01:02:51.000]  I used to go to school in Vermont, and I'm definitely feeling the burn pretty hard, so...
[01:02:51.000 --> 01:02:53.000]  What do you see for the empire?
[01:02:53.000 --> 01:02:55.000]  I see success.
[01:02:55.000 --> 01:02:57.000]  So, are you feeling the burn, or...?
[01:02:57.000 --> 01:03:00.000]  No. Oh, no, no, no. I'm on the other side.
[01:03:00.000 --> 01:03:03.000]  So, why do you think Clinton hasn't been arrested yet?
[01:03:03.000 --> 01:03:07.000]  She's protected by the political powers.
[01:03:07.000 --> 01:03:11.000]  So, she's got a big veil of strength in front of her that they can't get through.
[01:03:11.000 --> 01:03:16.000]  Do you think it's a failure of our political system that she's like the front-runner for the presidency?
[01:03:16.000 --> 01:03:18.000]  Oh, yes. Oh, do I agree.
[01:03:18.000 --> 01:03:23.000]  That's why I'm voting for Trump. I was a Democrat all the way, but a Republican all the way.
[01:03:23.000 --> 01:03:28.000]  I'm a Democrat, and I feel like both candidates are just not suited for what we have,
[01:03:28.000 --> 01:03:34.000]  and Donald Trump is at a completely different card, so it's a really tough decision.
[01:03:34.000 --> 01:03:37.000]  You don't think he would run the country like a business?
[01:03:37.000 --> 01:03:41.000]  God, I think he'd run it like a circus.
[01:03:41.000 --> 01:03:43.000]  So, you were a Democrat, and now you're voting Trump.
[01:03:43.000 --> 01:03:44.000]  Right.
[01:03:44.000 --> 01:03:45.000]  Wow, what happened?
[01:03:45.000 --> 01:03:48.000]  Well, because I'm tired of all the bull, you know what I mean?
[01:03:48.000 --> 01:03:54.000]  And he's just, he's not, he's not, I don't think he's out there for the money.
[01:03:54.000 --> 01:03:56.000]  I think he's out to straighten this country out.
[01:03:56.000 --> 01:03:57.000]  Yeah.
[01:03:57.000 --> 01:04:00.000]  And that's what we need. We need somebody who's going to bring back our jobs,
[01:04:00.000 --> 01:04:05.000]  stop outsourcing everything, and build the borders, like he said.
[01:04:05.000 --> 01:04:08.000]  Hillary may be a bitch, but you know what? She's our bitch.
[01:04:08.000 --> 01:04:09.000]  Join me.
[01:04:09.000 --> 01:04:13.000]  So, you don't see her getting arrested or indicted for anything?
[01:04:13.000 --> 01:04:18.000]  Oh, come on. Bill Clinton had a blowjob in the Oval Office.
[01:04:18.000 --> 01:04:19.000]  In the Oval Office.
[01:04:19.000 --> 01:04:21.000]  And he got indicted, but he not been getting impeached.
[01:04:21.000 --> 01:04:22.000]  I mean, come on.
[01:04:22.000 --> 01:04:23.000]  Over some emails?
[01:04:23.000 --> 01:04:24.000]  Question to them.
[01:04:24.000 --> 01:04:25.000]  Well, there you go.
[01:04:25.000 --> 01:04:28.000]  There was some interesting responses where they not.
[01:04:28.000 --> 01:04:29.000]  It was.
[01:04:29.000 --> 01:04:31.000]  It's always interesting to see what people have to say,
[01:04:31.000 --> 01:04:33.000]  especially after these debates.
[01:04:33.000 --> 01:04:35.000]  And, you know, a lot of people are still awake.
[01:04:35.000 --> 01:04:38.000]  I mean, still asleep, but we have some out there that are awake.
[01:04:38.000 --> 01:04:41.000]  You know, it's interesting to see when you find those people out on the street.
[01:04:41.000 --> 01:04:43.000]  We find them all the time, people that are awake.
[01:04:43.000 --> 01:04:44.000]  And, you know, what are you doing out there?
[01:04:44.000 --> 01:04:45.000]  Are you waking people up?
[01:04:45.000 --> 01:04:48.000]  Are you sitting on your couch just pretending everything's okay?
[01:04:48.000 --> 01:04:49.000]  Curling up in a ball?
[01:04:49.000 --> 01:04:51.000]  Or are you going to wake up?
[01:04:51.000 --> 01:04:52.000]  Don't curl up in a ball.
[01:04:52.000 --> 01:04:53.000]  We'll be right back.
[01:04:53.000 --> 01:04:54.000]  This is the Alex June Show.
[01:04:54.000 --> 01:05:21.000]  We'll be right back.
[01:05:21.000 --> 01:05:47.000]  We'll be right back.
[01:05:47.000 --> 01:06:07.000]  Hello, this is Hank Hill, and I'm telling you what,
[01:06:07.000 --> 01:06:18.000]  you need to listen to Alex Jones.
[01:06:18.000 --> 01:06:28.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:28.000 --> 01:06:29.000]  It is the Alex Jones Show.
[01:06:29.000 --> 01:06:33.000]  It's Super Bowl Sunday, and under 24 minutes, the Super Bowl starts.
[01:06:33.000 --> 01:06:35.000]  But you're not going to be watching the Super Bowl
[01:06:35.000 --> 01:06:38.000]  because you're going to be with us where the real fight is
[01:06:38.000 --> 01:06:40.000]  and actually doing something with your life.
[01:06:40.000 --> 01:06:43.000]  And I'm not attacking people to watch the Super Bowl again,
[01:06:43.000 --> 01:06:45.000]  but remember, this is more meaningful.
[01:06:45.000 --> 01:06:46.000]  This is a red alert scenario.
[01:06:46.000 --> 01:06:48.000]  This is an emergency transmission.
[01:06:48.000 --> 01:06:52.000]  Plus, Alex is coming up in a few segments to talk about his take on all this
[01:06:52.000 --> 01:06:56.000]  and what he finds to be the number one story right now.
[01:06:56.000 --> 01:06:57.000]  And we're going to get into some news.
[01:06:57.000 --> 01:07:02.000]  We've got a report how the DHS is using an F-15 jet fighter warplane
[01:07:02.000 --> 01:07:06.000]  over to protect the Super Bowl today with just a few jet fighters,
[01:07:06.000 --> 01:07:09.000]  because it is, after all, the most important thing in the world.
[01:07:09.000 --> 01:07:11.000]  But first, I want to share a story with you guys.
[01:07:11.000 --> 01:07:13.000]  And I also want to get Rob Duce take on this,
[01:07:13.000 --> 01:07:16.000]  who's riding shotgun with me for this entire program.
[01:07:16.000 --> 01:07:21.000]  And this is representative of how easy it is to overcome a bully.
[01:07:21.000 --> 01:07:23.000]  When I say a bully, what do I mean?
[01:07:23.000 --> 01:07:28.000]  A bully, such as the overreaching bloated government in some ways,
[01:07:28.000 --> 01:07:30.000]  such as just bullies of all kind,
[01:07:30.000 --> 01:07:34.000]  they're often pretty times, a lot of the time, pretty weak.
[01:07:34.000 --> 01:07:35.000]  So I was driving today.
[01:07:35.000 --> 01:07:36.000]  I was going to a restaurant.
[01:07:36.000 --> 01:07:38.000]  For those of you who don't know how Austin works,
[01:07:38.000 --> 01:07:43.000]  there's this thing where aspiring restaurateurs open restaurants in bad parts of town
[01:07:43.000 --> 01:07:46.000]  because it's cheap and they can have a good restaurant there.
[01:07:46.000 --> 01:07:49.000]  So I'm going to check out my buddy's restaurant.
[01:07:49.000 --> 01:07:52.000]  So I park in somewhat of a bad part of town,
[01:07:52.000 --> 01:07:54.000]  but I'm going to go to the restaurant, whatever.
[01:07:54.000 --> 01:07:56.000]  I'm from somewhat of a bad area.
[01:07:56.000 --> 01:07:58.000]  I know how to conduct myself.
[01:07:58.000 --> 01:08:02.000]  So I go into this convenience store and someone follows me
[01:08:02.000 --> 01:08:04.000]  into the convenience store right after I get out of my car.
[01:08:04.000 --> 01:08:05.000]  I look around.
[01:08:05.000 --> 01:08:06.000]  It's this guy.
[01:08:06.000 --> 01:08:09.000]  He's like super jacked and he's got like face tattoos,
[01:08:09.000 --> 01:08:12.000]  like in weird languages all over himself.
[01:08:12.000 --> 01:08:15.000]  And he's just staring me down, walking like two feet behind me.
[01:08:15.000 --> 01:08:20.000]  So I go to get a water, buying like a smart water out of the convenience store.
[01:08:20.000 --> 01:08:23.000]  I go up to check out and he's still following me after getting the water
[01:08:23.000 --> 01:08:25.000]  with nothing in his hands to the checkout.
[01:08:25.000 --> 01:08:27.000]  Again, super close behind me.
[01:08:27.000 --> 01:08:31.000]  I check out that even the checkout guy is looking at him and looking at me like,
[01:08:31.000 --> 01:08:33.000]  uh, what's, you know, what's going on here?
[01:08:33.000 --> 01:08:36.000]  I walk out the door and he follows me out the door.
[01:08:36.000 --> 01:08:38.000]  And that's when I realized, okay, I have to do something right away.
[01:08:38.000 --> 01:08:42.000]  So I'm walking over to the restaurant and he's still walking with me,
[01:08:42.000 --> 01:08:44.000]  getting closer and closer and closer.
[01:08:44.000 --> 01:08:47.000]  And that's when I turn around and I'm not, you know,
[01:08:47.000 --> 01:08:49.000]  I'm not like some hulking person.
[01:08:49.000 --> 01:08:51.000]  I turn around and I said, hey, what's up, man?
[01:08:51.000 --> 01:08:56.000]  And he looked, he just changes his expression from like a cold faced,
[01:08:56.000 --> 01:09:01.000]  had a jacked up dude looking at me all angry to nothing, nothing, nothing.
[01:09:01.000 --> 01:09:04.000]  And he walked away and goes through his car and drives away.
[01:09:04.000 --> 01:09:05.000]  Okay.
[01:09:05.000 --> 01:09:07.000]  So look, here's what this means.
[01:09:07.000 --> 01:09:11.000]  It is so easy sometimes to actually stand up to people.
[01:09:11.000 --> 01:09:13.000]  I mean, that guy could probably destroy me.
[01:09:13.000 --> 01:09:14.000]  Okay.
[01:09:14.000 --> 01:09:18.000]  But I'm, I'm looking at him in the eyes and saying, hey, what's up, man?
[01:09:18.000 --> 01:09:24.000]  And it's that it's actually just carrying and looking at him with intent
[01:09:24.000 --> 01:09:26.000]  and saying, hey, don't mess with me.
[01:09:26.000 --> 01:09:29.000]  Even though he could destroy me physically, looking at him
[01:09:29.000 --> 01:09:35.000]  and confronting him made him back off and really run away and get into his car.
[01:09:35.000 --> 01:09:37.000]  So what does that mean in the larger view?
[01:09:37.000 --> 01:09:41.000]  It means once you actually stand up for yourself and do something about it,
[01:09:41.000 --> 01:09:46.000]  with all of this crap going on, officially stand up, the bully will run away.
[01:09:46.000 --> 01:09:48.000]  The bully is weak.
[01:09:48.000 --> 01:09:49.000]  The bully is insecure.
[01:09:49.000 --> 01:09:52.000]  The bully has no power over you.
[01:09:52.000 --> 01:09:54.000]  None of these things have power over you.
[01:09:54.000 --> 01:09:57.000]  You can actually stop it by confronting and say, I'm not, I'm not going to deal with that.
[01:09:57.000 --> 01:09:58.000]  What's wrong with you?
[01:09:58.000 --> 01:10:00.000]  When you stand up, you'll be surprised.
[01:10:00.000 --> 01:10:02.000]  It's like pulling out your enemies fall.
[01:10:02.000 --> 01:10:03.000]  It's like pulling out a camera.
[01:10:03.000 --> 01:10:06.000]  If the cops or stopped you or a CPS person wants to come into your house,
[01:10:06.000 --> 01:10:08.000]  you pull out a camera and you start filming them.
[01:10:08.000 --> 01:10:11.000]  They're going to change because then they don't have anything to,
[01:10:11.000 --> 01:10:13.000]  they're not hiding behind that badge.
[01:10:13.000 --> 01:10:15.000]  They're not hiding behind their authority.
[01:10:15.000 --> 01:10:16.000]  They have to say what they are.
[01:10:16.000 --> 01:10:18.000]  They have to uncloak themselves.
[01:10:18.000 --> 01:10:21.000]  And that is the quickest way to get somebody to turn to pop out your camera
[01:10:21.000 --> 01:10:24.000]  and say, we're going to tape all our encounters together.
[01:10:24.000 --> 01:10:27.000]  I just want you to know that, especially if you come in my house.
[01:10:27.000 --> 01:10:31.000]  You know, this is something that most people definitely can't say.
[01:10:31.000 --> 01:10:37.000]  When I went into the NSA headquarters and I was arrested years ago,
[01:10:37.000 --> 01:10:41.000]  which I'm very sorry NSA for doing that because I was told if I came back,
[01:10:41.000 --> 01:10:43.000]  I would be thrown into a military prison.
[01:10:43.000 --> 01:10:45.000]  So I'm very, very sorry for that.
[01:10:45.000 --> 01:10:49.000]  I was told that I was going to potentially be eaten by a dog,
[01:10:49.000 --> 01:10:52.000]  a German shepherd who was a militarized German shepherd.
[01:10:52.000 --> 01:10:55.000]  But once we realized and told them that we were live streaming,
[01:10:55.000 --> 01:10:57.000]  which is a very brutish way to do it,
[01:10:57.000 --> 01:10:59.000]  but once we told them we were live streaming, they totally changed
[01:10:59.000 --> 01:11:01.000]  and everything was okay.
[01:11:01.000 --> 01:11:03.000]  By the way, this is going out to millions of people.
[01:11:03.000 --> 01:11:05.000]  They tried to steal our cameras and take everything out of it.
[01:11:05.000 --> 01:11:07.000]  And my whole thing with the NSA,
[01:11:07.000 --> 01:11:10.000]  and I'm not all about getting in cops' faces and filming them.
[01:11:10.000 --> 01:11:11.000]  No, no, I'm not about that.
[01:11:11.000 --> 01:11:14.000]  But the NSA is literally collecting every single thing that we do.
[01:11:14.000 --> 01:11:18.000]  So my angle was, why not go to the NSA and ask them for the information?
[01:11:18.000 --> 01:11:19.000]  That's what we did.
[01:11:19.000 --> 01:11:20.000]  We said, hey, give me your ID, bro.
[01:11:20.000 --> 01:11:21.000]  Give me your information.
[01:11:21.000 --> 01:11:22.000]  Give me your browser history.
[01:11:22.000 --> 01:11:24.000]  Take your laptop out and let me see it.
[01:11:24.000 --> 01:11:27.000]  Let me look at it because they're doing that to us, right?
[01:11:27.000 --> 01:11:29.000]  So there's definitely tactile ways.
[01:11:29.000 --> 01:11:32.000]  Anyway, we're going to talk a little bit about the Super Bowl.
[01:11:32.000 --> 01:11:35.000]  I want to hear your take on all this because I've kind of pontificated
[01:11:35.000 --> 01:11:38.000]  my views that it's really, if we could take 10% of the energy
[01:11:38.000 --> 01:11:41.000]  of everyone watching the Super Bowl, over 120 to 180 million people,
[01:11:41.000 --> 01:11:46.000]  and just put it in something that matters, imagine what we could do, right?
[01:11:46.000 --> 01:11:47.000]  We could do a lot.
[01:11:47.000 --> 01:11:49.000]  We could change the world in five seconds.
[01:11:49.000 --> 01:11:50.000]  But meanwhile...
[01:11:50.000 --> 01:11:53.000]  We could get leaders that really believe in what they're doing.
[01:11:53.000 --> 01:11:54.000]  Exactly, exactly.
[01:11:54.000 --> 01:11:58.000]  Do we have enough time now to go to this clip about the DHS?
[01:11:58.000 --> 01:11:59.000]  We do not have enough time.
[01:11:59.000 --> 01:12:00.000]  We'll have to hold it off for the next segment.
[01:12:00.000 --> 01:12:02.000]  I want to hear your take on the Super Bowl.
[01:12:02.000 --> 01:12:05.000]  Tell the people, a lot of people are about to go actually watch it
[01:12:05.000 --> 01:12:07.000]  in the next 15 minutes.
[01:12:07.000 --> 01:12:11.000]  Tell the people what you really think about the Super Bowl.
[01:12:11.000 --> 01:12:13.000]  You know, I've never understood football,
[01:12:13.000 --> 01:12:15.000]  why people are so obsessed with it to begin with
[01:12:15.000 --> 01:12:20.000]  because you have like five or six different officials out on the floor.
[01:12:20.000 --> 01:12:22.000]  Everything is a penalty.
[01:12:22.000 --> 01:12:24.000]  There's too much stop and go.
[01:12:24.000 --> 01:12:27.000]  To me, it doesn't have enough ump in it.
[01:12:27.000 --> 01:12:30.000]  And if I ever watch a game, I just watch the highlights.
[01:12:30.000 --> 01:12:31.000]  Because that's the only good...
[01:12:31.000 --> 01:12:35.000]  It's like, let's get these 10-second bits of entertainment and watch those.
[01:12:35.000 --> 01:12:38.000]  I'm not going to sit down for three and a half hours and waste my life.
[01:12:38.000 --> 01:12:39.000]  But that's what they like to do.
[01:12:39.000 --> 01:12:42.000]  They like you to sit down and waste three and a half hours of your life
[01:12:42.000 --> 01:12:44.000]  two or three times on a weekend
[01:12:44.000 --> 01:12:48.000]  just watching these games so they can push their corporate feces on you.
[01:12:48.000 --> 01:12:52.000]  I mean, that's what I really feel about professional sports in general.
[01:12:52.000 --> 01:12:54.000]  But I'm a pro sports fan.
[01:12:54.000 --> 01:12:56.000]  I think I play basketball.
[01:12:56.000 --> 01:12:57.000]  I like the snowboard.
[01:12:57.000 --> 01:12:59.000]  I don't think there's anything wrong with watching sports.
[01:12:59.000 --> 01:13:00.000]  I really don't.
[01:13:00.000 --> 01:13:01.000]  There's nothing every once in a while.
[01:13:01.000 --> 01:13:03.000]  It's when you get sucked in too much.
[01:13:03.000 --> 01:13:05.000]  It's like anything else, really.
[01:13:05.000 --> 01:13:06.000]  It's addiction of anything else.
[01:13:06.000 --> 01:13:09.000]  But once you get sucked in, and I noticed though,
[01:13:09.000 --> 01:13:11.000]  it is created in such a way to draw men in
[01:13:11.000 --> 01:13:15.000]  and use their primal instincts on things that could be creating
[01:13:15.000 --> 01:13:18.000]  and touching people in their lives and just enhancing the world.
[01:13:18.000 --> 01:13:23.000]  Instead, it's like instead of memorizing important facts and information
[01:13:23.000 --> 01:13:25.000]  or watching what's going on in the world,
[01:13:25.000 --> 01:13:27.000]  they memorize the stats of the players.
