[00:00.000 --> 00:14.000]  Waging War on Corruption. It's Alex Jones.
[58:49.000 --> 58:56.000]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine,
[58:56.000 --> 59:02.000]  a practice now banned in nations around the world. Guess what else is in the halogen family?
[59:02.000 --> 59:05.000]  Fluoride. Ladies and gentlemen, Alex Jones here.
[59:05.000 --> 59:11.000]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[59:11.000 --> 59:17.000]  It's the good halogen on the periodic table and the results are on record, reports documented,
[59:17.000 --> 59:23.000]  a 15-point IQ increase in areas that had previously been deficient in iodine.
[59:23.000 --> 59:32.000]  Bottom line, iodine is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[59:32.000 --> 59:37.000]  You will find Survival Shield nascent iodine exclusively at infowarslife.com.
[59:37.000 --> 59:42.000]  Infowars Life Survival Shield nascent iodine isn't just for emergencies.
[59:42.000 --> 59:50.000]  I take it every day. That's infowarslife.com or call toll-free 888-253-3139.
[59:50.000 --> 59:59.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:00:01.000 --> 01:00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[01:00:08.000 --> 01:00:12.000]  It's Alex Jones and the GCN Radio Network.
[01:00:12.000 --> 01:00:15.000]  I'm going to go to Hassan and Holland in the next segment, so stay there.
[01:00:15.000 --> 01:00:22.000]  Frank, John, Mark, Prospero, Donna, Truth Raider. We'll get to all of you right now.
[01:00:24.000 --> 01:00:30.000]  Let's go ahead and talk to Truth Raider in Oregon. Go ahead, Truth Raider.
[01:00:32.000 --> 01:00:34.000]  Hey, buddy, how's Club 40 treating you?
[01:00:34.000 --> 01:00:38.000]  I had 40s, the same as 39 for all I'm... It's good. Love it.
[01:00:38.000 --> 01:00:41.000]  Well, try Club 50. I got a lot to talk to you about.
[01:00:41.000 --> 01:00:48.000]  The brother here in Oregon, where I'm at, in the Portland, Oregon area, we have a great Ukraine population here.
[01:00:48.000 --> 01:00:50.000]  So I've gone around and I've talked to a couple of them.
[01:00:50.000 --> 01:00:55.000]  I have a couple of bankers, bank tellers that are from the Ukraine, and they're quite concerned with the situation.
[01:00:55.000 --> 01:01:04.000]  As a matter of fact, a couple of them have left the area here in trying to find out what they can do to help their relatives, you know, get out of harm's way.
[01:01:04.000 --> 01:01:10.000]  So what's their take on it? I mean, are they pro-Russia or pro-west, or are they just not wanting to war?
[01:01:10.000 --> 01:01:13.000]  They're just not wanting to war, for one thing.
[01:01:13.000 --> 01:01:16.000]  Most of them are pro-west.
[01:01:16.000 --> 01:01:21.000]  I mean, they like the way the system that they already had in place.
[01:01:21.000 --> 01:01:33.000]  So they're very, very upset with Russia trying to re-confiscate or take back what was already separated and already they were seceded from Russia already in the first place.
[01:01:33.000 --> 01:01:36.000]  So they're concerned. That's their position on it.
[01:01:36.000 --> 01:01:42.000]  It's a mixed variety of things, but they're certainly very concerned about their relatives who are still over there.
[01:01:42.000 --> 01:01:50.000]  Well, yeah, they got a lot of real beefs with the Russians, and just the issue is NATO started all this and overthrow the elected government.
[01:01:50.000 --> 01:01:53.000]  So that's the larger issue. I appreciate your call.
[01:01:53.000 --> 01:02:00.000]  Let's go ahead and take another call from Oregon. Let's go to Mark in Oregon. Mark, you're on the air.
[01:02:00.000 --> 01:02:01.000]  Hey, Alex.
[01:02:01.000 --> 01:02:02.000]  Hey, buddy.
[01:02:02.000 --> 01:02:07.000]  Hey, Alex, doing a marvelous job of covering this like nobody else has.
[01:02:07.000 --> 01:02:11.000]  Just wanted to express my appreciation for all the great information.
[01:02:11.000 --> 01:02:20.000]  And before I just get on to a quick bit of information I have related to the Russian situation, I wanted to just give you my impression of Glenn Beck.
[01:02:20.000 --> 01:02:24.000]  I tune into him for 20 or 30 seconds at the most once in a blue moon.
[01:02:24.000 --> 01:02:32.000]  And you know that old saying, like, you feel like you need to take a shower after you've been around someone. It's just a very disagreeable energy.
[01:02:32.000 --> 01:02:35.000]  And I soundly sympathize with you.
[01:02:35.000 --> 01:02:41.000]  Well, listen, I'm only bringing up the Glenn Beck thing because, I mean, he's like saying, I want to violent overthrow.
[01:02:41.000 --> 01:02:44.000]  And I want to, you know, basically kill people.
[01:02:44.000 --> 01:02:47.000]  And it's very dangerous. And it's meant to demonize me.
[01:02:47.000 --> 01:02:51.000]  And it's a White House talking point coming directly out of Rachel Maddow and media matters.
[01:02:51.000 --> 01:02:55.000]  So what is he doing putting out White House talking points?
[01:02:55.000 --> 01:03:02.000]  He's surely trying to get you off the airwaves and he's just just a real piece of scum.
[01:03:02.000 --> 01:03:10.000]  But Alex, I wanted to mention to you that something that really hasn't been covered so far in the situation ongoing in Russia.
[01:03:10.000 --> 01:03:21.000]  And that is that the Russians have some of the, if not the top physicist and electronic field related scientists in the world who developed their weapons systems.
[01:03:21.000 --> 01:03:31.000]  And one product of the weapons systems that they developed is called a cavitation torpedo, which can travel at Mach 3 around 2,000 miles per hour underwater,
[01:03:31.000 --> 01:03:37.000]  creating a bubble of waterless space in front of it that it travels through.
[01:03:37.000 --> 01:03:42.000]  And there's nothing that can stop it that the Americans have. And the Americans don't have it to my understanding.
[01:03:42.000 --> 01:03:47.000]  Another thing, Greg Ebertson, Edmondson was on Pastor Butch's Past Friday.
[01:03:47.000 --> 01:03:54.000]  And he said a Russian plane came over a U.S. destroyer in the Black Sea when it got over the destroyer at low altitude.
[01:03:54.000 --> 01:03:59.000]  All of the electronics on the destroyer went off. It became a dead ship.
[01:03:59.000 --> 01:04:05.000]  Well, no, no. I mean, absolutely. The Russians do have, well, look, they brought down a drone just a month ago with scramblers.
[01:04:05.000 --> 01:04:14.000]  And that's why they've got jets going into Ukraine right now, is I'll guarantee you they're practicing electronic warfare on those different vehicles and things. Absolutely.
[01:04:14.000 --> 01:04:22.000]  No, I mean, here's the deal. The Russians will fight back. And people keep saying, well, they're taking part of Eastern Ukraine.
[01:04:22.000 --> 01:04:31.000]  You've got an unelected government running around murdering everybody. And the Russians really know that NATO is coming up to their doorstep.
[01:04:31.000 --> 01:04:37.000]  So I don't know what Russia is expected to do. I'm not romanticizing Russia here. It's just that NATO started this.
[01:04:37.000 --> 01:04:41.000]  And if you start the fight, you don't have the moral high ground. Appreciate your call.
[01:04:41.000 --> 01:04:47.000]  We're going to talk to Hassan, Frank, John, Prospero, Donna and others.
[01:04:47.000 --> 01:04:56.000]  The toll-free number to join us, folks, is 877-789-2539. Wide open phones. Wide open phones. We'll be right back. Stay with us.
[01:04:56.000 --> 01:05:06.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:05:06.000 --> 01:05:14.000]  But it's not just the air outside that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:05:14.000 --> 01:05:19.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:05:19.000 --> 01:05:26.000]  There are more than 42 million smokers in the United States. Well over a thousand types of mold in mildew linked to numerous conditions.
[01:05:26.000 --> 01:05:31.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[01:05:31.000 --> 01:05:41.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape until we can fight back against.
[01:05:41.000 --> 01:05:52.000]  Made with organic and wild cultivated herbs and manufactured in the U.S.A. The new InfoWarsLife Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:05:52.000 --> 01:06:11.000]  Now available exclusively at infowarslife.com or by calling toll-free 888-253-3139.
[01:06:11.000 --> 01:06:26.000]  Obama loves you. Obama. We're bama, yo. And then we fire on. Families aren't good.
[01:06:26.000 --> 01:06:34.000]  Hitler took the guns. Stalin took the guns. Mal took the guns. Del Castro took the guns. Hugo Chavez took the guns.
[01:06:34.000 --> 01:06:46.000]  1776 will commence again if you try to take our firearms. The Republic will rise again when you attempt to take our guns.
[01:06:46.000 --> 01:06:57.000]  I am sworn upon the altar of God, internal hostility against every form of tyranny over the mind of man.
[01:06:57.000 --> 01:07:08.000]  The answer to 1984 is 1776. You're listening to the Alex Jones Show.
[01:07:08.000 --> 01:07:17.000]  You know, I'm not taking sides in the Ukraine-Russia-NATO situation. I just know that NATO in the EU three months ago, three and a half months ago,
[01:07:17.000 --> 01:07:22.000]  when they wouldn't vote to join the EU and be sucked dry, over through the elected government of Ukraine.
[01:07:22.000 --> 01:07:28.000]  Now they're going into Russian-ethnic areas attacking people with helicopters and tanks claiming Russia's doing something
[01:07:28.000 --> 01:07:35.000]  and Russia's threatening to invade to protect Russian people.
[01:07:35.000 --> 01:07:44.000]  And I don't have a side on the, quote, racist clippers owner, Donald Sterling, and the fact that he's a Democrat.
[01:07:44.000 --> 01:07:48.000]  And then his girlfriend recorded him saying, stop running around with the basketball players.
[01:07:48.000 --> 01:07:58.000]  But when you see Al Sharpton, the hardcore racist, race-pimp, riot promoter, FBI rat, cocaine dealer, reportedly,
[01:07:58.000 --> 01:08:03.000]  running around saying this guy shouldn't be able to own a team, now they'll accuse you of being a racist.
[01:08:03.000 --> 01:08:07.000]  And Alex can't be on their air. He might be a racist or you can't own a car dealership.
[01:08:07.000 --> 01:08:13.000]  You might be a racist or you can't own a restaurant. You can't work here because it's a new witch hunt.
[01:08:13.000 --> 01:08:18.000]  I mean, what about all these rappers, these black rappers that are so racist against Hispanics or whites or anybody else
[01:08:18.000 --> 01:08:24.000]  or other black folks that matter, whatever? I mean, are they allowed to put out their rap records? Of course they are.
[01:08:24.000 --> 01:08:29.000]  First amendment means you can say what you want. If you want a boycott, the clippers, go ahead.
[01:08:29.000 --> 01:08:34.000]  I want a boycott. This guy's girlfriend recording.
[01:08:34.000 --> 01:08:46.000]  Man, I mean, what is this new thing where you violate people's confidence in their house and then you're some type of hero?
[01:08:46.000 --> 01:08:52.000]  Unbelievable. I mean, this woman will never get a job anywhere again, probably.
[01:08:52.000 --> 01:09:00.000]  No one will ever have her around him privately again. Whatever happened to loyalty, whatever happened to privacy?
[01:09:00.000 --> 01:09:06.000]  I mean, I'll guarantee you, you go around recording just random five out of 10 black folks.
[01:09:06.000 --> 01:09:15.000]  You're going to have racial comments against people. You go record white people. You're going to hear some of that too.
[01:09:15.000 --> 01:09:20.000]  But a lot of it's just talk. There are a lot of mean people out there.
[01:09:20.000 --> 01:09:26.000]  There are a lot of country clubs that if you didn't go to college or everybody, I don't care how white you are, you're not welcome.
[01:09:26.000 --> 01:09:31.000]  You're some famous black golf player. They're going to want you in the country club.
[01:09:31.000 --> 01:09:39.000]  It's a lead-ism is what it is. But that's a side issue. The reason I raised the headline, racist clippers owner Donald Sterling as a Democrat,
[01:09:39.000 --> 01:09:43.000]  National Review, that's up on dredgereport.com and infowars.com,
[01:09:43.000 --> 01:09:49.000]  is because President Obama has now responded saying that alleged remarks are incredibly offensive.
[01:09:49.000 --> 01:09:55.000]  Well, yeah, but they're private comments. It's incredibly offensive that she recorded him.
[01:09:55.000 --> 01:10:03.000]  He's obviously jealous that she's running around with a bunch of guys who are a lot younger and better looking than he is.
[01:10:03.000 --> 01:10:09.000]  And he didn't say, and I hate all these people. He's saying, you know what, we're elitist. I'm the owner.
[01:10:09.000 --> 01:10:19.000]  You don't want to be running around with the players. That is standard elite talk, ladies and gentlemen, standard, standard.
[01:10:19.000 --> 01:10:25.000]  And the elitist circles, they don't even care if you've got $500 million in the bank and some elitist circles.
[01:10:25.000 --> 01:10:33.000]  It's what degrees you have. Like a lot of academics don't have any money, but they don't want you in their circle if you don't have five PhDs or whatever.
[01:10:33.000 --> 01:10:40.000]  It's the same deal. But the point is, we're on the edge of war with Russia. Russia is saying they may invade and we're talking about race issues right now.
[01:10:40.000 --> 01:10:48.000]  That's why I wanted to talk about that because I see Assad, Assad and Holland, he likens the rest of the situation to the Trayvon Martin case.
[01:10:48.000 --> 01:10:52.000]  How do you do that? Welcome to the airwaves, Assad.
[01:10:52.000 --> 01:10:54.000]  Hello?
[01:10:54.000 --> 01:10:56.000]  Yes, sir. You're on the air.
[01:10:56.000 --> 01:11:02.000]  Oh, I dream about that, that they are like Cain and Abel. Do you know Cain and Abel?
[01:11:02.000 --> 01:11:04.000]  Yes, from the Bible.
[01:11:04.000 --> 01:11:15.000]  From the Bible. What is this? The end of the world or something? Did you saw how Trayvon Martin was sitting on top of George Zimmerman?
[01:11:15.000 --> 01:11:25.000]  So are you saying that the West is basically overthrowing the government, they're sitting on top of the Russians, pushing them up to the edge of their border, trying to push the Russians out of Ukraine.
[01:11:25.000 --> 01:11:33.000]  They've been there forever. Are you likening the West as Trayvon Martin on top of George Zimmerman?
[01:11:33.000 --> 01:11:40.000]  No, I'm likening them to, do you know that Cain killed Abel and now Abel killed Cain?
[01:11:40.000 --> 01:11:48.000]  So you're just, oh no, no, I get it. The Russians have done bad things to the Ukrainians 70 years ago, so now they're going to do it back.
[01:11:48.000 --> 01:11:50.000]  Yeah.
[01:11:50.000 --> 01:11:56.000]  Good point. They have to stand the ground against Obama, who is the Cain.
[01:11:56.000 --> 01:12:03.000]  Very interesting analogy. Thanks for the call from Holland. Frank in New York, you're on the air. Go ahead.
[01:12:03.000 --> 01:12:05.000]  Thank you for taking my call, Alex. How are you?
[01:12:05.000 --> 01:12:08.000]  I'm all right. What do you think about all this?
[01:12:08.000 --> 01:12:15.000]  It's crazy, but I want to make three points. First of all, I told you last year about Glenn Beck. He's not a piece of trash. He really is.
[01:12:15.000 --> 01:12:18.000]  I'm not going to talk about it anymore, but he's a piece of trash.
[01:12:18.000 --> 01:12:25.000]  And second, as far as the NBA stuff, don't you think this is kind of suspicious that they're actually happening right now?
[01:12:25.000 --> 01:12:28.000]  Don't you think this is probably a smokescreen to take the attention on what's going on?
[01:12:28.000 --> 01:12:34.000]  Well, yeah, I wonder why she went in and recorded it because he sounds pretty nice. He's like, I love minorities. I love the players, blah, blah.
[01:12:34.000 --> 01:12:39.000]  But you're my girlfriend. You don't hang around with them. And then she keeps going, what? You're racist.
[01:12:39.000 --> 01:12:43.000]  He goes, no, that's not what I'm saying, blah, blah, but the media is only playing a little excerpt of it.
[01:12:43.000 --> 01:12:50.000]  And I'm not defending what he's saying. The point is, he's just saying, I'm an elitist pig. You're my woman. Don't hang around with other guys.
[01:12:50.000 --> 01:12:53.000]  She spins it as I'll hang out with whoever I want.
[01:12:53.000 --> 01:13:00.000]  And so, but yeah, I wonder who told her to do it. I bet it was a lawyer or something.
[01:13:00.000 --> 01:13:08.000]  Yes, I have suspicions about that. But in third of all, just remember this, Alex, in the Bible, it states that there will be rumors of wars and these days shall pass.
[01:13:08.000 --> 01:13:13.000]  So I don't think God has his implant to this. You know what I'm trying to get at.
[01:13:13.000 --> 01:13:20.000]  No, I agree. I mean, there's wars and rumors of wars as the quote. And I don't think this is going to turn to World War Three.
[01:13:20.000 --> 01:13:31.000]  But the thing is, there's a chance. The Russians rolled mobile ICBMs in 2008 when NATO was attacking their border and said, we will launch weapons in one hour at NATO bases.
[01:13:31.000 --> 01:13:42.000]  And NATO pulled out. So NATO's mad and I guess thinks they can have a better civil war this time in Ukraine. What do you think?
[01:13:42.000 --> 01:13:49.000]  I just feel, no, you're absolutely correct. I just feel that God has his own way of doing things. I don't think that's going to happen.
[01:13:49.000 --> 01:13:56.000]  I'm a Christian. So I have very faithful and that's not going to happen. And that's all I want to say to you.
[01:13:56.000 --> 01:14:02.000]  Well, God is in control, Frank. And I think if God wasn't having his hand of protection over us, we wouldn't even be here right now.
[01:14:02.000 --> 01:14:11.000]  So maybe you're right. I hope you're right. Prospero in Pennsylvania, if I'm pronouncing that right, go ahead. What's your take on this situation?
[01:14:11.000 --> 01:14:20.000]  I just want to say that I think that in fact, and I'll get off quickly and let you unpack this, but I think it's more likely that it is WW3.
[01:14:20.000 --> 01:14:27.000]  Warranted by the fact that you have Iran in the balance, Syria in the balance, Russia is holding that up.
[01:14:27.000 --> 01:14:37.000]  The end of the petrodollar in the balance, the Western banking system in the balance, the bond market in the balance, the US dollar.
[01:14:37.000 --> 01:14:47.000]  I mean, it just goes on and on and on. And there's not enough time left on the clock for them to wrap this up without getting something started.
[01:14:47.000 --> 01:14:56.000]  I consider it possibly being a Davos sort of agreement, but when Putin's not taking his phone calls anymore, and I think that's because he's saying,
[01:14:56.000 --> 01:15:10.000]  you know what, I see what you're doing to me. I'm not going to let you set up. I'm going to make you look like a jerk by not taking your calls. And I'm just going to call all your NATO friends in Europe and remind them what they're getting themselves signed on to.
[01:15:10.000 --> 01:15:15.000]  And Glenn Beck is a Judas Goat.
[01:15:15.000 --> 01:15:26.000]  Well, give this man a cigar. You just quantified everything I've had to say in an hour. You line up all the global crises. The Rand Corporation said two years ago they want a world war as a reset.
[01:15:26.000 --> 01:15:37.000]  It's the only way the elite can stay in power. They've committed so many crimes, gotten us in so much debt. They may do it just to distract everyone and get their world government set up.
[01:15:37.000 --> 01:15:52.000]  And yeah, Hitler and Stalin divided Poland secretly. The powers at the inter-World War II, Stalin and the U.S. divided Germany. The Allies show that could be going on, but it doesn't have the signs of that.
[01:15:52.000 --> 01:16:08.000]  I agree. It looks real, so I'll tell you. You just pointed out all the points though. Thank you, sir.
[01:16:23.000 --> 01:16:36.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com. This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:16:36.000 --> 01:16:43.000]  Hands down, this is my favorite coffee. And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:16:43.000 --> 01:16:53.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend. You will be supporting a free press.
[01:16:53.000 --> 01:17:00.000]  All the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[01:17:00.000 --> 01:17:10.000]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive. All the major networks are state-run.
[01:17:10.000 --> 01:17:17.000]  We are partnering this year with the NFL. The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[01:17:17.000 --> 01:17:28.000]  MSNBC tells us that our children belong to the state. We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families and recognize that kids belong to whole communities.
[01:17:28.000 --> 01:17:37.000]  It is more important than ever to realize that we are not the alternative media. We are the true media. The establishment dinosaur press is dying.
[01:17:37.000 --> 01:17:41.000]  We are in an information war, and we are losing that war.
[01:17:41.000 --> 01:17:48.000]  Join us at infowarsnews.com and prisonplanet.tv. Members can share their memberships with up to 11 people.
[01:17:48.000 --> 01:17:56.000]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[01:17:56.000 --> 01:17:59.000]  Join us at prisonplanet.tv.
[01:18:00.000 --> 01:18:04.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[01:18:04.000 --> 01:18:08.000]  This year alone, over 300,000 people in West Virginia had their drinking water contaminate.
[01:18:08.000 --> 01:18:12.000]  What are the health effects of having these drugs in our drinking water?
[01:18:12.000 --> 01:18:15.000]  It's forced medical treatment without the consent of residents.
[01:18:15.000 --> 01:18:22.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[01:18:22.000 --> 01:18:26.000]  On average, the county says it sprays with glyphosate at least once a week.
[01:18:26.000 --> 01:18:37.000]  Few filters cut out the glyphosates that is found in water supplies worldwide. Remove pesticides, herbicides, chloramines, hydrofluorosilic acid, sodium hexafluorosilicate.
[01:18:37.000 --> 01:18:41.000]  All right, it is in teats and coffees and waters and breads and toothpaste.
[01:18:41.000 --> 01:18:45.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[01:18:45.000 --> 01:18:48.000]  It's time to take action. It's time to filter our water.
[01:18:48.000 --> 01:18:55.000]  Visit infowarsews.com and use promo code WATER to get 10% off their entire family of incredible products.
[01:18:55.000 --> 01:19:00.000]  Or call toll-free 888-253-3139.
[01:19:00.000 --> 01:19:05.000]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[01:19:05.000 --> 01:19:08.000]  Why do we have the highest cancer rates on the planet?
[01:19:08.000 --> 01:19:13.000]  The highest rates of diabetes, autism, and every other major disease?
[01:19:13.000 --> 01:19:17.000]  It all comes down to one thing. We are what we eat.
[01:19:17.000 --> 01:19:21.000]  Our food is devoid of nutrition and processed with poisons and additives.
[01:19:21.000 --> 01:19:25.000]  Our water is filled with toxic poisons and big pharma runoff.
[01:19:25.000 --> 01:19:28.000]  All of this has been engineered by design.
[01:19:28.000 --> 01:19:31.000]  We can turn the tide against the eugenicist.
[01:19:31.000 --> 01:19:34.000]  By giving ourselves the nutrients our body desperately needs.
[01:19:34.000 --> 01:19:37.000]  To learn more, visit infowarsews.com.
[01:19:37.000 --> 01:19:42.000]  The site is literally packed with audio and video featuring top health professionals
[01:19:42.000 --> 01:19:44.000]  who don't bow down to big pharma.
[01:19:44.000 --> 01:19:47.000]  The fight against the new world order starts with you
[01:19:47.000 --> 01:19:51.000]  and you can't stand against the machine of your sick, tired, and obese.
[01:19:51.000 --> 01:19:54.000]  When you visit infowarsews.com, be sure and check out the catalog
[01:19:54.000 --> 01:19:57.000]  with nearly 400 life-changing products
[01:19:57.000 --> 01:20:00.000]  and get free shipping when you sign up for auto-ship.
[01:20:01.000 --> 01:20:04.000]  Coast to coast, direct from Austin.
[01:20:04.000 --> 01:20:19.000]  You're listening to the Alex Jones Broadcasting Network.
[01:20:34.000 --> 01:20:38.000]  Radioactive.
[01:20:38.000 --> 01:20:41.000]  Monday through Friday.
[01:20:41.000 --> 01:20:45.000]  11 a.m. to 2 p.m. Central.
[01:20:45.000 --> 01:20:47.000]  We have the weekday transmission.
[01:20:47.000 --> 01:20:51.000]  And find all the free podcast, audio, video feeds, infowarsews.com.
[01:20:51.000 --> 01:20:54.000]  We have the free iPhone app, all of it at infowarsews.com.
[01:20:54.000 --> 01:20:55.000]  PrisonPlanet.com.
[01:20:55.000 --> 01:20:57.000]  Follow us on Twitter at realalexjones.
[01:20:57.000 --> 01:20:58.000]  And then we come back Sundays.
[01:20:58.000 --> 01:21:02.000]  Here we are live, 4 to 6 p.m. Central.
[01:21:02.000 --> 01:21:05.000]  I'm going to go right back to your phone calls into the next segment,
[01:21:05.000 --> 01:21:09.000]  but then I've got to get into all this economic news, police state news,
[01:21:09.000 --> 01:21:14.000]  electricity news, get ready for your power prices to go up thanks to a U.N. treaty.
[01:21:14.000 --> 01:21:16.000]  That's all coming up.
[01:21:16.000 --> 01:21:24.000]  But it's almost gotten not annoying, but a hindrance.
[01:21:24.000 --> 01:21:27.000]  But I shouldn't be upset about it because it's a great sign.
[01:21:27.000 --> 01:21:33.000]  I went out last night to eat dinner downtown and to see a movie and do some other stuff.
[01:21:33.000 --> 01:21:34.000]  And I'm not exaggerating.
[01:21:34.000 --> 01:21:41.000]  I probably was stopped by 30 or more people that wanted to take photos with me
[01:21:41.000 --> 01:21:43.000]  or shake my hand or whatever.
[01:21:43.000 --> 01:21:45.000]  And I'm not bragging, hey, people know who I am.
[01:21:45.000 --> 01:21:47.000]  I can care less about that in and of itself.
[01:21:47.000 --> 01:21:49.000]  It's that liberty is popular.
[01:21:49.000 --> 01:21:54.000]  And most of them will just look at me and say,
[01:21:54.000 --> 01:21:59.000]  man, I used to watch you when I was in college at UT 15 years ago,
[01:21:59.000 --> 01:22:01.000]  and I thought you were nuts.
[01:22:01.000 --> 01:22:06.000]  And now it's all public or man, I used to think you were a kook.
[01:22:06.000 --> 01:22:08.000]  Let me buy you a drink.
[01:22:08.000 --> 01:22:11.000]  Everything you said is true.
[01:22:11.000 --> 01:22:14.000]  Just over and over and over again.
[01:22:14.000 --> 01:22:17.000]  Because sometimes I'd walk by people on the street and they'd say,
[01:22:17.000 --> 01:22:18.000]  hi, Alex, like your show.
[01:22:18.000 --> 01:22:21.000]  Other times people laugh at me or go boo or point their finger.
[01:22:21.000 --> 01:22:24.000]  I'm a minority of folks, but that never even really happens anymore.
[01:22:24.000 --> 01:22:27.000]  They'll walk over and go, man, I thought you were crazy.
[01:22:27.000 --> 01:22:30.000]  It's all coming true.
[01:22:30.000 --> 01:22:33.000]  The reason it's all coming true is it was already going on at certain levels
[01:22:33.000 --> 01:22:34.000]  beneath the surface.
[01:22:34.000 --> 01:22:38.000]  The corruption is so big now it's out in the open.
[01:22:38.000 --> 01:22:42.000]  And a lot of people are awake.
[01:22:42.000 --> 01:22:45.000]  Congress has a 6% approval rating.
[01:22:45.000 --> 01:22:48.000]  9% is the highest it goes.
[01:22:48.000 --> 01:22:51.000]  I mean, that's an illegitimate government. Obama's illegitimate.
[01:22:51.000 --> 01:22:53.000]  He's a criminal.
[01:22:53.000 --> 01:22:55.000]  And we've got to call them out for what they are.
[01:22:55.000 --> 01:22:59.000]  I mean, the website for Obamacare never worked on purpose.
[01:22:59.000 --> 01:23:03.000]  It turns out none of the idiots that think they signed up really signed up.
[01:23:03.000 --> 01:23:07.000]  You go to Walmart now, they got like a robot kiosk that tells incredibly healthy people
[01:23:07.000 --> 01:23:09.000]  they have diabetes and sign up for Obamacare.
[01:23:09.000 --> 01:23:13.000]  I mean, we played clips of that.
[01:23:13.000 --> 01:23:18.000]  Jakari Jackson's got like 2% body fat, no health issues, runs almost every day, lifts weights.
[01:23:18.000 --> 01:23:21.000]  He goes to Walmart and it tells him he's overweight and sick.
[01:23:21.000 --> 01:23:24.000]  You know, the robot to sign up for Obamacare.
[01:23:24.000 --> 01:23:26.000]  And all it is is an insurance company robot.
[01:23:26.000 --> 01:23:29.000]  You're just signing up to pay overpriced insurance.
[01:23:29.000 --> 01:23:31.000]  And they have your name put in the database.
[01:23:31.000 --> 01:23:35.000]  I don't want to argue with Obama supporters about what a screw job this is.
[01:23:35.000 --> 01:23:39.000]  If you want to believe it's a good deal, go ahead and believe it.
[01:23:39.000 --> 01:23:42.000]  If you want to believe that I'm a liar, then just believe it.
[01:23:42.000 --> 01:23:44.000]  Okay, I'm not a liar.
[01:23:44.000 --> 01:23:49.000]  Okay, I'm telling you the truth.
[01:23:49.000 --> 01:23:56.000]  Let's go to John in Wisconsin, then we'll go to Donna and a bunch of other folks that are holding.
[01:23:56.000 --> 01:23:59.000]  John in Wisconsin, thanks for calling in.
[01:23:59.000 --> 01:24:01.000]  What's on your mind today, sir?
[01:24:01.000 --> 01:24:05.000]  You said retired vet, you want to give us your take on the Russia situation?
[01:24:05.000 --> 01:24:16.000]  Yeah, I think Putin had a lightning bolt hit him back when they were having their G8 in Russia.
[01:24:16.000 --> 01:24:20.000]  Just from the body style between the two leaders and stuff like that.
[01:24:20.000 --> 01:24:25.000]  And I think that one or two things, either he knew that we weren't going to help him out,
[01:24:25.000 --> 01:24:31.000]  or he knows that there's not going to be any interference by the United States.
[01:24:31.000 --> 01:24:39.000]  And I think what he's doing, he's giving his people back to recreate the sovereignty that Russia used to have
[01:24:39.000 --> 01:24:46.000]  to go against the globalists, because he knows that it's a dead end street.
[01:24:46.000 --> 01:24:49.000]  No matter what you do, you can stand on one if you want to,
[01:24:49.000 --> 01:24:55.000]  but in the end, the only same 12 families are going to be in control of everything.
[01:24:55.000 --> 01:24:58.000]  And the globalists want to exterminate most of the population.
[01:24:58.000 --> 01:25:01.000]  The Russians pay you to have kids.
[01:25:01.000 --> 01:25:04.000]  They're top TV hosts on state-run media.
[01:25:04.000 --> 01:25:07.000]  Literally, I've been invited on the show.
[01:25:07.000 --> 01:25:09.000]  I'm not doing it. I'm not going on there.
[01:25:09.000 --> 01:25:14.000]  But the point is, talks about the New World Order, talks about cancer, viruses, and vaccines.
[01:25:14.000 --> 01:25:16.000]  And I know the Russian government listens to my show.
[01:25:16.000 --> 01:25:19.000]  I'm not romanticizing. I'm not even saying they're good.
