[00:00.000 --> 00:21.240]  these
[57:52.680 --> 57:58.200]  has come out and said they want to confiscate all semi auto firearms and now Buddha judge
[57:58.200 --> 58:04.440]  has come out and said that it's about political power that's why they want the guns well finally
[58:04.440 --> 58:09.400]  they're being honest because all their lies haven't got them to the point they want so
[58:09.400 --> 58:14.000]  now they're just trying to normalize all this tyranny it shows what incredible followers
[58:14.000 --> 58:18.160]  these people are the globalists know they're not going to get this without a civil war
[58:18.160 --> 58:22.600]  and they know that the minions trying to carry this out are not going to be in a good position
[58:22.600 --> 58:27.800]  in that civil war but it's up to us to understand the big picture to carry the fight to the enemy
[58:27.800 --> 58:33.040]  and the information war before they can kick off a hot civil war that's our mission if
[58:33.040 --> 58:37.400]  you choose to accept it so please spread the word about info wars dot com port slash show
[58:37.400 --> 58:41.840]  band dot video and all the powerful transmissions and reports and take advantage of store-wide
[58:41.840 --> 58:47.720]  free shipping double patriot points 50% off it's about to end at info wars store dot com
[58:47.720 --> 58:53.600]  I'm up here with the crew slate at night but I can't leave the office because history's
[58:53.600 --> 58:59.240]  happening right now this is a battle of wills between those that want a free world and those
[58:59.240 --> 59:05.240]  that want tyranny those who bet against humanity and those who bet on humanity so I'm so thankful
[59:05.240 --> 59:08.800]  to you the listeners you are the salt of the earth you're the people that understand
[59:08.800 --> 59:13.040]  what's happening and who have helped launch a worldwide revolution against tyranny so
[59:13.040 --> 59:16.440]  I thank you again but please understand how important you are and understand that your
[59:16.440 --> 59:21.280]  word of mouth and your prayer and your financial support is absolutely more critical than ever
[59:21.280 --> 59:26.200]  not just for president trump but for info wars who is president trumps bullhorn of nationalism
[59:26.200 --> 59:30.720]  and patriotism please spread the word about info wars dot com port slash show band dot
[59:30.720 --> 59:35.040]  video and all the powerful transmissions and reports support yourselves with great products
[59:35.040 --> 59:39.440]  at info wars store dot com this big mega sale that I call black friday comes early is about
[59:39.440 --> 59:43.800]  to end store-wide free shipping double patriot points 50% off all the amazing supplements
[59:43.800 --> 1:00:01.000]  and all the emergency goods at info wars store dot com you're listening to the alex jones
[1:00:01.000 --> 1:00:05.840]  show I want to get to you right now that we're gonna come back and get into the fact that
[1:00:05.840 --> 1:00:12.240]  trump is activating marines for domestic emergencies and aiding local police for a threat they
[1:00:12.240 --> 1:00:17.520]  say to come any minute we're obviously in a very serious situation right now but here's
[1:00:17.520 --> 1:00:24.680]  a report from miss khalik from being spooks to being spokespersons here it is after years
[1:00:24.680 --> 1:00:30.560]  in the shadows overseeing espionage kill programs warrantless wiretapping and trapping scyots
[1:00:30.560 --> 1:00:35.540]  and other covert operations national security establishment retirees are turning to a new
[1:00:35.540 --> 1:00:39.880]  line of work where they can carry out their imperial duties that is propagandizing the
[1:00:39.880 --> 1:00:45.360]  public on cable news reborn as cable news pundits these people are cashing in so many
[1:00:45.360 --> 1:00:50.400]  years working in the dark only to emerge in the studio lights of the same networks that
[1:00:50.400 --> 1:00:55.760]  rail all day every day against state tv from countries america hates i'm talking about people
[1:00:55.760 --> 1:01:02.360]  like former cia director john brennan who is now an nbc news senior national security
[1:01:02.360 --> 1:01:09.080]  and intelligence analyst ah yes john brennan a serial liar who has the nation's top spy
[1:01:09.080 --> 1:01:14.120]  defended torture and lied about u.s. drone strikes killing civilians in a drone program
[1:01:14.120 --> 1:01:20.040]  he helped architect now he gets to spew his talking points unchallenged on nbc nbc isn't
[1:01:20.040 --> 1:01:25.080]  alone in hiring former spooks as pundits almost every network has hired former national security
[1:01:25.080 --> 1:01:31.560]  people to fill its 24-hour news coverage i'm looking at ucbs fran pounzen is a former homeland
[1:01:31.560 --> 1:01:36.520]  security advisor to president dorge jubby bush he's now a cbs news senior national security
[1:01:36.520 --> 1:01:42.280]  analyst but cnn takes the cake it's the biggest spook show of all joining us now former director
[1:01:42.280 --> 1:01:46.920]  of national intelligence jim clapper is now a cnn national security analyst retired general
[1:01:46.920 --> 1:01:52.280]  michael hayden former director of the cia and the nsa the national security agencies the cnn
[1:01:52.280 --> 1:01:58.360]  national security analyst cnn legal analyst asha ringgapa is a former fbi special agent
[1:01:58.360 --> 1:02:04.040]  james galliano is a cnn law enforcement analyst and a retired fbi supervisory special agent
[1:02:04.040 --> 1:02:08.840]  i good to see you joining us now is cnn global affairs analyst and former deputy secretary
[1:02:08.840 --> 1:02:13.960]  of state tony blinkin blinkin is also former deputy national security advisor and that's why
[1:02:13.960 --> 1:02:19.160]  oh there's more seriously join me now cnn national security commentator former chair
[1:02:19.160 --> 1:02:23.160]  of the house intelligence committee mic rogers we now is samantha vinnagrad who was a senior
[1:02:23.160 --> 1:02:27.960]  advisor to the national security advisor under president obama and she's a cnn national security
[1:02:27.960 --> 1:02:32.600]  analyst cnn national security analyst steven hall he's the retired cia chief of russia operations
[1:02:32.600 --> 1:02:37.640]  joining me now is cnn counterterrorism analyst philip mud a former cia counterterrorism official
[1:02:37.640 --> 1:02:43.000]  of course this isn't cnn's first dance with the devil back in 1999 during the bombing of kosovo
[1:02:43.000 --> 1:02:49.960]  cnn let military propaganda experts work out of its newsroom so why is this so bad by hiring
[1:02:49.960 --> 1:02:54.760]  former spooks these outlets are allowing them to shape their news with constant and at times
[1:02:54.760 --> 1:03:00.120]  willful disinformation that's never challenged or corrected it might as well be state tv it's
[1:03:00.120 --> 1:03:06.120]  why cnn screens are filled with an endless parade of belligerent war hawks fear mongering the public
[1:03:06.120 --> 1:03:11.160]  about america's adversaries oftentimes these are the same people that helped lie us into wars when
[1:03:11.160 --> 1:03:16.360]  they were working for the government it is completely corrupted journalism the whole point
[1:03:16.360 --> 1:03:21.720]  of what we were supposed to learn from the debacle of wmd is in the iraq war which by the way this
[1:03:21.720 --> 1:03:26.520]  network that we're on was one of the leaders of was the fact that we were not supposed to trust
[1:03:26.520 --> 1:03:34.040]  intelligence agencies when they say things without evidence and not only did msnbc and cnn use those
[1:03:34.040 --> 1:03:41.240]  people as their sources they hired them as their news analyst so if you turn on cnn or msnbc it was
[1:03:41.240 --> 1:03:47.880]  basically state tv it was cia tv these so-called analysts are forever loyal to their former employers
[1:03:47.880 --> 1:03:54.600]  whether it be the cia fbi nsa dhs or any of the other agencies that make up america's so-called
[1:03:54.600 --> 1:03:59.320]  intelligence community after they retire they go on to shape the news propagandizing for the
[1:03:59.320 --> 1:04:05.000]  abusive national security state they spent their careers working for and they're never ever challenged
[1:04:05.000 --> 1:04:09.480]  by their corporate media colleagues because they spent so many years inside the security state
[1:04:09.480 --> 1:04:14.600]  their instinct will always be to defend it no matter its abuses and they often have contracts
[1:04:14.600 --> 1:04:19.400]  with foreign governments and various security companies that benefit from whatever talking
[1:04:19.400 --> 1:04:23.720]  points they're spouting to the american public and don't even get me started on the retired
[1:04:23.720 --> 1:04:29.080]  generals turned war pundits whose connections to weapons contractors are never disclosed imagine
[1:04:29.080 --> 1:04:34.200]  if these networks hired former oil executives as climate change analysts this whole cia media
[1:04:34.200 --> 1:04:40.120]  revolving door is just as absurd it's propaganda under the cover of expertise it's scandalous
[1:04:40.120 --> 1:04:45.960]  it's polluting journalism and it allows career spies to abuse our airwaves to disseminate self
[1:04:45.960 --> 1:04:56.040]  serving disinformation and pro-war hysteria welcome to the spook show
[1:04:56.040 --> 1:05:03.080]  my friends i've seen a lot of donald trump just like you have and my goodness yesterday's press
[1:05:03.080 --> 1:05:08.760]  conference when they came in on him with all their garbage the foreign reporters the u.s reporters
[1:05:08.760 --> 1:05:14.600]  these little political sellouts these whores he just tore them to bits and it's one thing to hear
[1:05:14.600 --> 1:05:20.040]  it if your radio is there it's powerful but if you see it it's all at band dot video you've got
[1:05:20.040 --> 1:05:25.640]  the full press conference we've got my boil down of how epic it is it's all about video and i just
[1:05:25.640 --> 1:05:31.320]  you've got to share this with people because trump was hitting on all 45 cylinders this was amazing
[1:05:31.320 --> 1:05:36.600]  and he turned the nitrous oxide on top of it so in full wars america trump all of us incredible
[1:05:36.600 --> 1:05:42.280]  things are happening and we're sharing the ideas that are going to defeat the tyrants at band dot
[1:05:42.280 --> 1:05:47.800]  video and i gotta tell you we've done great video work we've done great films we've done so much
[1:05:47.800 --> 1:05:52.840]  but websites are not our thing well now they are i'm so proud of band on video folks check it out
[1:05:52.840 --> 1:06:03.240]  there's a lot of new features band on video you are listening to an info wars dot com front line
[1:06:03.240 --> 1:06:10.840]  report if you are receiving this transmission you are the resistance extremism and defense of
[1:06:10.840 --> 1:06:21.400]  liberty is no vice all right ladies and gentlemen i'm gonna be completely honest with you just so
[1:06:21.400 --> 1:06:26.520]  you can get in your own mind just how serious i believe all this is and i've proven that i got
[1:06:26.520 --> 1:06:30.680]  a pretty good political sense of what's going on in a world of people trying to whitewash what's
[1:06:30.680 --> 1:06:34.520]  happening i haven't saw the austrian-american statesman when i've been looking just the other
[1:06:34.520 --> 1:06:41.480]  day in the paper was you know uh the whole country is now in alex jones's wheelhouse talking about
[1:06:41.480 --> 1:06:48.600]  civil war martial law coups well it's not that the country's in my wheelhouse i've been aware of
[1:06:48.600 --> 1:06:57.400]  what's going on below the surface for a long time and about the different power structures that are
[1:06:57.400 --> 1:07:05.160]  battling for control of the united states because the united states pretty much runs the world
[1:07:05.160 --> 1:07:12.120]  and so the united states goes bad the world goes bad i mean china's super evil russia's got massive
[1:07:12.120 --> 1:07:17.320]  corruption problems and can't hardly take care of itself the united states has been in that prime
[1:07:17.320 --> 1:07:23.640]  position to really help lead the world with soft power instead we've been taken over by multinational
[1:07:23.640 --> 1:07:30.440]  corporations and others and have been demoralized culturally and politically so we can be controlled
[1:07:30.440 --> 1:07:36.520]  and that's not my opinion that's in the wiki leaks hillary talking to professors of psychology
[1:07:36.520 --> 1:07:45.640]  and media about increasing cultural division to control us it's so evil and if you turn on any
[1:07:45.640 --> 1:07:51.400]  movie or any show most of which are funded by the chinese communist it's totally anti-american
[1:07:51.400 --> 1:07:59.000]  garbage anti-family anti god anti christ when i say anti christ i don't even mean that in the
[1:07:59.000 --> 1:08:05.640]  biblical way i mean it in the biblical way isn't that funny not from a christian perspective it's
[1:08:05.640 --> 1:08:14.440]  they are anti christ they are the opposite of christlike and it just is it's it's it's not even
[1:08:14.440 --> 1:08:19.480]  like the bible claims it it's now in your face they keep babies alive and they sell their organs
[1:08:19.480 --> 1:08:23.560]  bernie sandras says kill babies in the third world to save the earth
[1:08:25.800 --> 1:08:31.800]  because he's a liberal it's okay to say kill brown babies i mean these people are unbelievable
[1:08:32.680 --> 1:08:37.160]  though we've got to really be careful as nici said you stare into the abyss too long you become
[1:08:37.160 --> 1:08:45.480]  the abyss i have been on air 25 years and i don't have stage fright i don't have a problem
[1:08:45.480 --> 1:08:50.600]  get on on air i do a lot of preparation for the shows and i've never really been nervous or had
[1:08:50.600 --> 1:08:59.960]  problems doing the shows every day i can almost not do the show anymore and it's not from pressure
[1:08:59.960 --> 1:09:07.880]  in life or what i'm gonna do on air it's like these issues are so real so huge it feels surreal
[1:09:09.400 --> 1:09:15.000]  to be on air being a major leader fighting this and then watching everybody else go around
[1:09:15.000 --> 1:09:21.320]  their business like it's normal to to tune in to see an nrms nbc randomly and they're like we need
[1:09:21.320 --> 1:09:27.400]  to arrest and kill the president and then they make up a bunch of lies because i'm informed i know
[1:09:27.400 --> 1:09:32.920]  they're lying and to watch brian stelter say a huge lie and then look at the camera like a like a
[1:09:32.920 --> 1:09:38.040]  cat with a canary cotton its mouth looking totally guilty just saying these huge whoppers
[1:09:38.040 --> 1:09:47.640]  and then to watch them threaten everybody i mean here's another big frustration of mine
[1:09:49.240 --> 1:09:54.200]  i know a lot of stuff behind the scenes that i'm not at liberty to say from where i got it
[1:09:54.200 --> 1:09:58.840]  or what they told me i'm just told information to incorporate it into what i'm doing and the
[1:09:58.840 --> 1:10:03.320]  people that have told me stuff over the years have been proven to be very smart and very accurate and
[1:10:03.320 --> 1:10:12.360]  and to know this country is really fighting for its life against really bad people that if they
[1:10:12.360 --> 1:10:21.640]  get full control are going to break the economy trigger major uprisings to finally sink the nation
[1:10:21.640 --> 1:10:27.960]  and then come back in and loot it later and it's going to be horrible fascism with a leftist
[1:10:27.960 --> 1:10:34.600]  management system extracting all the wealth taking it offshore i mean if you think america
[1:10:34.600 --> 1:10:40.040]  has been screwed over so far that was just the initial phases of getting us domesticated while
[1:10:40.040 --> 1:10:47.800]  they sold out what they could they are going to take everything you've got in an existential gang
[1:10:47.800 --> 1:10:58.200]  raping of this country the globalists have a lot of old scores to settle a lot of dominance that they
[1:10:58.200 --> 1:11:05.640]  want to carry out because if they can hog tie like a billy goat and rape this country publicly
[1:11:06.200 --> 1:11:09.800]  they will have a feather in their head nobody's ever gotten a stick in their head and that's what
[1:11:09.800 --> 1:11:25.320]  this is really all about so i'm just going to tell you something here's another problem about all this
[1:11:26.520 --> 1:11:31.000]  i have a great crew they're awesome folks if i would have gotten up here at 8am this morning
[1:11:31.000 --> 1:11:39.720]  and nothing but send them clips i wouldn't have half the clips together i wanted
[1:11:40.920 --> 1:11:44.040]  i mean there's the clips where they said we're going to remove the president
[1:11:44.680 --> 1:11:51.320]  outside of an impeachment extra judicially that's been on cnn that's an important clip
[1:11:51.320 --> 1:11:54.600]  i'll have it for you tomorrow i never even got around to tell them the crew to get it
[1:11:55.480 --> 1:11:59.320]  or i could play all the other clips for democrats say they're going to kill the president or kill
[1:11:59.320 --> 1:12:05.240]  his family or or how they're going to target all his grassroots supporters and quote level us
[1:12:05.240 --> 1:12:12.680]  and destroy us so we can never rise against them again these are quotes i already played a bunch
[1:12:12.680 --> 1:12:17.800]  of them today but when you've got a cacophony of these people saying it
[1:12:22.600 --> 1:12:24.920]  you just have to sit back and really say to yourself
[1:12:24.920 --> 1:12:32.840]  they're saying they want to take over and destroy us because we're just good decent people
[1:12:33.560 --> 1:12:38.680]  and won't accept their corruption that means that we're going to have to take over
[1:12:39.480 --> 1:12:45.400]  and deal with them because they're never going away they're never stopping they're coming for
[1:12:45.400 --> 1:12:49.560]  your kids they're coming for your guns they're coming for your property they're coming for your
[1:12:49.560 --> 1:12:57.720]  birthright they are entitled worst of the worst globalist hired multi-generationally
[1:12:57.720 --> 1:13:03.960]  by multinational corporations the chai comms and others because they fundamentally hate america
[1:13:03.960 --> 1:13:09.960]  and hate god and really are just bad people and it's all evidenced by the terrible things they do
[1:13:09.960 --> 1:13:15.640]  the lies they tell how they control propaganda worldwide and a normalizing pedophilia trying
[1:13:15.640 --> 1:13:20.520]  to break up the family trying to i mean it just came out with a big major italian
[1:13:23.000 --> 1:13:30.360]  genetic engineer facility just did test of the major vaccines and they've all got a mutated full
[1:13:30.360 --> 1:13:37.000]  human genome that isn't even from a human it's been made in a lab put in them with 500 and something
[1:13:37.000 --> 1:13:44.840]  cancer genes added to it carried by viruses into your cells show that your body then replicates
[1:13:44.840 --> 1:13:51.720]  a mutant humanoid and basically gives you cancer but it's worse than that before it gives you cancer
[1:13:53.000 --> 1:14:01.000]  it goes into your testicles and mutates the sperm to carry all of the cancer genetics 500 plus cancer
[1:14:01.000 --> 1:14:07.480]  genes into the new baby when it meets the egg informs the zygote and i didn't just believe
[1:14:07.480 --> 1:14:11.000]  mike adam's report even though he's a smart engineer i went and read the reports out of idli
[1:14:11.000 --> 1:14:16.840]  i went and looked at the test and i already knew this was going on but my god these people are
[1:14:16.840 --> 1:14:23.880]  evil the folks running things have done it through compartmentalization so it's very small groups and
[1:14:23.880 --> 1:14:30.040]  it's very sophisticated weapons that who's going to be able to get in there with these new crisper
[1:14:30.040 --> 1:14:37.400]  systems and go in and then scan it and and be able to discover and this major lab in idli did it
[1:14:37.400 --> 1:14:44.360]  it and so in the m mr shot in the hepatitis shots in basically all the big shots you're getting
[1:14:44.360 --> 1:14:51.560]  there's a full human genome of a whole it's a man of a man but it's not human it's humanoid it's
[1:14:51.560 --> 1:14:57.800]  all of its mutated every gene is mutated and it's got 500 plus cancer traits added to it
[1:14:57.800 --> 1:15:07.560]  and then it's carried by viruses as 560 cancer genes abnormal dna genetic modification a potentially
[1:15:07.560 --> 1:15:13.080]  hazardous genes the whole thing's been mutated yet mandated to be injected into every child i mean
[1:15:13.080 --> 1:15:24.200]  what in the hell is going on here i mean this is beyond anything in the science fiction movie
[1:15:24.200 --> 1:15:29.720]  and see the globals don't want us to break into the highest levels of the black state the dark state
[1:15:29.720 --> 1:15:35.720]  the black budget project they don't want us to find out what else is going on but private labs are
[1:15:35.720 --> 1:15:42.360]  able to scan this now and are finding these bio weapon engineered systems to mutate the human
[1:15:42.360 --> 1:15:49.640]  species a new humanoid is being injected into you in quote gene therapy to create the new person
[1:15:49.640 --> 1:15:58.920]  and it's a cancer-ridden psychotic you know i'm angry because i'm not just going to sit here
[1:15:58.920 --> 1:16:04.200]  and take this scientific dictatorship that admits it's putting cancer viruses in the vaccines it's
[1:16:04.200 --> 1:16:07.960]  putting fluoride in the water to brain damages and then it's trying to literally destroy our
[1:16:07.960 --> 1:16:13.560]  families and organize us into a bunch of dumb down slaves so they can then carry out or orderly
[1:16:13.560 --> 1:16:19.560]  extermination i'm not putting up with it and our information our truth is devastating to the scumbag
[1:16:19.560 --> 1:16:23.880]  satanist but we've got to stay on air and i make it easy for you to help us stay on air
[1:16:23.880 --> 1:16:28.120]  we sell products that are high quality directly to you so we have to worry about the globalist
[1:16:28.120 --> 1:16:32.600]  harassing our sponsors and these are amazing supplements amazing products amazing books
[1:16:32.600 --> 1:16:37.480]  films t-shirts you name it all of it is about spreading the word and all it's about being healthier
[1:16:37.480 --> 1:16:42.840]  infowarstore.com double patriot points right now store-wide free shipping 50 off all the high quality
[1:16:42.840 --> 1:16:46.920]  supplements and so many other big deals on apparel you name it just please take action during this
[1:16:46.920 --> 1:16:52.440]  critical time infowarstore.com or triple eight two five three three one three nine whatever you do
[1:16:52.440 --> 1:17:00.680]  take action infowarstore.com globalism was doomed to fail if we just exposed it and then resisted it
[1:17:00.680 --> 1:17:05.400]  didn't i say a thousand times that there's no way you're gonna have an authoritarian corporate
[1:17:05.400 --> 1:17:10.120]  world government above the law but doesn't pay taxes that has diplomatic immunity that runs around
[1:17:10.120 --> 1:17:15.080]  saying it's communist and socialist power to the people but then meanwhile his tax exempt again
[1:17:15.080 --> 1:17:20.680]  offshore well trump got that and all these other populace get it why would you throw away wealthy
[1:17:20.680 --> 1:17:25.960]  successful countries and cultures just so you can say the communist chinese that david rockfeller
[1:17:25.960 --> 1:17:32.920]  put in power are better than everybody that is a sick freakish joke and i will not stand by and
[1:17:32.920 --> 1:17:38.440]  watch humanity turn over to these people and i beg god for the strength and the will to have the
[1:17:38.440 --> 1:17:43.640]  discernment to help be part of their defeat and i've been staring that prayer for 20 plus years
[1:17:43.640 --> 1:17:49.960]  and god is delivering because god is great thank god for his son jesus christ and now let's move
[1:17:49.960 --> 1:17:58.680]  forward against the nw i know most of you realize this but i'm gonna say it again very very clearly
[1:18:00.040 --> 1:18:05.880]  you are just as important as i am or the rest of the crew at info wars and we are the individuals
[1:18:05.880 --> 1:18:09.400]  that have done the research to understand the globalist battle plan and we know how to take
[1:18:09.400 --> 1:18:14.680]  them down that's why they're so upset think how far we've come together you know even if we were
[1:18:14.680 --> 1:18:19.720]  losing we'd all still keep fighting on because the right thing to do against the truly satanic
[1:18:19.720 --> 1:18:25.560]  forces of the new world order who've really taken the mask off the lines in the sand for everybody
[1:18:25.560 --> 1:18:30.840]  now but you'd already chosen to fight the corruption and to stand with god and to stand with the unborn
[1:18:31.480 --> 1:18:35.400]  so i just want to take time out again to salute the audience because you are truly
[1:18:35.400 --> 1:18:40.120]  activist in the arena and without you and your prayers and your word of mouth and your financial
[1:18:40.120 --> 1:18:45.720]  support this operation that you built that your operation would not be here we've got some giant
[1:18:45.720 --> 1:18:51.480]  specials running right now at m4store.com a lot of items 50 percent off please take advantage of
[1:18:51.480 --> 1:18:57.560]  at m4store.com to help us fight even harder into the future the globalists and their democrat
[1:18:57.560 --> 1:19:04.600]  minions are on the verge of taking this cold civil war hot they have pushed and pushed and pushed and
[1:19:04.600 --> 1:19:11.160]  engaged in hoaxes and crimes and censorship and sabotage of the economy and attacks run by the
[1:19:11.160 --> 1:19:17.560]  un on the border that are nothing short of war and that's because it is a war by multinational
[1:19:17.560 --> 1:19:22.600]  corporations ally with the chitoms and others with the hollywood america hating god hating
[1:19:22.600 --> 1:19:30.280]  filled to try to capture the united states this is 21st century war and wars need money to be
[1:19:30.280 --> 1:19:34.840]  prosecuted and we're actually winning the lord but the enemy's throwing their full way at us right now
[1:19:34.840 --> 1:19:40.040]  that's why we need financial support it's a total 360 win double patriot points 50 percent off
[1:19:40.040 --> 1:19:44.520]  store-wide free shipping it's about to end with a running out a lot of these products at m4store.com
[1:19:44.520 --> 1:19:49.320]  and i need you to get in there step to the plate the high quality products you already need and
[1:19:49.320 --> 1:20:05.240]  find the information for m4store.com you're listening to the alex jones show
[1:20:05.240 --> 1:20:22.520]  we're back live i want to take calls for a couple segments coming up in the last two segments
[1:20:22.520 --> 1:20:27.720]  then i'll be back tomorrow 11 a.m central david night will be back 8 a.m central
[1:20:27.720 --> 1:20:35.480]  another show's come on after my broadcast but we've just joined us again this is the alex
[1:20:35.480 --> 1:20:43.800]  jones show on sunday you have to understand that the president says that we're in the middle of a
[1:20:43.800 --> 1:20:50.360]  cold civil war and that they're trying to invoke a form of extrajudicial martial law to remove the
[1:20:50.360 --> 1:20:56.680]  president and that this is an illegal coup now that is exactly what it is we are at the point where
[1:20:56.680 --> 1:21:00.440]  they are reading fake transcripts the president never said or wrote
[1:21:04.760 --> 1:21:14.040]  in this house intelligence committee chambers they're doing the same tactic when i tuned in
[1:21:14.680 --> 1:21:21.800]  to cnn and msnbc this week and then they were doing the same tactic on comedy central and on
[1:21:21.800 --> 1:21:30.360]  saturday night live on mbc now obviously you know that's a joke but it's creating
[1:21:31.560 --> 1:21:39.560]  this whole illusion it's a war on reality and they're saying we're going to force a deal with
[1:21:39.560 --> 1:21:45.640]  the republicans that they'll all go to jail if they don't remove trump and put in
[1:21:45.640 --> 1:21:52.840]  in hello see do you want me to play msnbc cnn they're all saying
[1:21:55.000 --> 1:22:00.440]  three articles were on info wars dot com this weekend with cnn msnbc
[1:22:02.680 --> 1:22:07.320]  and one of the sunday morning shows i forget which one all saying well what will happen when
[1:22:07.320 --> 1:22:14.360]  trump's removed one way or another people like oh well you know they don't have the votes in the
[1:22:14.360 --> 1:22:21.000]  senate they're going to continue to threaten people and their families until they think they
[1:22:21.000 --> 1:22:28.360]  get the votes or they're going to try a 22nd amendment move saying the president is mentally
[1:22:28.360 --> 1:22:34.040]  unfit they're already saying that and the urgency of this is so serious that you didn't hear the
[1:22:34.040 --> 1:22:39.560]  president the last few times they tried to remove him say this is a coup this is an attempt at civil
[1:22:39.560 --> 1:22:47.880]  war this time they really mean it and they're really trying to do it because they know that
[1:22:47.880 --> 1:22:52.440]  bernie's had a heart attack biden's obviously had a stroke and can't talk three candidates ahead
[1:22:52.440 --> 1:22:56.120]  of him have made more money than he has the democrats have raised less than half the money
[1:22:56.120 --> 1:23:01.320]  they did last time around in a presidential election this far in the wheels are coming off
[1:23:01.320 --> 1:23:05.960]  everyone's turning against them everyone's fleeing their cities all the dead people voting
[1:23:05.960 --> 1:23:09.880]  isn't getting them elected the election fraud they're involved in is coming out
[1:23:09.880 --> 1:23:13.880]  trump is exposing the clinton's and child trafficking that was in the news friday
[1:23:14.920 --> 1:23:19.720]  they're exposing all the corruption in romania and hungry and ukraine with the clinton's and
[1:23:19.720 --> 1:23:26.840]  obama's looting and so the whole deep state is scared and it's making its move and you watch
[1:23:28.280 --> 1:23:30.040]  inspector general reports coming out
[1:23:30.040 --> 1:23:37.160]  the democrats have been told back down stop it stop trying to sabotage the economy have a real
[1:23:37.160 --> 1:23:43.640]  election and we'll leave you alone the democrats aren't stopping so bar is there if they won't back
[1:23:43.640 --> 1:23:51.880]  down and make a deal to go forward with the indictments and the democrats have said we're
[1:23:51.880 --> 1:23:56.680]  playing a game of chicken we're not turning off and trumps not turning off so you got the two
[1:23:56.680 --> 1:24:01.000]  vehicles coming at each other they're both going 180 miles an hour
[1:24:04.840 --> 1:24:08.520]  and that's where we are so i can sit here with a headline about hey trump just called up the
[1:24:08.520 --> 1:24:16.040]  marine corps reserves for a national emergency within the united states which will come a
[1:24:16.040 --> 1:24:19.320]  little warning in threats to the homeland those are quotes
[1:24:19.320 --> 1:24:27.960]  and folks that know have read the order it's unprecedented i've read previous orders that
[1:24:27.960 --> 1:24:31.480]  they do every year in case the marines are needed to go under the civil authority
[1:24:33.000 --> 1:24:36.360]  that's all in there but there's a bunch of new language in there
[1:24:38.600 --> 1:24:42.440]  about emergency that comes with little warning threats in the homeland
[1:24:42.440 --> 1:24:52.200]  threats are not things like hurricanes threats are attacks so whether this is 100 for that or
[1:24:52.200 --> 1:24:57.000]  not doesn't matter because the president already says there's an ongoing coup and we're in an
[1:24:57.000 --> 1:25:01.320]  emergency it's a whole free number to join us i want you to get your specific take on this
[1:25:01.320 --> 1:25:05.160]  where you think this is going what we can do to legally and lawfully stop this from happening
[1:25:05.160 --> 1:25:10.920]  but what do we do is the big question if they kill trump what do we do if they get the internet
[1:25:10.920 --> 1:25:16.280]  kill switch which they admit obama put in where they can route all websites coming to the us through
[1:25:16.280 --> 1:25:21.960]  one government website or group of sites they've already set that up to quote trusted media they've
[1:25:21.960 --> 1:25:27.000]  got all this set up when trump got through on them they weren't ready yet they've been building and
[1:25:27.000 --> 1:25:31.160]  getting ready and getting the censorship in place and getting all the controls in place
[1:25:31.160 --> 1:25:33.880]  so they can try to take him out they think they're ready
[1:25:33.880 --> 1:25:41.320]  and so they're attempting to make their move what are we going to do about it eight seven seven
[1:25:41.320 --> 1:25:45.160]  seven eight nine two five three nine is the number to call eight seven seven seven eight nine
[1:25:45.160 --> 1:25:51.640]  alex eight seven seven seven eight nine two five three nine and tomorrow i'm gonna open the phones
[1:25:51.640 --> 1:25:55.880]  up for people that think trump should be removed and think we should all be locked up in prison
[1:25:55.880 --> 1:25:59.800]  i'm gonna do that during the week they show tomorrow because there are a lot of people
[1:25:59.800 --> 1:26:04.200]  all over the news saying do that think about their rhetoric kill trump put him in solitary
[1:26:04.200 --> 1:26:10.040]  environment stabbing that's being said by not just pundits but former deputy directors of the cia
[1:26:10.040 --> 1:26:10.760]  like phil mud
[1:26:17.000 --> 1:26:22.040]  he said it again friday somebody's gonna stab him in the back like caesar he better watch out
[1:26:22.040 --> 1:26:29.480]  and he's up there all hyped up angry red face somebody's gonna stab the president in the back
[1:26:30.600 --> 1:26:35.720]  i'll tell you in any other time if george washington was president and somebody that
[1:26:35.720 --> 1:26:42.120]  had run covert operations killing people you know washington signed death warrants said we're
[1:26:42.120 --> 1:26:46.760]  gonna stab the president in the back washington would write a letter he'd hand it to the army and
[1:26:46.760 --> 1:26:53.240]  he'd say take him out and that guy would be either running for his life or dead within 24 hours i
[1:26:53.240 --> 1:26:59.480]  don't wish any harm against phil mud he's a little globalist wimp turd but he's up there for one
[1:26:59.480 --> 1:27:04.520]  reason to create the illusion of confidence well we got seven ways of setting to get the president
[1:27:04.520 --> 1:27:08.600]  oh we're taking him out oh he's a traitor oh he's an idiot oh he's a piece of crap oh we're gonna
[1:27:08.600 --> 1:27:13.320]  kill him oh we're gonna stab him in the back oh trump's the enemy you know all these agencies
[1:27:13.320 --> 1:27:18.600]  are gonna get him come on agencies get him come on agencies kill the president phil mud isn't gonna
[1:27:18.600 --> 1:27:24.840]  kill anybody he wants to get you to go kill him he wants to get enough people ready to do it so
[1:27:24.840 --> 1:27:30.680]  when somebody gives the order to shoot the president's vehicle in any tank missile the order's taken
[1:27:30.680 --> 1:27:38.040]  let me assure all of you people trying to gear a coup up if you physically remove the president
