[00:00:01.000 --> 00:00:02.000]  It's too...
[02:19:23.590 --> 02:19:28.590]  Lucky for them, one of their major stockholders was also the Secretary of the Treasury
[02:19:28.590 --> 02:19:31.590]  who was responsible for the public health service at the time.
[02:19:31.590 --> 02:19:38.590]  And by 1950, the U.S. government began buying this toxic, untreated industrial waste product
[02:19:38.590 --> 02:19:40.590]  and dumping it into our drinking water.
[02:19:40.590 --> 02:19:45.590]  Reputable studies show that it's causing various cancers and other disease.
[02:19:45.590 --> 02:19:51.590]  With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[02:19:52.590 --> 02:19:55.590]  Available now at InfowarStore.com
[02:19:59.590 --> 02:20:05.590]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:07.300 --> 02:20:26.580]  Pastor Dave Scarlett is our guest.
[02:20:26.580 --> 02:20:29.740]  HisGloryTV, HisGlory.me is the website.
[02:20:29.740 --> 02:20:32.980]  Now Pastor Dave, I know that you guys have a new film coming out.
[02:20:33.460 --> 02:20:39.220]  Why don't you tell us about this film, and then you can pitch to the trailer, and we'll
[02:20:39.220 --> 02:20:41.060]  go ahead and air that trailer too.
[02:20:41.060 --> 02:20:43.699]  Yeah, this is, it's called Holy Land.
[02:20:43.699 --> 02:20:46.380]  This was one of our trips to Israel in November.
[02:20:46.380 --> 02:20:51.779]  This is done, narrated, and produced by Mickey Willis, and it gives you a capture of the nation
[02:20:51.779 --> 02:20:56.619]  of Israel, the miracles of Israel, but also biblical Israel, and how important it is for
[02:20:56.619 --> 02:21:01.140]  us to know the historical and the biblical parts of Israel.
[02:21:01.140 --> 02:21:05.539]  Once you go to Israel, your life completely changes, and to be baptized in the Jordan,
[02:21:05.539 --> 02:21:10.179]  there's nothing like it, to walk the places where Jesus walked, to walk the places where
[02:21:10.179 --> 02:21:13.259]  King David walked, it makes the Bible come alive.
[02:21:13.259 --> 02:21:17.460]  We take three trips a year to Israel, and every single person that goes with us comes
[02:21:17.460 --> 02:21:23.259]  back and says that their walk with the Most High is so much significantly better because
[02:21:23.259 --> 02:21:25.500]  their Bible comes alive.
[02:21:25.500 --> 02:21:30.300]  So let's go ahead and see the premiere of the new film, brought to you by HisGloryTV.
[02:21:41.340 --> 02:21:46.300]  It's a miracle that Israel is still in existence in this part of the world.
[02:21:55.500 --> 02:22:03.060]  It's a very, very tough neighborhood.
[02:22:03.060 --> 02:22:08.220]  Pick up your Bible, come to Israel, see these places that Jesus walked and King David walked.
[02:22:08.220 --> 02:22:10.340]  It'll change your life forever.
[02:22:10.340 --> 02:22:18.619]  It'll make the Bible come alive for you, and it's going to get you stronger in your faith.
[02:22:25.500 --> 02:22:36.099]  We have to support the nation of Israel, biblical Israel.
[02:22:36.099 --> 02:22:39.779]  And so there are the future tour dates for this year.
[02:22:39.779 --> 02:22:43.660]  So Pastor Dave, what was the motivating factor for this film for you?
[02:22:43.660 --> 02:22:50.019]  Well, it was with all the world events and how close we are to Matthew 24, that was the
[02:22:50.019 --> 02:22:51.380]  theme of that.
[02:22:51.380 --> 02:22:56.019]  So Mickey Willis and I decided the timing is perfect with what people have gone through
[02:22:56.019 --> 02:23:00.500]  the last three years to see that we really are close to the end days.
[02:23:00.500 --> 02:23:06.099]  We are in the end days, and how to bring the nation of Israel and all the prophecies alive.
[02:23:06.099 --> 02:23:08.099]  And that's exactly what we did in this film.
[02:23:08.099 --> 02:23:13.420]  I'm the co-chairman of the board of Newsreel, so I have contacts with high-ranking generals
[02:23:13.420 --> 02:23:14.939]  in Israel.
[02:23:14.939 --> 02:23:20.340]  And in this movie, you're going to see conversations with generals in Israel about what they have
[02:23:20.340 --> 02:23:24.859]  to deal with every day, and how the Bible is coming alive, how the prophecies of Ezekiel
[02:23:24.859 --> 02:23:30.740]  and Jeremiah and much more and Matthew 24 of Christ are literally being fulfilled right
[02:23:30.740 --> 02:23:32.420]  before our very eyes.
[02:23:32.420 --> 02:23:35.660]  And it gives you a spirit of hope, not fear.
[02:23:35.660 --> 02:23:40.779]  Because we knew, we know, that the Bible tells us these events would happen, they're happening,
[02:23:40.779 --> 02:23:46.699]  and we should fear not, but get in His glory and do things for His purpose, because you
[02:23:46.699 --> 02:23:52.740]  don't want to have tears of regret by not leaving it all on the field for Him.
[02:23:52.740 --> 02:23:59.420]  You know, I also, you know, people notice how crazy the world is getting, and people
[02:23:59.420 --> 02:24:02.539]  can look at the Bible and say, this is prophecy.
[02:24:02.539 --> 02:24:06.080]  I mean, there's no doubt, whether you think the people that think they own this planet
[02:24:06.080 --> 02:24:11.759]  or run this planet are just trying to fulfill the prophecy themselves, or if this is just,
[02:24:11.759 --> 02:24:15.779]  it was always going to be this way, there's no doubt that that's what's going on.
[02:24:15.859 --> 02:24:21.580]  You know, do people come to you, because you bring up the words fear and hope, do people
[02:24:21.580 --> 02:24:24.420]  come to you in fear when they see what's going on, ever?
[02:24:24.420 --> 02:24:26.340]  Do you witness this?
[02:24:26.340 --> 02:24:31.980]  Yes, I witness this everywhere I go across the country, but the more they tune in, the
[02:24:31.980 --> 02:24:34.500]  more they see that we're not fearful.
[02:24:34.500 --> 02:24:38.340]  We embrace what's happening, we believe it's the greatest time in the history of the world
[02:24:38.340 --> 02:24:42.259]  to witness, to bring people to Christ, and that's what it's all about.
[02:24:42.259 --> 02:24:45.259]  Have that shalom that can only come from Him.
[02:24:45.259 --> 02:24:47.740]  You know, we get asked that question all the time.
[02:24:47.740 --> 02:24:52.980]  When the world's melting down, you don't seem like you're ever fearful, or panic, or frantic.
[02:24:52.980 --> 02:24:57.580]  It's because we have the love of the Most High Christ in us, and He's got it, He's won.
[02:24:57.580 --> 02:25:03.060]  He just wants us to participate in these end-time events to bring people in for His purpose
[02:25:03.060 --> 02:25:04.980]  and His glory.
[02:25:04.980 --> 02:25:09.439]  What types of people, you brought up some of the generals in Israel, what other types of
[02:25:09.439 --> 02:25:15.179]  people have you met along the way in your journey that have really impacted and shaped
[02:25:15.179 --> 02:25:17.500]  your worldview?
[02:25:17.500 --> 02:25:24.820]  We've met with many ambassadors of the Israeli government, leaders of the Israeli parliament,
[02:25:24.820 --> 02:25:30.660]  the Knesset, also doctors, Israeli doctors and scientists.
[02:25:30.660 --> 02:25:34.900]  Many of them are asking the questions around, which was never heard of before, they're asking
[02:25:34.900 --> 02:25:38.900]  the questions about, tell me more about this Messiah.
[02:25:38.900 --> 02:25:43.900]  I have seen more people of the Jewish faith come to Christ in the last one year or two
[02:25:43.900 --> 02:25:46.539]  years than in my entire lifetime.
[02:25:46.539 --> 02:25:50.460]  They're asking questions, they know that the world is in a meltdown, and they know there's
[02:25:50.460 --> 02:25:52.380]  a higher purpose.
[02:25:52.380 --> 02:25:56.660]  So they're asking questions, especially around Matthew 24, they see the scripture, they see
[02:25:56.660 --> 02:26:01.340]  the book of Revelation, and they say, this beast system is already here, tell us more
[02:26:01.340 --> 02:26:05.300]  about this Messiah, and they're giving their life to Messiah.
[02:26:05.300 --> 02:26:13.699]  You know, one thing that always makes me hopeful too, we met maybe summer 2020 or 2021, I don't
[02:26:13.699 --> 02:26:15.939]  know if you remember the exact date, do you remember when it was we met?
[02:26:15.939 --> 02:26:17.740]  I know it was in Dallas.
[02:26:17.740 --> 02:26:19.179]  It was in Dallas, yeah.
[02:26:19.179 --> 02:26:24.599]  I think it was summer 21, if I'm not mistaken, it was the Reawaken America tour in Dallas
[02:26:24.599 --> 02:26:26.220]  and we met.
[02:26:26.220 --> 02:26:30.939]  And it was the first time I'd met you, it was the first time I'd seen the great production
[02:26:30.939 --> 02:26:34.259]  work that you do and learned all about it, we did an interview.
[02:26:34.259 --> 02:26:40.900]  And so one thing that always gets me hopeful is watching the progress of independent media,
[02:26:40.900 --> 02:26:44.140]  alternative media, Christian media.
[02:26:44.140 --> 02:26:47.820]  And so I'm looking at your studio, it looks like maybe you've got some new studio digs
[02:26:47.820 --> 02:26:48.820]  there.
[02:26:48.820 --> 02:26:53.580]  Because to me, this is a success story, when independent media, especially in this age
[02:26:53.580 --> 02:26:58.380]  of chilling free speech, censoring free speech, trying to get rid of the First Amendment,
[02:26:58.380 --> 02:27:03.800]  to watch independent media, Christian media flourish and prosper, to me gives hope.
[02:27:03.800 --> 02:27:05.779]  Is that a success story for you?
[02:27:05.779 --> 02:27:07.240]  Amen, it is.
[02:27:07.240 --> 02:27:11.560]  We have a facility in Ohio and when I was with you, and I think it was in January in
[02:27:11.560 --> 02:27:16.199]  your studio, I told you we're coming to Texas and that's where I am now, we're in Texas.
[02:27:16.199 --> 02:27:20.560]  We're in the process of building a 12,000 square foot facility here in Texas that will
[02:27:20.560 --> 02:27:27.119]  be all videos, it will be 24-7 TV, we'll be doing more movies, and also we'll have
[02:27:27.119 --> 02:27:33.080]  our own His Glory music label, so we'll be recording music here in Texas as well.
[02:27:33.519 --> 02:27:37.480]  Yeah, so that was in late 2021 when you and I met.
[02:27:37.480 --> 02:27:39.400]  Man, time just flies.
[02:27:39.400 --> 02:27:46.240]  And again, because we tend to, people tend to lose hope and it's understandable why.
[02:27:46.240 --> 02:27:49.560]  You know, I've been on the receiving end of censorship, I'm very grateful that we have
[02:27:49.560 --> 02:27:55.000]  Banned Out Video and Infowars.com and a great audience here, but to me, to see independent
[02:27:55.000 --> 02:28:02.960]  media getting bigger, even in this age of censorship, is a success story in and of itself.
[02:28:03.840 --> 02:28:06.640]  How much of what you do has to be independently funded?
[02:28:06.640 --> 02:28:09.080]  How much access are you able to get to social media?
[02:28:09.080 --> 02:28:11.080]  Has that affected you at all?
[02:28:11.080 --> 02:28:12.080]  Absolutely.
[02:28:12.080 --> 02:28:16.400]  We've been banned by YouTube because of our relationship with General Flynn and General
[02:28:16.400 --> 02:28:21.000]  McInerney and some of the generals, they've completely cut all of our Bible studies out
[02:28:21.000 --> 02:28:23.000]  without any warning.
[02:28:23.000 --> 02:28:24.000]  We've been shadow banned.
[02:28:24.000 --> 02:28:28.039]  We have about 2.2 million followers on Facebook, but we're shadow banned.
[02:28:28.039 --> 02:28:29.439]  So we had to do what you had to do.
[02:28:29.439 --> 02:28:32.880]  We went and had to develop our own servers.
[02:28:32.880 --> 02:28:38.480]  So everything we do is on our own servers now so that they can't touch us on www.HisGlory.me
[02:28:38.480 --> 02:28:44.640]  or .tv, but it's been a war, but I'm a Marine, so I'm used to that and we're never going
[02:28:44.640 --> 02:28:45.640]  to quit.
[02:28:45.640 --> 02:28:49.119]  We're going to keep forward and bringing the truth out to America and the world.
[02:28:49.119 --> 02:28:53.400]  We have a great audience of 20 million plus people, literally in every country of the
[02:28:53.400 --> 02:28:54.400]  world.
[02:28:54.400 --> 02:28:55.400]  That's Pastor Dave Scarlett, HisGlory.me.
[02:28:55.400 --> 02:28:57.800]  We'll be right back.
[02:28:57.800 --> 02:29:00.359]  Please give me one minute of your time.
[02:29:00.359 --> 02:29:02.439]  Please write this down and please go look this up.
[02:29:02.439 --> 02:29:04.480]  It will change your life.
[02:29:04.480 --> 02:29:09.160]  The UN admits and the Lansing Medical Journal admits that upwards of 2 billion people have
[02:29:09.160 --> 02:29:13.199]  mental disabilities and declining cognitive abilities.
[02:29:13.199 --> 02:29:18.720]  The term they use is intellectual disability because of lack of iodine.
[02:29:18.720 --> 02:29:24.460]  Most iodine in the environment is bound to other elements so your body can't absorb it.
[02:29:24.460 --> 02:29:28.759]  Only pure iodine can really be absorbed right into the cells.
[02:29:28.759 --> 02:29:34.599]  And InfoWarsTore.com has the only iodine out there that actually has this type of
[02:29:34.599 --> 02:29:35.599]  full effect.
[02:29:35.599 --> 02:29:38.880]  Ladies and gentlemen, X3 has been sold out for six months.
[02:29:38.880 --> 02:29:41.880]  It's very hard to produce and it's finally back in stock.
[02:29:41.880 --> 02:29:44.859]  In fact, I was just taking some before I shot this ad.
[02:29:44.859 --> 02:29:47.039]  This ladies and gentlemen is powerful.
[02:29:47.039 --> 02:29:48.359]  You and your family need it.
[02:29:48.359 --> 02:29:50.560]  It's 25% off back in stock.
[02:29:50.560 --> 02:29:54.880]  X3, triiodine, exclusively at InfoWarsTore.com.
[02:29:54.880 --> 02:29:58.599]  Take action now, but regardless, research is info.
[02:29:58.599 --> 02:30:02.080]  I talk a lot about the great successes InfoWars has had.
[02:30:02.080 --> 02:30:06.960]  I don't think anybody can deny it and it is because of listeners and viewers supporting
[02:30:06.960 --> 02:30:07.960]  us.
[02:30:07.960 --> 02:30:13.439]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers,
[02:30:13.439 --> 02:30:16.439]  they really have been the MVPs in this fight.
[02:30:16.439 --> 02:30:20.880]  And when you look at Harrison Smith and Owen Schroer and the hard work they engage in every
[02:30:20.880 --> 02:30:25.840]  day, five, six, seven days a week, it's really just incredible.
[02:30:25.840 --> 02:30:28.759]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:30:28.759 --> 02:30:34.240]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support
[02:30:34.240 --> 02:30:35.240]  us.
[02:30:35.240 --> 02:30:36.240]  I know you spread the word.
[02:30:36.240 --> 02:30:37.240]  I know you pray for us.
[02:30:37.240 --> 02:30:38.240]  That's wonderful.
[02:30:38.240 --> 02:30:39.240]  Keep doing it.
[02:30:39.240 --> 02:30:43.199]  But most viewers and listeners never go to InfoWarsTore.com and you never buy great
[02:30:43.199 --> 02:30:47.080]  products that enrich and empower your life while at the same time keeping us on air.
[02:30:47.080 --> 02:30:51.480]  I know that less than 1% of our listeners actually go buy products at InfoWarsTore.com.
[02:30:51.480 --> 02:30:55.599]  If just 1% more of you took action and went to InfoWarsTore.com, our funding problems
[02:30:55.599 --> 02:30:56.599]  will be over.
[02:30:56.599 --> 02:30:57.599]  Please take action now.
[02:30:57.599 --> 02:31:01.400]  This is Adam King, host of The Adam King Show, joined by the one and only Greg Reis of The
[02:31:01.400 --> 02:31:02.400]  Reis Report.
[02:31:02.400 --> 02:31:06.039]  We wanted to hop on and send everybody to InfoWarsTore.com.
[02:31:06.039 --> 02:31:08.679]  Click this QR code right above Greg Reis.
[02:31:08.679 --> 02:31:14.439]  Buy yourself a Faraday cage, super male vitality, or what Greg has.
[02:31:14.439 --> 02:31:15.840]  Greg, what do you got there?
[02:31:15.840 --> 02:31:20.000]  If you really want to treat yourself to something nice, get yourself an Alexa Pure water filter
[02:31:20.000 --> 02:31:24.880]  and get clean, healthy water whenever you want it, wherever you want it.
[02:31:24.880 --> 02:31:30.119]  Even if the water pressure goes out, the gravity-fed water filter has got you covered.
[02:31:30.119 --> 02:31:31.920]  Absolutely.
[02:31:31.920 --> 02:31:37.000]  And we couldn't do any of this without listener support.
[02:31:37.000 --> 02:31:41.640]  I was telling Greg earlier, we're like the real NPR, the real NPR of the base, right?
[02:31:41.640 --> 02:31:44.720]  So click that QR code right there on your screen right now.
[02:31:44.720 --> 02:31:45.720]  Take out your phone.
[02:31:45.720 --> 02:31:46.720]  Click that QR code.
[02:31:46.720 --> 02:31:48.880]  It'll take you directly to InfoWarsTore.com.
[02:31:48.880 --> 02:31:50.000]  Buy something.
[02:31:50.000 --> 02:31:51.000]  Support the InfoWars.
[02:31:51.000 --> 02:31:54.560]  Keep Alex Jones, Lauren Troyer, Harrison Smith, Greg Reis, Adam King, and the rest of us on
[02:31:54.679 --> 02:31:55.679]  air.
[02:31:55.679 --> 02:31:56.679]  Do it today.
[02:31:56.679 --> 02:31:57.679]  Do it now.
[02:31:57.679 --> 02:31:58.679]  Support the InfoWars.
[02:31:58.679 --> 02:32:01.320]  There is a war for the future happening right now.
[02:32:01.320 --> 02:32:06.199]  There is a war that will control my destiny, your destiny, our children's destinies.
[02:32:06.199 --> 02:32:10.199]  And that war is something that we can win, but it takes dedication.
[02:32:10.199 --> 02:32:11.560]  It takes commitment.
[02:32:11.560 --> 02:32:16.279]  That's why I ask listeners respectfully to go to InfoWarsTore.com and buy great products
[02:32:16.279 --> 02:32:23.560]  that will enrich and empower your life while keeping us on air at the very same time.
[02:32:23.560 --> 02:32:24.560]  InfoWarsTore.com.
[02:32:24.560 --> 02:32:28.679]  To get a signed or unsigned copy of my book, The Great Reset and War for the World, Ultimate
[02:32:28.679 --> 02:32:34.679]  Bone Broth, Back and Stock, Nitric Boost, the amazing CBD oil we have that's the highest
[02:32:34.679 --> 02:32:38.160]  quality you're going to find anywhere at more than half off.
[02:32:38.160 --> 02:32:40.920]  It's all available at InfoWarsTore.com.
[02:32:40.920 --> 02:32:41.920]  Some of the very best products.
[02:32:41.920 --> 02:32:44.320]  And a lot of you have never shopped at InfoWarsTore.
[02:32:44.320 --> 02:32:45.320]  You've been watching for years.
[02:32:45.320 --> 02:32:49.720]  You've been listening for years, but you've never taken the step to go to InfoWarsTore.
[02:32:49.720 --> 02:32:53.840]  These are great products that really work and are amazing, plus they keep us on air.
[02:32:53.840 --> 02:32:59.320]  So again, please take action and go to InfoWarsTore.com today, and I thank you.
[02:32:59.320 --> 02:33:05.439]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:06.920 --> 02:33:27.280]  You've found it, the tip of the spear, it is the Alex Jones Show with Owen Troyer.
[02:33:27.280 --> 02:33:29.960]  Pastor Dave Scarlett is our guest.
[02:33:29.960 --> 02:33:36.200]  HisGlory.me is the website, you can follow on YouTube at HisGloryTV, on Twitter at HisGloryMe.
[02:33:36.200 --> 02:33:40.600]  Now, Pastor Dave, I actually, I kind of want to get into the dirt with you here.
[02:33:40.600 --> 02:33:49.720]  I want to get a little, I want to get our hands dirty here because I, the circumstances,
[02:33:49.720 --> 02:33:55.720]  the scenarios that are currently in front of us when it comes to the Christian church,
[02:33:55.720 --> 02:34:01.920]  the Christian body, Catholic church, these other churches, like for example, if I drive
[02:34:01.920 --> 02:34:08.640]  around in Austin, Texas, and I'm looking for a church, Catholic, Presbyterian, whatever,
[02:34:08.640 --> 02:34:14.280]  I could drive in a 10 mile square radius, and I'll find 10 churches, and probably 9,
[02:34:14.280 --> 02:34:19.160]  if not 10 of them will have the gay pride flag on the side of the church, or some other
[02:34:19.160 --> 02:34:24.460]  leftist propaganda, or they'll do drag queen story time for kids, I mean, I go to churches
[02:34:24.460 --> 02:34:29.440]  and I confront these pastors that have these drag queen for kids events, and I say, I think
[02:34:29.440 --> 02:34:30.880]  you're a false pastor.
[02:34:30.880 --> 02:34:32.160]  I don't think you're a pastor at all.
[02:34:32.160 --> 02:34:33.160]  I think you're lying.
[02:34:33.160 --> 02:34:38.360]  I think you're using this church for some other agenda, you know, even with some of the non-denominational
[02:34:38.360 --> 02:34:39.360]  stuff.
[02:34:39.360 --> 02:34:46.240]  And so, my question is this, and I mean, I'll even make it personal.
[02:34:46.240 --> 02:34:51.520]  I don't know if the pastor of a church or a priest or what have you is supposed to use
[02:34:51.520 --> 02:34:53.320]  that pulpit as a political pulpit.
[02:34:53.320 --> 02:34:59.920]  I'm not saying that's the case, but to me, for the church to not be guided politically
[02:34:59.960 --> 02:35:04.680]  in these times is a misdeed.
[02:35:04.680 --> 02:35:06.840]  It's missing the boat.
[02:35:06.840 --> 02:35:11.640]  If your church leader is not addressing the real evils in front of us that, yes, do come
[02:35:11.640 --> 02:35:16.160]  from our government, do come from our politicians, I would argue the U.S. government is the most
[02:35:16.160 --> 02:35:19.640]  evil entity on earth, perhaps, at least in my experience.
[02:35:19.640 --> 02:35:28.680]  So is it wrong to expect or to desire a church leader to use his pulpit to get into politics
[02:35:28.680 --> 02:35:31.240]  and direct his church in the right direction?
[02:35:31.240 --> 02:35:33.240]  Because the left is certainly doing that.
[02:35:33.240 --> 02:35:34.520]  Yeah, absolutely.
[02:35:34.520 --> 02:35:40.120]  You have to, as long as it matches God's precepts and commandments.
[02:35:40.120 --> 02:35:46.080]  Our theology is the Bible is the infallible word of God, so as long as you're obedient
[02:35:46.080 --> 02:35:49.780]  to his precepts and commandments, that's the problem with these churches today.
[02:35:49.780 --> 02:35:51.760]  Like you said, they're not Christians.
[02:35:51.760 --> 02:35:56.400]  There's no way you can have drag shows and drag queens and do all these things that are
[02:35:56.400 --> 02:36:00.360]  against God's precepts and commandments and call yourself a pastor and call yourself a
[02:36:00.360 --> 02:36:01.640]  Christian church.
[02:36:01.640 --> 02:36:02.680]  You're not.
[02:36:02.680 --> 02:36:05.200]  And it needs to be called out.
[02:36:05.200 --> 02:36:11.480]  God's obedience and his precepts and commandments in the 66 books by 40 authors is very, very,
[02:36:11.480 --> 02:36:15.960]  very simple and very easy to follow, but they don't want to because of itchy ears.
[02:36:15.960 --> 02:36:19.360]  And that's where the, you know, the prophets told us in the end days that they would have
[02:36:19.360 --> 02:36:24.280]  itchy ears telling people what they want to hear instead of the word of God.
[02:36:24.280 --> 02:36:25.280]  That's it.
[02:36:25.280 --> 02:36:26.280]  It's the word of God.
[02:36:27.160 --> 02:36:33.200]  I mean, to me right now, I mean, let's let's just look at the two obvious ones.
[02:36:33.200 --> 02:36:39.240]  And that's the the trans kid agenda and the abortion is health care agenda.
[02:36:39.240 --> 02:36:46.080]  I mean, to me, if your church body is not addressing these things head on and not at least getting
[02:36:46.080 --> 02:36:52.880]  involved in some way politically to make a voter block to try to stop it or a political
[02:36:52.880 --> 02:36:58.840]  movement or a protest or anything to try to stop this, I just have a hard time respecting
[02:36:58.840 --> 02:36:59.840]  those churches.
[02:36:59.840 --> 02:37:00.840]  I'm going to be honest.
[02:37:00.840 --> 02:37:05.260]  I have a hard time respecting any religious leader or church leader that isn't willing
[02:37:05.260 --> 02:37:06.880]  to address these things head on.
[02:37:06.880 --> 02:37:08.680]  Dave, am I wrong for that?
[02:37:08.680 --> 02:37:10.300]  No, you're absolutely right.
[02:37:10.300 --> 02:37:13.240]  I've had an opportunity here in Texas.
[02:37:13.240 --> 02:37:15.560]  We changed our Sunday service to Saturday.
[02:37:15.560 --> 02:37:20.880]  So I on Sunday tour different churches here in Texas and all the world events going on
[02:37:20.880 --> 02:37:24.120]  like this with Target and all these other horrific things.
[02:37:24.120 --> 02:37:28.520]  I've never heard a single pastor that I've been in a church bring these issues up.
[02:37:28.520 --> 02:37:30.680]  It's like they're living in a different world.
[02:37:30.680 --> 02:37:32.280]  These need to be addressed.
[02:37:32.280 --> 02:37:34.720]  These are against God's precepts and commandments.
[02:37:34.720 --> 02:37:38.240]  And the congregation needs to hear this from the from the pulpit.
[02:37:38.240 --> 02:37:42.760]  They need to know the word of God and show how this is not this is not right.
[02:37:42.760 --> 02:37:47.400]  We're in this situation because of the church and because of the silent pulpits and the
[02:37:47.400 --> 02:37:48.480]  itchy ears.
[02:37:48.480 --> 02:37:51.960]  If the church did what they were supposed to do, this would not happen in the United
[02:37:51.960 --> 02:37:52.960]  States of America.
[02:37:52.960 --> 02:37:59.640]  Yeah, I agree, because there is no doubt the Catholic Church, the Christian body here in
[02:37:59.640 --> 02:38:03.000]  America should be able to move mountains politically.
[02:38:03.000 --> 02:38:08.480]  There is no reason why the left and their activists funded by George Soros should be
[02:38:08.480 --> 02:38:12.360]  able to move the political mountains that they've been able to move without any pushback.
[02:38:12.360 --> 02:38:13.360]  And yet it happens.
[02:38:13.360 --> 02:38:14.360]  And you just kind of said it.
[02:38:14.360 --> 02:38:17.180]  You said it's like they don't live in the same world.
[02:38:17.180 --> 02:38:19.220]  That's exactly it.
[02:38:19.220 --> 02:38:20.800]  That's exactly it right there.
[02:38:20.800 --> 02:38:28.140]  It's just how can people continue to go to a church where the pastor seemingly doesn't
[02:38:28.140 --> 02:38:29.680]  even live in the same world?
[02:38:29.680 --> 02:38:33.300]  It's like they don't even know what planet they're living on, not addressing these issues.
[02:38:33.300 --> 02:38:38.020]  And sadly, I think, like you said, that's part of the problem, because people just leave
[02:38:38.020 --> 02:38:40.380]  the church because they're like, well, this pastor don't even know what's going on in the
[02:38:40.380 --> 02:38:41.380]  world.
[02:38:41.380 --> 02:38:42.380]  Exactly.
[02:38:42.380 --> 02:38:44.940]  You know, these people are hurting, they're suffering there.
[02:38:44.940 --> 02:38:46.980]  We had a pandemic thrown at us.
[02:38:46.980 --> 02:38:48.380]  We've had businesses lost.
[02:38:48.380 --> 02:38:55.220]  We've had government overreach and our crops and everything we do.
[02:38:55.220 --> 02:38:57.900]  And the pulpit is staying quiet like this is not happening.
[02:38:57.900 --> 02:39:01.240]  It's affecting every single person in that congregation.
[02:39:01.240 --> 02:39:04.060]  And the pastor needs to stand up and take leadership.
[02:39:04.060 --> 02:39:05.060]  That's what a pastor means.
[02:39:05.060 --> 02:39:09.740]  It means to be the head of the sheep, to guide them and guide them in the word of God and
[02:39:09.740 --> 02:39:14.260]  be a influence to the world and stand up for the right and the wrong of the world and not
[02:39:14.260 --> 02:39:15.300]  be afraid.
[02:39:15.300 --> 02:39:19.380]  Don't be afraid of what the world is going to say about you or them stripping your 501c
[02:39:19.380 --> 02:39:22.220]  or whatever tax status or coming after you.
[02:39:22.220 --> 02:39:24.620]  Like I said earlier, it's prison ministry.
[02:39:24.620 --> 02:39:28.820]  If we don't think we're going to get Jesus told us that we were going to be hated for
[02:39:28.820 --> 02:39:29.820]  his namesake.
[02:39:29.820 --> 02:39:30.820]  But he overcame the world.
[02:39:30.820 --> 02:39:34.820]  Who are we to think we're any different than the apostle Paul that had to stand in the
[02:39:34.820 --> 02:39:37.780]  gap and sing while he was in prison?
[02:39:37.780 --> 02:39:40.420]  We have to have that leadership from the pulpit today.
[02:39:40.420 --> 02:39:45.340]  Another great pastor I met at the Reawaken America tour is Pastor Greg Locke, and I'm
[02:39:45.340 --> 02:39:50.500]  wondering if you've had the same experience as he has had, which is basically when you
[02:39:50.500 --> 02:39:55.940]  do, it's not by design, it's not intentional, it's not a politically motivated thing, it's
[02:39:55.940 --> 02:39:56.940]  how it should be.
[02:39:56.940 --> 02:40:04.300]  When you do turn the pulpit into a political tool against Satan, the church just explodes.
[02:40:04.300 --> 02:40:12.140]  I mean, Pastor Locke's church has just grown immensely since he's really become fiery going
[02:40:12.140 --> 02:40:14.540]  with the political issues from the pulpit.
[02:40:14.540 --> 02:40:16.100]  Have you experienced the same thing?
[02:40:16.100 --> 02:40:21.780]  I mean, I imagine that the pastors that do go down that road, those are the churches that
[02:40:21.780 --> 02:40:22.780]  are going to be growing.
[02:40:22.780 --> 02:40:24.860]  Those are going to be the churches of the future.
[02:40:24.860 --> 02:40:25.860]  Absolutely.
[02:40:25.860 --> 02:40:27.420]  We've seen the same thing.
[02:40:27.420 --> 02:40:29.700]  Pastor Locke's a personal friend of mine.
[02:40:29.700 --> 02:40:34.260]  His explosion is the same explosion his glory has had.
[02:40:34.260 --> 02:40:38.140]  We go around the world, and so many people have come up to us and said to us, you know,
[02:40:38.140 --> 02:40:43.300]  I was not a Christian before I listened to you, or I was a lukewarm Christian, but because
[02:40:43.300 --> 02:40:49.140]  of what you're telling us, the truth of Jesus Christ, we search for it, and we have a hope.
[02:40:49.140 --> 02:40:52.740]  We have a better relationship with our Lord and Savior right now.
[02:40:52.740 --> 02:40:58.700]  That's why we baptize, I think it's over 5,500 people on these Reawaken tours.
[02:40:58.700 --> 02:41:03.460]  The people are just coming in by the thousands, literally, to be baptized, to renew their
[02:41:03.460 --> 02:41:05.860]  life in Jesus Christ, and say, you know what?
[02:41:05.860 --> 02:41:07.140]  I'm not going to take it anymore.
[02:41:07.140 --> 02:41:13.060]  I'm going to finish the race, as the Apostle Paul said, doing the will of the Lord.
[02:41:13.060 --> 02:41:18.580]  Yeah, and I think protecting the children is obviously one of the most important aspects
[02:41:18.580 --> 02:41:24.700]  of this, and maybe there's an instinct that doesn't kick in with people until they do
[02:41:24.700 --> 02:41:31.500]  have children, but that, to me, is a no-brainer, and that, to me, is where Christians have to
[02:41:31.500 --> 02:41:36.540]  be to protect these innocent children from the satanic agenda.
[02:41:36.540 --> 02:41:37.540]  You're absolutely right.
