[00:00.000 --> 00:02.000]  it
[2:02:35.420 --> 2:02:41.100]  watch him the may feel guilty to be associated or attached with him and as soon as my representation
[2:02:41.100 --> 2:02:45.900]  was announced and another lawyer Norm Pattis big old school civil rights lawyer in Connecticut
[2:02:45.900 --> 2:02:49.420]  I think he's thought of ponytail I mean he's old school yeah he had friends and family members
[2:02:49.420 --> 2:02:53.580]  that are connected to what happened at Sandy Hook so he immediately you know wanted to be
[2:02:53.580 --> 2:02:57.820]  involved in the case as soon as he was Huffington Post writes a hit piece on they don't talk about
[2:02:57.820 --> 2:03:01.660]  a civil rights legacy they don't talk about any of that it's entire the whole thing is intended
[2:03:01.660 --> 2:03:06.300]  to smear him and to send a message that if you're a lawyer and you dare defend Alex Jones we're
[2:03:06.300 --> 2:03:10.380]  going to try to destroy your reputation in the public space and that's exactly the problem
[2:03:10.380 --> 2:03:15.420]  that needs to be fixed and remedied yeah so related to Jones specifically I mean one of the things
[2:03:15.420 --> 2:03:21.020]  that I thought was was most incredible I forget the exact order of it but basically within 48 hours
[2:03:21.020 --> 2:03:25.900]  all the platforms took him down yes and it's like okay is that is that that you guys truly
[2:03:25.900 --> 2:03:31.020]  are calling each other and coordinating it or is it that you're all sort of cowards you somebody
[2:03:31.020 --> 2:03:35.740]  breaks the ice and now you're just followers and I don't know that it matters either way right it
[2:03:35.740 --> 2:03:40.620]  probably doesn't matter either way but what I thought was okay it doesn't even matter what he has said
[2:03:40.620 --> 2:03:48.220]  short of breaking an American law in my opinion the real issue here is that if he can't be on there
[2:03:48.860 --> 2:03:53.740]  then why is Farrakhan on there I'm not even I'm not making a comparison direct comparison
[2:03:53.740 --> 2:03:58.620]  then why is Hamas on there we could do a billion other things you know the disparity is obvious
[2:03:58.620 --> 2:04:02.380]  and evident there are people who've said far worse things that just happen to have a different
[2:04:02.380 --> 2:04:06.780]  ideological intellectual perspective it was even if you took all the accusations against them at
[2:04:06.780 --> 2:04:11.420]  face value and 90 percent of them are not true the what and that's your typical smear campaign
[2:04:11.420 --> 2:04:16.060]  the conservative or the person on the right or the person some on the independent anti-war left
[2:04:16.060 --> 2:04:19.980]  will often be attacked and smeared 90 percent of what's said about them is not true but even
[2:04:19.980 --> 2:04:24.620]  if it was true what the other side has said is usually far worse and far more greatest and far
[2:04:24.620 --> 2:04:29.260]  more excessive and it's the obvious disparate treatment they're using their their concentrated
[2:04:29.260 --> 2:04:36.220]  power to uh and including their lawfare power to effectively wipe out the little guy so that only
[2:04:36.220 --> 2:04:39.820]  the big guy's voice is heard and also means about the audience because that was John's
[2:04:39.820 --> 2:04:43.900]  still going to talk it's just can the audience hear him so it's about their right to choose
[2:04:43.900 --> 2:04:47.420]  their right to choose what news they want to look at what views they want to have
[2:04:47.420 --> 2:05:00.620]  what how they filter information
[2:05:00.620 --> 2:05:08.060]  i've got some really good news though x2 is back the original x2 deep breath crystal pure
[2:05:08.060 --> 2:05:14.380]  atomic iodine what you want in forestore.com it'll be here in a week manufactured in the us
[2:05:14.380 --> 2:05:19.340]  in forestore.com with the best iodine in the world x2 it's available i thought x3 is great
[2:05:19.340 --> 2:05:23.340]  we still got another deep breath crystal source but i thought add the other two types of iodine
[2:05:23.340 --> 2:05:28.540]  the scientists that do that it sold a lot that people want original x2 well i i was resigned
[2:05:28.540 --> 2:05:33.340]  the fact we didn't have x2 but it it came through about a month ago we now have x2 again
[2:05:33.340 --> 2:05:38.940]  and in forestore.com so hallelujah it's been sold out for about almost three months but we have now
[2:05:38.940 --> 2:05:47.100]  we have the same company the original x2 develop it again and we were able to do the exact same
[2:05:47.100 --> 2:05:52.620]  formula we want to pre-order x2 the ultimate iodine out there learn about the iodine conspiracy
[2:05:52.620 --> 2:05:56.220]  learn about iq's dropping when you don't have it learn about how the other iodines are bound
[2:05:57.100 --> 2:06:00.460]  get yours today at infowarsstore.com or enforcelife.com
[2:06:00.460 --> 2:06:12.060]  waging war on corruption it's alex jones coming to you live from the front lines of the info war
[2:06:16.220 --> 2:06:24.060]  march 14th 2019 we are right in the eyes of march right now
[2:06:24.060 --> 2:06:29.900]  you know i took president trump to the metaphorical wood shed yesterday
[2:06:31.260 --> 2:06:35.100]  and i didn't do it because i don't support the president i didn't do it to get brownie points
[2:06:35.100 --> 2:06:40.780]  with hillary clinton i did it because he's not defending the first amendment he's not standing
[2:06:40.780 --> 2:06:48.220]  up against big cartels of big tech openly involved in organized racketeering against
[2:06:48.220 --> 2:06:52.140]  nationalists against christians against conservatives against second amendment groups
[2:06:52.140 --> 2:06:58.220]  veterans groups hunting fishing groups you name it there is a rain of terror going on
[2:06:58.220 --> 2:07:02.780]  and the president's saying well just be well behaved we've got to be better than democrats
[2:07:02.780 --> 2:07:09.260]  that does cut it so i'll talk more about that coming up in the next segment and we've got
[2:07:09.260 --> 2:07:14.940]  the latest aoc behavior where she's the gift that just keeps on giving until you realize the democrats
[2:07:14.940 --> 2:07:22.380]  love all this bs how socialism and communism are great now banks financing anything is inherently
[2:07:22.380 --> 2:07:27.820]  evil we're going to be playing all this coming up the next few segments but first let me get into
[2:07:28.860 --> 2:07:33.980]  president trump yesterday i'll play his comments here in a moment rounding the bowing
[2:07:35.020 --> 2:07:40.780]  new generation of seven thirty sevens the max eight and max nine and crazily enough we're
[2:07:40.780 --> 2:07:46.300]  going to roll some of the b-roll here in a moment i uh for tv viewers i flew back to the united
[2:07:46.300 --> 2:07:53.420]  states yesterday and i'm on the plane looking at the internet on my phone as the president grounds
[2:07:53.420 --> 2:07:58.220]  the aircraft and i look up and it's got on the computer screen right there with the in-flight
[2:07:58.220 --> 2:08:06.060]  announcements that i'm on a max seven thirty seven uh eight hundred which i guess is the same as an
[2:08:06.060 --> 2:08:12.460]  eight or nine the point is that i said is this the plane that's just been grounded and they said yes
[2:08:13.020 --> 2:08:19.740]  but don't worry the pilots say that it's just a autopilot problem and that they're not training
[2:08:19.740 --> 2:08:26.300]  these third world uh companies in africa and in asia and that all they got to do is hit two buttons
[2:08:26.300 --> 2:08:31.740]  and the autopilot's off that if they don't think the plane's going fast enough the robot the computer
[2:08:31.740 --> 2:08:38.860]  uh basically starts putting the nose down and then if pilots fight it they can't fight it'll
[2:08:38.860 --> 2:08:43.500]  take you all the way down it tends to happen on takeoff at a certain point if the plane slows
[2:08:44.380 --> 2:08:49.100]  i go wow how do you know all this and and he goes well i'm actually a pilot in private life
[2:08:49.100 --> 2:08:52.860]  working towards my commercial license so then later i had a chance once we got off the plane real
[2:08:52.860 --> 2:08:57.740]  quick to talk to the pilot he confirmed all that but while i'm on the couple hour flight back in the
[2:08:57.740 --> 2:09:03.340]  u.s i'm reading all the articles confirming that there's all these federal registry complaints
[2:09:03.340 --> 2:09:08.140]  and all these admissions by pilots that it's the autopilot and that it's super dangerous that even
[2:09:08.140 --> 2:09:14.300]  u.s carriers didn't teach them in the last year when these planes rolled out that when the autopilot
[2:09:14.300 --> 2:09:20.300]  glitches with a bad sensor you just turn the autopilot off so pilots have all talked and
[2:09:20.300 --> 2:09:24.620]  figured this out so when this happened five six days ago i already knew i bet it's autopilot
[2:09:24.620 --> 2:09:29.900]  because pilots are complaining that new pilots especially don't know how to fly planes they may
[2:09:29.900 --> 2:09:34.300]  get their license go through their hours get trained through simulators through regional carriers
[2:09:34.300 --> 2:09:41.340]  finally get on a big jet well then a few years of flying around on these big jets with autopilot
[2:09:41.340 --> 2:09:45.340]  that's so incredibly good you ever wonder why landings are so much smoother than used to be
[2:09:46.620 --> 2:09:51.660]  remember when you were a kid or even a teenager if you're older like i am 45 50 60 70 remember like
[2:09:51.660 --> 2:09:58.780]  remember like even on sunny days i mean boom boom boom you ever wonder why it's just so damn smooth
[2:09:58.780 --> 2:10:05.580]  when you come in like it's because the autopilot is amazing the same autopilot they had in the
[2:10:05.580 --> 2:10:11.180]  80s that could shoot cruise missiles down people's chimneys or through their windows but what happens
[2:10:11.180 --> 2:10:15.820]  when it messes up and the humans don't know what to do and so a lot of pilots have pointed out
[2:10:15.820 --> 2:10:25.260]  this is criminal negligence that the manuals do not tell people what to do when this happens
[2:10:25.260 --> 2:10:31.500]  so sure american airlines delta airlines things like quantas things you know top brand things like
[2:10:31.500 --> 2:10:37.420]  virgin things like british airways southwest has good pilots they've all been taught about this
[2:10:37.420 --> 2:10:44.540]  workaround this glitch in the autopilot sensor but i made some calls when this first happened
[2:10:44.540 --> 2:10:49.100]  five days ago people like oh it's the autopilot i called some pilots and then sure enough for the
[2:10:49.100 --> 2:10:55.020]  show for the news but still the media section like well is it autopilot so the problem is the autopilot
[2:10:55.020 --> 2:11:00.060]  we all know what's doing it you just have to put the pilots through a training regimen that if the
[2:11:00.060 --> 2:11:05.340]  plane is slowing down on takeoff you know at six seven eight thousand feet because you're you're
[2:11:05.340 --> 2:11:11.180]  ascending if the plane thing is going too slow it doesn't want to stall out the computer drops the
[2:11:11.180 --> 2:11:19.900]  nose pilots start fighting that the computer overrides you're dead and the pilots don't even know
[2:11:21.180 --> 2:11:26.700]  that it's an autopilot problem which again you go back 40 something years ago Texas Instruments
[2:11:26.700 --> 2:11:32.300]  comes out with a calculator before then everybody knew how to do arithmetic you the average person
[2:11:32.300 --> 2:11:38.380]  should do any type of algebra any type of other equations you needed hell i was pretty good because
[2:11:38.380 --> 2:11:44.060]  they wouldn't let us back in high school use calculators i was okay at math nowadays i don't
[2:11:44.060 --> 2:11:50.460]  know the first thing about math i use a calculator and again the machines are making us weak i'm not
[2:11:50.460 --> 2:11:55.020]  against the machines it's just they're making us weak and we always get a human there that knows
[2:11:55.020 --> 2:12:01.500]  how to run it if the machine doesn't that keeps humans the equation and that's what i trust and
[2:12:01.500 --> 2:12:06.380]  you take trump had a great tweet on this and we can pull it up but he basically said i believe in
[2:12:06.380 --> 2:12:13.260]  humans involved not some Einstein program computer that could have a glitch because we all know sometimes
[2:12:13.980 --> 2:12:19.740]  your car stalls out and you've got the power steering and you're you may be strong you can't
[2:12:19.740 --> 2:12:24.700]  control that car that's scary i like the old-fashioned cars where if you ran out of gas or
[2:12:24.700 --> 2:12:30.460]  things stalled you were controlling the wheel and it's the same thing humans are being removed
[2:12:30.460 --> 2:12:38.460]  from the equation self-driving cars self-flying airplanes algorithms all the dinners that you
[2:12:38.460 --> 2:12:43.500]  know cook themselves and so nobody knows how to cook a meal we're losing our humanity and it's
[2:12:43.500 --> 2:12:49.180]  fulfilling the garden it's fulfilling to cook pasta or cook chicken or steaks it's fulfilling
[2:12:49.180 --> 2:12:55.500]  to do carpentry we're meant to build things we built the machines let's not let the machines
[2:12:55.500 --> 2:13:01.500]  take over our lives but the big takeaway is there's a debate five six how many days is it into this
[2:13:01.500 --> 2:13:08.460]  now what caused it who knows ground all the planes it's the same old 737 badass airframe big juicy
[2:13:08.460 --> 2:13:14.380]  engines great avionics the best equipment ever but there's a glitch in the sensor and the pilots
[2:13:14.380 --> 2:13:20.140]  are in the federal register for a year all over the u.s. and the world saying the autopilot's
[2:13:20.140 --> 2:13:26.860]  got a glitch we have to play dumb kill bowing stock by 30 instead of fixing the bug insanity
[2:13:26.860 --> 2:13:31.260]  let's go to the president laying the grounding out from yesterday here it is
[2:13:31.820 --> 2:13:37.980]  to make a announcement very shortly regarding the new information and physical evidence that
[2:13:37.980 --> 2:13:45.740]  we've received from the site and from other locations and through a couple of other complaints
[2:13:45.740 --> 2:14:00.220]  we've had a very very detailed group of people working on the 737 8 and the 737 9 new airplanes
[2:14:01.740 --> 2:14:08.540]  we're going to be issuing an emergency order of prohibition to ground all flights of the 737
[2:14:08.540 --> 2:14:20.300]  max 8 and the 737 max 9 and planes associated with that line i've spoken to elaine chow
[2:14:20.300 --> 2:14:29.100]  secretary of transportation dan elwell acting administrator of the f a a and to deniz mullenberg
[2:14:29.100 --> 2:14:38.220]  cdo of bowing and they'll be available shortly after our conference today they are all in agreement
[2:14:38.220 --> 2:14:43.100]  with the action any plane currently in the air will go to its destination and they're after
[2:14:43.100 --> 2:14:51.180]  be grounded until further notice so planes that are in the air will be grounded if they're the 737
[2:14:51.180 --> 2:14:57.900]  max will be grounded upon landing at the destination let's stop right there the craziness is again
[2:14:57.900 --> 2:15:03.020]  yesterday i and i've got video we just be rolled in for tv viewers i'm literally on the tarmac they
[2:15:03.020 --> 2:15:07.340]  close the door they have this big discussion we stay on the tarmac 30 minutes longer than we're
[2:15:07.340 --> 2:15:13.340]  supposed to and then i start talking to them in the front row to the flight attendants they go well
[2:15:13.340 --> 2:15:17.340]  trump just just announced minutes ago and so we're deciding if we're even going to take off
[2:15:17.340 --> 2:15:20.700]  they were all flustered and the guys like god i wonder if i'm going to get to go to that party
[2:15:20.700 --> 2:15:24.220]  at night in austin so that's that's how i was getting all this inside baseball and then talk to
[2:15:24.220 --> 2:15:28.780]  the pilot because there was like 20 30 minutes of not sure and it was like no no go to your
[2:15:28.780 --> 2:15:35.660]  destination so they kind of took off to austin uh but that's how crazy this has gotten when
[2:15:35.660 --> 2:15:44.380]  the pilots fly the planes trust them and the engineers it's a sensor problem with the autopilot
[2:15:44.380 --> 2:15:48.620]  and that's all that's happening and all you've got to do is tell the pilots especially in third
[2:15:48.620 --> 2:15:54.380]  world countries that don't do their research i guess read the damn manual turn off the freaking
[2:15:54.380 --> 2:16:01.580]  autopilot fly the plane humans remember those people most of you know that heart disease is the
[2:16:01.580 --> 2:16:06.860]  number one silent killer in the u.s what if i told you for just 54 95 a month you could fight
[2:16:06.860 --> 2:16:12.060]  against heart disease naturally at heart and body extract we've been helping thousands of people get
[2:16:12.060 --> 2:16:16.860]  back to a healthier heart don't just take my word for it check out all of the success stories at
[2:16:16.860 --> 2:16:28.140]  hbxtrack.com or to order call 866 295 5305 that's 866 295 5305 hbxtrack.com don't risk it when you
[2:16:28.140 --> 2:16:33.340]  can take charge of it fully cooked ready to eat bacon i'm talking thick meaty center cut
[2:16:33.340 --> 2:16:40.780]  presidential bacon savory and delicious i buy some i use some i store some awesome no refrigeration
[2:16:40.780 --> 2:16:46.940]  needed with a 10-year shelf life nasa pack technology bacon fully cooked fully hydrated
[2:16:46.940 --> 2:16:53.260]  ready to eat right from the pack bacon or warm and serve life saving ready to eat bacon 10-year
[2:16:53.260 --> 2:17:00.460]  shelf life bacon ships free at fully cooked bacon dot com fully cooked bacon dot com hunters anglers
[2:17:00.460 --> 2:17:06.300]  campers and survivalists get back to nature expand your horizons with the highest quality most versatile
[2:17:06.300 --> 2:17:11.820]  unique slingshots and sling bows on the market at sling bow dot com sling bow products are compact
[2:17:11.820 --> 2:17:17.260]  and models start from just 1798 they're perfect for your bug out bag or storing in your vehicle give
[2:17:17.260 --> 2:17:22.700]  yourself and your loved ones the excitement and tradition of sling bow a new frontier and archery
[2:17:22.700 --> 2:17:28.380]  and truly modern twist on this primitive survival tool feel the thrill only at sling bow dot com
[2:17:29.100 --> 2:17:35.420]  the united states of empire is a book that claims the united states is the empire of the world
[2:17:35.420 --> 2:17:41.340]  george washington had warned us against foreign wars the united states of empire shows that world
[2:17:41.340 --> 2:17:48.540]  wars one and two left england broken its former colony the us had to save the empire was there
[2:17:48.540 --> 2:17:55.580]  ever a vote who do we fight for the deep state began with world war one the united states of empire
[2:17:55.580 --> 2:18:02.780]  by james dunne available at amazon books our grandparents and great grandparents know that
[2:18:02.780 --> 2:18:08.460]  they can't food during the fall so you have it during the winter and that's what i'm talking about
[2:18:08.460 --> 2:18:14.620]  at m4store.com with info or select it's the full spectrum of my patriot supply one of the top
[2:18:14.620 --> 2:18:21.500]  most respected companies out there but because i private label it i'm able to go below cost on
[2:18:21.500 --> 2:18:26.780]  contracts that all their other distributors aren't able to do but i want to be a market leader
[2:18:26.780 --> 2:18:31.820]  and i want you to have storeable food so it's a total win-win we have those incredible sell prices
[2:18:31.820 --> 2:18:38.140]  back m4store.com on m4 select storeable foods they've got special diet foods they've got three
[2:18:38.140 --> 2:18:43.500]  month supplies your supplies weak emergency supplies they've got so many great products there
[2:18:43.500 --> 2:18:48.380]  and you got a three-year supply if stuff happens you can feed your whole block it's up to us to be
[2:18:48.380 --> 2:18:53.660]  self-sufficient you're buying war bonds bringing great products and together with god's help we
[2:18:53.660 --> 2:19:00.700]  are unstoppable m4store.com and m4 select high-quality global foods powered by my patriot supply if
[2:19:00.700 --> 2:19:06.700]  you're not expanding you're imploding there is no set stasis there is no managed system there is no
[2:19:06.700 --> 2:19:12.700]  uncontenual the continuum is always launching forward in the future so you support us and get
[2:19:12.700 --> 2:19:16.380]  creative and get fired up we won't just be here a hundred years we'll be here forever we'll turn
[2:19:16.380 --> 2:19:21.420]  the whole thing around our grandchildren on mars bases and jump bases and if god knows what are
[2:19:21.420 --> 2:19:25.740]  going to look back and say you know that we struggled here we made it and that's really
[2:19:25.740 --> 2:19:30.700]  where this goes but yeah god's got a big war for you ready and so if you can't face George Soros
[2:19:30.700 --> 2:19:34.940]  and Hillary Clinton and Adolf Hitler and Mao Zedong are you going to really be able to face
[2:19:34.940 --> 2:19:39.980]  the other stuff because god wants warriors that are smart and are ready to build things and are
[2:19:39.980 --> 2:19:43.980]  also ready to fight you don't go to the next level without getting a big weight put on your back and
[2:19:43.980 --> 2:19:48.220]  i mean i don't know what's going to happen to me in the future i i mean all i know is i want to go
[2:19:48.220 --> 2:19:53.420]  with the master built i want to go to the next level i want to be with the spirit that i've
[2:19:53.420 --> 2:19:58.620]  experienced not these devil worshipers they're cold and failed and feels like being a tomb i want
[2:19:58.620 --> 2:20:00.060]  life i want jesus
[2:20:00.060 --> 2:20:07.020]  you're listening to the alex jones show
[2:20:16.460 --> 2:20:20.220]  waging war on corruption it's alex jones
[2:20:20.220 --> 2:20:29.500]  so i want to get into aoc and some of her crazy behavior that takes the cake so far
[2:20:31.020 --> 2:20:37.340]  we can't snicker too much because there's a very very dark stinking rotting underbelly to this
[2:20:37.340 --> 2:20:41.660]  where those of us that are informed and involved see what a joke she is but for those that aren't
[2:20:41.660 --> 2:20:48.860]  there they're buying the the bs they are buying the baloney big time first off you know i was
[2:20:48.860 --> 2:20:54.140]  reading some of the comments on info wars dot com yesterday in the day on a video report i did
[2:20:54.140 --> 2:20:59.500]  for info wars dot com uh dealing with the fact that president trump really put the exact headline
[2:21:00.460 --> 2:21:08.460]  alex jones trumps portrayal of american rights heartbreaking and then i read the massive amount
[2:21:08.460 --> 2:21:15.100]  of comments and about half of them were saying oh you think you're gonna get arrested like roger stone
[2:21:15.100 --> 2:21:20.700]  so now you're throwing trump under the bus and the other half were like no trumps a total traitor
[2:21:20.700 --> 2:21:27.820]  snake and jones is right to go after him thank god jones is finally doing it well you're both wrong
[2:21:29.100 --> 2:21:34.540]  trumps pragmatic trumps for america trumps doing a lot of great things but his belief
[2:21:34.540 --> 2:21:39.900]  that he can't go after the racketeering combines of big tech who've been caught red-handed censoring
[2:21:39.900 --> 2:21:44.860]  us and the fact that he's saying he's probably not going to do anything and we all just better
[2:21:46.620 --> 2:21:51.900]  behave ourselves and maybe we'll still be left on the internet that makes me see red
[2:21:53.020 --> 2:21:56.300]  and so talking to people that are close to the president they say listen he's surrounded by
[2:21:56.300 --> 2:22:01.740]  neocons bsing him the only way you get his attention is getting very upset and very angry at him
[2:22:01.740 --> 2:22:07.100]  like tucker carlson and others have done and so that's what i'm doing i thank god every day he's
[2:22:07.100 --> 2:22:13.580]  the president versus hillary clinton but when i watch all the proof of them big tech lying to
[2:22:13.580 --> 2:22:18.700]  congress and i watch all the proof of the censorship and i experience it and i see it
[2:22:18.700 --> 2:22:24.940]  expanding as everybody it makes me get really really really really upset so so no it's not
[2:22:24.940 --> 2:22:29.740]  that trump's a snake in the grass and he's this evil operative out to get us now the globalists
[2:22:29.740 --> 2:22:37.660]  legitimately want him out and it's not that i'm a bad guy now who wants to be left alone by hillary
[2:22:37.660 --> 2:22:44.620]  the deep state so i'm turning against trump that's not what's happening this audience myself all of
[2:22:44.620 --> 2:22:51.260]  you got trump elected we're the americana movement nationalism is exploding worldwide we're the wave
[2:22:51.260 --> 2:22:57.500]  that trump wrote in on and i want trump with his executive power and the president to take action
[2:22:57.500 --> 2:23:04.620]  i love trump but then i really hate some of his actions it's a love hate relationship so
[2:23:04.620 --> 2:23:10.780]  trump's good but if you go read the bright martin interview stop on info wars.com yesterday
[2:23:10.780 --> 2:23:16.540]  maybe i can pull it up today it's already scrolled off but it was something like a headline we'll
[2:23:16.540 --> 2:23:23.740]  try to pull it up trump says be well behaved be really good oh like franklin graham getting taken
[2:23:23.740 --> 2:23:29.420]  off facebook or all the rest of it you know what gets taken off effective truthful well done stuff
[2:23:29.420 --> 2:23:39.740]  like prager university oh can prager who comes off like a school counselor very well spoken very
[2:23:39.740 --> 2:23:46.700]  genteel you can't get more g-rated more friendly more nice more gregarious so can he be better behaved
[2:23:46.700 --> 2:23:55.900]  president day so that's all i'm saying is that it's really starting to get to me and first we
[2:23:55.900 --> 2:23:59.820]  heard about executive orders a year ago and all these actions and then none of those happened
[2:24:01.740 --> 2:24:09.020]  and then we heard well it'll be on the platform for 2020 and now it's not and i'll tell you why
[2:24:09.020 --> 2:24:13.660]  the big and then not that trump's taking lobbyist money he's fired almost all the lobbyists but
[2:24:13.660 --> 2:24:19.020]  still fox news the establishment they see big powerful websites like info wars.com
[2:24:19.020 --> 2:24:27.340]  or drug report.com or daily caller.com bright mart.com they see those as competition to campaign
[2:24:27.340 --> 2:24:31.420]  dollars well i don't take advertising some of the radio stations i'm on the radio network i'm on do
[2:24:31.420 --> 2:24:37.420]  but i don't take money from political advertising in my whole history i think a few times back when
[2:24:37.420 --> 2:24:41.980]  we took advertising a few local candidates for like state rep slip through like oklahoma or
[2:24:41.980 --> 2:24:46.140]  something less than one to the one percent of our money's been political money's my point
[2:24:46.140 --> 2:24:53.580]  for average talk radio upwards of half their money in election years political money so we
[2:24:53.580 --> 2:25:00.860]  don't do that we don't take political money we don't take any of it i mean if our work was a
[2:25:00.860 --> 2:25:05.820]  white tablecloth you might find one little tiny brown spot the size of a freckle where we took
[2:25:05.820 --> 2:25:10.940]  political money and i'm not saying it's bad to take money to run political ads i'm not judging
[2:25:10.940 --> 2:25:16.860]  stations to do that i'm saying that's not who we are but that's the big secret the rest of the story
[2:25:16.860 --> 2:25:23.580]  as paul harvey would say good day it's that the carl roves of the world that bring in hundreds of
[2:25:23.580 --> 2:25:30.220]  millions of dollars in off-ear elections and even more during general elections they wanted all to
[2:25:30.220 --> 2:25:42.540]  Sinclair and all to fox news and all to that we're not even trying to get that money but there are
[2:25:42.540 --> 2:25:48.380]  thousands of packs that are very effective that are raising millions of dollars and that are running
[2:25:48.380 --> 2:25:53.660]  ads and that are effective and that scares the old not that old people are bad but in this case
[2:25:53.660 --> 2:25:58.700]  they're old thinking old political establishment so there's a perfect storm of dying corporate
[2:25:58.700 --> 2:26:04.140]  meeting dying leftist media authoritarian colleges that are so corrupt with worthless degrees collapsing
[2:26:05.260 --> 2:26:08.860]  governments that are corrupt and collapsing not just here but all the world
[2:26:09.420 --> 2:26:16.700]  china financing anti-free speech movements and they don't know what to do they don't know how
[2:26:16.700 --> 2:26:24.460]  to respond and so they just say shut it all down and the final little ingredient is the pr firms
[2:26:24.460 --> 2:26:31.420]  the lobbyists the ad agencies that make buh buh buh buh buh billions about four billion on a general
[2:26:31.420 --> 2:26:37.580]  election about two billion on an off-ear election and they're making all that money and the mere fact
[2:26:37.580 --> 2:26:44.060]  that it embarrasses them that grassroots websites and grassroots talk shows will have viral videos
[2:26:44.060 --> 2:26:49.340]  not that we even put out everybody puts them out you'll go look at the top 10 viral videos during
[2:26:49.340 --> 2:26:56.380]  an election and nine of them are mom and pop packs or groups that aren't even packs and that's why
[2:26:57.500 --> 2:27:02.460]  that's why they want everybody shut down and that's why they say drudge report info wars
[2:27:02.460 --> 2:27:07.020]  are political in the federal elections commission because when we say we're pro gun or we're pro
[2:27:07.020 --> 2:27:13.740]  life or we support president trump or we support this congressman or this congresswoman they know
[2:27:13.740 --> 2:27:18.620]  that's politically getting them elected it's not political money it's not even political speech it's
[2:27:18.620 --> 2:27:26.220]  our free speech but they're trying to convolut all of that together to then shut us down so the
[2:27:26.220 --> 2:27:31.660]  final equation is fox news and all these people they don't want political competition they want to
[2:27:31.660 --> 2:27:36.620]  be the only game in town and they'd rather trump lose the election or america go down the tubes if
[2:27:36.620 --> 2:27:43.580]  they can ride us going down for another decade and it it really is treason it really is disgusting and
[2:27:43.580 --> 2:27:50.780]  so whether trump's getting bad advice uh or whether he's been compromised whatever the case is the
[2:27:50.780 --> 2:27:58.620]  biggest sterling issue even bigger than the border is free speech in this country and the fact that
[2:27:58.620 --> 2:28:05.020]  president trump is dead in the water letting a twist to the wind and basically said i'm not coming
[2:28:05.020 --> 2:28:11.820]  to your aid get used to it green light facebook green light google green light twitter green light
[2:28:11.820 --> 2:28:17.900]  youtube green light everybody you shut down whoever you want and you do it you organize
[2:28:17.900 --> 2:28:23.020]  yourselves and you lie to congress and i'm not going to do a damn thing sure he says in the
[2:28:23.020 --> 2:28:31.100]  interview they're doing it they lied but you know what bend over and enjoy it and behave yourself
[2:28:31.100 --> 2:28:35.500]  with stocco syndrome maybe we'll leave you alone that really freaks me out and so i'm saying put
[2:28:35.500 --> 2:28:43.100]  pressure on trump as citizen activist as citizen lobbyist for free speech to stop it and say no
[2:28:43.740 --> 2:28:48.620]  you try red flag laws to take our guns lovely process that's a done deal too
[2:28:48.620 --> 2:28:54.620]  trump needs to know hey listen here you're not our pimp we're not your hose we don't just do
[2:28:54.620 --> 2:29:02.060]  whatever you want you got that jack now get ready trump number one international best-selling author
[2:29:02.060 --> 2:29:08.220]  matthew david hurtado's pain was simple Lyme disease bankrupt him in 2009 watching bankers
[2:29:08.220 --> 2:29:13.500]  take everything from his family after building a seven-figure business from his couch god called
[2:29:13.500 --> 2:29:20.700]  him the ministry to teach prosperity based on pain he could not tolerate in others lives irs creditors
[2:29:20.700 --> 2:29:27.020]  car loans debt it's the Babylonian system and you have to escape it before it's too late haven't
[2:29:27.020 --> 2:29:32.380]  you ever wanted to wake up from this nightmare matthew david's free quick study guide shows you
[2:29:32.380 --> 2:29:39.180]  what to do today to build lasting wealth in any economy his discovery he made it's all
[2:29:39.180 --> 2:29:44.700]  consciousness get matthew seven figure quick study guide for clarity certainty and a proven
[2:29:44.700 --> 2:29:51.420]  strategy to build wealth once and for all visit escape right now dot com do it now it's free
[2:29:51.420 --> 2:29:58.780]  escape right now dot com for prosperous future ahead with peace of mind escape right now dot com
[2:30:00.780 --> 2:30:04.060]  well i've got some really good news for all the viewers and all the listeners
[2:30:04.060 --> 2:30:07.340]  this was going to be a big loss because we couldn't get the deep earth crystals anymore
[2:30:07.340 --> 2:30:11.580]  20 year and a half fight but we have the original producer the original crystal source
[2:30:11.580 --> 2:30:17.500]  the best atomic iodide in the world x2 is back got it this deal just happened about a month ago
[2:30:17.500 --> 2:30:22.300]  we rushed it into production it's been bottled the labels are being put on today and that it's
[2:30:22.300 --> 2:30:27.740]  going to be on an 18 wheeler right here to austin from the plant in the rockies and it's going to
[2:30:27.740 --> 2:30:33.100]  be shipped out to you be sure and sign up for auto ship an additional 10 percent off the 25
[2:30:33.100 --> 2:30:37.900]  percent off celebration of the fact that we got it back and we're relaunching research the iodine
[2:30:37.900 --> 2:30:42.540]  conspiracy find out why it's so important find out what the globalists don't want you to have
[2:30:42.540 --> 2:30:48.540]  uh the good halogen you have the bad halogens at infowarstore.com that's the umbrella site
[2:30:48.540 --> 2:30:54.540]  enforce life dot com if you write the supplements and this is the king daddy uh ladies and gentlemen
[2:30:54.540 --> 2:31:04.380]  it is x2 original now back at infowarstore dot com stress is a natural part of life worth family
[2:31:04.380 --> 2:31:10.540]  friends and everyday accidents can put a lot of strain on the body and your mood don't let life
