[00:00.000 --> 00:02.000]  Oh
[2:08:03.920 --> 2:08:05.920]  The scoops are on their way.
[2:08:05.920 --> 2:08:10.920]  The scoops are on their way.
[2:08:10.920 --> 2:08:14.920]  I repeat, the scoops are on their way.
[2:08:14.920 --> 2:08:17.920]  You will find out why Soylent Green means life.
[2:08:17.920 --> 2:08:21.920]  You will find out why Soylent Green means death.
[2:08:21.920 --> 2:08:23.920]  We've got to stop them.
[2:08:23.920 --> 2:08:28.920]  That is the secret of Soylent Green.
[2:08:28.920 --> 2:08:31.920]  Soylent Green is people!
[2:08:31.920 --> 2:08:36.920]  Next thing they'll be breeding is like cattle for food.
[2:08:36.920 --> 2:08:39.920]  You've got to tell them.
[2:08:41.920 --> 2:08:44.920]  So, Mike Adams, finishing up with the coronavirus
[2:08:44.920 --> 2:08:46.920]  and the prediction of where this is going,
[2:08:46.920 --> 2:08:49.920]  I see it from SARS as we predict an in-game,
[2:08:49.920 --> 2:08:52.920]  as a scale-up, the train is for drilling,
[2:08:52.920 --> 2:08:54.920]  the train is for world government,
[2:08:54.920 --> 2:08:57.920]  and of course Bill Mulligan say that as well.
[2:08:57.920 --> 2:09:01.920]  And it's definitely big, it's definitely bad.
[2:09:01.920 --> 2:09:03.920]  How big do you think it's going to get?
[2:09:03.920 --> 2:09:05.920]  How bad is it?
[2:09:05.920 --> 2:09:08.920]  Well, we know that part of the agenda here is
[2:09:08.920 --> 2:09:10.920]  indoctrination training and also quarantine training.
[2:09:10.920 --> 2:09:15.920]  So, whether or not this is the big kill virus
[2:09:15.920 --> 2:09:18.920]  or some other future virus is still unknown.
[2:09:18.920 --> 2:09:21.920]  The death rate, fatality rate from this virus
[2:09:21.920 --> 2:09:23.920]  is not yet high enough to kill a billion people,
[2:09:23.920 --> 2:09:26.920]  but it could kill tens of millions as projected in the software.
[2:09:26.920 --> 2:09:29.920]  But it will most certainly provide the precedent
[2:09:29.920 --> 2:09:32.920]  for a total police state lockdown of the United States
[2:09:32.920 --> 2:09:34.920]  and every major city in America.
[2:09:34.920 --> 2:09:38.920]  And that agenda is really a pretext agenda
[2:09:38.920 --> 2:09:41.920]  to make sure that they can declare emergency orders
[2:09:41.920 --> 2:09:43.920]  and just blame the coronavirus.
[2:09:43.920 --> 2:09:45.920]  Just like they blame climate change for everything
[2:09:45.920 --> 2:09:48.920]  and say we have to stop using combustion engines.
[2:09:48.920 --> 2:09:51.920]  We have to stop farming with diesel-powered tractors.
[2:09:51.920 --> 2:09:53.920]  They blame climate change for that.
[2:09:53.920 --> 2:09:57.920]  So, coronavirus will be the go-to blame object
[2:09:57.920 --> 2:09:59.920]  to say you have to give up all your rights.
[2:09:59.920 --> 2:10:01.920]  You're not allowed to speak online
[2:10:01.920 --> 2:10:03.920]  because you're speaking out against the CDC.
[2:10:03.920 --> 2:10:05.920]  You're not allowed to use natural medicine
[2:10:05.920 --> 2:10:07.920]  because it's not approved by the CDC.
[2:10:07.920 --> 2:10:09.920]  And that if you use natural medicine,
[2:10:09.920 --> 2:10:11.920]  you might spread the worsening virus.
[2:10:11.920 --> 2:10:14.920]  I'm telling you, Alex, you know how they do this.
[2:10:14.920 --> 2:10:16.920]  They're going to use this as a pretext
[2:10:16.920 --> 2:10:19.920]  for every major narrative and every crackdown.
[2:10:19.920 --> 2:10:21.920]  Well, that's it. I mean, we don't just sit here
[2:10:21.920 --> 2:10:23.920]  and make up stuff and then it comes true.
[2:10:23.920 --> 2:10:26.920]  We know it's all formulaic with them.
[2:10:26.920 --> 2:10:29.920]  And, again, it's like they're aliens
[2:10:29.920 --> 2:10:31.920]  that want to sabotage human development.
[2:10:31.920 --> 2:10:33.920]  They poison everything. They kill the earth
[2:10:33.920 --> 2:10:35.920]  while saying they support it.
[2:10:35.920 --> 2:10:37.920]  They sabotage all clean human development
[2:10:37.920 --> 2:10:39.920]  like a pack of gremlins.
[2:10:39.920 --> 2:10:42.920]  Whatever they are, whatever these globalists are,
[2:10:42.920 --> 2:10:44.920]  they're just super bad.
[2:10:44.920 --> 2:10:46.920]  But the thing is they work in coordination
[2:10:46.920 --> 2:10:48.920]  because they're getting a transmission mic.
[2:10:48.920 --> 2:10:50.920]  This is a scientist, as you are.
[2:10:50.920 --> 2:10:53.920]  I just scientifically look at the equations
[2:10:53.920 --> 2:10:56.920]  and it's like this is an anti-human force.
[2:10:56.920 --> 2:10:58.920]  Like you said, what do you call them?
[2:10:58.920 --> 2:11:00.920]  They're the anti-humans.
[2:11:00.920 --> 2:11:02.920]  Whatever you want to call globalists,
[2:11:02.920 --> 2:11:04.920]  they call themselves humanists, you notice,
[2:11:04.920 --> 2:11:06.920]  but they're not. They're the opposite.
[2:11:06.920 --> 2:11:08.920]  Yeah, they're the opposite.
[2:11:08.920 --> 2:11:10.920]  Just like the mainstream media gets talking points every day,
[2:11:10.920 --> 2:11:12.920]  which is why they sound identical
[2:11:12.920 --> 2:11:14.920]  when they're covering this impeachment trial.
[2:11:14.920 --> 2:11:16.920]  They sound identical.
[2:11:16.920 --> 2:11:18.920]  They use identical words and phrases every day.
[2:11:18.920 --> 2:11:20.920]  They use identical expressions.
[2:11:20.920 --> 2:11:22.920]  But the same type of thing is happening to the globalists
[2:11:22.920 --> 2:11:24.920]  and the CDC and the FDA and the drug companies.
[2:11:24.920 --> 2:11:26.920]  They get orders. They're told what to do.
[2:11:26.920 --> 2:11:28.920]  They're told, hey, manufacture this vaccine
[2:11:28.920 --> 2:11:30.920]  and put live viruses in it.
[2:11:30.920 --> 2:11:32.920]  We're going to start a second wave.
[2:11:32.920 --> 2:11:34.920]  And by the way, it's all compartmentalized.
[2:11:34.920 --> 2:11:36.920]  Just like you'll have good cops guarding
[2:11:36.920 --> 2:11:38.920]  the Bilderberg Group meeting from the media.
[2:11:38.920 --> 2:11:40.920]  They're being enslaved by it as well.
[2:11:40.920 --> 2:11:42.920]  The head you inside is like,
[2:11:42.920 --> 2:11:44.920]  we're killing people. We're covering it up.
[2:11:44.920 --> 2:11:46.920]  This is wrong. We should fix this.
[2:11:46.920 --> 2:11:48.920]  They're like, we aren't allowed to do tests.
[2:11:48.920 --> 2:11:50.920]  Even the head you in scientists
[2:11:50.920 --> 2:11:52.920]  doesn't know what's going on.
[2:11:52.920 --> 2:11:54.920]  She says, corporations just tell us what to do.
[2:11:54.920 --> 2:11:56.920]  Well, that's right.
[2:11:56.920 --> 2:11:58.920]  And every scientist who's a whistleblower
[2:11:58.920 --> 2:12:00.920]  is eliminated from the system.
[2:12:00.920 --> 2:12:02.920]  Not just eliminated.
[2:12:02.920 --> 2:12:04.920]  Thousands of scientists have been run over,
[2:12:04.920 --> 2:12:06.920]  shot, killed. That's who they really target.
[2:12:06.920 --> 2:12:08.920]  Because if they can't buy you
[2:12:08.920 --> 2:12:10.920]  with underage girls or money
[2:12:10.920 --> 2:12:12.920]  like Bill and Melinda Gates are doing through Epstein,
[2:12:12.920 --> 2:12:14.920]  they ran Epstein.
[2:12:14.920 --> 2:12:16.920]  That's confirmed now.
[2:12:16.920 --> 2:12:18.920]  That's mainstream news, folks.
[2:12:18.920 --> 2:12:20.920]  They will kill you ass.
[2:12:20.920 --> 2:12:22.920]  The former EPA scientist who I interviewed
[2:12:22.920 --> 2:12:24.920]  in my BioSludge film,
[2:12:24.920 --> 2:12:26.920]  in his book, he documents
[2:12:26.920 --> 2:12:28.920]  how the CDC
[2:12:28.920 --> 2:12:30.920]  and the EPA were involved
[2:12:30.920 --> 2:12:32.920]  in sending a SWAT team
[2:12:32.920 --> 2:12:34.920]  of armed federal agents to his house
[2:12:34.920 --> 2:12:36.920]  at night, dragged him out of his house.
[2:12:36.920 --> 2:12:38.920]  This was a scientist. This was like a
[2:12:38.920 --> 2:12:40.920]  geeky science guy, dragged him out of his house
[2:12:40.920 --> 2:12:42.920]  and said, if you don't shut up, we're going to kill you.
[2:12:42.920 --> 2:12:44.920]  It's in his book.
[2:12:44.920 --> 2:12:46.920]  This is what they do and
[2:12:46.920 --> 2:12:48.920]  anybody who's
[2:12:48.920 --> 2:12:50.920]  opposed to the system or blowing the whistle on the system
[2:12:50.920 --> 2:12:52.920]  is threatened or eliminated.
[2:12:52.920 --> 2:12:54.920]  Let me raise this for you, though.
[2:12:54.920 --> 2:12:56.920]  Trump is a beachhead
[2:12:56.920 --> 2:12:58.920]  and
[2:12:58.920 --> 2:13:00.920]  I can tell you, and it's not about kissing their ass,
[2:13:00.920 --> 2:13:02.920]  but the police and the military
[2:13:02.920 --> 2:13:04.920]  and the actual killers now know
[2:13:04.920 --> 2:13:06.920]  they're supposed to be replaced by now
[2:13:06.920 --> 2:13:08.920]  by machines and robots and drones.
[2:13:08.920 --> 2:13:10.920]  That's why, oh, Bezos wants billions
[2:13:10.920 --> 2:13:12.920]  of drones, deliver stuff. No.
[2:13:12.920 --> 2:13:14.920]  They're not meant to deliver. They're meant to get you used to them.
[2:13:14.920 --> 2:13:16.920]  They're watching their house. They're watching what you do.
[2:13:16.920 --> 2:13:18.920]  They're in telling everything
[2:13:18.920 --> 2:13:20.920]  about you into the AI
[2:13:20.920 --> 2:13:22.920]  for when it makes Skynet makes its move.
[2:13:22.920 --> 2:13:24.920]  That's why they're so mad about in-game.
[2:13:24.920 --> 2:13:26.920]  And I'm not just saying that, folks. That's high level.
[2:13:26.920 --> 2:13:28.920]  The military finally gets, wait,
[2:13:28.920 --> 2:13:30.920]  Skynet's taking over. It's in slow motion.
[2:13:30.920 --> 2:13:32.920]  We're about to be eliminated.
[2:13:32.920 --> 2:13:34.920]  So every person I talk
[2:13:34.920 --> 2:13:36.920]  to who's talked to everybody else says,
[2:13:36.920 --> 2:13:38.920]  the globalists already have
[2:13:38.920 --> 2:13:40.920]  armored redoubts in New Zealand,
[2:13:40.920 --> 2:13:42.920]  Kauai, Hawaii,
[2:13:42.920 --> 2:13:44.920]  and Tasmania,
[2:13:44.920 --> 2:13:46.920]  Australia. They believe
[2:13:46.920 --> 2:13:48.920]  it'll be like a year-long global war.
[2:13:48.920 --> 2:13:50.920]  They want to stop nukes.
[2:13:50.920 --> 2:13:52.920]  They have special forces go in to take over
[2:13:52.920 --> 2:13:54.920]  the nuke bases in Pakistan everywhere.
[2:13:54.920 --> 2:13:56.920]  They've got global elites have a deal, like a moon raker,
[2:13:56.920 --> 2:13:58.920]  how they're going to eliminate everybody
[2:13:58.920 --> 2:14:00.920]  and how they're going to stabilize nuclear power plants
[2:14:00.920 --> 2:14:02.920]  during it. But I've talked to
[2:14:02.920 --> 2:14:04.920]  the people. The fact is, the minute
[2:14:04.920 --> 2:14:06.920]  all these people are in some red
[2:14:06.920 --> 2:14:08.920]  doubt
[2:14:08.920 --> 2:14:10.920]  and they'll even be a combat robot there
[2:14:10.920 --> 2:14:12.920]  and drones watching and robots watching the troops,
[2:14:12.920 --> 2:14:14.920]  the troops aren't dumb. They get it.
[2:14:14.920 --> 2:14:16.920]  The minute, just like a soldier
[2:14:16.920 --> 2:14:18.920]  or an officer gives an order to kill
[2:14:18.920 --> 2:14:20.920]  men, women and children, the soldiers turn their guns,
[2:14:20.920 --> 2:14:22.920]  the default by the human
[2:14:22.920 --> 2:14:24.920]  human resistance,
[2:14:24.920 --> 2:14:26.920]  because the computers didn't get
[2:14:26.920 --> 2:14:28.920]  didn't get put. What I'm saying, folks, is the biggest secret
[2:14:28.920 --> 2:14:30.920]  ever. Now
[2:14:30.920 --> 2:14:32.920]  the military, the human element
[2:14:32.920 --> 2:14:34.920]  realizes they're being replaced
[2:14:34.920 --> 2:14:36.920]  and the default without any orders coming down
[2:14:36.920 --> 2:14:38.920]  is they're going to kill all the globalists
[2:14:38.920 --> 2:14:40.920]  the minute they kick this off. And that's not a bluff
[2:14:40.920 --> 2:14:42.920]  or a threat.
[2:14:42.920 --> 2:14:44.920]  We're going to have 90% decapitation
[2:14:44.920 --> 2:14:46.920]  within days of them
[2:14:46.920 --> 2:14:48.920]  pulling this off, Mike.
[2:14:48.920 --> 2:14:50.920]  In fact, those who are in the most denial
[2:14:50.920 --> 2:14:52.920]  of this, the leftists, the liberals,
[2:14:52.920 --> 2:14:54.920]  they are the ones who are going to
[2:14:54.920 --> 2:14:56.920]  be the first victims of it.
[2:14:56.920 --> 2:14:58.920]  They're cities that are ripe
[2:14:58.920 --> 2:15:00.920]  for coronavirus infections or other pandemics
[2:15:00.920 --> 2:15:02.920]  that are released and by weapons.
[2:15:02.920 --> 2:15:04.920]  I agree with you. You've got to do five more minutes
[2:15:04.920 --> 2:15:06.920]  and I know Rapport's coming over. He'll be in the middle
[2:15:06.920 --> 2:15:08.920]  of the next segment, but you've got to get into the attack
[2:15:08.920 --> 2:15:10.920]  on your site and these injunctions
[2:15:10.920 --> 2:15:12.920]  and how criminal it is
[2:15:12.920 --> 2:15:14.920]  on somebody else's lawsuit. You're not even
[2:15:14.920 --> 2:15:16.920]  involved in a shadowy Obama judge,
[2:15:16.920 --> 2:15:18.920]  but did you just hear what I said, Mike?
[2:15:18.920 --> 2:15:20.920]  I know you talked a lot of the same people.
[2:15:20.920 --> 2:15:22.920]  The military
[2:15:22.920 --> 2:15:24.920]  and everybody gets that the Skynet
[2:15:24.920 --> 2:15:26.920]  takeover is real, but it's incremental
[2:15:26.920 --> 2:15:28.920]  and that it didn't happen like it was
[2:15:28.920 --> 2:15:30.920]  supposed to and they all
[2:15:30.920 --> 2:15:32.920]  understand now what's happening and the humans
[2:15:32.920 --> 2:15:34.920]  are guarding the globalist.
[2:15:34.920 --> 2:15:36.920]  So if the globalists ever try
[2:15:36.920 --> 2:15:38.920]  this plan, they're all dead.
[2:15:38.920 --> 2:15:40.920]  I mean, I just said the biggest secret
[2:15:40.920 --> 2:15:42.920]  ever. That's not bluffing. Everybody knows
[2:15:42.920 --> 2:15:44.920]  I don't say something less real.
[2:15:44.920 --> 2:15:46.920]  You understand? On my soul,
[2:15:46.920 --> 2:15:48.920]  you're all dead, globalist.
[2:15:48.920 --> 2:16:00.920]  You do this. You're dead.
[2:16:18.920 --> 2:16:20.920]  Because of the flooding, we've had to move
[2:16:20.920 --> 2:16:22.920]  a lot of our inventory to a temporary
[2:16:22.920 --> 2:16:24.920]  location and rather than move it back
[2:16:24.920 --> 2:16:26.920]  to the warehouse, we thought we'd offer the system
[2:16:26.920 --> 2:16:28.920]  at a price that might seem unbelievable
[2:16:28.920 --> 2:16:30.920]  if you didn't know the floodwater's
[2:16:30.920 --> 2:16:32.920]  backstory. So here's what you should do right now.
[2:16:32.920 --> 2:16:34.920]  Check out the PPX microgrid system
[2:16:34.920 --> 2:16:36.920]  at myownpowergrid.com.
[2:16:36.920 --> 2:16:38.920]  That's myownpowergrid.com.
[2:16:38.920 --> 2:16:40.920]  Over $1,000 in great
[2:16:40.920 --> 2:16:42.920]  off the grid gear and a ton of
[2:16:42.920 --> 2:16:44.920]  bonuses too. And the best part, you're not going to pay
[2:16:44.920 --> 2:16:46.920]  $750 or $500,
[2:16:46.920 --> 2:16:48.920]  $300 or even $200. Go to
[2:16:48.920 --> 2:16:50.920]  myownpowergrid.com to learn more.
[2:16:50.920 --> 2:16:52.920]  That's myownpowergrid.com.
[2:16:52.920 --> 2:16:54.920]  Hi, I'm Dan Pilla.
[2:16:54.920 --> 2:16:56.920]  I started fighting the IRS over 40 years ago
[2:16:56.920 --> 2:16:58.920]  when they tried to seize my mother's house.
[2:16:58.920 --> 2:17:00.920]  I sued the IRS in one. I beat the IRS
[2:17:00.920 --> 2:17:02.920]  then and I've been beating them ever since.
[2:17:02.920 --> 2:17:04.920]  I wrote the book on tax debt settlement
[2:17:04.920 --> 2:17:06.920]  and I've helped thousands of people deal with tax problems
[2:17:06.920 --> 2:17:08.920]  they thought might never be solved.
[2:17:08.920 --> 2:17:10.920]  I can help you too. If you owe taxes you can't pay,
[2:17:10.920 --> 2:17:12.920]  don't wait another day.
[2:17:12.920 --> 2:17:14.920]  There's no such thing as a hopeless tax case.
[2:17:14.920 --> 2:17:16.920]  Call 800-34-NO-TAX
[2:17:16.920 --> 2:17:18.920]  or go to my website, danpilla.com
[2:17:18.920 --> 2:17:20.920]  That's danpilla.com
[2:17:20.920 --> 2:17:22.920]  danpilla.com
[2:17:22.920 --> 2:17:24.920]  Hunters, anglers, campers and survivalists,
[2:17:24.920 --> 2:17:26.920]  get back to nature,
[2:17:26.920 --> 2:17:28.920]  expand your horizons with the highest quality,
[2:17:28.920 --> 2:17:30.920]  most versatile, unique sling shots
[2:17:30.920 --> 2:17:32.920]  and sling bows on the market at slingbow.com.
[2:17:32.920 --> 2:17:34.920]  Sling bow products are
[2:17:34.920 --> 2:17:36.920]  compact and models start from just 1798.
[2:17:36.920 --> 2:17:38.920]  They're perfect for your bug out bag
[2:17:38.920 --> 2:17:40.920]  or storing in your vehicle.
[2:17:40.920 --> 2:17:42.920]  Give yourself and your loved ones
[2:17:42.920 --> 2:17:44.920]  the excitement and tradition of sling bow.
[2:17:44.920 --> 2:17:46.920]  A new frontier in archery
[2:17:46.920 --> 2:17:48.920]  and truly modern twist on this primitive survival tool.
[2:17:48.920 --> 2:17:50.920]  Feel the thrill
[2:17:50.920 --> 2:17:52.920]  only at slingbow.com
[2:17:54.920 --> 2:17:56.920]  I would thank you for everything you've done
[2:17:56.920 --> 2:17:58.920]  for the M4 war, but I know you're like me.
[2:17:58.920 --> 2:18:00.920]  You don't want my thanks.
[2:18:00.920 --> 2:18:02.920]  You want victory over the globalist
[2:18:02.920 --> 2:18:04.920]  and these devil worship and child molesters
[2:18:04.920 --> 2:18:06.920]  and you want them off your back and off your children's back
[2:18:06.920 --> 2:18:08.920]  and you know what, I'm the same way
[2:18:08.920 --> 2:18:10.920]  and that's why we're on the same damn team
[2:18:10.920 --> 2:18:12.920]  and that's why M4 has been delivering
[2:18:12.920 --> 2:18:14.920]  time and time again
[2:18:14.920 --> 2:18:16.920]  when it's clutch time
[2:18:16.920 --> 2:18:18.920]  to focus the people
[2:18:18.920 --> 2:18:20.920]  on taking action against the globalist
[2:18:20.920 --> 2:18:22.920]  because I'm committed to a future
[2:18:22.920 --> 2:18:24.920]  for humanity
[2:18:24.920 --> 2:18:26.920]  and I know you are as well.
[2:18:26.920 --> 2:18:28.920]  So thank you in 2019 for standing with us
[2:18:28.920 --> 2:18:30.920]  because you are the M4 war and I want to thank you
[2:18:30.920 --> 2:18:32.920]  for committing to stand with us in 2020
[2:18:32.920 --> 2:18:34.920]  however you can.
[2:18:34.920 --> 2:18:36.920]  For the bottom of my heart, for my family
[2:18:36.920 --> 2:18:38.920]  and for the great crew at M4 wars
[2:18:38.920 --> 2:18:40.920]  because you are the M4 war
[2:18:40.920 --> 2:18:42.920]  and you know that's not just words, that's reality.
[2:18:42.920 --> 2:18:44.920]  You have made history.
[2:18:44.920 --> 2:18:46.920]  We have made history together.
[2:18:46.920 --> 2:18:48.920]  M4Wars.com
[2:18:48.920 --> 2:18:50.920]  only has power because of you
[2:18:50.920 --> 2:18:52.920]  and I suggest you use it.
[2:18:54.920 --> 2:18:56.920]  Hey, you there.
[2:18:56.920 --> 2:18:58.920]  We have a problem.
[2:18:58.920 --> 2:19:00.920]  You see, there is a baby.
[2:19:00.920 --> 2:19:02.920]  The mother of this baby
[2:19:02.920 --> 2:19:04.920]  is not sure she's ready.
[2:19:04.920 --> 2:19:06.920]  The father of this baby
[2:19:06.920 --> 2:19:08.920]  doesn't want to settle down.
[2:19:08.920 --> 2:19:10.920]  The mother starts to have regrets.
[2:19:10.920 --> 2:19:12.920]  The father
[2:19:12.920 --> 2:19:14.920]  considers leaving town.
[2:19:14.920 --> 2:19:16.920]  But a friend says
[2:19:16.920 --> 2:19:18.920]  there's a solution.
[2:19:18.920 --> 2:19:20.920]  She says to have
[2:19:20.920 --> 2:19:22.920]  an abortion.
[2:19:22.920 --> 2:19:24.920]  The mother decides to look into it.
[2:19:24.920 --> 2:19:26.920]  The clinic assures her it's safe.
[2:19:26.920 --> 2:19:28.920]  She's made her decision.
[2:19:28.920 --> 2:19:30.920]  She's going to have an abortion.
[2:19:30.920 --> 2:19:32.920]  The problem is
[2:19:32.920 --> 2:19:34.920]  that baby
[2:19:34.920 --> 2:19:36.920]  is you.
[2:20:04.920 --> 2:20:06.920]  He aligns himself with the truth.
[2:20:06.920 --> 2:20:08.920]  And it's time for you to choose a side.
[2:20:08.920 --> 2:20:34.920]  You're listening to Alex Jones.
[2:20:34.920 --> 2:20:38.920]  It's not slowing down.
[2:20:38.920 --> 2:20:40.920]  It's getting pound for pound.
[2:20:40.920 --> 2:20:42.920]  All right.
[2:20:42.920 --> 2:20:44.920]  Mike Adams in closing.
[2:20:44.920 --> 2:20:46.920]  We're going to go to
[2:20:46.920 --> 2:20:48.920]  John Rappaport here.
[2:20:48.920 --> 2:20:50.920]  Investigative journals for this take on things.
[2:20:50.920 --> 2:20:52.920]  The attack on you
[2:20:52.920 --> 2:20:54.920]  and what you've learned.
[2:20:54.920 --> 2:20:56.920]  You've sent me the documents.
[2:20:56.920 --> 2:20:58.920]  You've sent the judge what's happening in California.
[2:20:58.920 --> 2:21:00.920]  In a court case you're not even involved in
[2:21:00.920 --> 2:21:02.920]  taking down all these sites
[2:21:02.920 --> 2:21:04.920]  and you're talking about the coronavirus.
[2:21:04.920 --> 2:21:06.920]  That's really a martial law level
[2:21:06.920 --> 2:21:08.920]  event.
[2:21:08.920 --> 2:21:10.920]  And it's really illustrative of how
[2:21:10.920 --> 2:21:12.920]  the system has escalated things
[2:21:12.920 --> 2:21:14.920]  to a level of just brazen criminality
[2:21:14.920 --> 2:21:16.920]  showing that they're going for broke
[2:21:16.920 --> 2:21:18.920]  because they would normally go to jail for this
[2:21:18.920 --> 2:21:20.920]  or get in major trouble.
[2:21:20.920 --> 2:21:22.920]  I know you're filing a criminal complaint today with your lawyers.
[2:21:22.920 --> 2:21:24.920]  This is just insane lawlessness
[2:21:24.920 --> 2:21:26.920]  but they're testing to see what they can get away with
[2:21:26.920 --> 2:21:28.920]  because big financial backers
[2:21:28.920 --> 2:21:30.920]  have told them do it.
[2:21:30.920 --> 2:21:32.920]  It's just insane lawlessness
[2:21:32.920 --> 2:21:34.920]  which is here and we've been hit by it.
[2:21:34.920 --> 2:21:36.920]  It's a test case against us
[2:21:36.920 --> 2:21:38.920]  and even as your own attorney Norm
[2:21:38.920 --> 2:21:40.920]  said yesterday
[2:21:40.920 --> 2:21:42.920]  federal statutes require
[2:21:42.920 --> 2:21:44.920]  parties to be given notice
[2:21:44.920 --> 2:21:46.920]  and to be given an opportunity for a hearing.
[2:21:46.920 --> 2:21:48.920]  We were given none of those opportunities.
[2:21:48.920 --> 2:21:50.920]  We were taken down by a temporary restraining
[2:21:50.920 --> 2:21:52.920]  order that had nothing
[2:21:52.920 --> 2:21:54.920]  to do with us in the original case.
[2:21:54.920 --> 2:21:56.920]  What they did that what they're doing Alex is they're recycling
[2:21:56.920 --> 2:21:58.920]  and hijacking old California
[2:21:58.920 --> 2:22:00.920]  and they have nothing to do with us
[2:22:00.920 --> 2:22:02.920]  and we now learn that they filed this
[2:22:02.920 --> 2:22:04.920]  TRO, they reopened an old case
[2:22:04.920 --> 2:22:06.920]  they filed the TRO
[2:22:06.920 --> 2:22:08.920]  at the last hour of the last day of the year
[2:22:08.920 --> 2:22:10.920]  last year so it was actually December 31st
[2:22:10.920 --> 2:22:12.920]  So they did it so law clerks wouldn't even
[2:22:12.920 --> 2:22:14.920]  review it. It's corporate level
[2:22:14.920 --> 2:22:16.920]  mega espionage.
[2:22:16.920 --> 2:22:18.920]  And it says we have the documents
[2:22:18.920 --> 2:22:20.920]  it says no hearings
[2:22:20.920 --> 2:22:22.920]  blatantly illegal, blatantly unconstitutional.
[2:22:22.920 --> 2:22:24.920]  We also know by the way
[2:22:24.920 --> 2:22:26.920]  we now have names of some of the other infrastructure providers
[2:22:26.920 --> 2:22:28.920]  who are being hit by this it includes
[2:22:28.920 --> 2:22:30.920]  Cloudflare, it includes hosting companies
[2:22:30.920 --> 2:22:32.920]  like Bluehost and it includes
[2:22:32.920 --> 2:22:34.920]  email service providers such as Hushmail
[2:22:34.920 --> 2:22:36.920]  and by the way Hushmail told this judge
[2:22:36.920 --> 2:22:38.920]  go f yourself
[2:22:38.920 --> 2:22:40.920]  by the way Hushmail said we're not going to comply
[2:22:40.920 --> 2:22:42.920]  with this ridiculous order so good on
[2:22:42.920 --> 2:22:44.920]  Hushmail but other infrastructure
[2:22:44.920 --> 2:22:46.920]  providers are in fact complying with it
[2:22:46.920 --> 2:22:48.920]  to sabotage.
[2:22:48.920 --> 2:22:50.920]  But let's go further. Courts have never done this
[2:22:50.920 --> 2:22:52.920]  in modern history. This is beyond
[2:22:52.920 --> 2:22:54.920]  banana republic. This this means
[2:22:54.920 --> 2:22:56.920]  they believe there's a takedown
[2:22:56.920 --> 2:22:58.920]  of Trump. I guess that means that they were told
[2:22:58.920 --> 2:23:00.920]  the senate trials there were going to remove
[2:23:00.920 --> 2:23:02.920]  Trump and they they see the democrat confidence
[2:23:02.920 --> 2:23:04.920]  act so they believe
[2:23:04.920 --> 2:23:06.920]  that they could do things that are unprecedented.
[2:23:06.920 --> 2:23:08.920]  I keep going back to that it means
[2:23:08.920 --> 2:23:10.920]  they're going for broke it means they're just
[2:23:10.920 --> 2:23:12.920]  committing crime openly.
[2:23:12.920 --> 2:23:14.920]  Well looking for three days I haven't been able to cover
[2:23:14.920 --> 2:23:16.920]  coronavirus on my own website because
[2:23:16.920 --> 2:23:18.920]  I've been scrambling around you know calling lawyers
[2:23:18.920 --> 2:23:20.920]  and doing these other things so they have
[2:23:20.920 --> 2:23:22.920]  delayed they have
[2:23:22.920 --> 2:23:24.920]  what shows you a lot of big powerful
[2:23:24.920 --> 2:23:26.920]  groups have put a lot of marbles on corona.
[2:23:26.920 --> 2:23:28.920]  Oh yeah doesn't it though
[2:23:28.920 --> 2:23:30.920]  doesn't it because I should have a dozen articles
[2:23:30.920 --> 2:23:32.920]  out by now but I don't
[2:23:32.920 --> 2:23:34.920]  because of this so look they
[2:23:34.920 --> 2:23:36.920]  they can take you down or interfere with
[2:23:36.920 --> 2:23:38.920]  your. Let's say they've got maps Mike they know
[2:23:38.920 --> 2:23:40.920]  that's you or Merkola in
[2:23:40.920 --> 2:23:42.920]  in health news nine times out of ten
[2:23:42.920 --> 2:23:44.920]  that changes the game I mean it's true you're
[2:23:44.920 --> 2:23:46.920]  badass I mean you you literally are like
[2:23:46.920 --> 2:23:48.920]  a Super Bowl champ you and Merkola and a few others
[2:23:48.920 --> 2:23:50.920]  and so they're like let's take them out
[2:23:50.920 --> 2:23:52.920]  and of course you go check Merkola and others I know
[2:23:52.920 --> 2:23:54.920]  they're getting suppressed too right now I mean and
[2:23:54.920 --> 2:23:56.920]  that's why we're I've made a big deal but people
[2:23:56.920 --> 2:23:58.920]  see cloud flare in front of us
[2:23:58.920 --> 2:24:00.920]  is the highest level of protection
[2:24:00.920 --> 2:24:02.920]  the giant the knowledge service attacks
[2:24:02.920 --> 2:24:04.920]  everything else are the levels like
[2:24:04.920 --> 2:24:06.920]  like ten times bigger than Himalayas
[2:24:06.920 --> 2:24:08.920]  like previous attacks the biggest was like
[2:24:08.920 --> 2:24:10.920]  I mean so it's like not even
[2:24:10.920 --> 2:24:12.920]  and like you said you've gotten numb
[2:24:12.920 --> 2:24:14.920]  I don't mean that to be mean
[2:24:14.920 --> 2:24:16.920]  I can only operate to be numb because
[2:24:16.920 --> 2:24:18.920]  the attacks are coming in so fast
[2:24:18.920 --> 2:24:20.920]  that it's like I become like a robot myself like
[2:24:20.920 --> 2:24:22.920]  fight back a fight back but just
[2:24:22.920 --> 2:24:24.920]  at a certain point I used to care
[2:24:24.920 --> 2:24:26.920]  I did this because I cared now I did it
