[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[2:12:21.480 --> 2:12:28.480]  And it's not work. It's fun. And it's so good that you've supported us. We've supported you. We've been able to do this.
[2:12:28.480 --> 2:12:45.480]  So please shop with the good guys in FullWarsStore.com. They have a special ending this week that's 25% off on the air filtration systems and water filtration systems unprecedented sales on the Alexa Pure Breeze and Alexa Pure Pro water filtration systems in FullWarsStore.com or in FullWarsLife.com.
[2:12:45.480 --> 2:12:58.480]  Triple A, two, five, three, three, one, three, nine. Okay. I've got like 15 clips I want to get to. I've got all the science and tech news that's amazing I want to get to. And I've got 46 and a half minutes left here.
[2:12:58.480 --> 2:13:09.480]  Okay. And we're going to get Pachennic on. His line just dropped. So we're going to see when we get him back on. But I have got a ton to cover here and we're going to attempt to go to all of it.
[2:13:09.480 --> 2:13:25.480]  But this really is an amazing time to be alive. I want to go to the acting AG Obama appointed was told Trump's travel ban was legit but still played politics anyways.
[2:13:25.480 --> 2:13:34.480]  And that's what's important. She admits in letters that it's legitimate. It's a repeat of what Obama did and what Jimmy Carter did and what Reagan did and what Bush Sr. did and what George W. did.
[2:13:34.480 --> 2:13:51.480]  But they lie. They lie. And they say that it's unprecedented and it's a ban on our religion. Well, here's the deal. Most of these Muslim countries have a ban on Christianity or animism or Buddhism.
[2:13:51.480 --> 2:14:05.480]  So speaking of that I'll play that clip and then we're going to go Dr. Steve Pachennic. Here's the acting AG Obama appointee. You'll say I'm not going to do what you say and Trump said good you're fired Prince of Ordination. Boom direct action.
[2:14:05.480 --> 2:14:20.480]  Here it is. The acting Attorney General of the Justice Department refusing to defend the president's executive order. Should she be fired. Absolutely. There's no question about it. She was kept on merely to have some continuity for department
[2:14:20.480 --> 2:14:30.480]  who's a basic. Do we really want to continue that? No, not our but the basic integrity of the Department of Justice rests on being non political and it's being reported.
[2:14:30.480 --> 2:14:41.480]  He certainly clarified that miss. It's being reported that the department's own internal general counsel the Office of Legal Counsel reviewed the executive order and approved of it.
[2:14:41.480 --> 2:14:50.480]  So she's flying in the face of her own best lawyers. Well, she's flying in the face of so much. I don't know that we can parse it down to something that isn't material.
[2:14:50.480 --> 2:14:57.480]  I mean, this is a egregiously dishonorable conduct on her part. John Bolton. Great to have you.
[2:14:57.480 --> 2:15:11.480]  What it is is open rebellion and we're in a state of soft civil war and the Soros crowd and others aren't giving up their their intensifying their operations. So when I asked Dr. Steve Pachanic, who obviously was had a psychological operations, the State Department
[2:15:11.480 --> 2:15:23.480]  Works and other agencies, one of the co-founders, but General Boykin Schumacher of Delta Force. I want to get his takers on the state of the Union right now before we get to the topics he wants to cover as we don't, you know, prescript these live interviews.
[2:15:23.480 --> 2:15:36.480]  For me, Trump's over delivering very impressive. I'm really worried about him. They're selling a narrative of assassination and coup and how great that's going to be in the New York Times and HBO. I mean, it's just everywhere.
[2:15:36.480 --> 2:15:47.480]  And I'm really concerned that they have an attitude like they've got something big planned and they're not giving up in the face of just prosperity in Americana.
[2:15:47.480 --> 2:15:54.480]  So I want to get your view on the current developments and so far what you think of President Trump.
[2:15:54.480 --> 2:16:09.480]  Well, I think he has delivered exactly what we expected him to deliver what you and I have been talking about for 12 years or more. And that is he's brought a business man's perspective to the running of government.
[2:16:09.480 --> 2:16:31.480]  It's been over 100 years since we've had a business man and the only one was Hoover, quite frankly. But what you're seeing now is the quietest, most effective revolution that you, I and my fellow consorts doesn't matter who they are implemented through the ascendancy of Trump and his family.
[2:16:31.480 --> 2:16:46.480]  Trump doesn't need to do this. His family doesn't need to do this. What he is doing is exactly what I do or others do in the business community. We come in, we clear out an institution in ASAP time.
[2:16:46.480 --> 2:16:54.480]  That means you don't have a chance to protest or any time to rip, to drive an anti-deformation.
[2:16:54.480 --> 2:16:57.480]  The Kabuki Theater is over. The man of actions here.
[2:16:57.480 --> 2:17:06.480]  That's correct. And I think everybody has to understand the state of the union is fine. We're not in a civil war.
[2:17:06.480 --> 2:17:18.480]  Number one, there is no civil war initiated by the left of the press. What's happening is you're hearing the girdling of a dying institution, both in the media and in the left wing.
[2:17:18.480 --> 2:17:21.480]  But you agree that they are trying to sell an uprising?
[2:17:21.480 --> 2:17:31.480]  Well, they can sell whatever they want, but they can't mimic or ate what you and I and a group of others have done very quietly, very sort of voce.
[2:17:31.480 --> 2:17:43.480]  What we effectively did way before that they had any idea that was coming in. And actually we have to thank Hillary for being so incompetent as well as her $100 million coterie.
[2:17:43.480 --> 2:17:46.480]  That's right. We shouldn't be too arrogant. We were facing massive incompetence.
[2:17:46.480 --> 2:17:59.480]  Oh my God! On the contrary, I want to thank Hillary. I want to thank the Dewey Square group. I want to thank all of those who were paid off and were totally, completely incompetent.
[2:17:59.480 --> 2:18:06.480]  Every Democrat, every newspaper and every piece of content that had a narrative that was a kumbaya narrative.
[2:18:06.480 --> 2:18:09.480]  Is it their arrogance that made America finally reject them?
[2:18:09.480 --> 2:18:20.480]  Well, it's not only their arrogance. It really is, Alex, as you and I know, competency. You and I share as we do with millions of Americans. We're small business people.
[2:18:20.480 --> 2:18:23.480]  We're anything but close to $500 million.
[2:18:23.480 --> 2:18:26.480]  We don't show up. The donuts don't get made.
[2:18:26.480 --> 2:18:35.480]  Well, that's correct. I mean, that's a great way to say it. But honestly, we're not bankers. We're not VCs. We're not sick offense. We're not parasites.
[2:18:35.480 --> 2:18:40.480]  What you have seen is the end of an era of parasites.
[2:18:40.480 --> 2:18:48.480]  And Trump knows that. You would come on 10 years ago and say, we need farmers. We need ranchers. We need auto park producers. We need working people, building a world about people.
[2:18:48.480 --> 2:18:55.480]  Trump gets that. It's not about robots. He's making it about people again. The globalist wanted to demoralize us and control us.
[2:18:55.480 --> 2:19:01.480]  Trump gets that it's about giving people satisfaction of being self-sufficient again.
[2:19:01.480 --> 2:19:11.480]  You hit it on the head, Alex. You and I talked about it. I wrote a blog years ago that the greatest national security problem we have in the United States is not our debt.
[2:19:11.480 --> 2:19:22.480]  It's not even ISIS. It's the fact that family farmers are less than 6% of our country. No one is going into the family farm business because it's too hard.
[2:19:22.480 --> 2:19:32.480]  I have friends who work 18-hour days, 7 days a week. We don't see that in the upper crust. We don't see that in the Hillary's. We don't see that in the Washington Post.
[2:19:32.480 --> 2:19:39.480]  I don't see that in the bankers that Goldman Sachs or Lloyd Blank find who comes in and defies in order on immigration.
[2:19:39.480 --> 2:19:44.480]  But we are seeing 18-hour days out of Trump. That's not put on. He literally is a machine.
[2:19:44.480 --> 2:19:54.480]  Actually, I'm very impressed. As a physician, I'm a little bit worried about a man who's a little bit younger than myself who has this kind of energy.
[2:19:54.480 --> 2:19:57.480]  He goes 18 hours a day, 7 days a week.
[2:19:57.480 --> 2:20:01.480]  I was about to say, though, he's the oldest president ever elected.
[2:20:01.480 --> 2:20:07.480]  Well, he may be the oldest in terms of age, but he is the youngest in terms of attitude.
[2:20:07.480 --> 2:20:08.480]  I agree.
[2:20:08.480 --> 2:20:19.480]  I hate to sing the praises of Trump too much, but if you study history, don't you agree that this is a real anomaly? This is a real unicorn.
[2:20:19.480 --> 2:20:27.480]  It's what you said, Alex. It's what we work together. It's what millions of you listeners have heard all over the world.
[2:20:27.480 --> 2:20:34.480]  This is the American Revolution. I talked about it. I wrote about it 20 years ago in fiction and in blog.
[2:20:34.480 --> 2:20:42.480]  You made it possible. Roger Stone made it possible. I have a bunch of others, but this is a real secondary revolution.
[2:20:42.480 --> 2:20:48.480]  It's not filled with guns. It's not filled with hatred. It is simply a concept called change.
[2:20:48.480 --> 2:20:55.480]  And America is frightened because for too long, we...
[2:20:55.480 --> 2:21:05.480]  I'm going to reconnect with you because it's totally degraded. We're going to come back with him. He's making some powerful points.
[2:21:05.480 --> 2:21:12.480]  The second American Revolution is here. Make no mistake. Trump is doing everything exactly how you level playing fields.
[2:21:12.480 --> 2:21:18.480]  Quite frankly, it's a tip towards the small business person in local communities and in African American communities.
[2:21:18.480 --> 2:21:25.480]  Because he knows the globalists are going to use that as a time bomb to bring the country down. So just from a self-serving position for his kids and himself,
[2:21:25.480 --> 2:21:30.480]  he also cares about those people. He's trying to like, here's jobs, here's support, here's a life, you know.
[2:21:30.480 --> 2:21:35.480]  He's telling the elites, you better invest here or the whole world economy is going to go down. Now's the time.
[2:21:35.480 --> 2:21:44.480]  So this is a very pro-human approach we're seeing. Instead of this bean counting, Michael Bloomberg, technocrat view, your Skype was breaking up.
[2:21:44.480 --> 2:21:50.480]  I have to ask Michael, is it better? Let me see what I can do.
[2:21:50.480 --> 2:21:55.480]  It's okay. It's a little bit better. We're going to come back to you in a minute. But again, ladies and gentlemen, the wonders of Skype,
[2:21:55.480 --> 2:22:03.480]  the wonders of talking to somebody in Florida and I'm here in Texas and you're watching in Japan or Russia or Mexico or Canada or right here in Austin, Texas.
[2:22:03.480 --> 2:22:21.480]  But I don't say this as a patronizing thing to pat you on the head. I'm going to say it very, very slowly. I am completely humbled and I am thankful every minute of every day that I'm conscious for everyone that's helped us.
[2:22:21.480 --> 2:22:34.480]  From Matt Drudge, to my parents, to the crew here in this office, to you. And I know you're thankful to me as well. We're in this together. This is real. I really want prosperity and justice.
[2:22:34.480 --> 2:22:46.480]  I really want to stop racism. I really want to empower humanity. I really want to conquer cancer with God's help. I really do believe in humanity.
[2:22:46.480 --> 2:22:53.480]  And there are a lot of us and we're going to come together and we're going to build systems that outperform anything the globalists could ever create.
[2:22:53.480 --> 2:23:06.480]  And we are going to change the world. Why wouldn't we? Look what we're promoting. Everything is good in the understanding that we have love for our fellow humans.
[2:23:06.480 --> 2:23:17.480]  It's easy to dominate and control weak people and then feel powerful because you're smarter than them, but that is a curse. And see, you don't think like that, so you're blind to the enemy.
[2:23:17.480 --> 2:23:24.480]  I was blind for a long time too, but you have to admit what they're doing. And you are the reason in full wars is so successful.
[2:23:24.480 --> 2:23:29.480]  You are the reason and they're trying to block us. They're trying to censor us. They were going to bring in a real authoritarianism under Hillary.
[2:23:29.480 --> 2:23:37.480]  But good people in our government, good people in corporations and business and daily life and just you took action.
[2:23:37.480 --> 2:23:44.480]  You know, Dr. President, you're back now with a clear shot. You were breaking down the Second American Revolution. How big this is. You're right.
[2:23:44.480 --> 2:23:53.480]  We should celebrate this more, not just to pat each other on the back, but to recognize what is successful and what has worked and then deploy it further.
[2:23:53.480 --> 2:24:01.480]  Because I know you want to say they failed. They're over. We're beating them. You know, Trump's Blitzkrieg. But I mean, they are involved in some counter strikes here.
[2:24:01.480 --> 2:24:04.480]  So let's let's flush this out.
[2:24:04.480 --> 2:24:12.480]  Let me put it this way. This is far bigger than just an American Revolution. It's something that you and I talked about.
[2:24:12.480 --> 2:24:26.480]  The break up of the EU is imminent. I've said it for years. Theresa May, Prime Minister of England did the smartest thing possible, came to see Trump, said that they're going to negotiate a separate agreement with Trump.
[2:24:26.480 --> 2:24:32.480]  Prime Minister of Japan Abe came to see Trump. South Korean ambassadors are coming to see Trump.
[2:24:32.480 --> 2:24:44.480]  What's happening now is that America has redefined its position in the world, taken out of the notion of the multilateral context, which was really not to our advantage.
[2:24:44.480 --> 2:24:55.480]  All the membership that we had in all these WTO United Nations was worthless. We were spending countless numbers of billions of dollars for absolutely nothing.
[2:24:55.480 --> 2:25:04.480]  And Trump looked at the problem. He saw what we had to do. We had to withdraw and reconfigure ourselves into a position of power.
[2:25:04.480 --> 2:25:11.480]  We're not isolationists. This is not a...
[2:25:11.480 --> 2:25:18.480]  Your side broke up, but I'm going to say this. If you really look at it, it's major Americana cultural expansionism.
[2:25:18.480 --> 2:25:26.480]  Our real power is being Americana, so all the tyrannies of the world are the ones that better be upset. And you know what, Donner Pachennick?
[2:25:26.480 --> 2:25:33.480]  Tyrannies and centralized systems are upset. Again, your skype's breaking up. That's why I interrupted.
[2:25:33.480 --> 2:25:39.480]  Let's do this because he's really on fire today. Let's get him on phone right now. Thanks.
[2:25:39.480 --> 2:25:42.480]  You know, skype's a weird thing and sometimes it works, sometimes it doesn't.
[2:25:42.480 --> 2:25:48.480]  Skype's been working great at my house for two months and then just not working after that. Let me plug down.
[2:25:48.480 --> 2:25:52.480]  We're going to come back and I won't plug. And then tomorrow I'm going to take a lot of phone calls.
[2:25:52.480 --> 2:25:58.480]  I'm going to be on the road. I'm going to be also on Joe Rogan's podcast tomorrow as well.
[2:25:58.480 --> 2:26:05.480]  That's at 3.30 Central Standard Time, 1.30 Pacific Standard Time.
[2:26:05.480 --> 2:26:12.480]  So I'll do three hours here. I'll take an hour break, drive over to his place, over to the studios and do the show with Joe.
[2:26:12.480 --> 2:26:18.480]  And I've been friends with Joe for 18 years, but the real reason this is important is I've never been on the podcast.
[2:26:18.480 --> 2:26:24.480]  I just, I just never gone out there to be on it. And so Joe about five years ago goes, I'm not doing your show anymore until you come on mine.
[2:26:24.480 --> 2:26:29.480]  And then he's always busy and I'm busy and we play phone tag. It's never happened.
[2:26:29.480 --> 2:26:35.480]  So he's done three or four interviews since then, but he's always like, you know, I told him, why don't you do my podcast?
[2:26:35.480 --> 2:26:41.480]  And I don't think, he knows, I don't really think in a Machiavellian way. I mean, I can, but I don't operate like that.
[2:26:41.480 --> 2:26:46.480]  Like, why do you get me on your show, but you don't come on mine?
[2:26:46.480 --> 2:26:50.480]  And it's just because he doesn't have guests to be a sky.
[2:26:50.480 --> 2:26:56.480]  And Joe's a big comedian. He has 10,000 people show up to here and do his routines.
[2:26:56.480 --> 2:27:01.480]  I'd say he's in the top 10 comedians right now. Some multi, multi-talented guy.
[2:27:01.480 --> 2:27:08.480]  And so he comes to Austin, I'm able to have him on the show, but normally it's, you know, just more screwing around the morning or whatever.
[2:27:08.480 --> 2:27:12.480]  Joe talks about some really intelligent, thought-provoking things on the air.
[2:27:12.480 --> 2:27:15.480]  And again, he has a really wide audience of people that I think are seeking the truth.
[2:27:15.480 --> 2:27:22.480]  So that's why I rarely travel to do interviews and I really don't like Los Angeles, but I am going out there because I want to reach out to Joe's audience.
[2:27:22.480 --> 2:27:26.480]  So you don't want to miss that. That'll be tomorrow on his podcast.
[2:27:26.480 --> 2:27:30.480]  And now going back to Dr. Steve Pacinic. Sorry, I've been interrupted by Skype, not my fault though.
[2:27:30.480 --> 2:27:34.480]  Get back into this de-evolution. What's happening and what you expect?
[2:27:34.480 --> 2:27:39.480]  I mean, I want to believe you that we're really beating their pants off right now.
[2:27:39.480 --> 2:27:43.480]  But again, just part of me wants to watch my six. Go ahead.
[2:27:43.480 --> 2:27:50.480]  Thank you, Alex. And I do apologize for the Skype. It's not interference from anybody else, but just my incapacity to run.
[2:27:50.480 --> 2:27:56.480]  Let me make it clear. This is not about self-congratulation.
[2:27:56.480 --> 2:28:03.480]  There's nothing here where we, who were part of this revolution, including the Trump family, are successful.
[2:28:03.480 --> 2:28:07.480]  Success really gets defined on a continuous basis.
[2:28:07.480 --> 2:28:14.480]  What's happened is Trump and Bannon and the others have understood very clearly.
[2:28:14.480 --> 2:28:21.480]  We've taken out every civilian who has in the past or will in the future created a necessary war.
[2:28:21.480 --> 2:28:29.480]  How was that done? Well, that was done paradoxically by putting in generals and military men who've been in combat
[2:28:29.480 --> 2:28:35.480]  who understand that we're wasting our men and resources on wars that make no sense.
[2:28:35.480 --> 2:28:40.480]  I.e., you have James Mattis, you have Kelly, you have Flynn.
[2:28:40.480 --> 2:28:45.480]  You have a whole group of these generals, Pompeo, who all were trained in the art of war.
[2:28:45.480 --> 2:28:53.480]  Now, in contrast, you had the liberals, or the Obamas, the Clintons, the Bill, the Hillarys, the Madeline Albright,
[2:28:53.480 --> 2:29:02.480]  and Condoleezza Rice, all of who came out of a very soft background, which had no consideration about how you do war,
[2:29:02.480 --> 2:29:07.480]  how you increase it, how you begin it, how you maintain it, and how you end it.
[2:29:07.480 --> 2:29:16.480]  So what we had was the incompetency of civilians, not over just one presidency, two presidents, over decades.
[2:29:16.480 --> 2:29:22.480]  We hadn't had a president who'd been in the military since Bush Senior and James Carter.
[2:29:22.480 --> 2:29:29.480]  And it wasn't an accident that under Jimmy Carter and Bush Senior, we were asked to put in more military people
[2:29:29.480 --> 2:29:32.480]  in order to stop wars that had occurred.
[2:29:32.480 --> 2:29:38.480]  The second part of all of this is we no longer want to be tied to financial transactions,
[2:29:38.480 --> 2:29:41.480]  which have no benefit to us, the American people.
[2:29:41.480 --> 2:29:45.480]  All right, Doc, let's come back and break down this huge Trump revolution.
[2:29:45.480 --> 2:29:48.480]  We're 10 days in. He is delivering. This is historic.
[2:29:48.480 --> 2:29:52.480]  We're on the march. The empire's on the run.
[2:29:52.480 --> 2:29:59.480]  Alex Jones and the GCN Radio Network.
[2:29:59.480 --> 2:30:05.480]  We've seen politicians from across the world like whining, sniffling babies over Trump's immigration ban.
[2:30:05.480 --> 2:30:12.480]  We've seen city con declare actual war on President Trump because he has the nerve to point out that some people come from terrorist places
[2:30:12.480 --> 2:30:14.480]  and we should have a temporary travel ban.
[2:30:14.480 --> 2:30:19.480]  We've seen Chuck Schumer, Senator from New York, actually cry stating that the Statue of Liberty is shedding tears
[2:30:19.480 --> 2:30:23.480]  because Liberty has taken such a hit this week because of Trump's ban.
[2:30:23.480 --> 2:30:29.480]  Here's the news for you, people. The countries that are on Trump's ban were actually identified by President Obama.
[2:30:29.480 --> 2:30:34.480]  At least 20 alleged terrorists since 2014 have come from countries affected by Trump's immigration ban.
[2:30:34.480 --> 2:30:39.480]  There's an article up today on the Daily Caller and identifies these 20 alleged terrorists.
[2:30:39.480 --> 2:30:44.480]  In the past three years, they were actually immigrants or refugees from seven majority Muslim nations.
[2:30:44.480 --> 2:30:49.480]  That President Trump has temporarily banned in his migration ban on Friday.
[2:30:49.480 --> 2:30:54.480]  These countries include Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen.
[2:30:54.480 --> 2:30:57.480]  They won't be allowed to immigrate to the U.S. for the next three months.
[2:30:57.480 --> 2:31:20.480]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[2:31:20.480 --> 2:31:31.480]  in the coming years.
[2:31:31.480 --> 2:31:36.520]  so easy to forget to reorder the products that you need each month. Just go to infowarsstore.com,
[2:31:36.520 --> 2:31:41.240]  select your favorite product or products, click on auto ship and choose how often you want us to
[2:31:41.240 --> 2:31:46.600]  send you another order. As you know, I coined the term 360 win and with the new auto ship feature
[2:31:46.600 --> 2:31:53.240]  at infowarslife.com, this is a sure win. 10% off on auto ship. Win, win, win at infowarslife.com,
[2:31:53.240 --> 2:31:58.040]  free shipping on orders above 50 bucks and all out of stock items are never out of stock when
[2:31:58.040 --> 2:32:05.320]  you sign up for auto ship. National defense labs and citizen armor has given infowars the exclusive
[2:32:05.320 --> 2:32:10.760]  on distributing to the American people the true next generation in body armor. Basically what
[2:32:10.760 --> 2:32:18.760]  we're bringing to the infowars team is a new line of dynamic lightweight body armor. It is
[2:32:18.760 --> 2:32:23.640]  lighter, more flexible, easier to wear, more comfortable and stronger than anything else on
[2:32:23.640 --> 2:32:27.080]  the market. You show when you talk to people that have been using this actually testing it for
[2:32:27.080 --> 2:32:30.520]  years, people that currently are testing it for us, they didn't just say outstanding and what
[2:32:30.520 --> 2:32:35.080]  they really say about them. They want to know how do they get it, where do they find it. A lot of my
[2:32:35.080 --> 2:32:41.080]  law enforcement official buddies want to know the same thing. The backpack body armor is only $200.
[2:32:41.720 --> 2:32:45.480]  I mean, it's unbelievable. It's a quarter inch thick. It's got a 20 year warranty. It's waterproof.
[2:32:45.480 --> 2:32:49.320]  You can wear it. It's comfortable. And we shot everything you can imagine of it. Again,
[2:32:49.320 --> 2:32:56.040]  fund the info or get the game changing in nano tech tubes. It's a win win. $200. Go check out
[2:32:56.040 --> 2:33:11.960]  all their different products. The forester.com is amazing.
[2:33:16.920 --> 2:33:20.040]  You are either with the Republic or against it.
[2:33:20.040 --> 2:33:27.080]  From the front lines of the information war, it's Alex Jones.
[2:33:28.360 --> 2:33:35.560]  The reason I harp on the fact that Trump is delivering on every front is this is just amazing.
[2:33:38.360 --> 2:33:42.040]  We have seen a historical time in the last two years and now
[2:33:43.160 --> 2:33:45.880]  the time we're going into is going to be even more historic.
[2:33:45.880 --> 2:33:54.360]  And what we have is a group trying to take over power and this huge centralized system
[2:33:55.320 --> 2:33:58.760]  that actually wants to empower the individual and wants you to have hope
[2:33:59.480 --> 2:34:06.280]  and really wants to get back to normal human values that transcend whether you're an American
[2:34:06.280 --> 2:34:11.880]  or Russian, Chinese, Mexican, it doesn't matter. And when you see somebody like Steven Bannon
[2:34:11.880 --> 2:34:17.240]  who openly wants to make people so prosperous that we break the will of political correctness
[2:34:18.120 --> 2:34:22.680]  and the people that really have a vision and an understanding of the really sick
[2:34:23.880 --> 2:34:28.920]  psychological control that the nanny state was trying to put into society. And we've got a long
[2:34:28.920 --> 2:34:34.680]  way to dig out, but the worm is turning very, very quickly. So as Pachinic was just saying,
[2:34:34.680 --> 2:34:39.320]  Dr. Pachinic, this isn't about, oh, look, we're having big victories. Oh, look, Trump's so great.
[2:34:39.320 --> 2:34:42.760]  It's about, wow, this is what it looks like when somebody really takes action
[2:34:43.560 --> 2:34:46.680]  and doesn't care what the other side has to say and is committed.
[2:34:48.360 --> 2:34:54.200]  It really is magic to see. And that's why they so over centralized in the executive branch
[2:34:55.720 --> 2:35:01.720]  that now it's their biggest enemy as Trump can reverse everything, just copying Obama's executive
[2:35:01.720 --> 2:35:05.640]  orders and laws, but tweaking them. Then when they attack him, he says, wait a minute, I was doing
[2:35:05.640 --> 2:35:11.320]  what Obama did, but actually implementing it. And so what freaks me out is I'm so used to dealing
[2:35:11.320 --> 2:35:16.760]  with Democrats and Republican establishment types that just go off press releases and are so lazy
[2:35:16.760 --> 2:35:19.800]  and work like five hours a day and don't even know what they're doing themselves.
[2:35:19.800 --> 2:35:24.920]  They're just arrogant in their power and MSM covering up for them. And the counterattacks are
[2:35:24.920 --> 2:35:31.240]  so ham-fisted that it was like battling people that were mentally retarded, quite frankly.
[2:35:31.240 --> 2:35:35.640]  But they still had power, so it was still an adversary. Watching Trump now, I look at what
[2:35:35.640 --> 2:35:41.000]  he does, it's so well researched and so well executed. So he's put the best people in charge
[2:35:41.000 --> 2:35:47.240]  of every area. All he's doing is restoring the operating system we were under, say, previous to
[2:35:47.240 --> 2:35:55.560]  1960. That's my view, but with a high tech overlay and with a push to really decentralize the
[2:35:55.560 --> 2:36:01.560]  technology and devolve power to the States, America 2.0, and he said that in his inaugural speech.
[2:36:01.560 --> 2:36:06.440]  Dr. Pachennick, what was it like for you to see that inaugural speech? Are your colleagues you
[2:36:06.440 --> 2:36:10.440]  talked to, other people that have been trying to keep this country free for decades and decades?
[2:36:11.480 --> 2:36:17.480]  Is it surreal for you? Because for me, it is just bizarre to see this paradox.
[2:36:18.680 --> 2:36:24.520]  Well, let me just say, when I heard the speech I cheered. I thought it was to the point it was
[2:36:24.520 --> 2:36:32.680]  brief and it was comprehensive. Was it surreal? Not really, because when somebody like you or I
[2:36:32.680 --> 2:36:41.240]  think about a regime change, which this was, and it's too late for the people on the left or the
[2:36:41.240 --> 2:36:45.480]  media or whatever you want to call it, it's too late for them to implement any other changes.
[2:36:45.480 --> 2:36:51.560]  All they can do is create obstructions, which are not really valid. As you see the Schumers
[2:36:51.560 --> 2:36:57.880]  who start to cry and it isn't genuine or the Black fines who raped our government and our
[2:36:57.880 --> 2:37:04.440]  people from Goldman Sachs and they're complaining, the reality is those days are over and what we
[2:37:04.440 --> 2:37:09.960]  will see now is the breakup of the government and it's beginning with the State Department,
[2:37:09.960 --> 2:37:14.920]  where I had work, which I said. And what's crazy is hearing you and Bannon and others,
[2:37:14.920 --> 2:37:20.120]  Trump is literally doing it, he said, I'm breaking it up, get ready, and then he starts doing it.
[2:37:20.120 --> 2:37:28.120]  That's correct. And that whole concept that I'm going to do it and subsequently you Americans or
[2:37:28.120 --> 2:37:34.360]  whoever you're, wherever you're involved, you have to pay the price. No one has realized that
[2:37:34.360 --> 2:37:39.400]  a particular issue and that's what the press doesn't understand. That's what the Hillary's
[2:37:39.400 --> 2:37:44.360]  don't understand, the Democrats don't understand. There are consequences. The consequences have
[2:37:44.360 --> 2:37:50.760]  been obviated for too long under the Clintons, under the Bush. All that stuff was nonsense
[2:37:50.760 --> 2:37:56.520]  because it was covered up. There was a lot of covert operations. But what we've done is to bring
[2:37:56.520 --> 2:38:03.160]  all of the problems up to the surface. Trump has done that and he said, okay, now analyzing
[2:38:03.160 --> 2:38:07.880]  these problems, this is the way to go. We're going to make the government smaller, which by
[2:38:07.880 --> 2:38:12.520]  definition should have been smaller. We're no longer going to have a million people on the
[2:38:12.520 --> 2:38:17.240]  Pentagon supporting a million soldiers. That's not going to work. We're no longer going to
[2:38:17.240 --> 2:38:23.400]  have 20,000 foreign service officers who really don't do very much. Sure. What do you make of
[2:38:23.400 --> 2:38:30.120]  a policy or anything else? We're going to take that down. So by self-definition, the people
[2:38:30.120 --> 2:38:35.320]  select themselves out if they think they can protest against Trump. I don't have a problem with that.
[2:38:35.320 --> 2:38:41.560]  That's your right. But the consequences, you can't hide behind anonymity the way the State
[2:38:41.560 --> 2:38:47.400]  Department officials are trying to do. They want to have that change and the counterbalance to Trump,
[2:38:47.400 --> 2:38:52.680]  but they don't want to be named. I would rather have them named and say, okay, you don't have to
[2:38:52.680 --> 2:38:58.120]  work here. We don't have to pay you for 20 years of being in the foreign service. I'm not sure what
[2:38:58.120 --> 2:39:03.640]  you've done. I'm not clear what the outcome is. And quite frankly, this is what I used to do in
[2:39:03.640 --> 2:39:10.360]  management. And we used to get rid of people one after another. Now, the system is not used to the
[2:39:10.360 --> 2:39:16.200]  sweeper or the cleaner. And that's really what Trump has been doing. And people like yourself or
[2:39:16.200 --> 2:39:21.880]  myself, we can articulate the point of view, we implement it. But then what happens, it becomes
[2:39:21.880 --> 2:39:28.040]  infectious. The Hillary and the Clintons and everybody else becomes irrelevant. What becomes
[2:39:28.040 --> 2:39:34.280]  relevant is that we become the focal point for England. Now the biggest problem is-
[2:39:34.280 --> 2:39:38.520]  Noghri, we're now the role model all over and the dominoes. I mean, look at LePage. She's
[2:39:38.520 --> 2:39:43.560]  racing the first place in- Correct. Nationalist movements are exploding. Why do you have your
[2:39:43.560 --> 2:39:48.600]  top story? You sent it to me. Let's briefly talk about this. What does it signify that he's put
[2:39:48.600 --> 2:39:53.400]  Bannon in for National Security Council, but brought the CIA back in after decades as well?
[2:39:53.400 --> 2:39:59.080]  And then I want to circle back around to the outgoing CIA head openly threatening Trump,
[2:39:59.080 --> 2:40:05.800]  unprecedented. Well, I wrote the article about Bannon. It's not the first time. It's really the
[2:40:05.800 --> 2:40:12.360]  second time where I support a man like Stephen Bannon. He's born of the Democratic Left, pro-labor,
[2:40:12.360 --> 2:40:19.000]  pro-democrat, came out of Norfolk, Virginia. But thanks to his own desire to make something of
[2:40:19.000 --> 2:40:25.080]  himself, he went to Virginia Tech, then got a master's degree at Georgetown, then volunteered to go
[2:40:25.080 --> 2:40:32.520]  into the Navy, became an officer in the Navy, was involved in surface warfare, and then decided
[2:40:32.520 --> 2:40:38.760]  to go into sex to make money, left go into sex, and then started a business in Hollywood. Now,
[2:40:38.760 --> 2:40:44.920]  that's a polymath individual. To me, that's what America's about. It's no, it's not a straight
[2:40:44.920 --> 2:40:50.760]  road to anything. It's about Renaissance men. I'm sorry? It's about Renaissance men. Oh, yeah. But
[2:40:50.760 --> 2:40:55.880]  on the other hand, it's about America. Every American in a way is a Renaissance person because
[2:40:55.880 --> 2:41:01.880]  they have the ability to decide what they want to do. They don't have to stick to one profession.
[2:41:01.880 --> 2:41:08.040]  They're no longer a guard gear to be one thing like the foreign service or the CIA,
[2:41:08.040 --> 2:41:13.080]  where you put 25 years in and then you get a pension. Those days are gone. The pensions won't
