[00:30.000 --> 00:32.000]  3, 2, 1, go!
[2:17:35.600 --> 2:17:39.000]  It's Wake Up America, Patriot Blend from the Chiapas rebels, literally.
[2:17:39.000 --> 2:17:42.760]  In fact, I'm going to tell you a little story.
[2:17:42.760 --> 2:17:51.760]  Anyway, so it's infowarstore.com and that's how we fund this operation.
[2:17:51.760 --> 2:17:58.240]  And if you don't fund us and don't want to steer, that's fine.
[2:17:58.240 --> 2:18:01.080]  It's time to protect your privacy.
[2:18:01.080 --> 2:18:05.560]  It's time to come to grips with the fact that even though you don't have anything to hide,
[2:18:05.560 --> 2:18:11.360]  criminals, hackers, corporations, big tech government are stealing all of your data and
[2:18:11.360 --> 2:18:15.080]  creating a map and a database of where you go and what you do.
[2:18:15.080 --> 2:18:20.040]  So in the future, under their globalist takeover, they can shut you down.
[2:18:20.040 --> 2:18:24.240]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting
[2:18:24.240 --> 2:18:28.440]  your photos, protecting everything that's on your phone is paramount.
[2:18:28.440 --> 2:18:31.120]  That's why everybody should visit infowarstore.com.
[2:18:31.120 --> 2:18:38.440]  We're carrying a huge new line of very compliant, made in America products that have 100% reviews
[2:18:38.440 --> 2:18:39.440]  and are simply incredible.
[2:18:39.440 --> 2:18:45.560]  It's a 360 win, protect your privacy and shop at infowars to support the overall infowar
[2:18:45.560 --> 2:18:48.640]  against the globalist, a true 360 win.
[2:18:48.640 --> 2:18:57.720]  Get your Faraday cages at infowarstore.com, check out the new line, it's amazing.
[2:18:57.720 --> 2:19:03.320]  UN-run contact tracers aren't coming, they're here all over the world from Australia to
[2:19:03.320 --> 2:19:05.720]  the United States from Canada to Germany.
[2:19:05.720 --> 2:19:09.200]  These tyrants are tracking everything you do everywhere you go and then coming to your
[2:19:09.200 --> 2:19:14.880]  house and threatening in some cases actually taking people away into the night to their
[2:19:14.880 --> 2:19:15.880]  facilities.
[2:19:15.880 --> 2:19:20.680]  And they're planning in the next year to expand their shield process where they come and take
[2:19:20.680 --> 2:19:24.640]  quote healthy people away and put them in facilities for their safety.
[2:19:24.640 --> 2:19:26.440]  This is nothing less than martial law.
[2:19:26.440 --> 2:19:30.680]  And one big thing you can do to fight back is to get high quality Faraday cages, many
[2:19:30.680 --> 2:19:34.960]  of which are made here in America and are very compliant, meaning U.S. government military
[2:19:34.960 --> 2:19:37.600]  grade at infowarstore.com.
[2:19:37.600 --> 2:19:42.320]  We have the entire line of silent pocket ready to ship to you when you visit infowarstore.com.
[2:19:42.320 --> 2:19:48.000]  Again, we have big backpacks, we have special dry bags, we've got them for cell phones,
[2:19:48.000 --> 2:19:53.120]  we've got them for laptops, we've got them for iPads, it's all there at infowarstore.com.
[2:19:53.120 --> 2:19:59.600]  So protect your privacy today and support the infowar at infowarstore.com.
[2:19:59.600 --> 2:20:16.320]  Reading a frontal assault on the lies of the New World Order, it's Alex Jones.
[2:20:16.320 --> 2:20:18.120]  What have I been saying for days?
[2:20:18.120 --> 2:20:21.880]  It's not hard to say it, 101.
[2:20:21.880 --> 2:20:27.780]  In real wars you invade and then you buy off military leadership to give up either before
[2:20:27.780 --> 2:20:30.200]  you invade or once you invade.
[2:20:30.200 --> 2:20:31.200]  And that's what Putin's doing.
[2:20:31.200 --> 2:20:35.560]  I've been saying behind the scenes, most of the military's already stood down.
[2:20:35.560 --> 2:20:39.920]  They don't want to be known as traitors, they make deals behind the scenes.
[2:20:39.920 --> 2:20:47.320]  So Putin gives them the offer that Hitler did when he invaded France back in 1940.
[2:20:47.320 --> 2:20:52.040]  He said give up and I'll put the military in charge.
[2:20:52.040 --> 2:20:55.240]  Now I know why Putin did this and I'm not against the Russians, but I don't like these
[2:20:55.240 --> 2:20:56.240]  wars.
[2:20:56.240 --> 2:20:59.920]  I know NATO was bringing in troops and weapons and they had no choice, but I still don't
[2:20:59.920 --> 2:21:01.760]  like any of this.
[2:21:01.760 --> 2:21:03.160]  This is dangerous as hell.
[2:21:03.160 --> 2:21:06.400]  And now they're getting ready to blame cyber attacks on Russia and escalate things out
[2:21:06.400 --> 2:21:07.400]  of control.
[2:21:07.400 --> 2:21:11.400]  They got all the talking heads saying they do one cyber attack, they invoke Article 5
[2:21:11.400 --> 2:21:12.840]  and we go to war with Russia.
[2:21:12.840 --> 2:21:19.280]  And if you think the globalist won't do it and their bunkers depopulate us, you're stupid.
[2:21:19.280 --> 2:21:24.120]  Putin calls on Ukrainian military to cease power to better negotiate Reuters, AP, Bloomberg.
[2:21:24.120 --> 2:21:28.840]  It's all being reported, reportedly gave a press conference, we're getting the video.
[2:21:28.840 --> 2:21:31.320]  So that's what you do and that's what I think is going on.
[2:21:31.320 --> 2:21:35.480]  This is a real invasion, but they got most of the military to stand down, but you better
[2:21:35.480 --> 2:21:37.560]  do when you invade somebody.
[2:21:37.560 --> 2:21:41.600]  Royce White joins us for two segments, I really appreciate him coming on.
[2:21:41.600 --> 2:21:46.200]  He just announced a few days ago that he's running for Congress and he's a super smart
[2:21:46.200 --> 2:21:47.200]  guy.
[2:21:47.200 --> 2:21:51.360]  I'm not supporting him in his run against Ilhan Omar because he's a famous NBA player
[2:21:51.360 --> 2:21:58.880]  and MA guy or all that, but because he stood up for everybody and against tyranny and against
[2:21:58.880 --> 2:22:03.360]  the Democratic Party and against the corrupt Republicans and against the Chinese Communists
[2:22:03.360 --> 2:22:05.720]  and the Uyghur persecution.
[2:22:05.720 --> 2:22:12.000]  And his website is RoyceWhite.us to find his congressional run or RoyceWhite.substack.com.
[2:22:12.000 --> 2:22:15.000]  He's written a great new article and open letter to Democrats, we'll get to that next
[2:22:15.000 --> 2:22:16.000]  segment.
[2:22:16.000 --> 2:22:19.440]  But Royce, obviously people want to know they should vote for you for Congress.
[2:22:19.440 --> 2:22:25.840]  Maybe better than Ilhan Omar, but my goodness, an amazingly smart Christian patriot, great
[2:22:25.840 --> 2:22:26.840]  looking.
[2:22:26.840 --> 2:22:30.000]  I mean, you got everything we need, brother, and to unify the people.
[2:22:30.000 --> 2:22:32.200]  I couldn't think of a better type of candidate.
[2:22:32.200 --> 2:22:37.160]  You could be the new model instead of these people like Ilhan Omar and this idiot woman
[2:22:37.160 --> 2:22:38.160]  AOC.
[2:22:38.160 --> 2:22:43.520]  I don't care if women get elected, that's great, but my God, these Communist idiot people
[2:22:43.520 --> 2:22:44.520]  is really a problem.
[2:22:44.520 --> 2:22:49.240]  But with all going on, I'm sure you want to respond to Russia and to all the news coming
[2:22:49.240 --> 2:22:50.240]  out.
[2:22:50.240 --> 2:22:52.560]  Well, thanks for having me back, Alex.
[2:22:52.560 --> 2:22:53.960]  You know, it's an honor, man.
[2:22:53.960 --> 2:22:54.960]  I'm a big fan.
[2:22:54.960 --> 2:22:59.960]  I've been watching the show for some time, and I'm thankful to be able to share my story
[2:22:59.960 --> 2:23:04.440]  and who I am with your audience.
[2:23:04.440 --> 2:23:05.600]  We're in a crisis, right?
[2:23:05.600 --> 2:23:06.760]  This country is in trouble.
[2:23:06.760 --> 2:23:11.600]  I think the free people of the world are in trouble, but this country is in trouble.
[2:23:11.600 --> 2:23:16.760]  And there's a lot of crisis across the board, but I really believe the front line of crisis
[2:23:16.760 --> 2:23:26.440]  is citizenship, and ultimately, we are in a battle where there are a lot of people in
[2:23:26.440 --> 2:23:32.880]  this country that just believe America is dead, and there are a lot of people in power
[2:23:32.880 --> 2:23:38.560]  who believe that we're in this sort of managed decline.
[2:23:38.560 --> 2:23:42.080]  And I'm not willing to give up the American dream.
[2:23:42.080 --> 2:23:43.640]  I'm not willing to give up on America.
[2:23:43.640 --> 2:23:45.960]  I'm not willing to give up my stake in America.
[2:23:45.960 --> 2:23:51.000]  I think that people like Ilhan Omar, AOC, think that they're getting some type of a
[2:23:51.000 --> 2:23:56.200]  quid pro quo deal where, when the authoritarians take over, when tyranny really comes down
[2:23:56.200 --> 2:24:01.640]  to bear that it'll miss them, and I see past that, and I'm trying to urge this sort of
[2:24:01.640 --> 2:24:06.320]  free people of America, this populist movement, to press down on the gas and fighting back
[2:24:06.320 --> 2:24:11.120]  against tyranny, against authoritarianism, against this technocracy, against new world
[2:24:11.120 --> 2:24:12.120]  order, globalism.
[2:24:12.120 --> 2:24:13.120]  I love that.
[2:24:13.120 --> 2:24:15.480]  Recognize we're under attack by globalists and press on the gas.
[2:24:15.480 --> 2:24:16.960]  How do we do that?
[2:24:16.960 --> 2:24:22.880]  Well, I think it's too tiered, right?
[2:24:22.880 --> 2:24:27.200]  The grandiosity of the federal government is undermining the meaning of community, and
[2:24:27.200 --> 2:24:31.440]  the arrogance of globalism is undermining the value of country, right?
[2:24:31.440 --> 2:24:37.520]  And so we have to understand that our citizenship, American citizenship, is the front line of
[2:24:37.520 --> 2:24:42.520]  defense against tyranny around the world, and we have to take up that mantle, and we
[2:24:42.520 --> 2:24:43.960]  have to hold that responsibility.
[2:24:43.960 --> 2:24:47.560]  We have to hold the line here in America for our citizenship and the value that it holds
[2:24:47.560 --> 2:24:53.480]  and the rights that it holds in order to slow down the momentum of tyranny from here, all
[2:24:53.480 --> 2:24:55.800]  the way to the South Pacific.
[2:24:55.800 --> 2:24:59.560]  Man, I just want to get you in Congress.
[2:24:59.560 --> 2:25:00.560]  Wow.
[2:25:00.560 --> 2:25:02.480]  You'd make, I mean, you're absolutely right.
[2:25:02.480 --> 2:25:03.480]  You're dead on.
[2:25:03.480 --> 2:25:07.520]  You got a great way of just authoritatively laying it out so simply, whereas I tend to
[2:25:07.520 --> 2:25:09.280]  extrapolate forever.
[2:25:09.280 --> 2:25:10.280]  Keep going here.
[2:25:10.280 --> 2:25:11.280]  Yeah.
[2:25:11.280 --> 2:25:17.640]  Well, I mean, look, again, I said the crisis, and let's take a step back.
[2:25:17.640 --> 2:25:20.240]  The crisis is really spiritual, right?
[2:25:20.240 --> 2:25:24.560]  But we do have to delineate between the spiritual and the political.
[2:25:24.560 --> 2:25:27.840]  And when I first came onto the public scene, I was a mental health advocate.
[2:25:27.840 --> 2:25:32.360]  I battled the MBA and the sort of global corporatocracy about mental health policy.
[2:25:32.360 --> 2:25:36.560]  That was 10 years ago when only people like you and a few select others were talking about
[2:25:36.560 --> 2:25:42.520]  globalism, a global corporate community and the economics-only conservatism and this sort
[2:25:42.520 --> 2:25:47.400]  of business-first money by any means model and method.
[2:25:47.400 --> 2:25:52.800]  But when I was doing that, I sort of saw the psychological and mental health as divorced
[2:25:52.800 --> 2:25:53.960]  from the political.
[2:25:53.960 --> 2:25:57.000]  I thought that the political was beneath me, right?
[2:25:57.000 --> 2:26:02.840]  I thought that mental health and the psychological was so much deeper that I could ignore the
[2:26:02.840 --> 2:26:04.480]  politics.
[2:26:04.480 --> 2:26:10.000]  But in reality, I was mistaken, I was greatly mistaken, because when the political is potent,
[2:26:10.000 --> 2:26:13.000]  it has a profound impact on the psychological.
[2:26:13.000 --> 2:26:14.520]  And I think that's what we're seeing in this country.
[2:26:14.520 --> 2:26:19.880]  And I think that's how globalists have been able to sort of mobilize this liberal American
[2:26:19.880 --> 2:26:20.880]  movement.
[2:26:20.880 --> 2:26:21.880]  That's right.
[2:26:21.880 --> 2:26:22.880]  They take our pride.
[2:26:22.880 --> 2:26:27.160]  They tell us pride in America is bad and dirty, but who are we, we're not Americans.
[2:26:27.160 --> 2:26:31.120]  They get us to not take on our birthright to then be alone and hate ourselves so they
[2:26:31.120 --> 2:26:36.160]  can give us the new download, which isn't some new pride or better system, but is that
[2:26:36.160 --> 2:26:39.920]  we're all at each other's throats and we're all scum and everything's over, and then
[2:26:39.920 --> 2:26:44.000]  we believe that and die.
[2:26:44.000 --> 2:26:46.920]  And the biggest lies hide behind the greatest truth, right?
[2:26:46.920 --> 2:26:52.000]  And I think America's original sin was slavery, and I'm a black man, obviously.
[2:26:52.000 --> 2:26:53.200]  But I believe in America.
[2:26:53.200 --> 2:26:57.960]  And I think actually a lot of Republicans, and we talked about this before, a lot of
[2:26:57.960 --> 2:27:03.000]  Republicans and people on the right, conservatives, miss when they say racism is no longer an
[2:27:03.000 --> 2:27:04.000]  issue in this country.
[2:27:04.000 --> 2:27:05.000]  No, it's an issue.
[2:27:05.000 --> 2:27:06.640]  It's a profound issue.
[2:27:06.640 --> 2:27:11.440]  The issue is that neoliberal racism is more profound than any racism we've ever experienced
[2:27:11.440 --> 2:27:12.440]  in this country.
[2:27:12.440 --> 2:27:18.360]  And it's able to mask itself behind the caricature that they put on the right and on the Republicans.
[2:27:18.360 --> 2:27:22.840]  And the prime example of that, as a black man sitting here with you today in front of
[2:27:22.840 --> 2:27:27.920]  your audience, there is no greater sign of racism in this country than for a bunch of
[2:27:27.920 --> 2:27:36.880]  affluent, metropolitan, neoliberal whites to want to make this unilateral decision that
[2:27:36.880 --> 2:27:40.120]  America is dead, American citizenship isn't worth it.
[2:27:40.120 --> 2:27:44.040]  And although black people may have not been fairly compensated in the first iteration
[2:27:44.040 --> 2:27:47.800]  of the American dream, we should give ours up for their new global dream.
[2:27:47.800 --> 2:27:49.960]  I mean, that's racist.
[2:27:49.960 --> 2:27:58.400]  That's paternalistic, low expectation, low worth bigotry in its most pure form.
[2:27:58.400 --> 2:27:59.400]  Exactly.
[2:27:59.400 --> 2:28:02.320]  Instead of taking on the birthright that you fought for this year is right at the moment
[2:28:02.320 --> 2:28:03.760]  we were actually getting it.
[2:28:03.760 --> 2:28:07.200]  Now you hate it and say it's not yours like you're, you throw it off a cliff and then
[2:28:07.200 --> 2:28:13.080]  join Klaus Schwab, the most greedy murderous scumbag we've ever seen.
[2:28:13.080 --> 2:28:21.240]  And Ilhan Omar and AOC and many other puppets who fit the criteria to build this sort of
[2:28:21.240 --> 2:28:26.920]  front or use black people as this front for intersectionality, which is the church of
[2:28:26.920 --> 2:28:30.760]  LGBTQ and the brotherhood of globalism.
[2:28:30.760 --> 2:28:35.640]  These are the people who they strategically place and use their identity as a calling
[2:28:35.640 --> 2:28:44.240]  card to the sheep and the people who are, let's say, headline reading tacitly, a Democrat,
[2:28:44.240 --> 2:28:45.240]  Democratic participants.
[2:28:45.240 --> 2:28:50.280]  We got a real leader joining us Roy Swight, find him at Roy Swight.us, he's running for
[2:28:50.280 --> 2:28:51.280]  Congress.
[2:28:51.280 --> 2:28:53.920]  If you don't back in for Congress, you're part of the problem.
[2:28:53.920 --> 2:28:54.920]  We'll be right back.
[2:28:54.920 --> 2:28:57.920]  Stay with us.
[2:28:57.920 --> 2:29:04.960]  Two life changing, life empowering products are now back in stock after being sold out
[2:29:04.960 --> 2:29:08.560]  for months and infowarstore.com.
[2:29:08.560 --> 2:29:12.440]  Winter sun is the highest quality organic vitamin D three taken out of the tongue.
[2:29:12.440 --> 2:29:16.320]  It also has vitamin K critical fear immune system and so much more.
[2:29:16.320 --> 2:29:20.320]  It's 50% off despite the fact it's going to sell out very, very quickly because everybody
[2:29:20.320 --> 2:29:22.800]  needs this old, young, black, white.
[2:29:22.800 --> 2:29:23.800]  It doesn't matter.
[2:29:23.800 --> 2:29:25.160]  You need what's in winter sun.
[2:29:25.160 --> 2:29:33.560]  And then we have brain force ultra super fast acting, amazing, clean, new tropic system
[2:29:33.560 --> 2:29:37.880]  that is a compliment to brain force plus and of course turbo force.
[2:29:37.880 --> 2:29:42.160]  All three of these are different formulas, but all three of them take your mind and take
[2:29:42.160 --> 2:29:45.320]  your focus and clarity and alert us to the next level.
[2:29:45.320 --> 2:29:50.280]  It is 40% off at infowarstore.com for a limited time.
[2:29:50.280 --> 2:29:51.280]  Thank you all for your support.
[2:29:51.280 --> 2:30:05.240]  If you haven't tried these products, you really need to because they are amazing infowarstore.com.
[2:30:05.240 --> 2:30:12.360]  From the words of Chuck Polyneak's fight club, dear globalist leaders of the great reset,
[2:30:12.360 --> 2:30:15.960]  the people you're trying to step on, we're everyone you depend on.
[2:30:15.960 --> 2:30:19.880]  We're the people who do your laundry and cook your food and serve your dinner.
[2:30:19.880 --> 2:30:25.440]  We make your bed, we guard you while you're asleep, we drive the ambulances, we direct
[2:30:25.440 --> 2:30:30.480]  your call, we are cooks and we are taxi drivers and we know everything about you.
[2:30:30.480 --> 2:30:35.640]  We process your insurance claims and credit card charges, we control every part of your
[2:30:35.640 --> 2:30:36.640]  life.
[2:30:36.640 --> 2:30:41.280]  We are the middle children of history, raised by television to believe that someday we'll
[2:30:41.280 --> 2:30:47.320]  be millionaires and movie stars, but we won't and we're just learning this fact.
[2:30:47.320 --> 2:30:51.440]  So don't fuck with us.
[2:30:51.440 --> 2:30:57.920]  Support independent media at infowarstore.com.
[2:30:57.920 --> 2:31:05.360]  The globalist social engineers always intended to push their COVID biomedical tyranny lockdowns
[2:31:05.360 --> 2:31:08.560]  until the populations rebelled.
[2:31:08.560 --> 2:31:14.080]  They would then use that as the pretext for permanent martial law and banning and arresting
[2:31:14.080 --> 2:31:19.640]  anybody that speaks out against their lives, but because of so many scientists and engineers
[2:31:19.640 --> 2:31:25.320]  and researchers and others coming public and whistleblowers, now their whole project is
[2:31:25.320 --> 2:31:32.320]  falling apart because the people are aware that it is a world government corporate takeover
[2:31:32.320 --> 2:31:35.760]  and so it's pulling back the curtain now more than ever.
[2:31:35.760 --> 2:31:40.160]  The problem is some globalist controlled areas are not going to give up on their takeover.
[2:31:40.160 --> 2:31:46.520]  Like Canada where they've now declared a civil emergency and martial law in Ontario and other
[2:31:46.520 --> 2:31:50.720]  areas of the world are following suit like Australia, so pray for these folks big time.
[2:31:50.720 --> 2:31:56.120]  This is a very serious situation and stay tuned into infowars.com because truth is absolutely
[2:31:56.120 --> 2:31:57.120]  paramount.
[2:31:57.120 --> 2:31:59.240]  Let's go ahead and take another call.
[2:31:59.240 --> 2:32:01.160]  Let's talk to Malcolm in Tennessee.
[2:32:01.160 --> 2:32:02.160]  Welcome.
[2:32:02.160 --> 2:32:03.160]  Hello Alex.
[2:32:03.160 --> 2:32:04.160]  Yes Malcolm.
[2:32:04.160 --> 2:32:05.160]  All right.
[2:32:05.160 --> 2:32:07.160]  I will make this quick and real short where the other patrons can get on the line.
[2:32:07.160 --> 2:32:12.160]  Alex, I have to promote one thing from one of your co-hosts, Owen Shroyer, SuperMail
[2:32:12.160 --> 2:32:14.920]  Vitality and Brainforce Plus.
[2:32:14.920 --> 2:32:15.920]  Mix those two together.
[2:32:15.920 --> 2:32:17.560]  You're an unstoppable tank.
[2:32:17.560 --> 2:32:19.520]  SuperMail Vitality really, really works.
[2:32:19.520 --> 2:32:25.680]  It's cold pressed herbs and natural compounds that have never been heated up and so it has
[2:32:25.680 --> 2:32:30.840]  a dramatic effect compared to powdered versions that also work quite well but just aren't as
[2:32:30.840 --> 2:32:31.840]  strong.
[2:32:31.840 --> 2:32:32.840]  This is like a very fine wine.
[2:32:32.840 --> 2:32:35.400]  In fact, each batch is different.
[2:32:35.400 --> 2:32:37.400]  Sometimes it's super strong, sometimes it's just okay.
[2:32:37.400 --> 2:32:40.520]  People are like, why are you selling something and admitting sometimes the batch isn't as
[2:32:40.520 --> 2:32:41.520]  strong?
[2:32:41.520 --> 2:32:42.520]  That's just how it is.
[2:32:42.520 --> 2:32:43.520]  It's how it works.
[2:32:43.520 --> 2:32:45.040]  So it's always good.
[2:32:45.040 --> 2:32:49.200]  It's just sometimes it's like super strong but yeah, if you want the Rolls Royce at a
[2:32:49.200 --> 2:32:58.880]  decent price then this is it.
[2:32:58.880 --> 2:33:15.040]  Adding a frontal assault on the lies of the New World Order, it's Alex Jones.
[2:33:15.040 --> 2:33:32.920]  You keep saying you've got something for me, something you call love but confess, you've
[2:33:32.920 --> 2:33:40.320]  been a messin' where you shouldn't have been a messin' and now someone else is gettin'
[2:33:40.320 --> 2:33:49.200]  on your best, these boots are made for walkin' and that's just what they'll do.
[2:33:49.200 --> 2:33:54.240]  One of these days these boots are gonna walk all over you.
[2:33:54.240 --> 2:33:59.960]  Napoleon started a war with Russia and got defeated, so did Hitler and now Russia is
[2:33:59.960 --> 2:34:01.960]  fighting again.
[2:34:01.960 --> 2:34:06.200]  Probably not gonna go too well.
[2:34:06.200 --> 2:34:16.320]  Joining us is somebody that's already been a really successful fight for human rights
[2:34:16.320 --> 2:34:20.440]  and was a trailblazer in the NBA, not pushing a bunch of division and George Sorrell's crap
[2:34:20.440 --> 2:34:24.840]  but mental health and stand up for the Uyghurs and you name it, now he's an MMA fighter.
[2:34:24.840 --> 2:34:28.760]  I really like Royce White, I've known who he was for years but once I got him on, really
[2:34:28.760 --> 2:34:29.760]  impressed.
[2:34:29.760 --> 2:34:30.760]  I know leadership when I see it.
[2:34:30.760 --> 2:34:35.560]  I know not a diamond in the rough but diamond right there, that's what we need and you
[2:34:35.560 --> 2:34:36.560]  know, women are great.
[2:34:36.560 --> 2:34:39.760]  I hope we get a bunch of women in Congress but at the end of the day we need men to be
[2:34:39.760 --> 2:34:40.760]  men again.
[2:34:40.760 --> 2:34:48.240]  If you imagine Congress full of men like Royce White at RoyceWhite.us, you imagine black,
[2:34:48.240 --> 2:34:51.640]  white, Hispanic, old, young, I don't give a damn but men again.
[2:34:51.640 --> 2:34:56.920]  We need men to stand up and realize it's their responsibility to be leaders.
[2:34:56.920 --> 2:35:02.280]  It's a genetic fact, the whole enemy attack is about denying the office of men and women
[2:35:02.280 --> 2:35:05.440]  have their office and women can do anything they want.
[2:35:05.440 --> 2:35:07.360]  But women want men to lead.
[2:35:07.360 --> 2:35:12.680]  They don't on average want a bunch of power to be running stuff and any system that sells
[2:35:12.680 --> 2:35:16.920]  women being in charge, it doesn't really want women in charge, it wants people they can
[2:35:16.920 --> 2:35:18.600]  push around in charge.
[2:35:18.600 --> 2:35:21.280]  So in the time we've got left in this segment Royce, and I'm going to get you back for a
[2:35:21.280 --> 2:35:24.480]  full podcast, cover any topics you want for an hour or two hours.
[2:35:24.480 --> 2:35:27.680]  I'm going to start doing more and more of the Joe Rogan style long, you know, long form
[2:35:27.680 --> 2:35:32.640]  interviews I did 20 years ago and stopped a few years ago but Royce White, what else
[2:35:32.640 --> 2:35:37.520]  do you want to impart in the eight minutes we have left for the Lester's?
[2:35:37.520 --> 2:35:42.960]  Yeah, I think that I want to stress again, like I did in one of our previous episodes
[2:35:42.960 --> 2:35:45.120]  about this righteous and divine war.
[2:35:45.120 --> 2:35:51.520]  The central reason why I'm very drawn to getting involved in jumping into the political
[2:35:51.520 --> 2:35:54.840]  arena is one we're in a crisis of citizenship.
[2:35:54.840 --> 2:36:00.680]  But it's just very concerning to me as an average everyday American who come from a blue
[2:36:00.680 --> 2:36:07.240]  color family and a Christian and a Catholic that our mainstream political establishment
[2:36:07.240 --> 2:36:16.400]  has basically tried to create, promote and sustain a culture, a social culture that suggests
[2:36:16.400 --> 2:36:26.880]  Jesus Christ and Christianity are anti-Semitic, homophobic, transphobic, xenophobic and racist.
[2:36:26.880 --> 2:36:32.240]  I mean, and some people whether or not you believe in God or Christianity may not understand
[2:36:32.240 --> 2:36:38.440]  that the attack on Christianity and the Bible is a bigger global agenda, number one.
[2:36:38.440 --> 2:36:42.360]  But it's an attack right at the heart of the United States Constitution because if you
[2:36:42.360 --> 2:36:45.840]  get rid of the Bible, then the Constitution is out.
[2:36:45.840 --> 2:36:49.440]  So you know, these are the real dynamics and culture wars that are going on.
[2:36:49.440 --> 2:36:54.840]  And I said that there's a crisis of citizenship and a spiritual crisis, but there's also
[2:36:54.840 --> 2:37:02.280]  a culture war that's full, full go and the attack on Christianity is the best symbol
[2:37:02.280 --> 2:37:03.280]  of it.
[2:37:03.280 --> 2:37:09.000]  And the crisis of femininity I think has been pulled out of this sort of attack and demonization
[2:37:09.000 --> 2:37:12.400]  of Christianity.
[2:37:12.400 --> 2:37:15.040]  Keep laying it on us then.
[2:37:15.040 --> 2:37:23.880]  I mean, I think the central liberal ethos you could say is an unholy alliance where
[2:37:23.880 --> 2:37:33.200]  you got your technocratic, scientism overlords and beta males who see the best way to sort
[2:37:33.200 --> 2:37:42.800]  of insulate themselves with an unexpected populace was to go after this intersectionality
[2:37:42.800 --> 2:37:45.160]  propaganda.
[2:37:45.160 --> 2:37:50.280]  And the best people to use or partner with was the liberal white woman.
[2:37:50.280 --> 2:37:58.800]  And then by way of attached to the LGBTQ movement and then ultimately used black people as the
[2:37:58.800 --> 2:38:04.200]  calling card because of a history of a true and genuine history of oppression.
[2:38:04.200 --> 2:38:05.200]  Absolutely.
[2:38:05.200 --> 2:38:09.440]  They steal the crimes that have been done to black folks and their families and literally
[2:38:09.440 --> 2:38:13.280]  put blackface on their corporate world government neoliberal takeover.
[2:38:13.280 --> 2:38:17.440]  Is that fair to say the left puts on blackface for all their corporations and systems to
[2:38:17.440 --> 2:38:21.040]  like hide who they really are?
[2:38:21.040 --> 2:38:22.040]  Absolutely.
[2:38:22.040 --> 2:38:27.480]  And the worst part about it is it's very, very obvious.
[2:38:27.480 --> 2:38:32.280]  And the way you can tell what makes it so obvious is any black person for all of their
[2:38:32.280 --> 2:38:38.880]  pandering and propaganda and promotion of an idea like Black Lives Matter, let's say,
[2:38:38.880 --> 2:38:45.920]  any black person who deviates from the political agenda, who thinks for themselves, who loves
[2:38:45.920 --> 2:38:51.040]  this country, who wants to be a Christian, an unapologetic Christian is automatically
[2:38:51.040 --> 2:38:53.320]  ostracized and attacked.
[2:38:53.320 --> 2:38:54.320]  And they are the party.
[2:38:54.320 --> 2:38:59.080]  They are the cultural movement that says we can't attack shame or bully, but they do
[2:38:59.080 --> 2:39:00.080]  it.
[2:39:00.080 --> 2:39:07.040]  And so, you know, what we have to understand is that the problem in America, it really
[2:39:07.040 --> 2:39:09.360]  is not between the two parties.
[2:39:09.360 --> 2:39:14.360]  The problem is the ever expanding middle and the liberals have been able to hijack the
[2:39:14.360 --> 2:39:19.840]  ever expanding middle through the media industrial complex and by grabbing a hold of the Legacy
[2:39:19.840 --> 2:39:20.840]  Institute.
[2:39:20.840 --> 2:39:21.840]  Well, that's right.
[2:39:21.840 --> 2:39:23.600]  Well, we're all losing our incomes in our future.
[2:39:23.600 --> 2:39:25.360]  They've got us fighting with each other.
[2:39:25.360 --> 2:39:34.240]  Well, they've been able to create a, they've been able to create a makeshift generic template
[2:39:34.240 --> 2:39:38.280]  for your average American voter who just doesn't know any better, right?
[2:39:38.280 --> 2:39:39.280]  No, no.
[2:39:39.280 --> 2:39:40.280]  Hey, you don't want to be racist?
[2:39:40.280 --> 2:39:42.120]  Well, vote for Democrats then.
[2:39:42.120 --> 2:39:47.200]  Let me raise this, because you're a big tough guy, MMA, NBA player, you know, you're an
[2:39:47.200 --> 2:39:48.360]  alpha male.
[2:39:48.360 --> 2:39:52.960]  I'm an alpha male as well, and then I believe I've got a job to do, and I'm confident the
[2:39:52.960 --> 2:39:53.960]  rest of it.
[2:39:53.960 --> 2:39:56.720]  Growing up and being around a bunch of other big alpha males that were tougher than me
[2:39:56.720 --> 2:40:02.680]  made me feel big and strong, but I noticed beta liberals, they get threatened by it and
[2:40:02.680 --> 2:40:03.680]  want to extinct it.
[2:40:03.680 --> 2:40:07.760]  So what's the difference between males that feel strong around other strong males and
[2:40:07.760 --> 2:40:11.320]  it makes you feel stronger, makes you want to be stronger, versus the left that's so
[2:40:11.320 --> 2:40:15.040]  threatened by a male vigor that we need to get to the next level?
[2:40:15.040 --> 2:40:19.440]  Or real femininity, they're at war with women, saying a big fat drag queen is a woman.
[2:40:19.440 --> 2:40:20.440]  No, that's not a woman.
[2:40:20.440 --> 2:40:21.440]  That's not a goddess.
[2:40:21.440 --> 2:40:26.080]  And this is a, these women are like God's little G, you know, like they say in the,
[2:40:26.080 --> 2:40:29.600]  in the, in the, in the vegan emergency movie, the road, it's like this child, this ugly
[2:40:29.600 --> 2:40:31.040]  world is a God.
[2:40:31.040 --> 2:40:35.480]  It's got the potential to all this power, and it's like men have incredible power, women
