[00:00.000 --> 00:11.520]  You are listening to an Infowars.com frontline report.
[02:09:21.120 --> 02:09:26.120]  So the fact that, and I'm not saying the police are involved, it's a big bureaucracy, but they had drills there.
[02:09:26.120 --> 02:09:28.120]  They had Secret Service involved four weeks ago.
[02:09:28.120 --> 02:09:30.120]  I've had the witnesses on.
[02:09:30.120 --> 02:09:32.120]  We have guest on as well.
[02:09:32.120 --> 02:09:36.120]  There are students that said that others said there were multiple shooters.
[02:09:36.120 --> 02:09:38.120]  Jalen Martin was on.
[02:09:38.120 --> 02:09:45.120]  So the fact that the news isn't running with this, and I already played it last hour, but when we post this on Facebook and YouTube, we'll tag it on.
[02:09:45.120 --> 02:09:53.120]  Two clips of Matt Bracken in an hour interview last week, I got into it as well saying New Oklahoma City, new school shooting, where they blame the right wing.
[02:09:53.120 --> 02:10:02.120]  And sure enough, this guy is at this very questionable white supremacist compound out in Florida training to break away and make Florida its own country.
[02:10:02.120 --> 02:10:08.120]  And the guy immediately comes out and says, I confirm he permanently trains with us. This is incredible.
[02:10:08.120 --> 02:10:12.120]  This is exactly the card we would expect to be played by the deep state.
[02:10:12.120 --> 02:10:15.120]  At this time, it's what Matt Bracken predicted.
[02:10:15.120 --> 02:10:16.120]  It's what I've been predicting.
[02:10:16.120 --> 02:10:18.120]  It's all the globalists have left.
[02:10:18.120 --> 02:10:23.120]  So Matt Bracken, former Navy SEAL counterterrorism expert and best-selling author researcher.
[02:10:23.120 --> 02:10:26.120]  This is exactly the move we would expect.
[02:10:26.120 --> 02:10:29.120]  And now we learn this family's gone dead recently.
[02:10:29.120 --> 02:10:31.120]  He's on psychotropic.
[02:10:31.120 --> 02:10:33.120]  He would do anything anybody asked.
[02:10:33.120 --> 02:10:37.120]  He was a total joke at the school, autistic, clearly.
[02:10:37.120 --> 02:10:41.120]  This is the perfect cutout for this.
[02:10:41.120 --> 02:10:43.120]  I mean, what do you make of this?
[02:10:43.120 --> 02:10:47.120]  This is happening in real time, Matt Bracken.
[02:10:47.120 --> 02:10:52.120]  You know, we're still in the first barely more than 24 hours.
[02:10:52.120 --> 02:10:55.120]  So there's a lot of noise and false reports.
[02:10:55.120 --> 02:11:03.120]  Reports of multiple shooters, like the back at the Beltway Sniper, the white man in the white van.
[02:11:03.120 --> 02:11:07.120]  The false reports can take on a life of their own.
[02:11:07.120 --> 02:11:14.120]  Echos, things that are like in Las Vegas, multiple shooters from multiple positions, multiple buildings,
[02:11:14.120 --> 02:11:24.120]  often are a result of a cascade of police reports coming over top of one another, being heard as separate.
[02:11:24.120 --> 02:11:31.120]  But Vegas is now unraveled and we're talking to witnesses and we're airing witnesses that were with him while guns are going off,
[02:11:31.120 --> 02:11:36.120]  with Nicholas Cruz while they hear guns going off. That's pretty powerful.
[02:11:36.120 --> 02:11:40.120]  Well, what was he doing at the school if he was expelled last year on the day of the shooting?
[02:11:40.120 --> 02:11:43.120]  I'm not saying he's not a shooter. I'm not saying it didn't happen.
[02:11:43.120 --> 02:11:46.120]  But I mean, this is exactly what you were predicting Friday.
[02:11:46.120 --> 02:11:56.120]  Well, I'm at this point, I have no reason to disbelieve that it's not his gun, his ammunition.
[02:11:56.120 --> 02:11:59.120]  Well, I want to be clear. I'm not saying he wasn't a shooter. We don't know.
[02:11:59.120 --> 02:12:04.120]  I'm just saying the timing of this, the eyewitnesses, these are very credible.
[02:12:04.120 --> 02:12:10.120]  This isn't like, we know we're thinking, multiple reports of the shooters here, there's multiple shooters, those reports came in.
[02:12:10.120 --> 02:12:14.120]  We've got people saying they're talking to him while guns are going off. Have you seen those videos?
[02:12:14.120 --> 02:12:18.120]  No, that's going to have to be sorted out, obviously.
[02:12:18.120 --> 02:12:25.120]  And it probably won't be if it doesn't suit a national narrative, a network narrative.
[02:12:25.120 --> 02:12:34.120]  But at this point, I tend to think not necessarily are these things a conspiracy.
[02:12:34.120 --> 02:12:40.120]  A lot of times, like in Las Vegas, the cover-up is a result of police covering up incompetence.
[02:12:40.120 --> 02:12:51.120]  For example, the FBI had clear warnings about this guy last year and it got dropped into the bureaucratic cracks and no action was taken.
[02:12:51.120 --> 02:12:59.120]  By the way, as you said, that's confirmed, not just the FBI was warned. People have been warned about this for a long time with this guy.
[02:12:59.120 --> 02:13:08.120]  And I've never heard of emails going out through a school saying that so-and-so is not allowed on campus with a backpack.
[02:13:08.120 --> 02:13:15.120]  And that's very creepy and makes you wonder what the writer of that email knew or had been told.
[02:13:15.120 --> 02:13:24.120]  The fact that there was no home check on this guy after his, I guess his father died when he was much younger.
[02:13:24.120 --> 02:13:31.120]  His mother died three months ago, so he's clearly skating on thin ice psychologically.
[02:13:31.120 --> 02:13:37.120]  If he's changing his meds or stopping his meds, that can cause a very abrupt change in behavior.
[02:13:37.120 --> 02:13:42.120]  Well, he looks like a textbook lunatic to me, so I'm not saying he isn't one of the shooters.
[02:13:42.120 --> 02:13:47.120]  I'm just saying we have to look at all these credible people. One of you's seen those videos, man.
[02:13:47.120 --> 02:13:55.120]  Just the whole timing of this just screams that we need to investigate that this was at least known about and protected and wound up for the political.
[02:13:55.120 --> 02:13:58.120]  They're calling for gun control. They're blaming all gun owners. They're blaming Trump.
[02:13:58.120 --> 02:14:01.120]  I mean, this is a real godsend right now to the left.
[02:14:01.120 --> 02:14:10.120]  Yeah, I can see Trump throwing AR-15s on the table as a bargaining chip. He's never been really a committed Second Amendment guy.
[02:14:10.120 --> 02:14:16.120]  I can see him being a New Yorker saying, well, maybe we need to do something about AR-15s.
[02:14:16.120 --> 02:14:26.120]  Of course, what they're not going to say socially, this could have happened in 1910 because that's how long we've had semi-automatic rifles.
[02:14:26.120 --> 02:14:32.120]  Yeah, we have mentally ill people and CNN says mass shootings are up. They're flat for 30 years, so that's a lie.
[02:14:32.120 --> 02:14:39.120]  They hyped these. It's serious. It's a problem, but we need guns to protect ourselves from lunatics like this.
[02:14:39.120 --> 02:14:53.120]  Or from the government, if it comes to that type of a tyrannical push by the government, for example, if they managed to push Trump out with this phony Russian narrative,
[02:14:53.120 --> 02:15:02.120]  it could come to some kind of a civil war. And anybody that's served in the military knows there's basically two kinds of human beings,
[02:15:02.120 --> 02:15:11.120]  armed aggressors and disarmed victims. And if you don't want to be a disarmed victim, you at least have to be an armed defender.
[02:15:11.120 --> 02:15:19.120]  And that doesn't mean a double-barreled shotgun. That means something that's the equivalent of what the police can bring to bear.
[02:15:19.120 --> 02:15:24.120]  And that's why the UN and the globalists want the semi-automatic battle rifles so that America's defences.
[02:15:24.120 --> 02:15:29.120]  They admit that. They say civilian ownership of firearms threatens the legitimate power monopoly of the state.
[02:15:29.120 --> 02:15:33.120]  That's unideer. That's the UN. They say they want a monopoly of force over you.
[02:15:33.120 --> 02:15:39.120]  Matt, stay there. We've got Roger Stone coming in to give his take. I want to ask, the big assault of the Second Amendment's here.
[02:15:39.120 --> 02:15:43.120]  We've been so confident we can defend it. I've warned people. They're planning stuff.
[02:15:43.120 --> 02:15:50.120]  And they are certainly going to use this to blame all gun owners and blame the Second Amendment. That's really the confirmed false flag here.
[02:15:50.120 --> 02:16:16.120]  We'll be back. I'm Alex Jones at newswars.com. Newswars.com. Spread that link.
[02:16:20.120 --> 02:16:32.120]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years.
[02:16:32.120 --> 02:16:39.120]  I've helped thousands and I can help you too. I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[02:16:39.120 --> 02:16:47.120]  Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better time to solve your problem.
[02:16:47.120 --> 02:16:54.120]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[02:17:18.120 --> 02:17:22.120]  My blood pressure has normalized. My diabetes has totally improved.
[02:17:22.120 --> 02:17:29.120]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[02:17:29.120 --> 02:17:37.120]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:37.120 --> 02:17:48.120]  Order your two-month supply today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com.
[02:17:48.120 --> 02:18:11.120]  Heart and Body Extract 866-295-5305 or hbextract.com.
[02:18:19.120 --> 02:18:25.120]  Number 3. We're giving you free shipping on all orders above $50.
[02:18:25.120 --> 02:18:31.120]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:18:31.120 --> 02:18:39.120]  Just go to infoworkstore.com, select your favorite product or products, click on auto-ship and choose how often you want us to send you another order.
[02:18:39.120 --> 02:18:46.120]  As you know, I coined the term 360 win and with the new auto-ship feature in infoworkslife.com, this is a sure win.
[02:18:46.120 --> 02:18:52.120]  10% off on auto-ship. Win, win, win at infoworkslife.com. Free shipping on orders above $50.
[02:18:52.120 --> 02:18:56.120]  And all out of stock items are never out of stock when you sign up for auto-ship.
[02:18:56.120 --> 02:19:01.120]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[02:19:01.120 --> 02:19:08.120]  InfoWarsLife brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[02:19:08.120 --> 02:19:13.120]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[02:19:13.120 --> 02:19:19.120]  Share this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[02:19:19.120 --> 02:19:25.120]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[02:19:25.120 --> 02:19:36.120]  Instead of containing fluoride, our super blue line is floated with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[02:19:36.120 --> 02:19:42.120]  Super blue fluoride free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[02:19:42.120 --> 02:19:45.120]  Xylitol, nano silver and iodine.
[02:19:45.120 --> 02:19:49.120]  Notice the difference with our super blue fluoride free products.
[02:19:49.120 --> 02:19:54.120]  Refresh your breath and invigorate your oral health routine at infowarsstore.com.
[02:19:54.120 --> 02:19:56.120]  That's infowarsstore.com.
[02:19:56.120 --> 02:20:22.120]  You're listening to the Alex Jones show.
[02:20:22.120 --> 02:20:32.120]  Waging war on corruption is Alex Jones coming to you live from the front lines of the info war.
[02:20:32.120 --> 02:20:41.120]  So where this took place is about 40 minutes north or about 40 miles north of Miami and just north of that is Marlago.
[02:20:41.120 --> 02:20:43.120]  The president was scheduled to be speaking near there.
[02:20:43.120 --> 02:20:47.120]  He's now canceled that trip after the shooting.
[02:20:47.120 --> 02:20:56.120]  We're looking at this and all I know is we have three witnesses that are students that credibly say not they heard shots or heard there were two shooters.
[02:20:56.120 --> 02:21:04.120]  There's a couple of them are talking to, you know, talking to the supposed shooter while the gunshots are going off.
[02:21:04.120 --> 02:21:06.120]  This is just beyond bizarre.
[02:21:06.120 --> 02:21:12.120]  But all I'm saying Roger to you, Matt Bracken via Skype, counterterrorism expert from Navy SEAL.
[02:21:12.120 --> 02:21:17.120]  We can put the map I was looking at there and break up on screen from Google Maps if we can.
[02:21:17.120 --> 02:21:19.120]  Nico Costar, head lead producer, showed it to me.
[02:21:19.120 --> 02:21:22.120]  Geographically, how does this feed into this?
[02:21:22.120 --> 02:21:25.120]  First look, the left's already blaming all gun owners.
[02:21:25.120 --> 02:21:28.120]  You know, we're collectively bad.
[02:21:28.120 --> 02:21:35.120]  Even though this is an example to own guns to protect yourself and Salon, MSNBC, CNN, they all blamed.
[02:21:35.120 --> 02:21:38.120]  Trump saying he blamed the victims.
[02:21:38.120 --> 02:21:45.120]  When he said the victims warned, now the FBI has been confirmed to have been specifically warned of him planning a mass shooting event.
[02:21:45.120 --> 02:21:47.120]  So I'm not saying he's not a shooter.
[02:21:47.120 --> 02:21:48.120]  I'm not saying that.
[02:21:48.120 --> 02:21:54.120]  I'm saying this thing and the political connections and him training at some weird, you know, white supremacist compound in Florida.
[02:21:54.120 --> 02:22:02.120]  In my experience, I mean, like 80% of those things are run by Southern Poverty Law Center, ADL, Ford Foundation.
[02:22:02.120 --> 02:22:07.120]  The left has been caught over and over again running a lot of the white supremacist groups for PR purposes.
[02:22:07.120 --> 02:22:10.120]  And infiltrating them so they can then manipulate them.
[02:22:10.120 --> 02:22:15.120]  Look, if there's a headline here, Alex, the headline is, FBI screws up again.
[02:22:15.120 --> 02:22:26.120]  I mean, if the president needed more evidence that he needs to clean house at the FBI, starting with Chris Christie's nominee as FBI director Mr. Ray,
[02:22:26.120 --> 02:22:32.120]  who was only a week ago fighting the release of the Devin Nunes memo, exposing the misdeeds of the FBI.
[02:22:32.120 --> 02:22:36.120]  They said it would cause a massacre like Oklahoma City if we released it.
[02:22:36.120 --> 02:22:37.120]  That's right.
[02:22:37.120 --> 02:22:39.120]  We need a house cleaning at the FBI.
[02:22:39.120 --> 02:22:43.120]  We need to restore that agency's reputation for integrity.
[02:22:43.120 --> 02:22:44.120]  It's been rotted away.
[02:22:44.120 --> 02:22:46.120]  It's been corroded by politics.
[02:22:46.120 --> 02:22:53.120]  That's the biggest story here because this apparently could have been prevented if the FBI was doing its job.
[02:22:53.120 --> 02:22:57.120]  Well, Matt Braggen predicted this last Friday that it would be a false flag.
[02:22:57.120 --> 02:23:00.120]  And he's saying, no, I don't want to say that at this point, which I totally agree.
[02:23:00.120 --> 02:23:01.120]  We're just looking at every angle.
[02:23:01.120 --> 02:23:03.120]  The media will misrepresent what we said.
[02:23:03.120 --> 02:23:09.120]  But regardless, the FBI got warned by the school, by other students, YouTube threats.
[02:23:09.120 --> 02:23:15.120]  I mean, this is ridiculous, but it's kind of like Phil Mudd, formerly the CIA and the FBI.
[02:23:15.120 --> 02:23:18.120]  Go on TV and say, we're going to kill the president and then do all this fake crying.
[02:23:18.120 --> 02:23:19.120]  We'll cover next segment.
[02:23:19.120 --> 02:23:22.120]  And all these lepers groups saying, go kill cops.
[02:23:22.120 --> 02:23:25.120]  If I said kill cops, I should get arrested.
[02:23:25.120 --> 02:23:28.120]  And by the way, we've had listeners threaten and the Secret Service shows up.
[02:23:28.120 --> 02:23:33.120]  So if you're a conservative, a Christian, a libertarian, pro-military, pro-America, you don't call for violence.
[02:23:33.120 --> 02:23:35.120]  You get Secret Service visits.
[02:23:35.120 --> 02:23:38.120]  But if you're openly calling for a violent revolution, you don't.
[02:23:38.120 --> 02:23:41.120]  What do you make of that, Matt Braggen?
[02:23:41.120 --> 02:23:45.120]  Well, we're still in the non-shooting phase of the Civil War.
[02:23:45.120 --> 02:23:47.120]  And right now it's playing out in the military.
[02:23:47.120 --> 02:23:57.120]  Not only guys like Phil Mudd, you know, as a former intelligence analyst, not a CIA officer, you know, field agent type,
[02:23:57.120 --> 02:24:00.120]  but just, you know, an office wonk analyst.
[02:24:00.120 --> 02:24:08.120]  Not a patriot, not an actual killer for liberty, but another little wimp that would give the orders.
[02:24:08.120 --> 02:24:16.120]  But they've also put, this is like Project Mockingbird, but right in the open, the FBI has put a stooge at CNN.
[02:24:16.120 --> 02:24:20.120]  Mike Murrell, he's a former CIA assistant director.
[02:24:20.120 --> 02:24:30.120]  He helped, you know, he was definitely a deep state operative Reed Atkinson's book, Stonewall, but Murrell's at CBS as a commentator.
[02:24:30.120 --> 02:24:33.120]  So they're putting the Mockingbird stuff straight out in the open.
[02:24:33.120 --> 02:24:38.120]  And that's when you know it's an agenda in probably states that got their talking points ready.
[02:24:38.120 --> 02:24:41.120]  So regardless, they're moving, Matt Braggen and then Roger Stone.
[02:24:41.120 --> 02:24:45.120]  The narratives get our guns, Trump's evil, everything's his fault.
[02:24:45.120 --> 02:24:46.120]  Where are they going to go with this?
[02:24:46.120 --> 02:24:49.120]  Because they're clearly lined up to go completely ape.
[02:24:49.120 --> 02:24:56.120]  Well, anybody that defends owning an AR-15 is going to be portrayed as a pro massacre person.
[02:24:56.120 --> 02:25:05.120]  The solution to this, there's two solutions to these kind of shootings that probably won't ever happen, except in local jurisdictions.
[02:25:05.120 --> 02:25:10.120]  One is arming teachers that are, for example, military combat veteran.
[02:25:10.120 --> 02:25:18.120]  We have tons and tons of teachers today that served from Desert Storm through Operation Iraqi Freedom and in Afghanistan.
[02:25:18.120 --> 02:25:24.120]  This coach that Rush even reportedly saved a bunch of kids, or Rush the shooter in the gas mask, who got shot.
[02:25:24.120 --> 02:25:26.120]  Why is it somebody like that have a concealed carry?
[02:25:26.120 --> 02:25:30.120]  Right. He actually put the barrels according to reports.
[02:25:30.120 --> 02:25:37.120]  He shot through the window of a classroom door and fired through the door.
[02:25:37.120 --> 02:25:46.120]  If there are a percentage of teachers that have a pistol in a lockbox, one of these finger combinations that they retrieve in a few seconds,
[02:25:46.120 --> 02:25:48.120]  this will be curtailed greatly.
[02:25:48.120 --> 02:25:49.120]  Exactly.
[02:25:49.120 --> 02:25:52.120]  The other thing though is the glorification of these guys.
[02:25:52.120 --> 02:25:56.120]  The exception today is this guy died and apparently tried to get away.
[02:25:56.120 --> 02:26:01.120]  Who knows if he thought he was meeting his contact, whoever that might be.
[02:26:01.120 --> 02:26:06.120]  He thought he was going to be part of an extraction plan and instead it was an arrest plan.
[02:26:06.120 --> 02:26:17.120]  The exception was that he didn't shoot himself, which tells me right away this isn't the typical Columbine or the typical shooter.
[02:26:17.120 --> 02:26:21.120]  Are you saying this points towards handlers that he thought he was going to get extracted?
[02:26:21.120 --> 02:26:26.120]  Well, it's just an odd twist. That's all I'm saying.
[02:26:26.120 --> 02:26:29.120]  It doesn't fit the regular pattern.
[02:26:29.120 --> 02:26:30.120]  It does not.
[02:26:30.120 --> 02:26:36.120]  If you want these things to stop, the other thing is to do, we have to stop showing these guys faces and names.
[02:26:36.120 --> 02:26:38.120]  He should be known after the first day 24 hours.
[02:26:38.120 --> 02:26:40.120]  It's a news story. I get it.
[02:26:40.120 --> 02:26:42.120]  And whether they're alive or dead.
[02:26:42.120 --> 02:26:47.120]  But I'll say this, he looked like a total zombie at that arraignment.
[02:26:47.120 --> 02:26:53.120]  Yes, but it's like experts can analyze him to study it for the lessons that are learned.
[02:26:53.120 --> 02:27:03.120]  But the more important thing is when the media shows his face and name over and over again, when he occupies the media spotlight for weeks,
[02:27:03.120 --> 02:27:07.120]  he is going to cause copycats.
[02:27:07.120 --> 02:27:17.120]  He should be called the parkland monster and his face should be pixelated so that there's only a negative connotation to this,
[02:27:17.120 --> 02:27:25.120]  that there's no glory. I want to go out in a blaze of glory like Dylan and Klebold, like Nicholas Cruz.
[02:27:25.120 --> 02:27:33.120]  It should be the parkland monster, the Columbine monsters, and it should be a completely negative connotation.
[02:27:33.120 --> 02:27:38.120]  I mean, goodness knows, Rolling Stone, they put the Sarnayev brother on the cover.
[02:27:38.120 --> 02:27:40.120]  They glorify it.
[02:27:40.120 --> 02:27:43.120]  They're always trying to do this because this is the culture they want.
[02:27:43.120 --> 02:27:45.120]  They have so much mental illness and so much bad stuff.
[02:27:45.120 --> 02:27:47.120]  We're all treated like criminals.
[02:27:47.120 --> 02:27:52.120]  And when Islamists run over a bunch of people in the truck, they then blame all vehicle owners.
[02:27:52.120 --> 02:27:53.120]  It's the same psychology.
[02:27:53.120 --> 02:27:56.120]  All right, Matt Bracken, enemiesfarrenanddomestic.com.
[02:27:56.120 --> 02:27:58.120]  Thank you so much for joining us.
[02:27:58.120 --> 02:27:59.120]  Thanks.
[02:27:59.120 --> 02:28:01.120]  We're going to break here, Roger, 40 seconds.
[02:28:01.120 --> 02:28:04.120]  What do you think politically is coming out of this?
[02:28:04.120 --> 02:28:07.120]  Well, first of all, you can already see the meme.
[02:28:07.120 --> 02:28:12.120]  Blaming guns, blaming gun owners, blaming the Second Amendment, blaming mental illness.
[02:28:12.120 --> 02:28:15.120]  The Israelis have a much better take on this, Alex.
[02:28:15.120 --> 02:28:18.120]  This guy was planning this seven months in advance.
[02:28:18.120 --> 02:28:19.120]  Profile.
[02:28:19.120 --> 02:28:20.120]  Exactly.
[02:28:20.120 --> 02:28:21.120]  The real story.
[02:28:21.120 --> 02:28:25.120]  When you say I'm going to be a mass shooter and kill people, you get your ass locked up
[02:28:25.120 --> 02:28:27.120]  and maybe a little electro shock.
[02:28:27.120 --> 02:28:28.120]  So where was the FBI?
[02:28:28.120 --> 02:28:31.120]  That's really what I think we have to focus on.
[02:28:31.120 --> 02:28:33.120]  The more evidence we need of house cleaning.
[02:28:33.120 --> 02:28:35.120]  And sure, I'm not a violent guy.
[02:28:35.120 --> 02:28:37.120]  And I'm against when I be sarcasm and electro shock.
[02:28:37.120 --> 02:28:40.120]  You say I'm going to go out and start killing people.
[02:28:40.120 --> 02:28:42.120]  Well, people come over to your house and they break your ribs.
[02:28:42.120 --> 02:28:45.120]  I mean, you know, they certainly come and interrogate you.
[02:28:45.120 --> 02:28:47.120]  And they put you under surveillance instead.
[02:28:47.120 --> 02:28:50.120]  I'm sick of people running their mouths about violence all the time.
[02:28:50.120 --> 02:28:53.120]  You know, I just, it's especially just makes me sick.
[02:28:53.120 --> 02:29:22.120]  We'll be right back. Stay with us.
[02:29:23.120 --> 02:29:25.120]  They are shipping free this month.
[02:29:53.120 --> 02:29:55.120]  Thank TV.com.
[02:30:23.120 --> 02:30:24.120]  Thank you.
[02:30:53.120 --> 02:30:56.120]  825-33139.
[02:31:23.120 --> 02:31:24.120]  It's a great deal at 39.
[02:31:24.120 --> 02:31:29.120]  Immune wall, beta-glucans, olive leaf, and so much more.
[02:31:29.120 --> 02:31:30.120]  It is concentrated.
[02:31:30.120 --> 02:31:32.120]  You need to go read what is in here.
[02:31:32.120 --> 02:31:38.120]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[02:31:38.120 --> 02:31:39.120]  A citrus peel blend.
[02:31:39.120 --> 02:31:41.120]  I mean, this is the next level.
[02:31:41.120 --> 02:31:43.120]  It's now available, ladies and gentlemen.
[02:31:43.120 --> 02:31:45.120]  Immune wall, I think it's beyond seasonal.
[02:31:45.120 --> 02:31:53.120]  Beta-glucan, olive leaf, and more.
[02:31:53.120 --> 02:32:19.120]  825-33139.
[02:32:24.120 --> 02:32:26.120]  Supermell Vitality and so many others.
[02:32:26.120 --> 02:32:32.120]  With its unique delivery system and proprietary manufacturing process designed for maximized effects.
[02:32:32.120 --> 02:32:36.120]  This formula is the platinum standard of multivitamin mineral products.
[02:32:36.120 --> 02:32:38.120]  And this part is most important.
[02:32:38.120 --> 02:32:45.120]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[02:32:45.120 --> 02:32:46.120]  That means it's clean.
[02:32:46.120 --> 02:32:47.120]  That means it's pure.
[02:32:47.120 --> 02:32:48.120]  And rest-secured.
[02:32:48.120 --> 02:32:50.120]  You're finding the tip of the spear in the info board.
[02:32:50.120 --> 02:32:52.120]  That's infowarslife.com.
[02:32:52.120 --> 02:32:53.120]  And vitamin mineral fusion.
[02:32:53.120 --> 02:32:55.120]  Take action now before we sell out.
[02:32:59.120 --> 02:33:02.120]  You're listening to the Alex Jones show.
[02:33:02.120 --> 02:33:04.120]  The Alex Jones show.
[02:33:32.120 --> 02:33:44.120]  Well, we've got Don Lemon out there saying that mass shootings are way up and that your chances of being killed by guns are up.
[02:33:44.120 --> 02:33:48.120]  Actually, gun crimes down close to 60% since 1993.
[02:33:48.120 --> 02:33:52.120]  And the FBI's own statistics say, well, who believes the FBI?
[02:33:52.120 --> 02:33:55.120]  Those are actual death statistics, crime statistics.
[02:33:55.120 --> 02:33:59.120]  The FBI pioneered kind of the whole library card system.
[02:33:59.120 --> 02:34:03.120]  And your statistics, the point is, is that mass shootings are not up.
[02:34:03.120 --> 02:34:06.120]  Just like great white shark attacks are not up, but they hype them.
[02:34:06.120 --> 02:34:10.120]  In the world almanac every year, it's cancer, heart attacks.
[02:34:10.120 --> 02:34:14.120]  And then number 10, 12, 15, 20, depends on the year is firearms.
[02:34:14.120 --> 02:34:17.120]  And most of that 90-plus percent is suicide.
[02:34:17.120 --> 02:34:24.120]  But Phil Mudd, the former deputy director of counterterrorism at the CIA and other pencil pusher,
[02:34:24.120 --> 02:34:26.120]  not an actual guy that took action,
[02:34:26.120 --> 02:34:29.120]  he says the government's going to kill the president.
[02:34:29.120 --> 02:34:33.120]  And he says that he's a proud, you know what, holer.
[02:34:33.120 --> 02:34:39.120]  And these stunts, well, his latest stunt is on CNN last night with Wolf Blitzer.
[02:34:39.120 --> 02:34:41.120]  It is the worst acting I've ever seen.
[02:34:41.120 --> 02:34:49.120]  He talks about how he's battled ISIS when Obama and others that he helped defended ISIS and launched the Arab Spring.
[02:34:49.120 --> 02:34:55.120]  Then he can't shed any tears, so he turns his head to the side and does this fake crying.
[02:34:55.120 --> 02:34:58.120]  You know, I've got four children, and I've seen a few of them over the years.
[02:34:58.120 --> 02:35:00.120]  They're sweet girls, especially traffic crying.
[02:35:00.120 --> 02:35:03.120]  This is really bad acting.
[02:35:03.120 --> 02:35:12.120]  So he's using the dead young people to blame all gun owners, project that onto all gun owners during these rants against the Second Amendment, Roger.
[02:35:12.120 --> 02:35:17.120]  And then I thought I would just cut then some of his other statements.
[02:35:17.120 --> 02:35:19.120]  So here's Phil Mudd.
[02:35:19.120 --> 02:35:26.120]  We're hearing these accounts. What's going through your mind as someone who used to work at the FBI?
[02:35:26.120 --> 02:35:30.120]  You think it's antiseptic? It's not.
[02:35:30.120 --> 02:35:36.120]  I talked to a terrorist who almost died because he wanted to blow up a weapon, a car bomb.
[02:35:36.120 --> 02:35:41.120]  And he was sent to blow up that car bomb by ISIS and Al Qaeda.
[02:35:41.120 --> 02:35:44.120]  And they didn't tell him he was going to blow up the car bomb.
[02:35:44.120 --> 02:35:53.120]  He detonated the car caught fire. It didn't blow up. And I talked to him after he lost a lot of his skins, his hands, his feet.
[02:35:53.120 --> 02:35:59.120]  I have ten nieces and nephews. We're talking about bump stocks. We're talking about legislation.
[02:35:59.120 --> 02:36:02.120]  A child of God is dead.
[02:36:02.120 --> 02:36:15.120]  Cannot we acknowledge in this country that we cannot accept this. I can't do it. We can't do it.
[02:36:15.120 --> 02:36:19.120]  We're going to get back to you, but you're obviously this is so emotional.
[02:36:19.120 --> 02:36:20.120]  And the officer goes to...
[02:36:20.120 --> 02:36:22.120]  The government official, government's going to kill this guy.
[02:36:22.120 --> 02:36:23.120]  Well, close your ears.
[02:36:23.120 --> 02:36:27.120]  Well, because I'm going to give you a reaction and it's personal. I'm a proud sh** holder.
[02:36:27.120 --> 02:36:32.120]  Phil Mudd, if I was going to cast somebody, it's like a lunatic, an asylum, I was the director.
[02:36:32.120 --> 02:36:40.120]  I mean, Phil Mudd, that's who, as you know, the Aida Camp Mueller's main groom of the stool is this guy.
[02:36:40.120 --> 02:36:46.120]  Yeah, I know. The first thing he needs to do is immediately contact Len Beck and get lessons on how to do the fake crying thing.
[02:36:46.120 --> 02:36:49.120]  Because that was pathetic. Pathetic.
[02:36:49.120 --> 02:36:56.120]  Let's play the clip again. Then it cuts to Obama. Remember his fake crying when he had to like touch his eyes with pepper or whatever?
[02:36:56.120 --> 02:37:01.120]  So, here's Obama who funds the air of spring, murdering hundreds of thousands of Christians.
[02:37:01.120 --> 02:37:07.120]  He's really good at killing people, supports Hillary and all her crimes. Here is Mudd once again.
[02:37:07.120 --> 02:37:13.120]  I have 10 nieces and nephews. We're talking about bump stocks. We're talking about legislation.
[02:37:13.120 --> 02:37:16.120]  A child of God is dead.
[02:37:16.120 --> 02:37:26.120]  Cannot we acknowledge in this country that we cannot accept this. I can't do a wolf. I'm sorry. We can't do it.
[02:37:26.120 --> 02:37:29.120]  I'm sorry, I can't make myself cry, Wolf. Please get away.
[02:37:29.120 --> 02:37:33.120]  We're going to get back to you, but you're obviously, this is so emotional.
