[00:00:00.049 --> 00:00:00.409]  Firearms!
[00:49:25.064 --> 00:49:26.745]  Thank you for taking my call.
[00:49:26.745 --> 00:49:27.005]  Thank you.
[00:49:28.843 --> 00:49:33.827]  I wanted to point out, uh, if you got a chance, there was a big, uh, huge article in the Houston Chronicle today.
[00:49:33.827 --> 00:49:38.110]  The headline is, Guns Sold Here, Kill in Mexico.
[00:49:39.457 --> 00:49:44.538]  They're blaming the Houston gun shop owners for selling the weapons to the Mexican drug cartels.
[00:49:44.538 --> 00:49:46.999]  I've seen similar stories.
[00:49:46.999 --> 00:49:50.320]  Any way to demonize the Second Amendment and disarm us?
[00:49:50.320 --> 00:49:50.920]  No.
[00:49:50.920 --> 00:49:52.980]  You have a drug war going on with the U.S.
[00:49:52.980 --> 00:49:58.942]  funding tens of billions a year down there to send their drug cartels after the other drug cartels.
[00:49:58.942 --> 00:50:03.123]  So there is a war on drugs, but it's a fight between banks in the U.S.
[00:50:03.123 --> 00:50:04.163]  and England and Europe
[00:50:04.643 --> 00:50:18.334]  Against the cartels that are down there that aren't paying their cut and yes, I know they're now demonizing the Second Amendment Using the incredible crime wave the 2,000 dead on the Texas border 11 months so far over 2,000 dead
[00:50:19.793 --> 00:50:21.755]  On the Texas-Mexico border.
[00:50:21.755 --> 00:50:31.161]  What about the other Houston Chronicle articles about tens of thousands of violent, felon, illegal aliens released out of Houston jails alone because the feds won't come pick them up?
[00:50:31.161 --> 00:50:32.322]  I mean rapists.
[00:50:32.322 --> 00:50:33.363]  I mean murderers.
[00:50:33.363 --> 00:50:35.825]  No, they turn crime loose on us.
[00:50:35.825 --> 00:50:37.906]  They allow lawlessness to take place.
[00:50:37.906 --> 00:50:40.809]  Then they hire more cops and won't let them fight crime.
[00:50:40.809 --> 00:50:43.130]  They got them out there writing old ladies tickets!
[00:50:43.130 --> 00:50:44.191]  Exactly.
[00:50:44.191 --> 00:50:44.751]  Exactly.
[00:50:44.751 --> 00:50:45.372]  And you know what?
[00:50:46.076 --> 00:50:52.660]  Everybody should write a letter to the editor telling the Chronicle, you know, how dare you criticize these gun shop owners.
[00:50:52.660 --> 00:50:56.102]  I mean, what can stop somebody from selling somebody a car that wants to go out and shoot somebody?
[00:50:56.102 --> 00:51:09.350]  Look, I saw a month ago the Justice Department saying, we've got to close the gun show loophole, which means you can't privately sell a gun to somebody at your house, at a gun show, you can't sell it to your neighbor, you can't buy a gun from your grandpa or your cousin.
[00:51:09.350 --> 00:51:12.852]  They want to shut down all gun sales that aren't registered.
[00:51:12.852 --> 00:51:13.312]  Exactly.
[00:51:13.312 --> 00:51:15.133]  And that's what NICS is, it is registered.
[00:51:17.418 --> 00:51:19.679]  And I'll tell you what, man.
[00:51:19.679 --> 00:51:22.539]  It's just so frustrating.
[00:51:22.539 --> 00:51:25.980]  Oh, and the article pointed out all these purchases were fraudulent.
[00:51:25.980 --> 00:51:27.361]  It's right there.
[00:51:27.361 --> 00:51:28.521]  Fraudulent purchases.
[00:51:28.521 --> 00:51:32.922]  I mean, they're a bunch of buffoons.
[00:51:32.922 --> 00:51:34.663]  It's total baloney.
[00:51:34.663 --> 00:51:35.963]  The Mexican drug cartels
[00:51:37.452 --> 00:51:43.234]  Narcotics is a $400 billion a year trade just in the United States a year.
[00:51:43.234 --> 00:51:47.636]  Okay, they're not buying their guns at the gun shows in Houston.
[00:51:47.636 --> 00:51:49.597]  Are low-level drug dealers doing it?
[00:51:49.597 --> 00:51:50.597]  Absolutely!
[00:51:50.597 --> 00:51:53.999]  More reason why I need my Second Amendment to protect myself.
[00:51:53.999 --> 00:51:54.779]  I appreciate your call.
[00:51:54.779 --> 00:51:57.520]  By the way, crime has been exploding for two years.
[00:51:57.520 --> 00:51:58.661]  Crime peaked in 1991.
[00:51:58.661 --> 00:52:01.062]  The highest it had ever been.
[00:52:01.062 --> 00:52:04.543]  Then it went down about 20%, depending on which state you're in, but on average.
[00:52:04.543 --> 00:52:06.524]  Just pull up Unified Crime Statistics.
[00:52:07.654 --> 00:52:09.155]  Violent crime statistics.
[00:52:09.155 --> 00:52:10.855]  Now it's shooting back up.
[00:52:10.855 --> 00:52:12.396]  It's shooting back up.
[00:52:12.396 --> 00:52:16.458]  And that's because a bad economy always causes more crime.
[00:52:16.458 --> 00:52:20.059]  I mean, here in Austin, I'm reading about carjackings, home invasions, everywhere.
[00:52:20.059 --> 00:52:22.421]  But they won't say it's because crime's gone up.
[00:52:22.421 --> 00:52:24.441]  Well, let me tell the listeners this all over the country.
[00:52:24.441 --> 00:52:25.882]  Crime has exploded.
[00:52:25.882 --> 00:52:26.882]  Lock your cars.
[00:52:26.882 --> 00:52:28.223]  Lock your houses.
[00:52:28.223 --> 00:52:29.203]  Get a firearm.
[00:52:29.203 --> 00:52:30.644]  Learn how to use it.
[00:52:30.644 --> 00:52:32.505]  And kill people that come in your house.
[00:52:32.825 --> 00:52:34.325]  That's why I love living in Texas.
[00:52:34.325 --> 00:52:35.626]  I don't live in New York.
[00:52:35.626 --> 00:52:40.908]  I don't live in Chicago where they've totally disarmed the people so they have the highest crime rates and all the criminals move there.
[00:52:40.908 --> 00:52:52.851]  I love living in a state like Florida or Texas or Arizona or Vermont where you don't have hardly any home invasions compared to those because they know they'll get killed!
[00:52:52.851 --> 00:52:55.212]  You come in my house, I'm gonna kill you!
[00:52:55.212 --> 00:52:57.773]  You bastard murdering criminals!
[00:52:57.773 --> 00:52:58.673]  Stay away from me!
[00:52:59.685 --> 00:53:03.807]  Every day I look at my children and my wife, and I don't like punks and criminals on the streets.
[00:53:03.807 --> 00:53:05.428]  And I'm... Listen.
[00:53:05.428 --> 00:53:06.029]  Google this.
[00:53:06.029 --> 00:53:07.229]  Google this for me in there, guys.
[00:53:07.229 --> 00:53:09.030]  I can't type while I talk.
[00:53:09.030 --> 00:53:14.193]  They had a story two weeks ago in the Houston Chronicle about tens of thousands of violent felons being released.
[00:53:14.193 --> 00:53:18.576]  Google... What was it?
[00:53:18.576 --> 00:53:21.618]  400,000 criminals released from Houston jails.
[00:53:21.618 --> 00:53:22.518]  That's the real number.
[00:53:22.518 --> 00:53:23.779]  And you're like, how is that possible?
[00:53:24.665 --> 00:53:26.847]  Well, Houston Metro is 8 million people.
[00:53:26.847 --> 00:53:28.348]  Half of them are illegal aliens.
[00:53:28.348 --> 00:53:33.732]  It's not that Mexicans are criminals from Mexico, it's that the criminals come up here, because this is the happy hunting ground.
[00:53:33.732 --> 00:53:38.336]  Remember the guy that went around murdering dozens of people on the railways?
[00:53:38.336 --> 00:53:40.858]  He kept getting caught, but they would always release him?
[00:53:40.858 --> 00:53:41.778]  Pull that story up! 400,000!
[00:53:44.187 --> 00:53:45.468]  Houston Chronicle.
[00:53:45.468 --> 00:53:48.630]  I want something done about it right now!
[00:53:48.630 --> 00:53:51.432]  Don't you be out there writing tickets on the highway all day!
[00:53:51.432 --> 00:54:00.179]  You get out there and you stop the crime wave invasion from Mexico and keep your hands off my guns!
[00:54:00.179 --> 00:54:03.241]  Joshua in Florida, you're on the air, go ahead.
[00:54:03.241 --> 00:54:04.442]  Hey, how you doing Alex?
[00:54:04.442 --> 00:54:06.023]  Good.
[00:54:06.023 --> 00:54:10.166]  I wanted to comment on the person getting trampled there at Walmart.
[00:54:10.166 --> 00:54:12.187]  I watched the article, the story there on MSNBC.
[00:54:13.519 --> 00:54:21.941]  And they use that pretty quickly to spin it to say, well, you know, this could be avoided if we had more people for crowd control or more law enforcement.
[00:54:21.941 --> 00:54:23.222]  What do you think about that?
[00:54:23.222 --> 00:54:27.183]  No, we need the public to not turn into savages, as the AP said.
[00:54:27.183 --> 00:54:34.525]  And we, again, you cannot, with a million cops, with a billion cops, you can't control a society degenerating.
[00:54:34.525 --> 00:54:37.166]  All you get is the degenerated public becoming cops.
[00:54:38.371 --> 00:54:39.532]  This is how tyranny works.
[00:54:39.532 --> 00:54:51.181]  They break down society by design, the social engineers, then they terrify the normal people, the middle class people, into accepting tyranny in the name of being safe.
[00:54:51.181 --> 00:54:52.763]  It's just unbelievable.
[00:54:52.763 --> 00:54:56.586]  They need to talk about the fact that the public is turning into animals.
[00:54:56.586 --> 00:54:57.106]  Absolutely.
[00:54:57.106 --> 00:55:02.010]  I also wanted to say, I was researching a while back, have you heard anything about SafeLink Wireless?
[00:55:02.774 --> 00:55:09.417]  I saw that and what that is is the government is going to be giving cell phones to low-income families, to anyone who doesn't have a cell phone.
[00:55:09.969 --> 00:55:12.771]  Is that just to make sure that everyone is on the grid?
[00:55:12.771 --> 00:55:15.092]  Yes, the Telecommunications Act of 96.
[00:55:15.092 --> 00:55:19.014]  It's all satellite triangulated through the cell towers, GPS.
[00:55:19.014 --> 00:55:22.156]  They listen to you in live time, not just track you.
[00:55:22.156 --> 00:55:22.916]  Thank you for the call.
[00:55:22.916 --> 00:55:23.517]  Let's go ahead.
[00:55:23.517 --> 00:55:25.778]  I got mad earlier thinking about these criminals.
[00:55:25.778 --> 00:55:27.239]  George in Texas.
[00:55:27.239 --> 00:55:28.660]  George, you're on the air.
[00:55:28.660 --> 00:55:29.700]  How are you doing, Alex?
[00:55:29.700 --> 00:55:30.761]  Good.
[00:55:30.761 --> 00:55:36.464]  You know, when I lived in Florida, you know, thank God I had a 9mm because I tell you, people were trying to take the copper out of
[00:55:36.843 --> 00:55:41.666]  The copper tubing out of my air conditioner, and I was there, I was glad I had a gun.
[00:55:41.666 --> 00:55:50.031]  They need to die, and then that'll teach these scum, because what happens is they invade people's houses, and then nothing's done, and they end up killing and raping.
[00:55:50.031 --> 00:55:51.832]  I'm tired of innocents being hurt.
[00:55:51.832 --> 00:55:55.714]  I love it when home invaders get their butts shot.
[00:55:55.714 --> 00:55:57.735]  I love it when a piece of lead gets parked in their heart.
[00:55:58.925 --> 00:56:05.754]  Well, anyway, uh, I remember, uh, back, like, when, uh, when they were starting to ban AK-47s, they had a... They never banned AK-47s.
[00:56:05.754 --> 00:56:07.837]  You bought a $250 stamp.
[00:56:07.837 --> 00:56:11.942]  The MAC-90 semi-automatic variants of those is what they tried to restrict.
[00:56:12.492 --> 00:56:17.438]  Well, anyway, uh, this family put a gun-free home sign in their front yard.
[00:56:17.438 --> 00:56:18.299]  Guess what?
[00:56:18.299 --> 00:56:19.440]  They got invaded.
[00:56:19.440 --> 00:56:20.762]  Absolutely!
[00:56:20.762 --> 00:56:26.409]  Listen, you pull up the Chicago crime statistics, they've had 20 people killed in one day there this year.
[00:56:26.409 --> 00:56:28.771]  Because they know the public is disarmed.
[00:56:28.771 --> 00:56:30.633]  And of course, and the police are corrupt.
[00:56:30.633 --> 00:56:32.636]  The son of the mob boss runs the city.
[00:56:33.311 --> 00:56:33.911]  Of course!
[00:56:33.911 --> 00:56:37.073]  Anywhere they take your guns, you have tyranny.
[00:56:37.073 --> 00:56:37.934]  Appreciate your call.
[00:56:37.934 --> 00:56:39.415]  I'm going to jam in one more.
[00:56:39.415 --> 00:56:41.376]  Jaja, in New York.
[00:56:41.376 --> 00:56:43.257]  You're on the air worldwide.
[00:56:43.257 --> 00:56:44.117]  What's up, Alex?
[00:56:44.117 --> 00:56:45.298]  How are you doing today?
[00:56:45.298 --> 00:56:47.159]  Good.
[00:56:47.159 --> 00:56:49.981]  Those stampedes, first of all, it's totally third world.
[00:56:49.981 --> 00:56:53.183]  I used to live in Brazil, and that is totally typical of a third world mentality.
[00:56:53.183 --> 00:56:54.343]  So we are degenerating.
[00:56:54.343 --> 00:56:58.366]  Now, I got to... No, we are becoming a third world nation.
[00:56:58.366 --> 00:57:00.267]  We're totally becoming... And everything that comes with it.
[00:57:01.866 --> 00:57:10.529]  It's really, it is fully brainwashing people, and they think it's okay, and people are going to get used to it, and then you're going to see it, and then they're not going to talk about it on the news, okay?
[00:57:10.529 --> 00:57:11.649]  But let me tell you something.
[00:57:11.649 --> 00:57:13.710]  An ex-boyfriend of mine got in touch with me.
[00:57:13.710 --> 00:57:15.671]  He's a FEMA project officer.
[00:57:15.671 --> 00:57:20.972]  I hit him with a whole bunch of information, and I said, you work for the devil, and he hit me back, and he used to be a polk rocker.
[00:57:20.972 --> 00:57:22.173]  He got me on the phone.
[00:57:22.173 --> 00:57:26.174]  He told me he'd seen a lot of stuff, and I got all the information today.
[00:57:26.174 --> 00:57:29.555]  He said that basically he's an engineer, he's an electrician,
[00:57:30.414 --> 00:57:31.935]  He had a company there.
[00:57:31.935 --> 00:57:34.778]  They're totally compartmentalized over there.
[00:57:34.778 --> 00:57:37.240]  They're totally kept where they don't know certain things.
[00:57:37.240 --> 00:57:41.823]  They have shopping centers all over the United States that they're keeping off-limits.
[00:57:41.823 --> 00:57:43.084]  They have armed guards.
[00:57:43.084 --> 00:57:44.806]  And he has cards and everything.
[00:57:44.806 --> 00:57:46.667]  And even if they see them every day... That's been in the news.
[00:57:46.667 --> 00:57:49.890]  They're moving in bunks and generators into power plants.
[00:57:49.890 --> 00:57:50.250]  Stay there.
[00:57:50.250 --> 00:57:51.771]  I want to hear more about it after the news.
[00:57:51.771 --> 00:57:52.892]  Will you hold to the news with us?
[00:57:52.892 --> 00:57:54.253]  Of course!
[00:57:54.253 --> 00:57:55.575]  I put her on hold, Jaja.
[00:57:57.037 --> 00:58:02.983]  And we'll get to Ian, David, Ralph, Mike, and many, many others when the second hour continues.
[00:58:02.983 --> 00:58:05.426]  And folks, they've trained you to not get mad.
[00:58:05.426 --> 00:58:06.947]  They've trained you to not get upset.
[00:58:06.947 --> 00:58:08.969]  They've trained you to not stand up.
[00:58:08.969 --> 00:58:11.612]  You're only allowed to get mad about the BCS rankings.
[00:58:11.612 --> 00:58:13.774]  You're only allowed to care about football and baseball.
[00:58:13.774 --> 00:58:18.779]  Instead of really getting angry about enslavement and tyranny, you're meant to get angry about that.
[00:58:18.779 --> 00:58:19.620]  We'll be right back.
[00:58:19.620 --> 00:58:20.101]  Stay with us.
[00:58:20.911 --> 00:58:21.832]  Hi, this is Ted Anderson.
[00:58:21.832 --> 00:58:23.973]  Did you miss your favorite shows on GCN today?
[00:58:23.973 --> 00:58:31.998]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[00:58:31.998 --> 00:58:38.042]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[00:58:38.042 --> 00:58:39.143]  It's simple to use.
[00:58:39.143 --> 00:58:43.846]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[00:58:43.846 --> 00:58:44.827]  Don't get discouraged.
[00:58:44.827 --> 00:58:46.528]  Get On Demand, free!
[00:58:46.528 --> 00:58:49.370]  Thanks again to the listeners at GCNlive.com.
[00:58:51.727 --> 00:58:52.807]  Looking for profit?
[00:58:52.807 --> 00:58:54.428]  Looking for safety and security?
[00:58:54.428 --> 00:58:57.769]  The $10 Olympic commemorative gold coin offers both.
[00:58:57.769 --> 00:59:05.412]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:59:05.412 --> 00:59:09.134]  Falling dollar values and inflation make this likely to happen again.
[00:59:09.134 --> 00:59:10.995]  Secure your position today.
[00:59:10.995 --> 00:59:12.255]  Call Midas Resources at 1-800-686-2237.
[00:59:12.255 --> 00:59:12.515]  That's 1-800-686-2237.
[00:59:21.582 --> 00:59:23.323]  Hello, I'm Steve Schenck.
[00:59:23.323 --> 00:59:30.305]  For the past several months, folks have constantly asked me to give them the date as to when they should be finished stocking up on food.
[00:59:30.305 --> 00:59:40.408]  We've been so beaten up by stock market banking, housing, and unemployment crashes that we're desensitized and frozen inactive like the frog being unknowingly cooked in gradually increasingly hot water.
[00:59:40.908 --> 00:59:41.868]  Well, snap out of it.
[00:59:41.868 --> 00:59:43.349]  We now have a deadline.
[00:59:43.349 --> 00:59:45.390]  Joe Biden said it's going to happen.
[00:59:45.390 --> 00:59:57.295]  Former Secretary of State Colin Powell went on CBS Meet the Press and pointed to about January 22nd as the time a major international incident would force the new president to make unpopular decisions.
[00:59:57.295 --> 01:00:02.957]  Well, I take the general at his word and my best advice is to have your food in your possession prior to the inauguration.
[01:00:03.437 --> 01:00:08.858]  Contact efoodsdirect.com for your supplies prior to this deadline for disaster.
[01:00:08.858 --> 01:00:13.199]  Ask yourself, is it better to have too much too soon or too little too late?
[01:00:13.199 --> 01:00:21.461]  Call 800-409-5633 or on the web efoodsdirect.com What do you think?
[01:00:21.461 --> 01:00:28.823]  Those stories in your weekend weather forecast are just... You are listening to GCN!
[01:00:28.823 --> 01:00:29.783]  It's five o'clock.
[01:00:34.916 --> 01:00:36.578]  IRN USA Radio News.
[01:00:36.578 --> 01:00:37.760]  I'm Jody Jordan.
[01:00:37.760 --> 01:00:41.544]  There's more fallout from the terrorist attacks in Mumbai, India.
[01:00:41.544 --> 01:00:46.610]  The country's Home Minister has resigned amid criticism of how the situation was handled.
[01:00:46.610 --> 01:00:52.897]  The death toll is more than 170, but could rise as officials search the 10 attack sites.
[01:00:53.726 --> 01:00:56.507]  This worshipper says prayers are important right now.
[01:00:56.507 --> 01:01:01.988]  I think the entire community joined together in praying for all those who have departed from this world.
[01:01:01.988 --> 01:01:09.771]  There are fears that anti-government protests in Thailand may be spreading beyond two occupied airports, which have been shut down for days.
[01:01:09.771 --> 01:01:10.831]  Here's Mike Casey.
[01:01:10.831 --> 01:01:12.551]  There's no sign of that changing.
[01:01:12.551 --> 01:01:18.393]  Authorities said on Saturday that the main international airport would be shut at least until Monday.
[01:01:18.393 --> 01:01:21.794]  And at this point, with the standoff continuing, no one can really
[01:01:22.521 --> 01:01:24.908]  Vision, the airport's hoping until midweek.
[01:01:24.908 --> 01:01:27.254]  The protesters want the government to resign.
[01:01:27.254 --> 01:01:30.001]  This is IRN USA Radio News.
[01:01:31.394 --> 01:01:35.876]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[01:01:35.876 --> 01:01:45.161]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[01:01:45.161 --> 01:01:47.163]  Hi, how in the world are you anyway?
[01:01:47.163 --> 01:01:50.805]  I'm Andy Willoughby with the 3-Step Plan Home Business System.
[01:01:50.805 --> 01:01:55.127]  The 3-Step Plan helps people feel better, look better, and make more money.
[01:01:55.587 --> 01:02:00.191]  History has shown that our product line actually grows during an economic slowdown.
[01:02:00.191 --> 01:02:07.497]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[01:02:08.012 --> 01:02:17.156]  With the 3-Step Plan you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[01:02:17.156 --> 01:02:19.097]  Don't wait for things to get worse.
[01:02:19.097 --> 01:02:21.338]  Check out the 3-Step Plan today.
[01:02:21.338 --> 01:02:23.539]  Go to 3stepplan.com or call 800-480-2102.
[01:02:23.539 --> 01:02:23.579]  800-480-2102.
[01:02:31.716 --> 01:02:37.765]  Today's first possible landing time for the shuttle Endeavour has been scratched at the Kennedy Space Center.
[01:02:37.765 --> 01:02:40.989]  The touchdown is now scheduled for 2.54 p.m.
[01:02:40.989 --> 01:02:42.171]  Eastern Time.
[01:02:42.171 --> 01:02:46.557]  The problem is weather, with high winds and possible thunderstorms in the forecast.
[01:02:47.327 --> 01:02:49.809]  The landing could be delayed until tomorrow.
[01:02:49.809 --> 01:02:52.090]  Brian Lunney is a NASA Flight Director.
[01:02:52.090 --> 01:02:57.674]  We're going to be evaluating that and checking out the weather at KSC, making sure that it's a good, safe place to go land.
[01:02:57.674 --> 01:03:02.457]  And if it's not, we'll look at Monday, we'll look at Edwards and decide then where to go.
[01:03:02.457 --> 01:03:09.242]  And it appears a program that provides government-authorized heroin to hardened addicts in Switzerland will become permanent.
[01:03:09.924 --> 01:03:12.846]  Projections show voters approving it by 69%.
[01:03:12.846 --> 01:03:19.589]  And the New York City Transit System doesn't want subway commuters to get in trouble with teachers or bosses.
[01:03:19.589 --> 01:03:25.492]  That's why they're giving out excuse notes to people who are late for school or work due to subway delays.
[01:03:25.492 --> 01:03:29.294]  For more news and analysis, log on to irnnews.com.
[01:03:31.269 --> 01:03:33.990]  This Christmas, give a gift that's a double blessing.
[01:03:33.990 --> 01:03:37.130]  A gift that helps the poor and opens the door for the gospel.
[01:03:37.130 --> 01:03:43.172]  When you bless a poor family in Asia with a goat, a chicken, or a water buffalo, you provide them a source of income.
[01:03:43.172 --> 01:03:47.973]  And through Gospel for Asia, you also open the door to share the good news of Jesus.
[01:03:47.973 --> 01:03:50.794]  This Christmas, give a gift that's a double blessing.
[01:03:50.794 --> 01:03:54.635]  Click the Gospel for Asia's Christmas gift catalog banner at pointofview.net or call 800-613-5570.
[01:03:54.635 --> 01:03:54.855]  That's 800-613-5570.
[01:04:01.713 --> 01:04:08.387]  President-elect Barack Obama is turning a once bitter political rivalry into a high-level partnership.
[01:04:09.096 --> 01:04:10.337]  Here's Bob Eller.
[01:04:10.337 --> 01:04:21.384]  Advisors say Obama has for several months envisioned Hillary Clinton as his top diplomat, and Democratic officials say he will announce at a Chicago news conference he's nominating her.
[01:04:21.384 --> 01:04:34.692]  While some Democrats and government insiders have questioned whether Clinton is too independent and too politically ambitious to serve, advisors say the president-elect believes Clinton brings instant stature and credibility to U.S.
[01:04:34.692 --> 01:04:38.455]  diplomatic efforts, and that outweighs any political downside.
[01:04:38.975 --> 01:04:40.256]  Bob Eller, Washington.
[01:04:40.256 --> 01:04:45.441]  It could be a miserable drive home for many holiday travelers along the East Coast.
[01:04:45.441 --> 01:04:55.649]  And flying as well, like out of Philadelphia, where international airport spokesman Victoria Lufka says heavy rains are causing two-hour delays for some flights.
[01:04:55.649 --> 01:05:00.994]  We certainly recommend that our travelers and anyone who's picking up or dropping off
[01:05:01.454 --> 01:05:05.157]  Check the status of their flights by contacting their airline directly.
[01:05:05.157 --> 01:05:11.523]  Some snow in New York State and the southern portion of the Great Lakes region could also cause a problem.
[01:05:11.523 --> 01:05:17.748]  Jesse Ayazana says he got up at 5.30 this morning to catch a flight from New York home.
[01:05:17.748 --> 01:05:21.371]  It's not fun waking up this early to get on a plane ever.
[01:05:21.371 --> 01:05:24.914]  Elsewhere around the country, the weather is much more promising.
[01:05:25.939 --> 01:05:29.761]  I'm Jody Jordan for IRN USA Radio News.
[01:05:29.761 --> 01:05:32.843]  The headlines are clear.
[01:05:32.843 --> 01:05:35.764]  The worldwide economic collapse is here.
[01:05:35.764 --> 01:05:38.746]  The military is being positioned for martial law.
[01:05:38.746 --> 01:05:40.767]  The mark of the beast is at hand.
[01:05:40.767 --> 01:05:44.069]  Governments are calling for a new world cashless economic system.
[01:05:44.069 --> 01:05:47.731]  Having a long-term food solution is your only hope to stay free.
[01:05:48.731 --> 01:05:52.374]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[01:05:52.374 --> 01:05:55.756]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[01:05:55.756 --> 01:05:58.618]  For true patriots and homesteaders wanting food insurance.
[01:05:58.618 --> 01:06:02.781]  That's over 5 pounds of rare historic seeds for a penny per seed.
[01:06:02.781 --> 01:06:06.443]  15,000 seeds that will feed a family healthy food for 7 years.
[01:06:06.443 --> 01:06:15.569]  Big John Lipscomb, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him.
[01:06:15.569 --> 01:06:17.050]  Restaurants and small delis.
[01:06:17.050 --> 01:06:18.111]  Don't buy from copycats.
[01:06:18.131 --> 01:06:20.813]  Prepare yourself for a talk radio experience like no other.
[01:06:20.813 --> 01:06:21.934]  He stands for truth.
[01:06:21.934 --> 01:06:23.295]  He stands for justice.
[01:06:48.092 --> 01:06:50.555]  He stands for what's right.
[01:06:50.555 --> 01:06:53.839]  This is the Alex Jones Show.
[01:06:53.839 --> 01:06:56.762]  Call Alex now, toll free at 877-590-5525.
[01:06:56.762 --> 01:07:00.867]  Now live from Austin, Texas, here's Alex Jones.
[01:07:09.355 --> 01:07:15.877]  We are locked and loaded on this 30th day of November 2008 in hour number two.
[01:07:15.877 --> 01:07:19.459]  Thank you so much for joining us this evening.
[01:07:19.459 --> 01:07:31.503]  We'll talk about real issues, things that actually affect all of us as free human beings here on this blue marble spinning through the deep dark vastness of the cosmos in the Milky Way.
[01:07:31.503 --> 01:07:36.745]  By the way, I'm gonna go back to your calls right now and talk about FEMA with Zsa Zsa from New York.
[01:07:36.745 --> 01:07:38.606]  But last week,
[01:07:39.602 --> 01:07:59.593]  The head of immigration in England, high-level position, was arrested for releasing documents about how the government secretly was legalizing basically all the illegal aliens and putting a bunch of them in high-level government security jobs.
[01:08:00.310 --> 01:08:05.879]  And they arrested him under terrorism charges under these new powers where they don't need any evidence.
[01:08:05.879 --> 01:08:09.043]  Another story here from the Washington Post, up on Drug Report right now.
[01:08:09.043 --> 01:08:11.768]  Police treatment of journalists prompts outcry in France.
[01:08:11.768 --> 01:08:13.771]  Mainline journalists criticizing the government.
[01:08:14.733 --> 01:08:21.359]  The new police wearing armbands came and arrested him, manhandled him, beat him in front of his children, and did sexual things to him.
[01:08:21.359 --> 01:08:22.700]  I can't read out of the Washington Post.
[01:08:22.700 --> 01:08:23.661]  It's too graphic.
[01:08:23.661 --> 01:08:24.962]  In front of his children.
[01:08:24.962 --> 01:08:26.583]  Just like they do on 24.
[01:08:26.583 --> 01:08:27.124]  They teach it.
[01:08:27.124 --> 01:08:29.445]  Torturing people in front of their kids gets answers.
[01:08:29.445 --> 01:08:31.487]  Torturing children in front of their parents gets answers.
[01:08:31.487 --> 01:08:32.108]  See?
[01:08:32.108 --> 01:08:33.509]  Training you to accept evil.
[01:08:34.480 --> 01:08:37.866]  Twisting your soul, so you'll go along with being oppressed.
[01:08:37.866 --> 01:08:44.637]  That's why the Romans had the gladiatorial events, to see citizens being killed and murdered, to make it a spectacle, to make it acceptable.
[01:08:44.637 --> 01:08:47.402]  This is mind control, folks.
[01:08:47.402 --> 01:08:47.963]  Same thing here.
[01:08:48.752 --> 01:09:05.947]  And then the public turns into, basically, savages, and they stampede people at Walmart, they fight over goods, they don't care about their neighbors, and the public, there's not even outcry over, oh, AP reports 90% of the formula has melamine, deadly poison in it.
[01:09:05.947 --> 01:09:10.171]  The FDA comes out and says, well, yeah, it kills people in other countries, but not here.
[01:09:10.171 --> 01:09:13.634]  We're saying it's not bad for you.
[01:09:13.634 --> 01:09:14.214]  That's right.
[01:09:14.214 --> 01:09:14.735]  You heard me right.
[01:09:15.805 --> 01:09:16.706]  It's been a big news item.
[01:09:16.706 --> 01:09:18.567]  I'm sure you've already heard about it, separate from the show.
[01:09:18.567 --> 01:09:19.848]  But I want you to check that for yourselves.
[01:09:19.848 --> 01:09:21.049]  That's hard to believe.
[01:09:21.049 --> 01:09:25.512]  It's true, though.
[01:09:25.512 --> 01:09:28.654]  Okay, let's go ahead and go back to Zsa Zsa in New York.
[01:09:28.654 --> 01:09:31.115]  She was talking to a friend who's an engineer with FEMA.
[01:09:31.115 --> 01:09:34.417]  Talked about how compartmentalized it is, how secretive it is.
[01:09:34.417 --> 01:09:37.939]  But mainstream news reports, they built FEMA camps, caught new government.
[01:09:37.939 --> 01:09:39.000]  They've secretly hired 26,000 preachers.
[01:09:40.621 --> 01:09:44.983]  On government payroll, to teach their flocks to turn in their guns, submit to government.
[01:09:44.983 --> 01:09:58.851]  We're being set up as the chumps, so when the public finds out that tens of trillions have been stolen, it's 7.8 trillion right now, but it will be tens of trillions, by foreign banks in control of our government, there'll be nothing we can do because a police state will be in place.
[01:09:58.851 --> 01:10:01.853]  And it'll be okay, because it'll be Barack Obama carrying it out.
[01:10:01.853 --> 01:10:04.394]  Not that wicked George Bush, who helped set it all up.
[01:10:04.935 --> 01:10:06.497]  Because they're on the same team.
