[00:00.000 --> 00:13.000]  from the front lines of the information war it's alex jones
[54:25.000 --> 54:37.000]  Well, what do they teach in university would be under the topic of Keynesianism or essentially planned economic models where economists get together and they plan the economy for the betterment of all.
[54:37.000 --> 54:38.000]  That's a work.
[54:38.000 --> 54:41.000]  That's not a model that ever worked really.
[54:41.000 --> 54:42.000]  You could say socialism.
[54:42.000 --> 54:44.000]  We don't really have capitalism right now.
[54:44.000 --> 54:45.000]  We have crony capitalism.
[54:45.000 --> 54:47.000]  And the problem is that we don't have sound money.
[54:47.000 --> 54:48.000]  We don't have gold.
[54:48.000 --> 54:51.000]  Certainly is not a standard for our money anymore.
[54:51.000 --> 54:54.000]  Bitcoin could be because it is hard money like gold.
[54:54.000 --> 54:58.000]  But that's not a that's not a unit of account America either for transactions.
[54:58.000 --> 55:01.000]  We have fiat money and fiat money is easily printed.
[55:01.000 --> 55:07.000]  And then we have a bunch of plutocrats and kleptocrats who keep changing the laws to make it easier to commit fraud.
[55:07.000 --> 55:10.000]  Because they have the first use of the money, which then makes them kinch.
[55:10.000 --> 55:11.000]  They can't tell in effect.
[55:11.000 --> 55:12.000]  That's right.
[55:12.000 --> 55:18.000]  That's why all the zip codes around Washington and around the central bank are very rich because they are the ones who see the money first.
[55:18.000 --> 55:24.000]  They buy stuff that goes up in price like a rare painting, you know, a ski chalet.
[55:24.000 --> 55:27.000]  And these things are part of the assets that go up as they print money.
[55:27.000 --> 55:36.000]  And by the time it reaches mom and pop store owner in the middle of the country, it's lost all of its ability to generate any kind of genuine income improvement.
[55:36.000 --> 55:38.000]  Why is there such an east coast, west coast?
[55:38.000 --> 55:45.000]  There's all the people there, but you just average people are run into those literally think Midwesterners or Texans or people in the southwest are idiots.
[55:45.000 --> 55:47.000]  And they make fun of us and laugh at everybody.
[55:47.000 --> 55:50.000]  And it's not even true what they say.
[55:50.000 --> 55:58.000]  Well, because if you are on the east coast in New York and you're around Wall Street, you have the hand on the button that prints the money.
[55:58.000 --> 56:06.000]  And you make it easier for your own conscious if you vilify or dehumanize people and saying they're less than human.
[56:06.000 --> 56:10.000]  They're saying I'm printing lots of money for my own benefit and I'm destroying the American economy.
[56:10.000 --> 56:16.000]  And the way that I can go to sleep at night is to say people in the Midwest are deplorables like Hillary Clinton would say.
[56:16.000 --> 56:24.000]  Essentially, that's a slippery slope to dehumanization or scapegoating of people, which of course didn't work out in the 30s did in 1930s.
[56:24.000 --> 56:30.000]  You had a massive dehumanization scapegoating of an entire ethnic group and that led to catastrophe.
[56:30.000 --> 56:37.000]  But we see the same thing happening in America now where the people who are printing the money are treating everybody else as less than human.
[56:37.000 --> 56:41.000]  And that is a slippery slope to a political catastrophe.
[56:41.000 --> 56:45.000]  Well, I think we're down the slope now where they're saying attack Trump supporters everywhere.
[56:45.000 --> 56:49.000]  And it doesn't even get covered in the news when they run people over with vans, you name it.
[56:49.000 --> 56:53.000]  Right. Well, Trump is, I think, represents Americana.
[56:53.000 --> 57:02.000]  Trump is as American as Apple Pie and, you know, while Bill Hickok, you know, he's an American icon and that's where he comes from.
[57:02.000 --> 57:07.000]  And people don't want, people want to think that if I'm American, I'm more like America Obama.
[57:07.000 --> 57:12.000]  He's a very smooth talking European diplomat. He'd do great in Europe as a diplomat.
[57:12.000 --> 57:14.000]  He's not an American political figure.
[57:14.000 --> 57:20.000]  Exactly. Super slick Harvard dudes in $5,000 suits that are on private jets. That's not America.
[57:20.000 --> 57:23.000]  That's why Pete Buttigieg is not American either.
[57:23.000 --> 57:27.000]  He's just sent in their power, shoot it in like a new white Barack Obama.
[57:27.000 --> 57:32.000]  They try to disrupt things on behalf of the McKinsey's and the consultants and the plutocrats and the club.
[57:32.000 --> 57:36.000]  Now we're getting the real smart Max Kaiser here.
[57:36.000 --> 57:38.000]  We're going to come back with two more segments ahead of Mike Adams.
[57:38.000 --> 57:42.000]  Let's have you look at the races, look at Hillary and Bloomberg, all of it hour two.
[57:42.000 --> 57:48.000]  And Max Kaiser is now here. Max Kaiser is here.
[57:48.000 --> 57:52.000]  Almost all the other big storeable food companies are sold out of food.
[57:52.000 --> 57:56.000]  But I know for a fact from sources to tell them people, oh, we've got it. Get your order in.
[57:56.000 --> 57:59.000]  Two weeks for delivery. We follow this pattern over and over again.
[57:59.000 --> 58:03.000]  I've been on radio for 25 years. I've had storeable food for a long time.
[58:03.000 --> 58:07.000]  And I learned very quickly a lot of these companies, they're fine during normal times.
[58:07.000 --> 58:11.000]  But during a crisis, they don't keep a bunch of food on hand because of inventory.
[58:11.000 --> 58:15.000]  They'll still take your orders. That's why about 11 years ago, I found my Patriot supply.
[58:15.000 --> 58:19.000]  Now the biggest, most trusted company out there, and I became a private labeler for them,
[58:19.000 --> 58:22.000]  because they actually have it on hand. They actually give it delivered to you on time.
[58:22.000 --> 58:26.000]  They do what they're going to say they're going to do because they want you as a customer over and over again.
[58:26.000 --> 58:27.000]  And they're good people.
[58:27.000 --> 58:30.000]  Now they were saying seven to 10 days before shipping because they've got the food,
[58:30.000 --> 58:32.000]  but they've got to package it record level orders.
[58:32.000 --> 58:37.000]  Now it's 10 to 14 because it's only intensifying with the coronavirus.
[58:37.000 --> 58:41.000]  So get your orders at an info store.com. Get the best deals, get it delivered first.
[58:41.000 --> 58:43.000]  They're in our system. It goes right to them.
[58:43.000 --> 58:45.000]  Then it funds the M4 as well. So get prepared.
[58:45.000 --> 58:50.000]  info-war-store.com with Swarble Foods.
[58:50.000 --> 58:52.000]  All right, folks, here's the bad news.
[58:52.000 --> 58:57.000]  We've already sold out of the 16-ounce immune gargle with the patented nano-tech silver
[58:57.000 --> 59:01.000]  that's documented to knock out viruses and bacteria unlike anything else.
[59:01.000 --> 59:05.000]  But we do still have it in the 3-ounce and the 1-ounce for limited time.
[59:05.000 --> 59:11.000]  The good news is we have the super blue toothpaste and the super silver toothpaste,
[59:11.000 --> 59:14.000]  both that have the nano silver in them as well.
[59:14.000 --> 59:19.000]  The super blue has tea tree that's also antiviral and antibacterial and high-quality iodine.
[59:19.000 --> 59:22.000]  And then of course the whitening has the nano silver,
[59:22.000 --> 59:27.000]  but on top of that it has the above-secral calcium that remelamorizes the teeth.
[59:27.000 --> 59:30.000]  And so it's just the best toothpaste you're going to find, period.
[59:30.000 --> 59:33.000]  It has the nano silver and we still have supplies of it,
[59:33.000 --> 59:35.000]  though it'll sell out at current rates in about two weeks.
[59:35.000 --> 59:40.000]  But despite that, I'm keeping it at sale at 50% off so everybody can protect themselves,
[59:40.000 --> 59:42.000]  with this high-quality product.
[59:42.000 --> 59:44.000]  You'll never use it before. Get yours today.
[59:44.000 --> 59:46.000]  Infowarsstore.com
[59:46.000 --> 1:00:12.000]  You're listening to the Alex Jones Show.
[1:00:17.000 --> 1:00:20.000]  Alright, next guys are here.
[1:00:20.000 --> 1:00:22.000]  He's very informative, very entertaining.
[1:00:22.000 --> 1:00:24.000]  They got really serious the last three or four minutes.
[1:00:24.000 --> 1:00:26.000]  I did. I was super serious what happened.
[1:00:26.000 --> 1:00:28.000]  You know what it was? It was that potato soup.
[1:00:28.000 --> 1:00:32.000]  I had some of that cold-storage potato soup good for 50 years and it just gave me clarity.
[1:00:32.000 --> 1:00:36.000]  Suddenly I could see things clearly for the first time in over three hours.
[1:00:36.000 --> 1:00:38.000]  Well, you know, actually governments are buying up all the storable food.
[1:00:38.000 --> 1:00:43.000]  Most places are already sold out and we're selling more storable food than ever because of the coronavirus.
[1:00:43.000 --> 1:00:47.000]  And I just say it's good to have storable food to be prepared for whatever's coming in the future.
[1:00:47.000 --> 1:00:51.000]  And I think Trump is trying to prop things up because he inherited this mess.
[1:00:51.000 --> 1:00:56.000]  But if the economy goes down, that's when people really do need the storable food and it funds their operation.
[1:00:56.000 --> 1:01:03.000]  You know, I just want to say that you got de-platformed because Rachel Maddow at NBC and MSNBC realized
[1:01:03.000 --> 1:01:06.000]  that your audience was huge, their audience was dying.
[1:01:06.000 --> 1:01:11.000]  So she's the new Alex Jones on MSNBC and they had to de-platform you.
[1:01:11.000 --> 1:01:14.000]  That was a coup by the corporation's mainstream media.
[1:01:14.000 --> 1:01:20.000]  It's shocking. You should be back in full regalia on every channel as you were.
[1:01:20.000 --> 1:01:24.000]  The fact that you've been de-platformed is a heinous miscarriage of media injustice.
[1:01:24.000 --> 1:01:29.000]  Well, we were definitely way more popular than them, but that's not saying that they were collapsing.
[1:01:29.000 --> 1:01:34.000]  They were collapsing. Now Rachel Maddow is this raging lunatic who is trying to do you.
[1:01:34.000 --> 1:01:39.000]  She's trying to do your act, essentially your Alex Jones, but she can't do it and she's failing at it.
[1:01:39.000 --> 1:01:43.000]  And she went down the Russia Gate hoax, the Ukraine Gate hoax, the impeachment hoax,
[1:01:43.000 --> 1:01:48.000]  and they keep her on the air even though she's a pale version of Alex Jones.
[1:01:48.000 --> 1:01:53.000]  Just go home already. Fire yourself. You're a disgrace.
[1:01:53.000 --> 1:01:55.000]  Not you, of course, Rachel Maddow.
[1:01:55.000 --> 1:01:58.000]  Well, I'm not gay, but he's a good-looking man.
[1:01:58.000 --> 1:02:06.000]  Rachel Maddow is Nancy Pelosi's intimate partner, and when they get down with some ultimate fish oil,
[1:02:06.000 --> 1:02:11.000]  it's a beautiful thing, and not even AOC can stay away from that union.
[1:02:11.000 --> 1:02:16.000]  It's like a threesome of socialism.
[1:02:16.000 --> 1:02:21.000]  All right, Max Kaiser. Max, this is a shorter segment, long segment coming up.
[1:02:21.000 --> 1:02:25.000]  Let me just ask you a question. Getting back into the economy.
[1:02:25.000 --> 1:02:29.000]  Yes.
[1:02:29.000 --> 1:02:33.000]  As you said, the country is very divided, but Trump is winning.
[1:02:33.000 --> 1:02:37.000]  If Trump hadn't gotten in, what would you expect to happen to the economy?
[1:02:37.000 --> 1:02:45.000]  We would be at war with Russia because Hillary is a Russifobe, and she's a bigot,
[1:02:45.000 --> 1:02:48.000]  and she's a racist, and she's an anti-Semite.
[1:02:48.000 --> 1:02:52.000]  A level of racial hatred towards Slavic people.
[1:02:52.000 --> 1:02:56.000]  She's a Russifobe, and she would be killing Russians because she's a psychopath,
[1:02:56.000 --> 1:03:00.000]  and that would be the first effect of a Hillary president.
[1:03:00.000 --> 1:03:06.000]  Where does that come from? It doesn't really exist only in the minds of some conspiracy theorists
[1:03:06.000 --> 1:03:11.000]  because there's no reason to have this antipathy toward Russia.
[1:03:11.000 --> 1:03:14.000]  Russia is out there trying to do business like everybody else.
[1:03:14.000 --> 1:03:17.000]  It's not undermining anyone's elections.
[1:03:17.000 --> 1:03:23.000]  It's a country that we could have an amazing relationship with to help.
[1:03:23.000 --> 1:03:29.000]  Bill Maher, Friday night, said Roger Stone was convicted for giving the leaks to the Russians.
[1:03:29.000 --> 1:03:31.000]  No one's ever even said that.
[1:03:31.000 --> 1:03:34.000]  I think that's even backwards if you believe the lie. It's just pure crap.
[1:03:34.000 --> 1:03:40.000]  Julian Assange is also somebody that, if we had a functioning constitution here in America,
[1:03:40.000 --> 1:03:49.000]  would be somehow rescued from being tortured by UK regulators who are sadistic, torturing maniacs.
[1:03:49.000 --> 1:03:51.000]  Same thing with Edward Snowden.
[1:03:51.000 --> 1:03:53.000]  Edward Snowden basically brought clarity.
[1:03:53.000 --> 1:03:57.000]  He told Americans what was really happening behind the scenes as we should know.
[1:03:57.000 --> 1:04:02.000]  We should have transparency. He is essentially performing a vital function for democracy.
[1:04:02.000 --> 1:04:05.000]  He also is an American hero.
[1:04:05.000 --> 1:04:14.000]  And it's just not right that this mainstream media, Rachel Maddow, CNN, MSNBC, my old friend Alec Baldwin,
[1:04:14.000 --> 1:04:19.000]  who I had a friendship for 30 years, the second Trump won, he immediately disowned me,
[1:04:19.000 --> 1:04:23.000]  would never talk to me again and started sending me emails like he's going to report me to the FBI
[1:04:23.000 --> 1:04:28.000]  because my show is an RT, even though he's been on my show many times with Russell Brandt and others.
[1:04:28.000 --> 1:04:34.000]  So this is the level of psycho war that is being perpetrated on these poor victims, these poor Americans,
[1:04:34.000 --> 1:04:39.000]  these people that are being turned into bigots, racists, and anti-Semites.
[1:04:39.000 --> 1:04:44.000]  Well, you told me you were there at the big after party thing for Saturday Night Live
[1:04:44.000 --> 1:04:48.000]  and that they were just crying the night that Trump won.
[1:04:48.000 --> 1:04:51.000]  Yeah, they were in a puddle of tears when Hillary lost.
[1:04:51.000 --> 1:04:55.000]  We're going to break back in 60 seconds. Let's talk about Hillary and that story.
[1:04:57.000 --> 1:05:03.000]  Well, it's finally happening. The president is coming out and saying the deep state are a bunch of out-of-control criminals
[1:05:03.000 --> 1:05:11.000]  that need to be prosecuted and he has fired over 200 senior bureaucrats in the State Department
[1:05:11.000 --> 1:05:15.000]  and the Justice Department in just the last few days.
[1:05:15.000 --> 1:05:22.000]  And he took the head prosecutor over Stone and offered her a job at Treasury. As soon as she quit that job,
[1:05:22.000 --> 1:05:26.000]  he then withdrew the nomination and now she's out on her globalist ass.
[1:05:26.000 --> 1:05:30.000]  This is beautiful. It's happening, but we need to see a lot more.
[1:05:30.000 --> 1:05:35.000]  All the neocons need to be fired. All the Obama appointees fired.
[1:05:35.000 --> 1:05:41.000]  All the deep state globalists who have resumes with George Soros fired, fired, fired, fired.
[1:05:41.000 --> 1:05:47.000]  Trump is finally unleashed. Trump is not the red wave. He is the red storm.
[1:05:47.000 --> 1:05:53.000]  An info wars is the tip of the spear powered by we the people, never backing down,
[1:05:53.000 --> 1:05:57.000]  never giving in and delivering victory in our time.
[1:05:57.000 --> 1:06:07.000]  Rallying Patriots Worldwide in Defense of Human Liberty. It's Alex Jones.
[1:06:10.000 --> 1:06:15.000]  All right, we were just talking about the night that Trump won 2016.
[1:06:15.000 --> 1:06:19.000]  You were there amongst all the leftist and Alec Baldwin, the rest of them.
[1:06:19.000 --> 1:06:22.000]  They were just crying. It was at the end of the world it just happened.
[1:06:22.000 --> 1:06:27.000]  It was awful. Like Alec Baldwin I've known for 30 years and then suddenly Hillary lost and Trump won
[1:06:27.000 --> 1:06:30.000]  and he doesn't recognize that Trump is an American archetype.
[1:06:30.000 --> 1:06:33.000]  He won fair and square and the Constitution didn't disappear.
[1:06:33.000 --> 1:06:37.000]  But he suddenly lashed out and he disowned a lot of people myself.
[1:06:37.000 --> 1:06:42.000]  He disowned his brother Stephen. Stephen Baldwin and I did a show called
[1:06:42.000 --> 1:06:47.000]  The Great American Pilgrimage and the point of the show is to make fun of Alec Baldwin for the entire series
[1:06:47.000 --> 1:06:54.000]  and to just travel around America and poke fun at Alec for being such a crybaby and a sore loser.
[1:06:54.000 --> 1:07:00.000]  And so we made a show and we didn't get into it to that extent, sadly,
[1:07:00.000 --> 1:07:05.000]  but that was the premise of The Great American Pilgrimage with Stephen Baldwin was to make fun of Alec Baldwin
[1:07:05.000 --> 1:07:14.000]  for 16 episodes as we drove across the country, which was kind of how I got that going on the air.
[1:07:14.000 --> 1:07:20.000]  Let's talk about Hillary and Bloomberg. Obviously, we were talking about this last night.
[1:07:20.000 --> 1:07:27.000]  It's well known that he's doing this for her to position himself so that at the broker convention
[1:07:27.000 --> 1:07:31.000]  he like steps down and she goes forward where he becomes president and he steps down.
[1:07:31.000 --> 1:07:34.000]  She becomes president. They even said that they could have impeached Trump and Pence.
[1:07:34.000 --> 1:07:38.000]  They were going to have Pelosi as president and then she would put Hillary in as VP
[1:07:38.000 --> 1:07:41.000]  and then she would step down. They're openly saying this constantly.
[1:07:41.000 --> 1:07:46.000]  She really still thinks she's going to run. Talk about tone deaf. Talk about this connected from reality.
[1:07:46.000 --> 1:07:53.000]  Well, Michael Bloomberg is essentially a Republican. So I don't know why he's representing the Democratic Party.
[1:07:53.000 --> 1:07:59.000]  Number one, number two, this idea that the Democrats have been shown to be so dysfunctional
[1:07:59.000 --> 1:08:04.000]  where you have the leading guys leading the pack is Bernie Sanders who's at war with billionaires
[1:08:04.000 --> 1:08:06.000]  who's on a platform of socialism.
[1:08:06.000 --> 1:08:12.000]  So the DNC power shoots in, changes all their laws to bring in another billionaire from New York
[1:08:12.000 --> 1:08:17.000]  to go to battle with another billionaire from New York as if the end result of that won't be benefits to billionaires in New York.
[1:08:17.000 --> 1:08:22.000]  Obviously, all the billionaires in New York are going to cheer Mike Bloomberg-Trump contest
[1:08:22.000 --> 1:08:25.000]  because they're going to be working in their interest.
[1:08:25.000 --> 1:08:31.000]  But the DNC is so obviously corrupt, so obviously undermined by the interest of big money.
[1:08:31.000 --> 1:08:38.000]  And Hillary Clinton is such a toxic loser and such a nefarious influence on this entire party
[1:08:38.000 --> 1:08:44.000]  that she's literally going to put them into political cold storage for a generation or two.
[1:08:44.000 --> 1:08:47.000]  But they're so delusional they still think it's her right to rule.
[1:08:47.000 --> 1:08:52.000]  There's this cult of Hillary Clinton using the Epstein blackmail to still control people.
[1:08:52.000 --> 1:08:55.000]  She has a sense of entitlement that was her turn.
[1:08:55.000 --> 1:09:02.000]  And what's amazing is that what we saw with Hillary's loss is what she would have been as a president.
[1:09:02.000 --> 1:09:06.000]  So she's a conniving, backstabbing, sore loser.
[1:09:06.000 --> 1:09:10.000]  And usually when people lose, even Al Gore went away gracefully.
[1:09:10.000 --> 1:09:14.000]  He didn't stick around crying and trying to undermine the entire political process.
[1:09:14.000 --> 1:09:17.000]  In America, we don't like sore losers.
[1:09:17.000 --> 1:09:23.000]  If you go into battle and you lose, you walk away from the battlefield and you don't cry about it.
[1:09:23.000 --> 1:09:27.000]  She just reinforces all the negative stereotypes about having a woman leader.
[1:09:27.000 --> 1:09:34.000]  She's setting women's rights back 20 or 30 years because she's failing to accept responsibility for her own actions.
[1:09:34.000 --> 1:09:38.000]  That was fake news when Newsweek said she was Madam President.
[1:09:38.000 --> 1:09:43.000]  Yeah, and Nancy Pelosi is doing no great favor to women's movement either.
[1:09:43.000 --> 1:09:48.000]  I mean, she's not, you know, she doesn't respect the rule of law, the Constitution.
[1:09:48.000 --> 1:09:50.000]  What do you think is going on with Bloomberg?
[1:09:50.000 --> 1:09:56.000]  Because he's been putting memes out that either make Trump look good or make Bloomberg look like an idiot.
[1:09:56.000 --> 1:09:59.000]  And now he's starring in a Mary Poppins play.
[1:09:59.000 --> 1:10:00.000]  Let's cue that up.
[1:10:00.000 --> 1:10:04.000]  This is not a joke for radio listeners. TV viewers will actually see it.
[1:10:04.000 --> 1:10:07.000]  And we played it last hour, guys. You guys cut the front off.
[1:10:07.000 --> 1:10:09.000]  Play it with the women cheering like he's God.
[1:10:09.000 --> 1:10:15.000]  And then he comes in and says, I'll make Americans behave when, of course, the big joke is he's the nanny.
[1:10:15.000 --> 1:10:24.000]  The full video is on NewsWars.com. Cringe Internet mocks Mike Bloomberg in bizarre stage play performance as Mary Poppins,
[1:10:24.000 --> 1:10:26.000]  the nanny mayor of New York. Here it is.
[1:10:26.000 --> 1:10:29.000]  There he is.
[1:10:29.000 --> 1:10:32.000]  I'll tell you where I'm going.
[1:10:32.000 --> 1:10:39.000]  First, Iowa, then New Hampshire.
[1:10:39.000 --> 1:10:46.000]  Maybe I can get the whole country to behave.
[1:10:46.000 --> 1:10:48.000]  I mean, is this a joke?
[1:10:48.000 --> 1:10:50.000]  He's got a hook on his back.
[1:10:50.000 --> 1:10:52.000]  He's flying around being worshiped by leftists.
[1:10:52.000 --> 1:10:57.000]  And these weird leftists are always into weird, like 1930s style plays.
[1:10:57.000 --> 1:11:01.000]  And they act and behave like ventriloquist dolls.
[1:11:01.000 --> 1:11:03.000]  And then he's like shaking dogs' faces.
[1:11:03.000 --> 1:11:06.000]  And then he came to Texas and tried to talk in a Texas accent.
[1:11:06.000 --> 1:11:11.000]  And they have experts writing him like, sir, if you talk like this, they'll think you're a Texan.
[1:11:11.000 --> 1:11:13.000]  And then this Mary Poppins crap.
[1:11:13.000 --> 1:11:15.000]  I mean, he may be a space alien.
[1:11:15.000 --> 1:11:19.000]  Look, this is all about unconscious marketing.
[1:11:19.000 --> 1:11:21.000]  You know what Fort Chan is, right?
[1:11:21.000 --> 1:11:35.000]  Fort Chan is kind of a, you know, a collective of young hacker-minded malcontents who there's no censorship.
[1:11:35.000 --> 1:11:37.000]  No censorship whatsoever.
[1:11:37.000 --> 1:11:39.000]  They came up with Pepe the Frog.
[1:11:39.000 --> 1:11:43.000]  Hillary Clinton was convinced that Pepe the Frog was-
[1:11:43.000 --> 1:11:44.000]  Was a major enemy.
[1:11:44.000 --> 1:11:46.000]  Was a major enemy and represented Nazism.
[1:11:46.000 --> 1:11:48.000]  And she started quoting Pepe the Frog.
[1:11:48.000 --> 1:11:50.000]  And that was part of her downfall in 2016.
[1:11:50.000 --> 1:11:53.000]  And now they've got Rofis being in and the OK sign.
[1:11:53.000 --> 1:11:54.000]  Fort Chan, stop it.
[1:11:54.000 --> 1:11:56.000]  They're going to ban the alphabet.
[1:11:56.000 --> 1:11:59.000]  So what I think, I think Mike Bloomberg is going to Fort Chan.
[1:11:59.000 --> 1:12:01.000]  He sees the wackiest memes over there.
[1:12:01.000 --> 1:12:03.000]  And he says, well, this is the way you get elected.
[1:12:03.000 --> 1:12:07.000]  You have to take the Fort Chan wackiest memes out there because somehow they hit everyone on a-
[1:12:07.000 --> 1:12:09.000]  But he doesn't get how to do it.
[1:12:09.000 --> 1:12:11.000]  He has advisors because he has a billion dollars.
[1:12:11.000 --> 1:12:15.000]  So he gets to the advisors and they get into a room and they say, how are we going to win this thing?
[1:12:15.000 --> 1:12:19.000]  And they say, well, we know that the American public is susceptible to Fort Chan memes.
[1:12:19.000 --> 1:12:23.000]  So let's go to Fort Chan, see what kind of memes they're generating about you.
[1:12:23.000 --> 1:12:26.000]  And use that as our campaign because for some reason that works.
[1:12:26.000 --> 1:12:31.000]  And meanwhile, on Facebook, Twitter, Google, they're banning anybody who's pro-Trump saying,
[1:12:31.000 --> 1:12:35.000]  you're not allowed to have memes, but then Bloomberg could dump hundreds of millions on them.
[1:12:35.000 --> 1:12:37.000]  Right. This is meme warfare.
[1:12:37.000 --> 1:12:43.000]  It looks crazy and psychotic, but it's attacking people on their unconscious level and softening them up as a form of meme torture.
[1:12:43.000 --> 1:12:47.000]  So when they go into the voting booth, they feel like Stockholm syndrome.
[1:12:47.000 --> 1:12:49.000]  They fall in love with their captor.
[1:12:49.000 --> 1:12:53.000]  They feel enslaved by these awful weaponized memes and they end up voting for Mike Bloomberg.
[1:12:53.000 --> 1:12:57.000]  But see, it's not working because I've been looking at these memes and they don't make sense.
[1:12:57.000 --> 1:12:59.000]  They're not supposed to make sense.
[1:12:59.000 --> 1:13:03.000]  They're supposed to disrupt your unconscious mind so that you feel enslaved to your master meme, the meme master.
[1:13:03.000 --> 1:13:07.000]  And it works. It worked against Hillary to some degree. She fell for it.
[1:13:07.000 --> 1:13:12.000]  She was tailor made to fall into it because she was late to the party.
[1:13:12.000 --> 1:13:16.000]  Mike Bloomberg, because he's also a media savvy guy, he has Bloomberg as a media empire.
[1:13:16.000 --> 1:13:18.000]  He understands the power of memes.
[1:13:18.000 --> 1:13:21.000]  He understands the power of Fort Chan and eight Chan and all those spin-offs of these things.
[1:13:21.000 --> 1:13:25.000]  Yeah, the user red one. I like that made me really like Trump more actually.
[1:13:25.000 --> 1:13:30.000]  Well, the memes are powerful on the unconscious level. So you don't know how they're going to impact people's behavior.
[1:13:30.000 --> 1:13:36.000]  Mostly it's very disruptive and you are in a place of where it's a very topsy-turvy and what you thought.
[1:13:36.000 --> 1:13:41.000]  It's the same thing in the stock market. The worse the coronavirus gets, the better for the stock market.
[1:13:41.000 --> 1:13:47.000]  Because the worse it gets, the more money printing will have from the central banks that goes right into the stock market.
[1:13:47.000 --> 1:13:50.000]  So you actually want the coronavirus to be as deadly as possible.
[1:13:50.000 --> 1:13:52.000]  That's no thing. War is the health of the state.
[1:13:52.000 --> 1:14:01.000]  Yeah, exactly. It adds more free money to the top two or three percent that own most of the stocks.
[1:14:01.000 --> 1:14:09.000]  And then fund socialist ideas to further consolidate control but actually building a group of people that will tear them limb from limb.
[1:14:09.000 --> 1:14:12.000]  It's not socialism. It's neo-futilism. Let me explain.
[1:14:12.000 --> 1:14:14.000]  Neo-futilistic capitalism.
[1:14:14.000 --> 1:14:20.000]  Yeah, let me explain. So only when you have a wealth gap like we do now, it's really a feudalistic model.
[1:14:20.000 --> 1:14:25.000]  Where not just most of the wealth is in a few hands, it's all of the wealth.
[1:14:25.000 --> 1:14:27.000]  And we are essentially serfs.
[1:14:27.000 --> 1:14:31.000]  You know, you were used to peasant uprisings in places like Venezuela.
[1:14:31.000 --> 1:14:34.000]  There's like a peasant uprising in France called the Gilles Jean.
[1:14:34.000 --> 1:14:43.000]  In America, AOC and the Democrats and Bernie Sanders, this is a peasant uprising against an entrenched plutocracy.
[1:14:43.000 --> 1:14:52.000]  But the entrenched plutocracy is actually funding the old communist model as the resistance knowing it's going to fail.
[1:14:52.000 --> 1:14:59.000]  When they're all posing as Black Lives Matter supporters, Jeff Bezos and people, they're actually funding Bernie.
[1:14:59.000 --> 1:15:04.000]  Sanders, his strength would be is to recognize that this is a peasant revolt.
[1:15:04.000 --> 1:15:11.000]  And we in America that are being victimized by the opiate industry, the healthcare plutocrats, the banking cartel,
[1:15:11.000 --> 1:15:14.000]  are drifting into neofedalism.
[1:15:14.000 --> 1:15:17.000]  And he should say, look, we are drifting into neofedalism.
[1:15:17.000 --> 1:15:21.000]  We are emerging as a peasant class, just like the peasant classes.
[1:15:21.000 --> 1:15:23.000]  They're getting rid of the middle class on purpose.
[1:15:23.000 --> 1:15:25.000]  Completely. Absolutely.
[1:15:25.000 --> 1:15:31.000]  They're getting a client underclass now that begs for the state for handouts, ending American individualism.
[1:15:31.000 --> 1:15:33.000]  Nobody wants to admit that they're a peasant.
[1:15:33.000 --> 1:15:38.000]  Certainly not 250 million Americans or 320 million Americans who want to admit they're a peasant.
[1:15:38.000 --> 1:15:42.000]  They're susceptible to me more fair because they're in denial about their own peasantry.
[1:15:42.000 --> 1:15:44.000]  MaxKaiser.com. Max, thanks for coming in.
[1:15:44.000 --> 1:15:46.000]  I'm at Real Max Kaiser on Twitter.
[1:15:46.000 --> 1:15:47.000]  And you're going to come back in April.
[1:15:47.000 --> 1:15:48.000]  Real Max Kaiser on Twitter.
[1:15:48.000 --> 1:15:49.000]  You're going to come back in April.
[1:15:49.000 --> 1:15:51.000]  I'll be back in April if not sooner.
[1:15:51.000 --> 1:15:53.000]  We're going to put you in a straight jacket.
[1:15:53.000 --> 1:15:55.000]  That's fine. I've been in straight jackets many times.
[1:15:55.000 --> 1:15:56.000]  Good.
[1:15:56.000 --> 1:16:00.000]  There's roughly only 260 days left until the 2020 election.
[1:16:00.000 --> 1:16:03.000]  And already you've seen all sorts of crazy things happen.
[1:16:03.000 --> 1:16:05.000]  The globalists are trying to plunge the economy.
[1:16:05.000 --> 1:16:06.000]  They're trying to start wars.
[1:16:06.000 --> 1:16:07.000]  They're trying to overthrow the president.
[1:16:07.000 --> 1:16:09.000]  They're trying to silence free speech.
[1:16:09.000 --> 1:16:11.000]  They're trying to trigger riots in the streets,
[1:16:11.000 --> 1:16:14.000]  but everything they do is blowing up in their face.
[1:16:14.000 --> 1:16:18.000]  We the people have to pray, stay focused, be involved, keep spreading the word,
[1:16:18.000 --> 1:16:19.000]  keep countering their lies.
[1:16:19.000 --> 1:16:23.000]  And we have to be prepared in case things go south.
[1:16:23.000 --> 1:16:26.000]  That's why it's so critical to go to infowarstore.com
[1:16:26.000 --> 1:16:30.000]  and stock up on high quality preparedness items from storeable foods,
[1:16:30.000 --> 1:16:32.000]  high quality water filtration, air filtration,
[1:16:32.000 --> 1:16:35.000]  to the very best supplements and silver products you're going to find.
[1:16:35.000 --> 1:16:38.000]  They're all available at infowarstore.com
[1:16:38.000 --> 1:16:40.000]  and your purchase there not only ensures high quality products
