[00:00.000 --> 00:12.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[01:01:06.000 --> 01:01:08.000]  Rubber Nose is in it?
[01:01:08.000 --> 01:01:10.000]  No, absolutely.
[01:01:10.000 --> 01:01:13.000]  You know, Alex, I used to say right on your program.
[01:01:13.000 --> 01:01:15.000]  Years, years, years ago, if you don't recall.
[01:01:15.000 --> 01:01:18.000]  I used to say the good news is they're lying to us.
[01:01:18.000 --> 01:01:21.000]  When they stopped lying, then we're gone.
[01:01:21.000 --> 01:01:23.000]  All right, they're not lying anymore.
[01:01:23.000 --> 01:01:29.000]  They're doing stuff right in front of us and what she's doing, what this meeting signifies.
[01:01:29.000 --> 01:01:36.000]  And they believe they didn't know it because I'm telling you, Lynch and Clinton both knew the reality of them meeting.
[01:01:36.000 --> 01:01:38.000]  You know, they're not professionals.
[01:01:38.000 --> 01:01:40.000]  They know.
[01:01:40.000 --> 01:01:45.000]  This is to get everybody discouraged.
[01:01:45.000 --> 01:01:52.000]  This is to break the spirit of all of us that are out here trying to fight and get our country back.
[01:01:52.000 --> 01:01:54.000]  This is designed to break our spirit.
[01:01:54.000 --> 01:01:56.000]  I don't think it's done that.
[01:01:56.000 --> 01:01:57.000]  I don't think it's done that.
[01:01:57.000 --> 01:01:58.000]  I think it's energized everybody.
[01:01:58.000 --> 01:02:00.000]  But I mean, her going on the Crispin Institute.
[01:02:00.000 --> 01:02:01.000]  Have you seen the clip?
[01:02:01.000 --> 01:02:02.000]  It just happened an hour ago.
[01:02:02.000 --> 01:02:04.000]  We played it where she says, I'm going to decide.
[01:02:04.000 --> 01:02:06.000]  She goes, recusing myself.
[01:02:06.000 --> 01:02:08.000]  No, but I'm not involved.
[01:02:08.000 --> 01:02:10.000]  I decide whether we prosecute.
[01:02:10.000 --> 01:02:12.000]  Clinton double state.
[01:02:12.000 --> 01:02:14.000]  Listen, here's what they're doing.
[01:02:14.000 --> 01:02:17.000]  She's not going to be in that.
[01:02:17.000 --> 01:02:19.000]  It's over.
[01:02:19.000 --> 01:02:20.000]  It's over.
[01:02:20.000 --> 01:02:22.000]  She's not going to be in that.
[01:02:22.000 --> 01:02:23.000]  So that's the decision there.
[01:02:23.000 --> 01:02:28.000]  So they're rubbing our noses in it, squatting in our face, letting us know.
[01:02:28.000 --> 01:02:35.000]  And if anyone, what that meeting was about for those career prosecutors, she's not going to be in that.
[01:02:35.000 --> 01:02:41.000]  I'm not going to deny it, but there's going to be all kind of searching and talking to these prosecutors that have worked on the case.
[01:02:41.000 --> 01:02:53.000]  And if any one of them dare to open their mouth and to say that they were coerced into backing off an indictment, she now has something to hand them to.
[01:02:53.000 --> 01:02:59.000]  I'm just giving two, just two, two of the federal prosecutors working on this case.
[01:02:59.000 --> 01:03:01.000]  One of them is a pedophile.
[01:03:01.000 --> 01:03:06.000]  One of them has a male lover and he's a male.
[01:03:06.000 --> 01:03:08.000]  Now that's being a queer, don't mean much anymore.
[01:03:08.000 --> 01:03:12.000]  But of course, and of course, this is done on purpose, on purpose.
[01:03:12.000 --> 01:03:16.000]  They have people put in their compromise to do the investigation to blow it later.
[01:03:16.000 --> 01:03:17.000]  Absolutely.
[01:03:17.000 --> 01:03:18.000]  Absolutely.
[01:03:18.000 --> 01:03:21.000]  So they're going to make the point to prove.
[01:03:21.000 --> 01:03:27.000]  Now remember, Alex, she's not going to be in that.
[01:03:27.000 --> 01:03:33.000]  And there's going to be hell raised when she's not, especially after this meeting.
[01:03:33.000 --> 01:03:34.000]  You know that.
[01:03:34.000 --> 01:03:42.000]  That's why he had to tell her, get your pen sharpened, ready to indict people for hate speech.
[01:03:42.000 --> 01:03:47.000]  We won't have to indict a lot, but we'll have to indict enough to get everybody.
[01:03:47.000 --> 01:03:48.000]  Sure.
[01:03:48.000 --> 01:03:53.000]  And could he pull another OKC to blame the Liberty Movement like last time he was hanging on by a fingernail?
[01:03:53.000 --> 01:03:54.000]  Yes.
[01:03:54.000 --> 01:03:57.000]  Now, I'm telling you, that's what went down.
[01:03:57.000 --> 01:04:05.000]  It was one of those three, or all of those three, probably all that I guarantee you.
[01:04:05.000 --> 01:04:06.000]  Wow.
[01:04:06.000 --> 01:04:07.000]  Well, I'm telling you, folks are mad.
[01:04:07.000 --> 01:04:08.000]  Folks are mad.
[01:04:08.000 --> 01:04:13.000]  And I think their old playbook, a 20 years ago, isn't going to work as well, Larry.
[01:04:13.000 --> 01:04:16.000]  Alex, I pray that you're right.
[01:04:16.000 --> 01:04:21.000]  That as of yet, as of yet, I have not seen it.
[01:04:21.000 --> 01:04:27.000]  Now, I will tell you this, and your audience needs to write this down, please, 40, 40, 20.
[01:04:27.000 --> 01:04:31.000]  It's the rule of law in life, in politics especially.
[01:04:31.000 --> 01:04:33.000]  40% are going to love Hillary.
[01:04:33.000 --> 01:04:35.000]  40% are going to hate her.
[01:04:35.000 --> 01:04:37.000]  You could give go bricks to the ones that hate her.
[01:04:37.000 --> 01:04:39.000]  They're still going to hate her.
[01:04:39.000 --> 01:04:40.000]  40, 40, 20.
[01:04:40.000 --> 01:04:42.000]  20% they call undecided.
[01:04:42.000 --> 01:04:43.000]  I call them don't care.
[01:04:43.000 --> 01:04:47.000]  If you're undecided, that means you're studying it and trying to figure it out.
[01:04:47.000 --> 01:04:48.000]  That 20% don't care.
[01:04:48.000 --> 01:04:49.000]  They're playing ball.
[01:04:49.000 --> 01:04:52.000]  They're at the mall or whatever.
[01:04:52.000 --> 01:04:58.000]  Now, when you see these polls, Alex, showing Hillary up six or seven points or eight or
[01:04:58.000 --> 01:04:59.000]  twelve, they're bold.
[01:04:59.000 --> 01:05:00.000]  That's to get Trump.
[01:05:00.000 --> 01:05:01.000]  Sure, stay there.
[01:05:01.000 --> 01:05:02.000]  That's to get Trump.
[01:05:02.000 --> 01:05:07.000]  Barack Obama's propaganda tool, clock boy Ahmed Mohammed, talks about life and guitar
[01:05:07.000 --> 01:05:09.000]  and what he's learned about hate.
[01:05:09.000 --> 01:05:14.000]  Ahmed, the Muslim teenager who was suspended from bringing a homemade clock that looked
[01:05:14.000 --> 01:05:19.000]  like a bomb to school in Irvine poses for photograph at his home.
[01:05:19.000 --> 01:05:25.000]  If I'm not mistaken, is a guitar the same place that Barack Obama traded Bo Burdell
[01:05:25.000 --> 01:05:27.000]  for the freaking Taliban five?
[01:05:27.000 --> 01:05:29.000]  But let's go back to this stupid article.
[01:05:29.000 --> 01:05:33.000]  He's no longer surprised when people recognize him since his arrest at Irvine's MacArthur
[01:05:33.000 --> 01:05:36.000]  High School in September when he brought a homemade clock.
[01:05:36.000 --> 01:05:38.000]  No, it's not a homemade clock.
[01:05:38.000 --> 01:05:43.000]  You took a clock, then you gutted it and you laid it in a suitcase to look like a bomb.
[01:05:43.000 --> 01:05:47.000]  Anybody in their right mind would have said that looks like a bomb.
[01:05:47.000 --> 01:05:52.000]  But because you're Arabic, we have to all sit around and bow down while you go eat at
[01:05:52.000 --> 01:05:57.000]  the White House with the Islam and Chief hands across America for this clock boy.
[01:05:57.000 --> 01:05:58.000]  Negative.
[01:05:58.000 --> 01:06:24.000]  This is Joe Biggs with infowars.com.
[01:06:24.000 --> 01:06:50.000]  This is Joe Biggs with infowars.com.
[01:06:50.000 --> 01:07:16.000]  This is Joe Biggs with infowars.com.
[01:07:16.000 --> 01:07:42.000]  This is Joe Biggs with infowars.com.
[01:07:42.000 --> 01:08:08.000]  This is Joe Biggs with infowars.com.
[01:08:08.000 --> 01:08:30.000]  This is Joe Biggs with infowars.com.
[01:08:30.000 --> 01:08:56.000]  This is Joe Biggs with infowars.com.
[01:08:56.000 --> 01:09:22.000]  This is Joe Biggs with infowars.com.
[01:09:22.000 --> 01:09:50.000]  This is Joe Biggs with infowars.com.
[01:09:50.000 --> 01:10:16.000]  This is Joe Biggs with infowars.com.
[01:10:16.000 --> 01:10:42.000]  This is Joe Biggs with infowars.com.
[01:10:42.000 --> 01:11:08.000]  This is Joe Biggs with infowars.com.
[01:11:08.000 --> 01:11:34.000]  This is Joe Biggs with infowars.com.
[01:11:34.000 --> 01:12:00.000]  This is Joe Biggs with infowars.com.
[01:12:00.000 --> 01:12:26.000]  This is Joe Biggs with infowars.com.
[01:12:26.000 --> 01:12:52.000]  This is Joe Biggs with infowars.com.
[01:12:52.000 --> 01:13:18.000]  This is Joe Biggs with infowars.com.
[01:13:18.000 --> 01:13:40.000]  This is Joe Biggs with infowars.com.
[01:13:40.000 --> 01:14:08.000]  This is Joe Biggs with infowars.com.
[01:14:08.000 --> 01:14:36.000]  This is Joe Biggs with infowars.com.
[01:14:36.000 --> 01:15:04.000]  This is Joe Biggs with infowars.com.
[01:15:04.000 --> 01:15:32.000]  This is Joe Biggs with infowars.com.
[01:15:32.000 --> 01:16:00.000]  This is Joe Biggs with infowars.com.
[01:16:00.000 --> 01:16:28.000]  This is Joe Biggs with infowars.com.
[01:16:28.000 --> 01:16:54.000]  This is Joe Biggs with infowars.com.
[01:16:54.000 --> 01:17:22.000]  This is Joe Biggs with infowars.com.
[01:17:22.000 --> 01:17:48.000]  This is Joe Biggs with infowars.com.
[01:17:48.000 --> 01:18:14.000]  This is Joe Biggs with infowars.com.
[01:18:14.000 --> 01:18:42.000]  This is Joe Biggs with infowars.com.
[01:18:42.000 --> 01:19:08.000]  This is Joe Biggs with infowars.com.
[01:19:08.000 --> 01:19:34.000]  This is Joe Biggs with infowars.com.
[01:19:34.000 --> 01:20:02.000]  This is Joe Biggs with infowars.com.
[01:20:02.000 --> 01:20:30.000]  This is Joe Biggs with infowars.com.
[01:20:30.000 --> 01:20:58.000]  This is Joe Biggs with infowars.com.
[01:20:58.000 --> 01:21:22.000]  This is Joe Biggs with infowars.com.
[01:21:22.000 --> 01:21:50.000]  This is Joe Biggs with infowars.com.
[01:21:50.000 --> 01:22:18.000]  This is Joe Biggs with infowars.com.
[01:22:18.000 --> 01:22:40.000]  This is Joe Biggs with infowars.com.
[01:22:40.000 --> 01:23:08.000]  This is Joe Biggs with infowars.com.
[01:23:08.000 --> 01:23:34.000]  This is Joe Biggs with infowars.com.
[01:23:34.000 --> 01:24:02.000]  This is Joe Biggs with infowars.com.
[01:24:02.000 --> 01:24:24.000]  This is Joe Biggs with infowars.com.
[01:24:24.000 --> 01:24:52.000]  This is Joe Biggs with infowars.com.
[01:24:52.000 --> 01:25:18.000]  This is Joe Biggs with infowars.com.
[01:25:18.000 --> 01:25:46.000]  This is Joe Biggs with infowars.com.
[01:25:46.000 --> 01:26:14.000]  This is Joe Biggs with infowars.com.
[01:26:14.000 --> 01:26:40.000]  This is Joe Biggs with infowars.com.
[01:26:40.000 --> 01:27:08.000]  This is Joe Biggs with infowars.com.
[01:27:08.000 --> 01:27:30.000]  This is Joe Biggs with infowars.com.
[01:27:30.000 --> 01:27:58.000]  This is Joe Biggs with infowars.com.
[01:27:58.000 --> 01:28:26.000]  This is Joe Biggs with infowars.com.
[01:28:26.000 --> 01:28:50.000]  This is Joe Biggs with infowars.com.
[01:28:50.000 --> 01:29:12.000]  This is Joe Biggs with infowars.com.
[01:29:12.000 --> 01:29:38.000]  This is Joe Biggs with infowars.com.
[01:29:38.000 --> 01:30:00.000]  This is Joe Biggs with infowars.com.
[01:30:00.000 --> 01:30:28.000]  This is Joe Biggs with infowars.com.
[01:30:28.000 --> 01:30:56.000]  This is Joe Biggs with infowars.com.
[01:30:56.000 --> 01:31:22.000]  This is Joe Biggs with infowars.com.
[01:31:22.000 --> 01:31:50.000]  This is Joe Biggs with infowars.com.
[01:31:50.000 --> 01:32:00.000]  This is Joe Biggs with infowars.com.
[01:32:20.000 --> 01:32:48.000]  This is Joe Biggs with infowars.com.
[01:32:48.000 --> 01:33:10.000]  This is Joe Biggs with infowars.com.
[01:33:10.000 --> 01:33:38.000]  This is Joe Biggs with infowars.com.
[01:33:38.000 --> 01:34:04.000]  This is Joe Biggs with infowars.com.
[01:34:04.000 --> 01:34:32.000]  This is Joe Biggs with infowars.com.
[01:34:32.000 --> 01:35:00.000]  This is Joe Biggs with infowars.com.
[01:35:00.000 --> 01:35:22.000]  This is Joe Biggs with infowars.com.
[01:35:22.000 --> 01:35:50.000]  This is Joe Biggs with infowars.com.
[01:35:50.000 --> 01:36:18.000]  This is Joe Biggs with infowars.com.
[01:36:18.000 --> 01:36:46.000]  This is Joe Biggs with infowars.com.
[01:36:46.000 --> 01:37:14.000]  This is Joe Biggs with infowars.com.
[01:37:14.000 --> 01:37:34.000]  This is Joe Biggs with infowars.com.
[01:37:34.000 --> 01:38:02.000]  This is Joe Biggs with infowars.com.
[01:38:02.000 --> 01:38:30.000]  This is Joe Biggs with infowars.com.
[01:38:30.000 --> 01:38:58.000]  This is Joe Biggs with infowars.com.
[01:38:58.000 --> 01:39:26.000]  This is Joe Biggs with infowars.com.
[01:39:26.000 --> 01:39:54.000]  This is Joe Biggs with infowars.com.
[01:39:54.000 --> 01:40:14.000]  This is Joe Biggs with infowars.com.
[01:40:14.000 --> 01:40:42.000]  This is Joe Biggs with infowars.com.
[01:40:42.000 --> 01:41:08.000]  This is Joe Biggs with infowars.com.
[01:41:08.000 --> 01:41:36.000]  This is Joe Biggs with infowars.com.
[01:41:36.000 --> 01:42:04.000]  This is Joe Biggs with infowars.com.
[01:42:04.000 --> 01:42:32.000]  This is Joe Biggs with infowars.com.
[01:42:32.000 --> 01:43:00.000]  This is Joe Biggs with infowars.com.
[01:43:00.000 --> 01:43:28.000]  This is Joe Biggs with infowars.com.
[01:43:28.000 --> 01:43:56.000]  This is Joe Biggs with infowars.com.
[01:43:56.000 --> 01:44:18.000]  This is Joe Biggs with infowars.com.
[01:44:18.000 --> 01:44:46.000]  This is Joe Biggs with infowars.com.
[01:44:46.000 --> 01:45:12.000]  This is Joe Biggs with infowars.com.
[01:45:12.000 --> 01:45:40.000]  This is Joe Biggs with infowars.com.
[01:45:40.000 --> 01:46:08.000]  This is Joe Biggs with infowars.com.
[01:46:08.000 --> 01:46:28.000]  This is Joe Biggs with infowars.com.
[01:46:28.000 --> 01:46:56.000]  This is Joe Biggs with infowars.com.
[01:46:56.000 --> 01:47:22.000]  This is Joe Biggs with infowars.com.
[01:47:22.000 --> 01:47:44.000]  This is Joe Biggs with infowars.com.
[01:47:44.000 --> 01:48:04.000]  This is Joe Biggs with infowars.com.
[01:48:04.000 --> 01:48:32.000]  This is Joe Biggs with infowars.com.
[01:48:32.000 --> 01:48:58.000]  This is Joe Biggs with infowars.com.
[01:48:58.000 --> 01:49:26.000]  This is Joe Biggs with infowars.com.
[01:49:26.000 --> 01:49:48.000]  This is Joe Biggs with infowars.com.
[01:49:48.000 --> 01:50:16.000]  This is Joe Biggs with infowars.com.
[01:50:16.000 --> 01:50:44.000]  This is Joe Biggs with infowars.com.
[01:50:44.000 --> 01:51:12.000]  This is Joe Biggs with infowars.com.
[01:51:12.000 --> 01:51:32.000]  This is Joe Biggs with infowars.com.
[01:51:32.000 --> 01:52:00.000]  This is Joe Biggs with infowars.com.
[01:52:00.000 --> 01:52:28.000]  This is Joe Biggs with infowars.com.
[01:52:28.000 --> 01:52:56.000]  This is Joe Biggs with infowars.com.
[01:52:56.000 --> 01:53:24.000]  This is Joe Biggs with infowars.com.
[01:53:24.000 --> 01:53:52.000]  This is Joe Biggs with infowars.com.
[01:53:52.000 --> 01:54:20.000]  This is Joe Biggs with infowars.com.
[01:54:20.000 --> 01:54:44.000]  This is Joe Biggs with infowars.com.
[01:54:44.000 --> 01:55:10.000]  This is Joe Biggs with infowars.com.
[01:55:10.000 --> 01:55:36.000]  This is Joe Biggs with infowars.com.
[01:55:36.000 --> 01:56:04.000]  This is Joe Biggs with infowars.com.
[01:56:04.000 --> 01:56:32.000]  This is Joe Biggs with infowars.com.
[01:56:32.000 --> 01:57:00.000]  This is Joe Biggs with infowars.com.
[01:57:00.000 --> 01:57:28.000]  This is Joe Biggs with infowars.com.
[01:57:28.000 --> 01:57:56.000]  This is Joe Biggs with infowars.com.
[01:57:56.000 --> 01:58:24.000]  This is Joe Biggs with infowars.com.
[01:58:24.000 --> 01:58:52.000]  This is Joe Biggs with infowars.com.
[01:58:52.000 --> 01:59:20.000]  This is Joe Biggs with infowars.com.
[01:59:20.000 --> 01:59:48.000]  This is Joe Biggs with infowars.com.
[01:59:48.000 --> 02:00:14.000]  This is Joe Biggs with infowars.com.
[02:00:14.000 --> 02:00:42.000]  This is Joe Biggs with infowars.com.
[02:00:42.000 --> 02:01:10.000]  This is Joe Biggs with infowars.com.
[02:01:10.000 --> 02:01:38.000]  This is Joe Biggs with infowars.com.
[02:01:38.000 --> 02:02:06.000]  This is Joe Biggs with infowars.com.
[02:02:06.000 --> 02:02:32.000]  This is Joe Biggs with infowars.com.
[02:02:32.000 --> 02:03:00.000]  This is Joe Biggs with infowars.com.
[02:03:00.000 --> 02:03:28.000]  This is Joe Biggs with infowars.com.
[02:03:28.000 --> 02:03:56.000]  This is Joe Biggs with infowars.com.
[02:03:56.000 --> 02:04:24.000]  This is Joe Biggs with infowars.com.
[02:04:24.000 --> 02:04:52.000]  This is Joe Biggs with infowars.com.
[02:04:52.000 --> 02:05:20.000]  This is Joe Biggs with infowars.com.
[02:05:20.000 --> 02:05:48.000]  This is Joe Biggs with infowars.com.
[02:05:48.000 --> 02:05:58.000]  This is Joe Biggs with infowars.com.
[02:06:18.000 --> 02:06:46.000]  This is Joe Biggs with infowars.com.
[02:06:46.000 --> 02:07:14.000]  This is Joe Biggs with infowars.com.
[02:07:14.000 --> 02:07:42.000]  This is Joe Biggs with infowars.com.
[02:07:42.000 --> 02:08:02.000]  This is Joe Biggs with infowars.com.
[02:08:12.000 --> 02:08:34.000]  This is Joe Biggs with infowars.com.
[02:08:34.000 --> 02:09:02.000]  This is Joe Biggs with infowars.com.
[02:09:02.000 --> 02:09:30.000]  This is Joe Biggs with infowars.com.
[02:09:30.000 --> 02:09:58.000]  This is Joe Biggs with infowars.com.
[02:09:58.000 --> 02:10:20.000]  This is Joe Biggs with infowars.com.
[02:10:20.000 --> 02:10:48.000]  This is Joe Biggs with infowars.com.
[02:10:48.000 --> 02:11:10.000]  This is Joe Biggs with infowars.com.
[02:11:10.000 --> 02:11:38.000]  This is Joe Biggs with infowars.com.
[02:11:38.000 --> 02:12:06.000]  This is Joe Biggs with infowars.com.
[02:12:06.000 --> 02:12:32.000]  This is Joe Biggs with infowars.com.
[02:12:32.000 --> 02:13:00.000]  This is Joe Biggs with infowars.com.
[02:13:00.000 --> 02:13:24.000]  This is Joe Biggs with infowars.com.
[02:13:24.000 --> 02:13:52.000]  This is Joe Biggs with infowars.com.
[02:13:52.000 --> 02:14:20.000]  This is Joe Biggs with infowars.com.
[02:14:20.000 --> 02:14:48.000]  This is Joe Biggs with infowars.com.
[02:14:48.000 --> 02:15:14.000]  This is Joe Biggs with infowars.com.
[02:15:14.000 --> 02:15:38.000]  This is Joe Biggs with infowars.com.
[02:15:38.000 --> 02:16:06.000]  This is Joe Biggs with infowars.com.
[02:16:06.000 --> 02:16:32.000]  This is Joe Biggs with infowars.com.
[02:16:32.000 --> 02:17:00.000]  This is Joe Biggs with infowars.com.
[02:17:00.000 --> 02:17:28.000]  This is Joe Biggs with infowars.com.
[02:17:28.000 --> 02:17:56.000]  This is Joe Biggs with infowars.com.
[02:17:56.000 --> 02:18:24.000]  This is Joe Biggs with infowars.com.
[02:18:24.000 --> 02:18:52.000]  This is Joe Biggs with infowars.com.
[02:18:52.000 --> 02:19:20.000]  This is Joe Biggs with infowars.com.
[02:19:20.000 --> 02:19:48.000]  This is Joe Biggs with infowars.com.
[02:19:48.000 --> 02:20:12.000]  This is Joe Biggs with infowars.com.
[02:20:12.000 --> 02:20:40.000]  This is Joe Biggs with infowars.com.
[02:20:40.000 --> 02:21:00.000]  This is Joe Biggs with infowars.com.
[02:21:00.000 --> 02:21:28.000]  This is Joe Biggs with infowars.com.
[02:21:28.000 --> 02:21:56.000]  This is Joe Biggs with infowars.com.
[02:21:56.000 --> 02:22:22.000]  This is Joe Biggs with infowars.com.
[02:22:22.000 --> 02:22:50.000]  This is Joe Biggs with infowars.com.
[02:22:50.000 --> 02:23:00.000]  This is Joe Biggs with infowars.com.
[02:23:20.000 --> 02:23:48.000]  This is Joe Biggs with infowars.com.
[02:23:48.000 --> 02:24:08.000]  This is Joe Biggs with infowars.com.
[02:24:08.000 --> 02:24:16.000]  This is Joe Biggs with infowars.com.
[02:24:16.000 --> 02:24:44.000]  This is Joe Biggs with infowars.com.
[02:24:44.000 --> 02:25:12.000]  This is Joe Biggs with infowars.com.
[02:25:12.000 --> 02:25:40.000]  This is Joe Biggs with infowars.com.
[02:25:40.000 --> 02:26:08.000]  This is Joe Biggs with infowars.com.
[02:26:08.000 --> 02:26:36.000]  This is Joe Biggs with infowars.com.
[02:26:36.000 --> 02:27:04.000]  This is Joe Biggs with infowars.com.
[02:27:04.000 --> 02:27:32.000]  This is Joe Biggs with infowars.com.
[02:27:32.000 --> 02:27:52.000]  This is Joe Biggs with infowars.com.
[02:27:52.000 --> 02:28:20.000]  This is Joe Biggs with infowars.com.
[02:28:20.000 --> 02:28:42.000]  This is Joe Biggs with infowars.com.
[02:28:42.000 --> 02:29:10.000]  This is Joe Biggs with infowars.com.
[02:29:10.000 --> 02:29:32.000]  This is Joe Biggs with infowars.com.
[02:29:32.000 --> 02:30:00.000]  This is Joe Biggs with infowars.com.
[02:30:00.000 --> 02:30:28.000]  This is Joe Biggs with infowars.com.
[02:30:28.000 --> 02:30:56.000]  This is Joe Biggs with infowars.com.
[02:30:56.000 --> 02:31:18.000]  This is Joe Biggs with infowars.com.
[02:31:18.000 --> 02:31:44.000]  This is Joe Biggs with infowars.com.
[02:31:44.000 --> 02:32:04.000]  This is Joe Biggs with infowars.com.
[02:32:04.000 --> 02:32:30.000]  This is Joe Biggs with infowars.com.
[02:32:30.000 --> 02:32:58.000]  This is Joe Biggs with infowars.com.
[02:32:58.000 --> 02:33:24.000]  This is Joe Biggs with infowars.com.
[02:33:24.000 --> 02:33:52.000]  This is Joe Biggs with infowars.com.
[02:33:52.000 --> 02:34:20.000]  This is Joe Biggs with infowars.com.
[02:34:20.000 --> 02:34:44.000]  This is Joe Biggs with infowars.com.
[02:34:44.000 --> 02:35:06.000]  This is Joe Biggs with infowars.com.
[02:35:06.000 --> 02:35:34.000]  This is Joe Biggs with infowars.com.
[02:35:34.000 --> 02:36:00.000]  This is Joe Biggs with infowars.com.
[02:36:00.000 --> 02:36:22.000]  This is Joe Biggs with infowars.com.
[02:36:22.000 --> 02:36:50.000]  This is Joe Biggs with infowars.com.
[02:36:50.000 --> 02:37:16.000]  This is Joe Biggs with infowars.com.
[02:37:16.000 --> 02:37:38.000]  This is Joe Biggs with infowars.com.
[02:37:38.000 --> 02:38:06.000]  This is Joe Biggs with infowars.com.
[02:38:06.000 --> 02:38:28.000]  This is Joe Biggs with infowars.com.
[02:38:28.000 --> 02:38:56.000]  This is Joe Biggs with infowars.com.
[02:38:56.000 --> 02:39:20.000]  This is Joe Biggs with infowars.com.
[02:39:20.000 --> 02:39:48.000]  This is Joe Biggs with infowars.com.
[02:39:48.000 --> 02:40:10.000]  This is Joe Biggs with infowars.com.
[02:40:10.000 --> 02:40:38.000]  This is Joe Biggs with infowars.com.
[02:40:38.000 --> 02:40:58.000]  This is Joe Biggs with infowars.com.
[02:40:58.000 --> 02:41:26.000]  This is Joe Biggs with infowars.com.
[02:41:26.000 --> 02:41:54.000]  This is Joe Biggs with infowars.com.
[02:41:54.000 --> 02:42:20.000]  This is Joe Biggs with infowars.com.
[02:42:20.000 --> 02:42:48.000]  This is Joe Biggs with infowars.com.
[02:42:48.000 --> 02:43:14.000]  This is Joe Biggs with infowars.com.
[02:43:14.000 --> 02:43:34.000]  This is Joe Biggs with infowars.com.
[02:43:34.000 --> 02:44:02.000]  This is Joe Biggs with infowars.com.
[02:44:02.000 --> 02:44:30.000]  This is Joe Biggs with infowars.com.
[02:44:30.000 --> 02:44:56.000]  This is Joe Biggs with infowars.com.
[02:44:56.000 --> 02:45:20.000]  This is Joe Biggs with infowars.com.
[02:45:20.000 --> 02:45:46.000]  This is Joe Biggs with infowars.com.
[02:45:46.000 --> 02:46:12.000]  This is Joe Biggs with infowars.com.
[02:46:12.000 --> 02:46:40.000]  This is Joe Biggs with infowars.com.
[02:46:40.000 --> 02:47:08.000]  This is Joe Biggs with infowars.com.
[02:47:08.000 --> 02:47:34.000]  This is Joe Biggs with infowars.com.
[02:47:34.000 --> 02:48:00.000]  This is Joe Biggs with infowars.com.
[02:48:00.000 --> 02:48:26.000]  This is Joe Biggs with infowars.com.
[02:48:26.000 --> 02:48:50.000]  This is Joe Biggs with infowars.com.
[02:48:50.000 --> 02:49:18.000]  This is Joe Biggs with infowars.com.
[02:49:18.000 --> 02:49:44.000]  This is Joe Biggs with infowars.com.
[02:49:44.000 --> 02:50:12.000]  This is Joe Biggs with infowars.com.
[02:50:12.000 --> 02:50:40.000]  This is Joe Biggs with infowars.com.
[02:50:40.000 --> 02:51:04.000]  This is Joe Biggs with infowars.com.
[02:51:04.000 --> 02:51:32.000]  This is Joe Biggs with infowars.com.
[02:51:32.000 --> 02:51:58.000]  This is Joe Biggs with infowars.com.
[02:51:58.000 --> 02:52:24.000]  This is Joe Biggs with infowars.com.
[02:52:24.000 --> 02:52:52.000]  This is Joe Biggs with infowars.com.
[02:52:52.000 --> 02:53:20.000]  This is Joe Biggs with infowars.com.
[02:53:20.000 --> 02:53:48.000]  This is Joe Biggs with infowars.com.
[02:53:48.000 --> 02:54:14.000]  This is Joe Biggs with infowars.com.
[02:54:14.000 --> 02:54:42.000]  This is Joe Biggs with infowars.com.
[02:54:42.000 --> 02:55:10.000]  This is Joe Biggs with infowars.com.
[02:55:10.000 --> 02:55:32.000]  This is Joe Biggs with infowars.com.
[02:55:32.000 --> 02:56:00.000]  This is Joe Biggs with infowars.com.
[02:56:00.000 --> 02:56:22.000]  This is Joe Biggs with infowars.com.
[02:56:22.000 --> 02:56:42.000]  This is Joe Biggs with infowars.com.
[02:56:42.000 --> 02:57:10.000]  This is Joe Biggs with infowars.com.
[02:57:10.000 --> 02:57:38.000]  This is Joe Biggs with infowars.com.
[02:57:38.000 --> 02:58:06.000]  This is Joe Biggs with infowars.com.
[02:58:06.000 --> 02:58:34.000]  This is Joe Biggs with infowars.com.
[02:58:34.000 --> 02:59:02.000]  This is Joe Biggs with infowars.com.
[02:59:02.000 --> 02:59:30.000]  This is Joe Biggs with infowars.com.
[02:59:30.000 --> 02:59:58.000]  You're listening to the Alex Jones show.
[03:00:00.000 --> 03:00:24.000]  From the front lines of the information war.
[03:00:24.000 --> 03:00:52.000]  From the front lines of the information war.
[03:00:52.000 --> 03:01:20.000]  From the front lines of the information war.
[03:01:20.000 --> 03:01:48.000]  From the front lines of the information war.
[03:01:48.000 --> 03:02:16.000]  From the front lines of the information war.
[03:02:16.000 --> 03:02:44.000]  From the front lines of the information war.
[03:02:44.000 --> 03:03:12.000]  From the front lines of the information war.
[03:03:12.000 --> 03:03:40.000]  From the front lines of the information war.
[03:03:40.000 --> 03:04:08.000]  From the front lines of the information war.
[03:04:08.000 --> 03:04:36.000]  From the front lines of the information war.
[03:04:36.000 --> 03:05:04.000]  From the front lines of the information war.
[03:05:04.000 --> 03:05:32.000]  From the front lines of the information war.
[03:05:32.000 --> 03:06:00.000]  From the front lines of the information war.
[03:06:00.000 --> 03:06:28.000]  From the front lines of the information war.
[03:06:28.000 --> 03:06:56.000]  From the front lines of the information war.
[03:06:56.000 --> 03:07:24.000]  From the front lines of the information war.
[03:07:24.000 --> 03:07:52.000]  From the front lines of the information war.
[03:07:52.000 --> 03:08:20.000]  From the front lines of the information war.
