[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[02:07:00.200 --> 02:07:12.200]  He's been a guest of mine on The War Room before. I'm not sure this may be your Alex Jones show debut. You have had a documentary, I think, on our website in the past, but Justin, you were tuned in to the Joe Rogan experience with Alex Jones,
[02:07:12.200 --> 02:07:21.200]  and there was something Joe Rogan was saying he didn't believe, something that you have covered in a documentary. So go ahead, Justin Fall from fourthwatchfilms.com.
[02:07:21.200 --> 02:07:26.200]  What was it that Joe Rogan said that you wanted to basically say, hey, I've studied this. It's real?
[02:07:26.200 --> 02:07:42.200]  So Joe Rogan basically was challenging some of the, I'll be careful how I say this, but something along the lines of challenging the validity of the claims that Alex was making about the Nazis, the higher entities, which many people will call the aliens,
[02:07:42.200 --> 02:07:50.200]  many Christians will call them the fallen angels or the demons, but we were dealing with a political alchemy, if you will.
[02:07:50.200 --> 02:08:05.200]  And, you know, when you get back into what the Nazis were actually doing, you know, we see the surface level, but now so much has been declassified and brought into the mainstream that we've learned that the whole Nazi regime at its core was based on
[02:08:05.200 --> 02:08:20.200]  harnessing a power called the Vril, that's V-R-I-L. And this was a power that they were, they were harnessing, they were calling down through seances with these higher entities or what they called the aliens or the ascended masters, the gods of old.
[02:08:20.200 --> 02:08:29.200]  And so I just wanted to make a point about this because, you know, Joe Rogan and Eddie Bravo, now Eddie Bravo seemed to know a little bit about it, but we're dealing with history here.
[02:08:29.200 --> 02:08:41.200]  We're dealing with the actual evidence that has been passed down and passed down. You see, the Nazis believed, Owen, that they were descendants of a divine race that had its origin inside the earth.
[02:08:41.200 --> 02:08:53.200]  Now, they believed in this thing called the hollow earth. And on the surface, it sounds kind of strange and it really is strange, but they believe that their bloodlines came through and were watered down and they were now the descendants of the gods or the
[02:08:53.200 --> 02:09:03.200]  aliens who were living on the earth. And so they were trying to reinstate this religion, this political alchemy by channeling these things through seances.
[02:09:03.200 --> 02:09:17.200]  And Alex even mentioned that they were getting technology through these seances. And I want to touch on this real quick. We know for a fact that there was somewhere over 30,000 Nazi scientists and doctors that were brought over by the
[02:09:17.200 --> 02:09:29.200]  United States government after the ending of the war. This is a fact. And people can look up operation paperclip. And so we brought these scientists over who were part of this quote unquote space program.
[02:09:29.200 --> 02:09:42.200]  And then that's what boosted NASA here in the United States. Our pharmaceutical industries boosted as soon as they came over. You know, again, we're dealing with crystal meth, what we know today as crystal meth, that came from Nazi Germany.
[02:09:42.200 --> 02:09:47.200]  These guys were on steroids. These guys were on different types of crystal meth.
[02:09:47.200 --> 02:10:03.200]  And let's just kind of just so the audience understands, you know, the reason why they had the, or at least the reason why they were saying, OK, let's bring these Nazis is these people were super smart, super intelligence had done incredible research not known to anyone else at the time.
[02:10:03.200 --> 02:10:13.200]  And so they figured that, look, these people are too valuable to just throw in jail or something. Let's at least bring them on to our team and see if we can't harness some of this technology and some of their knowledge.
[02:10:13.200 --> 02:10:23.200]  I'll take it a step further. If we didn't bring them over and we didn't, you know, put them in prison, somebody else was going to take, you know, take advantage of their expertise.
[02:10:23.200 --> 02:10:33.200]  And so what I'm saying is I'm not being critical about them bringing them over here. Obviously, a lot of good has come from that technology. I want to be fair about that.
[02:10:33.200 --> 02:10:39.200]  But when we understand where they were getting this technology, Werner von Braun, well, technically it's Werner von Braun.
[02:10:39.200 --> 02:10:49.200]  But he said specifically when they were doing the Alabama rocket tests, he said that the technology that they were receiving in Germany came from them.
[02:10:49.200 --> 02:11:01.200]  And he pointed up and he looked up. Now, whatever these entities were that were communicating with these these high up Nazis, they were masquerading around as good, higher entities.
[02:11:01.200 --> 02:11:13.200]  And I just want to make a really quick point here on this note. We know from 2 Corinthians chapter 11 that Satan himself is transformed into an angel of light.
[02:11:13.200 --> 02:11:19.200]  And therefore it's no great thing if his ministers are also transformed as the ministers of righteousness.
[02:11:19.200 --> 02:11:28.200]  And so this is not something that is impossible when we understand scripture, we understand the Bible, we understand that there are these entities.
[02:11:28.200 --> 02:11:35.200]  They're these higher entities, they're masquerading as angels of light. They're bringing down the technologies of heaven, if you will.
[02:11:35.200 --> 02:11:44.200]  And listen, I want to talk specifically about something that took place in Nazi Germany. There was a number of seances that were taking place with the Vril society.
[02:11:44.200 --> 02:11:53.200]  And one of the one of the very prominent women in the Vril maidens, they had this group called the Vril maidens and they were a group of women who have very long hair.
[02:11:53.200 --> 02:12:01.200]  They grew their hair sometimes down to their ankles and they believed that their hair was some type of a cosmic antenna to communicate and to attract these higher entities.
[02:12:01.200 --> 02:12:09.200]  Now, this sounds crazy, but this is history. We can prove this. You can Google Vril maidens. You can find pictures of these women with this crazy long hair.
[02:12:09.200 --> 02:12:15.200]  And that's actually in a bunch of different nation cultures. I mean, I think even the Greeks were doing that.
[02:12:15.200 --> 02:12:22.200]  Yeah, and specifically, we touched on in the film with Timothy Albrino and with Steve Quayle in the Holloworth Chronicles real quick.
[02:12:22.200 --> 02:12:25.200]  This is the film and we'll talk about it a little bit here in a minute.
[02:12:25.200 --> 02:12:31.200]  But what's going on here is that there's a reference in the Bible about women having head coverings while they're praying, right?
[02:12:31.200 --> 02:12:37.200]  And it's for the sake of the angels. Very peculiar passage there.
[02:12:37.200 --> 02:12:42.200]  But the point I want to make is that they were doing these seances. Alex mentioned that they were doing seances.
[02:12:42.200 --> 02:12:48.200]  And in these seances, they would get taken over by these higher entities and they began to do automatic writing.
[02:12:48.200 --> 02:12:55.200]  Automatic writing is where you just start writing. Your eyes are rolling back in your head. You don't know what you're doing. And several of these seances,
[02:12:55.200 --> 02:13:01.200]  they wrote these documents that were languages that they had no clue about.
[02:13:01.200 --> 02:13:06.200]  Like you're dealing with some ancient cuneiform. You're dealing with this coded Templar language as well.
[02:13:06.200 --> 02:13:14.200]  The Nazis didn't know what to make of this. And so it was over the course of so many years that they finally realized what these languages were.
[02:13:14.200 --> 02:13:24.200]  And they figured out how to translate them. And what they ended up with was a blueprint by combining both documents from two separate ancient languages.
[02:13:24.200 --> 02:13:30.200]  They combined them and had blueprints to create what they called the De Glacke or the Bell. This was their UFO.
[02:13:30.200 --> 02:13:36.200]  And in this, many people believe that this UFO was actually some type of a cosmic time machine.
[02:13:36.200 --> 02:13:42.200]  It was going to allow them to escape some judgment and go up to what was called the Aldebaran galaxy.
[02:13:42.200 --> 02:13:49.200]  Or was there another angle where they thought they could use this as a communication tool and not have to go through all the rigmarole
[02:13:49.200 --> 02:13:56.200]  of these great lengths with the seances and the hallucinations and all this? They're like, oh, now we have this machine and we can just kick it on.
[02:13:56.200 --> 02:14:03.200]  The machine was supposedly, and again, we have to be careful because a lot of speculation is around this topic.
[02:14:03.200 --> 02:14:10.200]  I don't want to get out and say A, B, and C about this machine because, I mean, we can only speculate and we can only read documents.
[02:14:10.200 --> 02:14:16.200]  But there's a lot of different ideas of what this machine actually could do and was going to do.
[02:14:16.200 --> 02:14:22.200]  One of the interesting things about this is that not only do we bring the scientists over to America,
[02:14:22.200 --> 02:14:30.200]  and we've got record of somewhere like 30 to 34, 35,000, but there is on record somewhere on the higher number
[02:14:30.200 --> 02:14:36.200]  of about a million Nazis that disappeared they were unaccounted for at the end of the war.
[02:14:36.200 --> 02:14:43.200]  And then you have the FBI vault material, which we show in the film, FBI vault material showing that their intel documented
[02:14:43.200 --> 02:14:49.200]  that Hitler was in Argentina at the time that this material surfaced.
[02:14:49.200 --> 02:14:54.200]  Oh my gosh, we're about to go to break and we're getting real out there in the conspiracy territory now,
[02:14:54.200 --> 02:15:00.200]  but a lot of this is on record, like you're saying, and then it just hit me because there's a bunch of other weird rumors.
[02:15:00.200 --> 02:15:07.200]  And some of it's documented. I mean, the Nazis did have bases in Antarctica, and there is text of them trying to basically
[02:15:07.200 --> 02:15:13.200]  tunnel through Antarctica. And it just hit me because we do have the record. I mean, look, maybe Hitler escaped Argentina.
[02:15:13.200 --> 02:15:19.200]  Maybe he didn't. I mean, that's what the FBI thought at the time. You can read J. Edgar Hoover's journals.
[02:15:19.200 --> 02:15:23.200]  I mean, it's all declassified folks. He's like, yeah, we have Hitler. He's in Argentina.
[02:15:23.200 --> 02:15:26.200]  Do we want to do anything about it? And they're just like, no, we cut a deal, essentially.
[02:15:26.200 --> 02:15:32.200]  But I just realized it's like Argentina, the tip of the Patagonia down at the south part of Argentina,
[02:15:32.200 --> 02:15:39.200]  it's the closest thing to Antarctica. So of course he would go to Argentina if he was trying to get down to Antarctica.
[02:15:39.200 --> 02:15:45.200]  But again, this is Justin Fall. He's done the research on this more than I have. He's with us from forthwatchfilms.com.
[02:15:45.200 --> 02:15:57.200]  We'll be right back. This is the Alex Jones Show. Don't go anywhere.
[02:16:16.200 --> 02:16:30.200]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:16:30.200 --> 02:16:34.200]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[02:16:34.200 --> 02:16:40.200]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:16:40.200 --> 02:16:46.200]  I can help you too. If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[02:16:46.200 --> 02:17:12.200]  Call 834 no tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[02:17:16.200 --> 02:17:24.200]  The Deep State began with World War I, the United States of Empire by James Dunn, available at Amazon Books.
[02:17:46.200 --> 02:17:56.200]  A new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill only at slingbow.com.
[02:18:17.200 --> 02:18:25.200]  But I want to be a market leader and I want you to have storeable food so it's a total win-win.
[02:18:25.200 --> 02:18:32.200]  We have those incredible sell prices back at m4store.com on m4 select storeable foods. They've got special diet foods.
[02:18:32.200 --> 02:18:38.200]  They've got three month supplies, year supplies, week emergency supplies. They've got so many great products there.
[02:18:38.200 --> 02:18:44.200]  Maybe you've got a three year supply. If stuff happens you can feed your whole block. It's up to us to be self-sufficient.
[02:18:44.200 --> 02:18:49.200]  You're buying war bonds, bringing great products and together with God's help we are unstoppable.
[02:18:49.200 --> 02:19:16.200]  m4store.com and m4 select high quality storeable foods powered by my Patreon supply.
[02:19:20.200 --> 02:19:25.200]  This is the formula that I personally have been taking for over a year.
[02:19:25.200 --> 02:19:31.200]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[02:19:31.200 --> 02:19:40.200]  You owe it to yourself, you owe it to your family and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be.
[02:19:40.200 --> 02:19:48.200]  Because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[02:19:48.200 --> 02:19:51.200]  Thanks to your support and your prayers together we're changing the world.
[02:19:51.200 --> 02:20:20.200]  Now it's time to change our bodies with ZShield and m4store.com.
[02:20:21.200 --> 02:20:32.200]  Justin Fall is my guest from 4th Watch Films.
[02:20:32.200 --> 02:20:45.200]  Man, you know, it's like sometimes you just see all the evil that we're dealing with, all the corruption and I mean there's comfort knowing that you're not separated from God.
[02:20:45.200 --> 02:20:53.200]  Because, I mean, if it wasn't for that, I mean, I don't know how I could go on to be honest with you folks.
[02:20:53.200 --> 02:20:56.200]  But at the end of the day you just have to remember we're not separated from God.
[02:20:56.200 --> 02:21:09.200]  And as long as you seek his hand watching you, protecting you, you can really fight this evil and not even worry about the thorns and the lashes.
[02:21:09.200 --> 02:21:15.200]  But it's tough. It is tough. Justin Fall from 4th Watch Films is going to be with us here for the remainder of the hour.
[02:21:15.200 --> 02:21:19.200]  We're going to take some phone calls later and get some news, but right now we're talking about his films.
[02:21:19.200 --> 02:21:23.200]  So let's pick up where we left off.
[02:21:23.200 --> 02:21:34.200]  Now again, you're addressing the fact that there were some questions during the Joe Rogan podcast about the Nazi seances, the Nazi technologies, them coming to the west,
[02:21:34.200 --> 02:21:43.200]  and then how that was, how the west then kind of brought most of this technology, which was at a ground roots level there,
[02:21:43.200 --> 02:21:47.200]  then brought it to fruition in the west, much of what we're seeing.
[02:21:47.200 --> 02:21:50.200]  So what else did you want to get to there, Justin?
[02:21:50.200 --> 02:21:55.200]  And if you want to, you know, talk about how people can see some of this stuff in your documentary,
[02:21:55.200 --> 02:21:59.200]  because a lot of times people see a documentary like a Hollow Earth Chronicles and they get freaked out like,
[02:21:59.200 --> 02:22:04.200]  well, this guy thinks there's a Hollow Earth. No, you're just documenting what the Nazis thought.
[02:22:04.200 --> 02:22:08.200]  You're just documenting what the Nazis believed. So I just want people to understand that.
[02:22:08.200 --> 02:22:14.200]  But Justin Fall, 4th Watch Films, go ahead and go back where we were at.
[02:22:14.200 --> 02:22:21.200]  Okay, so the idea of the Nazis, you know, they, they, we brought over, you know, 30 to 35,000.
[02:22:21.200 --> 02:22:25.200]  I don't have the exact numbers and there's some differing, differing numbers on that.
[02:22:25.200 --> 02:22:31.200]  But they come over here, NASA gets launched, all of a sudden we have a pharmaceutical industry that we did not have before,
[02:22:31.200 --> 02:22:36.200]  which, you know, Alex even mentioned pharmakia. Pharmakia is the Greek word for sorcery,
[02:22:36.200 --> 02:22:40.200]  which is the root word of what we, you know, what we call pharmacy today.
[02:22:40.200 --> 02:22:46.200]  The root word of pharmacy is sorcery, not to go too deep into that because there's some interesting ideas there.
[02:22:46.200 --> 02:22:54.200]  But the Bible says that in the last days, this is in Revelation, it talks about men are not going to repent of their pharmakia.
[02:22:54.200 --> 02:23:00.200]  They won't repent of their sorcery. And this gets into utilizing drugs for spiritual purposes.
[02:23:00.200 --> 02:23:04.200]  Anyway, the reason I bring that up is because the Nazis were already tapping into that.
[02:23:04.200 --> 02:23:07.200]  The Nazis were being taught these things by these higher entities.
[02:23:07.200 --> 02:23:11.200]  And the higher entities were masquerading as angels of light.
[02:23:11.200 --> 02:23:17.200]  They were being masquerading as the highest form of intelligence that the Nazis could possibly tap into.
[02:23:17.200 --> 02:23:22.200]  And furthermore, let me mention this too, oh, and this is very interesting.
[02:23:22.200 --> 02:23:33.200]  The Nazis are on record of taking a trip to Tibet where there is an alleged entrance into this supernatural place in the earth
[02:23:33.200 --> 02:23:37.200]  where there's a portal that's supposed to open and they call it Shambhala, or Shambhala.
[02:23:37.200 --> 02:23:39.200]  And many people have heard about this.
[02:23:39.200 --> 02:23:46.200]  They reference it in the Netflix series Iron Fist, Kong, Skull Island, all the movies, TV shows, Power Rangers.
[02:23:46.200 --> 02:23:57.200]  All this media is conditioning people to this idea of a hollow earth and these higher intelligent entities being inside these special places in the earth.
[02:23:57.200 --> 02:24:00.200]  Now, it sounds preposterous to the average person.
[02:24:00.200 --> 02:24:04.200]  But when we understand that in the last days, men are going to get worse and worse.
[02:24:04.200 --> 02:24:12.200]  The Bible says in the King James Bible, it talks about men shall wax worse and worse, deceiving and being deceived.
[02:24:12.200 --> 02:24:19.200]  So these same people that are doing all of this deceiving, they're also being deceived by these higher entities.
[02:24:19.200 --> 02:24:23.200]  I think it's really important to point that out because things are going to get crazier and crazier.
[02:24:23.200 --> 02:24:28.200]  And the Bible says that this antichrist is going to rule in the final time of the tribulation.
[02:24:28.200 --> 02:24:30.200]  Now, let me make a point about this.
[02:24:30.200 --> 02:24:32.200]  Hold that thought because I'm just trying to think.
[02:24:32.200 --> 02:24:39.200]  I mean, isn't even technically, I mean, we use the phrase hollow earth theory, but that's just kind of the modern day parlance.
[02:24:39.200 --> 02:24:46.200]  I was going to say in the ancient text, I mean, they do have essentially quote unquote hollow earth.
[02:24:46.200 --> 02:24:48.200]  I believe it's called shiol or hell.
[02:24:48.200 --> 02:24:51.200]  And so you could eventually, I mean, you could essentially say this is all biblical.
[02:24:51.200 --> 02:24:53.200]  They're going into shiol.
[02:24:53.200 --> 02:24:57.200]  They're communicating with these entities that are posing as higher entities, but it's actually Satan.
[02:24:57.200 --> 02:24:58.200]  Exactly.
[02:24:58.200 --> 02:25:00.200]  And this is so I'm so glad that you brought that up.
[02:25:00.200 --> 02:25:02.200]  Oh, and like you just nailed it.
[02:25:02.200 --> 02:25:07.200]  We do an amazing biblical exhortation in this film breaking down scripture.
[02:25:07.200 --> 02:25:09.200]  We've been having the book of Job.
[02:25:09.200 --> 02:25:13.200]  You have Satan coming before God in heaven and God says, where have you come from?
[02:25:13.200 --> 02:25:19.200]  And Job says, I've been walking back and forth up and down inside the earth.
[02:25:19.200 --> 02:25:24.200]  I mean, we've got some crazy biblical references, things under the earth.
[02:25:24.200 --> 02:25:26.200]  It talks about in the Bible, all of these things.
[02:25:26.200 --> 02:25:28.200]  And we do a great job of breaking this down.
[02:25:28.200 --> 02:25:30.200]  The sea gives up her dead.
[02:25:30.200 --> 02:25:36.200]  We've got all of this information in the film because it's a biblical rebuttal for a major New Age belief system.
[02:25:36.200 --> 02:25:37.200]  And as you said, this isn't new.
[02:25:37.200 --> 02:25:38.200]  This is ancient.
[02:25:38.200 --> 02:25:44.200]  Almost every ancient religion that's now, you know, these ancient religions are coming back now.
[02:25:44.200 --> 02:25:45.200]  They're getting more popular.
[02:25:45.200 --> 02:25:50.200]  They almost all have roots to some idea that there are the gods inside the earth.
[02:25:50.200 --> 02:25:56.200]  When Jesus died on the cross, it says that he descended into the earth and to the lower parts of the earth.
[02:25:56.200 --> 02:26:00.200]  And he preached to the spirits that were in prison.
[02:26:00.200 --> 02:26:03.200]  There are spirits imprisoned in the earth.
[02:26:03.200 --> 02:26:05.200]  That should tell people something.
[02:26:05.200 --> 02:26:13.200]  And then we also, we can compare with what Peter said, where we're dealing with the angels that are chained up right now from the descent of Genesis chapter six.
[02:26:13.200 --> 02:26:16.200]  There are so many things that we could break down here.
[02:26:16.200 --> 02:26:23.200]  I don't want to create such a tangent, but I want to say that this film does a great job breaking all of this information down.
[02:26:23.200 --> 02:26:32.200]  We even get into the whole the Nazi UFO battle in Antarctica with the United States forces and Admiral Bird operation high jump.
[02:26:32.200 --> 02:26:33.200]  This is on record.
[02:26:33.200 --> 02:26:35.200]  It's declassified.
[02:26:35.200 --> 02:26:37.200]  Now, if we have time, I want to get into that.
[02:26:37.200 --> 02:26:41.200]  You got the Flat Earthers and the geocentrists attention peaked right now.
[02:26:41.200 --> 02:26:45.200]  If you want to get into, you know, the ice wall and stuff like that.
[02:26:45.200 --> 02:26:48.200]  I'm just, I'm just kind of open minded to everything.
[02:26:48.200 --> 02:26:53.200]  I'm not necessarily a geocentrist or Flat Earther, but I am curious about it all in the larger scheme of things.
[02:26:53.200 --> 02:26:54.200]  I don't think it matters.
[02:26:54.200 --> 02:26:56.200]  Whatever it is, it's all created by God.
[02:26:56.200 --> 02:27:00.200]  But just to kind of, just to kind of put an end cap on this segment.
[02:27:00.200 --> 02:27:04.200]  To me, it's like this, because I was raised, I was raised Catholic.
[02:27:04.200 --> 02:27:10.200]  I went to church, you know, at least twice a week, read the Bible every day in school all the way up through high school.
[02:27:10.200 --> 02:27:14.200]  I was studying world religion, biblical scholars and all of this stuff.
[02:27:14.200 --> 02:27:18.200]  So for like the first 18 years of my life, I was always reading the Bible.
[02:27:18.200 --> 02:27:19.200]  And so I've heard all the stories.
[02:27:19.200 --> 02:27:20.200]  It's all been read.
[02:27:20.200 --> 02:27:22.200]  And so I'm 29 now.
[02:27:22.200 --> 02:27:28.200]  And then it was like for the last like decade, it wasn't that it was kind of like, it wasn't that the Bible was necessarily boring to me.
[02:27:28.200 --> 02:27:30.200]  It was just kind of like, I've been there.
[02:27:30.200 --> 02:27:32.200]  I've done it and it didn't really intrigue me anymore.
[02:27:32.200 --> 02:27:44.200]  And now in my later years, as you start to learn more of the kind of next level, I mean, literally it's like an interdem, it's like, it's like, the Bible is really like the playbook for life.
[02:27:44.200 --> 02:27:47.200]  It's like the interdimensional playbook for our experience here on earth.
[02:27:47.200 --> 02:27:50.200]  Like when you buy a video game, it comes with a manual.
[02:27:50.200 --> 02:27:52.200]  Like the Bible is the manual.
[02:27:52.200 --> 02:27:57.200]  And I feel like the way we interpret and study the Bible is so watered down now.
[02:27:57.200 --> 02:28:02.200]  It's almost like we almost approach the Bible being politically correct.
[02:28:02.200 --> 02:28:06.200]  That's a major problem in the church today and across the denominational lines.
[02:28:06.200 --> 02:28:09.200]  They are de-supernaturalizing the word of God.
[02:28:09.200 --> 02:28:15.200]  And when you take the word of God and it's natural understanding, which is that God is a supernatural creator.
[02:28:15.200 --> 02:28:22.200]  He is actually extraterrestrial if you want to use definitions because he is outside of the earth.
[02:28:22.200 --> 02:28:23.200]  He created this.
[02:28:23.200 --> 02:28:24.200]  He created time.
[02:28:24.200 --> 02:28:25.200]  He's outside of time.
[02:28:25.200 --> 02:28:27.200]  He's not part of this Terra system.
[02:28:27.200 --> 02:28:33.200]  And so when we start reading the word of God from an ancient perspective, an ancient supernatural perspective,
[02:28:33.200 --> 02:28:35.200]  we better understand what's going on.
[02:28:35.200 --> 02:28:38.200]  We better understand the spiritual warfare that we're dealing with.
[02:28:38.200 --> 02:28:41.200]  And furthermore, we understand the times that we're living.
[02:28:41.200 --> 02:28:44.200]  But it's important that people get that supernatural worldview back.
[02:28:44.200 --> 02:28:48.200]  But that's why they demonize the Bible.
[02:28:48.200 --> 02:28:50.200]  That's why they want to get rid of the Bible in schools.
[02:28:50.200 --> 02:28:53.200]  And that's why they're demonizing Jesus until you're not to say the name of Jesus.
[02:28:53.200 --> 02:28:55.200]  It's that.
[02:29:24.200 --> 02:29:28.200]  Hunters, anglers, campers and survivalists, get back to nature.
[02:29:28.200 --> 02:29:35.200]  Expand your horizons with the highest quality, most versatile, unique slingshots and slingbos on the market at slingbo.com.
[02:29:35.200 --> 02:29:39.200]  Slingbo products are compact and models start from just 1798.
[02:29:39.200 --> 02:29:42.200]  They're perfect for your bug out bag or storing in your vehicle.
[02:29:42.200 --> 02:29:46.200]  Give yourself and your loved ones the excitement and tradition of slingbo.
[02:29:46.200 --> 02:29:51.200]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:29:51.200 --> 02:29:54.200]  Feel the thrill only at slingbo.com.
[02:30:22.200 --> 02:30:33.200]  We have developed, hands down from our research, the most powerful, healthy energy drink, pre-workout and beyond system in the world.
[02:30:33.200 --> 02:30:36.200]  There's nothing else like it, you must experience it.
[02:30:36.200 --> 02:30:38.200]  It is a total game changer.
[02:30:38.200 --> 02:30:43.200]  It comes in easy to use, packaged, mixed in with fruit juice or water, whatever you'd like.
[02:30:43.200 --> 02:30:45.200]  Warning though, it's very, very strong.
[02:30:45.200 --> 02:30:46.200]  It lasts 10 hours.
[02:30:46.200 --> 02:30:52.200]  So take a half pack at the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[02:30:52.200 --> 02:31:21.200]  TurboForce and m4slive.com.
[02:31:22.200 --> 02:31:25.200]  We're moving 220 plus contaminants from your water.
[02:31:25.200 --> 02:31:34.200]  It's compact in size, easy to install and maintain and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[02:31:34.200 --> 02:31:42.200]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[02:31:42.200 --> 02:31:50.200]  Head to infowarstore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems.
[02:31:50.200 --> 02:31:55.200]  It's time to go big and go home with the pro pure whole house filtration system today.
[02:32:20.200 --> 02:32:24.200]  But with a discount we're running right now as an introductory offer, it's 240 a bar.
[02:32:24.200 --> 02:32:30.200]  No one can top that and it funds liberty in the fight against the globalist with 15 grams of protein and so much more.
[02:32:30.200 --> 02:32:31.200]  They're amazing.
[02:32:31.200 --> 02:32:40.200]  Secure your box of high quality m4slive protein bars today and you will be impressed and you will reorder them and you will help fund the operation to break the globalist back.
[02:32:40.200 --> 02:32:41.200]  It's up to you.
[02:32:41.200 --> 02:32:44.200]  It's easy by high quality protein bars for months instead of the globalist.
[02:32:44.200 --> 02:32:47.200]  It will fund the revolution to take it to the next level.
[02:32:47.200 --> 02:32:53.200]  Please secure these incredibly tasty high end protein bars at infowarstore.com today.
[02:32:53.200 --> 02:33:21.200]  You're listening to the Alex Jones show.
[02:33:21.200 --> 02:33:24.200]  Justin fall is my guest for watch films dot com.
[02:33:24.200 --> 02:33:33.200]  He wants to make a final comment here about his documentary and then we're going to take some phone calls and then I got to do a big news blitz before Mike Adams takes over the fourth hour.
[02:33:33.200 --> 02:33:43.200]  But you know the biggest deception is that Satan is in control or that humans are in control.
[02:33:43.200 --> 02:33:56.200]  And the truth of the matter is this whole experience is probably billions of years old and so for the omnipotent creator of everything there is no time.
[02:33:56.200 --> 02:34:08.200]  So so it's not like oh my gosh Satan is still in control or humans are still in control or there is no time the creator made everything and can destroy everything if the creator wanted to.
[02:34:08.200 --> 02:34:13.200]  So it's just a joke it's like the same thing like oh humans are in charge of climate change.
[02:34:13.200 --> 02:34:24.200]  No there's a burning ball of fire that is in charge of climate change and then where the earth is as far as the location to the bowling the burning ball of fire in the sky.
[02:34:24.200 --> 02:34:28.200]  So it's like the same thing like God is in charge of everything here.
[02:34:28.200 --> 02:34:42.200]  And if you think that you can get any power derived from from man over over God then you're just insane just like if you think you're responsible for climate change even though there's a bowling burning ball of fire in the sky and a volcano that just erupted.
[02:34:42.200 --> 02:34:46.200]  That is like 10 bajillion cow farts combined into one and that's just one volcano.
[02:34:46.200 --> 02:34:59.200]  But Justin fall fourth watch films dot com final comments on the documentary that highlights kind of the Nazi aspect of all this interdimensional stuff and this technology stuff and the seances that they were doing.
[02:34:59.200 --> 02:35:07.200]  Yeah so I just want to say the film is called hollow earth chronicles episode one the dark chambers Steve quell was a part of this.
[02:35:07.200 --> 02:35:17.200]  Tom Horn Timothy Alberino Jim Wilhelmsen L.A. Marzulli Josh Peck. We had a really good team putting together this Chad Riley was one of the executive producers.
[02:35:17.200 --> 02:35:30.200]  I just I want to encourage people to check this film out because it's going to really add a whole lot of supernatural element to many things that they understand from the Bible but they're going to understand them deeper now they're going to have a much more
[02:35:30.200 --> 02:35:37.200]  supernatural worldview and it's also going to be a very prophetic film people are going to understand where we're headed and why this is all important.
[02:35:37.200 --> 02:35:47.200]  So I just wanted to say that it's fourth watch films dot com it's all spelled out there you can get the DVD or you can stream it and high definition whichever format is easiest for you.
[02:35:47.200 --> 02:35:58.200]  But I just I want to encourage people that this is going to be a wild ride and it's going to challenge you and many things that you think you know but it's going to be very edifying by the time you're done watching this.
[02:35:58.200 --> 02:36:07.200]  People are watching it five six seven times and they're still not taking in all the information because it's so so filled with information so thank you for allowing me to talk about that.
[02:36:07.200 --> 02:36:16.200]  Joe Rogan if you're watching this you need to see this film it's going to present much of the evidence that you're asking Alex for maybe Joe should have you want to talk about it.
[02:36:16.200 --> 02:36:23.200]  All right let's let's go to Bob in Colorado today on the Alex Jones show with Justin fall go ahead Bob.
[02:36:23.200 --> 02:36:28.200]  Yeah I just want to say I'm an ex junkie.
[02:36:28.200 --> 02:36:29.200]  Okay.
[02:36:29.200 --> 02:36:36.200]  And your guys is the energy drink is freaking awesome.
[02:36:36.200 --> 02:36:41.200]  Well I'm glad that I'm glad that it fulfills you.
[02:36:41.200 --> 02:36:47.200]  I'm glad that it I'm glad that it gives you your fix and it's and it's a healthy alternative so thank you for supporting us Bob.
[02:36:47.200 --> 02:36:54.200]  This is a meth addict and I was a banger I bang gallons of that crap and I'm telling you this stuff is as close as it gets.
[02:36:54.200 --> 02:36:57.200]  Anyway that's not what I call it.
[02:36:57.200 --> 02:37:07.200]  You guys are right on Alex is right on this dimension they're talking about hell you know and and I used to sell a lot of stuff.
[02:37:07.200 --> 02:37:12.200]  Okay when it was when it was real when it was the real pro.
[02:37:12.200 --> 02:37:17.200]  What it does is it makes schizophrenics schizophrenic.
[02:37:17.200 --> 02:37:23.200]  And that's not everybody I used to make fun of them but they all had one thing in common.
[02:37:23.200 --> 02:37:26.200]  They all knew the same dimension.
[02:37:26.200 --> 02:37:27.200]  They talk about it.
