[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[2:08:35.880 --> 2:08:43.320]  i'm telling you the promising news but they want you scared they want to sell deadly vaccines to
[2:08:43.320 --> 2:08:48.760]  you and let me tell you how else they want you scared remember abc news got caught showing footage
[2:08:48.760 --> 2:08:53.960]  of knob creek machine gun shootout the minute i saw it it was knob creek every year for decades they go
[2:08:55.320 --> 2:09:00.280]  a couple hundred people line up with full auto machine guns with tracer rounds and then they
[2:09:00.280 --> 2:09:07.640]  start shooting tannerite and gasoline cans and again they blow up in big five ten foot tall
[2:09:08.760 --> 2:09:14.520]  mushroom clouds abc cropped it turned down the light levels and said kurnish city being vaporized
[2:09:15.480 --> 2:09:26.680]  by the evil turks under trump's command it was all a lie but we're not supposed to question them
[2:09:26.680 --> 2:09:32.040]  no no no not supposed to question small order question any mass shooting just don't question it
[2:09:32.920 --> 2:09:38.440]  but the democrats will sue you well it's an info wars dot com article by don salazar
[2:09:39.800 --> 2:09:47.160]  needs to go viral cbs slam for using corona virus footage from italian hospital to portray new
[2:09:47.800 --> 2:09:52.680]  your city so they show you a bunch of old people and others an overcrowded hospital
[2:09:53.240 --> 2:09:56.280]  and they don't show you that the other hospitals aren't actually crowded in new york
[2:09:56.280 --> 2:10:01.560]  we have that footage for you next hour that will roll some of that b-roll in a moment after we play
[2:10:01.560 --> 2:10:11.880]  this but uh here is the video from sky news cbs also ran this here is the patients are literally
[2:10:11.880 --> 2:10:22.280]  gasping for air the plastic bubbles the staff struggle to communicate through attempt to equalize
[2:10:22.280 --> 2:10:33.160]  the air pressure in the lungs nobody expected this nobody thought they'd be treating so many so quickly
[2:10:33.960 --> 2:10:41.320]  and it's not like flu it is chronic pneumonia and it is killing hundreds each day there are now
[2:10:41.320 --> 2:10:46.360]  15 patients the doctors say they've seen nothing like it before and are warning other countries
[2:10:46.360 --> 2:10:51.880]  especially the united kingdom that they will see it as well people have keep describing this as like
[2:10:51.880 --> 2:10:59.560]  flu it's worse than that no it's it's it's totally another thing i think it must and it goes on from
[2:10:59.560 --> 2:11:04.520]  there and then towards the end we have the sandwich video of cbs news running it but not
[2:11:04.520 --> 2:11:11.080]  showing you their italians and saying it was new york cbs news is being called out for airing
[2:11:11.080 --> 2:11:16.520]  footage from an italian hospital during a report on new york hospitals being overwhelmed cbs morning
[2:11:16.520 --> 2:11:21.080]  news ran the report in question was uploaded to youtube march 25th and covers the new york
[2:11:21.080 --> 2:11:26.280]  governor andrew qualmo talking the trump administration to task for not providing more ventilators
[2:11:27.080 --> 2:11:30.120]  so you see that piece of black propaganda is what it's called
[2:11:31.160 --> 2:11:34.440]  saying there's no ventilators we actually got a giant stockpile of them he had to admit
[2:11:34.440 --> 2:11:40.840]  read the transcript cbs reporter new york's governor says fema gave the state 400 ventilators
[2:11:41.800 --> 2:11:47.400]  to that he said this and he goes on to say trump won't give ventilators and they go look our people
[2:11:47.400 --> 2:11:55.400]  are dying total lie all fake giant hoax knock-a-cam shot please so again you can see right here the
[2:11:55.400 --> 2:12:01.640]  sky news about italy they run the same footage cover it all up and say that it is new york
[2:12:01.640 --> 2:12:06.920]  city now let's go ahead and run some of the cbs morning report here go ahead and back that up and
[2:12:06.920 --> 2:12:13.800]  here it is thousand icu beds i would be lying if i didn't say there's an incredible amount of stress
[2:12:13.800 --> 2:12:19.000]  across the river from new york at holy name medical center in new jersey the chief infectious
[2:12:19.000 --> 2:12:26.200]  disease specialist says his hospital has just 10 ventilators barely enough for now but if the worst
[2:12:26.200 --> 2:12:32.440]  is yet to come as we're expecting then it won't be the mayor of los angeles says new york could be
[2:12:32.440 --> 2:12:38.680]  a preview of what's to come we are anywhere from about six to 12 days behind what we are seeing
[2:12:38.680 --> 2:12:45.400]  in new york city and now to louisiana cases are growing faster they're gonna touch the quamo
[2:12:45.400 --> 2:12:48.360]  bitching and lying and later he had to admit that he's got a giant stockpile of thousands
[2:12:49.160 --> 2:12:52.600]  and empty hospitals just waiting and ready in fact while i talk about this for the next few
[2:12:52.600 --> 2:12:57.400]  minutes roll some of the compilation footage for tv viewers we're gonna air the audio of this in the
[2:12:57.400 --> 2:13:03.320]  four tower of robert barnes of the empty hospitals all over new york all over cadeticate all over
[2:13:03.320 --> 2:13:07.720]  texas all over california we even have seen reporters go out and ask the police to go yeah
[2:13:07.720 --> 2:13:13.160]  this place was full two weeks ago now no one's here it's all empty but they tell you
[2:13:13.160 --> 2:13:19.320]  that they're all full ladies and gentlemen we have hours of this there are hundreds of clips
[2:13:20.040 --> 2:13:29.080]  all over twitter of empty parking lots empty everywhere and and and the people show the
[2:13:29.080 --> 2:13:35.720]  local news showing it full they go there and it's empty you just saw bombshell footage
[2:13:35.720 --> 2:13:40.840]  or you heard it if you're a radio listener of them saying that a crowded hospital in italy
[2:13:40.840 --> 2:13:48.920]  with people on ventilators and respirators like garth vader is america on cbs news this is the
[2:13:48.920 --> 2:13:54.760]  deception that we've got to just put together like a little three-minute concise report after
[2:13:54.760 --> 2:13:59.160]  the show on this and get it to go out because this is just unbelievable
[2:13:59.160 --> 2:14:06.120]  so they're definitely fear mongering at a new level or we have a special guest joining us
[2:14:06.120 --> 2:14:10.840]  to talk about how the globalists want to cause a civil war and civil unrest with this and how
[2:14:10.840 --> 2:14:14.440]  if trump doesn't get his way to open the country back up in the next few weeks and we don't use
[2:14:14.440 --> 2:14:21.160]  the antivirals like zinc and selenium is also excellent at vitamin d the vitamin bottom d3
[2:14:22.040 --> 2:14:27.000]  if we don't do that and if the google and facebook and twitter are able to block this
[2:14:27.000 --> 2:14:32.360]  then we will have the hospitals overwhelmed as this is a serious virus but if you are loaded
[2:14:32.360 --> 2:14:37.960]  up on d3 and you're loaded up on zinc it doesn't mean you're bulletproof but it's like wearing
[2:14:37.960 --> 2:14:44.840]  level three body armor it's go look at the studies yourself they are so pissed at me
[2:14:45.800 --> 2:14:49.640]  but it's a fact and they're pissed at the the president they're pissed at the president of
[2:14:49.640 --> 2:14:53.880]  brazil and trump even last night his press conference was like well we're doing the studies
[2:14:53.880 --> 2:14:57.720]  now i'd heard it was very promising in europe but we'll see i have a feeling it's gonna come out
[2:14:57.720 --> 2:15:04.040]  be really good because he knows the studies it's in the high 90s and that's when you're already sick
[2:15:06.600 --> 2:15:11.960]  i'ma say it again if you don't have enough zinc in your body and you take the hydroxychloroquine
[2:15:11.960 --> 2:15:16.760]  from what i've read it does weird things your tissues because it just forces zinc into the cells
[2:15:16.760 --> 2:15:21.720]  but what if there's not already enough zinc there it does some weird things you need the zinc before
[2:15:21.720 --> 2:15:26.600]  you need the zinc before and by the way a month ago zinc was sold out everywhere you can't find it
[2:15:26.600 --> 2:15:33.960]  hardly anywhere because people are smart and they do their own damn research others in one big study
[2:15:33.960 --> 2:15:39.880]  affects the zinc solves some mystery uh virus replication that's in children i remember correctly
[2:15:39.880 --> 2:15:46.840]  i can't read for that far away but uh yeah there it is get pediatric patients and you read it over
[2:15:46.840 --> 2:15:52.360]  a 90 success rate in people that were going to be terminal but google doesn't want you to know that
[2:15:53.320 --> 2:15:58.280]  attention all radio listeners who still need food supplies if you've thought about the implication
[2:15:58.280 --> 2:16:03.160]  of food related supply chain disruptions and are concerned about the coming quarantines
[2:16:03.160 --> 2:16:08.600]  this will be the most important message you will ever hear here's why in the next few days all
[2:16:08.600 --> 2:16:14.200]  americans will face extremely hard choices if we've learned anything from china and italy
[2:16:14.200 --> 2:16:19.800]  it's that quarantines and enforced lockdowns are just a few days away here in the u.s listen
[2:16:19.800 --> 2:16:25.240]  while dehydrated food is becoming scarce you can still get enough open pollinated heirloom seeds
[2:16:25.240 --> 2:16:30.680]  to grow a one-acre crisis garden the truth is growing nutrient dense vegetables in the days
[2:16:30.680 --> 2:16:36.680]  ahead may actually be the single most important thing you do go to survivalcbank.com and watch
[2:16:36.680 --> 2:16:42.120]  the new video to understand the nature of the threat this could be life-saving lockdowns can
[2:16:42.120 --> 2:16:48.120]  last from six to eight weeks get free bonus seeds special quarantine reports to go to
[2:16:48.120 --> 2:16:56.280]  survivalcbank.com that's survivalcbank.com we can all agree these are troubled times right
[2:16:56.280 --> 2:17:01.720]  so do you know who's on your wireless network whether it's a big company selling your data
[2:17:01.720 --> 2:17:07.000]  or a foreign hacker if you're not protected everybody sees your information that's why
[2:17:07.000 --> 2:17:13.320]  you need flash routers a custom wi-fi router created for privacy flash routers uses a virtual
[2:17:13.320 --> 2:17:19.160]  private network or vpn to protect your online activity from hackers trackers and large corporations
[2:17:19.160 --> 2:17:25.000]  and not just one but all your devices with one out of the box setup plus flash routers also
[2:17:25.000 --> 2:17:29.880]  enhances your wireless network performance and unlocks powerful router management tools to
[2:17:29.880 --> 2:17:37.160]  let you take total control of your network call or click flash routers today at 1-866-509-5817
[2:17:37.160 --> 2:17:48.520]  or FLA SHR OUT ERS.com that's 1-866-509-5817 or flash routers.com protect your wireless home
[2:17:48.520 --> 2:17:59.320]  network today with flash routers we told you it was coming we told you that use of virus
[2:17:59.320 --> 2:18:04.040]  to scare everyone into submission and set up martial law and quarantines and lockdowns and
[2:18:04.040 --> 2:18:08.520]  now it's here and i'm here to tell you the rest of the story three things we all need to do pray to
[2:18:08.520 --> 2:18:14.440]  god for justice and seek his face and repent get politically active and wake others up to
[2:18:14.440 --> 2:18:19.880]  understand this is the world government the castle society it's all being announced and get
[2:18:19.880 --> 2:18:25.400]  prepared yourselves and boost your immune systems and get high quality food and we're able to ship
[2:18:25.400 --> 2:18:31.400]  storeable food again our supplier has expanded their factories and now are able to take new
[2:18:31.400 --> 2:18:36.120]  wars it's not about this virus folks that's only the trigger the detonator it's about what's coming
[2:18:36.120 --> 2:18:40.600]  in the future with elections may be cancelled with the global is trying to implode the economy
[2:18:40.600 --> 2:18:46.840]  this is just the beginning of the crisis not the middle and not the end so get prepared now while
[2:18:46.840 --> 2:18:54.920]  you still can at m4store.com and please be Paul Revere's and spread the word you have to look
[2:18:54.920 --> 2:19:02.520]  really hard at mainstream television news and print media and mainstream establishment media news
[2:19:02.520 --> 2:19:08.680]  sites to find it i did extensive searches online with different search engines i i did a bunch of
[2:19:08.680 --> 2:19:14.760]  research looking at different tv archives and i couldn't find hardly anything except a couple
[2:19:14.760 --> 2:19:22.680]  local news stories with medical doctors on there talking about zinc zinc zinc the element on the
[2:19:22.680 --> 2:19:31.400]  periodic table that is essential to life and that is the most antiviral natural compound out there
[2:19:31.400 --> 2:19:37.960]  in thousands and thousands of studies by the most prestigious universities including big studies
[2:19:37.960 --> 2:19:47.720]  on the coronavirus family so do yourself a favor search engine zinc and antiviral three words zinc
[2:19:47.720 --> 2:19:52.920]  antiviral zinc antiviral do yourself a favor zinc antiviral
[2:19:56.840 --> 2:19:59.480]  you're listening to the alex jones show
[2:19:59.480 --> 2:20:14.840]  from the hands that came down from the side it came down from the feet it came down
[2:20:15.640 --> 2:20:28.520]  and ran to the ground between heaven and hell a tear drop fell in the deep crimson dew the tree of
[2:20:28.520 --> 2:20:41.400]  life grew and the blood gave life to the branches of the tree and the blood was the price that set
[2:20:41.400 --> 2:20:50.920]  the captives free and the numbers that came through the fire and the flood clung to the tree and
[2:20:50.920 --> 2:20:58.200]  were redeemed by the blood we are back live broadcasting world live i'm your host alex jones
[2:20:58.200 --> 2:21:01.400]  i'll be hosting summer the fourth hour then barns is going to take over and he's going to be hosting
[2:21:01.400 --> 2:21:06.920]  a new show starting tonight seven o'clock central for two hours only six minutes of commercials
[2:21:06.920 --> 2:21:11.960]  that'll be the local ads and we'll tell you the name of the show and more either next hour or
[2:21:11.960 --> 2:21:18.680]  tonight when it launches it'll be on the radio and tv satellites and it will also be sent out
[2:21:18.680 --> 2:21:25.880]  on the feeds at ban dot video and then pull wars dot com forward slash show so definitely look for
[2:21:25.880 --> 2:21:33.640]  that we're going to run it for now i was thinking monday through thursday but we need to do money
[2:21:33.640 --> 2:21:36.840]  through friday we may do a rebroadcast friday and add a bunch of best stuff in there because
[2:21:36.840 --> 2:21:39.640]  stations are actually asking saying yeah we want to pick it up they're gonna want to five days a
[2:21:39.640 --> 2:21:45.240]  week so we'll work on that so that's coming up john mark was a youtuber political analyst
[2:21:45.240 --> 2:21:50.760]  dedicated helping american patriots make the mistakes of the 20th century and implement strategies
[2:21:50.760 --> 2:21:55.480]  that will save our civilization obstruction to hands of parasitic elites and leftists he predicts
[2:21:55.480 --> 2:21:59.560]  an america current political crisis will likely end in some combination of civil war separation
[2:21:59.560 --> 2:22:04.360]  or secession movements he used already breaking up he is a strong opponent of the solutions provided
[2:22:04.360 --> 2:22:13.080]  by what is that proper terrianism to bring us out of the crisis provide a secure and prosperous
[2:22:13.080 --> 2:22:18.040]  future for america and ensure our descendants don't have to go through this conflict again
[2:22:18.040 --> 2:22:23.880]  john mark says dot com and et john mark says on twitter and you've got a lot to cover today
[2:22:23.880 --> 2:22:28.120]  want to go over with you the likelihood of civil war coming to america root causes the conflict
[2:22:28.120 --> 2:22:33.880]  what could trigger it to go hot and what it could happen if it did coronavirus developments
[2:22:33.880 --> 2:22:39.800]  separations of session talk why the left never learns and proper terrianism so thanks for joining
[2:22:39.800 --> 2:22:45.240]  us what do you want to tackle first john well i think it'd be good and first of all thanks very
[2:22:45.240 --> 2:22:49.240]  much for having me alex i appreciate it and i think it would be a good place to pick off
[2:22:49.800 --> 2:22:54.280]  to pick up with all of you've been talking about with the coronavirus just start out talking about
[2:22:54.280 --> 2:22:59.560]  one of the main things i talk about on my youtube channel which is uh i think it's deterministic
[2:22:59.560 --> 2:23:06.600]  that some sort of civil war in some way shape or form will come to america um whether that's
[2:23:06.600 --> 2:23:12.360]  fourth generation warfare secession separation movements uh i've been saying for a while and
[2:23:12.360 --> 2:23:16.600]  others that i'm involved with have been saying as well that it's pretty much deterministic and so
[2:23:16.600 --> 2:23:22.680]  we could see some unrest from this coronavirus crisis situation depending on how successful
[2:23:22.680 --> 2:23:26.920]  our enemies are at tamping down on some of the common sense solutions you were talking about
[2:23:26.920 --> 2:23:32.440]  earlier with mike adams um and then there's also a longer term trend that is basically what's
[2:23:32.440 --> 2:23:37.880]  making it deterministic that america is not going to survive in its current form and that long
[2:23:37.880 --> 2:23:43.960]  term trend is what deterministic means for some people sure deterministic means uh you know it's
[2:23:43.960 --> 2:23:48.440]  about as certain as far as i can tell as the sun rising in the east in the morning there's there's
[2:23:48.440 --> 2:23:54.920]  no way to avoid it because the powers that be are not stopping the trend that is causing this to come
[2:23:54.920 --> 2:23:58.440]  to a head that's right that's why they're so confident even though they're losing now they
[2:23:58.440 --> 2:24:03.240]  believe the people are so weak and getting dumber and dumber because of the decadence uh because
[2:24:03.240 --> 2:24:08.200]  of the freedom that that it'll fall in the end absolutely they try to dump people down they
[2:24:08.200 --> 2:24:15.240]  don't want people to be informed and uh you know aside from even the core coronavirus aspect there's
[2:24:15.240 --> 2:24:20.920]  been a long-term trend since the 1965 immigration act where the immigrants that are coming in since
[2:24:20.920 --> 2:24:25.480]  then are voting more than two to one left-wing democrat and so they turn to california from
[2:24:25.480 --> 2:24:30.520]  red to deep deep blue now texas is turning purple more and more purple with every election
[2:24:31.160 --> 2:24:36.760]  and uh you know trump is probably going to win in 2020 because joe biden has dementia but uh after
[2:24:36.760 --> 2:24:42.200]  that it's going to be very hard for the republicans to win any elections just because of uh the way
[2:24:42.200 --> 2:24:46.360]  that the demographics vote we're not talking about every individual here we're talking about majority
[2:24:46.360 --> 2:24:52.040]  voting patterns that have a huge effect on how the elections go and so uh and this is something
[2:24:52.040 --> 2:24:56.920]  everybody in the political class knows uh you know all the politicians all the advisors all the
[2:24:56.920 --> 2:25:02.040]  campaign advisors they all know about this demographic voting patterns and and how they vote
[2:25:02.040 --> 2:25:06.520]  and it hasn't really changed in decades and it's just going to be coming to a head very soon so
[2:25:06.520 --> 2:25:11.640]  at the latest to take the guns and and make all our little boys have meetings and decide whether
[2:25:11.640 --> 2:25:14.760]  they want their genitals cut off i mean it's going to cause a civil war because they're not
[2:25:14.760 --> 2:25:19.720]  going to stop fourths inoculations 80 tax rates yeah they're they're coming they're not going to
[2:25:19.720 --> 2:25:25.240]  stop you sound exactly like me and my youtube channel alex where i say listen once the once
[2:25:25.240 --> 2:25:28.920]  these people get power where they are winning all the elections what do you think they're going to
[2:25:28.920 --> 2:25:32.920]  do they're going to do exactly what they did in virginia which is go after the guns a number one
[2:25:33.560 --> 2:25:38.360]  and then we're going to i mean virginia is kind of like a microcosm of what we're going to see
[2:25:38.360 --> 2:25:42.440]  all across the nation as this starts happening more and more where we almost have de facto
[2:25:42.440 --> 2:25:48.680]  separation within the state of virginia between the big blue cities and the uh you know the rest
[2:25:48.680 --> 2:25:54.040]  of the state that you know has some kind of common sense in their heads well you're right i mean it
[2:25:54.040 --> 2:25:59.400]  it is a microcosm of all the sudden they wake up the democrats are going to ban all semi-autos
[2:25:59.400 --> 2:26:06.520]  ban gun shops and ban um shooting ranges ban 10 round magazines and up and all the sudden 50
[2:26:06.520 --> 2:26:10.680]  thousand people show up on the streets and then the left doesn't know what to do but it shows
[2:26:10.680 --> 2:26:18.120]  the immovable force runs into the unstoppable you know uh object here and it's it's it's just crazy
[2:26:19.160 --> 2:26:23.160]  absolutely and you bring up a good point which is uh one of the things i talk about on my channel is
[2:26:23.160 --> 2:26:29.720]  we now understand scientifically why the right wing cannot persuade the left wing for many decades
[2:26:29.720 --> 2:26:34.360]  we've thought in america as grassroots right wingers if we can just talk to the left enough if we
[2:26:34.360 --> 2:26:39.400]  can just explain it you know what i mean but they don't listen most of them obviously don't listen
[2:26:39.400 --> 2:26:46.120]  explain the science of that it's a real mental illness yes and in in these you know the leftist
[2:26:46.120 --> 2:26:50.280]  as you were talking about earlier with with uh mike i think you asked the question how why are
[2:26:50.280 --> 2:26:56.040]  they like this and so we understand scientifically why that why that is and so basically it comes down
[2:26:56.040 --> 2:27:02.920]  to um if you look at big five personality research um and uh that's kind of the most scientific way
[2:27:02.920 --> 2:27:07.960]  of analyzing people's personalities big five scientific research and then uh research on
[2:27:07.960 --> 2:27:13.000]  moral instincts the differences in moral instincts between leftists and right wingers left wingers
[2:27:13.000 --> 2:27:17.960]  have a very narrow range of moral instincts it's basically just harm and care it's almost like
[2:27:17.960 --> 2:27:22.520]  a mother the way a mother looks at an infant and they they're almost they don't think three
[2:27:22.520 --> 2:27:27.000]  dimensionally and they get manipulated very correct absolutely and that's why they're very
[2:27:27.000 --> 2:27:32.440]  easy to manipulate and uh so that's it's basically comes down to biology i mean there's three if you
[2:27:32.440 --> 2:27:37.160]  look at the data there's three personality clusters that the population basically divides into
[2:27:37.160 --> 2:27:41.080]  which is the left or we might call it the female instinct even though there's obviously
[2:27:41.080 --> 2:27:46.600]  men in that group as well uh the left like the consumption instinct we just we want to consume
[2:27:46.600 --> 2:27:50.680]  there are people that are needing now we need to give them what they need right now and then the
[2:27:50.680 --> 2:27:55.960]  libertarian which is like leave me alone to produce and then the what we call the mature male or
[2:27:55.960 --> 2:28:00.760]  conservative which is we're going to conserve and and defend and protect and advance all
[2:28:00.760 --> 2:28:05.880]  civilizational assets we're not going to allow it to be destroyed and that's kind of people like us
[2:28:05.880 --> 2:28:11.960]  because the left literally would say like a goat will pull up grass out of the dirt and eat the
[2:28:11.960 --> 2:28:17.080]  roots cows don't do that so we put goats on land like they did in texas it creates rocky
[2:28:17.080 --> 2:28:21.320]  scrub rush within a generation or so uh and and and so you can see like conservatives are more
[2:28:21.320 --> 2:28:27.320]  like cows they they leave the roots to grow back left this will will say cut down an apple orchard
[2:28:27.320 --> 2:28:32.200]  they'll pull the apples off as an as an allegory eat the apples and say and we want firewood this
[2:28:32.200 --> 2:28:37.320]  winter let's chop down the apple trees for firewood you go no no go on down the road and get those oak
[2:28:37.320 --> 2:28:43.240]  trees okay because they don't produce any fruit we will need these apples next next next year and
[2:28:43.240 --> 2:28:48.680]  they go no no we need firewood now it's quicker it's right here we're cutting the apple trees down
[2:28:48.680 --> 2:28:54.760]  in the backyard you're like but you'll get apples for 20 years don't do that attention gcn
[2:28:54.760 --> 2:28:59.640]  self-reliance listeners if you've ever wanted an emergency solar survival backup system but
[2:28:59.640 --> 2:29:04.200]  we're waiting for prices too crazy to pass up this will be the most important message you'll
[2:29:04.200 --> 2:29:08.520]  ever hear bill hide here and i want to tell you about a huge sale with historically low prices
[2:29:08.520 --> 2:29:13.240]  on our ppx microgrid system that's going to let you produce an endless supply of electricity
[2:29:13.240 --> 2:29:17.720]  off the grid the clearance price is a result of the historic flooding we're having here right on
[2:29:17.720 --> 2:29:22.040]  the east bank of the mississippi because of the flooding we've had to move a lot of our inventory
[2:29:22.040 --> 2:29:26.520]  to a temporary location and rather than move it back to the warehouse we thought we'd offer the
[2:29:26.520 --> 2:29:31.560]  system at a price that might seem unbelievable if you didn't know the floodwaters backstory so
[2:29:31.560 --> 2:29:37.000]  here's what you should do right now check out the ppx microgrid system at myownpowergrid.com
[2:29:37.000 --> 2:29:43.160]  that's myownpowergrid.com over a thousand dollars in great off the grid gear and a ton of bonuses
[2:29:43.160 --> 2:29:49.720]  too and the best part you're not going to pay 750 or 500 dollars 300 or even 200 go to myownpowergrid.com
[2:29:49.720 --> 2:29:57.320]  to learn more that's myownpowergrid.com it's time to take a new healthier approach to one of your
[2:29:57.320 --> 2:30:02.680]  most basic needs the alexa pure pro water filtration system is the same water filter that alex and the
[2:30:02.680 --> 2:30:07.080]  info wars crew use every day for the purest water possible you can start cleaning the toxins from
[2:30:07.080 --> 2:30:11.320]  your water for clean healthy and delicious drinking water perfect for preppers or anyone concerned
[2:30:11.320 --> 2:30:16.680]  with the healthier source of water the alexa pure pro can remove up to 99.9 percent of impurities
[2:30:16.680 --> 2:30:21.800]  this groundbreaking gravity-fed water filtration system is like no other make sure your water is
[2:30:21.800 --> 2:30:26.280]  up to your standards today with the alexa pure pro it's no secret that our daily lines are becoming
[2:30:26.280 --> 2:30:30.680]  more stressful no matter what side of the political spectrum you're on we're all feeling the strain
[2:30:30.680 --> 2:30:35.000]  from rising pressure that's why we worked hard to create a new formula to support your fight
[2:30:35.000 --> 2:30:40.200]  against stress in your hectic day chill force is our solution for a true healthy relaxation
[2:30:40.200 --> 2:30:45.640]  support formula as the long-awaited sister formula to brain force plus this formula includes powerful
[2:30:45.640 --> 2:30:50.120]  ingredients and time-tested practices to help fight your stress levels it's time to take a
[2:30:50.120 --> 2:31:01.320]  breather get chill force today at info wars store.com listen there's a show from pbs called it's okay
[2:31:01.320 --> 2:31:09.640]  to be smart so everyone who's been smart and has been put down for it and persecuted it's okay to
[2:31:09.640 --> 2:31:15.720]  finally be smart that's right there's not two sexes and and families are bad and the right thing to do
[2:31:15.720 --> 2:31:19.720]  is to sterilize your son so he knows we've got an evil warm hunger i mean a lot of feminists are
[2:31:19.720 --> 2:31:24.040]  saying we should have the government passed laws that mail embryos account but what's better and more
[2:31:24.040 --> 2:31:29.320]  reformed and more humanitarian is to convince them when they're five years old and their testicles
[2:31:29.320 --> 2:31:33.880]  chopped off and again global warming is real we got to pay lord Rothschild all of our money and
[2:31:33.880 --> 2:31:37.960]  the pandemic's all real we've got to be locked up in our houses we've got to use the language
[2:31:37.960 --> 2:31:44.760]  the universities say we're not a culture anything oh no no we're not we're good people we're good
[2:31:44.760 --> 2:31:50.600]  people that went to these corporate systems that didn't brainwash us no no they enlightened us how
[2:31:50.600 --> 2:31:58.520]  to censor and how to rule and out of control there is a paradox yes this virus is deadly
[2:31:58.520 --> 2:32:05.720]  and does kill people and so do many other countless viruses that have already existed that do exist
[2:32:05.720 --> 2:32:13.160]  and will exist but when trump says the cure is worse than disease he's talking about the media
[2:32:13.160 --> 2:32:21.400]  hype creating hysteria and trying to create uncertainty and it is that that i oppose it is
[2:32:21.400 --> 2:32:29.240]  not the american way to cower and live in fear and to follow the edicts and precedents set by
[2:32:29.240 --> 2:32:36.120]  communist china and hyper authoritarian singapore where you're now being given six months in jail
[2:32:36.120 --> 2:32:43.000]  if you don't stand at least six feet away from someone this is being used by social engineers
[2:32:43.000 --> 2:32:49.720]  and they admit that they are trying to transform our world forever into something unrecognizable
[2:32:49.720 --> 2:32:53.800]  from what it's been we are not slaves and we must not act like it
[2:32:53.800 --> 2:33:00.520]  you're listening to the alex jones show
[2:33:06.520 --> 2:33:17.080]  i got off the riverboat new orleans in the spring of 82 i walked into a gambling house
[2:33:17.080 --> 2:33:27.880]  as gamblers often do i had myself a drink and i joined in a polka game the dealer was a woman
[2:33:28.920 --> 2:33:37.320]  so i asked her for her name she smiled at me so pretty but a hush fell over the place as a big
[2:33:37.320 --> 2:33:49.480]  man crossed the table stood up and slapped my face oh a knife oh a knife a long bladder and
[2:33:49.480 --> 2:33:58.840]  steel i have my gun don't take your evil life you can bet my bowie knife will we are back live
[2:33:58.840 --> 2:34:02.280]  broadcasting world wide i'm your host alex jones i think it was a good analogy i came up with
[2:34:02.280 --> 2:34:08.280]  in my life i chose imagined fruit trees they could produce 20 years 50 years there was some
[2:34:08.280 --> 2:34:13.400]  old apple trees that my dad said were old when he was a kid that were still producing
[2:34:13.400 --> 2:34:19.080]  apples 10 15 years ago in our ranch since then they've all finally died little shriveled apples but
[2:34:19.880 --> 2:34:25.240]  they were probably 70 year old apple trees but usually 20 years you know good apples out of an
[2:34:25.240 --> 2:34:31.480]  apple tree communists are the types that would chop down apple trees for firewood even though there's
[2:34:31.480 --> 2:34:39.720]  trees 100 yards further that's a communist type thing to do that's what they do in venezuela
[2:34:39.720 --> 2:34:46.520]  stuff just like that see conserving actually means having more it's holding seed back to
[2:34:46.520 --> 2:34:50.200]  replant it so farming is the best example to use of that but a communist would say
[2:34:51.640 --> 2:34:57.640]  no it's mean to make us go down the street a mile and cut oak trees we have apple trees
[2:34:57.640 --> 2:35:03.640]  in our backyard we have pear trees and we're going to cut those down for firewood but you're
[2:35:03.640 --> 2:35:09.480]  like but you'll get apples and pears for another decade or 20 years 30 years off these shut up
[2:35:09.480 --> 2:35:15.000]  racist we need fire now we need to be warm now i think that's a good allegory going back to john
[2:35:15.000 --> 2:35:21.000]  mark uh successful and smart uh analyst he's got a great youtube and twitter channel for now um
[2:35:21.000 --> 2:35:27.240]  um i think that's a good parable what are some real world uh examples of that for people
[2:35:28.760 --> 2:35:33.240]  of the divide between left and right you're talking about well yeah how the left
[2:35:33.240 --> 2:35:37.400]  i mean obviously the controllers over the left are psychotic eugenicists and from the research
[2:35:37.400 --> 2:35:43.320]  but the average leftist thinks very one-dimensional like take all the rich people's money well if you
[2:35:43.320 --> 2:35:47.400]  took all the rich people's money it wouldn't even fund things for six months plus they've all written
[2:35:47.400 --> 2:35:51.560]  the law with their tax exemptment offshore and most the really rich people actually push taxes on
[2:35:51.560 --> 2:35:56.760]  middle class because they don't want competition the left doesn't get how it really works exactly
[2:35:56.760 --> 2:36:01.080]  right their brains are and this is why we beat our heads against the wall trying to talk to them
[2:36:01.080 --> 2:36:05.560]  it's so frustrating to talk to them because they just ignore all these points like the one you just
[2:36:05.560 --> 2:36:10.120]  made you know aoc ocasio-cortez goes out and says you know let's just take the money from the
[2:36:10.120 --> 2:36:14.120]  billionaires well that's not going to last very long and all it's going to do is flow right back
[2:36:14.120 --> 2:36:19.800]  up to more billionaires again so they they're just incapable of thinking in this long-term manner
[2:36:19.800 --> 2:36:24.760]  and i think your analogies are great there so to me what it brings up is okay what do we do
[2:36:24.760 --> 2:36:31.080]  about this then because we all sense the crisis escalating here in america obviously and then
[2:36:31.080 --> 2:36:35.720]  if the republican party very soon can't win any more elections due to immigration what is the
[2:36:35.720 --> 2:36:41.640]  solution to this thing and so that's why i talk about okay what could a civil war actually look
[2:36:41.640 --> 2:36:45.960]  like what what are some of the big factors to consider how could this possibly come about
