[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[02:10:39.000 --> 02:10:40.000]  It's ridiculous.
[02:10:40.000 --> 02:10:47.000]  They report on all of this violence in the Middle East that happens after Trump makes his speech about Jerusalem.
[02:10:47.000 --> 02:10:50.000]  But it's funny because they never reported on that before.
[02:10:50.000 --> 02:10:52.000]  You know that was going on before, right?
[02:10:52.000 --> 02:10:53.000]  That's not new.
[02:10:53.000 --> 02:10:57.000]  Like they've been bombing and fighting each other for years now.
[02:10:57.000 --> 02:11:00.000]  So why do they report on it after Trump makes that statement?
[02:11:00.000 --> 02:11:01.000]  Oh yeah, because they want to blame him.
[02:11:01.000 --> 02:11:03.000]  Listen, I want to tell you something.
[02:11:03.000 --> 02:11:05.000]  My husband, he's on Facebook.
[02:11:05.000 --> 02:11:10.000]  He's thank God he woke me up to what's going on because his grandfather was in Buchenwald.
[02:11:10.000 --> 02:11:16.000]  And thank God because his grandfather would have told us today that he sees the same stuff going on.
[02:11:16.000 --> 02:11:24.000]  And the other thing is on Facebook, he has a friend that's a Rutgers Jewish professor who they call Trump Hitler.
[02:11:24.000 --> 02:11:27.000]  Jewish people calling our president Hitler.
[02:11:27.000 --> 02:11:29.000]  And you know what's funny?
[02:11:29.000 --> 02:11:34.000]  If these crazy liberals had their way, I think they would actually be jailing white people.
[02:11:34.000 --> 02:11:35.000]  Absolutely.
[02:11:35.000 --> 02:11:38.000]  So I just want everybody, please wake up.
[02:11:38.000 --> 02:11:40.000]  They're coming for everybody next.
[02:11:40.000 --> 02:11:48.000]  If you don't put your foot down, and I want a Hanukkah miracle for everybody here,
[02:11:48.000 --> 02:11:51.000]  because look what happened yesterday in New York City.
[02:11:51.000 --> 02:11:54.000]  I have friends that live around there.
[02:11:54.000 --> 02:11:55.000]  It's terrible.
[02:11:55.000 --> 02:12:00.000]  Well, and you know, we just had the attack of the guy who hopped on the curb and ran people over on the bike path.
[02:12:00.000 --> 02:12:05.000]  You had this failed attempt at a suicide bombing is what it looks like.
[02:12:05.000 --> 02:12:10.000]  I mean, perhaps there was a little bit of a miracle in that because who knows how many people could have been seriously wounded
[02:12:10.000 --> 02:12:14.000]  or even killed had he successfully have detonated that bomb.
[02:12:14.000 --> 02:12:20.000]  And of course, Schumer and de Blasio and Cuomo have done nothing for the safety of New York.
[02:12:20.000 --> 02:12:22.000]  They have done nothing for the people of New York City.
[02:12:22.000 --> 02:12:26.000]  And if I lived in New York City, I would be so kicked off right now.
[02:12:26.000 --> 02:12:29.000]  If the leadership in New York, I wouldn't be able to handle it.
[02:12:29.000 --> 02:12:37.000]  What you have in California and New York right now is such an abomination to common sense and just righteousness and dignity.
[02:12:37.000 --> 02:12:41.000]  And it's just basic protecting your constituency.
[02:12:41.000 --> 02:12:44.000]  It's absurd what's happening in New York and California.
[02:12:44.000 --> 02:12:47.000]  And then they tax their people into poverty.
[02:12:47.000 --> 02:12:49.000]  They destroy the inner cities.
[02:12:49.000 --> 02:12:53.000]  And then they tell you they care about you and they do nothing for you.
[02:12:53.000 --> 02:12:54.000]  I'm sorry.
[02:12:54.000 --> 02:12:58.000]  Thank you so much for the call saying I'm just I don't know how these people get elected.
[02:12:58.000 --> 02:13:02.000]  Oh, wait. Yeah, I do illegal votes.
[02:13:02.000 --> 02:13:04.000]  That's why they care about the non citizens.
[02:13:04.000 --> 02:13:06.000]  That's why they want the sanctuary cities.
[02:13:06.000 --> 02:13:08.000]  That's why they want the open borders.
[02:13:08.000 --> 02:13:10.000]  That's why they want the chain migration.
[02:13:10.000 --> 02:13:12.000]  They don't give a damn about these people.
[02:13:12.000 --> 02:13:18.000]  They just want their vote and they know they couldn't win an election without it.
[02:13:18.000 --> 02:13:20.000]  Kevin in West Virginia.
[02:13:20.000 --> 02:13:22.000]  How are your eardrums?
[02:13:22.000 --> 02:13:28.000]  Hey, Mr. Owen, I'm glad that you're safe from Saturday and you know nothing actually happened to you.
[02:13:28.000 --> 02:13:33.000]  One of the things I wanted to talk to you about was a couple with the first one with the sexual allegation.
[02:13:33.000 --> 02:13:37.000]  I'm not saying that you're wrong, but I'm seeing another perspective.
[02:13:37.000 --> 02:13:41.000]  And what I'm looking at is look at the Democrat on the Democratic side.
[02:13:41.000 --> 02:13:44.000]  The ones that have went down with the sexual allegation.
[02:13:44.000 --> 02:13:51.000]  I believe somebody is clearing the competition for her 2020 run.
[02:13:51.000 --> 02:13:53.000]  I would disagree with that.
[02:13:53.000 --> 02:13:58.000]  And I'm not sure if you are meeting Kamala Harris or Michelle Obama with that.
[02:13:58.000 --> 02:14:04.000]  The only reason I disagree with that is because if you look at the way,
[02:14:04.000 --> 02:14:09.000]  basically what they're doing here is they're clearing out the seats that they feel like they can't lose.
[02:14:09.000 --> 02:14:14.000]  Like a Franken in Minnesota, you know, a Conyers, they feel like they can win those seats back.
[02:14:14.000 --> 02:14:20.000]  No problem or Conyers can just, I guess, insert his son in there, you know, whatever he thinks he can do with that.
[02:14:20.000 --> 02:14:25.000]  So, and I mean, it's not like the big names have really fallen here.
[02:14:25.000 --> 02:14:28.000]  I mean, no Conyers running for president.
[02:14:28.000 --> 02:14:30.000]  No, a Franken running for president.
[02:14:30.000 --> 02:14:32.000]  Yeah, I just don't really see that either.
[02:14:32.000 --> 02:14:34.000]  So it's an interesting angle.
[02:14:34.000 --> 02:14:36.000]  I just don't really see that as the case.
[02:14:36.000 --> 02:14:43.000]  Again, I think that this is all about just creating the environment to accuse Trump again and then hope it sticks the second time around.
[02:14:43.000 --> 02:14:44.000]  Thank you for the call, Kevin.
[02:14:44.000 --> 02:14:47.000]  Let's go to John calling in from San Diego.
[02:14:47.000 --> 02:14:48.000]  You got 60 seconds.
[02:14:48.000 --> 02:14:50.000]  John, go ahead.
[02:14:50.000 --> 02:14:57.000]  Yeah, the western civilization where we go up by six on the media and make everyone walk around and next to nothing.
[02:14:57.000 --> 02:15:02.000]  And then we wonder why the men in this culture are all we've got sexually.
[02:15:02.000 --> 02:15:03.000]  And you know what?
[02:15:03.000 --> 02:15:12.000]  And just to expand on that point, everyone's sitting here virtue signaling like we're getting rid of the trash and the scum in Hollywood.
[02:15:12.000 --> 02:15:17.000]  I'm sorry, Hollywood is still selling sex like it's their job.
[02:15:17.000 --> 02:15:30.000]  And also, but we're never going to be well as a society until we demand a truth, namely the Lenin murder truth dot com and put Stephen King away to kill in John Lennon.
[02:15:30.000 --> 02:15:33.000]  So you want the truth about John Lennon's murder?
[02:15:33.000 --> 02:15:40.000]  I'm proceeding, came away to killing John Lennon in a government plot and we're a sick country, generally.
[02:15:40.000 --> 02:15:43.000]  Well, look, again, that's why it's so fake to me.
[02:15:43.000 --> 02:15:52.000]  This is the same industry that just sells pornography and sex and all this stuff and objectification of women and trying to virtue signal to us.
[02:15:52.000 --> 02:15:54.000]  Give me a break.
[02:15:54.000 --> 02:16:00.000]  Have you ever lost your power and wanted to simply flip a switch to get the lights back on?
[02:16:00.000 --> 02:16:05.000]  If so, pay close attention because huge discounts are now available in solar generators.
[02:16:05.000 --> 02:16:08.000]  Perfect for backup power outages and emergencies.
[02:16:08.000 --> 02:16:13.000]  Portable solar generators provide life saving electrical power when you need it most.
[02:16:13.000 --> 02:16:23.000]  And unlike gas generators, a solar generator runs quietly, emits no dangerous fumes and produces an endless supply of electricity from the sun.
[02:16:23.000 --> 02:16:27.000]  It's like having an electric power plant running secretly in your own home.
[02:16:27.000 --> 02:16:34.000]  Right now, get a $5,000 solar generator for just $995 while supplies last.
[02:16:34.000 --> 02:16:38.000]  Go to mysolarbackup.com to learn more.
[02:16:38.000 --> 02:16:45.000]  That's mysolarbackup.com. GCN listeners, use coupon code GCN at checkout for this special offer.
[02:16:45.000 --> 02:17:05.000]  Mysolarbackup.com, use coupon code GCN, EMP protection available at an additional charge.
[02:17:15.000 --> 02:17:18.000]  It's in thousands of people's lives across America.
[02:17:18.000 --> 02:17:22.000]  My blood pressure has normalized. My diabetes has totally improved.
[02:17:22.000 --> 02:17:26.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:17:26.000 --> 02:17:28.000]  I recommend heart and body extract to everyone.
[02:17:28.000 --> 02:17:36.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:36.000 --> 02:17:47.000]  Order your two-month supply today by calling 866-295-5305, that's 866-295-5305, or order online hbextract.com.
[02:17:47.000 --> 02:17:56.000]  Heart and Body Extract 866-295-5305, or hbextract.com.
[02:17:56.000 --> 02:18:05.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the Info War to fight the globalist and limit free society.
[02:18:05.000 --> 02:18:18.000]  Several years ago, I set out with top formulators in the US to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[02:18:18.000 --> 02:18:29.000]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best-selling product at InfoWarsLife.com because it works so well.
[02:18:29.000 --> 02:18:37.000]  This is a gift you want to give yourself and then rest assured you're fighting the Info War so it's a total absolute sure win, no lose equation.
[02:18:37.000 --> 02:18:42.000]  Try Alpha Power exclusively available at InfoWarsLife.com for yourself.
[02:18:42.000 --> 02:18:48.000]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities and it's made in the USA.
[02:18:48.000 --> 02:18:51.000]  Get your Alpha Power today at InfoWarsLife.com.
[02:18:51.000 --> 02:18:55.000]  Everybody needs to try Alpha Power today.
[02:18:55.000 --> 02:19:00.000]  You deserve a deep restful sleep with Knockout by InfoWarsLife.
[02:19:00.000 --> 02:19:11.000]  Our organic formula is made from high quality natural ingredients such as Valerian root extract, L-tryptophan, lemon balm leaf extract and melatonin.
[02:19:11.000 --> 02:19:16.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[02:19:16.000 --> 02:19:25.000]  Millions of people around the world experience daytime drowsiness but with the rapid speed of life we need to be able to keep up the pace.
[02:19:25.000 --> 02:19:33.000]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[02:19:33.000 --> 02:19:35.000]  Wake up refreshed and take on the day.
[02:19:35.000 --> 02:19:43.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[02:19:43.000 --> 02:19:47.000]  Get the sleep you deserve and experience the power of Knockout.
[02:19:47.000 --> 02:19:51.000]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[02:19:51.000 --> 02:20:17.000]  That's InfoWarsLife.com.
[02:20:17.000 --> 02:20:25.000]  Well, that's beautiful Christmas music you're hearing right there.
[02:20:25.000 --> 02:20:37.000]  Yeah, just give me that a little bit.
[02:20:37.000 --> 02:20:47.000]  But if you're on a college campus in America, universities are striving for a Christmas-free campus.
[02:20:47.000 --> 02:20:50.000]  This is from Campus Reform.
[02:20:50.000 --> 02:20:54.000]  Yeah, there's another story here. Here it is.
[02:20:54.000 --> 02:20:56.000]  This is from National Review.
[02:20:56.000 --> 02:21:08.000]  University use end of fiscal year party instead of holiday party in order to be inclusive.
[02:21:08.000 --> 02:21:23.000]  Man, can you imagine if that, honestly, you know what, just thank the good Lord, thank God, that I did not fall victim to this liberal brainwashing.
[02:21:23.000 --> 02:21:35.000]  Thank God that the listeners of the Alex Jones show and InfoWars.com slash show do not fall victim to the liberal indoctrination.
[02:21:35.000 --> 02:21:50.000]  So get rid of Christmas, even though that's our tradition, that's our culture and Christians and Catholics and those group of people that celebrate Christmas as part of their religious tradition aren't blowing people up in the name of their religion.
[02:21:50.000 --> 02:22:05.000]  Get rid of Christmas and then move over Islamophobes because we're bringing the Muslims in here and don't say anything bad about it or you're a racist, even though Islam is not a race.
[02:22:05.000 --> 02:22:09.000]  So these people are all, you know what, they're Christmases.
[02:22:09.000 --> 02:22:25.000]  So we've got university Christmases that want to ban Christmas, but if you say anything negative about someone wearing a burqa, you're probably going to get suspended or you go on the student radio and you say the word tranny, you're probably going to get suspended.
[02:22:25.000 --> 02:22:35.000]  Or you use the wrong pronoun and you call a transgender person to hear she when they may not know what they are that day, you're going to be suspended.
[02:22:35.000 --> 02:22:39.000]  So I mean, hey, send your kids to college.
[02:22:39.000 --> 02:22:43.000]  Let's go to Lisa in Texas.
[02:22:43.000 --> 02:22:46.000]  She says she used to work for the police.
[02:22:46.000 --> 02:22:48.000]  She wants to talk about the hashtag me to movement.
[02:22:48.000 --> 02:22:52.000]  It's a time person of the year, even though if it wasn't for Trump, the me to movement would have never happened.
[02:22:52.000 --> 02:22:54.000]  The me to movement is a time person of the year.
[02:22:54.000 --> 02:23:00.000]  And even though the leader of it said she's a nasty woman happily in front of a million people.
[02:23:00.000 --> 02:23:02.000]  Go ahead, Lisa.
[02:23:02.000 --> 02:23:06.000]  Yeah, I want to make a statement about this.
[02:23:06.000 --> 02:23:09.000]  Some people can believe me or not.
[02:23:09.000 --> 02:23:10.000]  They can disagree.
[02:23:10.000 --> 02:23:14.000]  I really don't care at this point because I'm sick of this hashtag me to crap.
[02:23:14.000 --> 02:23:29.000]  Okay, so yeah, the Weinstein, the pedodem type lip-tart people that started all this crap in the 90s with the Clinton calls this fall hashtag me to campaign that they're using on Trump now.
[02:23:29.000 --> 02:23:37.000]  Okay, so, you know, you remember back in the 2016 election, the whole locker room talk saying that, you know, Trump had to come out and say, well, it's true.
[02:23:37.000 --> 02:23:39.000]  Men and women both do it.
[02:23:39.000 --> 02:23:52.000]  Okay, if you think for one second that women don't talk about men's packages or how they can get back at men for blaming them on false rape and sexual assault, you're wrong.
[02:23:52.000 --> 02:23:56.000]  I worked as a dispatcher for three police departments and one sheriff's department.
[02:23:56.000 --> 02:24:04.000]  They took calls from women who did this as a stunt and made false accusations to get back at most men.
[02:24:04.000 --> 02:24:12.000]  And look, it's the last two generations that's been following the Hollywood people that you have to look at in a certain way because they did this.
[02:24:12.000 --> 02:24:15.000]  They wanted women to look a certain way, to act a certain way.
[02:24:15.000 --> 02:24:18.000]  And women didn't go against this because they wanted to be stars.
[02:24:18.000 --> 02:24:19.000]  Okay.
[02:24:19.000 --> 02:24:20.000]  Yeah, they knew what they were getting into.
[02:24:20.000 --> 02:24:30.000]  Yeah, now they're making it hard for good, knowledgeable, smart women to get a man because we're supposed to think that all men are pigs.
[02:24:30.000 --> 02:24:31.000]  But let's go one step further with this.
[02:24:31.000 --> 02:24:42.000]  Not only are they scorching the earth of normal interactions between men or women, which, you know, maybe it gets inappropriate, maybe it doesn't, okay, then you can raise awareness.
[02:24:42.000 --> 02:24:47.000]  But we can't even have a real conversation about this anymore.
[02:24:47.000 --> 02:24:50.000]  You can't even bring up the point you just had anymore.
[02:24:50.000 --> 02:24:51.000]  You're considered insensitive.
[02:24:51.000 --> 02:24:54.000]  Or I remember, see, this is the strangest thing about it to me.
[02:24:54.000 --> 02:25:03.000]  I had multiple times growing up where there were girls that let's just say they got more inebriated than they expected.
[02:25:03.000 --> 02:25:06.000]  And they did things that they regretted with boys.
[02:25:06.000 --> 02:25:12.000]  And then in turn, in the stage of regret, started making accusations.
[02:25:12.000 --> 02:25:17.000]  A few of them even went to the police with these accusations that were nothing more than regrets.
[02:25:17.000 --> 02:25:20.000]  Okay, so there's that angle.
[02:25:20.000 --> 02:25:23.000]  But where is that being discussed?
[02:25:23.000 --> 02:25:31.000]  Where is the angle that you just got brought up being discussed where women will give false accusations in order to get back at a man?
[02:25:31.000 --> 02:25:41.000]  We're not even allowed to have that discussion now because the environment that they've created is so politically charged and now so PC, where if you doubt any of these women, you're a bigot,
[02:25:41.000 --> 02:25:43.000]  you dig it, you hate women.
[02:25:43.000 --> 02:25:53.000]  And, you know, and again, this whole locker room talking, yes, probably men have more, let's just say dirty mouths than women.
[02:25:53.000 --> 02:25:58.000]  But don't sit here and act for one second like there's women out there that don't talk like that too.
[02:25:58.000 --> 02:26:00.000]  I mean, give me a break.
[02:26:00.000 --> 02:26:01.000]  They're all over the...
[02:26:01.000 --> 02:26:03.000]  How about Amy Schumer?
[02:26:03.000 --> 02:26:04.000]  How about Amy Schumer?
[02:26:04.000 --> 02:26:05.000]  How about Lena Dunham?
[02:26:05.000 --> 02:26:06.000]  How about Chelsea Handler?
[02:26:06.000 --> 02:26:10.000]  These are some of the most foul-mouthed women on television.
[02:26:10.000 --> 02:26:11.000]  Pigs.
[02:26:11.000 --> 02:26:13.000]  Listen, let me make one last statement.
[02:26:13.000 --> 02:26:22.000]  Women on this whole Roy Moore thing, and now they're coming back out on Trump, they're not saying these things like, oh, we were silent because we were scared.
[02:26:22.000 --> 02:26:25.000]  There has been a system in place for years.
[02:26:25.000 --> 02:26:27.000]  Trust me, I took the phone calls.
[02:26:27.000 --> 02:26:28.000]  I made the reports.
[02:26:28.000 --> 02:26:29.000]  I helped the police.
[02:26:29.000 --> 02:26:33.000]  You could file an actual complaint on any case.
[02:26:33.000 --> 02:26:51.000]  This is all crazy democratic Hollywood politics in play to try to take Trump out of office because if you were truly assaulted or raped or harassed by a man or a woman, depending on which way you go, which I don't care, they just wanted...
[02:26:51.000 --> 02:27:01.000]  They wanted a man or a woman with money so that they could go out, get their plastic surgery, wear their hair the way they wanted to, get their high-price clothes, and they had their own affairs.
[02:27:01.000 --> 02:27:04.000]  That's plain simple.
[02:27:04.000 --> 02:27:12.000]  Now, do you believe when you were working with the police that you dealt with cases where women were trying to fabricate charges against men for assault or rape?
[02:27:12.000 --> 02:27:13.000]  Oh, yes.
[02:27:13.000 --> 02:27:15.000]  Yes, they would actually say it.
[02:27:15.000 --> 02:27:19.000]  Oh, I'm just, you know, he made me mad, so I'm just trying to, you know, get back at it.
[02:27:19.000 --> 02:27:20.000]  Wow.
[02:27:20.000 --> 02:27:30.000]  Now, let me ask you this because, look, as a man, I want some legal protection for this, and I would even say to protect real victims.
[02:27:30.000 --> 02:27:49.000]  Real victims of sexual assault that this needs to be instituted into our judicial system where if you're a woman and you make a false accusation against a man for sexual assault or whatever it is, and it's deliberately false, they then need the same punishment that the man would have had if it were true.
[02:27:49.000 --> 02:27:51.000]  What do you think about that?
[02:27:51.000 --> 02:27:59.000]  I actually agree with you on that, you know, but really, I don't know where we're going to start.
[02:27:59.000 --> 02:28:08.000]  I mean, we have to, like, bow down to the liberal ideologies nowadays and be politically correct.
[02:28:08.000 --> 02:28:25.000]  When I'll give you another example, my daughter goes to college and Muslim women in her same program that she's taking in college, they get free college where we're struggling to pay her tuition.
[02:28:25.000 --> 02:28:34.000]  Well, and just a real quick comment on that college stuff too, not only what you're saying is accurate, I met a lot of people from Muslim countries that weren't really practicing Muslims.
[02:28:34.000 --> 02:28:41.000]  You know, the females didn't wear the hijab and all that stuff, but the ones that do, the ones that do are some of the most empowered people by the university.
[02:28:41.000 --> 02:28:43.000]  They walk around like they own the place.
[02:28:43.000 --> 02:28:48.000]  They walk around like they're untouchable, and you know why that is because that's how the university treats them.
[02:28:48.000 --> 02:28:55.000]  So what Lisa was saying was right, we'll be right back.
[02:29:18.000 --> 02:29:24.000]  Now our collection today in time for Christmas delivery at TrumpDollar.us. That's TrumpDollar.us.
[02:29:48.000 --> 02:29:55.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[02:30:18.000 --> 02:30:23.000]  Vitamin B12 for optimal absorption, up, up, up, up, up, optimal absorption.
[02:30:23.000 --> 02:30:29.000]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargists.
[02:30:29.000 --> 02:30:32.000]  Secret 12, up, up, up, up, optimal absorption.
[02:30:32.000 --> 02:30:37.000]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[02:30:37.000 --> 02:30:44.000]  B vitamins are also essential for the optimal functioning of the brain and nervous system, up, up, up, up, optimum levels.
[02:30:44.000 --> 02:30:48.000]  Secret 12 is an easy way to increase your vitamin B12 intake.
[02:30:48.000 --> 02:30:53.000]  Head to infowarslife.com and support optimal brain and body function with Secret 12.
[02:30:53.000 --> 02:31:17.000]  That's infowarslife.com.
[02:31:23.000 --> 02:31:26.000]  Advanced neural activation and new tropics.
[02:31:26.000 --> 02:31:32.000]  And now we've added a brand new ingredient called black pepper fruit extract.
[02:31:32.000 --> 02:31:34.000]  It gives you an added kick.
[02:31:34.000 --> 02:31:41.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers
[02:31:41.000 --> 02:31:47.000]  that will allow you to flip the switch and supercharge your state of mind.
[02:31:47.000 --> 02:31:55.000]  It's the real deal. Brain Force Plus. Secure your bottle right now at infowarsstore.com.
[02:32:18.000 --> 02:32:23.000]  In the history of infowarslife, we've brought out a lot of amazing products like Survival Shield X2,
[02:32:23.000 --> 02:32:31.000]  SuperMell Vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[02:32:31.000 --> 02:32:38.000]  This formula is the platinum standard of multivitamin mineral products, and this part is most important.
[02:32:38.000 --> 02:32:44.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[02:32:44.000 --> 02:32:47.000]  That means it's clean. That means it's pure.
[02:32:47.000 --> 02:32:50.000]  And rest secured, you're finding the tip of the spear in the info war.
[02:32:50.000 --> 02:32:53.000]  That's infowarslife.com and vitamin mineral fusion.
[02:32:53.000 --> 02:32:55.000]  Take action now before we sell out.
[02:32:57.000 --> 02:33:00.000]  You're listening to the Alex Jones Show.
[02:33:00.000 --> 02:33:18.000]  For every question they don't want you to ask, he has the answer they don't want you to hear.
[02:33:18.000 --> 02:33:22.000]  He is Alex Jones.
[02:33:22.000 --> 02:33:31.000]  All right, so right before I'm coming in here, I'm seeing that there's Democrats on the hill
[02:33:31.000 --> 02:33:38.000]  that are now calling for a special counsel into the accusations made against Trump.
[02:33:38.000 --> 02:33:44.000]  Let's say Trump is the abominable snowman.
[02:33:44.000 --> 02:33:47.000]  Let's launch a special counsel.
[02:33:47.000 --> 02:33:49.000]  Trump's the Easter Bunny.
[02:33:49.000 --> 02:33:52.000]  Let's launch a special counsel.
[02:33:52.000 --> 02:33:55.000]  Oh my gosh, there it is.
[02:33:55.000 --> 02:33:57.000]  Wow.
[02:33:57.000 --> 02:34:02.000]  59 female lawmakers call for oversight probe into sexual allegations against Trump.
[02:34:02.000 --> 02:34:05.000]  Now, I'm not sure if that means, I'm not sure what that means.
[02:34:05.000 --> 02:34:11.000]  I can only make assumptions, but...
[02:34:11.000 --> 02:34:18.000]  So one of the crew members here was making a point about filing false police reports
[02:34:18.000 --> 02:34:23.000]  and how that already exists, where if you file a false police report, you can get arrested.
[02:34:23.000 --> 02:34:25.000]  But here's the difference.
[02:34:25.000 --> 02:34:33.000]  That's not how these cases are handled, where if you make a charge against someone for rape or assault
[02:34:33.000 --> 02:34:39.000]  and you get proved guilty, they don't look at that as filing a false report.
[02:34:39.000 --> 02:34:46.000]  It's all about a philosophy and so the system looks at that individual that filed the charges
[02:34:46.000 --> 02:34:52.000]  and said, sorry, your philosophy was wrong or sorry, what you thought was sexual assault simply wasn't.
[02:34:52.000 --> 02:35:01.000]  So they don't view it as an intentional case, an intentionally fabricated case,
[02:35:01.000 --> 02:35:05.000]  and there's no follow-up investigation into that that's just case closed.
[02:35:05.000 --> 02:35:07.000]  So that's the real difference here.
[02:35:07.000 --> 02:35:13.000]  If you get charged with filing a false police report, that's like you rob your own liquor store
[02:35:13.000 --> 02:35:16.000]  and then you call the cops and say your liquor store got robbed
[02:35:16.000 --> 02:35:21.000]  and then they see that all the bottles are in your truck.
[02:35:21.000 --> 02:35:27.000]  Those are the type of things that gets into filing a false police report.
[02:35:27.000 --> 02:35:34.000]  But if you look at cases with hockey players like Patrick Kane or what's going on with Nelly right now,
[02:35:34.000 --> 02:35:39.000]  they get charged with these sexual assault things and they're saying the whole time it's not true, it's fabricated.
[02:35:39.000 --> 02:35:41.000]  Who knows the motive behind it?
[02:35:41.000 --> 02:35:44.000]  Maybe the woman just wants fame, maybe she just wants money.
[02:35:44.000 --> 02:35:46.000]  Oh, I'm sure that never happens.
[02:35:46.000 --> 02:35:49.000]  So see, they don't look into the motive there.
[02:35:49.000 --> 02:35:54.000]  They just say, oh, sorry, we looked at the case, you just didn't have a case, sorry, nice try.
[02:35:54.000 --> 02:36:01.000]  They don't come back and say, were you intentionally charging this man with false accusations?
[02:36:01.000 --> 02:36:05.000]  And then by the time the litigation is finished, the men defending themselves are so worn out with the case,
[02:36:05.000 --> 02:36:08.000]  they're just like, just get it out of my sight, I don't even want to deal with it.
[02:36:08.000 --> 02:36:11.000]  So that's kind of the difference there.
[02:36:11.000 --> 02:36:17.000]  But now you have lawmakers calling for a special counsel to investigate the Trump claims.
[02:36:17.000 --> 02:36:21.000]  So now we have to pay for the removal of our president.
[02:36:21.000 --> 02:36:27.000]  So now we, the people, are spending millions and millions of dollars for hush funds
[02:36:27.000 --> 02:36:33.000]  so that these sexual allegations against members of our government get silenced and brushed under the rug.
[02:36:33.000 --> 02:36:36.000]  How many of those are fake? We don't even get to know about that. How about that?
[02:36:36.000 --> 02:36:41.000]  You could have women knowing about this system, making these accusations,
[02:36:41.000 --> 02:36:44.000]  and then we just have to pay to silence them.
[02:36:44.000 --> 02:36:47.000]  I mean, this is so messed up, man.
[02:36:47.000 --> 02:36:53.000]  Again, and we wouldn't even know about all of this swamp activity if it wasn't for Trump getting elected.
[02:36:53.000 --> 02:36:58.000]  How about that? Let's go to Eddie calling in from Arizona.
[02:36:58.000 --> 02:37:01.000]  Eddie disagrees with me. Go ahead, Eddie.
[02:37:01.000 --> 02:37:06.000]  Well, I want to break this down. I want to have a discussion with you. I want to make some key points.
[02:37:06.000 --> 02:37:09.000]  You can have your staff right now look up.
[02:37:09.000 --> 02:37:13.000]  Mueller was not even eligible to be the FBI director when he met with Trump.
[02:37:13.000 --> 02:37:16.000]  It's a ten-year term by law. He was already given a two-year extension.
[02:37:16.000 --> 02:37:19.000]  That's why I believe Mueller may be in on this.
[02:37:19.000 --> 02:37:25.000]  The recusal of sessions was designed to give credibility to the case that is being run by...
[02:37:25.000 --> 02:37:32.000]  Hold on. Just pause it real quick. So you're of the side of things that you think Mueller is actually pretending to be going after Trump,
[02:37:32.000 --> 02:37:35.000]  but he's actually working with Trump?
[02:37:35.000 --> 02:37:40.000]  Yes. And here's why. He wasn't even eligible. Have your guys look it up. There's a law.
[02:37:40.000 --> 02:37:43.000]  You can only have a ten-year thing. He was already given a two-year extension.
[02:37:43.000 --> 02:37:49.000]  Number two, if sessions had to recuse himself, if he was the one to come up with all the data against Hillary,
[02:37:49.000 --> 02:37:56.000]  it would have been looks slanted and partisan. This is a Trump 7D chess wizard time traveler deal, bro.
[02:37:56.000 --> 02:37:58.000]  It's crazy, but listen.
[02:37:58.000 --> 02:38:03.000]  But he would have to be blackmailing Mueller into that because Mueller's already got the skeletons in his closet.
[02:38:03.000 --> 02:38:11.000]  Yes, but I think he was given a choice. If you watch Christopher Wray, the new FBI director before the House Judiciary Committee last week,
[02:38:11.000 --> 02:38:15.000]  that tells you the whole story right there, buddy.
[02:38:15.000 --> 02:38:20.000]  I'm not asking him about the credibility, the credibility. No one trusts the FBI. No one trusts the DOJ.
[02:38:20.000 --> 02:38:23.000]  If you were kidnapped, would you have your wife talk to the FBI? I would.
[02:38:23.000 --> 02:38:30.000]  Yeah, but what do you expect Wray to do? Wray's not going to throw his FBI under the bus. I mean, he runs the FBI.
[02:38:30.000 --> 02:38:33.000]  He's not going to slander the FBI.
[02:38:33.000 --> 02:38:39.000]  And people, they have no credibility. He kept deferring to the Inspector General's parallel investigation since January
[02:38:39.000 --> 02:38:41.000]  that no one even really knew about until a few weeks ago.
[02:38:41.000 --> 02:38:47.000]  And that is the reason we're getting all these nuggets and bombshells dropped about all the information.
[02:38:47.000 --> 02:38:50.000]  No one would have known about all of this collusion.
