[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[02:03:01.056 --> 02:03:02.456]  That's preposterous.
[02:03:02.456 --> 02:03:08.917]  Three killed, a mother, a nine-year-old, and a news camera person.
[02:03:08.917 --> 02:03:15.958]  And as soon as it didn't say what the person's race was, I knew it was not a white person.
[02:03:15.958 --> 02:03:19.259]  Sure enough, I put the shooter's name in, it's a young black man.
[02:03:20.276 --> 02:03:38.560]  So in less than two years, 18 and 19, he's 19 and a half, he's got a big old giant armed robbery crime rap sheet, and he's on the streets because of these Soros prosecutors, and then he goes and kills people who are totally innocent, including a nine-year-old girl and a camera person.
[02:03:39.386 --> 02:03:42.148]  Who responded to another shooting in the area.
[02:03:42.148 --> 02:03:44.729]  Hell, he'll probably be out in five years!
[02:03:44.729 --> 02:03:46.910]  All because he's, quote, black.
[02:03:46.910 --> 02:03:55.995]  By the way, the shooter in Florida a few years ago that shot all those people at that public school, because his last name was Cruz, he was adopted, he was white.
[02:03:55.995 --> 02:04:03.960]  Because his last name was Cruz, despite a rap sheet, again, about two inches thick, of violence and robbery and death threats
[02:04:05.492 --> 02:04:21.507]  He was released with no time served because his last name was Cruz by the minority quote reform program in Florida and carried out in Broward County so he could go kill all those people.
[02:04:22.125 --> 02:04:25.926]  And the left knows exactly what they're doing.
[02:04:25.926 --> 02:04:30.327]  They always accuse you of the very things they're doing themselves.
[02:04:30.327 --> 02:04:37.649]  If there's one rule you can keep on your fridge, write it down, put it in your wallet to evaluate the behavior of the people in charge, it's that.
[02:04:37.649 --> 02:04:41.530]  They blame you for their sins every single time.
[02:04:41.530 --> 02:04:49.132]  So, if you ever get in trouble and you're white, disidentify as black or hispanic and you can get out of jail free.
[02:04:53.046 --> 02:04:53.726]  All right, folks.
[02:04:53.726 --> 02:04:57.908]  We've got over-the-top big news coming up in T-minus 60 seconds.
[02:04:57.908 --> 02:05:00.048]  Believe me.
[02:05:00.048 --> 02:05:11.992]  Right now, I'm not talking to the viewers and listeners that have gone to InfoWarsTore.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[02:05:11.992 --> 02:05:16.234]  I am humbly, hand-in-hand, talking to the viewers and listeners that have tuned in
[02:05:16.934 --> 02:05:20.356]  Many of you for years have never gone to InfoWarshaw.com.
[02:05:20.356 --> 02:05:29.160]  We know the vast, vast, vast, vast majority of you never actually go to InfoWarshaw.com and never experience these great products and never find the operation.
[02:05:29.160 --> 02:05:32.222]  Sure, you share a link, you share an article, you tell folks about the show.
[02:05:32.222 --> 02:05:33.583]  That's great and I thank you.
[02:05:33.583 --> 02:05:35.104]  But we need funds to operate.
[02:05:35.104 --> 02:05:43.968]  Plus, we've got really great products that do amazing things for people like our CBD oil and our Fizzy Magnesium and our SleepAid and our Nitric Oxide and our Real Red Pill Plus.
[02:05:43.968 --> 02:05:45.429]  All of these are really great products.
[02:05:45.689 --> 02:05:48.192]  Keep us on air, plus you're missing out on these products.
[02:05:48.192 --> 02:05:57.102]  So get off the bench, get in the game, step to the plate, and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[02:06:29.965 --> 02:06:30.227]  Yeah.
[02:06:39.271 --> 02:06:46.337]  All right, we're drinking out of a fire hose here, ladies and gentlemen, and doing the best job we can at InfoWars.
[02:06:46.337 --> 02:06:50.901]  And to his credit, Ivan Reikland is a lawyer, a Green Beret.
[02:06:50.901 --> 02:06:56.466]  He's been a big analyst at the Defense Intelligence Agency, works very closely with General Flynn.
[02:06:56.466 --> 02:07:03.632]  By the way, he's doing a commercial-free, hour-long-plus interview with me this Saturday at noon Central Time Live.
[02:07:04.192 --> 02:07:05.053]  We're good to go.
[02:07:34.073 --> 02:07:35.675]  That's great.
[02:07:55.555 --> 02:07:56.616]  It was 7,000.
[02:07:56.616 --> 02:08:03.222]  Now it's 10,000 plus hours of J6 footage through the lawyers that have gotten big pieces of it.
[02:08:03.222 --> 02:08:07.165]  And you go to dozens of lawyers, you get them all together, and you've got a big chunk.
[02:08:07.165 --> 02:08:09.007]  So this is a big deal.
[02:08:09.007 --> 02:08:13.771]  And so what I'm going to do is today is just an introduction to this because it's so important.
[02:08:13.771 --> 02:08:17.254]  I'm going to have these guys back tomorrow with a bunch of the clips.
[02:08:17.254 --> 02:08:19.516]  And again, it's not that I cover this up on purpose.
[02:08:19.516 --> 02:08:19.837]  I don't.
[02:08:21.243 --> 02:08:24.646]  I've got so much going on that I get told about things.
[02:08:24.646 --> 02:08:26.648]  I intend to do something and then I forget about it.
[02:08:26.648 --> 02:08:29.871]  And then the producer came to me and said, Ivan's calling again.
[02:08:29.871 --> 02:08:35.636]  He's got the guy and he's got the footage and he's got the HD of everything you're looking for.
[02:08:35.636 --> 02:08:38.719]  And I'm like, Jiminy Crickets, I dropped the ball.
[02:08:39.966 --> 02:08:48.368]  In fairness, we've got a lot of balls juggling here, so I can juggle like three or four at once, but when it gets to about 18 balls, I'm not doing a very good job, then they fall on the ground and I forget where they're at.
[02:08:48.368 --> 02:08:54.949]  So Ivan Reiklin, this is huge on Twitter, at Reiklin, R-A-I-K-L-I-N.
[02:08:54.949 --> 02:08:56.629]  Ivan, amazing information.
[02:08:56.629 --> 02:09:00.810]  Tell us the backstory on this, your take on the Tucker situation, and tell us about Gary McBride.
[02:09:00.810 --> 02:09:04.931]  We'll bring him up next segment in his incredible talk about sleuthish work.
[02:09:06.432 --> 02:09:18.424]  In the 1979-1980 hostage crisis in Iran, the State Department and the CIA shredded all the files, but they didn't think the Iranians would get the women together to put them all back together again.
[02:09:18.424 --> 02:09:24.890]  This guy's basically done that and cobbled it all, a large tranche together, so we don't have to wait for...
[02:09:25.891 --> 02:09:27.093]  Kevin McCarthy to release it.
[02:09:27.093 --> 02:09:28.915]  This is a big story hiding in plain view.
[02:09:28.915 --> 02:09:30.878]  So Ivan, we salute you and your work.
[02:09:30.878 --> 02:09:34.784]  We salute Gary McBride, who's at m5newsgate.com.
[02:09:34.784 --> 02:09:39.771]  The letter M5, the number 5, m5newsgate.com.
[02:09:39.771 --> 02:09:41.634]  Give us a synopsis of what we're about to get into.
[02:09:43.410 --> 02:09:48.773]  Yeah, I want to give as much time as possible to Gary McBride, Alex, but I want to frame it this way.
[02:09:48.773 --> 02:10:03.460]  Gary McBride is the one person on the planet of the 7 billion plus that has seen the most footage that has assessed, analyzed, and done the necessary research on both private and government holdings of the video footage of January 6th.
[02:10:03.460 --> 02:10:08.262]  I spent over 13 hours with Gary about three to four weekends ago.
[02:10:09.603 --> 02:10:11.024]  So he's basically mapped, he's basically...
[02:10:38.956 --> 02:10:40.657]  So he's basically mapped what really happened.
[02:10:40.657 --> 02:10:42.738]  Sorry.
[02:10:42.738 --> 02:10:43.638]  Yes, sir.
[02:10:43.638 --> 02:10:55.344]  And I mean, I have really nothing else to add other than I can give the strategic frame where I think this was the facilitated unlawful entry into the Capitol by Nancy Pelosi, because she's the judge jury executioner as the Speaker of the House.
[02:10:55.344 --> 02:11:04.829]  And she decides who gets to get criminally prosecuted and who does not based on her oversight of the Capitol Police Board, namely the sergeant at arms on the House side, the Capitol architect,
[02:11:05.309 --> 02:11:06.069]  As well as the U.S.
[02:11:06.069 --> 02:11:07.329]  Capitol Police Chief.
[02:11:07.329 --> 02:11:26.073]  And so, with that frame, with that knowledge, and knowing that Nancy Pelosi's daughter, Alexandra, was inside the Capitol, quote-unquote, doing a documentary, and probably coordinating with her husband, Michael Voss, who happens to be Nancy Pelosi's son-in-law, who was on the outside scene, alongside Jacob Chansley, taking selfies with him.
[02:11:26.073 --> 02:11:30.713]  These are the individuals that need to be investigated further by this House Admin Committee.
[02:11:30.713 --> 02:11:34.294]  So, at the big picture level, that's who I'm trying to convince to look at
[02:11:34.894 --> 02:11:47.223]  Alexander Pelosi, Michael Voss, John Sullivan, Ray Epps, Nancy Pelosi, her Chief of Staff Terry McCullough, and then some of these other folks, as well as the Sergeant-at-Arms Paul Irving, who fled to Tampa, I believe.
[02:11:47.223 --> 02:11:53.168]  These are the individuals that need to testify before this new Congress, and I think Gary is going to be able to lay this out.
[02:11:53.168 --> 02:11:54.829]  If you give him enough time,
[02:11:55.342 --> 02:12:10.193]  He'll lay out footage that is now finally coming out but he has even more details to frame what is going on that Tucker just can't and Tucker finally is getting to it and Gary's been on this for at least 18 months so that's all I got.
[02:12:10.513 --> 02:12:15.535]  We're going to go to him and we're going to have you both back up tomorrow because this is huge and it's important.
[02:12:15.535 --> 02:12:19.477]  And we've had raw footage, we've had citizen shot footage that's all blurry.
[02:12:19.477 --> 02:12:23.738]  Now you guys, he's gotten the footage of what happened outside NHD.
[02:12:23.738 --> 02:12:24.298]  So powerful.
[02:12:24.298 --> 02:12:26.379]  We'll have some of it today, a lot more tomorrow.
[02:12:26.379 --> 02:12:32.041]  And I appreciate you both, but do a few minutes with us and then ride shotgun a little bit with us here because you have a lot to add.
[02:12:32.041 --> 02:12:35.043]  Ivan, you're working closely with Congress, these committees you were on a few months ago.
[02:12:36.343 --> 02:12:36.943]  Thank you very much.
[02:12:57.392 --> 02:12:58.013]  Oh, absolutely.
[02:12:58.013 --> 02:13:17.894]  I don't think Kevin McCarthy would have moved in this direction had it not been for what I call Real Team Six and the terrific 20 from the Freedom Caucus, as well as our backing, the Patriots backing, to include you, Alex, to push to make sure that he was literally casperated as a Speaker of the House, and now the committee chairs, and then a lot of the Freedom Caucus is driving the conversation.
[02:13:18.274 --> 02:13:19.495]  Specifically, Jim Jordan.
[02:13:19.495 --> 02:13:29.065]  Specifically, Marjorie's also participating in getting all this stuff out on the Oversight Committee, on the Select Committee, on the CCP-19 Committee, as I call it.
[02:13:29.065 --> 02:13:35.391]  And I think as we keep going into Congress, now that it's open, we're able to communicate what the demand is for America.
[02:13:35.391 --> 02:13:38.835]  And with the Twitter files released, especially the one from this morning,
[02:13:39.635 --> 02:13:59.072]  I think we're going to be in a different position in the next few days where, I know you don't believe me, but based on my testimony last week in Arizona, that legislative body with the contextual information coming out from Congress as well as from Twitter, I think they're going to move to potentially, at least in the committee, decertify their electors from 2020.
[02:13:59.072 --> 02:14:05.277]  No, no, I know, I do believe you, and you're advising Congress, you're in the middle of it.
[02:14:05.277 --> 02:14:07.159]  Before we go to break and come back with the big news here,
[02:14:07.899 --> 02:14:09.640]  But let's not just talk about our victories.
[02:14:09.640 --> 02:14:15.823]  How is the Deep State going to strike back when their entire criminal operation is being decloaked and unveiled right now?
[02:14:15.823 --> 02:14:17.464]  Let's not be naive.
[02:14:17.464 --> 02:14:18.664]  I know you're not, Ivan.
[02:14:18.664 --> 02:14:22.006]  How is the Deep State going to strike back?
[02:14:22.006 --> 02:14:25.728]  I think they're going to go with a second pandemic potentially and then the Ukraine component.
[02:14:26.338 --> 02:14:28.039]  You need to have a cover-up after cover-up.
[02:14:28.039 --> 02:14:32.101]  And because the J6 cover-up was so massive, they have to escalate it further.
[02:14:32.101 --> 02:14:44.547]  And I think, unfortunately, the only thing that they have in their playbook at this point to cover things up is to go ahead and essentially move towards a war in Ukraine and potentially move towards political assassination.
[02:14:44.547 --> 02:14:45.568]  And I hate to say that, but that...
[02:14:46.148 --> 02:14:47.769]  I mean, they did that in the 60s.
[02:14:47.769 --> 02:15:02.420]  I feel like today we're in a confluence of the 1770s, 1860s, and the 1960s all into one with the digital ecosystem that they can still kind of manipulate because even though Twitter's free, most of these other platforms are not.
[02:15:02.420 --> 02:15:04.042]  What you said is one trillion percent.
[02:15:04.042 --> 02:15:05.162]  One trillion percent.
[02:15:05.162 --> 02:15:06.243]  It's 1776 with the Civil War.
[02:15:10.106 --> 02:15:12.790]  And then the 1960s overlaid, and history's repeating.
[02:15:12.790 --> 02:15:13.852]  Robert F. Kennedy Jr.
[02:15:13.852 --> 02:15:15.814]  getting ready to run for president.
[02:15:15.814 --> 02:15:17.116]  He'll be about to win the nomination.
[02:15:17.116 --> 02:15:18.438]  They'll assassinate him.
[02:15:18.438 --> 02:15:20.201]  It's literally all about to repeat again.
[02:15:22.449 --> 02:15:22.910]  I believe so.
[02:15:22.910 --> 02:15:23.590]  That's a good point.
[02:15:23.590 --> 02:15:29.255]  Hopefully, he's going to be able to stay in the race to really get things out as it applies to Fauci, as it applies to the game.
[02:15:29.255 --> 02:15:32.178]  I mean, he's done the most research, the most yeoman's work early on.
[02:15:32.178 --> 02:15:36.902]  Probably one of the first to get us to wake up out of that slumber of this.
[02:15:36.902 --> 02:15:41.766]  Oh, he's absolutely presidential material and his father would have been the president and was executed.
[02:15:41.766 --> 02:15:42.147]  All right.
[02:15:42.147 --> 02:15:43.388]  We'll be right back, folks.
[02:15:43.388 --> 02:15:46.270]  History is repeating, but it repeats to a certain point.
[02:15:46.270 --> 02:15:47.351]  We can change it this time.
[02:15:48.112 --> 02:15:48.752]  We'll be right back.
[02:15:48.752 --> 02:15:50.133]  This is Forever War.
[02:15:50.133 --> 02:15:54.336]  Ivan Reikland's our guest and our very special guest, Mr. McBride, is straight ahead.
[02:15:54.336 --> 02:15:55.717]  Everybody needs to tune in now.
[02:15:55.717 --> 02:15:57.858]  Now.
[02:15:57.858 --> 02:16:06.303]  Ladies and gentlemen, InfoWars has proven itself the last 28 years to be over the globalist target and having the biggest effect out there against those tyrants.
[02:16:06.303 --> 02:16:11.766]  And we fund our operation with viewers and listeners' support while selling you great products at the same time.
[02:16:11.766 --> 02:16:12.386]  So on it.
[02:16:12.386 --> 02:16:16.109]  Thank all the viewers and listeners who have supported us over the years by spreading the word.
[02:16:16.749 --> 02:16:18.850]  I'm praying for the broadcast and buying product.
[02:16:18.850 --> 02:16:35.936]  But I really want to encourage those of you that have been on the fence, that have never actually gone to Infowarshore.com to go there and get the great books and films and supplements and survival gear that's there that won't just empower you and enrich your life, but again will keep this broadcast transmitting.
[02:16:35.936 --> 02:16:39.838]  So whether it's Real Red Pill Plus or our super high quality CBD oil or the 50% off
[02:16:40.698 --> 02:16:46.880]  Or a great fizzy magnesium product, or whether it's counting out our great SleepAid that's back in stock, it's all there.
[02:16:46.880 --> 02:16:50.441]  Our Turmeric 95% Humanoid, strongest out there, Turmeric 95.
[02:16:50.441 --> 02:16:53.983]  It's all available at InfoWareStore.com, and it keeps us on the air.
[02:16:53.983 --> 02:16:57.604]  So make the decision to enrich your life and keep us on air, InfoWareStore.com.
[02:16:58.244 --> 02:17:02.247]  Thousands of former Nazis went to work for the United States government.
[02:17:02.247 --> 02:17:06.130]  A flying disc has been found and is now in the possession of the army.
[02:17:06.130 --> 02:17:08.512]  Here is a bulletin from CBS News.
[02:17:08.512 --> 02:17:10.914]  President Kennedy has been shot.
[02:17:10.914 --> 02:17:13.416]  This is a different kind of war.
[02:17:14.236 --> 02:17:18.720]  The USS Liberty had just been attacked by Israeli jets and torpedo boats.
[02:17:18.720 --> 02:17:22.122]  The CIA could manipulate the news in the United States.
[02:17:22.122 --> 02:17:26.145]  They took the babies out of incubators and left the children to die on a cold floor.
[02:17:26.145 --> 02:17:28.447]  It was almost as if it were a plan imposed.
[02:17:28.447 --> 02:17:29.808]  It just can't take it.
[02:17:30.228 --> 02:17:31.568]  We need to go into the Capitol!
[02:17:31.568 --> 02:17:31.969]  Stop!
[02:17:31.969 --> 02:17:33.029]  Stop!
[02:17:33.029 --> 02:17:34.029]  Stop!
[02:17:34.029 --> 02:17:36.170]  You will always have conspiracy theories.
[02:17:36.170 --> 02:17:37.771]  They are nothing but distractions.
[02:17:37.771 --> 02:17:40.972]  You guys censored Harvard educated doctors.
[02:17:40.972 --> 02:17:42.472]  You silenced those voices.
[02:17:42.472 --> 02:17:46.214]  What we want to do in Davos is push the reset button.
[02:17:46.214 --> 02:17:53.176]  Soon as we start exposing the Great Reset, the sooner these globalists start going to prison!
[02:17:59.731 --> 02:18:09.438]  Humanity is in a fight for its very life and InfoWars for decades has been at the very forefront of the fight for a pro-human future.
[02:18:09.438 --> 02:18:20.046]  We can't stay on air without your help and I want to thank you all for your past support and I want to encourage those of you that have never bought products at InfoWarsStore.com to go there and experience how amazing these products really are.
[02:18:20.586 --> 02:18:24.849]  Ultimate Bone Broth, finally sold out for over two years, back in stock.
[02:18:24.849 --> 02:18:27.591]  Real Red Pill Plus, simply amazing.
[02:18:27.591 --> 02:18:29.853]  Nitric, boosts what it does for your heart.
[02:18:29.853 --> 02:18:31.594]  Cardiovascular, critical.
[02:18:31.594 --> 02:18:39.640]  All these products, like Ultimate Krill Oil, Ultimate Fish Oil, Supermelt Vitality, they're all available and in stock, ready to ship to you, right down at InfoWarsTore.com.
[02:18:39.640 --> 02:18:48.566]  And the final 1,200 signed copies of my book, The Great Reset and the War for the World, and I'm not gonna sign anymore after that, are exclusively available at InfoWarsTore.com as well.
[02:18:48.746 --> 02:18:51.196]  In the last month, I got a little busy, so I didn't sign the books.
[02:18:51.196 --> 02:18:52.100]  We didn't have them for sale.
[02:18:52.100 --> 02:18:53.646]  But now, I signed the last books.
[02:18:53.646 --> 02:18:54.329]  You can get them right now.
[02:18:58.061 --> 02:19:00.763]  There is a war for the future happening right now.
[02:19:00.763 --> 02:19:05.646]  There is a war that will control my destiny, your destiny, our children's destinies.
[02:19:05.646 --> 02:19:10.949]  And that war is something that we can win, but it takes dedication, it takes commitment.
[02:19:10.949 --> 02:19:20.976]  That's why I ask listeners respectfully to go to MFORWARESTORE.COM and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[02:19:21.676 --> 02:19:27.920]  Infowarstore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World.
[02:19:27.920 --> 02:19:28.941]  Ultimate Bone Broth.
[02:19:28.941 --> 02:19:29.841]  Back in stock.
[02:19:29.841 --> 02:19:31.182]  Nitric Boost.
[02:19:31.182 --> 02:19:36.946]  The amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[02:19:37.546 --> 02:19:39.767]  It's all available at InfoWarsTore.com.
[02:19:39.767 --> 02:19:41.608]  Some of the very best products.
[02:19:41.608 --> 02:19:43.729]  And a lot of you have never shopped at InfoWarsTore.
[02:19:43.729 --> 02:19:49.051]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[02:19:49.051 --> 02:19:51.893]  These are great products that really work and are amazing.
[02:19:51.893 --> 02:19:53.273]  Plus, they keep us on air.
[02:19:53.273 --> 02:19:54.794]  So again, please take action.
[02:19:54.794 --> 02:19:59.476]  Go to InfoWarsTore.com today, and I thank you.
[02:19:59.476 --> 02:20:05.379]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:10.018 --> 02:20:13.960]  Because you can't starve us out, and you can't make us run.
[02:20:13.960 --> 02:20:16.961]  Keep those woods and moorboards raised, don't shot-gun.
[02:20:16.961 --> 02:20:22.044]  We say great, we say man.
[02:20:22.044 --> 02:20:28.387]  If you ain't into that, then don't give a damn.
[02:20:28.387 --> 02:20:35.070]  We came from the West Virginia coal mines, and the Rocky Mountains, and the western skies.
[02:20:40.483 --> 02:21:00.957]  Alright, Ivan Reikland's been working very closely as a lawyer and analyst, been an analyst for the Defense Intelligence Agency and now an advisor to Congress and the Republican rebels.
[02:21:01.966 --> 02:21:05.355]  And he's very excited about M5Newsgate.com.
[02:21:05.355 --> 02:21:09.105]  This is the letter in the number 5, M5Newsgate.com.
[02:21:09.105 --> 02:21:09.827]  Gary McBride.
[02:21:11.075 --> 02:21:18.120]  Since January 2021, Gary McBride has watched well over 7,000 hours of J6 video and have helped many of the J6 prisoners.
[02:21:18.120 --> 02:21:21.563]  Their wives, families, law firms represent them with video evidence.
[02:21:21.563 --> 02:21:24.085]  He's been working and cobbling it together.
[02:21:24.085 --> 02:21:26.727]  Each one of the J6 prisoners needs your help.
[02:21:26.727 --> 02:21:32.391]  He would always explain to each of them that whatever he found, good or bad, he was going to turn it over to their attorney.
[02:21:32.391 --> 02:21:35.073]  They understood that and just wanted someone to help them.
[02:21:35.073 --> 02:21:38.576]  So he was given the power through the attorneys who could get pieces of the video.
[02:21:39.980 --> 02:21:44.823]  You notice Jacob Chonsley couldn't get the video of them letting him in and bringing him into the Senate.
[02:21:44.823 --> 02:21:57.031]  If he learned, if he leaned to one side and was unethical, leaving out important pieces of information or ever-changing timestamps of video, he would be just like MSM or the J6 committee and would have no credibility.
[02:21:57.031 --> 02:21:58.152]  He never did that.
[02:21:58.152 --> 02:22:01.374]  He just put out the truth.
[02:22:01.374 --> 02:22:06.337]  Forget credibility, he wouldn't be able to sleep at night.
[02:22:06.337 --> 02:22:07.058]  They just wanted
[02:22:08.510 --> 02:22:14.462]  ...help from someone on the outside because they were not getting help from those that a lot of us...
[02:22:15.714 --> 02:22:18.596]  Can agree on, are not helping them.
[02:22:18.596 --> 02:22:21.658]  And that's certainly the case under the beta test for all the rest of us.
[02:22:21.658 --> 02:22:23.579]  So Gary McBride, you're going to be back on tomorrow.
[02:22:23.579 --> 02:22:24.780]  We'll play a bunch of the clips then.
[02:22:24.780 --> 02:22:26.301]  And I knew you were out there.
[02:22:26.301 --> 02:22:26.882]  I knew who you were.
[02:22:26.882 --> 02:22:27.922]  I've seen you work with the lawyers.
[02:22:27.922 --> 02:22:33.766]  I didn't realize how much of the footage you were able to get from inside the Capitol through these defense teams.
[02:22:33.766 --> 02:22:39.530]  None of them ever got the whole thing, but you've gotten the largest piece out there outside from what Tucker Carlson was allowed to go review.
[02:22:40.951 --> 02:22:49.619]  Give us a gestalt or boil down of what you found and of the new revelations coming out and what you make of the current desperateness of the deep state to block this new footage coming out.
[02:22:49.619 --> 02:22:53.283]  Then we'll come back in the next few longer segments and drill into what you actually found.
[02:22:53.283 --> 02:22:56.466]  But I salute your dogged beaver-like work.
[02:22:56.466 --> 02:22:58.548]  We really appreciate you.
[02:22:58.548 --> 02:22:59.409]  Well, thank you, Alex.
[02:22:59.409 --> 02:23:00.249]  Thank you for having me on.
[02:23:00.249 --> 02:23:02.872]  Ivan, I appreciate you, buddy.
[02:23:02.872 --> 02:23:03.533]  Yeah, you know, it's
[02:23:04.355 --> 02:23:09.639]  January 15, 2021 is when I got started, and I watched one video that caught my attention.
[02:23:09.639 --> 02:23:13.301]  There's a couple things that caught my attention, and I wanted the truth.
[02:23:13.301 --> 02:23:20.206]  And I have been digging for the truth since then, and I started with open source like everybody else, and I found the truth.
[02:23:20.206 --> 02:23:29.593]  And then when I had access to better footage, I instantly went into looking at that to back up everything that I've uncovered.
[02:23:29.593 --> 02:23:32.695]  From Roseanne, Sidnick, Fanon, Dunn,
[02:23:34.909 --> 02:23:42.414]  So I used that footage to back up my theory, as the attorneys like to say it, which isn't a theory, it's the truth.
[02:23:42.414 --> 02:23:45.976]  And the reason they don't want anybody to see it is because it is the truth.
[02:23:45.976 --> 02:23:48.598]  And they talk about it being sensitive and highly sensitive.
[02:23:48.598 --> 02:23:50.219]  It's a security issue.
[02:23:50.219 --> 02:23:50.999]  And that's the truth.
[02:23:50.999 --> 02:23:53.941]  And you saw Raskin, how he acted.
[02:23:53.941 --> 02:23:56.063]  They're crapping their pants, honestly.
[02:23:56.063 --> 02:23:59.265]  And they're scared because that's where the security issue comes in.
[02:23:59.265 --> 02:24:01.806]  They're afraid what's going to happen to them for what they've done.
[02:24:03.584 --> 02:24:11.709]  You know, it's what they've done to these J6ers, to the American people and to our country is disgusting.
[02:24:11.709 --> 02:24:13.890]  And it's time for the people to stand up right now.
[02:24:13.890 --> 02:24:16.292]  Attorneys really aren't doing much for them.
[02:24:16.292 --> 02:24:19.474]  You know, this mainstream media, they're not.
[02:24:19.474 --> 02:24:25.357]  People like you that stand out, talk about it, aren't afraid to stand up against it.
[02:24:25.357 --> 02:24:26.298]  That's what we need to do.
[02:24:26.298 --> 02:24:27.578]  We the people need to do it.
[02:24:27.578 --> 02:24:32.822]  And that's what we're being the people and what we're supposed to be doing.
[02:24:32.822 --> 02:24:33.262]  You know, it's
[02:24:34.418 --> 02:24:35.881]  You were talking about EPS earlier.
[02:24:35.881 --> 02:24:38.405]  You know, I've got information on EPS.
[02:24:38.405 --> 02:24:42.072]  I've got the footage that you're just showing right now.
[02:24:42.072 --> 02:24:46.660]  A month and a half ago, I uncovered breach number two by EPS where he's pointing at the fencing.
[02:24:47.595 --> 02:24:53.137]  Um, I'm working on what I just sent you right now where he touches that banner and he's pointing which way it needs to go.
[02:24:53.137 --> 02:24:56.239]  But if you watch that banner being carried over, it's carried.
[02:24:56.239 --> 02:24:57.299]  Just listen to this.
[02:24:57.299 --> 02:24:58.039]  It's carried.
[02:24:58.039 --> 02:24:59.320]  It's not handed off.
[02:24:59.320 --> 02:25:02.401]  It's carried to a certain point and you'll see it slow down.
[02:25:02.401 --> 02:25:04.362]  That's when it's handed off to protest.
[02:25:04.362 --> 02:25:04.682]  That's right.
[02:25:04.682 --> 02:25:07.323]  It wasn't a mob working randomly.
[02:25:07.323 --> 02:25:09.144]  It was all coordinated.
[02:25:09.144 --> 02:25:10.364]  Yeah, absolutely.
[02:25:10.364 --> 02:25:11.144]  All coordinated.
[02:25:11.144 --> 02:25:14.846]  This was, day six was planned and coordinated and I'm going to prove it.
[02:25:16.190 --> 02:25:16.370]  100%.
[02:25:16.370 --> 02:25:18.232]  It was planned and coordinated.
[02:25:18.232 --> 02:25:22.096]  And I'm going to go ahead and say this out loud.
[02:25:22.096 --> 02:25:24.999]  I'm working on the footage now for Eugene Goodman, and that's where it started at.
[02:25:24.999 --> 02:25:26.600]  Now that story lasted a month or two.
[02:25:26.600 --> 02:25:29.403]  It did its job, what it was supposed to do, and then it disappeared.
[02:25:29.403 --> 02:25:31.565]  I ask people all the time if they remember who that was.
[02:25:31.565 --> 02:25:35.990]  A lot of them don't, you know, because it did its job, what it was supposed to do.
[02:25:35.990 --> 02:25:38.893]  And that was to cover up the stolen election.
[02:25:40.458 --> 02:25:41.038]  Keep going.
[02:25:41.038 --> 02:25:42.299]  So this is huge.
[02:25:42.299 --> 02:25:45.882]  For those that don't know, Rams wasn't just there the day before and that day saying attack.
[02:25:45.882 --> 02:25:54.629]  He's there helping ram the giant Trump sign over the police and get the breach going and beginning the breaking of the dam.
[02:25:54.629 --> 02:25:55.089]  Yeah.
[02:25:55.089 --> 02:26:06.618]  And you can see in that video, um, as it stops by that tower, that media tower, you'll see the banner kind of, it's kind of stops and it starts turning to the, to the right.
[02:26:06.618 --> 02:26:07.659]  If you're facing the Capitol.
[02:26:08.482 --> 02:26:17.910]  And, you know, there's footage that I put on what I said, y'all, towards the end or whatever, that shows us touching the banner, shows us pointing the direction it needs to go.
[02:26:17.910 --> 02:26:21.513]  When he does that, he backs off just like he always does.
[02:26:21.513 --> 02:26:23.074]  You set him up to get going.
[02:26:23.074 --> 02:26:24.896]  There's there's a good footage right there.
[02:26:24.896 --> 02:26:29.620]  Now, there's another footage that's going to show right behind him from open source.
[02:26:29.620 --> 02:26:31.141]  It shows him touching it.
[02:26:31.141 --> 02:26:33.143]  And they have always said he never touched it.
[02:26:35.605 --> 02:26:38.167]  It's a complete lie what they're saying about him.
[02:26:38.167 --> 02:26:42.570]  Why do you think under oath he told the J6 committee that yes, he coordinated the attack?
[02:26:42.570 --> 02:26:46.332]  I guess he knows his text messages so he wasn't going to perjure himself.
[02:26:46.332 --> 02:26:47.713]  No, he said he left at 214.
[02:26:47.713 --> 02:26:49.695]  That's in the paper.
[02:26:49.695 --> 02:26:51.576]  He left at 244.
[02:26:51.576 --> 02:26:53.157]  And he didn't just leave by himself.
[02:26:53.157 --> 02:26:57.240]  He had four people in front of him and four people behind him and they got him the hell out of there.
[02:26:57.913 --> 02:27:02.615]  As soon as the red smoke pops, you can find that video, but as soon as the red smoke pops, he gets out.
[02:27:02.615 --> 02:27:07.518]  Well, sure, I'm no military guy, but I did play football, but I know Ivan is a Green Beret.
[02:27:07.518 --> 02:27:09.278]  I've been watching all this.
