[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[01:59:25.259 --> 01:59:28.582]  Get your high quality storable foods at InfoWareStore.com.
[01:59:28.582 --> 01:59:30.864]  That's one of the key check marks of the check boxes.
[01:59:30.864 --> 01:59:35.107]  You've got to have checked off InfoWareStore.com and their delivery is now
[01:59:35.627 --> 01:59:36.968]  One to two weeks.
[01:59:36.968 --> 01:59:39.570]  Get it before the next big rush comes.
[01:59:39.570 --> 01:59:46.676]  Take action, get the best durable food at the best price now at InfoWarsTore.com and it supports the InfoWar.
[01:59:46.676 --> 01:59:47.737]  I'm gonna continue
[02:00:00.620 --> 02:00:05.381]  To show you the Democrat terrorism that was on the streets last night after the RNC.
[02:00:05.381 --> 02:00:06.781]  Enabled by D.C.
[02:00:06.781 --> 02:00:09.362]  Mayor Democrat Muriel Bowser.
[02:00:09.362 --> 02:00:12.983]  Promoted by the mainstream media.
[02:00:12.983 --> 02:00:16.283]  And justified by Democrats like Nancy Pelosi and Maxine Waters.
[02:00:16.283 --> 02:00:18.004]  These are the enemies of America.
[02:00:18.004 --> 02:00:21.224]  It's time to start treating them as such.
[02:00:21.224 --> 02:00:24.325]  Brandon Strzok of the walk away movement.
[02:00:26.257 --> 02:00:27.658]  Who happens to be gay.
[02:00:27.658 --> 02:00:29.999]  Again, Republicans don't care about that anymore.
[02:00:29.999 --> 02:00:33.141]  Maybe 10 or 12 years ago, a Republican may have raised a fuss about that.
[02:00:33.141 --> 02:00:33.641]  Not anymore.
[02:00:33.641 --> 02:00:37.884]  Because we're all just trying to save America at this point.
[02:00:37.884 --> 02:00:48.269]  And the left that claims to love black people or gay people or women and notice how they always attack black people and gay people and women.
[02:00:48.269 --> 02:00:48.710]  You notice that?
[02:00:48.710 --> 02:00:50.190]  It's funny, isn't it?
[02:00:50.190 --> 02:00:52.392]  And so here's Brandon Strzok last night.
[02:00:53.579 --> 02:01:04.268]  After the RNC, and uh, he gets attacked and he was saying on Twitter he's never experienced, he's never experienced attacks like this.
[02:01:04.268 --> 02:01:11.514]  Not just the physicality, but the insults that were hurled in his direction.
[02:01:11.514 --> 02:01:15.116]  I'm sorry, what's that?
[02:01:15.116 --> 02:01:17.418]  Okay, what's the problem guys?
[02:01:17.418 --> 02:01:18.399]  It's alright, it's alright.
[02:01:18.399 --> 02:01:21.602]  Just click five.
[02:01:21.602 --> 02:01:21.882]  Are we good?
[02:01:23.737 --> 02:01:31.483]  Okay, so here it is, Brandon Schrock having insults hurled at him and physically being attacked after the RNC.
[02:01:31.483 --> 02:01:32.364]  Oh, really?
[02:01:32.364 --> 02:01:33.265]  Really?
[02:01:33.265 --> 02:01:38.269]  I don't speak to people like that, I really don't.
[02:01:38.269 --> 02:01:39.230]  T and his friend.
[02:01:39.230 --> 02:01:42.112]  Getting attacked.
[02:01:42.112 --> 02:01:43.654]  Literally walking down the sidewalk.
[02:01:43.654 --> 02:01:46.616]  He's a Donald Trump supporter!
[02:01:46.616 --> 02:01:49.619]  Oh, he's a Trump supporter, I can kill you now!
[02:01:50.959 --> 02:01:53.981]  He's a Nazi.
[02:01:53.981 --> 02:02:01.706]  For the record, we were walking down the street, minding our own business, and you just physically assault him.
[02:02:01.706 --> 02:02:03.507]  Then they start saying, oh, did you call me this?
[02:02:03.507 --> 02:02:05.829]  He's like, no.
[02:02:05.829 --> 02:02:10.032]  All right.
[02:02:10.032 --> 02:02:10.932]  Get away from him.
[02:02:10.932 --> 02:02:12.673]  You get away from him.
[02:02:12.673 --> 02:02:16.015]  There it is again, they physically assault him.
[02:02:16.015 --> 02:02:17.116]  That's why the camera goes black.
[02:02:20.845 --> 02:02:22.226]  These people are out of control, man.
[02:02:22.226 --> 02:02:36.894]  I mean, let me tell you, at a certain point, at a certain point, because here's the thing, the only thing the police are doing at this point is protecting these rioters.
[02:02:36.894 --> 02:02:43.978]  Now, believe me, the left is so short-sighted, and their IQ is so low, they don't understand what I'm about to say.
[02:02:43.978 --> 02:02:46.520]  The only thing the police are doing at this point is protecting you.
[02:02:49.824 --> 02:02:57.967]  And you're going to find that out real quick if you actually defund the police.
[02:02:57.967 --> 02:03:05.110]  So be careful what you ask for because eventually Republicans are going to catch on and they're going to say, yeah, let's defund the police too.
[02:03:05.110 --> 02:03:09.731]  I'm sick of somebody holding me back from beating your ass.
[02:03:09.731 --> 02:03:11.792]  So be careful what you wish for.
[02:03:11.792 --> 02:03:14.593]  I have a feeling they might get it.
[02:03:17.295 --> 02:03:17.796]  Let's move on.
[02:03:17.796 --> 02:03:21.820]  Here's another instance outside the RNC again.
[02:03:21.820 --> 02:03:30.569]  Just a couple walking out of the RNC and look at how they get treated by the Democrat terror squads.
[02:03:30.569 --> 02:03:35.574]  Sir, you just came back from the President's RNC speech?
[02:03:42.203 --> 02:03:49.870]  Mr. Ager, how do you feel about the killing of black individuals in the United States?
[02:03:49.870 --> 02:03:55.055]  Mr. Ager, how do you feel about the killing of black individuals in the United States?
[02:03:55.055 --> 02:03:58.378]  Mr. Ager, how do you feel about the killing of black individuals in the United States?
[02:03:58.378 --> 02:04:01.341]  Mr. Ager, how do you feel about the killing of black individuals in the United States?
[02:04:01.341 --> 02:04:07.046]  Mr. Ager, how do you feel about the killing of black individuals in the United States?
[02:04:11.880 --> 02:04:20.026]  So then they feel justified in their rage and their violence because they live in this delusion land.
[02:04:20.026 --> 02:04:22.248]  And it's not even black people, it's white people.
[02:04:26.189 --> 02:04:27.210]  Look at this.
[02:04:27.210 --> 02:04:29.291]  Again, this woman, let me tell you something.
[02:04:29.291 --> 02:04:32.014]  If you defund the police, let me tell you something right now.
[02:04:32.014 --> 02:04:42.462]  This man with his wife, he is going to knock that woman out cold and he's not going to feel an ounce of remorse and he's going to have nothing holding him back because there's no police!
[02:04:42.462 --> 02:04:45.124]  Hey guys, you know what?
[02:04:45.124 --> 02:04:45.764]  I'm sorry.
[02:04:45.764 --> 02:04:46.825]  This is the craziest part.
[02:04:46.825 --> 02:04:48.486]  Look, this woman's clearly mentally deranged.
[02:04:48.486 --> 02:04:49.667]  Put her on a funny phone.
[02:04:49.667 --> 02:04:53.350]  Rewind it 15 seconds because she's about to get hopped up here.
[02:04:53.350 --> 02:04:54.071]  Now you tell me.
[02:04:55.427 --> 02:04:56.147]  Meth?
[02:04:56.147 --> 02:04:57.028]  Crack?
[02:04:57.028 --> 02:04:57.828]  Cocaine?
[02:04:57.828 --> 02:04:58.509]  Alcohol?
[02:04:58.509 --> 02:04:59.569]  What is this woman on?
[02:04:59.569 --> 02:05:00.790]  Here, roll the clip.
[02:05:00.790 --> 02:05:02.110]  Didn't touch her.
[02:05:02.110 --> 02:05:04.471]  Now she starts dancing and cursing.
[02:05:04.471 --> 02:05:07.393]  She's got a mask on her face.
[02:05:18.075 --> 02:05:18.815]  Don't they get it?
[02:05:18.815 --> 02:05:28.902]  The only thing stopping conservatives and Republicans from beating these people's ass in the street is A. their moral compass.
[02:05:28.902 --> 02:05:30.223]  They're good people.
[02:05:30.223 --> 02:05:35.467]  But B. because they don't want to go to jail and deal with an assault charge or get arrested by police.
[02:05:35.467 --> 02:05:36.988]  Boy oh boy, let me tell ya.
[02:05:36.988 --> 02:05:45.974]  You get rid of that part too, and they know that there's no law enforcement to arrest them if they're stomping your bloody skull into the concrete after you assault their wife.
[02:05:47.011 --> 02:05:50.912]  The moral compass is going to go real quick, folks.
[02:05:50.912 --> 02:05:58.875]  Because it doesn't take much of a moral compass to deal with terrorists like this.
[02:05:58.875 --> 02:06:04.917]  You realize you're on the side of good.
[02:06:04.917 --> 02:06:07.157]  Again, screaming about black people, this white woman.
[02:06:07.157 --> 02:06:12.239]  This clearly drugged out, delusional white woman.
[02:06:12.239 --> 02:06:15.120]  Guys, skip clip 7, because that was the same one as clip 6.
[02:06:17.812 --> 02:06:25.394]  Um, now let's go, guys, is clip 11 the same Rand Paul clip that we ran earlier?
[02:06:25.394 --> 02:06:28.515]  Okay, let's just go again.
[02:06:28.515 --> 02:06:31.836]  Here's, because they, they're, folks, they're saying that this didn't happen.
[02:06:31.836 --> 02:06:33.017]  Uh, roll clip 11.
[02:06:36.993 --> 02:06:55.060]  Just another view of Rand Paul and his wife trying to peacefully get back to the hotel, and the Democrat terror squads threatening them, harassing them, shoving them, shoving police, and then Politico publishes a story today saying none of it even happened.
[02:06:55.060 --> 02:06:57.641]  This is not a Joe Biden rally, folks, but it is.
[02:07:03.755 --> 02:07:05.580]  Here's one thing you can guarantee.
[02:07:05.580 --> 02:07:07.646]  Trump supporters aren't rioting.
[02:07:07.646 --> 02:07:11.357]  Trump supporters aren't committing acts of violence and destruction.
[02:07:15.404 --> 02:07:17.765]  There they are, yelling at police, yelling at Rand Paul.
[02:07:17.765 --> 02:07:20.386]  By the way, they keep saying, Breonna Taylor, Breonna Taylor.
[02:07:20.386 --> 02:07:24.288]  Rand Paul is the one that signed the Justice for Breonna Taylor Act.
[02:07:24.288 --> 02:07:29.630]  Rand Paul is the one who signed bills to stop the militarization of police.
[02:07:29.630 --> 02:07:32.891]  Rand Paul is the last person they should be going after.
[02:07:32.891 --> 02:07:33.632]  But they don't know.
[02:07:33.632 --> 02:07:34.732]  They're uninformed.
[02:07:34.732 --> 02:07:35.712]  They're ignorant.
[02:07:35.712 --> 02:07:36.853]  They're brainwashed masses.
[02:07:38.342 --> 02:07:39.262]  Move back!
[02:07:39.262 --> 02:07:40.143]  Move back!
[02:07:40.143 --> 02:07:42.243]  But this didn't happen according to the Politico.
[02:07:42.243 --> 02:07:44.304]  This didn't happen according to the Democrats.
[02:07:44.304 --> 02:07:45.184]  This isn't violent.
[02:07:45.184 --> 02:07:46.765]  This is a peaceful protest.
[02:07:46.765 --> 02:07:49.986]  Alright guys, let's move on now to clip 12.
[02:07:49.986 --> 02:07:51.986]  Again, people leaving the RNC.
[02:07:51.986 --> 02:07:59.809]  Joe Biden supporters find them and spit on them.
[02:07:59.809 --> 02:08:01.049]  Trying to enter their hotel.
[02:08:01.049 --> 02:08:02.110]  Biden voters come up.
[02:08:02.110 --> 02:08:04.330]  Democrat voters come up and spit on them.
[02:08:04.330 --> 02:08:05.311]  They all should have been arrested.
[02:08:05.311 --> 02:08:05.991]  That's assault!
[02:08:07.014 --> 02:08:08.075]  You could've given them COVID.
[02:08:08.075 --> 02:08:08.715]  How about that?
[02:08:08.715 --> 02:08:11.137]  You say it's a bio-weapon for COVID.
[02:08:11.137 --> 02:08:12.698]  Your body's a bio-weapon for COVID.
[02:08:12.698 --> 02:08:13.679]  Well, they just spit on people.
[02:08:13.679 --> 02:08:31.292]  Should they be tried with bioterrorism?
[02:08:31.292 --> 02:08:33.814]  Guys, what, um... What is clip 18?
[02:08:42.557 --> 02:08:49.200]  Yeah, but is it more violent video?
[02:08:49.200 --> 02:08:56.384]  Okay, so this will be it, guys, for our violent videos, and then we'll come back and we'll show the Democrats that are supporting all of it and lying about all of it.
[02:08:56.384 --> 02:08:58.025]  But here you go.
[02:08:58.025 --> 02:09:04.168]  Again, an elderly couple leaves the RNC, and look at how they're harassed by Democrat terrorists in the streets.
[02:09:23.714 --> 02:09:36.501]  You know, sometimes, and I don't enjoy this part of my job here, because we have to tell the truths that nobody else will tell, and we get attached for it.
[02:09:38.050 --> 02:09:41.992]  And it's not that we're promoting this, because, believe me, I don't want to see any violence.
[02:09:41.992 --> 02:09:45.253]  But let me tell you, folks, the winds of change are coming.
[02:09:45.253 --> 02:09:48.175]  And if these Democrat terror squads don't get out of the streets, you know what's going to happen.
[02:09:48.175 --> 02:09:51.456]  We launched the Everyday Essentials special a week ago.
[02:09:51.456 --> 02:09:52.777]  It ends on Monday.
[02:09:52.777 --> 02:09:56.559]  That means you've got four days to take advantage of it while I'm cutting this ad.
[02:09:56.559 --> 02:09:58.960]  A PAC PowerStack NX2 back in stock.
[02:09:59.980 --> 02:10:01.441]  60% off, free shipping.
[02:10:01.441 --> 02:10:05.244]  Heart and Body Combo, Extend-A-Wise, Vaseline Beads, 50% off, free shipping.
[02:10:05.244 --> 02:10:08.786]  Survival Shield X2, by itself, back in stock, 50% off, free shipping.
[02:10:08.786 --> 02:10:12.068]  Ultimate Fish Roll, back in stock, 30% off, free shipping.
[02:10:12.068 --> 02:10:15.190]  Survival Shield X2 and X3 Combo, 50% off.
[02:10:15.190 --> 02:10:17.912]  Krill Oil, 17% off, free shipping.
[02:10:17.912 --> 02:10:22.955]  Take advantage of these sales and others with free shipping and at FootwearStore.com.
[02:10:22.955 --> 02:10:25.037]  They're great products that changed my life.
[02:10:25.037 --> 02:10:25.377]  They've got
[02:10:25.937 --> 02:10:28.379]  This isn't about me taking credit.
[02:10:28.379 --> 02:10:29.679]  In fact, it's the opposite.
[02:10:29.679 --> 02:10:32.661]  It's about getting you to understand that you have all the power.
[02:10:54.963 --> 02:11:07.994]  Going back three weeks ago, they had the entire Austin Greenbelt shut down, and they have the spillway by Barton Springs shut down, as well as the main pool that's always been paved for the last 50 years or so.
[02:11:07.994 --> 02:11:09.816]  It's a dammed up spring.
[02:11:09.816 --> 02:11:19.364]  Well, we went down there and we got in the park at different areas around town in the last few weeks and educated people that it was all a giant fraud.
[02:11:19.364 --> 02:11:22.227]  And now, despite the fact that they still say the parks are closed,
[02:11:22.867 --> 02:11:30.592]  You can go to any area and you'll see dozens if not hundreds of people, depending where you're at, actually using Barton Springs here in Austin, Texas.
[02:11:30.592 --> 02:11:40.439]  So, Bill Gates and the globalists give the orders to the UN, the UN gives the orders down through the National Health Services, like our NIH, and we all follow it like dutiful slaves.
[02:11:40.439 --> 02:11:43.341]  Stop complying with your own enslavement.
[02:11:43.341 --> 02:11:46.603]  Stop following the orders of these globalist traitors.
[02:11:46.603 --> 02:11:47.544]  Start being free again.
[02:11:51.141 --> 02:12:04.913]  You're listening to The Alex Jones Show.
[02:12:04.913 --> 02:12:09.417]  On a warm summer's evening, on a train bound for nowhere,
[02:12:10.427 --> 02:12:15.450]  Now what you're seeing there, guys, just roll the b-roll.
[02:12:15.450 --> 02:12:17.432]  I don't know where this was, but, um...
[02:12:33.960 --> 02:12:38.202]  It's an older black lady, looks to be maybe in her seventies or even older.
[02:12:38.202 --> 02:12:42.004]  And you can see this woman ain't taking no crap.
[02:12:42.004 --> 02:12:47.446]  And she's proudly shouting Donald Trump, waving her Trump flag.
[02:12:47.446 --> 02:12:49.907]  She gets it.
[02:12:49.907 --> 02:12:51.308]  Oh, she gets it.
[02:12:51.308 --> 02:12:56.050]  All right, ladies and gentlemen, here's what I'm going to do.
[02:12:56.050 --> 02:13:00.072]  When we come back in the next segment, or maybe we'll have to do this in the last segment of this hour.
[02:13:01.246 --> 02:13:03.887]  I'm going to show you where the Democrat Party is really at.
[02:13:03.887 --> 02:13:06.507]  They're losing bigly.
[02:13:06.507 --> 02:13:12.288]  Democrat voters are going to vote Trump like you've never seen before.
[02:13:12.288 --> 02:13:18.950]  Even conservatives like Glenn Beck and others who were never Trumpers have now turned the corner and they've admitted like, hey, you know what?
[02:13:18.950 --> 02:13:20.350]  I was wrong in 2016.
[02:13:20.350 --> 02:13:21.450]  I apologize.
[02:13:21.450 --> 02:13:24.371]  Trump is the real deal.
[02:13:24.371 --> 02:13:28.332]  Some others that were never Trumpers like Charlie Kirk have never apologized, but that's neither here nor there.
[02:13:30.265 --> 02:13:31.787]  But let's look at some of the Democrats.
[02:13:31.787 --> 02:13:35.731]  Of course, you've heard and seen Maxine Waters calling and supporting the Democrat terrorism.
[02:13:35.731 --> 02:13:39.055]  You've seen and heard Nancy Pelosi doing the same thing.
[02:13:39.055 --> 02:13:41.298]  Here's more of it that just happened last night.
[02:13:41.298 --> 02:13:47.285]  Here's Ayanna Pressley literally calling for Democrat terrorism in the streets.
[02:13:48.407 --> 02:13:50.007]  I'm looking to the public.
[02:13:50.007 --> 02:14:11.532]  You know, this is as much about public outcry and organizing and mobilizing and applying pressure so that this GOP-led Senate and that these governors that continue to carry water for this administration, putting the American people in harm's way, turning a deaf ear to the needs of our families and our communities, hold them accountable.
[02:14:13.168 --> 02:14:16.429]  Well, make the phone call, send the email, show up.
[02:14:16.429 --> 02:14:20.370]  You know, there needs to be unrest in the streets for as long as there's unrest in our lives.
[02:14:20.370 --> 02:14:22.971]  And unfortunately, there's plenty to go around.
[02:14:22.971 --> 02:14:29.494]  So they cause unrest in the lives, they cause unrest in the streets, and then they blame it all on Trump.
[02:14:29.494 --> 02:14:39.097]  It's like the same thing I have over here, where it's the Washington Post, it's CNN, it's other publications.
[02:14:40.145 --> 02:14:43.128]  Where they just say, oh, if you're a woman, you're a victim of a Republican.
[02:14:43.128 --> 02:14:45.029]  If you're black, you're a victim of a Republican.
[02:14:45.029 --> 02:14:46.971]  If you're anything, you're a victim of a Republican.
[02:14:46.971 --> 02:14:49.973]  But then you do the research and it's all Democrat policies.
[02:14:49.973 --> 02:14:51.855]  For example, Washington Post today.
[02:14:51.855 --> 02:14:55.618]  Katrina battered black New Orleans, then the recovery did it again.
[02:14:55.618 --> 02:14:57.020]  Well, who was in charge of that?
[02:14:57.020 --> 02:14:59.081]  Who was running New Orleans at the time?
[02:14:59.081 --> 02:15:00.262]  Democrat mayor.
[02:15:00.262 --> 02:15:01.543]  Democrat city council.
[02:15:01.543 --> 02:15:03.045]  It's Democrats, but they just blame...
[02:15:04.206 --> 02:15:05.967]  Blame Republicans, blame white people.
[02:15:05.967 --> 02:15:07.067]  CNN.
[02:15:07.067 --> 02:15:10.369]  Women are losing the work-from-home battle for space.
[02:15:10.369 --> 02:15:17.012]  And it's all about, oh, because of COVID, everybody has to work from home, and women can't work from home like men work from home, and so it's all Trump's fault because of COVID.
[02:15:17.012 --> 02:15:21.955]  No, you're the ones that shut down the businesses for COVID.
[02:15:21.955 --> 02:15:22.975]  Texas Tribune.
[02:15:22.975 --> 02:15:26.417]  Special education students lose crucial help when the pandemic hit.
[02:15:26.417 --> 02:15:29.558]  Texas schools are still struggling to restore it.
[02:15:29.558 --> 02:15:30.579]  Who runs Austin?
[02:15:31.820 --> 02:15:36.422]  Democrat Mayor, Adler, Democrat City Council, it's all Democrat policies.
[02:15:36.422 --> 02:15:39.944]  If Republicans were in charge of everything, everything would be open!
[02:15:39.944 --> 02:15:43.466]  You wouldn't be complaining about this crap!
[02:15:43.466 --> 02:15:44.427]  And it doesn't even matter.
[02:15:44.427 --> 02:15:53.332]  They cause all the problems, they complain about all the problems they caused, and then they project it onto their opposition.
[02:15:53.332 --> 02:16:01.076]  Here in clip 10, folks, I mean, I don't know, what do you say about Ayanna Pressley, Joy Reid, and these Democrats?
[02:16:02.136 --> 02:16:05.037]  I've seen ham sandwiches that have a higher IQ.
[02:16:05.037 --> 02:16:16.063]  Here's Joy Reid saying that she watched Fidel Castro speak last night.
[02:16:16.063 --> 02:16:23.546]  All I have to say is as I'm watching this, I'm thinking, you know, Fidel Castro, Julius Caesar, Mobutu Sese Seko.
[02:16:25.680 --> 02:16:30.041]  That was not an American president giving an acceptance speech.
[02:16:30.041 --> 02:16:31.622]  That was a monarch.
[02:16:31.622 --> 02:16:45.385]  It was very much like what Castro used to do, an hour and ten minutes that clocked in of just, you know, it wasn't a usual Trump speech with his ad libs and sort of the, he did the sort of humor kind of thrown into it.
[02:16:45.385 --> 02:16:50.647]  It was, he said, the fact is I'm here and they're not.
[02:16:50.647 --> 02:16:53.988]  He made the White House into the Trump Palace.
[02:16:55.191 --> 02:16:55.931]  I mean, what a joke.
[02:16:55.931 --> 02:16:56.311]  What a joke.
[02:16:56.311 --> 02:16:57.712]  What do you do with these scumbags?
[02:16:57.712 --> 02:16:59.152]  What do you do with these lowlifes?
[02:16:59.152 --> 02:17:00.893]  What do you do with these nitwits?
[02:17:19.977 --> 02:17:30.225]  And again, if Trump was this oppressor or authoritarian or monarch that they claim he is, Joy Reid, you'd be off television and in jail.
[02:17:30.225 --> 02:17:33.228]  Ayanna Pressley, you'd be out of Congress and in jail.
[02:17:33.228 --> 02:17:37.752]  All these Black Lives Matter, Antifa riots, they'd all be dead!
[02:17:37.752 --> 02:17:40.474]  Trump would just say, yeah, just go out and murder them, just go out and kill them all.
[02:17:41.567 --> 02:17:43.589]  Notice how none of that happens.
[02:17:43.589 --> 02:17:45.030]  These people don't live in reality.
[02:17:45.030 --> 02:17:47.272]  These people are a threat to our freedom.
[02:17:47.272 --> 02:17:48.413]  They're a threat to our country.
[02:17:48.413 --> 02:17:50.475]  They're a threat to everything we hold dear.
[02:17:50.475 --> 02:17:52.757]  They're a threat.
[02:17:52.757 --> 02:17:53.077]  Period.
[02:17:56.431 --> 02:17:59.894]  Yeah, and by the way, the feds are moving on some of these people.
[02:17:59.894 --> 02:18:04.178]  74 people facing federal charges for crimes committed during Portland demonstrations.
[02:18:04.178 --> 02:18:07.341]  This needs to be thousands of arrests.
[02:18:07.341 --> 02:18:14.647]  But see, the Democrat mayors of Portland and Seattle and other places refuse the federal government's help.
[02:18:14.647 --> 02:18:17.430]  You heard Trump last night say we could round them all up in an hour.
[02:18:17.430 --> 02:18:18.310]  Folks, they've already run.
[02:18:19.181 --> 02:18:21.882]  Their intelligence operations.
[02:18:21.882 --> 02:18:26.764]  They've already pinned and flagged all the Antifa terrorists, Black Lives Matter terrorists.
[02:18:26.764 --> 02:18:28.305]  They have their phone conversations.
[02:18:28.305 --> 02:18:29.185]  They have their texts.
[02:18:29.185 --> 02:18:30.646]  They have their geolocation.
[02:18:30.646 --> 02:18:32.006]  They have all of it.
[02:18:32.006 --> 02:18:36.248]  They could round up and arrest thousands of people overnight.
[02:18:36.248 --> 02:18:37.869]  And this would come to an end.
[02:18:37.869 --> 02:18:39.590]  But the Democrat mayors won't do it.
[02:18:39.590 --> 02:18:45.292]  And because Trump is not an authoritarian, he says, OK, well, this is the law.
[02:18:45.292 --> 02:18:45.992]  You don't want our help.
[02:18:45.992 --> 02:18:47.233]  You want terrorists to run your streets?
[02:18:47.233 --> 02:18:47.333]  OK.
[02:18:48.524 --> 02:18:50.725]  And that's that!
[02:18:50.725 --> 02:19:00.728]  But I have a feeling someday soon there's going to be a reversal on this, and I don't know how it's going to go, but this just can't continue, folks.
[02:19:00.728 --> 02:19:12.411]  It's going to reach a crescendo, and no matter which way the cookie crumbles, it's not going to be good for the Democrats.
[02:19:13.792 --> 02:19:23.838]  Even if they get their violent terrorists to continue to burn things and kill people and loot and rob, it's only going to hurt their political movement.
[02:19:23.838 --> 02:19:26.619]  And they're realizing it now, so they don't know what to do.
[02:19:26.619 --> 02:19:28.981]  Now real quick, let me just slide this one in there too.
[02:19:29.946 --> 02:19:35.749]  Because professional sports have now decided they're boycotting and not playing because of Black Lives Matter.
[02:19:35.749 --> 02:19:37.910]  And now their ratings are hitting like zero.
[02:19:37.910 --> 02:19:39.551]  I mean, it's bad.
[02:19:39.551 --> 02:19:42.672]  Not even a million people are watching a sporting event now.
[02:19:42.672 --> 02:19:47.374]  And so now they're saying, well, OK, maybe we'll play again because they're bottoming out their ratings.
[02:19:47.374 --> 02:19:52.757]  Here's a woman who I don't know what her political background is, but she's calling out the fraud of the NBA boycott.
[02:19:54.121 --> 02:19:57.783]  The news isn't covering this right now, but there are currently concentration camps in China.
[02:19:57.783 --> 02:20:08.449]  Starting early 2017, the Chinese government began cracking down on Uighur Muslims and other minority groups in East Turkestan, locating them to re-education camps that are actually just concentration camps.
[02:20:08.449 --> 02:20:14.573]  Families have been torn apart, women have been subject to forced marriages, gang rape, forced sterilization, and so many other forms of torture.
[02:20:14.955 --> 02:20:17.917]  In the camps, Uighur Muslims are forced to renounce their identity.
[02:20:17.917 --> 02:20:22.940]  Banned from praying, fasting, reading the Quran, or even abstaining from alcohol could get you punished.
[02:20:22.940 --> 02:20:30.524]  Various forms of torture take place in the camps, such as waterboarding, organ harvesting, electrocution, and so much more that I haven't even mentioned.
[02:20:30.524 --> 02:20:39.529]  Once the world started finding out about these atrocities, the Chinese government relocated these people into labor camps, where they are forced to work under inhumane conditions for some of the brands that I've listed here.
[02:20:40.495 --> 02:20:43.137]  So the NBA is pro-slavery, ladies and gentlemen.
[02:20:43.137 --> 02:20:43.797]  How do you like that?
[02:20:43.797 --> 02:20:45.518]  The NBA is pro-slavery.
[02:20:45.518 --> 02:20:46.399]  Good job, NBA!
[02:20:46.399 --> 02:20:50.542]  The social engineers bet on you not having a memory, more than anything.
[02:20:50.542 --> 02:20:59.067]  They also bet, as they constantly talk about it in their own words, that you will adapt to being a slave, that you will learn incrementally to submit.
[02:20:59.067 --> 02:21:02.690]  So think about and remember the phases of the Fauci fraud.
[02:21:02.690 --> 02:21:05.912]  Remember that everything he said has been a premeditated lie.
[02:21:06.232 --> 02:21:15.749]  They lied about where it came from, they lied about person-to-person, the UN covered it all up, then exaggerated the death rate at 4% when it's actually 0.032 now and dropping.
[02:21:19.417 --> 02:21:22.498]  Then they set the test up to count almost all false positives.
[02:21:22.498 --> 02:21:26.459]  They put the names of people that died of other diseases in the COVID column.
[02:21:26.459 --> 02:21:28.379]  They only said there'd be a 15-day lockdown.
[02:21:28.379 --> 02:21:29.840]  Now we're six months later.
[02:21:29.840 --> 02:21:31.400]  Now they say it's permanent.
[02:21:31.400 --> 02:21:32.761]  You gotta wear a mask forever.
[02:21:32.761 --> 02:21:34.281]  And forced evocations are coming.
[02:21:34.281 --> 02:21:36.261]  And they're gonna track everywhere you go and what you do.
[02:21:36.261 --> 02:21:37.842]  The global social credit score.
[02:21:37.842 --> 02:21:39.002]  And the UN is the boss.
[02:21:39.002 --> 02:21:42.483]  Anybody questioning it is censored off the internet and loses their job.
[02:21:42.483 --> 02:21:44.164]  That's called 21st century tyranny.
[02:21:44.164 --> 02:21:45.584]  That's called world government takeover.
[02:21:46.064 --> 02:21:48.006]  I'm not going to lie to you.
[02:21:48.006 --> 02:21:51.849]  I want to stay in the fight against Soros and Hillary and the New World Order.
[02:21:51.849 --> 02:21:57.154]  And the only way I do is if you buy a lot of products at Infowarshore.com.
[02:21:57.154 --> 02:22:08.043]  You've got to sell a lot of vitamins and a lot of minerals and a lot of fish oil and a lot of t-shirts and a lot of water filters to fund an operation to face the globalists and all the DNC lawsuits.
[02:22:08.043 --> 02:22:09.605]  But they're so close to losing right now.
[02:22:10.779 --> 02:22:19.063]  Plus, I go out, just like with Info, and I bring you the very best items, the very best products that I personally use and I love.
[02:22:19.063 --> 02:22:28.768]  So, go to InfoWarsTore.com, check out the products, get some today, share them with friends, review them, and know that you cannot lose because you're fighting the Info War.
[02:22:28.768 --> 02:22:30.109]  Let's fight the globalists.
[02:22:30.109 --> 02:22:32.550]  Plus, these are great products, but I want to thank you.
[02:22:33.010 --> 02:22:34.212]  For keeping me in the game.
[02:22:34.212 --> 02:22:37.097]  I want to thank you for funding our operation.
[02:22:37.097 --> 02:22:39.641]  So continue to spread the word and fund InfoWars.
[02:22:39.641 --> 02:22:42.446]  InfoWars4.com and I salute you once again.
[02:22:46.064 --> 02:22:53.049]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[02:22:53.049 --> 02:22:58.472]  I read from the federal law and listeners couldn't believe me, because that was un-American.
[02:22:58.472 --> 02:23:15.224]  Now the media admits that almost every app and every company that are on Apple and on Droids don't just track your location, but your surfing history, where you go, who you talk to, your relationships, and they all share the data with each other of what you're doing on the apps as well,
[02:23:15.964 --> 02:23:16.524]  I think so.
[02:23:49.290 --> 02:23:51.906]  You're listening to the Alex Jones Show!
[02:24:05.692 --> 02:24:16.416]  Live from the Infowars.com studios, you're listening to the Alex Jones Show, and now your host, Owen Troyer.
[02:24:16.416 --> 02:24:25.259]  Liberalism, leftism is a cancer on any body that wants to be free, independent, informed.
[02:24:25.259 --> 02:24:34.302]  Liberalism and leftism is the most intolerant political belief system in the world today, and it's destroying everything.
