[00:00.000 --> 00:14.000]  🎵
[1:56:41.760 --> 1:56:46.960]  percent off that's going to run for another week or so but that's it uh the 50 off caveman ultimate
[1:56:46.960 --> 1:56:51.600]  paleo bone broth formula with himmerich chaga mushroom and so much more that's gotta end soon
[1:56:51.600 --> 1:56:56.800]  i'm not sure how soon but definitely in the next four to five days info wars life dot com info
[1:56:56.800 --> 1:57:05.040]  war store dot com or triple eight two five three three one three nine if you sign up for auto ship you get an additional 10% off well stuff you're
[1:57:05.040 --> 1:57:10.400]  going to want to reorder like high quality coffee or brain force plus or x2 or lung cleanse or any of the
[1:57:10.400 --> 1:57:17.360]  great products secret 12 you name it you can cancel anytime info wars life dot com info wars store dot
[1:57:17.360 --> 1:57:24.160]  com or eight eight eight two five three three one three nine and folks we we love this fight i want to
[1:57:24.160 --> 1:57:30.160]  win i want to take the globalist on i'm not complaining but we are hair on fire at mock 5000
[1:57:30.160 --> 1:57:34.640]  with the enemy coming after us so when you fund us financially and buy great products and spread
[1:57:34.640 --> 1:57:40.080]  the word it is an act of savage rebellion in the info war against the globalist so you are the
[1:57:40.080 --> 1:57:44.720]  heart and blood of this operation please continue to support us and pray for us and buy the products
[1:57:44.720 --> 1:57:51.280]  stay with us as most of you already know i am a voracious consumer of news and information and in
[1:57:51.280 --> 1:57:56.400]  the last four or five years doing more more research i came across the fact that the elite
[1:57:56.400 --> 1:58:02.000]  establishment is fully aware of the fact that our ancient ancestors in many cases had much
[1:58:02.000 --> 1:58:08.320]  better nutrition than we do today and our ancient ancestors sought out the bones of the animals that
[1:58:08.320 --> 1:58:13.920]  they were hunting killing and then processing and so i set out to develop caveman but to not just
[1:58:13.920 --> 1:58:21.760]  have concentrated bone broth from chicken but seven other superfood ingredients known for cleansing
[1:58:21.760 --> 1:58:27.040]  and supercharging the body at the same time info wars isn't just fighting the globalist
[1:58:27.040 --> 1:58:33.200]  we're getting results and we're expanding in the face of the complete media assault and winning
[1:58:33.200 --> 1:58:39.360]  because of your support caveman is back in stock people absolutely love it so please secure your
[1:58:39.360 --> 1:58:45.600]  caveman today at infowarslife.com or by calling toll free triple a 2533139
[1:58:47.280 --> 1:58:53.840]  choose to take control of your chemistry with survival shield x2 and bio true selenium this
[1:58:53.840 --> 1:58:59.600]  powerful combo is perfect for supporting your thyroid and health bio true selenium's formula
[1:58:59.600 --> 1:59:05.920]  is far from synthetic and is made from a source of 100 percent organic mustard seed our super high
[1:59:05.920 --> 1:59:13.280]  quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine
[1:59:13.280 --> 1:59:18.720]  crystals this essential mineral is necessary in order to produce thyroid hormones which influence
[1:59:18.720 --> 1:59:24.240]  every cell tissue and organ in the body with inadequate thyroid hormones you may experience
[1:59:24.240 --> 1:59:32.160]  slow metabolism lethargy weight gain and overall brain fog survival shield x2 and bio true selenium
[1:59:32.160 --> 1:59:37.840]  work together to support the systems in your body take control of your chemistry today with this
[1:59:37.840 --> 1:59:46.000]  super combo discover the power of survival shield x2 and bio true selenium at info wars life.com
[1:59:46.000 --> 2:00:01.920]  you're listening to the alex jones show
[2:00:01.920 --> 2:00:16.960]  from the front lines snow brag it's just fact
[2:00:20.720 --> 2:00:26.240]  from the front line you just gotta be willing to die formation war to live it's alex jones
[2:00:26.240 --> 2:00:33.280]  nobody else is not willing to fight to their slaves but now we see the new world order going
[2:00:33.280 --> 2:00:42.320]  on to the rocks it's bad for business james leslie ralls north korea the calm before the storm
[2:00:42.320 --> 2:00:48.160]  speech now i'm confirmed to be a threat to north korea uh is this all just saber rattling uh i don't
[2:00:48.160 --> 2:00:53.120]  want a war i love my four children at the same time i know north korea is evil it's not like these
[2:00:53.120 --> 2:00:57.520]  middle eastern wars this is a real threat given weapons by the globalist trump appears to be cleaning
[2:00:57.520 --> 2:01:01.840]  up the globalist mess in the middle east and now this but i don't want to strike but he does get
[2:01:01.840 --> 2:01:08.320]  more belligerent how they even get the u.n and others on board uh for the u.s to basically stand
[2:01:08.320 --> 2:01:15.600]  up north korea what do you make of this situation well alex i think that you're right that most of
[2:01:15.600 --> 2:01:22.640]  it is saber rattling uh the the threat of an actual shooting war with north korea is relatively
[2:01:22.640 --> 2:01:32.000]  small but the implications of that happening are huge because north korea is now a nuclear armed power
[2:01:32.960 --> 2:01:41.760]  so we the threat there is credible um a lot of it though is grandstanding and saber rattling
[2:01:41.760 --> 2:01:53.440]  for the sake of uh consolidating power uh in the united nations and um backing up the longstanding
[2:01:54.240 --> 2:02:00.560]  american position in the region you know a lot of your listeners may not realize but
[2:02:01.360 --> 2:02:06.480]  peace was really not ever declared in on the korean yeah the war is still going on it's
[2:02:06.480 --> 2:02:12.560]  it's like this is fine the state of war in existence it's just as there's just simply
[2:02:12.560 --> 2:02:23.600]  been a ceasefire since the early 50s so um yes that very well uh could uh re-erupt and it could be
[2:02:23.600 --> 2:02:31.280]  very ugly when it does if nukes start getting bobbed around my real doubts about the situation
[2:02:31.280 --> 2:02:40.000]  involve north korean technology obviously they have fission bombs i kind of doubt that they have um
[2:02:40.640 --> 2:02:49.520]  any kind of deliverable fusion bomb and i also have doubts that they have sufficient miniaturization
[2:02:49.520 --> 2:02:54.320]  to deliver put their nuclear weapons on their so you don't think they have hydrogen bombs yet
[2:02:54.320 --> 2:03:02.320]  well uh hydrogen bomb you know takes a fusion bomb to set off a fusion bomb hydrogen bomb
[2:03:02.320 --> 2:03:08.320]  takes an atomic bomb to detonate a hydrant right i don't think they're going to um
[2:03:09.520 --> 2:03:16.160]  they're not they're not going to have the ability to miniaturize uh certainly hydrogen bomb
[2:03:16.160 --> 2:03:22.160]  technology for many years and and they may not even have the ability to miniaturize
[2:03:22.160 --> 2:03:26.880]  their fusion bomb their atom bomb technology i agree with you the evidence shows that why are they
[2:03:26.880 --> 2:03:32.160]  getting so belligerent and and and just so crazy is that a sign that kim jong-un is weak and he's
[2:03:32.160 --> 2:03:38.160]  doing it for domestic control i think a lot of it it may be for yeah just for domestic consumption
[2:03:38.720 --> 2:03:47.360]  to try to consolidate his power he comes from a whole dynasty of absolutely paranoid dictators
[2:03:47.360 --> 2:03:53.920]  his father and his grandfather were both notoriously paranoid there have been multiple
[2:03:53.920 --> 2:04:03.920]  killings within the family to consolidate power and to prevent any kind of attempted coup within
[2:04:03.920 --> 2:04:12.400]  the regime so the level the level of paranoia the level of xenophobia is just off the charts
[2:04:12.400 --> 2:04:17.760]  in north korea that's a great point people think is the west is racist or the least racist group
[2:04:17.760 --> 2:04:21.600]  you go to asia man they all hate each other like it is just incredible
[2:04:22.880 --> 2:04:33.520]  yeah um the the level of xenophobia there cannot be underrated and the the level of paranoia
[2:04:34.240 --> 2:04:40.000]  is similarly just again off the charts so it makes it almost impossible to predict
[2:04:40.000 --> 2:04:46.160]  how kim jong-un might react to particular situation all right that's why it's so dangerous
[2:04:46.160 --> 2:04:50.960]  we'll keep watching an amazing analysis james resley roll survival blog.com find his books there
[2:04:50.960 --> 2:04:51.600]  thank you james
[2:04:55.360 --> 2:04:59.120]  what exactly is political correctness and why is it being pushed on the american public
[2:04:59.120 --> 2:05:04.000]  well political correctness is simply a form of psychological manipulation the government uses
[2:05:04.000 --> 2:05:08.320]  to control public opinion by controlling your opinions the establishment gets you to not only
[2:05:08.320 --> 2:05:12.640]  agree with their agenda but to also ensure that your government created viewpoint also
[2:05:12.640 --> 2:05:16.880]  influences others in ripple effect this is how the power elite and the government stay in power
[2:05:16.880 --> 2:05:21.440]  the use psychological manipulation they turn the public into obedient sheeple and over time
[2:05:21.440 --> 2:05:26.160]  we lose our ability to distinguish reality from deception but how does political correctness and
[2:05:26.160 --> 2:05:30.880]  other deliberate deceptions work well first the establishment saturates mass media with their
[2:05:30.880 --> 2:05:35.840]  agenda they're trying to push until it invades every aspect of popular culture and is accepted
[2:05:35.840 --> 2:05:40.160]  as truth such as global warming for example then the establishment suppresses any counter
[2:05:40.160 --> 2:05:45.360]  arguments through their agenda by calling critics kooky nutjobs racist or in the case of man made
[2:05:45.360 --> 2:05:49.600]  climate change climate deniers you can learn more about this tyranny over the minds a minute
[2:05:49.600 --> 2:06:06.080]  info wars dot com prism planet dot tv and our youtube channel resistance news this is kit daniel's reporting
[2:06:14.240 --> 2:06:19.040]  monday through friday from 11 a.m to 3 p.m central i'm your host alec shones
[2:06:19.040 --> 2:06:24.000]  this is the info war on local stations tv and radio across the country and of course
[2:06:24.000 --> 2:06:32.320]  at news wars there's a war in the media news wars dot com as well as prism planet dot com
[2:06:35.440 --> 2:06:39.440]  now let's go ahead and go over some of these articles i'm going to open the phones up about
[2:06:39.440 --> 2:06:45.200]  the big vegas cover-up developments coming out uh the north korea situation the nfl running up the
[2:06:45.200 --> 2:06:52.000]  wide flag they're trying to exercise power over america and a lot more but i'm also going to get
[2:06:52.000 --> 2:06:57.120]  to a story paul watson posted this morning that i should have led the show with i just got so focused
[2:06:57.120 --> 2:07:01.040]  on the incredible news of them changing the narrative admitting people were getting shot
[2:07:01.040 --> 2:07:07.520]  earlier than they were inside the hotel uh that they think there were accomplices that uh he went
[2:07:07.520 --> 2:07:11.840]  to the middle east i mean the whole thing's unraveling exactly as we told you it would
[2:07:11.840 --> 2:07:19.200]  it's simply incredible but this big news is on info wars dot com and and you know paul sometimes
[2:07:19.200 --> 2:07:26.800]  has kind of light headlines for stuff that is just over the top important and you read this story
[2:07:27.360 --> 2:07:32.960]  we already know these numbers but we had 2015 numbers the government always comes out close
[2:07:32.960 --> 2:07:38.960]  to a year later with last year's numbers and you can play games with statistics but murders
[2:07:38.960 --> 2:07:44.480]  they those they got a really accurate number on the number of folks that actually got killed
[2:07:45.680 --> 2:07:50.160]  that that deal that were enrolled is dead this is one of the most accurate numbers out there's
[2:07:50.160 --> 2:07:57.920]  obviously people missing you have to factor into that but uh this is info wars dot com paul joseph
[2:07:57.920 --> 2:08:03.440]  watson and this is the type of article that they censor on youtube facebook and twitter
[2:08:03.440 --> 2:08:10.240]  this is what they don't want out and folks i'm not putting this out to put down black people the media
[2:08:10.240 --> 2:08:14.560]  whenever there's black on white crime newspaper editors have said they tell their writers not to
[2:08:14.560 --> 2:08:19.760]  say the race of the person but then if a white person kills some black people they go out of their
[2:08:19.760 --> 2:08:26.320]  way mainly the white editors the leftist to say all white people are to blame because some scumbag
[2:08:26.320 --> 2:08:30.640]  killed nine innocent black people in a church in south carolina but then when a black guy shoots
[2:08:30.640 --> 2:08:37.840]  nine white people thank god only killing one uh and says he does it because he hates white people
[2:08:37.840 --> 2:08:44.240]  they censor it if you even report on what he said or if islamists say go out and rape
[2:08:44.240 --> 2:08:50.480]  western women they censor that or they censor the rape epidemic in sweden or germany i mean this
[2:08:50.480 --> 2:08:56.160]  is happening to info wars this is this is going on they have republican congressional candidates
[2:08:56.160 --> 2:09:02.080]  that put out really just nice friendly videos on twitter marcia blackburn it gets a couple million
[2:09:02.080 --> 2:09:09.360]  views they just ban it and tell her it's banned for violating their rules so we've hit next level
[2:09:09.360 --> 2:09:17.040]  censorship but listen to this censored info because we now have the 2016 numbers 10 months later we get
[2:09:17.040 --> 2:09:22.000]  them usually it's a year usually it's in december we get them or or january this is a little early
[2:09:22.000 --> 2:09:27.920]  uh new fbi crime stats show white privilege might not be america's biggest problem
[2:09:29.600 --> 2:09:39.360]  and for every homicide by a black person there's 12.37 for white people killing 1.42
[2:09:40.960 --> 2:09:46.880]  and hispanics 2.54 and if you look at the numbers from a year before that they're also in the new
[2:09:46.880 --> 2:09:53.120]  one i haven't had time to just pulling on to murder rates and crime rates here it if you index it
[2:09:53.120 --> 2:09:58.720]  you find whites are twice as likely per capita to be or right at twice it's it's not quite twice
[2:09:59.600 --> 2:10:04.160]  right at twice as likely to be killed by police now does that mean police want to kill white people
[2:10:04.160 --> 2:10:10.560]  know the only racism there is you could just say they're politically correct or scared is they slow
[2:10:10.560 --> 2:10:14.880]  roll into lower income areas that happen to be black because they know they might get shot in the
[2:10:14.880 --> 2:10:21.120]  back or demonized they're not going to risk their life going into a home invasion or a in many cases
[2:10:21.840 --> 2:10:26.160]  a domestic disturbance that is super dangerous whether it's black folks or white folks or whoever
[2:10:26.160 --> 2:10:32.400]  that's the most dangerous thing is a is a domestic disturbance because people their their emotions
[2:10:32.400 --> 2:10:38.320]  are up with their mate or their kids or whatever's going on anybody knows you know tempers can flare
[2:10:38.880 --> 2:10:43.760]  that's a dangerous situation to walk into some family fight people are wound up they're emotional
[2:10:43.760 --> 2:10:49.600]  they're not thinking well are the cops going to roll in to say a house would you know a family
[2:10:49.600 --> 2:10:53.360]  of 10 people in it while people are yelling and screaming and waving guns no they're going to
[2:10:53.360 --> 2:10:57.120]  drive on down the street and call the SWAT team that's going to take them 30 minutes to an hour
[2:10:57.120 --> 2:11:01.520]  to get there and by then somebody's going to be dead because you also look at the statistics a
[2:11:01.520 --> 2:11:07.520]  lot of cops are getting killed going into white domestic disturbances but they're risking their
[2:11:07.520 --> 2:11:12.400]  lives because on average they think they're appreciated going in there but if they're not
[2:11:12.400 --> 2:11:17.040]  appreciate it and going to get shot in the back they're not going to show up so that's the facts
[2:11:17.040 --> 2:11:23.680]  you got 3 000 people plus a year shot chicago close to a thousand dead nobody's talking a couple hundred
[2:11:23.680 --> 2:11:32.400]  black people killed by cops thousands dead in chicago thousands shot so this this article
[2:11:32.400 --> 2:11:38.880]  has the latest numbers and they're even more dramatic than the year before while some blame
[2:11:38.880 --> 2:11:43.680]  mass shootings in las vegas online privilege new fbi crime statistics suggest that while white people
[2:11:43.680 --> 2:11:48.400]  may not be the main source of the problem when it comes to violent crime i love how paul said
[2:11:48.400 --> 2:11:53.920]  may not be these statistics are conclusive i love paul to death he's so prolific and so great
[2:11:53.920 --> 2:11:59.120]  this is a very it needs to be shocking new statistics show blacks commit 10 times more
[2:11:59.120 --> 2:12:07.360]  homicides in whites censored data i mean you know i don't understand whatever just get the
[2:12:07.360 --> 2:12:13.200]  article out folks newly released figures covering 2016 that break down arrests in terms of race
[2:12:13.200 --> 2:12:17.200]  illustrated how black people are still vastly overrepresented in virtually every crime category
[2:12:18.080 --> 2:12:22.560]  despite making up 13 percent of the population total arrests of black people are 2 million
[2:12:22.560 --> 2:12:29.360]  263 000 compared to 5 858 000 arrested white people who make up around 73 percent of the
[2:12:29.360 --> 2:12:34.960]  population uh yeah but all of them are about to die that's why like in a decade it'll be
[2:12:34.960 --> 2:12:39.600]  60 percent non-white so one reason i'm not committing a lot of crime is they're young
[2:12:39.600 --> 2:12:44.560]  people commit most of the crime so see a lot of that's also skewed by that but it is the numbers
[2:12:45.680 --> 2:12:49.440]  black people are the most likely and more likely than whites to be arrested for murder
[2:12:49.440 --> 2:12:54.960]  and non-negligent manslaughter despite being a minority with 52.6 of arrests as category being
[2:12:54.960 --> 2:13:02.800]  african americans 13 percent of the population 52 percent of the arrests for it of adults arrested
[2:13:02.800 --> 2:13:11.600]  for murder 52 percent were black or african america 45.4 percent were white and 2.6 of other
[2:13:11.600 --> 2:13:20.640]  races reports the fbi do you hear that black people are also overrepresented in virtually every
[2:13:20.640 --> 2:13:28.720]  other category including robbery rape aggravated assault motor vehicle theft and prostitution
[2:13:28.720 --> 2:13:37.120]  weapons violations and show folks those graphs okay and and remember even obama's just department
[2:13:37.120 --> 2:13:42.960]  tried to manipulate these numbers down it didn't work folks and if you want to know why starting
[2:13:42.960 --> 2:13:48.720]  in the 60s the black community had lower crime rates on average than many other communities
[2:13:48.720 --> 2:13:55.280]  the lowest level of illegitimacy but they had the highest number of new jobs and had decided to hey
[2:13:55.280 --> 2:13:58.160]  y'all you know what what doesn't kill you makes you stronger and i'm not defending what happened to
[2:13:58.160 --> 2:14:02.880]  him but they said we're gonna dress nice have our own businesses and we're not gonna shop
[2:14:02.880 --> 2:14:08.640]  in the cracker areas and it made them incredibly successful i'm not saying the suppression was
[2:14:08.640 --> 2:14:12.400]  good but it made them have their own communities their own systems made them become successful
[2:14:13.360 --> 2:14:18.240]  under the pressure and then they came in with a great society and as lbj's letters said i'm
[2:14:18.240 --> 2:14:22.000]  gonna have those inwards vote and democrat for a hundred years we're gonna tell them not have men
[2:14:22.000 --> 2:14:26.240]  in the house break up their families break up those black churches we're gonna have control of them
[2:14:26.240 --> 2:14:31.520]  and boy did they do it then they hyped up the gangster culture in the media they pushed it that
[2:14:31.520 --> 2:14:36.400]  was tough that was cool that's how a black man got ahead and they had him primed for the presence
[2:14:37.200 --> 2:14:43.200]  and it's been the same thing ever since that an mtv in the in the in the early 90s they told top rock
[2:14:43.200 --> 2:14:48.880]  stars i've talked to two of myself you better start doing hip hop and having these hip hop artists on
[2:14:48.880 --> 2:14:53.440]  because we're gonna force feed it and make it the future we know they were just using top acts to
[2:14:53.440 --> 2:14:59.440]  force feed the gangster rap you know and setting them up and they told him we don't just want the
[2:14:59.440 --> 2:15:04.880]  normal rap that was pretty popular we want the gangster tough guy thug garbage so that all these
[2:15:04.880 --> 2:15:09.120]  kids thought their dad that went to church and their dad that you know you know worked at a shoe
[2:15:09.120 --> 2:15:15.760]  shop or was a or you know was a was a janitor and i'm not saying those are jobs they all should
[2:15:15.760 --> 2:15:20.960]  have had the point was is that they were working hard that wasn't cool i'm gonna go out and rob
[2:15:20.960 --> 2:15:26.160]  somebody i'm gonna be cool and the media literally advertised to black folks to become criminals and
[2:15:26.160 --> 2:15:30.400]  they went and did it and then they got murdered in mass killed in mass the cocaine got shipped in
[2:15:30.960 --> 2:15:35.040]  they got put in the presence and then the whole cycle was created and now they're doing to everybody
[2:15:35.040 --> 2:15:41.760]  else but this crime statistic show and this with the democratic party and everybody else is pushing
[2:15:41.760 --> 2:15:45.760]  this is what they want because if they can't abort black people they want to make sure you
[2:15:45.760 --> 2:15:50.000]  end up in prison as hillary clinton said so you need to wake up from that trance and realize
[2:15:50.000 --> 2:15:58.640]  they're your enemy we'll be back vitamin mineral fusion visit m4slife.com to secure your chemistry
[2:15:58.640 --> 2:16:03.520]  we have worked for years with our chemists and scientists to create the most powerful and affordable
[2:16:03.520 --> 2:16:09.680]  great tasting multi vitamin formula available vitamin mineral fusion drink mix at m4slife.com is
[2:16:09.680 --> 2:16:15.360]  loaded with a full month supply of essential vitamins minerals and amino acids that your body
[2:16:15.360 --> 2:16:21.360]  absolutely needs in the history of m4slife we've brought out a lot of amazing products like survival
[2:16:21.360 --> 2:16:26.960]  shield x2 supermail vitality and so many others with its unique delivery system and proprietary
[2:16:26.960 --> 2:16:33.280]  manufacturing process designed for maximize effects this formula is the platinum standard of multi
[2:16:33.280 --> 2:16:39.280]  vitamin mineral products and this part is most important the ingredients in vitamin mineral fusion
[2:16:39.280 --> 2:16:45.760]  are either plant derived or of the highest quality lab standard that means it's clean that means it's
[2:16:45.760 --> 2:16:50.480]  pure and rest secured you're finding the tip of the spear in the info war that's infowarslife.com
[2:16:50.480 --> 2:16:55.680]  and vitamin mineral fusion take action now before we sell out hey did you know that you can now
[2:16:55.680 --> 2:17:03.040]  preserve your own food for up to 25 years and still maintain its nutrition and flavor that's
[2:17:03.040 --> 2:17:08.560]  right now's the time to build your own food storage with harvest rights freeze dryers
[2:17:08.560 --> 2:17:14.480]  go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy
[2:17:14.480 --> 2:17:19.840]  to use and let me tell you something it is perfect for freeze drying fruits vegetables meets dairy
[2:17:19.840 --> 2:17:25.760]  products desserts and entire meals that's what i'm talking about and when compared to traditional
[2:17:25.760 --> 2:17:30.960]  methods of preservation like canning or dehydrating you know like what you get at the grocery store
[2:17:30.960 --> 2:17:37.760]  there is no comparison harvest right freeze dryers retain 97 percent of the food's taste color and
[2:17:37.760 --> 2:17:45.120]  nutritional value and have a shelf life of up to 25 years now that's what i call the miracle of food
[2:17:45.120 --> 2:17:50.400]  preservation harvest right is truly the world's best most affordable freeze dryer so what are you
[2:17:50.400 --> 2:17:58.720]  waiting for check it out right now at infowarsstore.com refresh your breath with imrex essentials organic
[2:17:58.720 --> 2:18:04.880]  mouthwash our formula is made from organic herbal ingredients to help stimulate the gums and provide
[2:18:04.880 --> 2:18:11.760]  a cleansing effect while adding a pleasant refreshing taste imrex essentials mouthwash is non-gmo
[2:18:11.760 --> 2:18:18.400]  certified organic made without alcohol chemicals or other artificial ingredients such as flavors
[2:18:18.400 --> 2:18:24.640]  fragrances or dyes the pure organic plant extracts are concentrated containing antibacterial
[2:18:24.640 --> 2:18:30.320]  properties that work well to help tone gums and freshen your breath this antiseptic mouthwash is
[2:18:30.320 --> 2:18:36.720]  a concentrated formula you will need to dilute one part mouthwash to 10 parts water imrex essentials
[2:18:36.720 --> 2:18:42.560]  mouthwash is a great addition to your daily breath and routine it is effective yet gentle enough for
[2:18:42.560 --> 2:18:49.920]  the most sensitive gums and canker sores go organic today with imrex essentials visit infowarsstore.com
[2:18:49.920 --> 2:18:58.080]  to learn more that's infowarsstore.com support good oral health with our one-of-a-kind super blue
[2:18:58.080 --> 2:19:04.000]  fluoride free products infowarslife brings you a revolutionary toothpaste blend with iodine and
[2:19:04.000 --> 2:19:09.440]  nano silver designed to deliver a powerful clean enjoy a minty fresh flavor made with peppermint
[2:19:09.440 --> 2:19:14.160]  oil or try our bubblegum flavor pair this groundbreaking toothpaste with a super blue
[2:19:14.160 --> 2:19:20.160]  fluoride free mouthwash and supercharge your oral health our amazing mouthwash features natural oils
[2:19:20.160 --> 2:19:25.920]  and ancient ingredients used since aboriginal and biblical times instead of containing fluoride our
[2:19:25.920 --> 2:19:31.520]  super blue line is loaded with the good halogen iodine and an array of other beneficial compounds
[2:19:31.520 --> 2:19:36.480]  that have been hand selected for their oral health benefits super blue fluoride free mouthwash and
[2:19:36.480 --> 2:19:43.120]  toothpaste are the first and only to contain all of these natural ingredients xylitol nano silver
[2:19:43.120 --> 2:19:48.720]  and iodine notice the difference with our super blue fluoride free products refresh your breath
[2:19:48.720 --> 2:19:57.360]  and invigorate your oral health routine at infowarsstore.com that's infowarsstore.com
[2:19:57.360 --> 2:20:11.360]  you're listening to the alex jones show
[2:20:11.360 --> 2:20:25.520]  waging war on corrupt rashing the lies and disinformation you found it the true resistance
[2:20:25.520 --> 2:20:30.640]  against the globalist coming up in the next segment we're going to take your phone calls
[2:20:30.640 --> 2:20:35.040]  toll-free first-time callers yet again want to give you a chance to get on air
[2:20:35.040 --> 2:20:45.680]  877-789 alex that's 877-789 alex 877-789 alex that's been the sunday phone line here in our
[2:20:45.680 --> 2:20:52.080]  own studios for years 10 years but i've been with gcm for close to 20 i guess it is about 20 but i'm
[2:20:52.080 --> 2:20:58.320]  now syndicating my whole transmission myself i use gcm as a backup they're great folks but i'm
[2:20:58.320 --> 2:21:04.640]  doing our own affiliate relations and communication with the radio stations and more uh before we go
[2:21:04.640 --> 2:21:12.000]  any further with some big breaking news here don't forget 50 percent off our number one selling
[2:21:12.000 --> 2:21:19.280]  product brain force plus now with 20 more caplics in each bottle the amazing healthy brain boost
[2:21:19.280 --> 2:21:25.280]  new tropic it's got all the known healthy compounds that healthily boost your brain focus and output
[2:21:25.280 --> 2:21:29.440]  if you haven't tried brain force now's the time we sold out of this for months i doubled the order
[2:21:30.000 --> 2:21:33.760]  i thought we'd have enough for a month or so at the sell price it's going to have to end in a week or
[2:21:33.760 --> 2:21:43.040]  so uh because it's so amazing info wars life dot com info wars store dot com or triple eight
[2:21:44.320 --> 2:21:53.360]  two five three three one three nine now let me tell you a little story here dr corcy is somewhat
[2:21:53.360 --> 2:21:59.280]  popular on air and he does our political stuff in dc a lot of it he's done a lot of great stuff in
[2:21:59.280 --> 2:22:06.880]  the past he has a lot of great connections but it's not really sexy you know uh it's kind of dry
[2:22:06.880 --> 2:22:12.080]  about oh they're rating fanny may and freddy mac to fund obama care or
[2:22:14.320 --> 2:22:18.000]  many other cases like that but he writes those because it's for a dc audience
[2:22:19.200 --> 2:22:24.560]  show the articles don't go viral on info wars a lot of folks read them but they're just not viral
[2:22:24.560 --> 2:22:31.120]  like a paul watch an article but when you talk about delivering and we're not getting
[2:22:31.120 --> 2:22:35.600]  paid any lobbying money for the american people because that's who we lobby for our myself you
[2:22:37.520 --> 2:22:42.720]  remember ran paul wanted to come on six months ago his plan got pitched through
[2:22:42.720 --> 2:22:47.760]  dr corcy and others but frankly course he first put out the plan and got the documents
[2:22:47.760 --> 2:22:53.760]  about defunding it and and and and not letting him raid fanny may and freddy mac so he picked
[2:22:53.760 --> 2:22:58.000]  it's not about credit it's showing how they're that's why they want to keep info wars off the
[2:22:58.000 --> 2:23:02.160]  president's desk because the president when he gets good info acts on it this is huge
[2:23:02.160 --> 2:23:07.760]  we should get corcy on tomorrow oh wait i'm not poo pooing corcy it's like some guest aren't super
[2:23:07.760 --> 2:23:14.320]  viral but with targeted audiences they're super effective look at this article by kit daniels
[2:23:14.320 --> 2:23:20.000]  as we predicted trump assigned ran paul health care plan trump joins forces with senator ran paul
[2:23:20.000 --> 2:23:25.360]  and it's got the whole plan to basically defund it even if they don't get rid of the whole
[2:23:25.360 --> 2:23:31.600]  bill them itself they just defund it and then that helps the american people not get ripped off
[2:23:31.600 --> 2:23:36.320]  it forces states to bring in competition it'll lower prices give you higher quality care they
[2:23:36.320 --> 2:23:41.040]  don't get to wreck american health care than come in with a single player as is equal to manuel and
[2:23:41.040 --> 2:23:46.400]  jonathan gruber said they both said on television you're stupid we're wrecking it take it over
[2:23:46.400 --> 2:23:53.600]  with a republican blue blood scum so big article breaking it all down and we've got all the corcy
[2:23:53.600 --> 2:23:59.280]  videos in there where he broke it all down great job dr jerome corcy uh on that front
[2:24:00.960 --> 2:24:04.960]  and again the sheriff departments altered the timeline saying he shot people before he opened
[2:24:04.960 --> 2:24:09.600]  fire and when they said and he did go to the middle east like we first told you and he checked in
[2:24:09.600 --> 2:24:13.680]  three days early like we first told you and and and just oh i mean it's just everything we told
[2:24:13.680 --> 2:24:19.360]  you's coming up oh and newsweek says isis may be behind it now
[2:24:22.240 --> 2:24:28.480]  oh and uh the new york times have been caught on tape admitting that they slanted news against
[2:24:28.480 --> 2:24:32.400]  conservatives and trump uh we don't really need project veritas to tell us that but it's
[2:24:32.400 --> 2:24:38.480]  nice to have the video isn't it oh and i almost forgot little zook zookie newsweek's reporting
[2:24:38.480 --> 2:24:44.240]  he exploited disaster with portoreca virtual reality he he he partners with the red cross
[2:24:44.240 --> 2:24:49.680]  because then they keep 90 percent of the money it's all big global scam so a did that and then
[2:24:49.680 --> 2:24:53.680]  he shows himself in portoreca telling you how to do it it's a virtual reality
[2:24:55.440 --> 2:25:00.560]  and that nice his little sick avatar it looks like it's what a three-year-old would watch i love
[2:25:00.560 --> 2:25:04.720]  that everything zuckerberg and npr and all of them do is talk to you like you're an idiot you know
[2:25:04.720 --> 2:25:10.160]  that doesn't make sense we're not idiots they admit the message is the medium the message
[2:25:10.160 --> 2:25:19.040]  is the medium the the the the the delivery form the way they give you the delivery the fact that
[2:25:19.040 --> 2:25:27.440]  it's dumb down is designed to dumb you down the medium is the message and the message is the medium
[2:25:27.440 --> 2:25:36.640]  but the medium is the message to dumb you down to just talk to you like oh and you and you get the
[2:25:36.640 --> 2:25:41.840]  internal facebook documents we want to savage their minds keep them totally depressed and isolated
[2:25:41.840 --> 2:25:47.280]  with our avatars controlling them then we can slowly make them depressed give them prozac and
[2:25:47.280 --> 2:25:57.520]  luvox ads while the avatars steer them towards our final objective i am mark zuckerberg psychopath god
[2:25:57.520 --> 2:26:04.160]  i am your god i will see with eyes i will walk among you as a man but first i must make you
[2:26:04.160 --> 2:26:12.480]  below the animals so that i can be higher than you i am mark zuckerberg i am your psychopath god
[2:26:12.480 --> 2:26:29.520]  god kneel to me give me full control now i will rule you once you've fallen i'll put on the vr
[2:26:30.320 --> 2:26:36.160]  and let me put you in a trance because we paid a lot of money at the ut psychology department
