[00:00:00.029 --> 00:00:00.271]  What's up?
[01:46:59.823 --> 01:47:02.465]  You're listening to the Alex Jones Show.
[01:47:15.365 --> 01:47:17.425]  What is the United States of America?
[01:47:17.425 --> 01:47:21.886]  Well, we're told its existence is bad now with the Democratic Party and others.
[01:47:21.886 --> 01:47:23.866]  No borders, no walls, no USA at all.
[01:47:23.866 --> 01:47:26.087]  Well then, what will we be?
[01:47:26.087 --> 01:47:26.807]  What is our culture?
[01:47:26.807 --> 01:47:27.347]  Hollywood?
[01:47:27.347 --> 01:47:28.447]  The Communist Chinese?
[01:47:28.447 --> 01:47:34.368]  The out-of-control John Paul Junkers of Europe?
[01:47:34.368 --> 01:47:35.428]  And their sickening past?
[01:47:35.428 --> 01:47:40.769]  I mean, we're being told to give up our identity because it's bad.
[01:47:40.769 --> 01:47:41.770]  And then to become what?
[01:47:41.770 --> 01:47:44.450]  The truth is our real identity challenges tyranny.
[01:47:46.371 --> 01:47:51.973]  And so they want us to hate ourselves, but there's a rebirth of nationalism, of patriotism.
[01:47:51.973 --> 01:47:55.674]  Globalism is in crisis everywhere.
[01:47:55.674 --> 01:47:57.535]  They're going to strike back.
[01:47:57.535 --> 01:48:09.919]  First, we've got to set the table with the massive migration away from the blue cities, their death throes they're in right now, and what comes out of that.
[01:48:11.460 --> 01:48:17.002]  And then what we see happening in Israel, happening in Europe, happening here, and why they're so scared of Epstein.
[01:48:17.002 --> 01:48:18.943]  Who was Epstein really?
[01:48:18.943 --> 01:48:20.944]  What was he really doing?
[01:48:20.944 --> 01:48:22.584]  What was the Zorro Ranch?
[01:48:22.584 --> 01:48:23.505]  What was the eugenics?
[01:48:23.505 --> 01:48:25.366]  What was the breeding program?
[01:48:25.366 --> 01:48:29.887]  Well, we know pet projects of some of these globalists, and their eugenics.
[01:48:29.887 --> 01:48:31.868]  I knew that before I read about Epstein, the sex stuff.
[01:48:31.868 --> 01:48:35.290]  I'd seen him involved with some of these globalists in bizarre behavior.
[01:48:35.290 --> 01:48:37.310]  So, Dr. Pchenik, we'd run into break.
[01:48:37.310 --> 01:48:38.211]  You had predicted here
[01:48:38.911 --> 01:48:59.700]  You've been on air 18 years with us, but you predicted, I remember 15 years ago, you'd say, oh, the Northeast and, you know, the blue cities in the West, it's all going to collapse, it's all going to move there, and there's going to be a, the EU's going to fall, they're finished, and the CHICOMs are going to, we're going to have a big war with them, economic, maybe physical, in the next 20 years, they're going to lose, and, I mean, that's all moving that direction, so please continue.
[01:49:01.055 --> 01:49:02.216]  Here's what happens.
[01:49:02.216 --> 01:49:06.000]  Epstein is an example of what happened in an institution.
[01:49:06.000 --> 01:49:14.968]  We're a republic, and Nancy Pelosi and the Democrats have had a real hard problem, and I had to instruct her through my videos that this is a republic.
[01:49:14.968 --> 01:49:16.910]  We are not a democracy.
[01:49:16.910 --> 01:49:18.972]  That means we're representational government.
[01:49:18.972 --> 01:49:20.594]  We have constantly had
[01:49:21.400 --> 01:49:25.543]  All kinds of factors within our republic that we've had to fight against.
[01:49:25.543 --> 01:49:26.764]  And that's correct, Alex.
[01:49:26.764 --> 01:49:31.547]  The reason we're very strong is that we're not really a soft nation.
[01:49:31.547 --> 01:49:36.411]  We're a very ruthless, tough, no-nonsense nation.
[01:49:36.411 --> 01:49:45.958]  Part of that is the fact that within our own governments, as a republic, we have to clean out those elements which are destructive to the people.
[01:49:46.438 --> 01:49:49.600]  For example, Epstein, or the CIA, as I've said.
[01:49:49.600 --> 01:49:59.185]  For a long time, I have been against the CIA, only because they have served the purpose in the 1940s and 50s, and I will get to the history because it relates to Epstein.
[01:49:59.185 --> 01:50:05.308]  The CIA had to have a very close collaboration with another organization called the Mossad.
[01:50:05.308 --> 01:50:06.268]  Why the Mossad?
[01:50:06.268 --> 01:50:10.150]  Because the CIA was created by Philby, the Cambridge Five.
[01:50:10.150 --> 01:50:15.073]  Within the Cambridge Five, they were all homosexuals who had been at the University of Cambridge in England.
[01:50:15.783 --> 01:50:29.969]  One day, a gentleman by the name of Moshe Dayan came in and walked with James Jesus Angleton, who was head of our counterintelligence, and he said, excuse me, but do you understand that your whole CIA has been infiltrated and created by communists?
[01:50:29.969 --> 01:50:39.393]  As a result of that, the Mossad helped the CIA clean out all of the Cambridge Five and then came in the WASP, the White Anglo-Saxon Protestants.
[01:50:39.833 --> 01:50:39.933]  Yes.
[01:50:56.393 --> 01:51:13.680]  What we call doubling behavior, that is to compromise major politicians here and overseas and Prince Andrew and use a man like Epstein, who was a little Jewish man of no significance from Brooklyn, the same thing we had with Dershowitz.
[01:51:13.680 --> 01:51:17.461]  These were all Brooklyn Jews who thought they were smarter than they were.
[01:51:17.461 --> 01:51:19.522]  They had no real education.
[01:51:19.522 --> 01:51:22.943]  Epstein had never gone to MIT, never gone to Harvard.
[01:51:23.423 --> 01:51:28.865]  But, what happened was the Mossad really used him in conjunction with the CIA.
[01:51:28.865 --> 01:51:48.454]  That's why he has never been touched, and basically what he did, and this is what I was against for 40 years, and I warned the CIA, and I warned the Mossad, and I had arrested one of their operatives for two years after 9-11, that if you continue to infiltrate and destroy our Republic, I will go after the Israeli operatives.
[01:51:49.114 --> 01:51:50.996]  And here is where the problem became.
[01:51:50.996 --> 01:51:52.797]  Epstein never died.
[01:51:52.797 --> 01:51:54.319]  He was never in prison.
[01:51:54.319 --> 01:51:55.960]  None of that is real.
[01:51:55.960 --> 01:52:07.469]  Unfortunately, Barr, who was our Attorney General, it was his father that gave Epstein the job at the Dalton School, which was an all-girls school, and he taught mathematics.
[01:52:07.469 --> 01:52:16.677]  The rest is up to conjecture, but it's not, because I've been involved with the CIA and knew that they were highly compromised because of the Mossad.
[01:52:16.977 --> 01:52:17.377]  Let's expand on that.
[01:52:37.288 --> 01:52:52.113]  I mean, you've got Epstein advertising that he's got these advanced research programs, getting Bill and Melinda Gates, getting Warren Buffett, getting Oprah Winfrey, getting Ted Turner at these secret institute meetings that came out in the news 15 years ago.
[01:52:52.113 --> 01:52:53.834]  That's how I knew about Epstein.
[01:52:53.834 --> 01:52:57.776]  And then Zorro Ranch and these breeding programs.
[01:52:57.776 --> 01:53:00.577]  I mean, there's a lot of stuff this guy was on top of.
[01:53:00.577 --> 01:53:01.417]  A lot of weirdness.
[01:53:02.523 --> 01:53:05.025]  Well, the weirdness was part of it was created.
[01:53:05.025 --> 01:53:16.474]  He himself was with AIDS, but the key element here to understand in our business of compromising people or doubling them up is that you never, never use children under age.
[01:53:16.474 --> 01:53:26.403]  When you double up in operatives and you use a honey trap, which is usually a woman for a man or a man for a homosexual, you do not use underage children.
[01:53:26.403 --> 01:53:30.306]  And this is where the CIA has to be held accountable and the most
[01:53:30.506 --> 01:53:30.646]  I don't
[01:53:45.523 --> 01:53:47.364]  I find him highly compromised.
[01:53:47.364 --> 01:53:50.365]  I find the Department of Justice highly compromised.
[01:53:50.365 --> 01:53:55.606]  So they can go all play around and make believe that they're indicting the FBI or call me.
[01:53:55.606 --> 01:54:00.428]  But the reality is, once you're implicated in a problem, you can't get out of it.
[01:54:00.428 --> 01:54:05.890]  When Barr said, Oh my God, Epstein committed suicide in the cell by himself.
[01:54:05.890 --> 01:54:06.390]  Give me a
[01:54:06.570 --> 01:54:07.110]  Great.
[01:54:07.110 --> 01:54:07.951]  Will you?
[01:54:07.951 --> 01:54:11.993]  There's no such thing as committing suicide in a cell by yourself.
[01:54:11.993 --> 01:54:15.274]  And then in turn the story even got more absurd.
[01:54:15.274 --> 01:54:19.956]  That's why you become important as the alternative media, but it's the real media.
[01:54:19.956 --> 01:54:21.417]  So where did Epstein go?
[01:54:21.417 --> 01:54:25.799]  Usually we take these operatives and we send them off to Paraguay or wherever else.
[01:54:25.799 --> 01:54:27.800]  But he will never be held accountable.
[01:54:27.800 --> 01:54:29.461]  Nor will the CIA.
[01:54:29.461 --> 01:54:31.061]  Nor will the Mossad.
[01:54:31.061 --> 01:54:33.963]  And that's where people like myself come in and say, uh-uh.
[01:54:34.750 --> 01:54:36.011]  These days are finished.
[01:54:36.011 --> 01:54:38.474]  You can't get into this kind of stuff anymore.
[01:54:38.474 --> 01:54:44.159]  And then they'll say, oh, well, he's a Trumpite, or he believes in conspiracies.
[01:54:44.159 --> 01:54:46.402]  And that's why my book couldn't be published.
[01:54:46.402 --> 01:54:48.123]  I have the William Morris Agency.
[01:54:48.123 --> 01:54:48.764]  They're nice people.
[01:54:48.764 --> 01:54:49.805]  We're going to get to that next hour.
[01:54:49.805 --> 01:54:51.907]  I don't want to spend a lot of time on your book, but let's just go back.
[01:54:51.907 --> 01:54:54.290]  It is true that the body they took out of the stretcher
[01:54:54.870 --> 01:54:59.311]  Has a, and this was mainline photos, AP, you name it, is not the same ear.
[01:54:59.311 --> 01:55:01.292]  The ear doesn't even look halfway the same.
[01:55:01.292 --> 01:55:02.592]  Put that back on screen, please, guys.
[01:55:02.592 --> 01:55:05.133]  That's from the photo the Daily Mail everybody ran.
[01:55:05.133 --> 01:55:09.695]  That is a real photo, and it's not even the same ear.
[01:55:09.695 --> 01:55:10.875]  Looks nothing like it.
[01:55:11.555 --> 01:55:14.338]  Third, I mean, for a man, I mean, think of it for a minute.
[01:55:14.338 --> 01:55:17.160]  You know, you know the dynamics of suicide and other people.
[01:55:17.160 --> 01:55:20.743]  You can't commit suicide by yourself in a cell.
[01:55:20.743 --> 01:55:23.566]  I've run, I've run the Kremlin in St.
[01:55:23.566 --> 01:55:24.266]  Louis.
[01:55:24.266 --> 01:55:25.988]  Not with the paper, not with the paper sheets.
[01:55:26.966 --> 01:55:28.126]  No, of course not.
[01:55:28.126 --> 01:55:37.629]  And for William Barr to come up and pronounce these nonsense, and then say there was a storm of circumstances, this compromises Trump.
[01:55:37.629 --> 01:55:44.291]  So I would fire Barr, and I've said all along, where I find Trump is weak is he's not tough enough.
[01:55:44.291 --> 01:55:50.233]  I do not think he has people within the White House- Well, you said that about all of them two and a half years ago, so stay there.
[01:55:50.233 --> 01:55:51.914]  This is what I want to get into, because you mentioned it.
[01:55:51.914 --> 01:55:55.855]  I want to finish up with the impeachment coup, what you think Trump needs to do.
[01:55:56.835 --> 01:56:00.136]  And then I want to get into your book, because people aren't supposed to hear this.
[01:56:00.136 --> 01:56:03.638]  The big publishers that have published your other stuff, they wouldn't even touch it.
[01:56:03.638 --> 01:56:05.738]  This is just all part of the censorship and control.
[01:56:05.738 --> 01:56:07.319]  Dr. Sipochenik is our guest.
[01:56:07.319 --> 01:56:09.600]  Sipochenik.com is his website.
[01:56:09.600 --> 01:56:11.981]  We'll put a link to that up on InfoWars.com.
[01:56:11.981 --> 01:56:13.821]  Some of the other issues he's going to cover.
[01:56:13.821 --> 01:56:15.822]  Christianity Today, that's blown up in their face.
[01:56:15.822 --> 01:56:17.243]  Facebook fascism.
[01:56:17.243 --> 01:56:19.864]  Mike Rogers, former NSA chief, he's got comments on that.
[01:56:19.864 --> 01:56:21.684]  John Durham and that investigation.
[01:56:21.684 --> 01:56:23.365]  Pelosi's downfall.
[01:56:23.365 --> 01:56:24.285]  Corruption of Hollywood.
[01:56:24.285 --> 01:56:25.846]  Mockingbird Media and how no one
[01:56:26.406 --> 01:56:26.767]  We're good to go.
[01:56:48.544 --> 01:56:49.404]  Thank you for your support.
[01:56:49.404 --> 01:56:50.325]  That's why we're here.
[01:56:50.325 --> 01:56:52.105]  But you need to support yourself.
[01:56:52.105 --> 01:56:54.266]  You really need to get the products we've got.
[01:56:54.266 --> 01:57:00.087]  The reason our products have five stars on third-party review sites is we've got the best turmeric bodies.
[01:57:00.087 --> 01:57:03.188]  We've got really high-end fish oil and krill oil.
[01:57:03.188 --> 01:57:04.769]  Really good nootropic brain force.
[01:57:04.769 --> 01:57:07.929]  Amazing 10-hour clean energy in turbo force.
[01:57:07.929 --> 01:57:12.771]  We really have great tooth whitening and remineralization toothpaste.
[01:57:12.771 --> 01:57:13.371]  Super silver.
[01:57:13.371 --> 01:57:16.732]  We have the Super Blue with the Tea Tree, the Coal Silver, and the Iodine Fluoride Free.
[01:57:17.705 --> 01:57:19.826]  So it doesn't have a bad halogen in it.
[01:57:19.826 --> 01:57:20.927]  It's got the good halogen.
[01:57:20.927 --> 01:57:22.728]  We have the X2, the X3.
[01:57:22.728 --> 01:57:24.149]  Infowarsstore.com.
[01:57:24.149 --> 01:57:25.030]  Double Patriot points.
[01:57:25.030 --> 01:57:26.911]  Free shipping.
[01:57:26.911 --> 01:57:29.173]  And 50 to 75% off.
[01:57:29.173 --> 01:57:30.714]  This is clearance sales.
[01:57:30.714 --> 01:57:33.035]  You're not going to see sales like this ever again.
[01:57:33.035 --> 01:57:35.477]  Because in the new year, we're not going to be able to discount things at this level.
[01:57:35.477 --> 01:57:38.159]  We're doing this as clearance at the end of the year.
[01:57:38.159 --> 01:57:41.401]  So please, do your purchases at Infowarsstore.com and fund the operation.
[01:57:41.401 --> 01:57:43.723]  There's nowhere you can spend your money that has a bigger effect for freedom.
[01:57:43.723 --> 01:57:44.023]  Stay with us.
[01:57:46.380 --> 01:57:49.301]  Infowars doesn't have an audience.
[01:57:49.301 --> 01:58:05.686]  We have listeners, men and women, who bleed red blood, who are part of the human race of every color, of every creed, who understand that evil is launching its full attack upon humanity now, and who are ready to stand and fight against the global scourge.
[01:58:05.686 --> 01:58:08.667]  And I need all of you to realize that you're the best we've got.
[01:58:09.508 --> 01:58:10.869]  InfoWars is the best we've got.
[01:58:10.869 --> 01:58:13.052]  We're not perfect, but we're fighting hard.
[01:58:13.052 --> 01:58:18.800]  And we need your financial support now more than ever to stay on the air.
[01:58:18.800 --> 01:58:23.547]  Not just to expand in the face of the enemy, but just to stay on air.
[01:58:23.547 --> 01:58:24.689]  So I'm telling you, right now.
[01:58:25.249 --> 01:58:26.751]  I need you to step up to the plate.
[01:58:26.751 --> 01:58:31.795]  Go to m4warstore.com and get great products that you already really need.
[01:58:31.795 --> 01:58:33.998]  The 12 days of Christmas is almost over.
[01:58:33.998 --> 01:58:35.919]  Some of the biggest sales of the year.
[01:58:35.919 --> 01:58:37.120]  Take advantage of them.
[01:58:37.120 --> 01:58:41.004]  Get store-wide free shipping, double patriot points, and so much more.
[01:58:41.004 --> 01:58:44.367]  But whatever you do, do your shopping at m4warstore.com.
[01:58:44.367 --> 01:58:45.328]  Thank you and Merry Christmas.
[01:58:52.695 --> 01:58:55.456]  I thought that you'd want what I want.
[01:58:55.456 --> 01:59:02.778]  I'm sorry, my dear.
[01:59:02.778 --> 01:59:05.038]  But where are the clowns?
[01:59:05.038 --> 01:59:06.479]  Send in the clowns.
[01:59:16.087 --> 01:59:20.671]  The globalists have sent in the clowns.
[01:59:20.671 --> 01:59:22.473]  They've sent in Antifa.
[01:59:22.473 --> 01:59:26.497]  They've broken our borders with some of the most hardened criminals from around the world.
[01:59:26.497 --> 01:59:30.481]  They've tried to poison us with fluoride and GMO and the tainted vaccines.
[01:59:30.481 --> 01:59:31.742]  They've sent in their clowns.
[01:59:32.142 --> 01:59:37.806]  But now, the men and women of America are taking action and confronting globalists everywhere.
[01:59:37.806 --> 01:59:40.568]  And I'm so proud of InfoWars leading the charge.
[01:59:40.568 --> 01:59:49.815]  But the only way we can do that is when you keep spreading the word about our broadcast and when you keep buying the great products at InfoWarsTore.com.
[01:59:49.815 --> 01:59:52.437]  You're listening to the Alex Jones Show.
[02:00:04.518 --> 02:00:07.921]  A big eight-page cover story this weekend from Bloomberg.
[02:00:07.921 --> 02:00:09.662]  Socialism, it's a dirty word again.
[02:00:09.662 --> 02:00:15.067]  Globalism, EU elites, technocracy falling apart.
[02:00:15.067 --> 02:00:17.269]  And falling apart very, very quickly.
[02:00:17.269 --> 02:00:18.350]  Dr. Stephen Chinnix, our guest.
[02:00:18.350 --> 02:00:19.971]  This is a short five-minute segment.
[02:00:19.971 --> 02:00:21.172]  A little one-minute break coming up.
[02:00:21.172 --> 02:00:24.715]  I want to get back into Epstein and the impeachment in that segment, but let me go back
[02:00:25.840 --> 02:00:34.305]  To really toot your horn, because it was at least 15 years ago, I've been interviewing you four or five years, that you were coming on going, and the EU is going to fall apart.
[02:00:34.305 --> 02:00:42.070]  There's going to be a giant movement to topple that, and then, you know, the East Coast cities are going to start collapsing, and then they'll saturate with immigrants, but then that'll collapse.
[02:00:42.070 --> 02:00:42.630]  That's in L.A.
[02:00:42.630 --> 02:00:52.036]  Times today, and then there'll be a huge rebuilding, and at a certain point, states like Texas will start dictating to Washington, and if they do things we don't like, we'll just not follow it.
[02:00:52.036 --> 02:00:52.977]  While I was having dinner,
[02:00:53.937 --> 02:01:01.586]  Um, with some, with a retired person who actually worked for the Democrats, but they were saying, I mean, it'd be a well-known name for some folks.
[02:01:01.586 --> 02:01:08.674]  And they were talking about meeting with Governor Abbott, who I obviously know, and that they've got a whole plan if things collapse to just not follow what the feds say.
[02:01:08.674 --> 02:01:13.899]  The fact that so many states are in that position, the fact that if Trump fails, the states have already prepared.
[02:01:14.380 --> 02:01:18.362]  And they're already linking up to just not go along with the blue cities.
[02:01:18.362 --> 02:01:23.804]  So you have the blue cities and the globalists trying to impose power over everybody, really is an act of weakness.
[02:01:23.804 --> 02:01:28.486]  How are you, in the few minutes we have to break, able to accurately chart that and what do you chart coming next?
[02:01:29.837 --> 02:01:39.220]  It was very easy for me to chart it because number one, the worst thing that the Northeast had in the Midwest and California was huge taxes.
[02:01:39.220 --> 02:01:52.624]  So what happened is the hedge fund guys, the multimillionaires and the middle class all moved down to Florida, they moved down to Tennessee, they moved down to the South, they moved down to Texas where there were no taxes and it was easier lifestyle.
[02:01:53.104 --> 02:01:56.886]  Number two, the power systems in Washington, D.C.
[02:01:56.886 --> 02:01:58.187]  were no longer relevant.
[02:01:58.187 --> 02:02:03.370]  I've said for a long time, if Trump hadn't been there, we really wouldn't have needed a president.
[02:02:03.370 --> 02:02:13.296]  And the reality of what you're seeing now, forget the Epstein phenomenon, because that's the end of the CIA, the FBI, and a whole bunch of people who attempted to have a coup there.
[02:02:13.296 --> 02:02:14.356]  It didn't work.
[02:02:14.356 --> 02:02:20.480]  The other part is the impeachment part, where Nancy Pelosi is basically the joker in this movie.
[02:02:21.341 --> 02:02:24.024]  In her own mind, she thinks she's wonderful.
[02:02:24.024 --> 02:02:36.937]  This is her swan song, but this is the swan song to the entire House of Representatives, because in a time where we really don't need representatives in an arcane model, we are working with the Internet.
[02:02:36.937 --> 02:02:38.138]  We're not a democracy.
[02:02:38.138 --> 02:02:42.963]  If we had a democracy, as Ross Perot said, we would be punching our computers
[02:02:43.303 --> 02:02:43.584]  Absolutely.
[02:03:04.304 --> 02:03:07.526]  At the same time, they're self-destructing in California.
[02:03:07.526 --> 02:03:12.088]  How does she explain 85,000 homeless in San Francisco?
[02:03:12.088 --> 02:03:15.869]  Even the New York Times went out of its way to say, this is disgraceful.
[02:03:15.869 --> 02:03:17.170]  Look at the video.
[02:03:17.170 --> 02:03:20.431]  Then they have 85,000 homeless in Los Angeles.
[02:03:20.431 --> 02:03:24.853]  And now all the industry's pulling out, and now no one's having conferences there.
[02:03:24.853 --> 02:03:28.495]  I mean, this is redline cardiac arrest.
[02:03:29.301 --> 02:03:29.841]  Correct.
[02:03:29.841 --> 02:03:32.283]  It's not only cardiac arrest, Alex.
[02:03:32.283 --> 02:03:36.925]  It's a self-destructive impulse that kept coming in again and again.
[02:03:36.925 --> 02:03:42.248]  You have multi-billionaires out of, you know, the high-tech areas in the Hollywoods.
[02:03:42.248 --> 02:03:43.909]  The Hollywood is finished.
[02:03:43.909 --> 02:03:47.872]  When you get a movie like The Irishman, which cost $180 million and it's junk,
[02:03:50.693 --> 02:03:55.895]  I vote for the Academy Awards, and I'll vote for a movie like Harriet that costs $3 million.
[02:03:55.895 --> 02:04:14.942]  But $180 million for Robert De Niro, who doesn't even serve our country, who shoots his mouth off against the president, a man who's never had a formal education, a man who went to the Red School, which is a communist school, never really could articulate anything or write anything decent, shoots his mouth off.
[02:04:14.942 --> 02:04:18.864]  Or Robert Redford, who had no education and comes out of Santa Monica.
[02:04:19.344 --> 02:04:21.326]  This is what we had out of Hollywood.
[02:04:21.326 --> 02:04:22.346]  It's finished.
[02:04:22.346 --> 02:04:23.467]  It's gone.
[02:04:23.467 --> 02:04:24.648]  We have the Roku.
[02:04:24.648 --> 02:04:26.189]  We have streaming.
[02:04:26.189 --> 02:04:27.850]  So Hollywood is finished.
[02:04:27.850 --> 02:04:29.351]  California is finished.
[02:04:29.351 --> 02:04:30.832]  What's becoming important?
[02:04:30.832 --> 02:04:31.733]  Texas.
[02:04:31.733 --> 02:04:37.337]  I've always said Texas, in and of itself, could secede from the Union and wouldn't need the rest of the Union.
[02:04:37.337 --> 02:04:41.299]  Florida can secede from the Union and wouldn't need the rest of the Union.
[02:04:41.299 --> 02:04:46.023]  In effect, what I'm saying, de facto, the South has risen again.
[02:04:46.683 --> 02:04:53.792]  It has risen in a way that the lies of Abraham Lincoln and the Northeast establishment... Hold on, we gotta go to break.
[02:04:53.792 --> 02:04:54.092]  Back in 60s.
[02:04:58.141 --> 02:04:59.781]  Owl Killer in New Jersey.
[02:04:59.781 --> 02:05:00.342]  You're on the air.
[02:05:00.342 --> 02:05:00.922]  Go ahead.
[02:05:00.922 --> 02:05:03.682]  Alex, hey, I just want to say it's great to be back once again.
[02:05:03.682 --> 02:05:06.763]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[02:05:06.763 --> 02:05:12.044]  So that's super blue fluoride free toothpaste and that super blue whitening toothpaste is on another level.
[02:05:12.044 --> 02:05:17.206]  I use the one I use the super blue in the morning and then the whitening at night and it absorbs into your gum.
[02:05:17.206 --> 02:05:20.026]  It is by far the best product I've ever used in my life.
[02:05:20.026 --> 02:05:22.667]  I literally just took turbo force on my way to the gym right now.
[02:05:23.067 --> 02:05:30.969]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[02:05:30.969 --> 02:05:32.309]  So I just want to get that out of the way.
[02:05:32.309 --> 02:05:33.229]  Support this man.
[02:05:33.229 --> 02:05:34.729]  Everything that he exposed.
[02:05:34.729 --> 02:05:36.150]  Nobody knew about Bohemian Grove.
[02:05:36.150 --> 02:05:37.270]  Nobody knew about Epstein.
[02:05:37.270 --> 02:05:38.570]  Nobody knew about Bilderberg.
[02:05:38.570 --> 02:05:41.230]  Nobody called 9-11 before it happened in July 2001.
[02:05:41.230 --> 02:05:43.071]  Go look it up yourself.
[02:05:43.071 --> 02:05:44.211]  Well, we try our best, sir.
[02:05:44.211 --> 02:05:45.431]  They definitely want us off the air.
[02:05:45.431 --> 02:05:46.351]  Without you, we're not here.
[02:05:46.351 --> 02:05:48.252]  But yeah, these are all great products, so thank you, sir.
[02:05:56.434 --> 02:06:02.616]  From the front lines of the Information War, it's Alex Jones!
[02:06:31.126 --> 02:06:32.266]  The corrupt in New York.
[02:06:32.266 --> 02:06:34.587]  A lot of great people live there with the establishment.
[02:06:34.587 --> 02:06:39.349]  The corrupt in Los Angeles and San Francisco are like dying cobras.
[02:06:39.349 --> 02:06:40.869]  Fat on the blood of America.
[02:06:40.869 --> 02:06:46.131]  Now angry that we're removing them from our throats so they just bite us again and again.
[02:06:46.131 --> 02:06:50.172]  We already took the full load of poison.
[02:06:50.172 --> 02:06:51.533]  Kind of grown used to it.
[02:06:53.240 --> 02:06:55.843]  That's what gets us out of bed in the morning.
[02:06:55.843 --> 02:07:01.409]  And all the intimidation, all the threats, it just doesn't work anymore because we were asleep.
[02:07:01.409 --> 02:07:02.650]  Now we're awake.
[02:07:02.650 --> 02:07:04.532]  They thought we were intimidated.
[02:07:04.532 --> 02:07:08.556]  No, we were just mesmerized by Hollywood, mesmerized by the left.
[02:07:08.556 --> 02:07:13.181]  And now, people can't run away from it fast enough.
[02:07:13.181 --> 02:07:15.564]  All the metrics show the really young people, Generation Z,
[02:07:17.031 --> 02:07:22.494]  Not the Millennials, some of them are awake, but mainly the new Generation Z, people under 20.
[02:07:22.494 --> 02:07:24.736]  They don't buy anything the system says.
[02:07:24.736 --> 02:07:27.217]  They can't stand the establishment.
[02:07:27.217 --> 02:07:29.138]  They want authenticity.
[02:07:29.138 --> 02:07:30.879]  They want real.
[02:07:30.879 --> 02:07:33.601]  And the establishment's now hitting all their emergency buttons.
[02:07:33.601 --> 02:07:39.445]  They admit that what Dr. Steve Pacino has been saying on this show for 15 years isn't just wishful thinking.
[02:07:39.445 --> 02:07:40.625]  It's unfolding.
[02:07:40.625 --> 02:07:41.506]  So continue.
[02:07:42.708 --> 02:07:45.391]  Wherever you want to go now, I want to finish up with Epstein.
[02:07:45.391 --> 02:07:57.305]  For me, the big story is the corporate media knew about Epstein, knew what was going on, pliantly covered it up for 13 years, and that still the same groups are doing the same crap.
[02:07:58.612 --> 02:08:05.335]  The same payloads, the same procurement, that's what I'm going to be exposing tonight, and they're doing nothing!
[02:08:05.335 --> 02:08:10.958]  And the media has this, and they're not just scared, they know you don't touch it.
[02:08:10.958 --> 02:08:16.220]  And so it's very, very shameful, and it'll be the nails in their political coffins.
[02:08:16.220 --> 02:08:27.926]  Anything else in that whole area of Epstein that I want to get into impeachment, the death throes of the Dems, but I don't want to be too confident because they could certainly try to, like a giant squid, take us down with them.
[02:08:29.425 --> 02:08:30.026]  Not really.
[02:08:30.026 --> 02:08:34.671]  I mean, the Democratic Party, as it is now, is in the throes of death.
[02:08:34.671 --> 02:08:38.915]  I mean, Nancy Pelosi is really singing a swan song.
[02:08:38.915 --> 02:08:42.979]  Her manipulation to try to get it into the Senate is not working.
[02:08:42.979 --> 02:08:48.224]  And basically, that was her last swan song to say to somebody, I have no more power.
[02:08:48.224 --> 02:08:50.726]  And I'm playing the game and I'm playing bluffing.
[02:08:51.947 --> 02:09:00.413]  The real issue right now is that we will continue to exist, as you said, General Zee, whatever the millennials are.
[02:09:00.413 --> 02:09:04.757]  But here in the South, I have young men and women who are in the Christian movement.
[02:09:04.757 --> 02:09:07.078]  At the same time, they serve in our National Guard.
[02:09:07.078 --> 02:09:08.780]  At the same time, they teach.
[02:09:08.780 --> 02:09:17.146]  So there's a whole generation of young men and women here in the South that will become our new leaders, very much like DeSantis, who was in the military.
[02:09:17.526 --> 02:09:20.609]  You're seeing more CIA operatives going into Congress.
[02:09:20.609 --> 02:09:25.573]  You see more military individuals, as I predicted, would go into the Congress and Senate.
[02:09:25.573 --> 02:09:30.097]  Once we have that, we have people who understand we can no longer go to wars.
[02:09:30.097 --> 02:09:31.518]  We can't go to Vietnam.
[02:09:31.518 --> 02:09:32.699]  We can't go to Korea.
[02:09:32.699 --> 02:09:34.120]  We can't go to Iraq.
[02:09:34.120 --> 02:09:35.562]  We can't go to Afghanistan.
[02:09:35.562 --> 02:09:39.505]  And listen to all these chicken hawks like the Bush Juniors or the Obama
[02:09:39.585 --> 02:09:43.549]  Elaborate on that because it's not combat veterans and people that want to start senseless wars.
[02:09:43.549 --> 02:09:45.411]  They want to get things fixed before that.
[02:09:45.411 --> 02:09:53.480]  It's only the chicken hawks that have never been in combat who are obsessed with it because they believe it's manly and tough and they make huge amounts of money out of directing it.
[02:09:54.383 --> 02:09:54.923]  Correct.
[02:09:54.923 --> 02:10:08.390]  And so we go back to, let's say, John F. Kennedy, who was totally psychotic, had Addison's disease, had the greatest number of wars that anybody had ever seen, and of course, he was taken care of by a guy named Fort Myer and others, Alan Dulles.
[02:10:08.390 --> 02:10:11.552]  We had LBJ, who had increased the war presence.
[02:10:11.552 --> 02:10:19.216]  Let me ask you that question, because I want you to, because you're a psychiatrist, you've studied JFK, you have the medical records, and, you know, run major mental wards, and then look at Bobby.
[02:10:19.216 --> 02:10:21.177]  Why would the mafia put them in power,
[02:10:22.317 --> 02:10:25.419]  And then why would they instantly turn on them?
