[00:00.000 --> 00:16.000]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[01:03:37.000 --> 01:03:39.000]  Now you're just a big butt kisser.
[01:03:39.000 --> 01:03:44.000]  I was against the police not following the Constitution and the Bill of Rights
[01:03:44.000 --> 01:03:46.000]  and becoming globalist tools.
[01:03:46.000 --> 01:03:51.000]  And in the last few years, the police have been one of the main groups along with the military
[01:03:51.000 --> 01:03:53.000]  that have said no to the globalist.
[01:03:53.000 --> 01:03:59.000]  So if they're the one group listening more than anybody else and are critical,
[01:03:59.000 --> 01:04:02.000]  why wouldn't I want to win and be friends?
[01:04:02.000 --> 01:04:07.000]  I'm not against the average copper, the average auto mechanic, the average black person,
[01:04:07.000 --> 01:04:11.000]  white person, Hispanic person, old person, young person, north, south, east, west.
[01:04:11.000 --> 01:04:14.000]  I'm against people that are idiots going along with globalism,
[01:04:14.000 --> 01:04:18.000]  but I'm really against people that are conscious of what they're doing coming down on our freedoms.
[01:04:18.000 --> 01:04:21.000]  So I'm going to take a few phone calls in this segment and the next.
[01:04:21.000 --> 01:04:26.000]  I'm going to air part of a key report that I haven't gotten to that's so amazing.
[01:04:26.000 --> 01:04:29.000]  Boycott the NFL for sexual assault and stupidity.
[01:04:29.000 --> 01:04:31.000]  That's coming up.
[01:04:31.000 --> 01:04:36.000]  And then I'm going to lay out all the JFK files that are coming in as we speak.
[01:04:36.000 --> 01:04:41.000]  That's coming up at 33 after in like 29 minutes from now.
[01:04:41.000 --> 01:04:46.000]  I'm going to lay it all out the big enchilada to tell your friends, your family, your neighbors, tune in.
[01:04:46.000 --> 01:04:50.000]  History is happening now and it vindicates everything we've ever said.
[01:04:50.000 --> 01:04:54.000]  Wow. I'm not getting sick of winning though, yet are you?
[01:04:57.000 --> 01:05:04.000]  Now, ladies and gentlemen, we're running the biggest special we've ever had for our best selling product, Brain Force.
[01:05:04.000 --> 01:05:08.000]  Now Brain Force Plus, there's 20% more in each bottle.
[01:05:08.000 --> 01:05:13.000]  And we're now purchasing so much of it from the major organic manufacturer here in the United States
[01:05:13.000 --> 01:05:15.000]  that we've been able to get it for less.
[01:05:15.000 --> 01:05:21.000]  So I'm offering for the first time ever 50% off and I thought I could offer this for maybe a month.
[01:05:21.000 --> 01:05:27.000]  I'm going to have to stop this special within a week because it is blasting out of our warehouse
[01:05:27.000 --> 01:05:31.000]  because the fans of it already you're stocking up. They know how great it is.
[01:05:31.000 --> 01:05:35.000]  A whole bunch of organic, natural, healthy, known, new tropics.
[01:05:35.000 --> 01:05:40.000]  And if you want good, clean, focused energy, then Brain Force is for you
[01:05:40.000 --> 01:05:44.000]  and you're supporting the broadcast at the same time.
[01:05:44.000 --> 01:05:51.000]  It's a good deal at $39. It's $19.96 at InfowarsLife.com
[01:05:51.000 --> 01:06:11.000]  or simply call toll-free, triple-eight, two-five, three, three-one, three-nine.
[01:06:11.000 --> 01:06:16.000]  Rallying Patriots worldwide in defense of human liberty.
[01:06:16.000 --> 01:06:26.000]  You're listening to the Alex Jones Show.
[01:06:26.000 --> 01:06:35.000]  We're going to go to Todd and Sharon and others here in a moment to get their take on 53 years and 11 months
[01:06:35.000 --> 01:06:39.000]  after the assassination of John Fitzgerald Kennedy in Dallas, Texas.
[01:06:39.000 --> 01:06:44.000]  Trump actually released 95% of the documents on Thursday night.
[01:06:44.000 --> 01:06:51.000]  The CIA held back some. They rebelled. He released the other 200 files last night, Saturday night.
[01:06:51.000 --> 01:06:53.000]  And I mean, it's, they knew.
[01:06:53.000 --> 01:06:59.000]  Hitler was still alive with thousands of Nazis in South America, which we always knew was an open secret.
[01:06:59.000 --> 01:07:06.000]  And LBJ was a KKK member and the CIA was staging terror attacks in America,
[01:07:06.000 --> 01:07:11.000]  trying to start a war with Russia and Cuba, but it gets crazier.
[01:07:11.000 --> 01:07:14.000]  You realize the same global is fun of the Bolshevik Revolution.
[01:07:14.000 --> 01:07:17.000]  It wasn't like we were for Russia.
[01:07:17.000 --> 01:07:23.000]  Then they talk about the Surgeon General and the FBI, how Kennedy was shot over the overpass through the windshield
[01:07:23.000 --> 01:07:25.000]  in the neck, his vertebra blown out.
[01:07:25.000 --> 01:07:32.000]  We have the Surgeon General report from the FBI and CIA. That got released.
[01:07:32.000 --> 01:07:38.000]  I mean, wow, it's so surreal to have this level of indication.
[01:07:38.000 --> 01:07:43.000]  Yeah, I said a private corporate government was being set up and the TPP was transferring power and it was true.
[01:07:43.000 --> 01:07:52.000]  And Trump got in and killed it and so many other things, but we knew it was real because we already had the documents.
[01:07:52.000 --> 01:07:55.000]  They make jokes now and say the documents, the documents.
[01:07:55.000 --> 01:07:59.000]  They had a congressional hearing back in the mid 70s, the congressional hearing, not the Warren Commission,
[01:07:59.000 --> 01:08:03.000]  but a congressional hearing in the house found Kennedy was killed by two shooters.
[01:08:03.000 --> 01:08:06.000]  It was the government criminal elements.
[01:08:06.000 --> 01:08:10.000]  So it's all up on infowars.com. It's up on newswars.com.
[01:08:10.000 --> 01:08:15.000]  Zero Hedge had a big article, the one paragraph from the declassified documents you need to read.
[01:08:15.000 --> 01:08:20.000]  And it's just all right there. What a time to be alive.
[01:08:20.000 --> 01:08:23.000]  Thank you all for your support and your prayers.
[01:08:23.000 --> 01:08:27.000]  Yeah, we've been demonized. We've been attacked. They've come after us on so many fronts.
[01:08:27.000 --> 01:08:35.000]  But the good news is, despite that, we're still hiring more reporters and crew and expanding because it's our job to do it.
[01:08:35.000 --> 01:08:39.000]  So many people just climb the ladder or get scared and go along with threats.
[01:08:39.000 --> 01:08:47.000]  To me, going along with threats or intimidations like dying, fighting backs like swimming to the surface to get air.
[01:08:47.000 --> 01:08:50.000]  And right now I'm getting some big gulps of air, man.
[01:08:50.000 --> 01:08:54.000]  I am so blessed. I am so honored.
[01:08:54.000 --> 01:08:58.000]  I cannot say how amazing this crew is and how much I love them.
[01:08:58.000 --> 01:09:02.000]  And I can't say how much I love you and how much I appreciate you.
[01:09:02.000 --> 01:09:07.000]  And that's why I get humbled when I see families wearing our t-shirts or on the streets saying hi to us.
[01:09:07.000 --> 01:09:12.000]  And black families, Hispanic, white, old, young, whatever. We're all humans just coming together.
[01:09:12.000 --> 01:09:17.000]  It's so humbling that it really freaks me out and makes me want to work harder.
[01:09:17.000 --> 01:09:23.000]  Because if all these great people are counting on me, it just lets me know how important this mission is.
[01:09:23.000 --> 01:09:29.000]  So hard times are ahead and they're going to indict a bunch of people that are innocent, obviously, with a rush of crap.
[01:09:29.000 --> 01:09:34.000]  Because they know they've done these crimes and they want to cover up for what they've done.
[01:09:34.000 --> 01:09:37.000]  But at the end of the day, the truth's all coming out.
[01:09:37.000 --> 01:09:40.000]  Uranium won everything. The fake dossier, everything.
[01:09:40.000 --> 01:09:44.000]  And it's just an amazing time to be alive. There's not just evil in the world.
[01:09:44.000 --> 01:09:47.000]  And evil gets good to forget that it exists.
[01:09:47.000 --> 01:09:50.000]  But as soon as good stands up, evil's running.
[01:09:50.000 --> 01:09:55.000]  If I evil hates good, folks, losers hate the truth. Losers hate victory.
[01:09:55.000 --> 01:10:00.000]  These folks have had control of the government for a while. They were arrogant.
[01:10:00.000 --> 01:10:03.000]  They put on their con game. They thought they could go forever.
[01:10:03.000 --> 01:10:08.000]  Well, guess what? You can run on for a long time, run on for a long time.
[01:10:08.000 --> 01:10:12.000]  You can hide your hand in the dark and work against your fellow man.
[01:10:12.000 --> 01:10:14.000]  But sooner or later, God's going to cut you down.
[01:10:14.000 --> 01:10:18.000]  Sooner or later, going to cut you down politically.
[01:10:18.000 --> 01:10:21.000]  Then they threaten us. Look, look at everything we've done to you.
[01:10:21.000 --> 01:10:26.000]  And I go, what? You don't think I know? Only makes me know I'm on target.
[01:10:26.000 --> 01:10:30.000]  Only makes me wake up in the morning. They haven't figured that out yet.
[01:10:30.000 --> 01:10:36.000]  I'm already fulfilled by being who I am. I don't need a bigger house
[01:10:36.000 --> 01:10:41.000]  or faster cars or private jets. I need to overrun you and defeat you
[01:10:41.000 --> 01:10:44.000]  because you wanted to extinct me. That's my will.
[01:10:44.000 --> 01:10:46.000]  That's when I need oxygen, baby.
[01:10:46.000 --> 01:10:51.000]  I don't get it until I've got you.
[01:10:51.000 --> 01:10:54.000]  I only say that to the enemies because they want to demoralize us.
[01:10:54.000 --> 01:10:57.000]  They want to dehumanize us. They want to destroy our morale.
[01:10:57.000 --> 01:11:01.000]  You will never break my will as long as God does it for sake me
[01:11:01.000 --> 01:11:06.000]  and God's never for sake me. So I just pray that folks pray to give us a strength we need to carry out this mission.
[01:11:06.000 --> 01:11:10.000]  That's all I want. But I've already carried out a large part of the mission.
[01:11:10.000 --> 01:11:15.000]  I know there's ripple effects on the pond, but I personally, like an engine ready to blow,
[01:11:15.000 --> 01:11:18.000]  I need to just ram that sucker all the way through.
[01:11:18.000 --> 01:11:22.000]  So there's no doubt that if every ounce and every piece of my energy,
[01:11:22.000 --> 01:11:25.000]  even though it's failed and fallen and weak, I'm not a devil worshiper.
[01:11:25.000 --> 01:11:27.000]  I'm not a pedophile. I'm not out to get you.
[01:11:27.000 --> 01:11:34.000]  And I'm just going to ram that accelerator all the way in and just make sure that I gave every last drop to this fight.
[01:11:34.000 --> 01:11:38.000]  As screwed up as it's been, it's been honest. It's been straight up.
[01:11:38.000 --> 01:11:41.000]  And I've just already seen devastation unbelievable with the enemy.
[01:11:41.000 --> 01:11:46.000]  That's why I know as you awaken there, they are horrified because there are souls awakening and hearts awakening
[01:11:46.000 --> 01:11:49.000]  and people awakening of every skin color.
[01:11:49.000 --> 01:11:53.000]  But they all got red blood and they want freedom and they know evil and they want to stand against it.
[01:11:53.000 --> 01:11:55.000]  And that's why they got to be so scared right now.
[01:11:55.000 --> 01:12:01.000]  Lee and Nelson and JK and Wild and Todd, we're going to go to you right now.
[01:12:01.000 --> 01:12:04.000]  Let's go to Lee in Texas here on the air. Go ahead.
[01:12:04.000 --> 01:12:12.000]  Alex, thank you very much for doing all what you do. And I pray for you and our president.
[01:12:12.000 --> 01:12:22.000]  I think the reason he's putting all these folders from JFK out to public is he wants everybody to know what they might do to him.
[01:12:22.000 --> 01:12:29.000]  Shadow government, deep state. This is what they do to a good president. I think that's the reason for that.
[01:12:29.000 --> 01:12:35.000]  Brother, we need to put what you said at the start of the broadcast today. We put it on YouTube and Facebook while we're still there.
[01:12:35.000 --> 01:12:41.000]  Because that's it. They said last Friday, nine days, they said it was not released when he did this.
[01:12:41.000 --> 01:12:51.000]  These are real files. I mean, this is Hitler was still alive. I mean, this is powerful. What do you think?
[01:12:51.000 --> 01:13:02.000]  Well, that's the reason he's trying to tell people in different ways. His own way is the Trump's way. This is what they do to presidents when they're doing good jobs.
[01:13:02.000 --> 01:13:08.000]  And people are catching up. They're waking up. Thanks because of you.
[01:13:08.000 --> 01:13:16.000]  No, thanks for you, Lee. We're the same, brother. What do you make of this time around though? It's crazy. How much is being revealed? What's happening?
[01:13:16.000 --> 01:13:28.000]  Like Roger Stone said, they're getting close to something. I mean, maybe weeks, days, and he wants to let them know this is what is coming up.
[01:13:28.000 --> 01:13:30.000]  Wake up, people. Wake up.
[01:13:30.000 --> 01:13:38.000]  And he's begging us. Do something. They've been paid off by foreign governments. I've done nothing. He's saying help me do something.
[01:13:38.000 --> 01:13:44.000]  Trump believes in us. That's it. He doesn't think we're weak and dumb. He believes the people are strong.
[01:13:44.000 --> 01:13:54.000]  He doesn't have anybody else. This is us. He's good. People around him, if I may call him good, actually gives him a bad language.
[01:13:54.000 --> 01:13:59.000]  Your great language. Well, most of them are cowards. Even if they're good, they just, I hear you. Go ahead.
[01:13:59.000 --> 01:14:02.000]  Any good.
[01:14:02.000 --> 01:14:09.000]  That's because most people in the power structure did it for power and they just are afraid to lose the power. You get all the power by not wanting the power.
[01:14:09.000 --> 01:14:13.000]  God bless you, Lee. Love you. I appreciate you. It's such an epic time, folks. It's so epic.
[01:14:13.000 --> 01:14:17.000]  Nelson.
[01:14:17.000 --> 01:14:25.000]  And we got Todd. We got so many others. Let's go to Wilde in Wisconsin. Wilde, you're on the air.
[01:14:25.000 --> 01:14:35.000]  I have two questions. Do you think it will be 53 years and two months until we figure out some semblance of a story out of Vegas?
[01:14:35.000 --> 01:14:43.000]  That's a great point. In fact, I thought about that today when I was going to drive in. I thought of one show name for the file for the podcast to be 53.
[01:14:43.000 --> 01:14:48.000]  Later, as we learn the truth about Dallas, will it be 53 as we learn the truth about Vegas?
[01:14:48.000 --> 01:14:54.000]  And I've been given info that I've not been allowed to give out where we...
[01:14:54.000 --> 01:15:01.000]  It's very dangerous information, but I don't violate sources, so I can't talk about it. But the official story is not true, obviously.
[01:15:01.000 --> 01:15:05.000]  And it was... What do you think about it?
[01:15:05.000 --> 01:15:07.000]  Well, Vegas or my second question?
[01:15:07.000 --> 01:15:09.000]  No, Vegas. Go ahead.
[01:15:09.000 --> 01:15:19.000]  You know, one thing, there's a lot of angles, and it's amazing seeing the Hiveline network and the back and forth banter between the establishment deep state and the deep citizenry.
[01:15:19.000 --> 01:15:22.000]  But also, one angle I didn't notice...
[01:15:22.000 --> 01:15:26.000]  Oh, my God. Hold on. I'm putting you on hold.
[01:15:26.000 --> 01:15:33.000]  There is literal telekinesis going on here. I'm meant to call the show today, because when I'm on air, I'm a lot smarter.
[01:15:33.000 --> 01:15:37.000]  I mean, everybody knows that you're under a light, stuff's going on, you can't remember everything you want to do.
[01:15:37.000 --> 01:15:44.000]  I was going to call it deep citizen today. I was going to come in here and say they've got their deep state of traitors against humanity.
[01:15:44.000 --> 01:15:51.000]  We have the deep humanity, the deep citizenry, and the caller just said it. It was meant metaphysically to happen.
[01:15:51.000 --> 01:15:55.000]  This is incredible! Stay with us. Ha-ha, the next segment.
[01:15:55.000 --> 01:16:01.000]  You deserve a deep restful sleep with Knockout by InfoWarsLife.
[01:16:01.000 --> 01:16:12.000]  Our organic formula is made from high quality natural ingredients such as Valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:16:12.000 --> 01:16:17.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:16:17.000 --> 01:16:25.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:16:25.000 --> 01:16:33.000]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[01:16:33.000 --> 01:16:43.000]  Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:16:43.000 --> 01:16:47.000]  Get the sleep you deserve and experience the power of Knockout.
[01:16:47.000 --> 01:17:14.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[01:17:17.000 --> 01:17:23.000]  This is an organic body that lives off a host mechanism right now with all the refugees spreading disease around.
[01:17:23.000 --> 01:17:27.000]  We have biological warfare going on everywhere. These are all parasites.
[01:17:27.000 --> 01:17:29.000]  Tell us about all the stuff that says there's so many things that are in it.
[01:17:29.000 --> 01:17:34.000]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[01:17:34.000 --> 01:17:37.000]  I recommend doing a parasite cleanse at least twice a year.
[01:17:37.000 --> 01:17:40.000]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[01:17:40.000 --> 01:17:43.000]  It just came back in yesterday. Living Defense, infowarslife.com.
[01:17:43.000 --> 01:17:47.000]  And folks, you can't lose. It's full of stuff that's great for your body, period.
[01:17:47.000 --> 01:17:52.000]  And you can support the broadcast, infowarslives.com. Thank you, Dr. Group, from the Global Healing Center.
[01:17:52.000 --> 01:17:58.000]  Thank you so much for all your work, sir, on this great product.
[01:17:58.000 --> 01:18:02.000]  Thousands of years ago, there was a basic form of chivalry.
[01:18:02.000 --> 01:18:09.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:18:09.000 --> 01:18:15.000]  Sixty years ago, when foreign air forces were approaching filled with bombs,
[01:18:15.000 --> 01:18:18.000]  they had drums of their own, air raid sirens.
[01:18:18.000 --> 01:18:22.000]  But in the 21st century, there were silent weapons for quiet war.
[01:18:22.000 --> 01:18:28.000]  Pathogens added to the food and water, into the lining of plastics that destroy our vitality,
[01:18:28.000 --> 01:18:32.000]  turn off our hormones, and accelerate our journey towards death.
[01:18:32.000 --> 01:18:41.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs
[01:18:41.000 --> 01:18:47.000]  to create the basic foundation to normal metabolic activity inside the human body.
[01:18:47.000 --> 01:18:50.000]  Discover why Anthroplex has turned so many heads today.
[01:18:50.000 --> 01:18:56.000]  It's time for us to take our bodies back into our own hands, and it starts at infowarslife.com with Anthroplex.
[01:18:56.000 --> 01:19:02.000]  Support good oral health with our one-of-a-kind, super-blue, fluoride-free products.
[01:19:02.000 --> 01:19:09.000]  Infowarslife brings you a revolutionary toothpaste blend with iodine and nano-silver, designed to deliver a powerful clean.
[01:19:09.000 --> 01:19:13.000]  Enjoy a minty, fresh flavor made with peppermint oil, or try our bubblegum flavor.
[01:19:13.000 --> 01:19:19.000]  Pair this groundbreaking toothpaste with the super-blue, fluoride-free mouthwash, and super-charge your oral health.
[01:19:19.000 --> 01:19:25.000]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[01:19:25.000 --> 01:19:33.000]  Instead of containing fluoride, our super-blue line is loaded with the good halogen iodine and an array of other beneficial compounds
[01:19:33.000 --> 01:19:36.000]  that have been hand-selected for their oral health benefits.
[01:19:36.000 --> 01:19:42.000]  Super-blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[01:19:42.000 --> 01:19:45.000]  Xylitol, nano-silver, and iodine.
[01:19:45.000 --> 01:19:49.000]  Notice the difference with our super-blue, fluoride-free products.
[01:19:49.000 --> 01:19:57.000]  Refresh your breath and invigorate your oral health routine at Infowarsstore.com. That's Infowarsstore.com.
[01:20:20.000 --> 01:20:26.000]  I'm Alex Jones, your host, taking your phone calls right now.
[01:20:26.000 --> 01:20:32.000]  In the last few months, when I'm really thinking deeply about the state of the world, I realize,
[01:20:32.000 --> 01:20:39.000]  deep state is just criminal networks within the bureaucracy working against the country,
[01:20:39.000 --> 01:20:46.000]  using it, feeding off of it because they don't understand the whole Renaissance expansion pro-human model.
[01:20:46.000 --> 01:20:51.000]  And that truly, those of us that love America, of every color, of every creed,
[01:20:51.000 --> 01:20:57.000]  who have red blood, who are one race, humanity, who believe in open-free societies,
[01:20:57.000 --> 01:21:04.000]  who know that the West has been the greatest example of that, and who love all the other cultures as well,
[01:21:04.000 --> 01:21:09.000]  but that recognize that Western culture is not a hate crime.
[01:21:09.000 --> 01:21:24.000]  There's been a great attribute. When you pull back from that, you think about the fact that we are the deep state.
[01:21:24.000 --> 01:21:28.000]  When we hold on to our culture, when we hold on to our ideas, when we hold on to the Bill of Rights,
[01:21:28.000 --> 01:21:35.000]  we hold on to self-defense, we hold on to masculinity, our femininity, and all that made our species great.
[01:21:35.000 --> 01:21:39.000]  We don't let these corporate technocrats manipulate our lives and fully take control of us.
[01:21:39.000 --> 01:21:44.000]  We are in an act of rebellion against a scientific takeover.
[01:21:44.000 --> 01:21:53.000]  And it's so fundamental, and it's so empowering to realize that and to become conscious of the psychopaths
[01:21:53.000 --> 01:21:59.000]  and their sociopath minions that know how humans work, but don't look at Marvel at our species
[01:21:59.000 --> 01:22:10.000]  and want to empower us collectively, but instead bring collective bondage and want to control us.
[01:22:10.000 --> 01:22:20.000]  That's a big secret. It's like a pastor farming us. Why old in Wisconsin? Make a point. Go ahead.
[01:22:20.000 --> 01:22:25.000]  My point regarding Vegas or the second question.
[01:22:25.000 --> 01:22:32.000]  The point you made about the true citizen deep state.
[01:22:32.000 --> 01:22:34.000]  Remember that statement?
[01:22:34.000 --> 01:22:43.000]  All of time, even before recorded time, we've clashed over and over again in endless, brutal battles and weird rewards.
[01:22:43.000 --> 01:22:52.000]  Just like that 16 beer 4 a.m. Australian caller said, conformists and nonconformists and defectors,
[01:22:52.000 --> 01:22:58.000]  we all know who they are conforming to and what we are defecting from.
[01:22:58.000 --> 01:23:04.000]  The evil and inverted conformity that always yield the same crop.
[01:23:04.000 --> 01:23:20.000]  But regarding Vegas, one angle I haven't seen discussed was that Vegas is also known for its huge amounts of untraceable cash.
[01:23:20.000 --> 01:23:28.000]  And with all those shootings all over the strip, it begs the question if there was some sort of hype, we have witnesses from all around the world.
[01:23:28.000 --> 01:23:34.000]  Absolutely. There was some giant criminal operation. There's a cover up. Great points. Wild. I thought I was coughing earlier.
[01:23:34.000 --> 01:23:40.000]  Carlos and Bolivia, I got a run, but I wanted to get to you. What's your point real quick, Carlos?
[01:23:40.000 --> 01:23:53.000]  Okay, Alex. Amazing. Thank you for the work. One of the guns that killed Kennedy was a Mauster that was, which has German made,
[01:23:53.000 --> 01:24:02.000]  that the caliber only went to Argentina. Okay? You probably know that. Only went to Argentina.
[01:24:02.000 --> 01:24:11.000]  So from Argentina, Mr. Martin Borman took it to the US. Okay? And it's a great job that you are doing.
[01:24:11.000 --> 01:24:20.000]  Not only the United States, Bolivia, the rest of the world are in the hands of these Nazis that went underground.
[01:24:20.000 --> 01:24:29.000]  And also the Stalinists that get in bed with the petro-Islamist terrorist processes.
[01:24:29.000 --> 01:24:35.000]  The Nazis are allied with the EU and the Muslims. What do you make of it coming out that Hitler was in South America
[01:24:35.000 --> 01:24:38.000]  and protected in these documents? Wow, huh?
[01:24:38.000 --> 01:24:47.000]  Yes. I already had information about that in the year 2000. So that's no surprise.
[01:24:47.000 --> 01:24:52.000]  We'll do this. Call me back tomorrow. I promise. We'll put you on hold, Carlos. I want to hear from you.
[01:24:52.000 --> 01:25:00.000]  Everybody else, I got to go to this report right now. Stay with us. We'll be back. infowars.com, newswars.com. Amazing reality.
[01:25:00.000 --> 01:25:03.000]  All this stuff coming out. It's unbelievable.
[01:25:03.000 --> 01:25:09.000]  People have to be made to feel uncomfortable, and especially white people, because we're comfortable.
[01:25:09.000 --> 01:25:14.000]  We still have no clue of what being born white means.
[01:25:14.000 --> 01:25:22.000]  And if you read some of the recent literature, you'll realize it really is no such thing as weightness.
[01:25:22.000 --> 01:25:30.000]  But we've kind of made it up. That's not my original thought, but it's true.
[01:25:30.000 --> 01:25:45.000]  And it's hard to sit down and decide that, yes, it's like you're at the 50 meter mark in 100 meter dash, and you've got that kind of a lead.
[01:25:45.000 --> 01:25:56.000]  Yes, because you were born white, you have advantages that are systemically, culturally, psychologically, there.
[01:25:56.000 --> 01:26:03.000]  And they've been built up and cemented for hundreds of years.
[01:26:03.000 --> 01:26:12.000]  Recently, Miami-Dade officers refused to work the Dolphins Jets game. Due to the fact that they would in part be protecting protesting millionaire players,
[01:26:12.000 --> 01:26:20.000]  hell bent on blaming them for the brutal chaos in America. These out of touch pro athletes don't understand much.
[01:26:20.000 --> 01:26:28.000]  However, numbers are something athletes can understand. Here are the numbers from the FBI, and the numbers don't lie.
[01:26:28.000 --> 01:26:34.000]  The Washington Times reports more than any other demographic group, black men are paying the price with their lives,
[01:26:34.000 --> 01:26:41.000]  with a surging violent crime rate over the past two years, including a 20% jump in the overall homicide rate,
[01:26:41.000 --> 01:26:50.000]  even as the number of blacks killed by police declines. Using homicide figures from the 2016 FBI Uniform Crime Report,
[01:26:50.000 --> 01:27:02.000]  Manhattan Institute fellow Heather McDonald found that the number of black homicide victims has jumped by nearly 900 per year since the Black Lives Matter movement took root in 2014.
[01:27:02.000 --> 01:27:14.000]  The highest FBI 2017 crime statistic numbers show that the violent crime rate at 360.3 incidents per 100,000 inhabitants is the highest since 2012.
[01:27:14.000 --> 01:27:20.000]  The murder rate at 5.3 per 100,000 is the highest it's been since 2008.
[01:27:20.000 --> 01:27:29.000]  The same is true for rape and aggravated assault at 248.5 per 100,000 is the worst it's been since 2010.
[01:27:29.000 --> 01:27:36.000]  Hopefully the players are causing more harm than anything else. The reality can be found in what has been dubbed the Ferguson Effect.
[01:27:36.000 --> 01:27:42.000]  As police officers back off of patrolling high crime areas, the black on black homicide increases.
[01:27:42.000 --> 01:27:46.000]  The millionaire athletes need to swallow the truth hidden in the numbers.
[01:27:46.000 --> 01:27:55.000]  Black on black crime is fueling the side effects, plaguing the innocent folks living in American war zone communities like the south side of Chicago.
[01:27:55.000 --> 01:28:00.000]  Far more needs to be done than foolishly protesting our anthem.
[01:28:00.000 --> 01:28:05.000]  I think we're going to see more of this. We're going to see more people in over politicization of America.
[01:28:05.000 --> 01:28:11.000]  We're going to see people outside of sports. Now this is leaking over to the baseball. It's leaking over to hockey.
[01:28:11.000 --> 01:28:16.000]  It's leaking over to NASCAR. Dale Earnhardt Jr. said he wanted to be in solidarity with these guys.
[01:28:16.000 --> 01:28:21.000]  Because their bosses are saying conservatives won't punish you, they don't care.
[01:28:21.000 --> 01:28:26.000]  The liberals will love you. Virtue's signal to them. And then the mainstream media will say you're good.
[01:28:26.000 --> 01:28:32.000]  No Dale Earnhardt Jr. You're an idiot. You're going to be hated by your core fans forever.
[01:28:32.000 --> 01:28:36.000]  And then the numbers show it, but they're still committing political suicide. Why?
[01:28:36.000 --> 01:28:39.000]  Because it's a program. Because it's a program. And they know that it's not going to be over.
[01:28:39.000 --> 01:28:43.000]  They've been ordered overnight. They know that it's a conditioning.
[01:28:43.000 --> 01:28:45.000]  It's a nudging. It's a force feeding.
[01:28:45.000 --> 01:28:51.000]  We should be protesting the NFL players for their epidemic of sexual assaults.
[01:28:51.000 --> 01:29:16.000]  John Bown reporting for Infowars.com.
[01:29:16.000 --> 01:29:24.000]  The Prostaguard formula does just that with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[01:29:24.000 --> 01:29:33.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[01:29:33.000 --> 01:29:37.000]  Prostaguard is something that the men on the Infowars crew take every day.
[01:29:37.000 --> 01:29:44.000]  And from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[01:29:44.000 --> 01:29:48.000]  Now's the time to start naturally supporting your body.
[01:29:48.000 --> 01:29:52.000]  Get Prostaguard on your side today exclusively at InfowarsLife.com.
[01:29:52.000 --> 01:30:18.000]  That's InfowarsLife.com.
[01:30:18.000 --> 01:30:23.000]  Thank you for joining us today.
[01:30:48.000 --> 01:30:54.000]  Visit InfowarsStore.com and learn more about the new EmRick's Essentials line of organic products.
[01:30:54.000 --> 01:31:20.000]  That's InfowarsStore.com.
[01:31:20.000 --> 01:31:30.000]  Thank you so much for joining us today.
[01:31:50.000 --> 01:31:56.000]  Again, visit InfowarsStore.com today and commit to helping the Infowars.
[01:32:20.000 --> 01:32:26.000]  You can try a bag of the Patriot Blend 100% Organic Coffee at InfowarsLife.com.
[01:32:26.000 --> 01:32:33.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:32:33.000 --> 01:32:35.000]  Hands down, this is my favorite coffee.
[01:32:35.000 --> 01:32:40.000]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:32:40.000 --> 01:32:44.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:32:44.000 --> 01:32:48.000]  Available in original or with our immune support infusion blend.
[01:32:48.000 --> 01:32:54.000]  You'll be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:32:54.000 --> 01:32:59.000]  Available at InfowarsLife.com.
[01:32:59.000 --> 01:33:08.000]  You're listening to the Alex Jones show.
[01:33:08.000 --> 01:33:19.000]  Ladies and gentlemen, I am your host Alex Jones.
[01:33:19.000 --> 01:33:30.000]  Hard to believe it's hard to the 29th day of October 2017 as we transmit here live on the Sunday broadcast worldwide.
