[00:00:01.000 --> 00:00:03.000]  InfoWars, tomorrow's news, today.
[01:39:20.080 --> 01:39:24.960]  want him to run for president again, which we all know what's really going on there,
[01:39:24.960 --> 01:39:29.519]  but I think that what the Republicans were doing, you know, it wasn't the red wave that
[01:39:29.519 --> 01:39:32.679]  everybody talked about, but we are making progress.
[01:39:32.679 --> 01:39:38.480]  And what I want everybody to think about is, you know, if Hunter Biden has had the
[01:39:38.480 --> 01:39:43.160]  last name of Trump, what would be going on with his arrest right now?
[01:39:43.160 --> 01:39:47.400]  What would be going on with, and he shows up at a State Department dinner, and it was
[01:39:47.400 --> 01:39:53.559]  unbelievable that he has the gall, and Biden has the gall to bring his son there for that.
[01:39:53.559 --> 01:39:58.240]  I just don't understand it.
[01:39:58.240 --> 01:40:04.400]  I don't understand it either, but that's why we have to have a larger discussion about
[01:40:04.400 --> 01:40:06.920]  this.
[01:40:06.920 --> 01:40:10.400]  I know you talked to the President quite a bit, at least I know you did in the past.
[01:40:10.400 --> 01:40:14.080]  I've been told by a lot of folks who've talked to him quite a bit, that he is stronger now
[01:40:14.080 --> 01:40:17.540]  and more determined than ever, and that really makes me be proud of President Trump.
[01:40:17.540 --> 01:40:21.840]  But even though I'm mad at him about the shots and things like that, he's pigheaded and won't
[01:40:21.840 --> 01:40:26.639]  admit he's wrong, the fact that he was elected, we know they stole it, and now they're trying
[01:40:26.639 --> 01:40:32.000]  to take our right to vote for him away by falsely indicting him, and the polls show
[01:40:32.000 --> 01:40:34.960]  people see through that, this is who the people elected.
[01:40:34.960 --> 01:40:38.519]  So even if I didn't think he was the best guy, I think he is a good guy, I would support
[01:40:38.519 --> 01:40:42.639]  him now because this is the deep state trying to take the person America elected away.
[01:40:42.639 --> 01:40:47.000]  It's very simple, I'm 100% behind Trump, that's made me really understand that I need to support
[01:40:47.000 --> 01:40:48.000]  him.
[01:40:48.000 --> 01:40:52.200]  Isn't it interesting that before the election, Kamala Harris and Biden and all the Democrats
[01:40:52.200 --> 01:40:57.719]  were against a President Trump vaccine, but suddenly since they pushed it forward with
[01:40:57.719 --> 01:41:02.320]  Operation Warp Speed, where there's another theory about why he did that, I'm with you,
[01:41:02.320 --> 01:41:03.440]  I'm not happy about that.
[01:41:03.440 --> 01:41:08.240]  We all know what happened with that, there are millions of people who have died because
[01:41:08.240 --> 01:41:13.920]  of blood clots and because of the shot, I don't even want to call it a shot, the jab,
[01:41:13.920 --> 01:41:21.440]  whatever, but it's amazing to me that people are getting away with murder, and they're
[01:41:21.440 --> 01:41:27.240]  not being called upon, like Fauci's got his own TV show now, and he's going to be teaching
[01:41:27.240 --> 01:41:29.000]  college courses.
[01:41:29.000 --> 01:41:30.320]  Why isn't he in jail?
[01:41:30.320 --> 01:41:33.599]  I don't understand.
[01:41:33.599 --> 01:41:37.519]  Well I totally agree with you, and Senator Paul did call out Trump last week, and say
[01:41:37.519 --> 01:41:42.240]  why isn't he going after Fauci more, why didn't he go after Fauci, well Rand Paul went along
[01:41:42.240 --> 01:41:45.679]  with the shots too, and I like Rand Paul, but let's not, that's really a cheap shot by
[01:41:45.679 --> 01:41:50.240]  Rand Paul, and I'm not trying to be the guy that calls it, and I'm not attacking Rand
[01:41:50.240 --> 01:41:55.080]  Paul, but he needs to come out against the shots too.
[01:41:55.080 --> 01:42:01.160]  Nobody in the government is coming out against the shots, and I think what is going for President
[01:42:01.160 --> 01:42:07.480]  Trump, he never made it mandatory, he said if you want it, take it, but we need to have
[01:42:07.480 --> 01:42:11.880]  some more exposure about what's going on, it seems like only your show and a few others
[01:42:11.880 --> 01:42:15.380]  are talking about the side effects of what really happened.
[01:42:15.380 --> 01:42:20.820]  We need to get back control of mainstream media, and you know, it's MSN, mainstream
[01:42:20.820 --> 01:42:28.019]  news lies, and it's really unfortunate that it's divided, and again, going back to spirituality,
[01:42:28.019 --> 01:42:33.679]  spiritual warfare, Satan comes to kill, steal, and destroy, and divide us, and that's exactly
[01:42:33.679 --> 01:42:39.340]  what they're doing with racism, and trying to divide us, and pit father against son,
[01:42:39.340 --> 01:42:44.460]  and neighbor against neighbor, and that's not who we are, Alex.
[01:42:44.540 --> 01:42:51.059]  I totally agree, incredible, Shemay Nugent, stay there, and we've got Rocco Nugent, straight
[01:42:51.059 --> 01:42:54.940]  ahead, he, I've seen him on TV, a really smart fella, we'll talk to him straight ahead, stay
[01:42:54.940 --> 01:42:56.179]  with us.
[01:42:58.660 --> 01:43:03.019]  You're going to want to pay attention to what I'm about to say in the next 60 seconds.
[01:43:03.019 --> 01:43:08.219]  Two new incredible products are now available exclusively at infowarestore.com.
[01:43:08.219 --> 01:43:13.380]  They are both clones of national best-selling products from a major pharmaceutical slash
[01:43:13.380 --> 01:43:18.139]  supplement maker that are Lister's and Patriot's, that are allowing us to private label it at
[01:43:18.139 --> 01:43:20.580]  a lower price you'll find in stores.
[01:43:20.580 --> 01:43:24.700]  It's Joint Relief Max and Nerve Renew.
[01:43:24.700 --> 01:43:30.620]  Both of these have known documented natural compounds to lower pain, and to also make
[01:43:30.620 --> 01:43:35.580]  your nerves healthier, which is one of the major reasons nerves get irritated, and are
[01:43:35.580 --> 01:43:37.620]  more inductive to pain.
[01:43:37.620 --> 01:43:39.900]  There's major research behind this all.
[01:43:39.900 --> 01:43:47.019]  You need to get Joint Relief Max from InfoWars MD and Nerve Renew from InfoWars MD exclusively
[01:43:47.019 --> 01:43:50.099]  at infowarestore.com right now.
[01:43:50.099 --> 01:43:55.299]  Introducing them both, 25% off, you'll find them exclusively at infowarestore.com, and
[01:43:55.299 --> 01:43:58.340]  they fund their operation.
[01:43:58.340 --> 01:44:04.620]  In the early 1900s, certain companies were off-gassing highly toxic fluoride gases into
[01:44:04.620 --> 01:44:05.740]  the atmosphere.
[01:44:05.740 --> 01:44:08.500]  The surrounding communities began to get sick.
[01:44:08.540 --> 01:44:14.900]  Laws were enacted to compel these corporations to install scrubbers to convert these gases
[01:44:14.900 --> 01:44:19.340]  into fluorosilicic acid, still highly toxic, but containable.
[01:44:19.340 --> 01:44:24.139]  Now these companies had a stockpile of this poison, and there was no affordable way to
[01:44:24.139 --> 01:44:25.219]  dispose of it.
[01:44:25.219 --> 01:44:30.179]  Lucky for them, one of their major stockholders was also the Secretary of the Treasury, who
[01:44:30.179 --> 01:44:33.660]  was responsible for the public health service at the time.
[01:44:33.660 --> 01:44:40.179]  And by 1950, the U.S. government began buying this toxic, untreated industrial waste product
[01:44:40.179 --> 01:44:42.540]  and dumping it into our drinking water.
[01:44:42.540 --> 01:44:47.820]  Reputable studies show that it's causing various cancers and other disease.
[01:44:47.820 --> 01:44:54.260]  With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[01:44:54.260 --> 01:44:58.219]  Available now at infowarestore.com.
[01:44:58.219 --> 01:45:02.099]  This is Adam King, host of The Adam King Show, joined by the one and only Greg Reese of The
[01:45:02.099 --> 01:45:03.099]  Reese Report.
[01:45:03.099 --> 01:45:08.059]  If you wanted to hop on and send everybody to infowarestore.com, click this QR code right
[01:45:08.059 --> 01:45:15.179]  above Greg Reese, buy yourself a Faraday cage, super male vitality, or what Greg has.
[01:45:15.179 --> 01:45:16.580]  Greg, what do you got there?
[01:45:16.580 --> 01:45:20.740]  If you really want to treat yourself to something nice, get yourself an Alexa Pure water filter
[01:45:20.740 --> 01:45:25.620]  and get clean, healthy water whenever you want it, wherever you want it.
[01:45:25.620 --> 01:45:30.860]  Even if the water pressure goes out, the gravity-fed water filter has got you covered.
[01:45:30.860 --> 01:45:32.660]  Absolutely.
[01:45:32.660 --> 01:45:37.700]  And we couldn't do any of this without listener support.
[01:45:37.700 --> 01:45:42.380]  I was telling Greg earlier, we're like the real NPR, the real NPR of the base, right?
[01:45:42.380 --> 01:45:45.460]  So click that QR code right there on your screen right now.
[01:45:45.460 --> 01:45:46.460]  Take out your phone.
[01:45:46.460 --> 01:45:47.460]  Click that QR code.
[01:45:47.460 --> 01:45:49.620]  It'll take you directly to infowarestore.com.
[01:45:49.620 --> 01:45:50.740]  Buy something.
[01:45:50.740 --> 01:45:51.740]  Support the Info War.
[01:45:51.740 --> 01:45:55.299]  Keep Alex Jones, Lauren Troyer, Harrison Smith, Greg Reese, Adam King, and the rest of us on
[01:45:55.299 --> 01:45:56.299]  air.
[01:45:56.299 --> 01:45:57.299]  Do it today.
[01:45:57.299 --> 01:45:58.299]  Do it now.
[01:45:58.299 --> 01:45:59.299]  Support the Info War.
[01:45:59.299 --> 01:46:04.260]  Turbo Force is back, sold out for eight months, and it's Turbo Force Plus.
[01:46:04.260 --> 01:46:06.400]  We made it even stronger.
[01:46:06.400 --> 01:46:11.980]  The strongest long-term energy you're going to find anywhere, Turbo Force is back in stock
[01:46:11.980 --> 01:46:17.059]  at infowarestore.com or 888-253-3139.
[01:46:17.059 --> 01:46:23.580]  It's not just wide-spectrum natural herbs that time-release over 10 hours, should be
[01:46:23.580 --> 01:46:25.219]  called 10-hour energy.
[01:46:25.219 --> 01:46:30.660]  It has a bunch of vitamins and minerals and a bunch of other key things and amino acids
[01:46:30.660 --> 01:46:35.820]  that turbocharge everything and are good for your heart, your brain, your liver, you name
[01:46:35.820 --> 01:46:36.820]  it.
[01:46:36.820 --> 01:46:40.219]  It is the super fuel.
[01:46:40.219 --> 01:46:41.700]  Rain Force Plus is great.
[01:46:41.700 --> 01:46:42.700]  Rain Force Ultra is great.
[01:46:42.700 --> 01:46:43.700]  They're two different nootropics.
[01:46:43.700 --> 01:46:47.580]  They go good with this, but this is the King Kong.
[01:46:47.580 --> 01:46:48.980]  This is the boss.
[01:46:48.980 --> 01:46:53.540]  Turbo Force, back in stock, discounted, infowarestore.com.
[01:46:53.540 --> 01:47:00.740]  More power, more strength, more energy.
[01:47:00.740 --> 01:47:06.860]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:47:08.340 --> 01:47:29.620]  Well, time flies when you're fired up for freedom and learning a lot, and it's our final
[01:47:29.620 --> 01:47:33.620]  segment with Shemaine Nugent, and I asked her since her son was, you know, bringing
[01:47:33.620 --> 01:47:34.620]  her in today.
[01:47:34.620 --> 01:47:39.900]  You know, they're taking care of mom to drag Rocco in and to get his take on just the world
[01:47:39.900 --> 01:47:43.520]  in general and being such a big part of your TV shows and programs, what you guys are doing
[01:47:43.520 --> 01:47:48.540]  to get people self-sufficient in bow hunting and hunting and gardening.
[01:47:48.540 --> 01:47:51.180]  It's so important what you guys do.
[01:47:51.180 --> 01:47:52.260]  You said, I do that.
[01:47:52.260 --> 01:47:54.740]  I tell people they should do it, but I'm not really good at it.
[01:47:54.740 --> 01:47:56.820]  I mean, I'm okay at hunting, but not the other stuff.
[01:47:56.820 --> 01:47:59.980]  I do some gardening and things, but you guys are really front and center on that.
[01:47:59.980 --> 01:48:05.780]  And then Kyle Serafin, folks, is a gigantic whistleblower from the FBI on the government
[01:48:05.780 --> 01:48:11.140]  branding Christians and conservatives as terrorists on the pipe bomb and a bunch.
[01:48:11.140 --> 01:48:13.100]  I mean, this is a big deal.
[01:48:13.100 --> 01:48:15.220]  He's testified to Congress, all of it.
[01:48:15.220 --> 01:48:17.100]  He's joining us next hour.
[01:48:17.100 --> 01:48:21.060]  But Shemaine introduced our audience for folks that don't know him, Rocco.
[01:48:21.060 --> 01:48:26.700]  Well, my number one bestselling book on Amazon in two different categories, Killer House.
[01:48:26.700 --> 01:48:32.100]  I talk about the story of recovering and remediating from toxic mold.
[01:48:32.100 --> 01:48:36.180]  And really it's both of our journeys of finding health.
[01:48:36.180 --> 01:48:38.180]  Rocco writes a little bit in this book as well.
[01:48:38.180 --> 01:48:43.460]  So I wanted to bring him in and talk about his journey for health and wellness as well.
[01:48:43.460 --> 01:48:46.340]  Yeah, I'm honored to be here.
[01:48:46.340 --> 01:48:51.340]  And Alex, as you got it, I'm just supporting my mom and her mission.
[01:48:51.340 --> 01:48:54.100]  I see how God is just calling her card.
[01:48:54.500 --> 01:48:58.300]  We have this last name and people usually know what that means.
[01:48:58.300 --> 01:49:02.860]  But her calling is the health and the wellness sector and her spiritual journey started with
[01:49:02.860 --> 01:49:05.980]  our home basically being taken from us.
[01:49:05.980 --> 01:49:10.420]  And I grew up in that environment, but I saw my mom get a master's degree in metaphysics
[01:49:10.420 --> 01:49:15.700]  and I saw my dad ride a buffalo with a guitar in his hand.
[01:49:15.700 --> 01:49:20.100]  So I'm somewhere in the middle of that, long story short.
[01:49:20.100 --> 01:49:22.420]  Well, people need to read the book.
[01:49:22.820 --> 01:49:23.820]  In fact, please leave a copy.
[01:49:23.820 --> 01:49:25.260]  I've been intending to get it and read it.
[01:49:25.260 --> 01:49:27.380]  Where do people get the book, Hiller House?
[01:49:27.380 --> 01:49:30.980]  It's number one in two categories on Amazon.
[01:49:30.980 --> 01:49:36.140]  And I would like to get this message out about this book because I do believe that many people
[01:49:36.140 --> 01:49:41.780]  are needlessly taking medication and it's really causing more harm than good.
[01:49:41.780 --> 01:49:47.700]  And if we get back to our roots, our roots, our health, living off the land.
[01:49:47.700 --> 01:49:49.100]  And that's what this book talks about.
[01:49:49.100 --> 01:49:55.540]  I go into some detail about the alternative medicine that I used or functional medicine.
[01:49:55.540 --> 01:49:59.100]  Now they call it like infrared sauna, vitamin IVs and oxygen.
[01:49:59.100 --> 01:50:01.140]  I was doing that 20 years ago, Alex.
[01:50:01.140 --> 01:50:02.980]  So I talk all about those things.
[01:50:02.980 --> 01:50:06.180]  And here's a big one that people don't think about.
[01:50:06.180 --> 01:50:10.940]  Getting rid of chemical cleaners, getting rid of downy fabric softener, getting rid
[01:50:10.940 --> 01:50:11.940]  of potpourri.
[01:50:11.940 --> 01:50:17.940]  I can walk into a room and tell if it's freshly painted with volatile organic compound paint,
[01:50:17.940 --> 01:50:20.300]  low VOC or no VOC.
[01:50:20.300 --> 01:50:22.580]  I've become the canary in a coal mine.
[01:50:22.580 --> 01:50:27.220]  And Rocco grew up with me kind of hovering, the hover mom.
[01:50:27.220 --> 01:50:28.220]  Don't eat a hot dog.
[01:50:28.220 --> 01:50:29.220]  Oh my gosh.
[01:50:29.220 --> 01:50:30.220]  You don't know what's in that.
[01:50:30.220 --> 01:50:37.940]  So now he's on an incredible journey of sharing his health with his demographic and age group.
[01:50:37.940 --> 01:50:38.940]  Would you be in my way?
[01:50:38.940 --> 01:50:42.300]  I don't want to just go ahead.
[01:50:42.300 --> 01:50:45.380]  I don't want to just glaze over this because this really should have been front and center
[01:50:45.380 --> 01:50:46.940]  in the whole hour today.
[01:50:46.940 --> 01:50:49.740]  Because I know this stuff, but I'm not good at remembering to stay out of it.
[01:50:49.740 --> 01:50:50.740]  I'm a tough man.
[01:50:50.740 --> 01:50:52.780]  I'm just going to do whatever.
[01:50:52.780 --> 01:50:53.780]  But I'm not really.
[01:50:53.780 --> 01:50:56.860]  And the truth is, the globalists admit they're hitting us with the chemicals in the food
[01:50:56.860 --> 01:51:00.800]  and water on purpose, the chemicals that are in the construction materials.
[01:51:00.800 --> 01:51:02.660]  This stuff is everywhere.
[01:51:02.660 --> 01:51:08.020]  And they're allowing it all to destroy us while banning carbon dioxide, while banning
[01:51:08.020 --> 01:51:14.180]  wood-fired stoves or charcoal-fired pizza ovens or gas-powered stoves, saying they're
[01:51:14.180 --> 01:51:15.180]  toxic.
[01:51:15.180 --> 01:51:16.180]  I know a gas-powered stove.
[01:51:16.180 --> 01:51:17.180]  They've done the studies.
[01:51:17.180 --> 01:51:19.060]  It puts nothing off the carbon dioxide.
[01:51:19.060 --> 01:51:23.780]  And so here is California banning, trying to ban coal-powered stuff.
[01:51:23.780 --> 01:51:26.780]  Now even in the pizzerias, New York's doing it.
[01:51:26.780 --> 01:51:28.780]  I mean, you cannot make this up.
[01:51:28.780 --> 01:51:29.780]  Extraordinary.
[01:51:29.780 --> 01:51:33.300]  New York cracks down on wood-fired pizzas to cut carbon emissions.
[01:51:33.300 --> 01:51:34.660]  We exhale carbon dioxide.
[01:51:34.660 --> 01:51:35.900]  We are the carbon.
[01:51:35.900 --> 01:51:36.900]  They want to cut.
[01:51:36.900 --> 01:51:37.900]  The video's on Infowars.com.
[01:51:37.900 --> 01:51:44.460]  So they let all the toxins, the bisphenol A, the glyphosate, the atrazine hit us.
[01:51:44.460 --> 01:51:45.740]  Don't tell people to filter their water.
[01:51:45.740 --> 01:51:47.740]  Almost all water supplies have it.
[01:51:47.740 --> 01:51:49.900]  And then say, I'm a cook for telling people to filter.
[01:51:49.900 --> 01:51:53.260]  They have just a little bit of arsenic in the public water systems.
[01:51:53.260 --> 01:51:56.700]  It's okay, isn't it, Alex?
[01:51:56.700 --> 01:51:57.700]  It's just a little bit of radon.
[01:51:57.700 --> 01:51:59.540]  It's a little bit of radioactive isotope.
[01:51:59.540 --> 01:52:00.940]  And there's just a little bit of chemtrails.
[01:52:00.940 --> 01:52:04.020]  Do you know that they put mold in chemtrails as well?
[01:52:04.020 --> 01:52:07.100]  And the 5G, they are slowly trying to kill us.
[01:52:07.100 --> 01:52:10.580]  And that's what I talk about in this book, Killer House.
[01:52:10.580 --> 01:52:13.380]  Is the air in your home killing you?
[01:52:13.380 --> 01:52:16.260]  And is the air outside that we're breathing?
[01:52:16.260 --> 01:52:19.300]  We need to clean our air, soil, and water.
[01:52:19.300 --> 01:52:24.140]  And I'm so glad that Rocco's here on this journey with me to share with his demographic
[01:52:24.140 --> 01:52:26.420]  and his age group about what has happened.
[01:52:26.420 --> 01:52:29.540]  This is a lot bigger than just the mold.
[01:52:29.540 --> 01:52:30.580]  Look at the movie.
[01:52:30.580 --> 01:52:36.100]  Look at the movie with, what's his name, Interstellar, where mold takes over and kills
[01:52:36.100 --> 01:52:37.940]  the earth because it's in the atmosphere.
[01:52:37.940 --> 01:52:40.780]  And the globalists are doing all sorts of crazy stuff.
[01:52:40.780 --> 01:52:42.980]  Rocco, I know you don't like to get political.
[01:52:42.980 --> 01:52:43.980]  But I've watched you.
[01:52:43.980 --> 01:52:44.980]  I've read your stuff.
[01:52:44.980 --> 01:52:45.980]  You're really a dialed-in guy.
[01:52:45.980 --> 01:52:48.100]  And I think we've talked before about some stuff.
[01:52:48.100 --> 01:52:52.740]  But the point is, is that, what is it like to be the son of Shemaine and Ted Nugent?
[01:52:52.740 --> 01:52:55.700]  And what is it like to see everything your dad and mom warned of coming true, but see
[01:52:55.700 --> 01:52:57.860]  humanity wake up and battle it?
[01:52:57.860 --> 01:53:02.860]  You know, it's stressful when you're early because it's a smaller group to belong to.
[01:53:02.860 --> 01:53:04.860]  And I know you know what that feels like.
[01:53:04.860 --> 01:53:09.580]  And I found this book called, it's by Ayn Rand, called The Fountainhead.
[01:53:09.580 --> 01:53:14.420]  And it helped me understand my family a little bit more because it's a lonely place when
[01:53:14.420 --> 01:53:22.540]  you get away from herd mentality and you put your health and your connection to spirit,
[01:53:22.540 --> 01:53:24.940]  your connection to God first and foremost.
[01:53:24.940 --> 01:53:28.300]  And I live in the shamanic space a lot.
[01:53:28.300 --> 01:53:29.420]  I'm a coach and a teacher.
[01:53:29.420 --> 01:53:35.660]  I help people understand what Christ consciousness is from a Raja and Kriya yoga background.
[01:53:35.660 --> 01:53:36.820]  And sometimes that's through trauma.
[01:53:36.820 --> 01:53:41.020]  And sometimes that's through the wellness that we access through nutrition.
[01:53:41.020 --> 01:53:46.060]  And I see metaphor speak so loudly, sometimes more directly than plain English and plain
[01:53:46.060 --> 01:53:47.140]  language.
[01:53:47.140 --> 01:53:52.860]  And mold is kind of what, in my family, my mom woke up through this situation.
[01:53:52.860 --> 01:53:54.780]  But how does mold happen?
[01:53:54.780 --> 01:53:57.940]  It's when water doesn't flow properly.
[01:53:57.940 --> 01:53:59.060]  And look at the country.
[01:53:59.060 --> 01:54:00.060]  Look at the culture.
[01:54:00.060 --> 01:54:04.260]  Look at all the stagnation and look at where things have stopped working.
[01:54:04.260 --> 01:54:07.260]  The consciousness is killing us.
[01:54:07.260 --> 01:54:08.260]  The air in your home is killing us.
[01:54:08.260 --> 01:54:09.260]  The consciousness is the swamp.
[01:54:09.260 --> 01:54:10.260]  The swamp, yeah.
[01:54:10.260 --> 01:54:12.380]  You're saying we're becoming a swamp.
[01:54:12.380 --> 01:54:13.380]  Yeah.
[01:54:13.380 --> 01:54:18.460]  So, I mean, I'll go political, but I can't help but notice that the political has roots
[01:54:18.460 --> 01:54:19.460]  somewhere.
[01:54:19.460 --> 01:54:23.140]  And you got to talk about the roots if you want to, you know, otherwise you're just going
[01:54:23.140 --> 01:54:25.180]  to be snipping all the weeds nonstop.
[01:54:25.180 --> 01:54:29.460]  But I saw my mom go through a near-death experience with health.
[01:54:29.460 --> 01:54:33.760]  I saw my dad, you know, be on these front lines all the time and speaking about all these
[01:54:33.760 --> 01:54:34.760]  touch points.
[01:54:34.760 --> 01:54:39.040]  And ultimately it would come back to his connection to nature, his connection to spirituality
[01:54:39.040 --> 01:54:40.840]  and his ability to express himself.
[01:54:40.840 --> 01:54:43.160]  It relies on his health and his wellness.
[01:54:43.160 --> 01:54:47.680]  Now he's just a rare cookie, but my mom really emphasized the connection to Christ being
[01:54:47.680 --> 01:54:52.360]  super, super necessary for you to be able to do anything well in the world.
[01:54:52.360 --> 01:54:57.280]  And I feel like what you help spotlight so well and what my family is passionate about
[01:54:57.280 --> 01:55:03.520]  in spotlighting is that culture constantly takes us away from that inner dwelling space
[01:55:03.520 --> 01:55:08.440]  where we meet God, where our sense of I am meets the Creator.
[01:55:08.440 --> 01:55:13.980]  And so all the stuff where we get brought out of ourself into the world and we start
[01:55:13.980 --> 01:55:19.240]  dissecting how we identify and then it's like a competition war of identities.
[01:55:19.240 --> 01:55:25.360]  But we talk about health, wellness, and the space that you're living in as it must be
[01:55:25.360 --> 01:55:26.360]  clean.
[01:55:26.360 --> 01:55:27.360]  You have to be clean.
[01:55:27.360 --> 01:55:29.960]  You have to do the checks and balances on your home first before you go out into the world
[01:55:29.960 --> 01:55:30.960]  and try to do that.
[01:55:30.960 --> 01:55:35.800]  I saw Jordan Peterson talk about this really nice intellectual breakdown, the philosophical
[01:55:35.800 --> 01:55:42.280]  differences between conservativism and liberal polarities and the idea of the socialism or
[01:55:42.280 --> 01:55:47.760]  the communism or the very left-leaning idea of go out in the world and fix everybody else.
[01:55:47.760 --> 01:55:52.160]  It leans on group thought as opposed to the conservative, from what I gather, it focuses
[01:55:52.160 --> 01:55:56.620]  on why should you be telling anybody else how to work their life if you don't have your
[01:55:56.620 --> 01:55:58.000]  shit together?
[01:55:58.000 --> 01:55:59.000]  Get your shit together.
[01:55:59.400 --> 01:56:05.160]  I watched my mom and dad go through all kinds of stuff and my mom, it took her to her health
[01:56:05.160 --> 01:56:08.240]  first and foremost and she ends up educating my dad.
[01:56:08.240 --> 01:56:11.800]  He might have been in front of the family, so to speak, but all of a sudden she's like,
[01:56:11.800 --> 01:56:13.600]  what are you brushing your teeth with?
[01:56:13.600 --> 01:56:15.160]  You don't know what fluoride is.
[01:56:15.160 --> 01:56:17.840]  You don't know what's in that Coca-Cola or that sugary cereal.
[01:56:17.840 --> 01:56:20.560]  You don't know what those empty carbs are doing to you, et cetera, et cetera.
[01:56:20.560 --> 01:56:25.480]  So I've been witness to a profound level of education, very privileged and identifying
[01:56:25.480 --> 01:56:27.160]  as an indigo kid rather early.
[01:56:27.600 --> 01:56:32.040]  It was on me to find my dharma, my purpose, and how I could help my family and the greater
[01:56:32.040 --> 01:56:34.920]  collective come back to God, basically.
[01:56:34.920 --> 01:56:38.320]  All right, well, very interesting, Rocco.
[01:56:38.320 --> 01:56:39.680]  Thank you so much.
[01:56:39.680 --> 01:56:42.280]  Where's the best place, Shemaine, for people to find the book?
[01:56:42.280 --> 01:56:45.240]  Obviously, Amazon, or they want to buy it directly from you, that gives you guys more
[01:56:45.240 --> 01:56:46.240]  support?
[01:56:46.240 --> 01:56:47.240]  ShemaineNugent.rocks?
[01:56:47.240 --> 01:56:52.320]  ShemaineNugent.rocks is a place where they can get more information, free information
[01:56:52.320 --> 01:56:53.320]  on toxic mold.
[01:56:53.320 --> 01:56:56.040]  I'm starting a community of like-minded people.
[01:56:56.040 --> 01:57:01.200]  You got to go through an interview with me in order to get in, because I want to welcome
[01:57:01.200 --> 01:57:02.200]  people.
[01:57:02.200 --> 01:57:04.120]  I want to help people, but we got to be on the same level.
[01:57:04.120 --> 01:57:07.640]  I want to make sure that my goals are aligned with your goals.
[01:57:07.640 --> 01:57:09.800]  So check out ShemaineNugent.rocks.
[01:57:09.800 --> 01:57:13.480]  Get my book on Amazon today.
[01:57:13.480 --> 01:57:16.880]  And then last thing, Alex, next time I come on here, I'm going to talk about how FOMO
[01:57:16.880 --> 01:57:19.480]  is the number one killer of all human beings.
[01:57:19.480 --> 01:57:24.240]  FOMO disconnects us from God, and I just want to say specifically to you, thank you so much,
[01:57:24.240 --> 01:57:26.280]  brother, for stepping into this calling of yours.
[01:57:26.280 --> 01:57:30.720]  I know so many people who are not on this with you today, right now, that want me to
[01:57:30.720 --> 01:57:33.360]  tell you thank you, and we pray for you.
[01:57:33.360 --> 01:57:35.760]  Thank you, brother.
[01:57:35.760 --> 01:57:36.760]  Thank you, brother.
[01:57:36.760 --> 01:57:37.760]  Well, I need the prayer.
[01:57:37.760 --> 01:57:42.280]  I need people to intercede with God, because the enemy is attacking, but Christ is a trillion
[01:57:42.280 --> 01:57:43.280]  times more powerful.
[01:57:43.280 --> 01:57:44.280]  God bless you.
[01:57:44.280 --> 01:57:45.280]  Thank you so much.
[01:57:45.280 --> 01:57:46.280]  Whistleblower.
[01:57:46.280 --> 01:57:47.280]  Next hour, only minutes away.
[01:57:47.280 --> 01:57:48.280]  Tell everybody you know, tune in now.
[01:57:48.280 --> 01:57:49.280]  Thank you.
[01:57:50.280 --> 01:57:56.280]  Two of our best-selling nootropics, or brain boosters, are now back in stock at InfoWarsTore.com.
[01:57:56.280 --> 01:58:01.280]  And for a limited time, they're 50% off when you get them together, or 40% off when you
[01:58:01.280 --> 01:58:02.280]  get them individually.
[01:58:02.280 --> 01:58:06.280]  BrainForce Plus and BrainForce Ultra, two separate formulas.
[01:58:06.280 --> 01:58:09.280]  They both give you good, clean energy without the crash.
[01:58:09.280 --> 01:58:14.880]  One is a four- to six-hour good base of clean energy, again, with no hangover or letdown.
[01:58:14.880 --> 01:58:17.920]  And the other is a very special proprietary formula.
[01:58:17.920 --> 01:58:19.920]  It's BrainForce Ultra that hits really, really quick.
[01:58:19.920 --> 01:58:20.920]  And I love it.
[01:58:20.920 --> 01:58:21.920]  It wears off in two to three hours.
[01:58:21.920 --> 01:58:24.920]  So if I've got to work at night, but don't want to stay up all night, I can take it and
[01:58:24.920 --> 01:58:25.920]  stay nine o'clock at night.
[01:58:25.920 --> 01:58:28.920]  I've got to stay up until midnight working, doing a radio interview or something, and
[01:58:28.920 --> 01:58:31.920]  boom, writing an article or writing a book.
[01:58:31.920 --> 01:58:35.920]  And then I get two, three hours of energy, and then you go right to bed after it.
[01:58:35.920 --> 01:58:40.920]  BrainForce Ultra, BrainForce Plus, both 50% off by themselves, or 40% off individually.
[01:58:40.920 --> 01:58:41.920]  A lot of people love these products.
[01:58:41.920 --> 01:58:42.920]  They've got five-star reviews.
[01:58:42.920 --> 01:58:44.920]  But if you haven't tried them, you really should.
[01:58:44.920 --> 01:58:45.920]  50% off.
[01:58:45.920 --> 01:58:46.920]  Infowars.
[01:58:46.920 --> 01:58:47.920]  Store.com.
[01:58:47.920 --> 01:58:48.920]  You wanted to plug BrainForce.
[01:58:48.920 --> 01:58:49.920]  Do you like BrainForce?
[01:58:49.920 --> 01:58:50.920]  Yeah.
[01:58:50.920 --> 01:58:52.920]  So my name is Ken Heckin-Ladley.
[01:58:52.920 --> 01:58:54.920]  How do I write all the books that I do?
