[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[02:08:38.711 --> 02:08:39.472]  During a segment
[02:08:40.583 --> 02:08:52.836]  On Saturday's broadcast of MSNBC's AM Joy, the liberal network allowed a Democratic pollster to call for his political enemies to be arrested and put in prison for failing to adhere to a variety of left-wing viewpoints.
[02:08:55.319 --> 02:09:00.385]  Bernard Amadi, is that how you pronounce it, made the comments during a discussion.
[02:09:00.385 --> 02:09:03.669]  And the reason that's important is, we've got more of them saying that.
[02:09:03.669 --> 02:09:10.298]  So, you've got them saying, arrest our opposition, get rid of the free speech, ban Alex Jones off the internet, ban Matt Drudge.
[02:09:12.619 --> 02:09:17.501]  But then simultaneously, we're going to have an uprising November 4th, we're going to kill everybody and kill Trump.
[02:09:17.501 --> 02:09:19.561]  And then they go, oh, you're crazy, we're not calling for that.
[02:09:19.561 --> 02:09:25.223]  We have full-page ads calling for driving people from office and overthrowing Trump.
[02:09:25.223 --> 02:09:28.924]  And you've got communists marching everywhere saying we're going to kill everybody.
[02:09:28.924 --> 02:09:35.566]  And you've got Black Lives Matter groups being funded by big telecoms and big internet companies calling for cops to be killed.
[02:09:35.566 --> 02:09:36.887]  It's going on all around us.
[02:09:39.164 --> 02:09:44.187]  And then they play this game where Jones claims Democrats want to overthrow Trump.
[02:09:44.187 --> 02:09:46.629]  Jones claims Democrats are calling for violence.
[02:09:46.629 --> 02:09:57.275]  And they just do this over and over and over again because, again, they want to energize their people, get them mobilized, while telling you nothing's happening, go back to sleep, you go back to sleep.
[02:09:57.275 --> 02:10:01.217]  It's a classic military tactic.
[02:10:01.217 --> 02:10:07.141]  And these people mean business, but the most positive news I've seen yet is that
[02:10:09.366 --> 02:10:16.308]  You've seen the FBI release all these emails from back during the Obama years when Mueller killed
[02:10:17.318 --> 02:10:20.501]  The FBI investigation into Hillary and Uranium One.
[02:10:20.501 --> 02:10:34.933]  And the word is, Washington is abuzz, according to the congressman and other sources that Stones talked to, that the new FBI director is preparing to go after Mueller, Comey, Hillary, all of them.
[02:10:34.933 --> 02:10:36.294]  None of them are invincible.
[02:10:36.294 --> 02:10:42.940]  The Democrats are beginning to turn against them, you know this, hedging their bets, because, man, Mueller and the Clintons are on the Russian payroll.
[02:10:44.741 --> 02:10:49.902]  And the Chinese payroll, you name it, and they are just no wonder they're trying to say everybody else is a Russian.
[02:10:49.902 --> 02:11:04.944]  I mean, imagine me and me and watching congressional hearings, there's been five of them I've seen, where they say Alex Jones is a Russian agent and we censored him at lunch and we're going to block him.
[02:11:04.944 --> 02:11:10.785]  And, I mean, never got a dollar of Russian money.
[02:11:10.785 --> 02:11:11.706]  It's just crazy.
[02:11:11.706 --> 02:11:13.366]  Most of the Russian media is leftist.
[02:11:14.634 --> 02:11:16.255]  RT America is run by a bunch of leftists?
[02:11:16.255 --> 02:11:18.936]  I mean, no proof, no nothing.
[02:11:18.936 --> 02:11:21.116]  No court of law, they just say it.
[02:11:21.116 --> 02:11:26.739]  Meanwhile, they are literally in bed with them.
[02:11:26.739 --> 02:11:27.859]  So they mean business.
[02:11:27.859 --> 02:11:36.762]  And YouTube is pushing people to pedophile sites on how to pick up kids and how to have sex with kids, building a community of pedophiles.
[02:11:36.762 --> 02:11:40.544]  And then meanwhile, they're blocking people on their smartphones going to Infowars.com.
[02:11:47.344 --> 02:11:51.445]  So, it's getting worse and worse.
[02:11:51.445 --> 02:12:00.326]  They're also releasing the Deputy Director McCabe, who's a Clinton operative, and all his communications with his wife running for State Senate campaign and all of that.
[02:12:00.326 --> 02:12:03.587]  I mean, it just gets worse and worse for these people.
[02:12:03.587 --> 02:12:12.949]  But since I mentioned it, let's go ahead and go to that clip of the MSNBC Democratic Party operative saying, let's get them out of office and then let's put them in jail.
[02:12:12.949 --> 02:12:13.289]  Here it is.
[02:12:15.128 --> 02:12:16.369]  Which is what their plan is.
[02:12:16.369 --> 02:12:17.429]  It's always been that.
[02:12:43.789 --> 02:12:58.584]  And they want to declare the election a fraud, declaim it all Russian, kick out all these Congress people that got elected, federalize the elections, which they've already done, one of Obama's last actions, and then have a one-party permanent state.
[02:12:58.584 --> 02:13:00.666]  They're attempting an authoritarian takeover.
[02:13:00.666 --> 02:13:02.247]  And it's the dumbest rhetoric.
[02:13:02.247 --> 02:13:06.331]  They've done nothing to help people, like they're supposed to drop cheeseburgers from helicopters.
[02:13:07.096 --> 02:13:13.279]  Get the regulations out of the way, cut the taxes, have fair trade, have a boom time.
[02:13:13.279 --> 02:13:14.099]  It's happening.
[02:13:14.099 --> 02:13:27.766]  And in the midst of the biggest boom time we've seen in 30, 40 years, they are freaking out, saying the world is ending, everything's over, because they want depressed, dumbed down, pathetic people.
[02:13:27.766 --> 02:13:30.707]  Facebook executives admit it.
[02:13:30.707 --> 02:13:36.410]  From Sean Parker to their own documents, to Hillary emails, how she hates her loser constituents.
[02:13:39.977 --> 02:13:44.364]  And then they go out there to the whole lottery ticket crowd and go, they didn't give us anything.
[02:13:44.364 --> 02:13:45.146]  What have they done?
[02:13:45.146 --> 02:13:46.147]  Lock them up.
[02:13:46.147 --> 02:13:49.833]  So the stupidest people watch that and go, yeah, what'd they give me?
[02:13:49.833 --> 02:13:51.356]  Give me a free car or something.
[02:13:51.356 --> 02:13:51.757]  Yeah.
[02:13:51.757 --> 02:13:52.498]  Go to North Korea.
[02:13:52.498 --> 02:13:53.500]  They can't even make cars.
[02:13:58.660 --> 02:14:17.818]  Let's play this so-called billionaire, Tom Sayer, can't wait to impeach Trump and he runs these ads, this little globalist, you know, environmental land grabber, insider, automotive communist China guy, just dripping with narcissistic self-importance.
[02:14:17.818 --> 02:14:18.199]  Here it is.
[02:14:18.726 --> 02:14:22.927]  You have become, perhaps, the loudest voice calling for impeachment.
[02:14:22.927 --> 02:14:24.628]  The Constitution- Look at this guy.
[02:14:24.628 --> 02:14:28.249]  Sets the grounds for impeachment as treason- Hey, pause.
[02:14:28.249 --> 02:14:40.913]  They all do this self-confidence thing where they go... Reliable sources, you know, it's like... You know, like, you just, like... Stole something out of the cookie jar.
[02:14:40.913 --> 02:14:47.575]  It's like... I can't even do a fake confidence look like...
[02:14:48.916 --> 02:14:51.238]  It'd be like a joke, like, hey ladies, how you doing?
[02:14:51.238 --> 02:14:52.999]  Let's go back to it.
[02:14:52.999 --> 02:14:55.521]  Or other high crimes and misdemeanors.
[02:14:55.521 --> 02:14:56.842]  Which has the president violated?
[02:14:59.571 --> 02:15:00.732]  Good morning, Dana.
[02:15:00.732 --> 02:15:19.246]  I would say it's clear that he has violated the Constitution in the sense that he has violated his trust with the American people through obstructing justice by firing the head of the FBI, Mr. Comey, for what he said explicitly was over the Russian investigation.
[02:15:19.246 --> 02:15:28.793]  He has been taking, in contradiction of the Emoluments Clause, he has been taking payments from foreign governments almost since the very first day that he took office.
[02:15:29.053 --> 02:15:32.375]  The President is exempt from all that of their pre-existing businesses.
[02:15:32.375 --> 02:15:35.537]  This guy knows that the audience are idiots watching this.
[02:15:35.537 --> 02:15:40.800]  So he sits up there and just con artists everybody that says he can't wait for Trump to be impeached.
[02:15:40.800 --> 02:15:42.722]  We'll be back with your phone calls on the other side.
[02:15:42.722 --> 02:15:50.847]  There's so much other news I haven't gotten to yet, but their whole house of cards is coming down and they can act all confident as long as they want.
[02:15:50.847 --> 02:15:52.428]  You scumbags are going down.
[02:15:54.850 --> 02:15:57.433]  Are you happy washing your hands with harsh chemicals?
[02:15:57.433 --> 02:15:59.575]  Are you happy doing laundry with detergents?
[02:15:59.575 --> 02:16:01.557]  Are you happy paying high prices?
[02:16:01.557 --> 02:16:03.619]  Find your happiness with Pure Soap.
[02:16:03.619 --> 02:16:08.484]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[02:16:08.484 --> 02:16:09.365]  Buy in bulk.
[02:16:09.365 --> 02:16:10.366]  Get a 12-, 36-, or 48-month supply.
[02:16:12.248 --> 02:16:14.971]  Or get items individually and still save big.
[02:16:14.971 --> 02:16:18.255]  You're getting soap products twice as good as what you're using now.
[02:16:18.255 --> 02:16:20.538]  Earth friendly and natural soaps.
[02:16:20.538 --> 02:16:22.300]  Your family deserves the best.
[02:16:22.300 --> 02:16:24.963]  Happiness is 5starsoap.com.
[02:16:24.963 --> 02:16:27.746]  Why not put your money up the drain for a change?
[02:16:27.746 --> 02:16:30.289]  See them at 5starsoap.com or call
[02:16:31.729 --> 02:16:34.070]  Call 1-800-340-7091 for a catalog.
[02:16:34.070 --> 02:16:41.272]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[02:16:41.272 --> 02:16:43.752]  Soaps made from vegetable and coconut oils.
[02:16:43.752 --> 02:16:47.413]  See their full selection of soaps at 5starsoap.com.
[02:16:47.413 --> 02:16:49.534]  That's F-I-V-E, starsoap.com.
[02:16:49.534 --> 02:16:50.594]  Or call 1-800-340-7091 for a catalog.
[02:16:54.275 --> 02:16:56.177]  Fully cooked, ready to eat bacon.
[02:16:56.177 --> 02:16:59.399]  I'm talking thick, meaty, center-cut, presidential bacon.
[02:16:59.399 --> 02:17:01.000]  Savory and delicious.
[02:17:01.000 --> 02:17:03.842]  I buy some, I use some, I store some.
[02:17:03.842 --> 02:17:04.503]  Awesome.
[02:17:04.503 --> 02:17:07.585]  No refrigeration needed with a 10-year shelf life.
[02:17:07.585 --> 02:17:09.167]  NASA PAC Technology.
[02:17:09.167 --> 02:17:09.527]  Bacon.
[02:17:09.767 --> 02:17:15.352]  Fully cooked, fully hydrated, ready to eat right from the pack bacon, or warm and served.
[02:17:15.352 --> 02:17:17.393]  Life-saving, ready to eat bacon.
[02:17:17.393 --> 02:17:19.355]  10-year shelf life bacon.
[02:17:19.355 --> 02:17:22.137]  Ships free at FullyCookedBacon.com.
[02:17:22.137 --> 02:17:24.159]  FullyCookedBacon.com.
[02:17:24.159 --> 02:17:30.124]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[02:17:30.664 --> 02:17:37.831]  With the release of our CQB technology, we now offer the most comfortable concealable rifle threat body armor available.
[02:17:37.831 --> 02:17:41.755]  Things may look good now, but what if you need added protection?
[02:17:41.755 --> 02:17:47.061]  Get your very own concealable rifle threat armor today at katiarmor.com.
[02:17:47.061 --> 02:17:52.786]  And for a limited time, get all plates at wholesale pricing only at katiarmor.com.
[02:17:56.858 --> 02:18:00.841]  Refresh your breath with Emerix Essentials Organic Mouthwash.
[02:18:00.841 --> 02:18:09.647]  Our formula is made from organic, herbal ingredients to help stimulate the gums and provide a cleansing effect while adding a pleasant, refreshing taste.
[02:18:09.647 --> 02:18:20.495]  Emerix Essentials Mouthwash is non-GMO, certified organic, made without alcohol, chemicals, or other artificial ingredients such as flavors, fragrances, or dyes.
[02:18:21.215 --> 02:18:29.425]  The pure organic plant extracts are concentrated, containing antibacterial properties that work well to help tone gum and freshen your breath.
[02:18:29.425 --> 02:18:32.648]  This antiseptic mouthwash is a concentrated formula.
[02:18:32.648 --> 02:18:35.852]  You will need to dilute 1 part mouthwash to 10 parts water.
[02:18:36.773 --> 02:18:41.215]  Imrix Essentials Mouthwash is a great addition to your daily brushing routine.
[02:18:41.215 --> 02:18:46.137]  It is effective, yet gentle enough for the most sensitive gums and canker sores.
[02:18:46.137 --> 02:18:48.518]  Go organic today with Imrix Essentials.
[02:18:48.518 --> 02:18:51.880]  Visit InfoWarsStore.com to learn more.
[02:18:51.880 --> 02:18:58.843]  That's InfoWarsStore.com.
[02:18:58.843 --> 02:19:04.305]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[02:19:04.305 --> 02:19:05.026]  Optimum levels.
[02:19:06.087 --> 02:19:10.750]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[02:19:10.750 --> 02:19:13.092]  O-O-O-O-Optimum levels.
[02:19:13.092 --> 02:19:14.833]  B vitamins we need every day.
[02:19:14.833 --> 02:19:20.117]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[02:19:20.117 --> 02:19:21.738]  O-O-O-O-Optimal absorption.
[02:19:22.418 --> 02:19:27.821]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[02:19:27.821 --> 02:19:28.602]  Secret 12.
[02:19:28.602 --> 02:19:31.083]  Optimal absorption.
[02:19:31.083 --> 02:19:36.226]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[02:19:36.226 --> 02:19:41.289]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[02:19:41.289 --> 02:19:42.150]  Optimum levels.
[02:19:43.571 --> 02:19:44.311]  We're good to go.
[02:20:15.234 --> 02:20:26.637]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:20:26.637 --> 02:20:42.361]  You know, there's a phenomenon that if somebody's going to screw you over or cheat you, unless they're a total psychopath or sociopath, they normally
[02:20:43.738 --> 02:20:48.020]  Make up a reason that you've been dehumanized so they can do it to you.
[02:20:48.020 --> 02:20:50.162]  They say you deserve it.
[02:20:50.162 --> 02:20:56.325]  And that's why Democrats and globalists and people that have sold the country out hate it so much.
[02:20:56.325 --> 02:21:00.247]  Because you're not going to kill your dog if you love it.
[02:21:00.247 --> 02:21:04.009]  But if you decide you're going to kill it for whatever reason, might as well decide they deserve it.
[02:21:05.814 --> 02:21:07.596]  And that's really what these parasites have done.
[02:21:07.596 --> 02:21:11.259]  I mean, you look into that billionaire guy that runs all these ads against Trump.
[02:21:11.259 --> 02:21:15.983]  He's a total establishment slime bag on the inside track.
[02:21:15.983 --> 02:21:17.865]  And all these guys are.
[02:21:17.865 --> 02:21:19.626]  And they have been selling this country out.
[02:21:19.626 --> 02:21:26.352]  So Trump just halfway got a few of the bear traps off our legs in the last year.
[02:21:26.352 --> 02:21:27.934]  And the economy roared back.
[02:21:29.431 --> 02:21:32.133]  And the media's like, well look, there's still homeless people.
[02:21:32.133 --> 02:21:34.135]  Absolutely, the country's still got problems.
[02:21:34.135 --> 02:21:39.420]  Most of the homeless are either drug addicts or mentally ill, but there's still big economic problems in this country.
[02:21:39.420 --> 02:21:46.806]  We're far from out of the woods, but to cheerlead against it really shows you who all these folks are.
[02:21:46.806 --> 02:21:55.093]  And that's why it frustrates me so much to be a hypocrite.
[02:21:57.028 --> 02:22:01.050]  Because you're just brought up in the midst of this, and even though you know it's destroying you, you still do it.
[02:22:01.050 --> 02:22:05.892]  Because PCs are made in slave factories, so why not have Apple?
[02:22:05.892 --> 02:22:21.300]  Even though Apple is the worst, and the worst politically, and my enemy, and trying to shut me down publicly, and discriminating against me, I still have iPhones for everybody in the office, because they're proprietary, they work together, we can get our work done.
[02:22:21.300 --> 02:22:23.140]  But it's like living with the devil.
[02:22:23.140 --> 02:22:24.001]  Same thing with Amazon.
[02:22:25.768 --> 02:22:27.429]  Same thing with YouTube or Google.
[02:22:27.429 --> 02:22:29.210]  I mean, I know who they are.
[02:22:29.210 --> 02:22:30.772]  I've read their corporate writings.
[02:22:30.772 --> 02:22:39.097]  Their own executives have gone public and said, we made the decision to take over, replace you with robots, and we're going to kill you.
[02:22:39.097 --> 02:22:46.983]  And I'm just sitting here listening to what they say in policy reports versus all their grandstanding about how liberal they are.
[02:22:49.994 --> 02:23:06.486]  And to watch them bend over backwards to be nasty, bend over backwards to hurt poor people, and then grandstand when, you know, these guys are on average worth like $80 billion a piece, and how they escape taxes, but then they try to get bigger taxes on the middle class.
[02:23:06.486 --> 02:23:11.669]  I mean, it's, they're so evil!
[02:23:11.669 --> 02:23:16.893]  And none of this is my opinion, it's a fact that Google doesn't pay taxes.
[02:23:19.031 --> 02:23:20.632]  Income taxes.
[02:23:20.632 --> 02:23:22.193]  Corporate taxes.
[02:23:22.193 --> 02:23:23.914]  General Electric.
[02:23:23.914 --> 02:23:24.595]  Al Gore.
[02:23:24.595 --> 02:23:25.095]  The Clintons.
[02:23:25.095 --> 02:23:26.276]  Any of these dirtbags.
[02:23:26.276 --> 02:23:31.740]  They all got tax-free foundations.
[02:23:31.740 --> 02:23:35.302]  And they're all just selfish, worldly, nasty people.
[02:23:35.302 --> 02:23:43.328]  And they know liberalism makes you dependent, makes you dumb, makes you stupid, makes you envious, makes you screwed up, makes you a loser.
[02:23:43.328 --> 02:23:48.031]  So they use it as a weapon system on you, and they know it's a weapon system.
[02:23:50.117 --> 02:23:56.959]  I'm gonna go to CA and Nicholas and Colt and Brian and Peter and John and others right now, but I'm gonna say this one more time.
[02:23:56.959 --> 02:23:58.299]  There's a global architecture.
[02:23:58.299 --> 02:24:00.579]  There's a global ruling class.
[02:24:00.579 --> 02:24:03.180]  They're super sociopathic.
[02:24:03.180 --> 02:24:04.660]  They have an agenda.
[02:24:04.660 --> 02:24:05.461]  It's public.
[02:24:05.461 --> 02:24:07.361]  They're exploiting your weaknesses.
[02:24:07.361 --> 02:24:08.841]  They admit they're doing it.
[02:24:08.841 --> 02:24:10.702]  This is not my opinion.
[02:24:10.702 --> 02:24:15.363]  And the way they trick you into not caring, they then say you deserve to die.
[02:24:18.450 --> 02:24:21.811]  And they want me shut down because I know their philosophy.
[02:24:21.811 --> 02:24:41.456]  I can show you a stack of articles where from pillar to post, Amazon is creating a monopoly with Chinese slave labor, and tax exemptions, and government funding of their buildings, and taxpayer money per package, $1.48, where you can't compete with them.
[02:24:43.536 --> 02:24:46.217]  And then he's a socialist bleeding hard on top of it.
[02:24:46.217 --> 02:24:49.859]  It's all cold-blooded psycho talk.
[02:24:49.859 --> 02:24:58.303]  That guy is as liberal as the Easter Bunny.
[02:24:58.303 --> 02:25:02.885]  It the Clown has more morals.
[02:25:02.885 --> 02:25:07.047]  But again, every one of the billionaire leaders is a liberal.
[02:25:07.047 --> 02:25:11.489]  Because it's a scientific weapon system to screw you over.
[02:25:12.998 --> 02:25:17.740]  The universities are designed to create mentally ill, gibbering basket cases.
[02:25:17.740 --> 02:25:19.261]  Unemployable.
[02:25:19.261 --> 02:25:21.422]  Everything is a takedown of the country.
[02:25:21.422 --> 02:25:33.269]  And Trump's just some desperate attempt to not totally destroy the country, and they're all just howling with anger because, man, they had this country on its knees and it was over.
[02:25:33.269 --> 02:25:34.849]  We were out cold.
[02:25:34.849 --> 02:25:36.830]  TKO.
[02:25:36.830 --> 02:25:40.192]  But we got back up.
[02:25:40.192 --> 02:25:41.293]  And it would be so hard
[02:25:42.503 --> 02:25:45.986]  To live under them if they get their way, but we'll be so dumbed down it won't even matter.
[02:25:45.986 --> 02:25:49.148]  I'm sorry, I'm ranting.
[02:25:49.148 --> 02:25:50.950]  God, these people are just so bad.
[02:25:50.950 --> 02:26:02.359]  I was watching this morning the House of Horrors, Warehouse Horrors, and the big giant warehouse where they replace people with robots, and everybody's got a package.
[02:26:02.359 --> 02:26:05.801]  One package every nine seconds like rats.
[02:26:05.801 --> 02:26:06.682]  Who should I go to?
[02:26:06.682 --> 02:26:08.143]  CA?
[02:26:08.143 --> 02:26:08.884]  Nicholas Colt?
[02:26:10.299 --> 02:26:18.247]  Brian, we're going to go to Brian, but I'm going to do it after the break, because we're on a break in two and a half minutes, and I don't want to cut him short, and I'm going to go write your calls right when we come out of break.
[02:26:18.247 --> 02:26:25.195]  But I just read here about how Seattle's going to pay for everything, so they put their new corporate headquarters there when it's already there.
[02:26:25.195 --> 02:26:30.761]  Amazon, or how they just now sex robot craze, and it's a guy sitting there next to a sex robot.
[02:26:32.540 --> 02:26:38.406]  Proud of the fact that he doesn't want a real woman and he's going to teach women he doesn't need them because he has a robot.
[02:26:38.406 --> 02:26:40.809]  And he thinks it's so cool not to procreate and give up.
[02:26:40.809 --> 02:26:43.091]  I mean it's just the death of our culture.
[02:26:43.091 --> 02:26:44.753]  The death of everything.
[02:26:44.753 --> 02:26:47.155]  By design.
[02:26:47.155 --> 02:26:50.098]  Briefly, they're doing everything they can to shut us down.
[02:26:50.098 --> 02:26:50.819]  That's why I do these 34 hour
[02:26:52.284 --> 02:26:54.926]  Really fundraiser broadcast.
[02:26:54.926 --> 02:26:59.891]  Bring in the extra funds we need to hire more reporters and more crew because they're not going to let me just sit here at this size.
[02:26:59.891 --> 02:27:01.412]  They're trying to destroy me.
[02:27:01.412 --> 02:27:04.174]  They have newscasts talking about how they're trying to destroy me.
[02:27:04.174 --> 02:27:11.861]  I aired one Friday where they talked about how we've attacked his sponsors and attacked his products and we're trying to shut him down but it's hard.
[02:27:11.861 --> 02:27:15.665]  They're working and if they can get us the lead elephant they can get you.
[02:27:15.665 --> 02:27:17.826]  That's why we make it easy with the best probiotics.
[02:27:18.607 --> 02:27:21.110]  Now available at InfoWarsTore.com.
[02:27:21.110 --> 02:27:25.874]  The new digestive enzyme, Cardivore, that's so powerful.
[02:27:25.874 --> 02:27:29.959]  Floral Life Advanced Restoration Formula.
[02:27:29.959 --> 02:27:35.384]  We have free shipping extended at InfoWarsTore.com through Cyber Monday.
[02:27:35.384 --> 02:27:38.087]  We have 50% off our new incredible product.
[02:27:39.329 --> 02:27:55.690]  And that of course is the real red pill, the amino acids, the vitamins, the minerals, the pregnenolone, that is the precursor to all your hormones, that if you don't have it, you can't even produce your hormones.
[02:27:56.431 --> 02:28:00.794]  But mix with the amino acids, the vitamins, the minerals, all of it together, and the beetroot.
[02:28:00.794 --> 02:28:03.596]  This is for your brain, your heart, stamina, energy.
[02:28:03.596 --> 02:28:11.060]  It's just probably the most exciting thing we've ever come up with except for the True Earth Deep Iodine X2 that nobody else has.
[02:28:11.060 --> 02:28:13.142]  It's such a game changer that folks love so much.
[02:28:13.142 --> 02:28:14.543]  So that's now available.
[02:28:14.543 --> 02:28:16.484]  The Red Pill, we have a limited shipment in.
[02:28:16.484 --> 02:28:17.985]  I bet it sells out in a week.
[02:28:17.985 --> 02:28:19.386]  We should get more in early next year.
[02:28:20.006 --> 02:28:22.207]  But get the Red Pill and support the broadcast.
[02:28:22.207 --> 02:28:27.148]  It's 50% off, out of the gates, because I know you're gonna love it so much.
[02:28:27.148 --> 02:28:36.431]  I want our first, our customers that are most dedicated, who always buy our new products, to get it discounted, because it's an expensive product to make.
[02:28:36.431 --> 02:28:39.272]  Again, it's available at infowarestore.com.
[02:28:39.272 --> 02:28:40.193]  We'll be right back.
[02:28:40.193 --> 02:28:40.593]  Stay with us.
[02:28:40.593 --> 02:28:41.193]  The Real Red Pill.
[02:28:43.240 --> 02:28:45.141]  We are on the march.
[02:28:45.141 --> 02:28:48.063]  The Empire is on the run.
[02:28:48.063 --> 02:28:50.825]  You're listening to the Alex Jones Show.
[02:28:54.676 --> 02:28:59.942]  Have you ever lost your power and wanted to simply flip a switch to get the lights back on?
[02:28:59.942 --> 02:29:05.308]  If so, pay close attention because huge discounts are now available in solar generators.
[02:29:05.308 --> 02:29:08.352]  Perfect for backup power outages and emergencies.
[02:29:08.352 --> 02:29:13.218]  Portable solar generators provide life-saving electrical power when you need it most.
[02:29:13.858 --> 02:29:23.585]  And unlike gas generators, a solar generator runs quietly, emits no dangerous fumes, and produces an endless supply of electricity from the sun.
[02:29:23.585 --> 02:29:27.668]  It's like having an electric power plant running secretly in your own home.
[02:29:27.668 --> 02:29:31.171]  Right now, get a $5,000 solar generator for just
[02:29:31.531 --> 02:29:34.572]  That's $995 while supplies last.
[02:29:34.572 --> 02:29:37.893]  Go to MySolarBackup.com to learn more.
[02:29:37.893 --> 02:29:40.593]  That's MySolarBackup.com.
[02:29:40.593 --> 02:29:45.434]  GCN listeners use coupon code GCN at checkout for this special offer.
[02:29:45.434 --> 02:29:47.375]  MySolarBackup.com.
[02:29:47.375 --> 02:29:49.515]  Use coupon code GCN.
[02:29:49.515 --> 02:29:51.876]  EMP protection available at an additional charge.
[02:29:55.819 --> 02:30:11.816]  I know I don't have to remind most of you of the fact that culturally, societally, economically, spiritually, militarily, the planet's sitting on top of a giant time bomb with populations and globalism and the new world order's manipulation of people's minds.
[02:30:12.817 --> 02:30:14.338]  Things are getting crazy.
[02:30:14.338 --> 02:30:16.960]  We're trying to fix the country and fix the planet.
[02:30:16.960 --> 02:30:19.662]  We've also got to have rear-guard actions to be prepared.
[02:30:19.662 --> 02:30:24.226]  The number one thing, after getting right with God, is to have high-quality, storable food.
[02:30:24.226 --> 02:30:30.270]  Well, the entire line of My Patriot Supply Foods, private label as MFOR Select, is now 50% off.
[02:30:30.270 --> 02:30:33.693]  We've only done that one time before previously.
[02:30:33.693 --> 02:30:33.973]  50% off.
[02:30:35.014 --> 02:30:35.394]  I think so.
[02:30:55.942 --> 02:31:01.186]  Protect your skin with SPF 30 Sunscreen Lotion by Emrix Essentials.
[02:31:01.186 --> 02:31:08.350]  Perfect for face and body, this natural, unscented sunscreen can be worn at all times of the day, whenever you need sun protection.
[02:31:08.350 --> 02:31:14.234]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[02:31:14.234 --> 02:31:22.580]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticles.
[02:31:22.580 --> 02:31:25.462]  The larger the particle, the safer it is for your body.
[02:31:26.082 --> 02:31:30.204]  The organic oils help hydrate the skin, leaving it nice and smooth.
[02:31:30.204 --> 02:31:34.645]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[02:31:34.645 --> 02:31:40.848]  Emrix Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[02:31:40.848 --> 02:31:46.010]  Naturally protect your skin with SPF 30 sunscreen lotion by Emrix Essentials.
[02:31:46.010 --> 02:31:49.291]  Stop exposing yourself and your family to toxic ingredients.
[02:31:49.291 --> 02:31:54.553]  Visit Infowarsstore.com and learn more about the new SPF 30 sunscreen lotion.
[02:31:55.413 --> 02:32:00.175]  Men, give your body the support it needs with InfoWars Life Prostagard.
[02:32:00.175 --> 02:32:04.596]  It's time to start assisting the body in regulating proper prostate balance.
[02:32:04.596 --> 02:32:15.200]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[02:32:15.820 --> 02:32:23.782]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[02:32:23.782 --> 02:32:33.144]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[02:32:33.144 --> 02:32:43.406]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[02:32:43.906 --> 02:32:45.207]  You're listening to the Alex Jones Show!
[02:33:11.515 --> 02:33:14.076]  We're approaching one year that Trump's been in office.
[02:33:14.076 --> 02:33:16.676]  Coming up in January.
[02:33:16.676 --> 02:33:21.497]  Defending the republic from enemies, foreign and domestic.
[02:33:21.497 --> 02:33:23.458]  It's Alex Jones.
[02:33:23.458 --> 02:33:26.938]  You know a man by his enemies.
[02:33:26.938 --> 02:33:30.599]  Boy, they are upset at Trump.
[02:33:30.599 --> 02:33:32.199]  I'll say this though, he's letting us down.
[02:33:32.199 --> 02:33:34.660]  His new head of the CDC is a pro-vax.
[02:33:39.589 --> 02:33:44.152]  And you see him with a whole fake drug war thing that's a total joke.
[02:33:44.152 --> 02:33:49.215]  He's bringing the country back, bringing the jobs back, crushing political correctness.
[02:33:49.215 --> 02:33:54.279]  Soros-funded group claims repealing net neutrality is racist.
[02:33:54.279 --> 02:33:55.960]  And again, they play these games.
[02:33:55.960 --> 02:34:04.205]  Obama's net neutrality move before he left office gives control of the internet over to the UN for censorship.
[02:34:05.771 --> 02:34:15.700]  And brings all these controls in, and then has taxpayers pay for all this broadband, and then claims the government has jurisdiction over all other forms of media.
[02:34:15.700 --> 02:34:17.902]  It isn't net neutrality.
[02:34:17.902 --> 02:34:22.986]  And so what Trump's FCC is doing is going back the way it was, real net neutrality.
[02:34:22.986 --> 02:34:27.170]  But again, it's all the way they label things.
